ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u1	Ladies and gentlemen, the Minister can stay until 6 p.m. today.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u104	The Court of Auditors has published a recent report on "Measures to aid research and development (R&D) in corporate tax". These are three tax niches: the R&D tax credit, the patent income deduction and the innovation income deduction (to replace the previous one). They represent a cost of 1.2 billion euros in 2018, three times as much as in 2013 and this will continue to increase... The Federal Office of the Plan had already revealed, two years ago, that these measures have relatively little R&D spending, especially on the part of large companies. This fact already established by the OECD or the European Commission is therefore confirmed today by the Court of Auditors. The Commission had also drawn similar findings a few years ago in another report on waivers from professional prepayments, including those for R&D (which is decidedly benefiting from many offerings). In addition, most of the money, this report shows, is concentrated on a limited number of large recipient companies, including – and I say this – the multinational pharmaceutical company which, in 2007, had its lawyers draft the Patent Income Deduction Act. The Court also points to a tax control "often difficult to achieve and time-consuming because of the complex and technical regulatory framework" including the complicated relationship between Belspo (which renders unmotivated opinions) and the FPS Finances. Belspo, who must therefore judge whether it is R&D according to the legal criteria. Among its recommendations, the Court "proposes to consider the possibility of limiting the total amount of aid or introducing a lower deduction percentage above a certain ceiling". Minister, what follow-up do you intend to give to this report? In particular, are you considering reducing these tax gifts, as proposed by the Court? What measures do you intend to take to address the problems of fiscal control? Should you not address these issues in conjunction with the issue of R&D Professional Prepayment Exemptions, Targeted for Similar Criticism and Purposes of Government Spending Reviews? What is the state of play in this R&D spending review project? This should be done but nothing can be seen!
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u105	Mr Van Hees, the various recommendations made by the Court of Auditors are currently being examined with a view to clarifying or amending legislation in order to ensure a more secure legal application and to increase the efficiency of the resources used to support research and development. As indicated above, the various recommendations will also be examined, including in conjunction with certain international developments in the field of taxation. As a result, it would be premature to deal with concrete measures at this stage. My administration has already taken action on the recommendations of the Court of Auditors, carrying out more focused and uniform checks. The findings and recommendations of the Court of Auditors are also taken into account in the reform of the exemption from the transfer of corporate tax on research and development. However, consultations within the government and with stakeholders on this draft are still ongoing.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u106	Minister, thank you for your answers. It seems logical to me to bring together the reflections on these different tax niches and the exemptions of professional discount on research and development. I understand that the administration will review this report to amend the legislation. It is premature to talk about concrete measures, but I hope that this will happen within a reasonable time. I will certainly come back to you on this issue.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u107	Minister, the law of 20 December 2019 transposed the European directive, called DAC 6, presented as a weapon in the fight against aggressive tax planning. Under this Act, intermediaries must transmit to the competent authorities information they are aware of, possess or control over aggressive cross-border devices. This obligation to declare entered into force on 1 January 2021, with administrative tolerance until the end of February. That was a good part of last year. How many returns did they make in the year 2021? Is this number consistent with expectations? Have sanctions already been applied for breach of obligations under the above-mentioned Act? If so, how many? On the basis of the returns received, what are the administrative plans for tax control?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u108	Dear colleague, in 2021, the FPS Finance received 718 communications under the December 20, 2019 Act. The initiative on cross-border arrangements subject to notification has come from the European Commission. The Commission published an impact assessment when it launched the proposal for a directive. An impact assessment can also be found in the House documents relating to the Belgian bill; I can send you both links for these two reports. These two analyses show that neither the European Union nor the Belgian administration had any concrete expectations as to the number of notifications resulting from this new transparency measure. Furthermore, I can point out that to date no fines have been imposed as a result of a violation of this measure. My administration is working to make this data available to its screening officers in the near future. The use of data for risk analysis will, in principle, also be possible in the near future. However, my administration has already begun to develop a framework for the risk centre analysis to select the most relevant files to be monitored. Once this risk analysis has been finalized, the necessary controls can be launched. Since these reports may concern both natural persons and companies, this risk analysis requires a joint approach between the different departments involved in my administration.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u109	Thank you for your answers, Minister. We will follow this file carefully to see what happens to the controls following these 718 communications. I find it a bit unfortunate that you have no appreciation for this number of 718. Is it a little or a lot? I'll take note of that. That's the end of my line.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u110	Minister, this question duplicates a previous one. They missed the filter of the attached questions, but it's no big deal. According to the Advance Rulings Service (ADS), the collaborative economy tax regime provided for in Article 90, paragraph 1, of IARC 92 could apply to delivery agents who provide delivery services through a licensed platform such as Deliveroo. However, in a judgment of 8 December 2021, the Brussels Labour Court decided, on the contrary, that couriers delivering meals through a platform carry out a professional activity because they did not qualify for the collaborative economy scheme for several reasons: - it is not a service rendered by the taxpayer himself, but the delivery of goods; - services are not provided outside the scope of a professional activity; this is demonstrated by the fact that, from September 2015 to January 2018, couriers performed their services under paid or self-employed status, before being encouraged to be employed in the framework of the collaborative economy; - incidentally, meals are not delivered only to private individuals. However, the platforms continue to recruit couriers in the collaborative economy regime. As a result, the latter are at risk of having to pay independent social contributions and of being taxed under the general tax system. Minister, should advance rulings that conflict with the above-mentioned judgment be considered null and void? Will your administration inform companies affected by such advance rulings that they are no longer able to take effect and that, as a result, these companies can no longer issue tax slips 281.29? What initiatives are you going to take to ensure that in the end, delivery agents are victims of this case, paying tax adjustments and arrears in social contributions? Are you considering amending or clarifying, at least, the tax legislation so that the collaborative economy regime is clearly reserved for its original purpose, i.e. for occasional services between individuals?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u111	Mr Van Hees, the Labour Auditorate having appealed the Labour Court's judgement, the FPS Finances will wait for the decision on appeal to take a position on this case. In the meantime, the collaborative economy tax system will continue to apply in accordance with advance rulings. Couriers will continue to benefit from this scheme when all conditions are met, including those related to income limitation.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u112	That is a short answer, minister. Mr Van Hees, you have the floor for a reply.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u113	Minister, this is a short answer, but I find it worrying. You indicate that the auditorate has appealed, but this one is not going to change anything at all. Indeed, the auditorate considers it to be paid work, whereas the Brussels Labour Court considers it to be self-employed. In both cases, it is a professional activity, and therefore not a service within the framework of the collaborative economy. Therefore, we know in advance what will be the outcome of this appeal. In short, this situation is very problematic. On the one hand, court decisions are clearly in line with an activity that is not part of the collaborative economy. On the other hand, workers - even if they are not so qualified - may be overtaxed and pay regularisations of social contributions. It therefore seems irresponsible to me to consider that the collaborative economy regime continues to apply. On the other hand, it is also worrying to note the reversal of the position of the tax administration, which seems to have been pressured by Deliveroo and other platforms in order to achieve the imposition of their views. In conclusion, we are witnessing competition from two doctrines: on the one hand, the auditorate and the labour court, which speak of professional activity; and on the other, the tax administration, which continues to see occasional benefits in the context of the collaborative economy. That's disturbing!
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u114	Madam President, best wishes to colleagues in the Finance Committee and to the Minister. Minister, my question is about company cars. The human resources provider Acerta presented its mobility barometer 2021, with a 3% increase in the number of company cars compared to 2020, and a 26% increase over the past five years. These company vehicles still drive mainly diesel, despite our intentions to green this fleet (67% of vehicles drive diesel). This worries us for various reasons: the impact on public finances, the cost of congestion for the economy, estimated at 2.3 billion euros per year according to the Plan Bureau and of course the impact on air quality. As the social partners have pointed out, the greater the advantage of a company car, the more difficult it is to convince people to switch completely or partly to other more sustainable modes of transport. If increases are due to the health crisis, they could have a lasting impact on our travel patterns. This is contrary to the government's objectives in terms of mobility, climate and budget. Reforms have been initiated; others are coming in terms of budget and mobility, particularly in terms of the mobility budget. Some provisions came into effect in January. Minister, do you have an analysis of the impact of the growth of these corporate vehicles on the level of CO2 emissions and on the budget and prospects that this represents? The reforms under way concerning the company car fleet will be evaluated in 2026. What monitoring do you intend to ensure in terms of interim evaluations to measure whether our shift modal trajectory remains realistic despite these figures, which are worrying? Finally, according to a Touring survey published this week, one in five workers still do not know whether their employer is proposing a mobility budget. What measures are you considering to popularize it?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u115	Madam Chair, Mr. Parent, based on the tax return data, the FPS Finance makes estimates. However, these data are only available on June 30 of the year following the tax year, once enrolment is complete. This means that the Finance FPS now has revenue data for 2019. These data are used to estimate the number of company cars, but not their budgetary cost. Indeed, the FPS Finances does not have data on certain parameters of the calculation of the benefit of any kind. This is the case with the CO2 coefficient, which would make it possible to make an estimate of the environmental impact. In the future, a better exchange of data with the Mobility FPS and the ONSS should provide a better insight into the company's fleet. But there are still some obstacles that make this data exchange impossible at the moment, such as negotiating a protocol with the Mobility FPS and approving a request for data exchange by the Privacy Department of the Banque-Carrerfour de la Sécurité sociale. We hope that these two problems will be resolved in the near future. As noted earlier, this date of 2026 was not chosen by chance. This is the first useful time when the new legislation will operate at cruising speed and where sufficient information will be available to measure the budgetary impact throughout the transition period from 1 September 2021 to 1 January 2026, the date on which carbon-free business vehicles will become the norm. Until such information and data are available, it will be extremely difficult to make an adequate and useful assessment of the many measures envisaged in the context of greening mobility. The Act of 25 November 2021 organising the tax and social greening of mobility brought about a reform of the Mobility budget, which aims to strengthen attractiveness and simplify this advantage. We hope that these reforms will bear fruit.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u116	Minister, thank you for your answer. On the one hand, I am pleased to hear that we are moving towards monitoring on the basis of concrete data and I am confident that you will, together with your colleagues, make every effort to reach a memorandum of understanding to measure the impact of company vehicles. On the other hand, I do not hide my concern with regard to the second part of your answer. You refer to 2026 as the date of changeover, but it is only the date of changeover in relation to the greening of company vehicles and not at all in relation to the modal number. So greener cars on our roads in 2026, it is a course that will probably be held in one way or another, but it will still and ever more cars on our roads and therefore, problems related to congestion but also pressure on our energy consumption. Therefore, Minister, I believe that in this area, it is important to remain vigilant and to have a modal monitoring in line with the government's objectives in relation to mobility, namely to reduce our travel needs and make them easier via public transport.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u117	Question No 55023972C by Mr Hughes Bayet is transformed into a written question.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u118	Madam President, Ms Matz, to determine whether or not an autonomous municipal government (RCA) has a profit-making purpose is often less obvious. Although the statutes may give an indication of this, the administration can always investigate whether the statutory provisions concerning the presence of a profit-making purpose are not purely theoretical. This will be the case when there are systematic deficits in the head of the CAR because the prices charged to visitors to the facility are not sufficient to cover the operating costs of the CAR and it is therefore impossible to distribute profits. The decision published on 19 January 2016 already provides that the profit or loss resulting from the overall activity of the CAR must be structural and independent of random events affecting income and exemptions. The exceptional economic circumstances resulting from the covid-19 epidemic are these. The measures contained in Circular 2021/C/57, which ended on 30 September 2021, are not extended in general, given the current situation and the fact that the CARs have different activities. However, if an RCA considers that there are exceptional economic circumstances in its head, the RCA is requested to contact the administration. It is up to the VAT control centre on which the person concerned depends to decide on the exceptional circumstances in question, taking into account all the facts specific to the case.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u119	Minister, thank you. I understand that everyone can apply for derogations to find solutions. It is true that I do not understand very well why these measures are not extended at least until 31 December 2021, given that the period covid allowed the postponement until September 2021. The conditions of the pandemic have not fundamentally changed since then. It seems to me that it would have been easier for these autonomous communal authorities to benefit from a general measure and not from a particular situation. I will not fail to convey your answer to those concerned.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u120	I refer to the written version of my oral question.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u121	I also refer to the written version of my oral question.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u122	I agree with colleagues and also refer to the written version of my oral question.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u123	Contrary to what is sometimes claimed, citizens already have the opportunity to access the National Bank of Belgium and to request information about the persons and institutions who have consulted their personal data at the Central Contact Point (CAP). This right of access stems directly from the European General Data Protection Regulation (GDPR) and is also explicitly provided for in Article 18 of the Royal Decree of 7 April 2019 on the functioning of the CAP of accounts and financial contracts. The National Bank shall forward the results of the search to the citizen in question free of charge. The way in which citizens can exercise this right of access has also been described on the website of the National Bank. In response to Mr Vermeersch's question, an appeal to the Constitutional Court for the annulment of Chapter 4 of the Programme Act of 20 December 2020 was brought. The government has intervened but has no knowledge of the timing of the course of justice. I refer to the reasons given by the governments, to the various opinions of the GBA, as well as to the possibility provided by CAP legislation to request information from the National Bank of Belgium about persons and institutions that may consult their personal data, to which I referred earlier. The CAP has also been established in the implementation of international rules, such as the European Union's Fourth Anti-Money Laundering Directive, and is therefore a framework within an objective set out in the GDPR on Union law and public authorities as recipients of personal data. The study on data mining should clarify whether and how this is possible within the administrative functioning and does not initially constitute a legislative dossier.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u124	Madam President, it is good to hear that it is already possible to request these data. I therefore have no further questions.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u125	The Minister's answer was clear. I had already mentioned in my question that there is already access, although I still believe that the information on this issue should be clearer and simpler, even if it is regulated at European level. It must be made clear to the public that this is already possible. Even in this committee there was a misunderstanding. Apparently, it is not clear to everyone. The procedure should also be further simplified so that citizens can easily know whether or not there has been access.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u126	Minister, let me be clear: the Flemish interest rejects this government's plans to have access to our bank accounts and to abolish banking secrecy. The corona crisis was not only abused to take away our freedoms but also to slyly enter the asset register. From this year on, this register will be accessible to more and more parties and will also contain more and more information. Officials, the tax authorities, as well as notaries and bailiffs can see from now on how much money is in our accounts, how much someone has borrowed and how much a person's life insurance is worth. The Flemish interest has always expressly opposed this in Parliament. Anyone who wants to look at our bank accounts cannot, of course, exclude that the balance on those accounts will ever be taxed. The latter of course do not (yet) tell the purple-green parties. The viewing of bank accounts is a first step towards a capital lodger. As a member of a Flemish national freedom party, I can be very clear about this: the Flemish interest will continue to oppose such a property landladist. For the Flemish Interest, banking secrecy must remain in this country. We don't want the Belgian government to check our accounts.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u127	Minister, I am glad to be able to ask this question today. A small group of Dutch Holocaust survivors living in Belgium, but not less important, is very concerned about the assessment of their pension. They have become concerned after certain rumours they have heard about the negotiations between Belgium and the Netherlands on the double taxation treaty. In recent weeks, we have also dealt with various provisions in the context of the discussion of the law. With my question, I want to stop these rumors and give them the assurance that their tax status will remain unchanged, even after the negotiations between Belgium and the Netherlands on the double taxation treaty. Mr Minister, can you guarantee that the tax status of these people will not change?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u128	There are no plans in that direction. There are indeed negotiations on the conclusion of a new double taxation treaty with the Netherlands. The content of these negotiations is confidential. I can tell you that Belgium is trying to keep the situation of pensioners unchanged.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u129	Minister, that answer is enough. Thank you.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u130	In implementing the government agreement, I am preparing a broader tax reform that should not only simplify our tax system, but also make it fairer and more neutral. The government agreement also provides for a gradual shift from alternative forms of remuneration to remuneration in euros. In that context, it was appropriate not to encourage a new form of wage flexibility, whereby, in the context of a cafeteria plan, the energy bill is paid by the employer, fiscally and therefore not to value the benefit of all kinds on a flat-rate basis in such cases. However, the flat-rate valuation will continue to apply in cases where that valuation is generally used for a longer period, in particular in cases where free electricity and/or heating is provided together with the provision of a home free of charge, e.g. for concierges. In these cases, the enjoyer of the advantage often has no impact on the energy efficiency of the home that is made available to him or on the contract concluded for the supply of electricity and heating. For those taxpayers, the tax treatment of the benefit has therefore not changed either. The FPS Finance does not have precise data on the number of taxpayers for whom the benefit of all kinds would increase. Indeed, the data on the income sheets are not sufficiently detailed to know this number. The tax treatment of the advantage has not changed for a large part of the taxpayers who already benefited from it. The budgetary revenue entered in the measure shall be considered as a statement of reasons.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u131	Minister, this is something I say every time a new tax increase is made by the government. I understand that we are tackling tax niches and discussing them in the context of this great reform, but what you are always doing is reducing tax niches and closing tax benefits before the debate on this reform is launched. It is all the more incomprehensible that, when the energy bill also increases for employees, self-employed persons and managers, there will also be a tax increase.
