ParlaMint-NL_2020-05-27-tweedekamer-5.u1	I now give the floor to the Secretary of State for Finance.
ParlaMint-NL_2020-05-27-tweedekamer-5.u271	I also wish the Secretary of State every success in carrying out the compensation and doing justice to the people and the victims of this affair. I know it's complicated, but it has to be done as soon as possible.
ParlaMint-NL_2020-05-27-tweedekamer-5.u272	I fully agree with Mr Snels that the House is in the process of taking a parliamentary step. But doesn't Mr Snels fear enormous amnesia among the directors involved if we can't claim documents and simply don't have them? In other words, doesn't he fear that we're standing empty-handed while an entire circus is being rigged?
ParlaMint-NL_2020-05-27-tweedekamer-5.u273	Well, the big advantage... Moreover, I am not necessarily opposed to Mrs Leijten's commitment to the idea that there may eventually have to be a parliamentary inquiry. But that parliamentary interrogation should be quick, quick and short. This really needs to address the political responsibility of the Chamber and the directors. That's all I care about. Then we can really hear the people involved under oath. You know, I'd like to hear it myself from all those executives and all those top officials at the Treasury and SZW. What exactly happened? What responsibility did they have? What orders did they give? All this is not clear from all these investigations. Of course, a lot of documents keep coming up every time. That's still ongoing business. Among other things, I would like to know exactly what has happened and what has been decided in that ministerial committee on fraud. A parliamentary interrogation at first might eventually be a prelude, later in the future, to a full-blown parliamentary survey. But I think...
ParlaMint-NL_2020-05-27-tweedekamer-5.u274	Finally.
ParlaMint-NL_2020-05-27-tweedekamer-5.u275	I think we really should take this step now, in the short term.
ParlaMint-NL_2020-05-27-tweedekamer-5.u276	Finally, Mrs Leijten.
ParlaMint-NL_2020-05-27-tweedekamer-5.u277	Apart from what happened at the Tax Office, this affair also exposes that administratively The Hague, which supposedly conducts external investigations, does critical external investigations, indeed always leaves people comfortable in positions and that it never really goes to political responsibility. So I very much agree that this is what we are looking for. Well, then let's find a way that interrogation might be a way of getting rid of that survey. Today, the trade unions advocated a parliamentary inquiry into this supplementing affair. I think we should just decide that, but we're going to vote on your motions first.
ParlaMint-NL_2020-05-27-tweedekamer-5.u278	Thank you. Mr. Nijboer.
ParlaMint-NL_2020-05-27-tweedekamer-5.u279	Because I want to take every proposal a colleague makes seriously, I'm going to interrupt. I myself was chairman of the first interrogation committee. I know that Mr Snels knows that in fact he needs such research documents, if you want to hear people about what, when and what letter. One of the aspects of an interrogation is that you cannot claim it. So, frankly, I think it is a very strange tool for the objective. A second problem at the moment is that if you appear before such a committee under oath as a ruler, former ruler or civil servant, that cannot be used again in a criminal case that has just begun. The state's attorney's office has just been put to work. So I really wonder how serious and thoughtful this proposal from GroenLinks is.
ParlaMint-NL_2020-05-27-tweedekamer-5.u280	We're there ourselves. If this proposal gets a majority, then we can decide how we want to shape it. Then we can prevent a collusion with the state's attorney's office. I think the D.A.'s office is gonna be for a long time. That is why I propose that we do this as soon as possible. To be honest, I am really sorry that we are not getting the political responsibility out of our hands. I would now like to hear and ask the leaders and senior officials involved, the sg's and the dg's, that level. What I see so far in all the investigations, in all the information that comes out, in all the lyrics to the media and also leaned towards MPs: it is shoving off. It's shuffling behavior. It's protecting each other's positions. I am sick and tired of it, and I think that the Chamber itself should now investigate, take a step itself. I really think we owe it to the parents. We can't push everything back again and do the next investigation.
ParlaMint-NL_2020-05-27-tweedekamer-5.u281	Finally, Mr Nijboer.
ParlaMint-NL_2020-05-27-tweedekamer-5.u282	I think that we owe it to parents to stand up for them, to arrange compensation and to use today's debate for that too. I think that if we as a parliament use an instrument, we should keep it whole. I'm really afraid that if you... I myself was chairman; Mrs Leijten was a member of and also Mr Van der Lee on behalf of GroenLinks. This study, precisely on the question of political responsibility, cannot be without asking for documents. If you wanted to, Mrs Leijten's proposal would be the way forward. And then this is just a political shit to get attention.
ParlaMint-NL_2020-05-27-tweedekamer-5.u283	I really hope that I will be able to discuss the implementation of these motions with all the groups in this Chamber. Of course I'm already behind the scenes working on that consultation. But if the Labour Party wants to vote against it, that is fine as far as I am concerned.
ParlaMint-NL_2020-05-27-tweedekamer-5.u284	Thank you. Mr Van Otterloo now has the floor on behalf of 50PLUS.
ParlaMint-NL_2020-05-27-tweedekamer-5.u285	Thank you, Mr. Chairman. I thank the Secretary of State for her efforts to get out of the swamp, as I still do. But the quicksand is still heavily present. Because we have to do it with a lot of missing documents, which keep coming up again and again. I understand the debate on the parliamentary questioning. Mr Snels did not have to table his motion on this, because I have already tabled one on 4 December, which is still alive, if I may put it that way. I brought that motion. So I'm not going to retable it now. We all struggle with the same question: how do we get the bottom stone in this story and what lessons can we draw from it? But today it is also about finding a solution for the victims as soon as possible. We will try to take really big steps next week. But I hope that people at home have understood that we are very committed to the fact that it is about more than one small club that has been victimized, that it is about a lot more people and that it must also be seen in a transferable sense, namely as a difference in power between a large service and small people. A difference in power that does not exist with large companies and the Tax Administration, but with small people. In this respect, this debate may be a turning point. Mr. Chairman. We are in favour of any constructive proposal that will enable us to learn more from it, so that we do not just stop the gaps that have arisen now.
ParlaMint-NL_2020-05-27-tweedekamer-5.u286	Thank you. I shall now give the floor to Mr... Let's see. I don't see Mr Van Raan. Then I'll go to Mrs. Lodder's on behalf of the VVD.
ParlaMint-NL_2020-05-27-tweedekamer-5.u287	Thank you, Mr President. I would like to thank the Secretary of State very much for this first real debate with her in the House of Representatives. I think we've had a big debate together. I thank her for the answers and the commitments. I'll come back to that in a minute. Mr. Chairman. I started this debate with the description of the feeling of a ride in a roller coaster, in which you take that loop over and over again. And the moment you think you're at peace, you'll be launched again. Parents should feel this way about the child care allowance. This debate, as well as the coverage of the past few days, will have given many parents that feeling again. I indicated that it was time for the parents, and I think that the letter that was central to this debate should mark that time for the parents. I've been given a number of commitments. Thank you for that. At least that applies to the flowchart. I think that is very important, so that we in the Chamber can know how requests and questions from parents are handled and how incomplete files are handled, as colleagues have pointed out, but it is particularly important for parents. I would like to thank you for your commitment to the discussion with the CAF 11 parents, and certainly for the information that has been promised to the entire CAF 11 group. I hope that they can get a glimmer of hope out of that, but perhaps also a compensation for further damage. Mr. Chairman. I have two more questions to answer. I asked a question about the supplement scheme and the investigation. So I hope the Secretary of State will go into that in the second term. Then I don't have to repeat the question. I see her nodding. My question is also whether the perspective of action regarding individual officials in the context of unlawful acts has been discussed with the predecessor of this Secretary of State. Mr. Chairman. It's time for the parents. That is our responsibility, so I wish the Secretary of State every success in carrying out at least the most important steps we need to take now.
ParlaMint-NL_2020-05-27-tweedekamer-5.u288	Thank you, Mrs Lodders. Mrs Van Kooten-Arissen has the floor on behalf of the Krol/van Kooten-Arissen Group.
ParlaMint-NL_2020-05-27-tweedekamer-5.u289	Thank you, Mr President. I have one motion that I'm going to read to you soon. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that reports of wrongdoing by whistleblower Pierre Niessen are currently being investigated and limited in the investigation of Research Office Integrity Finance;]] [[noting that these abuses are related to the other abuses in the CAF, non-CAF and outside CAF files;]] [[noting that other reports against the senior officials concerned have also been received by the Tax Administration;]] [[Calls on the Government to include reports similar to those of whistleblower Pierre Niessen, such as the González Pérez reports on behalf of its clients and the reports of abuses by all citizens against the senior officials concerned, in the external investigation;]] [[invites the Government to send an interim report to the Chamber on the investigation of these abuses and relevant developments in this investigation by 1 September 2020 at the latest,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Kooten-Arissen and Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31066-647]]
ParlaMint-NL_2020-05-27-tweedekamer-5.u290	I give the floor to the Secretary of State.
ParlaMint-NL_2020-05-27-tweedekamer-5.u291	Thank you, Mr. Chairman. I would like to go through the questions and motions per speaker. I'll start with Mrs Leijten. She asked why we do not want to reverse the burden of proof in the context of the qualification OGS, either set-up/great debt. I would like to say two things about that. Firstly, we do not want to tell parents that they have to prove or prove that they have done something wrong. If they feel they've been mistreated, then we're going to investigate with them what happened. We want to go far in there. I have already said something about this in relation to Mr Van Weyenberg's questions. With regard to the files: if it is no longer in our documents or if parents no longer have their data, we will look for information from banks or childcare organisations, for example. We're also gonna look generously, because we think it's important that parents get the benefit of the doubt if they're in doubt. But it can also, of course, be that it is not plausible to suggest that there has been wrongdoing. Then the ultimate conclusion may be that a parent doesn't get compensation. But we are going to do everything we can to ensure that the information comes out. In addition, we look generously. That is what the burden of proof is. You also asked in the context of OGS: how does that work with the compensation? As mentioned earlier, OGS will no longer play a role in the future, because from now on we are giving everyone a personal payment arrangement. In the past we have indeed given that qualification. We also include them in the evaluation of the parents' files. This does not automatically mean that someone with an OGS qualification gets compensation, because it can sometimes have happened rightfully. But if it was wrong, if it was part of that biased treatment that we talked about earlier, where parents did not get a fair chance to argue their case, then the compensation scheme obviously fits. That therefore fits in with the customization that we want to set up for this particular scheme. That is actually what I would like to say. Set-up/greater debt is not automatic, but it plays an important role in the assessment of the files.
ParlaMint-NL_2020-05-27-tweedekamer-5.u292	Mrs Leijten, I give you the opportunity to put a short question. We have been discussing this all day today, so it must come to a conclusion at some point.
ParlaMint-NL_2020-05-27-tweedekamer-5.u293	I understand that, but I welcome the movement because Donner hasn't investigated intent/great debt at all. Now I have concrete contact with parents. The Secretary of State has that, of course, too, but it is said to a parent who has been judged by the committee: you meet three of Donner's five points, there is probably a set-up/great debt, but we can't find that anymore. We don't know what's going on with your OGS, but since you passed that bar, you won't be eligible for compensation anyway. We're gonna talk about this later, and the Secretary of State is gonna send you another flowchart. But I would like it to be clear how people who may not be able to meet Donner's list may be entitled to compensation. We all believe that this situation has suffered a great deal.
ParlaMint-NL_2020-05-27-tweedekamer-5.u294	We're going to take into the flowchart how that plays a role. It will usually be clear that someone has been blamed on purpose. We can usually find that fact, the reason why sometimes we can't. That is not something parents should prove; it does not fit in with our approach. I shall then turn to the questions that have been asked by Mr Omtzigt and those that are still open. One of them is about the files and the GDPR. The right of access within the meaning of the GDPR does not entitle you to a copy of the entire file, but you can make a request. Based on the GDPR Implementing Act, you can make a request to get that information. There is also an involvement of the General Administrative Law Act, which in some cases also entitles to compensation if the administrative body does not take a decision in time. In this case of requesting files, I indicated that we are struggling: we would very much like to give those files to the parents, but it takes an incredible amount of time to put them together. We think it is important that parents get the information they want and which is also important for the evaluation of the files. We will also let the Ombudsman take a good look at this. You indicate that if the Tax Administration is not in time to provide that information, then there may be compensation. That is also true; then the parent must fail us and so on and so forth. There is a possibility of compensation, but we sincerely hope that with the route we have found together with the Ombudsman, we will be able to help parents without entering this route.
ParlaMint-NL_2020-05-27-tweedekamer-5.u295	Also for you, Mr. Ommzigt, is a short question.
ParlaMint-NL_2020-05-27-tweedekamer-5.u296	This had remained in the first term. With this, the Secretary of State withdraws her reply from last night. It said there was no right to compensation. I thank her very much, and I hope to get that on paper. I hope these parents do not have to fail us and go to court, but with more than three months' delay you should be paid the compensation automatically. I would like an answer to that, or should the parents fail the Tax Office? That is possible; that is not at all bad and the only way a number of people can get their compensation from the Tax Office.
ParlaMint-NL_2020-05-27-tweedekamer-5.u297	Once again, we have set up a process, and I repeat myself once again, and I hope that we will not get into that position. We want to give the parents the information and we want it as soon as possible. But there is indeed a possibility of compensation if that were not to happen for a very long time.
ParlaMint-NL_2020-05-27-tweedekamer-5.u298	Thank you.
ParlaMint-NL_2020-05-27-tweedekamer-5.u299	Mr President, it is very simple. It had to be delivered within a month. The law provides for a possibility to delay this by three months, as well as the right to compensation. Most of these parents have been waiting for nine months. So all these parents are entitled to compensation for a late decision. I think it is so important for these parents because this is the tenth time for them that the Tax Administration has violated the General Law on Administrative Law. I hope that you will grant this right to these parents automatically, because I think they will be entitled to it sometime. I will also ask Parliament questions about this.
ParlaMint-NL_2020-05-27-tweedekamer-5.u300	I like to wait for those questions. Mr Omtzigt and Mrs Lodders asked if the previous Secretary of State was aware of agreements between the previous Dg Tax Office and those three employees. I checked that and did not find a note showing that the Secretary of State was informed or that those appointments were described.
ParlaMint-NL_2020-05-27-tweedekamer-5.u301	Any more questions from Mr Omtzigt? I'm looking at the Secretary of State.
ParlaMint-NL_2020-05-27-tweedekamer-5.u302	Yes, I'm sorry, I thought you were looking at Mr. Ommzigt. I come to Mr Omtzigt's request about information about e-mails or the terms and conditions that employees have laid down for participation in the ADR study. I have promised you that a letter has also been sent to you during our debate just now that you will receive that note. I want to do that very carefully. I have indicated this before, because I want to ensure that there is no information that is not intended to be made public. That's mainly about names. I will also look at the e-mail exchange that Mr Omtzigt is asking for and see which parts of it can be shared. Then Mr Omtzig asked what was discussed about the CAF approach in the Ministerial Committee on Fraud. The answer to that is as follows. Indeed, the CAF team is mentioned in a number of reports on the state-wide approach to fraud. I understand that these passages have never been discussed in the ministerial committee. In the debate with your Chamber on 21 January last, the Prime Minister indicated that these reports have been reviewed and that they have not been discussed. You then asked whether I could share those reports with the Chamber. No, I can't, because the ministerial committee is a sub-committee of the Council of Ministers and these reports are state secret. Then I turn to Mrs Lodder's question on two issues, one of which I forgot to mention in my first term. That was about the research that we are doing on the changes in the childcare allowance system, in the broad sense, by the way, because it comes from an ibo study that deals with all allowances. It is a document made by the Cabinet on the basis of cooperation with all the supplement departments and the Ministry of Finance. Your specific question was to look specifically at the issue of non-public funding in the examination of improvements or changes to the childcare allowance scheme. That is what it says, but you also wanted to see the opposite of it, namely whether there are other forms of funding for childcare. And you asked the supplementary question as to whether there are also possibilities to look at the surcharges in a very different way, for example by including them in the taxes. We will take this whole system into account in the ibo investigation we are returning to with the cabinet. We will ensure that the themes you have indicated will be included in that investigation. So I can promise you that. The question you further asked about the individual officials is answered in the letter that came in during your second term. It contains the document on individual officials. If it's all right, this answers your question. Then I will continue with Mrs Van Kooten-Arissen's question about the involvement and the timeline surrounding the involvement of the country's attorney in the declaration. The state's attorney did indeed help with the report. He advised on its signature. He did not advise on whether to report it or not, because that was clear to us a long time ago and we decided on the basis of Mr Biemond's opinion. The timeline is as follows. On 15 May 2020, the Ministry received the first and only draft advice. I have been informed about the content of this. I did not receive this draft opinion, but I was informed about the content. I have been told that I have a duty to report two suspicions of criminal offences. It was therefore clear that the decision should be taken by me and my colleague, because it is a legal obligation to make a declaration. It was then asked whether it was not self-evident that the Prime Minister should be involved. That makes sense, and that's what happened. The Prime Minister and the Ministry have been informed about the scope of the draft opinion and the decision taken by the Secretary of State for Taxation and Tax Administration, Mr Vijlbrief, and I to report it. On Friday 15 May 2020, the lawyer was asked to advise us in the process of filing the complaint. He helped us do that. I sent that report along with the letter of approval you received, not only the recommendation but also the declaration. The content of the declaration or otherwise is not agreed with the Ministry of AZ. I received the final opinion on 19 May 2020. I filed a report and sent the letter to the Chamber. Then we discussed this issue here in Question Time. Mrs Van Kooten-Arissen also raised a question about what is being done with citizens' complaints. The answer here is a little broader. Within the Tax Administration we have specific teams to deal with citizens' complaints. I will come to the question in your motion in a moment and I will say a little more about it. I think I've dealt with the outstanding questions. I'm going to move on to the motions.
ParlaMint-NL_2020-05-27-tweedekamer-5.u303	A brief question from Mr Omtzigt before we go to the motions.
ParlaMint-NL_2020-05-27-tweedekamer-5.u304	I had indicated that a number of pieces were missing. We got a flowchart of one page as a factsheet. Then came the fact sheet of the ADR and there were totally new things that we thought were reasonably relevant. Now we have them readable, for which we thank you. We would still like you to click on the underlying documents. That is not possible in this document, so I hope that will be taken care of. But I had asked if this is the complete schedule, because there are documents every time about communications with directors or assignments given.
ParlaMint-NL_2020-05-27-tweedekamer-5.u305	This is the complete schedule as we have it now. This contains all the facts and data that are known to us today. For example, you asked if there was anything discussed in that ministerial committee. I just answered that. This does not fit in with the timetable, at least there is no reason to include it in the timetable. With this timetable, you have the information we currently have on the basis of what has happened so far on this issue.
ParlaMint-NL_2020-05-27-tweedekamer-5.u306	So there are no memos that have been submitted to ministers or secretaries of state during this period of time, but which are not included in this schedule?
ParlaMint-NL_2020-05-27-tweedekamer-5.u307	Well, that's a bit too general a question, because memos go to State Secretary every day.
ParlaMint-NL_2020-05-27-tweedekamer-5.u308	About this case.
ParlaMint-NL_2020-05-27-tweedekamer-5.u309	As far as I know, this is the complete overview. I can check it again for you, but as far as I know, this is the complete overview of all the information. If I find anything else, I'll let you know.
ParlaMint-NL_2020-05-27-tweedekamer-5.u310	I'd love to. I assume that in two weeks' time I will hear whether there are any missing documents, in particular documents that have been sent to directors dealing with the CAF or any other recovery over the entire period under consideration.
ParlaMint-NL_2020-05-27-tweedekamer-5.u311	I will ensure that, if that is the case, there is an answer to that.
ParlaMint-NL_2020-05-27-tweedekamer-5.u312	Mrs Leijten, a brief question as well.
ParlaMint-NL_2020-05-27-tweedekamer-5.u313	In any case, I do not see in that schedule the official advice on possible criminalisation, which you have just sent to us around 5.30 p.m. and which we had asked for. I think it would be good if we had another look at that, because that obviously has a relationship with this case. When it comes to that ministerial committee on fraud, I tabled a motion in this Chamber asking the government to consult with the Chamber on how it can access those documents, because after the evaluation of the parliamentary inquiry, the Chamber considered that it was not up to the government to make anything state secret. Well, I'm still waiting for this motion to be reviewed on 20 February 2020, so that's been a while. I'm not gonna wait any longer. I propose that the motion be put to the vote at the next voting list. Because if the government doesn't come up with a reaction to this, then we in the Chamber should look at how we can get to that documentation. I have heard from several people that they want to do so and talk to the cabinet about this state secret ministerial committee.
ParlaMint-NL_2020-05-27-tweedekamer-5.u314	So you're putting this motion to the vote?
ParlaMint-NL_2020-05-27-tweedekamer-5.u315	Yes, just for the administration: it concerns the motion in part No. 29 (28362), tabled on 20 February.
ParlaMint-NL_2020-05-27-tweedekamer-5.u316	Okay. Mr. Snels.
ParlaMint-NL_2020-05-27-tweedekamer-5.u317	In addition to Mrs Leijten and Mr Omtzigt, we have often asked as a Chamber about the ministerial committee and its reports. We're not gonna get one, and we're gonna table a motion on that right now. But if the Secretary of State is going to look at the department for missing pieces in the timeline... Look, this was an underdog. All sub councils are being prepared, including officials. I cannot imagine that this Ministerial Committee on Finance or the Tax Administration has not been prepared by officials with memos for the DGs or the directors. We would also like to have this information, because if it has not been discussed in the ministerial committee, then it has in any case been prepared with perhaps decisions or decisions.
ParlaMint-NL_2020-05-27-tweedekamer-5.u318	I'll look into that. It was not discussed in the ministerial committee. It may well be that it is not in preparation, but I would like to take a look at that for you.
ParlaMint-NL_2020-05-27-tweedekamer-5.u319	Fine. Now the motions.
ParlaMint-NL_2020-05-27-tweedekamer-5.u320	Then there's the motions. First, the motion in part No. 640 by Mrs Leijten, in which the government is asked to send to the Chamber as soon as possible the investigation into intent/big debt. I find that a little complicated, because there are two things that are going to get mixed up here. We have just briefly discussed the question of how set-up/greater debt plays a role in the assessment of cases. Then it's about individual cases. We will come back to that next week with the flowchart and the treatment of the law. So that's what we're gonna see. The investigation into how someone got that qualification has not yet been completed. This is not so much a question of how individual parents felt, but of how that happened with that intent/great guilt, because we know that a lot of parents, especially because of that qualification, have gotten into extra trouble. We're gonna work on that. If that investigation brings up facts, of course we'd like to do that research, but I find it a little tricky. I would advise against this motion because, as far as I am concerned, this is too complicated a structure in which two things run through each other. You will receive from me the promise that we will of course talk about intent / gross debt in the treatment of an individual case. As I pointed out, at this point in time there is this investigation into intent/great guilt and how it has worked in our ministry and how it has played a role in this supplement problem, but I find it a bit difficult to give this motion the Chamber's judgment. I would therefore advise against this.
ParlaMint-NL_2020-05-27-tweedekamer-5.u321	A brief reaction or comment, Mrs Leijten.
ParlaMint-NL_2020-05-27-tweedekamer-5.u322	There is, of course, a conviction for set-up/greater debt of the Council of State, which is disproportionate, in April 2019. That was, of course, the decision-making process at the time. That's what I'm talking about, for example, by underlying pieces. The Secretary of State now says here: we do our own research on intent/great debt. I was promised earlier by Donner that it would be taken. That's what Donner said again: I didn't do that. This just says, "Get on with it so we know." You turned it off. Hail for that, because it worked disproportionately. The only thing this motion says is: round it up as soon as possible; share it with the Chamber, but also the underlying documents that have monitored the trial from that conviction.
ParlaMint-NL_2020-05-27-tweedekamer-5.u323	I now declare that I will do two things. I make sure that we have the discussion about how it has played a role in individual cases. The investigation that's going on right now, I'd like to share it as soon as it's there. I can't share that now. You're asking for the investigation, including the underlying documents, to be sent as soon as possible, but I don't have it yet. As soon as we've done that investigation, I'd like to share it with you. If I give you my word, it might be possible for you to do the same.
ParlaMint-NL_2020-05-27-tweedekamer-5.u324	All right, let's move on. The verdict is clear.
ParlaMint-NL_2020-05-27-tweedekamer-5.u325	Then I shall go to Mrs Leijten's other motion, the motion in part No. 641, co-signed by many, in which the government is asked to ensure that when dealing with cases in which parents are blamed for intent/big debt, the Tax Administration always makes known what parents are suspected of. I'd really like to do that if we know that, too. In some cases, people have received this qualification and it is not for us to take it back on which it is based. Of course, that plays a role in the individual files, but when we know, we certainly want to share it with parents.
ParlaMint-NL_2020-05-27-tweedekamer-5.u326	And what's the verdict?
ParlaMint-NL_2020-05-27-tweedekamer-5.u327	Judgment Room.
ParlaMint-NL_2020-05-27-tweedekamer-5.u328	Okay. You disagree, Mr. Ommzigt?
ParlaMint-NL_2020-05-27-tweedekamer-5.u329	I totally agree, but does the government realize what she's saying here? Does the government realize that there are therefore parents who have been given intent/big debts, who have not been admitted to debt relief and could not therefore be released from debt in three years? That means that pay was laid, that cars were impounded, that they went through house expulsions and whatever. And now the government says here: we actually have no idea why it happened to a number of people. That is serious in a rule of law. These people have suffered a punishment that may be worse than a few months in prison. 'Cause then you're off the hook. These people have been hanging on it for ten years, and we can't reconstruct why they got it? Does this mean, when you have such a case where you can't reconstruct it, that this person will immediately be cleared of all his debts, or are we going to look ahead for years and maintain that intent/great debt?
ParlaMint-NL_2020-05-27-tweedekamer-5.u330	Moreover, I very much agree with you that it is very important that any decision taken by the public authorities in implementation files should be well documented and recorded, so that it can be reconstructed as to how such a decision was made. We all know, both you and I, that in the case of this child care allowance, of course, a great deal has gone wrong. This is one of those elements. It is no longer always good to find out clearly in the documents why people are blamed on purpose. I will make sure that we look at how that plays a role in the assessment of the dossiers. I hope we'll discuss that next week when we discuss the law.
ParlaMint-NL_2020-05-27-tweedekamer-5.u331	[[Sentence could not be parsed: Het kan niet zijn "hoe het een rol speelt".]] If someone gets blamed ten years ago and that person has been sent into the woods for ten years and now asks if he can get rid of his debts because he's going crazy, I assume you'll take immediate action. If you can't determine why what happened and that person has asked for it a hundred times, isn't that a solution for that family? Then we're not gonna bully that family for another three or five years, are we? I would like to have a letter on this within a few days, because this is the essence of what went wrong. Those who were not blamed on purpose have gone through a valley, but they were all out within three years. That's when the debts go down and you can move on. This is the toughest category. This is more difficult for many than a prison sentence. These people don't know why that happened. It's Mrs Leijten's motion...
ParlaMint-NL_2020-05-27-tweedekamer-5.u332	If it's her motion, why are you interrupting it?
ParlaMint-NL_2020-05-27-tweedekamer-5.u333	Because I'm getting the opportunity from the chairman.
ParlaMint-NL_2020-05-27-tweedekamer-5.u334	Yeah, come on! Then I'll go see Mrs. Leijten.
ParlaMint-NL_2020-05-27-tweedekamer-5.u335	No, Mr. Chairman. This is the essence of what has gone wrong in the rule of law. These people were blamed ten years ago. Are they done if the government doesn't even know why they got it? Or could you put that in a letter in a week? This is essential for the legislative proposal.
ParlaMint-NL_2020-05-27-tweedekamer-5.u336	Maybe I should say two things about that. I agree with you that this is very serious, that it should not be and that it should always be possible to trace why decisions have been made in dossiers. The fact that this has not been done properly in that case is one of the elements of this dossier. I also admit that it is a very important element. We have stopped the recovery for all those who are guilty of intent, so none of those people currently have to pay on that basis. We have said that we are going to establish the arrangements first, we are going to re-assess your file and then we are going to look at that again. That's what's going on. I do not think I need to send you a letter about that, because that is exactly how it goes. The essence is that next week we are going to indicate how this theme of intent/big debt plays a role in those arrangements that we are talking about.
ParlaMint-NL_2020-05-27-tweedekamer-5.u337	Then I'll go see Mrs. Leijten. A quick question.
ParlaMint-NL_2020-05-27-tweedekamer-5.u338	In an administrative decision about how to deal with people who deliberately/greatly blame things, it says that the Tax Administration should do. That means proof. The internal handshake says you have to document properly. If that documentation is no longer available, then the scheme is now in order for parents to prove it. And that's exactly what's in the reversal we've been talking about all along. I would like the Secretary of State to have a better answer to this in the next debate.
ParlaMint-NL_2020-05-27-tweedekamer-5.u339	I suggest you move on.
ParlaMint-NL_2020-05-27-tweedekamer-5.u340	Very good. I shall go to Mr Azarkan's motion on item No. 642, which asks for the files requested to be completed and provided as soon as possible to all payment recipients. I just said a little bit more about that. The problem is that putting these files together takes incredibly much time and work, and we would like to do so, but above all we want to ensure that people are helped with specific questions as well and as quickly as possible, if they have them. So we are going to make sure that we approach these parents and ask them exactly what questions they want answers to and what documents they are looking for. We're gonna get to work on that. Once again, the Ombudsman is watching. However, I would like to assure you that I will ensure that there is a planning for the parents who have made a request at the moment, so that it is also clear when the answers to these questions can be given to them. So we're gonna approach these parents. We're gonna ask them exactly what they're looking for. We hope to give the answers as soon as possible, but where parents want to keep getting full files, we are going to make an insightful planning for them.
ParlaMint-NL_2020-05-27-tweedekamer-5.u341	And the verdict is?
ParlaMint-NL_2020-05-27-tweedekamer-5.u342	The verdict is that I wish to discourage the motion in this form.
ParlaMint-NL_2020-05-27-tweedekamer-5.u343	Okay.
ParlaMint-NL_2020-05-27-tweedekamer-5.u344	I shall now turn to Mr Azarkan's motion on item No. 643, which calls on the government to organise a wide-ranging review in which all government executive services are assessed for professional discrimination. I understand the question Mr. Azarkan is asking. It is, of course, extremely broad and goes a great deal beyond my powers. I must therefore discourage this motion. I would like to refer to the fact that the Ombudsman is currently investigating the same subject. I'm afraid I can't carry out this investigation for you.
ParlaMint-NL_2020-05-27-tweedekamer-5.u345	One more motion from Mr Azarkan and then you will have interruptions.
ParlaMint-NL_2020-05-27-tweedekamer-5.u346	That's a motion from the Chamber, so that's what the Chamber itself is about.
ParlaMint-NL_2020-05-27-tweedekamer-5.u347	Oh, yeah, that's right. Says it. Mr. Azarkan.
ParlaMint-NL_2020-05-27-tweedekamer-5.u348	However, about the motion in part No. 643. Of course, it's pretty serious what happened. Moreover, the Ombudsman has found that bias, so that sometimes you already have a judgment without knowing the facts and documents until you have taken them, is found in broad sections of the government. Can't the Secretary of State turn it over? It is a request to the government, of which the Secretary of State is a member. The government speaks with one voice. Therefore, I find it a little easy to say: it's complicated, so I won't do anything with it.
ParlaMint-NL_2020-05-27-tweedekamer-5.u349	I could pass it on to the Minister of the Interior to see what she could possibly do with it. 'Cause I know exactly what you mean by that, and I get your point. Again, I also think it is very important that the issue of discrimination should not be raised. So I'd like to take it with me to the Home Secretary. Then there's the motion in part No. 645 by Mr Nijboer and Mrs Leijten, who requested that all parents be compensated by 1 September. I indicated earlier in the debate that, although I would very much like to do so, I cannot just live up to that. There are two reasons for this. Based on the facts, the knowledge and the details I already have, I know I have a lot of work to do. We have also indicated that parents still have to be able to report in order, for example, to be eligible for the hardness of the scheme. I would like to give them ample time to do so, so not just to say that they have to report within a week or two weeks. They'll have more time for that. It's also for that reason that I think it's important. I'd like to promise you two things. We make a clear schedule when the parents who are now in the picture are next, when their files are being processed and when they can count on our assessment. I also promised that I would be the first to deal with the most poignant, hardest problems. I would therefore advise against this motion.
ParlaMint-NL_2020-05-27-tweedekamer-5.u350	The second reason I find a bit of a fallacy. There is no way in this motion that parents lose their rights or that it may take longer. The motion isn't meant to be like that either. On the first thing, we just disagree. I would like to ask the Secretary of State if there is a deadline. Every time it gets difficult, when it gets difficult, when it gets more complex, that date moves up for the parents. If former Secretary of State Snel had said "in 2021 we compensate," we would have sent him home earlier, so to speak. We wouldn't have accepted that. Now the Secretary of State says: 2021 I'm really going to get it. But no one knows that for sure. Is that a hard end date?
