ParlaMint-NL_2020-09-02-tweedekamer-6.u1	I give the floor to the Minister of Health, Welfare and Sport.
ParlaMint-NL_2020-09-02-tweedekamer-6.u191	Thank you, Madam President. Thank you also to the Minister for answering the questions. As far as GroenLinks is concerned, the crux of the law is that there can be no abuse. That's what I read in the text. It shouldn't be against you if you don't download the corona app or you do. That is also a reaction towards the colleague of the Party for Animals. You can say what your argument is to be against it. You're welcome. You can't put someone else on the spot that this shouldn't be an argument to be for something. It's actually in the text. I'm a little more positive about it. We are going to follow the CoronaMelder critically, but it is important that there is a framework of protection to ensure that it cannot be abused. I also keep a close eye on the government. We were just discussing whether testing could be made easier for some people through a directive, for example if you downloaded the app. I will follow that critically to ensure that no improper distinction is made. My question whether it is true that people are actually warned twice has not yet been answered. So if you have both an app and come forward in source and contact research, you are warned in two ways. That also means that if you only get the app notification, you didn't come up in the source and contact research. I also asked how big the increase in the number of tests was. Each time the Minister replied: at least 0.2%. In the introduction, I said that I do not want to know what it is at least, but what the Minister is taking into account. Or is it a little "God bless the grip"? Finally. This is a special situation. We really need to avoid thinking very easily in the future: handy, such an app, we're going to do that again. Mr Van der Graaf has asked a number of important questions about the underlying system, i.e. the exposure notification framework. I think it is important to see what its meaning is. What can the tech giants do with it? What is our impact on the situation a few months ago?
ParlaMint-NL_2020-09-02-tweedekamer-6.u192	Thank you, Mrs Buitenweg. I now give the floor to Mr Verhoeven on behalf of D66.
ParlaMint-NL_2020-09-02-tweedekamer-6.u193	Thank you, Mr. Chairman. Thank you also to the Minister for explaining and explaining a number of things. It's not black and white, it's not perfect and it's not fixed either. It's a process in which we're going to see what it's gonna be like over the next few months. We have put under a law there today which at least gives the assurance that the way the app is going to be viewed and handled by all of us is orderly, safe and reliable, without knowing what it's going to look like. I think that was well explained by the Minister. I found his explanation of how we deal with the limited test capacity and the additional information provided by the app, at least sufficient. I could handle it. This has also reduced the app a little bit to what it should have been from the start. The Minister himself has said something about this: an addition to the total repertoire of stuff, possibilities, agreements, rules and techniques that we have to reduce the virus as much as possible. It's not a perfect cure. It's a supplement. It is an additional source of information from which any Dutchman can determine whether or not he wants to use it. Does it have any added value? Yeah, probably. Is that added value big? Maybe not as big as we might want, but at least everyone can decide that for themselves. I think it is very important that we increase the test capacity as much as possible and that we keep a close eye on the app over the coming months, including the undesirable aspects and dimensions. I am pleased that the Minister has left our amendment to the Chamber. Redirectivity is an incredibly important point for me. That's exactly what we shouldn't have. That this is also in the law gives me comfort. I would like my name to come under his amendment, if Mr Hijink would allow it. I do not know whether I can arrange this or whether I should ask him via e-mail, but at least I said it. The motion of the VVD has made me very much in favour of that amendment. I do not want to see an urge or a secondary, indirect urge exerted on people in any way. I would like to say the following to the Animal Party. I don't think the app is perfect. That's why I think this law is so important. So I don't follow the reasoning that if you're against the app, you're also against the law and that if you're in favour of the app, you're also in favour of the law. No, it's almost the other way around: if you have any doubts about the app, at least you have to support this law. That would be my advice to your group.
ParlaMint-NL_2020-09-02-tweedekamer-6.u194	Thank you, Mr Verhoeven. I now give the floor to Mrs Kuik on behalf of the PvdA.
ParlaMint-NL_2020-09-02-tweedekamer-6.u195	Mr. Chairman. I thank the Minister for his answers. I said in my first term that we intend to give this app the benefit of the doubt. In any case, the most important preconditions are privacy, open source, A number of amendments have been tabled which have been given the Chamber's opinion and which will pass. That only makes the legislation better, I think. Now we need to evaluate and monitor whether it actually has an added value. Not for nothing have I asked specifically: who ultimately determines what we are going to put the test capacity on? Does it then make sense to give priority to people who have had a notification in a test street or not? That only requires one thing: the test capacity must be raised to the left or to the right as much as possible. It is also a question of how much people have confidence in the government. People face very complicated choices, for example, when a lot of reports or lots of false reports come in and when we ask people to stay home while they have a vital profession. And if we ask people to stay home, how long will you be home? That could be ten days. If you have your own business to run, or you're a zzp'er, or you have a zero-hour contract, you're going to face very complicated choices. Not having the certainty that you're allowed to take a test like that undermines trust. Then maybe an app will do more harm than good. I don't think that's the point. So we're gonna keep the finger on the wrist. Let's hope the app actually helps.
ParlaMint-NL_2020-09-02-tweedekamer-6.u196	Thank you. I now give the floor to Mr Jansen on behalf of the PVV.
ParlaMint-NL_2020-09-02-tweedekamer-6.u197	Thank you, Mr. Chairman. I'll be brief. Thank you to the Minister for answering the questions in the first term. However, there is one question that he has not yet answered, namely the question about Ireland. There the app was downloaded in the first week by more than 1.3 million people, but in the past period it has been deleted 500,000 times. I'd like your response to that. The question was also: how do you see this in relation to the situation in the Netherlands? Do you think there could be a similar development here? In addition, I have already made it very clear in the first period what the PVV's position on the legislative proposal is at present. That hasn't changed. Thank you.
ParlaMint-NL_2020-09-02-tweedekamer-6.u198	Thank you, Mr. Jansen. I now give the floor to Mrs Van den Berg on behalf of the CDA.
ParlaMint-NL_2020-09-02-tweedekamer-6.u199	Thank you, Mr. Chairman. We would also like to thank the Minister for answering all the questions. We also welcome the Court's opinion on the amendment on interoperability, so that we can also cooperate with other European countries. That is very important for the border regions. It is often said that the venom is in the tail. As far as we are concerned, that is the whole communication at the launch of the app. On the one hand, therefore, I will give my group a positive opinion on the SP amendment, which is not just about coercion, but also about urges. The reason why I co-signed Mr Middendorp's motion is because I often see that public sector information hangs on their own walls as information for employees, for example. Those companies mean that neutral, but that could happen wrong in this case. I would like to make that clear. If the text of the motion for a resolution needs to be clarified, it can be done in all directions, but that is why I signed Mr Middendorp's motion. I know that happens all the time.
ParlaMint-NL_2020-09-02-tweedekamer-6.u200	Why would an employer want to put up a poster to bring out a corona app?
ParlaMint-NL_2020-09-02-tweedekamer-6.u201	Because an employer often hangs public sector information, which the government therefore considers important for all citizens, just for information. This could also be information from the Labour Inspectorate, for example on the danger of falling. Think of beautiful posters from the Labour Inspectorate that state how to make sure you don't fall down a stairs and then think about it. It's about that sort of thing. I'd like to avoid that. That is the only reason why I co-signed Mr Middendorp's motion.
ParlaMint-NL_2020-09-02-tweedekamer-6.u202	But then it depends on what the minister just said, namely that the government explicitly communicates that it is a voluntary app, that is to say underneath it.
ParlaMint-NL_2020-09-02-tweedekamer-6.u203	Absolutely.
ParlaMint-NL_2020-09-02-tweedekamer-6.u204	Then it is a completely uncontrolled copy of public sector information that exists.
ParlaMint-NL_2020-09-02-tweedekamer-6.u205	And yet this employer can then be addressed, so "you are actually promoting that app; you are still exerting an urge, because you put this poster up here." I'm just trying to avoid that discussion.
ParlaMint-NL_2020-09-02-tweedekamer-6.u206	Mr Verhoeven, no one hears what you're saying. You've made your point. Thank you very much, Mrs Van den Berg. Finally, Mrs Van der Graaf has the floor on behalf of the Christian Union.
ParlaMint-NL_2020-09-02-tweedekamer-6.u207	Thank you, Madam President. I thank the Minister for his clear answer to all the questions. There were quite a lot of them and we have been debating all day. The Christian Union has put forward a number of proposals to emphasise voluntaryity. You cannot be forced, but there can be no soft pressure to download that app either. The anonymity must be guaranteed in order to prohibit the traceability of the data. Temporaryity is emphasized by shortening the duration of the law. With these reinforced safeguards in the law, I will advise my group to support this bill. I asked another question about the cost of this app. I haven't had an answer to that. That's what I'd like to hear. I have also asked a few questions about the vulnerable position of the elderly. I hope to get an answer to that, too. Then I come to the motion, which I have just announced. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the Netherlands, and other European countries, depend on the exposure notification framework and the operating system of Apple and Google for the development and application of notification applications;]] [[Calls on the Government, at European level or not, to agree with Apple and Google to set up the exposure notification framework for users in the Netherlands at the request of the Dutch Government, at least to agree on who decides that the framework is necessary in the Netherlands or not, who determines when that moment is there, what "regional deactivation" looks technical and what effect it has on users in the Netherlands, and how it will communicate to users;]] [[also invites the Government to evaluate any changes to the framework as well as updates of the operating systems Android and iOS on the effects on app users and, where necessary, to include additional measures, to adapt the Data Protection Impact Assessment (DPIA) in that case, or to terminate the app,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van der Graaf and Mr Buitenweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35538-18]]
ParlaMint-NL_2020-09-02-tweedekamer-6.u208	I'll give the Minister the floor.
ParlaMint-NL_2020-09-02-tweedekamer-6.u209	Mr. Chairman. There's been a number of motions. In addition, a number of questions remain from the first term. I'll start with the motion in part No. Mr Hijink, who asked the government to extend the testing policy at the same time as the national introduction of the CoronaMelder, so that anyone who received a notification via the CoronaMelder could be tested for the virus as soon as possible. I'm going to dissuade that motion, although I understand the background to it very well. I can only accept the request if we can actually adapt the directive in that direction because the capacity allows it at that time. Until it has been found that this is of sufficient added value and until it has been found that capacity can suffer, I cannot give a ruling Chamber here. In addition, I do not think we should amend directives per motion. So I am going to discourage this motion, although I actually support the direction of this motion.
ParlaMint-NL_2020-09-02-tweedekamer-6.u210	Okay. Then there's the second motion.
ParlaMint-NL_2020-09-02-tweedekamer-6.u211	The motion in part No. 15 by Mr Baudet, on cumulative uncertainty, and...
ParlaMint-NL_2020-09-02-tweedekamer-6.u212	Baudet? From Haga.
ParlaMint-NL_2020-09-02-tweedekamer-6.u213	...of Mr Van Haga, both comrades, I'm simply going to dissuade. That rhymes too. Mr. Chairman. The motion in part No. 16 by Mr Middendorp and others is a very epistle, impressive. I am going to leave that judgment to the Chamber, because I also want us to continue to evaluate.
ParlaMint-NL_2020-09-02-tweedekamer-6.u214	Okay. Then the fourth motion.
ParlaMint-NL_2020-09-02-tweedekamer-6.u215	The intensity of the reporting obligations is very high. I'll deal with that a little proportionally, if you don't mind. Then the motion to part No. 17 by Mr Middendorp and Mrs Van den Berg. I saw the little debate that took place. In my view, Mr Middendorp and Mrs van den Berg want to say that this is how I can live with it: maintain proportionate and maintain common sense. If it is simply said with enthusiasm "Oh, good thing, that CoronaMelder; you should use a poster on the wall too," then there is nothing wrong. Once that leads to urge or compulsion, there is something going on. It would then be contrary to the legal provision. So if I can make it a "common sense" move, if I can understand her like that, I can leave the judgment to the Chamber. Then the motion...
ParlaMint-NL_2020-09-02-tweedekamer-6.u216	Mrs. Buitenweg.
ParlaMint-NL_2020-09-02-tweedekamer-6.u217	I would like to know from the Minister whether, if the motion is not adopted, it is less common sense and less proportional. Or is this just standing-up policy? Because then we're not gonna file any more motions.
ParlaMint-NL_2020-09-02-tweedekamer-6.u218	Well... Here's what I'm gonna say. I get the accent the VVD and the CDA want to give. Indeed, the law is very strict and perhaps it has made it even stricter, at least in its appearance. He says: indirect or direct, there should simply be no urge and compulsion. "Yes, but," say VVD and CDA. Or actually "yes, and": yes, it is, but that should not go crazy, because you can of course say that it is a good idea to use that thing, if you keep telling me that it is voluntary. I think that we are going to act in that vein.
ParlaMint-NL_2020-09-02-tweedekamer-6.u219	Please continue.
ParlaMint-NL_2020-09-02-tweedekamer-6.u220	Then the motion to part No. 18. I think this is a very complicated motion, and we have already seen that a little bit about the debate, because I do not think I can implement it in this way. Because in this way, the motion actually asks to make appointments with Apple and Google to disable the exposure notification framework, which is just built into the operating system, for a country. That is actually what this motion is asking for. I don't think I can ask that from Apple and Google. That system is being used all over the world. It's kind of crazy if every country there could build in their own wishes. What you do want is that you can exert pressure if it develops in the wrong direction. Of course, I can have that conversation with my European colleagues. Could I suggest that you hold this motion or perhaps even withdraw it, although the latter would be very rude to ask? In any case, I would like to ask you to stop her and then give me the opportunity to let you know in writing, after consultation with my European colleagues, how I will shape that conversation with Apple and Google, in order to put pressure on that framework.
ParlaMint-NL_2020-09-02-tweedekamer-6.u221	Yes, thank you. Then I'll go to Mrs. Van der Graaf. What are you gonna do with that motion?
ParlaMint-NL_2020-09-02-tweedekamer-6.u222	I am prepared to hold the motion and receive a letter from the Minister. I would very much like to receive it before the app is introduced. So that's real in the short term. This is what worries live about. I understand that Apple and Google are able to deactivate regionally, so they can deactivate the framework in a country. So I want Apple and Google not to decide that for the Netherlands, but that the Netherlands itself can ask to do so. So my motion sees not only to ensure that it all goes the wrong way, but also to clear agreements about when it is necessary to do it.
ParlaMint-NL_2020-09-02-tweedekamer-6.u223	You said that, Mrs Van der Graaf.
ParlaMint-NL_2020-09-02-tweedekamer-6.u224	The Minister will return to that in writing before the app is introduced, I understand? Yes. Then that's clear. There were a few questions.
ParlaMint-NL_2020-09-02-tweedekamer-6.u225	Just a few more questions. Mrs Van der Graaf had a question of more practical order, namely what total costs have been so far. The cost of ICT development is less than 5 million. These costs are largely linked to the hiring of external expertise and also to external services or products. Only $5 million. Then there is Mrs van der Graaf's question about the elderly. For some elderly people it is not possible to download that app. Sometimes that's because they have a somewhat older phone. I don't think we should make the problem any bigger than it is. It has to do with the fact that the framework only works when the operating system is iOS 13.5 or Android 6. And they work on phones up to five years old, about. It is estimated that this represents 94% of smartphones. So that in itself is the majority of smartphones. We can't do much about that without compromising privacy. Otherwise, we wouldn't have to use that framework, but then you're going to work with location settings and then you're really going to compromise the privacy requirements. So, unfortunately, there's nothing we can do about that. Do I recognize signs of elderly people being called by strangers pretending to be the G.D.D.? Well, of course, that's a more common social phenomenon. I see on social media letters from the RIVM that are not from the RIVM and letters from the GGD that are not from the GGD. So you can get someone on the phone who isn't from the GGD, when they say they are. It's possible. Unlike communication, I don't think I can help it. The question of whether the technical troubles have been solved, I had already answered. With this morning's update, that gross modo is solved; in Android that is. Is it true, Mrs Buitenweg, that you can get a warning twice, namely via the app and via BCO? Yeah, you can. I hope that it will also happen a few times that you do not come up in the BCO, but in the app, because only then will it have added value. We're going to keep an eye on that with the evaluation we're going to shape. What do we take into account? What could be the estimate? I am saying that with all the uncertainties there are, because I know that most of these forecasts do not come true exactly is that this could require some 2,500 tests. That's a lot for now, so something not to just decide overnight. But when I look at the numbers we want in the fall, that's fine to do. Anyway, reality is rather unpredictable, so let's not go ice in one night. Then the Minister's expectation of reliability and effectiveness in all those downloads. Mr Jansen asks that. He mentioned Ireland's numbers, where apparently there is also a number available that people did install it first and then they didn't. So we cannot verify this in an automated way, because we have done data minimization. What we can do is involve that fact in the evaluation. How it works with the Irish, I'll have to check with them, because I wasn't ready for that.
ParlaMint-NL_2020-09-02-tweedekamer-6.u226	Short question. Mr. Jansen.
ParlaMint-NL_2020-09-02-tweedekamer-6.u227	That's exactly my question. Would you check with your Irish colleague on European cooperation...
ParlaMint-NL_2020-09-02-tweedekamer-6.u228	Calling the Irish? Sure.
ParlaMint-NL_2020-09-02-tweedekamer-6.u229	...what exactly is going on there? Of course, there are a lot of them. 500,000 is a lot.
ParlaMint-NL_2020-09-02-tweedekamer-6.u230	Yeah, sure. Sure. I'll go to the Irish and see what that's like.
ParlaMint-NL_2020-09-02-tweedekamer-6.u231	And inform the Chamber about that, I suppose.
ParlaMint-NL_2020-09-02-tweedekamer-6.u232	Sure, of course. In addition to the letter I am going to send to Mrs Van der Graaf, in response to what has been asked about the evaluation, I am going to indicate exactly how we are going to shape this ongoing evaluation. Quite a lot of questions have been asked about the evaluation. Once we pass that law, we're still gonna monitor the app and evaluate how it works. In response to the motion of the VVD c.s. And Mrs Buitenweg's questions, I'm going to send you a letter on how we're going to shape that exactly so you know exactly what you have to expect. The date of introduction has to do with how the other side will decide on this, of course, but I will also inform you about it. And also about how we deal with the prioritisation of test capacity; these are actually the underlying questions of Mr Hijink and Mrs Buitenweg. I will inform the Chamber in due course. (NL) Mr President, that's what we're talking about.
ParlaMint-NL_2020-09-02-tweedekamer-6.u233	Then I would like to thank you, and also the Members of Parliament, of course.
ParlaMint-NL_2020-09-02-tweedekamer-6.u234	We shall vote on the proposal and the amendments and motions tabled tomorrow.
