ParlaMint-NL_2020-11-05-tweedekamer-12.u1	The next item is the continuation of the EZK budget, including the National Growth Fund.
ParlaMint-NL_2020-11-05-tweedekamer-12.u367	Thank you, too. I shall then give the floor to Mr Amhaouch, including the CDA.
ParlaMint-NL_2020-11-05-tweedekamer-12.u368	There's gonna be one more minute, Mr. Chairman. Thank you, Mr President. I would like to thank the two heads of government, the Minister and the Secretary of State, for the response and the vision of 2040, but also for the attention of the Secretary of State for the financing of smaller SMEs. That is very important, especially in this crisis. Thank you also for the "Court of Justice" for the amendment on procurement. Mr. Chairman. I'll file a few motions first. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a fair economy cannot be without a sound, broad financial sector in which each institution, big or small, must be able to do what it is best at;]] [[Whereas access to finance for entrepreneurs is essential in order to undertake and cope with the current corona crisis;]] [[Considering that, both before and during the corona crisis, large system banks have been able to grant relatively small credit applications up to €250,000, such as through the KKC scheme, but to a limited extent, inter alia because the cost of credit is higher than the credit itself or a banking relationship is lacking;]] [[noting that recent CPB research has shown that a more diverse SME financing landscape with sufficient competition and choice for SMEs is needed to be less vulnerable and to provide SMEs with optimal funding opportunities;]] [[whereas the Chamber in 2019 the motion-Pieter Heerma c.s. on the Volksbank (Room 35300, No. 14);]] [[calls on the government to improve lending to SMEs and small family businesses, at low administrative costs and organised in the region, by:]] [[accelerate the establishment of a fund for alternative financiers;]] [[explore other opportunities to further stimulate a diverse SME financing landscape;]] [[examine whether an SME bank fits in and how it could be developed;]] [[Calls on the Government to involve Qredits and other relevant parties and to inform the Court of Justice of this before 1 April 2021,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Amhaouch, Mr Bruins and Mr Verhoeven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-27]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u369	Why April 1st? Is that some kind of April 1 joke? Then the room's already gone. Why April 1st? The second is that we have been having this discussion for three years and now you are coming up with such a proposal. At the end of the ride you will come up with such a proposal. Then I think: why have we had this discussion all these years to help improve lending?
ParlaMint-NL_2020-11-05-tweedekamer-12.u370	This is a repeat of moves. I think the last steps have been taken. Alternative financiers have come. We have supported Qredits much better. We have better support for the ROMs. We tabled two amendments last year. And then you want to take the next step. If you take this investigation seriously, you'll take your time. We are already in November, with the budgetary discussions. Let's get the work done properly. We are genuinely looking for an alternative way to provide small SMEs in the region. I hope that we can all make a breakthrough here, so that we let the system banks do their job in that larger area and let the SME bank or something like that finance the smaller SMEs. I think Mr Öztürk can only be pleased that we are all heading in that direction and...
ParlaMint-NL_2020-11-05-tweedekamer-12.u371	Thank you.
ParlaMint-NL_2020-11-05-tweedekamer-12.u372	...that he's going through that in this cabinet period. Then he left good work with his colleagues.
ParlaMint-NL_2020-11-05-tweedekamer-12.u373	Thank you. Any short questions?
ParlaMint-NL_2020-11-05-tweedekamer-12.u374	Yes. For three years, we have indicated that the system banks do not want to help small businesses. That has finally been recognised, and I am pleased about that. Only, we have denied the alternative for a long time, and that is why many small entrepreneurs have not received any loans. That was my point. Now, at the end of the ride, you will come forward with an investigation. We will see what that research will show, but the most important thing is that you should have the guts to say: we should have been harder on the big banks in the last three years to help small businesses. You didn't, but you should have.
ParlaMint-NL_2020-11-05-tweedekamer-12.u375	I am sincerely pleased that Mr Öztürk is also pleased.
ParlaMint-NL_2020-11-05-tweedekamer-12.u376	Thank you.
ParlaMint-NL_2020-11-05-tweedekamer-12.u377	Then I'll move on. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the long-term growth strategy for the Netherlands aims to raise the earning capacity of the whole of the Netherlands;]] [[Whereas we need the strength of all regions to do this and there are wide opportunities for growth in all regions;]] [[points out that it is important that regional diversification and regional development are part of the Dutch growth strategy,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Amhaouch, Mr Verhoeven, Mr Bruins, Mr Moorlag, Mr Graus, Mr Futselaar, Mr Van der Lee, Mr Stoffer, Mr Öztürk, Mr Wiersma and Mr Van Otterloo.]] [[She's getting No. kst-35570-XIII-28]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u378	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in the Netherlands about 70% of all companies are family businesses, employing 2.2 million people;]] [[noting that long-term continuity and the transfer of the business to the next generation are central to family businesses;]] [[Whereas the succession scheme is important and should be maintained for family businesses;]] [[Whereas there are also other instruments that can contribute to a smooth transfer of business, such as increased knowledge and information collection, strengthening governance and tailor-made services for family businesses by, for example, the Tax Office or Chamber of Commerce;]] [[calls on the Government to identify the factors contributing to good business follow-up and policy options that could strengthen them, and to inform the Court of Justice in the second quarter of 2021,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas this year the Invest in Holland Network, consisting of the NFIA and its regional partners such as the ROMs, has developed a new acquisition strategy for the years 2020-2025 focusing on attracting foreign companies that contribute to the innovation capacity, digitisation and sustainability of the Dutch economy;]] [[noting that reshoring of production in the manufacturing industry can contribute to innovation, sustainability and digitisation of our economy and can also contribute to the strategically autonomous position of the Netherlands;]] [[whereas the SER is investigating reshoring and intends to deliver an opinion by December 2020;]] [[calls on the Government, through the Invest in Holland Network, in consultation with the ESC, to identify the practical opportunities and challenges for the Netherlands in the field of reshoring, and to provide further information to the Chamber,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Amhaouch and Mr Palland. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-29]] [[This motion was tabled by Mr Amhaouch and Mr Wiersma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-30]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u379	Mr. Chairman. I'm coming to the final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a broad economy and a strong manufacturing industry are of great importance for the Netherlands;]] [[noting that almost 20% of Dutch GDP is earned indirectly or directly in industry, where around 800,000 Dutch are employed;]] [[noting that in the Netherlands labour productivity is falling and ageing leads to labour shortages in the long term;]] [[Whereas process innovations in the manufacturing industry contribute to labour productivity, employment and competitiveness in all regions and thus to the future earning capacity of the Netherlands as a whole;]] [[Whereas structural investment in process innovations helps to preserve the manufacturing industry and/or bring it back to the Netherlands;]] [[noting that process innovations are currently lagging behind in many SME sectors and that, due to the corona crisis, companies have little or no investment space;]] [[calls on the Government to explore a process innovation incentive tool outside the Wbso, with access for large SMEs as a condition, and to inform the Court of Justice of this before 1 July 2021,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Amhaouch and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-31]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u380	Mr. Chairman. I think that yesterday and today we had a very nice debate with our colleagues. There were sincere and beautiful introductions. You can see that we are actually going to find each other on some points, for example when we talk about the manufacturing industry or about sustainability, but sometimes it is still the question whether we go to our goal via path A or path B. I think that is a very big step forward. But what we do need is a maneuverable government, a government that can move quickly. We have shown Corona this year that the Ministry can quickly switch and that the government can switch quickly, but I think we need that in the future too. We have money. There's Invest-NL, and Invest International is coming at us. We have talked about European funds and we have talked about the National Growth Fund. I think we should challenge society to come up with good plans. Mr Graus spoke about the automotive industry in the south of Limburg. I think it is very important that the cabinet gets to work on this. Yesterday was a thank-you day, as I have heard from Mr Bruins. Indeed: crop, labor, innovation. I'll keep that in mind.
ParlaMint-NL_2020-11-05-tweedekamer-12.u381	Thank you. Then I give the floor to Mrs Beckerman of the SP.
ParlaMint-NL_2020-11-05-tweedekamer-12.u382	Thank you, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that currently 8% of Dutch households live in energy poverty;]] [[Whereas it is assumed that the number of households struggling to pay the energy bill will increase in the coming years;]] [[calls on the government, together with the UNG, to come up with an overall plan of action to combat energy poverty,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Beckerman, Mr Stoffer, Mr Moorlag, Mr Van Raan, Mr Van der Lee, Mr Öztürk, Mr Kops and Mr Van Otterloo.]] [[She's getting No. kst-35570-XIII-32]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u383	I've tried very hard, Mr. Chairman. I've got the names of half the men here in the room under this motion. Second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that several energy cooperatives are seriously concerned about the outcome of the Postal Code Rose Scheme;]] [[Whereas they fear that they will not be able to complete current projects or that they will be seriously delayed by new projects;]] [[Whereas energy cooperatives indicate that this is at the expense of participation, in particular, of households with lower incomes;]] [[considers that this is contrary to the policy of generating as much renewable energy as possible, making housing stock more sustainable and creating support for climate policy;]] [[calls on the Government to consult these energy cooperatives in order to find a solution to the experienced problems,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Beckerman, Mr Moorlag, Mr Van Raan, Mr Van der Lee, Mr Öztürk and Mr Van Otterloo.]] [[She's getting No. kst-35570-XIII-33]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u384	I would like to explain this briefly. Of course, I wholeheartedly support the amendment tabled by the CDA and D66 colleagues, but the reports are that it is not just about the amount of money that has been made available. It is also important for the low-income groups that the payback period is important and that it is reduced.
ParlaMint-NL_2020-11-05-tweedekamer-12.u385	There is a question for you from Mrs Mulder.
ParlaMint-NL_2020-11-05-tweedekamer-12.u386	I have tabled a motion for a resolution in a previous notation. In my view, this was also dealt with in the discussions on the Tax Plan. At the moment I do not know the outcome of this, but next week the discussion on the Tax Plan will continue. There is therefore already a motion by Mrs Dik-Faber and myself on the same point. Maybe Mrs. Beckerman missed that. That's what I wanted to give her.
ParlaMint-NL_2020-11-05-tweedekamer-12.u387	Excuse me. Yeah, I missed that. In fact, I had agreed with Mr Sienot on your amendment. In doing so, I have exchanged the view that I missed this point. That is when the answer came that this might be in the hands of Finance. I did miss that a little bit and I didn't ask any more. I'm sorry about that. I'll look it up and check it out, because I think this is a problem. This wasn't a deliberate action. I've missed it, but I can check to see if that's enough.
ParlaMint-NL_2020-11-05-tweedekamer-12.u388	The Minister may also be able to say something about it. I submitted it in the debate with the Minister. He was going to cut it short with his colleague, so it is possible that this minister will be able to say something about this today.
ParlaMint-NL_2020-11-05-tweedekamer-12.u389	And I also just saw that the answer on the Tax Plan came in. So we can pick up our hearts tonight. Yeah, that's really delicious. Then there's my third motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the cabinet intends to pay almost a quarter of a billion euros for the closure of the destroyed Onyxkolencentrale;]] [[calls on the Government to ensure that the employees of this Onyxcentrale and in the chain are provided with a minimum of equal treatment with the coal power station Hemweg,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beckerman, Mr Moorlag, Mr Van der Lee and Mr Van Otterloo. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-34]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u390	Also with this motion a disclaimer, because it may be that it is premature. In the first period, I asked a question about this. I also received an answer to that, but in fact the Minister was only concerned with the employees of the central self. For my party, it is very important that we also ensure that this arrangement is there for people throughout the chain, including in the supply chain. The Minister came back to that, but in order not to miss the moment of motion submission, I have already submitted it. Then the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that several studies show that the potential of sun on roof can provide half to more electricity demand from households;]] [[noting that less than 5% of the roofs have solar panels;]] [[noting that climate targets are not being met;]] [[calls on the government to consider how the full potential of solar panels on all roofs can be realised during the coming cabinet period,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Beckerman, Mr Moorlag, Mr Van Raan, Mr Van der Lee, Mr Öztürk and Mr Van Otterloo.]] [[She's getting No. kst-35570-XIII-35]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u391	Then the very last one. It's part of the already dissuaded amendment, but well, I never give up hope. That's what you're laughing at, but I'm definitely not gonna do that! [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the proceeds of the ODE scheme through the SDE grants are mainly for the benefit of large companies;]] [[whereas households contribute significantly to this scheme but hardly benefit from the revenues;]] [[Whereas the possibility of subsidies for households to make their homes more sustainable is limited and requires a substantial investment of their own;]] [[believes that households should feel not only the burden but also the desire for climate policy;]] [[Considers that by investing more in the sustainability of housing stock, climate targets are getting closer;]] [[calls on the government to set up a climate justice fund and, as a starting point, to pay 20% of ODE revenues for the sustainability of housing,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-36]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u392	I will leave it at that, because then my colleague Mr Futselaar will have extra time with the agricultural budget. He was just very excited that CDA and VVD went over their time, so I give him that!
ParlaMint-NL_2020-11-05-tweedekamer-12.u393	Ah, that's it! Then I would like to give the floor to Mr Sienot of D66. You have three minutes left and Mr Verhoeven has one minute left. Talk fast, I'd say!
ParlaMint-NL_2020-11-05-tweedekamer-12.u394	Madam President. It was a nice debate. Hopefully it has become clear that D66 wants to leave behind the fossil age that David Attenborough experienced and described in his A Life on Our Planet. We want to move towards an era with a clean, fair and modern economy. First of all, I have an amendment, with broad support. We're going on a roof hunt, and I'm really happy about that. I would like to call on the municipalities, housing corporations and everyone else to get to work on that. The following is also important, Madam President. We're gonna set up a longer climate table. We're going to involve a lot more people in solving the climate challenge we have ahead of us. That's what my first motion is about. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that, according to the 2020 Climate and Energy Exploration, the target of 49% CO reduction is not reached by 2030, let alone a CO reduction target of 55%, as proposed by the European Commission;]] [[Whereas the involvement of society creates many climate opportunities, as Urgenda has shown by drawing up a package of measures with 800 organisations;]] [[having noted that the process of the independent study group "Climate Declaration Green Deal" has now begun;]] [[Calls on the Government to ask this study group to draw up proposals from all partners of the Climate Agreement contributing to 55% CO reduction by 2030;]] [[calls on the government also to draw on input from the wider society, such as residents' organisations, small and medium-sized enterprises and students, as a follow-up to the report, and to develop them into concrete measures so that they are also available in the cabinet formation,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sienot and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-37]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u395	We also want to make it cheaper and easier to make green choices in this new, modern and clean economy. This means, however, that you must make the best possible use of the money available for the energy transition. That's what my next motion is about. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas storage of renewable energy raises financial resources through the energy account to stimulate the production of renewable energy and the reduction of CO (SDE++);]] [[having noted that 680 million of the SDE++ budget was returned to the general budget in 2020;]] [[calls on the Government to spend all available SDE funds on the SDE++ targets and to report on them in each EZK budget,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Sienot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-38]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u396	Finally, green gas, hydrogen gas; it was already a big deal about it. I have the motion for a resolution on the Netherlands, a clean gas country. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the development of green hydrogen offers economic opportunities for the Netherlands and creates green jobs;]] [[Calls on the Government to include in the National Hydrogen Programme plan how it will accompany the development of green hydrogen with the necessary growth in clean energy generation in the Netherlands, so that real CO reduction is achieved, how existing gas infrastructure can be used for green hydrogen and how the opportunities for importing green hydrogen from abroad are exploited;]] [[Invites the Government to report to the Court in the first half of 2021,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sienot, Mr Dik-Faber, Mr Agnes Mulder and Mr Harbers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-39]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u397	Thank you. I am happy to give the floor to my colleague, who also says goodbye: the one and only Kees Verhoeven!
ParlaMint-NL_2020-11-05-tweedekamer-12.u398	Ruffle, ruffle!
ParlaMint-NL_2020-11-05-tweedekamer-12.u399	Mr President, I shall begin the motions quickly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Netherlands, as a research country, is among the world's top in several areas;]] [[noting that entrepreneurship skills and investment in start-ups and scale-ups are lagging behind;]] [[Whereas many Dutch research and innovation ecosystems have difficulty finding and binding top talent and connecting different players;]] [[noting that exploiting national knowledge as a solution to global issues is both a focus and an improvement;]] [[Whereas good cooperation between the ministries of EZK and OCW is crucial;]] [[calls on the government, together with the actors in the ecosystems, to examine how ecosystems can function better with the aim of both the development and valorisation of knowledge,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven and Mr Wiersma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-40]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u400	Next move. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is crucial to focus on innovative knowledge ecosystems and to translate new areas of knowledge into economic opportunities;]] [[noting that the Dutch universities and Techleap have the ambition to make the Netherlands the best ecosystem for academic start-ups in Europe;]] [[noting that the Dutch universities have drawn up a plan for a Dutch Academic Impact Fund to resolve bottlenecks in funding and support for academic start-ups;]] [[noting that there are successful examples of university start-up funds with government involvement, such as in Germany, France and the United Kingdom;]] [[Whereas the Dutch government has several instruments to stimulate innovation;]] [[supports the ambition to be the best ecosystem for academic start-ups in Europe;]] [[Calls on the Government to consider whether and how a Dutch Academic Impact Fund could be integrated into one of the innovation tools, and to inform the Court thereof before summer 2021,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven and Mr Wiersma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-41]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u401	Thank you, Mr President. I would like to say one more sentence. Much has changed and I would like to give one change to the Minister. It used to be necessary to earn so you could split up. I think it's necessary these days to split up in order to start earning again.
ParlaMint-NL_2020-11-05-tweedekamer-12.u402	Thank you. I should now like to give the floor to Mr Moorlag of the Labour Party.
ParlaMint-NL_2020-11-05-tweedekamer-12.u403	Thank you, Mr. Chairman. Thank you to the rulers for their answer. Thank you to all the people who have done a lot of work behind them. I'm getting to the motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, by way of motion 33009, No. 87 called for, if necessary, unconventional means of innovation and sustainability of the Dutch steel industry, which involves a great deal of employment and which is of strategic importance;]] [[Whereas initiatives are being taken and there are opportunities to provide Tata Steel Netherlands in a more independent form with a good, sustainable future;]] [[calls on the Government to adopt a favourable attitude towards these initiatives and to explore the possibility of forming a consortium for the creation of a more sustainable, innovative and future-proof steel company in the Netherlands,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas unemployment is rising, but there are considerable and persistent shortages of skilled workers in the engineering and manufacturing and process industries, leaving unexploited potential for economic and employment growth;]] [[Whereas the corona restrictions make it impossible or more difficult for young people to work and complete traineeships, which could lead to a further shortage of skilled workers;]] [[calls on the Government, in addition to the Technics Pact, to develop, in consultation with trade unions and inter-branch organisations, a strong and coherent action programme to reduce shortages of technical and manufacturing professionals and process industries;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas responsible participation of regional development companies contributes to the creation and maintenance of SMEs and employment;]] [[calls on the Government to actively monitor whether the EUR 150 million additional investment capital made available to regional development companies is sufficient and, if necessary, to provide additional capital for responsible participation in SMEs in order to promote economic recovery from the corona crisis,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Moorlag and Mr Futselaar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-42]] [[This motion was tabled by Mr Moorlag, Mr Wiersma and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-43]] [[This motion was tabled by Mr Moorlag and Mr Amhaouch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-44]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u404	And finally, Mr President. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, for decades, natural gas benefits have hardly been used to strengthen the economic and employment structure of the Northern Netherlands, despite the fact that employment and prosperity levels are significantly below the national average;]] [[Whereas the conversion to other energy sources has resulted in a high level of job losses in and around the province of Groningen;]] [[whereas the European Commission therefore considers Groningen to be a target area for investments from the Just Transition Fund;]] [[calls on the government to use resources from the Just Transition Fund as a priority and concentrated resource in the North of the Netherlands,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Moorlag. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-45]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u405	Finally, Mr President. Great. Views to 2040. Inspiring. But there's a lot to be done in the here and now. In a number of areas, the government's capacity for implementation is inadequate. For example, in addressing the shortages of professionals, or the climate and energy forecast, we are just lagging behind. There really has to be a big tooth, with North Netherlands and the Just Transition Fund first. That's really messed up, Mr. Chairman. Thank you.
ParlaMint-NL_2020-11-05-tweedekamer-12.u406	Thank you. I would now like to give the floor to Mr Bruins of the Christian Union.
ParlaMint-NL_2020-11-05-tweedekamer-12.u407	Mr. Chairman. I would like to thank the directors and their staff for their hard work, not only this week but also in the months before, because of the corona crisis. I have the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas it is not excluded that as a result of the crisis companies tend to invest less in R&D, including in the medium term;]] [[Whereas an overview of the effectiveness of various possible parameter changes in the Wbso is largely lacking;]] [[Whereas the disk boundary in the Wbso has been unchanged since 2016;]] [[Calls on the Government, on the basis of available research for the summer of 2021, to identify what is known about the effectiveness of various parameter adjustments within the Wbso, in particular to address the advantages and disadvantages of a disk extension and the introduction of an additional disk in which the current second disk becomes the third disk,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the national metrology institute VSL is in private hands;]] [[noting that short-term interests in the free market may conflict with the long-term objective of a national metrology institute;]] [[considers that a national metrology institute is vital for the Dutch high-tech manufacturing industry;]] [[considers that it is crucial to describe the relationship between government and the market in such a way as to ensure that VSL can carry out its social tasks and has and continues to have the necessary qualities at the appropriate level in the future;]] [[Calls on the Government to define clearly the roles, responsibilities and powers of the Ministry, the Board of Experts, the Director, shareholder and supervisory board in order to secure the necessary checks-and-balances and to inform the Chamber in the first half of 2021,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Recovery and Resilience Facility, the RRF, is open to submission of plans by Member States;]] [[noting that the cross-compliance of the Fund has been made public;]] [[noting that several Member States have already submitted their plans and that agreements are already being made with sectors in those countries;]] [[considers that maintaining a European level playing field is of great importance for a fair competitive position for highly internationally oriented sectors, such as the Dutch manufacturing industry and the maritime industry;]] [[calls on the government to make every effort to participate in the RRF's first round of applications,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Climate Agreement is based on a balanced distribution of ownership in an area aiming at 50% ownership of the production of the local environment (inhabitants and businesses);]] [[having noted that the Northern Court of Auditors has carried out an investigation into the distribution of costs and benefits of renewable energy projects, concluding that, under environmental law, provinces and municipalities have virtually no powers to enforce compensation and financial participation;]] [[Calls on the Government, in cooperation with IPO and VNG, to actively support decentralised authorities in ensuring financial participation in renewable energy projects, e.g. with standards and best practices, to assess the need for additional legal instruments for this purpose, and to inform the Court of progress in spring 2021,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bruins and Mr Amhaouch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-46]] [[This motion has been proposed by Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-47]] [[This motion was tabled by Mr Bruins and Mr Amhaouch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-48]] [[This motion was proposed by Mr Bruins, Mr Dik-Faber, Mr Agnes Mulder, Mr Sienot, Mr Harbers, Mr Van der Lee and Mr Moorlag.]] [[She's getting No. kst-35570-XIII-49]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u408	Then the last one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas governments, including the Empire, can use their purchasing power to promote innovation;]] [[Whereas the SBIR instrument strengthens innovation and SMEs;]] [[noting that the SBIR instrument is still under-utilised and that there is little knowledge of the content of innovative possibilities in most procurement departments of public authorities;]] [[Calls on the Government to agree with contracting authorities within the government to promote and set targets for innovative procurement over the next three years;]] [[calls on the Government to consult with IPO and VNG on how innovative procurement through SMEs can be promoted by local authorities,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-50]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u409	Go ahead, Mr. Van Raan on behalf of the Party for Animals.
ParlaMint-NL_2020-11-05-tweedekamer-12.u410	Thank you, Mr President. We had a nice debate. We talked about biomass. We have seen the Minister on his way to abolishing biomass. In the meantime, it is true that abroad is naturally watching how things are going in the Netherlands with the abolition of woody biomass in particular. The Minister has the chance to become a frontrunner when it comes to abolishing woody biomass and the subsidies on it; not because he is aspiring to a place in history, as we know by now, but because it is actually and scientifically necessary. I agree with him. That's why the next motions, to help him do that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is still no clarity when subsidies for woody biomass for heat generation are phased out;]] [[Calls on the Government not to grant new subsidies for the generation of heat from woody biomass as from 1 January 2021,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is possible for coal plants to switch 100% to woody biomass in 2025;]] [[calls on the Government not to grant new subsidies for the production of heat from woody biomass to coal plants that switch to 100% woody biomass,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-51]] [[This motion has been proposed by Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-52]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u411	The assumption is that coal plants could switch 100% to woody biomass by 2025. Perhaps the Minister will be able to remove the certainty or uncertainty about this in the second term. Then, of course, I'll withdraw the motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to stop and buy out all ongoing subsidies for heat generation by woody biomass,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-53]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u412	So much for the biomass chapter. I hope the Minister will take over the incentives. Then there's another motion on Urgenda. We have to table a motion on this because it is simply not clear whether the Urgenda target is being met and the Minister is not giving it any clarity either. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is still uncertain whether the Urgenda objective is being met;]] [[calls on the Government to take additional measures by 31 December 2020 to ensure that the Urgenda target is met,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-54]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u413	Finally. It is, of course, a matter of getting rid of fossil energy as quickly as possible, and we must therefore get rid of subsidies on it as quickly as possible. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands already agreed in Europe in 2013 to abolish fossil energy subsidies by 2020;]] [[noting that there was a motion in October 2020 (Room 32813, No. 591) was adopted to address the exemptions in the energy tax in the national energy tax review and ODE, which will be completed in the first quarter of 2021;]] [[calls on the Government to include a concrete phasing-out path for the phasing-out of fossil subsidies,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-XIII-55]]
ParlaMint-NL_2020-11-05-tweedekamer-12.u414	Mr. Chairman. Finally. Thank you for all the answers and also thank you for joining me in Mr Sienot's amendment on the extension of the postal code regime.
ParlaMint-NL_2020-11-05-tweedekamer-12.u415	Thank you. Then I would like to give the floor to Mr Stoffer of the SGP.
