ParlaMint-NL_2020-10-01-tweedekamer-7.u1	Now let's move on to the General Financial Reviews.
ParlaMint-NL_2020-10-01-tweedekamer-7.u154	Thank you, Mr President. I have two points, in Mr Nijboer's words: two essential points, both equally essential. We have broad reflections here on the finances. The Animal Party would like to quote what the Minister said: we will do whatever is necessary. I'm afraid that's not the case. Science tells us that right now we don't do what's necessary, we don't do enough. That is why we believe that the whole budget and all the support packages should be focused on combating and tackling the climate and biodiversity crisis. It shouldn't be sticking some patches with a support fund. If you are not going to send green, but you are giving a lot of support, then you are de facto supporting the current situation and that is still that we are on our way to a 3C world, and we should not want that. Hence the opinion of the Animal Party that the whole budget should be at the heart of tackling the biodiversity crisis from now on, or as of 2015. Mr. Chairman. My second point goes back to what the Minister started with. In 1630 there were the black swans; the unknown unknowns. You don't know what you don't know. In the case of zoonoses, was that not also because, in this case, the traditional economy was focused on just one figure, namely growth? For science, zoonoses wasn't a black swan at all. It was foretold a long time ago. In other words, because of the way we look and measure, there are black swans. Wouldn't it be nice if we could develop some sort of black-swan radar so that we can map these phenomena sooner? And what's the beauty of it: the black-swan radar is here. That's the broad prosperity monitor. That is why I would like to give another push to the path that was used by that broad-welfare monitor. Other parties have done the same. We are very pleased to hear that. Just by looking wider, you'd better see what's happening. Mr. Chairman. I'm one motion. It was co-signed by my colleague Mr Wassenberg, who was kind enough to take over my first term on Tuesday. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Chamber had previously adopted the Van Raan motion on a reflection on broad prosperity in the Millions Note, which could help to uncover policy areas;]] [[Considering that the integration of the broad concept of prosperity has begun in the Millions Note 2021;]] [[noting that broad prosperity is not yet systematically integrated into the current Millions Note;]] [[Considering that the Council of State recommends that, in future, numerical indicators of the development of the various aspects of broad prosperity, as generated by the Planning Offices and the CBS, should also be included in the budgetary notes;]] [[calls on the government to include numerical indicators of the development of the various aspects of broad prosperity in the next Millions Note, and to give broad welfare indicators a permanent place in the policy cycle,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Raan and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-17]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u155	I will, Mr. Chairman. My time is short and my motions are quite long. So I'm gonna start reciting them right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the effects of the corona pandemic show that a strong shift can be made on households and families;]] [[having noted that different measures are being taken in European countries to support society, such as the temporary VAT reduction and the children's bonus in Germany;]] [[Whereas the renowned German Institut für Makroökonomie und Konjunkturforschung has analysed that households with children incur additional costs compared to households without children, where the effect of the children's bonus, measured as an effect on household expenditure, was more effective than the temporary VAT reduction;]] [[Whereas the capacity of families to bear these costs, whether single, single or two-earners, may vary enormously;]] [[calls on the government to include in the committee capacity to what extent and what types of costs households have to deal with children in relation to households without children;]] [[calls on the government also to ask the committee to give specific attention, where possible, to the different types of households, such as earners, two-earners and single people, with or without children,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Stoffer, Mr Slootweg and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-18]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u156	The next motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas taxation on the basis of capacity should be an important starting point in the tax system;]] [[Whereas the capacity of families, such as single people,one earners or two earners, may vary enormously;]] [[Whereas it is now often unclear how the effects of tax and surcharge-related measures relate to the capacity of families;]] [[calls on the government to report in a standardised manner on the impact of the measures on different types of households, including families with children and families without children, when taking fiscal and supplement-related measures,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Stoffer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-19]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u157	There is only one thing left for me, Mr President, and that is to thank the members of the cabinet for answering all my questions and wishing them a happy day. Goodbye!
ParlaMint-NL_2020-10-01-tweedekamer-7.u158	Thank you very much. I assume you'll be staying a while.
ParlaMint-NL_2020-10-01-tweedekamer-7.u159	I do, Mr. Chairman, but I'm not gonna be able to speak anymore.
ParlaMint-NL_2020-10-01-tweedekamer-7.u160	That's true. Mr Azarkan then took the floor and spoke on behalf of DENK.
ParlaMint-NL_2020-10-01-tweedekamer-7.u161	Thank you, Mr. Chairman. It feels a little like you're a Mart Smeets kind of giving everything proper commentary. Thank you for that! Mr. Chairman. We had a nice discussion with each other. I await the letter on the Stability and Growth Pact, which comes to the Chamber sometime in December, at the end of this year. I would like to know what the government thinks about this, but also what the commitment is going to be in Europe. We talked about the Growth Fund. A letter will be sent on Monday and it will be followed by a discussion. If I may believe the colleague from D66, Joost Sneller, we will even have many debates on that. Mr. Chairman. We do know something and I have to say that I think the composition is a bit one-sided. I have made a comment on this in the first term, and I shall therefore have it followed by a motion for a resolution. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government intends to set up a National Growth Fund in order to increase the structural earning capacity of the Dutch economy;]] [[Whereas concrete projects will be assessed by an assessment advisory committee to be set up;]] [[Whereas the composition of that committee is too one-sided and insufficiently diverse;]] [[calls on the Government to shape the composition of the Advisory Committee in such a way as to better reflect the diversity of Dutch society,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-20]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u162	Mr. Chairman. I also talked about interest-free banking. I was not entirely aware that this was the HRA, the mortgage interest rebate. That's really something that goes with it, but there are just groups of people who want to bank interest-free. Some call it Islamic banking and you might indeed think: it will come naturally. In the meantime, we see that society is also Islamic in a number of ways. People don't shake hands anymore and you can also see that we're wearing facial clothing! But, Mr President, that is not what I mean. I am not going to table a motion on this now, because I still want to go round a number of banks and talk to some of my colleagues. I think it is right in principle to look at how we can accommodate the group of people who want to bank interest-free for reasons of principle or for religious reasons. So it's wider than just the mortgage interest deduction. Finally, Mr President. I also talked about the distribution of wealth. And what the Minister says is correct, because in the Netherlands, the wealth, especially in relation to other rich countries, is relatively well distributed. But 1% of the Dutch own 25% of their assets and 10% own 70% of their assets. At the same time, there are 400,000 children living in poverty and some of them do not get anything to eat before they go to school. I really think that contract is too big. We should not just look at how things are arranged abroad. We also need to look at what we want to do with the principle that it is unacceptable that there are Dutch people standing in line with the food banks. Actually, that's the same as with fat: we have enough, but sometimes it's in the wrong place.
ParlaMint-NL_2020-10-01-tweedekamer-7.u163	Thank you for your input. I call Mr Van Otterloo. He speaks on behalf of 50PLUS.
ParlaMint-NL_2020-10-01-tweedekamer-7.u164	Thank you, Mr. Chairman. On a fully cleaned table, but without a cleaned version! "Cleaning" I always refer to a version that is spoken and not so much on a table. Mr. Chairman. I would also like to thank the rulers for their reply. Indeed, I thought it was also some special General Financial Reviews. You could say "perhaps unbalanced by all the stirs that corona has given" because then it has something positive. But all the fixed values and standards that have been used in the past have therefore been called into question. We must look again at the future, because such an opportunity must not be missed. I do not think it is a great crisis in terms of being a nice crisis, but it brings us back to what we as a government represent and we as a parliament have to do with the government for the whole of society. We will have to look beyond the elections. We can have all kinds of nice election talk and we can offer people choices, but it's also about what really needs to happen afterwards. And we still need majorities to do that. In that respect, I must say that today I heard more of a beginning in thinking about private debt and public debt than the historian Rutte was willing to do, but he also looks more backwards than forwards. Because let's face it, debt is a problem in two ways. You have to pay them off once; you have to pay back what you borrow. In the past, however, public debt has been a problem mainly because of the interest burden. That is what colleagues have already said. We need to come up with new picket posts. I can't wait to see how far we're gonna get in there. We must look not only at the seizure of these sums on public spending, but also, above all, at the seizure of interest. That will be the major challenge for us, especially in the case of discount rates which are lower than economic growth and below inflation. Then you need to see what you're getting at. One thing we should not rule out is that you may not have to end up with Europe's lowest public debt, but that you can look more closely at how to bring the whole of Europe more to the same level. This means that we may want to move towards an average rather than an average, and that we may want to use that towards an average to give the money to the people. I am referring to shortening the personal balance sheet, taking over the private debt and then looking at how that should happen. I thought what Mr Stoffer said was very honest of him, but also a pavlov reaction. Otherwise, you're gonna end up in where are we gonna get the money from? You look at the budget, you see Health, you see Social Affairs, but behind all these amounts are people. There are provisions behind all these sums for people. So you are going to put the bill back there again for what we are doing now to maintain as much employment and economic strength as possible. So we will have to look more closely at that. In that respect, I am not reassured by the response to how you can ensure that the companies that are doing well and who have now benefited from it have also made their contribution, as is the case in any crisis. There are still too many shortcuts to avoid paying taxes and premiums. As regards the income position of older people, the Minister said that we have a small plus, but that there are also people who are losing their jobs. That is what we are very concerned about, that there are people who are losing their jobs. But it's also a break-up of the whole thing. Today there are again reports of 3% collective bargaining growth. This means that those who have a collective agreement increase, regardless of whether they receive a periodic increase, will receive a basic increase of 3%. You have people who are now either self-employed or employed, and you have the elderly, who have a prospect of 10% less pension. That makes it very difficult for the elderly to have confidence in the future. But she too, or I may say that we too must have confidence in the future. You can see that the tax system discriminates considerably according to age. If you look at the old-age discount, if you look at the tax discount, you can see that although the labour discount is rising somewhat, the old-age discount does not hold an equal footing with the increase in the labour discount. That's why my first motion. Mr. Chairman. You know that I have had a lot of speaking time left for the second term, but that is because I have completely against my custom in some motions.
ParlaMint-NL_2020-10-01-tweedekamer-7.u165	You're free to do that.
ParlaMint-NL_2020-10-01-tweedekamer-7.u166	With those motions, I'm gonna pull the average back up here. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the employment discount is increased by up to €428 and for low incomes by around €122;]] [[noting that the elderly discount is increased by up to €81;]] [[Whereas the standard practice has become to increase the employment discount much faster each year than the elderly discount;]] [[calls on the government to increase the employment rate and the elderly's discount to about the same extent,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Van Otterloo. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-21]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u167	For some time to come, we are not sure whether pensioners, for example, are going to be severely reduced at ABP and Health and Welfare, as early as 1 January. That's a threat. Then we can use the exceptional financial statement again, but it is still very uncertain. That is why we also have a motion for a resolution, and we are talking about everyone who wants to give the elderly a small allowance per month, also in view of the increase in the health premium, the increase in the nominal premium that goes beyond what the cabinet has proposed. It's like this. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to increase income support to AOW (IO-AOW) by €10 per month,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Van Otterloo. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-22]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u168	I'm gonna stay in the tax area for a while. We have talked about the capital levy, about how difficult it is. We look forward to the letter coming. I can assume that this letter will come before we deal with the Tax Plan, because it is not just about the future, but also about the past. It is also about solving the problems that have arisen from years of over-attacks, which have given people power. In addition, I had raised a special issue of those who did not want to invest their savings in shares, but wanted to have them in the bank, as a small entrepreneur, and then to keep that for their pension. They have to pay both a capital charge and, in some cases, negative interest rates on the money they have. So that means they get caught from both sides, so to speak. I therefore believe that serious attention should be paid to how to solve the problem with the entire capital charge in this way. Mr. Chairman. The so-called start-up scheme... I would also like to say this with the emphasis on "start-up arrangements', because it turns out that this is more of an age thing than the actual position. Because even if you have your own house, if you're under 35, you'll get it. Then there's the question of what exactly if you're doing it together. Is there a 1% transfer tax paid or is it dependent on what is being applied? We see big problems. We believe that justice is lacking as a whole if you look at the position on the housing market. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that start-ups in the housing market over 35 years of age are seriously disadvantaged by the government's plans for transfer tax;]] [[Whereas starters over 35 may have waited to buy a property or its overbidden when buying a property because of a study debt;]] [[Whereas house buyers under 35 years of age can benefit from a lower transfer tax, even if they already have a purchase house and/or belong to the lucky group which has been able to receive €100,000 tax-free from their parents in recent years;]] [[Considering that start-ups over 35 years of age also leave a home and thus contribute equally effectively to the flow of the housing market as start-ups under 35 years of age;]] [[calls on the Government to exempt from transfer tax start-ups in the housing market of all ages,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Van Otterloo. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-23]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u169	Finally, Mr President. I stay in the atmosphere of housing. In my first term, I also drew attention to the relationship between the landlord's tax and the lack of a specific housing for the elderly to fill the gap between home and nursing home. I'm talking about the hole created by closing the nursing homes. It is now five years since these nursing homes have been closed and no longer allowed to be filled. That whole number isn't filled up. There are also too few initiatives that have been supported. It is a very difficult principle: three to five small-scale facilities are needed to replace one nursing home and all these initiatives require a great deal of bureaucracy. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there has been a growing gap in appropriate group housing for older people since the closure of nursing homes;]] [[Whereas, since then, suitable (small-scale) alternative forms have been achieved but modestly;]] [[Whereas the large-scale provision of these facilities will enable the flow of the hidden housing market to be re-launched;]] [[calls on the Government to encourage the construction of these facilities by means of specific discounts on the landlord levy,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Van Otterloo. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-24]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u170	Thank you.
ParlaMint-NL_2020-10-01-tweedekamer-7.u171	Thank you very much. According to the list of speakers, Mr Baudet has the floor, but I do not see him in the Chamber. Then we will move on to the next speaker. That's Mr Krol. He speaks on behalf of the Krol Group. Go ahead.
ParlaMint-NL_2020-10-01-tweedekamer-7.u172	Thank you, Mr. Chairman. My big question is: what problem is the National Growth Fund of EUR 20 billion actually the solution? The Minister wants to invest 4 billion a year in projects and innovation, but compared to investment by technology companies, this is all very little. A company like ASML alone invested around 17% of its turnover in R&D in 2019, of which 1.5 billion in the Netherlands. That's just one company. I tabled the amendment on corona purchasing power compensation in order not to set up the National Growth Fund, but instead to reverse 20 billion. That money would, we think, be much better placed directly in the wallet of Dutch people. €180 per month does help a lot for households, especially if it is for a whole year. This will give the economy a huge boost, especially if the debt problem is resolved properly. It is also unacceptable to us that the use of the Growth Fund should, to a large extent, take place outside Parliament. I shall therefore table two motions for resolutions.
ParlaMint-NL_2020-10-01-tweedekamer-7.u173	Sorry, I'm gonna give you an opportunity to interrupt first. Mr Sneller would like to ask you a question.
ParlaMint-NL_2020-10-01-tweedekamer-7.u174	I just heard a really crazy argument. The Minister would not be able to argue what is meant by the Growth Fund, while I think he has clearly explained everything about low growth and productivity growth. Then the exit was taken to ASML, which also invests a lot. But are private investment then the solution to the problem that Mr Krol sees? Or does he see that ASML is going to finance our infrastructure, education and research as well?
ParlaMint-NL_2020-10-01-tweedekamer-7.u175	Of course, I am very satisfied with what is happening in my backyard at ASML. I think it's nice that people spend so much money on that. If you're going to invest so much money, 20 billion, in something that we all don't see enough, while you can put it directly into the economy, then I think that the latter would be a much more sensible decision.
ParlaMint-NL_2020-10-01-tweedekamer-7.u176	So Mr Krol says: it's nice that ASML does private R&D. I couldn't agree more. But isn't it necessary to build public R&D and infrastructure? The democratic side emerged in Mr Krol's third argument, but I stuck with it at the beginning.
ParlaMint-NL_2020-10-01-tweedekamer-7.u177	No, I absolutely don't want to say that. I would just like to say that I would like to use that huge amount of money in a very different way, so that the citizen can find it in his wallet at home.
ParlaMint-NL_2020-10-01-tweedekamer-7.u178	Okay, but then we're just gonna invest, like the Cabinet wants, in R&D, in infrastructure and in knowledge development? That is the conclusion of Mr Krol.
ParlaMint-NL_2020-10-01-tweedekamer-7.u179	I also heard the Minister say clearly that you have two tracks. One has to happen, but I would like to use the 20 billion in a different way. I'll start with my motions.
ParlaMint-NL_2020-10-01-tweedekamer-7.u180	Just a moment. I see Mr Azarkan standing by the microphone. Does he want to interrupt? He's still hesitating. President. - I call the Group of the European People's Party (Christian-Democratic Group).
ParlaMint-NL_2020-10-01-tweedekamer-7.u181	Thank you, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the current tax system has become too complex, too opaque and unfair;]] [[Whereas the Netherlands urgently needs a simpler and more transparent tax system;]] [[calls on the Government to examine the possibilities for simplifying the current tax system, drastically simplifying the system of supplements, increasing working hours and increasing disposable income, and informing the Court of Justice of this before the next Tax Plan,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-25]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u182	Second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas one of the 12 households in the Netherlands suffers from problems of debt;]] [[calls on the government to come up with a comprehensive and comprehensive plan to provide a way out of people with problematic debt, for example through a system of debt transfer from lenders to the Tax Administration,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-26]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u183	Thank you very much, Mr President.
ParlaMint-NL_2020-10-01-tweedekamer-7.u184	And thank you for your input, too. This brings to an end the second term of office. The directors have indicated that they need seven minutes for consideration. Distribution takes two minutes. So I'm suspending the meeting for nine minutes.
ParlaMint-NL_2020-10-01-tweedekamer-7.u185	I give the floor to the Minister of Finance for the second term of office.
ParlaMint-NL_2020-10-01-tweedekamer-7.u186	Mr President, thank you. Many thanks also to all Members for the comments made in the second term, for the motions and for the amendments. I have a few comments to make and I also have a minor repair from my first term. I shall then turn to the amendment and the motions in my area. Afterwards, both Secretary of State will discuss the motions that are left over for them. Mr. Chairman. I do not know if it is a sign of the quality of the debate, but the fact that we have now used up two and a half Presidents is worth remembering.
ParlaMint-NL_2020-10-01-tweedekamer-7.u187	Apparently a debilitating existence.
ParlaMint-NL_2020-10-01-tweedekamer-7.u188	Mr. Chairman. A number of comments on the Court's second term. I very much agree with Mrs De Vries' broad speech on economic growth and employment. I would like to draw a line on this, just as I would like to underline a few other things that have been said in the second term. With Mr Snels, I noticed a positive attitude towards the Growth Fund, not only in terms of why, but also wider. That certainly seems to me to be a basis for further discussion. In the direction of Mr Slootweg, I would like to say that precisely those two things that he took out, namely uncertainty and resilience, are two things that should help to determine the direction of the cabinet. That uncertainty will remain with us for a long time, whether we like it or not. I would like to remind Mr Alkaya that, should he have meant that the treasury would in any way play a role in controlling the virus, the medical side, which is really a complete misunderstanding. As a cabinet, we said: whatever is needed in the field of testing capacity, whatever is needed in the field of source and contact research, what is needed in the medical sense, we do not want to have a discussion about that. That's the first layer. I wanted to remind you of this because I was not entirely clear from his second term whether he was concerned about that. The second layer is what we are doing in the financial and economic sense. There is a slightly different balancing framework, but there too I have always wanted to say that you want to do what is important. That is where the sovereign debt has not been a bottleneck in the design of the plans, which is without prejudice to the fact that the sovereign debt is indeed a relevant fact and is indeed something that you are going to go along with in the future. But I thought it might be good to unravel it this way. I would like to say to Mr Sneller that I very much agree with his comment on the quality of public expenditure. We forget that sometimes. We talk very often, even today, about everything that is new and today there is something more new than at some other times that we meet. It's relatively little about the 300 billion we spend every year. My belief is that each of these euros is above all doubt when it comes to effectiveness. That's just reality. I see both rapporteurs nodding in the field of Insight in Quality. I very much agree with Mr Nijboer's point that employment is not the only one, but a very important one, even in the time ahead. Mr Van Raan mentioned the black swan and the zoonoses. I'd like to make it worse. I think it's true. I also said on Prince's Day that Taleb, the one who has targeted this concept in economic terms, said: this is not a black swan at all, because I saw it coming. I also indicated at the time, speaking for myself, but I don't think I was the only one in the Netherlands that I didn't see it coming. Mr. Chairman. At Mr Van Raan's motion I had written a few words, but I will come back to that in a moment. I would like to say to Mr Azarkan: thank you for clarifying that he spoke not so much about halal mortgages but more about interest-free banking. I just misunderstood. The good news, and the bad news, is that that issue of interest-free banking is solving itself. I would also like to emphasise that the cabinet, like myself, really believes that we should quickly return to a situation where we do give each other hands and no longer have to wear masks that cover each other's mouths. Mr. Chairman. I would like to thank Mr Van Otterloo and Mr Krol for their comments. I will deal with their motions and the amendment. Then there is one more thing that I was rightly reminded of. That is the percentage of the 30-year loan I mentioned in my mind towards Mr Nijboer. With the mention of 0.046, I was still too pessimistic. The fact is that it is 0.028, so again it is not quite 0, and that is the sadness of the Agency in my direction. But it is far enough behind the comma to be quite satisfied with it. At least I was when I saw the note come in. Mr. Chairman. Then there are the amendments. There were two amendments tabled by Mr Krol, which are of course linked. One amendment deals specifically with the Growth Fund. I must advise against that amendment, because we do not intend to invest that money in a different way now. Then there's the motions.
ParlaMint-NL_2020-10-01-tweedekamer-7.u189	That's under number six, if I'm right. The amendment in part No. 6.
ParlaMint-NL_2020-10-01-tweedekamer-7.u190	Mr President, in all honesty, it was only when I unpacked the present that I found out that there were two amendments at all. I thought it was one. Then the Secretary of State said there's actually two of them. One is about the Growth Fund and the other is about the tax rebate. Of course, they have a connection, but they both need to be appointed separately. If you say it's number six, I'll take it immediately.
ParlaMint-NL_2020-10-01-tweedekamer-7.u191	The amendment in part No. 6 is not recommended. Please continue.
ParlaMint-NL_2020-10-01-tweedekamer-7.u192	Mr. Chairman. I'm just saying: I have the motions numbered, but not with a specific piece number, so I do them in the order in which they passed.
ParlaMint-NL_2020-10-01-tweedekamer-7.u193	Yeah, I'm fine.
ParlaMint-NL_2020-10-01-tweedekamer-7.u194	The first motion is Mr Mulder's motion. He himself was gilded that Mr Van Dijck wanted to come underneath. In the context of the debate, however, I must advise against this because the cabinet is really going to do what is needed and has put a very substantial part in addition to the standard package we have had over the last few months, especially in the area of 'work to work'. There are a lot of extra measures. The TVL is even being expanded. The suggestion in this motion is not correct, I think, so I must advise against this motion.
ParlaMint-NL_2020-10-01-tweedekamer-7.u195	The motion in part No. 7 is not recommended.
ParlaMint-NL_2020-10-01-tweedekamer-7.u196	The second motion tabled by Mr Mulder and Mr Van Dijck, on Europe and on what needs to be done with the recovery package, I must advise against. I would also point out that the PVV Group uses occasional cover for structural expenditure here.
ParlaMint-NL_2020-10-01-tweedekamer-7.u197	The motion in part No. 8 is not recommended.
ParlaMint-NL_2020-10-01-tweedekamer-7.u198	On the motion in part No. 9 will consider the Secretary of State, as will the fourth motion. That brings me to the fifth motion, tabled by Mr Alkaya and Mr Nijboer. To be honest, I would like to see it in the colour bath of the wider debate. With that appreciation, I would ask the petitioners to hold the motion. I have said that I would like to send a letter at all on some of these matters. For me, there is a real point, made by, among other things, Faster, that we are not unduly delayed. So if one would like to wait for the vote on the motion until the moment of the letter, which we will send for the debate that we are apparently all looking forward to, then I would ask for it to continue. If Mr Alkaya wishes to put this coûte-que-coûte to the vote, I must advise against it.
ParlaMint-NL_2020-10-01-tweedekamer-7.u199	We shall then be holding it for a while, awaiting that debate.
ParlaMint-NL_2020-10-01-tweedekamer-7.u200	At the request of Mr Alkaya, I propose his motion (35570-IX, No. 11), as last amended by Regulation (EC) No 40/94 of the European Parliament and of the Council on the common organisation of the market in fruit and vegetables. That is what is decided.
ParlaMint-NL_2020-10-01-tweedekamer-7.u201	The motion in part No. 12 is for Secretary of State Van Huffelen. On the motion in part No. 13 has been a lot to do, I'll just confess to your room. It has been dragged away from the gates of hell, and I could give it a Chamber of Justice, provided I can give a very strict explanation. That's what I'm gonna do. If I may read the motion in such a way that the reconnaissance may take place in the course of 2021, but that we do our best to do so as soon as possible, then I can, after feverish consultation with the Minister for Legal Protection, give it to the Court of Justice.
ParlaMint-NL_2020-10-01-tweedekamer-7.u202	Do I see a goddamn nod? If not, I'm expecting someone at the interrupting microphone right now. I see a nod in agreement. The motion in part No. 13 gets judgment, Chamber.
ParlaMint-NL_2020-10-01-tweedekamer-7.u203	I'm sure the members of the cabinet will forgive the lack of transparency. The motion in part No. 14 is at the Lower House itself. The motion in part No. 15.
ParlaMint-NL_2020-10-01-tweedekamer-7.u204	The motion in part No. So 14 gets judgment, huh, Room? No, sorry.
ParlaMint-NL_2020-10-01-tweedekamer-7.u205	It's up to the Chamber itself.
ParlaMint-NL_2020-10-01-tweedekamer-7.u206	It's up to the Chamber itself. No judgment.
ParlaMint-NL_2020-10-01-tweedekamer-7.u207	It's a speech-out. Mr. Chairman. Then the motion to part No. 15. On the contrary, I wanted to argue that there is a lot more than just GDP. In that sense, I can see where the motion came from. There, I think, we also have points of contact in the debate. But I have also really wanted to hold on to that, and I believe that this is important for a large number of groups in the Chamber, because it is not without GDP, because you want to ensure that it is also about economic growth. This motion, with in the operative part the request to replace GDP growth with the aim to increase broad prosperity, is really a bridge too far. I must therefore discourage the motion, but I am committed to giving the context to it, because then it might be a slightly less cold shower than it would be for a mere "dissuade'.
ParlaMint-NL_2020-10-01-tweedekamer-7.u208	The motion in part No. 15 is not recommended. There is another interruption by Mr Nijboer. Go ahead.
ParlaMint-NL_2020-10-01-tweedekamer-7.u209	I thought the minister and I were getting close. In the answer it was rather crude: it is only GDP. On Sunday afternoon I read all these hundreds of questions and it was every time: GDP is the only criterion. In the debate, the Minister was actually broader. A part of the broad prosperity is GDP. You're not saying that GDP can get out of the window in terms of prosperity. No, it's really an essential part of that. It is one of the components, as well as nature quality and well-being. I am not against economic growth at all; I am not against economic growth at all. So I think we're approaching each other a little bit in the run-up to the debate. Perhaps I should also hold this motion, and I should have a look at my colleague, because it makes no sense to start a debate with a closed door, then to have the door ajar and then to get it back in your face during the debate, while we were just moving in the direction that I liked.
ParlaMint-NL_2020-10-01-tweedekamer-7.u210	I've been thinking about what I've said. I think Mr Nijboer understood that correctly. I just want to highlight that GDP growth is throwing out the window... Mr Nijboer is right: GDP growth is also contained in most definitions of broad prosperity. However, I would like to point out that this is really an issue for the cabinet. If he says 'I am waiting for the wider debate and I am holding the motion', then of course I can live with it.
ParlaMint-NL_2020-10-01-tweedekamer-7.u211	The motion is being held. The wording may be reviewed in the context of a follow-up discussion.
ParlaMint-NL_2020-10-01-tweedekamer-7.u212	The motion in part No. 16 is also up to the Chamber itself.
ParlaMint-NL_2020-10-01-tweedekamer-7.u213	Judgement is up to the Chamber.
ParlaMint-NL_2020-10-01-tweedekamer-7.u214	Yes, to judge the Chamber.
ParlaMint-NL_2020-10-01-tweedekamer-7.u215	To judge the Chamber.
ParlaMint-NL_2020-10-01-tweedekamer-7.u216	The motion in part No. 17 by Mr Van Raan is a sympathetic motion, but she has something of putting a noose around the neck of my successor or successor. It is good to add that we have, of course, been discussing and sharing with the Chamber the Monitor Brede Welvaart and the cabinet response to it for a number of years. We are also constantly taking additional steps. If I were to interpret the second part of the operative part in such a way that the anchoring takes place via the monitor and the cabinet response which, incidentally, appear on Accountability Day; Mr Van Raan and I always have a debate on this issue, then I can give the motion 'judge Chamber'. Moreover, the good news is that I understand that the Study Group on Budget Space will also address the broad prosperity and the policy cycle. So with that package and with that dress-up, too, not to put my successor or successor in a completely impossible position.... I can give the motion "judge chamber."
ParlaMint-NL_2020-10-01-tweedekamer-7.u217	Or yourself, but that's another point. The motion in part No. 17 gets, with a certain exegesis, judgment chamber.
ParlaMint-NL_2020-10-01-tweedekamer-7.u218	Mr. Chairman. Mr. Van Raan puts his thumb in the air. I think that's a sign that he can agree with my appreciation.
ParlaMint-NL_2020-10-01-tweedekamer-7.u219	Sure. We'd already seen that.
ParlaMint-NL_2020-10-01-tweedekamer-7.u220	The motion in part No. 18 is for the Secretary of State. The same applies to the motion in part No. 19. The motion in part No. 20 by Mr Azarkan concerns the composition of the committee and diversity. I would like to point out once again that the cabinet and I personally attach great importance to all kinds of diversity, with the conviction that diverse composite teams really work better. At the same time, if you look at the composition of the committee, at least there is a very good balance between the different areas of expertise and between men and women. And I would like to stress once again that we have found truly 18 carat people willing to sit on the committee. I would like to use that explanation to discourage the motion, but I am encouraged to keep a close eye on that theme of diversity.
ParlaMint-NL_2020-10-01-tweedekamer-7.u221	The motion in part No. 20 is not recommended.
