ParlaMint-NO_2006-02-09.ana.ud1041e51	The representative of Laila Bavøy will make a private proposal.
ParlaMint-NO_2006-02-09.ana.ud1041e1250	This debate has shown above all that there is broad agreement on Norwegian foreign policy and that the Government has broad support for its policy. There's also been a lot of important input, and it came, among other things. new recordings about Ukraine and Belarus to which I will join. I think it is important that we use organisations such as the Council of Europe and the OSCE, but that we also work across the EU to do something about the situation in Belarus, and also strengthen democracy in Ukraine. There have been many posts with different approaches related to the important north-eastern policy, although I personally fell short when I heard Morten Höglund talking about militarizing the Barents Sea. But I'm not sure that's what he meant. It is important that there is agreement on Norwegian foreign policy. We must be predictable, and we must be recognizable as a nation both towards allies and in our policies relating to international agreements, human rights, disarmament and an international legal order. Yesterday the Storting also showed that we are together in critical situations in the support that was given in agreement to the government's handling of the difficult situation of the last weeks and days. At the same time, the red-green government has a different value base than the previous one. Of course, it also has implications for the foreign policy mechanism, for the facility of our assistance, among other things. It means a foreign policy based on more international governance, a more active role in the world community and an increased focus on the UN, as the Minister for Foreign Affairs said in his statement. The UN Summit in September provided guidance for key areas. We're going to lead in the follow-up. We want a United Nations with high credibility on the outside, with the ability to reform and self-criticism on the outside. We also want to play a more active role in the UN's executive role in development and assistance. The UN agencies are perhaps the most efficient we have on the operational plane out there. They're where no one else gets there. They reach the most difficult places, the most vulnerable refugees – I have seen that for myself. Part of the reform work has also led to clearer coordination of the work of the UN organisations in the field and in the individual recipient countries, among others. on the establishment of the UN Resident Coordinator. One of the most exciting things in the Foreign Minister's presentation was that he presented a new African policy, where development policy and foreign policy are seen in the context. Seeking foreign policy cooperation with African countries and African institutions — both on African issues and on other international issues — is new, but it is very important. It also means a much greater degree of equivalence, where African policy is based not only on aid and peace-making, but also on trade policy, on fisheries, on the organisation of oil extraction and on industrial activities. At the same time, we are expanding our cooperation with the UN, the World Bank and others to ensure coordinated and targeted efforts to solve Africa's problems – eliminating poverty, creating growth and development and creating viable societies with good governance. Our security policy is based on the UN and NATO. We want to pursue an active policy in NATO to safeguard Norwegian interests and contribute to a good transatlantic dialogue. We must take an active part in NATO's modernisation policy. With NATO now covering almost all of Europe, the alliance is an important pan-European forum. EU defence and security policy is also taking place in close cooperation with NATO, which is of course important to us. The government's emphasis is on disarmament and arms control. On one essential point, progress is urgent, and it is a matter of non-proliferation and disarmament of nuclear weapons. Norway plays an important role in several forums – as a member of the IAEA Governing Board and as a leader of a seven-country group to try to move forward, following the collapse of the non-proliferation supervisory conference in May and the failure of the UN Summit to reach an agreement on how to proceed. Right now, the development of Iran's nuclear programme is extremely serious. Finally, I would like to add that on disarmament issues, the contract path is crucial – and probably the only thing we have – for the nitite and systematic work done in multilateral bodies.
ParlaMint-NO_2006-02-09.ana.ud1041e1271	Until World War I, the forerunner went into the fast lane between Hamburg and Arkhangelsk. Today, the fast route is known between Bergen and Kirkenes. It's a matter of reflection. The main road along the coast tied once east and west together in a way that meant that Norway was in the middle – and not a outskirts in the north. We know that cultural influences from the continent, from Russia and from local people such as women, men and men have created a wonderfully rich starting point for a brilliant culture in North Norway – a culture that we may not have known enough to appreciate in a national perspective. The Perspective Museum in Tromsø shows a beautiful exhibition about a viable, popular culture on the edge of the great politics of the past – the pomor trade, which gave life to economic and cultural diversity, in the language, in the adventures, in the humor, in the music and in the craft. Living culture is, in the broad sense, a prerequisite for a society to have the capacity for growth and survival over time. And maybe it was that communism and the closed border in the north made the Barents region from being a viable region to being divided into two poor regions, each of which have had problems surviving. We have to do something about this. The foreign policy discussion is, of course, about the major players. It's about the dividing line, about the important economic – visible – resources. But most deeply, it is our desire to develop a region that is viable in the public sense, that is viable from below – which is not only temporary viable due to some resources to be exploited. Then it is important that we strengthen the policy that is also about the people-to-people interface, the policy that actually makes us manage to live together and exploit cultural diversity to something that is becoming more, and not to something that unfortunately gets smaller when the assumptions are wrong. East Finland has not exactly been the economic sunny side of Norway. Just above the border lies a huge market, with a mere 1 million people. Here's the opportunity to get hold of it. Culture is created where cultures meet. The best meeting points are where cultures are different enough to work – we'll call them – exotic, but at the same time enough to trigger curiosity and things to get into good dialogue. The Barents region has the best starting point. It is the meeting point between two rich European cultural circles, between the two main lines of Christianity and between rich, popular cultures, which have at least periodically demonstrated the ability to live in cultural coexistence. We need actors like Pikene on the Bridge of the Churches, who are actively working on cross-border cultural cooperation. We may also need a renewed effort to think about people-to-people cooperation in terms of our foreign policy, in terms of culture. This does not apply only to the Barents region. I think the bar question might become so visible and so obvious to us that it can be an example that can also have further significance, because in a modern age and in a global society, the needs of the cultural policy area also change. Concretely for the Barents area, I think it is important to look at all the conglomerates of action and search agencies that cultural actors in that area have to deal with – the U.D. funds, Nordic funds, yes, at all. We also see that Sweden and Finland are probably not as much on the track as we are – naturally, because they do not have the same resources that trigger them to it. Perhaps it is also a task of foreign policy cooperation, in Nordic cooperation, to bring these closer together. We know that a cultural development company in North-West Russia is working on the model of the Council of Europe. It is also an important measure in this context. Here's a lot of things to deal with. Time limits me in doing it in its full width. But I think it's important that we maybe think through how we work in foreign policy in the cultural field to strengthen this approach. We need another climate – and Norway will benefit greatly from such a climate – where we get a cultural fast route that again runs between Hamburg and Arkhangelsk, and it is necessary that it is so well protected that there is room for many pikes on the bridge.
ParlaMint-NO_2006-02-09.ana.ud1041e1290	Yesterday, the Minister of Foreign Affairs stressed the importance of maintaining and developing relations with friends and allies in Norway, the importance of ‘being our friends’ – that is the concept he used. I agree that the Government should systematically develop political relations with friends and allied countries. I also fully agree that it is particularly important to develop links and develop coalitions with the European countries. This is not least when we want to safeguard our interests in the northern regions, which have been at the heart of today's debate. During the Cold War, great emphasis was placed on expanding the Atlantic connections. The United States naturally played a special prominent role for us. It was part of Norwegian interest insurance, and it was quite right. But this also meant that many Nordics found it natural to be withholding — to say it carefully — from criticising the United States in questions where we had a different view from the United States. Now the cold war is over. We now need to think carefully about which relationships we can best use to promote our interests and our views today. We're kind of going to stick the card and re-add the cards. If necessary, we should adjust the emphasis of the Cold War. In particular, the Minister of Foreign Affairs stresses in his statement that we need to develop a dialogue with our European partners on the North. I fully share that view. I also share the view that we need to pay particular attention to developing political relations with the European countries, not least in the areas of the North. It is linked to the fact that European countries can be particularly good interacting partners — to call them that. They share our view on environmental and climate issues a great deal, they have an interest in preserving the rich fish stocks since fish tend to end up on European food tables, and they also have important experience in cooperation with Russia. We can take advantage of such experience. The Minister of Foreign Affairs was recently in Berlin and had talks about the northern regions. He also gave a talk – I have had experience – highlighting the importance of interaction with Germany for Norway. Here it was shown that Germany is an important buyer of our energy, and that they share our positions on important environmental issues. I fully adhere to this emphasis of Germany as an important partner for Norway. I therefore look with interest to see how we can develop these links. It will be particularly interesting if we are able to develop cooperation projects in the north areas involving both Norwegian actors, German actors and Russian actors, as the Minister of Foreign Affairs suggested in Berlin. The German-Norwegian relationship is characterized by very close political and economic relations. Even before the reunification of Germany, the country was one of Norway’s most important partners in Europe. Both Norway and Germany are now showing an increasing interest in the development of cultural and bilateral relations. In my opinion, it is important and right that we strengthen our relations with Germany, both because of Germany's size and central location and because we share a common view of a number of areas. Norwegian business should — and I am sure it is — be very interested in developing the relationship between Norway and Germany. Just think what this can do for Norwegian oil and gas in the future! Already today, about one third of Germany’s gas imports from Norway are coming. Then I could mention travel, fishing and many other industries. I am pleased that both the Prime Minister and the Minister for Foreign Affairs clearly emphasise the relationship between Norway and Germany in the outsourcing of future foreign policy.
ParlaMint-NO_2006-02-09.ana.ud1041e1308	WTO negotiations will continue to be a central part of Norwegian foreign policy in the future. For a small, open and specialised country such as Norway, it is important that we have clear guidelines for trade. Trade is an important driver of increased well-being, including for developing countries. If we use our well-being to subsidise our exports or to shut down our land products, it is an effective way to limit the opportunities for wealth growth in developing countries. It is therefore good that the Government shows its willingness to negotiate in the WTO negotiations. It may be in place with a small conceptual clarification, as explained by the Minister for Foreign Affairs, on the position of agriculture. In contrast to agriculture, forestry is dependent on an open world and has adapted to an open world of trade. Forestry has a significant potential for increased district-based value creation if we only find out how to release it. When we talk about agriculture, we really talk about agriculture, and agriculture is definitely a major challenge in relation to the WTO. But at the same time, agriculture depends on our having a value creation in this country that allows support for agriculture. The WTO, in isolation, may not be able to become a winner in agriculture, but it is important that the process does not create more uncertainty than necessary. In this context, I would suggest that the Foreign Minister perhaps take time for an adult training course for the Minister of Agriculture. It is an undeniable fact that agriculture today has a structure and has found a division of labour between parts of the country and between those more governed by domestic policies than by the market. The farmer has been very capable of adapting to the political signals. The farmer is undoubtedly a good capitalist in the private economy. A WTO outcome will result in single-bonding facing major changes and challenges. That's where adult education comes in. We are now looking at an agricultural minister who is rather tightening up rather than slacking up agricultural regulations. This gives the individual operator less room for action in finding their own solutions in the future. I believe that parts of Norwegian agriculture can do well within a new WTO solution. Some people might choose niche production, others would choose size and co-operation solutions. For other parts of agriculture, it may be appropriate to define quite different objectives for the establishment than the production of food. The important thing is that one now has to let go of the creativity of the individual more, without a public bureaucracy having to have the last word in the discussion. The Minister for Foreign Affairs should make time for this adult training. The picture is not clearly negative for agriculture, but it is urgent to release the offensive forces, otherwise the Foreign Minister may have more problems than necessary to sell his message at home, and the Minister of Agriculture may be blamed for having tied everyone in agriculture to the same mast and then lower the boat with everyone on board.
ParlaMint-NO_2006-02-09.ana.ud1041e1317	Fortunately, there is a broad consensus on what the Minister for Foreign Affairs stressed in his statement that a country such as Norway has served to further develop the international legal order is important. That's how we can give the strongest right and extremism an ever narrower leeway in the international community. It is in our own part of the world that we have reached the most in terms of taking the consequences of the interdependence that exists between countries in terms of security, economy and well-being. In Europe, the highest level of law enforcement has been achieved, based on this inter-country interdependence. Although Norway is outside the political sphere and some other parts of EU cooperation, we are nevertheless strongly entrenched in cooperation, because we share this dependence between neighbouring countries. The framework and opportunities that this provides for policy in very many areas are far too little a natural part of the political debate, both here in the Grand Duchy and outside. The active, clear and open European policy action plan announced by the Minister for Foreign Affairs in his presentation must help to change this. I have this week attended a conference in Wilton Park in England where the theme has been EU cooperation in the future. One of the main features identified is the lack of ability and willingness to link policies at national and European level. If the political level does not have the means to communicate this context, it will also be almost impossible for other social actors and citizens to get to grips with this important dimension when discussing future policy. Today, this common addiction fascinates so to say all the crickets and hooks of our everyday lives. It's about terror and drugs, it's about jobs and the environment, it's about us as consumers in an international market, whether it's healthcare or tourism services we use outside the border. When seven or eight out of ten environmental regulations are adopted, the Stortinget comes from the EU and not from the Ministry of the Environment, the Stortinget must also spend more time on what is happening in Brussels. That is why, here in Stortinget, we have to respond positively to the foreign minister’s warning about an earlier and more thorough handling of EEA matters, as the representative Meltveit Kleppa also mentioned. This has also been pointed out by the Committee of European Parliaments in the EEA for several years. We should look at the Finnish Parliament, where the expert committees first deal with proposals for new EU legislation – and not, as with us, the EEA Committee. As we all know, when the Scientific Committees in Stortinget are asked to deal with matters, it becomes a summary, because it is «take it or leave it». So that's what we've taken, and that's how it's going to continue. In doing so, we quickly lose sight of the relationship that exists between what we are doing here in the house, and what is happening at the political level in Brussels, and of which we are part through the internal market. Let me also add another thought to consideration and thought. In Ireland, a few years ago, a national European forum with participation from the political environment and a number of other social actors was established. The idea was to have a forum to create the broadest possible common basis for European policy after the Irish No to the Treaty of Nice. We should consider something similar, because it could help to clear up the trauma that rests over all the Norwegian European debate, namely the issue of membership. This trauma also quickly comes to mind when dealing with different directives that will apply in the EEA area. Finally, the question of being able to test out the right of reservation is given a stronger focus than the possibilities to influence the outcome while there is still a political process in the EU bodies on the proposals. Such a forum could help to turn the focus from – I had almost said – a threat to dialogue and influence. It might also be a forum that increased understanding that, even in the EEA context, the starting point for an active European policy must be to safeguard our own interests effectively in the common dependence we live in. We can, to some extent – but only to some extent – choose how to organise our cooperation with the countries with which we are most integrated. What we can't pick out is our addiction. Therefore, there is a need to strengthen the understanding of what opportunities and frameworks the common dependence provides for the choices that we ourselves are going to make in more and more areas of policy.
ParlaMint-NO_2006-02-09.ana.ud1041e1338	After listening to the Minister for Foreign Affairs' very broad and thorough presentation and today's equally broad and thorough debate, I sit back with one question, but that is a very troubling question in return. We are rightly concerned about the destruction of Norwegian embassies and the burning of the Norwegian flag. We are very concerned that this has never happened before. It doesn't. But why are none of us concerned about the daily burning of the Norwegian flag side by side with the flag of our neighbouring country, the Danish, and the fact that Danish embassies are subjected to exactly the same treatment as the Norwegians? It seems to be of no concern either to the Government or to the Norwegian Government. One could almost get the opposite idea of today's debate, which is that some people are on the verge of saying that the Danes get what they deserve, whereas in our pretence we Northmen deserve something quite different. In the Secretary of State's long statement, there was one sentence that strangled Nordic cooperation, and that sentence was completely empty of content. It just said that Norway will work actively within the framework of Nordic cooperation, where we have this year the Presidency of the Council of Ministers – not one word about what you want to work with or for, in a situation where two of the Nordic countries are in exactly the same boat, and where that boat is bombarded. It is very interesting that the Minister for Foreign Affairs is having long and good discussions with his colleagues in other countries, both Iran and others. But why does the Minister for Foreign Affairs not find any reason to mention his Danish colleague at all? Has he not had any telephone contact with the Danish government at all in this situation? I am currently recording in Norwegian media that one Norwegian business stop after another stands up and expresses great satisfaction that Norway may avoid an Iranian boycott. Yes, God better. But it was actually a Norwegian poet who wrote for some years ago that ‘you must not tolerate so deeply well’ the boycott that does not hit you yourself. This gives cause for concern that, in such a unique crisis situation, we too are so enormously self-absorbed in this country. It is typically Norwegian to be good, there was a former Norwegian Prime Minister who said. I am afraid that it would have been more striking if she had said: It is typical Norwegian to be self-sufficient at the expense of others – even in crisis situations. On 25 January this year, we had a Nordic seminar here in the Nordic Council on the threat of terrorism in Nordic societies, and on what can be done to develop a common strategy between the Nordic countries to find the right balance between measures to combat the threat of terrorism and to safeguard the legal certainty of individual citizens – a very central theme in today's situation, and one would believe a core theme of Nordic cooperation, precisely in this situation. Now, incidentally, the Norwegian Government is responsible for the work of the Nordic Council of Ministers this year. Then it would be interesting to hear whether the foreign minister has thought about this perhaps a relevant issue – whether it might also be a relevant issue in Nordic cooperation for the Nordic countries that are not currently experiencing their flags burning, that there are two of the Nordic countries that are in the same boat. It wouldn't have been off the road if he had sacrificed a sentence or two on it.
ParlaMint-NO_2006-02-09.ana.ud1041e1355	The Minister for Foreign Affairs said in his statement that our greatest challenges are probably about the climate on earth and the fight against global poverty. The last nine years that have been measured in the world since such measurements started in 1861 have been the hottest. Svalbard experienced last year's warmest year ever, with an average temperature of 3.6 degrees above normal. Now there is a drama on Svalbard that has not yet reached Norwegian newspapers. It's not ice in the fjords of Svalbard this year. As we know, the edge of the ice tends to go far south for Svalbard in a normal year. That means that the animal life of Svalbard, which depends on that ice, has a hard time. Ringed females now go pregnant and should throw, or feed, kids on the ice during the spring. They depend on ice to feed. We don't know what's going on, maybe there won't be any kids on Svalbard this year. We know that when the ice is there, the ringing food is for the polar bear, which depends on the same ice to hunt for the ringing. The polar bear is difficult now when the ice lies north of Svalbard. The warming happens fastest in the Arctic, and what happens to the Greenland ice is perhaps the most dramatic thing we can imagine in the long term. If the Greenland ice disappears, the world's oceans will rise by over seven meters. It'll take time. But the scientists say that maybe in this century we will experience the sea rising by as much as one meter. That equals half of Bangladesh. The question is no longer whether we can prevent climate change from occurring, but whether we can adapt quickly enough. On the other hand, we can reduce climate change emissions and avoid the most dangerous climate change. Despite the fact that what is happening in nature now is frightening, I would say that the most frightening thing is the absence of a global political leadership capable of preventing climate change from occurring. As head of the Nature Conservation Association, I was in Kyoto in 1997 and experienced enthusiasm when we reached a climate agreement, even though it was on the drooling hair that something happened. Since 1997, we have seen little about global leadership. In Montreal we were able to prevent the collapse again in the harvest, and the work on climate change continues. I have proposals for three initiatives that I want us to continue working on to be able to get on the offensive. We have to bet heavily on technology. In the international climate negotiations, countries that are largely non-committee countries are talking about technology. We who are busy with commitments need to talk more about it. And we who have the opportunity to develop CO2 deposits have the opportunity to engage in dialogue with the United States that a few other countries have. We have to take full advantage of that. In order for climate change to be taken seriously, it must become more visible to people most through new studies. A study that was done, called ACIA, which is about the Arctic climate disorder, is exemplary. It was a significant contribution to Russia's ratification, and to the refusal of seven US states to Bush and the introduction of its own climate regime. Sheila Watt-Cloutier, who received the Sofie Prize last year, was one of the driving forces behind that report. She now writes on her book "The Right to Be Cold". She represents the Inuits in North Canada, who lost their livelihoods. Norway should take the initiative to pursue this by obtaining a separate addendum in the Arctic climate agreement on the situation. Another area that might be hit just as hard right now is the Himalayas. The glaciers of the Himalayas are retreating quickly. Himalayas are responsible for water supplies to China and India, half of the world's people live downstream from Himalayas. If we could get a climate study on a pattern from the ACIA report on the Himalayas situation, there would be a chance to engage in dialogue with the two largest countries, which we are totally dependent on talking to if we are going to solve the climate crisis in the long term, namely India and China. It's not random that this year's edition of Earth's state from the Worldwatch Institute is solely about the two countries that play a key role. We will return to environmental policy, and this will be important initiatives in the global contribution.
ParlaMint-NO_2006-02-09.ana.ud1041e1379	The President will propose that the speakers who will be given the floor now have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-02-09.ana.ud1041e1384	Let me first say that I support the latter speeches in that it might be interesting if we could contribute to a climate study in relation to the consequences of the Himalayas. But that's not why I took the word. I took the floor because the Council of State in the exchange of lines signed about the donor country group linked to the Palestinian self-government areas was given a short time. I understand that one minute is a short time to explain it. I'll give him the chance again if he has more on his heart. I would like it to be ensured that there was a dialogue with the Storting about the development of an area where there is now great explosiveity. We grant a lot of money, and the Storting has a special interest in being well informed about whether there will be a coordinated view of the situation between countries, or whether there will be a fragmentation of who will contribute and in what way, and not least how we can ensure that we get the transparency in decision-making processes and in the use of money that is necessary. One thing is the political situation associated with Hamas winning the election and probably taking over the government. The second is the fact that everyone understands that the use of our money in this area has not been good, because it is an area where the money – including the Norwegian taxpayers’ money – has been spent on projects that have not provided full benefit, and partly because the system has had little transparency and backwardness on how to use the money in the future. In a situation where it is politically important to ensure that there is a development in the conflict between Palestine and Israel, but also in a wider Middle East perspective, it is our position that we should not impose on the Government any special message, other than what we have given from the interlocutory today, in relation to the relationship with the new government to Hamas. I also think that the Council of State has confirmed that we agree with these questions when it comes to the main lines. But it requires close links and information to the Storting in the future about development. Not least because these are large amounts of money, which we are helping to support the development of the Palestinian territories, and which hopefully will contribute to peace, reconciliation and, eventually, economic development that will provide a better situation for those living in the area, both Israeli and Palestinian.
ParlaMint-NO_2006-02-09.ana.ud1041e1396	A number of important articles have come after I made my last post. I can't comment on everyone in detail. Let me first say that I have noticed good suggestions from among others. Mr Svein Roald Hansen on a European forum. I think that's what I deserve to be studied more closely. Also from the representative Sørensen there were good proposals, on follow-up on the climate side. I mentioned it at the end of my presentation, and I think it's a work we have to go much deeper into. It is a work that the Minister for the Environment, the Minister for Development and I intend to sit down and look at together. It brings me to the posts of the representatives Sjøli and Hildeng – and also from the representative Knutsen on health in the north. The interesting thing about it was that you put health in a foreign policy context that I would like to welcome, and that is an area that I intend to get wider back to on a later occasion. I think it is very positive that here in Stortinget a network of representatives has focused on the subject of resolution 1325, reproductive and sexual health. This is a core issue in development work. I have worked a lot on it in previous capacities, and it is an area that the Minister of Development and I are also concerned about. I can assure you that the support for the Global Fund for the Control of AIDS, Tuberculosis and Malaria will continue. This is also linked to the vaccine initiative, which is an opportunity to make representations to mothers. Through these different health programmes, it is very important that we now create meeting places where one dimension can be put on top of the other. This is going to be cross-referenced. Experience from the Norwegian primary health service is important to take this work into account. In several African countries, we have done valuable work on the aid side by supporting the development of primary health services – precisely what is needed to reach women in need. Now I'm going to be careful to give the Storting advice, but let me make a little suggestion. I don't think that the Swedish Foreign Affairs Committee recently visited Geneva, where we spend a lot of our resources on humanitarian and social programmes that have been linked to, among other things. This. It concerns the World Health Organisation, but it also applies to the High Commissioner for Refugees. Many women experience the most brutal abuses, such as: is covered by what you picked up here. I would also like to say very clearly that the line that the Bush administration has to cut support for this type of action is completely wrong. We're going to go against it, and we're going to do what we can to support that kind of development program. Then I can reassure the representative of Wohnning that I have had more discussions with my Danish colleague and the Prime Minister with his Danish colleague. We have an ongoing crisis preparedness, as it happens between Nordic peoples when it's difficult times. So I have not had reason to address Denmark in particular, because our embassy there is safe. I have not heard that they have addressed us in particular, because they can be quite safe on us. We stand by each other in such a situation. It has nothing to do with self-righteousness. It has to do with Nordic cooperation and to focus on the challenges that arise. Then I also welcome all the good recordings in the northern areas. We take the suggestions with us in the further work.
ParlaMint-NO_2006-02-09.ana.ud1041e1417	I have also not believed that the Danish Embassy in Oslo was in acute danger, or that the Norwegian in Copenhagen was in acute danger, but I found reason to point out that it is remarkable that in all the statements that have fallen in the dramatic days, the consideration of our neighbouring country in the south has not been mentioned with one single word. It's an ancient Roman saying that when it burns in the wall of the neighbor, it concerns you. It's probably an understatement. I would also believe that when the neighbor's flag burns, it concerns you, especially when your own flag burns on the same fire. It is gratifying that there has been a contact between the Danish and Norwegian governments, and that it has now been said from Stortinget’s pulpit that it may have a certain meaning. But just in an Ibsen year, it must be allowed to remember that if it had not been because of the apparent absence of solidarity and cohesion between the Nordic countries, neither ‘Brand’ nor ‘Peer Gynt’ would have happened. It may also be worth remembering that the point in ‘Peer Gynt’ – which most people on the globe have brought with them, it may only be here in the home country that we haven’t quite gone up yet – is that there’s a very crucial difference between being yourself and being self enough.
ParlaMint-NO_2006-02-09.ana.ud1041e1424	I thought it was interesting that the representative Wohnning brought it up with Denmark, because that's right what he says, that it has been rather absent from the posts we have had here today, that a neighbouring country is in an even more difficult situation than us. At the same time, I believe that there is reason to go after, when this is probably slipping over, to look at why conditions have developed internally and therefore externally in these two countries. With the investment made over many years in Norway when it comes to building trust and dialogue, the Norwegian Muslims seem to be our supporters of the authorities, while one in Denmark has ended up opposite due to a lack of dialogue. There may be more issues under here, but I thought it would be interesting to look at it afterwards, because it is obvious that Denmark has had a separate more heated and polarised debate. And then we see two different consequences of that. It's too easy with the knowledge that we have, to conclude the bastant here, but that's how far the observation is. Otherwise, the representative is entitled to pay because this has not been particularly present in the debate today. So to what the representative Erna Solberg took up, and the Foreign Minister didn't have time to respond to in his post, this with the donor country group. We've heard the Quartet, and it's perhaps most clearly stated by Chancellor Merkel, we've heard President Mubarak through his spokesman, and we've heard Abbas's expression very accurately when it comes to what's expected of Hamas in the long term if one's going to continue with transfers and additions. It is clear that it is of interest to this House to right the way the Minister of Foreign Affairs views it, according to the important position he has as leader in the donor country group. I agree that the pages 15 and 16 in the manuscript of his distribution take care of a wholehearted view of developments in the Middle East. And as I read it, the two points in the proposal from the Progress Party are also covered in the two sides. That's the clear premise that I'm basing on there. But there's more in these two sides, and that's important. I would like to ask the Progress Party specifically to turn the proposal into a transmission proposal, given that these points are covered here.
ParlaMint-NO_2006-02-09.ana.ud1041e1433	There was another representative of the Right Party who took a lot of my time, so I'm sorry I didn't come back to the representative Erna Solberg. Providing a little more detailed information on the donor country’s work to the Storting is a good proposal. I look forward to doing that. Let me also say that our main lines are drawn up in the statement we've given, where I've wanted to express myself in two ways: I think it's wrong for the world community now to express itself in a way that drives the parties into ultimate positions, where they position themselves so that there is no room for manoeuvre. It has been obtained from several teams. I also notice that from teams that are very clear on individual points, the meaning of the subject matter is now emphasised. At the same time, I have said what is Norway's main position, which we are going to deal with, which is what democratically elected governments have as their course. There's a clear signal on the main direction. Now we have conversations directly and indirectly with a large number of these parties, and I want to come back and brief on that strategy at an appropriate time and in an appropriate way. The quartet's broadcast, Wolfensohn, is now in the region. He is trying these days to get a first collection of resources to ensure that President Abbas’s authorities can pay salaries to Palestinian officials and servants in the coming weeks. Norway intends to put it in that fissure layer, within the budgetary framework we have already decided. We want to be early out, but this is just an emergency situation. The big question is which setting to have for the government that had to come, and what program the government had to have. There are so many uncertainties here that I don't think we should complicate it any further. But I thank you for the invitation, and we're going to get back to it in an appropriate way.
ParlaMint-NO_2006-02-09.ana.ud1041e1444	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Votation, see below]]
ParlaMint-NO_2006-02-09.ana.ud1041e1460	I have no intention of bringing up a longer debate – with a relatively short and unanimous vote by the Committee. Nevertheless, I think that the position on the activities of the Council of Europe deserves to be referred to by the case-rapporteur from the Chair, in particular in the light of the serious events in the Middle East and in other countries, which emphasise the need for dialogue and defence of human rights and freedom of expression. The Council of Europe is precisely such a dialogue forum, although it has no direct link with the events in question. But it is a dialogue forum on the European continent. It's an organisation with 46 Member States, with a total of 800 million. residents. We might sometimes take for given networks that exist, but that don't always create the big headlines. The Committee underlines the importance of the Council of Europe for the establishment of dialogue and cooperation in Europe and for the search for fundamental values, human rights and the principles of the rule of law. The Council of Europe contributes to the consolidation of democratic stability by supporting political, legislative and constitutional reforms. The strength of the Council of Europe is to develop standards in the field of the rule of law and democracy. This is a fundamental contribution to the prevention of conflicts and the safeguarding of human rights. Although the primary responsibility for the protection of human rights lies initially with the Member States themselves, the Council of Europe contributes in the prevention field through the development of democracy, democratic participation and good governance. On the part of the Committee — not to say Norwegian — we are committed to having an effective European Council, which involves transparency, efficiency and resources. It is necessary to ensure good cooperation with the other European architecture, such as the European Union and the OSCE. The Committee emphasises that we must strive for a common standard of human rights in Europe based on the European Convention on Human Rights, and we have noted the proposal for a Constitutional Treaty in the EU and the prospect of the EU becoming a party to the Convention. Reforms are needed to strengthen and streamline the work of the Council of Europe, and in particular to ensure the future of the European Court of Human Rights in Strasbourg. The Court of Justice must have the capacity to follow-up cases of breaches of human rights, to reduce the large balances and to reduce the length of proceedings. It has to do with the credibility of protecting human rights. My small contribution in this matter is to underline the important instrument we have on the European continent for the protection of human rights, democracy and the rule of law. Norway must continue to play an active role in this work. With a little rewording, I think this is completely in line with the unanimous committee setting.
ParlaMint-NO_2006-02-09.ana.ud1041e1483	Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 1302]]
ParlaMint-NO_2006-02-09.ana.ud1041e1499	No one has asked for the floor. [[See page 1302]]
ParlaMint-NO_2006-02-09.ana.ud1041e1515	No one has asked for the floor. [[See page 1302]]
ParlaMint-NO_2006-02-09.ana.ud1041e1523	The increase shall now be added to the case No. 1 to 5.
ParlaMint-NO_2006-02-09.ana.ud1041e1546	During the debate, Mr Höglund put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘The Government asks the following minimum requirements for cooperation with future Palestinian Governments:1. Acknowledging the State of Israel2. Retiring and actively combating violence and terrorism’ Mr Höglund has asked for the floor to explain the vote.
ParlaMint-NO_2006-02-09.ana.ud1041e1558	During the debate, we have been invited to turn this into a transmission proposal. I just want to be allowed to comment briefly. Unfortunately, we have not intended to comply with that recommendation. We do not think that either in the statement or in the course of the debate, things have come to light that this proposal should not be voted on.
ParlaMint-NO_2006-02-09.ana.ud1041e1565	It was I who challenged the representative Morten Høglund and the Progress Party to refer to the proposal for a transmission proposal. As this does not happen, I would encourage the Christian People's Party to vote against – not because we are disunity in the two points, but because I think this is embedded both in our post here today and in the Foreign Minister's statement. He has said that he will come back when it comes to the strategy for the giver land work, where Norway has the leadership. We then thought that it was common practice for the Government to design foreign policy and that that is what we want to follow. At the same time, I'm saying that we're some of what's the substance of the two proposals, but that's just part of a whole thing. We want the whole thing.
