ParlaMint-NO_2006-06-15.ana.ud2170e119	The representative, Olemic Thommess, will make a private proposal.
ParlaMint-NO_2006-06-15.ana.ud2170e1471	In Northern Ireland, we expected an impact assessment and were not very pleased that there was no impact assessment of Northland VII and Troms II in this round. When I say it that way, I know with certainty that the Nordland Workers' Party and a collective trade movement in the north are behind it. But as the representative, Torny Pedersen, said in an excellent way: we northerners are not so quick to give up. These areas are among the most promising search areas on a Norwegian base, with great opportunities for oil and gas discovery. There are very large national values with significant ring-effects on value creation and employment in the region, a region characterised by high-needed relocation of new businesses and technology workplaces. As I have seen, it goes at least 15 years from the decision to declare a field until the field is in production, if necessary. Meanwhile, continuous technology development will take place in order to meet increasingly stringent environmental requirements. It is important that we look ahead and seize the opportunities offered by the management plan. I am very pleased that the management plan does not imply that some areas are given permanent protection and that the term ‘petroleum-free zones’ is gone. So the principle becomes like before, that everything is closed until it opens. Strict and objective environmental requirements drive technology development in the future, not petroleum-free zones. The management plan is a good starting point for the development of oil and gas activities in North Norway. As it now stands, the management plan will provide predictable framework conditions and good opportunities for the petroleum activities in the Barents Sea. That's good. The management plan points to the major environmental challenges ahead in our northern seas which are long-range transport pollution, illegal overfishing and trawling activities and the risk of acute oil pollution from maritime transport and petroleum activities. It is worth noting that normal oil and gas operations are not considered to be the great sinner, as some have tried to produce it as. It should provide good cards for future battles. Then to the conclusion. It is important to see the opportunities offered by the management plan, so that the Nordic region will in future be able to take part in the opportunities offered by the development of oil and gas activities and not become an environmental alibi. It is positive that a comprehensive management plan will be revised in 2010. We in Northern Ireland have clear hopes when the plan is going to be revised.
ParlaMint-NO_2006-06-15.ana.ud2170e1488	In the debate we have had so far today, there has been the greatest focus on the impact of the plan on oil activities, and of course with different approaches from the various parties. However, I would like to stress that the plan now under discussion shows that, to a large extent, it is traditional activity through fisheries that is the great winner in the management plan, if we are to nominate some winners. The follow-up to the plan of scientific advice from marine research teams as well as from fishing teams in relation to the areas to be opened up for new oil activities implies a very good balance between environmental interests and various industrial interests such as fisheries and oil. The centre party has underlined in its programme that we want to focus on both housing, jobs and a forward-looking environmental thinking in the north. This means that the development of industry must now consist of both fishing, farming and tourism, as well as oil and gas, among others. The management plan has facilitated the location of marine oil activity in the next few years, but equally important for the region is the focus on land-based industrial development. The tourism, fisheries and aquaculture sectors are and will be the largest industries in the region in the years to come. We have to bring that with us when we discuss the management plan. Oil and gas activities will not be able to provide similar jobs but will be a particularly important complement to the traditional shore-based jobs. We need to attach conditions to the petroleum industry in order to ensure that there is an economic development and job creation on land across North Norway. The centre party will make clear demands that a substantial part of the new jobs associated with the North petroleum activity, both competence and industrial workplaces, should be present in the national part of the country. It shall include, inter alia: is ensured by setting operational and base structure requirements, and we are working to ensure the highest possible share of local suppliers to the facilities in the north.
ParlaMint-NO_2006-06-15.ana.ud2170e1501	Let me illustrate with numbers some of the previous talk was about. The first amanunensis Peter Arbo at the University of Tromsø has conducted a study and predicted in 2020 the following figures for the industries to which reference was made: Travel life has the possibility of employing 23 000 annual works, fishing 18 000 annual works, aquaculture 13 000 annual works and petroleum activities 2000 annual works. It gives a picture of the business that you're going to get in the north, and it should draw a lot of arguments down on a more ground level. It is not the oil business that will solve the challenges for the northern part of the country. The first three activities will create an income potential estimated at NOK 71 billion. The activity in the petroleum industry locally will be limited, but we know that it is spending considerable resources nationally. Then to Northland VI and VII. Once the government has chosen to put the handcuff on and let this train move a little bit slower, it is in recognition that developments in the security sector, technological development, are coming against us with stormscratch. Then let these three areas lie there like a captivating jewel. Because some of them are already within the reach of horizontal drilling from land, we can get an extraction from them. This means that we are facing a whole new situation that can give a new impetus to land-based business. We should have time to wait for that. So a little comment on the Progress Party. I allowed myself yesterday to be a bit fluent in the Nordic way when I said that the Progress Party had its own calculator. Now I find that they have got their own receiver. It's not said that 80 pst. the Nordic population has said no. What we know is that someone is deeply disappointed. Many have considerable concerns and feel a relief from what is determined in the Storing today, and many have a pronounced joy. Let's be honest enough to admit it. Otherwise, I ask that the Advance Party get another recipient.
ParlaMint-NO_2006-06-15.ana.ud2170e1514	The Christian People's Party considers it unfortunate that the Government is laying the sailing trail as close to the country as it does. It is positive that they have improved the application after the first round of applications. For the Christian People's Party, it is important to ensure the safety of seafarers. The establishment of the coastal facility for AIS along the coast is an important measure. We believe that the route should be within the AIS chain, and with a coverage of 30 nautical miles this needs to be improved. The Christian People's Party is also concerned with value creation, and that it should have sustainable governance. Therefore, we believe that there would be a strength if the societal implications of a possible finding could be documented by the companies in the impact assessment. Therefore, we have noted that we want the regulation to be amended accordingly. I believe that what the representative, Mr Ballo, is about, in such a change, could have helped to solve the challenges he pointed out, even in view of the fact that we have focused on the idea that Innovation Norway should set up a programme to create jobs in this sector. There is not much policy we have changed in this setting. That's how honest we're supposed to be. Today I want to draw out one of the areas where we've done it, and that's Bear Island. When the Council of State presented the message, the Bear Island was important. We all remember it. It is in the setting: ‘The majority assume that extending the current nature reserve on Bjørn Island to 22 km to the sea means a permanent protection area.’ We've confirmed this. We've taken the knowledge seriously through this confirmation, and we've created politics after that. I guess that's how we want the management of our marine area. With regard to the coastal areas to which the Government has granted concession, the Left and Christian People's Party believes that it is very unfortunate that there has been a concession here, since we are opening up an activity that is far closer to country than the trade unions recommend us. The Government has not chosen to take account of the professional bodies. This regrets the Christian People's Party.
ParlaMint-NO_2006-06-15.ana.ud2170e1534	It was the representative of Ballos who made me ask for the floor now. I think it was necessary to thank Mr Ballo for his good words and not least the fact that he misses me as Minister for the Environment. The last thing I can understand is that the government and government parties today will confirm that oil protection is being neglected in the north. Today, if he does not change his mind, the representative Ballo will vote in favour of our proposal to strengthen the towing boat capacity outside the Finnmark coast. The representative will then probably also vote in favour of our proposal to step up oil protection as oil and gas expansion takes place, and the representative will also vote against our observation that the WWF’s ‘Clean Coast’ project will receive increased support. After these nice words from the representative Ballo, I would rather live with the fact that he misses that I am using my entire intellect. Because that's not all that's so easy to understand. That it had to be an environmental protection minister from the Swedish Government to make Norway fully open the Barents Sea to oil and gas development, maybe not everyone had thought, but as I said in my main post, I congratulate the Swedish Government for that, because this gas will replace coal power on the continent, and that is good environmental policy. I had a consistent message – it also had the Right. If it is the case that the representative Ballo said I was not too oil and gas in my previous job, he is actually wrong. In 2004, among others, Bellona and Frederic Hauge my head in a barrel, because I was so positive to oil and gas, but I always stressed that it was to be on the world's strictest conditions attached to the environment. I think it is possible that fishing and oil and gas go hand in hand. But what's not consistent is two of the government parties acting here. It is not consistent that SV, who has linked to Snow White, is now going in the breeze to vote for full oil and gas activities in the Barents Sea. It is not consistent with what the parties have stood for in the past, but I would like to welcome it, and I would like to welcome it to turn around. It is therefore not consistent that the Norwegian working party today opposes the fact that it is at all necessary to determine the consistency of the operation of gas and oil activities outside the Western Sea and in the Barents Sea. As I also mentioned in my previous post, Fisheries Minister Helga Pedersen was confronted with this in the election campaign and said to Today's Business on 5 September: ‘I have not feared that the oil/gas options will be negotiated away. I can guarantee that it does not happen." That is why people in the West and Troms are disappointed with the Norwegian Labour Party today, and believe it is not consistent. They probably have a point there.
ParlaMint-NO_2006-06-15.ana.ud2170e1553	The management plan we are dealing with today is a good plan. However, this is not a good plan for North Norway. That's not a good plan for the oil companies. It is not a good plan for the supplier industry nor for Norway as a nation. But that's a good plan to survive politics. That's the most important thing about the whole plan. If you take from what has been said by politicians and those who have been in government in the past, it is clearly a survival strategy. The representative, Ballo, said that Børge Burnde was not to be recognized from the time he was in government. The Børge Burned himself in an excellent way in the post before me. But I can assure the representative Ballo that there are very many of the big ones, especially from the northernmost parts of the country, who are not to recognise today, compared to what they actually said in the election campaign. I have a lot of examples of that. One of the fixed elements of the election campaign was the daily radio duels between Olav Gunnar Ballo and Hallgeir H. Langeland from SV. It was interesting to listen to, because there were two very different opinions. I miss the representative of Langeland here today. Maybe he's standing in the lawn outside and demonstrating to the Government, as he tends to do, or maybe he's taken planes up to Hammerfest and linked himself into Snow White. It would have been interesting. In the case of the Workers' Party, they have a good tradition of double communication. Let me use one example. The former Minister of Oil and Energy from the Workers' Party, Olav Akselsen, closed Northland VI and Northland VII in the 2001 election campaign. Then there was a change of government. The Bondevik II government took over. After two–three months, Olav Akselsen appeared in the media and said that the Bondevik II government did not open Northland VI and Northland VII – he called for it. In other words, the Labour Party has one policy when in opposition and one policy when in position. They have tradition for that. Who doesn't remember Prime Minister Stoltenberg at NHO's annual conference this year? There he stood, high, dark, and mysterious, and had violent visions for the northernmost part of the country, the Northern Region bet. Now, what's left of the North Zone bet? Nothing. Trying to open the door to Russia to get activities going. As far as petroleum activity is concerned, I fear that you will take seven miles past the whole of North Norway and land with both legs in Russia – and I think you will stay there for quite a while. This is a black and dark day for large parts of North Norway, and it's because of the government we have.
ParlaMint-NO_2006-06-15.ana.ud2170e1566	I think several of the representatives from the Workers' Party and SV have given a very strange and caricant representation of the Right's argument for increased petroleum activity in the north. But I understand that the people of the Labour Party, in particular, dislike the situation today and the fact that they have gone from very important promises in the election campaign to a higher level of activity. The compromise in today's management plan cannot be characterised in any other way than a very pale version of the Workers' Party's actual oil and gas policy. Let me make it quite clear that the Right has never claimed that the Government has exposed Troms II and Northland VII ‘forever and ever’, as it has been said here. But we have allowed ourselves to point out the fact that the deferral is a major obstacle to the supplier industry, which was ready locally to take hold. The holdings cannot survive in the long term. They must work and earn money today and tomorrow in order to survive. Nor has the right ever claimed that the future of North Norway depends on oil and gas alone. I put a lot of emphasis on that in my article. On the contrary, we have underlined the need for new and more – and I repeat more – legs to stand on. No industries shall be replaced, but existing industries shall be supplemented by a new, large and important industry. Oil and gas industries demand other skills, which means the growth of new jobs, and which will allow more Nordic young people to gain a future in the region where they were born and raised. My co-representative, Bendiks H. Arnesen from Troms, tried with some sort of explanation of vote in relation to proposal No. 7, from the Right and Advance Party, to investigate an office of Petroleum Control in Harstad. Arnesen reasoned his vote – he shall vote against – that the point is not to determine but to establish an office. I feel the need to ask for clarification from the Workers' Party, but of course from the Government. Is there anything the Storting has not been told? Does the representative Arnesen say that the Government has clear plans – in some drawer – to set up a department for the Petroleum Control in Harstad? In that case, I think this is an opportunity to make that news known.
ParlaMint-NO_2006-06-15.ana.ud2170e1577	I think that the figures that Alf Ivar Samuelsen drew out, that he had found in the newspaper Ottar, and that Innovation Norway has also presented on its websites, well illustrates what was my main point, namely that very much of the employment that should and should be done in North Norway is going to happen in other areas, and that the potential is much greater in other areas than in the oil and gas industries. That's why you have to take that potential out. Speaking of Børge Brende's posts, I must say that once I have listened to Ivar Kristiansen, Elisabeth Aspaker and Børge Brende, I get associations to Bjørn Bjørnsen's book on the Battle of Narvik during World War II. It sounds like you're about to depopulate North Norway with a series of destructive measures. It's not like I miss Børge Brende as Minister for the Environment. What I strictly said was that he's probably missing in Antarctica. But since he wasn't here, I can't expect him to quote it correctly. But my point is that in a number of these areas one could have collected in a nuanced way. I think there is reason to praise both the Christian People's Party and the Left in the debate here today, because in a nuanced way they point out a part of the vulnerability that is in the northern regions and that they must be safeguarded. I have heard that Børge Brende is also concerned about before, while he is now more concerned about playing the role of opposition politician and reindeer cultivation it. And that's a choice he has full right to make.
ParlaMint-NO_2006-06-15.ana.ud2170e1591	The battle of Narvik I don't think has anything to do with this debate. On the other hand, I think it is interesting to hear, and that gives rise to some respect, the contributions from two of the three representatives of the Nordic Workers' Party who have had the floor here today, which clearly show that they are disappointed that Nordland VII and Troms II are not being consistently examined, and they refer to their own local decisions. Then it's better to test that the representative Hill-Marta Solberg says he's happy, and is doing the art work today to argue strongly for something that you just a few months ago was strongly opposed. When you refer, as representatives Ballo and Samuelsen do here, to numbers – not unexpectedly taken from Peter Arbo at the University of Tromsøs, who have been able to perform many and many and different numbers, depending on how best to use them – I wonder how much documentation you really need in the government parties if there are such numbers that should be the basis for a decision. The number of persons employed in the Norwegian fishing industry has fallen systematically over many, many years, suggesting that this will also happen in the future. There is also very little evidence that, despite increased production, the number of persons employed in the farming industry will increase. How much documentation does it take to show that the migration figures, the population decline – the demography – show an unhealthy and crazy composition along the coast of the north? And how much documentation do you need to see the wealth built up in those parts of the country that this forum has agreed to be allowed to evolve? We in Norway are at the top of the world in the areas that have been allowed to participate in this petroleum cycle. We have developed the world's best technology and have the world's most stringent environmental standard. Then you devalue the fact that the ‘only’ is about 2,000 jobs in the first place. I don't know about anyone in that part of the country where I come from, who thinks there's any reason to germinate out of 2,000 new jobs. There's nothing you can choose to ignore. That is why I have to say in the end that I share a great deal of the disappointment that Mr Pedersen and Mr Stroem, the representatives of the Nordic Labour Party, have expressed here today. I hope you can listen a little bit more to what people along the coast really think and go in for, instead of frightening with crazy numbers, whether they're from the north, from the university community in Tromsø.
ParlaMint-NO_2006-06-15.ana.ud2170e1600	Towards the end of the debate, I would like to thank you for a largely constructive and good debate, which has reflected the different views on such a large and comprehensive issue as the management plan. There is no doubt that when this government was formed last October, it knew what was going to be the test piece and the most difficult thing to land. We have made that clear, and the process in Stortinget shows that it was a sensible and genuine compromise we had reached when we presented the management plan. Let me stop at a few things. At the same time as we presented the management plan, we presented the 19th concession round. In this respect, we also looked at blocks outside the relevant area of the management plan. The coastal blocks on the Dark Coast were important to us. They actually said no to oil exploration, because that area was too vulnerable -- especially it was important for herring and for seabirds. It was a spawning grounds for herring, which was exempted from oil operations. It also promises well, given that we have a common ambition that I am happy to share with the committee. This is just the first management plan for a sea area, we are going to catch up with new sea areas in the future. I would like to make a brief visit to the representative Kvassheim of the Left, who in the debate has said that the government is putting up to full speed in the oil business. When you go through the proposals of the Left and Christian People's Party, you see that none of them would stop a single new exploration concession in connection with the 19th concession round. The left hand side has to be on the right hand side. I am otherwise glad that we have as wide a width as we have in the treatment of the management plan. We have, if you compare this setting to settings from previous periods, large committee numbers. And it's wrong what someone said earlier today, that there's a narrow support for the plan. The main action of the plan has very broad support in this room. There is also support for the guiding principles behind it. In the Soria-Moria platform, we decided that the precautionary principle should form the basis for environmental policy in Norway, and that means that doubt should benefit nature. That's how the Barents are vulnerable. It is that the wealth and fisheries resources of that area are the basis for eternal value creation. And by protecting the vulnerable areas, as we have done – the Lofoten, the Vestral, the Lopenhagen, the Tromsøflaket and broad zones along the coast – we can manage them on behalf of our descendants. We now have the opportunity to establish a maritime administration that demonstrates that we are taking a holistic responsibility in the Barents Sea, and that is going to be an example for follow-up.
ParlaMint-NO_2006-06-15.ana.ud2170e1615	As I said in my introduction, if we look at the overall plan presented in the Stortinget today – or the attitude that comes from the Energy and Environment Committee – then there is a very large political dimension in the whole matter. Let's look at the six main parts of the setting. In general, a unanimous committee uses the precautionary principle. In the case of knowledge, e.g., included in Part No. two, we see the possibilities to further develop the whole of North Norway and the competences there, etc. The same is true in the HMS field. In the third pillar, which deals with the management of the whole ecosystem, the Committee states that this involves a common factual basis, the distribution of impacts, the assessment of land and the overall impact on the ecosystem and other industries, etc. The Committee is also grouped at this point. In the case of oil protection, there is a discussion about having three state tugboats in the winter and two in the summer, or vice versa – it says on half a tugboat – but that's what we're going to get back to all the time. If we move on to measures in relation to pollution and biodiversity, the Committee is unanimous on a whole range of five main points, and on the framework of petroleum activities, as well. It does, I think, that the Storting, when we sum up this debate, is quite united about the further development of the sensitive marine areas, the ecological system up there, the management of it and the constraints. That's what's solid. If we look at the extremes, there are two parts that want to have petroleum-free zones, and then there are some that will go a little bit faster. If the Vesterål and the Lofoten area, the majority say that here we should have the var-principle with the knowledge base at the bottom. So I feel that when we sum up the debate here today, it is based on a good, solid development in the north, which is based on the precautionary principle, and which is also based on a guarantee of the framework conditions and how we are going to proceed in this system, and a roll-over, as has been said, for those and those years.
ParlaMint-NO_2006-06-15.ana.ud2170e1624	The entry for the representative Nordtun is probably a bit of a relief in the government parties and in the Workers' Party that they have come to their senses through this debate without experiencing too many who have demonstrated on the outside, and too many internal divisions. The working party probably has the greatest reason to be satisfied, because if we look at previous oil options, we have experienced that even the Working Party has been split internally, for example. when Snow White was adopted. They've avoided that this time. So you can focus on that there's a lot of consensus. Yes, if one reads the setting, it's very much the whole committee agrees on. Often there are the things that SV boasts about, that had it not been for the government, this had not been implemented, for example. in the field of the environment. Then it's kind of funny that it's just those things that a brawler of, that there's a collective committee behind it. I think, in fact, that almost no matter what the government had done, one got to do those things. But it is worth looking at the collection of suggestions that are at the back of the setting – that is approx. 15 proposals. So many proposals have not been in connection with an oil notification – if we can call it that – at all times. It shows that there's actually a lot of disagreement about some things that you're going to adopt today. And we see that there's actually an overall opposition that's behind some of the suggestions. Nor can I say that indicates that there is a broad consensus about that line of government now. Rather the opposite. Because it never happened in the last period, as far as I can remember, that the Progress Party, the Working Party, the Center Party and SV gathered about anything when a discussed oil matter. But that's clear to this opposition. And it shows which – in my opinion – poor settlement is based on some areas, and which one could do something about if the government parties were serious when they in their time invited the opposition to cooperation. Now we get a management plan that only 87 of 169 representatives feel a responsibility for, and we've already been demonstrated today that a number of the workers' party representatives who are forced to vote for it are now looking forward to taking a rematch on it as soon as possible. It is not the kind of long-term framework conditions that the oil industry should be dealing with, nor is it the kind of framework conditions that Nord-Norway should be dealing with – when even those who adopt the framework conditions are pleased to take a rematch. There are proposals in the case today that, if the government parties had looked at the Progress Party and the Right, they could get 148 votes in 169. Then one had a robust management plan, which had survived almost any government constellation. Unfortunately, we're not getting that right now. That means that the framework conditions that government parties are now boasting of are in place, yes, they will last a maximum of a few years. And if this government cracks before 2009, I'm sure they will already be reworked – for example. becomes a clean work party government.
ParlaMint-NO_2006-06-15.ana.ud2170e1639	The summary of Heidi Sørensen and Tore Nordtun is not adequate for the actual conditions. Until a short time ago there were many who assumed, on the assumption, that an arrangement for expansion in the northern regions would be balanced with petroleum-free areas. They based it on, among other things, that, in addition to the Christian People's Party and the Left, SV and the Center Party wanted it. One assumption that a balanced arrangement from a government in which some of these lots were present would also result in some areas becoming petroleum-free. So we're going to be able to agree with today's big thing that has to be characterised as a development plan that doesn't meet this need to balance the different considerations. Nor is it a plan that provides a long-term clarification, which many would have expected the plan to do. It has a time perspective for 2020. Realities are in areas such as: The Lofoten and the Vestral, that no one is going down from the barricades when we deal with the management plan, they're coming up. So there'll be no peace around important decisions. There will be a set-up for rematching and continuing fighting, for example. to Lophoth and the brook of the west. The picture drawn in relation to environmental exposure is that the Left and Christian People's Party are now left alone with positions that until a short time ago also had the SV and the Center Party. It is also an image of this treatment that what is stated in the Soria Moria Declaration that a desire to anchor decisions on petroleum activity in the north wide in the Stortinget is not a real will to seek a broad majority in areas where it should be possible. The fact that one will not be subject to binding decisions in respect of towing boat capacity, oil protection, etc. is an expression of this. I also note that I did not, either by the Minister for Fisheries or the Minister for the Environment, receive a reply as to whether they think the proposal of the Christian People's Party and the Left on zero emissions from land-based petroleum plants is an important proposal both to set a standard when granting permits from environmental authorities and in relation to fisheries interests. The hindrance to that question was that the environmental movement said that there was a scandal if not the SV and the Central Party voted in favour of this proposal. So there are important areas where the fight goes on and where there is disagreement. In some areas, we have been clarified, but not as many as we should have had with the level of ambition you had for the management plan when it started.
ParlaMint-NO_2006-06-15.ana.ud2170e1652	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 2871]]
ParlaMint-NO_2006-06-15.ana.ud2170e1672	No one has asked for the floor. [[Fotation, see page 2873]]
ParlaMint-NO_2006-06-15.ana.ud2170e1692	No one has asked for the floor. [[Fotation, see page 2873]]
ParlaMint-NO_2006-06-15.ana.ud2170e1708	At the request of the Labour and Social Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to members of the Government. In addition, the President will propose the possibility of a replacement of lines of up to three lines after contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2006-06-15.ana.ud2170e1717	The discussions on the social security settlement of the year between the Government and the organisations were held on 22 and 23 May this year. The organisations made a claim to adjust the basic amount by NOK 2418 from 1 May of this year, so that the basic amount was NOK 63 117. It meant a salary increase for pensioners of 3.75 pst. The government offered an increase of NOK 2 193, to a basic amount of NOK 62 892. That's what the parties agreed on, which meant an annual salary increase for the pensioners of 3.5 pst. The Committee, with the exception of the Progress Party, supports the Government’s proposals on social security settlement for 2006. In the event of an incurrency, the figures in the decision-making part were below the ceiling. 2652, item 70, in respect of the amount allocated, error. On 9 June 2006, the Committee received a letter from the Ministry of Labour and the Ministry of Inclusion, where the error was corrected. The letter is attached to the setting. In 1967, the intention of the population was that full earnings should give 2/3 of the income. Today you get a little over 50 pst, which documents a significant historical aftermath. The majority of the population with the Workers' Party in the head has, according to the members of the Advance Party, failed completely by under-regulating pensions, as has been done. The Progress Party believes that the Stortinget is obliged to follow up the intentions set out in the 1966 referendum, and therefore proposes in the social security settlement of the year a escalating plan of 2.5 pst. per 1 % years in addition to annual developments based on wage developments. Today, married and cohabiting pensioners also experience that they are being punished by shortening the basic amount to 85 pst. by G. In other words, if you are married or live together, you are punished by reducing income per person. person with approx. 9 400 kroner. It is quite unreasonable, in our opinion, that married or cohabiting persons should be punished in such a way. The Progress Party will eliminate this unfairness and therefore proposes a stepping-up plan so that married and cohabiting pensioners are treated in the same way as single ones. According to the Pensioners’ Association, the income of the minimum pensioners before the social security bill of the year was DKK 6500 lower than the poverty line. If you add to the Government's proposal for social security settlement, a minimum pensioner will still have approx. $2,600 less than what is referred to as the poverty line. We know that many minimum pensioners have a very tight economic everyday life and cannot afford, among other things. for dinner every day – we have seen media headlines about – and can’t afford to pick up vital medicines either. Looking at statistics from 2003, it turns out that 6 pst. of the beneficiaries of social assistance, there are lone minimum pensioners, i.e. single minimum pensioners. We also know that nine out of ten minimum pensioners are women, and we know that over the years they have taken care of the home and the children while the fathers were out working and built the country after the war. So these people have done in many ways what today's kindergartens and SFOs do. The Progress Party also requires a stepping-up plan in the context of the State budget for 2007 to ensure that the minimum pensioners are paid in line with low-wage groups. I think it is unworthy that, in one of the richest countries in the world, there should be minimum pensioners living below what politicians themselves refer to as the poverty line. Had the proposals of the Progress Party for the social security settlement of the year been adopted, a single minimum pensioner would have had NOK 8 000 more. In addition, if the proposal of the Progress Party had been adopted during the examination of the State budget to increase the special supplement by NOK 5000, a minimum pensioner from 1 May and a year in the future would have about NOK 13 000 more in annual income. I think that would have been useful and long-term money for many minimum pensioners. Finally, I would like to address the proposals No. One, two, three, four from the Progress Party. The suggestions are in the configuration.
ParlaMint-NO_2006-06-15.ana.ud2170e1736	The representative Robert Eriksson has taken up the suggestions he referred to.
ParlaMint-NO_2006-06-15.ana.ud2170e1739	The majority of the Committee is pleased that the parties have reached an agreement in the social security settlement of the year, and believes that it would be a little strange if the Stortinget were to enter into and review a concrete outcome of negotiations in a particular settlement. In that case, any changes should result from new guidelines, as examples of which have also been shown in the proposition have occurred earlier. But now it is also the case that the Storting with the very first of all gets a big message about our entire pension system, so there will be plenty of opportunities to discuss the pension system during the autumn coming. I see from the minority's comments that one places great emphasis on what one believes is an ever under-regulation of pensions and a great slowdown, especially for the lowest pensions, over almost the entire period of popular fear from 1967 until today, due to underregulation of G. I really think it's a bit of a shame that such a general claim has been allowed to get attached. As part of this picture, it should also be noted that when the principles for the regulation of the basic amount were laid down, the minimum pension was identical to the basic amount. When considering the development of the minimum pensions, one must also take into account that the special supplement scheme was introduced in 1969 and that the special supplement has been subject to an autonomous adjustment from 7,5 pst. by G i 1969 to the current level of 79,33 pst, respectively. and 74 pst. by G. The picture also includes that before the social security settlement in 2003, the Stortinget clarified the guidelines for the regulation of pensions, that the 2002 underregulation was corrected, that the guidelines were followed both in 2004 and 2005, and I think it is quite natural that the new majority government follows the regulation rules adopted by the Stortinget, as has happened in the year’s settlement. In addition, parts of the so-called underregulation when one sees all pensions as a whole, including those with supplementary pensions, have also been agreed with the pensioners' organisations, because at the same time it has given room for redistribution between pensioners, from those with high to those with low pensions. It also happens that married people and cohabitants actually have improved their pensions. One may well have as a future goal that one should have individual benefits and that there should be no difference, but the danger is that one forgets the lonely pensioners, because that is after all the most difficult ones. This is my first period at Stortinget, but I have let myself tell more experienced representatives that it is a certain year-round phenomenon that we are now witnessing, and that the progressive minority proposals of the Progress Party in social security settlement have a certain ritual impact. Now it is true that the Progress Party in the previous period for three of the four years was part of a budgetary settlement in the Stortingen, but they have, despite that, not been able to get an impact on their proposals in this area. And at the end of the day, it is probably the capacity for implementation that is at stake in the policy. One final point, which I would like to include: Of course, the proposals of the Advancement Party can be very tempting. Asked the question, ‘Do you want more money?’, most people will probably answer yes. But there is another side to this that is not fully visible in this matter, but no less important. Where the Progress Party wants to liberalise well-being, cash in hand, while you have to buy services yourself in a market, the red-greens are different priorities, with greater emphasis on a public service offer for all, regardless of the wallet for the individual. We see it in family policy, we also see it here in the old age policy. When you have to go out and buy older services in a market, a lot of people will quickly discover that the calculation is going to be negative, and that we are no longer talking about what is a constant issue of local government policy today, which is how high a percentage you have to pay when you might have to cover the entire cost in a private market. I also think that's part of the picture. The weighting – services or money – and where is that balance? There we have a fundamental disagreement. There is a lot of wisdom in old sayings – one of them says: ‘There is not gold that shines.’
ParlaMint-NO_2006-06-15.ana.ud2170e1756	The social security scheme did not create the largest headings of the year's income statement, but is, nevertheless, the single line that affects most people. The Government's proposals for the Storting show that there are nearly 1 million people who have a pension/transitional benefit from popular security as income. 279,000 of these are the minimum pensioners. The social security settlement partners have come up with a recommended proposal for social security settlement through the regulation of the basic amount of social security by 3.5 p.m. or the same as assumed wage growth in society in general. So it gives people who have income from retirement in the population, a percentage equal income development with the rest of the population, and fortunately a real wage development, because we still have a low price increase. There's no reason to argue that our many minimum pensioners with this are guaranteed a good economy. That's not what we're looking at today. We all recognise, I think, that the minimum pension, which is going to be $12,2,788, gives limited elbow space, even with favourable tax rules for pensioners. Tomorrow, we may well reduce the proportion of healthcare. However, the fact that the parties to the settlement have reached a agreed agreement means that we can adopt a social security settlement that is consistent with the assumptions made by the Storting and that it is an acceptable result, both for those covered by the settlement and for those who have negotiated it. When I took the floor, it was also to comment on one of the proposals of the Progress Party that we have previously co-existed with the Progress Party. From 2002 onwards, we have put forward proposals asking the government to present a phasing out plan to ensure that full-earned pensions in social security represent two-thirds of employee income. Our proposals refer to the fact that this was the intention when the popular fear was adopted in 1966. Following the decision of the Storting on the implementation of pension reform, it is no longer appropriate to discuss pension developments on the basis of the Storting decision on the establishment of the population in 1966. We are now facing a number of changes in the Law on Social Security and have also adopted the introduction of compulsory occupational pensions. We can therefore no longer see that it is natural to support such a proposal. Now we have to wait for the treatments that come with regard to the future popular security. That's what's going to apply, no matter what we say about the second one right now.
