ParlaMint-NO_2006-05-10.ana.ud1109e24	The representative Jon Hunter Gåsvatn will make a private proposal.
ParlaMint-NO_2006-05-10.ana.ud1109e1739	It is the primary responsibility of the school and school owners to facilitate this. We are now providing, as I said in a previous answer here, significant funds for continuing education related to the Knowledge promise, and it is also possible to imagine that you can have more continuing training in this field. We'll get back to that. There's a tough situation, and there's a lot of public focus around this. That's good. That means we can move on, but now we've got the report from the directorate. We're going to discuss it further and look at what we think it might be wise to do, but both we, the Directorate and the Ministry of Health are focusing on this, so I hope that at the end of this course we will come up with a lot of good measures to improve the situation for these children and for the school.
ParlaMint-NO_2006-05-10.ana.ud1109e1750	I have the following questions for the Minister of Knowledge: ‘In the 2006 draft budget of the Bondevik II Government, there were 50 million. to enhance the competence of the kindergarten sector. Nine of these millions have now been granted to county councillors to contribute to the implementation of the new law on kindergartens and the revised framework for kindergarten. How should the remaining money be used?’
ParlaMint-NO_2006-05-10.ana.ud1109e1759	It is distributed nearly 60 million. in 2006 for empowerment in the kindergarten sector. It's an event for the kindergarten sector, and it's never been allocated as much money as this. I am pleased that both the previous and the sitting governments agree on this. There is no doubt that enough staff and competent staff are important to bet on in order to achieve quality in kindergarten. This year’s focus is on the introduction of a new framework for the content and tasks of the nursery. The funds are allocated in the following areas: implementation of the framework plan, development of competences, practical research and development. As the representative of Molvær Grimstad says, the counties have received $9 million. extra to provide guidance on the framework plan and kindergarten law. A total of 20 million. kr from the Ministry of Knowledge of the State for the implementation of measures in line with the Government’s overall initiative in the nursery sector. In 2006, particular attention shall be paid to new laws and frameworks. We want to pay particular attention to some areas. That's $7 million. kr for training and development measures that may improve language understanding among minority language children of pre-school age. Furthermore, 7.5 million is distributed. to local development work to improve cross-border competence and cooperation for the benefit of disabled children or other specific needs for adapted care and training. Gender equality work in kindergarten — including the organisation of several men — shall be continued. For the first time, kindergartens have a practical research and development programme of a total of 26 million. kr. It is important to get more knowledge of children's lives in kindergarten, and it is important that development work in kindergarten is based on knowledge. That's $13 million. kr for research, which is distributed through the Norwegian Research Council. Furthermore, it's set at 13 million. kr for development work in kindergarten via the counties. It's going to add up to 20 million. kr specifically allocated to the county councillors to meet the Children’s Hail Lift. Training for managers and educational leaders is part of the plan. The heads of kindergartens are given the opportunity to be well schooled in the framework plan. Furthermore, free provision of further training in educational development for pre-school teachers will be facilitated. Such an offer has previously been a successful project at three colleges, and it is now scheduled to do so nationally from the autumn of 2006.
ParlaMint-NO_2006-05-10.ana.ud1109e1774	I would like to thank the Council of State for the answer. It is great that many important measures are being prioritised. Will these measures take the form of an action plan that will be made public and marketed in relation to what the Stortinge has previously stated that a person would like to have? When it comes to the quality of kindergartens, there has been a lot of discussion over the last few years about the number of kindergartens. It's very important. Price is important. But it's also important that we don't forget to discuss the quality of kindergartens. Everyone who delivers children to kindergarten wants to know that the children are doing well, and that they are enjoying themselves there. In the future, will the Council of State focus on a qualitatively good kindergarten, so that it not only becomes statistics on the number of places and prices, but that we constantly have the search light on quality and content? Many municipalities are under pressure to get enough nursery places, and sometimes it may seem to be quality-related.
ParlaMint-NO_2006-05-10.ana.ud1109e1783	User surveys show that some of the things we are most satisfied with in Norway are our kindergartens. There is a high level of user satisfaction among parents, and we have very high quality in Norwegian kindergartens. That's what we're going to have. I am pleased that the representative Molvær Grimstad underlines quality. Of course, for our government it is absolutely crucial. That is why we have tightened up the law in relation to the exemption. We have also adopted a new framework plan, which is a whole set of good measures to ensure the quality and educational provision of kindergartens. The 60 million. kr, which we now administer to kindergartens in connection with various competences, will strengthen the issues of our government, and which I understand the representative Molvær Grimstad stands behind, namely a lift of competence for the employees of the nursery. You also want to do research on how kindergarten actually works. We're in a huge uplift for a very important sector. That means we need more knowledge about what's going on in kindergarten.
ParlaMint-NO_2006-05-10.ana.ud1109e1794	Once again, I thank the Council of State for its answer. I know that one in some municipalities is discussing the goal of full child care coverage. It's very important. But I've realized that the pressure relative to the area in some places has become a discussion. If you have a larger area than what is required by law, you might use one. the extra space to build a new nursery and push in more so that the quality of some places may get a little worse. In the future, will the Council of State be well aware of whether the municipalities follow up and focus on quality, so that there is also a signal that we should not only have full child care coverage, but that we should also have a high-quality kindergarten?
ParlaMint-NO_2006-05-10.ana.ud1109e1803	If there's room in the example representative Molvær Grimstad, there's room for an extra nursery in a kindergarten, that's fine. That means that more children get a qualitatively good offer, if the area is within the laws and regulations we have. It's positive. Our government has a high focus on quality. We have a comprehensive series of conferences around Norway, often organised by the statesmen, where quality is the most important thing to focus on. It is the county officials who are in charge of this. They're careful that the quality is met. We have strengthened the quality requirements of kindergartens, so that this is a pedagogical offer. This has been strengthened in relation to the previous government. We still have a strong focus on this. Let me say that there is no reason to believe that the quality of kindergarten in Norway will continue to be strengthened, simply because parents and local kindergarten authorities, everyone, will be interested in it. I have not yet met the human being who does not believe that we should have high and increasing quality in Norwegian kindergartens.
ParlaMint-NO_2006-05-10.ana.ud1109e1814	I have the following questions for the Minister of Labour and Inclusion: ‘It is essential for municipalities to have the most predictable framework conditions possible to plan and implement actions in the training sector in the best possible way. This applies, inter alia, in relation to compulsory Norwegian training for residents in the reception of asylum. Some municipalities experience significant uncertainty about this. Will compulsory Norwegian training be re-introduced for all residents of the recipients of asylum, including those who have not received a residence permit, and when will this possibly enter into force?’
ParlaMint-NO_2006-05-10.ana.ud1109e1823	First, let me point out that the rights and obligations of participation in training in Norwegian and community knowledge introduced from 1 September 2005 also apply to those who have been granted a work permit or residence permit but who still reside in asylum facilities pending their residence in a municipality. The host municipality of the recipient of the asylum is responsible for providing training for this group. The Soria Moria Declaration states that the Government will reintroduce Norwegian education for asylum seekers waiting for their applications to be dealt with. Actions launched in the Soria Moria declaration shall be initiated during the current ageing period. The Ministry is working to clarify a number of questions in order to reintroduce such training. For example, central questions are: issues relating to the demarcation of the target population and the relationship to the right and duty of participation in training in Norwegian and social knowledge under the Introduction Act. After the compulsory Norwegian training was completed, a scheme has been put in place. In addition, the question of who should be responsible for the implementation of Norwegian training for asylum seekers needs to be clarified, as well as the scope, intensity and content of training. The Ministry must further address the question of financing the scheme. At this stage, it is therefore too early to say anything about when such a scheme can be implemented, but I can assure you that the municipalities and other relevant actors will receive information about the scheme in good time before it is implemented.
ParlaMint-NO_2006-05-10.ana.ud1109e1834	I thank the Council of State for a positive response. The left considers that the current funding for people with a residence permit is very little predictable. If the reception e.g.: provides a person with Norwegian training from January to March, and the person moves, the receipt must send with that person seven eighths of the grant for the instruction. This results in operating losses and difficult addition conditions for Norwegian teachers, but also often delaying the start of Norwegian training. Does the Council of State see that this poses major operational difficulties for asylum recipients and municipalities, and that refugees and immigrants are thus receiving a worse offer?
ParlaMint-NO_2006-05-10.ana.ud1109e1843	First I have to say that this was something other than that question. But I can try to answer that as well. This new Norwegian funding mechanism was introduced by the previous government and is to be gradually introduced. So you could say that so far we have very little effect on the new way of calculating, because it represents so far a very small proportion of the total cost. But I feel that there are several municipalities that are critical of what the previous government did. I have also visited the head of the local central association, Halvdan Skard, who has thought that the new system has clear weaknesses. That is why I have said that we will be able to keep up with it. There's a discretionary pot in the system, which means you have to be able to adjust for bad effects, but we get to follow it. But I think it's impossible for me now, when the new system is just in place, to just turn it all back once again.
ParlaMint-NO_2006-05-10.ana.ud1109e1852	I thank you again for the answer. Mandatory Norwegian training is a positive activity in asylum recipients and one of the key factors in a successful integration process. How will the Council of State facilitate Norwegian training to become a targeted and positive offer in the reception of asylum?
ParlaMint-NO_2006-05-10.ana.ud1109e1859	Our thinking is that compulsory Norwegian training should be given to everyone, almost from day one. The idea behind this is that although we are aware that some of those who receive Norwegian training will not be allowed to stay in Norway, we believe that it is important that positive activity takes place in asylum recipients – and no one has hurt by learning a little Norwegian. The advantage is that you will certainly meet someone who will receive a residence permit, and who will therefore have a advantage when they start the introduction programme after they have received a residence permit. So there's a system that can only do good and nothing wrong, and those types of schemes I think we're going to be positive to initially.
ParlaMint-NO_2006-05-10.ana.ud1109e1868	I would like to ask the Minister of Justice the following questions: ‘Recently there happened again, one person sentenced to detention, attacked another person with a knife and injured him very seriously. In the evening of 27 April 2006, the criminal authorities claim that they did not know that the perpetrator had been discharged from Dikemark Hospital. The main problem is that responsible state agencies do not cooperate well enough, and random people end up as victims of this failure. What concrete action will the Council of State take to avoid similar incidents?’
ParlaMint-NO_2006-05-10.ana.ud1109e1877	I have gone through the matter the representative refers to, but I am asking for an understanding that as Minister of Justice I cannot comment on such a single matter in detail. However, I would like to make it clear that the Criminal Service was informed that convictions were issued from hospitals, and that they then assumed responsibility for the follow-up of him. The fact that criminal justice has been expressed in the media is that it was perceived as problematic that there was no involvement prior to the Law Court's decision that convictions should be paroled and followed up by free care. I would like to stress that this case is quite special in the sense that the conviction was not subject to criminal law until the court took the decision to put him in custody and trial him. Of course, it is always unfortunate that parole officers commit new criminal acts. At the same time, you can never fully guard against this happening. However, I would like to stress that the Court of Justice's proceedings on the parole of detention sentences are very thorough. I am confident that the courts in such cases will take sufficient account of the security of society and the general perception of justice. On a general basis, I can also inform you that the Ministry of Justice and Police is carrying out a broad review of the procedures for the release of prisoners, including cooperation with other state agencies. I can also inform you that there is currently a broad review of the special reaction rules in cooperation between the Ministry of Justice and the Ministry of Health and Welfare. I'm referring to the fact that the new rules on inviolability and special reactions have now been in force for five years, and it's time for such an evaluation. The Ministry has found it appropriate to have an investigation team carry out the post-control. The investigatory team shall carry out an assessment of the depositary, including the functioning of the institution in accordance with its intention. The team of investigators shall also assess the need for a change in the detention system to ensure a gradual transition to a life of liberty, including the question of having an ‘open detention centre’ for the use of custodians who are in the final phase of the detention period — in contrast to being released in total. We aim to strengthen free care as early as this year, with a view to strengthening efforts to control those who have been paroled and those who have been released from custody.
ParlaMint-NO_2006-05-10.ana.ud1109e1894	I thank the Council of State for the answer, which I think is positive. I think it's important as long as we're going to have special reactions as a reaction form, that it has legitimacy in the population. This means that people have to feel confident that the system also meets the needs of society. Looking at the discussion that has taken place recently on the use of special reactions, and perhaps also a lack of coordination between different agencies, this is worrying. I record that the head of the forensic commission here expressed very clearly that we have failed today, we do not have enough coordination patterns between the justice sector and the health sector. That's what's my main concern. I would like the Council of State to maybe go a little bit deeper into it, if he can do it. Is it that way that we have too watertight shots? Do we have it that you define yourself too late into the responsibility around one person when you go from one regime to another? Is that the main problem, or is there any other thing that makes this cooperation difficult?
ParlaMint-NO_2006-05-10.ana.ud1109e1905	I share the concern of the representative Ellingen in relation to the challenges we face, and I fully agree that if we are to ensure the legitimacy of the representative, who was also involved, and the confidence of the people in this system, we are dependent on the least possible failure. It's just that it's what creates greater security for people, because these are some of the most difficult things we're facing. I am also pleased that the representative now sees that it is useful to go through the entire legislation, so that we can look at at at least some areas that I think should have particular focus. With regard to the unpredictable, which we cannot today condemn, but which goes out and falls between all the chairs, we have a work in progress divided between the Ministry of Health and Health and us. So the question, what happens to those who are going to be released from custody? Do we have the opportunity to exercise more progress in relation to that? And then finally, and there we're going to do reinforcements: the control is going to be better than it is today.
ParlaMint-NO_2006-05-10.ana.ud1109e1914	Once again, I appreciate the answers of the Council of State. As long as we have a common concern, we also have common opportunities to do something about it. It's also like that, not only in relation to the boundaries between the two different floors, but also within the floors, things that don't work well enough. The newspaper had an article on Sunday, May 7, where they included: showed that the prosecution authorities had forgotten to raise a case in a case where a hospital wrote out a person without checking out whether he was convicted or not. Unfortunately, it is individuals who commit the bombers when they have a responsibility to maintain the system. And any failure, which the Council of State itself was in upon, is something that concerns us all, for it questions the legitimacy of it. I could also imagine challenging the Council of State on this with the role of experts in the use of custody. Also there is one thing that creates debate in society, outside this house and not least inside this house. Does this mean that the Council of State will also look at that dimension when it comes to a broad review of the depositary and special reactions in general?
ParlaMint-NO_2006-05-10.ana.ud1109e1923	The answer is unconditionally yes to the last one, and it gives me the opportunity to stop the argument in relation to what we want to look at in the back check. I've claimed before, and I know that when, among other things, criminal justice. states that you should not release, so I believe that there are settings that should be given great weight. I want to reinforce those impulses in the judicial system somehow. Then you often, or sometimes, come into conflict with, for example. experts. Then I would also like to accept much of what the representative says in relation to the watertight bulkheads and the question of the distribution of responsibilities. It's a challenge for us, and that's why we've started a close cooperation with the Ministry of Health and Welfare in this area. I think this is actually not primarily about resources, but about being clear about who has power, who has authority, and who has responsibility. And we have the opportunity to do something. Then I want to say in the end that much of the custody practice is now being established, and the job that is being done, among other things. at Ila prison, shows that we also handle very many of these matters in a very good way. It's a shame it's going to fail, because it often creates the impression that it's going to fail everywhere. It doesn't.
ParlaMint-NO_2006-05-10.ana.ud1109e1943	This question has been raised. Question 20 has already been answered.
ParlaMint-NO_2006-05-10.ana.ud1109e1952	«Health West has reduced the volume of services purchased from private specialists by 35 pst. Can the Council of State guarantee that this reduction in the supply of health does not lead to increased waiting times/lists and that patients from Stavanger must travel to Bergen to a greater extent than before in order to have ear-nasal, orthopaedic and general surgery procedures carried out?’
ParlaMint-NO_2006-05-10.ana.ud1109e1959	In recent years, there has been a significant increase in patient treatment and waiting times have been greatly reduced. In some areas, therefore, there is no longer an equal need to stimulate further growth in patient provision or to continue to be equally active. This will necessarily have to have consequences for private, commercial operators who have largely provided day-to-day surgical services. It is also, as the representative is well-known, the government's policy to limit the use of private, commercial actors in the specialist health service, but I would like to stress that they are a very useful supplement. I think it is very important to focus on the capacity of healthcare. Maximum use shall be made of the free capacity of public hospitals, including: through good work sharing in hospitals and between hospitals. I have therefore asked regional health companies in my management requirements to make the best possible use of available capacity in public hospitals. I have also started a trial with patients, who are supposed to help people get into hospital treatment more quickly. This government believes that key welfare tasks should be addressed primarily through the use of public hospitals. Of course, we do not want a ban on private solutions, but we want to limit the scope of purchasing agreements between regional health companies and private, commercial hospitals. When we have now assumed that agreements with private, commercial operators should be limited, it is natural for regional health businesses to critically assess the extent of agreements with private, commercial providers against their needs for services and the needs of each region. That's exactly what Health West has now done, which has led them to this year reducing the amount of surgical services purchased from private, commercial operators. There has been a positive development in waiting time in the Health West. In addition, I am aware that several healthcare companies in the region have a good balance of treatment capacity and that they also have some available capacity in several disciplines where they had previously had to complement private services. It's hard to guarantee something. It also applies in this area, of course. But I would like to remind you that this government has provided 500 million. kr more to the hospital for the current year than the previous government, where the Right was most closely involved. This means that this year we can treat 20 000 more patients than we could have done otherwise. Health West is known in a process where the allocation of new surgical arrangements is clear, but the deadline for appeals for award has recently expired. It is also the case that public health businesses in the Health West are now able to provide services with an ever shorter waiting time. In order to ensure that patients who require the most receive treatment first, patients with the right to the necessary health care should be given priority in front of patients without such a right. I would also like to remind you that the Government has given clear leadership to give priority to patient groups in the field of mental health protection, drug abuse, patients with chronic diseases and patients in need of rehabilitation and rehabilitation.
ParlaMint-NO_2006-05-10.ana.ud1109e1977	It will not help with any more money if it becomes less for the money that is granted, and there is a lot of evidence to suggest. We have already received signals that this reduction that has been announced has led to a one-month increase in hip replacement waiting time in Haugesund from 19 weeks to 8 months. Some of the waiting times at the ear-nose neck of the SUS are as old as from December 2004, but there is much evidence that waiting times are increasing. Is it the case that the Council of State will intervene against the Health West if, in a short time, increased waiting times can be demonstrated as a result of the reduction in private offerings? Or are these increased waiting times a concrete result of a misguided government policy?
ParlaMint-NO_2006-05-10.ana.ud1109e1984	I would like to stress at once that longer waiting time, of course, is not the policy of this government. In fact, by giving us more money for the current year, more patients will be treated than would have been done with the budget that was really on the basis. I am confident that Health West will do what they have been told to do, namely to ensure that the capacity of the public is used primarily, but in such a way that it becomes the shortest possible waiting time. So I stress that there is no prohibition on cooperating with private, commercial actors, but there is a signal that it will come down if one can make better use of the public capacity. Then I won't wonder what will happen if, if, if, if. I trust that Health West is in line with the driving rules that are given, and they do, and that we all have a common goal of having the shortest possible waiting time.
ParlaMint-NO_2006-05-10.ana.ud1109e1993	There are already increased waiting times. During the last two weeks, Haugesund private hospitals have experienced a triple in the number of enquiries from individuals with private health insurance. In the last two days, there are two patients who have turned and themselves will pay for a hip replacement. Does the Minister of Health not see that this reduction in the public use of private health leads to a two-part healthcare system, where those with a good economy can buy past health cows, while those with a poor economy are referred to longer and longer waiting times, as a result of the Government's political objective of reducing the private part of health services for which the public pays?
ParlaMint-NO_2006-05-10.ana.ud1109e1998	I want to distance myself from the reality description that the representative Höie here gives. If we were to talk about two-part healthcare, it was rather the government of which the Right was just a member, who stood for it, that the regional health companies were told by the then health minister that they would use far more private, commercial actors regardless of whether there was a free capacity in the public or not. When we say that we will now limit the use of it in order to make better use of the public's capacity and thus also make better use of the public money, it is of course that we should be able to reduce the waiting time further. I am not familiar with the figures that the representative here has shown over the last few days, but of course I shall look into that. They are not in line with the information I have received from Health West.
ParlaMint-NO_2006-05-10.ana.ud1109e2003	Question 22 has been dealt with earlier.
ParlaMint-NO_2006-05-10.ana.ud1109e2010	‘Treatment offers for morbid overweight are being given increasing attention, but many experience not getting a full offer. Several patients who have received and have undergone a slimming operation do not undergo surgery to remove excess skin. In severe cases, skin such as ‘hangers and slings’ in large folds may cause severe discomfort. For example, sleep problems can be mentioned because it is difficult to lie well, and clothing problems because no clothes fit. Such patients cannot be described as pre-treated. What will the Council of State do?’
ParlaMint-NO_2006-05-10.ana.ud1109e2017	The treatment offered to seriously overweight people has improved significantly in recent years, but we are not in target. I understand very well that some patients who suffer from severe obesity, of course, feel this as a big problem. We've improved in surgery, and in lifestyle change. In each health region, as the representative is probably aware, there are separate centres that are responsible for following up this patient group in particular. At these centres, the patient shall be met in a holistic manner. The teams working there are multidisciplinaryly composed, and patients are followed up through several phases of treatment. It is a positive development that I understand that the representative Davøy has also noticed. The overall approach of the regional centres means that each patient must first undergo a thorough medical evaluation phase. For most people it will be relevant to start with life-changing treatment. It can be done outpatiently or through its own training centres. Treatment aimed at changing lifestyle may lead to a reduction in the patient’s life-style between 5 and 10 pst. by weight within six months. Such a result may give rise to significant health benefits in itself. Of course, for some patients surgical treatment may be relevant. This group of patients also needs life-changing treatment. This is offered to them both as part of the preparation of the operation and as a follow-up after the intervention. However, this form of treatment is very demanding and may lead to serious adverse reactions, such as: poor food intake, diarrhoea and – on which the representative Bavøy is in – redundant skin. The surgery itself is also associated with relatively high incidences of complications. The danger of serious complications is an important reason why only those with the most extensive problems of morbid obesity will receive this offer. So, of course, here, as in other areas, post-treatment needs to be adapted individually, and will be more or less frequent depending on the patient’s needs for follow-up over time. Several regional centres point to the lengthy and demanding process of following up some seriously overweight persons after surgery. After a large weight loss, some patients may get extraneous skin, as the representative Davøy points out. Professionals have briefed me that such skin often shrinks considerably by itself, and that therefore it should take some time after the operation before considering whether the patient needs corrective skin surgery. It is also important that the patient has achieved the most stable weight before considering such an intervention. In other words, as I see it, it is a medical-professional question to consider whether and when it is appropriate to perform that type of intervention. In this context, I would like to point out that these patients, in line with other patients, are subject to the provisions of the Patient Rights Act and the priority regulation. The emphasis here is on the medical assessment of each patient for the provision of healthcare. Thus, there are medical indications in the individual that should be critical for when and what type of treatment to provide — of course also for patients with severe skin distress due to excess skin. The treatment provision for serious overweight is still in a build-up phase. In 2004, it was carried out approx. 20 so-called obesity operations, while several hundred patients went through such operations last year. Several of the regional centres have made me aware that they have taken into account that some patients will have problems with extraneous skin, and have started working with plastic surgery departments. At present, there is no waiting time for such treatment, but other regional centres indicate that these patients are assessed under the current healthcare law — in line with other patients. Overall, I believe that regional health companies have taken part in developing surgical and lifestyle-changing treatment for seriously overweight people in a good way. However, we need to recognise that this treatment provision is still in a constructive phase, and that means that not everyone who would like to have that treatment gets it as quickly as they should probably, and that one may have capacity problems at some stage of the treatment process. It's not good enough per. Today, but I feel confident that regional health companies have a plan to further develop the offer.
ParlaMint-NO_2006-05-10.ana.ud1109e2036	I thank the Council of State for the answer. When I worked on the question, I also contacted the Obesity Association and was told that this was a pretty big problem for many patients. Once you have a slender operation, i.e. a surgical procedure, and it turns out, as it does in some cases, that there is a lot of extraneous skin, and the patient then feels no from the health care company that it is included in this operation or post-treatment that you should get help to remove excess skin, I believe that this patient gets no to what I would call a full treatment of his disease situation. Then we don't talk about it having to go for a while, because I agree with the Council of State that it must of course be time, and it must be medically thought about when you might get the new procedure. If I understood correctly, she said that this should also be part of the patient rights, to the extent that you actually need such an operation afterwards. Can the Council of State agree with me that if you need medical treatment, you have not finished? Because I have also been told that some patients from their doctor have received confirmation that a new operation is necessary, and they will not receive it.
ParlaMint-NO_2006-05-10.ana.ud1109e2045	Let me first say that I understand very well that this is a big problem for some people, both to get the surgery they need, and not least the need to remove excess skin. I believe that there must be a medical-professional question – here I perceive that the representative and I agree – to consider when, if and, and I would have almost said, how such treatment should be carried out. But if a person needs that treatment, and the medical profession is that one should have it – and the offer is there, but I stress that we are unfortunately in a build-up phase, and that means that there is a little waiting time in some regions – people should, of course, receive such treatment.
ParlaMint-NO_2006-05-10.ana.ud1109e2050	I am not quite satisfied with the answer, because I believe that when a patient is granted a slimming operation – the patient is very heavy, and you know that it may be very redundant skin – health care companies should take into account that after a certain period of time there may also be a need for a skin folder-related operation. That's what's my point, and I would very much like to have the Council's help so that signals are given to health companies that, when a patient is in such a situation, you have to bear in mind that after a certain time he or she should also get the new operation. Then he must not be in a new line of line with everyone else waiting for a plastic operation. My question is, I suppose, whether the Council of State can help and facilitate that those who are granted surgery will also receive the necessary after a certain period of time.
ParlaMint-NO_2006-05-10.ana.ud1109e2055	Of course, those in need of treatment should receive it, and it should be given priority in line with the laws and regulations in force. If medically-professionally considered that there must first be a surgical procedure – which in itself may have very serious complications, I would stress it, because there are not simple things we are talking about here – and the medical-professional assessment is that he also needs to remove excess skin, it is clear that the health care system must, as far as possible, facilitate this. However, we're not exactly on top in that area yet, but health regions are working on it, they've got the money to do that job as well. I understand that there is no disagreement between the representative Davøy and me as to whether we should, of course, ensure that people with these kinds of problems are also treated in the public health sector as far as possible.
ParlaMint-NO_2006-05-10.ana.ud1109e2064	This question, from the representative Jan-Henrik Fredriksen to the Minister for Agriculture and Food, will be raised by the representative Hans Frode Kielland Asmyhr.
ParlaMint-NO_2006-05-10.ana.ud1109e2067	I have the following questions for the Minister of Agriculture and Food: ‘The number of reindeer in West Finland adopted by the Stortinget should have been 64 100 animals on 1 April 2005. The 2005 estimate of the management of sewage refers to an increase in animals that, with calf growth, would pass 150 000 animals. This is repeated in many ways in 2006. This can cause ecological and socio-economic disaster as well as animal tragedy and the mass death of reindeer. What will the Council of State do to maintain the decision of the Grand Duchy and to reduce the figure to a fixed level?’
ParlaMint-NO_2006-05-10.ana.ud1109e2076	First of all, I would like to say that I am happy that the issue is addressed, and that environmental and resource issues are something that concerns the Storting. That's good, and I'm also going to help follow up. The question of how to reduce the reindeer numbers in West Finland to the level decided by the Reindriftstyrelsen in 2002 has been the subject here in Stortinget several times. The last time this question was raised was as late as the spring of 2005 when the previous Minister for Agriculture and Food made a proposal for a limited revision of the reindeer management law. The proposal included provisions on number reductions and new provisions on penalties. The background to this proposal was the need to implement legislative measures that could, in the short term, help to provide a basis for ecologically sustainable clean-up. In particular, the situation in West Finland was the reason why it was desirable to change the reindeer management law before a more comprehensive revision of the law was presented to the Stortinget. As you know, Stortinget chose not to deal with this bill. The situation today is therefore that we still do not have effective sanctions. I have taken this into account and have chosen different approaches to this issue. Before I go into how we work on renumbering, I have to correct and nuance the reindeer figure that the representative Kielland Asmyhr, on behalf of the representative Fredriksen, states for 2005. New censuses show that the reindeer in West Finland per year. 1 April 2006 is approx. 88 000 animals. It is therefore somewhat lower than last year at the same time. Then the figure was per. 1 April at approx. 91,000 animals. So the development of the reindeer is going in the right direction. There is reason to believe that this is partly linked to the fact that some deliberate changes have been made to the reindeer management policy, in particular the provision of economic instruments over the reindeer management agreement. There are also some other positive features that we have to take with us when we discuss this matter. The winter pastures have been very good with optimal snow conditions this year. This can be noticed by the fact that the reindeer is now in good standing. I've had the opportunity to see that in winter, and that's good. The market situation is still very good, which can be attributed to the active marketing of reindeer meat. This has in turn had an effect on prices achieved for reindeer owners. Another positive feature is that the results of a summer 2005 grazing survey show a positive development on the low pastures, especially on the winter pastures. Despite these positive signals, it is still necessary to reduce the reindeer in West Finland. However, it is necessary to do so through multi-level actions: Furthermore, provision must be made to stimulate increased slaughter outlets. In this context, there are, for example: need to focus on both the demand and supply side. Product development, use of infrastructure, cooperation between the actors in the value chain and import quotas are important here. It has been working actively in these areas in the last year, and I want to keep working on it. Experience so far from the work on renumbering is useful to bring with it further work. The Purity Management Board has therefore started an assessment of the processes around the determination of the maximum cut-off value and the implementation of the cut-off value adjustment. The assessment will be available for the autumn. Stable framework conditions are a necessary prerequisite for sustainable clean-up. This is also pointed out by the National Audit Office in their study of reindeer grazing resources in Finnmark. The establishment of boundaries between reindeer areas, districts and lateral areas is a central part of this work. This work is currently under way and will be an important contribution to achieving a balance between reindeer and grazing resources. As pointed out at the outset, today’s redundancy law is deficient in terms of sanctioning options in the event of breaches of laws and public decisions. Instead of promoting a limited revision of the reindeer management law, I have chosen to give priority to the creation of a new and complete reindeer management law. In this work we have held a number of consultation meetings with Sametinget and NRL. I was sailing in Karasjok for a short time back and had a meeting with the Sametinget and NRL there. Once this law has been passed, we will be able to have a law that both caters for the needs of reindeers for an appropriate regulation of the internal conditions, as well as more operational rules for the management and management of reindeer, including penalty provisions. I intend to submit the Stortinget proposal for a new reindeer management law by October this year. Experience so far has shown that the work on numerical adjustment is not a simple task. In my opinion, therefore, such a broad and comprehensive approach to the problem, as I have explained, will be the most effective way to achieve results.
ParlaMint-NO_2006-05-10.ana.ud1109e2099	I thank the Council of State for the answer. It is true, as the Council of State says, that this issue has been dealt with in the Storting a number of times earlier without the number of pure having fallen significantly. The situation in West Finland is precarious in many ways, and questions can be asked about whether the industry itself is able to deal with this issue. Voluntary measures have been tried a number of times. I expect the Council of State to put this in full focus now, and that he will consider coercive action against the industry in order to bring about a sharp decrease in the number of pure, so that it will be proportionate to the grazing resources at Finnmarks. There is no doubt that the reindeer have to be significantly reduced, and the voluntary line that has been so far cannot continue. Will the Council consider imposing coercive measures?
ParlaMint-NO_2006-05-10.ana.ud1109e2106	As I said, I come back to Stortinget with a proposal for a new sewage treatment law during the autumn, probably in October. In this context, we will jointly have a good opportunity to work with individual elements both in the legal text and in relation to the practical design of policies. I am pleased with the commitment to the Advancement Party and hope we can have a good process when the matter comes to Stortinget. My starting point is that ecology and sustainability must be an overall entry point in relation to this. That means that we have to have tools that make the reindeer relative to the boundaries of ecology and sustainability. It must be possible to enforce. In addition to that, I will not go into the details now and come back, as I said, with a full permission for the autumn.
