ParlaMint-NO_2006-12-04-2.ana.ud2368e28	No one has asked for the floor. [[Fotation, see page 876]]
ParlaMint-NO_2006-12-04-2.ana.ud2368e951	There has been a lot of talk about rehabilitation and less about habilitation — perhaps especially for the group that the Council of State was involved in, children with a strong disability. The right is concerned that the provision of disabled children needs to be strengthened and that the provision of services needs to be developed in accordance with the knowledge available on the possibilities for learning and development of people with disabilities. Parents with brain-damaged children in need of habilitation must be guaranteed an equivalent offer. They must be provided with advice and guidance, irrespective of where they live in the country. We have seen examples in the last year of discrimination against families with children who need habilitation. Parents following intensive programmes for the training of children with acquired brain damage believe that we represent a quite significant resource for the development of the child and an economic saving for society as well. Kids are different, families are different, and it's important that we make sure that they get offers that are individually adapted. For many years, all the parties here in Stortinget have agreed that parents should have the freedom to choose between alternative intensive programmes for the training of their children. Children need long-term and co-ordinated offers, and everyone has thought it must be obvious that once parents have chosen a method and an intensive programme, parents' choices must be respected. It lasted until last autumn. What the government parties had supported for many years, namely that parents should choose training programmes and methods for their children, and that that choice should be respected, the government parties dropped off, and that is not what they are now in this budgetary position. It's very disappointing, precisely because these parents are a significant resource for these children. They have a everyday life that I don't think any of us who are here can imagine. They provide for their kids, and then it's important that we prepare for the parents and the families and try to make it as easy as possible to make their everyday life work. I think it is important that once they have chosen such a programme, simple and flexible recognition procedures are established with sufficient regional capacity and, as I said, based on the priorities and choices of parents in cooperation with the family doctors. Part of this is a specialist health service, but I think it is very important that healthcare companies cooperate with the municipalities and that they together have to be responsible for financial and practical support for the families. The framework around each family must be individually adapted and based on economic predictability. During the budgetary procedure, the Right promoted a proposal to ensure a professionally independent review of the different methods and programmes used for the habilitation of brain damaged children and of their effectiveness. The reason why we want that is because there is disagreement in the professional environment in Norway about what works. The professional environment in Norway is very small. I know that many of the parents use foreign methods that are well documented. I believe it is important for us to have a review of both the national offers and the international methods and programmes, and we therefore proposed that the Knowledge Centre, as an independent research centre, should be given that task. We made a proposal on it, and I am very pleased that a unanimous committee joined it. Now it's going very fast, President. – We also had a proposal for a user-driven competence and resource centre. It has not been approved. I also find that disappointing. As I said, parents are also a valuable group for the professional community, and they could cooperate. But I hope that as time goes by, we can get back to it.
ParlaMint-NO_2006-12-04-2.ana.ud2368e968	First a few necessary clarifications. First, there is no disagreement between the Christian People's Party and the Right. It was not while we were in government, nor is it today – nor is it between the representative Davøy and me. I look forward to discussing whether the legal basis is good enough to prioritise rehabilitation. The Council of State fell into a small part of its last attempt to tempt the practice of the maximum ‘attack is the best defence’. That's not always wise. It inspired the representative, Mr. Schjälaa, to practice it with even greater enthusiasm, and I'm afraid they're both on the wrong track. The previous government left no chaos in this area. On the other hand, the three current government parties disagreed between themselves. The Workers' Party, the party of the Council of State, supported the proposals of the Cooperative Government that the specialist health service is the responsibility of health companies and that, therefore, the commissioning function in this area should also be the responsibility of health establishments. The two government partners were against it. So to the extent that it's chaos, it's on the red-green side of the view of the organization. But let me point out that it is not primarily the organisation and location of responsibility for the ordering function that determines how resources are managed. The Council of State has the highest political responsibility in any case, and it is the Council of State which has the power to instruct health businesses to give priority to the various purposes for which they are responsible. On one point, I noted the responses to the appropriate response in the second input of the Council of State, and it was in examining how the cost picture can be explained in the relationship between the private rehabilitation and training institutions and the public authorities. I am pleased, and I hope that the Council of State will follow it up and come back with an answer to what such a study is producing from new knowledge. Finally, research: the Minister of Knowledge has been harmed to characterise the Government's budget for research and higher education, as a breakaway. There have been a few decades in skating since there was a current problem. It would be desirable if we had a government that saw that research and the establishment of new knowledge in general is the most important key to the future. However, in this area it is important that the Minister of Health and Health, in relation to his colleague, the Minister of Knowledge, has high ambitions for increased research efforts.
ParlaMint-NO_2006-12-04-2.ana.ud2368e983	The representative, Wohnning, accused me and the representative, Skjälaa, of being on the wrong track when we tried to suggest that there was a not completely transparent and simple situation in this field when we took over the government power, because the arrangements in the case of tenders had been changed and the responsibility transferred to the regional health companies. If this government had put in no more money to save some rehabilitation institutions, it would have been far fewer places than what is now the situation. That's why it comes in a strange light when the representative's salary accuses this government of the decline in the number of rehabilitation sites. - But leave it alone. There is no doubt that, in the future, we will focus heavily on this through strong governance signals to the RHFs, through more money for rehabilitation, through more investment in research – in this important area, we also have ambitious objectives – and by exploiting the capacity of both public and private providers. I can confirm that when we have carried out a broader review and compared costs between private and public, where possible, I will return to Stortinget with this. Some reason why there may be a difference in costs is that the qualifications of the personnel are different. Therefore, there may be more expensive places compared to what you can set up with. But we can get back to this. We are very aware of what several representatives have been involved in, namely the geographical distribution of the rehabilitation money. We set down a separate sample to go through the distribution of income between regional health enterprises, and thereby also to rehabilitation institutions. We're going to get back to that, too. So it's important for me to stress that if someone calls it a strategy for rehabilitation or a plan, it's not the most important thing. The most important thing is that there seems to be a broad consensus on strengthening both rehabilitation and habilitation, as among others. The representative, Sjøli, was concerned about, in the future, about children, and that is what we are now going to bet on further. I agree with the representative Nesvik that we have a challenge in ensuring that the laws and regulations in force in this area are followed, and then there is no doubt that people who need rehabilitation and rehabilitation in Norway are covered by the Patient Rights Act. It should make it superfluous that one does even more on the law. But it is a challenge that it should actually work in practice in all contexts. Like the representative Brørby and many others, I am concerned that the learning and mastering centres work well everywhere in the country, both for the sake of the people involved, and for the sake of the relatives. I think a lot of people have looked at how important it is, how cheap it is, but also how much you get out of it. Therefore, we have to make sure that there is a reality in far more places than is the case today.
ParlaMint-NO_2006-12-04-2.ana.ud2368e998	The interpellant debate is therefore closed.
ParlaMint-NO_2006-12-04-2.ana.ud2368e1004	The size goes to voting.
ParlaMint-NO_2006-12-04-2.ana.ud2368e1410	In the course of the debate, seven proposals have been put forward. It's proposal No 1, by Ib Thomsen on behalf of the Advancement Party, Right, Christian People's Party and Left Amendment No. 2, by Ib Thomsen on behalf of the Advancement Party, Right and Christian People's Party proposals No. 3 and 4, by Ib Thomsen on behalf of the Progress Party and Right-wing Proposal No. 5, by Ib Thomsen on behalf of the Progress Party, the Christian People's Party and the Left Proposals No. 6 and 7, from Bjørg Tørresdal on behalf of the Christian People's Party and the Left First of all, there is the vote on the motions for resolutions. 6 and 7, from the Christian People's Party and the Left.
ParlaMint-NO_2006-12-04-2.ana.ud2368e1452	It is then put to the vote on proposal No. 5, from the Party of Advancement, the Christian People's Party and the Left. The proposal reads as follows: ‘The government is asked to submit a binding multiannual escalation plan to correct the financial imbalances in the local government sector.’
ParlaMint-NO_2006-12-04-2.ana.ud2368e1467	The proposals are then put to the vote. 3 and 4, from the Advancement Party and the Right.
ParlaMint-NO_2006-12-04-2.ana.ud2368e1491	There is a vote on proposal No. 2, from the Party of Advancement, the Right Party, and the Christian Party. The proposal reads as follows: ‘The Government asks the Government to develop strategies/action plans for the use of natural gas in the regions around the adopted and planned gas power plants.’
ParlaMint-NO_2006-12-04-2.ana.ud2368e1506	There is a vote on proposal No. 1, from the Party of Advancement, from the Right Party, from the Christian Party, and from the Left. The proposal reads as follows: ‘The Government is asking the Government to strengthen and extend Young Entrepreneurship. The scheme must be financed in such a way as to enable it to operate in a stable manner.’»
ParlaMint-NO_2006-12-04-2.ana.ud2368e1536	A vote shall be taken on the proposal by Mr Ib Thomsen on behalf of the Party for Progress, the Right and the Left, transmitted by the meeting of Mr Odelstingt on 30 November 2006: ‘The decision asks the Government to investigate and submit proposals for full non-tax treatment of administrative services provided by the Housing Building Laws for related housing laws and for stand-alone housing laws and joint ventures.’
ParlaMint-NO_2006-12-04-2.ana.ud2368e1555	A vote shall be taken on the proposal by Mr Bjørg-Irene Østrem, on behalf of the Left, from the meeting of the Odelsting on 30 November: ‘The Government asks the Government to submit proposals for amendment to the Local Government Act to allow local government to choose from a wider range of cooperation models for inter-municipal cooperation.’
ParlaMint-NO_2006-12-04-2.ana.ud2368e1634	During the debate, Per-Willy Amundsen has put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘Document No. 8:85 Proposals by the representatives of the Grand Duchy of Trine Skei Grande, Anne Margrethe Larsen and Lars-Henrik Michelsen to introduce a girlfriend visa for non-residents with Norwegian girlfriends – not acceptable.’ [[2005-2006]]
ParlaMint-NO_2006-12-04-2.ana.ud2368e1640	This proposal will be replaced by the Committee's vote.
ParlaMint-NO_2006-12-04-2.ana.ud2368e1661	A vote shall be taken on the proposal made by Mr Ib Thomsen on behalf of the Party for Progress, the Right and the Left, submitted by Mr Odelstinget's meeting on 16 November: ‘The Government asks the Government to submit proposals for amendments to the municipal law and the electoral law in such a way that local authorities and county councils themselves choose the electoral method for the election of rapporteur and rapporteur.’
ParlaMint-NO_2006-12-04-2.ana.ud2368e1677	President! I voted wrong.
ParlaMint-NO_2006-12-04-2.ana.ud2368e1684	The correct number of votes will then be 62 votes against the proposal and 43 votes in favour. The proposal is therefore not accepted.
ParlaMint-NO_2006-12-04-2.ana.ud2368e1692	A vote shall be taken on the proposal by Mr Vera Lysklätt, on behalf of the Left, submitted by Mr Odelstinget, meeting on 16 November 2006: ‘The Government is asked to submit proposals which are not based on comprehensive representation, so that the other provisions of the Local Government Act on gender balance and eligibility, including the selection of persons under 18 years of age, are respected.’
ParlaMint-NO_2006-12-04-2.ana.ud2368e1711	During the debate, Mr Starheim put forward a proposal on behalf of the Progress Party, the Right and the Left. The proposal reads as follows: ‘The Government asks the Government to establish the following objectives for better public sector opening times to be implemented before 2009:1. Government offices with large audiences must be open until 9.00 p.m. 1800 on weekdays and in some cases on Saturdays. Examples are traffic stations, tax havens, labour inspectorate, passport requests, customs and tax havens.2. All government offices with public contacts shall have solutions for telephone service during this ageing period up to 1 p.m. 1800 on weekdays and from 6 p.m. 1000 to 1:00 p.m. 1400 on Saturdays. Examples: Husbanken, Statens Loan Fund for Education, Brønnøysund Registers, Fylkesmannen, Staats Kontaktsverkehrs, Arbeitsverkehrsverkehrs.3. MinSide and norge.no websites shall provide state agencies with information and provide personal electronic services 24 hours a day. This shall be in place during 2007.’»
ParlaMint-NO_2006-12-04-2.ana.ud2368e1723	This proposal will be replaced by the Committee's vote.
ParlaMint-NO_2006-12-04-2.ana.ud2368e1953	During the debate, Mr Giltun put forward a proposal on behalf of the Progress Party, the Right and the Left. The proposal reads as follows: ‘The Government is asked to establish and implement a competence plan for the recruitment of several qualified workers to the care sector in accordance with the proposed plan in Document No. 8:88 [[2005-2006]]
ParlaMint-NO_2006-12-04-2.ana.ud2368e1959	This proposal will be replaced by the Committee's vote.
ParlaMint-NO_2006-12-04-2.ana.ud2368e1980	During the debate, Mr Fredriksen put forward a proposal on behalf of the Progress Party, the Right and the Left. The proposal reads as follows: ‘The size asks the Government to ensure that there is consistency between the State restrictions on sales times for beer and other alcoholic beverages with a volume percentage between 2,5 and 4.7 and general opening times for shops in Norway on weekdays.’
ParlaMint-NO_2006-12-04-2.ana.ud2368e1986	This proposal will be replaced by the Committee's vote.
ParlaMint-NO_2006-12-04-2.ana.ud2368e2003	In Case No. No voting theme is available.
ParlaMint-NO_2006-12-04-2.ana.ud2368e2033	Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
