ParlaMint-NO_2006-11-08.ana.ud1671e24	The called alternate of the Rogaland County, Siri A. Meling, has taken the seat.
ParlaMint-NO_2006-11-08.ana.ud1671e1555	I thank you for your answer. I am fully aware that there are questions about money that have been restricted here, even when previous governments have dealt with this issue. But what's the matter here is that this woman, who's specifically mentioned in my question, got this message: you can't get a trim bike, but you can get an electric wheelchair with a garage, or you can get a motorized stairlift. Could there be some kind of logic in this, that if you just get bad enough, then the purse opens? That's really what my question is about. There must be a hole to close here for a government that likes to have people rehabilitated quickly, because the cost just gets bigger and bigger when the plague increases.
ParlaMint-NO_2006-11-08.ana.ud1671e1564	At least I don't want to draw the limit where the representative Jan Sahl is now trying to draw it. The limit is in the direction that all people, regardless of disability, injury or disease, must be prepared for some costs to be covered even by their own social security, pension or income. If, because of a disability, injury or disease, very large, or disproportionate costs are incurred, society will have schemes that are supportive. Therefore, there are no arrangements for borrowing a tricycle anymore. Well, I guess both I and the representative Sahl might have to come up on occasion, but we have to sort that out ourselves, just like everyone else. But should we ever get into the situation that we need to rebuild a car, an electric wheelchair or get that kind of expenses – and that's 100 000 kroner – it could be socially exclusive if we didn't get support. But we're going to get our backs on that.
ParlaMint-NO_2006-11-08.ana.ud1671e1571	I thank you again for the answer, and understand that the minister has no plans to look further at this problem. This is a matter raised by the Trade Union, the Norwegian Handicap Association, the Organisation of the Disabled and other user organisations. I can't see it any other way than that it can be a matter of limiting costs if you can offer appliances at an early stage – now I'm ignoring trim bicycles, which you can't borrow anymore – that can make you feel better about your health. In this case, there was a retired person with bad advice. Let's say it's a 27-year-old with poor advice asking for training help, who doesn't realize that the age limit is set to 26 years. Isn't it true that maybe you should look at and test this more closely rather than set an artificial age limit?
ParlaMint-NO_2006-11-08.ana.ud1671e1578	Let me first start by saying that this tightening of the legislation was done by the previous government. What we're doing now is continuing the policy that former government council Hojbrätten implemented when he sat in my chair. That's point one. The second is that there is no doubt that we are going to have an active policy in the area of aid, rehabilitation and rehabilitation. But I think that we're going to be able to do it, it can't be that all the equipment for training and activity etc. will be financed by the public – then we can say in the next round that he needs very good jogging shoes to get out and move on. A couple of good jogging shoes today often cost more than a trim bike. I think it's very artificial to draw a limit to this kind of general training activity that Sahl expresses.
ParlaMint-NO_2006-11-08.ana.ud1671e1585	Questions 14 to 19 have already been answered.
ParlaMint-NO_2006-11-08.ana.ud1671e1592	I allow myself to ask the following questions to the Minister of Culture and the Church: ‘In the context of the discussion on the reconstruction of the old Steinmeyer organ in Nidarosdomen, there has been a lack of clarity about the responsibilities. In a letter from the Ministry of Culture and the Church to the Riksantikvaren, the Department disclaims responsibility for this organ case. It is known that the unique organ from 1930, which still serves as the main organ of the national sanctuary, is in a wretched constitution and needs restoration. How does the Council of State evaluate the organ case, and what will he do to find a solution?’
ParlaMint-NO_2006-11-08.ana.ud1671e1601	The ministry's letter, to which the representative Lånke refers in his question, is the answer to an enquiry from the Riksantikvaren where the department is asked to clarify who is the owner of the Nidaros cathedral with furniture, including the Steinmeyer organ. In its reply, the Ministry has argued that Nidarosdom is in a special legal position, but that in the Ministry's opinion it is not necessary to decide who has the ownership of the church building with furniture in this context. As in all church administration, one will have to distinguish between the property issue and who has the administrative or financial responsibility for the church buildings and their furnishings. The central question in this case is not who owns the Steinmeyer organ, but where the administrative responsibility for drawing up plans for any restoration or reconstruction of the organ lies. The ministry is of the opinion that through its general administrative responsibility for the churches in Trondheim, Trondheim Church Council is also responsible for furniture and equipment in Nidarosdomen, including the cathedral gel. It also appears to be consistent with the understanding of the Trondheim Congregational Council, which, by March and June of this year at the latest, has taken decisions on further progress in the organ case. The decisions show that the Joint Council's progress plans require close contact with the restoration work of Nidaros Domkirke, who, on behalf of the State, has the administrative responsibility for the church's antique maintenance, and also with the Bishop of the Riksantikvaren and Nidaros. I am prepared that the Trondheim Joint Council may at some point wish to bring the matter before the Ministry, and will of course decide on such an enquiry if it should come.
ParlaMint-NO_2006-11-08.ana.ud1671e1612	First, I have to take the opportunity to congratulate the Council of State on the success of the anniversary celebration! So I thank you for the answer, which in some ways was a little more clarifying than the letters that have gone into the matter. Nevertheless, I would like to go a little further. I assume that the Council of State also agrees that Nidarosdom will in the future be Norway's national sanctuary and will not be considered in line with any other church in the country. The question then concerns the repatriation of this perhaps the largest organ in Northern Europe – we are talking about a significant cultural memory. It was built in front of the 900th anniversary of the Battle of Stiklestad. At the time, the state and the ministry were both responsible for the reconstruction and were involved in financing parts of this organ together with private donors. So whatever law and departmental definition power: can the ministry not disclaim political responsibility for this clenoia Will the Council confirm that the department will answer yes when the enquiry may come from the Council of Churches? [[The President clubs again.]]
ParlaMint-NO_2006-11-08.ana.ud1671e1619	The President must ask the representative to respect the time!
ParlaMint-NO_2006-11-08.ana.ud1671e1622	The representative Lånke does not need very much time to convince me that Nidarosdomen is in a very special position in Norwegian church history and Norwegian history. The State has taken a great deal of responsibility through the restoration work, and in fact through an operating grant, so that Nidarosdom is one of the few churches in Norway that have a grant directly from the State budget. The point here is, who is sitting in the driver's seat around a possible restoration of the Steinmeyer organ? It must be Trondheim's church council. It is clear that there can be – probably not surprisingly – an application for money to support the project. Then we have to decide. It probably depends a little on what the entire financing package looks like. There has been a great deal of progress in the field of church economics since the examples that Ola T. Lånke referred to, so here are the local councils responsible.
ParlaMint-NO_2006-11-08.ana.ud1671e1629	I thank you for the answer, which I understand is well on the way, even before the application has arrived. At least I take the answer as a very positive signal that you would like to meet such an application. I understand that Trondheim's church council is responsible for running the process. That's not what we're asking. When the organ in Oslo Cathedral was to be restored, we know that the department was heavy with many millions of dollars – I think it was 5 million. kr in support of the repatriation of the organ there. At that time, former Minister of Church and Education Gudmund Hernes stood up and blew two organ pipes – at least according to the evening post from that time, and I think it was called a glan number from Hernes’ side – to demonstrate that the state would be involved and take responsibility for this. Can we see that the Council of State Giese also does the same thing, that he's standing and blowing in organ pipes from the Steinmeyer organ, to demonstrate that the state will be on the team and take its share, so that we finally get this amazing klenoie back?
ParlaMint-NO_2006-11-08.ana.ud1671e1636	I, who come from a family full of church organists, understand the meaning of this. If I'm going to blow the church organ pipes or if I'm going to try the keys instead, we're going to see if there's such a restoration project. I'm happy for the representative Lånke's involvement in the case. I hope that the local church authorities take the responsibility they have. Then, of course, the ministry will cooperate in the best possible way in order for the Nidarosdom to emerge in the beauty of our national sanctuary.
ParlaMint-NO_2006-11-08.ana.ud1671e1647	I have allowed myself to promote the following questions to the Minister of Culture and the Church: ‘For many years in Hamarøy and Nordland it has been working to realize the Hamsun Centre with location in Hamarøy. Municipalities and county councils have made available a significant amount of equity. This has not been lacking in political promises. State involvement in the project. In August 2009 the 150th anniversary of our most famous and read author, Knut Hamsun. Will the Council of State now ensure that State financial assistance is put in place so that the Hamsun Centre can be ready for the 150th anniversary marking?’
ParlaMint-NO_2006-11-08.ana.ud1671e1656	This is a matter mentioned in the budget proposal with an application amount of 32 million. kr from the Ministry of Culture and the Church. Of this sum, 21 million is. kr already granted. In meeting with the county council of Nordland on 8 August this year and a new meeting on 25 October, the Ministry of Culture and the Church was informed that the cost of the project has increased from 70 million. NOK 82 million. kr, and that the project costs are divided into two: 60 million. NOK to the building and SEK 22 million. kr for exhibition and contents in the building. The County Council informed that the municipality of Hamarøy and the county municipality of Nordland have allocated a total of 28 million. kr to the building. The building itself will then be financed with a grant of 32 million. kr from the Ministry of Culture and the Church. With regard to the status of financing of exhibition and content in the planned building, the Ministry of Culture and the Church is briefed on the commitment of 1.5 million. NOK 22 million in need. kr. The Ministry has been informed that efforts are being made to provide funding for the remaining part of the project. In line with the practice of the Ministry of Culture and the Church always follow in assessing grants for such investment projects, the Ministry will be able to promote proposals for funding the project when the means of exhibition and content in the building are in place, i.e. when the project is fully funded.
ParlaMint-NO_2006-11-08.ana.ud1671e1667	I thank you for the answer, which I can't even see bringing the matter a millimeter further. I honestly don't think you can compare the question of the realization of the Hamsun Centre with everything else you have of applications that the Council of State in this context chooses to call for similar projects. What has been the case is that the municipality of Nordland has taken the initiative to raise both local and county capital. It is not least strange that the project is increasing in costs as time goes on. The order must be in place before you can even invite sponsors to get this project, which goes on the decorating part, so-called fully funded. This is about political will. From the point of view of the Council of State here, I wonder whether the political will of the state is present on this issue.
ParlaMint-NO_2006-11-08.ana.ud1671e1674	I appreciate the commitment of the representative Kristiansen, both in relation to Hamsun, the Hamsun Center and the 150th anniversary. I know the matter well from my time in the Culture Committee in the last big time period. Then we were also the proponents for this. But the representative is simply wrong when he says that government funding must be in place first, and then sponsors and private, public and local investors will be put in place afterwards. In all projects, regardless of whether there is a project for hundreds of trillions of dollars or, as in this case, a project for 82 million. it is an explicit condition on the part of the State that the full financing must be in place before the State grants its funds. It's always like that, anniversary or not. The reason for this is that you do not want to risk a project being half-completed, so that you stand without funding for the end part, and that government money is locked up in projects that are not yet feasible. Therefore, it is an explicit premise that local authorities have to do the whole job, not just half, in obtaining local funding. And then, of course, we'll be as positive in position as we were in opposition.
ParlaMint-NO_2006-11-08.ana.ud1671e1681	I register that the Council of State believes that I am wrong. In fact, here we are dealing with an application from a legally and economically responsible entity, namely the municipality of Nordland County. If the Council of State looks at this issue about the same way as if a sports team were applying for drugs, I'm just recording that he has that approach to this issue. But will the Council of State be willing to take a meeting and enter into a dialogue with, for example, the municipality of Hamarøy, to see if this project can be carried on? Fortunately, we rarely see a large national — and international — case as a defensive approach. This is about political will. The question is then, in order to try to bring the matter to the fore: Is the Council willing to take an initiative on this issue in order to have a dialogue with those who have taken the leading and best initiatives?
ParlaMint-NO_2006-11-08.ana.ud1671e1686	I am uncertain whether the representative Kristiansen was a little inattentive when I gave my first answer, where I showed that we had a meeting with the county council on 8 August and 25 October – i.e. two meetings in three months. So there is not a lack of meetings here, but there is a lack of full funding locally. One can't expect the department, which has been willing to set aside $32 million. kr – exactly the same amount as the Kristians own government, the previous government, had committed – should also do the job of obtaining the local funds. The county must do that. We have communicated that clearly to the county council, and we expect that job to be done. The last number we have is 1 and 1/2 million. NOK 22 million. kr to the last part of the project. The project as a whole must be fully funded, and the day it is in place, we will of course follow up on what we have said in the opposition, and as we say in the position, that we will carry out the project of getting to a Hamsun Center.
ParlaMint-NO_2006-11-08.ana.ud1671e1695	I would like to ask the Council of State the following questions: ‘We have recently seen several documentaries on serious adverse reactions to vaccine programmes. The questions they raise are important to those directly affected and to avoid similar problems in the future. It is essential that people have great confidence in the vaccine programmes, and that the digestion of them is close to 100 pst. Otherwise we can get more cases of, among other things. contagious meningitis. What will the Council of State do to increase confidence in the vaccine programmes and to ensure that all children receive the necessary vaccines?’
ParlaMint-NO_2006-11-08.ana.ud1671e1704	Norway has a long tradition of using vaccines to prevent infectious diseases in children and adults. In the past, as the questioner knows well, some vaccines, such as vaccine against copper and tuberculosis vaccine, mandatory. Today, as you know, all vaccination is voluntary. The aim of providing vaccines in a national vaccination programme is to prevent serious illness and death in individuals, but also to increase the general immunity of the population in order to prevent infection. Today, the national vaccination programme is enshrined in the Law of 5 August 1994 on the protection of infectious diseases and in the Regulation of 3 April 2003 on the Community’s health promotion and prevention in the health and school health services. According to this legislation, the municipality is to provide all pre-school children and children of primary school age with vaccination according to a specific childhood vaccination programme. It is as well-known health centre and school health service that will inform and implement vaccination according to the programme. The National Institute for Public Health provides details of the professional content of the programme, including the vaccines to be included, target groups and frequency of vaccination. The vaccines in the programme shall prevent a number of diseases in children, including tetanus, diphtheria, pertussis, meningitis, tuberculosis, polymyelitis and several other paediatric diseases. The last time was known as the Pneumococcal Vaccine Prevenar, which included: shall prevent pneumonia, meningitis and other infections caused by pneumococcal infections included in the vaccination programme from 1 July of this year. Today, according to the paediatric vaccination programme, the vaccination coverage in children is above 90 pst. Working for high levels of vaccination coverage has been and remains an important field of activity. The main measure to increase confidence in the pediatric vaccination programme is targeted information for users. Health professionals in municipalities are key people to strengthen this trust. It is those who have direct contact with parents and children, and it is the local health care sister and doctor who are perceived to be most credible by parents who assess whether they should have their children vaccinated. It is therefore essential that health sisters and doctors are well informed and remain safe in relation to the vaccines in the paediatric vaccination programme. Their knowledge must be based on expertise and accurate information so that they can provide information in a good way on the diseases against which it is vaccinated, both the consequences of examining the diseases and the possible risks of vaccination. There is a lot of good work today, both at the central level and in the municipalities, to ensure that vaccination coverage is as high as possible. Work on knowledge dissemination, information and support for community health professionals will also be intensified in the near future. I would like to stress the importance of parents having confidence in the vaccines offered to their children under the pediatric vaccination programme. It is therefore important that all questions raised include: in the TV 2s Document 2 programmes on 9 and 16 October respectively, and mentioned in the Dagens Medisin on 12 October, are fully illuminated. The Institute of Public Health has previously been asked to make a written statement on these matters. The statement from the Institute of Public Health is on its way to my table now, and I will immediately go through it carefully to assess what follow-up we are going to have.
ParlaMint-NO_2006-11-08.ana.ud1671e1726	I would like to ask an additional question related to things that appeared in these TV 2 documentaries. This applies, inter alia, to: That it was just 57 pst. of those who went through the extensive vaccination programme who became immune to meningitis. There were adverse reactions in such a large number as 512 – including some very serious adverse reactions, which were not accurate in a small number. Unfortunately, some of the latter also had to undergo very burdensome and long processes to obtain compensation. So I want to ask whether the Council of State will look at whether the quality assurance procedures for major vaccination programmes are good enough, including the procedures for following up those who may be exposed to side effects.
ParlaMint-NO_2006-11-08.ana.ud1671e1733	Yes, I believe it is absolutely essential that we have confidence in the vaccines that have been offered to our young people, and it is of course also essential that the quality assurance procedures are very good. I would like to await the statement from the Institute of Public Health on the specific questions raised in Document 2 – I did not like what I saw there either. So it's right around the corner, and I'll immediately go through it, and also suggest how we're going to follow it up. I can't go into the details any more until I have done so, but I can assure the asker that this is going to happen very quickly. It is absolutely essential that if something goes wrong, you also have some routines to follow it in different ways. But this I will come back to as soon as possible.
ParlaMint-NO_2006-11-08.ana.ud1671e1740	I thank you for the answers. I want to add another problem. The council says that 90 pst. coverage has been achieved in relation to the degree of vaccination. It is also necessary in order not to undermine the immunity of the population. Some places in the country have spread concerns about some cases of tuberculosis and some cases of meningitis with tragic outcomes for children. A natural question has been about the vaccination coverage there is good enough, for behind the number, 90 pst., it can hide huge variations from cultural and social conditions. What I want to ask is whether the Council of State will look into how the vaccination coverage is for different groups of different places in the country, in order to get the basis for possibly putting in special bets to get the coverage up.
ParlaMint-NO_2006-11-08.ana.ud1671e1745	I would first like to say that I fully agree with the questioner, and that I share the concern that I perceive that the questioner has in relation to some of the developments we have seen in the late days, perhaps especially in some places in this city. I am concerned that we should go through this in order to ensure that it is within the framework we have, namely volunteering, at least very well informed as to why it is important to vaccinate, what the consequences – both for a sea and for society at large – may be if you choose not to do so. So I can answer confirming that this we want to go into more detail and see if there might be a need to put in special bets in some places.
ParlaMint-NO_2006-11-08.ana.ud1671e1754	I would like to ask the Council of State the following questions: ‘The new Patient Rights Act grants patients who do not receive a public offer within a specified period of time the right to treatment at private clinics. In a chronicle in the Evening Post, Falkum, who is formerly chief and superior at the Aarhus-related Lillestromklinikken DPS, sends out a serious claim. Patients are rejected as before, in violation of the law, and many are given too few hours of treatment. So to say no one gets any private offer. Can the Council of State ensure that patients are granted their rights?’
ParlaMint-NO_2006-11-08.ana.ud1671e1763	The amendments to the Patient Rights Act, which entered into force in September 2004, were known to strengthen patients’ legal rights, including: in relation to the individual deadline for special health care treatment and the subsidiary right to health care in the event of a breach of this deadline. The provision to which the representative Giltun refers shall ensure that patients are granted the right to the necessary health care immediately after a period of grace. Thus, the level of use of private service providers does not reflect whether patients are granted their rights. I would like to stress that I consider the claims made in the evening post to be very serious. I follow this up through the ministry having asked Health East for a written statement on the matter, and Health East has been given a two-week response period. The Ministry is also aware that the Health Authority in Oslo and Akershus has chosen to open the supervisory case at Akershu University Hospital on this matter. I have asked the Health Inspectorate in Oslo and Akershus to be briefed on the outcome of this oversight case. On this basis, I would like to make a more detailed assessment of the case when the Health East statement and the Health Authority conclusion are available.
ParlaMint-NO_2006-11-08.ana.ud1671e1770	I thank you for the answer and I think it is good that the Council of State takes the claims that are made so seriously. There's a lot of evidence that there might be something wrong, or that there's a lot of evidence in the statements. The extension of psychiatry rights and escalation will naturally lead to more people getting the help they have the right and the right to demand. When you see that it was previously 500 penalty breaks per person. Years at this clinic, you can now wonder where these 500 fractures have gone off. Has the average number of treatment hours been reduced? Has the capacity increased so that more people are treated? Is that a logical explanation? You should also look at how many people are being rejected. It is said that approx. 80 pst. of the patients referred to shall receive an offer. Is this going to be fulfilled? These are the things I hope the Council of State will take with us, so that we can prepare this both at this clinic and at other clinics.
ParlaMint-NO_2006-11-08.ana.ud1671e1779	Yes, I can again stress that I take the matter very seriously. I will of course go into this from all sorts of angles, just as Giltun's representative is here, as soon as I get the statement from Health East and the supervisory report. Then we have to take the matter from there.
ParlaMint-NO_2006-11-08.ana.ud1671e1784	I want the Council of State also to look at a slightly different matter. In psychiatry, there is still no input-based funding system in place, and I would like to ask: is it the case that the Lillestrøm clinic and other similar clinics have to pay for what they get in their framework when they have to refer patients elsewhere because of breach of contract? If that is the case, it is natural that they hesitate very much to send patients off the farm, as this goes directly beyond their own budgets and the possibility of treating patients further. I hope the Council of State will also look at that matter. I trust that the Lillestrom clinic is effective, and that the clinic does what it can to keep the budget. That's good. But it's not good if it turns out that we have a funding system that leads to patients not getting the treatment they're entitled to due to under-budgeting.
ParlaMint-NO_2006-11-08.ana.ud1671e1791	In general, I have to say that there is a very clear priority on the part of this government: those who need help within the psychiatry and within the ru area will be given even higher priority than those who need help within the somatic environment. We have told our healthcare companies about this for the current year. It's also so that for the first time now it's actually such that the growth is greater within the drug and psychiatry. It's because we're totally dependent on the money being used as we think they should be used, for the benefit of the patients, and that we get to treat the most possible patients. I believe that in the system we have directly through the hospitals, through the psychiatry escalation plan, there is a lot of money in it to take care of those who need help within the psychiatry. That doesn't mean we're in the goal, but I'm going to make sure that we do what we can to follow up, and make sure that the money is used properly, for the benefit of patients, so that we get the most treated, but with a qualitatively good offer.
ParlaMint-NO_2006-11-08.ana.ud1671e1800	My question goes to the Minister of Health: ‘Every year, about 200 people in Finnmark have a stroke for the first time. 2/3 of these get permanent outcomes. Health Finnmark now proposes to include the Department of Physical Medicine and Rehabilitation in the Medical Department of the Church Hospital. [[FMR]] The result of this will be that the rehabilitation offer we have today will cease. Is it in line with the Government's commitment to rehabilitation to downgrading county-wide offers?»
ParlaMint-NO_2006-11-08.ana.ud1671e1809	I fully agree with the questioner that it is very important that the rehabilitation offer for stroke patients is started as soon as possible when the patient's condition permits. Where the provision of rehabilitation services within the specialist health service is to be ensured, it is the regional health undertaking that has to be assessed. Victims may be treated in rehabilitation wards, or they may be offered in their own posts or sections for rehabilitation, for example: related to the medical department. Here we have variations. Many stroke patients also need rehabilitation services in the municipality. At this stage, advice and guidance from specialist health services can be very important. Some patients may have problems that are so demanding or rare that there may be a need for hospitalisation in university hospitals. Health Nord has briefed me that on behalf of Health Finnmark HF, Sintef has produced a report on the operation of the Church Hospital. The report, presented in July of this year, proposes a number of measures to improve efficiency. One of the measures is that the patient’s provision at the Physical Medicine and Rehabilitation Department is sought to be integrated into the medical department. This involves a reorganisation, but after I have been informed about it, not a closure of the rehabilitation offer. The administration of Health Finnmark HF is now working on the 2007 budget and is assessing many different measures. Budgetary matters shall be promoted to the Health Finnmark Board at its meeting on 12 December. Health Nord RHF has confirmed that they will follow closely the measures proposed, and in particular consider whether the ‘provide for’ responsibility is respected in the event of any conversion. It's absolutely crucial. I have also been informed that Health Nord has a long-term commitment to strengthen the care of chroniclers, including rehabilitation. I stress that the rehabilitation offer to stroke patients is organised in an appropriate way, so that those who need it get it. In a specialised offer there must be sufficient competent staff and necessary medical devices. I assume that patients from Finnmark will receive the necessary rehabilitation both in the specialist health service and in the municipality, and that Health Nord has a follow-up on this as a starting point.
ParlaMint-NO_2006-11-08.ana.ud1671e1826	I thank you for your answer. The length of hospitalisation and the diagnosis being made determine today whether the hospital or a rehabilitation institution receives the income and how large they become. This creates a conglomerate of calculations, with associated uncertainties and low predictability, not least for small rehabilitation institutions. My next question will then be: will the Council of State consider the funding system for rehabilitation institutions in the context of the rehabilitation plan?
ParlaMint-NO_2006-11-08.ana.ud1671e1833	We're spending more on rehabilitation this year than we've done in a very long time, but it's also absolutely necessary, because there's a lot of people who need it to help. The government is very concerned that anyone who needs help will get it at all stages of the hospitals and in the municipalities, when necessary. We see that it doesn't work everywhere as well. There is also a background for the Government to present in a very short time a separate strategy for how we will have the rehabilitation in our country over the years to come. There we probably have to be open because there might be variations. But the point is that we need more rehabilitation and not less, and that's what's the starting point for the job we're in the middle of.
ParlaMint-NO_2006-11-08.ana.ud1671e1838	I also thank you for this answer. As I can see it, it is possible to raise doubts about the legality of putting down the only little rehabilitation offer we have for the population of Finnmark, a small department with only six beds. I show you, among other things: for habilitation and rehabilitation regulations, specifying: «The regional health undertaking shall ensure that persons with permanent residence or residence in the health region are offered and provided with the necessary rehabilitation and rehabilitation in the specialist health service». Furthermore, in the notes to § 12: «Rehabilitation and rehabilitation in specialist health services constitute the services which the regional health undertaking is obliged to provide to the population», and which require specialist competence. And further, in the notes to § 1: «The offer shall be made in or as close as possible to the user's usual environment as practicable and as sound as possible.»; I could show you more documents and plans in this regard. My last question will then be: will the Council of State in its 2007 mission document require action in health businesses to prevent the closure of rehabilitation sites?
ParlaMint-NO_2006-11-08.ana.ud1671e1862	I can confirm that the Government is different, i.e. through a separate rehabilitation strategy and also in the context of the mission document to regional health businesses, of course will also be concerned with rehabilitation, and that we are getting it in practice in all parts of the country. With regard to the cases in Finnmark in particular, as I said in my first answer, at the meeting on 12 December this is decided. I have asked Health Nord to make sure that if there are any changes, the responsibility must be taken care of. That means that someone then has to make sure that someone has an offer that makes those patients who need it actually get an offer. Then it's up to regional health companies within the framework of organizing it the way they think is best. But the point is that patients who need it should have an offer, and Health Nord must make sure that it actually happens.
ParlaMint-NO_2006-11-08.ana.ud1671e1873	I allow myself to ask the Minister for Health the following questions: ‘More municipalities are building up nursing homes for nursing homes. Municipalities refer to economic considerations when they have contacted the county councillors for permission to do so. I fear that there may be a lack of hospitalization facilities so that users with high care needs are not adequately met. What will the Council of State do to ensure that professional and non-economic considerations underpin the choice of form of care?’
ParlaMint-NO_2006-11-08.ana.ud1671e1882	As the questioner is well aware, municipalities have over time placed greater emphasis on the provision of services in their own homes and municipal housing and less emphasis on traditional institutional care. This is a result of professional development, but it is also, of course, a municipal strategy to make better use of resources. I understand that this is essentially a long-term development with good professional reasons, that people can live at home as long as they want it and there are opportunities for it, and that we put great emphasis on what the users themselves want. It is also reasonable for municipalities to assess how the provision of the population can be delivered in the best possible way in relation to the use of economic resources, but to take into account what users themselves want. As is known through the action plan for the care of the elderly and the escalation plan for mental health, almost 25 000 care homes have been built. Nursing homes are built in such a way that they can be used for day-care services, and in 2005 as many as 15 000 nursing home staff were present throughout the day. However, it is a major challenge to ensure that nursing homes are perceived as safe and good services for people with extensive care needs. This is not least about the local economy, which must provide room for employing enough people in this important service. When it comes to the representative's questions, I perceive that this is about municipalities that, without changing the building conditions, change the organisation of the service from home to home. This may, of course, be related to the country’s financing of housing aid, aids, blue prescription medicines and parts of the medical services for non-institutional users, while similar expenditure is the responsibility of municipalities if the services are provided in hospitals. In isolation, this means that the conversion of nursing homes to nursing homes triggers a certain amount of government funding. To the extent that the municipalities that convert the nursing home into homes with home services have received grants for the construction of nursing homes, the Husbank shortens the grant accordingly. First, I would like to stress that the prerequisite for converting decisions from home to home based services is that the offer is as good as before. If the municipality redefines its places of residence, the needs of each resident must be re-evaluated and new individual decisions must be taken for all residents of the hospital. As you know, the individual has access to appeals against the decision. It is, of course, unfortunate if the purpose of maximising transfers from the State is to govern the organisation of the service and the provision of services to the inhabitants. The government has in St.meld. No 25 for 2005-2006, on future care challenges, discussed the issue and various options for more equal treatment of services provided in hospitals and nursing homes. So far, the Government has found that today's drawbacks do not defend the implementation of a comprehensive new reform. The fact that users should not be weakened after conversion suggests that the current system should be maintained until further notice. But there should be professional considerations, i.e. the best of the users, which shall be the basis of the offers, and not economic considerations. I would therefore like to stress that this is a development both myself and the Government will follow very closely, and when we now in that message – the representative is the case rapporteur – we have also signalled that we want a new investment grant to build nursing homes and nursing homes and what is needed in the future, there is no doubt that this is something we are very much aware of.
ParlaMint-NO_2006-11-08.ana.ud1671e1897	I thank the Council of State for the answer, but I am equally deeply concerned. I have recently been in a number of municipalities, and in one case, where also a party trap of the Council of State was present, it was a municipality that had not even built the nursing home, but they had redefined the very home, which was a nursing home. It was really dramatic for some of the people who lived there. The supervisory function was removed, and there are other matters, which were also covered by the Council of State, which will be different if you live in a nursing home. I am concerned that this can be done in a hand-turn in the municipalities. So my question to the Council of State is, does the Council of State know whether this is being done to a large extent in our municipalities, which I have been given the impression of?
ParlaMint-NO_2006-11-08.ana.ud1671e1902	From the overview I have per person. Today, there is no reason to believe that this has a large extent. But that happens, that's quite right, there are some examples, and I can fully agree with the questioner that the balance in some municipalities is not good enough in relation to home-based services, nursing homes and nursing homes. I would also like to repeat that I think it is unfortunate if the arrangements we have from the state make some municipalities different from the ones that would be best for the user. The starting point is that the service is organised according to the needs of each user. So, as I've said to the questioner earlier, we're from the government's side of the round we're now going to have in the care notification, open to evaluate all sides. We are following developments very closely and, as I said, are very concerned about this when, if the Storting supports it, we are going to design a new grant scheme for the future.
ParlaMint-NO_2006-11-08.ana.ud1671e1907	I thank you again for the answer. Very many parts of the country still lack some health care facilities. In connection with the fact that I have started working on the care message as the case rapporteur, I am also concerned about the sickest of the elderly, and I have seen that in some places people redefine nursing homes even for the most ill patients. It's the same patients lying there, and it's done with economics as justification. The infectious disease regime and the same infectious disease protection requirements are also absent when it comes to nursing homes versus nursing homes, and we have recently seen a development of resistant bacteria that are quite dangerous. This worries me. What I want to ask the Council of State is: can the Council of State imagine going to the municipalities through a circular etc. and warn the municipalities against reorganisation, or at least inform them of the rules that apply, namely that there must be new individual decisions here, and that it must be precisely the needs of patients that govern this, and not the economy, as we see today?
ParlaMint-NO_2006-11-08.ana.ud1671e1912	I am interested in both clarifying and informing about what needs to be done if conversions are adopted, and what law applies in relation to what users are actually entitled to. I'm very open to do that. I would also like to stress that in our proposal for the new investment grant – as the questioner knows well – one of the requirements is that there is a need for good luck and care. It's a very important criterion. At the same time, we also need to take account of the many users who are now under 67 years of age and who also have needs, as well as the elderly. Like the questioner, I am concerned that we must ensure that there are good enough services for those who need it, and in particular for those who need the most care and care. I will follow this in an appropriate manner and in dialogue with the representative of Davøy and others who are working on this in Stortinget.
ParlaMint-NO_2006-11-08.ana.ud1671e1919	The size then goes back to the questions 5 and 6.
ParlaMint-NO_2006-11-08.ana.ud1671e1926	I allow myself to ask the Minister for the Environment the following questions: ‘The Minister for the Protection of the Environment is sticking to the Robbery Agreement of the Storting. It must be clear to the Minister for the Environment that the outcome of the conciliation is that a small part of the country bears the full burden of loss of well-being and income. The northern part of the wolfesson along the Swedish border has become a wolf reserve where most of the land-based industrial activities are gradually displaced without compensation. Does the Council of State consider this type of discrimination to be a sound instrument for good environmental policy?’
