ParlaMint-NO_2006-03-29.ana.ud2478e24	The called alternate of the Aust-Agder County, Kjell Ingolf Ropstad, has taken the seat.
ParlaMint-NO_2006-03-29.ana.ud2478e1376	I am pleased that the Left's representative has the same opinion as the Government that the local hospital should be maintained. Well-functioning local hospitals are essential in a decentralised specialist health service in such a vast country as Norway. The requirement of the Soria Moria declaration that no local hospital should be closed has been communicated as a requirement for regional health establishments for 2006. I am also pleased that the representative of Gunvald Ludvigsen is concerned about the offer at the local hospital. Like the other health services, local hospitals need to be adapted to the needs of the population. We are facing a significant increase in the elderly, and more people are suffering from chronic conditions, among other things. as a result of lifestyle changes and psychosocial stress. These patient groups, which often need close follow-up, need a close service provision. In the future, local hospitals will have specific tasks to address the needs of, inter alia: chronically ill and sick elderly. The services of local hospitals shall be provided in a comprehensive manner both against primary health services and against the services of the other specialist health services. In addition, the medical changes will result in the division of tasks between the different levels of service likely to change over time. This means that I do not see it as appropriate to define a specific set of services that the local hospital should or should not provide. On the contrary, I believe it is important to provide room for local adaptations, both on the basis of the population base of the hospital and to serve, and on the basis of an appropriate division of tasks between nearby hospitals. But I agree with the representative Ludvigsen that local hospitals should have a proper and quality content. A decentralised organisation of specialist health services requires specialists with broad competence. This has been ensured both through the Norwegian speciality structure and through the various specialist rules. Norway has a specialty structure with 30 specialities and 13 border specialities, eight under internal medicine and five under general surgery, respectively. In comparison with many other European countries, the Ministry of Health and Welfare has been restrictive in establishing too many specialities. The Norwegian speciality structure is thus well adapted to the decentralised organisation of the specialist health service. General surgery is maintained as a main speciality, including: to support the recruitment of surgeons to local hospitals and to provide a common professional basis for border specialities during general surgery. This is central to ensuring broad competence within the surgical specialities. The specialisation rules in the surgical specialities also reflect the requirement for broad competence, as it reflects, for example: are required for specialist approval in general surgery in order to proceed with border specialisation. With regard to the capacity of specialist training, a system has been established whereby the Ministry of Health and Health determines annually the number of new training positions, based on a recommendation from the National Council for the Training of Specialists and the Distribution of Doctors. Regional health enterprises shall, based on assessments of the regional needs for services, allocate training positions within the health region and between the different specialities. The aim of the scheme is to ensure a sufficient number of educational positions, with an appropriate geographical distribution and distribution between the specialities. The system shall ensure that the current and future needs of medical specialists, including in the field of surgical specialities, are met. I am going to pay a lot of attention to developing local hospitals in the future, including working to ensure that the necessary personnel – including enough surgeons – are available.
ParlaMint-NO_2006-03-29.ana.ud2478e1402	First, I would like to thank the Council of State for the answer. I note with pleasure that the Council of State uses the term ‘well-functioning local hospital’, and I am very happy to be right in this room. What I also note is that the Council of State says that education is especially well adapted by surgeons. I don't think I can agree on that. I can support myself on e.g. The county doctor in Sogn and Fjordane, who has said that we need to get a better design training for medical specialists, especially in surgery, to be generalists enough. I mean, there can be state councils intervene. I have the following follow-up questions: Is the Council of State prepared to use the necessary tools in relation to the training of medical specialists, so that a person can gain sufficient wide-ranging competence, so that a person can improve the level of local hospitals?
ParlaMint-NO_2006-03-29.ana.ud2478e1413	I believe that we have a good breadth in the offer we can give today in terms of education and the number of specialists. But we're going to be open all the time – and of course I am – to input into whether things can be improved. I'm open to that in this area as well. As I said in my first answer, when the government now pays a lot of attention to local hospitals, they think they should be well-functioning – it is important for me to stress again – it is also in that of course we will work to ensure that there are enough staff available, including those of whom the representative Ludvigsen is concerned about. I'll follow up on that in the future.
ParlaMint-NO_2006-03-29.ana.ud2478e1420	I want to thank you for your answer again. We have discussed this before today, and the Council of State has warned that we should have a content debate. Obviously, that's what we're talking about here: what's going to be inside the walls of these hospitals? So it's not the color of the façade that matters. I look forward to having a wide debate, and I'm glad that the Medical Association is also busy with the same thing. They also use the topic of ‘breadth competence’, especially in the field of surgery. They are afraid that one should sit with two types of surgeons – as one so far had before – general surgeons and surgical orthopedics, who can do the job. But now there's a trend that the orthopaedics have become too narrow. I believe that there are still challenges, and I hope that the Council of State and the Department will take the challenge that lies here, and check how this can be done.
ParlaMint-NO_2006-03-29.ana.ud2478e1427	Once again, I confirm that we welcome a content debate, in which it is to a great extent. So the government, as I have explained, believes that part of the local hospital should be able to use more for the elderly and others with more complex disorders. I also think it is important – and I think the representative and I agree – that we allow for local variation because our country is so different. It must also, of course, be weighed against the hospital services that are reasonably close to each other. But all of this is possible to get back to, and we're going to follow up as best we can.
ParlaMint-NO_2006-03-29.ana.ud2478e1437	This question, from the representative of Åse Gunhild Woie Duesund to the Minister for Health and Health, will be raised by the representative of Kjell Ingolf Ropstad.
ParlaMint-NO_2006-03-29.ana.ud2478e1440	I am delighted to present the following questions: ‘The waiting time for morbid obesity surgery is actually up to 10 years in a number of hospitals. This is a clear violation of the purpose of the Patient Rights Act. Patients entitled to health care due to serious illness shall not wait for years for effective treatment. For the patient group concerned, waiting time leads to disease progression as well as co-morbidity such as diabetes, joint pain, cancer and mental illness. What will the Council of State do to reduce the waiting time for operations of patients with morbid obesity?’
ParlaMint-NO_2006-03-29.ana.ud2478e1449	Obesity and obesity are increasing in Norway, both among children, young people and adults. And as the representative points out, morbidly overweight is a risk factor for several serious diseases. Therefore, special attention has been paid to this patient group in recent years, and this has led to an increase in treatment provision in both surgery and lifestyle change. Prevention, of course, is important from a public health point of view. Motivating for varied diets and increased physical activity is a significant contribution to avoiding and reducing obesity and thus preventing a number of health problems. But on top of that comes the genetics that you don't have much control over. It is also important that patients who are morbidly obese and who are at risk of developing serious complications receive a good health care offer. In recent years, the provision of this patient group as mentioned has improved significantly. All regional health establishments have established regional centres responsible for developing treatment provision for this patient group. They are now offering surgical treatment, and most have launched or have been planning life-changing offers. In the past, approx. 20 patients operated on a year, now more than 250 are operated on. It is particularly important to develop good treatment provision for severely overweight children and young people. Therefore, the Social and Health Directorate has been allocated funds to support projects for this patient group, both in the primary health care and in the specialist healthcare service. Projects shall contribute to the development and evaluation of better treatment responses. Ullevål University Hospital HF has also received funds in the last two years to develop a treatment offer for severely obese children. In addition, such offers are under development, including: at St. Olav's Hospital in Trondheim and in Health Bergen HF. The Patient Rights Act and the prioritisation Regulation have clear criteria for granting the right to necessary health care. In the regulation, as the representative is well aware, there are three criteria for priorities: one is the severity of the condition, the other is the expected effect of health care, and the third is the cost of impact. The Patient Rights Act provides for an individual treatment deadline for patients who are granted the right to the necessary health care. This is assessed for each patient and based on medical criteria. If this time limit is exceeded, the patient is entitled to be offered treatment at home or abroad. In other words, there shall be medical indications in the individual patient who has been granted the right to the necessary health care, which shall determine when he is to be treated. As the representative points out, the intention of the Patient Rights Act is also valid for this patient group – let it be clear. In my opinion, regional health firms have now taken part in developing the treatment provision to seriously obese people in a good way. However, the treatment provision for this group is still in a construction phase – that means we have a good deal left – and then, of course, there will often be cows in the start-up phase. That is why I want to assure the representative that I will follow this closely with regard to the development of the treatment provision for this group in the future.
ParlaMint-NO_2006-03-29.ana.ud2478e1464	I thank the Council of State for the answer. I want to stress that the waiting time is really up to ten years. A patient such as coming to the Aker Hospital obese unit, will have a conversation with a nutrition physiologist within one year. Then they will often be referred to long wait. As a matter of fact, it will take up to 10 years for patients to receive the treatment they require. Does the Council of State consider it medically sound that patients only have that conversation with a nutrition physiologist, and does the Council of State believe that the completely necessary operation should not be included in the waiting period, and that this is therefore not considered a breach of the Patient Rights Act?
ParlaMint-NO_2006-03-29.ana.ud2478e1473	Let me first say that I fully agree that there are many who suffer from this, who are waiting too long. There is also a background for a much greater pressure to develop more treatment provision in all our health regions. If there are examples of ten years waiting time, it is clear that of course I fully agree that it is too long. It is clear that one must succeed, and that must also be followed up. Then I just stress, as I said in my main response, that the intention of the Patient Rights Act with clear deadlines etc. also applies to this patient group. Of course, to the extent that there is a breach of the Patient Rights Act, it must be followed up.
ParlaMint-NO_2006-03-29.ana.ud2478e1478	I thank you again for a good answer. People suffering from morbid obesity often get into an evil circle, where a combination of overeating and lack of exercise leads to a severe deterioration of the disease image. What these people need is an operation and a treatment aftercare. The Council of State is probably aware that there is such an offer in East Agder at the Evjeklinik. At the European clinic, there is good professional competence, and treatment is offered in advance and also a five-year treatment scheme after the operation. This is especially developed for the patient group that we are talking about here, and the results are good. However, the capacity of the ERC is not fully exploited. How will the State Council ensure such a nationwide offer for obesity patients? And what will the Council of State do to make full use of existing treatment capacities?
ParlaMint-NO_2006-03-29.ana.ud2478e1489	It is important that we take advantage of the treatment options we actually have in places that can carry out these types of operations — also that one does so in advance, and follows up afterwards. I can therefore promise that I will still have strong pressure to build up more offers in all regions. I'll check out what the representative here says about the Evjeklinik. If it is that there is capacity there that is not being exploited, I will get hold of it.
ParlaMint-NO_2006-03-29.ana.ud2478e1498	I have the following questions for the Minister of Health and Welfare: ‘The management of the St. Olavs Hospital has notified the closure of 80 beds in total on 1 May. This is how the hospital will save 80 million. kr on an annual basis. Among the worst-hit patient groups, chronic orthopaedic patients are: The cuts are a consequence of the balance requirements imposed on the hospital, combined with the fact that the Council of State has so far not been willing to cover the additional costs incurred by the hospital during the construction of a new hospital. What initiative will the Council of State take to remedy the situation at the St. Olavs Hospital?’
ParlaMint-NO_2006-03-29.ana.ud2478e1507	As the representative is of course well aware, Stortinget has called for the financial balance of regional health businesses in 2006. This is not a new requirement. In general, one should not spend more money than the Stortinget provides. I have also followed up on this in my management requirements for health companies. It is right and important that health businesses take these governance signals seriously, and in order to achieve the operational balance objective, all regional health businesses have implemented a series of migration measures. As shown by the review carried out by the internal audit of the St. Olavs Hospital of the conversion measures in the health undertaking, St. Olavs Hospital has not paid sufficient attention to implementing them, which has resulted in a significant operating deficit in 2005. This is an imbalance that Health Mid-Norway and St. Olav's Hospital must correct. With regard to the notified savings requirements to which the representative Burnde refers, I would like to clarify the following: In the start-up phase of such processes, proposals will very often be made that will not be realised. It is available per year. today no final package of measures at the St. Olavs Hospital to which the board of Health Mid-Norway has joined. It is important that, in this case too, one maintains the lines of responsibility established in health establishments. I would like to remind you that in my 2006 management of healthcare companies, I have argued that measures should not have negative consequences for patient treatment or the medication of patients. All those who are entitled to the necessary help and treatment will receive this. This is also true in Trondheim. As regards the representative Burnde’s claim that the conversion measures amounting to 80 million. Due to the fact that I have not been willing to cover the extra costs incurred by the hospital during the construction of a new hospital, I will show that last year St. Olav's Hospital had a deficit of nearly 400 million. SEK, of which just under 100 million. kr applies to the additional costs raised by Burnde. The measures now under consideration at St. Olav's Hospital are therefore aimed at achieving a balance in the normal operation of the hospital, not at covering the additional costs of operating two hospitals in the construction phase. With regard to the so-called extra costs of St. Olav's Hospital, I will also allow myself to remind the representative Burnde that the then Minister of Health and Care from Brende's party, Right, and that government Burnde himself was a member of, nor would they cover these extra costs last year, but let these be part of the performance requirement that was set for Health Mid-Norway this year. I have a great deal of understanding for that. Health Mid-Norway is through the special allocations given by the State to the St. Olav extension, the region that has received the most money to build hospitals – a total of SEK 4.4 billion. In contrast to other regions, this region has also been promised an additional 140 million. kr annually in a permanent increase in income in order to address challenges related to, inter alia, the development of the new hospital. Health Mid-Norway is therefore in a special position to be prioritised, compared to the other health regions. In the context of the 2006 economic balance-sheet challenges, Health Mid-Norway and St. Olavs Hospital – in line with all other regions and hospitals – must have control of costs, in order to match the revenues made available. I trust that the region and the hospital will have increased focus on the necessary changes to deal with the overall challenge picture. However, I will not hide the fact that Health Mid-Norway is facing a very demanding situation. I therefore want close dialogue with and close follow-up of Health Mid-Norway in 2006.
ParlaMint-NO_2006-03-29.ana.ud2478e1522	Earlier today, in the spontaneous questioning session, the Minister of Health said she was proud of the job she has done in St. Olav's Hospital. I have to say that I am quite upset that the health minister can say that she is proud of a situation where the result now is that bed beds are laid down and the health cows in Central Norway will increase. What upsets me the most is the contrast to the great promises that the red-greens had in the election campaign. Listening to Sylvia Brustad today makes me think about it. At that time, the current government councils Giske and Djupedal went out and said that it was helpless by the Right, and they accused Health Minister Ansgar Gabrielsen not to set up and cover the additional costs of hospital development. There was very strong criticism that the psychiatrist wasn't in place. When will the Workers' Party bring in the hundreds of millions of dollars that they guaranteed in the election campaign? The Minister of Health can't get away with that!
ParlaMint-NO_2006-03-29.ana.ud2478e1531	First of all, I have not said that I am ‘pride over’ the situation at St. Olav’s Hospital. I have said that I have ‘no bad conscience’ for what I, and this government, have done to St. Olav for the five short months we have been sitting. Let me first say: St. Olav is going to be, and is, a modern hospital that means a lot both for that region and for other parts of the country in some areas. The hospital is in a difficult situation, but this government gave St. Olav NOK 2.9 billion in December – two months after we took over – to complete phase 1. We've made promises of 140 million. kr to that region – not least to complete phase 2 – as a permanent amount. That means $2.8 billion. We've given more money to the hospitals in total, which also benefits this region. Børge Brende and his co-representatives in this process have been involved in imposing a balance sheet requirement to be met. So I have ‘no bad conscience’ for what the government has done in this matter. That it is demanding, yes, but I hope Børge Brende realizes that St. Olav must also have better cost control than the situation there per. today.
ParlaMint-NO_2006-03-29.ana.ud2478e1540	On 14 September, the representative of the Grand Duchy of Giske stated on the delivery of electoral commitments already in the autumn in connection with the additional pro-position of the Government of the State concerned to the State budget: psychiatricians, landslide reversal and state contribution to the financing plan. The SEK 2.9 billion mentioned by the Council of State is money that was already granted. It came in the effusion of this government, and it was paid in one year instead of over three years. These are additional grants to St. Olav's Hospital, which was guaranteed by the Workers' Party – so it is printed in Addressaviesta that it was to be delivered already last autumn. It was cleared with the party management, and you don't see anything about it. The 80 million. kr, as St. Olav now has to cut – cut in bed posts, cut in the existing health service – is the result of not getting up with this money. There are strong reactions in Central Norway to not taking responsibility for this situation, and I think the Council of State should have a bad conscience for not lifting a finger to follow up its own election promises.
ParlaMint-NO_2006-03-29.ana.ud2478e1547	I think it's a good rule to sweep at your own door. In this case I have to say that the government Børge Burnde sail was a member of, would not cover these extra costs for the last year. If the budget proposed by the government of Børge Brende was a member, the years it was overthrown had been adopted in the Stortinget – which, fortunately, it was not – it would have been 260 million. kr less to St. Olav every year. The new government has granted more money specifically to St. Olav, and SEK 2.9 billion over a year is not small money. The previous government did not send out that, and we have given promises of DKK 2.8 billion for the rest, which no other region has been promised. So I hope in the further debate that you can be honest and open in relation to what you have contributed to, and what he criticizes others for. I'm very aware of the situation at St. Olav. I'm going to visit them in the near future, and I'm going to take it very seriously. But it's not that some hospitals can get in the front row and just ask for more money, while others have to stay within the framework.
ParlaMint-NO_2006-03-29.ana.ud2478e1562	This question, from the representative of Trond Helleland to the Minister for Renewal and Administration, will be raised by the representative of Øyvind Halleraker.
ParlaMint-NO_2006-03-29.ana.ud2478e1565	I have a question for the Minister of Renewal and Administration: ‘13. In March, the Council of State postponed MinSide, the electronic service office, indefinitely. The project was on track when the government joined Stoltenberg. The main challenges that require considerable political attention have also in the past been the coordination between MinSide and the state budgets that provide services and the dissemination of approved eID solutions. What will the State Council do to improve the progress of the project, and when can the inhabitants make use of MinSide?’
ParlaMint-NO_2006-03-29.ana.ud2478e1574	Let me first give tribute to former Minister of Modernization Morten Andreas Meyer for an important initiative to give the inhabitants a simpler meeting with the public sector. MiSide shall provide citizens with a common access to public dialogue with and electronic services. To get to MiSide, a secure login is required, and so the Security Portal is established as a common infrastructure for the entire public sector, not just for Altin, who has been a user since December, or for MiSide, where we have now started a pilot. I opened the security portal in the middle of December. The portal is up and standing, and we're testing MiSide in relation to the Security Portal. The Security Portal shall make it easier for both municipal and state enterprises to achieve secure electronic interaction. At the same time, users who already have an electronic ID for other purposes should also be able to use it in public websites. The government of Stoltenberg has great ambitions in this area, because it is important to realise the goals we have seen in the Soria Moria declaration of digitisation of services, and not least for the renewal of the public sector. The technical solution for MiSide has been in place for a while, and we are now running a pilot for all those added to the seven levels that provide services to the side, and for those added to my own department. That's how we're going to get out wrong, and we're going to see what we have to do even better before we can present the whole page to the people. The establishment of the MiSide and the Public Security Portal provide a very complex interaction between many public enterprises, market players and different technical solutions. The previous government suggested that market players should provide the inhabitants with electronic ID and signature, which could also be used for these public services. And that's where it's come up with challenges associated with the electronic ID market in Norway. Thus, it has proved more demanding than one previously believed to have suppliers deliver their services in the Common Security Portal for the public sector. Out of the population, electronic IDs are not particularly widely used in the Security Portal, and pilot assessments show that the use also needs to be simpler. So the launch can't happen until we've got a secure login that's simple, so the inhabitants won't be able to make it long before they get the portal in use. When a driving pilot works, there is a risk that challenges arise that take time to solve. I think that one has underestimated the complexity of the work, and one has been too optimistic when setting a timetable. I want to correct the representative Halleraker in relation to the fact that the project should be on track when the government of Stoltenberg took over. Throughout the project period, a regular risk analysis has been carried out. Through these risk analyses, both before and after the government change, it has been known in the department, and by my predecessors, that there was a high risk associated with the timetable and that there was a great chance that the launch of MiSide would have to be postponed. I remember that State Council Meyer himself postponed the launch by six months, last summer. What I am currently doing is, in cooperation with Brønnøysundregistra, who manages the agreement on the Security Portal, to assess the business model for the Security Portal. We are forced to find a model that is more attractive, both for public enterprises that need solutions for secure communications, and for the providers of electronic ID and signature. I can promise the representative Halleraker that we will work around the clock. Even today, my department meets with the actors involved, so we have a very high level of pressure and ambition about this. But we can't launch something that's not good enough for our people, because that's kind of crazy. It must be safe and easy to use when we first simplify the public sector.
ParlaMint-NO_2006-03-29.ana.ud2478e1595	I thank you for your answer. It is good to hear that the Council of State is holding high pressure on this. I am familiar with the fact that State Council Meyer, just before he left, was assured that the project was on track. If cooperation between banks and BankID and other ID providers stops the project, could it be natural to consider other options? Important public-sector IT projects cannot stop while we wait for other actors. My question is: will the Council of State take the initiative to issue its own eIDs and eSignatures to its citizens, as has been done in, for example: Denmark, and thus ensure that many people can use MinSide as quickly as possible?
ParlaMint-NO_2006-03-29.ana.ud2478e1606	Now it is the previous government that has decided that one should let the market fix this with electronic ID. It's a known Right cause that a wish for the market to settle. Then we see that the market was not as developed as we had hoped and believed. Already in 1999, the computer and IT press announced that a trusted one was rolling out electronic identity, and that one would have this very quickly in place. Now we write in 2006, and still it's a little bit so that the suppliers are waiting for the services, and those who provide the services, sit and wait for us to have enough suppliers of electronic ID. We've said that we want to start a dialogue with both the banks and others who provide electronic IDs to see if we can't solve this now. That's the model you've chosen, and you've been working on it for years. We have to see if we can't solve it. We've had a lot of meetings, and we're going to have more meetings. In parallel with this, we look at other possibilities, yes, also the possibility that Halleraker's representative had.
ParlaMint-NO_2006-03-29.ana.ud2478e1615	I thank you again for the answer. Some of the most eye-catching is actually not that the project is deferred, even if it is done once again by this council, and it is serious enough. The most perceptive thing is that the project is suspended indefinitely. I have not seen any indication of what month, what quarter or what year the residents can expect to use MinSide. I believe that it is healthy that the public imposes temptations, and that we strive to try to comply with them. It makes it possible to verify that the authorities are doing what they are supposed to do and to ensure that important projects do not die a silent death, so to speak. My question is: does the Council of State agree that it is important to set deadlines for the completion of important projects such as MinSide, and can we now get a new date for people to enjoy MinSide?
ParlaMint-NO_2006-03-29.ana.ud2478e1624	There have been many deadlines set for MiSide work. The former minister, Meyer from the Right, had to postpone his own project by six months. With the same thing I took over, I was presented quite quickly as a challenge that we had to have a new postponement, for various reasons and decisions that were taken long before my time. We dance with the same decisions that were made before my time, the easy choice of business model and the choice of operators associated with the delivery of electronic ID. That's the two challenges we're now working on. I am set to follow up the decisions made by the previous minister. I think there were good solutions. But one had put too tight a time span to be able to solve these challenges. So we're going to remember that we're the first country in the world to achieve this. I'm pretty sure – I hope so – that we will have this page up to stand as soon as possible, preferably before summer for my part. But it's pointless to give you a new date if you're not quite sure that you can actually deliver, because then you only get a new one. That would be very unfortunate. [[President clubs]]
ParlaMint-NO_2006-03-29.ana.ud2478e1631	So we go back to question 6.
ParlaMint-NO_2006-03-29.ana.ud2478e1638	This question, from the representative Per Roar Bredvold to the Minister for Transport, will be answered by the Minister for Agriculture and Food on behalf of the Minister for Transport.
ParlaMint-NO_2006-03-29.ana.ud2478e1641	I would like to ask the Minister for Transport the following questions, which are answered by the Minister for Agriculture and Food: ‘Medium-sized cars between 3.5 and 7.5 tonnes are not allowed to run faster than 80 km/h, although the speed limit may be both 90 and 100 km/h in some places. Many of these cars are private cars/company cars and are therefore used as normal passenger cars. Does the Council of State see that the regulations, which were first adopted in 1957 and re-examined in 1986, have not taken into account the development of the car park in Norway?’
ParlaMint-NO_2006-03-29.ana.ud2478e1650	It is right that motor vehicles with a maximum permissible laden weight exceeding 3500 kg or motor vehicles with a trailer should not drive faster than 80 km/h if the speed limit is higher. These restrictions have been set in the interests of road safety. Heavy-duty vehicles need longer braking distances, have lower manoeuvrability and represent a greater accident risk than light-duty vehicles. For this reason, in most countries the speed limit for heavier vehicles is lower than that otherwise applicable. The difference between the speed limits for heavy and light vehicles is smaller in Norway than in most other countries. I am also concerned with the overall impact of heavier vehicles, including the so-called SUVs, on road safety, and in particular the risks such vehicles pose to the others who travel in the traffic image. In response to similar questions from the representative Bredvold to former Minister for Transport Torild Skogsholm on 19 February 2003, it was opened to assess the consequences of opening up higher speeds for vehicles with driving characteristics similar to passenger cars. New knowledge of SUVs and other slightly larger vehicles, especially of the collision between such cars and normal passenger cars, suggests that the safety of such heavier vehicles is at the expense of the safety of normal passenger cars. This is further reinforced at higher speeds. I therefore see no need to change the rules in this area.
ParlaMint-NO_2006-03-29.ana.ud2478e1657	I thank the Council of State for the answer, but I am sorry that the answer was as it was. I had thought that we had come a little further today than when I asked the question three years ago, because then you promised to look at it. I understand you've done that, but you've come up with the same thing. I find it strange that a bus that carries – let's say – 50 passengers, a bus that weighs many times more kilograms than, for example. a Chevrolet Tahoe, shall be allowed to run up to 20 km faster than a SUV car. There's a lot of buses running, and there's also a lot of SUV cars running, and I don't understand this difference, but because we have it, the SUVs become a danger in traffic, because they can't follow the speed of traffic that is, and thus create a safety risk. The fact that these types of cars are less roadworthy is also quite strange. They're in control every year, so I don't understand this.
ParlaMint-NO_2006-03-29.ana.ud2478e1666	The reasoning is based on matters of weight and what happens if the accident is out. Whether the speed of buses should be adjusted in relation to SUVs and other slightly smaller vehicles, I will not go into, but it is a fact that other road users are exposed to a greater hazard in a vehicle with a higher weight than in a vehicle with a slightly lower weight. That's probably pretty obvious.
ParlaMint-NO_2006-03-29.ana.ud2478e1671	I thank the Council of State for its comments. It is clear that a bus can drive 100 km/h, and it does, while for example. a Chevrolet Tahoe is only allowed to drive 80 km/h, and that is the difference that I think is completely wrong. When it comes to road safety, it would be thought to apply to everyone, whether you are in a small Nissan Micra, for example, or a large SUV car. We're all concerned that road safety should be good. I think the braking effect is a lot better in a new American family car than it is, for example. is in a small European car. I think, therefore, that we are talking about two very different things, and in order for it to be floated in traffic, it must be an advantage that everyone can drive just as fast.
ParlaMint-NO_2006-03-29.ana.ud2478e1678	The representative of Bredvold compares a Nissan Micra with a Chevrolet Tahoe. I guess there's just some of the problem here in the cases where the accident is actually out. In isolation, enough safety is ensured in large cars. What lies in the mindset behind a differentiated max speed is the consequences for other road users, not for those who are drivers/passengers in the big cars.
ParlaMint-NO_2006-03-29.ana.ud2478e1683	So we go to question No. 18, the last.
ParlaMint-NO_2006-03-29.ana.ud2478e1690	‘In the Soria Moria Declaration, there is a goal of 15 pst. of the agricultural products produced here by country shall be organically produced before 2015. Demand for organic products is increasing, and there are, in part, problems in getting enough goods. Nevertheless, production flattens out because gardeners do not find it profitable to produce organically. What measures will the Government put in place to achieve the objective of increasing organic production?’
ParlaMint-NO_2006-03-29.ana.ud2478e1697	Lack of demand has been a significant bottleneck for the development of the organic market and agriculture. To date, consumers have asked for limited quantities of organic products and there have been major challenges related to the placing on the market of both organic meat, milk and cereals. This situation has affected the basis for farmers to convert organic production. Many manufacturers have therefore taken a waiting attitude, and some have even chosen to return to conventional production. It is of course absolutely central to the farmer's motivation both that people actually get access to the products they produce, and that the market is willing to pay for these products. An additional price is absolutely necessary if organic producers are to have a satisfactory economy. I am therefore pleased that much now indicates that the market situation is changing. In 2005, we saw a strong increase in sales of organic products, and good developments appear to continue in 2006. I met with the big market players last Monday, and the signals were very positive, for example. Tine doubled its sales of organic milk products in 2005. Tine now lacks organic milk and is looking for new producers. The turnover and demand for organic meat have also increased significantly. The chain competes at both price and range to be the best in the ecological class. More and more consumers are in demand of organic food, and sales in the store increased by 30-40 pst in 2005. But it has to be said that it's from a low point of view. Farmers are professional economic operators producing the market demand. With increased demand in the market for organic products, I am convinced that more people will see it as attractive to convert organic farming. At the same time, I would like to stress that I am aware of the economic challenges facing organic producers. If the Government's objectives are to be achieved, we are totally dependent on several producers converting to organic farming, and that as many as possible of those who have already converted see that there is a meaningful line of operations to continue. These are questions that I am working on, and which I want to bring in as part of this year's agricultural negotiations. By having a concrete long-term goal, the Government wants to give a clear signal to both producers and the processing and marketing sectors that the commitment to organic agricultural production is, firstly, forward-looking, and, secondly, that it can be done with a certain long-termity, and also with certainty that we from the political side will support the commitment. Organic farming is a common area of activity for the entire Government, and in the coming months a cross-ministerial working group will explore how the Government's objectives can be achieved.
ParlaMint-NO_2006-03-29.ana.ud2478e1708	It is good to right that the Council of State now says that this is being worked on, but I could well imagine that he said a little about how it is being worked on. I also hear that he wants to take it with him in the agricultural negotiations. In fact, even though there is a lot of positive, the production has gone flat. Fewer wants to run with it. And then I want to ask questions about whether the Council of State has thought about the potential that the public can secure the purchase of organic food, for example. to public canteens, schools, hospitals, hospitals, etc. It will be able to secure off-takes and smoother deliveries.
ParlaMint-NO_2006-03-29.ana.ud2478e1718	The situation for organic production has been, as I began to say, a lack of demand. My approach is therefore that getting a commitment to organic production that is not based on a real demand in the market is a little forward-looking. So point 1 is that we have to put a larger demand in place. This must take place in a dialogue with shops, chains and market players, and through informing consumers about the quality of organic products. That's point one. As far as public matters are concerned, my input corresponds to what the representative here says, that we should look at public canteens, public agencies and public procurement policies in relation to organic products. And just what I finished my last post, namely, that the government has now put down a cross-ministerial group, it shows the entrance. I believe that success in this area requires more than the involvement of the Ministry of Agriculture and Food. That's that part of it.
ParlaMint-NO_2006-03-29.ana.ud2478e1727	I understand that there is a bet on information, and that there is a bet on shops and chains. That's how it's been done so far. We see that the demand is not even enough and not sure enough. In paragraph 2, the Council of State answers that he will also look at the public, and that there will be distribution work. I want the Council of State to say something a little more sober about it, whether it is a good idea that it takes a greater responsibility here in public, with the possibilities they have for fixed purchases.
ParlaMint-NO_2006-03-29.ana.ud2478e1734	I don't think I can say so much more than what I just said, because it lies as part of the work that this working group is now going to work on. We've been doing this for a few months now. In the last period of government, a few years were spent, without one coming so far. So we need some more time to look at which concrete measures are the most effective in achieving the goal we have. The thing about using public institutions as part of this, I've now been to a couple of times. That's what I think is a way to work on. In addition, through the instrument of agricultural policy, we also need to stimulate production to adapt to consumption and to be able to raise both production and consumption. But, as I said, the starting point has been that there has been too low demand. It's a development that we're now seeing going in the right direction, and it gives opportunities that are significant beyond what has been before.
ParlaMint-NO_2006-03-29.ana.ud2478e1743	Thus, Stortinget has managed to complete today's map. Is there anyone who wants to ask for the word under Rule 37(a) of the Rules of Procedure? - The meeting is over.
