ParlaMint-NO_2006-05-30.ana.ud2641e38	The representative of Mr Sonja Irene Sjøli will make a private proposal.
ParlaMint-NO_2006-05-30.ana.ud2641e1000	Actually, this is Document No. The 8-proposal, from a total of nine representatives of the Progress Party, something strange. It is very rare that an experimental system is being implemented at the same time in all the municipalities of the country, as proposed by the Progress Party in Document No. 8:57 for 2005-2006. It may seem desirable to bypass today’s legislation to apply full exemption from the Motor Travel Act. Such a procedure does not create good governance. In my home country, there's a lot of snowmobile riding. Of course it is, from geography, a long winter and many cottage owners in the mountain cottage. Of the eight municipalities that were initially part of the pilot scheme, two are resident in the Nordic region. It's Fauske and Hattfjelldal. The test started in 2000 and would last for three years. It has ended overtime, but the experiment continues as work in MoSa, motor travel and society, continues until the autumn of 2006. The test in the two Nordic municipalities has mostly been positive. It has created industries and new jobs, and both of these municipalities have had a good relationship with neighbouring Sweden in terms of cross-border motor traffic. In District Norway, it is important that we make use of the opportunities that we have, even in terms of natural assumptions, in an environmentally friendly way. Tourism winter time with snowmobiles has in many places become very popular. I believe that most people who know about the use of snowmobiles believe that today's legislation on outdoor motorcycling has been passed and needs to be changed to meet the needs of each municipality. We need a predictable and conflictless regulatory framework. We need to get a law that is so understandable that we avoid misunderstandings and, in the worst case, reviews. In addition, municipalities should carry out awareness-raising activities through snowmobile clubs. The municipalities are different, and one way to reverse the law is to regulate motor traffic in the countryside and watercourses so that the administration is linked to the municipal plan according to the Planning and Building Act. I would assume that the Motor Travel Act will be better complied with, and that we can have a more comprehensive motor travel policy, as the municipalities are given greater authority under the Motor Travel Act. In my view, it is urgent to put in place a better motor travel policy. The sale of snowmobiles and other outdoor motor vehicles is increasing every year. It's actually sold 55 000 snowmobiles in Norway, and then it's not a good thing that we're in arrears with a custom law. Then I think not most of the snowmobiles that are in use in the winter, but of the off-road motor vehicles that are used in the field. These vehicles leave tracks in the wild for decades to come. In particular, boisterous terrain is exposed where summer is too short to heal the wounds of nature. Here the municipalities must be aware of their natural responsibility. The Soria Moria Declaration states that we should pursue a restrictive policy in relation to motorised off-road traffic, with measures to reduce the scale of off-road traffic, and that trials should be evaluated before making changes to the legislation. I believe it is right to reject this Document No. The 8th proposal, when the MoSa work ends, as I understand it, in September this year, and the results of this and the evaluation of the experiment will form the basis for further work in the ministry. Many municipalities are anxiously waiting for the ministry to come up with, so this work is urgent.
ParlaMint-NO_2006-05-30.ana.ud2641e1019	The Party for Progress shall promote, as referred to in Document No: 8:57 for 2005-2006 proposals that all municipalities who so wish may apply for participation in the pilot scheme for a new management system for motorised land, as until the completion of the MoSa project in 2007 or 2008 and until the entry into force of new legislation. Both in respect of local self-government and not least in respect of the facts of the case, it would have been desirable for the Stortinget to adopt the proposals of the Progress Party, which unfortunately is not done. The Progress Party finds it strange that the majority opposes the inclusion of several municipalities in the process of designing a new management system for motorised land. The progress party has noticed that the majority believes it is sufficient that only a little over 1 pst. by the municipalities of the country — seven out of 431 municipalities — will use the scheme until further notice. I would like to ask the Council of State in its statement to explain why in the world it is such that Norway should have so much more stringent legislation for motorised outland transport than for example. Sweden and Finland in the case of snowmobiles. The Progress Party finds this fact quite unreasonable, and we have therefore struggled for a number of years for Norwegian municipalities to decide for themselves whether to set up loop networks for snowmobiles for recreational purposes in their own municipality, as it was until 1988. Thus, in line with issues related to land management in the coastal zone, the Progress Party will also entrust to local self-government to decide how to manage the provisions on motorised land. The Party considers such a management model to be entirely reasonable. We are also of the definite opinion that any municipality without any involvement from the county should be able to authorise, for example. the establishment of a loop network for snowmobiles, a network of recreational and tourist loops. Today’s restrictive snowmobile legislation in Norway is already out of date and the current management model is district hostile. It does not authorize local authorities. There are now some places where so-called wild conditions exist in this area. Still more people ignore the current legislation, precisely because they regard legislation as very unfair. The need for a new regulatory framework to be respected is therefore considerable. Respect for law and justice in this area has become more and more lost, as people discover the positive opportunities that are actually associated with increased commercial and recreational use of snowmobiles. This reality must soon be understood by the political majority, for more and more people are buying and driving snowmobiles in Norway. In 1975 it was registered approx. 6000 such vehicles in Norway. In 1987 there were 30 000. In 2002, there was an increase of 49 000, and today, as mentioned, it is about 49 000. 55,000. So it's almost a tidal fraction of the number since 1975. In addition to this number, there will be a significant number of unregistered snowmobiles. In other words, the number of snowmobiles and snowmobile enthusiasts has almost exploded in Norway in recent years. So the need for a more up-to-date policy on motorised out-landing is now high, and central authorities must recognise that the current policy is more and more in line with developments. Therefore, it is very strange that Norway, with large land areas and unique possibilities for recreational snowmobile rides, has to have the most stringent Nordic legislation in this area. It is almost a parody of misunderstood environmental and district policies. The Progress Party therefore calls for a more flexible approach to snowmobile use, where local government is to be given considerable responsibility for the practice of the existing legislation. Both tourism, business and housing are served by a new management model for motorised driving in outland based on increased local responsibility and authority. The solution is not stricter national guidelines or new prohibitions and restrictions but a pragmatic and more district-friendly approach to current developments. Reforms in this area are now pushing themselves forward, and we can no longer sit calm with our hands in captivity. I am therefore in favour of the motion for a resolution tabled by the Committee on the Rules of Procedure, the Verification of Credentials and Immunities and the motion for a resolution tabled by the Committee on the Rules of Procedure, the Verification of Credentials and Immunities on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on behalf of the This is an essential part of a process to enhance today's bureaucratic and out-of-date legislation in this area.
ParlaMint-NO_2006-05-30.ana.ud2641e1034	The representative Torbjørn Andersen has taken up the suggestions he referred to.
ParlaMint-NO_2006-05-30.ana.ud2641e1037	The test of extended self-government in the field of motorised outland transport, comprising eight municipalities, was launched in 2000. The test ended and the test was evaluated. On this basis, the Right does not find it particularly appropriate for new, almost eternal, further attempts, where all the municipalities of the country are invited to participate in a scheme that will bear the mark of great temporaryity. From the right, we want to get away from these pilot schemes and into a more permanent policy. We will now have the experience of the pilot schemes on the table, and we would like to see that as a basis for the so-called environmental and social project, it can be a basis for a matter that must be submitted to the Stortinget. That is why, together with the Progress Party, the Christian People's Party and the Left, we are promoting proposal No. 1, where we ask that the case, with the evaluation of the pilot project, be promoted for Stortinget as soon as possible and no later than spring 2007. Our need is now to get into a more permanent phase. That must be the political objective, and that together we can get clarification in the most controversial areas. We need to have a defined policy in this area that can more clearly tell us where – and how – we can develop motorised traffic in Norway, for this, as other speakers have mentioned in the past, has a major impact on the development of, for example, the tourism industry and winter tourism in parts of Norway. At all, the big challenge is how Stortinget's side can help develop Building Norway. It is Right's view that we must now take note that the experiment has been completed and evaluated. That's why I join the Workers' Party's spokeswoman in this area, Torny Pedersen, who says that there is an urgent need to get a case out for the Stortinget. We request that this be put in place, and that the Stortinget should be able to get the big case processed by spring 2007.
ParlaMint-NO_2006-05-30.ana.ud2641e1051	Unspoiled and undisturbed nature is one of the most peculiar features we have in Norway today. This one is important to take care of. It is then important to control the influence in the case of motorised vehicles. We need a good code for driving out of the country. In many cases, motorised land and water resources serve obvious good utility purposes, such as in agriculture and civil engineering. At the same time, motor travel in outland can lead to a number of disadvantages and injuries such as noise, terrain damage, vegetation wear, disruption of wildlife and conflicts with outdoor life. We have an alarming increase in bar area driving today in many parts of the country. Barriers are becoming a major environmental problem. The Motor Travel Act has as its starting point the prohibition on motorised outlanding and watercourses, unless otherwise provided for by law or by law. It follows from the law that driving on barefield is permitted for police, ambulance and rescue services, and, furthermore, in the case of surveillance and surveillance services, postal and telecommunications services, the exercises of the defence and the transport, construction and operation of roads and regular services. Motor travel in outland is currently also permitted for a number of useful purposes. This applies, for example: the necessary transport of persons and goods in the agricultural, forestry and sewage industries. Then the driving can take place without special permission. You can also apply for a dispensation for driving. In Finnmark and Nord-Troms there is a system of special loops for snowmobiles that can be used regardless of the purpose of the trip, so-called recreational loops. In Finnmark, there's a total of 5,000 kilometers of such loops. In addition, it is possible to establish ice fishing loops, i.e. snowmobile loops for important fish water situated more than 5 km from the broken road. A number of commercial services are permitted. This applies, for example: permanent residents taking on acquisitions, so-called rentals. All of this is per. permitted today. Therefore, it is not as the Progress Party writes in its proposal that value creation and recreation around motorised driving are not very well taken care of. It is also true that there is a flexible attitude towards snowmobile use in Norway. I would like to stress that there is not necessarily a single motorised vehicle that, in isolation, causes significant damage or disadvantages. That's the sum of the many vehicles that will be harmful to nature. For this reason, it is necessary to assess the running of the vehicle from an overall point of view. It is the municipalities that have to fulfil the purpose of the Motor Traffic Act: to protect the natural environment and to promote well-being. All handling of motor travel in municipal plans shall be in accordance with law and national regulations. Understanding the legislation and contributing to the overall objective of the Motor Travel Act is a challenge for municipalities. Equal understanding and practice of legislation should also be ensured, irrespective of parts of the country and different modes of movement on land and at sea. The motor vehicle test was started in eight municipalities, and the Norwegian Institute for Natural Research has presented its evaluation report. The experience gained from the experiment will be included in the further project "Motorferdsel och Samfunn", the so-called MoSa project. These experiences will form the basis for amending current legislation. This is an important matter, and the Christian People's Party therefore asks the Government to present to the Stortinget the completion of the MoSa project, including the evaluation of the pilot project in the eight municipalities that participated in it.
ParlaMint-NO_2006-05-30.ana.ud2641e1070	With a view to protecting the natural environment, in particular in order to avoid run-off and to promote well-being, the Government will pursue restrictive policies in relation to outdoor motor travel. In the light of this policy, existing legislation is under review. The test with a new management system for outland motor travel has been completed. At the end of the pilot scheme, the Ministry of the Environment gave the participating municipalities the opportunity to continue the experimental legislation for up to two years. The reason for this was to avoid unnecessary additional work for the experimental municipalities in the period leading up to any legislative change and to gain further experience in this way of regulating the movement. I refer to the majority of the Committee who consider that it is not necessary to involve several municipalities in a pilot scheme in order to have a good enough professional basis to assess whether a new management model should be chosen. The minority's proposal bears the hallmark of being a general exemption from the Motor Travel Act. Therefore, it is not appropriate to start new trials now. I am now awaiting the report from the project «Motorferdsel and Samfunn» – MoSa. This project takes into account the knowledge and experience of motor travel in a broad sense. By means of an advisory group, an effort is being made to discuss a common position as far as possible on future motorcycling policy. The project is in its final phase, and I have recently been informed that, unfortunately, progress has been somewhat delayed. The report will therefore not be available until the harvest. The Progress Party, the Right, the Christian People's Party and the Left have asked the Government to promote a case for the completion of MoSa by the spring of 2007. The evaluation of the experiment and the project will provide the basis for any legislative proposals. Any legislative proposals that have previously been signalled to Stortinget will be promoted at the earliest in the spring 2007 session.
ParlaMint-NO_2006-05-30.ana.ud2641e1085	It's going to be line change.
ParlaMint-NO_2006-05-30.ana.ud2641e1089	The Council of State said in its statement that the Government will pursue restrictive policies in this area. I would like to refer to the Hattfjelldal evaluation report, which includes: states that the open network has little or no impact on vulnerable nature and the environment. For many inland municipalities, the snowmobile is almost comparable to the recreational boat for the coastal population in some places in Norway. We also know that many district municipalities are struggling with relocation, and that both Sweden and Finland have much more liberal rules for snowmobile use in connection with tourism and local economic development. Does the Council not see that some municipalities in terms of management will have a clear advantage of deciding more on how to put up snowmobiles policy, where to lay the groundwork for recreation and tourism and to develop business? Does the Council not see quite clearly that many district councils that are struggling to develop business life, which are struggling with relocation, will benefit from being able to control this legislation itself? And finally, what happens to the seven-eight municipalities that have been involved in the experiment, after the trial is over?
ParlaMint-NO_2006-05-30.ana.ud2641e1098	It is the evaluation of the experiment and the project that will form the basis for proposals for any changes, so it is too early to say what conclusions we will draw. I think it's important to keep up the intention of the project. The project shall include, inter alia: provide an overview and an overall presentation of the knowledge we have about the consequences of this type of movement for nature and the environment, including recreation and well-being. That's one of the things you're evaluating right now. In addition, it is clear that the project will also assess the different conflicts of interest that we know we are dealing with in the field of motor travel. So all of this is to evaluate and draw conclusions from, and then we're going to get back to the Storing.
ParlaMint-NO_2006-05-30.ana.ud2641e1105	The representative, Torny Pedersen, said earlier in the debate that a new law is needed, and that we need to have a law that is more liberal, and that is more fulfilling the desire expressed in the Soria Moria Declaration, about more power for local politicians – a issue we also discussed in relation to the debate on wolves, i.e. the right of local politicians to influence their own everyday lives. In the state council posts now, I think she was less clear about whether we need a new, a more liberal, law. I could imagine the Council of State clarifying whether Torny Pedersen is right, as I believe, or whether the Council of State is in doubt as to whether we need more liberal legislation.
ParlaMint-NO_2006-05-30.ana.ud2641e1112	I fully agree that we need a new regulatory framework in place, and that there is an urgent need to do that work. Therefore, any proposals will be made in the spring 2007 session. I would like to say to me that it is quite crucial what conclusions a draw in the evaluation of the project and the pilot scheme we have now had. It is simply too early to say anything about the concrete conclusions to be drawn.
ParlaMint-NO_2006-05-30.ana.ud2641e1119	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2006-05-30.ana.ud2641e1124	We who come from the districts have a close and strong bond with the nature in which we live. Closeness to nature is one of our strongest advantages. But bureaucrats and people in Oslo – and also in this room – have placed a number of restrictions on the possibility of using and exploiting this nature. The government wants people to live where they want to. If that's possible, two factors are especially important. One is work, and the other is well-being. The use of snowmobiles is well suited as an example to describe this. Namsskogan and Røyrvik are two small, nutrient-poor municipalities in Inner Namdal in the North Trøndelag with negative population development. Both municipalities have large outreach areas. They launched their scooter project at the same time as the national pilot project on the Motorferls Act was launched. They have been working for several years to create a snowmobile for recreation. The measure is seen as one of the most important single factors for a viable whole-year business life in the municipalities. At the same time, they experience strong competition from Sweden. The actors do not want here a release of motorised travel in the field, and the wish for a legal basis according to the law of the plan and of the building can not be described exactly as a release. Run along forest roads and common roads, which both increase safety and reduce natural interventions. It does not therefore affect areas defined as wilderness. These are measures that are also important in relation to the other factor: well-being and housing. An offer of recreation with snowmobiles is seen as an important factor in wellbeing and an argument for housing in all age groups. Older people also see this as an opportunity to get into nature and enjoy the experiences it can give. And disabled people can feel safer driving on ready-prepared runs. We in the districts understand that such a change needs to be carefully assessed and that the project needs to be carried out in sufficient time. At the same time, such projects must not be too late. I believe that the proposal of the Progress Party has been completely rejected, as it is already well known. In fact, such a decision may delay the whole process. What is important now is that those responsible get the speed up, and that the government is fast on the trigger when the report is presented.
ParlaMint-NO_2006-05-30.ana.ud2641e1139	Motorized travel in the outfield is quite a source of interest out in District Norway, which was the last speaker. There's a lot of illegality around this, so it's important to get a little bit of speed in a new review of the law. I can refer to a case from Åmött Municipality that is quite interesting. Against the municipality of Hedmark is perhaps the defence municipality no. 1st@item: inlistbox There, a field of fire has been built that affects the environment in the region. Here is also a landowner, with a land that is completely adjacent to the shooting area, who wants to establish an off-road auto-offroad centre. It's part of a regulation plan, and it's part of the entire nutrition campaign in Åmött municipality. The centre is now powered by a dispensation. This case has now been pending between the county and the landowner/municipality for three to four years and, according to the landowner, the base of the case has become 45 cm high. This is an example of how difficult it is to achieve nutrition development in District Norway, and it is an example of how much conflict one can create out of such a case. In the vicinity of this shooting range, I don't think anyone will claim that you'll ever be able to sell peace and quiet as a product. Here, everything should be right for you to be able to make just such a professional off-road centre. The matter now stands here: the municipality stands on its own – it stands together with the landowner – and wants development, while, as far as I know, the County and the Ministry of Environment are just as hard on their own. Here it is just shown that local politicians know how to take responsibility. They have designed a regulatory plan. They have put this in a business perspective in the municipality and want a development – and are thus stopped. Now I understood the Council of State so that a conclusion will be presented about these experimental municipalities during 2007. My recommendation is that we go for proposal No. 1, made by the minority. Then an evaluation is carried out quickly, and a positive development may be achieved in the form of developing motorised outland traffic.
ParlaMint-NO_2006-05-30.ana.ud2641e1150	This case has much in common with case No. 1 before today. This is about rural policy, and it is about quality of life – but quality of life under responsibility. In many municipalities engaged in tourism, agriculture and construction, snowmobiles are well used. Especially for the tourism industry, an extended permit for snowmobile riding will be a large plus. Today many travel to Sweden and drive there. They hire themselves, buy services of different kinds, and spend a lot of money. This marks, for example: Trysil in Hedmark, where demand is high, but where offers are not available. Then you travel a few miles into Sweden. This means that we lose jobs and income. It hampers a good rural policy with a wide range of services, thus enabling it to increase tax revenue. In this way it would be thought that other parties would support the proposal – perhaps the central party is the party that should have supported it the most. It may appear that this document No. The 8 proposal does not get a majority in the Stortinget. It might look like everything that's going on is fy. All this motorsport and motorcycling stuff is too many a big hobby. I can mention that the event Gatebil, in Våler in Solør, this weekend gathered approx. 17,000 spectators. You have to look for other events that gather so many people out in the districts for a long time. Back to the proposal: a yes to this will stimulate the various activities, which in turn will lead to good rural policy and good quality of life. Finally, some of the speakers have mentioned bar-landing. That's not what this is about. There is no great desire for freer use of this type of driving. Here's the winter/snowmobile ride it's all about.
ParlaMint-NO_2006-05-30.ana.ud2641e1163	Several have not asked for the floor on case No. 3rd@item: inlistbox The size goes to voting. [[Fooding, see page 2456]] If the representatives sit down, it's easier to keep track of where they are.
ParlaMint-NO_2006-05-30.ana.ud2641e1175	Then it seems that the Storting is ready for voting. However, the President will ask the representatives to come and sit when voting is called. Now we have used four minutes – unnecessary if everyone had been sitting in advance. That's why we're calling a little earlier, so we'll try to save the Storting for waiting while someone makes sure that the Storing is properly composed.
ParlaMint-NO_2006-05-30.ana.ud2641e1183	Three proposals have been put forward during the debate. It's proposal No I, by Mr Lien, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Verification of Credentials
ParlaMint-NO_2006-05-30.ana.ud2641e1208	It is then voted on the proposals of the Right and Christian People's Party.
ParlaMint-NO_2006-05-30.ana.ud2641e1253	Two proposals have been put forward during the debate. It's proposal No I, by Mr Solvik-Olsen, on behalf of the Group of the Party of European Progressive Democrats and of the Right, no. 2, from Ketil Solvik-Olsen on behalf of the Progress Party
ParlaMint-NO_2006-05-30.ana.ud2641e1278	Proposal No. 1, from the Party of Advancement and the Right, says: ‘The Government is regularly asked to review Norwegian environmental requirements in relation to the international competition of Norwegian companies in other OECD countries, and to present this review in the Government Environmental Policy and State of the State’.
ParlaMint-NO_2006-05-30.ana.ud2641e1309	Two proposals have been put forward during the debate. It's proposal No 1, by Torbjørn Andersen on behalf of the Progress Party, Right, Christian People's Party and Left Amendment No. 2, from Torbjørn Andersen on behalf of the Progress Party
ParlaMint-NO_2006-05-30.ana.ud2641e1334	Proposal No. 1, from the Party of Advancement, from the right, from the Christian Party, and from the left, says: ‘The Government asks the Government to bring an action for the completion of ‘Motor trade and society’ [[MoSa]]
ParlaMint-NO_2006-05-30.ana.ud2641e1369	There is no record. Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? – The meeting has been cancelled
