ParlaMint-NO_2006-05-24.ana.ud2089e24	The representative, Ms Eriksen, will make a private proposal.
ParlaMint-NO_2006-05-24.ana.ud2089e1302	I agree with the representative that the gift-enhancing system is a good arrangement. It motivates businesses or rich people to give gifts to research. This means that the state participates in this fissure layer. This item was significantly under-budgeted. Nor was it so unnatural all the time there was an entirely new order that had been set of 50 million. Add kr. It turns out that especially the University of Bergen, through Mohn's generous gifts, has received considerable funds that we have to follow up on by the state. It has been possible through the redeployment of the Research Council, because there are unused funds in the Research Council – which, of course, will go to research projects when these projects are in progress – and these funds have been redeployed in a way that makes them account for being used in active research. This means that through this operation we get more active research, especially in medicine, which has been a priority area from Mohn, which has given great gifts to the University of Bergen. We will come back to the budget when we get to the ordinary budgetary process, but I can assure the representative that the gift-enhancing system will be continued, and that there will be more money for research next year.
ParlaMint-NO_2006-05-24.ana.ud2089e1315	I am delighted to ask the Minister for Employment and Inclusion the following questions: ‘The undersigned has received a number of enquiries from people around the country who experience an unprecedented length of proceedings in the social security system. Today's trial period is 8 months or more. Many have waited more than 9 months after they contacted us until the enquiry was answered, which is perceived as very unworthy. Some users are at risk of being referred to economic social assistance during the waiting period. What concrete action will the Council of State take against the social security system with a view to reducing the duration of proceedings?’
ParlaMint-NO_2006-05-24.ana.ud2089e1324	The social security system dealt with nearly 4.6 million cases in 2005. The term of office shall be followed up on a continuous basis. Within most social welfare areas maximum time limits have been laid down. In most cases, the procedure takes place quickly, and faster than the maximum time taken to deal with it. The number of cases where the duration of treatment exceeds the maximum level has been halved since January 2004. While the total number of cases across the external border in January 2004 was 9,744, or 2,1 per million of all cases, the corresponding figure in January 2006 was 4,958 cases, corresponding to 1,1 per million of all cases. There is therefore no basis for claiming that the social security rate is generally characterised by unimportant lengths of proceedings. However, in some cases the maximum limits laid down may be exceeded. The reason for this may be that the issues here are complicated, and that it takes a long time to provide documentation. The documentation shall be obtained from different treatment providers, employers or from the user himself. The social security system has also placed considerable emphasis on ensuring that the use of instruments is adapted to the user’s situation. This may also be a reason why the treatment of individuals takes a long time. It is important that proper processing is carried out in the shortest possible time. The social security system is constantly working to speed up the process. Information to the public, training, development of new IT solutions and development of social security legislation will help to speed up the process and make it more effective. This work has produced good results. On 1 July 2006, a new seat for employment and well-being is hereby established. By 2010, a first-line service shall be established in all the municipalities of the country, where the state budget and the municipalities form part of an obliging contractual partnership to establish joint local employment and welfare offices. An important ambition in this work is that organisational coordination and efficiency improvements and new forms of work should result in better, more efficient and user-oriented management.
ParlaMint-NO_2006-05-24.ana.ud2089e1335	I thank you for your answer. It is true, as the Council of State is concerned, that many of the cases are moving quickly, and it is also correct in the statistics referred to by the Council of State in its reply, but there are still a good number of people who experience their proceedings as unworthy. I received an enquiry at the latest today from a person who had been informed by the social security office that it would take four months before his/her case could be dealt with. There have now been more than nine months without a response from the social security office. When the person calls down to the social security office, he is told that it takes the time it takes. At the same time, there is a principle that social security offices are trying to ensure that they are given priority without income. In many cases it does not. In what way will the Council of State follow up, so that they receive more rapid treatment without income, so that they do not face the unworthy situation of having to go on economic social assistance during the waiting period?
ParlaMint-NO_2006-05-24.ana.ud2089e1344	I think you're going to be humble compared to that of course that's how you treat 4.6 million cases in a year. I think it would be very wrong for me to stand in the Storting and say that I feel a hundred percent sure that all of the 4.6 million cases are dealt with as they should. This is a system that, of course, is based on everyone doing their best every day. That even in the social security system can happen human error, I have no doubt. I think it's very difficult to build a system that allows you to be sure that one in 4.6 million feels like you're not getting a good enough treatment. It's important for me to say that we're going to do what we can all the time, and not rest as long as there's someone who's dissatisfied. But when you try to draw a picture that this is a general situation, I have to distance myself from it.
ParlaMint-NO_2006-05-24.ana.ud2089e1353	I thank you again for the answer. Let me stress that I'm not trying to draw an image of that this is a general situation. I am trying to address a problem that has been addressed by some people. I think it's starting to be a good deal of enquiries about this, but I haven't compiled any statistics on the percentage of requests I've received, based on the 4.6 million issues that are being dealt with, as the Council of State said. The Council of State also mentioned the need to establish a new labour and welfare management system from 2010, NAV, and that it is starting to be put in place as early as this year. The Council of State also stated in its reply that the Government will do everything it can to prevent anyone from experiencing a long trial period and an unworthy meeting with the public. Then my question becomes, how does the government want to do it? How will NAV be prepared to be better equipped to meet such requests than is the case in today’s organization?
ParlaMint-NO_2006-05-24.ana.ud2089e1364	As I said in my answer, I think we're on the right track when we've halved the number of things in a year, things that have been waiting for longer than the limits that are, would suggest. The development is going in the right direction. It's important to have as a starting point. I would like to say that what is the purpose of NAV is more at work, less at benefit. It is also very important for me to stress that there is a user-oriented service, with the user in the center. I know that NAV is now putting a lot of emphasis on organizing their premises in such a way that they should just be user-oriented, user-friendly. Fewer administrative procedures shall be local, more of the user-oriented follow-up local. I experience an organisation in NAV that is very focused on what I think Eriksson and I have as common goals, namely that as much as possible should get the best possible response in the shortest possible time.
ParlaMint-NO_2006-05-24.ana.ud2089e1377	I allow myself to ask the following questions to the Minister of Justice: ‘In North Light on 28 April it appears that the three-year-old module prison in Tromsø has suffered major leakage injuries. The modules were intended as relief during upgrading and extension of Tromsø prison, but the rescue queue allows the modules to remain in use. Regional Director Asbjørn Roald states to Nordlys that ‘It is totally unthinkable that the module prison can be used for another winter season without extensive remedial work being carried out’. What will the Council of State do to ensure that the 14 module cells can continue to be used in the process of cooling?’
ParlaMint-NO_2006-05-24.ana.ud2089e1386	When the module prison was set up in 2003, it was for temporary operations in the construction phase in connection with rehabilitation and new buildings at Tromsø prison. The module building was intended to last for one year and would ensure a minimum reduction in the number of prison sites while the rehabilitation work was under way. However, the housing queues have led to the construction still in use. The foundation work did not aim for the building to stand for several years. Nor was any separate roof construction set up over the containers due to the originally planned short operation. The building, as the representative of Aspaker correctly points out, has suffered major leakage damage. It is therefore necessary to introduce maintenance measures now. When the leak damage was cleared, State Building was engaged to look at the extent and to map them. A modular prison construction report was drawn up, in which they concluded that the measures to be taken to ensure that the prison is in a proper state of detention. Total estimate for necessary rehabilitation is about 1 million. kr. The permission to enter the module prison in 2003 was granted by the municipality of Tromsø for a limited period of time. It runs out at the turn of the year. The condition for the temporary contract of use with the municipality of Tromsø was that this should be a temporary measure. The Ministry of Justice aims to continue the use of the module building as long as it is a propellant queue. One aims to implement the necessary maintenance and to send an application to the municipality of Tromsø to extend the use of the building.
ParlaMint-NO_2006-05-24.ana.ud2089e1397	I would like to thank the Council of State for the answer. In a situation where each cell counts, especially in the situation in which it is in the case of custody, it is very important that these 14 enclosed spaces can still be used. I'm familiar with the construction just having to stand for a year. It has now lived considerably longer than that, and therefore it is important to get it repaired. So I just have to note that the Council here follows up in a satisfactory way, and I think that is very good.
ParlaMint-NO_2006-05-24.ana.ud2089e1406	Does the Council of State want the word?
ParlaMint-NO_2006-05-24.ana.ud2089e1409	I just want to thank Mr Aspaker for his comments. At the same time, I would like to point out the commitment just shown by the representative Aspaker to the need for places in the north. It makes it imperative for us to maintain the capacity of Tromsø.
ParlaMint-NO_2006-05-24.ana.ud2089e1416	Question 12 has already been answered.
ParlaMint-NO_2006-05-24.ana.ud2089e1423	‘The regional health contact forums for drug users have developed common guidelines on the admission to drug treatment in healthcare establishments. These guidelines state that patients with serious drug problems who are not expected to benefit from treatment should receive municipal care rather than specialised treatment. Does the Council of State think this is in line with the aims of the drug reform and the goal of giving everyone who wants it an opportunity for a restless life?’
ParlaMint-NO_2006-05-24.ana.ud2089e1430	As a result of the drug reform, regional health businesses were given responsibility for multidisciplinary specialised treatment for drug abuse as of 1 January 2004. This gave drug-dependent patient status in line with other specialist healthcare patient groups, and it was also absolutely necessary. As of 1 September the same year, some general changes were made to the Patient Rights Act. Firstly, there shall be a right to assessment within 30 working days and, if entitlement to the necessary health care is granted, an individual time limit shall be provided for when to start treatment at the latest. These changes to the Patient Rights Act also included drug addicts. An important objective of the drug reform was to link the responsibility for the treatment of drug addicts with the responsibility of the other specialist healthcare services. The goal was, among other things, to improve interaction between the drug field and other specialist health services. Experience so far shows that there are still considerable differences between health regions and within health regions as to how patients’ rights are practised. Figures show that the proportion of drug addicts entitled to the necessary health care varies from less than 50 pst. and up to 90 pst. between the five health regions. I would like to mention, for the record, that such differences are a general problem for all kinds of specialist health services, not just for drug addicts. This is not good enough! Therefore, this year’s ordering document to the regional health establishments — and the national health plan which was sent out at yesterday’s consultation — called for action to be taken to ensure a more consistent allocation of the right to necessary health care. It is positive that regional health businesses have merged to achieve this. I have recorded that regional health companies in their work in this field have created reactions and debates, which include: reflected in a headline in the newspaper today. The Ministry of Health and Health has recently met with regional health businesses, where we have been briefed on the process that has been involved in the development of these guidelines. In this respect, the Ministry has pointed out the importance of making the assessments in a legally correct manner in relation to patient rights and the priority regulation, precisely in order to meet each individual needs for services. I assume that this is also a practice for the individual drug addict who is referred to the specialist healthcare service. Drug addicts, like all other patients, should be able to assess their need for health care and should receive the specialist health services they need and are entitled to. It is the responsibility of the specialist healthcare service to provide equivalent healthcare to this patient group as well. Of course, we should not have a system that leads to those who have the greatest need for treatment not getting help. This would be contrary to what this government wants to achieve. The noise field is a high priority area. As you know, in this year's order document, I have asked that the percentage growth in resource use in our hospitals be greater in the case of drugs and psychiatry, than in the case of somatics. Finally, I would like to mention that the Government will present a separate action plan for the drugs field, in order to further strengthen its efforts in this important area.
ParlaMint-NO_2006-05-24.ana.ud2089e1447	I thank you for your answer. It is good to hear that we agree on the common objectives in the field of drug care. In the case of guidelines, it is called inter alia: that patients with severe addiction problems who have multiple treatment attempts behind them without significant change should receive care rather than specialised treatment. This means that heavily charged drug users should not be given the opportunity to become drug free because they failed with previous treatment attempts. That, I think, is a moralization towards sick people who do not belong in a modern health service. I think it is alarming that the healthcare system provides guidelines based on a human view that devalues the individual's ability to succeed in changing his or her life. In my opinion, everyone who wants it should, of course, have an opportunity to become drug free. Everyone deserves a new chance. We have a lot of examples that it's useful. There has been written an entire book about people who have managed to get out of heavy drug addiction. Does the Minister of Health agree that drug addicts must be offered treatment in the specialist healthcare service, regardless of whether they have successfully tried treatment in the past?
ParlaMint-NO_2006-05-24.ana.ud2089e1458	The answer to that is yes. Of course, everyone who has problems with drugs, and needs help, whether it's of specialist health care or in the municipalities, depending on what it needs, is going to get the help they're entitled to, in line with all the other patients. Then I'm worried about the great variation that is – and that has been there for a while – between regional health companies. Therefore, I am positive that it is now working to reduce the differences between health businesses, so that there is more equivalent treatment, and that treatment does not depend on where you live. So it's not right for these guidelines to impose that you have to be drug free, for example. It could be that you're not going to be able to be. Individual assessments shall then be made on the basis of which treatment to receive.
ParlaMint-NO_2006-05-24.ana.ud2089e1467	In fact, the guidelines say that the heaviest addicts need to qualify through a care facility in the municipality to receive specialist treatment. For a long time, there has been a political agreement that the waiting time for specialist healthcare assistance should be reduced. The average waiting time for treatment is also significantly reduced following the hospital reform. However, the guidelines for drug treatment state that in many chronic conditions without serious co-morbidity, a ‘wait time’ for institutional treatment could be useful. While health services are working to provide rapid help to patients with somatic disorders, drug addicts and their families will be kept on their piercing legs. This is probably an example of serious discrimination against addicted patients. The recommendation for waiting time is also serious given that drug addicts are at high risk of taking overdoses, which could lead to serious health problems. Does the Council of State consider it useful that addicts risk both life and health pending treatment?
ParlaMint-NO_2006-05-24.ana.ud2089e1476	No, of course I don't mean that. Of course, this Minister of Health and this government believes that everyone who needs it will get help. We have a law, which is also passed by the Storting, which says something about the rights of patients, whether because they are drug addicts, or because they need help in health care for other reasons. So now health care businesses are trying to get more equal treatment. That's good. It is also the case that the guidelines referred to here are to be evaluated after one year, so that adjustments can be made if necessary. But it has to be clear: everyone has to get the help and treatment they need, whether it's in hospitals or in the municipalities. There should be individual assessments, and there is nothing in this that warrants, as some claim, that one, for example. must be free of alcohol in order to receive treatment. Individual assessments must be carried out here. Of course, it's not like we're in charge of a policy where you shouldn't take into account that people are going to get the help they need. Everybody get it, dot!
ParlaMint-NO_2006-05-24.ana.ud2089e1487	I allow myself to ask the Minister for Health the following questions: ‘In order to save money, some municipalities have decided to convert nursing homes into nursing homes. A loophole in the law makes this possible. Municipalities do not pay for medicines and aids. The residents have to pay for it themselves and then get the money refunded from the Rikstrygdeverket. The municipality saves money, but transfers the expenses to the state, and the hospital residents get a different health service from what is intended under the law. What will the Council of State do to change this practice?’
ParlaMint-NO_2006-05-24.ana.ud2089e1496	Over time, municipalities have placed greater emphasis on providing services in their own homes and in municipal housing, while at the same time paying less attention to traditional institutional care. This is partly due to the professional development in the care sector, but it is also, as I understand it, a municipal strategy to make better use of resources. These developments have been supported both in the action plan for the care of the elderly and in the Roadmap for mental health. In both of these plans, it facilitates a large-scale investment in nursing homes. I perceive that this is essentially a legal development that is well-founded on a professional basis. I also believe that it makes sense for municipalities to assess how the provision of the population can be delivered in the best possible way in relation to the use of economic resources. On the other hand, of course, it is unfortunate if the purpose of obtaining maximum transfers from the state is to govern how the municipalities organise their service. As the representative is well aware, a matter of financing and user payment for care services was sent at the hearing of the then Ministry of Social Affairs in March 2004. It is a matter that has not yet been submitted to Stortinget. On this occasion, I can inform you that the design of care and care services and the national funding system for municipal service production are the subject of the Storing Communication on future care services, which is coming to Stortingen in the autumn. Questions about financing and user payment will also be specifically mentioned in that message. Then you will have plenty of opportunity to go even deeper into the problem that I understand the representative is also concerned about.
ParlaMint-NO_2006-05-24.ana.ud2089e1503	I thank you for the answer, but I am somewhat unsure if I have received an answer to my question. Simply stated, there are existing health care centres in existing institutions that are being rehabilitated and defined as nursing homes in order to allow the municipality to escape cheaper for economic reasons. Thus the inhabitants, the patients, the oldest of the oldest and the sickest of the oldest, get a far, far worse health offer. That's the loophole in the law I'm asking if the Council of State will quickly close, so that this is simply not possible.
ParlaMint-NO_2006-05-24.ana.ud2089e1508	I am prepared to go through that matter. We will come back to it, as I said in my main response, in the message we will bring to the autumn. With regard to the scope of the conversion, as the representative is concerned, there is unfortunately no systematic overview of the number of municipalities that have converted their health care centres. As we know, after contact with county officials and from various media postings, it is a handful of municipalities that have decided to convert sick homes into homes with home services, thereby introducing a service-based payment. We are going to go through this properly and try to find out more, and also assess the conditions that the representative Holmberg here takes up. We'll be there, among other things. back to it in the message for the autumn.
ParlaMint-NO_2006-05-24.ana.ud2089e1515	There is no systematic overview, says the Council of State. I don't doubt it this way, I just register that in my home state there are enough of these examples present. That's why I'm concerned that the Council of State is going through this carefully and deliberately. I am pleased with the signals I have now received, and will follow with interest on the matter.
ParlaMint-NO_2006-05-24.ana.ud2089e1520	I'll go through it and get back to Stortinget in a suitable way so that we can discuss it in a broader context.
ParlaMint-NO_2006-05-24.ana.ud2089e1525	Thus, today's map has been processed. Does anyone ask for the floor in accordance with § 37a of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
