ParlaMint-NO_2006-04-26.ana.ud1963e24	The representative Anders Anundsen will make a private proposal.
ParlaMint-NO_2006-04-26.ana.ud1963e1345	The starting point here is that the questioner and I don't agree on the reality description. It is completely impossible to draw the conclusions that the questioner now draws, that the increased free income of the local government sector does not give rise to any more appropriations for school. The NRK has made a telephone call to some principals. In addition, there is a very thorough study carried out by KS vis-à-vis municipalities. These cracks in at least two broad directions: KS’s own study shows that there is clearly more to the schools. We're now in a situation where we've only gotten four months into the new year, and having the sloping starting point that the questioner has when is impossible. And as I said in my main response, we believe that it is those who live in the different municipalities that are best suited to assess where the money is most needed. There we disagree with the Advancement Party. But there's no news, and that's how I think it'll go on.
ParlaMint-NO_2006-04-26.ana.ud1963e1352	It is true that the Government disagrees with the Advance Party. The progress party strengthened the school by 800 million. kr in its alternative budget in relation to the free resources provided by the Government. It's true that we're only four months out in a new year. However, the budgets for the municipal sector were adopted in December, which must indicate that we have a fairly good overview of the impact of the school initiative that the Government has claimed to have. Does the Council agree that if it turns out that there is no school effort, other instruments will be assessed at the time of the examination of the budget for the autumn, or will it stop saying that the government is paying at school and that it is up to the municipalities to choose whether to bet at school?
ParlaMint-NO_2006-04-26.ana.ud1963e1359	First of all, I understand that the Progress Party is concerned about the situation in Norwegian school. The problem for the Progress Party is that they have systematically given a majority of the appropriations that Norwegian municipalities have had for the last four years, and are therefore responsible for the fact that the situation is as it is. And that it is very demanding for the Government to correct the situation the Progress Party has brought Norwegian schools into, I agree. We also feel very confident that the increased appropriations that the new government has now secured for its municipalities will lead to a better school. There is a need, because for four years the Progress Party has systematically given a majority to a different policy.
ParlaMint-NO_2006-04-26.ana.ud1963e1377	This question has been postponed to the next question hour.
ParlaMint-NO_2006-04-26.ana.ud1963e1384	I allow myself to ask the Minister for Employment and Inclusion the following questions: ‘It is granted a total of 3,6 billion. kr to special labour market measures in 2006. This is a key element of labour-oriented action against poverty, and therefore the funds need to be used in line with the objective. Special labour market measures are now offered at a lower price than expected, and it is therefore possible to have more than 26 300 action places for the amount allocated, cf. St. pp. No 1 for 2005-2006. Nevertheless, Aetat refuses to purchase more than that number of places. Can the Council of State ensure that the full allocation will be used as foreseen?’
ParlaMint-NO_2006-04-26.ana.ud1963e1393	The need for labour market measures for disabled persons is assessed, inter alia: from inflows and the number of job-impaired jobseekers registered in Aetat. Vocational rehabilitation, including labour market measures for people with disabilities, has been an important instrument to stimulate increased professional participation by shifting public resource efforts towards follow-up and activating arrangements to prevent long and passive social benefits that often end up with permanent exclusion from the labour market through unearthed retirement. Furthermore, vocational rehabilitation is a central element of the Government’s work to combat poverty. As the questioner says, for 2006, funds corresponding to an action level of 26 300 places have been allocated on average under labour market measures for disabled persons. Aetat has been given a great deal of freedom to assess which measures are appropriate and necessary for individuals to get into regular work. On the basis of an individual needs assessment, the measures in question may, in some cases, be costly, while in others less costly measures are considered as more relevant. The objective of the action is to use the most appropriate measures within the framework and guidelines resulting from the Ministry’s budget proposal and its treatment by the Storting. The Government will re-assess the need for labour market measures for people with disabilities in the context of the revised national budget for 2006, inter alia. in the light of the implementation so far this year and the number of persons with a disability registered in Aetat.
ParlaMint-NO_2006-04-26.ana.ud1963e1402	I thank the Council of State for the answer. He was aware that there was a great influx. I can tell you that today there are 27,900 people in line to get a seat in a rehab company, and this queue is slightly increasing. Among these people, there are many drug problems, with mental distress — many have disabilities of varying degrees, and many have been out of work for a long time. They need, for that reason, help to get back and get into activity. But they stand up for'morran', they're motivated for activity. The election vows of the government parties gave these people reason to believe that they would be given higher priority by a red-green majority government. Does the Government consider that a reduction in the appropriations for special labour market measures is compatible with the Government's commitment to prioritize the weakest and the poorest first?
ParlaMint-NO_2006-04-26.ana.ud1963e1409	What is the starting point for this budget area is that the red-green government has the same level of funding – as far as I remember – as it had the previous government. The starting point for this allocation is that the money should be spent as efficiently as possible, i.e. in the sense that the measures should be good. But Aetat has great freedom to sew the measures together in such a way that they are individually adapted to individual needs. We're aware there's a queue here. Fortunately, that queue has become smaller than it has been. So the number of people in line has gone down a little bit. But the starting point is that Aetat has a great freedom to sew the measures together.
ParlaMint-NO_2006-04-26.ana.ud1963e1416	I thank you again for the answer. However, I am constantly told that people who do what the Council of State is doing stand up for ‘morran’ and go to an activity, must break in the middle of an action chain. Last night I received a message from my own county, from Lillesand Products, that there will be a significant reduction in the number of seats in the AMB and in the APS in the second half of the year. I get the same message from Oslo and Sogn and Fjordane. This is about the quality of life of these people, who are the weakest and those who need the most. I believe it is wise – and we agree on this – to focus onreduction measures. But based on the quality of life of individual and socio-economic considerations, how will the Council of State explain that the Government does not want to use the amount allocated to special labour market measures to maximize the number of places?
ParlaMint-NO_2006-04-26.ana.ud1963e1423	I believe that the starting point for the order to Aetat is that they should get the most out of the amount that they have given. Of course, it'll be the government's order for Aetat in this context. As I said in my previous reply, the level of appropriations we now have is, in line with the Christian People's Party itself, proposed as a level of appropriations for this year. In this way, the new government and the previous government, this Council of State and the previous Council of State, which the Christian People's Party should know well, have been fully in agreement. But, as I said, we are going to have a review of this issue in the revised national budget, which will come to the Storting in a very short time.
ParlaMint-NO_2006-04-26.ana.ud1963e1434	I want to ask the Minister of Culture and the Church the following questions: ‘Norwegian Tipping turnover has been significantly reduced in the last year, while shops are still in place, etc. who wish to become commissioners, such as: Roll trade in Hedmark. Would Norwegian Tipping consider increasing the number of commissioners and thus also help to ensure that the local shops are more likely to survive, as well as that more people will be able to play?’
ParlaMint-NO_2006-04-26.ana.ud1963e1443	I thank you for the question. The Norwegian Typing commissioners have an important task as intermediaries of games offered under the direction of Norwegian Typing. Norsk Tipping is, as you know, a state-owned gaming company where the Ministry of Culture and the Church is responsible for the overall management of the company and the development of the rules of the game offered by Norsk Typing AS. Contracts for setting up commissioning networks are part of the Norwegian Tipping business, which is managed by the company itself. The establishment of new commissioners is therefore based on commercial criteria. Norwegian Tipping AS makes an overall assessment of, among other things, Goods turnover, number of customers, trading patterns, expected turnover and distance to the nearest commissioner – that is what is being taken into account. ==References== 950 by Norsk Typings 3,955 commissioners are so-called local shops/outside shops. These stores represent 24 pst, i.e. one fourth, of the Commission mass, but they have a sales share of approximately. 10 pst. Of the 950 edge shops, approx. 300 directly linked to the so-called ‘MERKUR’ programme, which is a state-supported programme of competence development in the edge shops. This programme establishes Commission agreements which do not focus on commercial reasons. I would like to stress that Norwegian Tipping AS is busy providing good service to its players, including in District Norway. Norwegian Typing thus takes district considerations within the framework of which the consideration of sound business operations allows. The company has assessed applications for commissionership from Velta Handel on a number of occasions in recent years. The applications have been evaluated in the light of the above criteria for setting up Commissioners and have been rejected. Velta Handel has also been evaluated through the MERKUR programme, but with the same results.
ParlaMint-NO_2006-04-26.ana.ud1963e1456	I thank the Council of State for the answer, which was informative and good, but of course it lacks something, and that's more yes-mentality. It's clear that you have to have the business here, but at the same time there's a little responsibility for us as politicians and maybe also as government bodies when you think about some district policy at all. Norwegian Typing goes with a good profit, and you divide out of the surplus for many cultural purposes, sports purposes, etc. – we all know this – but maybe there should also be a small district profile in this. Often this is about older people without a car, without a good collective offer, who lack an offer to play in their community. The local store also loses a lot of customers, because when you are going to travel and tip and there is no tap option in the nearby store, you do not act there either. There is a loss-loss situation for everyone when there are so many shops that want to be commissioners, but unfortunately they are not allowed to be so, even if you do not get into the MERKUR programme.
ParlaMint-NO_2006-04-26.ana.ud1963e1463	I have considerable sympathy for the thinking behind the question of the representative, Mr. Bredvold. It's like having good services close to where you live is a basic value to people. That's why our government has a very clear goal of having an offensive district policy, which ensures it. As far as Norwegian Typing is concerned, one of the premises in the representative’s question is that Norwegian Typing’s turnover has been significantly reduced in recent years. Now there is a truth with modifications, but at least it has not grown – it has been quite silent. One of the reasons is that other types of games, on the Internet, in the automation industry, etc., are now growing very much. I think the best thing we can do to ensure good sales in Norwegian Typing, and therefore many commissioners in the districts, is to limit the other games. I hope that at least there can be a contribution that the representative of Bredvold can help to support just building up under the district commissioners of Norsk Typing.
ParlaMint-NO_2006-04-26.ana.ud1963e1470	I thank the Council of State for the answer. Both the government council and I were at the annual meeting of Norwegian Tipping at Hamar a while ago. A few days earlier, Hedmark had a visit from Siv Jensen, the Progress Party – we also chose to visit Norsk Tipping that time, so we spend a lot of time doing this. I mean it's a win-win situation for everyone if we have more commissioners, even though some commissioners may not be going with as much profit as the big ones. This is a win-win situation for the players, by giving more people the opportunity to play and maybe not go online and use the option, but use their local store. I think it's a win-win situation for commissioners -- I think it's for Norwegian Typing, and not least for those who're going to get a share in the profits. I hope that the Council of State, together with me and others who want a strong district policy, will also look at the small commissioners, so that they can have a chance to participate in this. I think this will help to make the districts survive, because there is also an opportunity to play on something as innocent as Norwegian Typing's game.
ParlaMint-NO_2006-04-26.ana.ud1963e1479	I'm for all the things that can make it viable in the districts. That's why we have an active district policy, and Norsk Typing is busy with its customers in the districts. But Norwegian Tipping does not live in a vacuum, they live under any framework conditions. I believe that the following framework conditions are needed for Norsk Tipping to have as many commissioners as possible in the districts: First of all, there must be many people living in the districts. This means that there must be jobs in the districts. This is achieved, among other things, by: with an active agricultural policy and a policy for primary industries. There's the government, I think, a very offensive policy, compared to the questioner's party at least. Secondly, we have to limit the other games, the ones that are on the Internet, the ones that don't give profit for charity purposes, and that are now taking turnover away from Norwegian Typing. For the more people play in Norwegian Tipping, the more profitable it is to have commissioners in the districts. It is these framework conditions that really determine how many people in the districts who get Norwegian Typing's offer in their local store. If you think you can compensate for dramatic changes in the framework conditions, with negative signs for the districts, for example. subsidizes commissioners or obliges Norwegian Typing to have them in small shops without people around, I think you're wrong.
ParlaMint-NO_2006-04-26.ana.ud1963e1494	I allow myself to ask the Minister for Health the following questions: ‘The media has recently raised several issues in which psychiatric patients commit serious acts of violence with death as their ultimate consequence. The undersigned looks with scepticism at today's practice, where patients are discharged after a very short period of time. Will the Council of State now look at current forms of treatment and security measures for vulnerable groups with a view to establishing better practices and interaction within the psychiatric health system, so that professionals and society as a whole can feel safe?’
ParlaMint-NO_2006-04-26.ana.ud1963e1503	Events referred to here are very tragic. For the sake of people who are suffering from mental illness and for the sake of treatment, I also feel the need to remember that there is only a very small proportion of criminal acts associated with mental illness and mental health protection. Only a small proportion of those with a psychiatric diagnosis are considered to have a serious disorder. Of a total of about 21,000 convicted crimes in 2000, only 18 were committed by persons judged to be unreliable. Out of 53 people sentenced to death, six persons were considered unpredictable following a legal psychiatric assessment. This is according to numbers from the forensic commission. I also think that as politicians we have a responsibility not to create stigmatizing attitudes towards a group of people. This leads people with, in this case, mental disorders can get an even more negative self-image. We should all contribute to information that most psychiatric patients are not dangerous. The health service is responsible for ensuring that people with mental illness receive the services they need. The question invites you to comment on the assessment of danger, and to deal specifically with dangerous and unstable people, which I will now do – because this is something we also take very seriously. If there is a suspicion that persons with serious mental illness represent a hazard to themselves or others, mental health protection has a responsibility to treat their suffering and also to assess the risk to other people. Routines and cooperation between the police and the health services and between the hospitals and the municipal auxiliaries have not been good enough in many places. I think that's quite obvious. The Directorate of Police and the Directorate of Social Affairs and Health have now established a permanent cooperation forum where they meet every quarter, and they are in the process of concluding a joint circular which provides guidance for cooperation between health services and the police. I believe that this is essential in order to prevent dangerous actions and also to be able to take care of those who are ill. I can also inform the representative Giltun that we now have a work going on, a cooperation between the Ministry of Health and Welfare and the Ministry of Justice, to look at offers that are better than what we have today, and that we can give to people who fall a little between two chairs, and who need slightly different offers than what we can offer today. The vast majority of people with severe mental health disorders live daily in their homes in the municipalities. Large resources are used both in municipalities and at specialist health services, while emphasis is placed on empowerment and research. That's absolutely necessary. Regional health establishments have been asked to establish contact with relevant responsible bodies at regional level. I have been informed that several health companies and municipalities/urban areas have concluded cooperation agreements concerning the treatment of patients in their area of exposure. Furthermore, in a 2004 circular on printing practices, measures are listed to ensure comprehensive treatment for patients. It is also vital that individual patient plans are developed to ensure interaction on services for the patient – that people are not just printed out without knowing that they are being followed up, if necessary. I believe that systematic efforts and good cooperation practices between agencies are very important. We see, for example: in Oslo, a permanent established cooperation between police and psychiatry, and a cooperation between Health North and the state lawyers in the Nordic countries and in Troms and Finnmark. Self-training of personnel in all asylum recipients has now also been carried out in order to improve competence in relation to risk assessments. Finally, I would like to stress that assessing a patient's danger to himself or others, unfortunately, according to professionals, is not an exact science. Competence settings in Norway and in other countries are constantly testing the tools available to make assessments even safer. Competence centres for security, prison and judicial psychiatry provide regular training for psychologists and psychiatrists – acute psychiatry and security psychiatry – in order to assess the risk of dangerous behaviour and how to avoid aggressive outbreaks. The medical association is now also working with its own supervisor in relation to the treatment of dangerous patients. I believe it is important that professionals who are in contact with potentially dangerous patients should be safe. I will therefore contribute to the evaluation of existing information and guidance material for health professionals and ensure that it is properly implemented at all stages. In particular, it has proved difficult to predict the danger of patients who have not previously reacted to violent behaviour, as we have seen examples of recent times. According to professionals, suffering can occur acutely or develop over a very short period of time. That means that even with careful investigation, the psychiatry doesn't do 100 pst. the safety of identifying all patients who may represent a risk to others. This is therefore a central element in the evaluation of this group of patients that we have to keep high all the time. In the 2004 circular on printing practices, the procedures for outsourcing from the psychiatry are more precise, including: by assessing the need to carry out formal hazard assessments for each individual. In the 2006 health business order document, I have stressed that the provision of treatment to people with mental illness should be stepped up, and all regional health businesses should review, during the first decade of this year, the provision of emergency services to adults to ensure that availability and quality are maintained. I mean to have told the health care companies about that, and that the number of bed places needs to be assessed and adjusted, because we see that there is a group of people who are not well cared for in the system we have today, and who probably need more treatment than what we do per. Today is able to give.
ParlaMint-NO_2006-04-26.ana.ud1963e1529	I thank the Council of State for the answer, which contained a lot of signals that she considers it important to work on these matters. There is an increase in such cases, and there have been very serious events once something has happened. It'll be completely wrong to calculate an average of all criminal acts. These are tragic events that often hit either close persons in a family or completely random on the streets, so it's important that they follow up. So to this with risk assessment. We know we have too bad measurement indicators. In the case of women, and not least ethnic minority groups, according to a Swedish study, there is no risk assessment of those groups. Here you might want to bet on more research. I hope the Council of State will support that. This rapid printing is a major problem, and also with communication between local authorities, doctors and other agencies to follow the patient further. It is also a danger if a patient himself is allowed to choose whether to have a follow-up offer. There should, of course, be a requirement for risk assessment and for the patient to comply with the recommendations. I hope that the Council of State will back it up.
ParlaMint-NO_2006-04-26.ana.ud1963e1538	I can just repeat that some of the events we've seen in recent times are obviously very tragic. You have to always strive to do everything in your power to try to avoid such events. I have confidence in, among other things: the work of the State Health Directorate and the Police Directorate. They come out with a circular in a very few days, simply with guidelines on how this cooperation is going to be done. In this context, there is a need to have a framework for risk assessment, which the representative is involved in, and a framework for monitoring each individual if necessary, in the municipality or in another treatment provision. I think that is quite obvious. I also believe that interaction, which the representative is concerned about, is unfortunately not always enough today. So professionals – I repeat it – say that it is not always easy to predict what can happen, but at least you have to make sure that as far as possible.
ParlaMint-NO_2006-04-26.ana.ud1963e1545	I just want to end by saying that I'm satisfied with the answer so far. I hope that the Council of State will follow up this development, because it is in development that we see whether we succeed in the actions that are being undertaken. It is said that when such serious events occur, you should never take up a case when an event happens. It's going to be very difficult as evolution has been. These events have occurred so frequently that it becomes difficult to avoid linking them to something in particular. I have chosen not to mention any events, but there are so many serious things that have happened, that this I expect the Council of State to follow up now.
ParlaMint-NO_2006-04-26.ana.ud1963e1550	I can only confirm that this is also I, on behalf of the Government, very concerned. Obviously, we're looking at what's happening and what's happened, with the greatest seriousness, and we're going to follow up as best we can.
ParlaMint-NO_2006-04-26.ana.ud1963e1555	So we're done with question 25 and we should now have taken up question 8.
ParlaMint-NO_2006-04-26.ana.ud1963e1569	In agreement with the questioner, Jon Lilletun, and the Minister for Development, the President proposes that this issue be postponed to the next Question Time. - It's a note.
