ParlaMint-NO_2008-01-30.ana.ud1816e22	The representative Karita Bekkemelm, who has been on leave, has once again taken up the seat.
ParlaMint-NO_2008-01-30.ana.ud1816e1364	My last follow-up question is directly related to the work we are doing towards the EU. When does the Council of State believe that such a directive, if any, may be in place? Because if that is the key to getting further in the fight against this fat, it is also important to know when we have the key in our hands, so that we can inform the consumer. It is essential for us to reduce the risk of cardiovascular disease and, where appropriate, cancer.
ParlaMint-NO_2008-01-30.ana.ud1816e1372	I can unfortunately not answer today just when this is done, because that's what we know not to decide. But what I can confirm is that we have very close dialogue with the EU. We're trying to push. I have personally had several meetings with Health Commissioner Kyprianou on this matter too, so I hope that this will be in place soon. I can't guarantee that, but we're going to try to contribute to it. So we're also now working, for information, to put in place a separate label scheme, first of all, a Norwegian label scheme, so that as consumers we should know more about this being healthy, and this is not so healthy. I hope I can be in place in a very short time.
ParlaMint-NO_2008-01-30.ana.ud1816e1380	I would like to ask the Minister of Justice the following questions: ‘In the evening post on 10 January 2008, there is an article on the lack of review of criminal cases in Oslo. The Oslo police are struggling with large file volumes and a decrease in the clearance percentage. The Council of State has previously stated that Oslo Police should make better use of their allocated resources. What will the Council of State do with the problems the Oslo police are struggling with, and in what way can these be resolved better in the future than is the case today?"
ParlaMint-NO_2008-01-30.ana.ud1816e1389	Initially, I would like to say that Oslo Police District has many challenging tasks, and that the staff in the district are making a great effort to combat crime and solve matters. I believe that the Oslo police district has addressed many of the new challenges in the field of crime in a very good way over the last few years. In recent years, the Oslo police district has seen large increases in budgets to solve these problems. Only from 2007 to 2008 have appropriations increased by 73 million. kr. The percentage of crimes committed in Oslo was per year. 1 January 20.8. On a national basis, the figure was 36.5. That shows some of the challenges - not only with regard to the purely police tasks, but also with regard to the crime scene in Oslo. In line with the police in Norway, the Oslo police district has a particular challenge in resolving winning crimes. That's what's in the low clearance percentage. As of 1 October, the clearance rate was 9.2 p.m., which is too low. The country average was 16.7 pst. It should be added that the share of the Oslo police district in the total gain crime on a national basis is 27 p.m. and that the proportion of the win crimes where there is no suspected or no crime has increased further. People lose wallets and cell phones, and other things are also stolen where you almost have no track to follow. Oslo Police District has a particularly heavy and important role to play in the crime-fighting work of the Norwegian police force as a whole. This is particularly the case in those parts of criminal proceedings that can be characterised as serious organised crime. Over time, the Oslo Police District has been working on a change process within the organisation, in which it is assumed that ‘the proposed organisational changes would improve the exploitation of the overall competence and resources of the police district and provide a more flexible organisation with a view to solving the future tasks of the district, in accordance with the vision and strategy of the district’. Some organisational changes have been made in this process, including: with the establishment of its own strategic staff and a more pure cultivation of the core tasks of the district planning and crime department. However, work remains, among others: in relation to the organisation of police stations where the work on the crime of profits is central. I would like to add here that from the Department of Justice we are now focusing on the issue of the development of the number of police posts in Oslo. It is the government's ambition that we should increase the number of police posts in Norway, and Oslo is here a central area. The police directorate supervised the Oslo Police District in September-October 2007, including the following: the organisation was brought up, which was also the subject of the query. The directorate’s feedback from supervision is now being addressed in the Oslo Police District. The district achieves good results in a number of areas on which it is based. In this context, I would like to refer to examples of the replication project, the replay project and the action against trafficking in human beings, which it has been important for us in the Ministry of Justice to get started. I would also believe that the effort to extend the use of DNA, which is to happen during this year, will help to increase the percentage of intelligence also for the profitability crime in the future. The experience gained in the United Kingdom shows that the clearance of burglaries increased from 14 pst. to 45 pst. where DNA records could be used. I think that's actually the most important strategic approach we can take to get the percentage of information, as the situation is now. There will also be a central funding for DNA analyses, which has been a central requirement both from the Workers' Party and from the Progress Party. This is scheduled to happen from 1 September this year. As the representative of Ellingen is familiar with, it is included in the current year's budget. I have been assured that, in cooperation with the police chief, the Police Directorate will follow up the Oslo Police District Supervisory Report, so that the police district will succeed in its efforts to achieve the best possible organisation that, in the long term, along with the DNA reform, will be able to deliver good results in all areas of criminal justice.
ParlaMint-NO_2008-01-30.ana.ud1816e1408	I thank the Council of State for the answer. The most important tool in Oslo police districts is, perhaps, that they have a lot of good employees. Without it things might have looked even worse. At the same time, it is in the Council’s response that Oslo police districts undoubtedly face challenges as they do. Today, obviously, there is not enough control over it. As I understand it, Oslo police districts have some surplus on last year's budget, which I think is unfortunate, in view of the challenges they have, and the lack of results. I assume that there is something that the Oslo police district itself, the Police Directorate and not least political leadership in the department are conscious - and want to do something about. Those who pay the price for the lack of quality delivered in Oslo are the people who live in this city, and I think that one should focus on further. Of course, when the Council of State refers to a 9.2-declaration rate in the case of winning crimes, it is too low. How does the Council of State continue to look at the possibilities? Is this a management problem in Oslo, or is there any other thing that should be addressed?
ParlaMint-NO_2008-01-30.ana.ud1816e1419	I think that's reason to stress the good results that the Oslo Police actually have. We can very much characterize Oslo as a safe city, where there are an incredible number of good police services. We rarely hear about this in the public debate - it is a good thing when things go wrong, that the police's activities are described. I need to say that the commitment of the Ministry of Justice and the Government to improving the police services in Oslo is not primarily based on the belief that there is a full crisis out there. It's a very good financial management, which has resulted in a profit being drawn from last year, which the representative pointed out quite correctly, into 2008. It's positive -- but there's a cross-thinking in the discussion that there's far too little financial resources in the police district, all the time left is estimated to be over 40 million. kr after 2007. We have many challenges, but our work is mainly based on Oslo showing that it is useful to bet.
ParlaMint-NO_2008-01-30.ana.ud1816e1428	I agree with the last. If we hadn't just had to go home, the whole crowd -- there wouldn't be any solution at all. After all, the point must be to improve governance and management and thereby achieve better goals. I fully agree that there are many areas of good practice in Oslo, but I assume that the Council of State agrees that 9.2 p.m. the resolution of winning crimes is too poor. That means that over 90 pst. of the cases are gone. There are, of course, a lot of things with an unknown perpetrator -- you may not be sure of either place or anything else. But nevertheless, 9.2 pst. reasonably bulky. When you look at it against the fact that Oslo has a significant surplus, which the Council of State has now pointed to, it's a little surprising that you couldn't actually use that money to strengthen the services last year, rather than bring a surplus to this year. I assume that when you budget, both at the time of treatment in the Stortinget and at the time of the preparatory work in the department, you have a plan that the appropriations given will actually be used in that year, and not that they will be transferred to the following year. In that case, a new budgeting system has been put in place which, at least, I am not familiar with. My question is: in what way has the Council of State intended to ensure that Oslo, in line with the rest of the country, will more fully meet the requirements and expectations of the Stortinge, among others. with regard to budgeting and target achievement?
ParlaMint-NO_2008-01-30.ana.ud1816e1440	We have a close dialogue with the police director and also with the police chief in Oslo on the issues that are now being raised. The Oslo police district has a budget of over DKK 1.4 billion. We're concerned about keeping the economy in order, so you don't spend more money than you actually get. And then we see that this year you have a profit. At the same time, it is not larger than that it is permissible to transfer it to next year's operations. Some of that I would like to assume - without having brought complete clarity to it - will be linked to investments, which may have to be paid later. But it is of course important to us that we get the most use of the means that are available, especially at a time when the Oslo police district is under pressure. And I hope that during this year we can just get in place, among other things. clarification of police posts. With several officials out there related to a large recording at the Police College and not least with the launch of the DNA reform, I'm going to -- to say the public -- to think that the money will get bones to go on.
ParlaMint-NO_2008-01-30.ana.ud1816e1451	‘Oslo experiences a massive increase in tagging. The increase has been particularly marked since Oslo City Council decided to create a legal municipal tagging wall. In particular, the tagging has gone beyond Oslo's T-Bahn wagon kits, where cleaning after the intrusion is intended to cost almost SEK 70 million. Tagging leads to sluggishness and is linked by many with insecurity. What has the Council of State intended to do to deal with the problem, and what punishment does the Council of State think is appropriate for those who are being taken for illegal tagging?’
ParlaMint-NO_2008-01-30.ana.ud1816e1458	Let me first say that illegal tagging is some swine. But it is a challenge that not only the Ministry of Justice has to resort to; it is important that many take responsibility for that issue. We're not going to solve the problem of tagging with criminal reactions alone, as the question almost raises. To ensure accurate and up-to-date information on the problem of tagging in Oslo, I had a meeting with a number of representatives from the Municipality of Oslo, including the Progress Party Peter N. Myhre. The leadership of the Police Directorate and the Oslo Police District were also present at this meeting. It was a good meeting. On the part of the municipality, a detailed description of the extent of tagging was given, which appeared to be very serious - with great damage and at my discretion an activity that also helps to give signals externally to both younger and older people about a behaviour towards the community that is totally unacceptable. For this reason, it is important for the Government to prevent better and create security also on the basis of such a problem. Better prevention is achieved through good and strategic cooperation between local actors. In order to strengthen and make the local interaction, the Government actively advocates the establishment of police councils. These are questions that it is natural to attribute just to such arenas there, among other things. top management in the local police district and top managers in the municipality meet. In Oslo, police councils were established in 2007. In the light of good strategic analyses, they shall contribute together to the implementation of actions for, inter alia: prevention of tagging and other forms of crime. In the meeting, the municipality stated that they are aware of their responsibility to prevent and combat tagging within the city’s borders. There has been close cooperation between local authorities, police and Oslo Sporveer over time to tackle the challenges. The municipality has also used guard companies to patrol exposed areas. However, the increase in last year's tagging, especially for the new T-Bahns, made the municipality worried about the resources of the police to meet the problem. There was a perception that the Oslo police in the last few years had not prioritised their efforts against tagging. However, prior to the meeting in the department, Oslo police districts and those responsible for the T-Bahn operation had a meeting where a common strategy was put in place for this. A key element here is to strengthen cooperation between the police operating centre and the Operational Leaders at the T-Bahn. Closer intelligence cooperation and the establishment of contact persons at the various police stations are now also part of this strategy. I think that is absolutely crucial if the police are to succeed in this work. I was reassured by hearing about the organisational steps that are now being taken by both the municipality and the police, i.e. the responsible parties, to tackle this challenge. With the increased resources the police have recently received, including in Oslo, we do not, in my opinion, face a lack of resources. In order to make sure that the cooperation between the municipality and the police works after the intention, I suggested to the parties in the meeting that we meet at the Oslo T-Bahn business - then there will be a T-Bahn trip - to the summer and take a fresh look at the situation. There are also questions about which penalties are appropriate for those taken for tagging. The municipality of Oslo informed the meeting that last year they reported 2 500 cases of tagging. The municipal representatives had a very nuanced view of who was behind this tagging. On the one hand, it is about people from a more militant environment - as was described as - who are acting threateningly and violently in contact with railway workers, i.e. a completely unacceptable behaviour. On the other hand, young boys who are likely to participate in damage works see. I'm saying this because the criminal reactions have to be different. The municipality meets approx. 50 times a year in the Council of Conflict, where they confront the youngest group of tags with the consequences of their actions and make agreements with the offenders. The municipality felt that fines on this group were too spooky, and believes that the process of conflict management is better suited. I fully agree with that. At the same time, the municipality is strongly committed to harsher punishments for the group of taggers who have, over the years, run their socially harmful activities, who organise their activities and actively recruit others, and who resort to violence against tram staff. I fully agree with that. I was impressed by the nuanced views of the municipality on how to punish and respond to tags. I think it's very useful. I join the municipality's view in this way. It is certainly important that you have the opportunity to react in conflict councils, so that people, especially younger ones, among other things. can be set to clean afterwards and wash and clean. In my opinion, it is precisely the law that offers our criminal frameworks and responses that allow such well-adapted responses, whether they be robust prison sentences against key people in the environment, or the transfer of the criminal case to conflict resolution for those who for the first time are doing harm. In this way, I am pleased that we here in the Stortinget, including the Advance Party, have been so eager to expand the conflict management system just to meet this kind of crime, where we give people an opportunity to actively repair damage, and not just passive sit and zone.
ParlaMint-NO_2008-01-30.ana.ud1816e1484	I thank the Council of State for the answer. I have also received an in-depth report from the meeting to which the Council of State referred. But now the Council of State itself avoids the core of the question. It is such that tagging was relatively minimal in 2005. It was thus heavily controlled because of the rapid reaction of the city council to tagging. Then we got the fatal decision in Oslo City Council on 15 March 2006, when it was allowed for the districts to decide to have legal tags. It has led to a huge flowering of also illegal tagging. So a political decision has had that kind of negative impact. I suppose the Council of State has some influence on its party colleagues in Oslo City Hall, and the Oslo Workers' Party was the party most concerned with this legitimate tagging wall. Will the Council of State take the initiative against Rune Gerhardsen in Oslo City Hall, so that the Labour Party turns around in this case and goes against having these legal tags, which the police dislike very much?
ParlaMint-NO_2008-01-30.ana.ud1816e1493	I think we should be careful to give too simple a picture of the reasons for tagging in Oslo. If we think we're going to solve this challenge by reversing a political decision made at some point in Oslo City Council, I think we're all going to be disappointed. It is not that simple a criminal policy. So simple is not the handling of tagging either. I am not sure the conclusions that the representative is now drawing are correct. We have good dialogue with our local party people in Oslo. However, I would rather recommend that the representative of the Advance Party now takes the opportunity to contact, among other things. The People of the Labour Party in Oslo City Government to hear about the good experiences such as: Rune Gerhardsen, in his time, acted as town councillor in the fight against tagging, where good measures were taken that also contributed to the results.
ParlaMint-NO_2008-01-30.ana.ud1816e1500	The City Council, which I mentioned instead, had almost stopped the tagging in Oslo in 2004-2005. The police can confirm that, too. Then there was a decision in Oslo City Council to have a legal tag wall. The consequence of this has become an intrusion, including: Infringement of T-cars, also inside T-cars, which it has cost Oslo Sporveier 70 million. kr to clean only. That's what's the truth. We have also experienced pure vandalism, where someone has thrown ten liters of paint from the level crossing down onto the vehicle train on the move. It's also a consequence of this. When the police today discover people with carrier bags with spray paint, they can't do anything, because they say they're going down to the legal tag wall on Hausmania to tag on the legal wall. Two years ago, they could confiscate this. They can't do that today. Although, of course, not one political decision is to blame, we should not create more problems for ourselves as politicians when the police are already lacking resources, and we are wasting resources that Oslo Sporveier could use to improve public transport in Oslo. It's a simple decision we can make, and at least we can do the best we can as politicians to make it the most difficult to ingrain private property around this city.
ParlaMint-NO_2008-01-30.ana.ud1816e1510	There was no question, so I just heard that the representative Tybring-Gjedde has opinions about discussions in Oslo City Council. Maybe he should address that to politicians in Oslo City Council.
ParlaMint-NO_2008-01-30.ana.ud1816e1518	I have a question to the Brustad State Council: ‘The government wanted active politicians into health enterprise boards to represent the people. When Health East and Health South were merged, a new government was appointed, without political representation from Eastfold and Akershus. Last week, three politicians were replaced. Was it by chance that the Council of State replaced these with new representatives from the same counties, and is there any explanation as to why politicians who would represent over 800,000 inhabitants of Eastfold and Akershus would be kept out of the government for the next two years?’
ParlaMint-NO_2008-01-30.ana.ud1816e1527	The appointment of members of the board of directors of regional health enterprises is an important but also very demanding task. The regions have their specific challenges to be taken into account by sea, and a number of external stakeholders want their concerns to be taken into account, and this is understandable. When appointing members of the Boards of Directors of the regional health undertakings, there are many considerations to be balanced against each other. I have stressed the following criteria: competence - that is, for example. management experience, management experience, economic competence, medical competence, political experience, etc. - geographical representation, party political representation and gender balance. Based on input from county councils, Oslo Municipality and Sametinget, I have put together the board of directors I believe is well able to meet the challenges of the regions, while trying to meet the needs and wishes of the stakeholders. I have also stressed that we should have a balance between continuity and renewal. The members of the Management Board chosen by and among the elected members of the public shall constitute the majority of the members of the Management Board appointed by them. This represents six in the number for Health South-East RHF. As you know, there are ten municipalities in this recording area, including the municipality of Oslo. Ensuring political representation from all counties is therefore difficult to implement. Therefore, when appointing members of the Management Board, I have also included in the assessment the geographical affiliation of the other five members of the Management Board. This gives a slightly more nuanced picture, and I can mention that one of the ordinary members of the board of directors is from Østfold. I would like to draw attention to the fact that the members of the Boards of Directors of the regional health undertaking are not responsible for local special interests, but must be able to see the whole region as a whole and ensure that overall national health policy objectives are met as a result of the whole region's 'care for' responsibilities. I'm glad that the appointment of the boards for regional health companies is a great commitment. They provide great social values, and it is therefore important that we have competent administrations that are able to discharge their responsibilities and powers. I am of the opinion that we have carried out a thorough and involved process to ensure good and competent governance, and believe that those who are now sitting there have good conditions to ensure that the leadership given them is respected, in order to ensure that overall national health policy objectives are met.
ParlaMint-NO_2008-01-30.ana.ud1816e1542	I would like to thank you for your answer. I want to start by saying that the Progress Party was basically against politicians on the board. We also know that one of the criteria is that political representatives should be active in local governments and county councils. They are proposed by their own counties, whose expectations are that they will shed light on the state's interests in the corporate governance. During the next two years, important decisions will be taken on the future organisation of the capital area, which will affect Akershus and the Hospital Østfold, where the Kalnes extension may be the most important. Isn't it just when such major issues are going to be dealt with, that the political input should be important in a government? What is the reason why the former Health East, which was the largest region, now has only two political representatives, while Health South is now represented by four?
ParlaMint-NO_2008-01-30.ana.ud1816e1551	I just want to repeat that putting together these important boards is a demanding task. I've tried to balance all the considerations against each other. But it's very important for me to stress that it's not where you live, and where you come from, which is what should be leading when you sit on these boards. What is the task of those who sit on these boards is to ensure that patients, in this context throughout the whole of the South-East region, receive good quality health care and rapid help. I understand that the representative is concerned about the hospital in Østfold. I just want to repeat that the hospital is coming, and that it will not be decisive how many representatives on the board are from Eastfold. I would otherwise point out that Randi Talseth, who is sitting there as owner-appointed, comes from Eastfold. But everyone is responsible for seeing the whole region, not just for what they come from.
ParlaMint-NO_2008-01-30.ana.ud1816e1558	I have a little bit of trouble catching up what really was the government's opinion of having politicians in the government, if not for representing the different districts. But I hear that the Council of State is pleased with its distribution. We see that there are very large protests in the newspapers, both in terms of the geographical distribution around the country, and in terms of political bias. There's reason to be concerned when it's also suggested that they might be the most engaged--read: considerate--be replaced on the first occasion. More district policy, more noise and more commitment was what was written in the newspapers after one year. State Secretary Arvid Libak then said that the management of the department had the impression that the arrangement worked well, and that they had been very careful that all the parties were represented according to the conditions of strength in the states. The Progress Party has been very disillusioned in the last elections and has had many skilled politicians with special involvement in health. Why has the Council not ensured that the Progress Party is also represented by the strengths of these health enterprise boards?
ParlaMint-NO_2008-01-30.ana.ud1816e1567	Exposure is good. It is not true that those who have been replaced in any controller have been replaced because they should be “brilliant”. That it's discussion, it's completely legal and completely okay. That's democracy. But when the Government believes that it is important to have political elected representatives in these governments, it is because we believe that politicians have a lot of skills of different kinds that are important to provide these governments. But these governments are not an arena for politics. While promoting and supporting one's opinions, the job of those in the board of directors is to implement national objectives and leadership in order to offer a good health policy to all patients in all regions. That's what the job is, not to represent one particular state.
ParlaMint-NO_2008-01-30.ana.ud1816e1575	I allow myself to ask the Minister for Health the following questions: ‘The head of the regional health enterprise in Central Norway is from Nord-Trøndelag. The administration is located in the same state. At the same time, we see a weakening of More and Romsdal's influence in the health business board. When, in addition, the Council of State has replaced political elected Torgeir Dahl from the Right with one from the SV, the board is about to become quite so political red. The region of Romesdal is not now represented in the Governing Board. Will the Council of State justify the deterioration and why Dahl is removed at the same time as the government parties are strengthened?’
ParlaMint-NO_2008-01-30.ana.ud1816e1584	The Management Board, as it is known, is the top body of responsibility and authority of the Regional Health Agency and manages large social values. The designation of competent governance competent in relation to the region’s challenges is therefore particularly important to ensure that overall national health policy objectives are met. As I explained in my previous answer to the question from the representative Giltun, I have placed emphasis on competence, geographical representation, party political representation and gender balance as the main criteria for the appointment of directors of regional health enterprises. I have tried to balance the continuity up to renewal. For the period 2006-2008, the board of Health Mid-Norway RHF consisted of four representatives from More and Romesdal, four representatives from the South-Trundellag and one representative from the North-Trundellag. In the new Governing Board, the difference is more even, where each of the counties now has three representatives in the new Governing Board. I would like once again to stress that the representatives of the boards of regional health companies are not supposed to take care of local special interests, but I expect them to see the region as a whole and to ensure that overall national health policy objectives are respected as part of the region’s ‘career’ responsibilities. I have a great deal of understanding that the composition of the boards of regional health companies is strongly committed to the local environment. I think it's good that there is such a commitment to such an important sector as the specialist health service is. A broad and involved process has been carried out to ensure good governance compositions for the coming years. I am of the opinion that we have succeeded in this work, and I am very pleased with the governments we have now received for the regional health companies.
ParlaMint-NO_2008-01-30.ana.ud1816e1597	I thank the Council of State for the answer. Media look-up across More and Romesdal shows that there is a massive response to the changes made by the Council of State to the Health Mid-Norway Board. Trustees of the Molde Hospital and the General Council of the Lege Association call the removal of Torgeir Dahl for political cleansing. Labour Party rapporteur Per Kristian Øyen in Kristiansund and Labour Party veteran and former LO leader in Møre and Romesdal Melvin Steinsvoll also strongly joined with Labour Party politician Frank Ove Sæther, who had the following opinion in Romsdals Budstikke: "This is so bad that I have trouble believing it's true." What role should a politically elected representative play in the Regional Health Boards, and became member of the board of directors of Torgeir Dahl for clear-spoken and sensitive to the Council of State?
ParlaMint-NO_2008-01-30.ana.ud1816e1611	The answer to that is no. I want to distance myself from the fact that this should be a political purge. The right has got a new representative, a good man named Joar Olav Grøtting from Nord-Trøndelag. I assume that he is as valuable as other Right-Representatives from other counties, who are then on that board. I would also like to point out that it is difficult to put together a government where you will also take into account where people come from. For example, I want to do this. Remember that on the board of Health south-east there is no one from Akershus County with at all - it is much larger than for example. Molde. It says something about how hard it is to put together such controls. I would like to underline once again that it is not such that someone should represent a municipality or a county. Those who sit on the board shall have the ability to ensure that all residents, in this case in Health Mid-Norway, receive good services, whether they live in More and Romesdal, in the North-Tronde Team or in the South-Tronde Team.
ParlaMint-NO_2008-01-30.ana.ud1816e1620	The health company Nord-Trøndelag, which is less than Health Sunnmøre, is awarded three representatives - Health Sunnmøre 2. At the same time, the health company Nordmøre and Romsdal, which are about the same size as Nord-Trøndelag, have one representative. In addition to the Chairperson and Vice-Chair, six of the nine political elected representatives have been assigned to the two trophies. My last follow-up question to the Council of State will be: Will the Council of State contribute to ensuring a fairer distribution of strength between the three counties in the health region, while ensuring that the region of Rome is also represented on the board of the health enterprise?
ParlaMint-NO_2008-01-30.ana.ud1816e1627	I believe that there is a good distribution between the three countries concerned: three representatives each. I remind you that in the last term of government, for example, it was. only one from Nord-Trøndelag. I notice very well that the Right is more concerned about having a representative from Romesdal than one from the Nord-Trøndelag, which they then got into this context. And-- again, it's demanding to put together controllers. This isn't about getting rid of so-called hardy board members, because I haven't experienced that Torgeir Dahl has been, but it's about putting together a board where all those sitting there, the ability to see the whole of the region, and not just for that municipality or county they come from.
ParlaMint-NO_2008-01-30.ana.ud1816e1637	This question, from the representative Harald Valved to the Minister of Knowledge, has been transferred to the Minister of Research and Higher Education who is directing him. However, the question will be answered by the Minister of Knowledge on behalf of the Minister of Research and Higher Education.
ParlaMint-NO_2008-01-30.ana.ud1816e1640	‘The high-pitched classes in secondary schools are a very good offer for young people who want to bet on sports alongside the school. Students complete 4 years of secondary school instead of 3 years of age. The timeframe is the basic idea of the plan. In the 2006–07 school year, the State loan fund allocated over 3 years of living allowance, arguing that students do not have enough hours per year. school week. How can the Council of State help these young people to receive full scholarships in each of the four years, so that they can also play full part in sport?’
ParlaMint-NO_2008-01-30.ana.ud1816e1647	Support is provided from the State Loan Fund for Education to Students in Continuing Training for as long as the student is entitled to training under the Training Act. When it comes to the size of the educational support, it is given according to the study burden of the applicant. This means that there is support for education that can be counted in the form of diplomas or study credits. If activities have been put in during the school day that do not give such counting, there is no basis for support through the Loan Fund. In the case of part-time training, the amount of aid shall be half, two-thirds or three-quarters of the aid amount for full-time training. In the case of elephants travelling on four-year-old national lines, the Knowledge Charter provides for students to have both top-level sports and general study skills within the standard time for training - which is three years in the case of training programmes for sport. There are school owners who have chosen to extend a three-year training course over four years. Students taking a general education course with a three-year education of four years of age receive support according to the rules for part-time education, which do not have a full study burden on them. So they're going to pay 100 pst. support the first year, then 67 pst. the next three years. The question here concerns the possibility of opening up the possibility for the students to take three years of continuous training over four years with a full bus student. Changes in legislation in that area would have budgetary implications and would introduce a regulatory change. The code of support for full-time training/part-time training is common to all student and student groups, and I think it is reasonable that the size of the support is appropriate to adapt the study burden. Any change for the named group will also have to be seen as a special scheme which may be untimely compared to other groups of elephants and students who, for some reason, take part-time training, e.g. care of young children.
ParlaMint-NO_2008-01-30.ana.ud1816e1660	I thank the Council of State for the answer. The solution of top-level sports classes in secondary schools is very important to many practitioners. The sports laws that have students in the scheme also agree. In the sports classes at Molde High School, the students go four years instead of three, which I've been in on, and the time frame is, as I said, central in that context. It's important to get harmony between school, a lot of training, competition and the rest of your life. The time frame is the basic idea of the scheme, and the time frame allows the student to train several sessions during the day. In the voluntary communication, Freedom for All, it was a key message to better facilitate relationships, provide better framework conditions and improve cooperation between the public and voluntary sectors. Does the State Council believe that the new practice of the Loan Fund is consistent with the overall objectives of the combination of sport, talent development and education?
ParlaMint-NO_2008-01-30.ana.ud1816e1671	I myself am particularly committed to giving young talent within various sports the opportunity to develop the talent, to train and work on it, while at the same time getting an ongoing education and study competence. It is also in line with the government's policy, which the representative rightly pointed out. At the same time, it is very important for us to treat the elephants in the same way as they follow a full-time course of study or a part-time course of study, regardless of what kind of education they take, and what kind of situation they are in. That's why we want to keep that code. So here's the school owner who decided that the race should be four years, not three years.
ParlaMint-NO_2008-01-30.ana.ud1816e1676	As long as the top sports classes have existed, the vast majority have completed high school in four years. The argument is that the student has not had enough hours per person. school week. Students in peak sports classes have an average of 22 hours a week, and the training is not included in it. This goes across top sports classes as an idea, just that they're going to get a few hours a week to practice. This is neither consistent with the intention set out in the Soria Moria Declaration nor in the Voluntary Notice. I hope the Council of State will help to fix this, so that the gymnastics can still be a good offer for sports youth.
ParlaMint-NO_2008-01-30.ana.ud1816e1681	We're very concerned about facilitating it. That is why we have many good offers of young talent in top sports around the country. The inter-political reform of the Knowledge Lift facilitates students to have both top-level sport and general study skills within a normal time for training, which is three years at sport level. It also has to be based on the amount of aid in my view, so I am not prepared to make any changes. I think the system we have today works well.
ParlaMint-NO_2008-01-30.ana.ud1816e1689	I have this question for the Minister of Knowledge: «In today's economic life on 16 January, municipalities and county councils will be able to carry out their responsibilities as school owners to varying degrees. One of the success criteria presented for successful municipalities in this context is that there is a high level of awareness of pupils' learning outcomes at both political and administrative level. What will the Council of State contribute to strengthening this awareness - particularly at administrative level - in municipalities and county councils?’
ParlaMint-NO_2008-01-30.ana.ud1816e1698	According to the Training Act, municipalities and county councils are responsible for ensuring that the learning outcomes for students are defended and in line with the law, curriculum and other legislation. Municipalities and county councils must have the necessary academic competence and must have a defence system in their administration so that they can discharge that responsibility. Through national supervision in 2006 and 2007 and through the National Audit Office’s 2006 investigation, it is revealed that many municipalities and county councils do not have defence systems to comply with the law. The Education Directorate, together with KS, has recently created a guide for municipalities and municipalities to help them build up such systems. There have also been efforts to strengthen and target the supervision of municipalities and municipalities. State supervision is an important way of bringing municipalities and county councils under responsibility, raising awareness of the framework and outcomes of the school, and preventing violations of training laws. In 2006, the National Audit Office pointed out that central providers of training laws are supervised to a limited extent. I want to assess how we can further improve state supervision in the future. Municipalities and county councils are also required to follow up national quality assessments carried out by the Ministry. The national quality assessment system shall contribute to quality development at all levels of initial training with a view to adapting training and increasing learning outcomes for the individual student. In addition, the quality assessment system shall contribute to openness, transparency and dialogue on school activities. This shall also provide a basis for local assessment and development work through the organisation of evaluation and follow-up of results by the school owner and the schoolleader. In addition to State supervision, national tests and the ‘Schooleporten’ website are key elements of the quality assessment system. Through the system, governance provides a national mapping of learning outcomes, the learning environment and resources. If you want to create extra attention, local involvement and action, you need to make the results available. Data and results at local and national level are therefore visible at the ‘School port’. The school port has an open part with information that everyone has access to, and a closed part where municipalities and county municipalities can find information about e.g. the results of national tests at school level.
ParlaMint-NO_2008-01-30.ana.ud1816e1709	I thank the Council of State for a thorough answer, which goes into important areas, as I see it. Of course, national tests and the information that comes out there are important, but I want to focus on the first part of the Council of State's response, where he is concerned about how to have a competence that enables schools to meet the strong requirements they meet both nationally and locally. I see it as positive that the Council of State is prepared to strengthen supervision, because it is a fruitful way to go. I also believe in a very active dialogue with the Communes' Central Association as in the example of a guide. The reason why I'm taking this up is because I've seen for myself what it means for the city I've been elected to the Stortinget, to have a good school administration and to have politicians who have good and sharp debates about what you want with the school - in addition to what you want from this room. So I would just like to encourage the Council of State to also collect examples of municipalities that have done so on the basis that they have these good municipal and administrative systems.
