ParlaMint-NO_2008-06-19.ana.ud497e228	The representative, Ulf Erik Knudsen, will put forward a proposal for a representative.
ParlaMint-NO_2008-06-19.ana.ud497e1819	There are occasions when big debates are shattered by representatives attaching positions to other representatives whom they know very well that there are no votes. The representative, Stroem, was guilty of that. He claimed that the minority would actually stop the activity on Retan, and that we should say it outright, as he said. If he had read the setting, he would have known it was not right. I tried to get the word to clear up that misunderstanding. I didn't get that. I can see that, because there was probably no misunderstanding. The representative Stroem knows very well that what he said is not true. I am aware that the regulations require such an article to be relevant for the further word change. The President found that Mr. Stream’s contributions were not significant for the future change of words, and it should be noted by the representative Stroem. Then to the debate on the economy. I was more than surprised and am still a little upset that the Council of State does not at all understand why the opposition needs to go behind the figures. The reason is quite obvious: when the government invites us to a level of funding for 2012, we want to know what's behind the numbers. That the Council of State in its treatment of FS 07 itself has been pleased to be a rounding turn for the defense chief's calculations, is her case. And I respect that. But that doesn't mean that it's wrong that others are trying to get behind the numbers. When in the proposition, among other things, a warning that ‘the level of operation of the new vessels is not set at an excessive and unsustainable level’ tells us that, in terms of the level of operation, it is aimed at a level far below what is possible. It is clear that a national Parliament responsible must be able to verify that type of reasoning. The same is true, for example. on what the representative Dørum mentioned, namely the number of flight hours. When the head of defence is out and warns against the level of operation being reduced to such an extent that certificates are not maintained, it is clear that the Storting must be interested. We had actually thought that the Council of State would at least respect that position and not serve itself by a series--true to say-- pretty exotic arguments for us going into it. I used the expression "exotic arguments," and I'll just give you an example. Clearly, the fact that we did not ask any more questions was an argument from the Council of State. I want to remind you that when we saw the first 19 answers, we saw that within the time frame we didn't have the opportunity to dig all the way down the details along that line, so we had to give up. And then the Council of State uses that as an argument. It is not necessary to use all the notes that a Council of State gets stuck in its hands. This is an example that maybe you should edit it a little bit better than what the state council just did.
ParlaMint-NO_2008-06-19.ana.ud497e1833	I'm going to take 3 minutes to answer some questions. The first is about the veterans, who were asked questions. I can assure you that as far as the veterans and the veterans' rights are concerned, we in the Government have acted resolutely from day one. Many measures for the veterans have been implemented, and important legislative work on both economic rights and the right to health care is under way. I was asked about the marines. They're still going to be in Ramsund. They'll also be in Bergen, because they're dependent on both places. Of course, it is also the government's view that Home Affairs is important and does an important job, an important effort, not least in the area of social security, as we have seen in the South and have been stressed lately. But I also want to stress that it is not that the activity of Homeland Security depends on the number of districts. The vast majority of Homeland soldiers have never been to a district office, so of course we're going to be able to maintain a decentralized activity for Homeland Protection, even if you put together district offices. In general, I want to say that we don't get a better defense that we keep a number of infrastructures. What gives us better operational ability is exercise and activity. It is completely wrong that the defence capability is weakened, as someone has said, by this plan. We've addressed the challenges that are there. The fact that there has not been a balance between structure and economy in the current period is not the responsibility of this government alone. In fact, this is also the responsibility of the previous government. And the opposition is proposing to keep a lot of infrastructure. The opposition must then also bear in mind that from historical data up to the current year, questions are actually asked by financial implementation. The government is adding up to a significant growth in Defence, but I would like to stress that if there is really going to be a growth that is going to result in counting out, we are also dependent on both internal efficiency improvement and implementing a number of base measures. Finally, I want to say something about our relationship with NATO. We have received recognition from NATO to be willing to continue the transition in Defence in Norway. We're a significant contributor to NATO's operation, and we're an active member of the alliance. We still have to be, and we still need to support NATO's presence in Norway.
ParlaMint-NO_2008-06-19.ana.ud497e1851	The defence is going to get as much money as they just want, says the Progress Party, and it's going to get all the other sectors as well. But we don't know that's going to happen. It controls the economy, and it's not feasible. I would like to remind you once again of what I said in my post, that when the Progress Party had budgetary cooperation with the Right in the previous period, the Defense received no more than that that all of us have been granted. Then they come to the hall and say that they can't get the economy in the long term, and that everything is so very difficult. Then I think they could take the trouble of clarifying what is so difficult. They have not taken the trouble of clarifying anything - and they have had many opportunities. We have given them the opportunity to get into the areas that have been claimed to be insecure, and all wishes have been fulfilled. But I also have to ask the question whether it is that I am going to decide how many flight hours you should have to get a certificate. I'm counting on-- and I also have to trust-- that there's someone else in this system who's doing it and who's coming along with it. And then we have to trust that that's right. As far as the proposal from the Left and the Christian People's Party on the Army is concerned, it looks like what we also write in the setting, that we will build the Army further up in the long term. There's not a very big difference between the proposal that comes from these parties and what we write in the setting. Then to the representative of Bredvold. Everything has to be solved with money. But not even the Defense asks for it. It's an up-and-coming organization in line with everyone else, which will be effective and use the money sensibly, etc. Then you claim from Stortinget's pulpit that the Minister of Defense is doing a bad job. I think that's serious. Today, we have a defence minister who has cleared up everything messed up in the defence, and the economy is under control. The relationship with the human resources organisations is completely different than it was just three years ago, and the veterinary charges have been addressed. It's been cleared up in the medical situation in Afghanistan. The ethics of the defence and anti-corruption work have been addressed. A long-term plan with a large increase is now also being presented, and it is in balance. When it comes to Aspaker's story of the Right Defence Budget, it looks like an adventure -- something you would want, but you haven't.
ParlaMint-NO_2008-06-19.ana.ud497e1866	Unfortunately, we have witnessed for years that the defence has gradually become a priority. I would say it so strongly that the sitting government not only deprioritises the defense, but that they have started a systematic plan for the liquidation of the Norwegian defence. I think that's tragic, and I think that's too bad. I want to point out a few things and will naturally take care of the home security training at Værnes in central Norway. Some years ago, the Home Office had a setup of 83,000. Then the strength was reduced to 50,000, and now it is proposed in the new plan that it should be reduced by a further 5,000 - down to 45 000. The proposal for a further reduction, while at the heart of a quality reform, will result in a significant deterioration in HV operational performance. With the reductions made in the Army, it is currently in practice Home Protection that takes over territorial responsibility. HV training is essential for the quality and volume of the operational structure of the HV. HV training is very important for recruiting the HV response forces. An increasing number of staff in the response forces have their background to HV training. This is a fact. That's the situation. Even though we know that there is not enough training today and enough crew and will not be able to do so with the 45 000 proposed, the government and the majority in the Grand Duchy are still proposing that perhaps the country's best training centre be closed down within the HV. There is not a single defence policy argument to put it down. There are also not great savings in putting it down. But anyway, you choose to do it. I think it is tragic that we have a government that is so unresponsive about defence policy, which has so little ability to determine what kind of defence you want in the future, what it will look like, and how to bet. I also record in the media in Central Norway that both the parliamentary leader of SV, Inge Ryan, parliamentary leader of the Senterpartiet, Lars Peder Breck, plus the Right, Left and Advance Party have said that we want to maintain the HV training at Værnes. That is, there is a clear majority in this Chamber who want to maintain this education, but nevertheless the Workers' Party has used the whip and whipped the two small government parties in place, so that a decision is actually the opposite of what the majority wants. In conclusion, I would like to say that I also note that the representatives of the North who have previously stood up and said that they will fight with beaks and claws to maintain the HV training at Værnes, not even participate in this debate. I think that is disappointing too!
ParlaMint-NO_2008-06-19.ana.ud497e1881	Since I was elected to the Grand Council in 1997, I have participated in some such debates as this one. If this is the last time I do it, time will show. As usual, there's a lot of honeymoon coming from the red-green ones, that's from those who make the change that leads to closure. It's nothing new, but it's safe to try to have some kind of good conscience. This debate reflects what we have seen in previous debates, reducing and cutting down on defence activity. One reduces and gradually lowers the defense. It has happened over a long time, and it has happened under many governments. Then there are some representatives who have said that this is a strengthening of maritime defence. It's totally incomprehensible to me how you can stand on the Stortinge eloquent chair and say that this is a strengthening of the Maritime Defense. Within the current year's budget, maritime defence must reduce its sailing capacity by 25 pst. It's not a reinforcement of the Maritime Defense. It's a strengthening of the criminal activity that's happening out in our oceans. There it is. There it is. Strength. It's not a reinforcement of the Maritime Defense. So they say that putting down Olavs protection is also a strengthening of maritime defence. I think it's completely incomprehensible that you can say something like that, because if you look at the Olav protection and some of the other installations that are being proposed, that conclusion is drawn in FS 07. You start with the conclusion, and then you work out the argument. A single document has not been submitted to show that there is a basis for the closure of Olavs protection, whether defence or economic. It's a willingness to put this down. Then there's someone who's been inside the Defense Operational Headquarters. I just want to remind you that in 2001 it was the Workers' Party and the Right that tied their groups to add this to Yåttå. The Progress Party then proposed adding it to Bodø and Reitan. We thought at the time that it made sense. Now you suggest moving to Bodø. I will warn you most strongly against playing pingpong with important defense installations, depending on who controls this country at any time. It will help to weaken our credibility, especially towards the Allies. It will also help to undermine the jobs of those associated with these facilities, both now and in the future.
ParlaMint-NO_2008-06-19.ana.ud497e1896	The debate has taken place significantly in temperature towards the end. I guess that's not the first time that happens. The reason I asked for the floor was 'a cruel sage' from the representative, Mr Vaksdal, who is not present in the Chamber. He rightly said that it was not a parliamentary correct expression to use the word «malfunction», but he was near to using it. Let me remind you of one thing. When we went into the discussion about Defense Study 07, it was clear from the Center Party that we should have the following process: we should define what kind of defense we should have to meet the challenges of the future, we should discuss structure, and then note that we have done that. We have come to different conclusions, but at least at the end of this debate let us be honest enough to say that nobody has the absolute truth. We think differently and put together a different picture. Let's not use this kind of expression that's been used in the hall, if the different conclusions we've drawn. Let us at least end the debate with respect for each other's conclusions.
ParlaMint-NO_2008-06-19.ana.ud497e1907	The last post of the representative Eye reminded me most of a witness from a awakening meeting. Since I'm from South Africa, I know how they're going. As glorified as this debate has become with the representative Eye, it is almost impossible to understand. From the Progress Party it was not said that we have money for everything, but we have enough money to cover the tasks the Defense will do in the future. We don't know what that is-- fully. There's no number material in the long-term study that says clearly what we're going to have, what we're going to invest, and what level of operation we're going to put on. So the representative said Eye that we could ask about that. Yeah, we did. The Council of State met in the Defence Committee and explained to us the figures on which it was based. It was then said that the basis for the figures was the Chief of Defence. That's not the same thing as saying that's the absolute truth. You have to be able to break down the numbers so that we can verify if they're really right. Then it was said that the Progress Party had been a supporting party for the Bondevik government. We did not get through our demands, but we were a supporting party. If we had got through the requirements, it would have been more for the defense. With the decisions taken in the hall today, a good deal of office business is being moved to North Norway. It's going to be a little bit of activity. It's said there should be two crews per. frigates and pers. naval vessel and continuous operation. I have 15 years of experience in the industry and know that continuous operation requires five shifts, not two shifts, so in one year it will be 8 790 hours. There should be two crews, and then I think the Working Environment Act will stop the continuous operation. Ten crews, which five frigates provide, are sufficient to operate two ships continuously.
ParlaMint-NO_2008-06-19.ana.ud497e1918	The representative Odd Einar Dørum has had the word twice, and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2008-06-19.ana.ud497e1921	The Minister of Defense answered me this way: we can keep the activities of Homeland even if we leave districts, and having exercises is necessary. It is my choice to interpret it in such a way that the Council of State guarantees that we do not get a weathering of the Home Protection system by aging them away in practice activities. Then I also took the floor to say that if the representative Eye and the Workers' Party think that the proposals of the Left and Christian People's Party are very good, it is just to vote for it. It's actually so simple in politics. I have also read the Committee's position, and I know the value of the words. This proposal is not incidentally promoted. It's promoted because we want to create a commitment. So here's an invitation to the Workers' Party's defense-friendly faction leader in the defense committee to take out his entire legend. She can show it today by voting in favour of the proposal presented by the Christian People's Party and the Left. She is welcome to join it, through the President!
ParlaMint-NO_2008-06-19.ana.ud497e1928	I support the representative Odd Einar Dørum in what he pulled up in his last post. The common proposal we have here is good and should be able to be joined by all those who are dedicated to strengthening the Army, without any major ties in it. One, at my discretion, good debate goes to the end. The differences are not so great, Thorbjørn Jagland was the strong message here, and I can agree with Jagland in that. They are not so big that there should not have been a chance that we could have negotiated with each other. Then it is more alarming that we have not been able to get over the wall that was, to find a consensus when the differences were not greater than what they were. The Northern Region perspective has been highlighted by all the speakers here, and it tells me that then the northern regions are important, whether you're talking about moving Yåttå or not, or whether you're going against maintaining Olavsværr. It must be possible to withdraw from this debate that we should have a defence structure in the north to meet the values, resources and challenges we have in the north. So the minister said something about Homeland. She said it's not the number of bases that determine the strength of Homeland Protection. We in the Christian People's Party agree. It's not the number of bases that decide. But on the other hand, it is very crucial that Home Security has its own education that takes care of the protection of homes. There has been one of the main arguments of the Christian People's Party in this debate. So I just want to end by saying that in the case of the vote, it would be important for the Christian People's Party to vote separately on proposal No. 2 from the minority. You, too, in the committee's recommendation, it is important that it be voted on separately.
ParlaMint-NO_2008-06-19.ana.ud497e1941	I did not get a response from the representative Dørum properly at the training level for Home Protection, and I would like to do so. It is based on what was decided in the context of the quality reform of St.prp. No 42 for 2003-2004. That is what underlies and is the objective and cost-measured in this plan. In the case of the Air Force, e.g. 10 500 hours of flight time has been taken into account for F-16. As far as Maritime Defense is concerned, we are not getting the most modern of the world, so at least one of Europe's most modern maritime defenses, with new frigates, new MTBs and also new vessels throughout the Coast Guard. A sailing pattern has been established as recommended by the Marine Defence Inspector-General, which is a balance between being operational, training, and maintaining the vessels. It's also true that when we go from an old long-term plan to a new long-term plan, it's a transition, and we've also said that we're stepping up the appropriations in this context. These are the objectives of the plan. This is what's cost-calculated, and this is what we've actually inputted. With regard to the operation of the MTBs, it has been said by several that this has not been the case with the head of defence. The Defence Manager started from the current year’s budget level. The government and I have recommended that we take in MTBs and a number of other structures. That's why we have the 800 million. kr, which also involves the construction of the Army.
ParlaMint-NO_2008-06-19.ana.ud497e1954	The representative Bendiks H. Arnesen had recently spoken, and tried to speak away from the fact that the defence budget is unbalanced both in the short and long term with the government's arrangements. The representative also tried to talk away from the fact that SV is now embossing the appropriations for the defense, and that these have gone down. I am firmly convinced that if the Labour Party and the representative of Arnesen had been given free priority, the defence would also have had a better budget. The long-term defence plan is about doing what is right for the defence in the present and future, and making the most of scarce resources and investments already made. That's why it's right to continue to bet on Ramsund, with its special design for the Marines that's being sent out in some of the toughest assignments, among other things. in Afghanistan. It is therefore also important to continue the site in Gumpen in South Africa for defence policy reasons. The bonus for the municipality is that they retain important skills jobs. I'm glad that Inner Troms gets his position fixed as the center of gravity of the Army with its functions. Something else would be economically irresponsible, if we took into account the huge investments made in the area that have calculated life expectancy for decades to come. Trom's military hospital has good and long-term cooperation with civil health and is located in one of the core areas of land operations. In the future, the TMS will be a competence and training institution for key elements in the Defence. The proximity of the Army and cooperation with civil health services are essential for the success of the role of battlelab. This cooperation is also necessary in order to meet the 180-day response time requirement for the surgical unit administered to the TMS in the autumn of 2008. Cooperation with UNN on the pressure tank on Olavsværm is now at risk when the Government shuts down the base. This is proven to be a lifesaving offer, and I have not heard any representatives from the government parties come up with suggestions on how to dissolve access to the pressure tank when the Olav protection is shut down. Ramsund also has such a pressure tank, and instead of weakening health care by jeopardising the provision of Olav protection, it should be in the interests of the Government to facilitate even better cooperation between the civil health services and the defence of such an important offer. So far there has been a complete silence on that matter.
ParlaMint-NO_2008-06-19.ana.ud497e1968	Per Roar Bredvold has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2008-06-19.ana.ud497e1971	The representative eye allow me words that I have not said in my three minutes. She claimed that I have said that the Minister of Defense is doing a bad job. As I said, I have not done this. I referred to an article in the VG - which also has a circulation of approx. 300,000 on 14 June 2008, where people were asked if individual state councils do a good or a bad job. I said only 20.9 pst. believes that the Council of State is doing a good job - during the process of joining the Workers' Party, and far below the start-up of the government parties. That's what I said. If I personally believe that the Council of State is doing a good or a bad job, the representative will not be heard from this pulpit. My advice to the representative Eye is that she should be careful to attach wrong opinions or quotes to other representatives.
ParlaMint-NO_2008-06-19.ana.ud497e1978	Signe Eye has had the word twice before and gets the word for a short note, limited to 1 minute.
ParlaMint-NO_2008-06-19.ana.ud497e1981	It was good to hear the representative Bredvold, then we agree. So it was for the negotiations that have been a lot up in the debate, and that did not come into being. I would argue that the Labour Party and the government parties showed a very strong willingness in the negotiations. We'd bet on the Army. We thought it was wrong to maintain even more bases. And I see it as the representative Bent Höie let the cat out of the bag from this pulpit. He said that the opposition put down an ‘absolute’ relative to FOHK. That's exactly what they did. We thought if we were to bet more, it had to be on the Army. That's where the negotiations broke down. So the representative, Aspacer, says that the long-term proposition is unbalanced. No, but the previous long-term plan was unbalanced. It took care of the right, and it even stands in the setting.
ParlaMint-NO_2008-06-19.ana.ud497e1990	I agree with Mr. Thorbjørn Jagland that we should not make more of the disagreement than that is the basis for it. But at the same time it must be stressed that there are considerable differences, and that that is why it was not possible to reach agreement, but we do not make it larger than necessary. I would like to remind you that the Right would like to have put forward proposals on, for example: Keeping 50,000 in Home Protection or doing something about the pay system in Home Protection, but we found out that under the circumstances we had to pay attention to other things. So we've also shown restraint from our side. I would warn the majority of the Storting against making too much of the disagreement in the base area about getting money, because I would like to remind you that the government's proposal is about 800 million. kr in relation to the position of the head of defence. The proposals we are now making are essentially about building up the Army. But the disagreement with the bases and facilities is based on the government's own estimates of 275-375 million. kr, i.e. plus/minus 1 pst. of the budget. The government can't with any credibility say that there's a kind of'make it or break it' for the budgets, so now I think the argument must be kept within the framework of reasonableness. Otherwise, I would like to say the following about the northern regions: it is very good to say about the Northern Region policy of the Government, perhaps primarily in areas other than the Defence. I guess that's not where the big things happen, but it's very nice to say about it. I have to say, on the other hand, that especially when I listen to the speakers of the Workers' Party, they take full care of being content with themselves. When you listen to some people, you should even think that they had invented Northern Territory policy. They have not done so, but they have made the valuable contribution and carried it on. There is a great and good effort now, among other things. to sell it out, and that's very good. But the idea that this was something the Workers' Party has invented and is alone about, I would recommend that you try to get rid of it. We see, among other things, by the committee setting that the Workers' Party will not even be involved in recognising the history, which is quite obvious, on the basis of the wish that it is, as it were, the Workers' Party alone that knows. The Labour Party now has a significant credibility problem. I think everyone who can read polls see that. I might recommend relieving language usage. It can increase credibility, and it can be wise in the big context. Since Bjørn Jacobsen is coming after me, I just want to give the government praise at one point, and it's about the description of the rocket shields in this setting. It is liberatingly free from Soria Moria rhetoric, and was probably a preparation for the landing that has now arrived. So this was significantly better than what we saw at Soria Moria. Finally, on the proposals. I think it's easy to misunderstand the position of the committee, because the majority has changed something. The Progress Party and the Right have a majority in the Committee, and it therefore forms part of II, while you are the proposal of the Labour Party and the Government Party. So here it's swapped. So, finally, a request about the voting system. The proposals of the Left and Christian People's Party go in the same direction as, among other things, my proposal and that of the Procedural Party. At least for the Right, we would appreciate whether the vote could be organised so that we could vote in a subsidiary way for the position of the Left and Christian People's Party, if that were possible, because it goes in the same direction, even if it doesn't go as fast as we could expect it to do.
ParlaMint-NO_2008-06-19.ana.ud497e2005	Bjorn Jacobsen has spoken twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2008-06-19.ana.ud497e2008	Just before Easter, the last NATO operational element in Norway was dropped. It seems that the Left has not got it. But that means a good deal for how we're going to think in the future for the Defense, not least when we're dealing with the Long-Term Plan. So if left over for the next period, for example. If the defence is so high that they are able to participate in the defence committee, they may, in fact, be able to bring the operational element to an end. It has come to two Nordic elements. There are enough peace elements, but they are also operational. This is the cooperation that takes place with Iceland and, of course, with the Nordic Battle Group. And then I see that the opposition has done two things. One thing I should be happy to do, and that is that SV decides very much in government. For all things, if they mean it, it doesn't do anything for me. But then the second main argument is that they don't understand numbers. And how can you make a good deal of a deal with someone who doesn't understand a number? They're still prosecuting. We now have four-five hours with the debate, and they still don't understand numbers. All of these parties have once had defence ministers, and they could have called them if they didn't have information about how things are going in the defense. There should be some honesty in that. So short at last. Of course, we have also had alternative budgets before, where it was NOK 3-4 billion less. But remember - no more than 3-4 billion kr less!
ParlaMint-NO_2008-06-19.ana.ud497e2019	Through this debate, it has, among other things, has been pointed out that, yes, the Progress Party has money for everything. Of course, we don't have that, but we have money for much more than what the government has, obviously. We have money for roads, we have money for railways, we have money for hospitals, we have money for schools, we have money for hospitals, we have money for hospitals, and so on. It doesn't have the government. I think that's a paradox. In the change of words with the Council of State, I asked because economics is so important: what additions does the Council of State see in the budgets of the next few years? I never got an answer to that. I would like to refer to a comment that the Progress Party has put in, and I could imagine that the Council of State commented on what she thinks of it: ‘The members of the Committee of the Progressive Party shall be responsible for adapting the defence structure to the tasks assigned to it. Furthermore, these members believe that the structure and tasks of the defence must be financed on the basis of current needs at all times, as it is the task of the defence that must guide the economy and not the opposite. These members therefore consider it natural that the annual budgets should be adjusted in accordance with the structural and operational requirements of the defence.’.» It's the first time, of the long-term propositions I've experienced, that no annual budgets have been entered. That may be good, for it has been done in the past, but the annual budgets have never been kept when we have come to the budgetary procedure in the autumn. I could imagine hearing if the Council of State at least has a certain sense of what this is going to look like, and if she might think it's natural to agree with what we're saying, that we see it as 'naturally the annual budgets are adjusted according to the structural and operational requirements the defence is given' - almost at all times.
ParlaMint-NO_2008-06-19.ana.ud497e2031	As Finnmark's representative, and because I'm very concerned about the Defense, I feel the need to say a few words in this debate. I am very pleased when the defense committee now takes the sense and does not follow the proposal that lay on the table to move all the business away from Porsangmoen - in the heart of Finnmark. If the proposal had been implemented, a county of the size of Denmark would only have a defence located on the border east of the county. We need the clear presence of Defence in Finnmark. We need to assert our sovereignty, and we need to secure our resources here as well. For me, this is very much about preparedness and crisis management, and how important civil-military cooperation is in this huge state of ours - with the great distances, the scattered settlement and the tough climate that we have large parts of the year, as well as poor infrastructure in the form of e.g.. roads and mobile coverage in many places. In this context, it is very important that the Home Office is now located as centrally as possible. The Finnish coast is currently operated by oil tankers up to 125 000 tonnes. This traffic and activity will increase considerably in the coming years in terms of both ship size and oil quantity. The rescue exercise ‘Barents Rescue’ outside the Finnish coast in 2005 showed with all clarity how fully we depend on the participation of the Defence Agency if, for example, it is. major accidents shall occur. Defence equipment and top-rate soldiers for such conditions were absolutely essential for the exercise to be carried out at all. The defence is currently the only organisation present in the state that has the necessary competence, infrastructure, efficiency and stamina to carry out the necessary work by, for example: a major breakdown of an oil tank. The defence is therefore essential for the proper civil and military emergency preparedness to be maintained within as large a maritime and land area and under such extreme weather conditions as we have. This is about the vulnerability of the population in our largest and largest state in the north. Therefore, the defence in Finnmark must be strengthened rather than dismantled.
ParlaMint-NO_2008-06-19.ana.ud497e2044	The representative Henning Skumsvoll has had the word twice before and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2008-06-19.ana.ud497e2047	The number material contained in the long-term proposition is unsatisfactory. I can take an example. By merging HV-07 and HV-08, it is said that 20 million can be saved. kr per. years. The defense's own people in Homeland have calculated this very carefully, saying that the maximum savings are NOK 650,000. The deviations are huge. This is one example. Several examples could be mentioned, but time does not allow it.
ParlaMint-NO_2008-06-19.ana.ud497e2053	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 3942]]
ParlaMint-NO_2008-06-19.ana.ud497e2069	The purpose of St.prp. No 55 for investment in Defence is to request the approval of Stortingen for the start of two new investment projects and to ask for approval of changes to previously approved projects and to inform Stortinget for future, planned projects and other measures. The starting point for the approval of the investment projects in the Defence is the budget proposal for 2007-2008. The proposition has the following contents: Approval of the cost framework for two new material projects, chapter. 1760 item 45: the logistical project of the LOS programme in Defence, and participation in a multi-national strategic air transport capacity programme Approval of the modification of the scope and cost framework of two previously adopted property, construction and civil engineering projects, chapter. 1710 item 47: Setermoen - multi-purpose hall - phase 3 and interconnection of Mauken-Blatin firing range Approval of modification of scope and cost framework for previously adopted material project, chapter. 1760 item 45: New frigatesInformation cases, cap. 1710 and cap. 1760: Increased recruitment of women in Defence, phase-out of C-130H Hercules transport aircraft, replacement of armoured vehicles for use in foreign operations, and new fighter aircraft The LOS programme in Defence contains several projects to establish a common integrated management system, the FIF, in Defence. The first major delivery project was launched in 2003 and provided the Defence Agency with a new system of external accounts. The second major project is the economic project. The economic project under the LOS programme will provide a solution during 2008 that will provide defence with a common system of internal economic accounts, governance, management and material accounts. In this context, it is important to note that the logistical project remains. This project will provide savings opportunities, and we therefore see the need for a continuation of the project. Furthermore, the proposal deals with participation in a multinational strategic air transport capacity programme. The Ministry of Defence has analysed the needs of ‘conceptual solution’ for military air transport capacity and concluded that the Defence needs both tactical and strategic air transport capacity, cf. St. pp. No 78 for 2006-2007. In this context, it is important that the tactical part of this capacity be under national ownership and control. Based on the decision to buy new C-130J Hercules transport aircraft, it is an acceptable solution that the strategic part can be part of a multinational pool. On the other hand, the progress party wonders that today's C-130H Hercule transport aircraft have been removed from service, after it has been granted approx. 300 million. kr for the maintenance of these aeroplanes until 2007 in order to ensure an operational capacity up to approx. 2015. In this context, the Progress Party wishes to refer to St.prp. No 1 for the 2006-2007 budget for the 2007 budget, where the following emerges: ‘A contract has been concluded to replace the outer wings of four of our C-130 Hercules transport aircraft to remove the restrictions imposed in April 2005. These restrictions were imposed on the recommendation of the aircraft manufacturer and have reduced aircraft capacity mtp. range, load capacity and operating range. This shift of outer wings, seen in the context of a minor upgrade of some of the aeroplane components, will allow the aeroplanes to perform all types of known tasks up to approx. 2012-2015.’ By the fact that these Hercules aeroplanes are already being phased out, the objective of their possible use by 2015 cannot be achieved. Finally, the Committee assumes that the costs of all projects such as St.prp. No 55 deals with, is being complied with.
ParlaMint-NO_2008-06-19.ana.ud497e2104	The rapporteur has given a good indication of the Committee's position, and the vote is unanimous on all points except one. That's why I'm going to spend my time on what we disagree about. Actually, this disagreement is somewhat strange, because I thought we all had the same goal: to give the soldiers as quickly as possible the increased safety of new planes could provide. This disagreement goes back to the decision Stortinget made exactly one year ago, when we extended the spring session, and the majority, with the exception of the Progress Party, decided to purchase new transport aircraft C-130J. It was a necessary and correct decision. But it actually seems that this is a sore point for the Progress Party, and they write in the setting that they expect the Government to have a solution to the tactical air transport capacity. Yes, the solution to the tactical air transport capacity lies precisely in the purchase made last summer by the majority of the Grand Council and voted against by the Progress Party. Already then we knew that the old Hercules planes had flown with operating and tactical restrictions for a long time, and that the best and fastest solution was to buy new planes and get them operational as soon as possible. That's why it was right to put the 335 square onto the training status early in 2007. There have been large operating costs to maintain the old aeroplanes. Therefore, they should be phased out. Only in that way can we get the fastest possible phase-in of the new transport aircraft, as it is now being added up, and so that we can establish tactical flight capacity as quickly as possible, based on our own aircraft. This will increase the safety of the soldiers, including: in Afghanistan. The first aircraft will be delivered to the fall this year and the next three in 2009 and 2010. The working party believes that it is not appropriate from a technical, economic and operational point of view to operate two aircraft types in parallel, and it will delay the phase-in of the new aeroplanes. Now we have to focus on the introduction of the new planes. Therefore, we agree that the old aeroplanes are phased out, so that Norway achieves satisfactory tactical flight capacity as soon as possible that can be used both at home and outdoors.
ParlaMint-NO_2008-06-19.ana.ud497e2115	Over several years, there has been a discussion of what to do with our after every older transport fleet, aircraft approaching 40 years, which has had a very large number of hours of work. These have been aircraft that the Defense, and also the civil, have benefited very well. The Progress Party has proposed several times to buy new, but without having a majority. Then it was finally decided that we would buy. The purchase itself was not so much a disagreement about, although the choice of the brand was discussed and the Progress Party could think of another and better suitable aircraft type. It was then said by the Government that the hundreds of million dollars we spent on upgrading and repairing the old planes would be a good investment. The planes C 130H would be simple to sell. Now it turns out that this is not the case, and you can ask yourself if this once again is the money that the defense has used without giving anything back. It was also said that with such an upgrade we would be able to get an economic, cheap and acceptable transport ticket up to approx. 2013-2015. Unfortunately, this was not the case, and many millions of dollars were used for no use.
ParlaMint-NO_2008-06-19.ana.ud497e2124	I see that there is mostly a great deal of consensus in terms of the investment proposition, but that once again try to start a debate on the new transport planes. Then I just want to refer to what I briefed on last year, both before we went to the acquisition, and when we had the case for treatment in Stortinget on 19 June last year. I said it so that in a short interval we have to rely on commercial solutions. The Air Force Transport Aircraft Environment is so small that there is no capacity to operate two aeroplane types in parallel. Both from a technical, economic and operational point of view, such a solution would be of little use, and it would also delay the phase-in of the new aeroplanes. Now we get the new planes, the first one in October and the second one in March next year. When we went to this quick acquisition, it was precisely because it was the fastest way we could once again become operational. I also remember that when we started the upgrade of the wing shift, corrosion was revealed, which showed that we would not be able to maintain the planes in the condition that we had initially wanted.
ParlaMint-NO_2008-06-19.ana.ud497e2133	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 3943]]
ParlaMint-NO_2008-06-19.ana.ud497e2149	It's a unanimous committee that's behind St. Prp. No 67 for 2007-2008 as regards amendments to the Regulation for Appendix etc. to designated herds of compulsory protection. The regulation of outsourced compulsory ratings is 7,3 pst. from 1 July 2008. The additional expenditure amounts to 26.8 million. kr. Corresponding regulation for civil guardians is SEK 2.2 million. kr for 2008. The regulatory proposal is based on mediation results between the State and LO State and others.
