ParlaMint-NO_2008-04-08.ana.ud2463e67	The representative, Elisabeth Røbekk Nørve, will present a proposal for a representative.
ParlaMint-NO_2008-04-08.ana.ud2463e1463	The concept of red tape that representatives of the Right and the Progressive Party have used repeatedly here today is itself an interesting concept in relation to what one actually thinks about - whether there are changes in agricultural policy or whether there are fewer employees to work to implement the policy adopted. I also noticed that a complete list of numbers was requested. It's about fogging, and it's about unwillingness to disclose anything about the number of people employed in agricultural management. I must almost remember what was presented to Stortinget for approx. six months ago in St. Prp. No 1 for 2007-2008. On page 26 there is an overview of the essential aspects of agricultural management. There is more detail on page 71, related to the number of employees in different parts of the government. On page 71, it also says about research. So I'm wondering a little bit about some of the formulations that are being used by big business representatives here about access to information related to the topic that is up to debate today. In any case, the agricultural sector is a complete value chain with 130 000 annual works and a production value of NOK 140 billion. It also means that there is a need for rules, systems and some to manage this system and to ensure compliance. It is important that there are qualified people, and it is important that the nutritionists who are in this value chain actually get answers to questions when they need it, that they are helped when they need help. To go into what I think is a rather undefined entry point from the Right and the Advance Party also here in the Chamber today, we can start with the Food Authority. Food surveillance is the largest in terms of the number of employees, with about 1 400 people, also mentioned in the article. No 1st@item: Food surveillance was established in 2004. What has been a major part of the internal work of the Food Safety Authority since 2004 is efficiency improvement. Food surveillance has been streamlined by 10 pst. since it was established, and it is in this area that the majority of the employees are employed in what is defined as the agricultural bureaucracy. It is also an area where the so-called agricultural bureaucrats work on issues that go far beyond dealing with the farmer in Norway, as the representative Borten Moe correctly said. There is a responsibility that I believe most people in this room are concerned that the Food Authority should take, that there is competence and that the service is provided. The next major sector is research. I have heard many debates in this Chamber on the spectrum of Norwegian policy, and I still have the pleasure of hearing a debate that goes on that we are going to do less research in this country. Of course, among the 650 annual works, it is possible to handle technical matters more easily, i.e. the internal work done by the research institutions, etc., but I have not heard any claim from the Storting that there should be less research in agriculture. A significant part of the so-called agricultural bureaucracy is working on research-related issues. Here, too, we've taken a grip. We have established Bioforsk, and Bioforsk has also received a directive on a 10% efficiency cut, which they are in the process of implementing. Then I would assume that the State's agricultural administration is a typical target for so-called red tape. I'm not going to say that the number 185 is some sacred number for the State's agricultural administration. And as I have also answered written question No. 746, from the representative of Kielland Asmyhr, where this is mentioned, there is also considerable work here to improve efficiency. The main agricultural administration of the State can do so with regard to the theme addressed here is to make it easier for the Norwegian farmer to deal with the legislation being practised. 40 pst. by the farmers, now electronically applying for production grants. It frees resources. There's a share that's going up. There is an important work within the theme that has been raised here today. Innovation Norway is much the same. The municipalities are also an area that should be referred to in the same way. I see that the time doesn't go by in relation to it now, but hopefully we can come back to that. My point is that when we talk about red tape, we also have to be precise about what we want it to be done less. I fully agree that we, as we, among other things, have done so in my time in the Ministry of Agriculture, shall use fewer resources for the provision of accommodation services, archive services, etc. It makes sense to make an efficiency improvement based on it. It is good that we have managed to streamline the Food Authority with 10 pst. It is good that we are now working to streamline Bioforsk. And we're going to keep doing that.
ParlaMint-NO_2008-04-08.ana.ud2463e1485	It's going to be line change.
ParlaMint-NO_2008-04-08.ana.ud2463e1488	I tried to follow carefully during the state council's statements whether the state council recognises that there is a bureaucracy in agriculture, or whether it is not. I record that he says that we should spend a little less resources on the premises and on archives, etc., but I can't see that this would mean the huge red tape. What's strange is that when you meet with actors in the agricultural sector, it's not about bureaucracy at all. It's just about what the state can do more for the industry, not what the state can do less. It is quite different from all other businesses in this country, which are concerned with the totally opposite issues. So let me ask the Council of State quite specifically, and I ask for a concrete answer: does the Council of State recognise that there is a major bureaucracy in Norwegian agriculture?
ParlaMint-NO_2008-04-08.ana.ud2463e1497	As I explained in my post, and as I have explained in St. pp. No 1, a significant number of people are employed in agricultural management in Norway. I tried in my article to review some of the work that those people are set to do. I still see, also in the question of the representative of Kielland Asmyhr now, that it is unclear what the representative actually thinks it should be done less, except for a more general approach to red tape, possibly a change in agricultural policy. I have not yet heard the Advance Party make proposals in Stortinget to make the Food Authority less. I have not heard the Progress Party propose that it should be less researched. It is possible that the Progress Party believes that the Ministry of Agriculture and Food and the State Agriculture Administration are superfluous, but I would like the level of precision to be considerably higher in terms of what is concrete here. Yes, we have an agricultural administration. The Progress Party is free to call it an agricultural bureaucracy with negatively charged input. The point is that those people are set to do a task within the agricultural policy that the Storting has adopted.
ParlaMint-NO_2008-04-08.ana.ud2463e1508	The most eye-catching thing in this case is in Annexes 1 to 4, where the Council of State does not respond to questions raised by the Economic and Social Committee. This, of course, is annoying for the Committee's work, but it also signals a very special attitude to the main issue, namely how to use resources in Norwegian agriculture. In particular, it becomes tragic when the Council of State criticises a particular task of a student, where the student estimates that bureaucracy costs about DKK 4 billion each year, without the Council of State having read the task, and without the Council of State presenting similar information to the Business Committee. We get a small amount of information in Annex 4, in a letter dated 12 March 2008, where the Council of State reveals that the Department actually knows how many people work in the agricultural administration in the municipalities. My question to the Council of State is: what is the background for this information to come first in response to letter No. 4 from the Business Committee? And: Does the Ministry have more information about agricultural bureaucracy than is provided in these letters of reply?
ParlaMint-NO_2008-04-08.ana.ud2463e1515	With regard to employees in the municipalities, I have on several occasions informed Stortinget, and also said from this pulpit earlier, that it is the municipality's own responsibility. There are many municipalities that have shared positions, and, as the representative Borten Moe said, have departments that work with more than agriculture. So one concrete answer to the question of the number of employees in municipalities working with agriculture is not found. And, as I said, it's not the task of the state in relation to the municipal decisions that are taken about it. The best estimate we have is about 870. In the case of the other figures, I just have to remind the representative Torbjørn Hansen of what stands in St. Prop. No 1st@item: On page 26 and on page 71, the number of bureaucrats working, for example, is mentioned and numerically fixed. in the Ministry of Agriculture and Food.
ParlaMint-NO_2008-04-08.ana.ud2463e1522	If Norwegian agriculture is to have a future, it is a fact that farmers need more income and that resources are being used up to the maximum. This implies that transfers from the State budget will continue to be necessary. It is important for legitimacy that the funds given to farmers over the State budget meet the conditions required by the legislation. Most farmers are serious drivers, but unfortunately we also find what I would call landsurfers. They specify large areas as cultivated land and manure grazing, without being driven as it should - there is either renewal or fertilisation of grazing, etc. These farmers weaken the reputation of the industry. Does the Council agree that some professionals weaken the reputation of the industry in the way they operate? Does the Council of State consider that employees in the agricultural sector properly control compliance so that the reputation is not impaired?
ParlaMint-NO_2008-04-08.ana.ud2463e1529	I believe that the issue raised by the representative of Kongshaug is important for credibility and trust in a system that is an important part of agricultural policy. I share that mindset. I also share the concerns about those who might have to find it too good to exploit the system. My opinion is that there is no significant degree of exploitation of the system, but to the extent that it does, it is not acceptable - not acceptable. When you link this to this debate, I would like to say at the same time that the example of the representative from Kongshaug shows why it is important to have an agricultural management that works. If you were to follow the Progress Party and the Right Method, we would have fewer people to follow up on the fact that the Code was complied with. I believe that exactly what Kongshaug's representative is addressing, underpins the importance of having people who can control, people who have the opportunity to follow the direction of agricultural policy.
ParlaMint-NO_2008-04-08.ana.ud2463e1538	When the Progress Party asks for something, I have noticed that the Council of State is responding to a frontal attack. It's not exactly productive. Governments are shooting at the Progress Party and are constantly asking where the Progress Party will be more efficient and where we will reduce bureaucracy. Then maybe we know some of the core of the problem: we don't get the answers from the state council that we're asking for, so we can get a complete overview. To another side of that problem: in response from the Council of State, there will be, among other things. the continuous reorganization and efficiency of the programme. He mentioned it from the pulpit again today. My experience in working life in the past is that in order to make things more efficient and reorganize, at least one thing needs to be in place, and that is basic basic knowledge of what is status. Does the Council of State mean that he has delivered it to the Stortinget, or is he sitting on that information?
ParlaMint-NO_2008-04-08.ana.ud2463e1547	The progress game has to make it a point to say that you're talking about them all the time. I heard that the representative of Hoksrud said the same thing in the previous debate. That's wrong. But I allowed myself to comment on the lack of the reasoning put forward by the Progress Party here, which is obvious. When it comes to accessing information, I would again recommend that you read St.prp. No 1, especially the 26 and the 71. It sets out what is of employees in significant parts of agricultural management. There is no information like there is any intention and point for me or others to hold back. There are employees who do the job they're set to do, and we need it. At the same time, it is my responsibility more than most others to ensure that sufficient efficiency is maintained at all times. I mentioned 10 pst. improving the effectiveness of the Food Authority. I mentioned 10 pst. improving the efficiency of Bioforsk. There is a need for measures to ensure that adequate adjustments are made at all times by central and agricultural administrations.
ParlaMint-NO_2008-04-08.ana.ud2463e1554	We're standing in front of maybe the greatest expectations of an agricultural settlement ever. The farmers want larger transfers. They want higher prices. They want more money to invest in Norwegian agriculture. Then we have a situation where the administration is likely to cost NOK 4 billion every year, and where the Council of State does not inform the Storting about the extent of the bureaucracy in agriculture. If you do a thought experiment with administrative expenditure of DKK 4 billion and significant slack in this system due to lack of political attention, it might be interesting to ask the Council of State: when you come to the agricultural negotiations, it might be a theme to see if it is possible to get something more out of the money that the Storting actually grants, and so on perhaps implement reforms that make farmers even more out of farming, by cutting off some of these expenditures, on which there has obviously been very little focus in recent years?
ParlaMint-NO_2008-04-08.ana.ud2463e1561	I doubt whether, in the Ministry of Agriculture and Food for a long time, it has been more focused on the importance of getting the money negotiated through the agricultural agreement to the farmer, so that it can make a concrete contribution to the income and economic development of the individual farm. That's my intention. It has been in the previous agricultural statements. It's also going to be my intention this year. If it were to be otherwise that the numbers with which the representative here operates are true, I have to ask what the right party did in government. This is not something that emerged in October 2005. It is alarming that the right party did not take hold of this in the four years when the party was in position to possibly negotiate something that, according to the representative Hansen, is impossible to defend. I'm surprised. At the same time, I believe that, in combination with focusing on the job that agricultural management is doing, while at the same time making sufficient demands for efficiency improvement, as I have mentioned in relation to Food and Bioforsk, we will be able to further streamline and develop food management and agricultural management in the future.
ParlaMint-NO_2008-04-08.ana.ud2463e1569	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-04-08.ana.ud2463e1574	The representative proposal from the Progress Party is an attempt to provide a better decision-making basis for the Stortinget and to focus on the cost side of today's agricultural policy, which would be thought to be the focus of all parties. It is therefore remarkable to read the correspondence between the Committee and the State Council in this case. Here you can get the impression that there are people who do not have an overview of or do not want to answer how many employees there are in the agricultural bureaucracy. I am fully aware, and I think the majority of the committee is, that it is difficult in some of the cases to define how many of the work tasks are directly related to agriculture. Nevertheless, I expect the Council of State to be able to provide an almost complete and competent overview of how many people are employed in the agricultural bureaucracy, and thus the Stortinget can use it to do its job. If this is not the case, the parameters on which the Council of State uses for its simplification work may be questioned. And you can question whether it's just these basic skills that the Council of State doesn't have access to. In line with other industries, the agricultural industry needs to have a framework around its activities, which contributes as much as possible to the profitability of its production. We can contribute to this by working to keep the bureaucracy that the industry has to deal with to an absolute minimum. This focus has a strong priority in other departments, which should also apply to the Ministry of Agriculture. It's not like anyone thinks, that the only solution to increase the profitability of agriculture is to increase agricultural transfers through the agricultural agreement. That track leads only in one direction, namely that the cost of Norwegian-produced food only increases and increases. This weakens the competitiveness of agriculture on all fronts and leads to a continuation of agricultural migration. By reducing agricultural bureaucracy, we can help to free up both human and financial resources, and we can help the farmer himself to have more time to take care of farms and animals instead of filling out papers. That is the intention of the proposal and to which the majority will not now commit. That's too bad. In my view, the proposals of the minority, represented here by the Party of Advancement and the Right, are of course the ones that any department should work with, any Council of State should give priority and any political party should put on the agenda.
ParlaMint-NO_2008-04-08.ana.ud2463e1591	The Progress Party will have measures to reduce agricultural bureaucracy and at the same time calls on the Government to put forward a strategy for red tape in agriculture. It is familiar tones and in line with good progress party policies. The bureaucracy is known as an area that has been deferred and very easily criticised. Here it can take simple grips, my individual party. But what's new is that the Right throws itself at this carousel and lays down on a little vanguard of populism in this case. I'm a little surprised that the Right didn't take up this challenge when they put themselves in government, which the Minister of Agriculture and Food was also involved. I only note and take note that the Right has changed its agricultural policy. They're a long way from what they stood for for for many years, and that's what I think I'm sorry for. It is in this case, and it also applies when we deal with annual budgets. I agree that it is important to provide for an effective agricultural and food management regime, and it alerts Government through the autumn budgetary documents, that is through St. prp. No 1 for 2007-2008. The progress party is good at simplifying the challenges by setting the number of farmers to be added to agricultural management. It's a strange mathematical exercise that I can't quite understand the logic of. In my opinion, the Council of State has been aware that he will follow this matter closely in future budgetary documents. It would have been done, regardless of this proposal by the Progress Party. It is for this reason that the Government proposes that this matter be included in the Minutes. It is important to focus on this challenge, and to manage it in line with organisational changes and agricultural efficiency improvements. There are a few of us, but then a more thorough analysis and analysis is required, which I will of course come back to at a later date.
ParlaMint-NO_2008-04-08.ana.ud2463e1606	This has been a funny debate to witness. So here we have experienced that the Council of State and the representatives of the position are shooting back at parts of the opposition and at the proposers that it is we who have not done our homework. It is not often felt that a government council against several parties claims that the budget proposal has not been read. This is to simplify the debate. It's trying to shoot back because you don't even have clear answers to the job you're asking for. It is clear that we have got what the Council of State has written in the budget proposal. We read the proposition in all directions -- I kept on saying. But people from research environments and the Norwegian Institute of Agricultural Research have publicly said that there is some sense in the figures that Anesland has come out with. The head of research in the State Agriculture Administration has said that in today's industry. When there is such a difference between the figures provided by the Department and what the research communities claim, it is clear that the Storting must address and ask control questions about the work done by the Ministry of Agriculture. I record that the Riis-Johansen Council does not want to deal with the agricultural bureaucracy. He wants to have a peaceful period as Minister of Agriculture and Food and to stick to the agricultural bureaucracy. But at the same time in this debate it is very interesting when representatives such as Sigrun Eng from the Labour Party and Ola Borten Moe, the chairman of the Committee, in many ways confirm that there is a great bureaucracy in agriculture, because it is a regulated industry as it is. So to the Food Authority. There are some people who realize that the Food Authority, we're just going to withdraw from the bureaucracy, it has nothing to do with bureaucracy. I can tell Stortinget that the representatives of the Progress Party on the Business Committee almost daily receive enquiries from companies and individuals who claim that they are exposed to bureaucratic food supervision. We're going to have an effective and good food supervision, but we have to see if the Food Authority acts effectively, and whether the Food Authority acts unbureaucratically. After this debate, it is only to realise that the debate on bureaucracy in agriculture is not over.
ParlaMint-NO_2008-04-08.ana.ud2463e1617	Several have not asked for the floor on case No. 6th@item: inlistbox [[See page 2827]]
ParlaMint-NO_2008-04-08.ana.ud2463e1633	There is an overall committee behind the situation where the Storting asks the Government to assess whether it is right to initiate a process to highlight Norway’s challenges in terms of a comprehensive migration policy in the light of developments in Europe. Odelstingen will be dealing with the Foreign Affairs Act later today, and it is a comprehensive law that covers almost all of it, most of it in the area of immigration and integration. Later this spring we will receive a big message on labour immigration. Based on the debate that will take place later today, and as a follow-up to the message we are receiving, we will in many ways discuss the whole range of issues related to immigration and migration. Nevertheless, we see that it may make sense, and it may be right that the Government, through a new message, is carrying out an evaluation while possibly raising other and new issues that are presented to the Stortinget for discussion. It is therefore a unanimous committee that takes the challenge from the Right to ask the Government to consider whether it would make sense to come back with a message. From that I will ask the Storting vote for this setting.
ParlaMint-NO_2008-04-08.ana.ud2463e1642	The importance of this proposal is to be addressed in the United Kingdom by a communication on a comprehensive refugee and migration policy at national level, where this is also seen in an international context. There is a great potential for development in migration. Both in Norway and in other Western European countries, there is a strong need for labour and labour immigration, but there is no question that there are challenges related to illegal migration, among others. in relation to crime, labour exploitation and human rights violations. Internationally, there is now often a need for a common framework in relation to globalisation and migration, and by 2010 the EU will have a common European asylum system in place. I believe it is important for Norway to be involved in the formulation of a common European policy on asylum. Norway will therefore participate in international discussions and processes concerning the relationship between foreign and development policies and migration, integration and inclusion policies. Prevention and response to refugee challenges will have an impact on Norway’s impact on migration, but this requires good coordination of Norwegian policies in this area. In my view, common international work is important in three areas in particular. First of all, there is work on clarifying and reinforcing rights, for human rights and individual opportunities are very different in different countries. The second is that it is important to work for a greater intercultural dialogue. Various measures must then be taken for migrants, but it is important to take into account the large distinction between legal and illegal migration. Today, there are about 200 million people living abroad. The increase has been high since the 1970s. All countries are affected by migration, either as countries of dispatch, as countries of transit or as countries of destination. We see migrants in parks, on the pavement, at airports, in cities and in local communities. Migration concerns us all. It has both social and economic implications, and we see clear consequences in important areas such as human rights, peace and stability in the world, trade and public health. National and regional legislation is affected and made necessary. There is an international common recognition that the world community has no phase in all these challenges posed by migration, but to demand a common framework and the recognition that there must be a minimum of protection against illegal immigrants. This also directly intervenes in our own debate on illegal immigrants and their need for health care, as we do. could read about in today's Evening Post. I'm not going to take that debate now, but I think there's one important question that needs to be asked, and that's: where are the boundaries really going? There will be an important debate in the future. Last week I attended an international parliamentary conference under the auspices of the European Union on globalisation and migration. Whatever the country, regardless of internal circumstances, the views were that it is necessary to work for a common framework and harmonisation of the laws of different countries. Regulation of the migration flow was also seen as an important future issue and as a major challenge. As a representative from Poland said, there is a great migration today, but it has been at all times and around the world. Almajali of Jordan stated that dialogue is more necessary than ever and the only option for peaceful development. Because, as he said, we need to understand the concerns of the recipient countries, but we also need to understand the reasons why people migrate. War, persecution and job shortages lead to migration, a migration that needs to be distinguished from illegal migration, where crime is often the trademark. And from an African representative came the following heartache: we have to find the best way to regulate migration, so that we can concentrate on giving the best opportunities to the legitimate migrants. Probably, both nationally and internationally, the challenges are many, and I'm going to try to sketch some of them point-to-point: Migration has implications for social and economic policy both in a country and in a continent. There is an increasing international need for common standards to regulate migration flows. Migration challenges are and will be a test of international cooperation and peace-building work. This applies to legislation and harmonisation between different countries and also to internal legislation in their own country. We are going to have our own foreign law to debate in Odelstinget today, but we are probably not finished with that debate. There will certainly be more to come and more to be done. We must look at the rights of migrants, both the legitimate migrants and the illegals, as I mentioned earlier. We must work on attitudes towards illegal migrants. There's questions about human trafficking -- what do we do about it? It is incredibly important for the whole of world peace to reduce the difference between poor and rich countries. Dialogue and common cultural understanding are essential. Basically, it will be working to promote democracy, human rights and respect for law. All the indents that I have now outlined - something that covers bolts - contain different elements that must be involved in a policy debate on migration and in shaping a future migration policy, both in relation to our country, in relation to the EU and in relation to the whole world, for this is globalisation. In its reply to the Committee on this matter, State Councillor Bjarne Håkon Hanssen has emphasised that the Government is working in several areas on this issue, and that is correct enough. We have the Foreign Affairs Act, which is being treated today, and we get a big message about labour immigration, which will also contain a lot of this, and the Ministry of Foreign Affairs is working on a big message about foreign policy, which is essential in relation to migration. Then it is also stated that some research and development work is being carried out in this area. I agree that all these areas are important and comprehensive in terms of migration. The notifications will also provide a good basis for formulating a comprehensive and coherent refugee and migration policy. But my point is that everything has to be woven together--then one will see if all the threads have been attached. That is why I want a big message about a comprehensive refugee and migration policy in relation to Norway, the European Union and the rest of the world. I am pleased that the committee has a positive basic position on this matter, but I am somewhat disappointed that the committee has not managed to take any final position in the vote other than to ask the Government to consider this further. My challenge to the Council of State will therefore be: Will he now take the initiative to give the Grand Duchy and our country the opportunity for a comprehensive refugee and migration policy, and so that the Grand Duchy can be dealt with and taken a final stand on such an important issue, which will shape the future both in our country and in the rest of the world?
ParlaMint-NO_2008-04-08.ana.ud2463e1701	In Document No: 8:19 for 2007-2008 by the representatives of Foss, Holmberg, Höie and Bretzeg, proposals are being made for a comprehensive communication on a comprehensive refugee and migration policy. In my reply of 19 December last year, I pointed out that the ongoing work on a major communication on labour immigration and the process towards Odelsting's examination of the proposal for a new foreign law itself would provide the basis for discussing refugee and migration policy issues. A new foreign law is subject to treatment at Odelstinget later today, and in a short time the notification of labour immigration to the Stortinget is transmitted. On the basis of the above-mentioned issues, the Government wants to continue by focusing on the international migration and refugee challenges Europe is at the heart of and how we can contribute to addressing them in the future. The number of asylum seekers in Europe has varied considerably over time. Although, among others: Norway has for some years registered relatively few asylum seekers, the trend now appears to have turned around. Regardless of asylum arrivals, I see it as probable that the scope of migration - both legally and illegally - will remain at a high level in the years to come. There is not always a clear distinction between flight and migration. Applicants for Europe today may in many cases have mixed motives - often there is a need both for increased security and for a materially better life behind it. In this picture, organized crime is heard through human trafficking and smuggling. It is clear that tragic events involving the lives of refugees and migrants often result from the cynical exploitation of criminals. I do not see any simple solutions to these complex challenges, but I see the need for a broad approach and the need for well-established cooperation between European governments. It is clear from the picture that global aspects, such as climate change and conflicts, also have an impact on the response we have to the challenges. It is a fact that, in parallel with the strengthening of cooperation, the EU is increasingly a driving force in the development of European refugee and migration policies, and also in linking migration policies and development policies more closely. The EU is made up of our neighbouring countries, and the migration and refugee policies developed by our neighbouring countries are impacting, for example. through the number of asylum seekers. With the exception of the Dublin cooperation on which country is obliged to deal with an asylum application, and the Schengen cooperation, we in Norway still have few formal contact points for this part of EU cooperation. At the same time, we are facing the same challenges as our neighbours. I believe that it is now time to highlight developments in Europe and the response of European governments to migration and refugee challenges. This is in line with the Committee's recommendation to the Stortinget in its opinion. In explaining developments in Europe, I find it important to explain what Norwegian participation in, for example, is. Schengen cooperation provides us with opportunities and limitations, and what challenges we face as a result of the current EU reform processes. I am therefore aiming to promote a comprehensive communication on Norwegian refugee and migration policy in a European perspective.
ParlaMint-NO_2008-04-08.ana.ud2463e1720	Several have not asked for the floor on case No. 7th@item: inlistbox [[See page 2828]]
ParlaMint-NO_2008-04-08.ana.ud2463e1738	No one has asked for the floor. [[See page 2828]]
ParlaMint-NO_2008-04-08.ana.ud2463e1746	The increase shall now be added to the case No. 1-8.
ParlaMint-NO_2008-04-08.ana.ud2463e1770	During the debate, Mr Hagen put forward two proposals on behalf of the Progress Party. First of all, there is a vote on proposal No. 1st@item: inlistbox The proposal reads as follows: ‘The Government is asked, in the case of operations abroad, to base itself on the principle that, if there is a lack of equipment, exercises and other cost-intensive purposes, proposals for additional appropriations rather than apologies for lack of resources or money’.
ParlaMint-NO_2008-04-08.ana.ud2463e1787	It is then put to the vote on proposal No. 2nd from the Progress Party. The proposal reads as follows: ‘The decision asks the Government to postpone the planned merger of the press and information department to the Council of State and the Chief of Defence until the matter has been dealt with in the Stortinget.’ The right has announced that they want to vote in favour of this proposal.
ParlaMint-NO_2008-04-08.ana.ud2463e1836	During the debate, nine proposals have been put forward. It's the proposals No 1-7, from Gunvald Ludvigsen on behalf of the Progress Party, the Christian People's Party and Left proposal No. 8, by Jan-Henrik Fredriksen, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on proposal No. 9, from Gunvald Ludwigsen on behalf of the Christian People's Party and the Left Proposal No. 9, from the Christian People's Party and the Left, is addressed to voting. The proposal reads as follows: ‘The Government asks the Government to take the initiative in international cooperation and to make the necessary changes to the laws so as to make it possible to prosecute offences against the law prohibiting sexual mutilation when the offence has been committed by foreigners abroad, even when sexual mutilation is not prohibited in the country in which the offence was committed.’
ParlaMint-NO_2008-04-08.ana.ud2463e1863	Proposal No. 8, from the Progress Party, is taken up for voting. The proposal reads as follows: ‘The decision asks the Government: 1st@item: inlistbox Promote the necessary proposals to introduce mandatory health control of infants with a view to disclosing genital mutilation. 2nd@item: inlistbox Promote proposals on parental accountability for the implementation and exposure of gender. 3rd@item: inlistbox Promote proposals for measures to ensure the criminal prosecution of persons involved in sexual mutilation. 4th@item: inlistbox Promote proposals that the occupational groups covered by the compulsory elimination obligation should not only be obliged to avert sexual mutilation but also be obliged to report/notify if sexual mutilation has taken place.5. Provide easy-to-understand information material for kindergarten staff and school staff at primary and secondary school for how to proceed if they suspect an impending sexual mutilation, if they suspect that sexual mutilation has been carried out, or have revealed mutilation. 6th@item: inlistbox Take the initiative in international cooperation, so that it can be possible to prosecute offences against sexual mutilation, and to amend current laws to allow criminal offences to be committed abroad even in cases where sexual mutilation is not prohibited in the country where the offence is committed.»
ParlaMint-NO_2008-04-08.ana.ud2463e1897	Proposals Nos. 1-7, from the Party of Advancement, the Christian People's Party and the Left are taken up to vote. Proposal No. 1 sounds: ‘The decision asks the Government to lower the threshold for the obligation to notify the professions covered by the anti-sex legislation.’ Proposal No. 2 sounds: ‘The Government is asking the Government to impose an obligation on asylum recipients to inform them that sexual harassment is prohibited in Norway, what this prohibition is against, and why gender mutilation is prohibited in Norway.’ Proposal No. 3 sounds: ‘The Government is asking the Government to put in place a system whereby all those who come to Norway from countries where sexual harassment is practised must sign that they are aware that sexual mutilation is punishable in Norway and that we have a criminal sanctions obligation.’ Proposal No. 4 sounds: ‘The Government asks the Government to ensure that sexual harassment becomes a theme under the Newborn Health Station Programme.’ Proposal No. 5 sounds: ‘The government asks the Government to ensure that gender impairment becomes a topic during the school start-up survey.’ Proposal No. 6 sounds: ‘The government asks the government to ensure that those who work in the school health service are schooled in what gender harm means, who is at risk of being exposed to it, and how to talk to parents about it.’ Proposal No. 7 sounds: ‘The decision asks the Government to consider imposing a notification obligation on the same persons as it currently has an obligation to avert genital mutilation.’
ParlaMint-NO_2008-04-08.ana.ud2463e1961	During the debate, Mr Hoksrud put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘The Government is asked to submit to the Stortinget an action plan on enhanced oil protection preparedness during 2008. The size assumes that the plan contains clear and committed funding for upgrading oil protection equipment and vessels.» This proposal will be replaced by the Committee's vote.
ParlaMint-NO_2008-04-08.ana.ud2463e1988	During the debate, Mr Hansen presented two proposals on behalf of the Progress Party and the Right. Proposal No. 1 sounds: ‘The Government asks the Government to concreteise the extent of the agricultural bureaucracy in a presentation to the Stortinget.’ Proposal No. 2 sounds: ‘The government is asking for a strategy for the red tape of agriculture in the presentation of the 2008 agricultural settlement.’ These proposals will be replaced by the Committee's voting.
ParlaMint-NO_2008-04-08.ana.ud2463e2038	A vote will be taken on the proposal by Mr Ib Thomsen on behalf of the Progress Party submitted by Mr Odelstinget’s meeting on 1 April 2008. The proposal reads as follows: ‘The decision asks the Government to remove the right of pre-emption in respect of the sale of dwellings and apartments.’
ParlaMint-NO_2008-04-08.ana.ud2463e2079	Thus, today's map has been processed. Does anyone ask for the word before the meeting is cancelled? - The meeting's been cancelled.
