ParlaMint-NO_2008-02-13.ana.ud1703e22	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2008-02-13.ana.ud1703e1306	When it comes to environmental action in the big cities, we also have very good cooperation with the cities. There is good dialogue, both from the Ministry of Transport and from other departments that have ownership of that issue. I see that time is working for what the Council of State has worked for, whether it's about cow pricing or other measures, which, together with increased efforts on public transport from both the Government and local authorities, will help us get a more environmentally friendly development of our cities. They're getting better at living in, and that's our goal. In this way, urban development is improved, which is particularly important both for urban dwellers and for those who visit cities. We're going to continue with the close cooperation, and I think that the sense is at least as well local as central, and that the governance of this field would like to continue to be local, but of course we should be responsible for contributing both financially and when it comes to planning solutions.
ParlaMint-NO_2008-02-13.ana.ud1703e1316	I allow myself to ask the Minister for Transport the following questions: ‘In Hedmark, many animals, especially elk, have been killed by trains and cars this winter. This is a big problem in many ways. How will the Council of State contribute to a significant reduction in the number of such accidents?’
ParlaMint-NO_2008-02-13.ana.ud1703e1325	The large number of moose deposits in Hedmark can not only be a consequence of the animals being executed, but is also a road safety problem. In the period 1998–2005, 22 people were killed or seriously injured in electric gourmets on the roads in Hedmark. The number of elf runs increases in long winters by a lot of snow. Inductions also increase with increasing elk stock, increasing traffic volume and increasing running speed. Hedmark is the largest elk in the country and has several passageways with a lot of traffic. Therefore, there will be many conflicts between the game and traffic. The state road system has implemented many measures to reduce the size of the hatches. In the last seven to eight years, the cleared forest along 170 kilometres of highway in the most advanced municipalities on the Hedmark and in the Østerdalen. Here the vegetation is removed 10-12 meters on each side of the road. In cooperation with the Landowners’ Associations, municipalities and the Railway Agency, the State Road Administration provides annual support for feeding activities in Stor-Elvdal and Rendalen to keep the elk away from the traffic lanes. The state road system has focused this winter on the management of the elk dam in Hedmark and raised questions as to whether there is too much elk. Along rv. 3 in the Østerdalen many road users have a challenging running culture with a high speed level. Speed limit has now been reduced from 90 to 80 km/h on 80 km/h on the national road and on individual routes the winter speed limit of 70 km/h has been introduced. A programme for the evaluation of measures to reduce wild fauna and flora is also under way in the country’s road system. In this programme, they will examine the effects of a range of measures. This applies, inter alia, to: game fences, sieving, signage, game reflectors, sound, odour, feeding and information to road users. It also includes game transitions and setbacks. The programme will last in 2008 and 2009. In the case of the Railway Agency, since 2000, they have had a focus on prevention measures involving fences, breakage and removal of vegetation. There are also snowmobile loops running so that the animals can follow them instead of walking along the railway line. In addition, reflexes, game mirrors and feeding have been tried. The number of animals that were introduced decreased in the period after 2000, but has again shown an increasing trend in recent years. In the light of these developments, it is difficult to assess whether the measures taken are adequate. Weather and grazing conditions, as well as the size of the game population, are factors that are of great importance to the number of game spills and with which it is difficult for the Railway Works to do something. The railway works and the train operators, together with local authorities, have common interests and are actively delimiting the number of animals on the train and reducing the suffering of the animals on the train. Efforts to reduce animal losses, both by road and rail, will continue. It is important that all parties involved actively work to find solutions that can help reduce this problem.
ParlaMint-NO_2008-02-13.ana.ud1703e1344	I thank the Council of State for a full and good answer, where it was mentioned how much has been done, and a little about the plans ahead, which I understood. As the Council of State said, it is true that Hedmark is the largest moose state in the country. Just to explain a little bit about it: within an hour a few days ago, six moose were killed in Hedmark, four of the trains and two of the cars. It says a little bit about how big this problem is, both in the case of animals that are killed, animals that suffer, material damage and people who get involved in it. When six animals are killed in one hour--it's pretty strong-- it doesn't help so much what's done. My question is, what are we going to do to bring down this number? A number of measures were mentioned by the Council of State, but these measures must now be taken. There have never been as many accidents in January as now this year in Hedmark. What will the Council of State do now?
ParlaMint-NO_2008-02-13.ana.ud1703e1353	As I did well in my main response, there are a number of actions that have already been taken. I’m not talking about actions that will come up on time, but actions that are already in place and that are actively involved. That traffic is increasing, that moose population is increasing, and that speed is increasing, is probably the three main reasons why we also see that the number of hatches is increasing. Then do something with the speed. The moose file has to be evaluated. There is no such council, but it must be done as well. As I said, when it comes to speed and stock, something is done about it. Of course, we also need to look at traffic growth. To fence in all the way is impossible--and to fence in is the most effective measure to prevent these openings! But we simply can't do that along all of our roads, unfortunately.
ParlaMint-NO_2008-02-13.ana.ud1703e1364	I thank you once again for the reply from the Council of State. This is a big problem. It's probably true, as the Council of State says, that we can't solve this just by pinching our fingers. But that we have to do something, and that we have to do it quickly, is quite clear, because there are many sufferings here -- in many different ways. The council did not mention anything about this in terms of tightening up the responsibilities of road users - at least I did not see it that way. It's a duty to report, and there's a lot of animals that are hit that are not reported. Here I think the council must be a little bit stronger. I also think she needs to be stronger when it comes to contacting local people and acquaintances. And also: I think you have to train staff to kill the animals that are being damaged. A while ago, the weapons on trains for train crew were removed. Looks like they're going to get them back. That's good. There are many measures, such as: feeding grounds - so that in order to obtain food the animals do not have to move towards where it is broken - more transitions, signs and information campaigns. Some people talk about that it might not be good to salt so much, because salt attracts animals, etc. We have a big job here in front of us.
ParlaMint-NO_2008-02-13.ana.ud1703e1377	In my main response I include both game hunters, sidings, signage, game reflector, sound, odor and feeding stations - and better information to road users. These are actions that have already been initiated. Despite these measures, we still see that the number of accidents is increasing. Of course, it is important that you give a message about it when the accident first occurs. Bilistane is obliged to do that -- it's going to tell each of us when we get into such a situation. I myself have been in the unfortunate situation of driving in a deer calf - in the West we have deer, which is a very increasing problem - and the first thing I did was to contact wild animals. This is something that we may of course have an information case about, so that you can clarify the more clearly, but it is in the law that we as drivers should have learned when we take a certificate. I am very open to a dialogue - including with Bredvold - about how we can get down the oeuvre. It is important both for the animals and, not least, for all the human beings involved, with the human costs it has.
ParlaMint-NO_2008-02-13.ana.ud1703e1388	Question 12 has already been answered.
ParlaMint-NO_2008-02-13.ana.ud1703e1395	It is a pleasure to be able to ask the Minister for Children and Gender Equality the following questions: ‘The rescue measure.no is a network of professionals, politicians and individuals from different social arenas that supports the requirement that child response to violence, abuse and care failure should be intensified and expanded radically. The action also requires governments to provide significantly increased resources for this work. Will the Council of State comply with the demands of the rescue operation?’
ParlaMint-NO_2008-02-13.ana.ud1703e1404	I am pleased with the commitment that lies behind the establishment of the website, and I agree with the objectives outlined. There is no doubt that we need and will need to increase further efforts to prevent, detect, report on, protect and help children and young people who are exposed to violence, abuse and care failures. That's what the Government has stated in the Soria Moria Declaration. We need to get to know those who directly meet the children, whether they're in kindergarten, at school, in child protection, in health centres or in other facilities. Increased knowledge gives ability, courage and willingness to reveal and help. The government’s new action plan against violence in close relations, ‘turning point’, has several competences. One such measure is the project ‘Children living with violence in the family’, in which one of the website’s promoters is employed. The aim of the project is to strengthen skills and develop methods and measures in the field of child protection and in other services with which child protection cooperates. I have also set ‘violence against children’ as one of several themes at nine regional conferences on child protection in 2008. Several family protection offices currently have the competence to assist with, inter alia: traumatisation of children and siblings who have witnessed/exposed violence and who may provide group treatment for children. The National Knowledge Centre on Violence and Traumatic Stress has launched a study on the testing of an American treatment model for children exposed to sexual abuse and violence. Last but not least, we must reach the children and young people themselves, their parents and the general public through various instruments. I'll mention a few: The Ministry of Children and Gender Equality, in cooperation with the Ministry of Justice in 2008, will establish an emergency telephone for children and adults. This will give children and young people the opportunity to tell about their situation. In addition, it will provide adults with an opportunity to report their concerns to children. Reported concerns shall then be followed up locally by the ordinary auxiliaries. I look forward to getting this measure in place. I would also like to mention that we are going to open three children's houses during 2008. In 2007 two children's homes were opened. I would like to strengthen the prevention of parents with a minority background through parental guidance in the reception of asylum and in other municipalities. I would like to mention that the Children's Convention Forum, such as is composed of Red Barna and Norway’s Red Cross, which has recently received funding from the Ministry of Children and Gender Equality for an information and awareness campaign in 2008. This is aimed at both the auxiliaries and the general public. In conclusion, I will, of course, follow this area carefully and assess what measures are necessary and at the same time appropriate to strengthen the provision of services to children. Further strengthening of the area will be addressed in future budgets.
ParlaMint-NO_2008-02-13.ana.ud1703e1427	I would like to thank the Council of State for the answer. There are many good measures today, and that is good. But at the same time, I want to develop some of the experiences I've had myself. I have visited many municipalities. Last week I visited the Psychological Prevention Team in Asker, which focuses on helping children and young people with complex and mental problems. I've visited Kristiansund Municipality and Child Protection there, and they describe some of the challenges of child protection. And I know that many people who work in child protection want to do a good job, and they help a lot. But the challenges are that there are too few resources. The reality description is given about the measures that exist, which sounds very good, but for those who work at the health centre, and for those who work with child protection and various measures in the municipalities, everyday life means that resources do not go to help the most disadvantaged children. They feel that there's too little attention around it. What will the Council of State do with the lack of resources?
ParlaMint-NO_2008-02-13.ana.ud1703e1436	I'm closely monitoring what's going on in child protection in different areas. We don't deal with budgetary issues through this exchange of words, but I'm very aware that we have to follow closely what's going on at the municipal level. The measures we have outlined are not a strengthening of the economy, although they are also in relation to the children's homes. However, they will help to increase the attention at municipal level, in view of the need for extended child protection measures for children. I follow that closely.
ParlaMint-NO_2008-02-13.ana.ud1703e1443	I thank the Council of State again. I also hope that the Council of State will cooperate with the various departments, because when it comes to building up knowledge, for example. in the training of pre-school teachers, in the training of child protection educators and for those who are teachers, it is important that one exploits the resources that are available, also in order to strengthen knowledge. There are many who are involved in kindergartens and in schools that are insecure when it comes to statements of concern, which are uncertain about the procedure and which also seem to be very burdensome. This means that children who might have been notified will not. It is very good that one has many plans, but it is very important that one of the practical policies makes the interaction work, and that one listens to grassroots, because both foster parents and child protection workers provide direct firsthand knowledge of what can be better. We still have a big job to do there.
ParlaMint-NO_2008-02-13.ana.ud1703e1452	I'm not interpreting this as a direct question, but as a sign that me and the representative Molvær Grimstad have exactly the same sense of reality. As regards anchoring and including these themes in continuing education, this will require a legislative change. It is the responsibility of the Ministry of Knowledge. Otherwise, I can assure the representative that I work closely together, among other things. with the Ministry of Health and Welfare and with the Ministry of Knowledge in view of looking at what can be done specifically to contribute to, for example: the number of messages is increasing. So I have full attention in these areas.
ParlaMint-NO_2008-02-13.ana.ud1703e1459	Question 14 has been answered earlier.
ParlaMint-NO_2008-02-13.ana.ud1703e1465	I have a question to the Council of State Sylvia Brustad: «The hospital Østfold is now cutting into positions in the diabetes team, which means that the offers in Halden and Moss are closed. Patients are transferred to Sarpsborg, where manning is also reduced. The order document says that the diabetes teams need to be strengthened, but at the Hospital Østfold it is cut by 25 pst. This will undoubtedly affect the patients. Prevention, guidance and treatment of latecomplications are some of the tasks that are being reduced. Will the Council of State ask the hospital to maintain this well-functioning department?’
ParlaMint-NO_2008-02-13.ana.ud1703e1474	Sickness about the hospital budget this year is far better than it has been in many years -- in fact, the best that has been given for a single year -- is no doubt that many of the health care businesses are facing significant migration challenges in order to get the economy organized, in order to use a very simple expression. In that process, changes in patient provision may occur. As a rule, there is a change in the division of tasks or in the organisation of the offer, without making the offer to patients worse for that reason. I am aware that the balance requirement set by the Stortinget also poses major challenges for health companies, but I assume that the necessary adjustments are made in line with the overall leadership and requirements of quality, activity and economy through the order document and business meeting. Health South-East RHF informs us that the Sjukehuset Østfold has a well-developed offer to the diabetic patients in its county. The supply to adults with diabetes includes a multidisciplinary team in Sarpsborg, as the interviewer also knows. Currently there are 4.4 positions for diabetes nurses in this team. In addition, two supervisors specialising in endocrinology and two clinical nutrition physiologists participate in the team. They cooperate with the car surgeon, orthoped and orthopaedic engineer as necessary. In addition, there is a separate offer for children. From Health South-East I have been informed that the Sjukehuset Østfold has reduced the number of jobs for diabetic nurses at the Sarpsborg team to 3.4, i.e. with one - this as part of the work to adapt the operation to the framework. The offer in Halden ceases and will be continued through the team in Sarpsborg. The hospital in Moss does not have their own diabetes nurse, and they have received services from the team in Sarpsborg. I have been informed that patients with diabetes from all over the county will still receive a sound medical offer, but that some patients will have a slightly longer route. Employees affected by this conversion will be offered vacancies at the Sjukehuset Østfold, where their competence in the field of diabetes could be fully or partially exploited. In the follow-up to the 2008 Mission Document, Health South-East will assess the need to review the supply of diabetes patients to all health professionals, in order to ensure an equivalent offer to patients throughout the region and – as a matter of principle – in all counties. I assume that the Board of Directors of the Hospital Eastfold and the Board of Health South-East will continue the work of developing the supply of diabetic patients in line with the Soria-Moria Declaration and National Strategy for the Diabetes Area 2006-2010.
ParlaMint-NO_2008-02-13.ana.ud1703e1487	It wasn't something I didn't know about, that was revealed in the answer from the Council of State. What I was very concerned about was whether the council thought her assignment was done, when you cut a diabetic team instead of strengthening it. The hospital says this is a very good team. That's right, that's right, but that's not good enough. When it's a year waiting for patients to get in, it's too long waiting. Many of the patients have already waited two to three years before applying to come in. It is not that the offer is too good. Destruction of this team by removing one position now means that patients will receive a reduced offer. Communication director Erlandsen says the offer is good enough. Those who need it the most are treated. That's right, treatment -- but that's the prevention thing to bet on, and it's been repeated many times by the Council of State. Does the Council of State not believe that the prevention of late complications is really becoming important in the future? Isn't it important to take care of that role, not just to deal with late complications?
ParlaMint-NO_2008-02-13.ana.ud1703e1496	I believe it is essential to prevent so many people from becoming ill with diabetes 2. We know that a good part of this is related to the way we live. That's why we also have everything to do with trying to get more people moving, eating healthier and trying other preventive measures to prevent people from getting sick. Today, about 120,000 people have diabetes 2. That's why we have to try to prevent so many people from getting sick. That's point number. 1st@item: inlistbox Secondly, it is said that regardless of whether you live in Eastfold, Hedmark or elsewhere, you should have a good deal of treatment - it is the treatment you need there and then, but it is also seaworthy to prevent late complications. I have received insurance from Health South-East that diabetes patients in Eastfold too will have a proper medical offer - it should just be lacking - but that the situation is that someone will get a little longer travel route. The government is very serious about its diabetes strategy, and I remind you again that the board of Health South-East along with the board of the Hospital Eastfold will go through it to ensure equivalent offers throughout the country.
ParlaMint-NO_2008-02-13.ana.ud1703e1505	I thank you for your answer. I want to remind the Council of State that we spend $10 billion on diabetes every year. Seven of these billions are going to treat late complications. We aim to expose all the undiagnosed, and the goal of revealing them is to provide them with good information and teach them how to live with the disease in order to avoid late complication. This group will always come in the last row if you're going to take care of those who need it the most, those who are sickest, and those who have already developed complications. If this is done with undiagnosed findings, is it not important that they receive competent guidance so that they can avoid late complications? Does the Council of State mean that it should be up to the hospitals to assess all the time? Does the Council of State think that there will be good diabetic teams that can catch up with them, which can fulfill that role, without there being earmarked grants or clear guidelines?
ParlaMint-NO_2008-02-13.ana.ud1703e1517	I have no information to suggest that the diabetes team in Sarpsborg will be destroyed because if there is a position less right there - it will be used for the Eastfold Hospital for the benefit of diabetes patients in other ways. The most important thing about prevention is to get access to people before they come to the specialist health service, to make sure that we detect them in the school health service or in the health centre, i.e. in different types of lowthreshold services. And I also want to say, I'm not a stranger to try out new models to get access to the undiagnosed even earlier. I fully agree with the representative that this is a major challenge. All should receive good treatment, whether in Eastfold or in other counties. It is of great importance to avoid late complications, which the representative is concerned about. There is a lot of this that can be prevented by the learning and mastering centres that we are now building up in all parts of the country. Also advice, tips, guidance and follow-up on how to deal with the situation is very important.
ParlaMint-NO_2008-02-13.ana.ud1703e1529	I have this question to the Council of State: ‘We have many serious and shocking examples of elderly and sick people who have been expelled from Ullevål University Hospital without being fully investigated. This is what the Nordre Aker City Supervisor said. The reality of such a description does not contribute to ensuring the dignity of the elderly with complex disease images. What will the Council of State do to improve cooperation between state and local health services for sick elderly people in the final phase of life?’
ParlaMint-NO_2008-02-13.ana.ud1703e1538	Sick elderly people will need health care and help from many. Local and specialist health services must together form a treatment network around the individual user, so interaction must work. The situation described in Nordre Aker Budstikke, about the interaction between Ullevål University Hospital and the city of Nordre Aker in Oslo, is not what we want it to be. Sick elderly people have exactly the same health care rights as everyone else. It is a very important goal to facilitate a comprehensive offer, so that sick elderly people can live a good life with the best possible function for as long as possible. That's why it's getting a better interaction between the primary health service and the specialist health service that's one of the most important things we should do in the future, as I see it. That is why the Ministry of Health and Welfare and the Municipal Council of the Municipalities signed last June a three-year national framework agreement on health and care interaction. An important purpose of this agreement is that it should lead to the conclusion of local cooperation agreements between all municipalities and all health care establishments. How are we going to deal with the situation when a person is going out of a hospital, back to the municipality, and can't go to his own home right away? In that framework agreement, we have highlighted two areas where there is a particular need for good interaction. This applies to maritime health services, and to recording and printing practices, where we see that there are challenges. We strongly recommend that procedures for recording and printing practices between municipalities and specialist health services be described in the local agreements - i.e. that agreements be concluded on how this should be done. Who's responsible for the hospital? Who in the municipality is responsible for going out and out of the hospital? In this way, we can ensure both good information flows, which are good and essential for good quality of treatment, and predictable and good treatment processes for those concerned. Strengthening interaction with primary health services has always been one of my most important governance messages to regional health businesses. It now begins to bear fruit in parts of the country. Interactions are being developed across the country, for example: in the fields of competence development, health care provision where primary and specialist health services cooperate, so-called intermediate units, with good results, and mobile teams, the fact that a person goes from hospital to hospital or where the elderly are - to mention some of the measures that are important to the sick and elderly who need it. I would also like to mention a system called the practical consultation system, which simply means that a regular or other health professional from the primary health service is working closely together, is in a hospital department in a hospital. There has been a great success, because the main task of this coordinator is to help the patient through healthcare, so that he or she just experiences a continuous treatment chain. The vast majority of hospitals have now set up such posts for practical consultants. I recently received feedback from the regional health companies that 133 people are now working in this way. It's impressive, and I think it's a great example of a good interaction action - and we're expanding it by 20 more during this year. With regard to the concrete cooperation between Ullevål University Hospitals and the urban areas in particular, Health South-East has informed me that there are several measures in progress to strengthen interaction. There are now established permanent cooperation forums between the hospital and the urban areas: a cooperation forum at administrative level, and one at professional level. I am informed that the forum that meets at administrative level is now to meet more frequently, precisely because there is a great need to discuss how to find common arrangements. It has also been decided to organise a joint professional day to discuss how this should be resolved for selected patient groups. On that academic day, the goal is to create standard patient profiles for patients who are soaking up the hospital, and who need services from Ullevål University Hospital, the hospitals and home care. The cooperation work is well anchored in overall agreements between the Municipality of Oslo and the sectoral hospitals. It is also the subject of a wide-ranging work group dealing with the provision of local hospitals in the capital area. And it's also, of course, part of the big process that is now in progress in terms of the capital and in connection with the merger of Health South-East. I can assure you that interaction will be a very central area in the future. I fully agree with Mr Dørum that this is essential. To a large extent, it is about supporting local partners so that they can agree on good practices and joint interaction actions. Sick elderly people are particularly dependent on this working well. Sense if it's still easy to point to improvement possibilities -- and there are many places in the country -- it's also nice to see that in many places the interaction work begins to bear fruit. It is of great benefit and joy to the patients, and we must do so throughout the country.
ParlaMint-NO_2008-02-13.ana.ud1703e1555	I would like to thank you for a thorough answer. It's now approx. 16 years ago, a former state physicist in Oslo Fredrik Mellbye and a colleague of the former county-level player in Hedmark stopped me and said, "There is an age apartheid practice in Norway. With this aim in mind, older people often become statistics, and because the disease picture is complex, it is not met in the way it should. Now the state council has shown different ways to do it. Let me ask this one question like this: What will the Council of State do with what she said in her post, that she will follow with particular regard to entry and printing, that there are fixed forums in Oslo? What will she do to make us not feel that someone should be able to say that we are practicing age apartheid in our country?
ParlaMint-NO_2008-02-13.ana.ud1703e1562	It shouldn't be like that. Sick elderly people are to be treated in the same way as absolutely all other people in our country. Just let me make it clear! Today I come from a two-day seminar with all my directors in the regional health companies throughout the country and the top leaders at administrative level. One of the issues we've spent quite a lot of time on is how we're going to get into this interaction that many people have been talking about for years. I just want to give another good example of how it can be done with very simple grip. Ahus, the University Hospital in Akershus, has established a contact telephone to which all hospitals in Akershus can call. When e.g. Harry Hansen, 89 years old, is in the hospital and needs help, and they call the hospital for help and help. Then Harry Hansen very often escapes being sent to the hospital, but can get help where he is, either because the staff is getting professionally filled up, or because doctors can move out. This is also a very good way to interact, which we have to have more of. We're on it, but we're not on it. I will promise the representative that I will follow this very closely, and the government will also come back with further proposals over not too long.
ParlaMint-NO_2008-02-13.ana.ud1703e1571	I see the involvement of the Council of State. Then I have to be specific. Let me now take from what's the situation in a big city like Oslo. There are not always people in Oslo who have a network. It may be that they are actually all alone. That means that the pressures and challenges for those to deal with will increase. I know it well through different parts of my life. Now the Council of State has shown that, for example, between Ullevål University Hospital and Cities are fixed forums, both administratively and professionally. Does the Council of State see any kind of reporting, some kind of checkout, some kind of supervision, to see what can happen through these forums so that we won't get close to what I've described as age apartheid? As I said in my question to the Council of State, we must not get into the situation that there is no dignity for the elderly with complex disease images in the final phase of life. Does the Council of State see a way in which an active person can check out these patients? I ask the question because other government councils in other contexts have just chosen this slightly active form of supervision, so that we are faced with the questions that we are now dealing with in this questionnaire.
ParlaMint-NO_2008-02-13.ana.ud1703e1578	Yes, I can assure the representative, Dørum, that I am on the verge of this too. It's probably right, as the representative says, that there are a lot of people who are lonely, alone, who don't have networks. Unfortunately, we also see part of the overview of drugs and neuromedicines, that many older people also use it. I think it might be related to some of the representatives that Mr. Dørum brings up here. So there are many warning signals that we should take seriously. I don't like the form of supervision. We have a health reform that is the way it is, and I am an avid defender of it. What I can assure the representative is that I have a good dialogue with Health South-East. We have regular meetings, not least now in connection with the capital process, and there will be interaction as a central theme - it is a central theme. I'm also going to have a meeting with the management of the Municipality of Oslo, where this will be a topic, within not very long time. I can also inform you that follow-up of cooperation agreements, strengthening the use of individual plans, the day of the epi-crisis discharge, and strengthening the practice consultancy system is one of the things Health South-East is now working on to do even better for people living in this part of the country as well.
ParlaMint-NO_2008-02-13.ana.ud1703e1588	‘Norwegian Agricultural Cooperation recently announced that there is a significant shortage of beef, sheep and lamb meat in the Norwegian food market to meet demand. It is estimated that this deficit will increase further in the coming years, and that once again you will have the same situation in milk. Will the Council of State ensure that legislation is simplified so that Norwegian food producers themselves can have access to their own production and use the production capacity on the farm?’
ParlaMint-NO_2008-02-13.ana.ud1703e1595	First of all, I would like to point out that I am wondering about the representative's claim that milk could be subverted in Norway. There is no under-covering of milk in Norway, nor is there anything to suggest that it will be. The measures taken in the last half of 2007 have worked as intended and stocks for white cheese have been built up. As regards consumption in 2007, and preliminary figures for 2008, we see that demand for human milk is stabilising and that consumption of cheese and other dairy products is on the way up, but there is, as I said, a highly manageable situation on the milk market. In order to avoid overproduction and to achieve a regional distribution of production, it is necessary to continue the quota system for milk. However, I am prepared to take a discussion on how we can increase the flexibility of the milk quota system, strengthen individual farms and increase the equal treatment of single farms in milk production with co-farms. In the case of meat of bovine animals and sheep/lam, the forecasts show that Norwegian production in 2008 will remain stable with 2007. The normal increase in consumption has been 2-3 pst in the last few years. per 1 % years for cattle, which is in and on a large scale an increase, but nevertheless for 2007 we see a much higher increase - a sales increase of 6 pst. This means that production needs to increase significantly in the coming years, because demand is increasing. Bovine and ovine animal husbandry are biological productions where it takes time to extend the production base. The success of the rough-feed productions by meeting domestic demand is crucial for me - not least in a district policy context. Both in terms of housing and employment objectives and in order to maintain the cultural landscape around the country, it is important to be able to use the grazing animals for that purpose. I therefore take the market situation for cattle and sheep/lam very seriously. That is exactly why I also gave these sectors so much priority in the previous agricultural settlement that the gross income of cattle and sheep producers was increased by about 25 000 and 35 000 kroner per year respectively. annual work. This is an increase far beyond what has been achieved in the last few years' agricultural agreements. The difference in the production and consumption of meat that we have seen develop in recent years, I believe, has three main explanations: Norwegian cows milk more than before. That means there are fewer cows, which in turn means that fewer calves are born, which in turn provides the basis for fewer meat animals. Consumption has increased significantly. Only in the last year has the consumption of beef in Norway increased by 6 pst., pigmeat has increased by 7 pst., and poultry meat has increased by 13 pst. in the last year. It's formidable numbers. We've had a weak income development in the industry. From 1995 to 2005, the average income growth was 2.75 p.m. annual. It has, among other things, led to a lack of investment in the meat sector. As I said in my reply last Wednesday to the representative Foster violence regarding recruitment, the most important measure for us to have farmers here in the country is to contribute to good framework conditions in the industry through income opportunities, capital access and good welfare arrangements. It was important for me to prioritize it when I started my work, precisely because we have had a ten-year period of extremely low income development in agriculture. It was then necessary to facilitate a forward trend in income that points in a different direction and is better than what was the case before we took over. I am therefore very pleased that the forecasts for production in 2008 look better than for a long time. At the same time, as I said, demand is increasing even more than production. This growth in demand must be seen by agriculture as a major opportunity to increase the volume of production and the income base of industry. Demand growth from 2006 to 2008 has a gross value of DKK 1.3 billion at the target price point. It is therefore safer than in the long term to increase production, the risk of price losses is smaller, and the competitiveness of the outside world has improved due to price developments. With regard to the structure of cattle and sheep/lam production, a number of measures to stimulate production in both small and large uses were implemented during the last year’s agricultural settlement. Developments in production suggest that these instruments are now in the process of functioning. However, I would like to consider further adaptations to the instruments in the context of the spring agricultural settlement. The objective will be to stimulate production while ensuring balanced development between districts and between major and minor uses. This is an objective which cannot be achieved with the agricultural policy priorities of the representative Fostervold. In its draft budget for 2008, the representative Fostervold and the Progress Party proposed to reduce the agricultural agreement by DKK 7.1 billion. That would have weakened the economy by $122,000 per year. agricultural mills. If it had happened so wrong that the Progress Party had received a majority for its budget proposal in Stortingen last autumn, we would now have a crisis in cattle and sheep meat industry in Norway. Production would have fallen, and the willingness to invest would have been gone. Yes, at the moment Norwegian meat producers believe that the agricultural policy of the Progress Party can be implemented, we will see that investments and production will be greatly reduced.
ParlaMint-NO_2008-02-13.ana.ud1703e1629	The Council of State is once again trying the trick of taking action on the policy of the Progress Party. But now the Center Party in different governments has been in position for very, very many years, and we see that developments in agriculture are worrying in many areas. The situation on the world market makes it a positive averaging and opportunities for Norwegian agriculture, but I don't think that's because of the politics of the Council of State. But when you charge Norwegian consumers with a kind of state contract that involves costs of over 20 billion kroner per person. years, one would think that one would be able to get to a production that would make sure that we are seamount perhaps especially on the meat side. So we haven't done that. But in the posts of the Council of State, I think I heard a kind of guarantee that we should be able to be marine-supplied in meat production. Therefore, I just want to ask the Council of State: can he explain the Government's objective according to the agricultural settlement, and whether we are going to get self-produced meat in the future?
ParlaMint-NO_2008-02-13.ana.ud1703e1636	In fact, unlike the Progress Party, this government and I have the ambition to cover up the Norwegian consumption of meat with domestic production. As far as I know, the Progress Party wants to reduce border protection around Norwegian production. This leads to a reduction in Norwegian production, a reduction in the proportion of Norwegian goods to Norwegian consumers. Then I used approx. 10 pst. of my post to refer to the Advance Party. I find that the representative Fostervold thinks it is too much to use 10 pst. by an article on it. I'll take note of it. As regards guarantees in relation to further production, I said that in the case of milk, I am absolutely sure that we will not have any undercoverage in Norway in the future. We have production capacity to cover any increase in consumption, if it comes. As far as meat is concerned, we have had a sub-coverage that has evolved over very many years. We now see that the curves are turning around that way, that the will to increase production is greater than what it has been before, and we see that the downward curve, for example. in the case of sheep/lam, now flattening. That's very good.
ParlaMint-NO_2008-02-13.ana.ud1703e1645	The representative does not suggest that there is a positive trend in agriculture, but the question is, how long do we have to correct that deficit? What is the concern if we have a permanent import into Norwegian shops is that the Norwegian consumer is going to be so used to buying imported meat that the argument that Norwegian meat is the best, and Norwegian meat is the best quality, is being diluted. That's the background for me to address this question. When can we expect to take in the gap between Norwegian meat production and consumer demand for meat? We are in a trend that will lead to more and more permanent imports of meat, i.e. consumers are used to seeing foreign meat in Norwegian shops. This may lead to dilution of the agricultural objective.
ParlaMint-NO_2008-02-13.ana.ud1703e1652	I understand the question, but I do not understand why the question comes from the representative Fostervold. I think point one should be that the representative Fostervold is making sure to rewrite his batch program and not aim to reduce border protection around Norwegian food production and thus to facilitate the strengthening of these import channels, that there has just been an increase in imports of meat coming. The agricultural policy of the Progress Party is a recipe for an increase in the proportion of foreign meat in Norwegian shops, and Fostervold is on the floor of the Stortinget and is concerned about what will be the consequences of the Progress Party's policy. It's completely impossible to understand that context. But my concern is significant in relation to just this. The most important thing we can do, and as I also said in my first post, is to increase the profitability of meat production -- supply and demand, how profitable it is to produce a product. I believe that will lead to an increase in the offer. Now that we have put more money into meat production, it is an incentive to increase production in the future. I have also said that the agricultural settlement this year is going to be a continuation of the agricultural settlement that was last year. This still means increasing focus on incentives to increase meat production in Norway.
