ParlaMint-NO_2008-05-09.ana.ud1168e43	The representative Ib Thomsen will present a proposal for a representative.
ParlaMint-NO_2008-05-09.ana.ud1168e1073	In Norwegian society, we spend a lot of money researching. During the current ageing period, we have increased the public rights of research by a total of $3.5 billion. We have one year left of this grossing-up period. The Bondevik II government managed in four years was 3.2 billion. Compared to countries with which we both compete and cooperate, Norwegian research permits are on the whole. And there are trends that indicate that we're doing better. Scientific publications are increasing, and Norwegian researchers have argued very well within the EU framework programme. There are positive trends. In addition, the capital of the Research Fund has increased by DKK 30 billion in the current period. In the SV we are some with the proposers in that there should be a strategic space for action that opens up greater efforts in the field of research policy. We show in the setting of some of the tools that are just established to contribute to this, but we also want to highlight the function the fund has when it comes to this. I think the opposition is a little unfurnished as they approach the discussion of research policy. The previous speaker chose to use the word ‘crisis’ in his speech. I'm a little uncertain about how well to use that type of rhetoric when there's no crisis in Norwegian research. The permissions have gone up, and we have a wide range of tools for strategic bet. The public is responsible for ensuring that the promises of the State budget for research are as high as they are supposed to be, but we know that our main challenge is to ensure that the contribution from business is increased. Then it's not an explanation to stick to facts about the Norwegian economy -- an economy that's oil-powered, an economy in which GDP is strongly linked to the oil price, an economy that has an economic structure that is not directly comparable to that of a very large number of other countries. It's not an explanation, but a fact that we're going to consider when interpreting numbers. In fact, the total R & D investment made in Norway as part of GDP fell from 1.7 pst. in 2003 to 1.5 pst. in 2005. It's an expression that when we choose to use GDP as a measure, we get that kind of response. But now that case has stabilized, so it doesn't fall anymore. I would like to draw up the climate agreement also in connection with this matter. The climate is the greatest challenge in our time, it is very often said from this pulpit. We, as well as meeting that situation with the greatest seriousness, aim to avoid global warming of more than 2 degrees. The Intergovernmental Panel on Climate Change says that the reduction in global emissions must start in the period 2000-2015 if we are to achieve the target. It requires a transformation of an entire society. It requires us to move from a black oil economy to a green knowledge economy. It requires more research. We are very pleased with the element in the climate agreement that is about doubling climate research. We are also pleased that petroleum research should also have a significantly greater focus on climate, because the interesting thing is that energy and the environment are the largest thematic area in the Research Council's portfolio. Petroleum research today is three times as large as climate research and twice as large as energy research or else. With the climate agreement, we're just making a strategic change in relation to that. It's an expression that there's actually an action room. When one of them is willing to find money, one of them has the means to do it. I want to bring forward the role of the Research Council when this is the case. I don't know if I'm going to call it the actor, the arena or the instrument, but the Research Council is at least the most central unit we have when it's about achieving that kind of goal. They have access to the tools, they're a contacts, they're the ones with the knowledge. It is not possible to disagree that research and development will be decisive if we are to be able to achieve these ambitious climate targets. Furthermore, it is not possible to disagree that research and development are essential to achieve important health and food security objectives - the major challenges for the future. When it comes to the proposals put forward in the proposal for a representative, it may be a proposal to which one might be sympathetic, but they have budgetary implications, and then we are forced to see them in a budgetary context. We'd better get back to it in that context. We will also come back to it in the more general debate in connection with the announcement of a research case from the Government.
ParlaMint-NO_2008-05-09.ana.ud1168e1096	If you're going to believe the papers, in the last few days, there's been an intense power struggle within the government about more money for the municipal sector and for agriculture. For the Christian People's Party, these are important things that we believe should be given priority. So for all intents and purposes -- I hope that dragonfight has really led to a commitment to agriculture and a strengthened community economy. What I do miss, however, is a big headline in the media about an intense drag fight to strengthen higher education and research. Unfortunately, we see very little of that. There is no doubt that the various government budget proposals have not been good enough for higher education and research. It has been a lot of money - yes - but they have not been good enough. It is not only the opposition that agrees, but also a comprehensive university, higher education and research sector that has repeatedly expressed strong concerns about the budgets. What the former minister of knowledge referred to as a truce has now lasted for two years. This is now moving on to a major problem at the end of the year 2009. In its alternative budget, the Christian People's Party has proposed to correct the cuts as well as to increase significantly the funding for research through the Research Fund. With the rise times we are in, we need to use the opportunity to invest in both school, higher education and research. We are concerned about the development we have seen in relation to the earmarking of the Research Fund's returns for specific purposes, such as: Norway quota for the 7th framework programme. This is a course of action that we see the Government use more and more often. And it's not just towards the Research Fund - the same applies also to the Information Society's fund. When the Government does not find new money for research, they instead earmark the return on current expenditure. We believe that this is the wrong way to use the returns of these funds, and that means a clear weakening of the original role of the funds and the strategic space of the Research Council. There has been long-standing agreement between the opposition parties on the vast majority of the proposals that the Left today is promoting here in the Chamber. In posts, notes, proposals, including alternative budget proposals, the opposition has now for three years asked the Government to invest more in higher education and research. We agree that the strategic space for action in Norwegian research and development needs to be increased. In the interview so often quoted with the previous Minister of Knowledge, he comes with a heartache about the lack of support he received from the Government internally. Perhaps we can view this proposal that we are dealing with today as an attempt at a helping hand from the opposition to the Council of State and the Government in the fight to prioritize higher education and research. It looks like it needs to be. The parties have said that they will not support the proposals, and they have largely justified it on the grounds that it has budgetary implications. That is all right, because we are just ahead of the revised national budget and soon the state budget for 2009. And then say it in my stavanger dialect: that's -- in the next two budget sessions -- that applies!
ParlaMint-NO_2008-05-09.ana.ud1168e1113	Tørresdal began by saying that in the last few days there has been an intense struggle and major headlines about agriculture and municipal economy. I think I'm fine. We also have an intense fight for education and research, and you should know that our government councils are in charge of it. It's important to have great ambitions in research, and I have to say that our Council of State definitely has it. She has just emphasised that this is about increasing research efforts so that Norway should be at 3 pst. of GDP, to be kept up-to-date. So that's good. At the same time, we know that continued high growth in Norway's GDP means a sharp increase in research efforts to achieve the 3 pst. target. I don't know if it's going to be to defend us, but at least it should be said that Norway is not the only country that feels it's demanding to reach the 3pst target and the public target by 2010. The EU Member States remain at 1.9 p.m.. of GDP, at around the same level as when the 3 pst. target was set in 2002. Many countries, including Sweden, Denmark, France, Germany, the United Kingdom and the Netherlands are experiencing a decline in public research efforts as a share of GDP. This should not, of course, be a sleeping cushion for us. All countries are working very hard to reach their targets, but it may well be that there are more countries than Norway that are concerned with this problem and that actually share the challenges that we also have. In all contexts, it is important to get a lot of money back for resources deployed. Of course, this is also the case in the field of research, and the whole Committee is also reasonably united in stating that it is important to get a lot of money back on the resources deployed and that it needs to be given greater emphasis in the future. This will involve redistribution, institutional changes and new incentives that encourage increased R & D efforts. The quality and prioritisation of research needs to be given greater emphasis. Higher education and research are needed not only to achieve the cross-political objective of the knowledge society but also to find solutions to key societal problems. Norway is likely to become a high-cost country in the foreseeable future, and it is therefore important to focus on skills and knowledge in order to secure the nutrient base in Norway in the years to come. This places great demands on the innovative nature of research policy and on the contribution of the efforts of the Storting and other public bodies to increasing R & D efforts. I don't know the rumors about SkattenFUNN, but I think it's interesting to notice that the Statistical Central Bureau recently evaluated the TaxFUNN system and found out that the system has been basically very successful, and that it works according to purpose. It's good, and there are many who have been concerned about this scheme, and who have benefited from it. It is therefore important that the further development of the scheme be seen in the context of this evaluation. It is also worth noting that during this ageing period, public research funds have increased by a total of DKK 3.5 billion. As I mentioned at the outset, the public research appropriations are fully in line with the appropriations in countries with which we cooperate/competitive. In many areas, Norwegian research has actually made good progress, for example: increased the number of scientific articles from Norwegian researchers by a total of 40 pst. from 2002 to 2006. The proposal from the Left on multiannual budgeting is interesting, but it belongs in a different context. There has also been a debate in the past, and then a majority did not support this. That's it -- we all want more predictability, but when it comes to the problem, it's hard to get to. I would like to join with all those who have expectations of the announcement of the scientific recruitment message that will be presented during 2008, when the need for renewed efforts in the field of research training will be discussed.
ParlaMint-NO_2008-05-09.ana.ud1168e1137	When the proposals are promoted in the way that it is done, from the Left and also from the Left and other parties -- I'm going back to it -- it's because we're all sitting together with the knowledge that we've gained by dealing with research issues. There's not a deafening pressure in the opinion to lift the research. The government is on the defensive and is trying to defend itself as best it can. The outgoing government council simply says that he has shown slides in the government to tell them what kind of effect was cut in the basic appropriations. The slide show, he says dry, did not have a sinful effect. Those of us who have some experience with different aspects of politics can even with such a relaxed, calm and sober state council as the current Minister of Research understands and reads what is the inner landscape. The internal landscape is such that there is no more pressure on this than that the government parties have an opposition trying to pacify them a little. You should be really happy for that. So it's like the reality description given here, the government parties like to deny, but it's the reality description that a combined Research Norway gives, whether you have a background in the university and higher education sectors, in business or where it might be. You can deny it, but then you approach the stage of happiness on the inside of the bubble, but you don't want to have contact with what's on the outside. I don't think it's like that. I think from the tone that you want to be as kind as you can, so let's go to the core of the suggestions. If you are very critical, there are at least four of these proposals that have nothing to do with budgetary procedure. As regards proposal No: One is to promote something that shows how to increase the strategic space for action. It's not on the budget. This can be done, for example. detailed management. In the current year's budget, the Research Council, which manages part of the Norwegian research funds and which is to advise the Government, has been cut off, and in addition, they are to the degrees of detail, so that they have almost no freedom to do anything. Yes, but it is a fundamental question that we can decide on regardless of what funds we have been allocated to a government conference or not? Proposal No. 2 is simply a question of whether or not the fund that has been built up should be used in such a way as to allow returns to be made on new measures or whether or not it should only be tied up to current operations, which have become a practice for the current government. It is strictly not a budgetary question either, but I understand that it has become so tight in the fight for funds that you cannot lower your shoulders on it either. Of course, you can discuss a stepping-up plan for construction, but I'll leave it. Proposal No. 6 I perceive that the government parties have expressed sympathy for. Then I get to say on behalf of all the proposers on the point that we have to wait for the Council of State's response. If the Council of State gives an answer that shows that there is an obligatory willingness to do something about it, of course it will be assessed by us who promote that proposal. We have different experiences with different state councils, but with the current state council, we have positive expectations, so at least I'm waiting for that answer. Then to the proposal for a budget over several years. Let's just draw our reasoning here: when you set up a center for excellent research, you don't set it up to bring in money next year. You know that it creates a so-called bond beyond the financial year, and we now have 21 of them. In our neighbouring country, Sweden, which has the same budgetary structure as Norway, there is something called a research proposition that extends over four years, and the Swedish research effort is about. 100 billion kroner. The public sector is approx. DKK 25 billion. This research proposition is about NOK 3-4 billion of this difficult amount. What you do in this way is you create predictability in some key areas. In other words, you know that you always want to sit with a large volume, unless there's going to be a disaster in society -- knocking in the pulpit, President. It's this way of thinking that's being taken up. That is what we already have in centres for excellent research, which is being promoted on this point. So a series of these questions are not dependent on budget. Then there are two ways to assess the rejection of government parties. Point 1: they don't want to. Point 2, which I think is the right one: there is so much pressure in the priorities of the budget heads that you don't want to open any flanks that can create a vulnerable pressure. At least it convinces me, and everyone else behind it, that it is necessary to keep the pressure up, because it is hardly easier for a research minister inside a government to get money to anything, if it is not a press. I then take up the suggestions that have been made. I am promoting the proposal No. 1-6 on behalf of the Party of Advancement, Right, Christian People's Party and Left. I am promoting proposal No. 7 on behalf of the Party of Advancement, the Christian People's Party and the Left, and I propose no. 8 on behalf of the Left. Then I await the state council's comment and response on proposal No. 6, which has been kindly described by, among others. Gerd Janne Kristoffersen from the Workers' Party.
ParlaMint-NO_2008-05-09.ana.ud1168e1164	The representative Odd Einar Dørum has taken up the suggestions he referred to.
ParlaMint-NO_2008-05-09.ana.ud1168e1167	I would like to thank the representatives Dørum and Kongshaug for raising the debate on key issues in Norwegian research policy. I agree with those who have said that it is a question that can be debated often. The proposers promote seven concrete proposals on how to increase the strategic space for action in Norwegian research. These are proposals which, to a large extent, require budgetary follow-up and which, for this reason, I cannot respond specifically here and now. These are the rules of the game that I expect the proposers to know well. However, let me comment on some of the views and suggestions of the rapporteurs. Firstly, it is claimed that the Government lacks the ability and willingness to invest in research. But under this government, research appropriations have increased by DKK 3.5 billion. Measured at constant prices, over the course of these three years, growth is almost as high as over the whole of the previous four-year period. This development is full of what we usually compare with. I share the ambition of the proposers to further strengthen Norwegian research, but I do not agree with a description of reality that suggests that Norwegian research is slowing down. I am very proud of much of what is happening in Norwegian research. The proposers also call for an action space that allows for major strategic initiatives. I agree that this is an important consideration. In recent years, more such efforts have also been made. Among other things, there is considerable funding for research efforts in the context of the International Polar Year. The system of centres of excellence has been extended by eight new centres and a new system of centres of research driven innovation has been established. I also want to mention the climate agreement, which in itself provides a three-year space for action. The increased quota for participation in the 7th Framework Programme of the European Union has required considerable resources, but we also get a lot of exciting and important research out of this. All of these are larger bets such as, among other things, has been realised through an increased return from the Research and Innovation Fund in recent years. In other words, the research fund has become an important instrument for ensuring growth and long-term funding in Norwegian research. I notice that the proposers are going in to increase the fund's capital to NOK 100 billion and later to NOK 150 billion. The question of concrete increases in fund capital is, as I said, something that the Government has to come back to in budgetary terms. But I can assure you that the Government sees the Research Fund as an essential tool in strengthening research efforts. It is reflected in the Soria Moria statement, and it has been followed up in practice by the fact that this government has increased the fund capital from 36 billion kroner to 66 billion kroner, i.e. almost a double of three years. With regard to the use of the fund return, I would like to remind you that the fund has evolved from a small additional funding mechanism to a substantial source of funding. It is also natural for the Fund to finance broader objectives. It was confirmed in the latest research report, St.meld. No 20 for 2004-2005: ‘The increased return on the Research Fund will contribute to the realisation of the overall priorities.’ I share the emphasis placed by the proposers on long-term and predictability in research funding. I believe that the Research Fund is an important instrument in this way, but of course I am willing to consider several measures that can contribute to more long-term and better planning through the use of public research funds. Scientific equipment and infrastructure is one example of investments that just require a long planning horizon. Here we have also received a strategy from the Norwegian Research Council, which has recently been delivered to the Department. This strategy identifies major needs and opportunities for investment in scientific equipment and infrastructure over the next decade. It also proposes a national division of labour and a process for assessing equipment investments. These are recommendations that the Government will include in the future assessment of the device and the level of equipment investment. In concrete terms, proposal No. 6 from the proposers, where one can see the model of national transport plan as a possible template, I think it is very interesting. I could imagine taking such a proposal further with me in the work of thinking more long-term. The proposers also support concrete extensions to the tax credit scheme for business research expenditure, the SkattenFUNN scheme, which has been discussed by many. I consider that scheme to be one of the most important means of strengthening industry's research efforts in Norway, especially for small, knowledge-based enterprises. For many of these enterprises, this is the first meeting of the instrument, and many TaxFUNN companies have used other support schemes in the next round to create new knowledge-based jobs. We will review the evaluation and, of course, will present the results of our renewed assessment to the Stortinget. All in all, the development of Norwegian research is more positive than one often gets the impression in the public debate, and I look forward to a constructive debate on how we can further strengthen research.
ParlaMint-NO_2008-05-09.ana.ud1168e1200	It's going to be line change.
ParlaMint-NO_2008-05-09.ana.ud1168e1203	I think we have had a good debate. But it is clear that we could certainly have asked the Council of State a lot. In research and development, much remains to be done. One of the major appeals of the Advance Party is precisely the link between private business, academia and other institutions. We also see the need for motivated research and innovation to come into focus. The committee was visiting Sweden and got a lot of good recordings in that area. There are clear governance objectives. Will the Council of State do something similar in Norway, i.e. look at the possibility of raising needs-driven research and innovation and putting it in focus?
ParlaMint-NO_2008-05-09.ana.ud1168e1210	We have some clear objectives in the research report we are now dealing with, which tells us what needs are important as a basis for research. In addition, the field of climate research and environmental research has been reinforced over the last few years as a type of research that is very much wanted in terms of monitoring and analysis. We also place a great deal of emphasis on business in research, and in the frontier country between research and innovation, we have a number of mechanisms that can stimulate an even better interaction between business and the state in terms of research efforts. It is an area that I am constantly working on, together with colleagues in the Government, and I hope that we can bring forward good, needs-driven innovation and good research results in the light of even more research, including from the business side.
ParlaMint-NO_2008-05-09.ana.ud1168e1217	In the course of the debate today, I have learned that the definition of funding for broader purposes is actually financing ongoing operations. It is argued by the Government that it is even more difficult to increase public research efforts, and therefore also to increase the strategic space for Norwegian research - despite the fact that the Government has NOK 130 billion. more in distribution than the previous government had in 2005. Nevertheless, we see that in another area within the Ministry of Knowledge, i.e. the kindergartens, which is an important purpose for which everyone supports, there is no problem in increasing contributions to kindergarten development and maxima by between DKK 3 and 3.5 billion from one year to the next. For 2008, Norway will use about SEK 17.8 billion for research purposes over the state budget and DKK 21.6 billion for kindergarten purposes. Why is it so difficult to increase research efforts accordingly?
ParlaMint-NO_2008-05-09.ana.ud1168e1224	I hope I can't perceive Eriksen Soreide so that she doesn't agree with the government's nursery schooling, because that's one of the things I'm really proud that the government has got. And I have to say that I'm hesitating to go into a direct comparison in terms of amounts, of bets on kindergartens and bets in other areas that are important to the Government. I can assure the representative Eriksen Soreide that there is a fight in all areas where the government wants more money, whether it is school, kindergarten or research. I'm responsible for research, and together with other government councils responsible for the same thing, we're doing what we can to get a good research. And we basically think that we've gotten quite a lot of work with, for example. a bet of SEK 1.2 billion more for research this year than we had the year before. I'm also concerned that the research we do is qualitatively good research. There's a balance between total and qualitative content that I'm constantly concerned with.
ParlaMint-NO_2008-05-09.ana.ud1168e1231	The Christian People's Party is concerned about the developments we have seen in designating the returns of the research funds for specific purposes. Does not the Council of State not see that there is a wrong way to use the returns of these funds and that this means a clear weakening of the fund's original role and the Research Council's strategic room for action?
ParlaMint-NO_2008-05-09.ana.ud1168e1236	There's been a development in the fund since it started, with a capital of NOK 3 billion, until now it's up to NOK 66 billion. It is quite natural that the principles for the use of the Fund are different today than they were when the Fund was set up. What I referred to in the paper where the fund was launched was that the increased return on the fund would help to realise the overall research policy priorities. It is not a matter of earmarking, but it is a matter of how we will finance important research in any budgetary context. I would also like to claim that there are important research contributions that have always been funded through the return of the Research Fund.
ParlaMint-NO_2008-05-09.ana.ud1168e1243	On January 9th this year, I had an interesting exchange of views with the Minister of Research here in the Chamber. I asked questions about strategic areas of action for research, and I specifically asked, as two out of three points, questions about securing a research fund where the yield can be used for major investments, unlike now, where it is tied up, and, as a last resort, whether it was willing to assess multi-annual budgets in key research areas. At that time, my question about the Council of State was willing to assess these instruments to look at the strategic space for action. And the answer is clear--unusually ready to be a Council of State response in the main hall: "I can actually answer yes to that question." So my question is, after these proposals have now been re-launched today and are voted down by the government parties - it concerns proposal No. 2 and proposal No. 7, I will leave the proposal for basic appropriations: with regard to these points, shall I perceive that it is still such that the Council of State considers these areas to be essential to consider in terms of the strategic space for Norwegian research?
ParlaMint-NO_2008-05-09.ana.ud1168e1252	That was what I thought we had discussed this before, and I can confirm what I said in the debate in January. In the meantime, there has not been a budgetary reason in which this naturally belongs, but it detracts neither me nor the representative Dørum from the commitment that these matters are unusually important in order to get a good and forward-looking research -- that we can look a little further ahead than just to each budget. It's a strenuous exercise. We're not connected like this. Sweden and Denmark at this point. They have a different tradition for this. But I want, since Dørum is concerned about this, to praise both him and the other opposition parties who were involved in the climate agreement, because there you have actually managed to get to a three-year run on research. So it's a good model, along with the others I've mentioned, so it should still be possible to get something that's a little more long-term. I hope we can do it, but of course I can't promise anything here and now. It is an important goal for me that we get predictability in what is the research policy space.
ParlaMint-NO_2008-05-09.ana.ud1168e1260	Long-termity and predictability in research are very important. That is why, in this position, two proposals have now been put forward to that effect, both proposal No. 6 and proposal No. 7th@item: inlistbox As regards proposal No: 7, we only experience a remark from the government parties, pointing to the Bondevik government's rejection of the Committee on Budgets' proposal. But in the case of proposal No. 6, we have heard here today that both the Labour Party and the Central Party, as well as the Council of State, have a sense of that proposal. My question is then whether the government parties are willing to vote for it, whether the government council recommends it, or whether it should be turned into a transmission proposal.
ParlaMint-NO_2008-05-09.ana.ud1168e1267	If I were to be allowed to answer briefly and correctly, I would prefer that it be turned into a transmission proposal, and that we could then work on it in the context to which I just referred in relation to the question from the representative of Dørum. So I would recommend that it be a transmission proposal, but it is of course quite up to Stortingen to decide in what way you will deal with their proposals. This is an interesting proposal, and it is exciting to be able to compare it with the national transport plan. Of course, also where budgets are adopted each year, but there is a long-term outlook on planning. So it could be like this, for example. in relation to this with equipment, be an interesting approach angle. So I look forward to possibly being able to evaluate it in such a context.
ParlaMint-NO_2008-05-09.ana.ud1168e1274	The cord shift has thus been completed. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-05-09.ana.ud1168e1279	On a Friday and in the last case, I will not fall for the temptation to repeat what has been said earlier, but I refer to the excellent posts of the representative of Dørum in relation to the background to this proposal. What I want, on the other hand, is to highlight and underline the relationship between research and the future welfare society that we all want. A few days ago, the Minister of Economic Affairs and Trade received a report showing that there have been far fewer entrepreneurs in recent years. 6.5 pst. of the adult population aged between 18 and 64 were involved in entrepreneurial activity last year. There is a decrease of approx. 30 pst. in relation to the previous year, and the proportion is the lowest since 2000. It's an alarming but not a surprising trend. In my opinion, we have a government that has not shown the will to facilitate private business, self-employed and entrepreneurs, but is concerned with state ownership and symbolism policies to ‘take the rich’. The welfare society of the future depends on an innovative business. Future jobs are not yet created. The left will have policies that support innovators and entrepreneurs, and research, education and tax systems are important prerequisites for achieving those objectives. We must have a business that dares bet, and we must have public instruments to facilitate it. Therefore, it is essential that the high-cost country of Norway put in place strong and necessary economic instruments for research and development to underpin the growth of new and forward-looking jobs. Research and research results require overall strategies and long-term thinking. It can't be one from day to day thinking. That is why the Left's proposal today on greater long-termity in the thinking about research is an important proposal. In this respect, I would also like to thank the Council of State for its consistently positive feedback on the proposal. Then we also understand that everything cannot be kicked in the Stortinget, without looking at it in the context of budgets etc. But there is a expectation of greater predictability from the Left in terms of research efforts. What happened to the TaxFUNN system, a system that worked well, and with which the business community was very pleased, was regrettable. I expect it to be corrected already in the context of the revised national budget and when the so-called evaluation is over. I just want to end by reminding you that research, innovation and entrepreneurship are closely related.
ParlaMint-NO_2008-05-09.ana.ud1168e1294	It is true, as the Council of State says, that there is a difference between the traditions of Norway and other countries. Now I pointed to a system of a kind of long-term budgeting for research that you de facto have at the Centre for Excellent Research, although it is not formal. That's what you do. We know it'll run out in a few years. The government used an example that I chose not to use, but which is good, namely the agreement that was the result of the climate agreement between the government parties, the Right, the Christian People's Party and the Left, where a commitment was made. In this context, there are three proposals that have been put forward today, which go in the same direction. One proposal is that of a long-term budget. I'm not commenting on that. The other two proposals are as follows: That is proposal No. 1, which is simply an invitation to a fundamental review. In fact, I am surprised that this proposal does not receive support because it does not involve any commitment. It's an opening to look at a review. I will be very careful to address the debate that has arisen in the Chamber on the proposal to look at a possible ‘sibling child’ of the national transport plan - proposal No. 6th@item: inlistbox There the council replied in the first round that she would take it further. Then she was challenged by the representative Jon Jäger Gåsvatn, who asked if she wanted it as a transmission proposal. Then the council said it could be a possible idea. She said it was an interesting suggestion. I think that we, who are behind the proposal, would like to hear the Council of State clarify more clearly what makes it interesting for her that we should let it become a transmission proposal, because we have nothing to lose on the rejection of the proposals if the Council of State still wants to take the idea further. That is the way the Council of State thinks about this, which is crucial for how the proposals will be dealt with. I have taken the floor to invite the Council of State to say something more, because this may be the point in this long list of proposals where there is the possibility of creating a closer contact point between the government parties and the opposition parties in the hall. I think the Council of State had some promising advances, but progress must also have a good impact if we are to move on with what has been formulated as a topic by several representatives.
ParlaMint-NO_2008-05-09.ana.ud1168e1305	I expect the representative Dørum to see the limitations that lie in responding to this at a very short notice. My main starting point is that these are thoughts that I've been into myself, because I've been looking for models and other instruments that have in themselves a slightly longer-term perspective. I know that it is a challenge in relation to everything that goes on in the longer term, that the budget itself cannot be tied up for more than a year at a time, and that is not done in the national transport plan either. But there's a plan that goes a little bit further than that. So I've been thinking, in particular, of a strategy for equipment - and that's also what the Research Council has come up with in its input to the Department - is a similar way of acting in terms of the national transport plan. If I had received such a proposal, I would take it seriously, and of course I would also take the opportunity to say that proposal no. 1 would really be a similar incentive for me. It's a little bit about the same thing. I understand very well that it is impossible to be concrete here, not least because we are just dealing with these things in budgetary terms. But as a possible part of a strategy to get a little more long-term thinking and thus give this strategic space of action, I would have appreciated getting these recordings so that with even greater weight, I could consider this as solutions within the Norwegian research system.
ParlaMint-NO_2008-05-09.ana.ud1168e1314	Odd Einar Dørum has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2008-05-09.ana.ud1168e1317	I think the Council of State answered so well in an open 'colloquie group' at the main hall that proposal No. 6 in consultation with the proposers, a transmission proposal shall be made immediately. Since I am a member of the Church, and we are approaching the Church's birthday, namely Pentecost, we also have to make proposal No. 1 to a transmission proposal - in the sense that there should be some good spirit here. We do not interfere with the other spirit, we have to deal with each other when we get that far, but in the parliamentary spirit I am making proposals on behalf of the proposers. 1 and 6 on transmission proposals. I feel that the Council of State stretched out a hand, and it is foolish not to receive a hand in a field where there is a need for the most possible alliances to get results.
ParlaMint-NO_2008-05-09.ana.ud1168e1326	The representative, Odd Einar Dørum, has referred to the proposal No. 1 and 6 from the Party of Advancement, Right, Christian People's Party and Left, for transmission proposals. Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 3247]]
ParlaMint-NO_2008-05-09.ana.ud1168e1336	The amount of the increase shall be added to the number of cases. 1-4.
ParlaMint-NO_2008-05-09.ana.ud1168e1344	During the debate, Svein Flätten has put forward a proposal on behalf of the Progress Party, the Right, the Christian People's Party and the Left. In the course of the debate, the proposal has been turned into a transmission proposal and reads as follows: ‘It is recommended that the Government, as soon as possible and at the latest in the context of the 2008 Revised National Budget, promote the necessary amendments to the Entrepreneurship Pensions Act in order to eliminate discrimination between private and public occupational pensions in respect of access to disability pension while receiving short-term benefits from the public interest.’.» The President will propose the transmission of the proposal to the Government without any rebuttal. - It is deemed to have been adopted.
ParlaMint-NO_2008-05-09.ana.ud1168e1385	Two proposals have been put forward during the debate. It's proposal No 1, by Odd Einar Dørum on behalf of the Advancement Party, the Right Christian People's Party and the Left Proposal No. 2, from Odd Einar Dørum on behalf of the Progress Party and the Left There is a vote on proposal No. 2. from the Progress Party and the Left. The proposal reads as follows: ‘The Government is asked to submit proposals for the implementation of a five-year general teacher training as soon as possible, and at the latest in the context of the revised national budget for 2008.’ The voting boards showed that there were 0 votes in favour and 2 votes against the proposal of the Progress Party and the Left. [[The vote will be taken at 5 p.m. 13.52.34]]
ParlaMint-NO_2008-05-09.ana.ud1168e1406	The vote will be taken again.
ParlaMint-NO_2008-05-09.ana.ud1168e1418	There is a vote on proposal No. 1, from the Party of Advancement, from the Right Party, from the Christian Party, and from the Left. The proposal reads as follows: ‘The Government is asked to review the framework for general teacher training as soon as possible in order to ensure that it is up to date in relation to the Knowledge Lift.’
ParlaMint-NO_2008-05-09.ana.ud1168e1449	Eight proposals have been put forward during the debate. It's the proposals No 1-6, from Odd Einar Dørum on behalf of the Progress Party, Right, Christian People's Party and Left proposal No. 7, by Odd Einar Dørum on behalf of the Progress Party, the Christian People's Party and the Left Proposal No. 8, from Odd Einar Dørum on behalf of the Left In the course of the debate, the proposals are no. 1st and 6th transmission proposals, and the text is amended accordingly. Proposal No. 1, from the Party of Advancement, Right, Christian Party and Left, says in amended form: ‘It is recommended to the Government as soon as possible, and at the latest in the context of the 2009 State Budget, to propose ways of increasing the strategic space for action in Norwegian R & D.’.» Proposal No. 6, from the Party of Advancement, Right, Christian Party and Left, says in amended form: ‘It is recommended that the Government examine the establishment of a governance and planning instrument according to the national transport plan model also in the research sector.’;» [[NTP]] The President proposes that the proposals be submitted to the Government without any discussion of the matter. - It is deemed to have been adopted. There is a vote on proposal No. 8 from the left. The proposal reads as follows: «The government asks the Government to increase the Research and Innovation Fund to 100 billion. kronor, as a gradual escalation to a fund stock of 150 billion. crowns in 2010, at the latest in the context of the 2009 State budget.»
ParlaMint-NO_2008-05-09.ana.ud1168e1490	There is a vote on Amendment No 7, tabled by the Progressive Party, the Christian People's Party and the Left. The proposal reads as follows: ‘The Government asks the Government to submit proposals for multi-annual budgeting trials in key research areas.’
ParlaMint-NO_2008-05-09.ana.ud1168e1505	There is a vote on the proposals Nos. 2-5, from the Party of Advancement, Right, Christian Party and Left. Proposal No. 2 sounds: ‘The Government is asking for proposals to clarify the guidelines for the use of the Research and Innovation Fund’s returns, in order to ensure that the returns are used for strategic purposes.’ Proposal No. 3 sounds: ‘The Government asks the Government to reverse the implemented cut in basic appropriations to universities and colleges of 274,3 million. crowns, corrected for general economic growth, in the context of the 2008 Revised National Budget.» Proposal No. 4 sounds: ‘The Government is asked to promote an obliging escalation plan for investment in research infrastructure [[construction, equipment, etc.]] Proposal No. 5 sounds: ‘The Government asks the Government to strengthen the TaxFUNN scheme by reintroducing aid for unremunerated research efforts, increasing hourly rates and limits and committing itself to the further development of the scheme.’
