ParlaMint-NO_2008-04-30.ana.ud2456e24	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2008-04-30.ana.ud2456e1312	Thank you again for your answer. I understand that the Council of State does not place a sinful emphasis on the Sintef, located in Trondheim, saying about this so-called environmental package, and that the Council of State also does not place a sinful emphasis on what is the conclusions of the Transport Economic Institute, which have been put into play and the process of a new national transport plan. Let me take a fresh example: it concerns the bombing in Bergen, where it has been packed into political new talk about environmental benefits, and where we are also talking about the slowdown effect of the action. Nevertheless, it is such that you budget with increased car growth to give enough money in the box. I repeat that this is driving the road users behind the light. When, as this government has done, Section 27 of the Road Code has been amended so that tolls can also be used for the operation of public transport, this becomes a certainty that, as long as this government sits, the toll will also last - without any environmental impact, but there will be more money in the box. And I repeat, isn't this driving the traffickers behind the light?
ParlaMint-NO_2008-04-30.ana.ud2456e1321	I still mean that the representative Sortevik shoots a record bomb. What you do in cities is try to get rid of a growing traffic chaos. Its recipe is to build a broad road, initiate even more transport, and even more pollution - and one will cause even more people with problems, and it will be even more harmful to live in big cities. I'm glad that those who run cities, who have the initiative and the right to decide in these areas, are more forward-looking than the Progress Party, and that they address the local challenges and try to do something with them. Many roads lead to Rome, and many roads lead to a better environment in our cities. All good measures are probably not invented and tested per. Today, but if we are to move on, we must be willing to try out different solutions. At least I'm going to do it for as long as I am, and I'm going to actively support the local initiatives that have strong goals for a better environment.
ParlaMint-NO_2008-04-30.ana.ud2456e1331	This question, from the representative of Mr Bård Hoksrud to the Minister for Justice, will be answered by the Minister for Labour and Inclusion as appropriate.
ParlaMint-NO_2008-04-30.ana.ud2456e1334	I allow myself to ask the Minister for Employment and Inclusion the following questions: ‘Once you have lived your whole life in Norway convinced you to be a Norwegian citizen, and to renew your passport, some people feel rejected. This is because one of the parents was not Norwegian when you were born. For some reason, the citizenship of one non-Norwegian parent was granted. They must then search again. For these, it becomes a matter of principle not to apply again. Does the Council agree that this is unreasonable and will he ensure that these can seek in a simplified way?’
ParlaMint-NO_2008-04-30.ana.ud2456e1343	The Directorate for Foreign Affairs is aware of such issues raised in the question raised by Mr Bård Hoksrud. It is discovered from time to time that persons with a Norwegian passport have not been formally granted Norwegian citizenship. When they apply to the authorities to establish their Norwegian citizenship, one or more conditions of the law may not be fulfilled. As a general rule, according to the Civil Code, there is a requirement for seven years of residence in Norway over the last ten years. During this period you must have a residence permit of at least one year. Persons who have wrongly received a Norwegian passport have no reason to believe that they need some form of residence and work permit in Norway. Consequently, they do not comply with the requirement to have a residence permit. The Directorate for Foreign Affairs states that applications for citizenship from persons who have been misappropriated to a Norwegian passport may be assessed under the derogation provided for in Section 19 of the Act. Under this provision, the conditions of acquisition laid down in Chapter 3 of the Act of Citizens' Rights may be waived on a case-by-case basis. There must be particularly strong reasons for the derogation to be applied and there must be a great deal to ensure that the conditions for the exemption are met. In the assessment, it is important that the provision does not constitute a way of establishing specific acquisition conditions for groups of applicants. The Directorate of Foreign Affairs is working on a report to the Ministry on this matter. In this context, I would like to assess the practice of the Directorate and look at the need for any legislative change in the acquisition of citizenship where people have been wrongly given Norwegian passports. In the meantime, the Directorate for Foreign Affairs will continue to assess such cases under the derogation provided for in Section 19 of the National Act.
ParlaMint-NO_2008-04-30.ana.ud2456e1354	I had hoped that the Council of State would go even further in order to clear up the matters in question. But I'm very happy that the department now says that you should look into the matter, and that you can probably manage to find a solution. For me, it's a little special when you can prove that you've lived in Norway all year long -- 45 years. You can document it in the form of a birth certificate, baptism certificate, marriage certificate and residence certificate, but none of this is enough to get Norwegian citizenship. In addition, you can prove that you have attended your entire school in Norwegian school - you have, as said, 45 years of residence - and that you do not. You have Norwegian mother, you have Norwegian siblings, and you have Norwegian children, but this doesn't hold up to get back your Norwegian citizenship, which you think you actually have. In addition, passports have been issued three times, and still there is not enough to ensure that a solution can be found to get your Norwegian citizenship.
ParlaMint-NO_2008-04-30.ana.ud2456e1361	I have no problem understanding that this is hard for most people to understand. Therefore, of course, I am also prepared to try to contribute to a solution. At the same time, I am asking for an understanding that it is not just from the pulpit of the Stortinge to come up with a simplified procedure in terms of getting citizenship. This is obviously a person who is going to have his citizenship, and who has erroneously received that recognition today not to have it, and I understand that it feels unreasonable and demanding. At the same time, I believe that not least the Progress Party is concerned that we should be fully on the safe side when we distribute Norwegian citizenship. That's why I have to go this round to get a report from the UDI, and then I'll see what's possible to get from simplifications where there's obviously a need for it.
ParlaMint-NO_2008-04-30.ana.ud2456e1368	I hope, of course, that the result now is that the issues will be resolved for the people involved. Fortunately, as UDI has also said, not very many people are involved, but there are some. At least, I think the Council of State should agree that after this case became known in the media, I have had quite a number of reactions from others who are in the same desperate situation, and some are even asked to disapprove, because there is a better system, it is easier to document, and you can get citizenship for health reasons. I think it's sad that this is what we have to offer people who can thus prove that they have been Norwegian for most of their lives, have had Norwegian parents, but who for some reason have lost their Norwegian citizenship, or have not received Norwegian citizenship on the basis of the 1961-1979 law, that mothers had to send a message to the public. That's why I had hoped you could go through these cases, evaluate it, and get a solution for these people.
ParlaMint-NO_2008-04-30.ana.ud2456e1373	Yeah, like I said, we're going to try to get to it. I say 'test' because I have to see the solution before I can say 'yes' or 'no'. At least I fully agree with the representative that we must not create a system where you must go through disability to get your citizenship. Well, I guess we've got the underprivileged we've got. The case must find its solution outside that track, at least.
ParlaMint-NO_2008-04-30.ana.ud2456e1381	I will ask the following questions to the Minister of Health and Welfare: ‘It costs tens of millions not to build the hospital at the Rikshospitale because contracts have to be broken. Several private developers offer to implement the project if the Rikshospitalet buys the services. Without a hospital, the Rikshospitalet must continue to buy capacity externally and cover transport costs. Will the Council of State ensure that the hospital is built, that the Rikshospital is satisfied with its need for hotel capacity, and that funds for compensation for broken contracts and unnecessary transport are not wasted?’
ParlaMint-NO_2008-04-30.ana.ud2456e1390	Let me first say that cancer patients are a group of people who deserve a lot of attention. As regards the case in question, Health South-East RHF has obtained its investment framework in relation to the investment plans it is working with in the region. Therefore, they must set priorities for what is to be built first and what is to be built. In this context, they have established criteria for assessing investment matters and giving priority to this approach. These criteria are based on health, economic and property assessments, including assessments of patient base, capacity needs and capacity utilisation. The use of beds in medical hotels and beds in regular bed beds must be seen in the context, in order to optimise overall the use of beds in relation to patients’ needs and the use of resources. The Rikshospitalet HF has applied to Health South-East RHF for an investment permit for three overnight projects: extension of existing hospital at the Rikshospitalet in Gaustad new accommodation building for relatives at the Rikshospitalet in Gaustad, to replace temporary breakers new hospital at Radiumhospitalet The accommodation for family members is a priority in front of the medical hotel at the Radium Hospital, as this is a statutory task. Health South-East RHF has therefore approved the extension of the hospital in Gaustad and new accommodation for relatives. This means that the offer of overnight accommodation in a medical hotel is extended by 33 beds, from the present 187 to 220. However, a difficult situation has arisen as a result of the examination of the case at the Rikshospitalet HF. Health South-East RHF has assessed three possible actions in the context of the situation: The project will be stopped and will not be executed. The project shall be decided on. The project will not be dealt with until other priorities are established. On termination of the contract entered into, the entity will have to realise a loss and the amount of the loss cannot be determined until the claim from the contractor has been dealt with and settled. However, this is the solution chosen by the Health South-East RHF Board because prioritisation of this patient hotel would be at the expense of higher priority projects, including projects related to the capital process. It has been mentioned as an opportunity for private individuals to take over the extension of the patient hotel and for the Rikshospital to rent the premises by the builder. Such a solution will also have a cost that may have to be borne by Health South-East and must be prioritised within the available framework. If such a solution is chosen, this will, of course, also be included in the overall assessment when allocating future loan funds, but this is the responsibility of Health South-East to decide. I would also like to remind you that Health South-East is in the process of implementing a conversion programme in line with the mission given by the Ministry of Health and Health. Health South-East has underlined the importance of ensuring a good exploitation of the overall capacity of health businesses in the group. It is therefore not desirable to bind investment funds in the patient hotel until one has come further into overall planning.
ParlaMint-NO_2008-04-30.ana.ud2456e1432	I hope that in the answer to the council there is a typo, and that you don't talk past each other. We're not talking about a «patient hotel», we're talking about a «health hotel». In other words, they do not have in-patients, but patients who are in-patients either for day care or other things, so that costs are covered, among other things. information through guest patient prices and other things. Furthermore, we now have private actors who have been on the road and offered to build this, and also to operate it, and then at a much more reasonable price than what is possible in the private market. The administration of the Rikshospitalet has actually sent out a request to hotels in the area. The nearest person who could accept this in the amount that was asked for was in Bærum, and then at a price of NOK 1 300 per day. We know that in Oslo during periods there is a very difficult situation with regard to available hotel beds. My question to the Council of State is: Will the Council of State be able to assess whether private individuals can build and operate anyway?
ParlaMint-NO_2008-04-30.ana.ud2456e1441	It is up to Health South-East to decide, in line with the model that several lots are behind. Very familiar, it's not per. today some concrete plans on the table, but in any case it is up to them to decide on this. Then it is that so-called financial leasing is not allowed, it has been fixed by the Riksrevision. It is clear that it is possible to look at what is called a direct contract, but then it has to be subject to competition in accordance with the tendering rules we have. This is the health south-east that has to decide. So far there are no concrete plans in this direction. I am following this matter, as I am following other matters, but so far this is not on the agenda.
ParlaMint-NO_2008-04-30.ana.ud2456e1450	The alarming thing in this case is just the last decision that has been taken, that you go to the step of cancelling the agreement and will pay off it - especially when you can refer to the appointment of the board meeting on 15 February, where it is, among other things. read: ‘The board believes that a medical hotel in the Radium Hospital is the best solution to meet the need for overnight accommodation. The hotel supports the desired development of the business and from the start will contribute to better quality, service and logistics in patient care and provide better economic efficiency in the short and long term.’ It must seem like a dream to hear this, in the current situation with regard to the economic situation in the health care system. You can solve an actual problem related to both sick people who are being treated and relatives. Does the Council of State really believe that it is better to buy out a contract on a project that most people think is sensible to implement?
ParlaMint-NO_2008-04-30.ana.ud2456e1460	I think I would like to remind you of the history of this case, where the construction of this medical hotel was started without the necessary permission from Health South-East. That's the story. Then they have taken their decision on the basis that they believe that there are other investment projects in this region that should come first, among other things. extension of medical hotels with 33 beds in the Rikshospitalet, which will include: relatives for good. It is also known to be major investments in this area. We're getting a huge, new, great research building at the Radium Hospital. We have Ahus, and there are other great things going on here too. The representative is probably very well aware that there are now major reorganisations in connection with the merger of Health South-East, and I will not exclude that there are also opportunities to put in place things that can improve the situation for this group of people by the process in which they are now involved. So as I see the matter today, I do not intend to intervene. This is Health South-East, and they have made their decision. But I am following the matter very carefully.
ParlaMint-NO_2008-04-30.ana.ud2456e1472	I have this question for the Minister of Health: ‘From 1 November 2003, it was opened for the sale of non-pharmacetic prescription-free medicinal products. The scheme was evaluated by the State Medicines Agency in 2006 and its conclusions are positive in terms of consumption, price and availability. [[SLV]] In view of this, the SLV proposes to extend the scheme to several non-prescription medicinal products, including anti-allergy medicinal products. This may help patients to gain better access to the necessary medicinal products. When will the Council of State follow up this recommendation?’
ParlaMint-NO_2008-04-30.ana.ud2456e1481	The fact that patients can have better access to the necessary medicines, I consider initially very positive. As the questioner also refers to, the system of sales of non-pharmaceutics was launched from 2003. An important aspect of this scheme is to determine the choice of non-prescription medicinal products. The proposal to extend the selection is about important issues related to drug use and accessibility. As you know, the State Medicines Agency has the power to determine which non-prescription medicinal products may be sold outside of the pharmacy. It's also those who publish lists of these drugs. Because the Agency’s proposal to extend the scheme is very comprehensive, I have asked for a new assessment by the Swedish Medicines Agency on the consequences of this proposal for availability, price, proper pharmaceutical use, not least, and for access to pharmacies services. I have now received such an evaluation from the State Medicines Agency, and its content is now being evaluated in the Ministry. At the same time, the State Medicines Agency has sent a draft letter of consultation on the matter which is also for evaluation. I would say in the first place that the proposals from the Swedish Medical Products Agency are of such a nature that they should have been out at the hearing.
ParlaMint-NO_2008-04-30.ana.ud2456e1490	I thank the Council of State for the answer. We initially agree, clearly, that it is important and desirable that patients have good access to the necessary medicines and that the scheme has been shown to have positive effects, not least in the districts, where there may be a long way to selling regular pharmacies. We also agree that the SLV report of 2006 clearly shows that the scheme should be followed up and that it should be extended. Now we are in a time of year when, not least, the need for allergy medicine is increasing quite explosively. These are of the drugs that are most relevant in this context. Doesn't the Council of State feel that it's starting to hurry to get this in place?
ParlaMint-NO_2008-04-30.ana.ud2456e1501	I can assure the representative that I have not intended to spend any longer time on this matter than necessary. Allergy medicines are one example of what many people need, even in those parts of the country where there is no pharmacy. I have just received an evaluation of the proposal from the State Medicines Agency. We must assess it as quickly as possible and also assess whether there is no need for this to be consulted. The questioner hears that I mean it in the first place, but we have to decide on this quickly. And if that's what we end up with, we're going to make sure that it's a quick follow-up to the case.
ParlaMint-NO_2008-04-30.ana.ud2456e1508	Thanks again for the answer. But I'm a little lost, because SLV gave its position with the evaluation of the scheme and proposals for its extension already in December 2006. So it's approaching one and a half years ago. The Council of State answered a written question from the representative, Davay, also in December 2006, where she said: ‘I have not yet taken a decision on the follow-up to the LUA report.’ But she then showed that there were proposals in the report that would require regulatory changes and that this therefore had to be consulted. Does it not seem to the Council of State that a year and a half is legally long in such a simple process as this?
ParlaMint-NO_2008-04-30.ana.ud2456e1522	It's not like nothing has happened in the year and a half. I asked the Swedish Medical Products Agency for a review because I also wanted to know what this would mean both in terms of the question of proper pharmaceutical use, which I am absolutely sure the questioner and I agree are important, and in terms of price and availability. Now the matter is on my table. That's absolutely right. And we're going to get it processed and given our answers as soon as possible.
ParlaMint-NO_2008-04-30.ana.ud2456e1532	‘Health South-East has agreed to purchase places for multidisciplinary specialised drug treatment with 15 institutions. The new agreement means that 70 spaces are bought less than before. At the same time, drug addicts wait an average of 68 days for treatment, according to the Norwegian patient register. This appears to be an unacceptable long waiting period, particularly in view of the fact that many private institutions have free capacity. Does the Council of State believe that Health South-East is following up the unanimous decision of the Stortingen to strengthen drug treatment?’
ParlaMint-NO_2008-04-30.ana.ud2456e1539	It is right that the representative, Sjøli, mentions in his question that health south-east RHF is now in the final phase of an acquisition process of the purchase of multidisciplinary specialised treatment for drug addicts by private actors. This concerns agreements that former Health East RHF had with providers in the drug field. That means that for the old Health South region this is not started. The purchase of services in the drug field in the old health south area will be completed next year. The current procurement process in Health South-East RHF is also not completed and agreements will not be concluded until mid-May of this year. I would like to remind you that this government has strengthened the drug field by about 350 million. kr since we took over. In the case of Health South-East RHF, the daily capacity of the private institutions represents about 60 pst. of the total daily capacity in this health region. This shows the central role that private individuals play in this field. In addition to private institutions, Health South-East RHF also has extensive services for drug addicts, both in emergency/detoxification, outpatients and day-care centres. This has to be seen as a whole when a judgment is passed on the offer of drug addicts. Recently, Health South-East, as the questioner also points out, announced that they wish to enter into agreements with 15 private institutions. This means that Health South-East buys services from private individuals in this area for 350 million. kr. It's about 20 million. kr more than for 2007. This includes health in the south-east wanting to improve the quality of services by requiring private institutions to strengthen health professionals. At the same time, capacity is reduced by 49 24-hour locations in the total private portfolio with which Health South-East is contracted. In addition, they provide for an adjustment to the overall supply by slightly reducing long-term treatment, while strengthening the more short-term treatment. This will lead to more people being offered treatment. I agree with the representative, Sjøli, that the waiting times for multidisciplinary specialised treatment are generally too long. In the case of Health South-East RHF, the Norwegian patient registry figures for the third tertiary in 2007 show that Health South-East has an average waiting time of 52 days. It means significantly shorter waiting time than in the other health regions, but I believe it is a clear objective that waiting times should decrease in all health regions. In this context, I would like to stress that the Patient Rights Act should be adhered to, and I will follow closely the waiting times in all health regions. In this year's mission document to regional health companies, I have asked them to: strengthen the capacity and health professional competence of services to reduce the waiting times for multidisciplinary specialised treatment further develop cooperation with municipalities to have greater growth in multidisciplinary specialised treatment and mental health protection than in somatic care; Reporting in these areas will be able to provide us with good information on whether we will achieve the goals we have set and to which an aggregate increase has joined. Finally, I would like to mention that it is the regional health businesses that have to make assessments of the needs of specialist health services for the population in the respective health regions. This means that it will be up to health regions to assess their needs to enter into agreements with private institutions to provide multidisciplinary specialised treatment for drug addicts. It is a matter of course that I am following this carefully.
ParlaMint-NO_2008-04-30.ana.ud2456e1569	I thank the Council of State for the answer. As I see it, the strategy that Health South-East is now setting up leads to shorter and more standardised treatment offers. It is widely criticised by both professionals and drug users. Drug addicts are as different as others, and therefore need a diversity of treatment services. Very many people have been addicted to alcohol in most of their adult lives and therefore need a long time in rehabilitation. From the right, we are concerned that there may now be an overall band treatment, that addicts need to be quickly through treatment and quickly out again. We therefore believe that we need a wide range of services - both short-term and long-term. Of course, the right is of the opinion that quality is required, but there is no contradiction between diversity and quality. Does the Council agree that it is important to maintain a wide range of treatment services for drug addicts, including long-term settings?
ParlaMint-NO_2008-04-30.ana.ud2456e1578	What's probably at the bottom of all this is the Patient Rights Act. This means that those patients who need help should be informed of their needs — whether long-term or short-term. Then each health region must assess it on the basis of their knowledge of what patients and users in the region need. I am very concerned that there must be quality in the supply of drug addicts. I don't always think it has been. That's what I think it's important to get fixed. That's why I have, among other things, Called for health care staff to be strengthened, because it does not help if people are very long on a treatment offer, if they do not really get any very good help when they come out. I've visited several institutions of good quality, and I see that those who succeed, but there are institutions that focus a lot on the quality of being there all the time, and also on the fact that patients get follow-up when they get out of the institution.
ParlaMint-NO_2008-04-30.ana.ud2456e1585	In Buskerud, there are two women who have experienced for themselves how difficult it is for addicts to get help. As a family and as a professional, they have wanted to do something to improve the supply of drug addicts, and they have therefore set up a whole new drug institution. The institution is often built up to provide a very good quality offering, among other things. through the recruitment of health professionals and experienced professionals. But now it has been informed by Health South-East that they will not use this offer, despite the fact that there are long waiting lists for treatment. This I think is actually showing a cold shoulder-- if I can call it that-- to some firemen who both can and will help to provide better help to addicts. Instead of refusing their offer to help drug addicts, they could impose quality requirements as conditions for the contracts. I have to ask how the Council of State can not use available treatment when people die while waiting for treatment.
ParlaMint-NO_2008-04-30.ana.ud2456e1592	I cannot go into the process that is now between the different institutions in Health South-East. It's competition, with negotiations. There is a deadline for complaint that expired on Monday, and it will be finally decided in the middle of May. I would like to emphasise once again that in Health South-East there is more use in private this year than it was done last year, so it is clear that more people can receive treatment this year than last year. And it's going to be that those who need treatment are going to get it, but I can't go into one institution when there's a process going on. I can't do that. But what's important is that in all of this, we are also very concerned about setting quality standards, because if not it won't help those who actually need help. I think it's been too little in this area.
ParlaMint-NO_2008-04-30.ana.ud2456e1599	Today's map is finished.
