ParlaMint-NO_2008-06-20.ana.ud1237e36	The representative Per-Kristian Foss will present a draft constitution.
ParlaMint-NO_2008-06-20.ana.ud1237e2276	Karin Andersen has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2008-06-20.ana.ud1237e2279	I understand that it is very upsetting to the Progress Party that SV has got to what the Progress Party has fought for a long time. I think it is very strange that the Progress Party is not happy that we are now getting to what the Progress Party also seems to have been important. But I recorded in yesterday's debate that there was no agreement on the proposal that existed from the Government and that was negotiated with the parties that agreed on the redistribution, because the minimum pensioners could not be lifted if there was a redistribution in it. I'm just recording it. It's a fact. That's it. And SV is dedicated to getting a majority of their proposals. We've got it. We are happy about it, and we have got it in an area where I thought the Progress Party would actually be happy. So, the reason for the need for clarification from the Right is that it's not in the form of a comment, the right is out of the comment that says that you support the content of the proposition, with a stepping up to 2 G. Nor is it in the proposal for a decision. There's a purely budgetary matter. So I'm glad that today's Right has confirmed that they're also on the escrow of 2 G on the minimum pension, because that's necessary.
ParlaMint-NO_2008-06-20.ana.ud1237e2286	It is possible, at the discretion of the Minister of Finance, to sum up that she takes a significant responsibility for the implementation of the climate agreement. There is obviously a pause in this work in the government that makes it important to get up the speed as soon as everyday life comes again. I understand that there will be a Council of States later this evening that will put a Council of State in place at this post. Then I expect the Minister of Finance, with what has been said here, to take responsibility for restoring the relationship with the parties to the climate agreement by clarifying the deadline of 1 July and the measures that will replace green certificates, which are now going into the unknown. I would like to stress that even if the Storting splits, the parties to the climate agreement will be available all the time, and I expect this to be quickly communicated and started, because we do not need any longer break in the renewable energy effort that we need. The fact that the government has come up with better thoughts and turned the issue of taxes on small power is good, but it is definitely not enough, and it is far from the assumptions underlying the climate agreement. In conclusion, I'm not going to go into these advices that the party leader in SV -- and perhaps the finance minister -- gave to the opposition, other than to affirm, one year before we split up to throw ourselves into an election struggle, that the government is in a very dangerous way for its part when they're getting caught up in the reality that they're so very successful, that they might have the most successful six months behind them, for which I understand the Prime Minister's statement. It's just that people don't understand. Politics is not just about breaking the rules of the parties' information offices, but it's about trust and trustworthiness. And I've barely seen a government, a year before a election, which has such a long way to go to restore trust and credibility. I would like to wish the Minister of Finance and the SV's to lead a really good summer, with the wish that she perceive the world around her as most people in this country now do.
ParlaMint-NO_2008-06-20.ana.ud1237e2299	I can't wait to return that wish for a really good summer to Lars Sponheim and the rest of the opposition. If you are concerned with polls in politics, which I often think are exaggerating, I would like to draw attention to the fact that four years ago - one year before the previous elections - the previous Bondevik government had lost a quarter of its disintegration. It was a dramatic wear and tear. Nevertheless, it was that we just won the trick, so it's really a pretty open landscape considering what's going to happen after the next election. No one with ambition to win that option can take anything for granted. What I want for the further political debate is that the difference between the options arises. And the revision is very interesting reading in that context, for example. in the case of the difference in view of food VAT, which the Party of Advancement reduces but which other batches increase, such as: the difference in school policy, where some support the Right Party and the Advance Party and several hours, which the Left Party and the Christian People's Party oppose, and e.g. the differences in agricultural policy, where some cutters and others agree with the settlement. I can make a long, long list of this. I look forward to the policy containing a few more of those choices. What is also clear after this debate is that it is an honest thing to want more tax letters. We call that right-hand policy. It's an honest thing to say that today's most important thing is to use the space of action we have in economic policy, to spend more on tax relief. But you don't have to imagine either the picks or yourself that there are dynamic effects that make the math work. And then there's something to do with the structure of the tax system, given the different effects on both industry and production, which is a slightly different debate. So for the climate agreement, we're taking the climate agreement seriously. We think we should follow it up. We're going to come back with an orientation to the opposition. I very much appreciate that it is possible to get hold of the opposition during the summer.
ParlaMint-NO_2008-06-20.ana.ud1237e2314	I know that most of the Stortinget is now really waiting to get a voice and go home on vacation. But I have to say that when the Minister of Finance calls for a tax debate and believes that there are no dynamic effects, I want to ask one specific question about it. As Minister of Finance, Kristin Halvorsen has administered a system in which employees with salaries at roughly the level of the Council of State have incidentally reduced their marginal tax so that they have a place between 10 000 and 12 000 kroner of tax now lower than they had under the previous government. We agreed, because we thought that there were dynamic effects in the tax system, that people don't have to pay more than 50 cents of the last penny. But at the same time, we have said that we want greater tax relief at the bottom of the tax system, not that it is consistent with the hundreds of dollars that Kristin Halvorsen has given to people with 150 000 to 200 000 kroner of income. My question to that is: if Kristin Halvorsen doesn't believe in dynamic tax effects, doesn't believe that this has an impact on the economy, why has she given herself a tax relief of a little over NOK 10,000?
ParlaMint-NO_2008-06-20.ana.ud1237e2324	It's possible Erna Solberg has been out of the hall for a few hours. This debate has actually been quite a bit about taxes. But if you want a little reprice round at the end, I'd like to make myself available. It is true that the previous government had put forward a proposal to implement the tax reform, with great relief on top wage income. The reason for this was the desire to balance the difference in marginal taxes, between capital income and labour income. That tax bill halved our government, so that when Erna Solberg believes that there is a very good argument against the tax policy of the red-green government, it is so that if the previous government had won, it would have been over $200,000 in tax bills on this type of high income. I and SV have respected that this is part of a settlement in Stortinget. Then we did what we could to get to a more fair distribution. At the same time, we have said that we should not liquidate the property tax, but on the contrary, do the distribution of the much more fair, given out relief at the bottom and sharpened at the top. This means that the sum of what has happened in the case of income taxes and property taxes is an increase in revenue that is on the top. Now we have to clear the arguments a little bit. It is not that there are no dynamic effects by making changes in taxes. I didn't say that. On the contrary, in previous articles I have said that it may be an effect. Probably the greatest effect would be to give tax relief at the bottom, because we know that for example. many low-paid women work in 70-80 pst. position and look at what they have left in relation to how much they pay in taxes. It would probably be more dynamic to remove the cash support for some of these women. But that's not what we're discussing when we're discussing the dynamic tax policy - with the bottom line - because then we're discussing a political point that the right side has had, that's what you're giving out in tax laws, that's what you're going to get - not just once, but more than that, because it has so much dynamic effects in total. And so there's no coverage for that.
ParlaMint-NO_2008-06-20.ana.ud1237e2337	I asked this question, because I think SV's leader has a hollow argument when she talks about tax relief here and welfare there. Now we've got the answer. SV's tax relief relates to the welfare policy of SV. That's half the tax relief for those who have 1 million. kr in income - it does not affect well-being - but full tax relief, i.e. NOK 10 000 more, is tearing down the welfare of this country. It says something about why it is difficult to take seriously the black-and-white discussions that SVs leads sometimes try to open up in the political debate. At the same time, while actually proposing relief in some taxes - often because there is a compromise in Stortinget - you draw a black and white picture of what the consequences of other tax reliefs will be. I believe that these are dynamic effects. They don't go beyond the first year. I don't think that all tax relief has dynamic effects, but someone has it. Some influence the provision of employment more than others. Some make it profitable to invest more in a country and have effects in relation to the supply of work. Every tax reform that has taken place since 1992 has had an impact. The tax base has been widened, marginalised and increased activity in Norway. There are some effects that are short-term, and some that are long-term. However, all the evaluations of tax reforms have shown that they have generated more revenue than when marginal taxes have been lowered and the tax system is healthier and wider. It's a dynamic effect, and the Minister of Finance can't talk himself out of it. She will then have to review both the 1992 tax reform evaluation and the evaluation of the effects of what is now done through the tax system.
ParlaMint-NO_2008-06-20.ana.ud1237e2348	Erna Solberg has recently said that a technique in the political debate is first to caricate the opponent's position and then to argue against it. This article by Erna Solberg was just an example of such a technique. We can call it the Erna technique. I have not said that there are no dynamic effects by making changes to the tax system. On the contrary, I said that e.g. the effect of reducing taxes at the bottom may have effects in relation to labour supply. But I have said that there are no points of view for the dynamic tax policy so that one penny given in tax bills returns more than one penny, and that has been clearly documented in the review by the Statistical Central Bureau. If we could get the debate over with what works, and what doesn't work out of the effects on taxes, I get it. But I think that the Right Party and the Progressive Party should stand for what they think in fiscal policy, with a political justification. They believe that it is a more appropriate priority than the priority of welfare goods. It's an honest thing. It's a political choice. It is precisely what the voters have to decide on.
ParlaMint-NO_2008-06-20.ana.ud1237e2355	Several have not asked for the floor for case No. 1 and 2. [[Fotation, see page 4008]]
ParlaMint-NO_2008-06-20.ana.ud1237e2373	No one has asked for the floor. Before we call voting, Councillor Kristin Halvorsen will transfer three kilos. [[Fooding, see page 4053]] propositions.
ParlaMint-NO_2008-06-20.ana.ud1237e2388	The amount of the increase shall be added to the number of cases. 1-3.
ParlaMint-NO_2008-06-20.ana.ud1237e2396	During the debate, Jan Tore Sanner put forward a proposal on behalf of the Right, Christian People's Party and the Left. The proposal reads as follows: ‘The government is asking the Government to consider providing workers over 62 years of age who choose to work a direct tax deduction to encourage more people to choose work rather than AFP.’
ParlaMint-NO_2008-06-20.ana.ud1237e2427	During the debate, 113 proposals have been put forward. It's the proposals No 1-18, from Ulf Leirstein on behalf of the Party of Advancement, Right, Christian People's Party and Left proposals No. 19 and 20, by Ulf Leirstein on behalf of the Advancement Party, Right and Christian People's Party proposal No. 21, by Ulf Leirstein on behalf of the Party of Advancement and Right-wing Proposal No. 22, from Ulf Leirstein on behalf of the Advancement Party, the Christian People's Party and the Left Proposals No. 23-25, by Ulf Leirstein on behalf of the Advancement Party and the Christian People's Party proposal No. 26, by Ulf Leirstein, on behalf of the Party of Advancement and the Left, No. 27-36, from Jan Tore Sanner on behalf of the Right, the Christian People's Party and the Left proposals No. 37-63, by Ulf Leirstein, on behalf of the Party for Progress, 64 and 65, from Jan Tore Sanner on behalf of the Right and Christian People's Party, the proposals No. 66-73, by Jan Tore Sanner, on behalf of the Right and Left proposals No. 74-85, by Jan Tore Sanner, on behalf of the Committee on Legal Affairs and Citizens' Rights, No. 86-89, by Hans Olav Syversen on behalf of the Christian People's Party and the Left proposal No. 90-106, by Hans Olav Syversen on behalf of the Christian People's Party the proposals No. 107-113, from Lars Sponheim on behalf of the Left The President noted that, under the proposals from the Right and the Left, two proposals received the same number: 71. It shall be a number. 70 and 71. In the vote we are about to take, the President first takes the minority proposals and then the vote's motion for a resolution. We start with the suggestions from the smallest fraction. There is a vote on the proposals Nos. 107-113, from the left. Proposal No. 107 sounds: ‘The 2008 budget shall be amended as follows: Printable basic and secondary schoolsbudgets from 500 000budgets from 630 000budgets from 630 000budgets from 630 000budgets from 414 252 000budgets from 630 000budgets from 630 000budgets from 630 000budgets from 1096 000 from 51 196 000 to 47 503 000budgets from 2 000budgets from 214 052 000budgets from 2800budgets from 228 500budgets from 230 000budgets from 2 000budgets from 296 000budgets from 2 000budgets from 2 000budgets from 228 500budgets from 228 000budgets from 228 000budgets from 630 000budgets from 610 70 000budgets from 1010 70 000budgets from 602 000budgets from 208 to 602 000budgets from 208 to 610 000budgets from 2 0 0 0 0 0 0 0 0 0 to 30 30 30 30 30 30 000budgets from 2 0 to 10 3 000budgets from 2 3 000budgets from 2 9809 to 10 596 000budgets from 2 000budgets from 2 0 from 2 000budgets from 2 0 from 2 0 from 2 0 from 2 0 from 2 98 from 2 98 from 2 0 from 2 0 to 2 0 to 2 0 to 2 0 to 2 0 to 50 to 2 98 0 to 409 [[NY]] 441 item 1, increased by 81 759 000 from NOK 7 422 102 000 to NOK 7 503 861 000441Oslo police district1Operating expenditure, can be used under cap. 440 entry 1, increased by 14 000 000 from NOK 1 479 731 000 to NOK 1 493 731 000551Regional development and innovation60Contributions to county councils for regional development, reduced by 22 500 000 from NOK 1 231 850000 to NOK 1 209 350 00052National cooperation for regional development72National measures for regional development, can be transferred, reduced by 22 500 000 from NOK 384 500 000 to NOK 362 000 000571Ramage grant to municipalities60Inhabitant grant, reduced by 356 600 000 from NOK 37 215 812 000 to NOK 36 859 212 000601Investigation, research etc.21Special operating costs, increased by 13 850 000 000 from NOK 82 100 000 to NOK 100 000 from NOK 100 000 to NOK 95 150 000 from NOK 150 000 from NOK 7 905 95 000 000 to NOK 500 000, corrections from NOK 300 000 from NOK 300 000 from NOK 1000 from NOK 1000 from NOK 1000 from NOK 1000 from NOK 1000 from NOK 1000 from NOK 1000 from NOK from NOK 1000 from NOK 1000 from NOK 1000 from EUR from NOK 1000 from NOK 1000 from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR EUR EUR from EUR from EUR from EUR EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from EUR from [[NY]] 651 Item 60, increased by 2 400 000 from NOK 000 from NOK 1000 to NOK 10 10 000 000from refugees to and from abroad, can be transferred, increased by 3 150 000 from NOK 11 800000 to NOK 14 950000 726 000from the budget of EUR 14 950000 726 000 from the budget of the European Union for rehabilitation and action on drug addicts21special operating expenditure may be used under item 70, increased by 149 863 000 to NOK 19 578 000 to NOK 169 428 000 from the budget of the European Union, transferred from the budget of the European Union to the budget of the European Union. [[NY]] [[NY]] [[NY]] [[NY]] Proposal No. 108 sounds: ‘From 1 July 2008, the Decision of the Grand Duchy of Great Britain of 27 November 2007 on taxes on tobacco products shall be amended as follows: Paragraphs 1(a) to 1(e) are replaced by the following: (a) Cigars: NOK 2.10 per year. grams of the net weight of the package. The weight of the fixed mouthpiece shall be included in the net weight on which the charge is calculated. (b) Cigarettes: NOK 2.10 per year. Paragraph A cigarette is a cigarette with a length of up to and including 90 mm, two of which are counted as cigarettes if it has a length of more than 90 mm but not more than 180 mm, etc. Filters and actuators are not included in the calculation of the length. c) Smoking tobacco, savoury tobacco, raw tobacco in retail packings: kr 2,10 per. grams of the net weight of the package. (d) Tobacco scrap: DKK 0,75 per tonne. grams of the net weight of the package. (e) Snus: NOK 0.75 per year. grams of the net weight of the package.’» Proposal No. 109 sounds: ‘As from 1 July 2008, the decision of the Stortinge of 27 November 2008 on the base charge for fuel oil, etc. is amended as follows: \t\t You can change the settings of the grid. \t\t \t Section 1 is replaced by the following: a) Mineral oil: DKK 0,65 per litre.» Proposal No. 110 sounds: ‘As from 1 July 2008, the decision of the Storting on social security contributions adopted on 27 November 2007 shall be amended as follows: Paragraph 2(c) is replaced by the following: c) Of entrepreneurial income and other personal income referred to in Section 23-3, second paragraph, No. 3: 10.7 pst.” Proposal No. 111 sounds: ‘The Government is asked to review the current Aquaculture Concession Code, focusing on economic profitability and increased environmental considerations on the basis of the precautionary principle and sustainable development.’ Proposal No. 112 sounds: ‘The size consents to a saving of 150.0 million. expenditure of departments in respect of expenditure on operations [[items 1-29, excluding entry 24]] Proposal No. 113 sounds like: ‘The Government requests the immediate effect of the Government to stop all seismic investigations in the vulnerable sea areas of Northland VII and Troms II until all consequences of petroleum activity in these areas have been identified.’
ParlaMint-NO_2008-06-20.ana.ud1237e3994	There is a vote on the proposals Nos. 90-106 from the Christian People's Party. Proposal No. 90 sounds: ‘The 2008 budget shall be amended as follows: 153Aid to Latin America78Aid to provide humanitarian aid and human rights71Humanitary aid and human rights, can be transferred, reduced by50 000 000from DKK225 000from the University of London to NOK 172 400 000from the University of London to NOK240 000from the University of London to NOK240 000from the University of Copenhagen to NOK230 000from the University of Copenhagen to NOK230 000from the University of Copenhagen to NOK230 000from the University of Copenhagen to NOK230 000from the University of Copenhagen to NOK230 000from the University of Copenhagen to NOK230 000from the University of Copenhagen to NOK230 000 from the University of Copenhagen to NOK230 000from the University of Copenhagen to NOK230 000 from the University of Copenhagen to NOK230 000 from the University of Copenhagen to NOK230 000 from the University of Copenhagen to NOK228 358 000 from the University of Copenhagen to NOK330 000 from the University of Copenhagen to NOK330 000from the University of Copenhagen to NOK330 000 from the University of Copenhagen to NOK330 to NOK330 000 from the private schools to NOK2 000 from the University of Amsterdam from the University of Copenhagen to NOK2 000 from the University of Amsterdam to NOK2 000 from the University of Copenhagen to NOK [[NY]] [[NY]] 441 item 1, increased by 89 259 000 from NOK 7 422 102 000 to NOK 7 511 361 000441Oslo police district1Operating expenditure, can be used under Chapter. 440 000budget, increased by 11 500 000budgets, 27 7 000budgets, 27 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 500budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 500budgets, 29 000budgets, 29 500budgets, 29 500budgets, 29 000budgets, 29 000budgets, 29 500budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 500budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000budgets, 29 000b, 29 000budgets, 29 000budgets, 29 500budgets, 29 500b, 29 500budgets, 29 500b, 29 500b, 29 500b, 29 500budgets, 29 500budgets, 29 500b, 29 500b, 29 500b, 29 500b, 29 500b, 29 500b, 29 500b, 29 500b, 29 500b, 29 500budgets, 29 500b, 294 000b, 294, 40, 40, 294, 40, 29 500b, 29 500b, 29 500b, 29 500b, 40, 29 500budgets, 29 500budgets, 29 500budgets, Proposal No. 91 reads: ‘From 1 July 2008, the Decision of the Grand Duchy of Great Britain of 27 November 2007 on the levying of tobacco products for the 2008 budgetary mine shall be amended as follows: Paragraph 1(a) to (e) is replaced by the following: (a) Cigars: NOK 2.01 per year. grams of the net weight of the package. The weight of the fixed mouthpiece shall be included in the net weight on which the charge is calculated. (b) Cigarettes: NOK 2.01 per year. Paragraph A cigarette is a cigarette with a length of up to and including 90 mm, two of which are counted as cigarettes if it has a length of more than 90 mm but not more than 180 mm, etc. Filters and actuators are not included in the calculation of the length. c) Smoking tobacco, uncrushed tobacco, raw tobacco put up for retail sale: SEK 2,01 per. gram of net weight of the package.d) Scratch tobacco: kr 0,71 per. gram of net weight of the package.e) Snus: kr 0,71 per. grams of the net weight of the package.’» Proposal No. 92 sounds: ‘From 1 July 2008, the Decision of the Storting of 27 November 2007 on the charging of motor vehicles, etc. is amended as follows: for the 2008 budgetary minute: § 2 charging group a(A) is replaced by the following: A. Motor vehicles subject to the obligation to document fuel consumption and CO2 emissions pursuant to Regulation No 4 October 1994 918 concerning the technical requirements and approval of the vehicle, parts and appliances Chapter 49: [[Vehicle Regulation]] NOK 34,02 per month kg of the first 1150 kg of tare weight; NOK 74,15 per month kg of the next 250 kg of tare weight; NOK 148,31 per month kg of the next 100 kg of tare weight; NOK 172,48 per item kg of the remainder [[weight tax]] in addition: NOK 123.73 per month kW of the first 65 kW of engine power; NOK 515,53 per month kW of next 25 kW of engine power; NOK 1237,27 per month kW of next 40 kW of engine power; NOK 2577,65 per item kW of the remainder [[engine power charge]] in addition: NOK 41,25 per month g/km of the first 120 g of CO2 emissions; NOK 195,90 per month g/km of the next 20 g of CO2 emissions; NOK 618,52 per month. g/km of the next 40 g of CO2 emissions; NOK 1732,18 per item g/km of residue [[emissions charge]] Proposal No. 93 sounds: ‘From 1 July 2008, the Decision of the Stortinge of 27 November 2007 on a levy on the consumption of electricity for the 2008 budgetary mine shall be amended as follows: Paragraph 1 first and second paragraphs shall be replaced by the following: As of 1 July 2008, Law 19 May 1933 No. 11 if excise duties are paid to the Treasury at 11.10 øre per. kWh on electricity delivered here in the country. Reduced rate of 0,51 øre per. kWh is used for the supply of power.» Proposal No. 94 sounds: ‘As from 1 July 2008, the Decision of the Grand Duchy of Great Britain of 27 November 2007 on the base levy on fuel oil for the 2008 budgetary mine shall be amended as follows: Section 1 is replaced by the following: As of 1 July 2008, Law 19 May 1933 No. 11 if excise duties are paid to the treasury of mineral oil at NOK 0.895 per person. litre.’» Proposal No. 95 sounds: ‘From 1 July 2008, the Decision of the Stortinge of 27 November 2007 on environmental taxes on mineral products, etc. is amended as follows: for the 2008 budgetary minute: Paragraph 1(a) is replaced by the following: Mineral oil: kr 0,55 per. liters. For domestic aviation, the rate is NOK 0,90 per person. liters. For the wood processing industry, the herring and fishmeal industry and fishing and fishing in the near waters, the rate is SEK 0.28 per head. liters. Paragraph 2, second paragraph, is replaced by the following: (a) motor vehicles of diplomats, etc., (b) ships engaged on international voyages, (c) fishing and catching in remote waters, (d) protective vessels, museum railways or technical installations and cultural heritage in the museum sector, and (e) aircraft engaged on international voyages.’;» Proposal No. 96 sounds: 'The Government asks the Government to amend its regulation of 30 December 1983 No. 1974 on the limitation of payroll obligations, so that the ceiling on the amount of payroll obligations for non-governmental organisations is set at NOK 5000.» Proposal No. 97 sounds: ‘The decision asks the Government to investigate how a system of preferential taxation of free parking on the employer’s area at the centre of the larger cities can be implemented in practice.’ Proposal No. 98 sounds: ‘The Government asks the Government to assess a clearer distinction between ordinary assistance and the rainforest rate in government budgets from 2009 onwards, for example by budgeting rainforest conservation measures in the Ministry of the Environment’s technical budget.’ Proposal No. 99 sounds: ‘The decision asks the Government to submit legislative proposals which, from 1 October 2008, grant self-employed persons the right, regardless of whether supplementary insurance has been taken, to: - 100 pst. coverage of sickness benefits under maternity All changes are made without increasing the social security charge for self-employed persons.» [[up to 6 G]] Proposal No. 100 sounds: ‘The government is asking the Government to set the ceiling for payments under the net pay scheme at NOK 155 000 per salary earner, with effect from 1 July 2008.’ Proposal No. 101 sounds: ‘The Government asks the Government to propose to limit the scope of the net pay scheme in line with the so-called model of competence, with effect from 1 September 2008.’ Proposal No. 102 sounds: ‘The Government asks the Government to present its own case in which the reorganisation of the Railway Agency, the State Road Administration and the Coastal Administration of State Enterprises are assessed.’ Proposal No. 103 sounds: ‘The Government is asking the Government to issue a model government loan scheme for transport purposes and to present it to the Stortinge in connection with the National Transport Plan 2010-2019.’ Proposal No. 104 sounds: ‘The Government asks the Government to return to Stortinget with an assessment of how new, larger investment projects can be financed in order to ensure the rational and coherent development of the projects.’ Proposal No. 105 sounds: ‘The decision asks the Government to ensure that the Competition Authority is given the responsibility for ex post control of the operators in the dairy market.’ Proposal No. 106 sounds: ‘The size asks the Government to allocate a saving of 75 million. crowns of operational items 1 to 29 of the departments and their external agencies.’;»
ParlaMint-NO_2008-06-20.ana.ud1237e5358	There is a vote on the proposals Nos. 86-89, from the Christian People's Party and the Left. Proposal No. 86 sounds: ‘The 2008 budget shall be amended as follows: 410The rights and rights of workers1Operating expenditure, increased by 40 230000 from NOK 1 328 733 000 to NOK 1 368 96300710The National Institute of Public Health21Special operating expenditure, reduced by 5 000 000 from NOK 400 253 000 to NOK 395 253 0001810Directorate of Olives1Operating expenditure, increased by 4 500 000 from NOK 190 200 000 to NOK 194 700 0002445Construction34The continuation of currant projects, may be carried over, reduced by 275 000 from NOK 909 800 000 to NOK 634 800 0002751A medicaments, etc., reduced by 53 700 000 from NOK 7 470 700 000 to NOK 7 417 000» Proposal No. 87 sounds: ‘The Government asks the Government in the context of the 2009 State Budget to propose a stronger social arrangement of the self-share system for drug treatment, exempting the most economically vulnerable groups from self-esteem.’ Proposal No. 88 sounds: ‘The Government is asking for immediate action to be taken by the Government to improve the care situation of the lone minor asylum seekers aged 15 to 18 and to report back to the Stortinge for the 2009 budget.’ Proposal No. 89 sounds: ‘The Government asks the Government to instruct StatoilHydro to investigate technical conditions, costs and a schedule for CO2 cleaning at Snow White LNG.’
ParlaMint-NO_2008-06-20.ana.ud1237e5511	There is a vote on the proposals Nos. 74-85, from the right. Proposal No. 74 sounds: ‘The 2008 budget shall be amended as follows: 153Aid to Latin America78Regional allocation to Latin America from basic training76Teaching aid, granted at 25 000 00077School, granted at 5 000 00080 000 Senior measures teachers and other recruitment measures, granted at 80 000 000226Quality development in primary education21Special operating costs, can be carried out under heading 70, reduced at 29 300 000 from NOK 1 012 658 000 to NOK 98 358 000231Children's gardens60Operating grant to children's hospitals, outsourced expenditure, reduced at 614 500 000 from NOK 6 000 to NOK 6 209 680 000 to NOK 15 595 180 000254Additional to adult education70Aid to study associations, reduced at 30 000 from NOK 166 502 000 to NOK 50 000. [[NY]] [[NY]] [[NY]] 571 entry 64, reduced by 54 300 000from €889 000from €889 000from €832 700 000from €648 000from €162 400 000from €5 225 100 000from €5 096 700 000from €8 096 700 000from €15000000 from €356 800000 from €337 800 000 from €26000000 from €26000000 from €26000000 from €26 6600 000 from €29 600 000 from €29 600 000 from €294 600 from €294 000 from €294 000 from €294800 from €294 000 from €294800 from €294800 from €29400 000 from €29 000 from €29400 000 from €from €26000000 from €26000000 from €2949 600 from €290,000 from €290,000 from €29430 000 from €29430 000 from €29430 000 from €29430 000 from €29430 000 from €30,230 000 from €290,000 from €290,000 from €29430,230 000 from €290,000 from €290,000 from €290,000 from €29,930,2303030,230 from €29,230 to €290,000 from €290,000 from €290,000 from €2930 from €29,230 to €30 from €29,230 from €30 from €30 from €30 from €29,930 from €29,930 from €29 to €29,930 from €30 from €30 from €30 from €30 from €30 from €29,30 from €29,930 from €29,930 from €29,930 to €29,930 from €30 from €30 from €29,930,30 from €29,930,30,930 to €30 to €29,930,930,930,930,930,930 to €29,930 to €30 to €30 to €30 to €29,930 to €30 from €29,30 to €29,930 to €30 to €29,930 from €29,30 to €30 to €29,930 to €29,930 to €29,30 to €29, from €29, from €29, from €29, from €29, from €29, from €29, [[NY]] [[NY]] [[NY]] [[NY]] Proposal No. 75 sounds: ‘The 2008 Stortinget’s Decision on VAT rates is amended as follows: the first sentence of Section 2 is replaced by the following: From 1 July 2008, 15 pst are payable. a fee as provided for in the Law of 19 June 1969 No. 66 on value added tax for foodstuffs.’» Proposal No. 76 sounds: ‘The Government is asked to provide an assessment of the impact of the increase in petrol and diesel prices with a special emphasis on the impact on public transport, the fishing fleet and transport-dependent enterprises in the districts, and to assess the size of the commuter deduction. It is requested that the Government submit proposals for compensatory measures in the context of the 2009 State Budget.’.» Proposal No. 77 sounds: ‘From 1 July 2008, the Decision of the Stortinge Decision of 28 November 2007 on the levying of the document for the 2008 budgetary period shall be amended as follows: The following new third sentence shall be added to Section 1, first paragraph: For persons who have not reached the age of 30 and who have not previously been the owners of real estate or the holder of a share, share and similar to a share or share apartment and the like, the charge shall be 2,5 pst. of which part of the fee base exceeds SEK 500000.» Proposal No. 78 sounds: ‘The decision asks the Government to set up a ‘Dearness Selection’ in cases where the applicant refers the case to UNE because the applicant believes that he has new information on the matter. The case shall be dealt with within a very short period of time. If the case is dismissed by the ‘Dearness Committee’, the case shall be deemed to be settled.’ Proposal No. 79 sounds: ‘The Government asks the Government to ensure that the DNA testing of the applicant and the reference person is carried out when it is necessary to establish whether a family relationship exists. DNA testing shall only apply if the other information in the case does not provide a reasonable basis for establishing the family relationship.» Proposal No. 80 sounds: ‘The Government requests the introduction of an age test for non-residents in cases where an application for asylum or family reunification has been promoted and where it is not possible to establish with reasonable certainty whether the foreigner is under 18 years of age.’ Proposal No. 81 sounds: ‘The Government asks the Government to amend the conditions of family establishment/reunification with the following starting point: - the maintenance requirement is set at a real economic level in accordance with what one in other areas considers necessary for the purpose of living. - The applicant for family reunification/establishment shall not receive social or other municipal financial support one year before the application. - the applicant for family reunification/establishment shall not have received State or municipal housing aid one year before the application; - where the person is permanently disabled, the maintenance requirement shall be lower." Proposal No. 82 sounds: ‘The Government asks the Government to amend the legislation in such a way that the threshold for obtaining a residence permit on request for the conversion of final decisions is raised from ‘strong human interests’ to ‘particularly strong human interests’.’ Proposal No. 83 sounds: ‘The government is asking the legislation against lone minors to be enforced up to the age of 17, not the age of 18 as at present.’ Proposal No. 84 sounds: ‘The Government asks the Government to reverse the change of regulation, which means a stronger emphasis on children’s ties with the Kingdom.’ Proposal No. 85 sounds: ‘The size consents to a saving of 200 million. expenditure of departments in respect of expenditure on operations [[items 1-29, excluding entry 24]]
