ParlaMint-NO_2008-12-15.ana.ud2230e124	The representative of Marianne Marthinsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-12-15.ana.ud2230e2406	The representative Lars Sponheim has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e2411	I am pleased that this debate is developing so that it is now possible to discuss the financial industry and regulation of financial markets on a completely different basis from what has been possible so far. Now the leader of the Left says that we have had a creative financial industry, understood for creative purposes. We've been in the back of regulation. My question concerns what is central to the proposal on which the Left is involved: is it that the proposal to go through the entire financial sector’s regulation, both nationally and internationally, is based on the fact that the leader of the Left recognises that significant errors have been made and that there has been a lack of and incorrect regulation of the financial sector also in Norway?
ParlaMint-NO_2008-12-15.ana.ud2230e2418	Let me first say that I didn't say that any industry has been too creative. It's a business task to be creative, to look for new opportunities and to push completely at the edge of what might be socially sound, because there are some economic opportunities there. The market economy will go wild and destroy itself if we don't make sure that we have good authorities that are constantly on the verge of modern regulation. I think it's quite obvious that the industry is going to be creative, and then the authorities have to be even more good at making sure that proper frameworks are around this all the time. The whole story in recent years has shown that we haven't been able to stay ahead enough of having the regulatory regimes that we need. That is why it is hardly a minority today who are asking for it. In it there is a recognition that we have to be better off in front of having modern control instruments.
ParlaMint-NO_2008-12-15.ana.ud2230e2423	It is clear that the leader of the Left invites the financial industry to be on the brink of soundness. I don't want to moralize, but I will draw attention to the fact that when it's a central legislator's position, it may not be so strange that there has not been a majority in the Storting to ensure that a sound framework is adopted that enables those who move in such a way to be informed by the Storting that such behaviour is not socially sound. We are now facing a review and securing of our financial markets in the future – in such a way that we will return to the land, that there will be a clear division of roles, and that there will be a clear division of responsibilities. And I want to ask the representative Sponheim if he does not agree that there is a need for a thorough review on that basis.
ParlaMint-NO_2008-12-15.ana.ud2230e2430	Firstly, when I used the words ‘on the brink of soundness’, it could mean ‘risk’. Taking risks is the task of the financial industries. And in areas where it can affect people other than those who are owners and take the risk, it is important that the authorities regulate and ensure citizens for the rest. Because that's what it's all about, until those degrees go out on others if the financial industry is going to go over the edge of what's right. The recognition contained in this is that I think that, as most countries — perhaps better than most countries — we could have been even more in advance of having modern regulatory regimes. And it's all the way back to the government where the Central Party had the Minister of Finance and the representative Lundtigen ran around in the government offices. Then these suggestions, as I could see, but one could, seen in retrospect, have been even earlier out having frames around many of the new products that then grew up. Regarding the question of the need to have a review, the answer is yes. That is why a proposal has been made that the Central Party has so far not chosen to support, which is about having a full review of whether we need to modernise some of our regulatory regimes.
ParlaMint-NO_2008-12-15.ana.ud2230e2439	Left - together with the Right and Christian People's Party - writes in its comments in the statement that the Government's "target of over-fulfilling the Kyoto Agreement by 10 pst. by 2012 appears to be very little realistic.’ The reporting to the United Nations Climate Change Commission in December 2005 estimated that the measures implemented had resulted in a reduction of 11 million tonnes of CO2 equivalent. Through participation in the EU ETS, Norwegian enterprises need to reduce an additional 7 million tonnes of CO2 equivalent through internal reduction or through the import of allowances. In total, this means that Norway is roughly in balance with meeting the Kyoto agreement. The country’s purchase of allowances corresponds to an over-fulfilment of the Kyoto agreement of 6-7 million tonnes, corresponding to 10 pst. over-fulfillment. So in addition to that, the effect of forest management is limited to 1.5 million tonnes. Does the representative Sponheim think that it is still a little realistic, or is the confusion less?
ParlaMint-NO_2008-12-15.ana.ud2230e2459	Now I'm about to start getting as chubby voice as the replicator here. Let me start by saying that we have had – and that could be the basis for being so mollified – a record increase in CO2 emissions in Norway in the last year. There's been a lot of attention in the media lately. And so in three days' time, we're going to deal with the downsizing, where the government in the current year has not bought any allowances in other countries, because there have been no sensible projects to invest in. That's why several hundred million dollars are pulled out. It's obvious that there's one in the back, because the instruments aren't in place. It's just reading the government's own new age to see it. Therefore, we – the Government too – have a job to do to achieve the important goals that the Government obviously wants, but where there is a piece left before you succeed.
ParlaMint-NO_2008-12-15.ana.ud2230e2471	Only in this context: in 2007 the size of the revised budget provided some guidelines on how to buy allowances. You can do that through individual projects, or you can do it through the stock exchange. The majority of the population and the Government have chosen to do so through individual measures, in order to try to participate and create a market in this respect with quota trading. But the Government and the Storting can, for example, choose to purchase those allowances on the stock exchange. It is, of course, to be involved and influence to the minimum possible emissions that have been the reasons of the Government. Therefore, it is also important to provide money for this. I understand that the representative Sponheim needed to spend the money on CO2 allowances for other purposes, but he must nevertheless be satisfied that we have an ambitious government, which will do more than the representative wants.
ParlaMint-NO_2008-12-15.ana.ud2230e2482	I didn't quite understand that line. It is quite correct that we had a thorough debate on this in the context of the revision, where, among other things, the Left. said that we thought it was unrealistic to find out about these measures for greenhouse gas reductions, and saw no reason to budget with large amounts of money for that purpose. Now the government comes with the fascination in connection with the effusion. And then the government says the exact same thing that Left said six months ago, and that I was criticized by the representative Klungland six months ago. So here it's well documented that the Left was right – and the Government comes after and has agreed. Therefore, it would have been so much more important if we had thrown all of these resources, the money and the effort, into the work of taking reductions at home. There we have control of the measures, we know when they can come. Then we'll get to grips with the sensible projects out there when we're sure that that gives us the reductions we need.
ParlaMint-NO_2008-12-15.ana.ud2230e2491	No more words have been asked for a line. On an incursion, the President has not indicated that the regulatory time for the evening meeting was over a good few minutes ago. But the president now mentions it and suggests that the meeting lasts until today's map is finished. - It's a note.
ParlaMint-NO_2008-12-15.ana.ud2230e2496	The debate on this budgetary position is always getting a little jumpy. I'm not going to go through all the issues that could be addressed, but only one that has been a little bit of a repetition of the debate: how to follow up on the lessons of the financial crisis that we have so far, and what action to take in the future. There is a clear need to go through the legislation and legislation that we have. Although both the law and supervision are good and clear in the international context, it is still possible that there are some weaknesses that should be brought back to the Storing quickly, and we have many opportunities to do so. So it's the slightly longer-term challenges that come to the wake of the financial crisis. There are several in the public debate that have called for the creation of different types of commissions, public sample sizes of professionals, or a little more broadly composed sample sizes. There are some input that I take with me, because I also think it is necessary to analyse thoroughly the long-term challenges that the financial crisis gives us – economically, but also politically – and that this is interesting for the Storting on a later occasion to come back to. But we just have to make sure that a mandate is designed in such a way that the things that should be quickly promoted for the Storting are not hindered by a reduction in some form of commission or selection here. So just a few brief comments: I have to say I am very surprised that the Progress Party repeats its proposal to cut down on the credit supervision, when everyone understands that an up-to-date credit supervision, which now has the opportunity to closely monitor the credit market, is absolutely crucial for how we are going to deal with a demanding situation also with Norwegian institutions. It would obviously mean less control, less supervision. It's completely irresponsible in today's situation.
ParlaMint-NO_2008-12-15.ana.ud2230e2505	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e2508	I have to remind the Council of State that the Progress Party does not cut credit supervision. We're increasing the Credit Authority's framework by 12 pst. The government increases the Credit Authority’s framework by 17 p.m. So our draft budget is 12 pst. higher than last year. The government is increasing by 17 pst. If it's a be or not for the credit supervision and their tasks, we have a very big problem in the public sector. My question to the Council of State is: Does the Council of State think that there is not a single penny that can be cut in public administration, in finance administration, in Norway? Does it mean that you have found absolutely all kinds of cutbacks, when you know that the money you spend does not actually belong to Kristin Halvorsen or the state, they belong to the Norwegian people, it is tax money – and it is important that you spend that money on the best possible and the most dynamic and appropriate way for society? Does the Council of State consider that there is no one krone to cut at a single supervision or financial institution in public Norway?
ParlaMint-NO_2008-12-15.ana.ud2230e2515	Well, there is probably a krone that can be cut both here and there, but not to strengthen the credit supervision in a situation with an international financial crisis that also affects Norway, I think is irresponsible.
ParlaMint-NO_2008-12-15.ana.ud2230e2523	Let's do that.
ParlaMint-NO_2008-12-15.ana.ud2230e2528	However, not to the extent necessary for the credit supervision to be up-to-date and to carry out the checks and supervision that are very demanding in the current situation. It is quite obvious that it is the nitite control activities that would suffer if the budget of the Progress Party were to be implemented. Fortunately, it doesn't.
ParlaMint-NO_2008-12-15.ana.ud2230e2533	The Progress Party, together with the other opposition parties, promotes four concrete actions to help private businesses and private enterprises with public reporting practices. I do not know if the Council of State has read the proposals, but at least according to the companies and according to the NARF, it is possible to save the companies for 600 million. kr if they have simple reporting procedures, i.e. event-based reporting procedures. I have not heard that any of the opposition parties here at Stortinget have commented on these proposals. I wonder if the Council of State has read them and wants to take them with it, so that we can possibly turn them into transmission proposals, so that the Government sees that it is possible to make savings, so that the Norwegian people can actually save some money, and that one not every year gets increased expenditure to the public administration.
ParlaMint-NO_2008-12-15.ana.ud2230e2540	The issue that Tybring-Gjede now addresses, and that others have raised earlier in the debate, is important. The Minister of Economic Affairs has recently presented an outline of how we should go through and simplify the systems around private traders, as there are clearly opportunities to do something on that front. What I would like to warn against, however, is that the control systems that are essential to ensure, for example, are being addressed. soundness, legality of tax settlement, etc. And there is always a balance between the amount of reporting to be reported in relation to the effectiveness of industrial activity and the need for social control to ensure that a clean business environment exists.
ParlaMint-NO_2008-12-15.ana.ud2230e2547	No more words have been asked for a line.
ParlaMint-NO_2008-12-15.ana.ud2230e2551	I would like to come back to a theme in which the representative Sponheim concluded his speech: to mention and to the extent that argue for proposal No. 5 in the setting. It has been presented by the representatives of the opposition party, and the purpose of the proposal is to ask the Government to set up a professionally based selection which, in the light of the financial crisis, is to go through regulation of the Norwegian financial and credit market. I am well aware of the need for such a proposal, and I would like to point out that on page 8 of the vote, there is in fact a response from the majority of the committee – if one wishes – to the case, where we from the majority point of view point out that the Minister of Finance has already stated that there is a work under way in the Ministry of Finance to go through the law on finance, and that in connection with this, it may be relevant to put down a commission. It should be a very concrete response to the wish of the opposition party here. I also refer to the clarification just given by the Minister of Finance in his intervention in the debate, and on this basis I would like to call for proposal No. 5, from the opposition part, will be converted to a forwarding proposal.
ParlaMint-NO_2008-12-15.ana.ud2230e2558	The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-12-15.ana.ud2230e2561	I am grateful for the efforts both the Minister of Finance and the chairman of the Committee have made to bring together the troops on their own with regard to proposal No. 5 from the opposition. The best thing is that you can gather both the opposition and the government parties. Therefore, on behalf of the proposers, I would like to say that we are in favour of this being transmitted to the Government. I would like to add that we take the view – that is not the design of the details of the mandate – that there will be a dialogue with the opposition on this matter.
ParlaMint-NO_2008-12-15.ana.ud2230e2566	The representative of Svein Flätten has then converted the proposal he referred to into a transmission proposal, and the text is amended accordingly. No more people have asked for the floor on case No. 11th@item: inlistbox [[Footing, see page 1563]]
ParlaMint-NO_2008-12-15.ana.ud2230e2584	In the absence of the rapporteur, Mr Holmås, I am delighted to present the majority vote of the Committee on Finance, when we are now considering the proposal for a representative, Document No. 8:139 for 2007-2008 from four party representatives. The proposal is about banning the publication of tax lists. This discussion is by no means new; it has been going on for years. It has important policy aspects of democracy and distribution, which it is worth weighing against each other sometimes. The background to the proposal is well known by the supporters of the proposal, while I will explain the majority's views. In this case, we have emphasised social considerations rather than individual wishes to keep information private. We believe that the publication we have, which the red-green government has expanded, helps to strengthen the critical debate on taxation and income policy, and the distribution of income between professions and groups. In addition, transparency contributes to the verification of the work of the equality authorities more than without. In those countries that have this kind of publication, democracy is also considered to be good, and they are the most egalitarian countries in the world. With regard to the international obligations we have, or the relationship with human rights, there are no clear and unambiguous conclusions that suggest that our practice violates them. We therefore see no reason to comply with the proposal and recommend that it not be adopted.
ParlaMint-NO_2008-12-15.ana.ud2230e2595	Publication of tax lists is a long tradition in Norway. Transparency about economic conditions is fundamental health. Money and power often belong together. Therefore, transparency is important in a democracy like ours, perhaps especially about economic conditions. Tax is one of the areas of policy that creates the most involvement, both among those who want lower taxes, and among those who want higher taxes to solve even more welfare tasks. There is disagreement about the level of taxation, in the same way as there is disagreement about the design of the tax system itself. One of the basic principles of the Norwegian tax system is that it is progressive, i.e. That the more you earn, the more taxes you pay percent. It's well thought out in the population. Those who have the most and serve the most shall provide the most to the community as well. Those with low income and no wealth shall pay less to the community. Trust that this is the case means that the conclusion of the tax system is greater in Norway than in many other countries. But then people have to feel a sense of security that it really is. They must have information confirming the proper functioning of the system and that there is a link between financial ability and taxation. There are many examples that the publication of the tax lists has shown that there are distortions in the tax system, whether there have been zero-taxors, low asset rates or tax-free dividends. The term ‘zero-taxors’ had hardly existed without the media’s focus on those with high incomes, and how low they have paid — or so to say nothing — and how much tax they pay to the seventh and last. Journalism around some occupational groups has revealed a payroll among, for example: business lawyers and brokers. But there are also examples of financial crime being revealed. Then I think of people who have lived rough with an extremely high consumption, well visible to everyone in the community, but who at the same time have reported a regular salary to the equality authorities. This double life has become apparent because of the publication of tax lists. Some proposers have programmed free wage formation and that individuals should negotiate their own salary. Then I think about the Progress Party. In this case, full information on both the manager’s and colleagues’ income will be required. Something else is contrary to the principle of full information in a market. It is surprising that a party that saw to the degrees believes in the free market, as the Progress Party does, is at the same time opposed to the fact that this type of information is available and publicly available. I thought that the more information is available, the better the markets will work. A free-for-profit labour market, which the Progress Party wishes to pursue, cannot function without full transparency of income. On this basis, therefore, no income of its own, or the individual's contribution to the community, is exclusively a private matter. The main objection is that the figures should be interpreted and systematised. Net income and net wealth often give a misleading idea of how much people earn and how much they actually own. If we were to do something about the tax lists, it had to be to make the information even better.
ParlaMint-NO_2008-12-15.ana.ud2230e2610	The party of progress is the champion of the individual and will protect privacy. We are therefore opposed to the publication of the tax lists and have therefore proposed to ban this because it is a threat to and violation of privacy. We believe this is a matter between the tax authorities and the individual taxpayer. The publication of tax lists in today's modern society is a strange phenomenon, apparently practiced since 1863. Sweden also has such a publication. The historical background for the publication of the tax lists was that municipalities saved money by not sending a message with the annual equation in the entry to each tax payer, i.e. public debt. In addition, citizens were given the opportunity to control the wealth of others and to complain that any other taxpayer had been taxed too lightly — that is, a measure to increase tax revenue for the King and the municipalities, which was most likely more important in the 1800s in terms of proceeds and control options, as the authorities had to rely more on what individual residents themselves informed. We can't say it's like this today. Today, the use of citizens’ tax lists has become quite different. Both the local and national press produce surveys that can hardly be said to satisfy other needs than the binocular mentality of parts of the population and that are largely facilitated by the red-greens with this legislation. For example, it is made. major articles on who has the highest income, the highest wealth, the ranking of the youngest wealthiest in the city, and the wealth and income of local and national government. Professional groups are divided into actors, entrepreneurs, sportspeople, politicians and other social debaters – i.e. pure entertainment and of little general interest. It's not just the Progress Party that is opposed to this. The right and partly Christian People's Party is also critical of this. The Data Protection Authority and the Tax Payer Association are also very critical for the publication of tax lists. Information on income and wealth is very private and, in my opinion, purely private in the private sector, in the same way that personal health information is not published. With regard to the tax information that is public, it also does not always give a proper picture of the individual's economy, especially in view of the complex tax system we have in Norway. The information on the individual’s net worth, net income — not gross — and total tax paid is not sufficient to determine whether it is correct in relation to other taxpayers with similar figures. With the many tax deductions we have in Norway, there will be large individual differences that cannot be explained by the public figures. It says e.g. nothing about how indebted the person is, how much or little property the person has, how many children the person takes care of, or what diseases the person suffers from, and therefore costs for which one may be deducted. It must also be noted that the information contained in the equations published is not final. They are therefore very often not correct or complete. So the press makes articles in the media and produces it as a truth before the deadline for appeal has expired, and does not take into account the fact that many equations are charged and changed on essential points. The supporters of the publication of tax lists say that this is necessary in order to detect tax fraud. Yes, but can you somehow prove how often it happens that the equality authorities get tips from a reader of the tax lists, and that there is actually a team in the tip? At least I haven't heard about it. If there are a few tips on tax fraud that are in place, can it defend the fact that the rest of Norway's population has their private lives violated, with the unfortunate consequences? On the other hand, what I heard in a radio interview a few years ago with a head of the tax administration or the chemist, in a municipality in Buskerud, was that nine out of ten tips about tax evasion were from reputable and damned newly divorced women who kept quiet about their ex-husbands. And then a little bit about other unfortunate consequences in terms of publishing tax lists. There are enough examples showing that children and young people experience unpleasant episodes in school and leisure because of the mention of their parents related to the publication of tax lists. This often affects children with low incomes, but also bullying, envy and violence against children with rich parents, with high incomes or high wealth. A study conducted by Synovate for the Tax Payer Association shows that a total of 46 pst. by those who asked were opponents of public tax lists. Only 32 pst. was in favour. The political parties that the Labour Party, the Socialist Left Party, the Centre Party and the Left should take over are those with low incomes who were more opposed than others. The tax payers’ association can also confirm that they receive multiple enquiries from people who feel that their children are being bullied on a regular basis after their classmates have turned their parents up in the tax lists on the Internet. So these political parties ignore it, and I think it is sad. Another unfortunate consequence that we unfortunately also see more and more of is burglaries, ransacks and thefts against people who appear in the tax lists as rich. So the tax lists serve as useful information for criminals, who simply misuse the information to find out where they assume it would be most profitable to break in. So they pick out their victims. It was not long ago that the Tax Directorate had failed to send CD-ROMs containing income and property information to its fellow citizens, with the birth and person number of all the press editorials in the country – a small scandal! It is a very serious matter that the Tax Directorate enjoys so sensitive and personal information about all taxpayers, and that is another example of the risk a citizen is exposed to, because of the Law on Public Tax Lists. The supporters of the publication of tax lists say that there is a need for tax lists to be published, as citizens can then check and check whether there can be tax fraud and tax evasion – and thus hint at the equality authorities – and, as the Minister of Finance writes in his letter to the Finance Committee: ‘The publication of tax lists is important in order to strengthen the critical debate on fiscal matters and can contribute to the social control of the equality authorities.’.» Okay, if I'm going to follow that rhetoric and those arguments, why don't the same parties suggest that all recipients of e.g. sickness benefits, disability benefits, social assistance, etc. to be published on a list – for all? There can be no secret here that can give rise to speculation about who is receiving tax money or not, but citizens must be given the opportunity to control the use of others — and perhaps abuse — in order to alert the authorities if they are, for example, alerted. I knew that the person who received tax money was still in full employment and perhaps received a salary in black, and in no way needed. I stress that the Progress Party does not, of course, propose anything like this, nor does it mean it. We believe that this is about privacy, and we want to protect it. Similarly, we do not want to publish tax lists. But why do the followers of tax lists not propose the publication of tax money recipients? Why should we not be completely consistent? In conclusion, I will address the proposal we are promoting together with the Right and Christian People's Party.
ParlaMint-NO_2008-12-15.ana.ud2230e2651	The representative Jørund Rytman has drawn up the proposal he referred to.
ParlaMint-NO_2008-12-15.ana.ud2230e2654	I will just briefly explain our position on the matter. I'm a little surprised when Aasen says it's the progressive tax in Norway that is controlled by the publication of tax lists, as I understand her. It's pretty surprising. I thought there were completely different things that led to this. I think it is very difficult to imagine other policy areas where information about individuals should be a guide to the authorities' handling of completely general and completely fundamental issues, such as: progressive taxation is. It is quite obvious that the statistics of any government, insofar as any opposition policy can also be obtained from the Central Statistical Office in terms of wealth, income relationships for all groups of taxpayers, on each and every item in the tax declaration, are the basis on which to deal with fiscal policy. Then the question is, do you need this massive publicity about who these individuals are and what they serve? I haven't heard any practical examples of what you get out of exactly this. On the contrary, you hear negative stories about what that leads to. One of the most important factors for us to oppose publication is that there have been reports that ask questions about the current rules on the publication of tax lists is an infringement of the European Convention on Human Rights. This disapproves to the extent that the Government and the opposition parties, but we believe that it is unsustainable that the citizens of a country can cast doubt on such important international conventions. The very last thing in this area we can read in the Evening Post today, without me being able to verify it, but it's a leak from the Privacy Commission, where a majority now obviously agrees that the lists can only be placed on the tax haven's websites, and not be given to the media. A majority of the Commission shall have applied for such tightening. One of the reasons is that it's going to make it harder for criminals to abuse the lists, because it's a fact that there's been abuse of them. Data protection has also for a long time criticised the use that is now being practised by the press without concessional obligations, and often used for purely entertainment purposes. It is important to be aware, then, that this proposal also implies that there should be a right of concession so that those in need of information can obtain it. That is why we are in favour of this proposal to have a prohibition on publication, combined with a concession for those who need the information.
ParlaMint-NO_2008-12-15.ana.ud2230e2667	The centre party is a follower of the publication of the tax lists, because we are a hot follower of taxes according to the ability principle, which we got as early as 1881, with progressive income taxes and associated property taxes for a wealth that gave a job-free income beyond a certain size. The tax rules are complicated, with many unknown exceptions, and publication of the tax lists will stimulate the critical debate on how the rules work. The publication of the tax lists is to make public the positive financial contribution that each individual makes to the Community. It is, of course, unwise to publish what we citizens need from the community in the context of situations that in many cases we are not masters of. It is very important that the tax rules have a large amount of general support. I would say it so strongly that it is at all a prerequisite for financing a high level of public consumption. High levels of public consumption are not least important in times of crisis in order to provide security for people. If you want the goal of security, you also need to want the funds. So you have to have taxes according to your ability. Taxes on ability must go further in the debate on fiscal policy. From our point of view, we see the publication of the tax registers so that it can contribute to a better change of words, a continuous change of words about how we organise our tax rules, and that's just positive.
ParlaMint-NO_2008-12-15.ana.ud2230e2676	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e2679	The representative Lundtigen was concerned with taxes according to his ability, and believed that the publication of tax lists would help – I suppose – some to be revealed not to tax according to their ability, and that one can reveal fraud, and for example. take the zero-taxors. But then he's also concerned that you should receive as needed, I guess, and then you can use the exact same logic, that you should reveal a joke. Those who receive social security and do not need it, e.g. The neighbor, or someone down the road that you know works, can be stated, just as you can state or write in the paper about those who do not pay taxes, but who should have done so, or those who pay too little taxes, and who should have paid more. I wonder why this inconsistency in Mr Lundteigen's reasoning?
ParlaMint-NO_2008-12-15.ana.ud2230e2686	According to the view of the Centre Party, the purpose of publishing the tax lists is not to reveal fraud. There is little juxtaposition in the case of Norwegian tax administration. What is at the heart of the rules on publishing the tax lists is through a change of words to get a discussion about how the rules adopted, with their many exceptions, work in practice. When we publish, we'll be able to help that word change can have its basis in relation to what people know. Thus, we can have a discussion about whether the rules are reasonable according to the principle of the Center Party and the principle of the Government, namely tax according to ability. The Progress Party has other tax models, not taxes according to its ability, and they are then faced with problems in that debate and therefore do not want to publish the tax lists either.
ParlaMint-NO_2008-12-15.ana.ud2230e2691	Why does not the same reasoning apply to those who may receive disability benefits and other social security benefits? It's the exact same logic you can use for them, but it's obviously another reasoning used for them. Why this difference?
ParlaMint-NO_2008-12-15.ana.ud2230e2697	As I said in my introduction, the publication of the tax lists is a publication of the positive contribution each citizen makes to the community. With regard to the needs of each individual citizen to be covered by the community, it would be entirely unwise to publish it, since in many cases there is a need for each individual citizen as a result of circumstances over which a seafarer does not have control, including: evere illness.
ParlaMint-NO_2008-12-15.ana.ud2230e2702	No more words have been asked for a line.
ParlaMint-NO_2008-12-15.ana.ud2230e2705	When I listened to the representative Rytman and the argument about why one was for the publication of tax lists, I was greatly surprised, and perhaps even more when I heard how the debate has developed. One of the main arguments of Rytman to oppose the publication of tax lists is that it creates violence against children. Now it is that bullying and violence against children are a huge problem in themselves, but it has never come to my ears or in other ways told me that publishing tax lists is a major problem in terms of bullying or violence against children. Based on what I know and know, I want to refute that it's a correct argument. The same applies to burglaries and raids, that there are rich people who become victims of criminal burglaries. There are no statistics that say that's the way it is. Being a victim of burglary and ransack says the statistics can hit us all in a bunch, no matter what number or name we have on the tax list. It's essential that it's public, because it's like if it's not dirty, you can discover dirty with publicity. But what you can also discover is whether we have a fair tax system. It's like what carries our tax system is that it feels fair. I have to say that there are people who have huge amounts of money, and there are many who have, and do not pay taxes. I felt as a nursery assistant to pay a lot more taxes than any of those who were stunned by the pot – I don't know if it's a parliamentary expression – and then at least I asked myself: Is it a fair tax system? And don't we have to do something about the tax system to make it fair, as long as the tax system is what should bear our welfare society? After hearing the representative Tybring-Gjedde, I wonder if one is most concerned about protecting those who are victims of the publication of the tax lists, or whether one is most concerned about telling who is not being spent in relation to this with the receipt of so-called tax money that the Progress Party calls it. If the representative Rytman is so concerned with violence against children and believes that the publication of the tax lists is a very important argument to oppose, at least the representative Rytman and others from the Progress Party should fight against the publication of who receives different social security funds. It would at least lead to the bullying of children if it came for a day that your mother is going on illegitimate because she e.g.. have arthritis, or your mother is in a state of dissatisfaction because she has mental problems and is unable to work. The debate became quite strange to me when I heard the argument. I don't want any clarification. I just want to say that it was okay to get on the table that the representatives of the Progress Party are really concerned about the publication of tax lists.
ParlaMint-NO_2008-12-15.ana.ud2230e2722	No more people have asked for the floor on case No. 12th@item: inlistbox [[Food, see page 1572]]
ParlaMint-NO_2008-12-15.ana.ud2230e2738	No one has asked for the floor. [[Food, see page 1572]]
ParlaMint-NO_2008-12-15.ana.ud2230e2754	No one has asked for the floor. [[Food, see page 1573]]
ParlaMint-NO_2008-12-15.ana.ud2230e2770	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. In addition, the President will propose that three replies be given to comments from members of the Government within the allocated speaking time; In addition, the President will propose that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It is seen as a confirmation.
ParlaMint-NO_2008-12-15.ana.ud2230e2779	In 2004, a cultural fund was set up for the Roma population, or the tattoos. It was supposed to be a collective compensation for the injustice committed by the Norwegian state – it belongs to the story. The purpose of this collective compensation was to preserve and develop the language, culture and history of the tattoos. It was decided that only organisations approved by the Ministry of Labour and Inclusion could be represented on the Board of Directors of the Fund. And per year. Today there are two associations. It is the Land Association of the Tatars, and it is the Land Organisation of the Romani people, i.e. that these two organisations each have three representatives on the board – six representatives together. In addition, the State has one non-voting representative on the Board of Directors. When this board was set up, some concerns gradually arose in the keyboard environment. That turmoil was particularly among the 90 pst. – that’s the number I’ve been given – that’s unorganized. The vast majority of the tattoos are unorganized and not represented in the board. It has evolved in such a way that it has become a distrust of the board of directors of the fund, and this has been pretty much turned up in the VG a few months ago. That is why this matter is being dealt with here today. The Party of Progress is behind this Document No. The 8th proposal. Proposalers want a completely new, independent and wide-ranging governance to manage the Romani people's fund, in the light of environmental concerns. Now it is not that easy that it is for the Storting to make concrete representations or make decisions on the board of directors of the fund, because this is a foundation, and it is the foundation itself that has to deal with this matter. On that basis, we want from the opposition's side to go further and recommend to the board of directors of the foundation to take an action on the matter, so that we can get more calm about the board composition of the fund. The opposition parties, with the subsidiary agreement of the Progress Party, want the State representative on the board to have a vote. It'll make the problem a little bit smaller because some of the problem around this, is that in case of voting equality in the board, the leader will have a double vote. There's a lot of dissatisfaction here in terms of instability and family situations. In this case, the case rapporteur has been quite patient and hoped that the government parties and the Council of State could also plan to take a step towards recommending to the board even to make changes. It didn't work out, so we're separating layers in this room. It is the Right Party, the Christian People's Party and the Left that support that proposal, which is supported by the Progressive Party in subsidiary terms. So with that, I'll take up the proposal.
ParlaMint-NO_2008-12-15.ana.ud2230e2796	Then the representative Kari lise Holmberg drew up the proposal she referred to.
ParlaMint-NO_2008-12-15.ana.ud2230e2799	The majority are opposed to the proposal to establish a new government for the Roman people's fund. The proposers are concerned about the sustainability of the fund's board, and want the Storting to intervene and establish a new and independent board. We, the majority, believe it is better that the department has a close dialogue with the board in the future, as the board of the fund has just started its work. they have not yet made any arrangements for the fund's return; Then, as the majority, we choose to have confidence that the Board of Directors of the Foundation will make arrangements according to the statutes and purposes laid down in the founding document of the Romani Foundation, and that they will do so in a way that creates confidence in the whole population. According to the founding document, the yield should be used for measures to promote the preservation and development of the culture, language and history of the Roma population. I would also like to take this opportunity to recall the background to the establishment of the Romani people's fund. We know that the cultural development of the Romani people has been hampered by the state's research policy throughout almost the last century. Yes, in fact, as late as the late 1970s, abuses against members of this group were still being carried out. These are actions we do not want to be familiar with today. State policies in this area have helped to suppress the language and culture of the Roma people and have not evolved. This was one of the reasons why the fund was set up, and that it was based on the fact that the Romani people were supposed to manage the return of the fund. With this in mind, the majority chooses to reject the proposal, and we will also vote against the proposal from the Right, the Christian People's Party and the Left.
ParlaMint-NO_2008-12-15.ana.ud2230e2812	The case rapporteur explained well to the case, and it begins to go against night, so I will be brief. In the UK on Saturday 23 February 2008, it was possible to read that a toaster, with strong family support, secured a veto right on the board of the Romani people, which is to pay out the annual return of the fund of approx. Four million. kr from 2008. Because the fund was established several years before the foundation came into operation, there is a significant million pot to be distributed already now. According to the VG, the Roman people's fund is at approx. $12 million. kr of accumulated returns since 2004. The fact that one family has got a good grip on the newly created foundation is very unfortunate. Jusprofessor Geir Woxholth, who in his time led the Committee on Constitutional Affairs, says to the VG that he is very sceptical that one family has been given such powers, and he scoffs at the fact that the Minister of Labour and Inclusion has not ensured the wider recruitment of board members. The National Association of the Tatars, which manages the Romani Fund established by the Government, is today seen as a pure family enterprise, in which one family sits by a majority and veto right on the board. Such a development could harm the roman people and help discredit the fund, and, if it develops, it could damage the case that the fund was meant to raise. We therefore propose that the Government appoint a new, independent and broad-based government to manage the Romani people's cultural fund. I then take up this proposal and will subsidiaryly support the proposal from the Right, the Christian People's Party and the Left.
