ParlaMint-NO_2008-04-23.ana.ud1988e22	The representative Ivar Kristiansen will present a proposal for a representative.
ParlaMint-NO_2008-04-23.ana.ud1988e1354	The recent incident of the reindeer who died during transport to summer pastures has made a strong impression on me. Before I address the aspects related to animal welfare and status in this area, I will provide a general briefing on the Finnmark situation. The grazing situation of Finnmarks is influenced as it is known by several factors. In a longer-term perspective, the amount of grazing resources is affected by the number of pure pastures. In a short-term perspective, the grazing situation is affected by weather conditions. This means that weather conditions will determine access to the pastures. Amount of food on the land and access to this food affects the condition of the animals and the general animal welfare. After the large losses in the late 1990s and in 2001, due to good winter grazing conditions, there has been a significant increase in the reindeer numbers in Finnmark. In other words, animals have been in better condition, and production has been increasing. During this period, among other things: the slaughtering of Finnmark increased by a total of 57 pst. Despite increased outlets, good winter grazing conditions have resulted in a higher purity in some parts of Finnmark than foreseen. At the same time, grazing studies over the period 1998-2006 show a positive development of 28 pst. low growth on the winter pastures of Finnmarksvidda. To describe the situation that has arisen today, one first has to look at weather conditions in recent times. Winter 2007-2008 has been relatively low until approx. Four weeks ago, as it's been snowing up to one meter all over Finnmark. This has led some Siidas - groupings of reindeer who are clean together - with high reindeer numbers now have a poor level of purity. However, this is not the dominant image. In general, the situation is such that most cleaners are in good proportion to the season. It is important that as far as advice is concerned, you are prepared to prevent what we have just witnessed from happening. In this context, it has to be mentioned that a few years ago emergency teams were set up, consisting of representatives of the industry, the Food Authority and the Rein driftsverwaltungsverwaltung, to monitor the grazing situation in reindeer management. In West Finland, the preparedness group met for approx. a week ago to assess the grazing situation as a result of the high snow levels. As a result of this meeting, several measures have been taken. In the case of applications from the Siidae, the management of the sewage treatment plant will pay funds for crisis. The application of clean out until summer grazing on the islands goes as normal. However, the animals for summer grazing in the inland districts are detained on winter pasture. Several siidas now feed, while generally trying to keep the animals calm. Furthermore, it can also be mentioned that the Food Safety Authority will follow-up on pages where there are documented low slaughter weights, with intensified supervision. Finally, I must point out that this government has done a great deal to balance the reindeer with the natural basis. This is a problem that Stortinget has been working on for many years. Although we are not yet in line with the challenges facing us, there is a lot of evidence that we are finally on the right track. In this context, I can, among other things: mention that with the new reindeer management law, we now have a better way of ensuring ecologically sustainable resource management with a grid that is adapted to the grazing base. The law imposes a high level of self-government and increased responsibilities on business operators to achieve this objective, while providing authorities with easier access to sanctions against illegal practices. In the follow-up to the new law, we have had a positive and necessary dialogue with the industry. A collaborative project between authorities, industry and research is developing objective and scientifically based criteria for an ecologically sustainable scale. Such agreed criteria shall serve as an aid to the work of district governments and authorities in the setting of the reindeer number. Based on previous years' experience of redefinition, it is clear that cooperation and accountability are necessary in order to meet the challenges facing the industry.
ParlaMint-NO_2008-04-23.ana.ud1988e1371	I would like to thank the Council of State for the answer. It is positive that action has been taken, but the Council of State also showed that it has been working on such measures for many years without having had the necessary effect. I sincerely hope that something more concrete will be done. Is it now that the Council of State is largely satisfied with grazing, and that the measures that have now been taken are no longer overgrazing at the Finnmarks?
ParlaMint-NO_2008-04-23.ana.ud1988e1376	No, I'm definitely not going to lean back and say that things are in their best order in terms of the reindeer challenges on the Finnmarks. What I do think it's important to focus on in this regard is that we're on the right track, and that we're starting to see the effect of solid working to get the ecology and sustainability up and down as something important in reindeer management policy. The fact that we've changed the system of subsidies, so that we're sponsoring animal withdrawals, getting animals out of the flock, to the slaughterhouse and out of the store, has been a very important measure, and the fact that we now have a reindeer law, which the Stortinget has recently adopted, and which gives us better opportunities to go in and control the reindeer if it turns out to be too high, I think it's unusually important for us to get even better in the area of reindeer management policy. So the sum of this, that we now see that the pasturage on Finnmarkswideda is improving, that we have taken some action, and that we have a sanction option in the future that we haven't had before, gives hope and faith that this is an industry in recovery.
ParlaMint-NO_2008-04-23.ana.ud1988e1381	Such is the situation today, there is a lack of reindeer meat in both shops and restaurants. The shops don't have meat for sale, and the restaurants take it off the menu, and we also see that what is being slaughtered is of poor quality. Has the Council of State considered an opportunity, something that can help these industries get meat? Is there anything we can do temporarily, possibly import at reduced customs duties? For the current rate of duty, it is quite high and not acceptable at all in relation to the price.
ParlaMint-NO_2008-04-23.ana.ud1988e1386	It's a slightly different topic than the question, but I'm going to answer it: the situation will be that if we put down the customs duty and so set down the price in the market in Norway on reindeer meat, it will be less profitable to slaughter reindeer on the field in Finnmark. The industry's profitability will go down. We know that the culture of parts of the reindeer industry is such that if the profitability is poor, the reindeer owners collect capital by keeping the animals in the flock. This means that the worst response we can now take to the industry is to weaken profitability, weaken incentives to take animals out, get animals at the slaughterhouse and go to the store. I am enough, with all due respect, relatively sure that the measure proposed here by the representative Røbekk Nørve will be the least appropriate measure to contribute to a positive development on the Finnmark range and get animals out and provide an ecological balance on this scale.
ParlaMint-NO_2008-04-23.ana.ud1988e1397	‘The Children’s Protection Officer in Skien claims in Telemarksavias on 9 April that Bufetat region south on several occasions chooses not to use available capacity in private foster homes, and rather allows children in serious life crisis to wait in long queues for a government offer. Will the Council of State ensure that these children are given the obligation to provide child protection as soon as possible where capacity is available, or does the Council of State support the instructions contained in the disposal note that Bufetate is not to purchase private foster homes?’
ParlaMint-NO_2008-04-23.ana.ud1988e1404	In order to care for the best interests of the child, Bufetat must work to find homes that are suitable for the individual child. It is a challenging task, regardless of whether the foster home is linked to a private measure or whether it has a government or municipal agreement. The Ministry has, through the letter of assignment to Bufdir for 2008, instructed it to use its own State institutions as far as possible. The remainder of the need shall be covered by purchases from private operators. In the case of the purchase of private spaces, ideal actors shall be given priority over commercial ones. The resources used for the protection of children shall be of benefit to the children. We will avoid that resources generate large profits and high profits from commercial players. The same is true for foster homes. In the absence of a suitable state foster home, private foster homes may be used. When using private foster homes, ideals shall be given over to commercial ones. The use of commercially based foster homes shall be limited on the same grounds as for commercial institutions. But neither the department nor the Bufdir have given any indication in their management documents that private foster homes should not be used. Nor is it the case that children should be moved out of well-functioning commercial foster homes for economic or political reasons. The South Region has written in its 2008 letter of disposal that private foster homes should not be purchased. The Regional Director will approve, where necessary, the location in foster homes associated with private entities. Up to this year, the region has concluded five new agreements with private measures. Purchases of private foster homes shall be notified to the regional director concerned. Such purchases shall always be made within the budgetary framework and in line with the applicable public procurement legislation. The Ministry will follow up this matter in the management dialogue with the Directorate and ensure that the guidelines on the use of private child protection measures are followed up.
ParlaMint-NO_2008-04-23.ana.ud1988e1423	I am pleased that the Council of State will follow up this matter. The state council will then discover that there is probably not only one case, but that there are enough. I am quite certain that the Council of State will eventually also become acquainted with matters in other parts of the country where we see that the queues are growing. Unfortunately, this is a general trend. Then we see from the letter of assignment from the Department and through the instructions developed in the South region, that there is a significant tightening of the use of private actors. One thing is the picture given in this hall of how things should be, another thing is what's actually happening. It's actually like there's kids who don't get the help they're going to have. And we can't have it like that. I wonder if the Council of State will follow up on this, into Bufdir, to see if there is any correlation between the requirements of Bufdir and the requirements of the Department in its letter of assignment.
ParlaMint-NO_2008-04-23.ana.ud1988e1432	We have a challenge related to some children not being accommodated in foster homes in time. There are no ideological reasons why these children have to wait. I do not now have an overview of how much capacity we have in private foster homes, but I have been informed once before that there are 20 such homes that are ready to accept children. In the case of foster homes connected to Bufdir, we have 575 homes that are ready to accept children, and 165 children are waiting. Then why isn't it that the children can move directly into these homes? Well, that's because there's not always a match between the needs of these children and what the different foster homes can offer -- it can depend on where they live, it can affect the sibling, and there may be children and young people who have special needs. So the main reason why we can't place these children quickly enough is not ideological counter-representations, but that we're working with good positions. Children and young people do not deserve to change foster homes.
ParlaMint-NO_2008-04-23.ana.ud1988e1437	The Council of State points to just what we think is the weakness of the new child protection that is now beginning to stand out, namely that diversity is shrinking, and that the opportunity to provide tailoring for the children is going to get worse because now everything is ploughing into state systems, which can't reasonably be expected to have the width and the nuances that the whole has today, and that should have evolved further. The fact that this is not an ideological question will be a little difficult to understand from the initial response of the Council of State, where she carefully assumed that this was a priority for state deployments, priority being given to places, and priority being given to what they call 'ideal' actors. It's just an ideological question. It's an ideological question whether you want to bet on a state system or a system where private actors are also involved. There can be no doubt that the problems we are seeing now are about actually putting ideology in front of those who are not getting the offer they are going to have.
ParlaMint-NO_2008-04-23.ana.ud1988e1444	We have no indication that children have to wait for ideological reasons. It is also true that the foster homes today are far more tailor-made than they have been before. The foster homes have received much better training. If the representative Thommessen takes the time to talk to foster families, he will discover that the follow-up of the individual family is much more thorough than before. We are now placing more emphasis on family-based measures and on strengthening foster homes' skills. If we look - proportionately - at how many foster homes we have connected to public actors, it is 7,000, while we have about. 200 associated with private operators. So that private actors can take the overall challenges of child protection and solve all of these, I don't have much faith in. I think we need cooperation where we prioritise ideal actors rather than commercial ones.
ParlaMint-NO_2008-04-23.ana.ud1988e1454	I allow myself to ask the following questions to the Minister of Knowledge: ‘The Party of Foreign Ministers has proposed to give the Labour Inspectorate greater control responsibilities and the possibility to promote school-owners’ obligations in order to ensure the working environment of the students. In 8 years, the Labour Inspectorate closed 128 schools because there is a danger to life and health. The Council of State has rejected the fact that the proposals of the Progress Party have something separate and will rest on existing legislation. Why does the Council of State not see the need for rapid and concrete changes, and why does the Council of State accept that many pupils are exposed to a health-threatening work environment on a daily basis?’
ParlaMint-NO_2008-04-23.ana.ud1988e1463	Let me first stress that it is my clear belief that not a single student should be trained in a school environment that can cause physical or mental damage. In this context, I would like to make it clear that if municipalities or county councils and other school owners do not have a physical and psychosocial environment that promotes health, well-being and learning, they clearly break with established statutory duties. To the proposal from the Progress Party to give the Labour Inspectorate responsibility for the school environment to the students, I would like to stress that moving supervision from the County State and the State Health Inspectorate to the Labour Inspectorate will not in itself lead to changes in the physical or mental education environment at the schools in the country. In order to bring about such changes, it is necessary for those who own the schools to comply more closely with the obligations they already have under current laws. A new organisation of state supervision, as the Progress Party wishes, is not, in my view, the right measure today. Today, there are training laws and regulations on the protection of the health of children in kindergartens and schools that legislate for the school environment for pupils, and supervision has been added to the staff of the education directors and state health authorities at the county boards. The two supervisory bodies are based on the statutory tasks, i.e.: guidance and review procedures and supervisory work, with a specific knowledge of the school environment. The Labour Inspectorate does not have this knowledge today. Signals from the supervisory authorities in cooperation with the Labour Inspectorate show just that the national supervisory bodies have their own specific competence and that cooperation across sectors based on current legislation is a better solution than breaking up the supervision system that is now well established. It should also be noted that the State has a statutory function as a cooperative body for all state supervisory activities directed against the local government sector, including the supervision carried out by the Labour Inspectorate. This, in my view, is reflected in the fact that the current system of supervision should continue. I also have no knowledge that the organisation that we have today of the state supervision of the home of the Education Act, the Local Health Service Act and the Work Environment Act is of little use in itself. Therefore, the way forward to ensure the school environment for students is not to reorganize supervision, but to ensure that the state and state health authorities carry out even more effective supervision directed at municipal, county and private school owners on the basis of the existing law. Finally, I would like to mention that there are already initiatives taken to increase knowledge about the state of Norwegian school buildings. A nationwide investigation has been carried out to see if schools are approved under environmental protection regulations in kindergartens and schools. The results of this study will be published shortly. I am busy that both school owners and supervisors benefit from the results of their further work. On the one hand, I suggested that the school owners plan and implement the measures and improvements necessary to meet the legal requirements of the physical and psychosocial school environment. On the other hand, I would ask the County to use the results of the study as an indicator set in relation to the priorities and preparations for the upcoming supervision to be carried out under the training law. Both the Minister of Health and Health and I are concerned about following the developments of the findings of the investigation. For this reason, in the autumn of 2009, a follow-up study of the physical environment will be carried out at all ground and secondary schools in Norway.
ParlaMint-NO_2008-04-23.ana.ud1988e1478	I would like to thank the Council of State for the answer. I am pleased that the investigations are coming, and that they will be followed up. The reason why the Progress Party has promoted this proposal and the background to this issue is that today’s system is too poor. In Tønsberg’s magazine today, there is an example from the municipality of Horten. The heading is ‘Millions of cup soup’. It says: ‘So far is the bill up to $75 million. The municipality has budgeted nine million. The mould creates a skull for the municipality of Horten. [[...]] A combination of older buildings, poor maintenance, poor building constructions and increased focus on indoor climate will provide municipalities with economic challenges for many years to come. [[...]] However, the mushrooms in Eurosafe are not surprised. Bad maintenance is a general problem. Municipalities are struggling with small allocations and the watchmasters are being deprioritised.» This is in a situation where the current government has removed the interest compensation scheme. There are no state incentives or financial assistance for municipalities that are struggling to improve the indoor climate and working environment of students. Will the Council of State now do anything about this?
ParlaMint-NO_2008-04-23.ana.ud1988e1490	Yes, it's a big problem that elephants around Norway experience a physical and psychosocial school environment that they shouldn't experience. There is no doubt that those who do not care for an acceptable physical school environment break the law. We're forced to work systematically with that. Then we have to be willing to spend money cleaning up school buildings. The scheme that we've had over a few years has contributed to the build-up of well over 1,000 school buildings throughout Norway. Then we're forced to look at how municipalities and county councils can give priority to maintaining their buildings, and we're forced to carry out a better and more effective supervision. What has surprised me a little bit is that the Progress Party's answer is the transfer of responsibility between two institutions. The government believes that both increased funds, increased focus on municipalities and improved supervision is the answer.
ParlaMint-NO_2008-04-23.ana.ud1988e1497	To date, I'm just asking the Council to read the proposal again. There is a manifest misunderstanding that shifting responsibility is the only measure. I experience that the Council of State does what he often does, namely that he does not take the responsibility he has as Minister of Knowledge. He shifts responsibility from one municipality to another, for example. Horten. He started his answer to the first question by saying that not one student should experience having a health-damaging environment. This is serious. Mushrooms disperse gases and toxins that may be harmful. Fungal spores may lead, inter alia, to: fatigue, immunodeficiency, asthma, allergies, eye and respiratory problems and headache. Some moulds can lead to cancer and kidney failure. This is too serious to be able to push responsibility down and wait for new explanations. I will challenge the Council of State again: how will the Council of State now ensure that there will not be one student in today's school who will experience a health-threatening and harmful working environment?
ParlaMint-NO_2008-04-23.ana.ud1988e1506	Students in Horten and all other places in Norway can feel confident that they have me and the Ministry of Knowledge in their backs to fight for the best possible school environment, and that everyone should get their dishes met. We have strengthened the permissions of municipalities and county councils in Norway. From the descent under the previous government, the arrow has turned to improvements. The permissions have also been maintained in many places in Norway. So in this period, we have also had an interest-rate compensation scheme, which is now out of date, which has contributed to the build-up of many school buildings. I'm busy considering the priorities that a do when it comes to maintaining around. Not least, we need to be aware that the supervision that is being carried out, the checks and checks that are being carried out, are becoming better and more effective, so that errors are detected and then followed up in the creation process. In this way, we can improve the physical school environment for elephants in Horten and other places in Norway.
ParlaMint-NO_2008-04-23.ana.ud1988e1513	That was the last question in question. - The meeting's over.
