ParlaMint-UA_2014-02-20-m0.u1	Ladies and gentlemen, please insert e-registration cards. Thank you.
ParlaMint-UA_2014-02-20-m0.u91	Thank you. I would like to introduce you to the words of the People's Deputy Golovka.
ParlaMint-UA_2014-02-20-m0.u92	Glory to Ukraine! Dear MPs, colleagues! Indeed, it is difficult to speak today at a time when Ukraine is in the fire, when fighting is taking place on the streets of Ukraine that war has come to the Ukrainian home. Long before, we had heard this expression “although there was no war. ” And it was as if we had declared independence without blood. But, society, I want to say that in Ukraine today, where the national symbol is the flag of Ukraine is recognized as a revolutionary flag, or practically a flag that fights for the will of the state. If the National Hymn is recognized as a song of opposition, it says that Ukraine is in occupation. It's about society that for 23 years of independence, we don't have a de facto Ukrainian state. Unfortunately, there is a criminal-oligarchy clan here led by Yanukovic, who has declared war on the Ukrainian people, who have given the command to kill and shoot Ukrainians who want to change this state, who want to protect their families, who want to choose justice and the right to live in their God-given state, on their God-given land. I find it hard to speak because yesterday my friend Alexander Capinos of the Kremenec died, and it's literally been weeks since he didn't live to be 30 years old, and he's a patriot who has devoted his life to fighting and defending Ukrainian interests, which is never for himself, but always for people. And last year, he was starving for 16 days to protest the approval of regional languages and the destruction of Ukrainian language. Today, another of my countrymen, Ustum Hudduk, was 20 years old, and in front of his father, it is practical. And it was very hard to look into my father's eyes yesterday, who came from Alexander, but what struck me most was that the blood in my veins had practically settled when my father said, "How's the playground, how's the situation on the ground?" And I thought to myself, God, how unbreakable we are, the Ukrainian people, that the moment our children die, the most precious thing that is, and they experience and think how they are now fighting Ukraine further for the will of their country. To the extent that these are dedicated people of ideas, someone today said that we had gained independence free of charge. No, it's not. We're getting it right now. We have become a nation that has been sprinkled with blood. And this nation is consecrated by this holy blood of those patriots who today pour it on Ukrainian soil, who are fighting for us to live in another country, we live in another country, where there will be no "breath of the done", where there will be no "breath of the mentua", where there will be no selling judges, where there will be no hope of a decent life in their country, where there will be no driving around the world, wandering in search of a better destiny to feed their families and loved ones. And I believe that what is happening today will never go to waste. This death will not be forgotten, and all the criminals and the executioners who gave instructions to kill Ukrainians will be punished. And especially these moral freaks who fled the session hall today, who here adopted dictatorial laws that pushed the Ukrainian people into rebellion, will also be responsible. They will have no place on this earth. They will have no place in this state. And the Kings who fled to Moscow, and the Koleschenkas, and Bondarenkos, all of this nonsense that brought our state into that situation today, must bear responsibility, as should the executioners who ordered the shooting of Ukrainian citizens. But we have to understand, society, unfortunately, is now using the Moscow scenario, the Kremlin scenario, in Ukraine. When action began, on Maydan today, when Ukrainians were killed, information was available on the Internet from Russian sites that the rallyers captured the Supreme Council. It was Putin's plan that would give him carte blanche to apply in Ukraine the state of emergency and the introduction of troops and the same, as it were, peacekeeping forces on the side of the Russian Federation. These were planned actions. We have to understand that yesterday, and today, their own politicians, they say one thing: so to speak, there is a war against Russia. They're afraid of it. They fear that the Russian people, by the way, who, along with the Ukrainians, are fighting here in Maidan, and have been killed today from the Kaliningrad region. Because in the hotel "Ukraine" we saw those boys and citizens of Russia who are now fighting alongside the Ukrainians to overcome the banditry. But they believe that we too will help the Russian people to overthrow this Kremlin of bandits under Putin’s leadership. Because the victory of Maidan, the victory of Ukraine will give the Russians the same strength and faith to overcome those bandits who are now in control and abuse. But I am convinced that our nation will not lose, the Ukrainian people are unbreakable. We are now standing and fighting on barricades all over Ukraine, not just in Kiev. We see what's happening in Central and Eastern Ukraine, how Ukrainians are rising with faith that they're going to change this state. And I am convinced that the Lord God will give us the strength to overcome those invaders. And I understand that there are enough MPs in parliament who have yet to come to vote in favour of these necessary laws: banning the use of force on the streets of Ukraine now, we have to disband criminal groups like Berkut, we have to go back to the legal constitution of 2004. And I'm sure we'll do it, or we won't leave. Glory to Ukraine! And glory to all the heroes who are now fighting for the Ukrainian state!
ParlaMint-UA_2014-02-20-m0.u93	Thank you. May I have the floor of the People's Deputy Dubella. Is there a Dubyl? Please.
ParlaMint-UA_2014-02-20-m0.u94	Empathy and low yields to all parents and families who lost their sons, patriots and inner-military children. Empathy and low insinuation. Dear brothers and sisters, I address everyone today, first of all, to this half of the hall, you must come today to stop this bloodshed. How can we be home with you? I've seen Yuri Miroshnick, Nestor Schufrich, Vadim Novinski -- you also think you're Orthodox people, I'm talking to you today, you don't need to talk about someone abroad, how someone can be abroad at a time when people are dying, come and become like everyone else on the front line, stand between the people of the internal forces and the Berkut and do everything you can to stop this bloodshed. And you're talking about someone who's abroad and someone can't make it here today. Or let's make a decision, leave the hall today, and come tomorrow or tomorrow and make a decision. How can this be said when families today wait for their parents, their children?Oh, my God! Youths who have died, how will they live these days if they are buried? When we leave this hall today, how can we look them in the eye? I am addressing all of you Orthodox people: come to the hall, and let us join together and stop this bloodshed. And we're not going anywhere from the hall today. I know that there are a lot of good people in this part of the room who are hurting for Ukraine, for the Ukrainian people who have been helping Midan since the first few days, helping our patriots in Ukraine with drugs, warm things, food and much more. I know they feel the same way. We also guarantee you that we will be. Today you have stood up for the Ukrainian people and a great deal of gratitude to all the majors, all the national MPs from the Party of Regions who came here today to defend the Ukrainian people in order to stop the bloodshed. We will do the same tomorrow to protect you and your families. And I invite all of you to come to the hall so that we can stop the bloodshed with you. I thank today the famous Montenegrin land, where patriots also gathered in the city of Priluki from all regions: Srebrenica, Varna, Visnian, Talaiewsk, and Chernigow, where thousands of people gathered from all over Chernig region to support the Ukrainian people. Today, the head of the Archduke of Montenegro wrote a statement that he was coming out of the ranks of the Party of Regions. Today, First Deputy Governor Sagittarius Mikola Ivanovich said that he condemns the actions of power and that he is not on the side of authority, that he is on the side of the Ukrainian people. Today, the head of the U.S.A. came out and said that he would not carry out criminal orders. I'm talking to them all. Abandon the ranks of the Party of Regions! Protect the Ukrainian people. You all swore, you all said, "I swear to the Ukrainian people!" You, when you receive rewards, you also say, "I swear to the Ukrainian people!" Not to the president, not to the officials, not to the deputies, but to the Ukrainian people. As we walked into the hall today, we were approached by soldiers of the inner armies, the Berkuta, they literally begged us to make all the decisions in the hall today to stop the bloodshed. They're just as tired. They were begging us! So let's do everything we can to stop the bloodshed. I address the commanders, the generals, the Commander of the internal forces. It is equally up to you today to stop the bloodshed -- both of us and you -- to stand up and protect the Ukrainian people, to tell the authorities that we are not going to execute them, that we are going to become a guarantee shield between you, and that we are not going to give those orders. I thank everyone who's in the hall today. And let's not leave here with you until we make all the decisions to protect our Ukrainian people. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u95	Thank you. For short information, please, Nestor Schufrich.
ParlaMint-UA_2014-02-20-m0.u96	Dear colleagues, I have just spoken to Vladimir Vladimirovich, Head of the Supreme Council of Ukraine. He became aware of information about his departure on charter flights from Ukraine. He's in Kiev, he is. But listen to me, to the end, sit down! What a man you are, Oleg.
ParlaMint-UA_2014-02-20-m0.u97	Take it easy.
ParlaMint-UA_2014-02-20-m0.u98	Vladimir Vasilovich is in Kiev. Sadly, he was ill in the afternoon. Now he's consulting with the doctors, and we have to respect our speaker, and he's doing everything he can to let him come here. So let us wish the Head of the Supreme Council health, and I hope that we will see him today. Thank you for your attention.
ParlaMint-UA_2014-02-20-m0.u99	Yes, please turn off the microphone.
ParlaMint-UA_2014-02-20-m0.u100	Oleg Lazko. I've got it.
ParlaMint-UA_2014-02-20-m0.u101	Oleg! Thank you. Oleg Lazko. Please. You will have your word, Mr. Oleg. Thank you. Thank you. Mr. Oleg, thank you. Please, Rudzkowski, please.
ParlaMint-UA_2014-02-20-m0.u102	Dear colleagues, respected Ukrainian citizens, have buried a 20 - year - old young man who was standing in the center of Kiev in the district of Kozeleck, Kosachevec. The wife stayed with a two - year - old child. After lunch today, three more coffins were brought to Montenegro. I think I'm addressing all colleagues, the members of the Party of Regions, I'm addressing the members of the Communist Party of Ukraine, as the head of the Socialist Party of Ukraine, you and we should, as the people who declare that we stand up for people's position, social rights, we should first ask questions about people's lives. If you are with the people, come to the Supreme Council today and make decisions that will not kill this people. If you're not coming, whether you're coming or not, we're socialists, we're initiating in the political environment the formation of the left-wing political forces that stand for the protection of the people and for the protection of democracy. The political forces that unite against dictatorship. If you have a dictatorship, don't go back to the Supreme Council. You will go along with the dictatorship and with the history of Ukraine. Next. I want to speak to Sergio Leonidovich Tihypak personally from this rostrum. Once, when I told you that I would not vote in favour of the economic part of the Association Agreement with the European Union, because I argued that we should vote only politically, you told me that I wanted my children to live in a European country. Sergey Leonidovich, I am addressing you, come here, there is not enough voice for people in Ukraine to live without being killed. Dear colleagues, this refers to everyone who's not in the hall right now. I address you, Mr. Kosulinsky, first name all majors, deputies who come to the county every time. Before them now, in their districts, the coffins have gone. So if you don't go to the Supreme Council, you have the responsibility of going there. If we had gathered two more days ago, when we had our first address with our non-fractional Vladimir Litvina, we would not have these dozens of innocently lost lives. And right now it's not about who's going to betray who, who's going to betray who, who's going to talk or betray Janukovich, or who else is going to talk or betray our conscience, whether we're going to betray our people, or whether we're going to betray our story at all. It is said that England, Britain, is impossible for a dictator, for there are not enough villains to support this dictatorship. Honorable national MPs who are not in the session room, do not be the villains who support the dictatorship to kill people. And those on Midian and those without weapons against them. The other day, as soon as I started storming Midan as a national deputy, I went to the Ministry of Internal Affairs, and I wasn't missed in passing, and the next guy said that the minister didn't have time to meet me as a national deputy when my constituents were killed. Not a respectable minister of the interior! You sent them there, you didn't come to the front, you hid in the office, and you sat there and watched the kids die. When Tsushko was the minister of internal affairs and there was a political crisis, he personally went to the Attorney General's Office if he gave the team a cabinet. Tens or hundreds of people would have died. He personally went to the prosecutor’s office, entered himself, and with his authority stopped the bloodshed. If it were you, Mr. Zacharynko, sir, there was at least Mogillov's "real mint," he'd be standing in the front and he'd understand, if people were to die, we'd have to take each other out and negotiate with the others. I went through 2004 and 2005 and the "Ukraine Without Couchma" action, and then we went as national MPs, if we were fishing, in the first sherenght, and we were talking to law enforcement. And the lawkeepers were talking to us, and we were talking about how we were doing the stock. What happened two days ago at the Supreme Council is part of the guilt and the decision that was made by the opposition leaders that led people to the Supreme Council. But the minister of the interior does not need to transfer responsibility to the people who have come. A wise decision from a law enforcement officer: If you are in a conflict zone, you can do anything to keep people from dying. I believe that today we must, once again, insist that if we do not have consensus, and it will be found, we will find consensus on one thing: a decision to remove all paramilitary units from the Ministry of Internal Affairs, from the Ministry of Defence from the centre of the city, full demilitarization. And of course, the second decision is that we have to make decisions that will address political conflict not only in the center, but also in places. I think there should be a group of negotiators from the Supreme Council who will meet with the President and produce a mechanism that will ensure today that the regional governance mechanism is developed. The best way to do that is to place the responsibilities of the heads of administration on the heads of the district councils. For all the heads of the district councils are chosen, live and have authority and trust in all the regions. This will immediately remove the conflict between the center and Kiev. And we're going to stop the chaos that's coming. Today I am addressing once again, honourable national deputies, return to the session room, this matter of conscience, personal conscience. And you and your children, if you don't, won't forgive you.
ParlaMint-UA_2014-02-20-m0.u103	Thank you. Dear society, please, with the "Council" suss, I see, it's starting to work, it's going to work, let's check it out. I'm asking you to put up some cards so we can check the work of the "Race" system. Please invite everyone, we're about to start voting. I'm asking you to check the quality of the "Council" system. Please invite everyone to the session room. [[B in m in s a l in]] While you're inviting your company to join the session room, I'm going to announce in accordance with part 3 of article 60 of the Ukrainian Act on the Rules of Procedure of the Supreme Council of Ukraine, which states that the parties of the region have resigned: Razwadowski, Shapovalov, Bondar, Bobov, Blagodir, Rudzkowski. [[Applause]]
ParlaMint-UA_2014-02-20-m0.u104	Thank you. Please come to the rostrum if you can go to the rostrum. Please turn on the rostrum.
ParlaMint-UA_2014-02-20-m0.u105	Dear colleagues, I'd like to provide information. It's just that my application hasn't been read right now, because I've filed it for registration on Monday's 17th count for exit from the faction of "regions."
ParlaMint-UA_2014-02-20-m0.u106	Thank you. Respectable Society! Respectable Society! We still have a few people who signed up for the performance. I'm going to ask, as briefly as possible, for the sake that we're about to go to the vote. [[B in m in s a l in]] I ask for the word of the People's Deputy Stojko. [[B in m in s a l in]] I understand. I got it. National deputy Stojko, please.
ParlaMint-UA_2014-02-20-m0.u107	Dear friends, dear Ukrainians! Glory to Ukraine! Indeed, now is an exciting and responsible moment for each and every one of us. We've heard a lot of MPs and I want to say briefly, but what I think. Because it was all about the cold mind. I would like to say about the warm heart that is beating at each one of us, the love of Ukraine, our land, the Ukrainian nation, our people. And when people die today on the side of the barricade, where we stand three places already, and in front of us are the Berkutites, the inner armies, we need to understand that one person who is responsible in Ukraine for the deaths of nearly a hundred people is Yanukovich, who is a bad person to me personally and who I do not have the moral right to call president. Because this person should not simply step away from authority, but he must be accountable to us, to the Ukrainian people. And I believe that the time will come when this happens, I believe that those judges who have changed the state system in Ukraine will respond and, in fact, have brought about a coup d'état that is still working at the Constitutional Court today. I believe that an underprivileged minister will answer to the Ukrainians, who is now serving Zacharychenko, the minister, and I believe that the Minister of Defense will also be responsible, who has allowed himself, without the decision of any committee of ours, or the Council of Security, to introduce troops into the Kiev. And along the way, we saw many of the deaths of those young men, the paratroopers, who were on their way to Kiev. And as Alexander Kuzmuk said, in his reign, when he was secretary of defense for six years, not so many people died when they were laid down today, power***, in one day. Therefore, we do not have the right to retreat today. We have to step in and protect people. We must do everything we can to ensure that Ukraine does not burn in the fire so that Ukraine can live freely, happily, in the European family of nations. We have to do everything we can to ensure that there are no such bastards, district leaders who say we have to kill people. And that's Dobkin and he's like him. So, my friends, let's all vote and change the situation in the country as one really cool mind and a hot heart. Let us vote in such a way that this dictator, who today solved the massacre in Ukraine, would not simply leave his post but would kneel before the Ukrainians and answer for all the thefts. It's Yanukovich. Shame on him! And glory to those heroes who today at the barricades protect our will with you, the will of Ukraine! Praise the heroes! Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u108	Thank you. May I have the floor of the national deputy Sabia. May I have your message, please? Sergey Sobolev, please.
ParlaMint-UA_2014-02-20-m0.u109	Dear colleagues! A mass rally had just ended in Berdjansk, where sisters, the mother of the military section of Berdjansk, had been sent here to Kiev for slaughter. They accepted an appeal to the President and so-called acting minister of the interior of Zacharychenk demanding that he return immediately to part 76 of 77, because one was tragically killed and 26 were wounded. They don't blame people. They directly accuse Janukovich and Minister Zacharychenk of throwing their sons, the brothers, into battle. They demand that they be returned immediately to Berdjansk, and I think that these are the words that all mothers, wives, are saying about all the soldiers who are now in Kiev. We must do our utmost to make sure that they go to their homes and never raise their weapons against the people again. [[Applause]] Thank you.
ParlaMint-UA_2014-02-20-m0.u110	Dear, indeed, national MPs! Dear Ukrainian people!
ParlaMint-UA_2014-02-20-m0.u111	Ukrainian people! Thank you, Ukrainian heroes! Praise be to those who have fallen at the hands of usurpers! I am convinced that these people who died for honour, for dignity, for justice in Ukraine, we have to assign the posthumous title of heroes of Ukraine because they are real heroes! [[Applause]] These are real heroes who really gave their lives for Ukraine, not the heroes who bought these titles at the President's Administration. We are obliged to make changes to the State Budget and, at the expense of the funds currently available to sustain the President of Ukraine, to take full custody of the family of all these Ukrainian heroes for life. [[Applause]] In these days, the beastly flower of the Ukrainian nation was killed, and in these days it appears that the flower of the All-Ukrainian Freedom Union was killed. Among them: Sergey Didic, Mountain District Organization; Basil Moses, Cyverskow City Organization; Alexander Kapinos, Cremenac District Organization; Parachuk Yuri, Kharkiv City Organization. Active adherents: Oleg Uskevich of Drogobich, John Tur. Two of my assistants were killed today. Sergey Bondarczuk, head of the Starocostinian City Organization, and Mikola Dziavulski, member of the Shepetov City Committee of the All-Ukrainian Freedom Union. Two other assistants were seriously injured: Anatoly Panchuk and Yuri Kravchuk. They were injured while taking the bodies of their slain companions. But the sniper, despite the fact that they were taking the bodies, continued to shoot. There are seven majeure deputies in the Supreme Council, five of them are here in the session hall. There are no two so far. This is Alexander Gerega, who is more known in town as Alexander Matkov, and this is Sergey Burjak. I demand of them, and I have the right to do what they blasphemously promised the people to come to the Supreme Council and protect the Ukrainians at last. Because they told it by giving money and various gifts to people. The blood of those men, the blood of all those who have died from the Hmelnichinas today, will be on their heads if they do not immediately appear in the Supreme Council to decide the fate of Ukraine. We are the most responsible today, we must do everything we can to make Ukraine finally social and national justice. We were under the impression that someone wasn't in control here today, but it was the authorities who lost control, because they were knocking at her, and she didn't hear, but she didn't hear, and she didn't open it. This power led to the death of many Ukrainians four years later. And this power must go. And we have to make sure of that today.
ParlaMint-UA_2014-02-20-m0.u112	We already have enough. I see the "Race" system is working. A very important decision, an incredibly important decision to make today. (Noise in the hall) Society, I'm with your permission, given the emergency situation that is in the state today, I'm going to allow myself now to read from the voice the ruling of the Supreme Council, which the whole country is waiting for. I ask you to be very careful. Invite all the people into the session room. I'm asking everyone to come into the session room. Respectable Society! Once again, I urge everyone to come to the session room! We have a very difficult situation in the country. Today, no one can afford to relax. Respectable Society! I'm asking you to include the "Race" system. Order of the Supreme Council of Ukraine Respectable Society! Please be careful! [[B in m in s a l in]] I'm asking you to include the "Race" system. [[21:59:08]] Registered -239 [[Applause]] There's a check-in in the hall. [[Applause]] Respectable Society! Thank you. There are 239 national deputies registered in the hall. A decree of the Supreme Council of Ukraine on condemning the use of violence that led to the death of Ukrainian civilians. Expressing the sovereign will of the Ukrainian people, seeking to preserve the territorial integrity and sovereignty of Ukraine, taking into account the numerous facts of the killing of Ukrainian citizens, other crimes against humanity on the part of law enforcement officials, the withdrawal of mass protests during December 2013, in February 2014, determining the need for unconditional compliance with the Ukrainian Constitution. Taking steps to reduce tensions in society and prevent further escalation of the conflict in Ukraine by identifying an anti-terrorist operation as the beginning of preparations for which the Ukrainian Security Service and the anti-terrorist centre decided on 19 February 2014 was not in conformity with the Constitution of Ukraine. Considering that according to article 17 of the Constitution of Ukraine on the Armed Forces of Ukraine and other military formations, only the protection of Ukraine’s sovereignty, territorial integrity and integrity has been imposed, and the Armed Forces of Ukraine and other military formations cannot be used to limit the rights and freedoms of citizens or to bring down the constitutional system, to remove the authorities or to impede their activities. In view of paragraph 31 of the first part of article 85 of the Constitution of Ukraine, according to which decision to carry out an extraordinary situation in Ukraine or in certain areas of Ukraine is made exclusively by the Supreme Council of Ukraine and the absence of grounds for the introduction of an extraordinary situation in Ukraine is decided by the Supreme Council: First, to condemn unequivocally the use of violence that led to the death of Ukrainian citizens, torture, torture, and other crimes against humanity. The other one. The Cabinet of Ministers of Ukraine, the Ukrainian Security Service, the Ministry of the Interior of Ukraine, the Ministry of Defence of Ukraine and other paramilitary formations immediately cease the use of force, and prohibit the use of any weapons and special means against Ukrainian citizens. Third. Banning an anti-terrorist operation announced by the Ukrainian Security Service and the Ukrainian anti-terrorist centre on 19 February 2014 in Ukraine or in its separate areas. Four. Ban the heads, commanders of associations and divisions, officials, the primary and military forces of the Ministry of Defence of Ukraine, the Armed Forces of Ukraine, the Ministry of Internal Affairs, the Ukrainian Security Service, the Ukrainian Public Prosecutor's Office and other authorities of the Ukraine's local self-government, citizens' associations, institutions and organizations from the anti-terrorist operation as provided for in the anti-terrorist operation plan, such as those that do not comply with the Constitution of Ukraine, Ukraine's laws and aimed at illegal restrictions on citizens' rights and freedoms. Fifth. With a view to implementing paragraphs 1-4 of this Order, the Ukrainian Security Service will immediately cancel its decision to conduct an anti-terrorist operation in Ukraine, announced by the Ukrainian Security Service and the Ukrainian Anti-Terrorist Centre on 19 February 2014. The Ministry of Internal Affairs of Ukraine immediately ceases to block the blockade by law enforcement officials on transport communications, other streets, areas, alleys, boulevards in Kiev, and other localities in Ukraine. Ensure that law enforcement officials return to their permanent locations. Ban the Ukrainian Ministry of Defence from using the Ukrainian Armed Forces in an anti-terrorist operation, which was announced by the Ukrainian Security Service and the Ukrainian Anti-Terrorist Centre on February 19, 2014. It is also urgent to ensure the return of military personnel to their permanent locations. The Cabinet of Ministers of Ukraine will cancel the decision to restrict the entry of vehicles into the city of Kiev. This decision takes effect from the moment it is adopted. I'm asking for your attention. Please turn on Volodymira Litwin's microphone. From the rostrum, please.
ParlaMint-UA_2014-02-20-m0.u113	Dear colleagues, if we come out of what we had, at least, 240 votes, let's hear it. We discussed these proposals, and tomorrow we agreed on this project. So I'd like to ask, let's now consolidate us. It's about the name of the decision. The word "peaceful" is deleted and simply "citizens of Ukraine" because the text is followed by Ukrainian citizens. Next. In the paragraph, "Considering the numerous facts." "Kills, injuries and injuries of Ukrainian citizens, other acts that fall under crimes against humanity." [[Applause]] Next, clear the text and continue it with the words: "in the course of mass protests during December – February 13, 2014." The next paragraph is to be completed as follows: ".acknowledgment of the need for unconditional compliance (the word "appointments" thrown out) The Constitutions of Ukraine (the word "life" replace urgent measures to reduce social tension and prevent further escalation of civil (add word) conflict in Ukraine." The following paragraph reads: "Acknowledgment of the intent to conduct the Anti-Terrorism Operation by the Ukrainian Security Service and the Anti-Terrorism Centre of Ukraine on 19 February 2014 that do not comply with the Constitution of Ukraine." That's how it's gonna be. Next, the following paragraph: "According to article 17 of the Constitution of Ukraine on the Armed Forces of Ukraine and other military formations, solely the tasks of defending Ukraine, protecting its sovereignty, territorial integrity and integrity, and the Armed Forces of Ukraine and other military formations (the word 'nobody' to throw out, there is no such word) cannot be used to limit the rights and freedoms of citizens (whom everything else is deleted because it is not clear what the overthrow of the constitutional system is referred to)." I'd like some backup. Next paragraph. Add only a word in this way: "Having in mind the position of article 85, part one, of the Constitution of Ukraine, in which the final decision (and further text) on the introduction of a state of emergency (all of this remains). Because the final decision for the Supreme Council, you know the President's decree. Please be supportive. In the operative part, the first paragraph is set out in the following wording: "Certainly condemn all acts of violence that have led to the death, injury and injury of Ukrainian citizens, their torture and torture, which refer to the most serious crimes." In the second paragraph, honourable colleagues, add the words "other paramilitary formations cease immediately and prevent further use of force." Period. And as a single sentence to say, "prohibit the use of any kind of weapon and illicit special measures against Ukrainian citizens." The third point remains virtually unchanged: instead of "or" "or" "or". "All over Ukraine or in separate areas of Ukraine." The fourth point is unchanged. Fifth paragraph: 5.1, 5.2 — no change. But in 5.2, write this phrase: "to ensure the reasonable availability of the protection of state institutions and to take steps to return a special warehouse that is not active in public order to the locations of the location." And plus, honourable colleagues, another point is proposed: "The Cabinet of Ministers of Ukraine, the authorities of the State, provide all necessary practical assistance to the families of the victims, the victims and the wounded, to provide them with, for the living, the necessary medical treatment." Also, my fellow believers, I would ask that we make a judgmental decision. The following entry is added: “to oblige the authorities of the State and local self-government within five days of the date on which this decision takes effect to bring all their decisions into conformity with the Constitution and the laws of Ukraine”. A separate point: "The Ukrainian security services and the Ukrainian Attorney General's Office shall immediately investigate all the facts of the appeals and activities of individuals and formations that threaten the territorial integrity of the Ukrainian State. On the results and actions of this issue, inform the Supreme Council of Ukraine on March 11, 2014." Another point: "The Ukrainian Attorney General's Office conducts a full investigation into the deaths, injuries, injuries and violence committed against participants in the events of November 30, 2013. Twice a month to inform the Supreme Council of Ukraine of the progress of such investigations until their completion." And lastly, the closing point of this content: "The Supreme Council of Ukraine assumes responsibility for resolving civil conflict, calls on the national MPs to participate in plenary meetings, to make comprehensive decisions to stop the illegal development of events and to resolve the opposition by peaceful means. I think it's okay. Please be supportive.
ParlaMint-UA_2014-02-20-m0.u114	Thank you. Dear Society, I understand that we have many thoughts. I understand, respectable company. (Noise in the hall) Stop. I'm asking for your attention. I want to point out that we're going to put this decision in the agenda first. I ask you to vote in favour of setting this decision in order of day. Entry into the order of the day's decree that we have announced. Dear Society, I ask you to vote for the inclusion of the Supreme Council's ruling. Please vote. Please include the "Council" system. Please vote. [[22:11:25]] For 238. Decision taken. Thank you. [[B in m in s a l in]] Dear Society, we are voting on this decree as a basis. [[B in m in s a l in]] . On the basis of this, we are voting for a Supreme Council decree condemning the use of violence that has led to the death of Ukrainian civilians. I'd like everyone to vote by standing by, considering. We're voting on the ground. Please vote on the basis. [[22:12:31]] For 233 [[Flushing]] I beg your pardon, Olega Tuggniboka.
ParlaMint-UA_2014-02-20-m0.u115	Oleg Tuggnibok, Freedom faction. Society, we support all the amendments proposed by the national MP, Vladimir Litwin, and I ask for one more piece of legislation. Attention! Don't scream, please. One more point. The authorities of the pre-trial investigation should appeal to the court for immediate release from custody of all detained protesters (some day?) 19-20 and stop criminal persecution.
ParlaMint-UA_2014-02-20-m0.u116	Thank you. Here's to Peter Dustenka's word. What?
ParlaMint-UA_2014-02-20-m0.u117	From the 17th.
ParlaMint-UA_2014-02-20-m0.u118	Dear friends, Vladimir Mikhailovich and I also agreed, in the text of the amendments announced by Vladimir Mikhailovich, it sounded "December 2013 – February 2014". You all remember that the peace action began on November 21st, and on November 30th on the Kiev Maidan was the first blood, so instead of the "December" amendment "November 2013". Is there no objection? Second position. I call on everyone to really support Lithuania's revisions and the general text of the ruling. The only position that we have is a very negative experience when we say in a determination that not all parts of the internal forces are returning to places of permanent deployment, but only those that provide reasonable sufficient capacity. My friends, we must ensure that the inner forces, the Berkut, return to their permanent locations. If we have to do something about it, we'll make a decision and we'll make sure it's safe. Is there any objection? Please be supportive. The rest of the positions, please put and support Lithuania's amendment to the vote.
ParlaMint-UA_2014-02-20-m0.u119	Thank you. Please, Alexander Turchinov.
ParlaMint-UA_2014-02-20-m0.u120	Dear colleagues, we can now show the country that we can solve this terrible battle without blood, and this will be the first step we should take. We support the repairs that are bugged. [[B in m in s a l in]] Wait. Without "reasonable adequacy," all the other amendments can be included. Thank you.
ParlaMint-UA_2014-02-20-m0.u121	Thank you.
ParlaMint-UA_2014-02-20-m0.u122	Before I do, except for "murder" and no "date." Yeah? All of it.
ParlaMint-UA_2014-02-20-m0.u123	All of it. Dear Society, please take your seats, we will vote.
ParlaMint-UA_2014-02-20-m0.u124	Except for "murders." Except for "kills" and except "give," right?
ParlaMint-UA_2014-02-20-m0.u125	Yes.
ParlaMint-UA_2014-02-20-m0.u126	All of it.
ParlaMint-UA_2014-02-20-m0.u127	Copy that. All of it. Dear society, I ask you to be careful, we are now doing a preemptive action, we can stop the murder. [[B in m in s a l in]] Respectable Society, Dear Friends! I'm betting on the vote on the draft "Prohibition of the Use of Violence, which has led to the death of Ukrainian civilians", as amended by the People's Deputy of Lithuania, taking into account the rights of Peter Prashenko and the rights of Oleg Tuggnibok, except for those he has declared. I'd like to turn on the "Ray" system. Please vote by standing. [[B in m in s a l in]] In general. [[22:17:48]] For 236
ParlaMint-UA_2014-02-20-m0.u128	Respectable Society! Announcing a Break Ten minutes. Please announce recess.
ParlaMint-UA_2014-02-20-m0.u129	Please invite the people's deputies to the hall. Please invite the national deputies to the session room. Ladies and gentlemen, please be seated in our seats. We are continuing the work of our plenary meeting. For information. I ask you to turn on the microphone to the national deputy Viacheslav Kirilenkov.
ParlaMint-UA_2014-02-20-m0.u130	Respectable Ukrainians and respected colleagues. Right now, as we vote for peace in the country and for the muscle to leave position and return to base, just, practically at the moment when we voted. In Chercas in a dam, on his way out of Cherkasa, Cherkassky "Berkut" shot peaceful protestors in virtually one dead person, at least 10 wounded. So far, this is the peace of Berkut. Criminals. Parliament must decide the issue today as a matter of utmost importance. We urge the Berkut of Cherkas, those who have a conscience and a conscience to lay down arms to cross over to the people. And those who criminally shoot people will be punished. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u131	Thank you. For information, please turn on the microphone.
ParlaMint-UA_2014-02-20-m0.u132	Vladimir Yavorowski. Dear colleagues! You know, I thought today I was where these guys were, already the dead, come on, I think there's an opportunity to go to MacKeenk, let's say we could even prepare a document like this, if there's support for most of these guys in the Supreme Council and bury them next to the Ashold grave, provided the parents agree. It would be very normal, we would have a place like this, you know, the gravity of a certain historical one of ours, the Crutches and this revolution of ours. How do you feel about that?
