ParlaMint-HR_2022-04-28-0.u102862	- Mrs. Crescent. Hope Dreven Budinski will be the position of the HDZ Representatives Club, please.
ParlaMint-HR_2022-04-28-0.u103399	I thank Mr. Vice President, colleagues and colleagues, often in my presentations, saying that Croatia is paying a great price for not spending what other countries of the former communist countries have already spent a long time ago. One of those certain things is that we didn't have a lustration in the '90s. Today we see that the current topics are whether the former refugees will be pardoned and so on for the murders of a time of former communist creation. However, today I will use a particular situation on the island of Brac to try to bring our society and the attitude of politicians towards our people to investors but also generally towards the returnees of the Croats who brought their capital here to make something concrete in our country. While former Prime Minister Oreskovic was headed by the government, I had the opportunity to travel with him and hear firsthand how foreign investors are experiencing us. And I've heard often shortened ABC, ABC for them means Anything But Croatia. And I wanted to see why our country has such a bad reputation in important international circles, where big decisions are made whether to invest in a country or not. And they talked about concrete cases where investors were cheated, where they had legal problems, where there was no transparent business, where they bought something, and later they found out it wasn't their property, etc. So this culture of irresponsibility in us is causing enormous problems and, unfortunately, such a reputation is spreading rapidly. So, ABC Anything But Croatia. In recent days, we have seen a particular case in Supetar, so the mayor Ivana Markovic there is actually running one of his personal accounts with a local investor who owns his own resorts on the island. The other day, while there were some 600 guests in those facilities, they actually crashed the entrance, physically collapsed at 5 a.m. So the media reported this extensively. So we have a situation that at the beginning of the new tourist season we have one calculation of the local power plant with the people who work and who manage the largest resort in the place. Therefore, there is no special need to stress the damage of such conduct. However, I will look back at one of the reasons why individual mayors and other irresponsible politicians, impertinent politicians, can at all engage in such accounts, and this is the law on unclassified roads where this law is, in fact, turned into a means or weapons of some to deal with those who actually run large tourist facilities, and I do not need to stress in particular how important our tourism in total GDP is, so over 25%. So there's violence going on, harassing not only workers, but the particular owner who came back from Texas, so he told me the other day that these people were locally apologizing to him for all that was happening. He spent the entire time making a profitable company out of one loser and didn't take a dividend for himself for a year, but re-invested all the money in that company that works very well and employs up to 600 workers over the summer. So, if we're going to talk about the rights of workers, about the interests of Croatian people, we can't just look at this indifferently, this is one case that goes beyond Brač because it goes further and people will get the impression that property actually means nothing in Croatia. Today, if he chooses revenge for any reason, a local politician or a powerful man can destroy your property. So, the Homeland Movement and I will not personally keep silent about it, we will raise our voice for the rights of our people, especially those Croats who have returned from the world and are trying to create something in our country. Thank you.
ParlaMint-HR_2022-04-28-0.u103400	Thank you very much. - Mrs. Crescent. Dragana Jeckov will be the position of the Club of Representatives of the SDSS, please.
ParlaMint-HR_2022-04-28-0.u103505	I would like to thank the Vice President of the Assembly, my dear colleagues and colleagues. The drama about enrolment in primary and secondary schools began at the end of 2021. when the ministry presented recommendations to the founders on the optimal number of class departments with the aim of optimising and rationalising vocational education, in the translation of the abolition. I point out this is so-called. The abolition is actually happening in all parts of the Republic of Croatia, but don't mind me saying what I'm going to say in one sphere, in the field of minority education. These recommendations were quickly answered by the Director of the University of Vukovar and suggested that 4 professions in the classrooms where you imagine miracles of teaching take place in the Serbian language and Cyrillic letter with the explanation of the enrollment of any student in any direction are marred by the vision and quality of vocational education, imagine those who listen to me here what kind of vision and quality of the school is infringing if the student wants to enroll in some of the deficiting professions such as butchers, pasteurs or God of waiters in a country where tourism is one of the leading branches of the economy in which, according to some estimates, it will take more than 300 thousand workers in this season, which we will likely bring from abroad. So on the one hand, we lack 300,000 workers of these or related occupations, and on the other hand, we are disabling education for deficiting professions in order to meet the needs of the labour market to some extent. The constitutional law on the rights of national minorities where it is clearly prescribed that school institutions with language teaching and a letter of national minorities can be established and that it is even more important to implement for a smaller number of students. The Law on Education and Education in the Language and Letter of National Minorities states the same thing. However, I have to stop here and remind myself of some additional facts that individuals have obviously forgotten or deliberately ignored. The Constitutional Court of the Republic of Croatia spoke of this very similar matter in its decision from the end of '99. when he abolished the Ministry's guidance that was right on this trail. At that time, it was said that organising a course with at least 10 students for members of national minorities would lead practically not only to a restriction but to a complete shortfall in the rights of members of national minorities to education in language and letter. Today, 22. Later, the ministry accepts the proposal for the structure of enrolment as it is in Vukovar, but as I have said in other parts of the Republic of Croatia, all justice for the need for rationalisation or optimisation. In one hand, I can understand the unilateral and arbitrary conduct of the management of the werewolf school, but at the same time we cannot and must not accept this kind of ministry that deprives members of national minorities of the right to education which, therefore, is designed according to the state of the labour market of education for deficits, so the professions we need. With this pay phone, I invite all the directors who are concerned about this and educational workers who are also concerned with including themselves in a public debate and comment on this subject, and I call on the competent authorities to review these illegal and labour markets unfounded decisions once again.
ParlaMint-HR_2022-04-28-0.u103506	Thank you. Mrs Katarina Peovic will be the position of the HSS and RF Representatives' Club. Here you go.
ParlaMint-HR_2022-04-28-0.u103629	Thank you. Today, the parent committees were held to discuss with potential future ministers. HDZ MPs, MPs were acting scandalously, shouting at us from the bench to repeat the same questions, trying to silence opposition MPs and MPs, being commented by the lady in front of me, and with their replications and their answers, unspeakably praising HDZ candidates. Everything is taking place in a situation where a plenary session is held at the same time, which means MPs and deputies cannot participate, is caused by an extraordinary situation which is actually what we would say is the policy of the government of Andrej Plenkovic. First of all, these MPs are working in an emergency situation, but these new ministers are working in an emergency situation because Andrej Plenkovic himself said it might be just ministers for a certain time because he has already announced that he could return some of the current ministers who left the government. We have received a candidate of potential for the largest ministry, the Ministry of Labour Marin Piletic, who, we could say, compared to other ministerial candidates, Law profiled by the candidate who himself is the country here to praise and laude to Plenkovic himself in the assembly, praised and justified his moves, and we will see how he will now most likely lead the ministry. What ministers will certainly share for a certain time if they are at a certain time, and possibly or possibly will, is the status of workers on a specific basis, and for all 10 newly employed nine of us workers are employed for a certain time. Croatia is today second in Europe to the outstanding work that EUROSTAT defines as working for up to three months with insecure work contracts. We were first in 2018, we were in second place, we were in second place, we were listening again today, and we're going to listen more and more because today was a hearing on Sunday is May 1st Day Work Festival that falls on Sunday, we're going to listen to the laudes of Plenkovic himself about the number of employees, about the increase of salaries, the statistical manipulations we hear from day to day, and how much workers' rights are respected in this country, but we'll have the best chance of seeing on Sunday, is today the Labor Day Day falls on Sunday, so the workers will not only work on Sunday but also work on their holiday. It's a Labor Day, it'll work most often so they don't get paid extra. If they will be paid additionally, they will be paid additionally because the Labour Act determines that overtime can be paid more than what is paid, that means that they can pay one lip and the law is satisfied. Today, we heard from the Minister of Future Chickens most likely that he will not touch the Labour Act, he will not change it. The labour law should be amended, but should be changed in favour of workers, and not as HDZ has changed the last 2 years in secret agreements in which Minister Aladrović participated in where work hours were flexible in such a way that the worker could practically work from home for half a salary, be available to his employer all the time and have the working time defined in the Labour Act by a term that has never existed at all, but here we have new terms means completely at a certain working time. It's the new Labour Act. We don't need such a labour law, but of course we need a new Labour Act, and that's why tomorrow we're going to have a prime minister mean an initiative for the Workers' ZOR tomorrow to announce its 40-odd mandates, an amendment to the Labour Act, 40-odd amendments that are working. From solving this key issue from which I started, which is this famous contract institute at a certain time where we are at the very top of Europe. It means that a contract is limited to one year, which we will propose, not to allow workers to be used and re-employed from year to year, until we propose to cut the week's work. Such proposals will also become a future minister who is likely to sit next week and will be invited to the assembly on Tuesday. Thank you.
ParlaMint-HR_2022-04-28-0.u103630	Thank you. Mr Marin Lerotić will hold a position on behalf of the IDS Representatives Club, please.
ParlaMint-HR_2022-04-28-0.u103676	Thank you, Vice President, colleagues and colleagues. So not only the theme of the day but the theme back months ago, more precisely since Minister Horvat was arrested, has been speculated about who will replace him and who will be the new ministers in this government. So for some time now, we've been talking about who might leave the government, mentioned in some moments and 5-6 ministers who might leave because the prime minister is obviously not satisfied with their contribution until in this two months, the prime minister has given us no concrete information, and it's all been expensive, and we've had one status quo in this country which is bad for both the country and the citizens because time is going and it's a very challenging time where we're going, price growth, inflation, war, energy problems, and we're in suspense because we don't know whether the ministers who are currently going to be ministers will still be and how long they will still be ministers, and in fact, most important we don't know whether they will, if we get new ministers, and we'll obviously get them tomorrow, how long these people will be in their seats. And that uncertainty causes enormous instability, but also inaction, and that means only one further stagnation for the state. At this point, what is certain is that the prime minister will replace the two prime ministers and vice-presidents, and the question is just how long and whether there will be any more changes soon. In view of the trend that has been happening in the government in recent years, we should, unfortunately, not be surprised at all, nor surprised. And it can be seen that this reconstruction of the government that has been announced as a rescue, as a sort of reset, as a refreshment that will give the entire government new strength and power. However, it is obvious that this is nothing but makeup that will bring nothing new, and that in the second half of the mandate we can expect everything in the old and more precise terms we can expect that nothing will essentially change. In addition, the facts go hand in hand, and I'll also give you a few examples that we from IDS have been talking about for many years, and nothing has been done about it. Consider the example of lawless construction, what has been done about it? Absolutely nothing. The problem of the hospital in Izola and the care of Croatian citizens in Istria so that they can get to the hospital as soon as possible, nothing. Putting into function state land, nothing. Reduction of the tax press towards citizens and entrepreneurs, nothing. The medical school in Pula we've been talking about for years, nothing. An abandoned Istrian railroad, nothing. Croatia's tourism strategy, reducing fiscal and parafiscal burdens in tourism, also nothing. Renovate nothing. And so we can count and these five minutes would actually be very little because the fact is that people change in ministerial positions, but in particular and essentially nothing changes. With these changes, we are wasting our time because when replacing the minister, the new ministers should also be given a period of time and a period of adjustment, so the time it takes to catch the ends in the portfolio they have taken over. And so for who knows which time. And this all very clearly indicates that the problem is not 2, 3, 4 or 5, 10 ministers who have been replaced but the whole government that, despite the many billions that we have received as an opportunity to implement serious and essential reforms for our country's development, has no vision, goal and way to change this society for the better. The other thing is that by ruling every other law that they call reform, but they themselves know as well as all of us together that it's all expensive away from reform and that these are mostly just variations on the subject of already existing law. And in the end, we don't know if we're going to talk about any potential change of ministers in this term again because judging by the government's modus operandia, we can't even know that, but what I'm sure our prime minister should know about that wise saying, if you fail to see the solution, that's a sign that you don't see the problem either.
ParlaMint-HR_2022-04-28-0.u103677	Thank you.
ParlaMint-HR_2022-04-28-0.u106055	Dear colleagues, because your colleague is gone, I welcome you. Before we start working just to let you know that we'll... What? ... [[You don't understand the incursion from the bench.]] I don't know. [[You don't understand the incursion from the bench.]] Just to let you know that a total of 166 amendments have been submitted so far, of which 103 during yesterday's debate. The government won't be able to show up on these amendments, so we won't vote on them tomorrow. These are amendments to the Final Proposal for a Law on Amendments and Supplements to the Law on Agricultural Land, Final Proposal for a Law on Amendments and Supplements to the Law on Preschool Education and Education and Final Proposal for a Law on the Croatian Foundation for Science. So we will vote on these amendments or discuss and vote twice. That's it. Today we are starting with: - Proposal for a Law on Amendments and Supplements to the Law on Procedural Procedure, First Reading, P.Z.E. No. 264. The proposer shall be the Government under Article. 85. The Constitution and the Art. 172. The Rules of Procedure of HS. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to first reading of the law shall apply. The debate was conducted by the Committee on Law and the Committee on Justice, so I would now ask the representative of the proposings of the respected Justice and Administration Minister Ivan Malenica to present the final proposal for that law, please.
ParlaMint-HR_2022-04-28-0.u106056	Thank you, well-respected President HS, esteemed MPs and MPs. You have before you amendments and additions of the CAP to speed up, simplify and modernise the litigation process. These changes are part of the package of changes we are working on to ensure that the Croatian judiciary is effective and that citizens resolve their disputes as soon as possible. The proposed amendments to the law introduce precise deadlines for the completion of the procedure. The first-degree litigation procedure will be completed within 3 years, second-degree appeals courts will decide within a period of less than one year. Small-value disputes will end within a year, and the appeal procedure for these disputes will last up to 6 months. The deadline for holding the preparatory hearing shall be introduced and this preparatory hearing shall be held within 3 months of the date of receipt of the response to the action or the expiry of the time limit for the response to the action. After completion of the preparatory hearing, the main debate will have to be held no later than 6 months. The Supreme Court will take a decision on a proposal for the authorisation of an audit within 6 months of the receipt of the proposal. The Supreme Court will be obliged to adopt a review decision within 2 g. from the date of receipt of the audit. When we talk about disputes of small value, which are also covered by these changes, the procedure in small-value disputes will, as a rule, be written in dispute, and in these proceedings will only be able to be held in extremely prescribed situations, for example if there is a need for a witness hearing or an exercise of sorcery. Small-value disputes are disputes up to 10 thousand kuna, while small-value disputes in commercial proceedings are seen as disputes up to 50 thousand kuna. When we talk about a process calendar, it is introduced into changes to this CAP, so a process management plan is introduced. The judge will define at the first hearing a hodogram of activities in the procedure unless the hearing immediately concludes the previous proceedings, and will hold and conclude the main debate. The plan will include a summary of issues, facts and legal issues, a list of means of evidence to determine the facts in question, a time limit for obtaining the means of proof to be obtained, a deadline for submitting written observations by the parties to the parties to the allegations of the parties, and a date and time for holding the hearing for the main debate. Once the judge defines a plan to manage the debate, he will give the parties the opportunity to read about it. The introduction of a procedural calendar aims to encourage courts to take one proactive approach to resolving each case to list all relevant facts and legal issues at the first hearing, which will continue the process. This calendar will help the parties to see in a transparent way the process course and predictability of further activities. Modifications and additions of the CAP also introduce mandatory tone recording of all hearings. The copy of the tone recording from the hearing is no longer mandatory while the minutes will be kept only on the most important actions taken at the hearing because the contents of the other actions at the hearing will be contained in the tone recording. This significantly shortens the duration of the hearing, especially during party statements, and hearings of witnesses and witches. In addition, the work of the court will become much more transparent and subject to external control. A new institute of surprise decisions is also being introduced in the litigation process. Since the second-degree decision has taken place in previous legal practice on the basis of a different legal assessment of the dispute compared to the first stage, and in cases of alteration, legitimate expectations of the parties are being violated, the parties to the proceedings shall be allowed to make known the legal considerations of the court on the applicable law for the essence of matters. By introducing a new article. 367a. The principle of New Article 4 is more detailed as to how the issue arises when the issue arises before a second-degree court. This provision regulates the issue of surprise decisions in accordance with the current postulates of modern European procedural law. The audit provisions shall also be revised. The audit procedure will always be launched from now on by a proposal to allow an audit independently of the type of dispute. In this way, all parties that have initiated the audit process will know in a timely manner whether there is a basis for reviewing their dispute. The provisions on the review procedure are also redefined since the examination procedures are extremely important for equating case-law, and it is not uncommon for collective rights to be exercised that this procedure can, apart from the party's proposal, be initiated on a proposal from the parties and the interfaces. In order to increase legal protection, the composition of the Supreme Court Council to decide in such a procedure shall also be extended. The amendments and additions of the CAP shall also be subject to more detailed arrangements and maintenance of the remote hearing. Whether a court hearing will be held at a distance decides by a decision against which no appeal is allowed. Before a decision is taken, the court shall obtain an indication of the parties and other participants to participate in the hearing to be held at a distance. All other issues supporting remote maintenance such as the use of audiovisual devices, the technology platform for long-distance communication will be prescribed by the Regulation. The concept of illegal evidence is also introduced in such a way that it is prescribed that the judicial decision cannot be based on unlawful evidence or evidence obtained in an unlawful manner by applying the proportionality test in their assessment. It also extends the circle or extends the circle of e-Communication taxpayers, the mandatory e-Communications actors become union workers, or the Employers' Association as attorneys when representing workers or employers, then the Commissioners in the process of bankruptcy of consumers, liquidators, special guardians in family matters and natural persons performing registered activities in disputes concerning these activities. Respected MPs and representatives of this proposed amendment to the Law on the Procedural Procedure are certainly a step forward in strengthening citizens' trust in the judiciary because by adopting them, we will allow citizens to have faster digitalised procedures, which will ultimately reflect the efficiency and efficiency of the judiciary itself. Thank you.
