ParlaMint-HR_2013-06-26-0.u35491	Here you go, colleague Jandrokovic.
ParlaMint-HR_2013-06-26-0.u44238	On behalf of the Proposer Club, a respected representative of Dragutin Lesar.
ParlaMint-HR_2013-06-26-0.u44239	However, I do not accept an explanation for the rejection of the amendment and therefore ask for a vote.
ParlaMint-HR_2013-06-26-0.u44240	Please state the amendment number 42 of the Croatian Labour Representatives Club which the applicant did not accept. Who's in? Thank you very much. I'm saying he didn't get the necessary majority. We are going to the amendment number 39 of the Croatian Labour Representatives Club in the Croatian Assembly of the Committee Presidents.
ParlaMint-HR_2013-06-26-0.u44241	The amendment of the Club of Representatives of the Croatian Labour-Parties to Article 234 is not accepted by the applicant. In order to increase the quality and better organisation of work at the meetings of the Assembly, the provisions in question have been arranged and the amendments in question have not been accepted. This Regulation shall enter into force on the twentieth day following that of its The final proposal of the Rules of Procedure set out that the Bureau sets out the annual plan of the Assembly and will contribute even more together to a better organisation of work, and thus to greater security in the deadlines for discussing all topics at the Assembly meeting, with a special indication that this is about an exception rather than a rule.
ParlaMint-HR_2013-06-26-0.u44242	Please, on behalf of the Proposer Club, a respected representative of Dragutin Lesar.
ParlaMint-HR_2013-06-26-0.u44243	Now let me make one thing clear, so you have refused and spoken about the reasons for the rejection of the amendment that speaks of the Parliament's presidency's right to propose to the Parliament who, without debate, can decide that an item of the agenda is being discussed for an hour. Is that the amendment? So far, the solution has been that, with the agreement of all the clubs of MPs, the Parliament can conclude that a point will be discussed one day. The provision is now being introduced that on the proposal of the Parliament Presidency, and I would remind you that in Parliament's presidency, the parliamentary majority always has a majority, a parliament without debate can vote that the state budget is being held for three hours and mathematically there to share that time into the representatives' clubs. It's a democratic step, it's the development of parliamentary democracy, it's respecting the fact that we have different attitudes and essences that a parliamentary representative in the Parliament has the right to speak. The calendar will arrange what, I don't understand. The Bureau will plan every day of the session and then propose to limit each item's discussion without any consultations and arrangements with anyone. I'm asking for a vote.
ParlaMint-HR_2013-06-26-0.u44244	Please state the amendment number 42 of the Croatian Labour Representatives' Clubs which the applicant did not accept. Who's in? Thank you very much. I'm saying he didn't get the necessary majority. We're going to Amendment 34 of Honored Representative Davorin Mlakar.
ParlaMint-HR_2013-06-26-0.u44245	The amendment of Agent Davorin Mlakar to Article 234 shall not be accepted by the applicant for the same reasons as Amendment No 43.
ParlaMint-HR_2013-06-26-0.u44246	I'd like an esteemed representative of Davorin Mlakar.
ParlaMint-HR_2013-06-26-0.u44247	Pity Mr. President, here's no last chance to fix the Rules of Procedure of the Croatian Parliament. The point of my amendment was that it was not only possible for the Parliament's presidency to limit the time for discussions on certain points of the agenda, which would not only limit the presence of individual MPs but also take the right to speak to them on a particular subject if the time envisaged had already been exhausted before anyone who wanted to talk about something had come to the agenda. And although this ruling coalition is without limits in its imagination when it proposes certain provisions, you have suggested that local elections no longer require a man to have a business ability to choose or be elected to a certain duty. According to the Law applicable to the election of MPs in the Assembly, parliamentarians still have to be citizens and have 18 and over years of life must also have a business capacity. The Bureau of Parliament is a gathering of the first among the equals. And we have yet to be deprived of our business ability so that the Presidency of the Parliament should decide, instead of the representatives, how much, when and what we talk about. It's the meaning of the amendment, and that's the meaning of something that I'm also telling my colleagues in the position. Do not let five people in Parliament's presidency decide when and how much you will speak. And I said in the debate on this Rules of Procedure, we only need one more provision to prescribe and what we can say. I'm asking for a vote on the amendment.
ParlaMint-HR_2013-06-26-0.u44248	Thank you very much. Please state the amendment No. 44th Honored Representative Davorin Mlakar who was not accepted by the motionor. Who's in? Thank you very much. I'm saying he didn't get the necessary majority. Amendment No. 45. The Club of Representatives of the Croatian Labourers, the Honorable Chairman of the Committee.
ParlaMint-HR_2013-06-26-0.u44249	Amendment No. 45. The Club of Representatives of the Croatian Labourers – Working Party on Article 250, the Proposer does not generally accept for the same reason as the amendment No. 42. The proposer did not accept the amendment in question, given the need for the adoption of certain acts of labour dynamics at the Parliament meeting, the co-ordination of the President of the Parliament should be as independent as possible.
ParlaMint-HR_2013-06-26-0.u44250	I'd like a representative of the representative of the esteemed representative of Dragutin Lesar.
ParlaMint-HR_2013-06-26-0.u44251	We have a regulation in our Rules of Procedure that the session ends as a rule when all points of the agenda are exhausted as a rule. However, it is generally that at least 30 points of the agenda remain unsettled from each session. And always the same, you know... These must be the opposition points of the agenda. [[The speaker doesn't understand.]] And they are being entered into the agenda of the next session. At the next session, on the first consolidated agenda they are from point 35 below, in the second consolidated agenda they are from number 85 further. And they end up about at the end in 159 places. If the words of the Rules of Procedure were to be respected and the meetings were to be completed when all the points of the agenda proposed by the President were exhausted and the Assembly adopted on the agenda, then this amendment would not be necessary. And what are we offering with the amendment? Those points that were concluded at one closed, completed session remained unsettled that at the next session they must be priorityd from seat number 1 to place how many points remained unsettled. In order to avoid even the reports of state bodies submitted to the Assembly by the annual report, we discuss the annual work report three years after the calendar year has passed and, of course, to avoid manipulation that opposition proposals fall out of the agenda of each session because they are constantly moving. Of course, most can always refuse to do so after the debate and show the strength of the majority but you show the strength of the majority and the muscle by playing with the agenda. If you accept this amendment, you will show that you have at least a minimum of political jurisdiction towards the political minority in the Parliament. I'm looking for a vote.
ParlaMint-HR_2013-06-26-0.u44252	Thank you very much. Please state the amendment No. 45. The Croatian Labour Representatives' Club which the applicant did not accept. Who's in? Thank you very much. I'm saying he didn't get the necessary majority. And finally Amendment No. 46th as the last amendment, the Honorable President of the Committee.
ParlaMint-HR_2013-06-26-0.u44253	The amendment of the Legislative Committee to Article 295 shall be adopted by the Proposer.
ParlaMint-HR_2013-06-26-0.u44254	Thank you very much. It shall become an integral part of the final proposal of the Rules of Procedure. Here you are, Your Honor, Agent Davorin Mlakar.
ParlaMint-HR_2013-06-26-0.u44255	Thank you very much. Your Honor, Mr. President, it is one of the fundamental acts and certainly the fundamental act under which all the clubs are working, all the representatives in this House. Since here we have again experienced that the promoter has rejected all our amendments, we are looking for a 15-minute break for the club's session.
ParlaMint-HR_2013-06-26-0.u44256	Dear Representative Dragutin Lesar.
ParlaMint-HR_2013-06-26-0.u44257	In accordance with Article 225 of the basic Regulation, I request a 15 minute break from the Rules of Procedure of the Croatian Parliament in order for the Club to agree on how to vote after this shameful refusal of quality amendments to repair the Rules of Procedure of the Croatian Parliament 1. 7th member of the European Union with the 19th-century Rules of Procedure.
ParlaMint-HR_2013-06-26-0.u44258	Thank you very much. I'm taking a 15-minute break. We're here at 12.45. ... Well, that's fine. ... [[You can't hear the intruder.]] I'll see you at 12.45. [[The speakers speak out loud, you don't understand.]] MEETING IN 12.25 HOURS [[CONTINUATION AFTER MEETING IN 12.40 HOURS]] Dear colleagues and respected colleagues in the Croatian Parliament, we can continue the plenary session. I ask the representative of the HDZ Club in the Croatian Parliament to make their views known on behalf of the club. Honorable representative Davorin Mlakar on behalf of the HDZ Club. Here you are, Your Honor, Agent Davorin Mlakar.
ParlaMint-HR_2013-06-26-0.u44260	Thank you very much, Mr. President. I am convinced that the Croatian public is expecting a completely different debate today, that it is sensitive to the issue of a European arrest warrant and that it is a dominant topic in all our discussions and in all our media, so that I would say the debate on the Rules of Procedure is of second-rate importance to the Croatian public. However, this Rules of Procedure, as a basic instrument of work of Croatian representatives, is not of second-rate importance to us. He is uninteresting with the ruling because they have already found that it will continue to work in this parliament. I have to say the evaluation of the HDZ Club, this is a shameful amendment to the Rules of Procedure that seems technical, but in its essence, it's deeply anti-democratic. This is an intervention in the Rules of Procedure of the Croatian Parliament with which you further wish to destroy the right to freedom of speech, freedom of opinion and the expression of your professional and political views, and that is why we believe that such intervention in the Rules of Procedure is inadmissible. Whether it will have to change again in a year or before because of all these interventions you have entered, it remains to be seen, but in this way violates regulations, violates already established democratic practice in Parliament and in the end violates the intentions and ideas of the Croatian Constitution is something that you cannot be allowed to do. And the fact that with these interventions of the Rules of Procedure, I will repeat it for who knows which time, you put priority in the political life of this state in the government, in the executive power, and you ignore the value of Parliament is something that we as parliamentary representatives cannot tolerate. The principle of parliamentary democracy is still in force that the government is responding to Parliament, and regardless of your diabolical attempts to change this relationship just because you have the obvious order of your government to give it more space in Parliament and to spare her reasonable criticism is something that Parliament must not vote on. That is why I have appealed to the explaining amendments, and again I call on colleagues from the position, it is today something that may suit the government, the government thinks it is appropriate for her not to hear a critical opinion and not to hear a different opinion from what she has, but in that case you are mistaken and in a year it will be a problem because you have brought such a Rules of Procedure because you will not be able to articulate the views of your electoral units when it is necessary. It is not possible by one act that is lower than the Constitution to regulate the relationship between Parliament and the Government rather than by the Croatian Constitution. And while this constitution is in force, the government will answer to Parliament, the government will account for Parliament and cannot be the other way around. And that is why it is unacceptable for you to reduce the importance of the Croatian Parliament, to reduce the importance he had as a legislative body in his 20s and some years of life in the independent Republic of Croatia. You are reducing what was a difficult pain in the election status of the Croatian Parliament and when we did not have our own state. Some who have entered historical speeches in this House are mentioned today because of an advocate for the importance of the Croatian Parliament, and you are destroying it today, I would say to a simple Rules of Procedure. This work will take revenge on all of us, but we, as Croatian representatives in Parliament, will not support your idea. We will stand up by all means against this kind of violation of democracy and freedom in Parliament and we will not participate in such acts as you present to us. So we have said and we will repeat, we will not stick to this Rules of Procedure, vote for it ourselves, and we will work towards the former Rules of Procedure because, based on such regulations, we have entered this Parliament to advocate the values for which we have been elected to Parliament. Thank you very much. [[Applause.]]
ParlaMint-HR_2013-06-26-0.u44261	Thank you, too. On behalf of the Croatian Labour Club in the Croatian Parliament, the respected representative Dragutin Lesar. Here you go.
ParlaMint-HR_2013-06-26-0.u44262	Dear colleagues and colleagues, Mr. President. They objected to me when I just said that this Rules of Procedure is back in the 20th century, at 19th actually. They say in the 19th century the Croatian Parliament's Rules of Procedure was democratic, the 20th was problematic. I apologize for this historic forgetfulness. A few days ago on the Committee on the Constitution, an external member of the Committee, Prof. When we opened the discussion on amendments to the Rules of Procedure, Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mr. Mrs is the President of the President of the President of the President of the President of the President of the President of the President of the President of the President of the That's his professional attitude. And indeed, although it is called the Rules of Procedure, most of it is governed by the democratic relations between the majority and the minority in the Parliament. We pride ourselves on taking most of the other laws and regulations to protect all kinds of minorities in Croatia. However, these Rules of Procedure make it impossible for the political minority to act and work in accordance with not only the Constitution of fellow Members of the Mlakar, but also the oaths we gave as parliamentary representatives. The text of the oath that obliges me to comply with the law, the Constitution, the work and the responsibilities of the Assembly must now be changed, installed inside two, three words that I can work, speak and propose when the political majority approves it. Otherwise, no. You have no right to propose laws or other acts, because we will not put you on the agenda. When we put it on the agenda, we won't open the debate, and if we accidentally open the debate, of course we won't accept anything of yours. That's what it says on the cover of the new Rules of Procedure. The Prime Minister has no replica, or at the address of the Prime Minister, there is no replica. He answers final questions to members of the government. The government is reconstructed without discussion at the plenary session and you call it rationalization, better work by the Parliament. Then I'm giving you another suggestion. Let's keep moving. Please enter into the transitional and final provisions just one more point. On the day when the Parliament determines the items of the agenda, the ruling majority shall immediately vote all the laws, and the opposition representatives may submit their proposals and reflections by means of an e-mail or the Infodoc Service of the Assembly if they are used by e-mail. And then we rationalized Parliament's work to the maximum. This sarcastic proposal is a translation of the contents of the Rules of Procedure if it is adopted. You can shake your head, you can replicate me, you can flirt with those who ordered you to adopt such a Rules of Procedure. The truth, the essence, the oppression of the rights of opposition advocates, you will not be able to hide or justify. And that is why I call on all MPs who disagree with such a Rules of Procedure to leave the Chamber, not to participate in the vote, to show not only their differences but to show the public that only part of the Parliament has brought and adopted such a Rules of Procedure. And those who wrote it and who insist on adopting it sooner or later will be ashamed, because they will see all the new conflicts you will make us work to fight for our rights and to honor the oath I made. The Croatian Labour Club – the parties of work leave the hall during the vote on this shameful, rude imposition of the non-democratic Rules of Procedure.
ParlaMint-HR_2013-06-26-0.u44263	Thank you very much. On behalf of the Social Democratic Party club, Croatia's respected representative Igor Dragovan. [[Applause.]]
ParlaMint-HR_2013-06-26-0.u44264	The democratic practice in this Parliament has shown diversity in different stages especially different when other parliamentary majority were. As for this parliamentary majority, when it was in the parliamentary majority, it always showed consistency and the same rules of play. And when she wanted to change the rules of the game, she did it openly, honestly, transparently and in front of the political public. For every move we make, for every law and decision we make in this House, we make our own bills to Croatian citizens. So we have learned, so we will behave in the future, unlike those who can hardly accept the fact that the trust of Croatian citizens in the last parliamentary elections is expressed to the other parliamentary majority than theirs, and there are probably reasons why we still have to look at today before Croatian courts. We face a new challenge, Croatia enters the EU, we have a whole new experience in the work of this Parliament, in the work of Parliament within the EU, and if there is a need to change some other things in the Rules of Procedure, so it is not a holy letter. We'll change that. Therefore, at this point in time as a message to the Croatian public, it is our opinion that with this kind of Rules of Procedure we will speed up, show our work in a better way, we will be much more dynamic, and if the challenges show that we need to change some things, so we will change them. [[Applause.]]
ParlaMint-HR_2013-06-26-0.u44265	Thank you very much. We've exhausted the log-in list. I'm closing the debate. I am voting on the final proposal of the Rules of Procedure of the Croatian Parliament. Please plead with your hand. The Rules of Procedure require most of all representatives in the Croatian Parliament in accordance with Article 226. Rules of Procedure of the Croatian Parliament. Please plead. Who's in? Thank you very much. Does anyone mind? Thank you very much. Does anyone have any abstentions? Thank you very much. Can we get a score? I find that most votes, 76 votes in favour, 1 vote against and 3 abstentions were adopted by the Rules of Procedure of the Croatian Parliament in the text as proposed by the Proposer along with the amendments accepted.
ParlaMint-HR_2013-06-26-0.u44266	We move on to - Final draft law amending and supplementing the Health Protection Act, emergency procedure, first and second reading, P.Z.E. No. 411 The legislator is the Government of the Republic of Croatia. You've received the motion for an act in boxes. In accordance with Article 159 of the Treaty, the The Registrar's emergency procedure combines the first and second readings. Amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Law, the Committee on Health and Social Policy. You received reports at the session. We have the Deputy Minister of Health, Mr. Marian Cesarik. Deputy Minister intro. Here you go.
ParlaMint-HR_2013-06-26-0.u44267	Thank you very much. The law therefore transposes the Directives into the legal order of the Republic of Croatia. Directive 2005/36 of the European Parliament and of the Council of 7 September 2005 on the recognition of professional qualifications. The legislative proposal regulates the system of recognition of the qualification of healthcare professionals in accordance with a directive guaranteeing the persons who have acquired professional qualifications in one of the Member States access to the same profession and the same rights in the exercise of that profession in another Member State as well as the nationals of that Member State. Next, Directive 2011/24 of the EU of the European Parliament and of the Council of 9 March 2011 on the application of the right of patients to cross-border healthcare in the part relating to the responsibility of the State to ensure that all healthcare professionals directly in the form of professions provide health care to the population from the harm that might be incurred in the conduct of healthcare. Next, Council Directive 2010/32 of the EU of 10 May 2010 implementing the Framework Agreement on the prevention of injury to sharps in the hospital sector and health care in such a way as to introduce, as one of the health care measures relating to work and the working environment, protection measures to prevent injury to sharps for healthcare professionals who directly provide health care. And for unhealthy workers who can be injured by sharp objects. The legislative proposal shall regulate the work of the body of health institutions during the recovery procedure. The legislative proposal regulates the founding system of leases in primary health care and in a new unique form. The legislative proposal also provides for the possibility for healthcare professionals in private practice, health institutions and companies carrying out health activities in accordance with specific regulations to provide medical services in tourism for which they are authorised. Thank you very much.
ParlaMint-HR_2013-06-26-0.u44268	Thank you. Do the Committee's rapporteurs want to take the floor? If not, I'm opening a debate. On behalf of the HDZ Representatives Club Vice-President Željko Reiner. Here you go, Vice President.
ParlaMint-HR_2013-06-26-0.u44269	Thank you very much, dear Vice President of the Parliament. So here is the proposal for a Law on Amendments and Supplements to the Health Protection Act with the label P.Z.E. And that's why we're discussing this law today. It's almost seven hours, four days before entering that European Union. And at first glance, you could naturally ask the question that has been raised to all of us for the last few weeks why the Law which means alignment with the European Union that we know to enter for months and months, a year, a year and a half, why it has not come before us if it is a alignment with the European Union. It is declared to be a alignment with the European Union directives with three directives, once adopted in September 2005, the second adopted in May 2010 and the third adopted in March 2011. Well, all that time, there was no time to bring these few articles together with the directives and to settle it, and not wait seven hours four days before the entry into the European Union. However, I want very clearly to say, under... P.Z.E. a whole series of other articles shall be inserted thereon, except for the harmonisation of these three Directives. [[The speaker doesn't understand.]] It's the most important hand on the heart here. So let's see what this is really about. Therefore, first in the assessment of the situation mentions some things that do not exactly stand out, for example, that education for healthcare professionals 5 regulated professions is in line with the directive in such a way that the integrated curricula has included practical teaching and they will not be followed by this proposal of the law in order to carry out the traineeship and to pass a professional examination. Let me translate what that means. At first, it's not true that there's an integrated curricula. It certainly does not exist in all universities and in all medical schools in Croatia. If it does not exist then we will have a situation where this Law abolishes the internship, the mandatory traineeship, and the passing of a state-run expert exam is abolished. What consequences that will have, I daren't think. Because this will produce doctors who, without a single day of practical training, will be able to compete immediately and may theoretically get specialization from, say, neurosurgery or cardiosurgery without working one day in practice with patients. If they hadn't passed some state exam that would give them confirmation that they were ruling certain medical, not November, medical skills, that they knew the laws of the area. You don't learn that at the studio. The laws and the Constitution were also subject to the state expert's examination. Now there's no more state-of-the-art exams. Therefore, all countries, I want to say very clearly, have some form of practical work after the study and then some form of verification. It's not called an internship everywhere. For example, in Spain, young doctors prepare for their national expert exam for a year. We don't have it now. Some forms of medical knowledge check, I reiterate, not a student that is acquired during college but practical knowledge exists in the vast majority of countries. There may be no Ukraine or Georgia or any other country. But let's just say, if we compare ourselves to those countries where we enter the circle in four days, then they have it all. Some have been asking for two years, so they call it clinical experience, for example. For example. in Switzerland if you want to work late at the hospital then you must obtain this clinical experience in primary health care. And vice versa, if you want to work in primary, you have to do it at the hospital. In the Netherlands, it's a little bit different-looking, but they all have it. We won't have it anymore. We've had it so far, we won't have it anymore. Then, what else do we have, much of this law is dedicated to recovery. It has nothing to do with entering the European Union, so I'm saying it's a whole series of things. The Sanitation Council is being discussed where it is defined to manage the facility during, listen well, the duration of the recovery, and two years after the decision on the completion of the recovery is made. What that means is that an emergency administration is being put in place, saying in advance that after one day a resolution that can end in half a year or in a year, that two more years they will be there in their positions. Directors have been executed, administrative councils have been executed, the political likeness of which has been set up by the resolution managers and the resolution councils which are now being given legitimacy after being placed after these legal provisions have been laid down. It has nothing to do with the European Union. But since it is known and I've talked about it more than once here, that the so-called recovery won't solve anything in Croatian health but it'll be spent by no one living knows, now it's about 3.3 billion, and it's been said that the debts are 7 billion. No one knows alive, that's what my colleague and Shucker and I have discussed here many times. But in any case, billions will be spent, and since nothing has been resolved systematically in the health care system, new debts will be created. That's totally certain. And the renaissance managers who are politically similar will be placed very soon, in half a year, at the latest in the same situation as their predecessors because of course when the funding is too little and the costs are increasing, of course there will be additional debts. Now, however, in order to avoid being able to say that they are not able to do so, they are exculpated in advance in this Article 14 because they say, if there is a loss in the activities of a health institution which... founder in accordance with Article 56 of this Law, except in the event of a loss due to a delay in the achievement of the planned revenue. In that, the problem is that the planned revenues are not realised, so all these institutions are in a deficit. And now it's said here that they can, if they keep on doing so they can still be, so we're not going to move them like we said that the previous directors have to move because they didn't work, because they were creating debts. When they create debts, it's justified. So that's Article 14. In several articles, for example, in Article 20, the Ethics Commission of the Medical Institution may appoint a Sanitation Council and shall make it at least 5 members, of which at least 40 members of the sub-represented sex. It's certainly not a good solution written like that. What does a sub-represented sex mean? If you were to say that there must be a balance between the two sexes, then you should have said it so clearly because the sub-represented sex in health is at this time men. There are far more women in health care than men, so I don't know what it was going to do with it, but I'm afraid it's not going to achieve what I think is going to be achieved, which would be a good thing, which is to be at least half the women in it, but it's not seen out of this, unfortunately, and it doesn't guarantee it. What is bad is where the Committee on Quality is spoken and Article 22 says the Committee on Quality must be represented by representatives of all activities. It may be so in county hospitals maybe, but when you look at a clinical hospital that has 20 and some activity, I think 27 or how much more, then you'll create a huge body that won't be functional and that won't do the job that should be done. There are, of course, good things, I am happy that article 28 puts organised promotion of health and mentioning measures to promote health and preserve the improvement of the health of the population, etc. Then we come to article 32, which is very interesting. He's made it very clear to say to replace the current National Health Council. That's the only reason he's put in and a few minor changes have been introduced in the formulation. One is that at least 40% of people under-represented should again and be mentioned in the National Health Council's sayings give an opinion on gender change. I would like to tell you very clearly that the current National Health Council, which will follow this, and then very clearly in article 54, says that within 60 days, the Minister will propose to the Parliament and then vote on the new National Health Council, the current National Health Council has on several occasions warned that it should not give an opinion at all on gender change but should decide and make a solution based on the prescribed documentation of the Ministry of Health Service. Why is this so, because when it comes to decision-making on the rights of the party, it is necessary for the parties to have the right to file a complaint or action, and that is only possible if an administrative procedure is carried out which the National Health Council cannot implement, but the Ministry of Health may. Since the National Health Council adopts its opinion on the prescribed form, but without the memos and stamps, because it does not have them, it cannot in itself be the basis for amending the basic entry in the parent books and then it is unconditional to include the National Health Council, and it is immediately, by its own composition, not and cannot be qualified to assess the value of the medical documentation on gender change. And therefore, we have proposed that this should not be at all an object, subject matter or group of items to be decided by the National Health Council because, ultimately, the National Health Council plays a completely different role under the current law. It exists primarily for the purpose of studying health problems, giving and proposing expert opinions in the field of planning, programming, development and other important health issues that are important for the Republic of Croatia. Now you see, there is a problem, none of these issues have been resolved by the National Health Council because, despite its demands, it has not received this opinion from the Ministry of Health, including neither the famous National Health Development Strategy from 2012 to 2020, nor any other document that could achieve this in law-defined issue of giving, proposing opinions on planning, programming, health development. So, now it's changing, and now it's going to be dealing with probably only gender change, I don't know what it's qualified for, or can do it well. Article 47 brings us back to that question that I mentioned at the outset, which is a problem, unfortunately, that we will create, and that is how two types of health care professionals are created. One under a quote under a new programme that will not need any internships or state exams and another that will have to go on internships. So, we will have two types of health care professionals and greatly complicate the situation in which I say again in four days we are entering the EU. And just to tell you today, 10 young colleagues came to the Croatian medical chamber and asked them to leave, the conditions to go to Norway from Croatia in a situation where we lack doctors and we create situations where there will be several types of staff with a professional exam, without an expert exam, what an internship, without an internship, etc. If it was already wanted under the EU and P.Z.E. company except for these three minors to push through something more, then perhaps the existing articles that are not the most happily solved could be improved. For example, Articles 8 or 9, the contents and powers of the state and units of the regional and local self-government where the provisions are inaccurate, mixed, contradictory, non-transparent for implementation, etc. For example, it could have changed, but it hasn't changed. For example, the issue of the existing regime, for example in existing Articles 40 to 43b. the applicable law, therefore, the existing public health care regime in the form of a concession may only carry out certain activities in primary health care, which is neither transparent nor in accordance with European, global practice, which allows for the concession of almost all health activities treated as public health services. We share them in the existing law. That could have improved, for example. Or the existing founding regime could be reconsidered and adapted to European and world experience in practice, for example in Article 44 of the applicable law. So that the home of health, for example, can form a city, etc. which he could have done under the 2003 law. [[Invader Batinić: Time.]] So, a whole series of things could be fixed but it didn't fix itself, but it went into some things that have nothing to do with joining the EU. Thank you very much.
ParlaMint-HR_2013-06-26-0.u44270	Thank you, Vice President. Here's four lines, there'll be a chance. The first one came to Tatjana Šimac-Bonačić. Here you go, pals.
ParlaMint-HR_2013-06-26-0.u44271	Thank you very much, Mr. Vice President. Comrade Reiner, when you were talking about the internship and taking the state exam, or expert exams, we all have such enquiries and very often we do not know whether or not we should answer, and here we are clearly told by the articles of this 36th and 37th Law, respectively, where they tell us who actually has an obligation to conduct an internship, i.e. to pass a professional exam. You also mentioned, and it says "integrated curricula." However, the problem is that in Croatia I only think the Split Medical Study has conducted this integrated curricula and you were right when you said that we would actually have two types of health care professionals who would end up and it doesn't matter whether you ended up in Split or whether you ended up in Zagreb or at some other university. However, I must remind that this is not a matter of today, or that it is not a matter of the current government, or of the current law, because you know that the lack of a doctor who is seen to be actually thinking about a simpler way, so that this internship is actually avoided and it has been said that, in fact, it will be abolished by some kind of legal proposal. But I think it's not a yes or no position, that these are deeper things because if it's not put enough into an integrated curricula, it's adequate what we are when we graduate from college because we know all of us who have studied such colleges that we have to admit that there's a lot more theory than practice. And now that we're done with college, then we know, we're standing in front of the wall, so we don't have practice in ourselves. So I wonder if it's an integrated curricula thing, is it appropriate to what we've been going through all year of internships or state exams? But it's not even the Ministry of Health, but it's a matter of course and the Ministry of Science and we're wondering, Which is why no study reform has actually been carried out. [[Invader Batinić: Time.]] Because we know you mentioned yourself that this one directive since 2005 is now talking about professions, i.e. The same rights that they should have all the professions that are similar. [[Invader Batinić: Thank you.]] Thank you very much.
ParlaMint-HR_2013-06-26-0.u44272	Thank you. And a reply to the replica, Vice President Reiner. Here you go.
ParlaMint-HR_2013-06-26-0.u44273	Thank you very much. Dear colleagues, I agree, of course, with everything you've said because we actually agree on that. What I'm not happy with. If we have an unsettled situation, and we have it obvious that it is better to fix it first, then make a thorough amendment of the law, but now with two, three articles try to partially solve something, and actually solve nothing, rather than create new problems. And in that sense, I was talking. So we have an unsolved situation that's clear. Our curricula isn't integrated, and we pretend that on one occasion we have that not to cancel the internship, cancel the state exam instead of waiting and try to find a solution to that problem unrelated to when it's caused, who caused it, but to try to solve it. And we're not going to solve it like this, so we're just going to make our lives complicated to ourselves, and we're going to make it complicated to these people who are going to have to work on it. Thank you very much.
ParlaMint-HR_2013-06-26-0.u44274	Thank you. Next replica Ana Comparić Devčić. Here you go, pals.
ParlaMint-HR_2013-06-26-0.u44275	Thank you, Vice President. Ma colleague Reiner my replica is actually very similar from a colleague before me, and I'm sorry you didn't actually stay today, that you had to leave the board because apparently part of your club doesn't think like you. Today we had the opportunity to listen to Mr. Milinović and Mr. Marasovic, who praised it terribly where Mr. Milinović boasted that just in his term, the University of Split had gone to an integrated model and that it was a very good model and that it was actually a problem that Rijeka, Zagreb and the University of Osijek did not do so and that his idea was to abolish both the internship and the state exam. So now I don't know what the HDZ Club thinks about it because today we've had a chance to hear the exact opposite of yours. And my second replica goes that the 2005 Directive you mentioned to the 2005 Directive that, you'll have to ask why someone else had not introduced that directive by 2011 or 2013 because this directive did not have to be introduced now, could be introduced from 2005 to 2011, and I think that another Government was in power at that time. And you said that there were actually minor things in these directives. One of the things I want to point out is I don't think it's even minor, and you'll have to agree with me, it's insurance of health care professionals from responsibility. I think it's extremely important, that it's not a minor matter at all, and today on the board, there was a lot of praise for that directive.
ParlaMint-HR_2013-06-26-0.u44276	Thank you very much. Replica response, Honored Representative Zeljko Reiner Vice President of the House.
ParlaMint-HR_2013-06-26-0.u44277	Thank you very much, Mr. President. Well, first of all, I was, of course, expressing my opinion here, and we don't all have to think the same thing, at least we don't all have to think the same thing at the club, I don't know maybe some others have to, but we don't have to think the same thing. And as for that, that's the problem. If something is introduced, no matter what I personally think about it, whether it's good or not, then it makes sense to build it up, implement it into the law if it's really implemented, but you agree and I don't. If one university did it or at least said it did it, and the other is not a happy decision to pretend that they did it all and that sort of thing was introduced into the law. So that's where you'll agree with me. Surely, then, that is not a happy solution. As far as this is concerned, I agree when I was talking to a minor I meant under sharp objects. That was clear to you, too. As far as insurance is concerned, that's good, of course it's been introduced. Fortunately, we mostly have such insurance and lawless enforcement because the necessity has forced us all to do so, so that's something, but I think it's certainly good that it's in this law. But again, I say these three things are really minor and really less important in relation to these other things because you will allow us to say the issue of rehabilitation and rehabilitation councils and the whole concept that is now nicely underneath, so to speak, to put the counter into something that is harmonising with the EU that has nothing to do with joining the EU. Thank you very much.
ParlaMint-HR_2013-06-26-0.u44278	Thank you, too, Vice President Dom. It is up to the esteemed representative Ivan Shuker and his replica.
