ParlaMint-FR_2018-10-15-O1018.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-15-O1018.u296	Mr Marc Le Fur has the floor.
ParlaMint-FR_2018-10-15-O1018.u297	[[Claims on several banks of the LaREM Group]] I'll go back to the source sample. It is true that we have already discussed it.
ParlaMint-FR_2018-10-15-O1018.u298	So little!
ParlaMint-FR_2018-10-15-O1018.u299	Long time!
ParlaMint-FR_2018-10-15-O1018.u300	It is true that it was conceived by the previous majority – and as a result, most of our colleagues were not present. Its application was confirmed, after some hesitation. Someone was lucid: the President of the Republic, who fully understood that we were running a huge risk by introducing this reform. This risk will lead to difficulties for our compatriots in terms of purchasing power. I have previously recalled that the tax will be calculated not on the previous year's income but on the current year's income, so that income increases and inflation will generate an additional tax. I would now like to refer to the cash flow difficulties which the implementation of this measure will entail for our citizens. Let us take the example of a couple with three children and earning 50000 euros of income per year, i.e. some 2000 euros of monthly salary for each of the two spouses. Their theoretical tax is 560 euros. However, account must be taken of the fact that one child is in college, which gives the right to a tax reduction of 61 euros, that another is in high school, which allows a tax reduction of 153 euros, and that the third is in university, thanks to which his parents benefit from a tax reduction of 183 euros. The total tax reduction is therefore EUR 397. So far, the tax that was paid was the theoretical tax: 560 euros minus 397 euros, i.e. 163 euros. Well, now, ladies and gentlemen, this couple will have to pay the 560 euros first and they will only be reimbursed in the following autumn of the 397 euros. Thus, very concretely, this couple, like millions of others, will contribute to the state's treasury. [["Ah! » on the benches of the LaREM, MODEM and UDI-Agir groups]] Let us now take the example of pensioners who invest to reduce their heating bills...
ParlaMint-FR_2018-10-15-O1018.u301	My dear colleague, your time has expired.
ParlaMint-FR_2018-10-15-O1018.u302	[[Smile]] But this is a very concrete example, Madam President. I know I'm getting in the way, but I'll be back!
ParlaMint-FR_2018-10-15-O1018.u303	Without a doubt, Mr. Le Fur, but in the immediate future, I am obliged to cut you off. Mr Frédéric Reiss has the floor.
ParlaMint-FR_2018-10-15-O1018.u304	Minister, as we begin our examination of section 1, which allows the state to collect taxes and products, I would like to inform you of my indignation at the attitude of the Government, which has not hesitated to nail to the pillori the mayors who have increased their housing tax or their property tax. These are unacceptable methods because local elected officials never take these decisions – unpopular, we know – lightly. However, they can be understood after the "sorry of the garrot", as they say, namely, the reduction of the state-imposed endowments. The first budget of the Macron quinquennium resulted in an unprecedented drop in the purchasing power of the French – minus 4.5 billion euros – in the first half of 2018, according to INSEE. A year later, we are afraid to stay on the same line. French growth slows down, the trade deficit deteriorates, while public expenditure continues to grow. After the 2018 household tax crackdown, which brought the mandatory tax rate to a record level, the Government announced that it would want to correct the shooting and finally worry about the purchasing power of the French. However, the promised drop in compulsory levies is not on the table. And behind this budget pass-by, there are in reality new shots of planing to the detriment of pensioners, families and middle classes. Indeed, after the decline in the LPA and the increase in the CSG, the dizzying increase in fuels, especially diesel fuel, worries our fellow citizens. And the sampling at the source is not going to fix it. We have been told that, technically, everything is ready, but we have seen that the decision to implement the reform has been taken in the last straight line, and Mr Le Fur is absolutely right to worry – we will come back to it when we consider articles 2 and 3. This budget does not stop public expenditure, does not allow the deficit to be controlled and leaves a Himalayan debt to continue. No need to be reassured!
ParlaMint-FR_2018-10-15-O1018.u305	Mr Jean Lassalle has the floor for two minutes.
ParlaMint-FR_2018-10-15-O1018.u306	And as you will soon let me know that my time has expired, Madam Chair, I'm going to settle for a few formulas...
ParlaMint-FR_2018-10-15-O1018.u307	That's not like you!
ParlaMint-FR_2018-10-15-O1018.u308	First of all, I would like to say that I fully agree with Mr Reiss when he refers to the brutality with which the prefects are now addressing our mayors. I know, minister, that you have nothing to do with it, because you yourself know what it is – you have once accompanied me on the streets of Roubaix...
ParlaMint-FR_2018-10-15-O1018.u309	It was in Tourcoing.
ParlaMint-FR_2018-10-15-O1018.u310	To Tourcoing, indeed.
ParlaMint-FR_2018-10-15-O1018.u311	The two cities are not far away...
ParlaMint-FR_2018-10-15-O1018.u312	It is extraordinary: I had never seen such a way of treating mayors. Secondly, I come back to a sluggish question: how can our President practice this tragic and pathetic surplace? During the campaign for the presidential election – I heard him, I was his neighbor on television – he said and repeated that he was going to make European unity and that we would see the economic dynamics that it would revive. I will not say what is happening today with this dynamic because you can check its non-existence every day – we have even managed to get angry with our Italian friends. Where is this dynamic? Meanwhile, in our territories, we keep closing. I am thinking of the closure of a collection that cost EUR 480,000 two and a half years ago. Nobody understands anything! But we have to levy the tax. Luckily, we found 2 million or 3 million euros to let two bears out of nature, of which no one wanted! I'm done, Madam President. I'm not annoying you, because you don't deserve it. You're so cool!
ParlaMint-FR_2018-10-15-O1018.u313	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 691.
ParlaMint-FR_2018-10-15-O1018.u314	The purpose is to clarify and clarify Article 1, entitled "Authorisation to collect existing taxes and products", as it is not indicated that for 2018, only exceptional income is concerned. However, we have been told enough that 2018 was a white year, due to the collection at source from 2019. In order to avoid any potential drift, I think it would be wise to make it clear that for the year 2018, only exceptional income, and not all income, are covered by the tax, precisely because it is a white year.
ParlaMint-FR_2018-10-15-O1018.u315	What is the opinion of the committee?
ParlaMint-FR_2018-10-15-O1018.u316	As I have already said in committee, Mrs Dalloz, I really have the impression that you are satisfied and that this amendment does not have to be! The white year and, more broadly, the implementation of the source levy are in no way called into question by Article 1. It is necessary to provide for the application of the income tax rules for 2018, even for income benefiting from the white year. If nothing were to be foreseen in that regard, the white year would be called into question. I fear that your amendment will cause the opposite of what you want; as you are satisfied, it should be removed.
ParlaMint-FR_2018-10-15-O1018.u317	Oh, no!
ParlaMint-FR_2018-10-15-O1018.u318	What is the Government's opinion?
ParlaMint-FR_2018-10-15-O1018.u319	Adopting Mrs Dalloz's amendment would mean that we could not tax, for example, the exceptional dividends received in 2018. It is clear that, during the white year, 2018 revenues are not taxed, unless they are so-called "exceptional" revenues.
ParlaMint-FR_2018-10-15-O1018.u320	There you go!
ParlaMint-FR_2018-10-15-O1018.u321	It is for this reason that we create the ICMR, the tax credit for the modernization of collection, which will appear on the tax notice: in order to avoid optimisation behaviors that would consist, for example, of paying exceptional dividends, or a very high copyright advance for a book that has not yet been written. If, on the other hand, your income for 2018 is higher than that for 2019, as will be the case for 400,000 of our compatriots, who retire, you will not pay the tax corresponding to 2018. Mr. Le Fur, those who retire at the end of this year will be very happy not to pay the tax corresponding to their 2018 income...
ParlaMint-FR_2018-10-15-O1018.u322	Young people will appreciate less!
ParlaMint-FR_2018-10-15-O1018.u323	Mrs Dalloz, your amendment seems to me to be very largely satisfied – in any case its spirit – while adopting it would be to exclude from tax the exceptional dividends received in 2018, which would obviously not be fair.
ParlaMint-FR_2018-10-15-O1018.u324	Mr Marc Le Fur has the floor.
ParlaMint-FR_2018-10-15-O1018.u325	The minister takes the example of exceptional dividends, but there are many bonuses that are not well known whether they are exceptional or trivial in nature. That is the subject, and the question will arise for all employers. Ladies and gentlemen, it happens that we too are employers and that we can award bonuses to our employees, which we do frequently.
ParlaMint-FR_2018-10-15-O1018.u326	Either it's exceptional or it's not!
ParlaMint-FR_2018-10-15-O1018.u327	On the occasion of a rescript – I had obtained the creation of the rescript by an amendment under the previous majority – I asked the tax administration, and its answer is everything but clear. This question, which arises for us, also arises for all employers in France who will not know whether a premium awarded to a VRP, because it has achieved good results, will be considered exceptional or not. All this will generate revenue for 2018. I asked you a question earlier. There is an exceptional side to the tax collected in 2019, because if the bulk of this tax will be collected in respect of 2019 revenues, another will be collected in respect of 2018 revenues that are exempt from the white-year rule. I would like to know what financial mass, what total sum this represents. I haven't seen her anywhere. I would like to believe that it is difficult to calculate because, by definition, it is quite difficult to assess the exceptional nature of an income or not, and to predict it. In any case, there will be an important revenue for the state, and I would like to know the result of the calculations you have made to assess what, as part of the 2019 revenue, will rise from the exceptional revenue received in 2018.
ParlaMint-FR_2018-10-15-O1018.u328	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2018-10-15-O1018.u329	I would like my amendment to be satisfied, but I think it is better to say things. Paragraph 3 of section 1 states that the draft Finance Act applies to "income tax owing in respect of 2018 and subsequent years". I propose to correct this wording by stating that we are talking about "exceptional revenues due for 2018", to avoid the risk that you would charge other than exceptional revenues. From the outset, it was said that source sampling generated a white year. I understand that 2018's exceptional revenues will be taxed, but only those. This nuance seems important to me because it provides a guarantee to French taxpayers against a possible drift.
ParlaMint-FR_2018-10-15-O1018.u330	The Minister has the floor.
ParlaMint-FR_2018-10-15-O1018.u331	Madam President, I propose to take a brief look at the Government's position in the rather lengthy debate that should lead us to the end of the first part of the finance bill on the night of Friday to Saturday. I am available on Saturday and Sunday, but it seems to me that the Presidency's will is not to see sittings open this weekend; five days and five consecutive nights of debate will already be quite rich – I discussed it earlier with the rapporteur-general and with the Chairman of the Committee on Finance, and it seems to me that the subject is about consensual. I will answer Marc Le Fur's question about the tax at source – I repeat that Mrs Dalloz's amendment is satisfied, and I will say a word about it. Without that being an insult to your interventions, sir, knowing that I have already answered a series of questions at length for a year, I think it might be considered that, quite frankly, apart from the occurrence of an exceptional argument, it is possible to go quite quickly with regard to the other arguments relating to the tax at source. However, to show you once again that I am not avoiding the debate, I would like to make a point on the subject. What happens in 2018? It's a white year. In 1920, when the legislator introduced income tax, he decided to tax 1920 income in 1921. Each year, so far, tax collection has been staggered. To put tax at source, a legal-fiscal fiction therefore consists of pushing ahead a year: in 2018, we pay all the taxes on our 2017 income – at least I hope. In January 2019, we will pay taxes on our January 2019 revenues, and the government will never collect taxes on 2018 revenues. This fiscal year is pushed ahead of us, and we will lose it the year of the end of the world. On the one hand, I hope I won't be there; On the other hand, I believe that the technical-legal questions posed by Marc Le Fur will then be of secondary importance to Armageddon. So, Mrs.Dalloz, we do not collect the 2018 income taxes. We only provided for a mechanism – it was the legislator who voted, and the measure was in place before I arrived at Bercy's responsibilities – that allows us to avoid optimisation behaviors that, it seems to me, are somewhat contrary to morality, such as paying dividends or exceptional bonuses in 2018. That's why we put in place the ICMR: the taxpayer who received exceptional income in 2018, that is to say not normally arriving in his life – I think French is quite clear – will have to pay a tax on them. It is not an extra tax, but only a tax on this exceptional income. Mr. Le Fur, you're telling us about the bonuses you give to your collaborators. But if, since you have been a parliamentarian, you pay your assistants an annual bonus of 200 euros and, in the white year, you pay them a bonus of 2000 euros, it will be an exceptional bonus. On the other hand, if you pay 250 euros in 2018 instead of the usual 200 euros, I think the tax authorities will not consider it exceptional – you will notice that the tax authorities have responded to your rescript. So if an income is substantial, if it comes out of the natural and ordinary order of things, then yes, Mr. Le Fur, it will be taxed.
ParlaMint-FR_2018-10-15-O1018.u332	It will therefore depend on an assessment!
ParlaMint-FR_2018-10-15-O1018.u333	And it will be normal for this tax to occur because, if this income had been collected during a non-white year, your employee would have paid a tax on it. At worst, he will not pay any taxes for 2018; At best, he'll pay for it as he should have paid for it. Then, Mr. Le Fur, you pretend you don't understand why we have 11 twelfths of income tax. The Chairman of the Committee on Finance made the same mistake – if I dare to say so, because I have no doubt about your intelligence or the fact that you have even more powers in tax matters than I do – or rather the same facet. There will be 11 twelfths of income tax in 2019 because tax will be paid at source at the end of January – for those who earn end-of-month income, because many others, even if not a majority, receive income at another time of the month, including pensioners, in the middle of the month, and their income tax will be paid when their income is received. The company will collect the tax and pay it back to the state with a small time lag of a few days, which will benefit its cash flow. Most collectors, both corporate and administrative, will therefore pay the tax only at the beginning of the following month. That is why we only count 11 twelfths, because the state will only recover the income taxes of December 2019 at the beginning of January 2020. Of course, we can make estimates: the total income tax of 73 billion euros, one twelfth of this amount will not be collected in 2019 because it will only enter the state funds in a lag, in 2020. However, the documents we have sent you contain an amount of income tax, which is nothing secret, and you can even read it out loud while announcing that it is secret – I recognize you here, Mr. You will have found that the difference between eleven twelfths of $73 billion and the tax revenues we estimate for next year is the amount of the 2018 exceptional income tax. So there's no wolf. [[Applause on the benches of the LaREM group]] I have answered a number of questions from Mrs Dalloz and Mr Le Fur. Apart from the amendments adopted by the Committee on Finance, to which I will give a favourable opinion, it seems to me that I do not have to go back to the tax at source, because I believe that we have 2300 amendments to consider and many more complicated issues to deal with.
ParlaMint-FR_2018-10-15-O1018.u334	All right!
ParlaMint-FR_2018-10-15-O1018.u335	Mr Jean-Louis Bourlanges has the floor.
ParlaMint-FR_2018-10-15-O1018.u336	We understand very well your analysis, Minister, but you know very well that I have always been very reserved for this reform. I believe that the concern expressed by our colleagues is legitimate, because what is at stake is the extreme difficulty in distinguishing what is exceptional from what is not, for all those of our fellow citizens who receive variable incomes. What is annoying is to define an exceptional income. Lawyers who will have more or less causes to defend and other people who receive extremely variable incomes are all concerned that what would be only the product of a good year would be an exceptional income. I understand Ms. Dalloz's concern: what we fear is that the definition of exceptional income is extremely imprecise compared to a happy income for people with varying incomes.
ParlaMint-FR_2018-10-15-O1018.u337	[[Smile]] And happiness is sometimes usual!
ParlaMint-FR_2018-10-15-O1018.u338	The Minister has the floor.
ParlaMint-FR_2018-10-15-O1018.u339	I will answer Mr Bourlanges because I understand that this situation may raise questions. First of all, I want to point out to you, even if it is not the daily reading of each of you – not more than mine – that there is a BOFIP, an official public finance bulletin, specific on this issue, and that no taxpayer can say that his case has not been foreseen. Mr Bourlanges, the example of the lawyer – it would be the same for a farmer, a craftsman or a doctor – who makes an exceptional year...
ParlaMint-FR_2018-10-15-O1018.u340	You see, you use the word "exceptional"!
ParlaMint-FR_2018-10-15-O1018.u341	Forgive me, but this question has already been resolved, and the solution is even in the BOFIP: for these highly variable incomes, we will take the average of three years.
ParlaMint-FR_2018-10-15-O1018.u342	It's very uncertain!
ParlaMint-FR_2018-10-15-O1018.u343	Member, we are talking about people who are subject to income tax but who could benefit from the white year, not people who are at risk of income overtaxation! So let's not make up dramas where there are none. For a lawyer or craftsman who realizes a year different from the previous one, we will make the average of the last three years; This is what we decided together after deliberation, and which was published. If, in 2019, its revenues are well above this average, it will be necessary to include them in the ICMR and to pay tax in a normal manner in this context. I think that the debate on the PLF for 2019 should not always revolve around a text that, I believe, was discussed at length last year.
ParlaMint-FR_2018-10-15-O1018.u344	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2018-10-15-O1018.u345	Minister, I would like to go back to the amounts of income tax you cited. The levy at source will lead, in 2019, to the payment of more taxes to the French. Indeed, the rapporteur-general's report for 2017 and 2018 states an amount – which you have quoted – of €73 billion in income tax and, for 2019, an amount of €70.5 billion, which needs to be corrected for the offset of the levy at source in December. The amount corresponding to the gap, which will be deducted from salaries and pensions but paid to the revenue of the State budget in January 2020, amounts to 5.9 billion. Corrected by this gap, the amount of income tax for 2019 that will be levied on French income amounts to €76.4 billion. Of course, 70.5 billion will be included in the state accounts in 2019 and 5.9 billion in 2020; However, in 2019, €3.3 billion more than in 2018 will be collected from French revenues, or an additional 4.51 %.
ParlaMint-FR_2018-10-15-O1018.u346	This corresponds to the increase in wages!
ParlaMint-FR_2018-10-15-O1018.u347	We have emphasized this for a long time: in 2019, we will take more to the French as the sums will be calculated on the revenues of 2019 and not on those of 2018. As you mentioned certain amounts, I wanted to respond by recalling these figures, which are on page 155 of the rapporteur-general's report.
ParlaMint-FR_2018-10-15-O1018.u348	The Minister has the floor.
ParlaMint-FR_2018-10-15-O1018.u349	[[Exclaims on the benches of the LR group]] Mrs Louwagie, you are a woman of conviction. I can see that the opposition is trying to make it seem that with the levy at source, taxes are going to rise. But that's totally wrong. First of all, let me tell you that even if we are at the beginning of the examination of the PLF, this is an argument at the end of the sitting, if we reflect on last year's debate. Indeed, the PLF for 2018 also provided for an increase in income tax. All governments plan one every year, because there are always more people who work...
ParlaMint-FR_2018-10-15-O1018.u350	In 2019, it will be an increase of 4.51%!
ParlaMint-FR_2018-10-15-O1018.u351	You're not listening to my answer! Wages are rising, fewer and fewer people are unemployed – don't mind, the government's policy is effective –...
ParlaMint-FR_2018-10-15-O1018.u352	The purchasing power is increasing!
ParlaMint-FR_2018-10-15-O1018.u353	... and, as we reflect here not on the execution but on the forecast for 2019, we believe in our economic policy. This seems reasonable to me; If we didn't plan an increase, you would say that we think the French will be less rich because they will pay less taxes! [[Applause on the benches of the LaREM and MODEM groups]] Then, Ms Louwagie, in 2019, we collect eleven-twelfth of income tax plus an amount you mentioned, difficult to estimate, of exceptional income from 2018 taxed normally – without the white year, these revenues would have been fully taxed in 2018. So don't make people who listen to us believe that there would be an increase in the tax with the levy at source! We are making forecasts and we can make mistakes to within 1 billion – we will see at the time of enforcement, within the framework of the settlement law. In each budget proposal, all governments plan to increase income taxes from year to year, because they see the French population increase and think they will reduce unemployment.
ParlaMint-FR_2018-10-15-O1018.u354	I call Mr Charles de Courson to support Amendment No. 2284.
ParlaMint-FR_2018-10-15-O1018.u355	With this small amendment, we recall that Article 1(r) has traditionally included an assessment of the tax expenditure and its evolution. I do not know why your services, Mr.Minister, withdrew it as it appeared in the explanatory memorandum. It is therefore necessary to refer to the famous annex on tax expenditure, which shows that, in 2019, tax expenditure will reach 98.2 billion instead of 100.2 billion – a slight decrease of 2 billion, due to the refocusing of the CICE for some 800 million. My amendment is to go further than section 20 of the Public Finance Programming Act, where we decided to gradually reduce the ratio of tax expenditure to net tax revenue. In 2019, 28 per cent should not be exceeded; With 98.2 billion, we're at 26%, and then we should go down to 25%. For my part, I think that tax expenditure has not been reduced enough.
ParlaMint-FR_2018-10-15-O1018.u356	We'll talk about it!
ParlaMint-FR_2018-10-15-O1018.u357	[[Smile]] We've been talking about it for years, we've done a lot of evaluations. I believe that this is not possible, Mr Minister, simply because we want to tackle one or two niches, as will be seen in Article 19: to finance the tax measures of the CAPTE Act, we have decided to reduce the tax expenditure by $1 billion, or even to abolish it for a number of sectors, including the BTP; This is a huge mistake because the consequences of this disaster decision have not been measured at all – we will come back to it at length when we consider article 19. If we want to reduce tax expenditures, I think we need to take a completely different approach: instead of tackling two, three or four niches, it is better to do a proportional reduction. I propose 10%; We could pick two or three percent. France has 457 tax niches; reducing each by 2 or 3 per cent would be a real effort. And with this method, dogs will remain in their niche because they will not be able to ask: "Why are you attacking my niche and not the one of the neighbour? This is the only possible method.
ParlaMint-FR_2018-10-15-O1018.u358	The plank!
ParlaMint-FR_2018-10-15-O1018.u359	She's brutal, a little bebeast, but effective. That is the idea of this amendment, which is intended to push you to take a decision on these almost 100 billion tax expenditures.
ParlaMint-FR_2018-10-15-O1018.u360	What is the opinion of the committee?
ParlaMint-FR_2018-10-15-O1018.u361	Mr de Courson, we have already discussed this amendment in committee. I remind you – and you yourself have said – that the objectives for tax expenditure fall within the scope of the law on public finance programming and not the law on finance. I would also point out that the programming bill originally provided for a tax cap of 28% of an aggregate, and that I requested and obtained, through an amendment, the reduction of this cap to 27% for 2020, 26% for 2021 and 25% for 2022. In this PLF, you said, we're at 26.1%. [[Smile]] I am therefore against your amendment, on the sole ground that we are not in the framework of a programming law. I would also remind you that Article 11 is devoted exclusively to the abolition of tax expenditure and that we have adopted additional amendments to delete some additional ones. I therefore invite you to withdraw your amendment in favour of massive support for Article 11, which will give you absolute satisfaction.
ParlaMint-FR_2018-10-15-O1018.u362	Two speakers are inscribed on rule 2. Mr Marc Le Fur has the floor.
ParlaMint-FR_2018-10-15-O1018.u363	I come back to our debate on the famous EUR 5.9 billion. This amount may be collected by the State in the very first days of January, but it will in any case be paid by taxpayers in 2019, in this case in December 2019, no one can dispute it. This money will therefore go well beyond the purchasing power of our compatriots in 2019, helping to weaken it. I also come back, Minister, from the exceptional revenues of 2018. I do not dispute this notion, even if determining where the exceptional begins will undoubtedly be the subject of multiple and varied litigation, but I would like to address another problem. You haven't given any figures, while these exceptional 2018 revenues do generate a recipe, even though it may be difficult to quantify. In your calculations, how much do you evaluate it? It is a precise and simple question. I am confident that you are concealing income tax revenues that will be collected for exceptional revenues – as will those that will be collected for December 2019. I'm going on. The collection at source poses problems of cash flow and makes the pockets of the French. After setting the example of this couple with three children, I would now like to give the example of those pensioners who, in order to alleviate their heating bills, invest in more modern appliances. They spend 3000 euros and are entitled to a 30% tax credit, in this case 900 euros. So far, if their tax amounted to 400, 500 or 600 euros, they were not paying anything, the tax being in some way wiped out by the tax credit. From now on they will pay and be reimbursed only later. They will therefore make the state's cash flow for at least 18 months, since they will only be repaid in the autumn of 2020.
ParlaMint-FR_2018-10-15-O1018.u364	Mrs Cendra Motin has the floor.
ParlaMint-FR_2018-10-15-O1018.u365	Indexing the income tax scale to the anticipated rate of inflation is what we might call an imposed figure in the budget discussion. It is customary to change the scale so as not to penalize taxpayers in the face of rising costs of living. This year, we are going to experience a small revolution in our taxes. Contrary to what has just been suggested – we would make a kind of change in the calculation that would not say its name – let us be clear: the calculation of income tax does not change; you will not find in this PLF any articles modifying the calculation of the income tax of the French.
ParlaMint-FR_2018-10-15-O1018.u366	No, no, no, no, no,
ParlaMint-FR_2018-10-15-O1018.u367	We are offered to index the scale on one index or another – higher to make a good measure – which would be so unusual that I wonder how such experienced elected officials can suggest it to us! We are told of an alleged injustice created by the levy at source, where, on the contrary, our fellow citizens who contribute to income tax will find a breakthrough, the perception finally adapting to their income at time t. Finish the tax offsets when you are in the CDD or when you enter the working life: you pay the tax when you have the money to pay it, according to the lows and highs of life, and up to its joys, like a birth or a marriage. [[Applause on the benches of the LaREM group]] So there is no need to imagine, as usual, an intention other than to bring this scale into line with inflation. Nor do we need to stir up red rags to scare our fellow citizens, who, I would remind them, are 70% to look forward to taxing them at source and in a truly contemporary way.
ParlaMint-FR_2018-10-15-O1018.u368	All right!
ParlaMint-FR_2018-10-15-O1018.u369	I have before me three identical amendments, Nos 683, 721 and 1399, to delete the article. Mrs Véronique Louwagie has the floor to support Amendment No. 683.
ParlaMint-FR_2018-10-15-O1018.u370	By this amendment, the first signatory of which is our colleague Jérôme Nury, we propose that you delete the levy at source. You mentioned an example, Mrs. Motin; I'll give you another one. As you know, self-employed workers – artisans, traders, farmers – earn very different incomes:...
ParlaMint-FR_2018-10-15-O1018.u371	That's why the new system will be more suitable!
ParlaMint-FR_2018-10-15-O1018.u372	...they can end one year in deficit, and have another year of relatively large revenues. In 2019, they will pay instalments calculated on 2017 revenues: the down payment amount appears on the Notice of Taxation received at the end of 2018. From January to August or September 2019, they will therefore pay instalments calculated on 2017 revenues, even though their 2019 revenues would be completely different. At the end of 2019, an adjustment will be made to align the amount paid by instalment with the amount due for revenue for 2018.
ParlaMint-FR_2018-10-15-O1018.u373	But no, the adaptation will be done long before! This is the current system you describe, not the source sampling!
ParlaMint-FR_2018-10-15-O1018.u374	Finally, in 2020, they will pay the balance compared to 2019 revenues. I can tell you that they will find themselves in a very complicated situation, given their large variations in income; Really, for them, I fear the worst. In addition, imagine that in 2017, these individuals made donations eligible for tax reductions, which will be taken into account for the instalments they will make in January and June 2019. But if, unfortunately, they don't make any tax-reducing donations in 2019, then they will have to return in 2020 the amount of the reductions applied to the January and June 2019 instalments. I can assure you that many of them will be lost in all these flows.
ParlaMint-FR_2018-10-15-O1018.u375	Mrs Laurence Trastour-Isnart has the floor to support Amendment No. 721.
ParlaMint-FR_2018-10-15-O1018.u376	To supplement what Mrs Louwagie has just said, I would like to point out that the purpose of this amendment is to remove the levy at source because of the accounting and administrative constraints it will impose on businesses, which are not intended to collect taxes.
ParlaMint-FR_2018-10-15-O1018.u377	I call Mr Le Fur to support Amendment No. 1399.
ParlaMint-FR_2018-10-15-O1018.u378	The collection at source will cause many problems for employers, who have not asked for anything! It will cost them money to organize and make them run a criminal risk.
ParlaMint-FR_2018-10-15-O1018.u379	No, precisely: we took it out!
ParlaMint-FR_2018-10-15-O1018.u380	This difficulty has been alleviated, but it persists. On the other hand, he will disturb their relations with their employees. The company will become the intermediary between the employees and the tax: the employees will therefore address the company regarding their income tax. Finally, employees, when negotiating their wages, will in fact reason in terms of net after-tax earnings,...
ParlaMint-FR_2018-10-15-O1018.u381	Of course not!
ParlaMint-FR_2018-10-15-O1018.u382	...which will disturb wage negotiations. I will come back later to the difficulties involved in levying at source for employees, but I am already insisting on those which will affect companies, in particular the smallest of them. Mrs Motin, dear colleague, not all companies have a human resources manager of your quality!
ParlaMint-FR_2018-10-15-O1018.u383	That's nice, but they have other ways!
ParlaMint-FR_2018-10-15-O1018.u384	[[Exclaims on the banks of the LaREM Group]] Business leaders often find themselves alone, whether they like it or not; It must also be taken into account. It is not just the companies of CAC 40, ladies and gentlemen!
ParlaMint-FR_2018-10-15-O1018.u385	What is the committee's opinion on these three deletion amendments?
ParlaMint-FR_2018-10-15-O1018.u386	I am really surprised when you explain to us that you intend to delete the SAP – the source levy – by deleting clause 2 of the bill. However, by deleting this article, you would only remove the 1.6% indexation of the income tax scale. So there is a slight gap: what you say and what you can read in the summary statements of your amendments does not correspond to what is actually included in these amendments.
ParlaMint-FR_2018-10-15-O1018.u387	We're all right!
ParlaMint-FR_2018-10-15-O1018.u388	If only for this reason, the committee's opinion is unfavourable.
ParlaMint-FR_2018-10-15-O1018.u389	What is the Government's opinion?
ParlaMint-FR_2018-10-15-O1018.u390	Unfavorable.
ParlaMint-FR_2018-10-15-O1018.u391	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2018-10-15-O1018.u392	I would not like to suggest that all opposition groups are in favour of abolishing the SAP – even if, as the rapporteur-general has pointed out, Article 2 does not concern the SAP at all. In my turn, in order for a voice of the opposition to say so, that the levy at source is only a tool, only a method of collecting tax: all other things equal, it does not imply the monthlyization or a change in the method of calculation. We have to stop scaring taxpayers. Of course, there may be losers – you mentioned young people, those who will start to work. But, on the other hand, those who are experiencing a dramatic event...
ParlaMint-FR_2018-10-15-O1018.u393	Or a happy event!
ParlaMint-FR_2018-10-15-O1018.u394	...or retire will be winners. My only concern, Minister, is about the long-term tax credits, particularly for personal services. I am thinking in particular of the families who have been attending their children from 1 January and who received a child care tax credit the previous year. I would like to draw your attention to this, because these families will receive 60% of an undue tax credit; This will have to be reported to them, for example by a box on a letter.
ParlaMint-FR_2018-10-15-O1018.u395	I have before me three amendments, Nos 1671, 4 and 1672, which can be discussed jointly. Mr Jean-Hugues Ratenon has the floor to support Amendment No. 1671.
ParlaMint-FR_2018-10-15-O1018.u396	With this amendment, we propose that you abandon the mechanism of withholding income tax, because it is the State that has to collect the tax. Beyond this general and founding principle, the collection at source carries real dangers. Firstly, we believe that not everything is ready for its entry into force and that not everything will be ready on 1 January next. The facts are stubborn and give us reason: throughout 2018, bugs were detected during the tests. For example, 500,000 taxpayers received an erroneous pre-filled return due to a problem with the transmission of tax data related to the source levy. Secondly, the myth of efficiency cannot be convened here. Indeed, France already has an excellent rate of income tax collection: we reach 99.4%. Our country is also at the forefront with regard to pre-filled declarations, automatic monthly debiting and online procedures – including for payment – to the great satisfaction of users; In the last survey conducted by the administration, 93% of them were satisfied with the quality of service. Third, collection at source will lead to a breach of confidentiality. On the basis of tax rates, employers will be able to estimate the family and property income of their employees; They will know, for example, if their employee is in a relationship with a person with higher incomes, or if he receives rents from an apartment. That is at least three reasons why we should oppose this mechanism. We therefore call on the House to vote in favour of this amendment.
ParlaMint-FR_2018-10-15-O1018.u397	I call Mr Le Fur to support Amendment No. 4.
ParlaMint-FR_2018-10-15-O1018.u398	I spoke a few moments ago about the difficulties that the source levy will represent for companies. But it will also pose problems for individuals! Ladies and gentlemen, let us not trivialise this reform: it is considerable. It is a break from the centuries-old history of income tax, which will have a significant impact on the lives of our families. All other things equal, indeed, many of our compatriots will see in January this year that their salary is lower than that received in December, quite simply! Similarly, two people doing the same work, who so far earned the same amount, will no longer read the same amount at the bottom right of their payroll. This will have an important effect: they will question each other. The Government can give all the explanations it wants, the French are beginning to doubt its explanations. Look at what is happening with the housing tax: we are told that it will be reduced, but many of our compatriots see that it is increasing. They now know that government explanations are subject to caution, that they are uncertain because they are schematic and exaggerated. Don't undermine this reform, assume it!
ParlaMint-FR_2018-10-15-O1018.u399	You can count on us for that!
