ParlaMint-FR_2018-10-18-O1024.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-18-O1024.u508	What is the opinion of the committee on this series of amendments under joint discussion?
ParlaMint-FR_2018-10-18-O1024.u509	I gave it earlier by presenting Amendment No 1574 from the Committee on Finance. We have found a certain consensus with the Corsican Members on this amendment, as amended by Subamendment No 2611. To be quite frank with you, I would add that its wording comes from the direction of tax legislation. If there's a pen error, we'll fix it anyway. In any event, it is important that this amendment to the tax credit be included in the first part of the FLA. At second reading we will repeat the spirit of the provisions proposed by Mr Acquaviva in Amendment No 2220: we will thus solve the problem of bed and breakfast. [[Protests on the SOC benches]] As far as the other amendments under discussion are concerned, I gave the committee's opinion briefly, since we all seemed to agree to go faster. I note that we will not be able to do this: I will therefore take up your amendments one by one, Mr Pupponi.
ParlaMint-FR_2018-10-18-O1024.u510	It is not necessary to take up one by one of my four amendments: just answer me on the question of residence.
ParlaMint-FR_2018-10-18-O1024.u511	Anyway, every time we try to go a little faster, we don't get there. I take note of that: we'll be here this weekend! Amendment No 2319 is simply less precise than the previous ones, and does not exclude guest rooms. Amendment No 2325 sets a turnover threshold of EUR 20000, which does not correspond to your objective: it is quite possible to arrange to stay below this threshold by means of splittings. Amendments Nos 2332 and 1780 entail a risk: if they were adopted, it would be enough for a French company to set up a subsidiary in Corsica to escape any supervision. I therefore invite you to withdraw these amendments. With Amendment No 1574, we will be installing an architecture that we can complete at second reading.
ParlaMint-FR_2018-10-18-O1024.u512	The Minister has the floor.
ParlaMint-FR_2018-10-18-O1024.u513	I would simply like to clarify the position of the Government: in favour of Amendment No 1574 of the Finance Committee, as amended by the rapporteur-general's sub-amendment No 2611, and against the other amendments.
ParlaMint-FR_2018-10-18-O1024.u514	Mr François Pupponi has the floor.
ParlaMint-FR_2018-10-18-O1024.u515	I repeat that sub-amendment No 2611 is not appropriate, because it does not take into account applications for building permits being processed: you are mistaken. You persist in this error: this is your problem! I come to the other amendments under joint discussion. You say, Mr rapporteur-general, that we must adopt the amendment from the Committee on Finance, and that we will meet again before the second reading to find out how to rewrite the additional article that will result from it, so that it is more satisfactory. We will have a number of issues to discuss on this occasion, including those of tax residency and the people we want to prevent investment. The discussion should not therefore be limited to the provisions of Mr Acquaviva's amendment No 2220: it is too narrow a framework. Mr rapporteur-general, do you agree to review the wording of this additional article in order to determine who should benefit from the tax credit and who should not benefit from it?
ParlaMint-FR_2018-10-18-O1024.u516	Mr Paul-André Colombani has the floor.
ParlaMint-FR_2018-10-18-O1024.u517	I would like to touch on three points. Firstly, as my colleague Jean-Félix Acquaviva has done, I would like to point out that this fiscal niche has been totally lost. Initially, these provisions were intended to encourage Corsican companies. However, as a result of this fiscal niche, a number of problems have arisen. First of all, our hoteliers are competed by the development of para-hotels, to which the same tax regime does not apply. Then a very important real estate speculation appeared. In Amendment No 2220 we want to put an end to these problems. Secondly, we agree to rewrite our amendment in order to improve legal certainty, to avoid endangering the projects that have started in the last months of the year and the guest rooms. Thirdly, I thank our colleague Jean-Jacques Ferrara for his sub-amendment. For the party to which it belongs, it is a novation, since it is nothing less than moving towards the status of resident to which we are very favourable – it is an old claim of our nationalist majority.
ParlaMint-FR_2018-10-18-O1024.u518	Mr Michel Castellani has the floor.
ParlaMint-FR_2018-10-18-O1024.u519	We need to be clear: we cannot remain confused. The problem raised by Amendment No 2220 is not simple: it is important to identify the essential elements. First, there is general agreement that the tax credit in question, which was granted for the purpose of promoting productive activities on the island, has been diverted. If you question a search engine on the internet with the keywords "real estate investment in Corsica", you will quickly understand that public money does not have to favor operations of this type, which rob our land heritage, cause a selection by money and establish a residential economy – in short, the effect of which is completely negative. However, Corsicans should not be penalized collectively – that too, it must be said. It is pleased that this tax credit helps families make modest investments. They are people who generate income through their work and not through speculation. This is why it is necessary to refocus the benefit of this tax credit. You tell us, Mr rapporteur-general, that we will see this again at second reading. I don't see why! Let us understand well: activities of a family nature should not be excluded from the scheme, only speculative activities should be excluded. It's still not complicated! The rapporteur-general, Mr Minister, is now trying to refocus the tax credit in the name of the collective interest.
ParlaMint-FR_2018-10-18-O1024.u520	Mr Jean-Félix Acquaviva has the floor to support Amendment No. 2271.
ParlaMint-FR_2018-10-18-O1024.u521	This amendment anticipates the discussion that we will certainly have on Monday with Bruno Le Maire, although we have been told that our questions have not yet been answered. The tax credit rate for investments made and operated in Corsica is currently between 20% and 30%; The aim of this amendment is to increase it to 50% for certain strategic sectors in order to strengthen the island's productive apparatus. This objective is important, knowing that we also agree to put an end to the speculative and entire tax niches that have been diverted. To achieve this, account must be taken of the objective additional costs associated with insularity. That is why we are proposing to increase the tax credit rate for the agricultural, agri-food, industrial and forestry sectors. This will allow them to better structure themselves, within the framework of an over-administered economy.
ParlaMint-FR_2018-10-18-O1024.u522	I call Mr Olivier Serva to support Amendment No. 1531.
ParlaMint-FR_2018-10-18-O1024.u523	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u524	I call Mrs Emmanuelle Ménard to support Amendment No. 1760.
ParlaMint-FR_2018-10-18-O1024.u525	You have decided to establish free zones of new-generation activity in the overseas departments and regions. If this is necessary for the economic vitality of the latter, perhaps the Government could promote other free zones, particularly in favour of the city centres. Let me remind you that the average rate of commercial vacancy has increased from 7.2 per cent in 2012 to 11.1 per cent in 2017; However, the critical threshold for the vitality of a city centre is reached when it is 10%. The situation is dramatic in some cities: 62 per cent of the city centres observed in the study of the PROCOS federation for urban planning and the development of specialized commerce have a higher vacancy rate. The Government was already helping 222 cities through the "City-City Action" project, but that mechanism should be supported, inter alia, by the establishment of specific free zones in favour of city centres. That is why I propose the creation of a tax specifically dedicated to the revitalization of the latter. This would be a "dissuasive tax system", created by decree, "in the event of the non-renewal of peri-urban free zones in cities whose city centres have commercial vacancy rates of more than 10 per cent". In essence, it is a matter of turning the page of the culture of the periphery that has diminished the vitality and specificity of our territories. These tax measures would allow cities to radiate again from their single city centre. This tax system would not be financed at a loss, since it will create wealth at the heart of the 400 medium-sized cities with between 20,000 and 100,000 inhabitants. Support for French city centres can and must go through such arrangements. This is an opportunity for this finance bill, and I have no doubt that, since you are very fond of the vitality of our businesses, you will want to adopt this useful amendment.
ParlaMint-FR_2018-10-18-O1024.u526	What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u527	Unfavorable.
ParlaMint-FR_2018-10-18-O1024.u528	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u529	Unfavorable.
ParlaMint-FR_2018-10-18-O1024.u530	Mrs Emmanuelle Ménard has the floor.
ParlaMint-FR_2018-10-18-O1024.u531	On this issue, dear to the Government, since it has taken, I repeat, the very good initiative to launch the "City-City Action" plan, it may be appropriate to give a little more explanation. This kind of incentive mechanism for shops in the city centres of our medium-sized cities with many positive aspects, I do not understand very well why we sweep away the one I propose with a backhand.
ParlaMint-FR_2018-10-18-O1024.u532	I call Mr Patrick Hetzel to support Amendment No. 106.
ParlaMint-FR_2018-10-18-O1024.u533	This amendment, proposed by our excellent colleague Vincent Descoeur, aims to establish a mechanism to promote the development of teleworking in rural areas and to encourage the creation of such jobs, particularly in rural revitalisation areas, the ZRRs.
ParlaMint-FR_2018-10-18-O1024.u534	All right!
ParlaMint-FR_2018-10-18-O1024.u535	Hands have risen!
ParlaMint-FR_2018-10-18-O1024.u536	I counted them, Mr. Hetzel! [[Exclaims on the benches of the LR group]] It seems to me that everyone agreed that our work should move forward! It's also possible to brake them, it's true... I can suspend the session, we can go party... We're not at recreation! Mr Jean-Pierre Vigier has the floor to support Amendment No. 998.
ParlaMint-FR_2018-10-18-O1024.u537	This amendment is very important to help rural areas. Just as there are urban free zones that have enabled economic development and increased the attractiveness of neighbourhoods by benefiting, it is important, Minister, to create rural free zones to help these fragile territories, so that businesses can settle there, that jobs are created, that families can stay there with their children and, of course, keep services there – in short, maintain life in these territories! While rural revitalization areas exist, this does not go far enough.
ParlaMint-FR_2018-10-18-O1024.u538	What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u539	Opinion against this amendment which, moreover, could raise a problem of the legislator's negative incompetence since it does not define any characteristics of these new free zones.
ParlaMint-FR_2018-10-18-O1024.u540	The next speaker is Mr Jean-René Cazeneuve, who is on the agenda.
ParlaMint-FR_2018-10-18-O1024.u541	Article 7 directly implements the roadmap for a 100% circular economy developed in early 2018 with environmental associations, local elected representatives, businesses and citizens, the conclusions of which were also discussed with elected associations in the framework of the CNT's dialogue forum, the National Conference of Territories. This ambitious roadmap aims in particular to address the current paradox that one ton of incinerated waste costs less than one ton of recycled waste. The energy transition is everyone's business – I think we all agree. I would like to acknowledge the particularly remarkable commitment of local elected officials in this regard. We wish to support them in the implementation of this transition by giving them visibility and the means to adapt to it. Three measures are planned to offset the impact for local authorities of the increase in the TGAP, the general tax on polluting activities, and to promote the implementation of the incentive share of TEOM, the tax on the removal of household waste. One: lower the VAT rate from 10% to 5.5% on certain waste treatment services. Two: reduce government management costs from 8% to 3% for three years to allow elected officials to increase the proceeds of TEOM's incentive share without it being passed on to the taxpayer. Three: Expand the base of expenditure taken into account to define the TEOM rate. [[Marie-Christine Verdier-Jouclas applauds]] My colleague Christophe Jerretie and I have tabled amendments aimed at providing greater legal certainty to communities, which will now take over the rebates in the event of an unfavourable court decision, and to make the "TEOM incentive" even more attractive to them.
ParlaMint-FR_2018-10-18-O1024.u542	I have before me a number of amendments, Nos 2221, 161, 481, 1160, 2091, 286, 723, 1179 and 1924, which can be discussed jointly. Amendments Nos 2221, 161, 481, 1160 and 2091 are identical. Amendments Nos 286, 723, 1179 and 1924 are also identical. The rapporteur-general has the floor to support Amendment No. 2221.
ParlaMint-FR_2018-10-18-O1024.u543	I propose to one of its authors, Mr Cazeneuve or Mr Jerretie, to present it.
ParlaMint-FR_2018-10-18-O1024.u544	Mr Christophe Jerretie has the floor.
ParlaMint-FR_2018-10-18-O1024.u545	Defendant!
ParlaMint-FR_2018-10-18-O1024.u546	Mr Jean-Pierre Vigier has the floor to support Amendment No. 161.
ParlaMint-FR_2018-10-18-O1024.u547	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u548	Do we vote?
ParlaMint-FR_2018-10-18-O1024.u549	[[Rires on several benches]] We vote all the time, Mrs. Louwagie. Let yourself be guided: as usual, it will go well; We are here for the night, we will spend many nights together, let yourself be guided!
ParlaMint-FR_2018-10-18-O1024.u550	Two amendments should have been voted on!
ParlaMint-FR_2018-10-18-O1024.u551	[[Applause on several benches of the LaREM group]] Respect the presidency and the sitting, it will be very good too! Even though we are happy to welcome you to the meeting, dear colleagues... Mrs Marie-Christine Dalloz has the floor to support Amendment No. 481.
ParlaMint-FR_2018-10-18-O1024.u552	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u553	Mrs Valérie Rabault has the floor for a point of order.
ParlaMint-FR_2018-10-18-O1024.u554	You're not going to like my speech, Mr. President, but I'm still going to do it. [[Exclaims on the banks of the LaREM Group]] All my female colleagues around me are a little surprised, not to say shocked, at what you just said. I would like to avoid any form of paternalism towards female colleagues.
ParlaMint-FR_2018-10-18-O1024.u555	There is no paternalism here... I mean, I'm not answering, it wouldn't help. It's stupid, really!
ParlaMint-FR_2018-10-18-O1024.u556	Exactly!
ParlaMint-FR_2018-10-18-O1024.u557	I call Mr Michel Castellani to support Amendment No. 1160.
ParlaMint-FR_2018-10-18-O1024.u558	In short, we suggest that in section 1520 of the General Tax Code, the CGI, be inserted the sentence: "A 15% disproportion is allowed between the proceeds of the tax and the expenses mentioned above. » It is important to define precisely the current jurisprudential concept of "a rate that is clearly not disproportionate to the amount of expenditure". This is therefore a clarification.
ParlaMint-FR_2018-10-18-O1024.u559	Mrs Pires Beaune has the floor to support Amendment No. 2091.
ParlaMint-FR_2018-10-18-O1024.u560	Article 7 is welcome because, in recent years, TEOM litigation has been increasing – there are more than 2200 cases – and this has weakened the deliberations of the communities. Deliberations are often challenged on the grounds that the product derived from TEOM is disproportionate to the amount of expenditure covered by TEOM, the latter being insufficiently specified in the CGI. The article extends the scope of expenditure that can be taken into account in the calculation of TEOM: that's good. You also encourage the establishment of an incentive part of TEOM, which is still a good thing. Our amendment further secures the scheme since it establishes 15% of the "authorised" disproportion between the proceeds of the tax and the expenses incurred.
ParlaMint-FR_2018-10-18-O1024.u561	We come to another set of identical amendments. Mrs Véronique Louwagie has the floor to support Amendment No. 286.
ParlaMint-FR_2018-10-18-O1024.u562	This amendment, like Amendments Nos 1384, 288 and 290 to come, aims to prevent TEOM from being weakened as it has been in recent years: it has sometimes been cancelled, which has made it difficult to finance the public service. It is therefore a matter of clarifying the amount of expenditure that could be covered by this tax.
ParlaMint-FR_2018-10-18-O1024.u563	Amendment No 723 is being defended. I call Mr Michel Castellani to support Amendment No. 1179.
ParlaMint-FR_2018-10-18-O1024.u564	We suggest that the product of TEOM should not "exceed the amount of expenditure by more than 15%". This specification is necessary because of the vagueness of the concept of disproportion, which we are trying to secure legally.
ParlaMint-FR_2018-10-18-O1024.u565	I call Mrs Laurianne Rossi, draftsman of the opinion of the Committee on Sustainable Development and Regional Planning, to support Amendment No. 1924.
ParlaMint-FR_2018-10-18-O1024.u566	First of all, I welcome the fact that Article 7 sets up the TEOM regime by generalising the institution of its incentive share, in line with the decisions taken in the framework of the road map for the circular economy. However, the Committee on Sustainable Development and Spatial Planning has tabled two amendments to this Article. The first, Amendment No 1924, aims to better support and support communities by legally securing them by preventing the risk of litigation; More specifically, it tends to regulate the rate of the tax, which could be considered disproportionate. On the basis of the case law of the Council of State in its 2014 judgment, this amendment provides that the proceeds of TEOM received by the community may not exceed by more than 15% the expenditure incurred by the community in the previous financial year to finance the waste collection and treatment service.
ParlaMint-FR_2018-10-18-O1024.u567	What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u568	I can only support Amendment No 2221 by the Committee on Finance and the same amendments. Opinions unfavourable to all others.
ParlaMint-FR_2018-10-18-O1024.u569	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u570	I do not agree at all with the views of the two committees and the parliamentarians who have tabled this series of amendments. I'll try to explain it to myself. First of all – I would like to address the representative of the Committee on Sustainable Development in particular – because Article 7 is precisely to provide the clarification you are asking for, in order to avoid differences of interpretation and thereby secure the lives of local communities. Moreover, these amendments have the effect of decorating the taxation of the service rendered, which is very embarrassing with regard to a tax which is precisely supposed to have a link with it. The jurisprudence of the Council of State, in particular its decision on Auchan, on the one hand, and the freedom given in practice to elected officials to fix the amount of the tax on 15 April, on the other hand, already allow the authorities to fix a rate slightly higher than the actual cost of the service rendered. With these amendments, you simply raise the tax rate, which is going to be on the tax sheet. In particular, I am speaking to the elected representatives of the majority: you are increasing the tax burden on taxpayers. You are doing this for the benefit of local authorities, but you are nevertheless increasing the taxes of all taxpayers, including those who benefit from the drop in the housing tax. To sum up, I am not sure, first, that your amendments are necessary, since the Government has already, with Article 7, made a solution to the problem. Secondly, these amendments would remove the link between the service rendered and the tax. Thirdly, elected officials can already rely on the jurisprudence of the Council of State, as well as on the freedom left to them to set a rate slightly higher than would be necessary. Finally, your amendments would increase local taxation. However, the Government is not in favour of this increase, and it seemed to me that the majority was not in favour of it either. For all these good reasons, I am absolutely against all the amendments under discussion. Furthermore, you will have noticed that the Government is going far enough on the question of the circular economy: Nicolas Hulot and Brune Poirson had presented a road map on the subject and François de Rugy is extending this action today. I therefore invite you to stick to the purity proposed by the Government, in order to avoid any increase in taxation for our fellow citizens.
ParlaMint-FR_2018-10-18-O1024.u571	Mr Jean-René Cazeneuve has the floor.
ParlaMint-FR_2018-10-18-O1024.u572	Minister, I will agree with your arguments, even if I do not entirely agree with you. Because we are transferring the state to local and regional authorities, our goal was only to reassure the communities. What we proposed for this purpose was not to allow communities to increase the tax by 15%, but to give them a margin of error: below 15%, they would not have had to pay a discount.
ParlaMint-FR_2018-10-18-O1024.u573	The Chairman of the Committee on Finance has the floor.
ParlaMint-FR_2018-10-18-O1024.u574	For my part, I am rather in favour of the amendment by the Committee on Finance, which has been voted on by a large majority and which has the merit of giving the communities flexibility. It is clear that case law is systematically involved and that it is rather complicated to estimate the cost of service to the euro, as the article of the Government states quite clearly. You object to us, minister, that the introduction of a 15% margin will result in a tax increase. But I think you're trying to protect your housing tax reform. However, if communities collect 115% of the price of the service, this means that they will fund the general budget for 15% of the TEOM. If they do not do so, they will pass it on to the rate of other taxes, including the housing tax. Pay attention to this: I think the option that you are defending is going to complicate things with respect to the housing tax.
ParlaMint-FR_2018-10-18-O1024.u575	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2018-10-18-O1024.u576	You see evil everywhere, minister. The amendments do not introduce a right to increase the tax rate. In any case, I do not believe that elected officials see things this way. Above all, we seek to reduce the number of disputes, which is also a way to save money. Today, this rate of 15% is accepted in the case law: we did not set it at random.
ParlaMint-FR_2018-10-18-O1024.u577	Mr Charles de Courson has the floor.
ParlaMint-FR_2018-10-18-O1024.u578	I am not insensitive to the minister's arguments. We all agree that taxes must no longer be increased and that we must try to lower them. But what I fear is that some of our colleagues are using the 15% rule proposed by these amendments to make payments in the main section, or that they are increasing transfer expenses – we can always manage to give the appearance of balance... I would also like to ask you a question, minister. What is true of the household waste collection tax, TOEM, is it true for the household waste collection fee – REOM? Because it is still forgotten that 25% of communities are using REOM... In other words, can we set a REOM level? I ask you, because the jurisprudence of the Council of State, like your article, only concerns TEOM.
ParlaMint-FR_2018-10-18-O1024.u579	REOM, by definition, is a fee!
ParlaMint-FR_2018-10-18-O1024.u580	Are you considering setting the same rules for REOM? I don't see why there would be different rules, depending on whether it's a TEOM or a REOM that finances the household waste department.
ParlaMint-FR_2018-10-18-O1024.u581	Mrs Bénédicte Peyrol has the floor.
ParlaMint-FR_2018-10-18-O1024.u582	The problem with the amendments which have been adopted by the committee is that they propose a solution which is based on existing case law, therefore on the past, but which will not necessarily secure the future, and which may even put citizens in difficulty. We have heard the minister's arguments and it seems more prudent to postpone these amendments.
ParlaMint-FR_2018-10-18-O1024.u583	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2018-10-18-O1024.u584	Firstly, it is important to secure this mechanism in order to avoid the extremely frequent litigation which discourages the adoption of this system by certain municipalities which are tempted to do so. Secondly, you know the local elected representatives well, Minister, for being one of you. Then trust them! They are able to take measures that are in the right direction.
ParlaMint-FR_2018-10-18-O1024.u585	All right!
ParlaMint-FR_2018-10-18-O1024.u586	We, too, were elected locals!
ParlaMint-FR_2018-10-18-O1024.u587	Mrs Laurianne Rossi, draftswoman for an opinion, has the floor.
ParlaMint-FR_2018-10-18-O1024.u588	Thank you for your clarification, Minister. You have made us aware of a bias that we did not perceive in the Committee on Sustainable Development. We naively thought that this rate should be secured, but I hear your arguments, which seem to me of common sense. I therefore withdraw Amendment No 1924, on behalf of the Committee on Sustainable Development.
ParlaMint-FR_2018-10-18-O1024.u589	The Minister has the floor.
ParlaMint-FR_2018-10-18-O1024.u590	I thank the deputies who took part in this debate and took the Government's opinion into account. To answer your question, Mr. de Courson, REOM is a royalty, which means that it is allocated, unlike the tax. If the tax increases independently of the service rendered, the risk is that it will be allocated to the general budget, as you have said yourself.
ParlaMint-FR_2018-10-18-O1024.u591	No! This simply creates excess over service.
ParlaMint-FR_2018-10-18-O1024.u592	If, if one increases the tax a little too much in relation to the cost of the service... In any case, a tax is not a royalty. Mrs Dalloz, you act as if Article 7 did not exist. We have found problems, and concerns among elected officials, and Article 7 addresses them. Read it again: you will see that we are securing the system for elected officials and that we do not need to increase taxation. [[Smile]] As for trust, I am confident in nature, but trust does not exclude control. However, I note that some elected officials are increasing local taxation and others are reducing it. Some are even being elected on a programme that provides for an increase in taxation: you are fighting them at the national level, but that is a reality. Not all majorities, not all elected officials are valid, and if everyone leads the same policy, we would not need political parties or municipal elections. Some manage better than others; Some increase taxation and others reduce it. The argument that we must trust the elected representatives therefore seems to me a little simplistic. It's like I'm telling you to trust parliamentarians... or ministers! Would you listen to me?
ParlaMint-FR_2018-10-18-O1024.u593	Ah, that!
ParlaMint-FR_2018-10-18-O1024.u594	Not always!
ParlaMint-FR_2018-10-18-O1024.u595	I hear your questions. In particular, I would like to address Mrs Rossi, who spoke on behalf of the Committee on Sustainable Development, and Mr Cazeneuve, Special Rapporteur of the mission 'Relations with local authorities'. If, next year, we find that the Government was wrong, we can make changes to the system. But let us not take the risk of tax being increased this year. I am taking a step in your direction, but I think that these amendments should be rejected, bearing in mind that Article 7 answers the question they rightly raise.
ParlaMint-FR_2018-10-18-O1024.u596	I have before me six identical amendments, Nos 1086, 1136, 1332, 1384, 2148 and 2161. Mrs Lise Magnier has the floor to support Amendment No. 1086.
ParlaMint-FR_2018-10-18-O1024.u597	The purpose of this amendment is to secure the calculation of the expenditure taken into account for the calculation of TEOM by integrating the general structural costs of the community providing the service, by establishing a uniform ratio which would correspond to the ratio between the operating expenses directly related to the service and the actual operating expenses of the community. The structural costs incurred by the community in connection with the service rendered are not limited to those directly related to the waste management service.
ParlaMint-FR_2018-10-18-O1024.u598	I call Mr Michel Castellani to support Amendment No. 1136.
ParlaMint-FR_2018-10-18-O1024.u599	Our colleague has described things perfectly. This amendment proposes to secure the calculation of the expenditure taken into account for the calculation of TEOM by using a ratio integrating indirect expenditure. These administrative charges are essential and are an integral part of the cost of the service financed by the tax. The use of a uniform ratio, easy to calculate by the community, is essential in order to take into account the management costs necessary for the exercise of the public service.
ParlaMint-FR_2018-10-18-O1024.u600	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 1332.
ParlaMint-FR_2018-10-18-O1024.u601	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u602	Mrs Véronique Louwagie has the floor to support Amendment No. 1384.
ParlaMint-FR_2018-10-18-O1024.u603	Defended, Mr. President.
ParlaMint-FR_2018-10-18-O1024.u604	Mr Jean-Louis Bricout has the floor to support Amendment No. 2148.
ParlaMint-FR_2018-10-18-O1024.u605	In order to secure the mechanism in order to avoid litigation, it is proposed to use a uniform ratio – between the costs directly related to waste collection and those linked to the general competence of the community – to target the management costs necessary for the exercise of the public waste disposal service.
ParlaMint-FR_2018-10-18-O1024.u606	Mr Jean-René Cazeneuve has the floor to support Amendment No. 2161.
ParlaMint-FR_2018-10-18-O1024.u607	Article 7 extends the scope of expenditure taken into account: that is very good. The purpose of this amendment is to extend it a little further, incorporating common burdens.
ParlaMint-FR_2018-10-18-O1024.u608	What is the opinion of the committee on this series of identical amendments?
ParlaMint-FR_2018-10-18-O1024.u609	They seem to me to be satisfied, since it is already possible to take this expenditure into account in the context of the financing of the public waste collection and treatment service. Moreover, these amendments concern a regulatory area. If you don't believe me, maybe you will believe the minister, if he says the same thing as me. I would ask you, in any case, to withdraw these amendments.
ParlaMint-FR_2018-10-18-O1024.u610	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u611	Unfavorable opinion.
ParlaMint-FR_2018-10-18-O1024.u612	Mr Cazeneuve, is your amendment retained?
ParlaMint-FR_2018-10-18-O1024.u613	I'll take it off.
ParlaMint-FR_2018-10-18-O1024.u614	I have before me a number of amendments, Nos 288, 751, 290, 769, 483, 1161 and 2092, which can be discussed jointly. Amendments Nos 288 and 751 are identical, as are Amendments Nos 290 and 769 and Amendments Nos 483, 1161 and 2092. Mrs Véronique Louwagie has the floor to support Amendment No. 288.
ParlaMint-FR_2018-10-18-O1024.u615	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u616	Mrs Maina Sage has the floor to support Amendment No. 751.
ParlaMint-FR_2018-10-18-O1024.u617	Defendant.
ParlaMint-FR_2018-10-18-O1024.u618	Mrs Véronique Louwagie has the floor to support Amendment No. 290.
ParlaMint-FR_2018-10-18-O1024.u619	Defendant.
ParlaMint-FR_2018-10-18-O1024.u620	Mrs Maina Sage has the floor in support of Amendment No 769.
ParlaMint-FR_2018-10-18-O1024.u621	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u622	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 483.
ParlaMint-FR_2018-10-18-O1024.u623	I will defend it by asking a question to the minister: since section 7 is supposed to solve all the problems relating to TEOM or REOM, tell me how you proceed, in analytical accounting, to assign in the greatest transparency to the household waste collection service everything that falls within the scope of legal aid, management control, the information system and the pay system, when they are taken over by another service!
ParlaMint-FR_2018-10-18-O1024.u624	I call Mr Michel Castellani to support Amendment No. 1161.
ParlaMint-FR_2018-10-18-O1024.u625	In its original wording, paragraph 6 does not appear sufficiently precise in view of the jurisprudence of the Council of State, which distinguishes, on the one hand, the expenditure incurred for the public service for the collection and treatment of household and similar waste and, on the other hand, the expenditure incurred for the general administration of the community or of the public institution exercising that competence, the latter being unable to be financed by the tax. The amendment therefore seeks to clarify the wording of this paragraph.
ParlaMint-FR_2018-10-18-O1024.u626	Mrs Pires Beaune has the floor to support Amendment No. 2092.
ParlaMint-FR_2018-10-18-O1024.u627	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u628	What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u629	[[Smile]] Like the previous ones, these amendments are satisfied and are also regulatory in nature. On the basis of the success achieved earlier by my invitation to withdraw, this time I will simply express an unfavorable opinion...
ParlaMint-FR_2018-10-18-O1024.u630	I have before me several identical amendments, Nos 221, 269, 2007 and 2093. I call Mr Patrick Hetzel to support Amendment No. 221.
ParlaMint-FR_2018-10-18-O1024.u631	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u632	Mrs Emilie Bonnivard has the floor to support Amendment No. 269.
ParlaMint-FR_2018-10-18-O1024.u633	In return for the extension of the scope of the TEOM, Article 7 states, in its paragraph 10, that the Community shall be responsible for the reduction of the tax resulting from the finding, by a judicial decision which has been in force in res judicata, of the illegality of the deliberations taken by the municipality or the public institution of intercommunal cooperation – EPCI – based on the fact that the proceeds of the tax and, consequently, its rate are disproportionate to the amount of the expenditure. The State justifies this transfer to the local authorities of the responsibility for the relief by the intention to no longer weigh the consequences of the illegality of the deliberations taken by the municipalities and the EPCIs on the State budget. However, the deliberations on TEOM do not escape the control of the legality exercised by the prefectures over local budgets.
ParlaMint-FR_2018-10-18-O1024.u634	I call Mrs Emmanuelle Ménard to support Amendment No. 2007.
ParlaMint-FR_2018-10-18-O1024.u635	So far, the relief of TEOM obtained by taxpayers through a court decision was the responsibility of the State. Why does the Commission want to relieve itself of all responsibility for local and regional authorities in this area? This does not seem to me to be consistent with the current functioning. Paragraph 10 is based on the principle that municipalities or EPCIs could have taken unlawful deliberations on TEOM; Therefore, the State deliberately blames the communities. But, in reality, the deliberations of the communities are subject to review of legality, as are the deliberations on the voting of tax rates, which are also forwarded to the Directorate-General for Public Finance. So why talk about deliberation taken illegally by municipalities or EPCIs? The term seems exaggerated: if the rate of TEOM is likely to be illegal, state services must be able to warn communities upstream, in order to anticipate possible legal remedies. It is therefore a matter of simplifying the lives of both citizens and communities. Moreover, since the TEOM base is almost identical to that of the property tax, it seems preferable for the State to remain responsible for disputes relating to TEOM as well as those relating to the property tax.
ParlaMint-FR_2018-10-18-O1024.u636	Mr Jean-Louis Bricout has the floor to support Amendment No. 2093.
ParlaMint-FR_2018-10-18-O1024.u637	Indeed, we find it very coffeey that the State, by this paragraph 10, discharges itself to the communities of costs related to court decisions, whereas the deliberations will have been subject in the meantime to the review of legality and that the State already collects 3.6% of TEOM in exchange for the costs of relief.
ParlaMint-FR_2018-10-18-O1024.u638	What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u639	Unfavorable opinion. The aim of this measure is to empower local and regional authorities. It should be recalled that the disproportion is examined on the basis of the information available on the date of the vote of the TEOM rate. Therefore, it is solely the responsibility of the community. The measure, which is the logical counterpart to the 3% reduction in base fees, seems to me interesting in itself.
