ParlaMint-NO_2018-02-28.ana.ud158e28	The representative, Mr Grøvan, will present a proposal for a representative.
ParlaMint-NO_2018-02-28.ana.ud158e1358	I can basically just repeat what I said in my answer, namely that, even after the inclusion of the third energy market package, we will maintain full sovereignty over the energy resources. Norwegian authorities will be responsible for the handling of concession requests. There is also control over the deployment of the electricity grid — and also the overall responsibility for Norwegian energy policy. The representative of Gjelsvik is also well aware that Norway is already very closely integrated in the EU energy market. It will bring great benefits to be able to participate fully in the Agency for Cooperation, ACER, because this is an important field for Norway as a major energy export nation. It's especially in the gas field this is important to us. What has emerged in the discussions that have taken place has been particularly related to the constitutional issue. It has now been investigated in two rounds, with two different starting points, and the conclusion is the same.
ParlaMint-NO_2018-02-28.ana.ud158e1367	One of the conclusions of the Law Department is that there is a transfer of authority, i.e.: that we give sovereignty to the EU. I have to say that it is almost unreal to experience that one from the Norwegian side still gives the impression that one can give a guarantee or a promise of what will be the future development within the EU, an organisation of which we are not a member, an organisation with different interests from ours. Only to take an example from the time the EEA Agreement was concluded. We had a big discussion about the possibility from the Norwegian side to, for example. to have restrictions on capital movements and concession arrangements. It was assumed that as long as there was no difference between the Nordics and non-residents, it was okay. That understanding — and this was also reviewed by the Bondevik Government in 2002 — was based on correspondence with the European Commission, where the European Commission stated in formal letters to Norway that in their view it could not be considered to be contrary to the rules on the free movement of capital. [[President clubs]]
ParlaMint-NO_2018-02-28.ana.ud158e1374	Time's up.
ParlaMint-NO_2018-02-28.ana.ud158e1379	Then there were changes in retrospect. What does it say about the ability of Norwegian authorities to govern future developments in the EU?
ParlaMint-NO_2018-02-28.ana.ud158e1384	I assume I can also answer for 2 minutes, since the question was asked in 2 minutes! I think it's important to be precise about what the Law Department has just said, because it creates the impression that this is a waiver of sovereignty that requires a special majority in accordance with the Constitution. It is essential to stress that the law department here has laid down, and which is very clear in the letter sent to the Energy and Environment Committee yesterday, is that the Law Department finds that ‘the cutting of the King's instruction authority is being very modest’, that it must be regarded as ‘lowly intervening’, and that it can go according to the ordinary rules. I believe it is important to maintain that this discussion also has significant over and undertones of what is generally considered to be both the EEA Agreement and the EU. This is important for Norway. It is important for Norwegian energy policy. We maintain full sovereignty over our energy resources and full responsibility for Norwegian energy policy.
ParlaMint-NO_2018-02-28.ana.ud158e1398	I would like to ask the Minister of Justice, Preparedness and Immigration the following questions: ‘In 2017, the police had their operating centre in Sogn and Fjordane closed down and merged with Hordaland. 13 February 2017 NRK Sogn and Fjordane report the following: «Registration signal, line queue and difficulty in getting through. There is the experience of many Western police district residents when they call the police.’ Does the Council of State mean that this situation increases the confidence of the elected representatives responsible for police reform?’
ParlaMint-NO_2018-02-28.ana.ud158e1407	I would like to begin by saying that the basis for a better police service has been laid through the establishment of the new police districts, with larger operational centres, better performance and a stronger environment of competence. There was a need for that. Through the close police reform, all operation centres in all police districts have increased the number of operator stations. This helps to ensure that there may be more operators on guard at any time. New operating centres are now operational in 10 out of 12 police districts. Operational centres in East and South-East police districts will be operational on 1st quarter 2018. This is a clear strengthening compared to the situation we had before the reform. I'm familiar with the situation at the Operation Centre in the West Police District. I was informed by the Directorate of Police that this could be explained with technical aspects and challenges related to staffing. This has already been addressed by the police officer. There is planned to be a telephone response coming in the spring of 2018, the number of lines entering the operating centre will be increased, and information will be provided to the public about the situation. The police district plans to increase staffing at the Operation Centre by about 14 posts in 2018. Pending the availability of these posts, staff from other units are brought in to strengthen the operating centre. There is good reason to expect that the capacity of the telephone line 02800 will be improved with increased manning and line capacity. The security and security of the population must be ensured and, of course, has the highest priority. The service shall also be available with good service. This is a key goal for the police. In this context, it is worth noting that trust in the police increased in 2017, despite the fact that we are in the middle of implementing the police reform. The employee survey carried out throughout the police investigation in the autumn of 2017 shows that there is a high level of satisfaction among employees. This is unique for Norway compared to the other Nordic countries, which have also implemented a police reform. I expect the measures taken and planned by the West Police District will improve the situation, so that the citizens have good access to the police. The Western Police District Operation Centre is new, reform work is demanding, and we may all have to show some patience before we can seriously start reaping the benefits of the near-police reform. Finally, I would like to remind you that there was a broad agreement in the Stortinget behind the decision on the near-police reform. I believe that trust in us as elected representatives will depend on whether we are able to implement the decisions that have been decided upon. At the same time, we need to trust those who are set to implement the reform and the implementation of the reform is on track.
ParlaMint-NO_2018-02-28.ana.ud158e1424	The closure of the West Police District Operation Centre was politically controversial. People were concerned about what was going to happen, and turbulence was peculiar to the fact that there would be less local knowledge and competence of those who accepted the phones. The situation that has now arisen, and as described correctly by the Council of State, is the result of the fact that at the time of the creation of the Joint Police Operation Centre, one had not thought of having multiple lines to the operating centre for the telephones to arrive. It is also obvious that one had not taken the height of the number of people who had to be in place and answer the phones at the other end. This should now be resolved after the closure is a fact, and the operating centre should be up and going from one day to the next. I feel as a people's power this as very little defensive.
ParlaMint-NO_2018-02-28.ana.ud158e1431	There will always be concern when implementing changes. You always know what you have, but you don't know what's coming. Then it turns out in most cases that the offer is getting better – the few wanting to go back. So that's how unforeseen things arise. It's also done here, because you see that you have to hire more, you have to put more lines in place, you have to make sure that the offer gets better. I am very pleased that the work has been started, and that this has been taken very seriously. I'm looking forward to these relationships being as they should be, namely that we have enough lines and enough staff to attend to these contacts.
ParlaMint-NO_2018-02-28.ana.ud158e1440	I don't feel like the Council of State is going into the specific situation. This has been a very long planned and controversial political reform. One had time to make these things clear. So there's a lot of things that have to go beyond time. But as a general election, I'm very, very concerned when a matter as simple as it is to put lines into a new operating centre and to have people in place who can take the phones, don't let themselves be solved from day one. Then I feel a very great concern for other aspects of this reform that are more difficult for both the audience and the police, who are going to do a good job, and us elected to stick to. This is also reflected in the entire economic savings potential that has been envisaged in some of these centralisation measures, when one actually did not have an overview of the number of people in place to pick up the phones.
ParlaMint-NO_2018-02-28.ana.ud158e1445	Now I haven't been in this job for so long, but I've already jerked off to visit more police districts, not West Police District as Minister of Justice. What I see is that the work out there is essentially on track. So it's clear that even if you plan very well, there will sometimes be challenges that you haven't taken into account. Then I believe that the most important thing for the trust in us as politicians and the trust in the police, in those who are to perform these services is to take hold of it and actually correct it. I am very pleased that it seems that the West police district has done in this matter. Then I hope that this will work out very quickly, so that the audience will have the offer when they call the police. Then there is also reason to stress that the emergency call service 112 is in charge, which is the most important telephone number the police handle. There you quickly get in touch with the police when you really need it.
ParlaMint-NO_2018-02-28.ana.ud158e1457	‘ABE reform resulted in a cut in the 200 million prison budgets. Dr, and the prison agreement with the Netherlands has led to nearly one billion. I have been sent out of the country within three years. Recently, the Directorate of Criminal Welfare warned that the budgetary situation for 2018 was ‘almost unmanageable’. As a result of the budgetary agreement between the Right, the Advance Party, the Left and the Christian People's Party, 89 million were allocated. kr to extend the agreement with the Netherlands. However, when the agreement is not to be extended, will the Council of State guarantee that these funds will be redeployed to the police in Norway?’
ParlaMint-NO_2018-02-28.ana.ud158e1464	When the government and the Advance Party joined in 2013, the red-green parties left more than 1,200 people in the queue. The government thought new to get rid of this queue that is provocative for the victims and unfortunate for the perpetrators who have to wait to settle. The plots needed to get rid of the settlement queue were not found in Norway. The alternative to renting places in the Netherlands is that there would still be a housing queue in Norway. At the time of the start of the agreement with the Netherlands, the settlement queue was more than 1,000 judges. There were, as mentioned above, no other real alternatives to the rapid provision of the necessary prison sites. In addition, it has given the opportunity to clean up poor building masses in connection with some of our existing prisons, such as Ullersmo where I was visiting last week. As the housing queue has now been abolished in practice, our assessment is that we can address the expected need for high-security prison sites for the use of temporary dualisation in Norway until prison in Agder is ready in 2020. This is a recommendation from the Directorate of Criminal Welfare with the support of the trade unions and an important reason why the government has decided not to extend the agreement beyond the ordinary term of 31 August 2018. The economic consequences of not extending the agreement will be dealt with in budgetary terms. Renting of prison places in the Netherlands has been a success and has solved a problem in four years that the previous government has not been able to solve on a lasting basis.
ParlaMint-NO_2018-02-28.ana.ud158e1475	I am very pleased that the prison agreement with the Netherlands has been concluded, but at the same time we see that there is a very demanding situation in the criminal justice system here in Norway. Crime itself says they're in a very stressed budgetary situation that's going on in security. Now that we have resigned from the prison agreement in the Netherlands, it frees some of the funds that have to go back to the criminal justice system in Norway. In addition, the Council of State says that duplication should be used, and then there are new concerns about whether that duplication is being followed up with resources that allow sufficient staffing for the prisoners. Then I would like to ask the question again: can the Council of State guarantee that the funds used in the Netherlands go to the resource situation and the criminal services in Norway, and will duplication be followed up with sufficient resources?
ParlaMint-NO_2018-02-28.ana.ud158e1482	We do not conduct budgetary proceedings in the Grand Duchy's Question Time. We have to get back to that question later. In the case of duplication, resources will have to be made available to have two people on each cell in a number of prisons where there is room for it. It is clear that it must both finance several employees in these prisons concerned and finance the content of these prisons and give it to those who will be there, as well as those who are already there. So this is the relationship we'll get back to. External consultants have now looked at the ABE reform during the 2012-2016 analysis period and produced a report that points out that there has been no significant impact on security and service provision in criminal matters. An update is being carried out, so that the figures for 2017 are also included. But there is no doubt that prison services too need to operate more efficiently.
ParlaMint-NO_2018-02-28.ana.ud158e1491	We have received strong signals from the prison sector that the ABE reform has not gone beyond bureaucracy, but has gone beyond professional work and the employees who work on the floor with the prisoners. Norsk Fengsels- und Freiömorgsförbund has said that they are experiencing a steep decline in professional work and are concerned about the consequences of, among other things. Prisoners are becoming more isolated, and prison rehabilitation is getting worse. The Jeleia Platform states that the government will work for a more rehabilitating criminal enforcement system by placing greater emphasis on the content of the settlement. But how does the government's budget cut contribute to the government's intentions according to the Jeløya platform, which is a more rehabilitating criminal execution process and has more emphasis on the content of the settlement?
ParlaMint-NO_2018-02-28.ana.ud158e1498	The annual budgets still need to be examined when they are available. Of course, we are now in a process and are working on the 2019 budget, but I think there are opportunities to operate more effectively in prison as in all other areas. We have to look at how to operate in this area as well. We need to look at the need for detention places in the future. We see that there is a decrease in the number of judges and in the number of zones, and we see that there is less need for low security places. But we see that the need for high security is slightly higher than what we can offer today in Norway, and therefore we are doubling places. But this is the relationship that we come back to from the government.
ParlaMint-NO_2018-02-28.ana.ud158e1510	I would like to ask the Minister of Justice, Preparedness and Immigration the following questions: ‘In the 2018 state budget, Stortinget granted SEK 30 million for increased police work in Oslo South. There is a great need for this effort to be targeted at taking the cynical main characters in the criminal gangs, stopping their recruitment of young people and giving the population an increased sense of security. Is the plan for the use of the DKK 30 million completed, and can the Council of State say whether they will be used in particular for the demanding work of taking the backers and providing visible police presence, such as mobile police posts in the most vulnerable places?’
ParlaMint-NO_2018-02-28.ana.ud158e1519	I would like to take the opportunity to say that I share the commitment of the representative Jan Bøhler in this matter. Young people shall not be recruited into criminal gangs, the rearmen must be taken, and it shall be felt safe to live in all parts of Oslo. The State budget for 2018 is therefore set at 30 million. kr for a reinforced police effort in Oslo South, while the separate investment in Greenland in Old Oslo City has continued at the same level as in 2017. Enhanced police action in Oslo South will help prevent crime, with particular emphasis on the follow-up of young people in the risk zone, and prevent recruitment to crime-related environments. No further guidance has been provided in the letter of allocation to the Directorate of Police for 2018 in addition to what appears in the budget proposal. It is important to recognise the Commissioner’s right and duty to make a concrete priority within the framework and overall leadership and to find the right measures locally. The Police Directorate informs me that they are working with the Oslo Police District to draw up concrete plans for the use of the allocation. It shall include, inter alia: extra emphasis is placed on the follow-up of young people in the risk zone to prevent recruitment to the environment that commits crime, and efforts to prevent crime, better integration and the safe living environment. I have also been informed that through the initiative Oslo Police District wants to have a clear and visible presence as well as several dedicated staff who know the audience and youth in the area. I have also been informed that ten new police posts will be published in the field of crime prevention. They also state that work on the heavier criminal environment has been a central part of the 2017 effort, and this continues. I am pleased with this. The situation in the south of Oslo is complex and related to both prevention, preventing recruitment, helping young people out of the criminal environment and, not least, punishing the heavier criminals. I am ready for priority to be given to efforts against the criminal communities and the backers. They have to be prosecuted. What emerges from crime may be related to exclusion, lack of integration and poor economy. The reinforced police effort must therefore be seen in the context of other efforts in the renewed Oslo South bet. An agreement of intent between the State and the Municipality of Oslo is being worked on to lay the overall framework for the operation. A number of ministries will participate in the cooperation of the state to ensure a wide range of efforts.
ParlaMint-NO_2018-02-28.ana.ud158e1536	I thank the Council of State for a supplementary answer. I would like to emphasise the work against the rearmen. When it comes to prevention in these areas — the Council of State said that the aim of these funds was also to prevent — one must be aware that as long as one does not go after the backers, who unfortunately recruit almost as many people as they want to do things separately, one will not be able to prevent effectively. So the question now is how to be close enough on them to avert actions, avoid criminals running around with guns, avoid distributing drugs — that is, you can intervene before things happen, follow the money and reveal the networks. It is said that there was a heavy effort in 2017, but the problem is that none of the key people, the main characters – as far as I know – have been taken. The police have also said that after the operations they have had. So we can't be satisfied with that part of the effort. That's why I want to stress it to the Council of State and ask her to pay attention to this in the follow-up.
ParlaMint-NO_2018-02-28.ana.ud158e1543	I fully agree with the representative, Mr Bøhler. I visited the Oslo police district yesterday to get additional information about the efforts they have. They're very clear that they're going to work to take the backers. But they say it's a time-consuming work, where you have to be patient and work long-term. They're also going to put an extra pressure on taking out the running guys and make sure they do what they can to prevent new rungs from entering this environment. It's a tough environment. Those who first enter this environment have a lot of trouble getting out. There is another part of the job that the police need to put pressure on, namely to help those who are motivated to leave the environment, which may have major consequences for both them and their families. After my meeting yesterday, I would like to say that the police are working very widely on this, and they will now spend some time determining the use of all the money.
ParlaMint-NO_2018-02-28.ana.ud158e1552	I'm glad that the Council of State is going into it, follow it up directly and talk to the Oslo police district about the use of the money, because it's important that these 30 million. kr will not be part of how to handle a tight budget in 2018, but that they will be used directly on it as Stortinget's demand. I want to take up another side of the use of the money, and that is the need for visible police presence. We must avoid the establishment of zones where crime is almost controlled and where it does not feel like it is the government that regulates law and law. It's been about manning. There was a police post a few years ago at Holmlia which lay in some office premises in a back street there. There has also been talk about an alternative with mobile police posts that can be placed on e.g. one of the centres, which can be accessible and clearly present — a place where people can come in to talk to the police. I know that the Oslo police have previously purchased such mobile items. Has the State Council asked the police how they will solve the challenge of visible presence?
ParlaMint-NO_2018-02-28.ana.ud158e1561	They include: a mobile home they use in the area, so that they can be easily accessible to people in the community who want to talk to the police. They're going to use it out there too. It is absolutely my impression that they should be there both with visible police and, of course, also with policemen who don't have the uniform on, but who are active in the area of gathering information, spying, talking to people and working well. I'm glad the police have this so high on the agenda. They now spend some time deciding how to use the money, by getting more information and setting strategies for how to work even more targetedly. I think it's a good idea to do that in the situation that we have now. The police are very clear that they are going to make a big effort – even beyond these 30 million. kr – in order to achieve a safe nearby environment for Holmlia.
ParlaMint-NO_2018-02-28.ana.ud158e1571	‘The monitoring report following the tragic incident in which a 15-year-old committed a knife drop in the South African Centre in July 2017 reveals that the girl had been coerced into a commercial child protection measure that broke several laws, the crew was inadequate and she was denied health care. Does the Council of States see that entrusting the care of the most vulnerable children and young people to commercial profit-based actors could increase the risk that children and young people will not be given the right offer because these actors are taking advantage of the service?’
ParlaMint-NO_2018-02-28.ana.ud158e1578	This story makes a strong impression on me. I think it makes a deep impression on us all. The incident at the South African Centre, where one young woman lost her life and another was seriously injured, is only deeply tragic. What we have to follow up with is to learn from what went wrong. We have to follow up on action and do what we can to prevent something similar from happening again. The countyman has done a thorough and good job of getting the whole matter out. The entire 27 instances have contributed information. In addition, the girl herself has helped to clarify the matter. It is a derailment, I believe, to point to private operators and in particular one actor in this case. On the contrary, I have noticed that the criticism that has been addressed in retrospect is directed at both public and private services. Criticism has been raised against child protection services in the municipality of Kristiansand and against the Sørlande hospital. There are public authorities, and it is very clear that the way they have behaved is very critical. In addition, there is one private actor, Near care South, against whom there is also criticism. At the same time, I register that the County has concluded that the private operator Aleris has provided sound services. It is even underlined that Aleris has gone a long way in following up the girl in a proper manner. They have shown an availability beyond what can be expected. The County also concluded that the children’s, youth and family budget has provided adequate services. Having said that, I think we should be careful to use such tragic single events to try to allocate blame. We need to ensure that children in need of care and assistance receive an offer tailored to their needs and challenges, and that children around the whole of Norway are offered near where they live, and in their own network, as far as possible. Then it's our job as politicians to facilitate the diversity of offers that can help the individual child as much as possible.
ParlaMint-NO_2018-02-28.ana.ud158e1589	I'm not pointing at one actor, I'm pointing at a structural problem. When Greece was Minister of Culture, she said the following about the use of money in sport: ‘In essence, there is one issue that is important for people, and that is the question of trust. It is a matter of confidence that Community money goes to what it is to be used for.’» The most vulnerable children need society to take care of them. These are our children, and the money we give them, for the protection of children, should have gone to these children, not to anyone who's enriching them. Unfortunately, the principle of the use of Community funds — as the Minister spoke very nicely about when it came to sport — does not apply to child protection today. The 20 largest commercial children's protection companies took a dividend of almost 50 million. kr in 2016 – out of child protection, away from children’s protection. Why does not the same principle apply to the money allocated to child protection as to the money given to sport, namely that the money goes to what they are going to spend on, and not to this huge private enrichment, for which Hofstad Greece is obviously in favour?
ParlaMint-NO_2018-02-28.ana.ud158e1603	Because I'm most concerned about the child's needs – I'm not most concerned about who it is that gives the individual offer. Even before I became Minister for Children and Gender Equality, I was around visiting child protection institutions. There I met several children who told me stories that made a deep impression on me. They told me that they had moved between many institutions, and that it was only when they were placed at this private institution that they got the help they needed. It was one thing at a private institution they said was what gave them security and belonging, and it was that this institution offered community tour, that the adult worked for a long time, so you wouldn't deal with more adults over a day. It is an example that private institutions have to a large extent sought to offer flexibility and build security around the individual child. I mean a public institution offer along with the private and the ideals is the best diversity we can provide... [[President clubs]]
ParlaMint-NO_2018-02-28.ana.ud158e1610	I note that the Council of State does not want to or is not able to answer what I have asked for in two rounds, namely that taking out profits, withdrawing money from the service, can lead to an increase in the risk that the children will be offered worse because someone is taking money given to them for private enrichment instead. We also saw that in the case of Small Units in Vollen in Asker. There was a lack of staffing an important reason why it went as bad as it went. So it ended with an employee being killed by a 15-year-old patient. It was stated in the report on the case that it was about a lack of staff in a company, Small Units, which at the same time took advantage of a profit before tax of 2.7 million. kr and a salary to the Executive Director of more than 1 million. kr. But they didn't have enough money to have enough staff at the institution. So for the third time, does the Council of State see that taking money out of child protection can weaken the offer for the children? Yes or no?
ParlaMint-NO_2018-02-28.ana.ud158e1617	Private actions must comply with the same quality requirements as public policy. Private action must be followed up by State and supervisory authorities. When I visit child protection institutions where children tell me that they are given a better offer than they have received in public, in public child protection institutions, it means a lot to me. I'm busy with the kids. I'm concerned about how they feel. I am concerned that they will get the best possible offer – whether it is with a non-profit, a public or a private person, doesn't really matter to me. Children are different. They have different needs and different challenges, and there is only a variety of these actors that allow us to maintain offers that can help the majority of possible children get the help they need. It scares me that Red is so little concerned with the child's perspective, and that you do not take the child's needs into account.
ParlaMint-NO_2018-02-28.ana.ud158e1624	Absurd -- it's absurd, simply absurd. That's the stupidest thing I've ever heard.
ParlaMint-NO_2018-02-28.ana.ud158e1629	Time's up.
ParlaMint-NO_2018-02-28.ana.ud158e1637	‘Both Kristiansand Municipality, Sørlanden Hospital and the private child protection actor Næromsorg Sør have, according to the County Supervisory Report, committed several offences and not given a 15-year-old girl the help she needs. The history of ‘Stina’ has similarities with the history of ‘Ida’, glass girl, who was also exposed to many movements, coercive measures, the use of single measures and missing health care. What changes will the supervisory report on Stina lead to in the child protection services for children and young people?’
ParlaMint-NO_2018-02-28.ana.ud158e1644	This is a story that ended deeply tragically, both for the young girl, for the victims and for their relatives. Here we have to learn what went wrong, and we have to do what we can to prevent something similar happening again. As a result, the supervisory report submitted by the State of Fylkeman is now very important. We have a lot to learn from. The county council points to crimes committed by several actors, and that is something that I take very seriously. At the same time, it is concluded that other stakeholders have provided sound services. It is too early to say whether this case will lead to concrete changes in addition to what the services and actors involved are now doing to close the deviations that have been identified. We need to keep working on this and see if we can learn from it, if there are errors in practice, and if there are guidelines that need to be changed, but as I said, we need to get some time to work on it. ‘Stina’ needed assistance both from child protection and from mental health protection. The government is well-informed about a number of measures that will provide children who need services, both from child protection and from health care, with better and more holistic help, and there are three measures that we are already in the process of doing. Firstly, we are now setting up two care and treatment institutions for children who need long-term care outside the home while at the same time having a high need for mental health care. Secondly, regional health establishments have been given this year a mandate to strengthen outpatient BUP services to children in the field of child protection. Thirdly, work has been started on developing an interaction process involving child protection and the BUP. It shall contribute to predictability, faster and better investigations and, in particular, better cooperation between all the services concerned. However, the main work in the field of child protection is done in the municipalities. Capacity and competence are key words for the government's efforts here, and I would like to mention that since 2011, this government has provided about 1,000 more child protection workers – designated employees – in the municipalities where the children live. We have also recently launched the government's strategy for increasing the competence of municipal child protection in the years to come, and we see that the strategy addresses many of the points that County supervision points to. I'm glad, and that also makes me believe that we're getting better at many of the vulnerability points that are now identified.
ParlaMint-NO_2018-02-28.ana.ud158e1661	Thanks for the answer. Both this surveillance report and the ‘glazed girl’ were shocking readings, and the outcome was fatal for the children for whom child protection had been provided. In these cases, there is not a discussion about whether care-taking was right or not, but what the state through child protection has done when one has been the caretaker for the child. ‘Ida’ is now in prison because of the killing done. I read in the supervisory report that the girl herself visited the psychiatric ward at the Southland hospital two days before this happened, but was rejected. I believe that much needs to be done to improve the mental health care of children in child protection, but what will the Council of State do with the provision of the usual psychiatric services?
ParlaMint-NO_2018-02-28.ana.ud158e1668	I am very pleased that the representative Toppe is addressing this precisely with the interaction between child protection care and the psychiatric offer, because it is obvious that it has been too bad for many, many years. You've looked at behavior, you've looked at the need for care, and you've distinguished it from many of the mental problems that several of the children we're talking about have. I am pleased to see this in context, that child protection and health care are working together better, and this is particularly true of specialist healthcare. I believe that the Directorate is now working for, namely that children and young people should have their mental health needs identified early, is a good start. However, the need to facilitate the investigation of mental health disorders through this interaction process is also important for these children to get the right help, and not least at the right time.
ParlaMint-NO_2018-02-28.ana.ud158e1675	It is good that the Council of State is concerned with mental health care for children in child protection, because it has not been given to them – well enough – until now, it is completely clean. But I have another question, which is also common to these two issues that have received great attention, and that concerns the number of movements. Read a review report, and this girl has experienced a massive number of movements in a short time, something each of us had a problem dealing with. There has been a debate before whether to set a roof or create rules for how many movements a child should actually be able to accept in child protection, and the government has not previously seen the need for it. Many of these children experience being moved far away from their own part of the country to be offered a different place. Will the Council of State consider these matters in the wake of this supervisory report?
ParlaMint-NO_2018-02-28.ana.ud158e1682	I think it is important that we assess all possible measures when we get such a serious report on the table. I would also like to say that I think that the focus has changed from when I worked on this field a few years ago, precisely when it comes to what the representative here stresses. The number of movements is a heavy burden, so the movement must take place where the child lives, but also preferably in networks or in the family. I see that now is a very clear lead for the work they do. Then action has to be taken at the right time, there has to be the right action, and there has to be an earlier intervention. The goal is for the child to be moved out to move back home. Yes, we have some cases where it is not possible, unfortunately, but child protection should also help parents and ensure that they are so good caregivers that they can take the child back. Our goal should be minimum moves, because that's what we see as harmful and so destructive.
ParlaMint-NO_2018-02-28.ana.ud158e1694	This question, from the representative Arne Nävra to the Minister for Climate and Environment, will be answered by the Minister for Agriculture and Food, who will address the question.
ParlaMint-NO_2018-02-28.ana.ud158e1699	It is accepted smoothly. ‘Several reports of bad forest hogs that have been illegal in the opinion of the notifying parties have been lodged by the Buskerud police in the last year, justified by ‘not illegal’ or ‘lack of evidence’, despite the maximum number of registered hogs and key biotopes. Does the State Council believe that the Forest Act’s sustainability regulation is good enough, and if not – will he take the initiative to review the law with a view to obtaining clear guidelines for sustainable logging that take real account of the protection of nature?’
ParlaMint-NO_2018-02-28.ana.ud158e1708	I do not know the details of the individual matters to which the representative here refers, but I notice that the police have not found anything illegal. I think that the forestry law and the farm force regulation ensure sustainable forestry. However, it is good that there is a note about how forestry is operated. Forest and timber industries are an important sector with key tasks in the green shift, and I am pleased with the clear signals from the Stortinget that it is necessary to increase the maximum in the Norwegian forests. However, with increased activity in forestry, it is also important that forest industries continue to make targeted efforts in the environmental field; reporting forest areas for voluntary protection, aside from key biotopes and edge zones and systems to remove wheel tracks and twigs from paths so that they do not prevent movement. From the turn of the millennium to the present day, Norwegian forest owners have seen some 800,000 forests with important environmental values but could otherwise have given good income to forest owners. I am sure that the comprehensive policy for a sustainable Norwegian forestry is good. This includes voluntary protection according to nature diversity laws – now we manage a 10 pst. target for it – rules on sustainable forestry in forestry laws and regulations according to them, the forest policy schemes and the forestry industry's own environmental concerns through environmental standards and certification. This is an area where the government follows closely, and I see no need for such a review as the question indicates. We have every reason to trust that the forest sector in general manages this responsibility well, and I'm absolutely sure that if you have a never as good code as I think we have, you can always risk that someone doesn't stick to it. That's why we're going to have good sanctions. We have, but here the police have concluded that there is nothing illegal going on.
ParlaMint-NO_2018-02-28.ana.ud158e1723	I thank you for an answer that was not really a proper answer, but I note that the Council of State believes that the regulation is good enough, even if, for example, it is. is registered as the presence of the severely threatened low-end woodwork, which is kept on its screen by senior executives and machine operators. It's being hounded, and the police just order the case because it's not punishable. The regulation on sustainable forestry § 5 states: ‘In implementing forestry measures, the forest owner shall ensure that the values of important habitats and key biotopes are preserved in consultation with the guidance lines of the Norwegian PEFC forest standard.’» That the standard is broken is indisputable. It has been admitted by the Viking Forest in this case. It may seem like there's confusion and lack of knowledge in the police about this. Therefore, the question is again to the Council of State: when registered endangered species such as honeycomb are removed at the maximum, is the fault of the law or of the police?
ParlaMint-NO_2018-02-28.ana.ud158e1733	I think that the law and the regulations we have are sufficient to ensure a reasonable management of forest resources. Without me going into individual cases and deciding the police's assessment of them, I think that one has the adequate authority to impose sanctions on those who break the regulation and the law as being in force today, and as I think is good enough to carry out the responsibility of forest industry for special environmental values in the forest.
ParlaMint-NO_2018-02-28.ana.ud158e1738	Now I have even mentioned species names here, which I had hoped the Minister of Agriculture had gone into in advance – but okay. I hope and believe that the Minister of Agriculture will follow up the Storting's goal of protecting 10 pst. by the Norwegian Forest – also from its Minister of Agriculture. I would also assume that he then thinks it is best that the most protective forest should be among the ten percent. Land forest management has shown that only one fifth of the forest in the east can be characterised as a natural forest, i.e. peak class V plus, i.e. old forests that have never been exposed to snouts or industrial forests. For all the many hundreds of species that depend on that forest, a further reduction of such forest will be disastrous. What will the Council of State do to ensure that these valuable forests are not lost before the work on the ecological base map is completed? Could, for example: a system of reporting obligations at all times and a maximum ban on all forests over 160 years of age is a thought?
ParlaMint-NO_2018-02-28.ana.ud158e1747	The answer to the last one is no. The state of Norwegian forests is consistently good. We have several big trees – developments in the last 20 years are positive. There is more old forest - developments in recent years have been positive. There's more dead wood, both lying and standing. This shows that in sum, forest industries have managed their responsibilities well. It's set of key biotopes. Forestry does an important job. We work together on voluntary protection. We're funding voluntary protection. So in some cases, the forest industry in general helps us to take care of important natural and environmental values, while at the same time doing some of the most important things, and to which the majority of people have joined, our natural values are simply managed by using them and not by everyone.
ParlaMint-NO_2018-02-28.ana.ud158e1752	That's the end of Question Time.
ParlaMint-NO_2018-02-28.ana.ud158e1766	There is no record available. Thus, today's map has been processed. Does anyone ask for a word before the meeting is cancelled? - The meeting has been cancelled.
