ParlaMint-NO_2018-11-28.ana.ud257e28	The representative of the Bears Moxnes will present two proposals for representatives.
ParlaMint-NO_2018-11-28.ana.ud257e1307	Let me thank the Council of State for the answer. I am very pleased that it is quite clear that this is a temporary re-prioritisation, and that this temporary period will end in the first half of December, as the Council of State replied. I believe that the establishment of animal police has been a success story, as the government has been in the front line to get introduced. It is then important that what the Stortinget also prioritises, and what the government has proposed, is followed up. I feel sure, of the answer that came, that one understands the importance of prioritizing animal law. But is it that the Council of State can confirm that, in the future, too, there will be a strong focus on the desire to combat animal crime, precisely by using animal police and the project on which the government has been at the forefront?
ParlaMint-NO_2018-11-28.ana.ud257e1318	I can confirm that. This is an important priority, and there are leaders from Stortinget that the government will of course follow up. In this police district, there are three posts related to animal protection criminality — it is actually a little more than the designation should be provided — although there are now two investigators who are being pulled out for eight weeks. So it'll probably always be that things vary, and I imagine that we can get a situation with a serious animal crime case where the chief of police has to do the opposite, namely pick up investigators from another type of crime to solve an acute problem that arises there. It is within what is the freedom of action of a police officer, I believe, but the overall leadership is clearly firm: animal crime matters must be prioritised according to what the Storting has decided.
ParlaMint-NO_2018-11-28.ana.ud257e1327	I am very, very pleased with the clear speech of the Minister of Justice. There are very many who are very happy that we have established animal police in a number of police districts, and that the goal of the government is to establish animal police in all the police districts of the country. I am also very pleased with what the Council of State answers, that, especially in extremely demanding cases, it must also be possible for the police officers to bring in investigators to supplement the work against animal crime when needed. I'm very pleased with the answer.
ParlaMint-NO_2018-11-28.ana.ud257e1334	Yes, I think we can finish this round by saying that what the Storting has granted is prioritised according to that. We're at the beginning in the field of animal law, and there's a lot we're going to gain from experience when we're now working on rolling this out all over the country.
ParlaMint-NO_2018-11-28.ana.ud257e1344	I have the following questions: ‘In the context of the reform of the police, many offices have been closed. The municipality of Hemnes, Stranda and Aurland was encouraged to maintain their offices. The result we see now; Stranda and Aurland keep the same number of officials, while for the municipality of Hemnes, the result is that there is only one policeman left against the previous five, and only open 8 hours a week. Does the Council of State consider this to be in keeping with the intention of the decision on the maintenance of the County Council of Hemnes, and will the Council of State do something about this?’
ParlaMint-NO_2018-11-28.ana.ud257e1353	The representative asked similar questions in the past, then as a question to the Minister of Justice and Defence Sylvi Listhaug at that time. The government is concerned that the police have the framework conditions they need to provide good services to the population. With the near-police reform, the government has made absolutely necessary and important choices for the police of the future. Today, we have more robust police districts and operational centres and larger trade unions that provide good conditions for detecting and combating crime. We have established police contacts for all the municipalities of the country, so that the good local anchoring and contact that the police have traditionally had with municipal partners and the population can be further developed. The close police reform concerns more than the organisational structure, the number of posts and the number of staff in an office. Police districts are now implementing quality measures in the reform. They implement new work tools, new working methods and improved work processes. They are targeted at prevention and have targets and demands in criminal proceedings and response times when serious incidents occur. Without a new structure with fewer police districts, fewer services and larger trade unions, we would not have been able to implement the quality measures that are drivers in order to achieve better results. A police force providing good police services as a whole cannot be assessed on the basis of the number of employees at one LEN’s office. Bonding a given number of posts up to a specific loner's office does not provide sufficient flexibility. It is the police chief, in this case in Northern Ireland, who has to dispose of the resources in the most efficient and appropriate way possible, so that the people of the municipality of Hemnes feel safe and feel that they have a good police service. Opening hours at the loner offices have not the meaning that it used to have. The presence is about more than an open door and a person in a police uniform behind a barrier. Those who live in Hemnes, in Korgen, in Hattfjelldal and elsewhere in Nordland are not awarded their local Länsmannskontoret. Depending on what the case is, it's being investigated by specialists in Bodø, taken care of by patrols from Mo in Rana Police Station or resolved in dialogue with the police contact of the municipality of Hemnes. It's also so that near-police can be delivered from physical distance. Digital platforms strengthen the police’s ability to detect online crime. I've traveled a lot in the police districts this fall. I get a lot of feedback that the new structure and the new way of working is working. But I also get feedback that it takes time for the new working methods to be fully integrated into the police. We must remember that new working methods are changes that are largely implemented this year, although the Storting adopted the reform several years ago. The rapporteurs express their satisfaction. The third evaluation report will be presented in February next year. I look forward to it and will use it in the further work of following up the reform.
ParlaMint-NO_2018-11-28.ana.ud257e1370	Thanks for the answer. The question really depended on what is the result, on how to close the janitor's office. In this case, you have actually received support in an appeal to maintain a loner's office. What you're left with in Hemnes is actually similar to what they have in the municipalities that have shut down their county offices: a police contact. The term has been used for a very long time – at least I mean it – by continuing to call this a loner's office, with one policeman and a limited opening time. Prime Minister Solberg stood at this pulpit last Wednesday and boasted of the bet on the police and the case of two policemen per thousand inhabitants. If you had it in Hemnes, that's equal to nine policemen. I understand, of course, that doesn't mean you're going to have two on average at all of the cannons' offices, and you're using resources around you, but it's a pretty big leap from one to nine, which was the goal. Does the Council agree that it is to make the concept far just to have one employee again, when you had five before and maybe should have nine?
ParlaMint-NO_2018-11-28.ana.ud257e1379	Police reform is being implemented for all practical purposes this year in the various police districts. I believe that we must give the police officers great flexibility in combating crime. The important thing is that the police force is there to face the new and often very serious crime that has developed in recent years. Some of the crimes that we used to have a lot of are going down, and some of the other serious crimes are growing strongly. At that time, police officers must have the freedom to reorganize resources to tackle crime. I think it is important to maintain the decisions of Stortinget, but exactly how many people there are going to be at each of the officers' offices, the police officers must have authority to decide.
ParlaMint-NO_2018-11-28.ana.ud257e1386	Police reform should contribute to a more visible and accessible police force, not least on the prevention side. At least we don't get that in Hemnes. In October, the security officer of the Nordland Police District, Vegard Kristiansen, moved out to NRK Nordland with the following message: ‘After the introduction of the near-police reform, several police officers experience enormous labour pressure due to a high number of jobs and insufficient resources.’ In Bodø, who has 50 000 inhabitants, he is concerned about his colleagues. In the interview with NRK Nordland, he says, among other things.\t\t You can change the settings of the grid. \t\t \t ‘Many choose to get sick because they are worn out.’ Kristiansen says that after the close police reform was introduced, the number of missions has increased significantly, without the addition of more police officers. He is now afraid of people's confidence in the police and also believes that they need to give too much priority to exorcism because of this. Does it not worry the Council of State that so many feel that the police reform has not produced the results you want? You weaken the sense of security for the inhabitants, not just in Hemnes. What does he want to do with it?
ParlaMint-NO_2018-11-28.ana.ud257e1403	The police reform has been implemented this year. Then I think you should understand that it will take some time before you get all the qualitative effects you want. There is no doubt that the police, all police districts, have been given increased resources, more policemen, under this government. You can't ignore that. I also believe that we are not so bad at all. In the 2017 survey of the police, 84 pst replied. in the Nordic region that they have very great or quite great confidence in the police. That's an increase from 80 pst, respectively. in 2015 and 81 pst. in 2016, and that is actually a little better than the national average. I think you have to be a little realistic about how many standing patrols and policemen you can have in the whole country. A 24-hour patrol all year round needs 18 police officers in principle. It's not realistic to have it everywhere. And presence can be exercised in many ways, including: online.
ParlaMint-NO_2018-11-28.ana.ud257e1415	I would like to ask the Minister of Justice, Preparedness and Immigration the following questions: ‘The figures for the withdrawal of funds from criminals in the first quarter of 2018 were only 38,7 million. kroner, which was a decrease of 69 pst. since 2014. In order to strengthen this effort, an investigation has been carried out on actions for better cooperation between the relevant departments, which came into force in 2014, and a civil law withdrawal investigation, which was sent at the hearing on 15 February 2017. When and how will the Council of State present the follow-up to the proposals in these surveys to the Grand Duchy, and what action will it take to increase the withdrawal of funds from criminal environments?’
ParlaMint-NO_2018-11-28.ana.ud257e1424	Retirement is an important tool in the fight against crime, and economic gain is a key driving force behind much of both economic and organised crime. Effective withdrawal reduces the prospects for economic gain and thus also the motivation for committing criminal acts. If the perpetrator retains the advantage, it may also undermine respect for the law and tempt others to break it. There is therefore a risk that the general preventive effect of the criminal offence will be absent. In addition to the prevention of the recruitment of criminals, it is also reasonable to withdraw the proceeds of criminal offences. Crime shall not pay off. There is therefore no doubt that effective withdrawal rules are important. For the sake of order, I will also correct the amount referred to in the question. The police directorate has informed that the total amount collected in 2017 was approximately 201 million. kr. In Norway, detention is a general rule in criminal proceedings, and the issue of detention is treated as part of the criminal proceedings. An investigation on civil proceedings was sent at a hearing within the deadline of 15 February 2017, as the representative of Bohemia refers to. The investigation provides a good basis for assessing the scope for action under the Constitution and international human rights to develop a civil law enforcement framework. The legal proposal in the investigation itself needs to be further worked on, and it does not provide a basis for coming back to the Stortinget with a concrete proposal for a change of rules until further investigation has taken place. The issue is demanding, and it could take time to develop a well-functioning civil law legislation adapted to the Norwegian legal tradition. The investigation sent to the hearing points to some weaknesses in the rules of criminal law on withdrawal. As a first step in the further follow-up, it would be appropriate to consider the need for changes to the specific criminal law rules. It would then be natural to carry out a detailed assessment of the follow-up to the civil custody investigation. It is only then that you will have sufficient basis to see the need for additional instruments. As a first measure, the Ministry will assess the need for changes in the criminal law rules that can help to make the detention of offenders more effective. As part of the follow-up to the Action Plan on Economic Crime from 2011 to 2018, a report was finalised in 2014, to which the representative of Bohemia referred. The report contains recommendations to achieve a more effective withdrawal of values related to criminal offences. The working group behind the report proposed inter alia: the establishment of a nation-wide entity, the ultimate objective of which is to focus on withdrawal. A separate cross-border unit for criminal prosecution, organised under Ecocrime, was proposed. Effective confiscation of profits generated by crime is, as mentioned, important in order to help reduce the motivation for committing criminal acts. I expect, among other things, to the work now being done in the Police Directorate will produce results in the long term, including in the form of more efficient use of legislation.
ParlaMint-NO_2018-11-28.ana.ud257e1439	I thank the Council of State for the answer. To give an example, the Oslo police tell me that when they work with e.g. settings in which there is a high level of drug turnover can capture large amounts of cash held by individuals and which are obviously derived from drug trafficking. However, once it has been seized, these persons are required to return, and they must, as a general rule, be linked to a sentence that has been convicted and which has more than six years of criminal sanctions. Of course, this will not apply to those who confiscate money from on the street. So there is a need for improvements on the part of the Council of State, either in the provisions of the criminal law itself, for example. enhanced withdrawal – if they are to be better used – or in the civil law track, to which this investigation points.
ParlaMint-NO_2018-11-28.ana.ud257e1448	On a number of occasions, the representative, Mr Bøhler, has shown a great and commendable commitment to the fight against recrime in Oslo. I look very seriously at the situation in Oslo, and that is why I have also asked both the Oslo Police District, the Police Directorate and the National Attorney to make proposals to combat gang crime. One of the proposals that has been made includes: The Riksadvokat, who is on my table, is looking at the rules of withdrawal in the criminal proceedings. So it's on my table, we'll look at that, and it'll be followed up. After we've looked at what we can exploit within that framework, we'll come back to the civil law trail.
ParlaMint-NO_2018-11-28.ana.ud257e1453	I also thank you for the additional response, and for the fact that the Council of State is planning to follow up improvements in criminal law. It's important. There have been different plays and a lot of talk about taking expensive watches and bling blings, etc. This is not to be done without changes in the law. So it's positive, and I hope the Council of State will come back to it relatively quickly. With regard to the issue of the investigation of civil detention, it is stated that there should not be punishment in the sense of the law, but that it should restore the situation before the criminal offence, for example: knows that someone who's made $1 million. Drug trafficking has to return the million regardless of the criminal case itself. It is a law in which those who have made the investigation are based on experience from Ireland and, among other things, The World Bank recommends in its work on such matters. So I hope the Council of State will also go further on that track.
ParlaMint-NO_2018-11-28.ana.ud257e1460	That's what we're going to look at. We believe that there are some opportunities for withdrawal in improving the criminal justice track, which it is important to explore properly and early. For us, this is not one measure isolated; it is a major part of a comprehensive fight against recriminalism that begins with juvenile punishment, youth follow-up, juvenile detention, the fight against violence in close relations and the strengthening of various police activities in the east of Oslo – not least – but which also involves allocations to Kripos and Ecokrim, and which require us to look at different laws, different rules and different means the police have for it. But I can assure the representative that we will also look at the civil law trail of withdrawal.
ParlaMint-NO_2018-11-28.ana.ud257e1470	This question, from the representative Elise Björnebeck-Waaagen to the Minister for Justice, Preparedness and Immigration, will be raised by the representative Maria Aasen-Svensrud.
ParlaMint-NO_2018-11-28.ana.ud257e1475	‘There has been a process on the future organisation of the National Knowledge Centre on Violence and Traumatic Stress [[NKVTS]] How are the Councils of State to ensure that the efforts of the Ministry of Justice and Security in this field are taken into account through a wide range of professionally complex knowledge environments in a future organisation?’
ParlaMint-NO_2018-11-28.ana.ud257e1482	Good and relevant research is crucial for policy-making. Research on violence in close relations and sexual abuse is a significant part of the Ministry of Justice's research efforts. The National Knowledge Centre on Violence and Traumatic Stress, NKVTS, was established in 2004, and the Centre is financed mainly by the Ministry of Health and Welfare, the Ministry of Justice and Civil Protection and the Ministry of Children and Gender Equality. The background to the establishment was a desire to strengthen research into the field of violence, assault and trauma. The Centre is one of the two research institutions implementing the Ministry of Justice and Defence research programme on violence in close relations. The programme has a total cost framework of 50 million. kr over five years and continuing from 2019 to 2024. The programme has considerably strengthened the knowledge base and the design of new efforts is based on a good foundation. NKVTS is currently organised as a subsidiary of Unirand AS, which is owned by the University of Oslo. The University has announced that Unirand AS will be terminated. This is why the Ministry of Health and Welfare, in cooperation with the Ministry of Children and Gender Equality and the Ministry of Justice and Defence, is now working to find a future organised anchoring of the NKVTS. In assessing the future organisational anchoring, the importance of creating a stable and appropriate framework for a strong and forward-looking knowledge environment in the field of violence and trauma will be strong. Furthermore, the consideration that violence and traumatic stress are a multidisciplinary professional and research environment must weigh heavily. The need for a continued broad and multidisciplinary approach is important considerations that must also be taken into account in a new organisational anchoring.
ParlaMint-NO_2018-11-28.ana.ud257e1491	The Council of State and the Ministry of Justice should have a special ownership of the work against violence in close relations. NKVTS is an important knowledge bank for the fight against violence and abuse. Their work helps to increase the quality of our overall effort to combat violence and abuse and is therefore important for political decisions to be taken in the light of knowledge. As the Council of State also mentions, the Ministry has initiated and financed its own five-year research programme, which has now been proposed for five new years. NKVTS has played a central role in this. Given the Ministry's obvious interests in the fact that we have a good professional environment related to violence in close relations, can the Council of State further explain the involvement of the Ministry of Justice in the process of clarifying a new organisation of the NKVTS?
ParlaMint-NO_2018-11-28.ana.ud257e1498	The Ministry of Justice is involved. It is a working group of representatives from the three departments concerned who assess how the organisation should take place after the University of Oslo gave the message they gave. For us in the Ministry of Justice and Defence, it is important that quality and overall quality are respected. We have in many ways no principles, we have a relatively pragmatic and unorthodox attitude to where the organisation should be, but we are concerned that the trade union environment exists, and that it has stable conditions in the future. The Ministry of Justice is working with the other departments and tries to land an organisational anchor.
ParlaMint-NO_2018-11-28.ana.ud257e1507	I thank you for your answer and have one last question: can the Council of State explain what he considers to be good professional arguments for possibly assessing an organisation under the Institute of Public Health?
ParlaMint-NO_2018-11-28.ana.ud257e1512	The Institute for Public Health is one of the options under consideration. I think it might be good for me to let the working groups come to a conclusion. It will be a recommendation where the Institute of Public Health and thus also the Ministry of Health are an alternative. There are also opportunities to look at other options under the research field. As I said, I have a relatively pragmatic view of it. The important thing is that the environment survives. Then I'm waiting for some professional clarifications, some good professional advice, before we make our decisions on this issue.
ParlaMint-NO_2018-11-28.ana.ud257e1520	‘In South Africa, several children have committed very serious violence, including fatality. Today, Bjørgvin and Eidsvoll youth units act as good measures for these. The fatherland friend of the newspaper has had several suggestions about the need for follow-up of children who have been judged so severely that they will continue to work as adults. The prison cuts have been huge under this government, and the rehabilitation work has been neglected. Does the Council have a plan for young people to be followed up in adult prisons, or will he make one?’
ParlaMint-NO_2018-11-28.ana.ud257e1527	Criminal services have two youth units, Youth East, Department of Ullersmo Prison, and Bjørgvin Prison, Youth Unit. The scheme with its own youth units started as a probationary scheme in 2009 and was established in 2015 as a permanent scheme at Bjørgvin prison. In 2016, Youth Unit opened east on Eidsvoll. The two units have four places each, so that now there are eight places in the youth units. Youth units are initially reserved for prisoners under 18 years of age, but it is open to assessment of continued residence in the detention centres until 20 years of age. This may be the case in cases where the youth has a special need for follow-up and the capacity of the unit so permits. The Ministry is working on looking at criminal responses to young offenders. In this respect, the Ministry has received various input, which is about how we should respond to young people who have committed serious or repeated crime, including: points out that the Youth Penalty does not always meet the need for serious crime to have significant consequences. There will still be a need for young people to carry out prison sentences in some cases. In particular, it is important for young offenders to have a good record of the prison sentence, so that it acts as a rehabilitation tool and promotes the return to a non-crime life.
ParlaMint-NO_2018-11-28.ana.ud257e1536	In the criminal history of the Workers' Party, many measures are aimed at juvenile crime, and some have been mentioned by the Council of State. These include: Responses to youth gangs, juvenile sentences and punishments in drug courts — to name a few. Youth crime went down, at least from around 2009. After five years of right-wing rule, it's growing dramatically in Oslo. Behind these figures we find desperate victims and parents who in many cases get life and quality of life destroyed for a short or long time. What will the Council of State do to ensure that youth does not come out more criminals than they were when they were inserted?
ParlaMint-NO_2018-11-28.ana.ud257e1543	The youth crime and the serious developments we have seen in Oslo require a very holistic and broad approach. The government has also proposed measures in a wide range of areas in the draft state budget now under consideration by the Stortinget: increasing child protection, increasing the strengthening of conflict councils – responsible for youth follow-up and juvenile punishment – strengthening police service against violence in close relations, increasing the strengthening of Kripos and increasing the strengthening of ecocrim. In addition to these budgetary resources, we will also look at different laws and regulations. This is not least the way in which youth penalties and follow-up are carried out. One of the questions we ask is whether too many consents are required. It is clear that when we keep repeating things, it is important that the police react quickly and clearly. Then we have to assess whether punishments other than those we have today need to be used or extended.
ParlaMint-NO_2018-11-28.ana.ud257e1550	Governments respond with a wide range of measures, and it is true that juvenile criminals have a wide variety of crime, crime, age and background. It is therefore important that a broad range of measures be taken against them. There is some background to the fact that the Workers' Party has now this autumn promoted the proposal on recriminalism, which is a proposal aimed at a particular type of juvenile delinquency. That's also the background that we have set aside 10 million in the budget. as starting-up agents to increase the number of places in the youth and densely glacial zones. So these are two important, concrete proposals. I understand that the Council of State has many areas to spend on – I can only mention terrorist protection, the police and the courts, all of which are underfunded – but I ask anyway: does the Council of State think that these measures provided by the Workers' Party are good measures? Can the Minister of Justice guarantee that criminal services will be strengthened with youth posts in the 2020 budget?
ParlaMint-NO_2018-11-28.ana.ud257e1557	I have noticed the suggestions from the Workers' Party this fall, I think there were many interesting and good suggestions there. I also recognize them, I have noticed that the Workers' Party's new opposition policy – or perhaps an old opposition policy – consists in reading what the government intends to do and making proposals asking the Stortinge to propose what the government has told them to do. It's also a way to run politics. But I think that was a lot of good suggestions.
ParlaMint-NO_2018-11-28.ana.ud257e1564	So the ordinary questioning strategy is over.
ParlaMint-NO_2018-11-28.ana.ud257e1578	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
