ParlaMint-UA_2020-11-05-m0.u1	Please approach the rostrum for a moment.
ParlaMint-UA_2020-11-05-m0.u145	Thank you, Mr. Head. One year back from this rostrum, when Bill 1008, we talked to you about, I'm talking to the majority right now, we were talking about that this law is unconstitutional, it's going to be repealed, that the Venice Commission is criticizing it. We were told: no, this is the rule of law, we have to vote for it. Then we got a slap from the Venice Commission, then this law was declared unconstitutional, but as a result, the Higher Qualification Commission of Judges has been working for a year. We have more than 2,000 vacancies in the judicial system that can't be filled today because the Higher Qualifications Commission of Judges doesn't work. We still have two Supreme Courts in our country: the Supreme Court and the Supreme Court of Ukraine. All these problems need to be solved and resolved in a professional way. Yes, indeed, there was no such decision, but this law must be sent to the committee for rereading. Thank you.
ParlaMint-UA_2020-11-05-m0.u146	Thank you, Your Honor. All those who wish to speak? Please prepare for the vote.
ParlaMint-UA_2020-11-05-m0.u147	I'll tell you what the committee's decision is. Irina Volodymyrno, don't worry. Put on the mask, because it's the same. [[B in m in s a l in]] I'm on my way now, yeah. I know what you're doing. Dear colleagues, you have heard the committee's proposal. The committee's decision is a little different. I agreed to the proposal, which was made by the deputy chairman of the committee. But rules are rules. First, we make the decision that was made by the committee. If you please, we will not support and support the decision that was discussed by Mr. Christmas. And we're going to re-read it in order to re-produce the bill. No, there's no procedure here. [[B in m in s a l in]] That's right, it's the main one first. Don't interrupt me. It's going to be the main one first. If he does not get support, they will be alternatives. I'm voting on the committee's proposal. I am voting on the proposal for adoption on the basis of a proposal by the committee to take into account the proposed clarifications in preparing for the second reading in accordance with article 116 of the Supreme Council of Ukraine's Rules of Procedure, the draft Act amending the Law on the Judiciary and Status of Judges and certain laws of Ukraine concerning the activities of the Supreme Court and judicial authorities (registration No. 3700). Ready to vote? [[B in m in s a l in]] Sorry, 3711. Sorry, 3711. Ready to vote. Ready? Please identify and vote. [[14:19:22]] For-22. The decision is not taken. I would like to vote on the proposal to return to the committee for the re-reading of the draft Act amending the Law on the judiciary and the status of judges and certain laws of Ukraine concerning the activities of the Supreme Court and the judiciary (registration No. 3711). Ready to vote? Ready. Please support and vote. [[14:20:09]] For 239. Decision taken. Thank you. Let's see the factions. Next question of the agenda. I understand from the procedure I asked the Gerasims. I'm out of procedure.
ParlaMint-UA_2020-11-05-m0.u148	Mr. Chairman, honourable colleagues, as you know, this week we have postponed the consideration of Bill 3295, which concerns the support of small farming, which is now in the order of the day. And I have a big request for the presidency today, a big request to all the national MPs right now to consider this law, because it's really a very effective step in supporting small farming in Ukraine. The committee supports this position. Thank you.
ParlaMint-UA_2020-11-05-m0.u149	I'm betting on the vote on Gerasimov's proposal. Ready to vote? Is there no objection? Can we just bear this question? Is there no objection? None. Then let's get down to business. Let's vote better so there's no questions later. I am voting on Gerasimov's proposal to change the order of today's plenary session to consider Bill 3295. Ready? Please support and vote for this proposal. [[14:22:17]] For 270. Decision taken. Thank you. The chairman of the Committee on Agricultural and Land Policy, Solski Mikola Tarasovic, is invited to the rostrum. Would you please tell me someone's insisting on their work? Yvchenko. How many bars? Give me a minute, please.
ParlaMint-UA_2020-11-05-m0.u150	Yvchenko, Fatherland. Colleagues, I'd like us to support this bill. What an innovation. First. We've made the only agricultural register where agrarians can voluntarily enter this register. That means now there will be no paper burden in the agrarians when they get state support. The other one. We've limited large corporations to 50 million dollars. You remember 2014, 2017, 2018, you got billions of corporations. Third. We gave primary priority to colleagues, small farmers, and middle farmers. So first, the money under this law is going to be small and medium and then only large. Next, colleagues, we have made reparations to manufacturers for the loss of crops as a result of emergency situations. I want to go to all the majors in the south to understand this is going to be possible next year on this program to invest money and compensate for the loss.
ParlaMint-UA_2020-11-05-m0.u151	Thank you. No, Vadim Evgenovich, you didn't present the papers, none of them did. Let's go to the vote. Let's do it, either by the Rules or not. No, it's not. I am voting on the proposal to adopt a second reading and, in general, with the necessary technical and legal regulations, the draft Law amending the Ukrainian Law on State Support for Agriculture of Ukraine and other laws of Ukraine on the functioning of the State Agrarian Register and the improvement of State support for agricultural producers (Registration No. 3295). 3295. Ready to vote? Please support and vote. [[14:24:53]] For 281 Decision taken. The law was passed in general. Thank you. The next issue of the agenda is the draft Act amending article 47 prm. 1 Ukrainian Employment Act on partial unemployment assistance for the quarantine period established by the Cabinet of Ministers of Ukraine to prevent the spread of particularly dangerous infectious diseases (registrations 3010, 3010-1). It is suggested that this issue be considered in a simplified manner. [[14:25:48]] For 217 Decision taken. Needed to Be Discussed? Can we vote? I'm betting on a motion for adoption on the basis of the draft Act amending article 47 pr. 1 The Employment Act of Ukraine on granting partial unemployment assistance for the period of quarantine established by the Cabinet of Ministers of Ukraine to prevent the spread of particularly dangerous infectious diseases (registration No. 3010). Ready to vote? Ready? Please support and vote. [[14:26:40]] For 292 Decision taken. Thank you. The next issue is the draft Act amending certain Ukrainian legislation on social protection of persons with disabilities (registrations 3780, 3780-1). Needed Discussion? Vote? I am voting on the proposal for adoption on the basis of the draft Act amending certain Ukrainian legislation on social protection of persons with disabilities (registration number 3780). Ready? Please support and vote. [[14:27:28]] For 293 Decision taken. The next question is the draft Act amending the Ukrainian Law on Compensation to Citizens for Loss of Part of Income due to Infringement of Their Payment Periods (Registration No. 3817). Needed Discussion? Should I? Come on. Then it is suggested that we consider the matter in a simplified manner. Please support and vote. [[14:28:11]] For 221 Decision taken. Deputy Minister of Social Policy Vitaly Volodymyrovich is invited to attend.
ParlaMint-UA_2020-11-05-m0.u152	Dear Mr. Head, distinguished national MPs! The draft Act amending the Act on compensation for the loss of part of their income due to a violation of their dues is proposed to establish a comprehensive list of citizens' cash incomes for which compensation is due because, according to an anti-corruption study of the law of Ukraine, the corresponding stated position in another in the relevant list leads to or may lead to corruption factors. The bill also specifies the provisions of the law on sources of compensation, since in accordance with Ukrainian Law No. 77, the Social Insurance Fund was established by merging the Social Insurance Fund from accidents in production and occupational diseases in Ukraine and the Social Insurance Fund with temporary loss of employment. The implementation of this law will not require additional public and local expenditure and will create transparent conditions for appropriate payments to citizens. Thank you and ask for your support.
ParlaMint-UA_2020-11-05-m0.u153	Thank you. The word is given to the author. The word is given to the Head of the Committee on Social Policy and Veterans’ Rights to the Third Party Galina Mikolayovni. Please, Galina Mikolayevna.
ParlaMint-UA_2020-11-05-m0.u154	Dear Chairman, distinguished national MPs! According to the committee that considered the bill on 2 September 2020, the adoption of the bill would allow for the removal of the corruption factor, which, according to anti-corruption expertise, is contained in section 2 of the Ukrainian Act on compensation for the loss of part of the income due to the violation of their pay-off periods. And it's actually in the absence of a clear list of citizens' cash incomes that are being compensated for breaking the deadlines. Taking into account the above-mentioned and results of the draft bill, the Committee on Social Policy and Veterans' Rights has decided to recommend to the Supreme Council of Ukraine a bill amending the Ukrainian Law on Compensation for the Loss of Part of Income due to the Infringement of Their Payments (Registration No. 3817) to include in the agenda and the outcome of the first reading. Request to support the committee's decision. Thank you.
ParlaMint-UA_2020-11-05-m0.u155	Thank you, Galina Mikolayevna. Is there a need to discuss this bill? Please sign up: two in, two in. Please, Viatrowicz Vladimir Mihajlovich, faction of the political party "European Solidarity".
ParlaMint-UA_2020-11-05-m0.u156	I'm asking you to give Paulie Rostislav a present.
ParlaMint-UA_2020-11-05-m0.u157	Please, Pavelka Rostislav.
ParlaMint-UA_2020-11-05-m0.u158	Thank you. Good afternoon, dear fellows! The bill seems to have a good purpose, but the instrument is chosen, to put it mildly questionable. The main change is that the word "others" is taken from the list of compensation payments. So we're going to have an exhaustive list, which narrows down virtually the maneuver. If, God forbid, after problems with the coronavirus, there will be other issues that will require rapid changes to legislation, other social benefits, we will have to make changes to the law. We're told that in order to avoid unnecessary disputes, we need to make such changes, but I'm sorry, I think there are other things that matter. For example, it would be possible to make a more perfect list, predict all events, and only then make such changes. That's why we don't consider "European solidarity" appropriate to support it. And, honourable colleagues, another question, but no less important. From open sources, from journalists' comments, we learn from experts' comments that tomorrow it appears that the issue of the Supreme Council's candidature to fill a vacancy with the Constitutional Court of Ukraine is being considered. A very interesting question is, where is the contest envisaged in the Ukrainian Constitution? Why do we learn this from sources other than the Constitution and the Rules? And that's why I'd like to get some explanation here. Thank you.
ParlaMint-UA_2020-11-05-m0.u159	Mealer Victor Nichiporovich.
ParlaMint-UA_2020-11-05-m0.u160	Please give it to Batenka.
ParlaMint-UA_2020-11-05-m0.u161	Batenko Taras Ivanovich.
ParlaMint-UA_2020-11-05-m0.u162	Our MP agrees with the previous speaker, who pointed out that the complete list is incomplete. We point out that, as stated in the explanatory note to the draft, the bill has been drafted in accordance with the recommendations of the Ukrainian Anti-Corruption Expertise on Compensation for Loss of Part of Income due to Infringement of Their Payment Periods, as adopted by the Supreme Council in 2000. So it took the government of Ukraine 20 years to work on this bill, to submit it to the Supreme Council, and as a result we see that this list of reasons for compensation is incomplete. That's why we think that this bill can only be supported on the basis of an extension to the second reading of the citizens' incomes for violating the payment periods for which compensation is made. Otherwise, I think we should send him out for work. Thank you.
ParlaMint-UA_2020-11-05-m0.u163	Slavic Antonina Kerimovna.
ParlaMint-UA_2020-11-05-m0.u164	Please give Koltunovich a word.
ParlaMint-UA_2020-11-05-m0.u165	Coltunovich Alexander Sergiyovich.
ParlaMint-UA_2020-11-05-m0.u166	Thank you. Thank you, Mr. Head. In fact, we have drawn attention to a very important aspect, because the comprehensive list that exists today would, in principle, satisfy the draft law, but this term is different. He really requires us to work on the second reading and to provide a more complete list, which will make it impossible for certain categories of citizens and certain payments so that someone does not receive something. So from this point of view, well, I'm sorry. Now we will not be able to support this bill based on the circumstances. This time. One second. Today it sounded like there were a number of draft laws that dealt with some sort of social pay. We were looking at the budget today. You have to understand that in order to make social payments of any kind, we have to fill the income part of the budget. We can't do this exclusively on the basis of the National Bank issue, which is set up in the budget, all 45 billion dollars. We can't do that on account of the same 102 billion dollars that were said to be in the revenue line of the budget today. It's nonsense. We have to make, and all of these payments have to be made, including the Pension Fund to be filled with the payment of a single social contribution, from the calculation of taxes and the congregations that are from the companies that work. That's when we're going to have a healthy economic and, as a result, a social process. Because so far we've even got all our minimal powers to raise minimum fixed incomes, wages, pensions, unemployment and so on, and so on and so forth. We're going to face the fact that we're not going to be able to increase that limit. Just like we voted on children today to double the living minimum: from a thousand 700 to 3400. But this number has to be 13400, not 3400, it's not a small number. So again, economic preconditions must now be made to meet real social obligations. Thank you.
ParlaMint-UA_2020-11-05-m0.u167	Mikhail Mikhailovich Zimbaluk.
ParlaMint-UA_2020-11-05-m0.u168	Thank you. Mikhailo Cimbaluk, Fatherland. Honorable Chairman, Presidium, Colleagues! Dear government officials! In fact, we think the bill is necessary. There was a discussion on the committee, and we supported the government's initiative. But indeed, the representatives of several factions, the previous speakers, spoke clearly, and this is our position that the second reading should be followed up on the bill, because when government officials propose to take over and other payments, there are some serious things going on about compensation, such as losing partial health or other payments. How can I be? Earlier in the current norm, they might have compensated, but now the indexation does not specifically apply to such things, rather, to pay for the breach of payment periods. For example, there are amounts of damage to the physical person who is disabled, or other damage to the health that I have mentioned, as well as amounts paid to persons entitled to compensation in the event of loss of caregivers, in addition to the amount of payments made in accordance with the legislation on compulsory government insurance. The "Fatherland" faction proposes and supports voting as a basis, and for the second reading we will definitely work out and accept the whole document. Thank you.
ParlaMint-UA_2020-11-05-m0.u169	All those who wish to speak? Please prepare for the vote, invite Ukrainian national deputies. Please invite the people's deputies to the hall. Ready to vote? I am voting on the proposal for adoption on the basis of the draft Act amending the Ukrainian Law on compensation for citizens' loss of part of their income due to violations of their payout terms. Ready to vote? Please support and vote. [[14:40:11]] For 247 Decision taken. Thank you. The next issue of the agenda is the draft Act amending article 17 of the Ukrainian Act on Military Duty and Military Service to postpone the term of military service for certain categories of citizens (registration number 3689). No discussion. The committee proposes both on the basis and in general. There's no objection. I am voting on the proposal for adoption on the basis of the draft Act amending article 17 of the Law on Military Duty and Military Service on the suspension of the term of military service of certain categories of citizens (registration number 3689). Please support and vote. [[14:41:09]] For 281 Decision taken. I am voting on the proposal for adoption in general with the necessary technical and legal regulations of the draft Law amending article 17 of the Law on Military Duty and Military Service on the suspension of the application for military service of certain categories of citizens (registration number 3689). Ready to vote? Please support and vote. [[14:41:47]] For 282 Decision taken. The next issue of the agenda is the draft Act amending certain Ukrainian legislation on the organisation of professional (professional and technical education) activities with specific learning conditions (registration number 4139). Even without discussion? One minute, if I give, and still no discussion, the "ES" asks. Heratchenko is a minute, and we vote. No, then let's have a discussion. One minute, Heratschenko, and we're going to the vote.
ParlaMint-UA_2020-11-05-m0.u170	We're in charge of solving vocational and technical school issues. And so we expect from the majority that you will finally appoint a minister of profile who will present a bill and deal with the issue of financing vocational and technical schools, which remains unresolved today. And there's less pay than in the schools you promised 4,000 euros. But we demand that the Head of the Supreme Council give public information immediately, is it true that tomorrow, as a letter from Mr. Costin, the head of the Legal Committee, is asked to vote in favour of the judges of the Constitutional Court? Is that how you're compromised right now and constitutionally going to solve the constitutional crisis? When, without discussion, without a transparent commission, without any clear candidates for the post of judges of the Constitutional Court tomorrow are you going to vote on such matters again in the concerned areas?Oh, my God! We now demand that society provide this information. Thank you.
ParlaMint-UA_2020-11-05-m0.u171	Come on, you're not gonna ask information when you vote for the law. We'll vote, and then I'll answer you. I am voting on the proposal for adoption on the basis of the draft Act amending certain legislative acts of Ukraine concerning the organisation of the activity of professional (professional and technical education) institutions with specific learning conditions (registration No. 4137). Please support and vote. Thirty-nine, sorry, 4139. Please support and vote. [[14:44:13]] For 281 Decision taken. The committee's asking for it as a whole? I am betting on a motion for adoption in the whole of the draft Act amending certain legislative acts. In general, with technical and legal regulations, the draft Law amending certain legislative acts of Ukraine concerning the organisation of the activity of professional (professional and technical education) institutions with specific educational conditions (registration No. 4139). Please support and vote. [[14:44:59]] For 281 Decision taken. As for the committee. I think you should go to the committee, Irina Volodymyrically, first. As far as I know, all the contests were long gone. There is a proposal to consider ratifications now. I'll be, let's make sure they're not discussed, if that's all right. [[B in m in s a l in]] I am voting on the proposal for the adoption of the entire draft Law on the Ratification of the Agreement between the Cabinet of Ministers of Ukraine and the Government of Montenegro on the International Carriage of Passengers and Goods by Road (Registration No. 0059). Is there no objection? Please support and vote. [[14:46:11]] For-286 Decision taken. Next question is 0061. I'll bet you a vote on that. [[B in m in s a l in]] 60, Belarus, they insist on discussion. We can come in, but then we can talk. I propose that we vote those who do not have a discussion, and we continue to watch. Is there no objection? I am voting on the proposal for the adoption of the Protocol between the Cabinet of Ministers of Ukraine and the Government of the State of Qatar to amend and supplement the Agreement between the Cabinet of Ministers of Ukraine and the Government of the State of Qatar on Air Connection (Registration No. 0061). Please support and vote. [[14:47:09]] For 288 Decision taken. I am voting on the proposal for the adoption of the draft Law on the Ratification of the Agreement between the Cabinet of Ministers of Ukraine and the Government of the Republic of Azerbaijan on the implementation of paid employment activities by members of families of members of diplomatic and consular officials (registration No. 0066). Please support and vote. [[14:47:45]] For 288 Decision taken. I am voting on the proposal for the adoption of the draft Law on Ratification of the Agreement on Cooperation between the Cabinet of Ministers of Ukraine and the Government of the Sovereign Military Order of the Hospitals of St. John of Jerusalem, Rhodes and Malta (register No. 0068). Please support and vote. [[14:48:24]] For 277 Decision taken. Which I welcome to the Cabinet of Ministers of Ukraine. Next question. I am voting on the proposal for the adoption of the whole draft law on the withdrawal from the Agreement on the Implementation of Harmonized Antimonopoly Policy (registration No. 0053). Ready to vote? Please support and vote. [[14:49:04]] For 264 Decision taken. I am voting on the proposal for the adoption of a draft law on Ukraine's accession to the Inter-American Convention on Mutual Assistance in Criminal Matters and the Optional Protocol to the Inter-American Convention on Mutual Assistance in Criminal Matters (registration No. 0058). Please support and vote. [[14:49:42]] For 240 Decision taken. I am voting on the proposal for the adoption of the Protocol on the Ratification of the Protocol to the Statute of the Organization for Democracy and Economic Development (GUAM) as a whole. Ready to vote? Please support and vote. [[14:50:19]] For 272 Decision taken. The next issue of agenda is the draft Act on Ukraine's accession to the Convention on the Establishment of the International Organization of Law Metrology. I'm betting on a motion for adoption in the whole bill (registration number 0067). Please support and vote. [[14:50:55]] For 283 Decision taken. Ratification for Belarus. Shall we come in? Discussed. Let's have a brief discussion. [[B in m in s a l in]] Dear colleagues, then I declare the plenary session of the Supreme Council closed. Thank you all.
