ParlaMint-NO_2021-11-17.ana.ud541e28	The representative of Mr Wetrhus Thorsvik will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e1720	No, the opposition is not against growth and development. What we are against is the uncertainty that is now created in Bodø, Ålesund, Haugesund, Arendal, Grimstad, Tønsberg, Sandefjord and Larvik. They had now found themselves in the shoes and were ready to start up, and it was planned that at least two urban areas would start in 2022. So the council says one should increase from 50 pst. until 70 p.m., prioritize the five cities behind and these areas. So the question is, where is the Council of State going to pick up all these billions? It's a bit of a alarming sign that the first government council is contributing to, is removing 30 million. kr set off and create uncertainties in these smaller urban areas. What will be the climate impact of this measure that the government is scrapping, if one does not go further?
ParlaMint-NO_2021-11-17.ana.ud541e1725	I remember that this is a small amount of a total of 600 million. kr. What we're really saying clearly is that there's a vulnerable start-up on this, so I think the representative can take it easy in that we're going to be able to achieve these climate goals.
ParlaMint-NO_2021-11-17.ana.ud541e1733	‘The Hurdals platform states that ‘as a general rule, Avinor shall operate airports’. Before the elections, the Council of State wrote a letter of reader stating that ‘Avinor should buy the terminal building at Rygge civil airport’, that ‘Smoking should become the take-off aerodrome for Gardermoen as soon as possible’, and that society can ‘save large costs of Avinor taking responsibility for Rygge and using Smoking as a relief aerodrome’. What makes the Council of State think that Smoking is better suited as a commercial airport today than it has proved to be now?’
ParlaMint-NO_2021-11-17.ana.ud541e1740	Østfold Arbeiderparti has wanted Moss airport, Rygge to become a relief airport for Oslo airport Gardermoen. It follows from the Hurdal platform that the government wants to set up an independent selection to look at future capacity and needs of Oslo airport Gardermoen. It follows that the work of the sample will form the basis for the government’s conclusion on the issue of a third runway. In a previous answer to written questions from Stortinget, I have replied that I will consider whether the issue of Smoking as a take-off aerodrome for Gardermoen should be part of the mandate in this selection. The economic situation of Avinor and the traffic base of Gardermoen and Rygge will be some of the elements that will be considered when drawing up the mandate for this sample.
ParlaMint-NO_2021-11-17.ana.ud541e1749	As mentioned above, the Council of State wrote that Avinor should purchase the terminal building at Rygge civil airport. There are some of us who believe that Avinor will own all the airports in Norway. How does the Minister of Transport view the ownership of Torp Sandefjord Airport? Should Avinor acquire ownership, or does the Minister consider the current ownership structure to be more appropriate?
ParlaMint-NO_2021-11-17.ana.ud541e1754	The council has not stated that Avinor should buy Rygge, but a candidate for the Stortinget has stated it at an earlier time. I see no reason for us to change the ownership structure of Sandefjord Airport. It exists today and is a good addition to the airport offer in the East, and that's the way it is, of course, also with and offloads the Gardermo.
ParlaMint-NO_2021-11-17.ana.ud541e1759	It was reassuring to hear. I've been following developments at Sandefjord Airport for many years and seeing how vulnerable the operation of the airport is. The profit is marginal and the investment and operating costs are high. It's not just the corona that's challenged the revenue, they've had a traffic drop in the past as well. Recently, the runway was upgraded for several hundred million kroner, an investment that provided for stable revenues. Non-state airports are at risk in view of the political choices of big business and government, such as: whether tax-free is to be offered, such as today, or whether the wine monopoly is to be taken over, such as: The centre party wants. Will the Minister for Transport ensure that non-governmental airports, such as Torp Sandefjord Airport, will continue to have stable, long-term and fair framework conditions?
ParlaMint-NO_2021-11-17.ana.ud541e1768	This government has no plans to have a stable framework for aviation, but, as the representative knows, we are in a situation where the pandemic has been faltering with aviation. This applies to all aerodromes, and it applies to all air carriers.
ParlaMint-NO_2021-11-17.ana.ud541e1776	‘Questiontors have been made aware of problems related to patient travel services and have heard horror stories from, among other things, Trondelag, the County Council of State. There have been people who have been put off in the wrong place, asked to wait for a bus that does not go, a 78-year-old lady did not get help getting out to the car, and a lady of 84 years was driven around for 8 hours, for no reason whatsoever. Does the Council of State consider this offer acceptable, and what will she do to improve patient travel?’
ParlaMint-NO_2021-11-17.ana.ud541e1783	I do not have any knowledge of the specific issues to which the representative refers. That's why I can't go into them either. But we know that more places than Trondelag have had challenges with the patient travel system. However, this government is committed to improving this service. It is clear from the Hurdal platform that we want to simplify and improve the patient travel system and then review today’s tender practices. Patient law regulates the right of patients to receive the necessary expenses in connection with travel to and from treatment. It is the patient travel office of health businesses that helps the patient to organise the transport. But we've also seen that the role of the therapists is very important. It is the treatment providers who can and must assess whether there is a need for separate organisation of transport. They must assess the transport needs according to the patient’s health situation. The Ministry of Health and Health has already started work on the review of the patient travel area before this government joined. These include: to follow up previous decisions in the Storting. At the business meetings held in June this year, health regions were asked to follow up their own report, the Interregional Study on the organisation of the patient travel area. It called for the improvement of the candidate system, the development of standards and guidelines for waiting for transport and interconnection, the further development of the national framework for tenders and the management of contracts with transport providers. It also called for continued efforts to address digital solutions. This is naturally so far new demands that we have not seen the results, but we will follow that up. In addition, there is a review of the legislation of the ministry. It is planned to proceed with a consultation on a revised patient travel regulations. The proposals to be submitted are based on an evaluation of the current legislation of the Directorate for Health. The government is working on the basis of the Hurdal platform and has as its clear objective the simplification and improvement of the patient travel system, so that it works better for all patients.
ParlaMint-NO_2021-11-17.ana.ud541e1800	I understand that the Council of State cannot wonder after being the Council of State for just a few weeks, but this is actually not an unknown problem. I'm a little worried when the Council of State says you're going to make a hearing, and then it's going to be sent out to the hearing, because there's one thing that's certain, is that when you're going to send things to the hearing, it takes time. And it's a challenge for people like Kjell Stokland, as it was said in Namdalsavias, with 11 negative experiences in 19 days. It says something about what challenges you have here. Or I could, for example, taken as an example from Budstikka on 12 May: ‘Do not attend medical sessions because transport is late’. Or in Bergen's Official Journal only a few days ago about Linn, who is frustrated and is dropping patient travels due to delays and that the taxi does not come. It is clear that this is serious, because it is actually about people who need treatment and help, and so you have a transport that does not work. I believe that the Council of State could be much clearer to the patient travel offices and the hospital companies, because this is unacceptable, and you have to make sure that patients actually arrive at the hours they are going to have.
ParlaMint-NO_2021-11-17.ana.ud541e1807	I am ready to be clear to the service that is responsible for providing a good and safe patient journey. Then I fully agree with the representative of Hoksrud, this is not an unknown problem. I actually remember a long time ago, when I was in a debate with Bård Hoksrud while we were both transport politicians. Hoksrud was State Secretary at the Ministry of Transport, and the place was the national meeting of the Taxi Federation, in fact. Since then, the Advance Party in the Government has liberalised the taxi market. There has been no improved access to taxis in the districts, and it is clear that for healthcare, which is the provider of a service here, at least this government is concerned that things should be linked. We want to look at patient travels. Patients in Norway are very satisfied with the treatment offered to them in the specialist healthcare service. Where they are most dissatisfied, they are on the patient travel offer.
ParlaMint-NO_2021-11-17.ana.ud541e1814	It is nice that the Council of State remembers debates from the Transport Committee, debates on taxis. I believe that it is not the case that liberalisation is being liberalised, and the change in tax regulation has consequences for patient travel, because it is about the tenders that health companies decide to base. I think you can be very clear, because when you drive that type of transport, it's about people who may be sick, and who need help getting out of the car and that kind of thing. You can add that as a requirement, no matter what tax regulation you have. It is about those who are to provide the services that they should be able to do so in a good way. Then I want to say that there are many places in the country where they are very nice, and where they take this very seriously, while elsewhere you see a completely different attitude on the part of some drivers, or on the part of individuals who provide these services. Then, when ordering these services, the public has a responsibility to actually ensure that the services are good across the country. Then we're going to boast of those who are good, but we have to do better where you get these examples that we see here.
ParlaMint-NO_2021-11-17.ana.ud541e1821	I totally agree. This is part of the service, which is going to be just as good all over the country, and then we have the opportunity to, among other things. to regulate it in regulation, and we do. I would also like to say that, in order for health businesses to have good suppliers to perform this service, one depends on a well-functioning market locally. It is probably a situation that is a little different now than the last time I and the representative discussed this issue. I am willing to look at new ways to organise this service, but so far we intend to follow up on the reports that have been prepared. We know something about what doesn't work, and it's also a good starting point for doing something about the problem.
ParlaMint-NO_2021-11-17.ana.ud541e1830	‘In its first intervention as Minister of Health of the United Kingdom, the Council of State said that ‘Disparity is itself a source of increased health inequalities. We're going to be a government of ordinary people, a government that balances differences." But the increase in self-interest creates, on the contrary, greater health differences and affects social disparity. People who have poor advice can, in the worst case, delay or refrain from seeking medical attention. If the government wants to compensate for health differences, why does the government choose to keep the increase in self-interest by $465?’
ParlaMint-NO_2021-11-17.ana.ud541e1837	This year is the first year with one self-employment. Self-employed persons 1 and self-employed persons 2 were merged from January 2021. Now there are excesses for medical services, medicines on blue prescriptions, patient travels and physiotherapy, etc. under the same roof. During the budget negotiations for the 2021 budget, the combined equity participation was set at NOK 2460. That's the same thing as equity participation 1 was in 2020. The roofing system has a minimum limit of 200 kroner, which is the limit on how much you must have paid over the roof in proportion before you get money refunded. This means that if you have paid 199 kroner over the roof in proportion, this money will not be refunded. The government of Solberg has proposed to liquidate the de minimis threshold, so that if you pay more than the ceiling, the amount is actually repaid. It is a good proposal that reduces the cost of many health care users. But the government of Solberg also proposed to increase the equity stake by 461 kroner. 35 kroner finance the liquidation of the de minimis threshold, and 74 kroner is the price adjustment of the own payment, so that the real value of it is maintained, but the increase of the de minimis stake by a total of 352 kroner is to provide a saving on the ceiling scheme of 500 million kroner. kr. We would love to be in addition to this increase. There are many proposals in the Solberg government budget that we would like to change, but we have had a short time and have had to give strict priority. That is why we have focused on mental health, on increased capacity in hospitals and on getting to the fixed medical system for rescue. The Hurdals platform says that the government will keep peculiarities at a low level, and we will. We will follow up on the ownership of the budgets in the future, where we are also behind the whole priority of the entire budget. Unfortunately, the first budget that the Big Government will present in full will only be obtained from 2023.
ParlaMint-NO_2021-11-17.ana.ud541e1848	Earlier today, the Council of State said she was surprised that the Solberg government introduced such a large increase in self-interest. I have to say that I am at least equally surprised that the Workers' Party-Center Party government is choosing to keep that increase. I acknowledge and hear that they have had short periods of time, but people who have poor advice also have poor health. It shows that Difference Norway has many and great consequences. As a minimum, access to health care must be equal. In a society with great economic differences, where there are both economic and health differences, more expensive health care means that the injustice that existed there is reinforced. Does this mean that the government will return to the revised national budget or next year – can it be promised today that they will never again increase self-interest, or that it will be reversed to what it was?
ParlaMint-NO_2021-11-17.ana.ud541e1855	The proposal for a State budget has been presented – most of it from the Solberg government through their Prop. 1 S, and then the Big Government has presented an additional number where we have had to give strict priority. We have focused on mental health, increased capacity in hospitals and the fixed medical system, among several things. So it's going to be negotiated in this house to get a majority of the budget. I have noticed that SV in its alternative state budget prioritizes to reverse this whole increase. I am sending good thoughts to the negotiations that are going to take place in this house, with a view to adopting a good health budget that does not increase the social health differences.
ParlaMint-NO_2021-11-17.ana.ud541e1862	For people who have bad advice and are struggling to pay the expenses they have, good thoughts from the Minister of Health are not enough. You need action from the state council and government; they can't just expect those you're going to negotiate with, maybe take matters into their own hands. I hear the priorities mentioned by the Council of State and think they are important and good. I'm glad the government made them. But the government could afford more well-being and cheaper health care for people if they hadn't doubted about taxes – 30 billion. kr of them – from the right-hand government. Does the Council of State see that health care for people is more important than peaceing so much of right-hand tax relief?
ParlaMint-NO_2021-11-17.ana.ud541e1869	The Hurdal platform says that we have to keep the props at a low level. We will follow that up in the next budgets. In the additional number from the Støre administration, which is in Stortinget now, we do our priorities. Unfortunately, there are only minor adjustments to a budget from the Right, Christian People's Party and the Left. So it is that all citizens, especially those who have poor advice, unfortunately have to wait until the government budget is adopted. Here are the parties that want to go in the same direction as us, and I hope they can find together. Last year, The Storting cashed back the same increase in equity. Finally, there was a budgetary agreement with the Progress Party where this was reversed. That is also the background to the fact that I said I was surprised when the Solberg government tried again. So I want to be happy with the budget negotiations and the country's budget.
ParlaMint-NO_2021-11-17.ana.ud541e1876	We go to question 21.
ParlaMint-NO_2021-11-17.ana.ud541e1884	‘In the Klasskampen on 2 November, the Council of State stated that the industrial policy of the Hurdal Platform is more progressive than the industrial policy of the Solberg Government and that this government should pursue a more active industrial policy. What does the Council of State think is the most significant difference between the active industrial policy of the Solberg Government and the active industrial policy of the Støre Government?’
ParlaMint-NO_2021-11-17.ana.ud541e1891	At least I can say that the government has high ambitions for industrial policy, and as Minister of Industry, I want to promote an active industrial policy, as the representative of Hofstad Helleland points out. There's several reasons for that. In the years ahead, we need to be prepared for oil demand to fall, and demand for renewable energy is increasing. This is not reflected in the investment in mainland Norway in which this government takes over. Then I also believe that the world needs Norwegian solutions, and that is why we are going to help increase exports from the mainland. Norway is the country throughout the OECD that has lost the largest market shares measured in terms of export volume in the last 20 years. We're going to turn that around. At the same time, we also know that too many people are out of work. The employment rate has fallen, and it's a waste of our most important resource that we can't afford. Therefore, we need to use our entire toolbox and have clear objectives for business policy. Enterprise policy must contribute to the green transition we are facing. We don't have much time, and we're busy seeing results. With active industrial policy, I believe that the State should make more provision for the necessary infrastructure. We are to enter into partnerships between the country and the major industries that can reconcile both emission reduction and industrial development. The State should be able to contribute capital and other risk-absorbing and should be able to facilitate strong domestic markets through its purchases. In order for Norwegian companies to grow, I am also concerned that we should simplify and strengthen the instrument and that there should be one door in, whether you are a small start-up company or a large industrial locomotive. An active industrial policy is also about listening to businesses and their needs, helping to establish more profitable jobs throughout business life. As I said, we're willing to use the entire toolbox in the way that gives the most effect to society. That's the background for me to visit and meet at least 100 companies before Christmas to get concrete input into how this toolbox is to be used. I can say that everyone I meet is asking for a more active industrial policy. I want and want to have good framework conditions for the entire business life and help mobilise the most private capital possible for the green shift, but we also need to do special lifting and dare to point out a direction where it is obvious that Norway has taken advantage. That doesn't mean we're going to sit in the Ministry of Economic Affairs and point to individual businesses, but our industrial policy will be more guiding than the Solberg government. We're going to work actively with the business community where we have obvious advantages, for example. within hydrogen, liquid sea wind, batteries, carbon capture and storage, to mention some examples. The rate change shall occur significantly. A change of pace is necessary because we're facing major challenges that we're going to solve. We don't have much time. We're going to cut big greenhouse gas emissions, we're going to increase investment in the mainland, we're going to increase exports by 50 pst, and we're going to get more people to work. Private capital and innovation will be important, but we also believe that industrial policy can actively contribute to this success.
ParlaMint-NO_2021-11-17.ana.ud541e1908	I thank you for your answer. I share the ambitions of the Minister of Industry, and when the Minister of Industry points out that the active industrial policy of the Big Government is about partnership with industry, infrastructure, contributing more capital and simplification both in everyday life to businesses and in the instrumentation, it is, to a large extent, the government of Solberg also did so for eight years. We gave more priority to nutrient research, increased the allocations to Enova and to Nysnø, established Longships, started sea wind, Hywind Tampen, and improved the option tax. So it's just a little bit hard to understand. What is the Minister of Industry now actively going to do to scale up business opportunities in marine wind, battery and hydrogen – except for state companies?
ParlaMint-NO_2021-11-17.ana.ud541e1917	I can promise the representative and everyone else that we will come back with a wide range of proposals for the Stortinget. I'm impatient and I'm going to deliver results. We've been running a few weeks and need a little bit more time. But I can explain some examples and some differences. In the political programme of the previous government, the aim was to reduce state ownership. I have no goal of reducing state ownership. We have a pragmatic view of state ownership and will use it where it can promote the highest possible value creation in Norway. The previous government said very little about increasing Norwegian exports. The previous government said Norway should be a force for free trade. It's all right, but it doesn't solve the big problem that we've lost most of the market shares measured in OECD's export volume in the last 20 years. That is why, as the first government, we have a clear export target, and we are going to present a very offensive export effort. The previous government platform referred to the word ‘active’ 42 times, but ‘active enterprise policy’ was not mentioned once. One should have active literature policy, active faith policy and active participation in military forums. It's all right, but it doesn't solve the problems in business. There are some differences between the previous government and this government's policy.
ParlaMint-NO_2021-11-17.ana.ud541e1930	It's still a little unclear, to understand the significant difference, because very many of the measures and instruments that the Minister of Food points to, the government started Solberg. We see that in many areas it is important to strengthen public-private cooperation and partnership with business, to provide capital and to ensure that many of the sectors in which we have competitive advantages also have the opportunity to export outside the country's borders. I assume that the Minister of Industry has come up with some ideas about action that distinguishes the active enterprise policy from the government of Solberg and the government of Støre, other than establishing a separate company and increasing state ownership?
ParlaMint-NO_2021-11-17.ana.ud541e1937	As I said, there's a lot of tools we're willing to use as the previous government refused. For example, it won't be a goal for us to reduce state ownership. We have a pragmatic view of state ownership and will use it where it has the greatest effect. While the previous government did not set a target for Norwegian exports, and even in its export strategy wrote something such as that it is not an end in itself to increase Norwegian exports, we believe that it is, and we are going to make industry-oriented programmes where we have the greatest potential. While the previous government was more concerned with providing capital for general schemes and for general conversion, we also have to do so, but we also have to do special action where it is obvious that Norway has great industrial opportunities and where there is a need to seize the opportunities, to ensure that that technology, industrialisation and scaling do not occur in countries other than Norway. There are at least three examples of things that I believe are different from each other, and I promise – with respect for the Storting – that we will come back with a wide range of things that show that we are serious and that we are impatient in business policy. The emissions are going down, the jobs are going up, the investments are going up and the exports are going up – and that's what we're going to be measured on.
ParlaMint-NO_2021-11-17.ana.ud541e1946	And time is up!
ParlaMint-NO_2021-11-17.ana.ud541e1954	‘I refer to the article in Avisa Oslo, November 3, where it says that in recent years the City Council has spent nearly $600 million on the purchase of ten private kindergartens to make them municipal. Does the Council of State consider it right to spend hundreds of millions on active purchases of private kindergartens?’
ParlaMint-NO_2021-11-17.ana.ud541e1961	It is the municipality which is the local nursery authority and which has the overall responsibility for both private and municipal kindergartens in its own municipality. This means that it is the municipality that is responsible for fulfilling the rights of kindergartens and for designing a childcare facility that is adapted to local conditions and needs. I believe it is right that the municipality has the overall responsibility for the dimensioning of the nursery facilities. It's the municipality that knows the local conditions best. Nevertheless, the bourgeois government would not allow municipalities to manage the quality and dimensioning of the private nursery services. It's a problem for several reasons. Between 2014 and 2020, the number of children in Norwegian kindergartens has been reduced by more than 14,000 children. Under today's legislation, municipalities do not have the opportunity to reduce the number of kindergartens in private kindergartens. Thus, municipalities have to bear the risk and reduce the number of municipal kindergartens, while private households can continue as before as long as they have applicants and parents who pay for kindergartens. With a larger element of private kindergartens, the locally adopted childcare policy reaches an increasingly smaller proportion of the children. In a municipality with a majority of private kindergartens, the locally adopted kindergarten policy does not reach the majority of kindergartens. It's a cross of thought at a time when the ambitions for kindergarten are increasing. In recent years, several municipalities with large sections of private kindergartens have chosen to take over the operation of private kindergartens and private kindergartens, and some municipalities have also chosen not to approve several private kindergartens. Some of the reasons, then, are that the bourgeois government did not allow municipalities to control the quality and dimensioning of private kindergartens. It is important for the government to ensure democratic governance and control of the kindergarten sector. In the Hurdal platform, we have, among other things: said that we will give municipalities the opportunity to prioritize small private and ideal kindergartens, and we will consider the introduction of reporting obligations in the case of change of ownership and municipal pre-purchase rights. In addition to that, I have no reason to comment on the assessments made by the Municipality of Oslo in this case. The Storberget Committee delivered an interesting study on the financing system for private kindergartens before the summer. The majority of the sample has proposed a model that will provide municipalities with stronger tools to manage both the dimensioning and the development of quality in kindergarten provision. The committee's report has recently been at the hearing, and we are now working on a summary of the hearings. I look forward to coming back to Stortinget with proposals for further follow-up to the sample report and findings.
ParlaMint-NO_2021-11-17.ana.ud541e1980	I thank you for your answer. We fully agree that the municipalities have the overall responsibility to give this offer. At the same time, we need to ensure that public funds are used as best as possible to provide the best possible quality for young people. When the sick leave in private kindergartens in Oslo is two percentage points below the municipal level, this says something about both well-being and the quality of the offer, and parental studies also show that parents are more satisfied with private kindergartens. But the most important thing for the kids is to have a good time in kindergarten, not who drives it – and to be honest, we parents don't care much about it either. There is no doubt that private kindergartens have contributed to diversity, freedom of choice and, above all, to improving the quality of the sector. I understand that the Council of State does not want to comment on Oslo, but I wonder: What is the attitude of the Council of State that a municipality chooses to spend money on buying up kindergartens, instead of using them to raise the quality?
ParlaMint-NO_2021-11-17.ana.ud541e1991	The representative, Hagerup, assumes that municipalities are buying private kindergartens, not working together to improve quality. I disagree with that premise. I am convinced that all Norwegian municipalities are doing what they can to ensure the best possible offer for all young people, regardless of whether they are in municipal or private kindergartens. The legislation we have for private kindergartens dates from 2003, where we invited the whole country on a large scale to expand the number of kindergartens in a very short time. The kindergarten sector has changed dramatically in recent years and since then. Therefore, there is a need to look at the legislation and legislation of private kindergartens. The goal must be that the quality is high, that the access is great, and that there is democratic governance with the billions of dollars we spend every single year by the government to grant money to kindergartens, whether it's private or public.
ParlaMint-NO_2021-11-17.ana.ud541e2000	I thank you for your answer. We agree that it is important that the framework conditions are good for private and public kindergartens. But the Council of State said that one in the Hurdals platform also says that one wants to limit and tighten up the legislation for private kindergarten operators. We're probably in disagreement about someone who needs both public and private to have a better quality. However, both the acquisitions that take place in several cities now, the work of the Storberget Committee and the discussion on the management and financing of private kindergartens have created considerable uncertainty in the sector. At the same time, one third of the private kindergartens are in deficit. This means that more people now assess the future and fear of their life's work. How will the Council of State contribute to calmness, security and predictability in a sector that is – and has been – completely dependent on having private actors as contributors? Or does the Council of State simply admit that it is a wild policy to tighten the screw so hard that the private actors will eventually have to shut down?
ParlaMint-NO_2021-11-17.ana.ud541e2009	No, it doesn't admit to the council. Our private actors account for half of the private kindergartens in Norway. That's good. They do a formidable job, and they will continue to do so with predictable framework conditions from government and big business. What is not good is that for many years we have seen a sector change and at the same time failed to change the rules on how the sector is managed. This means, for example: that the proportion of children in a kindergarten currently owned by a foreign group has increased dramatically in recent years. It is not good for managing the quality of the kindergarten offer, it is not good for municipalities to design an offer in line with what is needed locally, and it is not good to ensure that we have legitimacy in transferring billions of dollars to this sector on behalf of the community every year. The objective is good quality in the kindergarten sector, regardless of where the children go to kindergarten, and strict rules that provide traceability, predictability and security for taxpayers as well as for parents and young people.
ParlaMint-NO_2021-11-17.ana.ud541e2021	‘According to the Hurdal platform, the government will ‘improve the recruitment standards to ensure that the children are properly added’. Now sick leave is increasing in the kindergarten sector. The reason is said to be too many jobs for too few employees and a high pressure. The kindergartens have been under great pressure throughout the pandemic. Now the infection is increasing among children and young people. Despite promises, there is no mention of an increase in basic staff in the government's draft government budget. How will the Council of State ensure that children are adequately employed in kindergarten in the current and future situation?’
ParlaMint-NO_2021-11-17.ana.ud541e2028	We have to think big about the smallest in our society. Although we have come a long way in developing a good childcare facility in Norway, we still have a lot left that can be better. The government has high ambitions for kindergartens, and I believe that this is well illustrated in the supplementary number of the state budget for 2022. Here the government proposes to cut the maximum price in kindergartens for the first time since 2013. It will facilitate the participation of more children in the kindergarten community. At the same time, we propose strengthening the free revenues of municipalities of 3.6 billion. kr, where 2 billion. kr is in addition to what the previous government added. This will, of course, enable several municipalities to strengthen both the staffing and the competence of kindergartens. I therefore do not agree with the representative's approach that increased ground crews are not mentioned in the government's draft government budget. I quote from the proposition: «In determining the growth of free income, the government has taken into account the costs of increased basic staff and pedagogues in kindergartens in the last few years.» The reasons for the increased framework for municipalities include: the staffing and competence of kindergartens. I must remind you that the previous government introduced the standard without increased state transfers because the requirements of the norm had already been met on average. At the same time, we know that at the municipal level there are several municipalities that had increased costs associated with the implementation of the norm. Thus, in proposals for further growth in free income, the government has taken into account the costs of local authorities for increasing basic staff and for more pedagogues in kindergartens in recent years. Some adults in primary care in kindergartens combined with enough adults with pediatric competence are essential for a good childcare provision. Under the pandemic, kindergartens have been under great pressure, and we are now seeing an increase in sick leave in many kindergartens. There's been a lot of research on sick leave, even in our kindergartens. Good basic staff, present management and high level of competence are part of the answer to how we increase our presence. There is also some background that the government will, as the representative Bae Nyholt refers to, improve the standard of staffing in order to ensure adequate staff in kindergartens. We will do that, among other things. by setting requirements for temporary employment, local manager requirements and reviewing the time spent by employees. In addition, we will look into financing the norm. Finally, I have to remind you that the requirements of the Kindergarten Act for adequate staffing also apply in the event of sickness and other absences. This means that municipal and private kindergartens must call in temporary workers when this is necessary for staff to be able to carry out a satisfactory pedagogical activity. In line with the Hurdal platform, I want to take a closer look at temporary employment in kindergartens. Even with a standard of living, many kindergarten employees may feel that there is too little time to be with the children, and we are therefore going to review the time spent in kindergartens and see what tasks make employees feel like not having the time they need with the children.
ParlaMint-NO_2021-11-17.ana.ud541e2048	I thank you for your answer. KS has demonstrated that the applicable manning and pedagogical standards are underfunded by approximately 930 million. kr from 2022. At the same time, we know that we are fulfilling the government's own promise of 50 pst. kindergarten teachers will cost 645 million. kr. Calculations by the Ministry of Finance also show that the costs of staffing standards throughout the opening hours of the kindergarten will amount to about 13.6 billion. kr. Local authorities have a poor economy and need to give priority to many services. Many in the sector have expressed concern that the money does not arrive at kindergartens when there are no statutory tasks. Taking this into account — does the Minister believe that sufficient resources have been put in place to ensure adequate staffing in kindergartens?
ParlaMint-NO_2021-11-17.ana.ud541e2057	I think I'm going to be humble enough to say that we can never say that we're completely satisfied, and that everywhere it's perfectly accurate on care all the time. I still believe, in part, that the standard of living has worked, even though it has not been funded until now, because the number of children per adult has decreased in the period between 2017 and 2020, and that strengthening the community economy is an effective tool to ensure that more competent adults are present in kindergartens. So I think the big work we're going to do, looking at new legislation for private kindergartens, can be a very useful contribution also to introduce some quality requirements in connection with the establishment of kindergartens, and that we need clear goals for the eye when we run the whole sector. But the goal must be that we have good quality in all kindergartens, whether they are public or private, and then strengthening the local economy is a first important contribution to the big work.
ParlaMint-NO_2021-11-17.ana.ud541e2064	Thank you for your answer. A childhood is fresher. It happens now, while we have childhood with us for the rest of our lives. Most children go to kindergarten. The years in kindergarten are the beginning of the education cycle, but it is also the arena where children should acquire social skills, knowledge about themselves and others, form relationships and step out of the home. People in kindergarten say that there are often too few people, and usually you are e.g. only one in the morning when the kids come in the door – the kid who's slept badly, the one who's seen something nice on the road, etc. The same is true in the afternoon. You just realize that it's vulnerable. There are only a few hours in the middle of the day where you experience being fully staffed. A study was also carried out last year on behalf of the Education Directorate, where almost one third of the kindergartens indicate that they have sufficient staffing only two to three hours a day. In the Hurdal platform, it's called, and I repeat, children need to be secured enough. Can the Council of State elaborate on how this is to be done, and at what rate?
ParlaMint-NO_2021-11-17.ana.ud541e2075	I agree with the representative that kindergarten is very important. Monday this week, in fact, there were figures showing that the young people who received an offer of free core time in the kindergarten in Oslo during the previous red-green government, who have now passed through high school, show improvement in several subjects. It says something about how a good childhood also in kindergarten is important for later school life and the rest of it. I believe the representative and I agree that we need to make more efforts to ensure that there are many enough qualified employees in the job and many enough employees in total in the individual kindergarten. It is both about extending the possibility of taking a professional letter at work, it is about strengthening a local economy, and it is about having standards and rules that are really follow-up in the individual nursery. I think I'm content to say that this will come back to us both in the work on regulations for the private kindergartens and in the other follow-up of both the state budget and other initiatives for the kindergarten sector.
ParlaMint-NO_2021-11-17.ana.ud541e2085	‘On several occasions, the Council of State has demonstrated that police reform is to be evaluated and that work is to be carried out in 2022 on issues relating to the allocation of funds to the police. When will the government’s evaluation of police reform be completed?’
ParlaMint-NO_2021-11-17.ana.ud541e2092	In the Hurdal platform, the government has set out great ambitions for the police. We want to ensure the security, good presence and accessibility of citizens throughout the country. It is apparent from the platform that the effects of the close police reform will be evaluated. We're going to go through the consequences of the near-police reform, and then we're going to put forward a plan for how to strengthen the police. We have to get back to the timeline of that work. The plan shall build up during the development of crime and the presence of the police for emergency reasons. The government has great ambitions to strengthen both the police’s ability to fight crime and the police’s preparedness capacities for citizens throughout the country. We have to spend time drawing up the plan. Work shall be carried out in dialogue with the municipalities and the police. The work of strengthening the presence of the police is long-term, and we're going to start in 2022. The review of the Police Directorate, which is also part of the platform, is part of this work. It is important to have a good knowledge base in order to make the right priorities and to be able to deploy resources where most is needed. Today, we have knowledge that says a lot about how the near-police reform is going on in different parts of the country. In 2020, an evaluation was carried out by the Executive and Financial Management Directorate which concluded that the objective of increased local presence and visibility has not been achieved. The DFØ further recommends assessing how the police can become more visible and present and improving their contact with the police. Last year's survey by the police showed that trust in the police is lowest in the smallest municipalities, and that people in the smallest municipalities feel less secure than residents in larger municipalities. It's important for the government to take this seriously. Part of it is that we'll look at the creation of 20 new places of employment, which is also a work we'll be doing next year. New places of service may be set up where there is a local desire for it or where geographical distances or the crime scene indicate that there is a need. The government has also proposed to grant 200 million in the additionalproposal for the State budget of 2022. to strengthen crime prevention, prevention and investigation. That money should give the police increased staff and presence. We also have to start work – which I have already had – with the new offices in 2022. So it's important to bear in mind that when we say that we want 20 new places, it's a long-term work for the whole period.
