ParlaMint-NO_2021-12-08.ana.ud311e28	The representative, Mr Kristjánsson, will present a proposal for a representative.
ParlaMint-NO_2021-12-08.ana.ud311e1503	‘The management group at the Hospital for Mental Health and Addiction at Oslo University Hospital warns against co-location in Aker, as the plans for the facility are inappropriate for the patient group for which they are responsible. They have given clear notice of this to the management of Oslo University Hospital, and they are asking for the plans to be stopped. The government has said that they will bet on psychiatry, drug addiction and prevention. How can the Council of State feel that this effort is reflected in the plans now in place to move mental health protection from Gaustad to new Aker?’
ParlaMint-NO_2021-12-08.ana.ud311e1510	There are treatments in both Gaustad and Ullevål for mental health protection. Both sites are old and slightly adapted to the requirements of modern treatment and a good working environment. There is therefore a need for upgraded construction for this patient group. There are two main arguments underlying a collection of Aker. Firstly, mental health and addiction should be co-located with somatics. There is a recognised under-use of somatic health services, and excess somatic disease mortality has also been demonstrated for this patient group. Furthermore, over time mental health protection and alcohol have moved from asylum in the country to more and more integration into the rest of society. It involves urbanisation and densely built struts. In town it will be noise from the city. I want to show you here that Lovisenberg Hospital runs an excellent mental health service, with Ring 2 as its nearest neighbour. Health South-East reports that the leadership group in mental health protection at Oslo University Hospital has never asked for plans to be stopped. They have advised Oslo University Hospital to assess other locations for parts of the establishment. Health South-East states that collecting functions on Aker means that the location of some units is not completely optimal and that other units are not entirely satisfied. In this context, I am concerned that Health South-East has a specific assessment of the location of the long-term sites. At the same time, new areas and new operational opportunities in new premises are also important. Although not everyone can have their first choice in terms of location on Aker, the plans facilitate a strengthened and forward-looking treatment provision in the field of mental health protection. It will also provide a better working environment for employees.
ParlaMint-NO_2021-12-08.ana.ud311e1527	The area of mental health and addiction treatment is on the rise. The Oslo Medical Association writes in its recording to Health South-East plans that the projections of capacity needs seem to be too low. They indicate that the plot on Aker has no room for further expansion. There is therefore a high risk of under-dimension in both the short and long term. They also believe that the plans do not reflect the knowledge we have today about what is good hospital building in psychiatry. The Norwegian Association of Nurses at the Clinic for Mental Health and Addiction, Berit Averstad, said to the evening post last year that ‘Aker’s position makes it impossible to activate patients well enough.’ She points out that the location leads to a lot of noise, and that these are patients who need peace and get out at least once a day. Then it's a terrible shame that there's such a long distance from parks, fields and other nature. So much indicates that it is built too small and too bad. Does the Council of State — despite warnings from doctors and other professionals — believe that today’s plans meet the needs of the future in the area of mental health and addiction treatment?
ParlaMint-NO_2021-12-08.ana.ud311e1536	New Aker hospitals and the development of mental health protection, co-located with the somatic environment, will mean a major boost for this patient group. Today, the activities related to mental health protection in the OUS are spread at 40 different addresses in Oslo. Collecting and co-localizing with somatic products will pay for exactly what I mentioned in my first post: the under-covering of somatic healthcare for this patient group, which also leads to an excess mortality. I replied very clearly that regarding the location of long-term locations, Health South-East should make a special assessment. There may be patients who thrive better in rural environments, but there are ongoing assessments. Quality assurance is also required for the dimensioning of future needs. What is important now is that there will be no more postponements for the patients in Oslo, but that they will have new, modern hospital buildings.
ParlaMint-NO_2021-12-08.ana.ud311e1545	As the plans are now, Health South-East has estimated that the number of days spent in mental health protection in Oslo should be reduced by 25 pst. – although the population is expected to increase. This means that Aker is cut into the operating budget for the day-to-day activities in the field of mental health protection in order to pay off the buildings — instead of being able to provide patients with the necessary daily accommodation. Building down mental health protection has the potential to cost society expensive in the form of longer health messages and more disabled people. In addition, it has major negative consequences for each individual patient. Psychiatric health costs $70 billion. kr this year, according to the National Audit Office's report from spring. Is the reduction of mental health protection a source of funding for New Oslo University Hospital?
ParlaMint-NO_2021-12-08.ana.ud311e1552	This must be a misunderstanding. The New OUS plans are a strengthening of mental health protection for these patients. The Hurdal platform also refers to an escalation plan for the entire mental health field – we intend to implement it – where we will look specifically at the reduction of daily places, which has been a continuous trend in the last 20 years. Good and professionally sound mental health protection must be exercised in new modern buildings. I am very concerned that we have progressed in these projects – if not the patients in Oslo will lose again.
ParlaMint-NO_2021-12-08.ana.ud311e1560	‘In Health South-East they have established a practice where individual hospitals do not themselves need to save up to 30 pst. equity to initiate new projects. Instead, they can borrow savings from other hospitals. The scheme has been used both at Aarhus, in Eastfold and now in the West Viken. Also in the gigantic projects of Oslo University Hospital, it is planned to use savings from other hospitals. Does the Council of State consider this to be a sustainable and stable financing mechanism that contributes to the launching of necessary investments?’
ParlaMint-NO_2021-12-08.ana.ud311e1567	Regional health establishments shall provide good specialist health services in their region and are responsible for implementing operations and investments within the annual appropriations of the Storting. The annual appropriations shall cover hospital costs — including investment costs. In hospital accounts, investment costs are shown as depreciation. Health South-East has totaled around 4 billion depreciation costs. kr. These costs are non-feasible costs, i.e.: the liquidity associated with this part of the appropriations is used to pay for new investments, saving for future investments and debt repayment. It is also this part of the appropriations that is the basis for the internal lending scheme of Health South-East. All health establishments in the region contribute to the liquidity of the scheme. The funds are saved over time in Health South-East and used to co-finance common regional priorities in hospital buildings and ICT. Health South-East has established a balance with the individual health establishments in the region. In implementing a joint regional priority building project, a health undertaking shall have access to its own claim and the possibility to borrow from the scheme. The amortisation of internal loans takes place through the annual retention of liquidity. The scheme is in place to raise regional priority projects and create predictability related to the priority projects. Other health regions have also established internal arrangements for lifting major investment projects. The schemes facilitate the faster realisation of large investment projects than would otherwise have been possible. I would also like to add that Oslo University Hospital has previously contributed to the realisation of priority projects in other parts of the health region and has significant amounts outstanding under the regional loan scheme.
ParlaMint-NO_2021-12-08.ana.ud311e1582	One of the reasons why the Left is skeptical about the plans for New Oslo University Hospital is that it's so expensive, and that the OUS doesn't have enough equity. This will make the economy of the new hospital weak. The cost of wages is, of course, a major cost item in hospitals. How much is the number of people in hospitals being reduced? Alternative: How much more efficient do the hospital staff have to work to finance the government's plans for Oslo's new hospital?
ParlaMint-NO_2021-12-08.ana.ud311e1589	I've answered a number of questions today related to the future's OYS. The most important thing is to take care of patients. That they receive good treatment in modern premises will also be greatly appreciated by professionals. OUS – or Oslo – has the oldest hospital buildings in Norway. It's not a forward-looking way to treat patients. Rather, my concern is about how to use the specialists available at all times as a service, and in Oslo, there is a situation where this can be better coordinated by bringing together regional functions. The rest of the country is screaming for some specialists that they can't get hold of, and there's no good argument that Oslo is going to run inappropriately in old hospital buildings, with an excess of professionals that the rest of the country needs.
ParlaMint-NO_2021-12-08.ana.ud311e1596	High efficiency means, in practice, reduced manning. Given that so much of the expenses in a hospital are paid, it is necessary to cut staff at Oslo University Hospital due to weak economy. Does the Council of State consider it appropriate to provide health professionals from the rest of the country — who live in a rural environment, as the Council of State was in a previous round — which would, in turn, pose a major problem where there is also a lack of health professionals? And if the project in the OUS becomes more expensive than planned, or the described gain cannot be realised, will it not affect other necessary investments in the health region?
ParlaMint-NO_2021-12-08.ana.ud311e1601	I am assured of the sustainability of Health South-East in implementing their planned investments. Here we have planned for – I would say – several decades how a future hospital structure should look like for the people of Oslo. It is time for Oslo’s population to have modern hospital buildings. It's time for professionals to get a modern environment to meet patients in. It is also time to better coordinate regional functions in the capital, where distances are short, so as to contribute better to a more even distribution of specialists throughout the country, where the lack of special skills is a challenge. Among other things, in the representative of Skjelstad's own home state, where we both come from, it has something to say about how the specialists are used in the areas where the distances are short.
ParlaMint-NO_2021-12-08.ana.ud311e1610	‘In the budgetary agreement between the Government and the Socialist Left, the following verbal proposals were agreed: ‘By March 2022, the Government is asked to set up a public body to determine how commercial operations can be phased out in various tax-funded welfare services. [...]’» Can the Council of State explain what welfare services this will apply in the health sector?’
ParlaMint-NO_2021-12-08.ana.ud311e1617	There is agreement between the government parties and the SV to reduce a public sample to determine how commercial operations can be phased out in different tax-funded welfare services and to provide a separate zero profit model for each such sector. The committee shall also propose a legal definition for non-profit-making modes of operation. The government has not taken a decision on the details of this investigation, including the mandate of the public body. I am referring to the reduction of the public sector body by March 2022. It is therefore far too early to say something more specific about the investigation. The government will decide on any proposals after the selection has been submitted.
ParlaMint-NO_2021-12-08.ana.ud311e1624	I understand that the mandate is not yet in place, but I still expect the Council of State to know in which areas in our own sector we use private welfare providers. That is really the point of the question, because we use private and private capacity in quite a number of areas of health, and therefore it is also relevant to hear just how widespread this use is. The reason why I ask is that I'm concerned that such a phase-out will be at the expense of the offer we give to our patients. This is used both nationally and externally in municipalities to relieve the burden on municipal services, so the question remains. I wonder if the Council of State agrees that such a phase-out could be at the expense of the patient's offer.
ParlaMint-NO_2021-12-08.ana.ud311e1629	The question raised by the representative of Bruflot was whether the Council of State could explain what welfare services this would apply in the health sector. This is a budgetary settlement to which the Storting joined in the financial debate last Thursday. Unfortunately, from the last Thursday until today, this Council of State has been doing quite different things, so I am asking for an understanding that I have no distribution at all on the mandate of this sample. It is well known which services the health sector receives from private suppliers. It's e.g. laboratory services. We also have parts of the treatment piece that are solved through tenders that health care businesses prioritise on the basis of their framework. The entire fixed medical system is a business model — the majority of it — so we have an integral part of the private sector in public health.
ParlaMint-NO_2021-12-08.ana.ud311e1636	First, I would like to say that I have a great deal of understanding and respect for the job that the Minister for Health is doing today, and I have a great deal of understanding that the mandate is not clear. But the worry is that we can once again get a situation where those who can afford it can buy themselves out of a queue and get a place at private places, while everyone else stays in a queue, which also doesn't get much shorter, because you don't use private capacity even if it exists. The anxiety is there anyway. The point of the question is to make it visible that it is being used in quite a number of areas in the health sector. My question – which I hope is an understanding that I am saying despite the fact that we are in a difficult situation with the corona – will nevertheless be how the Council of State will prevent such a division in the health sector from taking place if we phase out the private sector, which, after all, we use to a great extent.
ParlaMint-NO_2021-12-08.ana.ud311e1641	I can more than answer that. This government believes that preventing a two-part healthcare service is the main way we do it is by investing in our common healthcare – a strong public health service that is present throughout the country where people live, with closeness and good quality when you need health care. You also interact with private people to achieve that. That's what this government thinks is going to happen through agreements, and then we have some other arrangements. We have the contract specialists in the specialist health service, we have the fixed medical system, and we have a number of deliveries that our community health service takes out in a private home market.
ParlaMint-NO_2021-12-08.ana.ud311e1649	«When Oslo University Hospital started the process of possible expansion in Gaustad, the development possibilities were surveyed. Now it is planned to build 240,000 sqm on an area that is intended to accommodate from 14000 to a maximum of just over 100000 sqm. It shall be built on all sides of today's facility, all while the hospital must be fully operational and more efficient year by year. How can the Council of State feel that this is a good project that takes account of expected population growth and the possibility of further enlargements?’
ParlaMint-NO_2021-12-08.ana.ud311e1656	Health South-East has stated that according to approved plans for the development of the New Rikshospitalet, new buildings corresponding to 141 000 m 2 are planned. This area shall be established at the current entry point and in the area between today's rickshospital and Gaustad hospital. So the new building mass will be concentrated primarily in the southern part of today's Reichshospital. The concept involves a close integration between new and existing building masses, so that the new hospital becomes a functional hospital with short distances in a compact building mass. It ensures good patient safety and effective operation. In addition, the possibility of subsequent extensions has been included in the regulatory plan. It is designed for further expansion on today's parking lot at Ring 3 and on the site of the university. It facilitates further, future development of research, teaching and clinical activities in line with the intentions of Oslo Science City. In addition, the regulatory plan provides for extensions in the north with lower stand-alone construction. In sum, this new building means approx. 87 000 m 2 in later stages. In addition to this, the use of the premises associated with Gaustad Hospital, which account for approx. 40,000 m 2. New Rikshospitalet and Gaustad will become a regional hospital with the collection of regional functions and a certain volume of local hospital functions. It provides a model of activity similar to that of the other regional hospitals in Norway. Health South-East emphasises that it is not desirable for the regional hospital to become too large. That is why it is also planned to establish a large local hospital in Aker in addition to the regional hospital. The deacon home Hospital and Lovisenberg Diakonale Hospital should also be strengthened as a local hospital for their neighbourhoods. Together with an upgraded radium hospital, this will provide a robust and forward-looking solution for hospital services in Oslo and in the rest of the region.
ParlaMint-NO_2021-12-08.ana.ud311e1674	I hear the answer to the Council of State. Nevertheless, the Municipality of Oslo itself is clear in its concern that Health South-East underestimates the capacity needs, especially for the local hospital function in Oslo, and they have expressed, as the regulatory plan was in consultation, that it could lead to risks for both the municipality and its inhabitants in terms of both capacity, transfer of tasks and costs. There has been great resistance to this expansion. The critics are often met with statements like: now we've been on for so long that we have to get on, now this is adopted, we can't start again. At the same time, there is one thing that has such a huge economic and health impact that I think it should also be a question of how many assumptions that can change over time, before you let go of looking at the plans again. It was originally planned to build a lid over Ring 3, for example. That won't be possible. What is it that the Council of State takes a step back and looks with new eyes at how we can build hospitals in Oslo that people and health workers actually want?
ParlaMint-NO_2021-12-08.ana.ud311e1683	The people of Oslo deserve new hospital buildings. Oslo has the oldest hospitals in the country. Professionals have some of the worst environments in the country to do modern patient treatment. We're in a hurry. I have to say that now the Left has delivered several questions here with great resistance to already adopted hospital plans. The left has been a government party for several years. The left has had plenty of opportunity to put a foot in the ground if you thought this wasn't forward-looking and right. It is the setting of a government in which the Left has sat. The Storting has decided to keep progress in these plans. I just don't think it's very credible. I am very concerned that these plans should go after adopted progress. If not, it will involve new postponements, and it is the patients in Oslo and the professionals who are losing.
ParlaMint-NO_2021-12-08.ana.ud311e1692	The left has always been clear both locally and nationally that we do not want this big new hospital in Gaustad. We want to develop Ullevål further. That's what we fought for when we were in government, and we're also fighting for that now when we're in opposition. Another current debate we are having is about the intensive capacity of Norwegian hospitals. I think we all agree that it needs to be increased. The games in Oslo warn that the new hospital will offer Oslo an undersized offer. We already know that. So the pandemic has shown us that in an emergency situation, having sufficient intensive capacity is an absolute prerequisite for society to function normally. The construction sites on Aker and Gaustad are already planned to be fully developed, there is no room for extensions later, but this government has promised to expand the intensive capacity. Wouldn't it have been better to build a new hospital on a large plot, such as Ullevål, where there is plenty of room to build a hospital that actually meets future needs?
ParlaMint-NO_2021-12-08.ana.ud311e1701	We intend to strengthen the intensive capacity. It's in the Hurdal platform. The intensive capacity is about construction and premises to treat very sick people, but it is primarily about enough professionals. The current situation is that there are quite a number of intensive nurses who are soon ready for the ranks of pensioners. We have a lot to do in terms of training specialist nurses. Not a single year – not one of the eight years – the Solberg government managed to achieve its own candidate goals for specialist nurses. We have a big aftermath. It's about staff and equipment, it's actually less about physical construction.
ParlaMint-NO_2021-12-08.ana.ud311e1709	«In an interview with Finansavisen on 18 November, I read that the Council of State announces that the government is considering increasing state ownership of individual companies, but also selling off to others. What company is involved in sales, and what company is involved in government purchases?’
ParlaMint-NO_2021-12-08.ana.ud311e1716	In the Hurdal platform, the government decides that state ownership should be developed and strengthened in the conversion of the Norwegian economy. My clear mandate in the government is to pursue an active industrial policy, where we facilitate increased employment, increased exports and increased speed in the green shift. We're going to cut greenhouse gas emissions with both hands, while creating new jobs. In that work, I am willing to use all the tools I have available to get it, including state ownership. Private ownership is and will be the starting point of Norwegian business, but we are clear that state ownership can be used where this is the best tool. The Hurdal Platform stresses that in some areas it is essential that state ownership is used to ensure national control. Especially where we have special energy and natural resources and important infrastructure. Then we open at the same time so that the state can establish or buy into companies in other areas where it is of strategic interest to the country. I am dedicated to finding the best solutions also within state ownership. I have a pragmatic view of state ownership and will use it where it is the best tool to achieve what the government wants. It's too early now to say something about which companies it might be relevant to increase ownership, or where we'll consider entering as the owner or selling us down. It requires thorough assessments, it has to be done properly and properly, and I'm concerned about the whole thing, what's most effective to achieve the government's goal. That is why we have started working on a new ownership message to develop ownership policy. It is going to the Stortinget, with respect for the Stortinget, and the purpose of this work is, among other things, looking at how state capital and ownership can contribute to just increased exports, new green value chains and more profitable jobs. In the process of new ownership announcement, we will also assess the rationale for state ownership of all companies in the portfolio. Until the new ownership message is ready, I have assumed that today's sales mandates can be continued, without meaning that something will necessarily be sold. Then the government will normally ask the Storing for authority to establish or purchase itself in companies or sell themselves down, if that is the case.
ParlaMint-NO_2021-12-08.ana.ud311e1729	I thank you for your answer. After all, the Minister of Economic Affairs is not a single person in the Norwegian social debate, at least not when we talk about ownership. In fact, the Minister of Economic Affairs manages as much as one third of the total value of Oslo Børs, a total value of perhaps 1 000 billion. kr. Then every signal given by the Minister of Industry becomes important in these debates. I also notice that the Minister of Finance does not say that one should assess, but he says that the government is assessing, i.e. is doing these assessments. I want to start with a very specific question. In the election campaign, the Central Party leader, current Minister of Finance Trygve Slagsvold Vedum, warned that the Center Party is going in to increase the state's ownership of Hydro from today's 34 p.m. to 50.1 pst. The labor party was out there supporting the idea of the election campaign. Since both of today's government parties before the election announced that one would like to buy up in Hydro at 50.1 p.m., the government can confirm that Hydro is one of the specific companies where the government is considering buying up and not down? Or can he give other examples, since the assessments are already in progress?
ParlaMint-NO_2021-12-08.ana.ud311e1738	As I said, we will come back to this in a proper and proper way for the Storting in the work on the new ownership message. That work has begun. There we go through the state's justification for ownership of the different companies. We are assessing ownership policy and, of course, it must be properly anchored in the Storting. I am very concerned about the responsibility we have as a large owner. Ownership of the State shall be managed wisely. It must be predictable. We have interests in companies where there are other owners, and we've given no other signals than that we're working on a statement of ownership, that we have a view of ownership that means that we can consider going up and down and out of companies if there's no longer the same reason for ownership. As I said, the assessment of each company and the reasons for this is back in the new ownership notification.
ParlaMint-NO_2021-12-08.ana.ud311e1743	I thank you again for the answer and I am aware that the Council of State does not want to comment on a single company. But when one at the same time talks about a ownership message, I hope that the government will take seriously what is currently happening, namely that the government is giving extremely offensive signals about the importance of increased state ownership and, at the same time, is streaming to the tax screw around private Norwegian ownership, and even more so in the budgetary agreement that one has concluded with SV, without the same framework of foreign ownership. How we can work to strengthen the Norwegian ownership, including the private ownership, I hope to become a central part of such a message. A more general question: The Minister of Economic Affairs not only talked about buying up in companies, but also about entering as owners in new companies. Then the Minister of Industry is talking about buying the country as the owner of listed companies, i.e. trading on the stock exchange, or buying in non-listed companies. In the case of the latter, what principle will underlie it in the field of business, where there will probably be more companies that will then have a new state competitor over the night?
ParlaMint-NO_2021-12-08.ana.ud311e1750	I believe the representative and I fully agree on the importance of the proper and proper exercise of state ownership. Therefore, I think the representative also understands that I cannot comment on individual companies, and that we will come back to this in an appropriate way in the work on the ownership notification, and/or if there is a need for powers against Stortinget. Then I would like to stress a message I have repeated since I joined as Minister of Industry. It is my goal to mobilise as much private capital as possible for the green transformation of the Norwegian economy. We have a government budget that helps to mobilise 3 billion. In the case of increased green investment, mainly private capital. Private ownership is and will be the starting point of Norwegian business, but unlike the previous government, we do not have an explicit objective to reduce state ownership. We have a more pragmatic view of it and say that it should and can be used where it is appropriate to achieve the government's industrial policy, and we will come back to that in an appropriate way.
ParlaMint-NO_2021-12-08.ana.ud311e1760	«The storm last week caused major damage to large forest areas. It's so massive destruction in, for example. Hedal in South Aurdal that if new extensive damage caused by race, floods and dense drains is to be avoided, the big community must contribute. Today's insurance system is not good enough for natural damage. Will the Council of State provide assistance to the most severely affected areas to save the wood and prevent other damage, and will the Council of State take the initiative to review the Forest Owners Insurance Scheme in the light of last week’s events?’
ParlaMint-NO_2021-12-08.ana.ud311e1767	There is no doubt that the storm that occurred has led to a very severe situation in the parts of the country that have been affected. I must say that as Minister of Agriculture and Food I have been following the situation closely since the incident, and I have also been on an inspection in the area. The Directorate of Agriculture has already provided us with a good first overview of the challenges now facing forestry in the areas concerned. The first preliminary estimates show that it can be found above 1 million cubic metres of timber that blew down during the storm. It is now important to ensure that the values of the damaged forest areas are kept as high as possible and to ensure effective clean-up so as to reduce the risk of damage from secondary pests, for example: Granbar beetle. This work is already in progress. Forest damage caused by storms is covered by good and reasonable private insurance schemes. These cover costs by cleaning up and driving out stormy timber. They also cover the forest owner’s losses as a result of the timber being removed before the trees are fully matured. The State's natural damage regime may compensate for the costs of recovering damage to objects not covered by private insurance schemes. Therefore, the natural damage scheme does not cover the costs of storm damage to forests, but it covers damage to roads, bridges and agricultural land caused by natural damage. With regard to the clearing work for forest that has been blown down, this is primarily the responsibility of forest owners. This is also ensured by the fact that the municipality as a forestry authority may require forest owners to put in place measures necessary to remedy the damage. The forestry has a good apparatus to do this job. However, in the case of deforestation of non-economically viable windfalls, the natural damage regime may compensate forest owners for the necessary costs of deforestation. This assumes that cleaning has been ordered from the municipality. The State cannot or must not compensate for any damage or loss covered by the private insurance market. This would have undermined the basis for proper functioning of insurance schemes. The design of the non-life insurance scheme takes place primarily through interactions between the insurance companies and the industry itself. I already have a good dialogue with both industry and the forestry insurance company Skogbrand. I can also inform you that in a short time I will have a meeting with the industry about the damage situation in order to have a closer follow-up.
ParlaMint-NO_2021-12-08.ana.ud311e1778	It is very good to hear that the Council of State is taking action and following the situation closely. I am also aware that she has been visiting, which is very good. Part of the forest in the hardest hit areas is in very steep, wild terrain. There is little available and not available at all for forest machinery. There is also a lot of forest that is not driven – because there is either voluntary protection or other protection of forests. So the question is, will the government look at solutions for rapid clean-up now before it freezes, and before it gets meters of snow in the most accessible areas? It will save the big community for damage to infrastructure in the form of floods and races when it becomes ours.
ParlaMint-NO_2021-12-08.ana.ud311e1783	I very much agree with the representative's concerns, and we have started a work to get a quick clean-up. Now I am working to get an overview of the situation and will assess the need for any measures and instruments beyond what the insurance schemes currently cover. This may include, inter alia: to consider whether there is a need to allocate more of the means of road construction and operation in difficult terrain, where we see that, for example: is extra steep. I also have good contact with Skogbrand, i.e. the forest owners' insurance company, to get an overview of the situation, but it is clear that in order to prevent barking up to spring, effective cleaning is also important in the future.
ParlaMint-NO_2021-12-08.ana.ud311e1790	That's good to hear. Barracks are a great concern if this stays lying, and they can quickly spread to the rest of the country. But I also worry about the game, because in these areas – ranging from Telemark through the Gulf to the Inland – there are very large areas that have rich biotopes, and it's a lot of wild. Now it's the game locked up; there's reason to assume that there's some dead animals around, and they can't move because it's just a battlefield. The question then is, Will the Council of State also contribute to mowing or clearing streets in the areas so that the animals can arrive, and that one contributes to the preservation of the valuable natural diversity that is there?
ParlaMint-NO_2021-12-08.ana.ud311e1795	The government is now working on getting an overview, but I would also like to say that there has been a lot of cleanup in the area already. So we know that there's a lot of mass left; we're now working on getting an effective extraction of it. It is also important to say that where this is absolutely most necessary — in the case of infrastructure-related masters — the job must be started first, and then an effective clean-up is needed to ensure that the natural diversity that exists in these areas can be managed quickly. But let me just make sure that we're very concerned about both what's going on, and not least what can be a big challenge – and where we've seen great challenges – namely, bark beetle. Now it's important to get an effective clean-up going, so that we don't get a situation to spring where we get a massive burst of bark beetle.
ParlaMint-NO_2021-12-08.ana.ud311e1803	I have the following questions for the Minister of Justice and Defence: ‘The European Commission proposes to restrict the right to apply for asylum in Poland, Latvia and Lithuania as a result of the tense situation at the border with Belarus, which also threatens to destabilise Europe. Restrictions on the right to apply for asylum in that country may help to ensure that the flow of migrants finds the way to new border crossings. Does the Council of State consider the proposal of the European Commission to be relevant to Norwegian immigration policy and is she concerned that it can contribute to migration from Russia to Norway?’
ParlaMint-NO_2021-12-08.ana.ud311e1812	I am aware that on 1 December the Commission proposed some temporary practical and procedural relief for Poland, Lithuania and Latvia for the situation at the border with Belarus. The Commission's proposal includes, inter alia: to give countries better time to register asylum seekers. Today a period of three to ten days applies. In a situation where many arrive at once, it may be difficult to register everyone in a short time. The Commission will therefore extend the deadline to four weeks. Similarly, the Commission considers that reception requirements need to be adapted to the situation. They must focus on meeting the basic needs of applicants, while at the same time providing the necessary assistance to vulnerable applicants. Another key point is the Commission’s request for rapid border asylum procedures and rapid return. They want asylum applications to be dealt with within 16 weeks. More rapid asylum procedures at the external borders and rapid return are also proposed by the Commission in the context of the September 2020 Asylum and Migration Pact, but there is room to give priority to the rapid treatment of asylum cases even within the current system. So far, I cannot see that the Commission's proposals will have an impact neither on Norwegian immigration policy nor on migration from Russia to Norway. Rapid treatment of asylum applications is a priority for Norway for many years, through different schemes. The Norwegian approach has been that rapid handling of these cases has a preventative effect on arrivals in general. In addition, it can contribute to a reality orientation for many candidate groups. The rapid return of those who do not have a need for protection has been a priority in Norway because it contributes to the preservation of the asylum institution. Since Norway already has good arrangements for rapid treatment and return, measures in Poland, Latvia and Lithuania are unlikely to have a particularly significant impact on asylum arrivals in Norway.
ParlaMint-NO_2021-12-08.ana.ud311e1823	Thanks for the response and review of what is proposed by the Commission. To emphasise, one of the reasons why I ask is simply that some of the things that are speculating about it is that Belarus also contributes to this situation, simply to destabilise Europe. I'm glad that the Council of States per now doesn't see that there will necessarily have any impact on our borders. However, the Council of State is quite right that this must be seen in the context of the migration pact which the EU is also discussing and must decide that it is in a way also part of it. Does the Council of State participate in discussions, both on this issue from the Commission and on the whole migration pact to the EU?
ParlaMint-NO_2021-12-08.ana.ud311e1828	Norway has more international cooperation on migration and immigration, and we also control our own immigration policy. With regard to the negotiations and the process going on around a migration pact in the EU, this is what we are following. There are still several things that have not been clarified and that we will come back to – how Norwegian positions should be – when the process has come further.
ParlaMint-NO_2021-12-08.ana.ud311e1833	To underline: I also fully agree that Norway should, of course, retain control over/with immigration policy. That's something we're probably in complete agreement on. Although the migration pact has now increased – that is what the Council of State says – it is a highly topical discussion that is now taking place in Europe. Is it that way, when the Council of State says that one should come back to it at a time when it has come further, that Norway has no position related to the discussions that are now taking place?
ParlaMint-NO_2021-12-08.ana.ud311e1838	The migration pact consists of different parts. Some are part of the cooperation we already have, others are not given that Norway should go into if there is nothing we want. There are things we have to decide when the time is right.
ParlaMint-NO_2021-12-08.ana.ud311e1846	«Section 104 of the Constitution obliges the child's best interests and the child's opinion before making his or her decisions. The fact that children’s legal certainty is better ensured in larger trade unions has a solid foundation in NOU 2017: 8, where it was assessed whether special courts should be established for children’s matters. In what way will the Council of State ensure that the best interests of the child are a fundamental consideration of the decisions to be made by the government in this matter, and will the Council of State ensure that Paragraph 104 of the Constitution is followed in the further process?’
ParlaMint-NO_2021-12-08.ana.ud311e1853	I don't think it's so very surprising and new that of course I want to follow the Constitution in all the processes I'm doing. As far as the representative is concerned, the best interests of the child are fundamental to all actions and decisions affecting children. It follows not only the Constitution but also the Children's Convention, which applies as Norwegian law. Of course, the government will ensure that the basic consideration of the child's best is also taken care of in the further work on court structure, as we, of course, also have a look at children and children's best in all other matters. In line with the Hurdal platform, the government is committed to strengthening the courts so that they become less vulnerable. That is why we have already proposed in the supplementary budget for the State budget for 2022, and now also received as part of a budget agreement, that we want to increase the appropriations allocated to the courts in order to strengthen digitisation, but we have also set aside 20 million in concrete terms. NOK to employ several officials. It is a measure that will reduce the number of judges and strengthen the small courts. The measure will also include: contribute to the greater handling of child matters by officials rather than judges. There will be one of several measures that this government believes are important to strengthen the legal certainty of children also in a new court structure, where there will be changes in the judiciary. Then I am aware that more actors, including The Children’s Ombudsman has stated what they believe will be the importance of reintroducing the judicial structure before the judicial reform, including for child matters. Then I can also assure the representative that the government will take care of a good process. We want to involve the actors that are involved and who want to make recordings. In this respect, of course, I would also like to receive input from the Children's Ombudsman and others who need competence in children's matters and who want to say something about this. I believe that the legal certainty for children is much more than the size of the court and the structure of the court, and I also believe that legal certainty for children can be well maintained in a decentralised structure. There are other opportunities to ensure a high level of competence and good professional environments than to merge courts. There we disagree politically, quite simply, and we have been for a long time. The planning of further work on judicial structures is well under way in the ministry. What measures will be taken is something I will come back to at a later stage.
ParlaMint-NO_2021-12-08.ana.ud311e1866	Thank you for your answer, which sounds good to me. I can ask a question about the Hurdals platform defining those to assess whether today's structure should be maintained, and it's judges, employees and municipalities. If it is the case that the Minister of Justice has the Basic Law § 104 at the bottom, why are not children or children’s spokesmen mentioned in the Hurdal platform?
