ParlaMint-NO_2021-06-14.ana.ud492e551	The representative Per Espen Stoknes will present a proposal for a representative.
ParlaMint-NO_2021-06-14.ana.ud492e3376	In the debate here today, I have heard many accusations against the Progress Party that it is an almost irresponsible, indeed almost unaccountable, NTP Progress Party. Yes, if it is irresponsible or irresponsible to give priority to transportation, because politics is about prioritizing. Only in the first quarter of this year was it 382 billion. kr extra in the oil fund, or the State pension fund abroad, as it is also called. I have a great sense of and know many from the Center Party who are farmers and farmers in my home municipality. They always say, "We're going to deliver the farm in a slightly better condition than when we got it." That means accountability. It's to facilitate the next generation. It's about road safety. SV says that we cannot drive and asphalt over arable land. No, we're going to try to avoid that. You say it's so bad. Is there anyone who's asked, "What does a traffic victim mean?" Talk to them. This is what the Progress Party is engaged in – building safe, secure traffic trails to carry people, goods and goods. In the case of Vestfold – I would like to talk a little bit about this – and the railway, the Vestfold railway, I am a little disappointed when the government parties do not focus more on freight terminal. It's been talking about for years. I would like to thank the Workers' Party and the SV, who are at least involved in making a majority comment that says something important, that when you first built a track, it would be possible to get a separation to that freight terminal wise. But when it comes to going down the Vestfold track, I'm a little disappointed. Thanks to the Progress Party, which received planning materials for Stokke-Torp-Sandefjord, it is possible, as the government itself writes in its document, to take two trains an hour from the Ski outside of rush time. This means that you have downgraded – not just an effect package. So it's very uncertain, and you put it on hold. I wish that there could be a majority who could speed up that process – not just have a start-up grant in the first period and push everything out for an uncertain period – and put in $8.5 billion. DKr of the dried 10 billion. kr. That would mean something. We can't expect too much for the autumn either. The chairman of the Central Party in Westfold and Telemark, Terje Riis-Johansen, has said that they should speed up intercity, that is the most important thing for the county, and the first candidate from the Central Party, Kathrine Kleveland, said that we must relieve the government so that we can speed up intercity. Obviously, they don't have hearing. It's possible Siv Mossleth can answer that more. At least they don't give priority to that. The Progress Party shall give priority to combined mobility. It's not about using coercion, but freedom of choice in everyday life, what works best for the individual. That means that we are also betting on the railways in the area of the East. The car is important because it provides a combined mobility. Not everyone lives where the train goes. Train is good, but it takes you from a place you're not, to a place you're not going to. Then you also have to make provision for a car.
ParlaMint-NO_2021-06-14.ana.ud492e3389	Hordfast, as part of a ferry-free connection along our coast, has two purposes: to strengthen business and secure jobs and to get people and stay safe. This is a project for which the industry along the coast has been working for 30 years, followed by a natural extension of Rogfast, which is now under way, and Svegatjørn–Rådal, which is soon completed. The project has followed all democratic processes and socio-economic analyses, and the middle trasé has been pointed out as the best. As soon as the committee was set up, there was a strange press release from the Center Party. They will build the one bridge to Hordfast, then they will evaluate and reconsider the trasé. This is a suggestion that actually sends the project directly to the desktop drawer, and that appears to be of little thought. I refuse to believe that the committee members have looked into the geography and the issues they will address. In addition, the Center Party has withdrawn 7 billion. kr from the project, a grep that prevents the project from being started. We have recorded that the whole road has our drag fights in the Center Party around Hordfast. A lot of this debate has been linked to E16 and fears that Hordfast would push a safer road to Voss. National transport plan, submitted by the government, clears this insecurity from the road – both projects have been included in the plan. And with this in place, there should be time for the Center Party to "belt" – but no. This testifies to the lack of understanding of the needs of the districts as they sit at the Central Party. If one thing business has been clear in the last few years, it's just Hordfast and fast and safe along our coast. One might wonder if there is a replay on the forthcoming negotiations with SV, or if it is simply a desire to use the money elsewhere in the country behind it. I fear both, because this is certain: A rematch about Hordfast now, with the assessment of new trasés and strong underfinancing, as one here puts up, is to shoot a white stick after a project that has been at the top of the business list for decades – and the best way to ensure that the West has to put the last line in the queue for fast and safe roads for the inhabitants along the west coast. This cannot be seen as anything other than the failure of the Centre Party in the West, and with this they set the basis for jobs and construction along the West Coast in play. It doesn't help with nice party speeches when a tear the carpet away from the foundation for it to bu people throughout the country.
ParlaMint-NO_2021-06-14.ana.ud492e3404	First of all, I would like to say that I understand the reaction of the Council of State to Moxnes’ statement about the fjord crossings in the West. The trade and business movement has been indebted to debt in the priority of these fjord crossings. What I was going to say about was aviation. Aviation is ahead of exciting times. Low and zero emission aeroplanes are closer to realization than ever. Large aeroplanes will soon receive biofuels on relatively short distances and interfere with the same on long routes. On the short-haul network and on very short flights in Norway, electric aircraft will take over in a little bit of visibility. This will provide great opportunities both for passengers and for innovation and testing. There are several exciting projects in the take-off pit, and SV and the Centre have in a loose proposal, No. 314, proposed a long-term project in climate-neutral aviation. Unfortunately, this proposal also contains the location of a test centre in North Norway. Unfortunately, the working party is not ready to decide that such a test centre should be located in North Norway. This may be the right place, but it would be unthinkable to adopt such a location on the kick, at a 24-hour notice. There are also other places working on such plans. The Labour Party agrees with the intentions, but will therefore vote against the proposal, which was promoted today early. I also show that we elaborate in a comment in the setting. So to the representative Sundbø Abrahamsen, who claims that the representative Myrli answered the question of New Vee's future in the exchange of lines earlier today. What the Labour Party believes about this is that we have two proposals in the vote. They contain an independent review and an evaluation of the way we build roads in this country. Now we have the State Road Service, we have New Roads, we have eleven county municipalities and at least three OPS projects. We propose that an investigation be carried out to check whether this is effective and appropriate. As far as Hove-Ålgård is concerned, it was claimed that we from the Rogaland bench had no impact on our people in the parties. What I can say about it is that we ask the government to find solutions on that route, along with local authorities. What that means, I dare not express myself now.
ParlaMint-NO_2021-06-14.ana.ud492e3415	Of a total cost framework of 1205 billion. Finnmark in the government's proposal for the NTP is equivalent to 2.97 billion. kr, barely 0,25 pst. of the total NTP framework over the next 12 years. Of these, Skarvbergtunnelen, Gamvik and Kamøyvær fishing port and Inseiling Leirpollen are projects that the Progress Party started when we were in government. There are projects in progress that will end during the current year or next year. In reality, the projects planned in Finnmark for the next 12 years are just under 2.5 billion. kr. My ambition and the ambition of the Advancement Party has been that Finnmark's share of just under 3 billion. kr was to be increased by several projects, so that the total was at 6 billion. kr. Unfortunately, the red-greens were not on it, and produced me as a populist – although I believe I am a realist with clear ambitions on behalf of my homeland, Finnmark. With the Advance Party in government, the budget for transport was nearly twice as large as with the red-greens in the government, and we managed for the first time in many decades to reduce the maintenance of the national road network. Now the government has reduced the level of ambition, and it is fully supported by the Workers' Party and the Center's Party. I am very disappointed that the Workers' Party and the Centre almost failed to add anything extra to the treatment of the NTP, but rather chooses to agree with the government's proposal. Now, the Workers' Party and the Centre have good opportunities for a common journey lift for Finnmark, but they prefer to vote down important projects. It may seem as if the Center Party is trying to correct that impression with its proposals in the hall, and then creativity becomes great. I would like to know more about what the Senterpartiet has to say in proposal No. 372, which was delivered by Siv Mossleth: ‘The government asks the government to keep Alta airport open and functional.’ It’s probably strictly Avinor’s task, not government, and I know it’s the airport – which I use twice a week – both open and very functional, so we don’t see any purpose in voting for it. Now it's worth mentioning that the Center Party wants to increase the funding for county roads by 5 billion. kr, and the Workers' Party wants to increase by 2,4 billion. kr. What's the big deal? With 2.4 bn. kr over the 12-year NTP period, the share of Finnmark will be around 10 million. kr per year. It will hardly keep changing bulbs in the street lights along the county roads of Finnmark. It shows the low level of ambition of the Centre Party and the Workers' Party for the promotion of Finnish mark – and even lower if the ambition level of the Workers' Party and the Centre for the rest of the NTP is based on 0,25 pst. to Finnmark. Then it will only amount to approx. 500 000 kroner a year and will not keep to light bulb change once.
ParlaMint-NO_2021-06-14.ana.ud492e3428	I'm going to spend a little bit of time, just a little bit of time, on the other things we're dealing with here. The Progress Party has also made many proposals in this context, and there are five proposals I would like to talk about. In the context of Document 8:253 S for 2020-2021, the Progress Party proposes to facilitate the provision of information signs along the road. The majority of the Committee has agreed on the proposal to amend today’s plate legislation to make it easier for road network operators to inform road users about their activities and where they are located. In Document 8:247 S, the Progress Party proposes simpler and cheaper bike and walking routes. Here the majority of the Committee draws attention to the fact that this is a proposal which has been made in the past. However, two important clarifications have been made: firstly, road standards must be flexible, and secondly, it has been established that the road owner has the power to deviate from the normal requirements of his own road network. It is important that the Ministry informs the weigher of this flexibility and contributes to its use at all levels. Then there is Document 8:212 S: Here the Progress Party proposes to increase the upper speed limit to 120 km/h on the motorway by 1 July 2021. The majority of the Committee assumes that this must be a testing scheme for a route where this has already been provided for, so that it does not entail an increase in costs. In document 8:204 S, the proposers propose to facilitate the continued sale of petrol cars and diesel cars after 2025. For the right and the rest of the majority of the Committee, it is important that the objective of a zero-emission vehicle should be achieved through an active policy that makes it profitable to choose a zero-emission vehicle, not by prohibiting the sale of petrol cars and diesel vehicles. Finally, in this context: in Document 8:205 S, the Progress Party promotes the proposal to wind up the zero growth target. There is a broad majority in the Committee to stick to the objective. The big debate has so far followed well-known dividing lines, but I have to comment on two points. The Roman Railway is not mentioned in this NTP and the representative Sverre Myrli gave the answer. Fornebubanen, the Major Room Station and the T-Bahn tunnel go ahead, but it's up to the local authorities to change this order. Then there has to be an initiative from there before it enters the NTP. After all, Oslopackak 3 controls that ballet. As regards New Roads, it has been pointed out that there are eleven new road projects within an annual grant of 5.8 billion. kr, excluding tolls. This has been implemented with the usual grant, because Nye Veier believes that they should be able to implement these 11 projects under that scheme. We have experience in the past that Nye Weier has actually had to ask for more projects because the results achieved in the past. They built cheaper and faster and needed to supplement the portfolio. Finally, the missing tunnel is requested. The progress party voted against the E18 West Corridor when it was dealt with in Stortinget.
ParlaMint-NO_2021-06-14.ana.ud492e3449	When the NTP process started, it was clearly said that the states should be heard when it came to what they wanted to prioritise. In Trøndelag they have said ‘railway first’, with clear targets of flights with district departures, the organisation of freight transport on the Dovrebanen and the Rørosbahn, with multiple departures, electrification and crossing tracks. They want E14 completed planned and ready for prioritisation development of the speedboat of the future; prioritisation of county roads; means of investigation, research and interaction to develop future freight solutions In the case of freight terminal in Trøndelag, it is quite incredible to listen to the representative Lønseth, who, after eight years of government power, says that it is the Workers' Party's fault if it does not become a freight terminal there. For eight years her government has pointed to Torgård for railway and Hurricane as the main port, towards better knowledge. Now that they've changed their mind and want a terminal at the Heggstadmoen – again without a complete investigation – that won't solve the challenges for Trondheim and Trundellag, a solution that the state and Trondheim at last say they don't want, the government doesn't listen to Trøndelag. Not one penny has been added to the development of infrastructure around Orkanger port – nor to the wish of Heggstadmoen. But it is therefore the fault of the Workers' Party – it is quite incredible to hear. Such an argument is not just a little constructive. It also damages Trøndelag, and it damages the reputation of our politicians. The representative, Bjørnstad, says that the Workers' Party has not prioritised the Velcro. Yes, we do. We have set aside planning funds and said that the environmental package is given responsibility, and that the state has to take the bill for the investigation for which the state is responsible. There are several people here who have been concerned about what the Workers' Party will do with New Roads. I would just like to refer to our first two proposals, which say that we want an independent review and evaluation of the various reforms and the impact of reorganisations on the professional environments in the road sector. But so, trolls want the development of the railway, and they want the Clutches established.
ParlaMint-NO_2021-06-14.ana.ud492e3477	I could like to get mixed up in the thunder debate, to say it like that, considering what we're giving, and what we're not capable of. The only comment is that the sums of money that the county wanted to raise were unrealistic compared to their value in value. But what I want to use my post here until now is a little bit about the railway reform and the opposition, the red-greens, resistance to and scepticism of it. We get a little bit of different signals. The Labour Party is against all the directors who have been employed in these state companies, SV is against the fact that responsibility has been hacked up, while the Centre Party is talking about the need to go through the railway sector with a view to getting more clear responsibilities. But I guess that's exactly what you've done. Norwegian trains, who buy and hire trains, Entur, who sell train tickets on all sections of the train, Path NOR, have been given a complete traffic system at the disposal of the train companies, Track operation, which is to operate and maintain the country's railway system, and Mantena, which maintains the train sets. It's a clear responsibility. The companies know exactly what their territory is. Yes, it's become a lot of companies, but everyone's state, it's state ownership, and I've seen it so most people think it's very interesting to work in these companies. As far as operations are concerned, it was put off by competition, and it is perhaps in the debate that the red-greens are most annoyed that there are competitive train sections. But the employees received a business transfer. I was on the first trip with Go-Ahead, and they were at least in the fire and flame over how they had been received in the company, and what kind of employer policy they had. So I think you're exaggerating a little bit of the negativity around this. I think you get a lot for this money that's invested in the railway sector. And remember, we've tripled the investment in the railway sector in the last ten years. It's amazing. We've got a lot left, and not least, the number of passengers is increasing all the time.
ParlaMint-NO_2021-06-14.ana.ud492e3486	Of course, I could use my entire contribution now to criticise the government's transport policy, whether it is fragmentation of the railways, too low ambitions for racial protection or too poor efforts against social dumping in the transport sector. But I won't. First, I'm going to enjoy important projects in Hordaland that are moving towards realization. Vågsbotn – Klauvaneset north of Bergen was not part of the government’s proposal for NTP, but through the landfilling, there is a cross-political, clear signal to keep the pressure on the project. For one who grew up on the Haugaland, but lives in Bergen, it is also a pleasure that one now goes on with the ferry-free E39 Hordfast – not for me to spend shorter time home to mother and father, but for the holiday-free road between Stavanger and Bergen to strengthen and connect a region with an export-oriented business with enough people and jobs to be a real counterweight to the centralization we see today. Not least, K5 Bergen–Voss is inside with start-up in the first period of NTP, right with different start-up for road and track and with no planning at all, but we are now approaching start-up for the K5 project, which many of us have been working on for more than a decade. So I have to mention, as in the line change, that the Center Party wants to reduce the national road allocations in the Hordaland constituency during the NTP period. I don't think there are a lot of hordes of people who think that there's too much investment in our constituency, so the treatment of NTP in the Grand Duchy clearly shows that if you want a government shift, like half of them do, but don't want to cut the national road investments in Hordaland, you have to vote for the Workers' Party. Finally, a heart attack: I'm not in the Transport Committee, but I think it's a very bad thing that the opposition parties minus the Workers' Party are about to turn the treatment of an important big message into a political theater with the Progress Party at the head. Thus, one promotes hundreds of requests in a non-assigned big message, but on issues to be dealt with two or three more times by the Storing in propositions and budgets before they are realised. This is an effective way of undermining the entire planning tool of the national transport plan. It's also dishonest. The representatives give the impression that only today's request is supported, or tomorrow's, the project is in a box. They know it's wrong, lie, but the political theater is more important than a credible long-term infrastructure planning. It is approaching elections, but the voters deserve better than the proposal circle of individual parties, with the Progress Party at the head, being present in the Chamber today.
ParlaMint-NO_2021-06-14.ana.ud492e3510	The representative Bengt Fasterale has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2021-06-14.ana.ud492e3515	I just want briefly to say a little bit about what the Central Party will bet on in terms of rail in the Inland. The centre party will prioritize double tracks up to Hamar and a necessary upgrade of the Hamar station in order to ensure good enough frequency and capacity for freight and passenger traffic throughout the Oslo-Trondheim route, as well as to facilitate two trains per hour to Lillehammer and two trains every other hour between Oslo and Trondheim. An optimised extension with pass-by tracks and double-track sections Brumunddal-Moelv and Moelv-Lillehammer, as well as double-track up to and including Hamar station, including an upgrade of the track area, must start in the first period of NTP. The center part will add 1.5 billion. kr in the first period and SEK 9,5 billion. kr in the second period to finance these projects. In addition, continued investment in the Raumaban for tourism is important.
ParlaMint-NO_2021-06-14.ana.ud492e3526	We've almost passed seven hours, so maybe it's getting closer to the end -- but maybe I should never have said that, because then, according to previous speakers, there's two hours left here. Just like that, I think what I started with today is still standing. We have a fairly broad support for the overall framework of the national transport plan. At least it seems that the bulk of the population – then with the exception of the Advance Party – thinks about 1,200 billion. kr is a reasonable level to invest for the next twelve-year period. I also feel that there is a broad connection to the project portfolio and the main lines of the national transport plan. I have only recorded that SV will re-prioritize massively from road to track. This will partly be done by the Greens and Reds, as far as the Greens and Reds are concerned. At the same time, there is very little disagreement about an individual project, except for the Advance Party, which will clearly scrape the Moorax, and the Center Party, which will cut down on Hordfast. In addition, it appears to be relatively broad consensus related to the project portfolio located in the NTP. What follows the more traditional lines is the disagreement we have about reforms. I see that the railway reform is a rather united agreement, I had almost said, between the Workers' Party, the Centre Party and SV, that they want to reverse. I think that's a bad idea. I see that the Workers' Party is also spending money on saving little money to reverse the rail reform. That's what I think is relatively creative bookkeeping. In the case of New Roads, I am a little bit more surprised at some of the signals that have come. SV is clearly liberating in the sense that they will wind up the company. Not that I agree with them, but at least it's a clear signal. The central party must have greater political governance, what it must now involve in practice, while the Labour Party and the other two parties want to explore the future of the company more closely. At least it creates some uncertainty, as I see it, as to how these ambitions are. I also record that the intercity ambition has to be established. That's what the Workers' Party, the Center Party and SV say. If we look at NTP and what's being added, I'm going to register that the Workers' Party is adding 2 billion. kr. I challenged Sverre Myrli on that in the debate earlier today. It is not sufficient to make a specific increase in intercity in order to reach the level of ambition of the national transport plan for 2018-2029. What really lies in such a decision and such an ambition becomes very unclear as long as you don't fill up with money.
ParlaMint-NO_2021-06-14.ana.ud492e3541	First of all, thank the Minister for Transport for a solid, modern and predictable NTP. After the treatment in Stortinget, there have been some improvements, I'm going to get back to it. But the most important thing for me to say is that the Right will continue the great commitment to commerce and complete the important reform work we have started, which ensures that we get more traffic out of each crown. So we don't have allergies for new solutions, we see that they work. Transport investment is an important contribution to speeding up Norway, and it is important because of the path out of the pandemic, which will provide high activity in the transport sector and contribute to employment across the country. National transport plan is also good news for Buskerud. In NTP, the joint project Ringeriksbanen and E16 Högcastet-Hønefoss have been transferred from Bane NOR and the Statens vägvesen to Nye Vejer AS. This is a good and forward-looking solution. The Ringerix Railway is the largest railway project we have. When we came into government in 2013, this project had almost fallen asleep far inside a drawer for many, many years. Then the project speeded up. It will provide faster travel times and more frequent frequencies between Oslo and Bergen, strengthen the competitiveness of business between our two cities and not least strengthen the tourism industry in Hallingdal. I am also pleased that the initiative from Hallingdal Right on Road Package Hallingdal has received a positive comment, and not least that there must now also be a solution to Rv. 7 over the range. A good transport plan has improved in the treatment at Stortinget, for government parties have increased the frame by 5 billion. kr. In particular, measures to ensure freight transport and road safety have been given priority. I would like to mention Holmenbrua in the Drammen, former rv. 282, which is in a wretched condition, is mature for replacement and operates on dispensation. It is now fully financed by the state. It's going to be a safe and important bridge, as Drammen Hafen accepts almost 70 pst. of all cars entering the country. It's also electric cars – positive. Even in the 2020 crisis it was a major new car activity with a total of 89,882 unloaded cars. E134 Dagslett – Linnes finally got a solution. We also get a tunnel below Drøbak, which means we get a good path up to Kongsberg and further into Telemark. So thank you for a good plan.
ParlaMint-NO_2021-06-14.ana.ud492e3554	I have listened with interest to the whole debate today, and I must say that I am very surprised at all the proposals that are now being promoted. It is primarily the Progress Party, but that other opposition parties also throw themselves at that proposal bonus, I must say, am surprised. And from the pulpit it says that if you don't vote for that proposal from us, yes, one is against it and that project. I've heard the speakers of the Progress Party, it's amazing that it's possible to deliver such a message. So I would say, to my dear friends from different opposition parties: what if we get all the 372 proposals adopted – about the opposition is in line with each other's proposals? What kind of NTP did we get then? Had the matter been resolved then, because then we had only automatically realized all those proposals, all those projects? No, no, no. It's not an invasion! The progress party on one side, SV on the other – there is no common impact. And then one vote on each other's proposal. It's unprofessional. Then we will make the national transport plan an airlock that is impossible to realise, because there will be no commitments with the proposals that are being promoted now and that will be voted on tomorrow. We in the Workers' Party are too double tracks, both here and there, and we are in favour of electrification of the Røros Railway. We're for rv. 13 Week Mountain, rv. 15 The Stryn Mountain, rv. 4 Gjøvik–Oslo, E16 except the Payers – and I can continue. But that doesn't mean that we can vote for any proposal from all parties for that reason. I can't. Unfortunately, many in this Chamber are now involved in destroying the NTP as the good planning tool it may be, for it has been, once it has worked, an obligatory plan which has been a political responsibility to follow up financially in the annual budgets. It will not be if all possible proposals – 200, 300, 372 proposals – are adopted. Earlier today, someone said that there has been a party, that the debate could be compared to a party – yes, I do. The party lasts a long time, the atmosphere rises, everyone has ordered everything on the whole menu because one did not agree on what to order. Finally, the restaurant closes, and the bill is to be settled, but no one will pay. That is the reality if all possible proposals are adopted. The party of progress runs away from the bill when it comes, and then the others are left and have to argue and have completely different suggestions on how to cover the bill. It's regrettable, and it's unthinkable if NTP gets like that.
ParlaMint-NO_2021-06-14.ana.ud492e3565	The representative, Mr Olsen, has spoken twice earlier in the debate and is given the floor for a brief comment, limited to 1 minute.
ParlaMint-NO_2021-06-14.ana.ud492e3570	It was the representatives Søttar and Strifeldt from the Progress Party that made me take the floor again. They claim that the Labour Party operates with broken electoral promises when we do not vote in favour of all the proposals of the Advance Party and that we are only involved in comments and beautiful words. We don't have 400 billion. kr to absolutely all the good measures we could imagine, and as anyone might wish. Nor does it have the Progress Party. We have to be honest – this is Monopoly money, it is the Advance Party that trickles people. Not one of the projects into which all of these extras have been added is being built. The working party has a realistic and comprehensive plan for the NTP that is feasible. When I hear what the Progress Party says, I think they've been in government for seven years, haven't they learned anything there? No, by the way, they were in prison, and there's no economic training.
ParlaMint-NO_2021-06-14.ana.ud492e3577	I began today, like the representative Tybring-Gjedde, to see a demonstration outside the size of students from the Høyenhall school for the Mangleud tunnel. As mentioned earlier, I did not suggest it, but I wrote the proposal on the Manglerud Tunnel as far back as the City Council in Oslo in 1999. I was not selected yet, but the proposal was promoted that time, and we have been working systematically for the Manglerud Tunnel through Oslopack 3 in the following years. The representative, Igstad, has also been involved. For me, it is incomprehensible that the Workers' Party, SV and the Environmental Party of the Greens in Oslo are moving against the Mangleud Tunnel now. Despite the fact that there is a zero growth target in Oslo and the other big cities that we reach, Manglerud is the place in the city where we have planned for decades to increase traffic. It is planned to increase traffic by downgrading E18 and building up and channelling traffic on E6. Right in this area, the road splits a local environment. You now have traffic of over 75 000 cars a day, it's approaching 100 000, and it's going to be more in the years to come. So we need the Mangleud tunnel. We need it not just to put transport underground, we need it also to get a collective hub on Bryn, to get better cycling solutions and to improve public transport in that road system itself. But tolls are required to build. That's not what the Progress Party says, that just voting for a loose proposal is all right. You have to have it as a toll project, simply because we're going to do so much more in Oslo. And we're doing so much more. The fornebuban is now finally on. We also need to look at the Oslopack 3 funds – where other measures can be taken, whether it is downgrading Trondheimswegen, trams to Tonsenhagen or a new station at Breivoll. It's a discussion, and it has to go with Oslo. So we need the broad majority. Luckily, we have that here. I'm glad the government is behind the Manglerud Tunnel, but we need that majority together in Oslo to implement the project in the years to come. We have to be able to do that. There is also a railway operation in this NTP built up over many years. We get better frequency in the Oslo region towards the mid-2020s. In the end, I'm very happy that we also get an investigation on high-speed between Oslo and Trondheim, which allows us to finally see whether it's economics in the long run as well, while at the same time laying the groundwork for choosing correctly, among other things. when deciding on the Hamar Railway Station.
ParlaMint-NO_2021-06-14.ana.ud492e3590	The representative Siv Mossleth has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2021-06-14.ana.ud492e3595	Alta airport is operated on a derogation and the Senterpartie will be in advance to ensure that there will be no challenges at that aerodrome. The Short Range Network in North Norway is an arena for the development and testing of zero-emission aeroplanes. It fits very well. The Central Party believes that climate-neutral aviation should be developed on the basis of North Norway and the unique position of the Short-Range Network. When I heard the Labour Party representative Barth Eide tell about his visions on zero-emission aircraft after the visit to Onkøe in Bodø, I think it is weak that the Workers' Party does not support the proposal to get a case on this back to Stortinget and will vote for it. The representative, Barth Eide, thought the bet was a colombia egg. This does not come as a surprise to the Workers' Party, because there are comments on this under the Northern Region Communication. A clear message to people who want to fly climate-neutral on the short-haul network, like onions, and especially in the north, where there are no zero-emission alternatives: vote the centre party to the autumn!
ParlaMint-NO_2021-06-14.ana.ud492e3604	Transportation is more than the smell of new asphalt. Transport is good health through increased road safety, transport is jobs and industrial development, and transport is the possibility of living where one wants to. That's why I'm glad that, through good cross-political work, we've been able to raise the continent in this field for many years. The more disappointing it is to hear the Count from the Christian People's Party commenting. After a long time being a neglected part of the country, it is almost, according to Gruvan, that he and this government have been a transport policy savior for Agder. No, Gruvan, it is good cross-political work that has been the liberator of transport policy, and it should be enough to refer to the E18 Grimstad-Kristiansand, which opened in the middle of the Red-Green Government. But still we're not in the goal. Some of the sections remain rv. 9, E18 and E39. And even though state councils from the blue-blue government have said that a new four-field road will be completed in 2027, it can take forever to reach the goal, because the same government has decided that New Roads themselves will choose where to build new roads. Even the Progress Party has now discovered this. Åshild Bruun-Gundersen stated in Agderposten that she feared that new roads to New Roads could delay E18. But that is exactly what has been the idea of the Progress Party behind the company New Roads. I can't rise above the establishment of New Roads, but I'm most concerned that the roads we need are actually being built. However, when the Progress Party for Agder is concerned about how they have organized New Roads themselves, it also shows that New Roads is not a miracle remedy in Norwegian policy, but at the same time the need for one to actually fulfill the promises given. I initially pointed out that roads are more than the smell of asphalt; they are also the road to jobs and development. In Arendal and Agder we are faced with a huge effort at a battery plant that can provide 2,000 jobs, but that requires infrastructure around, like a new road to those jobs. The government had forgotten that in its proposal for NTP. That's why I'm proud that the Workers' Party has made sure to take a new route from the E18 to the Arendal port through the battery factory in the committee's work, and that a majority have joined this. The fact that the state, in cooperation with the municipality and county council, will now contribute to the deployment of the infrastructure around the battery plant in Arendal is a top-notch industrial policy. It also shows the Labour Party's forward-looking approach to facilitating jobs in the context of the green shift. I hope the voters have noticed that. In that case, it could pave the way for a change of government to the harvest.
ParlaMint-NO_2021-06-14.ana.ud492e3618	The representative Arne Nävra has spoken twice earlier in the debate and is given the floor for a brief comment, limited to 1 minute.
ParlaMint-NO_2021-06-14.ana.ud492e3623	I actually thought I had three minutes – then I have to talk a little quickly here. I would first like to thank the representative Johnsen for very nice words. That SV is despicable, and that we have coverage for budget and such, is nice to hear. If I'm going to sum up a little bit, there are clear dividing lines in the green sector, we can call it environmental issues, here in the hall, and they go pretty much between the Greens, SV and Reds on the one hand, and then there are the big parties on the other – then I'm going to take a little bit of a rough look. With regard to what we can call the postponement of tenders, privatisation, etc., it is clear that the red-green opposition stands together, shoulder to shoulder – also with the organisations suffering from this. So I want to say -- since this is one of my very last posts here in the Chamber in this period -- that I want to thank the President, and also the Presidency, for a very good meeting management. I have to say that it has been quite a stag to stand here in front of the mariners. It is the largest democratic pulpit we have here in the country. So I've been here with awe.
ParlaMint-NO_2021-06-14.ana.ud492e3636	Thanks – with the nice words, the representative got five more seconds. The representative Tor André Johnsen has spoken twice before and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2021-06-14.ana.ud492e3643	I'm also allowed some speaking time to boast of the presidency – it's always very good meeting management. But I have to continue with a colleague who I don't want to brag about, and that's Sverre Myrli. Now I think Swearer Myrli and the Workers' Party have to decide: are we leaving the bill, as it is said here, and which is of course completely wrong, or are we spending too much money and giving too much advice? First, we're criticized for almost wasting our money, spending a lot of money and spending 4 billion. kr extra, that it is completely unprofessional and all that has been repeated sometimes during the day. But now all of a sudden, Sweary Myrli says that we're running away from the bill. I would like to say: then we have not financed our NTP, then we have no coverage for what we have proposed – and that is completely wrong. We've actually done a clear priority. We have given priority to spending the money on investing in Norway. Instead of gambled with the tax money, as the Workers' Party and Sverre Myrli do to buy shares in New York and to handle them in Paris and London, we have chosen to build, for example, rv. 4 and other roads. We have also chosen to spend money building the country instead of symbol politics in the North Sea – only electrification is 50 billion. kr, longship 25 bn. kr. These are clear priorities. We're not going to run away from the bill, we're going to give it a different priority.
ParlaMint-NO_2021-06-14.ana.ud492e3650	I am very pleased to record that the Committee has taken on board the fact that technological developments in the transport sector should also help to resolve two issues that appear to be our main challenges. The only thing to do is to get a job for everyone – it's job number. One. We will be able to do this on the basis of the green shift, because we also have a climate challenge to address – that is our second main challenge. There are, of course, good and efficient roadways coming in here, where the minimum consumption of energy for the carrier is an important premise. The second is how we build our roads and our bridges. We see that the oil tax package has contributed to exactly what we were asking for – that the supply industry, in parallel with the supply of oil and gas, now shifts its focus to other products and structures, where we see lessons from the oil and gas sectors benefit the transport sector. Good crossover thinking. Aluminium has been used offshore since the 1980s. It's corrosion-resistant, it's produced with water power, and it can be recycled. The weight of the material also gives advantages, and when a now has the broken code for the use of aluminium in usage instructions, the road lies open to significant innovation and technology exports to other countries as well, and we can put in place an exhibition window for aluminium bridges here at home. The main innovation is Norsk Hydro ASA, Leirvik AS, SINTEF, NTNU and Olsen, which on the shoulders of the offshore competence one has built up over decades, now sees opportunities for switching steel with aluminium also in use. This will save the environment, create new green jobs and connect our country in the most sensible way. Hordfast can also be an exhibition window for our peak competence. I am very pleased with all those who have stood by to ensure that a good report, presented by the government, is now even better by bringing in other important projects for the West and the region, which will continue to be too much of the value creation of our country. Here I am thinking in particular of the Vågsbotn–Klauvaneset on the E39 and the Bachka–Solheim on the E134 – both projects that I am very pleased that there is now broad political support and that the Right and the other government parties have participated in securing into the NTP.
