ParlaMint-NO_2021-10-20.ana.ud207e37	The representative, Kristoffer Robin Haug, will present a proposal for a representative.
ParlaMint-NO_2021-10-20.ana.ud207e11267	I get enough orders on trips to pay the loan on the house. It was one of the taxi drivers that I put on this summer, who told me. For many, the optimism was about to come back to Norway after a long shutdown, but the taxi driver was still concerned. He grunted at the consequences of the uncontrolled taxi policy of the Right-Registration: fewer trips, less payment. Sometimes in politics, it's easy to see who wins on a case, and who loses on it. But here both the drivers, who are the workers, and the passengers, whether it's young people, older people or patients who need a safe offer, predictable, all day long, throughout the country. Maybe you ask anyway: can't everyone lose? Does anyone have to win because it's been pushed through? That's right. The big money that is going in and thus humiliating the flow of drivers' honest work are the ones that win. Now, when it's going to be the turn of ordinary people, it's not just a very good message. It is the working form of the Workers' Party-Centre-Registration, and it is possible for many individuals to gain security for both the economy and the family. The taxi drivers are therefore those who have received less work and less paid. If you can imagine that someone is implementing a change in the law that makes real estate agents get so few jobs and so little income that they are struggling to pay off the mortgage on their own home, then I know that the Right comes up here and responds. That's why we are reacting to what's happened to our taxi drivers, because now we're going to build justice, optimism, faith in the future and stability in this city as well. When the economy weakens, it also goes beyond the growing conditions of many kids, and we know that there are different and many urban areas in Oslo extra hard. So if the uncontrolled release in the taxi industry had continued, there would be a torpedo for increasing differences in Oslo. Not only are we going to use transport policy deliberately in the future to balance differences. We also need to create a modern way of thinking, so that we can achieve more societal goals at the same time as we invest in infrastructure. When taxpayers' money is invested in large projects, we need to build up under a forward-looking, environmentally friendly and employee-friendly construction industry, which gives us both higher value creation and lower emissions. And not least, we're going to demand that those who receive such assignments on behalf of all of us, of course, bring young people and apprentices to work so that we build confidence and skills for tomorrow's trade unionists. We believe that this is fair and reasonable, because this is the case here at Stortinget, we are not under-utilisation of narrow interests. We are ordinary people's most important tool for security and justice.
ParlaMint-NO_2021-10-20.ana.ud207e11285	The new government is taking over at a time when we can see that the economic crisis is behind us. There will still be some aftereffects that need to be addressed also in the coming years: long-term unemployment, children and young people who have lost valuable time in school and have learning gaps, and those who are struggling with mental health challenges. But there's now high activity in the economy. The arrows point in the right direction, and we're most likely on the way into a moderate economic recovery to next year. Norway has a good starting point for further migration. Norway is now less oil dependent and more competitive. When we were hit by the oil price drop in 2014, Norway lost about 80 000 jobs related to petroleum-oriented industries. Over a few years, more than 120 000 new jobs were created in other sectors of the private sector. It says something about how adaptable the Norwegian economy is, especially with close and good cooperation between employees and employers and many who invest and create new jobs. A few weeks after Norway was closed down in March 2020, we had over 400,000 unemployed and left out in Norway. Now the number of totally unemployed people is lower than it was before the crisis. Employment among residents in Norway is highest since 2012. There are still new messages from companies that lack labour. The common feature of major economic crises is increased exclusion and, more often, lower employment over time. Now we have the highest employment rate among residents in Norway since 2012. It gives us a very unique starting point to succeed in raising employment and getting more people to work. It's important for the individual, but it's also important for us as a society, because it's the workforce that creates values and is also the basis for future well-being. However, if we are to succeed in this, competence policy must be pursued and strengthened in the coming years. We've been getting a lot of work done over the last few years, with the possibility of combining daily money and education, professional letters at work, modular education, industry programmes in cooperation between the social partners. This provides a basis for those who are licensed or unemployed and those who are in employment to increase their skills and help companies to acquire the skills they need to continue and to make new investments. In the longer term, education policy is our most important tool. Over the past eight years, the number and proportion of high school graduates have increased from about 72 pst. for about 80 pst. It may be one of the most important results, especially in the field of education, from recent years. The fact that young people receive a diploma or further study is also the entrance ticket to the labour market. But there is also my concern, because when I read the Hurdal platform, there are no goals or ambitions for even more people to complete high school. On the other hand, the platform is very clear on what to reverse. You have to reverse what we know works: well-qualified teachers with professional depression. It is necessary to eliminate four-time requirements for access to teacher training, which has been an important tool for more people to complete their teacher training. It is also necessary to reverse the requirement for teachers to have depression in Norwegian, English and math, at least for those trained before 2014. We need a strong commitment to competence policy in the future. I can promise the new government that we will be constructive in the opposition, but we will also be clear in the areas where we see that the policy fails in practice. I'm concerned about the willingness to bet on what works in school, namely knowledge, quality and good teachers.
ParlaMint-NO_2021-10-20.ana.ud207e11304	Finally, the common people's turn. Congratulations on that. For the Progress Party, it is important that people decide whether they are ordinary or not, but that people have more control over their lives, and that politicians and bureaucrats have less power. We believe that well-being is best enhanced by making people decide more about their own income. Lower taxes include increased room for action and better well-being for families most across the country. The government statement tells us that the total tax burden should not be increased. However, we have already confirmed that the tax bill for most people is increasing. Fuzzy program formulations about fuel prices have been cleared up by our new climate minister, who has said that fuel prices will increase. So now sky-high fuel prices have to be made even higher, with tax increases that hit the hardest those who have the least, and that depend on the car in their everyday life. Many of them are families with children who are not closest to either kindergarten or school. If the government really believes that it is the turn of ordinary people, it should contribute to lower fuel prices and not vice versa. But I do not expect SV to agree with this in particular. There is a record level of electricity prices in many places in the country. This is done at the same time as the public receives extra large revenues from power exports and taxes. If the government is really concerned with the everyday lives of ordinary people, it must give priority to lower taxes rather than making it even richer at high electricity prices. Changes in housing support are too narrow, and therefore the Progress Party has made proposals to eliminate electricity taxes and VAT on electricity to Norwegian households out of the year. It will mean a lot to those who are struggling with high electricity costs. Ordinary people don't necessarily afford a new electric car, and battery operation is not a practical solution for everyone. The government will introduce partial electricity cars but will at the same time maintain the competitive advantage of the electric car. Then I fear that this will mean an even higher one-time charge on conventional cars. It will again hit most of those who have the lowest incomes, and restrict people's choices. Also, the government platform is not entirely free of a bit of worn-out ideological jaw paws that are to be whipped to blood. The government's announced fight against private initiatives and service providers just shows this, especially in the welfare field. Should the service no longer be assessed on the basis of objective criteria such as quality, price and satisfaction of users? As long as the form of the company gets its place in the shop, it's secondary to whether the service gets both more expensive and worse. The most important thing is that it happens in public. Accompanied by a business and industrial policy Norway has not seen the case since the 1960s, private initiatives should now increasingly have to give way to a more active state. Individuals should be deliberately deprived of their creativity and creativity by reducing the profitability of creating new products and developing new services in the private sector. Now it may seem that it is the turn of ordinary politicians to adopt the economic development of this country, not ordinary people and the market. It will challenge the welfare of the future. Let me, for example. refer to the nursery sector. If, over the last 18 years, there is one sector that has proved beneficial to the public's inability to provide alone a good and diverse range of services in the welfare field, it is precisely the nursery sector. We must pay homage to that and not smurf. Private offers as a complement to the public are a good and not a problem.
ParlaMint-NO_2021-10-20.ana.ud207e11319	In the election of the year, the voters showed clearly that they wanted a political change. They no longer wanted the bourgeois unfair policy we have had for eight years. They wanted a policy for ordinary people all over the country. Our policy is clear. We will create security in and for work, ensure a fair climate policy, strengthen welfare services, reduce differences and give children and families with poor advice more to walk with. Digitalisation, climate change and political conflicts characterise large parts of the world today. Many people experience insecurity and unforeseeability. Climate, political instability and persecution lead to people making out of flight, and children starve. The pandemic has shown that people exposed to serious illness need stronger communities in and between countries. And the pandemic is like a magnifying glass of the differences that exist, here at home and in the world too. This government will do something about it. At national and international level, we will work to get more people in work, a fair economic policy, good and well-functioning welfare services and a climate policy that many people are ending up with. There is a need for a policy that brings together and builds bridges. In Norway and other countries, we experience divisions between people and groups, that false news and conspiracy theories have taken place in political parties and governments. Ultranationalism and anti-globalism have been rooted. Often this policy is linked to a different policy of separation and exclusion, namely a policy that excludes Muslims, Jews, women, LHBTIs, refugees and disabled people. Norway shall be a clear vote against such a policy. Our foreign policy is based on justice, democracy and equality. Let me start at home, in the north. Nordic cooperation and Northern Region policy shall be re-examined. People-to-people cooperation through Barents cooperation and Arctic cooperation will be strengthened. It is to safeguard Norway’s interests in the north and is both forward-looking and absolutely necessary. The situation of women has become worse in several places in the world both because of an emerging conservative policy in many countries and as a result of the pandemic. Conservative policies threaten women's independence. They are made vulnerable by unfair, discriminatory and oppressive policies. Decisions on women's lives and situation are restricted. The right to abortion, to be responsible for family planning and prevention itself, and the right to become financially autonomous are threatened. Women are particularly affected by adverse consequences due to closures and movement restrictions. Violence against women has increased, and their financial autonomy has been set back many years. It's scary. Women in all countries are fully capable of making decisions about and in their own lives. I am pleased that the Hurdal platform is so clear that women's rights must be strengthened, not only at home, but also in foreign policy. The Hurdal Platform also states that our development policy should be anchored in the UN Sustainable Development Goals. We want to use 1 pst. of gross national income to achieve the objectives of social, economic and environmental sustainability. Tripartite cooperation underpins our international trade policy. We want to secure basic standards in trade agreements and base them on the ILO core conventions. The representative Erna Solberg expresses disappointment at our commitment to the marine environment. I think she has forgotten our current Prime Minister's statement at the National Labour Party meeting: ‘The next major international initiative to be taken by Norway is on the sea.’ Now the oatmeal is on the international agenda. Among other things, it was the theme of the meeting of the G7 Group, a meeting where Erna Solberg attended. We must build trust and democracy and show solidarity in our international policies. I invite Erna Solberg and the rest of Stortinget to broad solutions on our foreign and defence policy.
ParlaMint-NO_2021-10-20.ana.ud207e11343	We only have one planet, and it's not just an inheritance from our ancestors, but also a loan from our children. In this there is a commitment and a responsibility. This is when we have to reduce emissions and slow down dangerous climate change. It is now possible to contribute to social, economic and environmental sustainability in the world. That's when we have to act. Norway has a good starting point. Emissions are on their way down. We have world-leading technology environments, maybe the world's best skilled workers, adaptive and innovative enterprises, high trust and relatively small differences, and we have capital. It'll be all right. We're going through an enormous transformation as a society towards 2030 and 2050. If we play our cards right, it won't be the end of anything good, it'll be the start of something better. Norway needs to take advantage of the natural benefits we have, expand more renewable energy at sea, facilitate the upgrading of existing hydroelectric power plants and the gentle expansion of protected watercourses where it is compatible with the protection values, and we need to continue the development of the transmission network in Norway, so that the power to reach those who need it is at an acceptable price for both ordinary people, industry and business. We need to use the expertise we have in the offshore and shipping industries, actively in the green shift and contribute to the development of cost-effective solutions that can also be used by the rest of the world. We have industrial competence and natural conditions to deal with major new investments, and a lot is already happening: there are five large battery plants under planning in Norway. The world's largest floating offshore wind farm is under construction. Northern Europe’s largest biogas plant is located in Forest. In re-use, re-use and recycling, there is a high potential for new solutions, businesses and workplaces, and hydrogen is another strategic field of investment that has gained co-wind under the Solberg Government and where the basis is for a blue and green future. If we are to succeed in converting green technologies into profitable jobs, the state must take an active but not activistic role. Enova, Innovation Norway and Nysnø are important instruments. But we also need to pursue an industrial policy that makes it attractive to bet in and from Norway. What we don't need now is more taxes and a state that picks tomorrow's winners. The OECD has estimated that 4 200 billion must be invested by 2030. dollars in developing countries alone if the world is to meet the sustainability targets and the 2030 agenda. It says something about the enormous opportunities Norway and Norwegian companies have to develop technologies and environmental measures that not only reduce our own footprint in the world but that contribute to global development and emission reductions, and that must be the goal. We're going to cut emissions, not evolution, both here at home and globally. If we are to succeed, we must use the market in the service of the environment. The market is known as a wretched gentleman, but perhaps the most efficient server we have. We have to make sure that it pays to be environmentally friendly and that it costs to pollute, and it has to apply to all industries and to both ordinary and unusual people. When the green option gives black numbers on the bottom line, a snowball starts rolling that doesn't stop. A good and inspiring example is from the proud coal state of Kentucky. There they have a coal museum, and that museum gets energy from solar cells. When the head of the museum was asked if this was not a paradox, he replied affirmatively and added: but that was the cheapest thing. It will not be easy to achieve climate targets globally, nor will it be easy to achieve them in Norway. I am pleased that the government is following up the ambitious climate change target of the previous government by 2030 and that cooperation with the EU and annual emissions budgets by 2030 is firm. However, there is reason to worry that the Hurdal platform is clearer about the exemptions from climate action to be introduced, such as: in the CO 2 tax, than the new measures to be introduced to achieve the objectives. If there is one thing that is absolutely certain, it is that all the actors to implement the green shift in the next few years need predictability, predictability of what framework conditions will apply. It is only nine years until 2030, and it takes time to introduce new climate action. It takes, for example: for many years to realise full scale sea wind production, but the future refuses to wait. Therefore, it is urgent for the government to promote its new, alerted climate plan. Right-wing calls for proposals today that the government should come back with the plan by the end of February, and hopes for broad support in the UK. In just two weeks, the world’s country will meet at its 26th climate summit in Glasgow. It is referred to as the most important meeting since Paris in 2015. Norway should and must be a driver of global climate change work. The Solberg Government promoted a number of Norwegian positions in its draft State budget for 2022, among others. a doubling of Norway’s climate aid by 2025, a sharp escalation of climate adaptation funds and an climate investment fund of 10 billion. kr contributing to investments in renewable energy in developing countries. It is completely unclear whether the government is continuing the positions of the Solberg government. I assume that the Minister for Climate and Environment is anchoring the positions the government has been planning to promote in Glasgow, in a suitable way in Stortinget.
ParlaMint-NO_2021-10-20.ana.ud207e11365	The Hurdal platform shows a clear, new direction for the country. A main issue for the Labour Party-Center Party government that one hears in the debate today is to suppress increasing inequality in society – giving people back power over their own everyday lives. It's a reality and a problem that the state has retreated in the last eight years under the rule of the Right. It is a fact that the outgoing government has led a policy that increases the differences between people, both economically and geographically. There is no doubt: district policy must be strengthened and renewed. The policy of government, which so many people are talking about today, will lead to optimism and a threat to the future throughout the country. Our country is both large and long, and we have to exploit the possibilities that are in Norway. For example, in North Norway: We need a stronger policy to turn the population down to growth. The government has great ambitions for new programmes where a new approach to rural policy will be particularly important for the northern part of the country. We need a powerful rural policy that points forward, and we see that in the Hurdal Declaration. It is a terrible old-fashioned thing that one today has to sit in the car and run for hours to arrange simple things, services that one should either be able to solve digitally, or that one should be able to arrange through the local nearby service centre and service square, which the government has in its statement. The Labour Party is a party for both the city and the country. That's what we see from the platform. Here, it is also important to highlight the need to strengthen the territorial effort in the major cities and to smooth out the living conditions challenges. There are great ambitions for the local government sector. The Labour Party-Center Party policy should contribute to better quality of welfare, care and education – for teachers, nurses, health professionals and all those working in the municipal sector, which is a first line in our welfare services. At the same time, they have a very important role to play in the transition to the low-carbon society and in social housing. We will need to strengthen the Municipalities' toolbox and create new solutions, as the platform clearly points out. Mudassar Kapur from the Right, with whom I will probably discuss a lot in the future, may not have read the platform with the most positive glasses on, because one of the most important projects of this government is trust reform. During the entire previous ageing period, we worked in the Labour Party – quite nine-time, over several years – to pave the way for the reform of trust. Now we are going to implement it together with the social partners. The reform shall restore confidence, time and power to those who make up the first line and who are backboned in the welfare state, such as the teachers, the nurses, the police officers and the staff. We need to eliminate unnecessary, detailed and rigid requirements and target management that take time away from the societal mission that they actually have in the first line. Many added to our welfare services spend more time on paperwork, control procedures and reporting on the same information several times. Many are measured by so-called indicators that do not capture what really counts for service quality. For example, adding children’s and adolescents’ psychiatry tells them that they use as much as a quarter of the time to code and record and not to treat. It cannot continue, and there is a clear direction for the Workers' Party and the Centre's Party in the platform. The work on trust reform must now be under way, and it will be one of the most important projects for the renewal of the public sector and for better services for people.
ParlaMint-NO_2021-10-20.ana.ud207e11380	Norway is a slightly different country. Most countries may say this about themselves, but what's a little special about our country is that we've taken the whole country into use. It's bustet and value creation and activity in cities, towns and villages all over our country. A basic premise for this, and one reason for that, is that we have a fine masked transport network across the country, a service for the transport of cars, ferries, speedboat routes, rails, air traffic, trams and buses, and an increasingly digital communications network. We have developed efficient transport systems in the largest cities, but we also have an offer for those who live outside, both because people in the whole country are going to be connected to and be part of our community, and also because the value creation doesn't necessarily reflect the population. Many cities in our country have great value creation despite low population numbers. The transport system binds the country together. It is an indispensable part of everyday life for people and businesses, and for the Central Party, further development of this infrastructure is an important priority. The transport system in the future shall be more secure, more efficient and more environmentally friendly. The new government statement marks a shift in several areas of transport policy. The changes mean something to people's and businesses' everyday lives. Reduced flight prices on the short-haul network are important for the company owner on Helgelandskysten and for the student in Volda. Reduced ferry prices mean something to business along the coast of the Mediterranean and commuters in the fjords. Free ferry to those communities that have no alternative, ensures a chance to both bow and create values on the islands and in communities along our entire coast. A commitment to collective projects in and around our big cities takes advantage of the daily lives of the big cities. It is a transport policy for the whole country. The government also announces that access to high-speed Internet will be a straight line with stream, and that all households where there are people will have high-speed broadband by 2025. This point is incredibly important. Everyone should be able to participate in digital development. It opens up opportunities for people to choose more freely in our country, for more jobs to spread across the country, for new jobs to be created and existing jobs to be secured throughout our country. If the opposition doesn't get excited, at least I think a lot of the inhabitants and businesses around our country are getting excited. An election campaign gives many opportunities to meet with people. One that set the track was when I met young children's parents in Oldedalen who sent their kids along a raspy school road. They said, "Worst is it when we as parents look out of the window and ask each other if we dare send the kids on the school bus today." The work on ensuring the route is very important. I am very pleased that the government has announced an implementation plan to ensure the most tailored roads. Last, but not least: our transport system must also become more climate-friendly. Several charging points, more shore-side electricity in ports, bioenergy investment in transport, climate-friendly heavy traffic infrastructure, development of hydrogen solutions for maritime transport – there are important measures to reduce emissions from our transport sector. It is claimed from the opposition that the government statement does not create enthusiasm. Yes, I get to say as we sometimes say up in Nordfjord: Shall we bet?
ParlaMint-NO_2021-10-20.ana.ud207e11399	Since this is the first time I have spoken as a newly elected climate and environment minister, I would like to start by saying that I am looking forward to good cooperation with the Stortinget on what we in the Hurdal platform say is the most important challenge of our time. It's a huge task, it's a demanding task, and it's an exciting task, because it's going to be combined with creating good, fine life in the whole country, where everyone's going to go, in a way that makes us get out of the transition we're about to undergo, in a way that we can be proud of. That means that climate policy must deliver the cuts that are to be made in both the quota and non-quota sectors, and so we have very clear targets for that in the declaration. This means that climate policy must create new green jobs across the country, and that means that it is an imperative, even for climate policy itself, that it appears to be fair both geographically and socially, because if we do not have people with us, we will not succeed in this great generation challenge to which it has fallen upon us in our time to respond. Then I'm very proud that we're very clear that we're not just going to set targets, but we're also going to plan on how to achieve them, sector by sector, year by year, with clear climate emissions budgets. Yes, we have said nothing less than that the climate emissions budget, or the carbon budget, should be as governing the economy as the money budget, so that future budgetary conferences will be simply future carbon budget conferences, where we have the emissions we have left. We're going to do this in a way that builds new industries. I look forward very much to broad cooperation across the entire government and all sectors of society, with industry, with transport, with fish and agriculture, with energy supply – at all levels of society – to building climate partnerships, solid agreements between the state and the different industries and the different sectors of society on how to achieve these objectives, what the sector can contribute to itself, what the state must contribute, and what the overall leadership is, and how we achieve them. The representative Astrup asked about the coming climate summit in Glasgow. I would like to come back with more details about it, but I would like to say briefly that we are going to support the ambitious ambitions of the British Presidency, supported by the EU, the United States and a number of other leading countries, namely to keep the 1.5 degree target within reach. It's more than just words, and it's more than a number, because in recent years we've learned about the huge difference in outcomes if we land at 1.5 degrees or close to it, versus that we go over 2 degrees of heating. There's a huge difference, and it's important to keep up with the possibility of reaching the 1.5 degree point, that's to stop the heating within 1.5 degrees. There will be an important delivery from this meeting: to grab hold of it to succeed in it. Then we need to contribute to strengthening climate finance and to helping those countries that need help, both to prevent the climate crisis and to adapt to the climate change that is coming in any case. Thirdly, there is a shortage of important issues that deal with completing the rules books, the norms and principles that will govern climate policy from now on, in an even more important phase than the one we've had until now. It's really going to be a very important meeting. Then I want to remind you that we not only have a climate crisis, we also have a natural crisis. The natural crisis and the climate crisis are closely linked, they affect each other negatively, but they also have to be understood as two different things. In addition to bringing emissions down and moving to a more renewable economy, we need to make sure that we move into a more circular economy, that we end up with use-and-throwing and learn how to use resources again. It's also job cutting. It's actually so that there's a lot of good economy in making the economy more circular, more sustainable. Not only will it last longer, but it creates jobs throughout the country. This is an incredibly large and important agenda, and I hope for a very good cooperation on this. There's going to be different views on how much the market solves alone, how much the state will contribute, and how that interaction will appear, but I hope we can agree that the question is no longer whether we're going to achieve the climate goals, but how we're going to get there most quickly, most efficiently and in the most fair way.
ParlaMint-NO_2021-10-20.ana.ud207e11418	It's going to be line change.
ParlaMint-NO_2021-10-20.ana.ud207e11423	First, let me congratulate the Council of State on a new job. This is going to be a demanding and important task, and I hope you get your fellow state councillors with you on the big shift that we as society are now really going through by 2030. I asked in my post a question to the Council of State if the Council of State was going to maintain the positions promoted by the Solberg government against Glasgow, namely to double the climate aid towards 2025, to set up a climate investment fund of 10 billion. kr and increase the means of climate adaptation, to mention something. The Council of State represents a minority government, and he's going to go to Glasgow before the additional proposition from the government comes, so it's important that we in the Grand Council know what positions the Council of State is going to take to Glasgow, completely concretely.
ParlaMint-NO_2021-10-20.ana.ud207e11430	I thank you for the question. I would also like to say that I look forward to good cooperation on these issues in the years to come. As I mentioned in my article, contributions to climate finance are a very central part of Glasgow and will of course also be important to us. It can be done, among other things: in support of meeting climate change, e.g. start-up of more renewable energy. There, the Hurdal Platform has put particular emphasis on the main thrust of development policy, as well as in other support schemes, and similarly in relation to climate adaptation. So in terms of the exact positions, we've been sitting in the chair for five days. We're working with them, and I'm taking the challenge of getting back to Stortinget with details around it. But the questions that the representative Astrup mentions are just some of the most central questions for this meeting.
ParlaMint-NO_2021-10-20.ana.ud207e11438	Thanks for the answer. I look forward to further follow-up by the Council of State and wish him luck, of course, in Glasgow. So the Hurdal platform is clear on what goals apply to how much we're going to cut the emissions, and that's positive. At the same time, the platform is very clear on which exemptions from climate action should also be granted, but less clear on which new measures to be introduced to achieve the objectives that we agree on are ambitious and good. So the question is: what concrete measures does the Council of States see for itself to be put in place to strengthen the climate plan and to help us achieve the objectives by 2030? Can he mention two-three good examples that contribute to significant emission reductions?
ParlaMint-NO_2021-10-20.ana.ud207e11445	I can name a lot of people. An important principle is that the polluter should pay and that it must be more expensive to emit CO 2. That's why we want to increase the CO 2 price by 2030 up to NOK 2 000, like the climate plan we're dealing with, and that was a broad debate about here in ours. But then we also say that it should not only be more expensive to pollute, it should also be easier to let go, and the big community must contribute significantly more than the previous government provided, and make those choices really possible. For example, a forced development of low infrastructure across the country will make it easier for people to make the green choices that in practice contribute to the reduction of emissions. In the work we are now going to do with climate partnerships for different industries, we will, for example: look at how we can enforce the decarbonisation of the industry we already have. Here are the very exciting plans in the Norwegian process industry that we want to support, and then we're talking about emission cuts that are equivalent to quite a thousand years of meat-free Monday at the hospital, i.e. emission cuts as real monks.
ParlaMint-NO_2021-10-20.ana.ud207e11456	Let me then ask you a question about another important climate action: the ban on ant cultivation – it is a measure that can save us almost half a million tonnes by 2030. Is there a relevant measure to be assessed in the new, reinforced climate plan, with which the government will hopefully come forward by the end of February 2022?
ParlaMint-NO_2021-10-20.ana.ud207e11461	We stress that it is very important to also exploit nature's own ability to store carbon, and ants, wetlands, forests, etc. is a very central part of it. It makes little sense to build carbon capture plants if, at the same time, you undermine nature's own ability to win carbon. That's why I'm very happy that we got a majority here in this spring that made it clear that you can't give a series of exceptions without it being part of a whole plan that takes into account, among other things. both natural and carbon-binding values. So we're going to use nature's natural capacity for carbon storage, and we're going to set our own targets for how it can increase, as well as the targets we set for carbon conservation. Because we have to cut both greenhouse gas emissions and strengthen nature's ability to bind carbon itself.
ParlaMint-NO_2021-10-20.ana.ud207e11466	I would also like to take advantage of the opportunity to congratulate Barth Eide on the post of the Council of State. We will cooperate closely in the matter. We have a big challenge in Norway. We want a living community and agriculture throughout the country, but it's not consistent with the problem we have especially when it comes to the wolf and predatory problem in grazing priority areas. I myself have seats in predatory game subjects, and that's a big problem. The question is simply: does the new government intend to ensure that predators are able to deal with the predatory question, so that there are neither wolves nor other predators in the grazing priority areas of the country?
ParlaMint-NO_2021-10-20.ana.ud207e11473	The answer to that is yes. It is at least our ambition that we should ensure that we have a very clear management of the looting agreement that the Storting has entered into, and that there should be rapid and effective processes when the population exceeds it, but of course within the framework of the Nature Diversity Act and the Berne Convention. We think there's room for that. We will contribute to this through both administrative decisions and by other means, with that very purpose, in the case of particularly grazing priority areas. I believe that for many years this could have been handled with a more nominal hand in terms of reducing the level of conflict. Although it is a profitable hope, I hope to be able to contribute to a lower level of conflict around this, and then it is important that there is also respect for what the Storting has actually decided on, for example. target population and that they should be followed.
ParlaMint-NO_2021-10-20.ana.ud207e11478	I also need to take advantage of the opportunity to congratulate myself on a very important task. ‘Minister for Climate and Environment’ — finally, the word ‘protection’ appears in the title. Because there is no doubt that protection is also important in our time, not least when sea space is to be used. In recent times, I have met a number of representatives of the fishing industry and marine scientists who are seriously concerned that the last hotspots for oil and gas pipelines, TFO areas, have been added to areas that the Marine Research Institute now says are particularly valuable and vulnerable areas – in the middle of the most traditional and most important fishing fields west of the Moravian Banks, Activitieset and Egga Edge. Will the Council of State, as Minister for Climate and Environment, allow these fields to be allocated now in this 2021 round, with the knowledge that lies there? What kind of precautionary principle and knowledge will he require one to make the decisions?
ParlaMint-NO_2021-10-20.ana.ud207e11485	I believe that in Norwegian administration we have a high standard for good environmental assessments, and that this is something that is being practised and to be practised. I am not going here and now to go into the forthcoming individual decisions, but that this is important, there should be no doubt about it. Then I want to say – as a little general comment – that it is not always that protection, in the sense of ‘no use’, is the best way to take care of nature. Sometimes certain forms of sustainable use make such a difference. We're going to focus on managing nature in a sustainable way. Sometimes it means protecting special areas, but first and foremost it is that the administration itself is going to be sustainable. That is what I intend to contribute to, so that we take care of nature and help to maintain nature's ability to provide natural services to all of us. But we will also reap from it, exploit it and create jobs related to the long-term management of nature in Norway.
ParlaMint-NO_2021-10-20.ana.ud207e11492	I would also like to begin by congratulating the position of the Minister for Climate and Environment, who is responsible for the main and greatest task we are facing: a natural and climate crisis. I do not doubt the understanding of the seriousness of the situation in which we are, but when we read the platform, there are overall ambitions in the climate field, while many of the measures that Stortinget has already adopted are weakening: The requirement to sell only a zero-emission vehicle in 2025 has become a ‘fossil-free vehicle’. The previous mention of vans and heavy goods transport has been lost. For the target of 50 pst. reduction in transport is now only expected to reduce emissions within transport. And I can go on: within the nature field, it is such that forest protection is weakened, the stock targets for predators are weakened. Then my question becomes: do we now risk that even if the Council of State sees the big picture, you come to the Stortinget with matters that weaken policies already adopted?
ParlaMint-NO_2021-10-20.ana.ud207e11511	As I said in a previous answer, in terms of stock targets, they are to be investigated, and we come back to what that means. But with regard to the management of the stock targets that we already have, I say that it should be a clear and firm management, in line with exactly the agreement reached by the Stortinget, which limits the number of predators in Norway. I'm just repeating it here as well. In this context, I would also like to say that the answer is not always the word ‘protection’. It's actually important that we also look at how we manage. Sustainable governance is possible, and it's going to be a guiding principle in what we do. We're going to strengthen nature's ability to provide natural services to us, but we're going to do that in maybe other ways than what's been done in the past, and we're going to see what the whole thing is going to be. I believe that we not only have clear ambitions, but we have also said that we should have both a natural budget and an estimate of natural risk, which we also suggested when we were in opposition, and which include. The left voted against. That I think will help us to appreciate nature, price in terms of cost.
ParlaMint-NO_2021-10-20.ana.ud207e11520	At the same time, we need an international agreement on nature. The previous government placed Norway in the high ambition coalition, which talks about 30 pst. protection by 2030. There must be real protection in this. However, when we look at the situation in Norway: both in 2013, in the agreement that was concluded at the time, and in the two previous government platforms of the previous government, it is quite clear that the nature diversity law should remain in place. It's not mentioned in the platform right now. Then my question will be: will the Council of State insist that the Law on Nature Diversity is established and that we should follow the Berne Convention, or are we now at risk that proposals will be made that weaken the Law on Nature Diversity?
ParlaMint-NO_2021-10-20.ana.ud207e11530	I just have to repeat myself: the Natural Diversity Act is there and should of course be respected. We have international agreements, like the Berne Convention, and then we also have a robberies deal. We had a separate process on this in the last period to ensure that the objectives of the Nature Diversity Act are coordinated and reconciled with the objectives of the agreement. They think I'm going to be firm, but it's going to be clearly and clearly practised when we come to administrative issues that have to challenge this. There, I think, there's a big room to bring down the level of conflict and get the sense of what we call the two-part goal, both in those who are primarily concerned with predators, and in those who are concerned with grazing in pasture-priority areas. I think that's possible. I know it's demanding – I think the former State Council has tried Elvesuen on its own – but I think it should work.
