ParlaMint-NO_2021-06-02.ana.ud52e210	The representative, Mr Hemdal, will put forward a proposal for a representative.
ParlaMint-NO_2021-06-02.ana.ud52e5635	Industry 4.0 has opened a potential window for Norwegian industry that needs to be exploited to an even greater extent. Accelerating such a development is an absolute objective. Rather than setting up new tools, the government considers that strengthening existing and well-functioning tools and working for a better interaction between them will provide a faster and better effect. The government has a strong focus on the role of industry in the sustainable economy of the future. We have set up the Norwegian Catapult scheme to increase the investment capacity of new technologies and strengthen the skills of industry. Five catapult centres have been established so far and a follow-up evaluation of the cataple system has been launched which will reflect adjustments and further development of the scheme. The cluster programme also facilitates the development of skills technologies and production modes through cooperation in joint projects, and could also have effects beyond clusters when implementing the new mature cluster sub-programme. The Green Platform is set up to ensure simplified and comprehensive access to the business-oriented instrument and is well-suited to strengthen access to capital at an early stage of scaling and commercialising projects that can contribute to green migration. Cooperation between Innovation Norway, the Research Council, Siva and, to the extent, Enova in the Green Platform should be further developed rather than being complemented by a new overlapping instrument. The government started a comprehensive review of the industrial tool in 2018 and is now working to follow up the recommendations of the final report. Recently, Innovation Norway has been commissioned to develop a common first line for the instrument, including referral competence for the other instrument actors and a common digital input. A pilot is now working on that mission, and it will also help to facilitate simplified and comprehensive access to new and existing industrial instruments, in line with the proposal of the representatives. In the area of competence, good quality, coordination and making available of the various offers available are the most important, rather than the creation of even more new entities.
ParlaMint-NO_2021-06-02.ana.ud52e5650	It's going to be line change.
ParlaMint-NO_2021-06-02.ana.ud52e5655	When I read the Council's letter to the Committee, before we started the discussion itself, I thought that now the Council of State has finally understood what we mean, because she almost honoured the proposal. She mentioned it at least in glowing order, saying that it was absolutely a well-founded proposal, and a proposal that referred to an important theme. She further pointed out that there is a need for that kind of action in business. Then we're not against the Norwegian catapult or cluster program or the Green Platform, but we think we need to do even more to succeed in escalating the opportunities that are there, strengthening the competence and interaction between competence and digital autonomous solutions, etc. Why will the Council not set up a pilot programme for Industry 4.0 to gain experience?
ParlaMint-NO_2021-06-02.ana.ud52e5662	I think that is a good intention behind this proposal, and I am concerned that we are exploiting the opportunities that lie in this development, in a better way than today. We need to do more precisely because we need to make the industry succeed even better in digitisation, in order to exploit the opportunities that are there, and in order to take market shares and be competitive in a global market. I believe that we have a very good basis in the programmes of the instrument we have today. I'm concerned that instead of adding new things all the way, we have to take advantage of the space of action and the opportunities that lie in what we already have. I believe that the Green Platform is an excellent example of something that we have now established, which is a link between the actors in an entirely new way, and which can provide great opportunities for good projects for green conversion for industry.
ParlaMint-NO_2021-06-02.ana.ud52e5670	I would also like to stress that the instruments that I have already mentioned and that the Council of State has mentioned are good instruments for very many, but that is not enough. And that's what the industry very clearly brings up with us -- that it needs something more. It just needs a focus on lifelong learning, on the use of digitised solutions and on autonomous solutions in industry and to increase competence for that very thing. There are then limitations in the legislation and framework of the existing programmes. Therefore, it would have been a great strength if you could gain experience with the Industry 4.0 pilot proposed here. When the Council of State says that she will develop the picture in a slightly different way than just following such an industrial programme, and the other programmes that are already in place are not sufficient, how will the Council of State ensure that industry, for example, will. will Kongsberg initially be able to find its home in the arrangements established, with the need there?
ParlaMint-NO_2021-06-02.ana.ud52e5677	We are now facing a new period in many important EU programmes, which are important to industry and which work together with the instrument. We have Horizon Europe, and we have InvestEU. The green platform is one of the things that we've just started up. The call has just finished. Now the projects are being assessed. They shall be allocated to the future. It's too early to say now how well we have succeeded with this. That's exactly what's my point, that we have a wide and solid tool today. If there's something this review shows, it's too fragmented and too small. We're going to do more, we're going to have to get better all the way, and we're going to do that through the programs and the tools we have. The green platform is one example that we've just started up with. We haven't even reaped any experience from it.
ParlaMint-NO_2021-06-02.ana.ud52e5684	I think we have to admit that according to what the industry itself is saying and saying very clearly, there are insufficient tools or platforms to meet the digital revolution that is now going on in the industry, in a good enough way. A lack of competence and focus on the framework around it. I find it regrettable that the government and the Minister of Industry initially, with such a positive input to such a proposal, actually chooses to stand in a position where one is not in a position to realize it, reap the experiences that lie there, which I think would have been very useful. It's about strengthening skills, strengthening opportunities. We see that Germany, for example, has a much more offensive approach to Industry 4.0 and the revolution that is going on there than we have in Norway. My question remains: would it be unthinkable for one of the other instruments to establish what is initially sought, with such an industry 4.0 pilot?
ParlaMint-NO_2021-06-02.ana.ud52e5693	Much of the point with this pilot, as I understand the proposal from the Workers' Party, is to continue working on what already exists. In terms of education and skills, it is not up to the Stortinget to produce industry-oriented education programmes — it must be done at universities and at universities. This must be a cooperation between industry and universities and higher education institutions. With the Green Platform, as I have mentioned, we're going so far with that way of thinking, the way of connecting the different actors into one platform, so that one can meet projects that are completely in the start-up phase, in the commercialisation phase, and in all the stages between. I'm more concerned with looking at what we have now, how we have to organize ourselves in order to get even more power out of it and meet the demand that exists. But it has to happen out there, for example. at the universities.
ParlaMint-NO_2021-06-02.ana.ud52e5700	What has happened in this case at Kongsberg is that one has just joined the trade union movement, the management of the companies, the local council, the rapporteur, the university and the technical school. And why did one do that in that program up there? Well, because the instruments that are not appropriate. I have a lot of understanding of what the Council of State says, that you shouldn't fragment it any more. Well, then we'll take the council seriously. We have a system called Business Internal Training – 2 million. kr in the frame per holding, two years. Will the Council of State go in to change its legislation so that it becomes a larger framework so that more enterprises can use it to get to the very inside of the enterprise in consultation with e.g. universities and specialised schools?
ParlaMint-NO_2021-06-02.ana.ud52e5707	The question from the representative, Lundtigen, is now moving from being a systemic issue to becoming a question of budgetary increase. I agree that Business internal training is a very good measure. There are also other good measures both available and available to industry, linked to universities, which enable them to receive local training where they need them, in close cooperation. Until now, it has been managed by Diku in Bergen. There are different ways into this issue. But if the question from the representative is whether we should increase the scope of these different projects, it is a budgetary issue, which I do not take over here and now.
ParlaMint-NO_2021-06-02.ana.ud52e5712	It didn't go on budgetary issues. It was a piece of legislation. It was the internal training code, BIO, which is today a code that the county authorities practice. It is a piece of legislation that in practice does not work for larger farms, which we have at Kongsberg, or the Saugbruksföreningen in Halden. Those companies want to change the legislation, because it may be an appropriate scheme, but then an increase in the rate of 2 million will have to be made. kr for a larger amount. My specific question is: will the Council of State change that legislation, so that the amount is 2 million. kr will be increased?
ParlaMint-NO_2021-06-02.ana.ud52e5717	I think it is very positive that the representative addresses today's legislation, the opportunities that exist today, and will develop it instead of putting new programmes or projects on the table. I will by no means deny that it may be necessary to look at adjustments, adjustments or changes to the programmes that are seen as useful to industry and industry today.
ParlaMint-NO_2021-06-02.ana.ud52e5722	I noticed that the Council of State said that Industry 4.0 has opened a window, and that the way there is faster and better effect of strengthening existing instruments than establishing a new one. So said government councilor Norsk katapult, cluster programme, Innovation Norway, Research Council, SIVA, Enova and Green Platform and that Innovation Norway establishes a common first line – The Stortinget cannot establish educational programmes. I wonder if the Council of State doesn't follow what's going on out there, whether she hasn't got into what industrial pilot 4.0 at Kongsberg is, because there they build all the elements that the Council of State said, and also have their own industrial masters in cooperation with the university. But the tool doesn't talk, so you don't get the potential. Will the Council of State take another look at this?
ParlaMint-NO_2021-06-02.ana.ud52e5729	One of the things we've just done to connect the tool is the Green Platform. Innovation Norway, the Research Council, SIVA and subsequently Enova have formed a common platform, one way in which to realise large-scale projects, either at the beginning or entirely at the commercialisation stage. So this is exactly what we're working on, that's the connection of the tool, so it's going to be easier to use, but also in order to be able to realize larger and maybe different projects than what these actors individually could have done.
ParlaMint-NO_2021-06-02.ana.ud52e5734	The cord shift is over. The following speakers also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e5742	The Riksmekler's meeting book of the 2020 Competition Conference – The Industrial Agreement, between the Joint Confederation and the Norwegian Industry, states: ‘Requirements for specific aid to large industrial enterprises/clusters in conversion The parties to the tariffs are briefed on dialogue between the authorities and the Kongsberg industry on a pilot project for a lift of competence for this industrial cluster, and the parties endorse the intentions of this initiative.’ Note that it says ‘large industrial enterprises/clusters in conversion’. Our action packages don't hit the big industrial players. The green shift must be based on the competence that we already have, but now hundreds of people are allowed or cancelled on Kongsberg alone. Industrial environments lose competent labour force, including: as a result of the covid-19 pandemic and the oil price drop. Norway lags behind in the competition for industrial 4.0. Foreign owners consider moving jobs out of Norway on an ongoing basis. We're in a hurry to get hold of it. So one might ask, why did the parties to the Industry Agreement come forward exactly Kongsberg? Yes, because the pilot is about the conversion and development of industrial workplaces across the country. Kongsberg has close contact with and broad support from, among others. Here, Raufoss, Stord and Halden. The industry that sees the government councils, the government parties and the Progress Party clearly does not see – that the Kongsberg industry has the competence and experience to succeed in the transition to the future industry. The Council of State says that the proposal for a representative addresses an important issue and is well-founded, that industry 4.0 has opened a window of opportunity that needs to be exploited to a greater extent and that development needs to be accelerated. So the Council of State slams the window again, right in the face of the industrial environment that has the best prerequisites for putting the government's own goals into life. Governments see industrial pilot 4.0 as a new tool. It's a total short-circuit. This is the response of the Kongsberg industry to how we can get an existing, complex, fragmented instrument to play together in practice. It is the green platform in practice. And they've worked long and closely with the municipality, Nav, the parties and the education system in concreteising the pilot. It's completely pottery, it's made up of a lot of parts that depend on each other, but where the different elements sort under different parts of the tool, that don't talk to each other. Then there's no way out. Therefore, the active involvement of the government is needed, but the Council of State is not able to see, and it is quite perceptive that the Council of State is so little up-to-date on what is happening in industry.
ParlaMint-NO_2021-06-02.ana.ud52e5762	No more people have asked for the floor on case No. 16th@item: inlistbox
ParlaMint-NO_2021-06-02.ana.ud52e5779	At the request of the Business Committee, the President will organise the debate as follows: 3 minutes per party group and 3 minutes per government member. In addition, within the allocated speaking time, six rows of replies will be given after contributions from members of the Government, and those who have to sign up to the speaking list in addition to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e5786	The representative of Moxnes promotes four proposals concerning coronants, guidelines, employment effects, purchasing systems and zero-emission ferries. They are followed by similar proposals from representatives of the Workers' Party, the Centre Party and the SV. The proposals deal with a wide range of themes. When we read all the arguments put forward by the proposers, we see that the proposals are in a state of fear that Norwegian money can benefit suppliers in the EEA area. The proposers ask, inter alia: amending the Public Acquisitions Act to discriminate between Norwegian operators and EEA actors. Norway is one of the best countries in the Korona crisis. For many in the business world, there has been strong thank-you – yet the Norwegian economy has come out better than most other countries. This is due, inter alia, to: that we have had the opportunity to implement targeted actions, such as the compensation scheme, the compensation scheme and the loan guarantee scheme. I can assure the proposer that the money is used in line with Storting's intentions, and that there are already guidelines in place to manage these schemes. As a result, several of the proposals appear to be attempting to open completely open doors. Norwegian enterprises and employment have proven to be better than we feared a year ago. This is not only due to large transfers, but also to a very good ability to convert. We must praise the companies for that. The left is a strong supporter of the EEA Agreement and mutual European cooperation. The agreement confers considerable advantages on Norwegian industry; Norwegian companies have expanded their domestic market to almost the whole of Europe. The assumption that Norway will benefit from the agreement is that countries do not treat enterprises from their own countries differently from those from other countries. This is the basic principle in the EEA. I notice that the proposers from all the red-green parties want to rock by principle. I would strongly warn against that. If we change the law on public procurement as the proposer wants, it is a breach of the EEA Agreement. Such a change will therefore have a negative impact on employment and industry in Norway. This is the employment of red-green lots. The left considers the proposals to be a serious attempt to break the commitments we have under the EEA Agreement, and will advise against them. In May 2020, the government presented a yard package with a total value of 744 million. kr. The purpose was to give the paint industry more jobs to compete over. Most of the yard package went to Norwegian shipyards, a real upgrade of the Skjold class and the corvettes and an upgrade of the research vessel of the Marine Research Institute. The marine research institute also went to acquire a new ship, and it is true that the contract went to the Netherlands. If we read the letter from the Ministry of Industry in that matter, we see that the tender has made environmental requirements for emissions and energy consumption and for the use of environmentally friendly materials. Today’s procurement regulations provide good opportunities to impose stringent environmental requirements. Once the tenders had been received, it turned out that the Dutch yard was the best on price and quality. Yes, we have to accept that the shipping nation of the Netherlands can also build ships. The EEA Agreement operates in such a way that Norwegian yards have the same access to the EEA as we do in Norway. The EEA Agreement is important for Norwegian employment and Norwegian value added. Then we have to respect that the Dutch can also build ships that meet strict Norwegian requirements, and that that would be better for those who participated in the tender.
ParlaMint-NO_2021-06-02.ana.ud52e5797	Turning these proposals into a major debate on the EEA is, I think, extremely unwise. This is primarily about using the funds available to us — in a crisis situation, on the one hand — on sensible measures, employment and to support Norwegian business, Norwegian enterprises and Norwegian jobs. Point two: Are there devices in the aid schemes used by the Norwegian State on behalf of taxpayers today, through which it would be reasonable to think? Would you like to continue using it correctly? That's point two. And point three is the public acquisitions, how we decorate them. In the case of government acquisitions and what is clarified in this, I am amazed that public procurement generally increases activity and employment in Norway. That someone is fundamentally against it is completely incomprehensible – completely incomprehensible. And that they cover themselves behind an EEA agreement is also completely incomprehensible. That the Storting asks the Government to draw up guidelines for future allocations of aid schemes, subsidies, emergency packages and the like, which ensure that the appropriations increase activity and employment in Norway — is it not quite natural to make such demands when making exceptional arrangements for setting up the activity? It would be strange if Norwegian taxpayers and Norwegian aggregates were to spend money actively to support business in the Netherlands. It's not in line with the EEA Agreement or anything like that, it's just the wrong use of taxpayers' money in an extraordinary crisis situation. The fact that the Storting does not also stand up and agree that the Storing and the Government ensure that the resources allocated to crisis packages are used according to the Stortingen’s assumption that it will increase activity and employment in Norway is completely incomprehensible – that it is not laid as a basis and has it as a guide in the use of money. And then I'm going to pick up a couple more things. We have devices on some of our tools, e.g. through Enova. For example: supporting Norwegian maritime technology, so the money goes to the shipowner. The shipowner can take the money and build the boat and do all the technology in Romania or other countries. It doesn't matter, it's no claim, it's really free use of the money as long as they go for the purposes that have been said. However, building skills and opportunities in Norwegian business must be the main device. This must be the main interest of Norwegian politicians. But when I heard the case rapporteur argue here, I was a little frightened about the position that was taken on – in my opinion – obvious proposals that are in the position. And I'm promoting with this the proposals that the Workers' Party is part of.
ParlaMint-NO_2021-06-02.ana.ud52e5816	The representative of Terje Aasland then addressed the proposals he referred to.
ParlaMint-NO_2021-06-02.ana.ud52e5821	The Group of the European People's Party (Christian Democrats) and European Democrats is essentially committed to this proposal for a representative. Just as for commercial leakage, we are concerned about subsidy leakage. Of course, the funds provided by the Stortinget to support Norwegian businesses and Norwegian jobs in the context of crisis response should be used in Norway. Mostly, that is also the case. Unfortunately, we also have an example in the near past of over 100 million. kr was sent out of the country when the Marine Research Institute contracted a new research vessel. When the Progress Party was able to negotiate this into the revised national budget last summer, our intention was, of course, that this would create activity in Norwegian shipyards and, through this, create and secure jobs here at home. Marine research is certainly in use for a new ship, but that was not the main reason on our part, for our demand was the pressing situation that was in Norwegian maritime industry. Government parties state that this was almost inevitable — that it was not possible to draw up a tender document which made it possible to maximise the chances of the work being done in Norway. I just don't think that's right. For many years now – at least in the almost eight years I have been sitting on the Stortinget – we have spent huge sums of taxpayers' money creating a green maritime sector. It's money that's created an industry that's world-leading on new green solutions, along our coast. But these new green solutions were not much sought through the Marine Research Institute when they were going to build their ship, strangely enough. The Government Parties state that if the Public Acquisitions Act is amended in such a way as to favour Norwegian operators when awarding public contracts, this would be a breach of the EEA Agreement. It is a perfectly sunny strawman in this debate. No one has mentioned it. What most of us say is that the room for action in the existing EEA Agreement must be used, and that we should not be more Catholic than the pope, nor in the future. So I hope and believe that the government and government parties have learned from these rounds we have gone in the last few months, and hopefully the decisions made by the Stortinget – also in connection with the maritime notification – will help in this way.
ParlaMint-NO_2021-06-02.ana.ud52e5832	To the previous speaker's wish that the government party has learned: after hearing the case-speaker in this case, I do not believe that one has learned much, when one stands here and defends that the Storting has paid over a hundred million dollars to a vessel to the Marine Research Institute, as part of a package to secure activity and work in Norway, and then you can place this mission in Holland. It is not what is ‘Dutch disease’, but it is at least classical wood-shoe policy that the government is leading in this field. There is also argument about the EEA in this case, but it is a fact that very many of the ferries that we get built, which are going to contribute to both transporting people over the spring and letting them down, are being built in Turkey. It may not be the EEA Agreement which places a task in Turkey. There must be a lack of political will to place missions in Turkey, as we have seen in this matter. The central party supports the proposals made in the original Red proposal and supports the corresponding proposals in the option. I think it's important that we take this seriously, and I think it's important that we don't say good-bye to this, but it's basically about the government not understanding the value of securing jobs in Norway. Now, over the last few days, we've seen news that the border trade can now open. There's one out there pumping like a novelty, that this is good, that now we're going to move the workplaces out of the country, now the border trade can start, while 19-year-olds with football shoes are told that it's still pandemic. So there's something about the priority that the government is doing about these things, there's something about the lack of understanding that we, like the big business and the government, have to work to secure jobs in Norway, to ensure that when we spend money to solve different problems, we have to build skills, technology and development in Norway at the same time. We need to use it to create jobs - in Norway. Unfortunately, the government is missing, and I think that the debate has also appeared so far. But I hope that maybe this debate here can give hope for a new spring for those who want value creation and jobs in Norway.
ParlaMint-NO_2021-06-02.ana.ud52e5845	The representative of Geir Pollestad has taken up the proposal he referred to.
ParlaMint-NO_2021-06-02.ana.ud52e5850	The marine research institute's ship, which we've been inside for several rounds here, is actually a pretty illustrative thing. I thought it was a pretty bad thing. We have a paint industry that has great challenges, and so you can set up a supply in such a way that it doesn't go to the Norwegian yard industry at all. One might wonder what interests are out here and go here, but I actually don't think one of these has done a good enough job, because the option is starting to speculate in intentions that I really don't think exist in the Norwegian central government apparatus. We have had several rounds about this with purchases. When we had the previous round, with the amendment of the purchasing laws, there was a unanimous demand from the trade movement, business, the NHO, the industry – what could crawl and go – that now the state had to use the space for action that we actually have in the EEA legislation, much more offensive, for example. by imposing quality, seriousness and environmental requirements. In all of these things, the purchase arrows will point straight to Norwegian employment and Norwegian enterprises. For it is competitive in the areas of Norwegian enterprises. In the same way, a compensating high-end bets have to bets. There has also been a demand from the Storting, for several rounds, that when a bet is on bold solutions to the future, whether it is elves or what comes next, with zero emissions for speedboats, etc., and that will cost more in a transitional phase – then it will have to be compensated. When imposed by the State on that type of requirement, it must be compensated. The government doesn't want to do that either. But this leads to these offers, and that construction, disappearing to completely different types of countries and businesses than the Norwegian yard industry. The yard is one thing, but here buys one for 400 billion. kr per year in different public variants. And then we have all the state businesses as well. About state corporations: Equinor has been criticised by a whole supply industry – very often in the back room, choose to notice – because Equinor is far from using actors in Norway but goes abroad. And it weakens the supply industry in Norway, which is going to build a lot of new industries in the future. So SV also supports the two suggestions that come from Red, as well as the ones that we're in. I can report that. Because I think this is an open case. We see in other countries that they do exactly the same thing. We recently had a meeting with Equinor. They said that the Germans, Dutch and British do exactly the same thing: they make sure that investment comes to their business. They're using this as a turning point to develop their business, and so must Norway.
ParlaMint-NO_2021-06-02.ana.ud52e5861	The coronary apathy is not only a health crisis, it has also become a disparate crisis. Where the virus hits more or less randomly, the inequality strikes crooked and brutally, also as a direct consequence of the government's own policies. While ordinary people fight hard against the system to get what they need, the millions roll into the accounts of hotel kings like Petter Stordalen, without any conditions. Then less of the crisis money is spent on what they were meant to, namely, preserving, securing or creating new jobs, and so the government also makes the unemployment crisis bigger than it would have had to be through the coronary apathy. One clear example of this is the ocean research boat – The Stortinget granted last year 110 million. kr to build a new marine research vessel. This was an action for increased activity and employment, to get people back to work. So the assignment went to a yard in the Netherlands, even though Fitjar Mechanical made a qualified tender. This is industrial policy in reverse countries. Also the world’s largest river fern, ‘Bastø Electric’ at the Moss-Horten link, went abroad – to Turkey – not to Norwegian shipyards. When the minister was confronted with the fact that money intended for the Norwegian shipyard industry ended up in the Netherlands, the Minister for Fisheries replied that there were restrictions related to the tendering rules in the EEA Agreement. So we saw that both business neutrality and EU loyalty thwarted the whole objective of funding, namely to secure Norwegian jobs. Since then, other actors have said that it would have been possible to ensure that the boat was built in Norway, also under EEA legislation, and perhaps we do not know exactly where the limits of this are. But with our proposal – if adopted – we are going to explore the so-called scope of action in the EEA Agreement at this point. Then it is uplifting that the Red-Greens, and in particular the Workers' Party, support our proposal. We can then get a clear answer: We can either use Norwegian emergency money to create activity in a crisis-capped Norwegian shipyard industry, or powerlessness in the EU is preventing us. In that case, there will be another stone to the burden that the EEA Agreement is for our ability to pursue an independent and forward-looking industrial policy. Red will revive the active industrial policy to ensure jobs and value creation in Norway, and a good start is that public support schemes benefit Norwegian industry, not the Netherlands and not Turkey. I'll take up Red's suggestion.
ParlaMint-NO_2021-06-02.ana.ud52e5877	The representative Bears Moxnes has taken up the suggestions he referred to.
ParlaMint-NO_2021-06-02.ana.ud52e5882	I really didn't intend to take the floor in this debate, but when I sit and listen to the rhetoric, I can't stop. Now the opposition almost sounds like we're just having a government shift here in the country, one has to make sure that every mission goes to the Norwegian yard. Then I want to remind the opposition that in 2013 Skipsrevyen went to a debate – at least they tried to do it – after Statoil placed a big order at Samsung Heavy Industries in South Korea in 2012 about the FSU for the Heidrun field. It was a 230-million contract. US dollars that then went to a yard in Korea, and not to a Norwegian yard, while the red-greens had government power. And in February 2013, it was announced that the Norwegian oil company, which was an operator in the Ivar Aasen field, chose SMEE in Singapore for a top-page contract for a value of approx. 4 B.C.E. Norwegian kroner, which were not located at Norwegian shipyards. So let's take this debate down, and let's remember that it's not possible to decide that a Norwegian yard will win a bid. It also has to do with Norwegian wage, price and cost levels.
ParlaMint-NO_2021-06-02.ana.ud52e5891	The fall in economic activity here at home under the pandemic has been less than in many other countries. This is due, inter alia, to: Measures aimed at Norwegian business, e.g. the compensation scheme, the compensation scheme, funds through the municipalities and the loan guarantee scheme. Together, along with good adaptability, this has led many companies to become better off than we could fear. The internal market is our most important market. Under the EEA Agreement, Norwegian enterprises have an enlarged domestic market and the condition for its functioning is that they do not treat enterprises from their own countries other than those from other EEA countries. When Norwegian enterprises access a large market, it contributes to ensuring activity, and it contributes to ensuring profitable jobs in Norway. The competition that Norwegian companies face from abroad makes them stronger, more efficient, more competitive, and that competition takes place at home, it takes place outside, and it contributes to increased productivity in our economy. It is important for the value creation in Norway and is an important part of the basis for what should be our future welfare. If we prevent international competition, we will also be able to reduce the well-being of Norway in the long term. The procurement rules shall promote efficient public acquisitions with the highest possible level of needs and quality at the lowest possible price. There is an action room in the legislation, and even today there is comprehensive guidance. DFØ, which is the government’s specialised body for public acquisitions, has guidance activities aimed at all contracting authorities, including counties and municipalities. Enterprises themselves know best about business and the markets in which they operate. The task of the authorities is to facilitate good framework conditions for maximum overall value creation in the Norwegian economy within a sustainable framework. If we dictate too much how business is going to run its business, we're likely to dampen the activity rather than increase it. We have to give business as much room for action as possible to get through the last part of the crisis.
ParlaMint-NO_2021-06-02.ana.ud52e5906	It's going to be line change.
ParlaMint-NO_2021-06-02.ana.ud52e5911	Once again, we hear that the EEA Agreement is being pushed ahead, as a barricade, in relation to part of the proposals that are being addressed in this matter. I would like to ask the Council of State: in the case of proposals No. 1-3 in the vote – I assume that the Council of State is well aware of the vote – I would like to ask if there are some of the proposals that are contrary to EEA law, and in what way, in that case.
ParlaMint-NO_2021-06-02.ana.ud52e5916	It is not without reason that the EEA Agreement is included here, because the EEA Agreement is what ensures us access to what is an enormously large and important market for us. It is clear that excluding other countries' businesses from participating in public competitions could go across the EEA Agreement. When an acquisition made by the Marine Research Institute is used as an example by several large-scale representatives, it is precisely based on: Where are the EEA regulatory boundaries? It's a room for action, and it's a complicated piece of legislation. Therefore, we also have guidance related to that space of action, but we can only extend it until we are in breach of the EEA Agreement. We should also bear in mind – as was also said from the pulpit – that most of the crisis packages given are given to Norwegian companies operating here.
ParlaMint-NO_2021-06-02.ana.ud52e5925	It is difficult to understand how far an EEA Agreement extends when shown with hands and not by reference to proposals. I ask again, because it is quite essential: the proposals No. 1-3 is about setting up the use of emergency money and public acquisitions in Norway. It's not a square that we want, but it's a constant emphasis on the desire for increased activity and employment. So I ask again, and hope for a slightly clearer and clearer answer and a clarification: Is there anything in the proposals No. 1-3 which contravene the provisions of the EEA Agreement?
ParlaMint-NO_2021-06-02.ana.ud52e5930	If we look at the proposals No. 1-3 in the context of the position and in the context of what is said here, it is absolutely possible that some of this would conflict with the EEA Agreement. Specific examples are used, for example: that acquisition of the marine research institute. Of course we have to see things in context. I have responded to the proposal, it has been discussed here in Stortinget, and I have kept my post. It's a space for action, but that space for action is what it is, and then it might run counter to the EEA Agreement if we go too far in that respect. One thing is that we are in breach of the EEA Agreement, but the problem is that it will eventually weaken Norwegian business. It is our greatest advantage that we have access to that market, and if it is to work, the same rules must apply to everyone.
ParlaMint-NO_2021-06-02.ana.ud52e5935	I can also contribute to stressing the importance of the EEA Agreement for Norwegian business. It's not about that. In concrete terms, I ask that the three proposals which have been promoted and which are being voted down are contrary to the EEA Agreement and the space for action which is in connection with the EEA Agreement? It must be possible to answer yes or no to it and not answer a lot of cotton about what is written in total and not. I ask you, is there anything wrong with the Storting being able to adopt the proposals No. 1, 2 and 3, as provided for in the legislation of the EEA Agreement? It must be very easy to answer that.
ParlaMint-NO_2021-06-02.ana.ud52e5940	It says, for example. in proposal No 1:@item: inlistbox Adjective, language ‘The government is asked to ensure that the resources allocated to crisis-packaging are used in accordance with the Stortingen’s assumption that it will increase activity and employment in Norway.’ This must mean that there is enough room for public acquisitions, such as: the acquisition by the Institute of Marine Research of holdings not held in Norway; However, if the representative considers that this means that all public acquisitions are to be allocated to Norwegian enterprises, that it is to be entered in the tenders, it would be contrary to the EEA Agreement. So here it's really a little uncertain what the representative and the proposers think, if they don't think this is in the border country in relation to the EEA Agreement. Do they just mean that we're going to continue as today, but that they're still going to criticise public tenders that might go to other countries?
ParlaMint-NO_2021-06-02.ana.ud52e5950	The rug here is that the Stortinge granted 110 million. kr under the item ‘Actions for increased activity and employment – get people back to work’. It was a good measure, a good purpose to get a new marine research vessel. So the assignment did not go to any Norwegian shipyard, not Norwegian workers, but it ended up in the Netherlands instead. It might not have been quite in line with what was the Storting's prerequisite for this allocation. Then Red has a proposal that we want to explore the scope of action in the EEA Agreement in order to ensure, as is happening in most other EU countries, that this type of means of crisis goes for the purpose of ensuring employment, value creation and jobs in the country from which the money is granted. Why does the government disagree with proposals that are about exploring that space of action?
ParlaMint-NO_2021-06-02.ana.ud52e5960	So the size and government have provided crisis packages for billions of dollars, and most of the money has gone to companies based here in Norway, to jobs that are here in Norway. We can use the space of action that is, even in the case of acquisitions. Take ships as an example: we can use Norwegian as a language. We can charge in Norwegian kroner to ease the currency risk on the provider. We can demand delivery locally. We can take a number of different steps to facilitate Norwegian shipyards to win a competition, but we can still risk losing the best offer to a foreign yard. It is precisely that – the basic thing that more people should be able to do for a public acquisition – is an important part of the system that we are part of.
ParlaMint-NO_2021-06-02.ana.ud52e5967	In the coming years, there will be a large-scale replacement of all our ferries and also of the speedboats, and they will be converted into zero-emission ferries and zero-emission speedboats. It is good for the climate, and it can also be a new industrial venture for our yards and secure jobs and value creation along our coast. Then there is a proposal in the suspension, one that Red also promotes, that the Storting asks the government to ensure safe guidelines and other instruments that county municipalities can use to ensure increased activity in Norway when moving to zero-emission fastboats and zero-emission ferries. It is therefore important to ensure guidelines and other instruments. This is common sense. It's about ensuring that we get value creation in Norway through a transition to zero-emission fast boats and ferries. Why are the Councils against these proposals?
ParlaMint-NO_2021-06-02.ana.ud52e5976	What I think is common sense is free trade. It is the EEA Agreement. It's giving our businesses access on a large domestic market. That's what ensures us in the long run, that's what increases value creation, and that ensures the well-being of this country. So it's like a lot of work is done on this already. We have DFØ, which guides public actors to tender. We have dealt with a maritime message, where there was a proposal in Stortingen to establish a separate competence unit for public acquisitions, which we are now working on following up. So here's a piece of legislation that we think is important to deal with. It's clear there's room for action within it, but there's also guidance here. The public service responsible for the submission of tenders must itself assess the criteria to be used in order to obtain the best possible offer.
ParlaMint-NO_2021-06-02.ana.ud52e5983	It's okay to believe in free trade. It's okay enough to have ideological skyscrapers, but if they're welded so tightly into the mind that you can't detect common sense, then we have a problem. When government appropriations to secure employment in Norway and activity in Norwegian soils end up in the Netherlands, even a Left State Council should see that belief in free trade may be in the way of common sense. I want to repeat my question. So in the coming years, we're going to replace the whole ferry and our fast boat fleet with a zero-emission vessel. So this can provide a lot of jobs along our coast, and we want to ask the government for safe guidelines and other tools that county municipalities can use to ensure that missions are just going to Norwegian yards, even if the council believes almost religiously in free trade. Why reject such a proposal?
