ParlaMint-NO_2011-11-25.ana.ud135e39	The representative, Frank Bakke-Jensen, will present a proposal for a representative.
ParlaMint-NO_2011-11-25.ana.ud135e947	Thanks for recording for the debate and discussion. It's easy to have a debate on everything, and it wasn't supposed to be a debate on everything, because the point on our part was simply to point out that if it's that way that more people are being dissatisfied with the system, you also have to look at how the people who work in the system are doing it. In that case, it is actually relevant with e.g. sick leave in the Nav system. But I want to try to concentrate on some of the concrete things that can be done with, now toward the end. I just have to mention something that I think is very strange. Is it to point out that Nav has a lot of sick leave, which is talking down the welfare community? Is it to point out that Nav is going to meet people with respect, who are talking down the welfare community? I have some problems understanding where that claim came from. But it might be like that if you don't write posts based on what's being said, but you just get them from Youngstorget somehow. I think the representative Reiertsen said it very well, that there are some measures you can do for free. The entire Committee agrees that ICT bets must be made, for example: – it's important. It's not free. But what it's possible to do something about, for free, is how Nav meets people. Then there are two questions I have asked myself during this debate. One is: does Nav have a clear enough internal routine to clarify for users what Nav is responsible for, and what Nav is not responsible for? I think it's good when, for example. The Nav director is out and says, through Dagsrevyen, that Nav cannot take responsibility for everything. I think almost everyone, including Nav's users, will agree with that. But does Nav have clear procedures on the internal, just so that users know what they can expect, but also what they can't expect? The second point is – and I think it’s very serious – that there are fewer users now who think they’re being met with respect, or at least there’s worse in respect than it was in 2008. I don't think it has anything to do with the media. Without my suggesting it, it is such that some service companies, for example, has service posters. They train their employees to meet customers with respect. There is no reason to be met with more respect when you are going to buy bread or washing machine than when you come to the public and are going to apply for money for a living. The second is, do you have a good enough course? Is it that those who actually sit there and meet the users of the Nav system have training in meeting people? Or is it that they don't have it? Do you have enough management training done? Is it a clear goal for leaders around the Nav system not only to deliver other results, but also to provide users who are there with their offer and to feel that they are meeting with a very fundamental respect? It may cost a little bit to print out a service poster, but the very large cost to Nav I don't think it is. All in all, this is probably what the representative, Mr Reiertsen, said, is free of charge. Then I'll just finally mention the Nav agent, but it'll probably come back to the council.
ParlaMint-NO_2011-11-25.ana.ud135e964	The representative of the Red Isaac started by saying that this is a broad debate, and I really must say that. The point is – and we should be aware of that – that what we are discussing here is the whole of Velferds-Norway. Nav is the whole Velferds-Norway. In that sense, it's actually a very inappropriate forum to discuss such an important matter. We see that the representative goes from discussing everything, the whole model, to discussing posters at the Nav office. It's very difficult for me to go into that debate in three minutes, because it's a very important debate. It's an incredible range. We just have to agree, I think – at least here – that this is a proper reform. So I think we're going to agree that the expert group I put down, and that looked at this when I started as the state council in 2010, said this is a proper reform, and that's what you're doing right now. And then they said, don't mess with this right now. Nav needs peace, but they also need good work. I am very pleased that some representatives have been very clear on this. So I'm very concerned that it doesn't have to be a sleep cushion, because it's very easy to say that there's been a lot of problems, big challenges, and that's why we have to take things step by step. It shouldn't be like that. We must always be careful that I and the government and the Storting have the pressure that Nav is going to get better all the time. Nav is doing a lot of good, and I'm very happy to hear those who have said this. I am very happy to hear from those who have also said that we need to look at the conditions of those who work there. I believe that very many people in Nav are doing an incredibly important job, and I think it's important that we also talk it out, because Nav is made up of employees. You are also very concerned that meeting with respect is also about how you look at yourself. That's why I'm a little worried about the way some representatives have now talked about user studies. User surveys are essential for us to always meet users in the very best way, but we have to make sure that we keep talking in a way that makes the right expectations of Nav, but not least of the users, and not least of the Nav employees. We really have a very responsibility for how we talk about these things, because it has some effects in the systems besides what we might say here in the hall. In the end, ombudsman: I have registered that many have been concerned about it. The reason I haven't commented on it until now in my final post is not that I don't want to comment on it, but that I have had to comment on everything, from the whole structure to posters in the offices. Then the ombudsman comes as a ‘grand finale’, so to speak. The point is that I'm basically concerned with the legal security of Nav users, just as much as the others here in the hall are. There's really not so many people here right now, but there's a lot of people who listen to me, I'm counting on. We just have to keep discussing how we do it in the best possible way. Ombudsman is one variant. I have been personally engaged and thought that the representative had been a proper variant. I have not yet concluded on that question. I'm very concerned that we have a competence problem in Nav in getting the good people. It has not been given that building up an ombudsman function will be good. It's possible that there's a way to take our resources. Perhaps there are other existing schemes that are better. But I promise that I will very soon come back with a conclusion on this which will ensure the legal certainty of the users in the very best way possible.
ParlaMint-NO_2011-11-25.ana.ud135e981	Case No. So 3 is done.
ParlaMint-NO_2011-11-25.ana.ud135e987	The size should then vote on the matters on today's map.
ParlaMint-NO_2011-11-25.ana.ud135e995	A total of eight proposals have been put forward during the debate. It's the proposals No 1 and 2, by Tord Lien on behalf of the Advancement Party, the Right, the Christian People's Party and the Left Proposals No. 3-7, by Henning Warloe on behalf of the Right, Christian People's Party and Left proposal No. 8, from Henning Warloe on behalf of the Right First of all, there is a vote on proposal No. 8 from the right. The proposal reads as follows: «The government is asked to incorporate commercialisation as part of the award criteria for research funding in the university and higher education sectors.»
ParlaMint-NO_2011-11-25.ana.ud135e1022	It looked at the proposals No. 3-7, from the Right, Christian People's Party and the Left. Proposal No. 3 sounds: ‘The Government is asked to submit a plan for the Storting to strengthen the FORNY 2020 programme.’» Proposal No. 4 sounds: «The government is asked to introduce a direct deductibility scheme for R & D investment.» Proposal No. 5 sounds: ‘The Government asks the Government to submit a case to the Storting for strengthening the Tax Fund, by raising the maximum amount of intra-corporate and external support, and by removing the hourly ceiling and extending the Tax Fund scheme to innovation activities.’;» Proposal No. 6 sounds: ‘The Government asks the Government to extend the gift-enhancing scheme for research to commercialisation activities.’ Proposal No. 7 sounds: ‘The Government asks the Government to assess a strengthening of the BIA programme [[User-controlled innovation arena]]
ParlaMint-NO_2011-11-25.ana.ud135e1063	Alternatively, between the Committee's position and the proposals No. 1 and 2, from the Party of Prosperity, from the Right Party, from the Christian Party, and from the Left. Proposal No. 1 sounds: ‘The government asks the Government to submit a strategy for the Storting on how to strengthen incentives for commercialisation of research results and how the instrument can contribute to this.’ Proposal No. 2 sounds: ‘The government is asking for an overview of the commercialisation of research results to be provided in the annual editions of the Research Barometer.’
ParlaMint-NO_2011-11-25.ana.ud135e1090	During the debate, Mr Giltun put forward a proposal on behalf of the Advance Party, the Right and the Christian People's Party. The proposal reads as follows: ‘The government is asked to amend the regulatory code for the allocation of Group 2 cars in order to allow persons who fulfil the original condition adopted by the Stortinget in 2003 to have permanent mobility difficulties and a real transport need for Group 2 cars to be entitled to car benefits in this group.’ Alternatively, this proposal shall be rejected and the Committee shall be set up.
ParlaMint-NO_2011-11-25.ana.ud135e1103	The President noted that the proposal for a decision contained in the opinion stated ‘prepared’, whereas it should be ‘improved’. It's not necessarily the same thing.
ParlaMint-NO_2011-11-25.ana.ud135e1116	In Case No. No voting theme is available.
ParlaMint-NO_2011-11-25.ana.ud135e1156	Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure? - The meeting's been cancelled.
