ParlaMint-NO_2011-01-19.ana.ud2356e26	The representative, Dagrun Eriksen, will present a proposal for a representative.
ParlaMint-NO_2011-01-19.ana.ud2356e1223	Question 10 has been answered earlier.
ParlaMint-NO_2011-01-19.ana.ud2356e1248	The questions are postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2011-01-19.ana.ud2356e1255	I have the following questions for the Minister of Research and Higher Education: «Many travel abroad to study medicine. Some of these want to complete the studies here at home for different reasons. Feedbacks show that these meet a system that is not responding. The answer is that there are no free places to enter, for example: 3rd or 4th year, even though we know that students leave the studies along the way. The required competence is not completed and resource people become clients. Will the Council of State engage in dialogue with universities in order to establish a system for filling up vacancies?’
ParlaMint-NO_2011-01-19.ana.ud2356e1264	My starting point will always be to offer as many people as possible the training they want. It is important both for each individual and for society. The government has also set up many new study places in recent years. With regard to admission to the third or fourth year of study in medicine, as the representative asks, I would first like to clarify the following: It is the institutions that assess whether students who have taken previous years of study abroad are to be admitted to Norwegian educational institutions. This is a professional assessment carried out by the institutions which the Ministry of Knowledge cannot oversee. The experience of institutions shows that medical syllabus are so different from country to country that it is professionally difficult to accept students from abroad in the middle of the course. In addition, medical faculties in Norway experience many more qualified applicants than study places each year, and very few students fall from the studies. For this reason, there are few available places to study, for example. 3rd and 4th years of medicine in Norway. Together, this provides a situation where it is not appropriate for our institutions to organise a shortened course of study for Norwegian students who have studied partial medicine abroad. It is also generally common for institutions to ‘overbook’ the recording because some fall from in-flight. There may often be some lower capacity in the study later than at start-up, so that there is no free space at all. I also want to add that those taking training abroad at an earlier stage have often not reached the competition for the study places at the Norwegian institutions. I think it is right to give priority to the resources in relation to those that have been raised through the ordinary recording. As I said at the outset, I want to facilitate that as much as possible higher education, but medical education is cost-intensive, and that is so that not everyone gets to study exactly what they want, and where they want.
ParlaMint-NO_2011-01-19.ana.ud2356e1277	I thank you for the answer, which I was so prepared for would be just like that. I have not asked questions about whether we should go in and review the professional evaluation. Of course, it's going to be at the universities. What we're talking about here is having a system that uses the possibilities that are where there are free holes. And there are free holes. I have several issues in which it has been fully documented that students have left the study. There are vacancies, and so there are others who want to go in, but the university says no – that's not how we do it in Norway. We don't have a system to keep track of it, so here you just have to apply for ordinary recording from the beginning. Does the Council of State really think that is a good way to use resources?
ParlaMint-NO_2011-01-19.ana.ud2356e1284	It might be that you get a little different feedback on such questions. The Ministry also has a continuous overview of what the representative here asks about, namely that there are people who fall from the road. I want to make it clear that there are very few people in the medical school who fall from it, because it's attractive, and because it's hard to get in. In addition, it is often that even if it should fall from a few en route, it does not necessarily mean that there is free capacity to pick up more, because, as I said in my post, you often have the overbooked – that is, you have taken in a little more than what you were supposed to. I would like to reiterate that we will give priority to those students who have actually entered these studies in Norway. The situation is also that there will be fairly good coverage of doctors in the years to come, and therefore it is not one of those studies where there is a very great need to have more education than the ones we are able to train in Norway, and those who usually conduct their studies abroad.
ParlaMint-NO_2011-01-19.ana.ud2356e1291	I am surprised that the Council of State can afford to let potential students escape. I'll give you an example: Geir. He is one of several who has approached me. He's a trained physiotherapist and a medical consultant, and he started the medical study, and for various reasons he would take it abroad. But after three years he wanted to go home again. So there he met this system where it says there was no room for him. This means that after a while the student loan started counting, the scholarship was converted into a loan, and he had to take several jobs to pay for it and became mentally worn out. He ended up in the Nav system. He's been working all the time to get into the fourth year of medical school, but he's totally rejected. Today he is offered re-schooling through Nav. So he can get a full, new education through Nav, but we can't help him in to finish the medical study by taking him in in the fourth year, where there are vacancies, and where the competence is approved. Can the Councils defend it?
ParlaMint-NO_2011-01-19.ana.ud2356e1300	I believe that the representative has great respect for the fact that the representative and the Council of State cannot discuss individual matters here from the Chair of the Stortinge. We are talking about a system that would, if necessary, prevent the very situation the representative is dealing with, and that is what I am dealing with. It is also the case that the feedback I have received shows that there are quite few of them. It is quite difficult to use places that may be available to fill up with students who have taken part of their studies abroad. So I'll stick to my starting point. Of course, we need good people with medical skills, who are educated both in Norway and abroad, but there is a justice and a reasonableness in the system we have, which prioritises those who have initially entered Norwegian universities. But as a nation that needs health professionals, we also accept those who have studied abroad.
ParlaMint-NO_2011-01-19.ana.ud2356e1309	The size now goes to question 1.
ParlaMint-NO_2011-01-19.ana.ud2356e1316	This question, from the representative Henning Warloe to the Minister of Knowledge, will be answered by the Minister of Research and Higher Education on behalf of the Minister of Knowledge, who has been away.
ParlaMint-NO_2011-01-19.ana.ud2356e1319	The question is: ‘Bergen Handelsgymnasium, BHG, has an ongoing study-specific training programme organised as a two-year offer. Hordaland County now wants to transform the pilot scheme into a permanent offer. The Education Directorate has, by letter of 3 January of this year, rejected the application, with reference to the need to amend the Training Act. The experiment has been evaluated with good results from the University of Bergen. What will the Council of State do to ensure that the BHG offer can be continued?’
ParlaMint-NO_2011-01-19.ana.ud2356e1328	The two-year study-specific training programme was launched at Bergen Handelsgymnasium in the autumn of 2009, and the experiment is now in its second school year. The experiment is scheduled to last for three years, i.e. until summer 2012. It is true, as the representative says, that a permanent system of two-year study-specific education programmes will require regulatory changes, including changes in the supply structure of secondary education. In Hordaland County Municipalities’ application to offer the two-year term permanently refers to an en route evaluation of the May 2010 experiment, based on less than one year’s experience. The purpose of the report was mainly to summarise some of the results of the first coal year of the two-year course and to contribute to raising the quality of the construction of the new coal that started in the autumn 2010. The report concludes, inter alia, that: that it is difficult to say something specific about the need for the offer and that it is too early to say whether the model being tested is well suited to meet the needs of this student group. It is desirable to test different pedagogical models, and the Minister of Knowledge is pleased that the county council is now conducting trials on two-year study-specific education programmes. It is premature to assess whether the offer should become national after only one year’s experience with the experiment. A prerequisite for the experiment to be started was that it should last for three years and be evaluated externally after the end of the trial period. When the final evaluation is available, the Minister of Knowledge will assess whether the legislation should open up to two-year study-specific training programmes. Hordaland County primarily sought to provide a firm offer for a two-year study-specific education programme. This has been rejected by the Education Directorate on the grounds that such a permanent scheme will require legislative changes. Secondaryly, the county requested the extension of the experimental period so that new students can be admitted to the two-year period in the autumn of 2011. In the event of incurrence, the question of extending the trial is not dealt with by the directorate. The Minister of Knowledge has been in contact with the Directorate, who will now decide on the issue. Responses to the application — i.e. the secondary application — to extend the procedure will be available from the directorate over the next two weeks.
ParlaMint-NO_2011-01-19.ana.ud2356e1339	I thank you for the answer, and I thank the Council of State for responding in the absence of the Minister of Knowledge. This is to be seen as a kind of handshake to Hordaland County Municipality and Bergen Handelsgymnasium in order to gain further experience in this experiment. Of course, I fully agree that it is very short time to make up some final opinion about this attempt. This is precisely why an extension is a positive position in this way. I still want to ask the State Council if that's how to understand, because several of us have responded, that the Education Directorate perceives it so that students who themselves want to take a two-year run cannot get the right they have on a three-year run if this is not working for the students. There seems to be a somewhat strict interpretation of the legislation.
ParlaMint-NO_2011-01-19.ana.ud2356e1346	It is precisely because these attempts challenge legislation that we need both a little longer time for the trials and a more thorough evaluation than the report we have so far received. For such a department it assesses, the report that has arrived after a short period of time does not provide the basis for concluding with anything. The Directorate of Education now examines the application to extend the experiment. And then we have to get an evaluation that can give us some guidance in case this is going to be done permanently, because then a rule change is needed, and then, of course, the issue of rights will also be addressed in that context.
ParlaMint-NO_2011-01-19.ana.ud2356e1351	Yes, because it is precisely the question of the rights to three-year training that has been used as an argument for the refusal. I find it difficult to see that the training law – the right to three years of secondary education – would make it impossible to choose a two-year course yourself, if you can do it, of course. There is a right to three-year training, but of course there is no obligation to do so in three years. I would like to conclude by saying that I believe that Bergen Handelsgymnasium has done a very good job developing this offer. That is also stated in the report. It is new work, and it is very important that we gain further experience in an offer that is primarily for students with additional motivation – extra willingness to work hard – because it is probably something we need in Norwegian school too.
ParlaMint-NO_2011-01-19.ana.ud2356e1358	There is quite a lot of extensive and long experience behind the three-year course we have today in higher education. It is clear that this is an offer for those who are extra motivated and who are extra interested in doing so in a shorter time. But it turned out that of those who started this two-year course in the autumn of 2009, quite a few have stopped along the way – a very high drop-out rate – because they chose to take it a little more easy to secure good grades and thus use the ordinary, three-year run. So I'm convinced that there are good reasons behind the legislation we have now, but we've wanted to initiate these trials, and we want to implement them and look at when we evaluate them properly, what we can do in case there are any changes in the follow-up.
ParlaMint-NO_2011-01-19.ana.ud2356e1367	‘The grazing conflict between the reindeer industry and farmers is now completely out of control. In the past, there have been Finnmarks who have had the biggest problems with cleaning on the farmland. Now the grazing conflict has also spread to many municipalities in Troms and Nordland. Peasants fear the consequences of the cleanness of their livelihoods. What will the Council of State do to help farmers against the illegalities that are growing and threaten the future of the agricultural industry in many municipalities in North Norway?’
ParlaMint-NO_2011-01-19.ana.ud2356e1374	The Sami reindeer industry is a nomadic industry of over 40 p.p. of the land area of Norway. It is an indigenous industry with very long traditions in Scandinavia. With such widespread and high area needs, there will be intermittent conflicts with other industries and other social interests. However, today’s challenges are greater than in the past. On the one hand, there is an increased need for land in other areas of society, such as: the development of public infrastructure and recreational dwellings. But in some areas, mainly in parts of Finnmark, it is also due to too high a reindeer today. In all cases, the challenge is to limit such conflicts, so that the reindeer industry can live side by side with other types of activity without significant conflicts. To get there, many actors have a responsibility in both private and public activities. It is necessary to establish that the reindeer does not have the right to graze on the land. However, as the representative of Tåldal pointed out, grazing conflicts between the reindeer industry and farmers are sometimes a problem. However, I do not share the representative's view that these conflicts today have such an extent that it threatens the future of agriculture in many municipalities in North Norway. It is important to distinguish between sporadic conflicts where there are few clean entering the land and where there are frequent conflicts with many cleanly involved. The responsibilities of the authorities will vary according to the severity of the conflicts. There are not all types of conflicts that may or should be addressed by the authorities. Here it must be assumed that the two industries themselves are able to resolve the conflicts, which requires the goodwill of both parties. In such situations, there is also an opportunity to seek funds for conflict prevention, as many are already using it. Where the conflicts are of greater scope, the Reinhårtstyrelsen or the Landestyrelsen could, on the basis of a public interest, oblige the reindeer management to expel its flock from the area in question and use instruments such as: periodic penalty payment if the imposed is not complied with. In my opinion, Finnmark has over time had the biggest problems associated with clean land. This includes, among other things: in some areas, the county has carried out its own processes. I mention Alta in that context. Furthermore, some municipalities have been active in getting closer dialogue and understanding between reindeer and other social actors. In some of these areas, it is also necessary, for several reasons, to reduce the purity, also with a view to reducing the potential for agricultural conflicts. In this respect, I would like to point out that we are now in a very crucial phase in the process of getting the reindeer down to a sustainable level. There is active work in progress and during 2011 all districts shall have approved usage rules. When these are available, as opposed to the previous reindeer law, more effective tools will be available to tackle the problem of overindebtedness. This also applies to the implementation of possible penalties. In Troms weather conditions have resulted in this year being more clean in the field than before. This is where active efforts are being made by the county council, the reindeer management and some of the municipalities concerned to resolve the conflicts. In the case of Northern Ireland, this year I have been aware of no greater conflicts than before. Reindeer and farmers are here most often in direct dialogue when it comes clean in the inland. Where necessary, the reindeer management and the relevant municipalities participate in meetings. As long as reindeer and agriculture are carried out in the same areas, the likelihood of clean entry into the land will be present. The challenge will be to minimise the problems. In the light of experience, I would like to reiterate the need for good dialogue, and not least the use of prevention measures. It is also essential that municipalities participate with the parties and the reindeer management if, in spite of this, it is difficult to resolve the conflicts. The aim will be to have a common understanding of what the challenge is, what actions can be used, and to improve contact and dialogue between the parties. The likelihood of conflicts is reduced when the dialogue is good. This applies not only to the relationship between agriculture and reindeer management, but to all areas of society.
ParlaMint-NO_2011-01-19.ana.ud2356e1402	I must say with all due respect that I feel a little strange to hear the council say that the problem is not as big as it is. He also says it's not in Northernland. Then I would recommend the Council of State to travel a little bit around the country in the north and talk to the farmers, and perhaps start reading the newspapers. I have found eight first-page essays that have gone on such conflicts in North Norway. One can read in the nations on December 13: «Millions destroyed». And then it says, ‘The sheer herrings of the herring may result in the abandonment of several dairy farms in Sirma in eastern Finland.’ In other words, we are on our way to end use, but the Council of State believes that this is nothing to be taken over. So my question to the state council, which has proved to be the best friend of the predators, and who are involved in shutting down sheep farming, is: will you be doing it so that we don't put down all the agriculture in North Norway, which we're about to do now?
ParlaMint-NO_2011-01-19.ana.ud2356e1421	The President would point out that all questions should be asked via the President.
ParlaMint-NO_2011-01-19.ana.ud2356e1424	First of all, I just want to stress what I said in the introduction to my post, that the challenges are overall bigger today than before for different reasons. The main reason for this is the increase in land use in other areas of society. It goes on infrastructure and recreational homes, and it is also the case that the reindeer number is too high in some areas. Let it be clear that I agree with the representative of Träldal's description that there are bigger problems than before. But then, too, problems vary slightly from one country to another, and the situation of the individual areas. That's what I tried to describe in my first answer. With regard to the situation and the general description, it is important to stress that there have been conflicts between reindeer farming and agriculture for over a hundred years. It shows an innumerable court decisions, so there's nothing new. All the time, the point is to work to reduce these conflicts, create more dialogue, and thus reduce the problems.
ParlaMint-NO_2011-01-19.ana.ud2356e1431	The difference between what the Progress Party thinks, and what the Council of State thinks, is that there have been conflicts for hundreds of years. So you don't have to do anything about it. So to another type of conflict. Lenvik municipality, a small municipality in Troms, has now had so many problems with invasion of clean that they have to spend millions of dollars to build fences around their waterworks because of contamination, as the Food Authority has shown. This means giving priority to schools, kindergartens and care for the elderly in a small municipality, where government policies have already led to excessive funding. My question to the Council of State is two-fold: Will the Council of State, which is responsible for the reindeer industry that has invaded Lenvik, go into and take up this challenge in the City of Lenvik and cover the costs of reindeer, or does the municipality itself have to take them?
ParlaMint-NO_2011-01-19.ana.ud2356e1440	I am very concerned about reducing conflicts between different grazing industries that we have now talked about, and that is the content of the question. There we have opportunities to work in cooperation with the county council and the reindeer management. It is done in different counties and in different municipalities. We have started conflict prevention work on fence construction and reduced sample sizes to put in place better schemes. I am concerned that we are working with industries, both agriculture and agriculture and reindeer farming, because I believe that dialogue is better than conflict all the time. So that's why I've been directly involved in several places, including, in Alta. With regard to the matter described by the representative of Träldal in the municipality of Lenvik in Troms, about sanitation in relation to waterworks and the challenges involved, I do not know that matter directly, so I have to get into it. We will, of course, deal with this matter in accordance with the current legislation.
ParlaMint-NO_2011-01-19.ana.ud2356e1453	This question, from the representative of Mr Harald T. Nesvik to the Minister for Fisheries and Coastal Affairs, will be answered by the Minister for Economic Affairs who is directing the matter.
ParlaMint-NO_2011-01-19.ana.ud2356e1456	I have the following questions for the Minister of Industry: ‘There is now a debate on which approval is needed in order to be able to carry the fish/cargo of other vessels. The debate has now come up again after Norway’s Silver Sale Team has briefed pelagic shipowners that if one is to transport fish, it is either a locked catch or for example. cutting, this must be done by authorised cargo ships, even if the same fishing boats are approved and classed in order to carry their own fish. Does the Council of State consider this to be a sensible piece of legislation?’
ParlaMint-NO_2011-01-19.ana.ud2356e1465	The representative of Nesvik raises the question of the approval needed to be able to carry the fish or cargo of other vessels, and asks whether the legislation in force is appropriate. First, I would like to stress that the use of different types of vessels is regulated by an international legislation that Norway has committed itself to comply with, which means a limited space for action at national level. The structure of the legislation is such that it imposes technical and operational requirements, depending on the type of activity to be carried out by the ship. For fishing vessels, specific rules have been developed to ensure the purpose of the use, namely to fish and then transport it to a reception facility. In the case of cargo ships, separate requirements, including for loading and stability, have been developed to ensure the safety of cargo carrying. A vessel certified only as a fishing and catching vessel may not be used for purposes other than fishing and fishing. Similarly, a vessel certified only as a cargo ship may not be used for fishing. This understanding of the legislation is also practised by the authorities of neighbouring countries engaged in fishing activities. Transport of fish or fish cuttings by transhipment from other fishing vessels requires certification as a cargo ship. Derogations from the general rule apply to fish taken over free of charge, which are considered as own catches when the vessel to which the catch has been caught does not have the capacity to carry on board the entire catch itself. In addition, derogations shall apply to vessels which have approved a permit to purchase from the Directorate of Fisheries for on-board production and which are included in the first placing on the market. Although fishing and catching vessels may seem technically fit to be used, inter alia: the transport of fish or pruning is the activity for which a fishing and catching vessel is not authorised and certified. However, if the company so wishes, a double authorisation may be applied for, i.e. certified as both fishing and catching vessels and cargo ships. This means, in that case, that there are a number of other regulatory requirements to be satisfied in order to ensure maritime safety. In view of some uncertainty in the industry regarding the current legislation, the Directorate for Maritime Affairs sent out an information letter to the industry at the beginning of January of this year. Here, the Directorate for Maritime Affairs describes the additional requirements applicable to fishing and catching vessels to be certified as cargo ships. During a transitional period – until sufficient capacity exists in the cargo industry – fishing vessels are given the opportunity to carry fish cargo. In that case, a dispensation request must be submitted to the Maritime Directorate as to why a fishing vessel is requested to be used for carrying cargo, and it must be demonstrated that there is no free capacity in the cargo industry to carry the cargo. In my opinion, there should now be no doubt as to what requirements apply to the carrying of other boat's fish or cargo. As I have explained, there are also several regulatory mechanisms that allow the need for transport and safety requirements to be properly addressed, as the Directorate has suggested.
ParlaMint-NO_2011-01-19.ana.ud2356e1488	I thank the Council of State for the answer. The question here is in many ways how rigid the legislation should be and where the limit goes for what is to be complied with. What's special is that the boundary of the Maritime Directorate here is related to whether it's for commercial purposes or for your own business, that's that you get paid for it. If it had been a matter of safety, I don't think anyone had asked questions at all. In connection with, inter alia: interception has been said that it may be due to gases etc., but that is not what this case is about. This issue concerns the location of the border and the extent to which exemption from the legislation can be granted. Now, practice has shown that there is actually a rather rigid code, precisely because the search processes take time. My question is: will the Council of State contact the Maritime Directorate and ensure that the general rule is to grant a derogation, so that this system can be put in place?
ParlaMint-NO_2011-01-19.ana.ud2356e1499	We have been in contact with the Directorate for the preparation of this answer, among other things, and have not least informed us that the Directorate for Maritime Affairs informs the industry in a good way. The dispensation is linked to the fact that there is no available capacity in the cargo ship industry. I guess that's the most important factor. And so it is that if you want to use a boat on a permanent basis both for fishing and for catching and transporting cargo, it is entirely possible for the company to apply for approval for both parts. It is then necessary to complete the exact same round as normal cargo ships, according to safety requirements, etc. I think it is the right approach that if you want to use a fishing and catching boat for permanent cargo operations, you have to use the same requirements as other cargo ships.
ParlaMint-NO_2011-01-19.ana.ud2356e1504	I'm a little surprised at the answer to the Council of State right here. If you have a snorkeler, it's authorized to carry your own fish. In some situations, there is such a big throw that there is a need, among other things. to lock the catch. If you carry this by yourself, you can call another boat that comes and helps to catch that catch. Then you don't get the money to do that, then it's okay. But if you have to lock the catch, and another boat has to come later and pick up the catch, you are not actually allowed to do that. Then you have to invoke a wellboat. It must also be regarded by the Council of State as relatively pointless, but obviously the Council of State does not. There was a situation for a while back, with the boat «Knester», where this exemption was not granted to carry another man’s fish, even if this fish was to go to a breeding plant. Will the Council of State at least ensure that the processing time for these waiver applications takes a very short time, so that the fish do not get poorer quality?
ParlaMint-NO_2011-01-19.ana.ud2356e1511	I believe that the general legislation we have, with the distinction between cargo boats and fishing boats, which is also reflected in international legislation and neighbouring country legislation, is a sensible piece of legislation, because there are other criteria for a good fishing boat than for a good cargo boat. So it is that there are – as also the questioner describes – situations where you want flexibility, want to find practical solutions, and I believe that the legislation also opens up. Then I agree that in all kinds of legislation we should show flexibility. We should adopt an approach that is designed for them to serve, while, in a way, adapting to the general arrangements. I assume that the Maritime Directorate will succeed, and I also expect you to do that. Managing legislation in a healthy and sensible way is nice to combine with getting up for the system – which is so popular in our days.
ParlaMint-NO_2011-01-19.ana.ud2356e1520	That being the case, it is no. 2 completed. Case No. 3, Unit, has already been processed. The President assumes that the last representative who is left in the Chamber does not request the floor before the sitting is cancelled. - The meeting's been cancelled.
