ParlaMint-NO_2011-05-05.ana.ud1933e53	The representative of Mr Morten Ørsal Johansen will put forward a proposal for a representative.
ParlaMint-NO_2011-05-05.ana.ud1933e1456	The Minister of Culture has promised 1 pst. of the state budget to go to culture by 2014, the Prime Minister has promised full hospital coverage by 2015, and as I referred to, Kristin Halvorsen promised in 2005 full child care coverage within two years. What have these ministers misunderstood, since they are so busy setting deadlines for achieving their objectives?
ParlaMint-NO_2011-05-05.ana.ud1933e1461	It is not the ministers who have misunderstood, but it is the representative of Håbreek who has misunderstood, who believes that it is as easy to make deadlines for children's protection as it is for kindergarten construction or in the case of cultural money. Each child shall not only have an offer; they shall have the right offer on their own. I could achieve full foster home coverage today. The government could only relax the requirements for individual adaptation, but with the result that several moved. We have more foster homes than foster children, but we need to have the right home for each one. That's why we need a lot more. There is no political decision that can ensure that we have enough foster homes for 2013, because we need a hard time out among people who are making up for the right foster homes. The representative of Håbreek here is a gross simplification of what is needed to achieve the goals, and I would like him to put it away and instead contribute constructively to finding solutions to how we can recruit more people. There are no magic spells, there is no political decision that solves this, just hard work to recruit more good foster homes.
ParlaMint-NO_2011-05-05.ana.ud1933e1473	I hear what the Council of State says, and it actually reminds me a little bit about what former Minister of Knowledge Øystein Djupedal said, when he stood here in 2006 and 2007 and was going to explain why it turned out to be so very difficult to achieve the goal of full child care coverage during the deadline set. The result came, but it came too late from the promise, but it came after a huge effort by the government, with billions, with creativity in adjusting demands, in looking at new instruments, etc., because it was defined by the government as an overall political project. We're not measuring the number of homes relative to the number of children; we're actually measuring the number of homes given that the queue is going to go away. That's the criterion. So I ask again, is it perhaps that the areas that I mentioned in my previous line, by the government, are identified as being a good part more important than getting full foster home coverage?
ParlaMint-NO_2011-05-05.ana.ud1933e1480	I have given the Christian People's Party and the representative Hope a lot of praise in many debates on child protection, but I must say that I am quite upset about the post that the representative Hope held in place, which is full of errors and gross simplifications, and which also creates a picture of the government's efforts in the area that is completely wrong. All the big money in the Ministry of Children, Gender Equality and Inclusion now goes to Child Protection. We carry out the largest child protection effort in Norway in 20 years. And I would go further in the doors if I represented the Christian People's Party, because in the 20 years when the greatest bet was not, the Christian People's Party had responsibility for quite many years. We are doing significantly more for Norwegian child protection now, both in terms of resources, and in terms of getting an organisation for the future, than the Christian People's Party has done when they've been in position. Let me also add that resources in foster home work are important, but it's not that we can just give a sum, and then we'll solve the problem. We need people, so this is more difficult than the goals that the representative Håbrek compares to. But we're not going to give up. We're not going to have a goal of full foster home coverage in 2013, but a goal of having it today. And then we're going to work for it every single day.
ParlaMint-NO_2011-05-05.ana.ud1933e1492	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2011-05-05.ana.ud1933e1497	One child in a foster home queue is too much, it's said. It's totally unacceptable that we can't get a home for all children. I must therefore admit that I am very disappointed today that the government parties will not participate on a binding plan with a deadline to secure a home for all children. It should be a matter of course that we have a national plan with a deadline for all to have foster homes, as we have it for nursing homes and kindergartens. I know that has been said before, but just think about it: Norway is the country that has provided kindergarten for everyone, before we have got all the children a home. It's a paradox. We have to ask ourselves what's really most important. Having said that, I would like to stress that the Christian People's Party is pleased that the majority, i.e. the government parties and the Christian People's Party, agree that further provision should be made for ideal actors in child protection. I would like to take the opportunity to draw the lines of the representative proposal from the undersigned and co-representatives of the Christian People's Party on measures for better framework conditions for non-profit enterprises, which were dealt with in Stortinget just before Christmas. There was also an overall committee which agreed that the Stortinget wanted contributions from the ideal actors. Also there the representatives of the government parties expressed their agreement with the Christian People's Party that the non-profit sector has an independent self-esteem and that it is a political task to ensure that the sector is maintained. The majority also agreed that all possibilities for using different procurement procedures need to be exploited in order to improve public procurement. I am pleased that the majority of the family committee also agrees that procurement methods other than tenders should be used, as far as possible within the existing legislation. I am pleased that the family committee quotes from the position of the nutrition committee: ‘A second majority, the members of the Workers’ Party, the Socialist Left Party, the Centre Party and the Christian People’s Party, assume that the scope of action in the law is used to achieve public procurement in line with political leadership. [[...]] This majority believes that the possibilities of applying different procurement procedures should be exploited in order to improve procurement.’ When, during 2011, Bufdir is about to launch a competition for the purchase of foster home services by the State, it is very important that this political signal to avoid tenders and rather to use direct negotiations where possible under EEA legislation is followed up. Christian People's Party requires full foster home coverage by 2013. It's time for a power cap. One child in line for a good home is one child too much.
ParlaMint-NO_2011-05-05.ana.ud1933e1523	The representative proposal from the Christian People's Party to present an action plan for full foster home coverage by 2013 is voting for the majority of the population and government parties today. It is not an easy task to find good and suitable homes for each child. However, when the public decides to take the children out of their home, it is unacceptable that we do not provide a full care offer immediately. It's that simple and so difficult. The number of children waiting for foster homes is too high – 164, according to the Council of State. It is unsustainable and unacceptable for a child to stand in line and wait in a foster home. It is time we all gathered together on the goal of full foster home coverage, that a clear deadline is set, and that all good forces are put into operation. With regard to the ideal providers of child protection, it is outrageous to hear stories that they encounter reluctance and skepticism when they want to contribute to the recruitment and operation of foster homes. This is probably an example of the government sitting still and seeing that ideal actors are not used, that they are opposed to the attitude: we prefer not to use you, we want to operate in our own direction – we need you, or maybe we prefer to use the big ones. Then I also talk a little bit beyond the foster home recruitment. I mention one key, Styvi Gard in Hordaland, who fell for such a grip. This is at least the story up to today from the government of Stoltenberg. Much attention has been paid to the setting of cost differences between state, non-profit and other family homes. There's two things that can be said here. Experience from other sectors shows that it is difficult to have comparable cost figures for different actors, because the basis for calculation is often different. And it is very unlikely that actors living from bidding round to bidding round are actually 50 pst. more expensive than the protected activities of the State. This shows one of three things: Either the state gives the children a very bad offer, or Buffetat is an unprofessional and little demanding order for services, or costs are calculated differently in the run-up and competitive business. I choose to think that's the last thing that's happened. I have experience from the kindergarten sector in public and private kindergartens. It is nice that the government also says in this context that they want to involve non-profit actors more in the work to provide more foster homes, cf. posted to the Evening Post. But it is also time to show this in practice. I feel that until now it has been a lot of empty words. I do not understand that the government parties cannot vote for all the good proposals from the Christian People's Party in this matter. When we discuss today, I feel that we really agree, but in some way you still manage to vote down the proposals. I don't understand!
ParlaMint-NO_2011-05-05.ana.ud1933e1541	In this debate, I believe it is important to have a realistic and open approach to the matter. I believe that as a positioning party, we have been open to challenges in child protection that need to be solved over time. It may not be quite right when you're in position, but I feel that the opposition is at least playing its part in not recognising any of the good work that the government has done. The challenge in child protection is two-fold. One is about structure, it's about internal control, it's about cooperation and a lot about the overall. The other thing is about money. The last thing we're doing is when we give more money to positions in municipal child protection. The first will take more time. It is then easy to be in opposition and to make proposals that sometimes simplify demanding issues. Many proposals have been made, and these are some good proposals. So to say all the intentions of many of the proposals that have been promoted, both now and before, the government is already involved in its assessment and review of child protection. But it won't be responsible if we don't manage to see child protection in a context and wait for the review that's actually started. Today's child protection system we agree that it is not working well. I think if we spend time and get the knowledge on the table, we'll get a good child protection that lasts over time, so you don't need these complete reviews of child protection so many times. So to full foster home coverage: As the council was also involved, there is a difference between full child-care coverage and full foster home coverage. Trying to say that this is the same thing as saying that it is not an offer adapted to the individual child that is the most important. When it comes to the recruitment of foster homes, we've already been involved in several things. I would like to repeat this: we open up the ideals, we have recruitment campaigns – both nationwide and regional – and we put a lot of emphasis on knowledge to know more about the situation of foster parents. Yes, we have challenges in municipal child protection, but we also need to take into account that the Health Authority is targeting those municipalities where they expect to find anomalies, where they think there is something to point out. That's why there's almost a tendency to black paint in the description of Kommune-Norway, because it's actually very good. Through a commitment to municipal child protection and a focus on interaction and internal control, I think we will see fewer municipalities on the lists that have many differences. It is clear that it is helping with money for municipal child protection, but this government is already giving more money to municipal child protection. I have great faith that there will also be money for municipal child protection in the budget over the next few years. I want to say that we're doing a lot of work. I hope that the opposition sees that we are on the right track, and that many of the proposals are actually well under way. Although the device and details of the proposals are not agreed, the intention is there.
ParlaMint-NO_2011-05-05.ana.ud1933e1562	Now I have heard three articles from the Christian People's Party, where it is said about the same thing, namely that the government does nothing to strengthen the role of the ideals in child protection. I explained what we are doing now. It's okay with prewritten articles, but I might think it would be natural to ask for a response to that, rather than a claim that we're not doing anything. The representative, Håbreek, said that he had been met with “empty words” in a year after he raised the question of the role of ideal in the recruitment of foster homes. It's, with respect to reporting, completely wrong. We took this up with Bufeta's different regions last year, after the representative had taken up the question in the Stortinge. So that time we had a system where the purchase of private services within foster homes took place by single purchase, not by a single system. The Christian People's Party at the time asked for it was to inform us that the ideals were not to be given priority when such single purchases were made. I've made sure that signal came out. Now we go much further than the Christian People's Party has ever proposed in Stortinget, namely to create a system for the overall purchase of foster home services. The result of this will be – if that is what the Christian People's Party believes, and the government and I believe, namely that the ideals have a resource that needs to be mobilised and that has not been used – that we will have a significant increase in the foster homes we need and in agreements for ideal actors. Then I think it's a little special that the only thing we're being met with in this debate is angry posts about 'empty words' from the Christian People's Party. I think that the political debate on these issues might have been served with a minimum of roughness as we move towards goals that are common to us, and when we even go much further than the Christian People's Party has proposed in this room.
ParlaMint-NO_2011-05-05.ana.ud1933e1575	I have given praise to the government on several occasions, including: for the earmarking of funds in the State budget of the year, for increases to county level and for other measures in the area of child protection, and I am still standing by that. In the last post of the Council of State, I would like to remind you that the representative Andersen Eide went through the positive comments that the Red-Green and Christian People's Party are all about in the setting, just about the ideals. It was meant to be praise, and I hope it is also perceived as that. When we actually criticize how far you've come, I recognize my right to do so. We had a round in the Questionnaire a year ago, and then the council replied that he would immediately give a message to Bufdir about those signals. I thought everything was fine, and then it went on for almost half a year. Then the Buffetat employees came to me and told me, "We are so pleased with what the Council of State answered your question in the Questionnaire, but we have not yet heard a pipe from our leaders that there is any new policy, and we see that it is necessary. Then I called the Dagsrevyen and asked them to look at the matter. But when the Dagsrevyen had called Bufdir and the department, the news came that there was to be a tendering procedure. Now it's been a year, and now it's going out. I think it'll take a long time. The new signals could have speeded up, and the formalities would have to be carried out. But the new signals in the system that make organisations experience a new everyday life have taken a long time – I would like to point that out. Then it's used as an argument that there's so much trouble with full foster home coverage compared to other goals. Yes, in the nursery agreement in 2002, it was said: We need 40,000 kindergartens until 2005. 40,000 kindergartens – it's hard, it's hard! There were actually many vacant kindergartens then, just as there are vacant foster homes today. But they were perhaps in the wrong place, in the wrong place in the city – different things. There are many challenges to achieving an objective, but with major policy projects it always follows a commitment, and then it follows a deadline. As I say, we don't measure the relationship between vacant homes and children who need foster homes. We're just measuring the line that's going to go away, and we should be able to decide that line is going to go away. And we can set a deadline. Then we put pressure on ourselves, we put pressure on the government, and the government puts pressure on its agencies. And it creates change! It's always been like that. Once we've lifted important things together here in the hall, we've operated that way. It also shows the government's policy projects in other areas. I'm waiting for Jens Stoltenberg to appeal to the Norwegian people in his new year's year, saying that one of the most important things we're going to get is full foster home coverage, and that the entire government is behind a campaign to get us into goal.
ParlaMint-NO_2011-05-05.ana.ud1933e1590	I'm going to be the first to confirm that it's quite demanding to work with child protection, including as a government council. We work for all, the weakest – the smallest – and it requires enormous amounts of both bureaucracy and, not least, political leadership. At least in my four years as Minister for Children and Family Affairs, there was no matter or area for which I worked harder than child protection. This was also the reason why, in the conversion of child protection, a model was put into place at the time where state councils can actually intervene directly – from top to bottom – precisely because political governance was important. I just want to mention this, because all opportunities should be provided for very, very good political governance. It's not like in the health sector, where what I'm experiencing today, is that we have a health minister who always refers to health companies, who have been given so much decision-making power. It's not like that in child protection. State councils are calling for roughness. I think it's great what the council says, and the commitment that's shown. And I think everything done by the government is great, but I have to say that the problems are exactly the same today as they were nearly six years ago. Some of the backgrounds for the child protection reform at the time were just the same problems we are facing today. I also think it is positive that the child protection reform or child protection should be evaluated today. With the major reforms we had in 2004 — and which almost did not start before 2005 — it is important to follow this closely and politically and to adjust it along the way. My question is how much Stoltenberg government has committed itself from the first day they took over, until today. The problem is that we all have to measure after what we do, and after the results of what we do, because that's where we stand today, that we see that the problems, if possible, are perhaps even greater than they have ever been. So I'm going to be the first to admit that there are several children coming under child protection today, there are several children who have it difficult today. Why can't we make a deal? Why can't we have better cooperation? Why is it that you are only met by voting for good proposals when they are really there all the time? Maybe it's because the Christian People's Party has had this department, that we have such a strong commitment and so much want to contribute. Now let's do that. Instead, we're about to be clubbed down on good suggestions.
ParlaMint-NO_2011-05-05.ana.ud1933e1605	Just like Document No. The 8-proposals tend to be put to the vote, I believe that remembering was also the case when the representative Davøy was in the government and I was in opposition. But otherwise we've been very open to recordings, and the process around ideals is an example of that. There is no doubt that it was important for the Christian People's Party to take it up in the Storting. It also made us focus on a system that didn't work as it was supposed to, and that we're now doing something with. I'm not going to erase this, but I'm going to ask the Christian People's Party to think about the comparison that the representative Hope again drew between kindergartens and foster homes. So we depend on there's an understanding outside of this hall for what it's going to do to achieve the goals that we set ourselves. We can't afford foster homes, we can't adopt foster homes, we have to ask people to be foster homes. Fortunately, this is the case, because we have to make very strict demands on those foster homes. Therefore, it is not possible to compare with reforms where there is only one question of how many millions we grant. It's not primarily a question of that. Of course, it helps with resources, but we have to reach people. Then it's a huge simplification to say that this is something we can just set a deadline for in this room, and then we get it. I believe that, on the contrary, we should have the same goal every day, namely that the queues should be removed as quickly as possible, put full pressure on it, as we do now. Then it's not natural to set a date. It would be quite possible to achieve the goal of full foster home coverage immediately if we, for example, said we would connect several foster parents and children, without the strict assessments we have today regarding which home is best suited to the individual child. The consequence of that would be more shifts, as we in other contexts say in this room that we're going to try to avoid, or we could rearrange the policy that says we're going to use foster homes to a greater extent, and less to use institutions. Then we could also solve this problem very quickly, but it would go across unique child protection advice. That's why I won't do it. I also want to warn you that setting such a date will lead to taking shortcuts around the system, because it becomes so important to have the queues gone right on that date. What is crucial for us is first of all to recruit enough foster homes over time, and, second, to do something about the trends in society that make more and more children need foster homes. That's the last thing that's important to say. We have no idea today how many children need foster homes in 2013. Hopefully the growth won't continue, but there's nothing Christian People's Party or government is over. We can only put a lot of energy, a lot of forces and a lot of political commitment into recruiting multiple foster parents – and we do.
ParlaMint-NO_2011-05-05.ana.ud1933e1618	Everyone wants children to have foster homes when they need them. So there's no one who doesn't share the desire for full foster home coverage, but as many people have said before me, there are some differences in that. If you look at what happened after we strengthened child protection, you can see that there are many more people who need the help of child protection. So it's very hard to know just how many there are. I'm very happy that this has happened, because I think this is right. Of course, child protection is not just about foster homes, it's about many people who turn to child protection to get help in everyday life. That's very good. But we know that as we work more on this, there will be more. The other thing that I'm very concerned about is that some of the toughest requests I get in this area are from the children who have been moved from foster home to foster home because it didn't fit, it didn't clapp, it wasn't done a good enough job for the foster home to do the task they had been given, whether it was about the support they received, or that people fit together. It was not done a quality good job. That is why I believe that the recognition of some of my co-representatives is now a little low when it comes to doing a quality good job. It doesn't matter that we think it's okay that kids are waiting, but it has to do with having a recruit that makes us avoid these kids moving and moving. When Laila Davøy was Minister for Children the last time, I was given, among other things. enquiry from someone who had become a foster parent about the night because child protection knew them and thought it was decent people, and that was it. But they only got a phone: we have a child here, can you take it? They just had to do it. That time it went well. But that's not the way to have it. Then you can get full coverage, but you have to have different systems than that. So it's this by voting down suggestions. I have a long experience in Stortinget, to say it like that, and I have probably also promoted a lot of proposals that I know, among other things. The Christian People's Party has been cordially in agreement, but as they have voted against. The point now is that there are many things going on, so it has something to do with turning open the doors. With a work going on, I understand that you need to make a difference. And I believe in the commitment to what it is, I have no reason to ask any questions about it. But that's not sure that way is the most productive. So it's true that there have been major reforms in child protection, and many of us were probably more critical to part of the grips that were made. They are now being evaluated. There is no doubt that there has been a great deal of effort on child protection over time. We still have major challenges ahead of us, so the evaluation now being carried out may well show that there are some new approaches that need to be taken in this area in order for it to work better.
ParlaMint-NO_2011-05-05.ana.ud1933e1631	Eye Wind Hope has had the word twice and gets the word to a short note, limited to 1 minute.
ParlaMint-NO_2011-05-05.ana.ud1933e1634	A brief remark: I refer you to the representative, Mr. Davøy's last post, which I think was a good summary. Yes, it is difficult and demanding to recruit foster homes. Yes, there is a difference between building kindergartens and recruiting foster homes. But what's common to the two areas, just like to all the other areas in which we want to achieve something in politics, is that commitment creates commitment, commitment creates pressure on ourselves and downwards in the system among all the thousands of child protection workers who are to give priority every single day to their tasks. If it is believed that the professional assessments in the field of child protection make it impossible to have political visions and ambitions, objectives and action plans, as is the case in other sectors, it is a solid failure statement for the protection of children. So I don't think so. It is possible to combine professional assessments and political ambitions.
ParlaMint-NO_2011-05-05.ana.ud1933e1641	Laila Bavøy has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2011-05-05.ana.ud1933e1644	First, to the representative Andersen: I am absolutely sure that there is a need to make a new approach to child protection, and I look forward to that. Then we all agree that the most important thing is that foster homes are of good quality, and that children do not move from home to home. Fortunately, we also have some foster homes that actually receive more children – many children afterwards – and they do a wonderful job. So to that with the goal, to set goals and to have a certain number. It may be more difficult in child protection than it is in kindergarten. You know, after all, how many children are born, and when they turn one year old, which is the age limit for starting in kindergarten. I would rather compare it to a nursing home. We don't know how many sick elderly people we get, but the government has set clear targets for how many sick places to build. And then you're going to say that if we don't have a measure that hits, and we need more space, then we're going to adjust. You could do that in child protection too.
ParlaMint-NO_2011-05-05.ana.ud1933e1651	I have to breathe quite deeply before I start my post, because I was greatly provoked to hear Andersen's representative. Here we have the opportunity to debate what we can do to improve child protection. The opposition is restless! The Christian People's Party, the Advance Party, the Left and Right promote monthly proposals and measures to improve child protection. Then Andersen's representative goes up and appears like a sort of seventh father in the house, who's going to tell and teach the opposition how child protection is, and how everyday life is there. So she says between the lines that it's not easy to get into all the parts of child protection and tries to claim that the opposition doesn't have any idea what we're talking about. President, I think it's disrespectful. It is disrespectful of the opposition, which is impatient for the protection of children and children. To the Council of State Lighthouse I would say: that's right, I think the Council of State is on the right track. He has ambitions for child protection, and I'm glad. But when the opposition is restless, it's because the Light Hill is the fourth child and family minister in five and a half years. The light hill is the fourth child and family minister who sits in the department and says that now we're going to do so much better for child protection, now we're going to turn every stone, we're going to go through everything – everything is going to be so much better. That's what the red-greens have been saying for almost six years, and nothing happens. Children’s protection is out there and does not have time to sit and wait for investigations and panels and evaluations. If we look at how many issues the government has put before the Storting in terms of child protection, it's sad. That's why I think you can spare yourself the slightly obnoxious approach to the opposition and the suggestions we make, and the instructive tone the red-greens have to the opposition, who work very hard, and who work every single day to take initiatives to promote measures to improve the situation of children's protection. There is a situation in which 300 of the foster home children do not have regular conversations with their supervisor, which they are entitled to. That's 11.1 pst. of the children who do not even have the supervisor and there is a breach of the law. It's 110 of the country's municipalities that don't even have emergency preparedness 24 hours a day. The situation is serious.
ParlaMint-NO_2011-05-05.ana.ud1933e1661	I believe it is important that this type of major issue is discussed in Stortinget. I'm glad we have a debate on this. This matter, as the representative, Håbrek, was involved, is also a matter of commitment. I want to repeat what has been said several times, that we are doing a lot of work. When this work, and this evaluation, is in place, when we have facts on the table, I believe it would be natural for it to come as a matter for Stortinget. I also think it would be very nice if we could have had a wide deal in the Storting in this case, precisely because I think we agree on so many of the goals. In the meantime, of course, debate is good. If you're going to go into what's "respectless," I'm not going to say that we've had a learning tone. But it has to be allowed to say that this is two-part. One is to grant money, which can be made over each state budget. The second is a work that takes some time, which actually requires that you have some facts and some evaluations in place. But there's something to admit that there's actually a work going on, and I think it's a little special that you don't see at all. Obviously, we have a lot left, but we have a lot of good explanations for why it has to be like that. So I hope that when there's a matter for the Storting about this, you can start to discuss whether to set more concrete goals regarding what kind of plans you're going to have to have in the future. But this work has to be seen in a little different stages, precisely because there are demanding issues. You have to respect that, too. When you're going to work on this, you have to have some things in place. So I think it's very good that the opposition is involved in these questions, and I think it's important that we have a debate along the way. I am sure that the Council of State now takes with it many of the recordings of the work that is going on, and then we can go back and look at both proposals and debate. When Stortinget gets a case about this, I'm sure there's a lot of things you can agree on.
ParlaMint-NO_2011-05-05.ana.ud1933e1674	Karin Andersen has had the word twice before and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2011-05-05.ana.ud1933e1677	I understand that I must have made a very painful point with the representative of Hofstad Helleland, when I point out that making proposals in Stortinget and being dissuaded has been a relationship between the opposition and the position for all years. So it was when the representative of Hofstad Hellenic party was put in government. At that time, proposals that were actually agreed on were also put to a vote. The government's reason was usually: we're working on it. And that's what we're saying. Then the representative of Hofstad Helleland says again that nothing is happening. Yes, we've strengthened child protection. We are working on important work to produce a quality basis that we want to invite Stortingen to join in and discuss a cooperation on. And then I actually think it's a little disrespectful to say that no, it doesn't matter, we know best now, so we're going to decide right now, just like you did in the budget, where you just put a line over 500 million. kr to Bufdir and said that it was a good arrangement – when we now talk about who is going to provide foster homes, the one that also needs to be treated in a respectful way.
ParlaMint-NO_2011-05-05.ana.ud1933e1684	Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 3927]]
ParlaMint-NO_2011-05-05.ana.ud1933e1700	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies from the Council of State within the allocated speaking time. Furthermore, it will be suggested that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-05-05.ana.ud1933e1709	Today, we are expanding the Husbank's loan framework to a historically high level. 5 B.C.E. kr is a significant addition. The total frame is now going to be 20 billion. kr. There's a lot of money and there's going to be a lot of housing. Both the addition and the overall framework are an expression of the important role of the House Bank. With its various instruments, the Husbank has proved to be an exceptionally good tool for achieving the housing policy objectives. Through robust schemes, flexibility and good local knowledge, Husbanken contributes to the implementation of an active housing policy by municipalities. Housing is as important and fundamental a well-being as health, education and work. For the Workers' Party, the working line is important. That people can support themselves and their families is important to self-respect and dignity, but also important to society. Nevertheless, many people experience that they have to stay out of work during periods of their lives. It can be dramatic. However, there is something quite different to standing without a dwelling. Knowing where to sleep the next night is about basic security. Knowing where to live next year and the year after that is about being able to plan a life. The difference between having and not having a safe place to live is great. A good housing can be essential if each individual’s ability to cope with the other challenges of life is to be addressed. The household bank contributes to the safe housing of many people every year and is thus an important tool in welfare policy. By March 1st, a total of 12.2 billion. kr charged the Husbank’s original loan frame of 15 billion. kr. When the Stortinget expanded the Husbank loan framework in 2009, the credit market was still characterised by a financial crisis. It created an extraordinary demand for loans in the House Bank. This year, there is no such thing as an increase in demand. In other words, the year’s increase in borrowing is due to an increase in activity, i.e. that more is being built and that more are being given the opportunity to settle in owner-occupied dwellings. That's a good development. In this context, I particularly want to highlight the increase in the use of start-up loans. In 2007, starting loans were granted to 5,955 dwellings. In 2010, the figure was 9,529. That's an increase of 60 pst. in three years. After two months of 2011, initial loans amounted to 4.8 billion. kr charged Husbanken’s loan framework, almost as much as in the whole of 2010, when the total amount of the commitment was 5.5 billion. kr. This shows that the Husbank's arrangements are making, and not least that the municipalities are doing a good job. It is a joint municipal and management committee that supports the government's proposals. With one exception, the comments are also positive. The Christian People's Party already had a revelation last year about how it would go this year. They feel the need to point this out. I understand that. Although government parties cannot claim the same certainty about the future, we were also aware of the possibility of increased demand for loans in the House Bank. In our remarks to the State budget, the majority of governments asked the government to follow the situation closely and come back to Stortinget with an assessment of the need for increased loan frameworks. We are very pleased that the government has done just that, that it has followed developments closely and made proposals to extend the loan framework, so that the House Bank is adequately secured with loan funds. Good housing social work is about many things. In the view of the Workers' Party, perhaps the most important thing is to ensure that a sufficient number of new dwellings are built. It contributes to the necessary renewal and upgrading of the housing stock, not least in terms of environmental requirements and design. But it also contributes to something else that is very important, that housing prices are kept stable. Behind us we have some years of low housing construction and ever-increasing housing prices. We're now seeing signs that this is turning around. That's good. The working party is concerned that the public facilitates an increase in housing. In particular, obstacles need to be removed from the road, and public intervention not only on the brake, objecting, requiring forms to be filled in, etc., but also taking active action, taking initiatives to cooperate with builders and ensuring that adequate land is regulated for dwellings. In addition to its importance for the disadvantaged in the housing market, the current expansion of the Husbank loan framework is an important contribution towards increasing activity in the housing market. In other words, it's a lot to rejoice at today's decision.
ParlaMint-NO_2011-05-05.ana.ud1933e1726	I don't intend to spend so much of the time of Storting in a unanimous attitude of the committee. I just want to remind you that some of the most important housing policy points are not to be read in the case, but are outside it. It is an overall committee that recommends the adoption of an extended loan framework by the Stortinget in the Husbank. However, you can also ask yourself whether the House Bank's increased lending framework is more suitable for treating symptoms than for solving problems. What should now concern those who are interested in public housing policy, together with those who operate in the industry and are builders, is the great pressure that is established because housing prices rise without having a background in land scarcity or an increase in labour inputs and materials. Some of the rises in housing prices are due simply to well-intentioned decisions in this room and the formulation of policies in everyday life from the department. What I'm thinking about is that in many other contexts we adopt ideal standard requirements that are imposed on the construction industry, which do not immediately lead to a corresponding increase in the value in use of those who are in the market and demand housing. It's a fundamental problem that I think we should reflect more on, and in other contexts than that, this particular matter, with its limited horizon, invites. It is precisely the sum of objections, barriers and ideal standard requirements that eventually create a price tag that makes it difficult for many, not least our new countrymen and our future generations, to establish themselves in the housing market. Therefore, the best housing social policy is to attack the cost picture that affects everyone on the housing market, whether the dwelling they demand is funded by the Husbank, or it is funded by the ordinary credit market. Furthermore, I refer to the comments of the Committee. There is no separate proposal from the Right, as we are in the unanimous vote of the Committee.
ParlaMint-NO_2011-05-05.ana.ud1933e1737	The dwelling is «basic» and the dwelling is expensive. That is why I and SV are very pleased with the allocation that is coming today. It is quite right to do this, as the case-law rapporteur, Haugli, said, and I fully agree with the post he had. I'm particularly concerned with what's about being able to start lending, because it's so very important in the housing market we have, that young people come in. I am also particularly concerned that the municipalities must have good housing-social plans and follow them up, so that it is possible for the disadvantaged to establish themselves in an own home and get the security it is, because it is absolutely impossible to get a life in order if you do not have a place to live, and that place must be safe. The most important thing here is that the state is now intensifying its efforts in the housing market as strongly as it does. It's a very large increase in an already large sum. Then the representative Tetzschner was up here and invited a little bit to a major debate on housing policy. I expect it to be ours when we get a big housing message. But I have to say that I don't agree with the angle of incidence that Tetzschner has on this topic. Dwellings shall last a long time. Then they should have a quality that keeps them going. There can be no particular advantage for people if they're built in such a way that the firing costs are high, that all the money goes up in firing costs. We need to have an energy-efficient house. I've been in the fight for years now to have accessibility for people with disabilities, that people with disabilities should be able to choose where they want to live, just like the others. That's why there are some demands for housing, and homes are, as I said, something that lasts a long time, for very many years, and are to be traded and perhaps exchanged between people. And not only should you be able to choose where you want to live if you want to move, but the jam we want to have people visit too. Some of us have friends sitting in a wheelchair, and some of us have old parents who need to visit, and it's important that the homes are adapted and have better living standards than we've had. I think we have made a lot of mistakes in Norway. We have made too few demands on the homes, and therefore we have so many dwellings that do not meet the requirements. That means that the emphasis we have to put on the social housing policy in the future must be even stronger, because it's right that it can raise the cost of doing this in the short term. Social housing policy must therefore be strengthened in the future. This is absolutely necessary because Norway has a composition in the housing stock that is very different from most other countries. Most other countries have slightly larger sheltered sectors, so that people can live with them if they have poor advice, and not least opt for a cheaper home if they get into trouble in life. It is a bit out of place in Norway to do so, also because many municipalities – including the capital of the country – have for several years neglected their housing policies. Many municipalities have done that and ended up offering too bad to people who are disadvantaged, and that makes you get into a hard circle. That's why what the government is now doing, so happy and correct, and SV supports it all we can. We look forward to discussing housing policy when the government presents its housing message, because having a place to live is one of the most important living conditions we have, and not least it is incredibly important in the policy area that I contribute to daily, social policy. There is housing entirely ‘basic’ to make things better with people who have been in a difficult situation.
