ParlaMint-NO_2007-05-15.ana.ud2683e51	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2007-05-15.ana.ud2683e1689	Villaksen is a species of Norway that has a special responsibility for it. In Northern Europe, we are among those with several salmon strains that have it reasonably well, historically. In the past, the prevalence of salmon, many of which have been involved, was much greater. In many places, the wilderness axis is gone. In Norway, there are also challenges related to proper management of the wild species. We originally had 446 populations. One third of them are now either lost, threatened by extinction or considered very vulnerable. We can't afford to lose any more of the wild breeds that we have a responsibility, even internationally, to manage. There's a lot of threats to the wild stocks. Historically, acid rain has helped to eradicate 25 of these strains. 25 populations disappeared due to pollution and we still spend a lot of money on the Ministry of the Environment's budget on liming to prevent more populations from moving along the same path. Hydropower expansion has also caused us to lose salmon stocks. There were exterminated or vulnerable or endangered species in 35 watercourses due to expansion. Gyro is one of the big threats to the wilderness today. That is why we are proud that, in the revised national budget today, we have increased the funds to combat gyro by 20 million. kr, because we know that fighting gyro is an environmental battle we can win. The representative, Tord Lien, said that we had remembered some election vows. We haven't just remembered any of the election vows, we're fulfilling what's the ideal plan in relation to the Directorate of Nature Management, with the decision we're making. And there's going to be a promise that I think the opposition and also Tord Lien inside had not thought that we were able to make in this connection. What's happening is a significant rise for the wild axis. Breeding is a threat to the wild. It is serious when the number of escaped farmed salmon in recent years is as high as that of wild salmon to the Norwegian watercourses in one year. That means half of what we can see is farmed salmon. The salmon problem is a chapter by itself, but the most serious thing is the genetic contamination that makes it possible for us not to get rid of the escape, we will have a situation where we have a large, slightly diffuse genetic stock that will be much more vulnerable and much more difficult to manage, and that will lose some of the peculiarities of salmon and some of the most fascinating things about it, namely that it grows up in a river and comes back and spawns in the same river. The proposal contains measures in all areas where salmon is at risk. It's important to us. But it is that we have one main measure, and the main measure is to give the wild species breathing space, by taking it into account primarily in some watercourses and fjords through the establishment of the national salmon fjords and salmon rivers. However, in this context, I would be allowed to say that with the adoption of the proposal for the completion of national salmon fjords and salmon streams, the farming industry will have a significant area to carry out its activities. They have worked hard to get it, and I am glad that the majority then stresses that it is the industry itself a heavy responsibility to reduce the number of escaped farmed salmon. I am also pleased that the majority say that, without a significant decrease in the number of escaped salmon from the farming industry, new and more stringent instruments must be put in place. There is no acceptable situation with such a high number of escapes, and even if the farming industry makes repeated assurances that they will get rid of it, the statistics show the opposite. Now we're done with the process of creating salmon fjords, and we're saying with this that we don't see a rapid change, we have to come up with completely new and more stringent instruments. We cannot live with the threat to the wild stocks today.
ParlaMint-NO_2007-05-15.ana.ud2683e1710	The Atlantic Wildax strain has been greatly reduced. The northern European salmon strains have also been reduced. This is the background for the Christian People's Party in the Bondevik II government to introduce land protection for wild breeds by establishing national salmon rivers and salmon fjords. The proposal of the Bondevik II government in 2003 was supported by the Stortinget. Now today's government is following up with the finalisation of this process, with proposals for the protection of new 15 salmon rivers and 8 new salmon fjords. In total, we are up to 52 salmon streams and 29 salmon fjords. The Christian People's Party is pleased that we are now completing the process of establishing national salmon rivers and salmon fjords. The protection now includes three-quarters of Norway’s total wild-axis resource. We believe that this area protection is a proper and necessary measure. In the debate we have seen predictable and traditional contradictions between the farming industry and river fishermen and landowners. However, the work of the Committee has shown that the parties have now largely accepted the scope of the proposed protection. The main score was clearly in 2003. Protection through salmon watercourses and salmon fjords is an important measure, but not the only thing needed to achieve a more sustainable management of the wild species. Other measures also need to be taken. The Christian People's Party has therefore not been most concerned with the boundaries of the protection zones, as the proposal of the Government has been well justified on this point. The Christian People's Party has participated in an adjustment in Førdefjorden based on the local recordings we have received. But there are also other measures that are important and that we have been concerned about. The aim is to limit the escape from salmon farms, the control of the salmon and the parasite gyro, and to prevent interference with watercourses that may affect spawning conditions. It is not easy to prevent escape, but the Christian People's Party is pleased that the farming industry itself is actively involved in the work of a zero vision for escape. We should now be willing to initiate DNA detection of salmon. This is possible and will have the greatest impact on the impact of farmed salmon on the wild salmon strain. It may also be an instrument for continuing the work of the breeding industry against escape, although they have a high economic interest in preventing escape. Furthermore, it is important to maintain the work against gyro, and the Christian People's Party expects the Government to apply new methods that have good effect. Today, it is nice to see this important item raised in the budget as revised. To sum up, the Christian People's Party is pleased that we are now completing the work of establishing national salmon rivers and salmon fjords. We're behind the setting at this point. But we are still impatient about the follow-up to the fight against gyro and the prevention of escape. We are together with the minority on their own proposals on these two points.
ParlaMint-NO_2007-05-15.ana.ud2683e1723	Today, we are completing work on the national salmon fjords and the salmon rivers, and we are pleased with that. This provides safe and predictable framework conditions not only for the farming industry but also for industries other than the farming industry. There has been a lot of talk about this, but there is reason to remember that inland fishing and river fishing and the resources that the salmon represent in the watercourses are significant and probably also industries that have significant growth potential in the future. We recognise the need to introduce regulations to protect the North Atlantic Wildax strain. As many have experienced, this strain has had a negative development in recent years, and Norway is one of the last countries with significant strains. It's relatively good here, but it also makes us have a better starting point for success than what you have elsewhere. Through this treatment, the farming industry will have increased access to land and will have a very clear and clear framework for the activity to be carried out. If you take into account the reactions that have occurred after this proposal was submitted, I would probably go as far as to say that it is positively received in most camps. I think we should take that as a sign of good political craftsmanship in this context. It has been said that this system is permanent. That's of course true. At the same time, the mechanism will be evaluated by 2017 at the latest, and it is obvious to everyone that if this evaluation shows that there is no match between the instruments we are kneeling through this scheme and the objectives we want to achieve, it will have to have implications for the design of the practical policy. Something else would be very strange. We point to a wide range of other important measures. Although this is one measure, there is no reason not to continue even harder with regard to the threat posed by gyro, with liming, the control of salmon and with the regulation of watercourses and of fishing. I want to point out in particular the risk of genetic contamination that escaped farmed salmon in this context. For a long time, we have been focusing on this problem, not least politically and together with the industry. Therefore, it is obviously disappointing to note that the number of escapes does not go down – rather on the contrary. Of course, I look forward to the setting being followed up on that point, but I think it is important to come back here quite quickly with even sharper measures if you see that you are not now getting any effect. So the message from Stortinget to the farming industry today on this question cannot be misunderstanding. Then there's a question of what this proposal should be used for. The centre lot assumes that this mainly regulates the conditions under which the proposition is made. It's not relevant, as we see it, that this should be used as a breaker bar to regulate all other types of activity and economic development around the country. We'll warn against this practice, and we reserve the right to come back to it if it turns out it's a practice. In the case of Sandsfjorden and the relationship that Lien's representative addresses, we believe that the stock farm there is being maintained, and that both Tore Nordtun and Magnhild Meltveit Kleppa have their words in place, because it is said that the production growth due to changing national framework conditions should be allowed. Of course, we are also pleased that we got a unified solution in Fördefjorden.
ParlaMint-NO_2007-05-15.ana.ud2683e1742	Through his work in the Bondevik II government, the Left was involved in several measures that are important for the care of the wild. One of the measures that was important was to get protection decisions for 50 watercourses in addition to those that were already protected. Several of the watercourses on which a protective decision was taken are also affected in the setting that we are dealing with today. It was also the Bondevik II Government which established 37 national salmon rivers and 21 national salmon fjords in 2003 and at the same time laid down the basic principles of the scheme and provided guidance for the further work and handling of the case. This has now been followed up by the Stoltenberg II Government, fully in line with the pre-requisite of the 2003 broad decision. Given the history, it is therefore not unnatural that today's setting is also marked by broad consensus. This is a good and important platform for further efforts to manage salmon resources. In one area, changes were made in relation to the area and breakdown proposed by the Government. It concerns Fördefjorden, which is given a special status with monitoring of all the threat factors involved. This is a set-up that requires regular surveys, and then related to all the threat factors. This desire to give this status to Fördefjord is very much in line with what is stated in the Left's programme to have Fördefjorden as a national reference fjord, and also very well in line with what we have been working for during the Committee's examination. As mentioned by several previous speakers, there are more factors than area protection needed to do the job in relation to the wilderness axis. The control of Gyrodactylus salaris is central. That is the background to the Left proposal, on which a request is made by the Government to draw up a plan for the follow-up of gyro control by 2010. The left was dissatisfied with the investment in this area in the 2007 budget, and proposed an increase of 11 million in the budget for the fight against Gyrodactylus salaris. kr in our alternative state budget. We didn't connect to that. But it is positive that, within an adjusted, revised budget, presented today, which contains very few good news in the field of the environment, the Gyrodactylus salaris bet is reinforced by 20 million. kr. And that's good. The relationship between control of escape and care of the wild species has been mentioned. I think it's very important for the government to come up with a plan on how to follow up the work in relation to escape. There is an escape commission set up, and it is very important that it be given an independence, which makes the work done there credible. It is also important that the economic resources it needs to have be given to the Escape Commission in order to carry out its work in an appropriate manner. I would also like to point out that the liming work is important and must continue. In many watercourses good results have been achieved, and in the long term the need for appropriations here will be down. But it's important to keep the pressure up here, and so has the government in this year's budget. Another area where one has had the results of the work done relates to measures against salmonids. There has been a significant restriction, but there is still a serious threat to the wild species. So the conclusion from the Left today is that we're not in the goal of today's decision, but it's an important step forward.
ParlaMint-NO_2007-05-15.ana.ud2683e1766	When I presented the proposition about the wild axis exactly five months ago, I said that the wild axis has no strangers – just more or less good friends. The attitude in this case clearly shows that an overall political environment will contribute to an upliftment in the wild, although there are of course somewhat different opinions on the choice and use of instruments. I am therefore pleased to note that all the parties in this Chamber are good friends of the wild race, and that there is a broad consensus on a strengthened policy for the protection of this species, for which Norway has a special responsibility. It may seem like a paradox that the wild axis – despite all its good friends – is still threatened, but I believe that much of the explanation is that it is demanding to manage this species. The Villax is a hiker who encounters threats and obstacles both in the watercourses, in coastal areas and in the sea. The sum of human activities is just too much for too many of our salmon populations. We've done a lot over many years to reverse this negative development, but we have to do more. The villa means a lot to Norway. It is one of our most important natural values and has for centuries also been an important part of our cultural tradition, our nutritional basis and our quality of life. Many districts also have significant incomes from tourism and other activities related to salmon fishing. The opportunities offered by the wild species for sport fishing, recreation and nature experience are important to a large number of people in the countries around the North Atlantic. In addition, wild salmon populations are an important genetic resource for salmon farming. I am very pleased with the Committee's proposal for a decision on the completion of the system of national salmon river and salmon fjords. As a result, the entire three-quarters of the Norwegian wilderness resource will receive special protection in watercourses and fjords. I also very much appreciate the broad opening up of other measures for the protection and development of salmon populations, inter alia. enhanced control of the salmon parasite Gyrodactylus salaris reinforced measures against salmonids and the evacuation of farmed salmonids continued liming of salmonids and the restoration of salmonids' living areas more stringent regulation in salmonids Now we've put the most important investigations behind us. The time has come to step up efforts, and as several have already mentioned, part of this is a consequence of the Government's proposal today to increase the year's budget for combating gyro by 20 million. kr. So that means that the total amount of funding is going to be 51 million. kr, and that this will ensure significantly better progress in the control work. First of all, we're going to do it in the Wefsn region and in Steinkjer. Finally, I would like to say that in three weeks' time, the annual meeting of the North Atlantic Organisation for the Protection of Wild Salmon, NASCO, will be held in the United States. The Norwegian delegation to the meeting will then inform the rest of the wild nations about Norway’s reinforced policy for the protection of wild fauna and flora. I know that they will do this well knowing that Norway, as the world's most important wild-wing country, is at the forefront of this important work.
ParlaMint-NO_2007-05-15.ana.ud2683e1806	It's going to be line change.
ParlaMint-NO_2007-05-15.ana.ud2683e1809	This becomes more like a good friend of the wild axis to another. There is considerable uncertainty in the industry as to the consequences of the current handling of the case for the guidelines for the rearing of marine fish and shellfish. I wish the Council of State could now demand, to say it so, that the breeding of marine fish and shellfish will be hampered by the decision of the Stortinget today. Can the Council of State give me such confirmation?
ParlaMint-NO_2007-05-15.ana.ud2683e1816	I think that in terms of the process and this work that has been going on for a long time, also during the previous Bondevik administration, there is not so much concern about the farming industry in these questions. There has been close cooperation, and one has also worked closely in understanding of the need to protect the wild species. That's about. 1 600 sites linked to farming in Norway. The proposal we are talking about today affects 10 sites for the breeding of salmonids, so that it has relatively limited consequences. What we have said is, of course, that what already exists of breeding can continue, but then with some stricter requirements for action against escape, salmonnus, etc. I can rest assured that there is no great cause for concern.
ParlaMint-NO_2007-05-15.ana.ud2683e1825	The system for the protection of salmon fjords is permanent, it is clearly established in the proposal, and it is even emphasised from among others. the red-green lots in the settings. Should it not have started at a completely different end, when it is given the signal to bind very large coastal areas that many hope can provide for future business, balanced, sustainable business, and take a stand on the concept of «permanent protection» on the day when it was able to provide evidence that breeding activities are the main direct threat to the wild species? It would then be possible to determine whether the fjords that are now protected should be permanently protected, for the good reason that no such evidence is provided in the proposition we have for treatment.
ParlaMint-NO_2007-05-15.ana.ud2683e1830	It's true that it's a permanent protection. That's important because the wild species is such a highly threatened species. The villa is an important resource for Norway for both nature and genetic reasons, but also for business interests. We are launching a monitoring programme and an evaluation that will go beyond ten years. The monitoring programme will be launched during the year, and then, of course, an important knowledge will be gained that will have a bearing on further evaluation of any new action that needs to be taken.
ParlaMint-NO_2007-05-15.ana.ud2683e1837	As many people have experienced, escape is a significant problem related to the challenges we face to deal with the wild. That's why it was important for an escape commission to get to work. One has underlined the need for the Commission to be given the independence it needs in order to be able to work in a credible way, and for it to be guaranteed the economy to do the job to be done. Can the Council of States confirm that one will provide both independence and the economic space needed for the Commission to do its work in a thorough and proper manner?
ParlaMint-NO_2007-05-15.ana.ud2683e1844	I have noticed the proposal of the Progress Party, the Right, the Christian People's Party and the Left. I welcome it and will deal with it with the Minister for Fisheries.
ParlaMint-NO_2007-05-15.ana.ud2683e1849	I'm not giving up completely. The Council of State said in its first answer that there was little uncertainty in the industry, but I find that there was considerable uncertainty in the Council of State about what I was asking for. I therefore want to see whether today's decision will lead to consequences and difficulties for the farming of marine fish such as cod and halibut – i.e. not salmon fish – in national salmon fjords. Cod is probably what is most relevant in many of these fjords, and then I try again: Will today's decision lead to negative consequences for cod farming in national salmon fjords?
ParlaMint-NO_2007-05-15.ana.ud2683e1856	Of course, the starting point for this proposition and for the work we've been doing for years now is that it shouldn't increase the risk of the wild. All the changes and measures put in place must not increase the risk of the wild axle to increase its loads. Then, of course, the business that does not increase the risk of wild game can exist around the different fjords.
ParlaMint-NO_2007-05-15.ana.ud2683e1864	Several have not asked for the word for a line.
ParlaMint-NO_2007-05-15.ana.ud2683e1867	The aim here is obvious to everyone, namely to get rules and systems that are predictable and forward-looking for this industry, which are so very important for the country and for the districts. It's an industry we believe in for the future. It has growth potential, and it produces food that can be of great benefit and importance in the future. This is also something that the government has of course seen, and lived with. That is why the Government and the Council of State are following closely in an excellent way. S. No 134 for 2002-2003, where Stortinget said some about St.prp. No 79 for 2001-2002. It was then assumed that further progress would be made and that the scheme would cover a total of about 50 national salmon rivers and their national salmon fjords. The aim is, of course, to ensure three quarters of Norway’s total wild species resource by providing some 50 of the largest and most viable salmon populations with specific protection. It's not for nothing you do it. The presence of Atlantic wild species is historically low. Total catches are now only at a quarter of the level of the 1970s. In the United States, salmon are almost eradicated and included in the list of endangered species. In Canada, populations have been reduced to such an extent that commercial fishing is no longer permitted. The southern European population complex is also very weak. That's why we also have an international responsibility to do something about this situation. If we look at the situation of the northern European populations, it's a little bit better, but here, too, the populations, as a whole, are historically weak. In Norway, catches are now at almost the same low level as in the years 1995–99 and account for less than half of the catches in the 1970s. This is serious, and this is where we have to clean up and get driving rules, so that we can still take care of the wild and the many populations. The decision on the new national salmon watercourses will not have any particular impact on other interests in the watercourses, mainly because the watercourses do not have realistic hydropower projects that would be detrimental to the wild axis. I think that's also important to include in this context. Seven of the proposed watercourses result in a national salmon fjord in which the relationship with the farmed interests has already been established. If we take a look at the new national salmon watercourses, and jame them with hydroelectric projects in rivers in the Total Plan that are not protected or that are investigated for protection, they will not be a hindrance here either. You can live in a good interaction and get this done. We also see watercourses today where this combination goes very well when we only have driving rules, and we also see that the stock is taking care of itself. I would also like to address a matter in the area from which I come, namely Sandsfjorden. I see that the Progress Party has a proposal here to regulate the boundaries of Sandsfjorden. This is a proposal that we cannot support. We've been familiar with Sandsfjorden's development for a long time. It is now being expanded somewhat in relation to the existing hedging zone. There are three fish-farmed areas with salmonids and a stock-fishing site established in this area, and it is clearly stated in the proposition: ‘The production of stockfish in Sandsfjorden shall be ensured to allow for the necessary development in line with the amended national framework conditions for stockfish farms.’» I think that is a very good proposal. This is a good view of stockfish production, which is so important for the further production of farmed fish. In the case of the locations that are ‘little affected’ by the small border adjustment in the area, there is no need to remove these sites. One has only been ordered that new ones cannot be created in that area, and that is to the greatest extent possible to live with.
ParlaMint-NO_2007-05-15.ana.ud2683e1887	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-05-15.ana.ud2683e1890	This is a very important matter for both the environment and business in large parts of our country, especially for District Norway. On the one hand, we need to ensure the protection and development of salmon populations and, on the other, we need to further develop the important farming industry. I think both the ministry and the committee have done a good and tidy job of looking at all aspects of the matter, and at the possibilities of combining the consideration of nature and the consideration of an important industry. I think it's important to set up so that these two interests can live side by side. With the large value creation provided by the breeding industry, this industry has come to be, and the discussion is no longer going on. I have a strong impression that the breeders are also good team players to find solutions that make it even safer to breed without destroying the wild axis. This is quite natural, because it won't be life for the breeding industry without the wild breeds being in good claim. The villa is a vital genetic resource for the breeding industry. I don't think there is any doubt about this, and this was also the case rapporteur and the Council of State inside their posts. The existence of the Villax is also important in many other contexts, not least for the creation of value and activity in Building Norway, which the Council of State was also involved in. I am most concerned about how we can take measures to prevent escape from breeding facilities. This is worrying for several reasons. Here it is important that governments and industry play together to find good technical solutions to prevent escape. This industry itself has knowledge that needs to be used to achieve optimum results. We need to work together here, and we need to see clear improvements here as soon as possible. Should accident occur, the industry must assume the decisive responsibility they have for immediate alerting. Technology for the detection of escaped salmon must be used as far as this is developed and must be developed further. We all have a responsibility to secure the wild game and to ensure a well-functioning breeding industry. We take this responsibility today, and this must be followed up.
ParlaMint-NO_2007-05-15.ana.ud2683e1907	Today, the government is proposing a number of good measures to strengthen its efforts to preserve the wild species, and that is important and correct. In addition to new national salmon flows and salmon fjords, a broad effort is being made, including: includes reinforced measures against the evacuation of farmed salmon, better conservation of salmon their habitats and stricter regulation of salmon fisheries. It is a fact that the Atlantic wild salmon is down on a historically low level, and that a range of threats creates great uncertainty about future salmon populations. These developments need to be reversed, and today's setting of national salmon fjords is an important contribution in this way. So I'll say a little bit about my own estate, Sogn and Fjordane. My primary position, and the Labour Party in Sogn and Fjordane, has, as everyone knows, always been that with three large fjords that are already protected, we didn't want to protect our last big fjord, and we felt it was an untimely burden for a county where the farming industry is an important part of the feeding ground for several district municipalities. In addition, I represent the state that has the greatest decline in the population of the time, and there is an absolute need for forward-looking jobs to reverse this trend. But now I'm still here today and I'm 100 pst. behind the good attitude that has come, this is because one has arrived at a very good balance between the precautionary principle and protection and the industrial interests. When we move the boundaries of Fördefjord to the temporary zone, as it has been for the past 18 years, yes, then both local business and protection interests will live further side by side, just as before. It has also been important for us locally not to put too strong a band on the Engebo mountains and the extraction of rutiles there. There can also be new, forward-looking jobs. One of the main environmental arguments when it comes to Fördefjorden, has been to preserve the good and beautiful salmon eel Nausta, as well. The left side of the board went to protect. Of course, one is afraid that the escaped farmed fish will mix with the wild species. So I want to comfort everyone here that Nausta has an uphill waterfall. that the farmed salmon with its butt and round shape does not actually come up in the river to spawn, while the wild salmon with its long, smearing shape fine things to carve the foot. Finally, I would like to thank the entire Committee for good and constructive cooperation at the very end. I mean that everyone – with the Minister at the high seat – has reason to feel like a happy salmon today.
ParlaMint-NO_2007-05-15.ana.ud2683e1924	Norway is a pioneer in the development of modern aquaculture. Aquaculture has become one of our biggest industries. Last year, Norwegian maritime food exports reached their record level. The export value went up to over 35 billion kroner. The farmed fish was more than half. Breeding is one of our most important industries for the future. The success of the breeding industry is paradoxical enough because today we are discussing the situation of the wild species and the creation of new salmon fjords and salmon rivers. Because there is no denying that contamination and escape from farms is a threat to the populations of wild fish and that it is therefore necessary to protect the populations in important watercourses against the incorporation of farmed fish. I note that the well-balanced solution that has now been found places restrictions on the farming industry, but not so that it significantly impedes the development of the farming industry. I have a certain hope, and have confidence, that the Government and the Storting are willing to see something different on today's permanent decisions as soon as the farming industry is run-off and the waste materials from the farms have been taken care of well. New technologies are being developed and under testing. If you succeed, and the industry is using the new technology, today's restrictions will have to be seen in a very different light. For the farming industry, it is now important that there is consistency in the administrative regime to which it is added, i.e. consistency between the measures in salmon watercourses and salmon fjords. The industry fears that stricter and more absolute requirements will be imposed on the activity of the fjords, while the management of the watercourses will be tidy and discretionary. The industry is also concerned that the Government is making sure that the administration is now dealing with the decisions taken by the Stortinget and does not go beyond the level of the restrictions imposed by the Stortinget. The same applies to the limits set by the Storting for the national salmon fjords. The farming industry has now seen the font on the wall. Significant work and resources are put down to prevent escape. Still, too much fish escapes from the farms. But in this darkness there may be a bright spot when the Directorate of Nature Management in a 2006 report says that the estimated number of escaped farmed salmon in the last three years has been at its lowest level since the 1980s.
ParlaMint-NO_2007-05-15.ana.ud2683e1939	When Stortinget dealt with the Finnmarks Act, the government was asked to investigate the rights of co-workers and others to fish in Finnmark. That selection is set down, and led by Carsten Smith. The Progress Party suggests in this setting to wind up hook net fishing, and they will impose strict restrictions on kilenot fishing. The progress batch here shows an impatience after making changes before the selection is selected. The size has asked for this investigation, and then it is also natural that the Storting does not make any major changes until that setting is made. The impatience of the party in this matter is incomprehensible to me. In the case of escape, we have to have two thoughts in our head at the same time. One is to prevent escape, and the other is to catch the already escaped salmon. Both parts require knowledge and research. There are many exciting projects in progress in both areas. In particular, I would like to refer to the committee position, where it says: «Required R & D funds should be made available to develop specially adapted fishing gear for the capture of escaped farmed salmon.» The aim of this is to protect the wild axis. There is no prevention of nutrition, on the contrary. Salmon is not synonymous with protection and difficult obstacles. National salmon fjords and salmon streams are not a negative factor in economic activity. I repeat: the aim is to protect the wild species, not to prevent nutrition. In the Committee: ‘The majority of the Committee, all with the exception of the members from the Right, would stress that the importance of the wild species must always be given to salmon fjords, but that different activities which do not hinder the development of the wild species must be allowed to take place in national salmon fjords.’ Existing breeding industries have development opportunities in national salmon fjords. The majority of the Committee considers that slaughterhouses already established must be able to move within the fjord and must be able to increase the slaughter volume as long as there is a reduced risk to the wild species. Norwegian salmon is an important brand for Norway. The villa gives us associations to clean and rich natural experiences, and the farmed salmon generates significant incomes and jobs. Government parties show that there is room for both in Norway.
ParlaMint-NO_2007-05-15.ana.ud2683e1967	I want to say that this debate took its to the very highest degree up to the end! First, a little bit about the confusing numbers around escape. Over the last 10–15 years, there have been between 500,000 and 900 000 salmon — of course, too many. At the same time, there are 220 million individuals in Norwegian salmon regions. This means that we have an escape rate of 0.25. It's a strong improvement on what it was before. Then there was one that was so unfortunate to say that the number of salmon that escapes every year is as large as the Norwegian salmon population. Had it been the case, Norwegian salmon would have been in a serious crisis. Every year it goes out approx. 10 million melts from Norwegian salmon rivers. As far as I know, 10 million is a much higher number than 500,000. So to the gyro bet. All credit to the Government for an improvement in that area – but we are still far away from the level needed to get aluminium treated, for example. Weave, which is the next thing that stands for the turn. Maybe it's time for the salmon debate to bring in the question of whether we need to use Rotenone to a greater extent, which is a much cheaper treatment. Ola Borten Moe said that Tore Nordtun has his words in mind when it comes to protecting Sandsfjord. When Tore Nordtun said in the election campaign that no more premises in Rogaland should be protected, I think it can be said that Tore Nordtun today has no words at all. I can also make the Workers' Party and Tore Nordtun aware that there are two concessions for stem fish and two sites that are protected, not one, that representatives from the Workers' Party have stated. And then you talk about constraints on the industry and say that for the existing industries, it doesn't have very much negative consequences. No, and if I had stood here and only been occupied with industries that exist in Norwegian districts, I would have taken it with crushing calm. The problem is that protection prevents any possibility of growth and development in these areas. That's the problem, not that those who are there today get very big problems. Some problems they have, but the big problem is that you stop the possibility of growth in the industry. I think that's a shame. Then for salmon fishing. I can't for my own life understand that the salmon will get a little less away if it's caught by a single or a Northman. I can't see that hook net fishing is anything better than drift net fishing, which you used to drive in the old days. I want to hear the representative who is ready to go to the pulpit today and defend the reintroduction of drift nets.
ParlaMint-NO_2007-05-15.ana.ud2683e1984	Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 3023]]
ParlaMint-NO_2007-05-15.ana.ud2683e2000	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 5 minutes to each party and 5 minutes to the Council of State. Furthermore, the President will propose that five lines of reply be given within the allocated speaking time following contributions from members of the Government. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-05-15.ana.ud2683e2009	We are dealing with the evaluation and follow-up of the Childcare Reform, which entered into force in October 2003. The background to the reform was the need for changes in legislation that had to a large extent been designed in the 1960s and was thus based on the family pattern of the time. In the typical family of children today, both parents contribute to the family’s financial support and to home care. A child benefit system adapted to the current situation must be based on the best of the child and reflect the development of equality between men and women, so that the child’s need for association and care is shared between parents according to their opportunities. The Committee, in its comments, stressed that children’s contributions initially belong to the field of private law, stressing that the care of their own children is the responsibility of their parents, regardless of their parent’s relationship with each other. It is nevertheless the case that the public has a responsibility to ensure that both parents comply with their dependability towards the children. In this context, it was – and is – a challenge to design rules that motivate the greatest possible number of parents to arrange contributions between themselves. It seems to have worked. Today it is approx. 40 pst. finding a solution without public assistance, against between 10 pst.– 15 pst. before the reform. The starting point for the rules on contributions is to cover the dependability of children. Therefore, the cost of maintenance for each child is a key concept. It is therefore the maintenance costs to be shared between parents. On this basis, the majority of the Committee, all except the Christian People's Party, supports the repeal of the provision on supplementary contributions in cases where contributors have particularly good advice. When determining maintenance costs, account shall be taken of the fact that these vary with the age of the child. The Committee supports the amendments proposed and considers it reasonable that the calculations should relate to the standard budget of SIFO. The Committee emphasises that the child’s need for custody is shared between parents according to their financial capacity. The ability of parents to support the child means that the cost of living is shared in relation to income and in relation to what the contributor can reasonably pay. If the contribution is so high that the contributors are unable to provide for themselves, it must be assumed to compromise the cooperation between the parents and the community. There has been – and is – a broad consensus on the principle that association should have an impact on the size of the contribution. Its more cohabitation, its greater deduction from association. The government is also committed to taking into account, in the public determination of contributions, housing costs incurred by the contributor as a result of his/her relationship with the child and will calculate the increased housing costs of the contributor into the community allowance for the classes 2, 3 and 4. The majority of the committee, all except the Christian People's Party, the Right and the Left, join this. Various minorities in the Committee have made proposals concerning measures to combat cohabitation, automatic sharing of care and the investigation of class 2 taxation for contributors. The majority of the Committee refers to the establishment of a panel to review the Children’s Act and to the assumption that these issues are addressed in the context of the overall review of the Child Law Committee’s provisions on parental responsibility, permanent residence and association. I expect that the minority itself will explain its proposals.
