ParlaMint-NO_2007-06-05.ana.ud458e51	The representative André N. Skelstad, who has been licensed, has once again taken the seat.
ParlaMint-NO_2007-06-05.ana.ud458e1775	If I used the word «meiningslos» that Stortinget gets some cases for treatment, I will ask why. The size is in their right to ask for whatever things they want. When the majority in the Storting want it, the Storing gets the stuff they want. Nothing is meaningless from Stortinget's side. I'll make that clear. However, when it comes to the process around the national transport plan, it is at least difficult – let us say – to get a holistic plan, one way up the individual elements to each other, if significant areas in the plan are all bound up by decisions in the Storting. At least that's what I tried to say. Then it might not have appeared clearly enough. As I said, I can imagine that there are representatives in this room who have other areas they could also plan to raise and get a mandatory plan for, whether it concerns traffic safety or other areas. My intention was to say that we should have the opportunity to weigh the different areas against each other, which are precisely intended for the national transport plan, it is difficult to do so by a process where individual areas are bound by bulking decisions. When it comes to the rights, it is clear that the promises contained in the revised national budget are one-time. The frame is in budgetary decisions, and in the frame we are to be in relation to the national transport plan, after two years. I am very pleased, as I said, that the Government is committed to the national transport plan, and I have ambitions that it will also do so in the coming budgets that we are going to present. It's an important area we're discussing in Stortinget today. There are many around this country who feel insecure every day and must run on a racial road. How it can be felt to send their kids by the garden on the school with insecurity if the school bus can be hit by a race, I don't think anyone can imagine who hasn't done it themselves. For this reason, it is also symptomatic, of course, that those who have experience in those parts of the country where this is highly debated are the ones who are most concerned about it, even at the Stortinget’s pulpit today. But lifting this debate, as I said in the introduction, I am very pleased, and I hope that the commitment that has been expressed here today will be followed in a cross-political manner, so that in the national transport plan and in the forthcoming budgets we will receive cross-political support for a lift for racial protection, because it is undoubtedly necessary.
ParlaMint-NO_2007-06-05.ana.ud458e1788	No more people have asked for the floor on case No. 3rd@item: inlistbox [[Food, see page 3327]]
ParlaMint-NO_2007-06-05.ana.ud458e1804	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. In addition, the President will propose that five lines of reply be given to post from members of the Government within the allocated speaking time. In addition, the President will propose that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2007-06-05.ana.ud458e1813	I would like to start by presenting, as the rapporteur on the matter, the content of the Committee's position, and then say a little about the Christian People's Party's approach to the issue raised by the proposers. The document makes two proposals. The first is to have a separate proposal on trials on free régionalisation of the four named régionalise detachment in Norway. Furthermore, the Government is asking for the necessary appropriations to be incorporated into the revised national budget so that the pilot projects can be launched in the second half of 2007. In the Committee's observations on the position, the majority, all except the Advance Party, refer to the opinion of the Ministry of Transport of the State Council of the case. The majority point to the fact that the Council of State will come back to the question of free ferries in the budget proposal for 2008 and that, in her view, it is the earliest realistic time for any reasonable clarification of budgetary and other matters relating to trials on free ferries. The majority also have no comments and suggest that Document No. 8:54 is annexed to the Protocol. The members of the Committee wish, on their behalf, to launch pilot projects in four counties. The reason I expect them to be included in the debate themselves. With regard to the Christian People's Party's approach to the issue of free ferries, we have previously expressed scepticism for such a priority of national road transport. We think the vast majority are most concerned that the ferries often go, that they drop cows and refurbishment, and that there is good capacity on the different connections. We think it's the most important prerequisites for road users to get along properly. However, when the Council of State announces that the issue of free ferries will become a topic in the context of the 2008 budget review, we look forward to it, because we are open to looking at the results of pilot projects. Good and thorough backgrounds of experience are important before we draw our final conclusions. Important factors that may determine whether free ferries should be current or not include: the amount of traffic increase it will bring, and hence the amount of capacity increase that will be required. If more ferries have to be built, this will lead to significant increases in costs and maintenance, which will also increase due to increased traffic and will result in large increases in the cost of the country for many years to come. In that case, the assessments to be made must be included. There are also many who fear that the consequences of such a free system will be that more road users will take the car on a ferry instead of using collective means of transport, which will lead to additional capacity needs and, in the worst case, longer queues. In this case, public transport may be the loser in such a project, and it is necessary to assess how collective societies should be compensated for the loss of income. We also need to listen to the business community in such a case and look at the question of free ferry services that business is most concerned about. I believe that the road system and safe and efficient development are more important for business than getting free ferries. A good ferry service and upgrading of the road network may be a priority rather than a free ferry service. These funds may be used for more urgent tasks in ferry and road transport than to finance free ferries. But it's going to be exciting to see the result of any attempts on free ferries, and the Christian People's Party will be involved in conducting trials, despite what I've now pointed out of things that could be the result of such an assessment. The most important thing for the Christian People's Party is regardless of the fact that the state ensures a satisfactory offer on the national roads, with sufficient capacity, frequent departures, predictability and without delay, and without the constant question of cows and resettlement. I refer to the Committee's position, promoted by the Labour Party, the Right, the Socialist Left Party, the Christian People's Party, the Centre Party and the Left. The Committee urges the Stortinget to attach Document No. 8:54 Minutes.
ParlaMint-NO_2007-06-05.ana.ud458e1839	For the previous speaker, it is to say that you actually have to do some trials in order to get experience. I notice that the representative of the Christian People's Party is committed to protecting public transport and regards ferry tariffs as some kind of anti-mobility measure, but still says yes to attempts, just not now. That was a little confusing reason. The progress party will have free ferries. The Progress Party believes that the national roads are part of the national road – it is to be paid by the State. We're glad we at least have the Senter Party on the team. The program of the Centre Party states: ‘Risk road ferries are to be considered as part of the road network and should therefore in principle be free of charge, as they are in Finland and Sweden.’ In the Soria Moria declaration, this has rightly been rewritten. That's what it says. ‘Risk roads are to be considered as part of the road network and the costs for those using them should be reduced. The government will improve the discount schemes and investigate whether some sections can be made free of charge.» It's like school food. Or to stick to the terminology of this matter: there is a good ferry trip between the program of the Central Party and the Soria Moria declaration. It has not been completely free of charge to the voters of the Centre Party. The Progress Party is pleased that there is an investigation on the free use of ferries, which has been carried out by Møreforsking and presented in March of this year. The progress party is quite skeptical about the investigation's assumption that the free principle applied in all relationships will give a full growth in demand of 45 p.m. We doubt that a near-release travel activity, or the carriage of a car by road, will occur if the ferries are free of charge. Most people, besides the whole country, probably don't travel by ferry just for the sake of the experience. On the other hand, the progress batch agrees that, as the investigation actually recommends, test projects should be started using free ferries. The progress team would like to do this as soon as possible and believes that it is possible to get everything started in the harvest. Indeed, the party of progress thought that there was something the government wanted to do, cf. The quotation – The Government will ‘determine whether some sections can be made free of charge’. So the investigation is done, and it recommends testing different types of ferry service. So what are we waiting for? The progress party has pointed to four ferry connections in four counties: Rv. 544 in Hordaland, E39 – ferry service both in Sogn and Fjordane and in More and Romesdal – and E6 in Nordland. The sum of grants and revenues from these connections was approximately in 2005. 160 million. kr. 58 million. NOK 100 million was a grant. kr was revenue. Even with a traffic growth of 10 pst. the cost of testing free arrangements for these ferry routes for a period of three months in the harvest would be less than 30 million. kr. That sum adds the Progress Party to the revised national budget. This is a small amount of money for such an important experiment. It is allocated to four important coastal areas with a lot of ferry traffic. The practical organisation of the experiment should be possible for the department, road directorate, affected counties and ferry operators to be put in place until the last quarter of 2007. So we're talking about four ferry sections, and with that administrative apparatus, it should be possible to do it. Here it is the will that is lacking. The political will is lacking. No other batch supports the proposal of the Progress Party to launch a trial project. We find that both incomprehensible and regrettable. I refer to the proposal of the Advance Party in the vote.
ParlaMint-NO_2007-06-05.ana.ud458e1869	The representative Arne Sortevik has drawn up the proposal he referred to.
ParlaMint-NO_2007-06-05.ana.ud458e1872	The right hand supports the Government's position on this matter in order to proceed cautiously. Why should I come back on the road, but first maybe a little bit of a historical perspective. It is true that there have been debates about being transported with ferries and the cost to users many times in this room – yes, almost all the way back until we started with ferries. At some point, a agreed decision was made that it would cost the same as driving the corresponding route on the road. It was an important principle that was taken into consideration for a while. The discussion was then up against Sweden, which had free ferries. Then we've seen a price rise in fares that over many years have been far higher than inflation. It has brought us in today's situation, where we have also received a passenger payment. Today, the situation is that there are 8-10 kroner for the cheapest trips and up to 25 kroner per trip. km for the longest journeys. So you could say that the original goal is left a while ago. The ferries represent a transport system that prevents and inhibits mobility and growth. There's two reasons for that. It's the cost of the crossing, and it's all the disadvantages of being ferry dependent. It is therefore a major, under-cover transport demand that inhibits economic development and growth, particularly in the districts. So I will dare to claim that ferries are yesterday's means of transport, and are not adapted to future demands and solutions for our business. The strange thing about ferry transport is that the theory of supply and demand is a little out of play. We've seen that multiple times. When, for example, have advance tolls on a ferry link, the traffic is not inhibited by it at all. It tells us that there is a large, suppressed transport demand among the users. The other way, however, is the ratio differently. It also shows the report of Møreforsking, ‘Free use of ferries — Some possible variants’, as it is called. Free ferry transport would provide a demand incentive we can hardly satisfy in either the short or the longer term, economically or materially. The research report shows 40 p.m. growth generally across the country. I actually think this has been carefully assessed, because there are also some mechanisms that occur along the way when one gradually establishes another transport system and a cheaper way of moving. So the 40 psts would probably increase sharply. However, the cost of ferry transport to users would undoubtedly be directly borne by the state budget, but then by the state that pays. I think that in turn would feed a debate on replacing many of these ferry connections by road, because it would burden the state budget considerably, and is so seen positive. But today we have a system that directly stimulates this through holiday relief grants for fixed connections, which is a good system. We support, as said, the Government on this issue and expect the Council of State to come back with the matter. However, I would like to ask the Right to ask that the test project with which the Council of State may come back is a type of connection which, in the foreseeable future, is not technically or economically likely to replace with fixed connections, precisely for the reasons I mentioned above. Then I also want, since I have a few seconds left, to link a comment to another aspect that I think is very important for users, namely to make today's ferry transport easier by transferring the AutoPASS system on the bomb roads to the ferry transport. There is no doubt that there is a success in the Fleak-Rørvik connection in the South Trøndelag, and it should be continued, at least as a step on the road to make ferry transport less difficult.
ParlaMint-NO_2007-06-05.ana.ud458e1889	Today we are discussing a Document No. The 8 proposals from the Progress Party as a whole are a very good campaign scheme, because it takes into account different states where the Progress Party is represented, and a healthy home with measures on ferry links there. It's just a monkey with it, I thought, which is rogalending, and they're that the Rogaland Progress Party is forgotten in this election brochure. I believe that will be marked in the election campaign. I still thought it was a little strange to see – but it is also positive – that the Progress Party reads the Soria Moria statement, and then they find out that it was a good idea to try out free travel. I think that's a trick too. But I don't think we should rush as the Progress Party does, to reach this before the election this year, which is their point. I think we have to spend some time on this, which the Minister for Transport also suggests. I have nothing against the fact that the connection I have with most, the Tau connection, becomes a free project. Solevåg–Fesskool, which is one of the names here, or Smøla or Aukra – all these connections I have no objection to trying. But I think we have to take it easy, because there's a cost side of this. Maybe you need to do different things on different connections. A lot of connections would have lighted up very much if it was such that you had more people in the car, it was free for the passengers. Other links had been found to be cheaper for the trailer transport at night, so that the queue due to the food transport was moved partly to the evening. Such intermediate solutions also need to be considered when setting up this issue of trying out free connections — intermediate solutions that also work for travellers. The Halleraker's point was, of course, that one must have a way all over the place. I don't think that's the solution. The hardware bridge is the last error you made in that context. There we now build a difficult bridge that facilitates increased traffic in an area of Hardangervidda, which one should not have done. If you just think about it and you want to solve it all, not least in the West, tourists won't see much when they get to the West. Then, in such long tunnels, which Halleraker himself has the power to build, tourists are sitting in. They have to run up and down in them instead of sitting on the fjord and seeing the beautiful nature we have in the West. So there's no doubt that I didn't think it's so important to build all these underwater tunnels that the right side of Norway adds. On the contrary, it is important to keep some ferry connections, not least because of tourism, but also for many other reasons. It's e.g. It's very beneficial for trailer drivers to have some run breaks sometimes when they come to ferries, and it's very beneficial socially to have a place to meet and not sit alone in a car. There are many positive elements to take the ferry, but I'm going to start talking about Love's vacation trips. What I want to sum this up with from my side is that I want us to figure this out further, and that we get to try out free ferries. But first of all, it's important that we get a very good frequency, that we have a good capacity on the connections we have, not least on the Tau connection, where this government has actually done something. We have an open night ferry, like the Bondevik II government and Halleraker dropped. She's now open to me again. Now I want to get a new ferry there. But first of all, we need a ferry capacity and an offer across the whole country that makes people happy with it, not a new call for new tunnels.
ParlaMint-NO_2007-06-05.ana.ud458e1906	The progress party wants to try free ferry operations, and that's what's going to happen now. The funds shall be made available through the revised national budget. It's a little bit typical of the Progress Party. No other party could do it this way. It will obviously have economic consequences. I see that there is a need to strengthen ferry traffic. This government has already introduced discount schemes on cut-off cards, thus facilitating ferry traffic. There are major needs, as other representatives have been in the past, to increase the frequency, increasing supply. Therefore, it is in no context other than the budgetary context that one can look at the issue of free ferry services in relation to all other needs on the road, including the need to strengthen other areas of ferry traffic. I came in here and watched the end of the structural debate when it came to the fishing fleet. Then there was a discussion about the Progress Party's ideology and the progress party code. It's at least one thing that characterizes the Progress Party very well, and it's that they're for everything that's popular, regardless of costs. The sum of this is a government use of money that, especially in a high economic situation, will produce only one result: price and cost increases and increases interest and interest rates, with dramatic effects on business and most people. The progress party manages to present it as if it is so very unfair that the drivers are going to pay tolls, that we are going to pay on ferries, etc., because this is what the state is going to pay. It's kind of like the state is a being with enough money somewhere. But the state isn't me, as Louis XIV said. The state is we, and if we're going to spend more money in one area, we have to take it in on others, at least if we're going to stay within a somewhat responsible framework. If at all there is something that is the progress party code, it must be the code of the oil fund. The rest of us, who are to stay within responsible frameworks – we spend 70 billion dollars of the oil fund now – will meet all challenges in a completely different way from the Progress Party. Therefore, it is hopeless to have a constructive debate with the Progress Party on challenges to be solved in society. Free travel – yes, we would like that too, of course. But we need to see that in conjunction with other needs, not least on the holiday page. We see that the Progress Party refers to more research and distribution that has been done and uses it as the basis for its proposal. But where it doesn't suit them, that's when it says that it will lead to a very high voltage of 45 pst. And then with a cost of NOK 1.7 billion, they only say that no, they doubt – without having provided any more professional evidence of it. They're adding base 10 pst. and $1,350 million. kr, what they had to build it on. Otherwise, they refer to Moresearch, as well as to have a basis for the four concrete proposals for ferry services that they will undertake. If we're going to do something like this, at least we have to have a more thorough assessment of whether it's right to start with exactly these four ferry connections that this point to. It looks like – as the representative Hallgeir Langeland was in – rather suspicious of a need for a marker before the upcoming election. It is interesting to note that there is some agreement between the home address of the representatives who have made the proposal and the counties in which these links are located. Actually, I just miss Buskerud. Actually, a well-kept with the Svelvik-Work, so that Bård Hoksrud also had his ferry connection. The Labour Party agrees with what is stated in the Soria Moria statement that we're going to figure this out and look at the possibilities to get a trial plan started, but we're not going to agree to do this over the table right now. It must be seen in budgetary context and in relation to other needs that one might have.
ParlaMint-NO_2007-06-05.ana.ud458e1923	For a centre party, it might be a rushing close feeling when the Progress Party comes forward with proposals for free travel attempts, and that this should be done already in the autumn of 2007. When they also write in the notes that this is important in order to introduce free national road ferries across the country as soon as possible, I should be euphoric. When I don't react like that, it's first of all because I think of a quote of A. H. Weiler: Nothing is impossible for someone who doesn't have to do it himself. Secondly, it's because the Progress Party with this confirms the suspicion I've had for a long time, namely that these representatives' proposals are often used to come up with the Government in advance of things that one knows are coming, to present it as if most of the initiative and action comes from the opposition. In this way, I get an association to visit the mirrored house at Tifoli, where one walks around and looks at himself – long in the mask and with the body distorted in all kinds of unrecognizable forms. Misunderstand me correctly: it's especially important to have an active, creative and constructive opposition, because at best, a team can combine the best of all parties and bring the country forward to new heights in this way. But an eternal struggle to appear like the one who's invented the powder himself, I can't understand is to develop politics. The fact that the Progress Party is trying to present itself as the leading champion of free travel is therefore reason to comment, because this has come after the Minister of Transport has seized the case from the very beginning of the government. She has ordered and received a report on free-of-charge travel attempts from Møreforsking as a basis for a trial to be included in the budget for 2008. As you can see, it is entirely unnecessary for the Progress Party to present this proposal now. If a ferry is to be called a ferry, this is about getting the government in advance and trying to get a powerful government council to act as a tasty and reckless. Holidays are an important part of the everyday life of people in large parts of the country, and business depends on these ferries to obtain their goods, to gain access to labour, etc. Defining the ferries as part of the national road network, which will be free of charge, would be a long step forward to make the conditions more equal for people and businesses throughout the country. Therefore, it is good that the Government has included in the Soria Moria declaration that such a free ferry attempt should be carried out as a basis for further assessments. New policies must be built on stone. The one stone was the report of Møreforsking; the next would be to have the experiment carried out. To do this, you have to find the correct layout and position of the next stone. decide how the experiment is to be conducted and on which ferry routes. That things take some time is actually sometimes useful to get the best possible quality on it – to get a good base wall, so to speak. The centre party has meant this with free vacations for a long time, so we are now looking forward to the free vacation attempt initiated by the Council of State.
ParlaMint-NO_2007-06-05.ana.ud458e1942	Holidays are important for busses and the development of businesses along the coast and in fjords. So the government wants to reduce the cost to users of the ferries. In the Soria Moria statement, we said that the costs for ferry users should be reduced, and that we would decide on some ferry routes free of charge. Fortress research last year was committed to making such a statement. This release was completed earlier this year. In the report, Møreforsking discusses eight different options with free travel – from free on all connections to free on the smallest and longest connections. The cost of the different options is between 160 million. NOK 1 700 and SEK 1 700 million. kr. In the report, Møreforsking recommends that free-of-charge travel be attempted before any permanent scheme is put in place. In Document No: 8:54 a proposal is made for a free-of-charge trip on four specific connections. I do not initially have any comments on the links proposed, although I hear what other representatives have said, and I have also looked at the addresses of those who have proposed them. However, I would like to point out that the purpose of test schemes is to learn the most about the consequences of making connections free of charge. Therefore, any relationship that might be most relevant to the collective experience must be assessed. I also think we should have a plan to carry out a survey of travel habits to get an overview of the impact of free travel on these. On the basis of this and other necessary pre-work, I believe that it is not realistic to start a free ride to the cottage already. I also note that accounting data from the fleet layers of the State Road Administration show a total revenue in 2005 of less than 102 million. apply to the connections proposed to do so free of charge. Since this is the 2005 figure, and there can be no escape from the need to increase capacity due to increased demand, this is likely to be at the lower limit of the annual cost of making these connections free of charge. In other words, the cost of making the connection free is so high that, in my view, a person cannot decide which connection is to enter into a probationary system, but also to decide on the costs as part of a comprehensive assessment of the rights of transport operations – in other words, this is also a budgetary matter. On the basis of what I have mentioned, I believe that this proposal is not sufficient to decide how a trial plan with free ferry should be implemented. I am pleased with the positive willingness to try out a free ride contained in this proposal. So I hope for a good dialogue on the future. The representative Halleraker made me aware of an option that was submitted about a previous document no. Eight motions for resolutions - Nos. 8:63 for 2004–2005 – where, as an alternate of the Stortinget, I was together with the Progress Party for a proposal to ask the dwindling government to provide an assessment of the introduction of free travel for users. The centre batch was never included in a proposal that included the introduction of cork sample schemes or permanent arrangement above the table. For this, the Center Party is far too responsible. We have good experience in sitting in the position and we know that a person needs to set things straight in order for one to land on his legs when one is going to implement them. As I said earlier, I will come back to this matter in the 2008 budget proposal. So a little comment on Sortevik's harelas about the Soria Moria Declaration and the Center Party's program. The Soria Moria Declaration is a compromise between three parties. The central party's programme is the central party's primary position. I am aware that the word compromise may be a foreword to the Advancement Party, but there is therefore a party that will implement something of its policy, not just be pure and rank and propose decisions that one knows will never be adopted. Hence, the Center Party's program is not listed in the Soria Moria Declaration in its entirety, but it is hardly far from it. The progress party follows up the report from Møreforsking without handling the case, but points out that it knows better than the researchers, especially when it comes to how much demand will increase. More research Is 45 pst., Progress Party 10 pst. No budgetary coverage is shown. In other words, this is also an irresponsible or unrealistic budgeting. I am pleased that the majority are well aware of what I have also said in this Chamber before, namely that a person will be able to discuss this in the context of the 2008 budget.
ParlaMint-NO_2007-06-05.ana.ud458e1970	It's going to be line change.
ParlaMint-NO_2007-06-05.ana.ud458e1974	I want first of all to correct the last of several misunderstandings. That's the coverage. I said in my post that, in parallel with this case, the Advance Party is adding 30 million. kr in connection with the treatment of the revised State budget. It is in line with the original wording of the proposal and as repeated in the proposal. I can't believe it can be hard to understand. It is also the case that the Progress Party is well aware of compromises. In fact, we were in a compromise when it came to the National Transport Plan, an area that I believe the Council of State knows. I would like to ask concretely: how long will it be with the arrangements of the Council of State and the Government to put in place a trial of free ferries? And why do you have to spend so much time doing this, when it comes to limited trials on some sections?
ParlaMint-NO_2007-06-05.ana.ud458e1983	I have given the State Road Service a task based on some of the criteria set, to propose different packages that may be relevant for any attempt to get free of charge. It is also true that even if we have received a research report from Møreforsking, the Government, in this case the Ministry of Transport, will make an assessment of what is in the report, by going into a single area and quality assurance individual areas. We also do that now before I present this matter to the Government. We will come back to the cases in the budget for 2008, and then there will be a good opportunity to discuss them further. It's otherwise an interesting debate to attend today.
ParlaMint-NO_2007-06-05.ana.ud458e1988	My reply to the Council of State does not go directly on the theme of free ferries, but a little bit on what I tried to pull up my post, namely this with Autopass on ferries. It requires that it is free for passengers in any case, so that you get a lot more comfortable on board the ferries. Today we see that at the most busy connections in the West, there is actually no time to make payment at the ferry stop. So there's an absolute need to develop the Autopass system. I hope that the Council of State will look at this again and perhaps not be so concerned with proven neutrality in relation to the total cost of the user, because that was what, among other things, was. stopped this last, by over-expensive transport of food. This should not be a burden on industry. Can the Council of State say if she still wants to look at a system of Autopass on ferries?
ParlaMint-NO_2007-06-05.ana.ud458e1993	It's been picked up from some quarters and from the government's members in Western countries, if it's especially on the large connections that are now on gas ferry, it's time to look at this. I'm assessing it. I do not want to give you an exact answer. As I said, I have received requests for it and will see if it is possible, either for a limited area or for a wider area. The experience gained from this evaluation showed that the cost of transport for food was relatively high. There is a development that the Council of States does not want. If you want to go on with this, you have to find other models than what you've looked at so far.
ParlaMint-NO_2007-06-05.ana.ud458e2000	The left agrees that the first possibility of introducing trial projects on a free-of-charge basis in the case will be in the budget for 2008. The three months that the Progress Party wanted to commit would be too little time to evaluate it as well. That being said, we can imagine a test project, as also Liv Signe Navarsete has signaled. And then I wonder if one might think of trying a free ride in relatively weak connections, where there is a lot of support from before and free travel can be introduced without the need for a capacity boost, such as for Smøla, an island community without any other connection, and where a trial project has been applied for. Is there a thought to join?
ParlaMint-NO_2007-06-05.ana.ud458e2007	There's a lot of commitment around the country for free vacations and to get on a trial project, as well as from Smøla, and they've reported their interest in this along with a lot of others. There is no doubt that it is interesting to look at the connections that have relatively little traffic. The report also points out that there is one alternative to looking at these relationships, where it is likely to mean a great deal for nutrient development and availability, nor will the large capacity increase estimated overall in the report. I have not received the suggestions I have requested from the Directorate of Roads. They're going to give me different models of this. So I can't answer if Smøla joins if there's a trial project. The government doesn't have a position for that, so what we're discussing here today is premature. But, as I said, in the 2008 budget, I come back to the matter.
ParlaMint-NO_2007-06-05.ana.ud458e2016	Since I was accused by the Council of State of hoaxing with the Soria Moria statement, I'll have to take it too. I didn't. I just found that there was a significant distance between the Central Party's programme statement and what has been negotiated. That's okay. But the point was to show that there's a piece in between. I then take the opportunity to reassure the Council of State once again that what is the main objective of the Central Party is that the national roads should in principle be free, it stands firm – so that the Centre Party will continue to work for free national roads, just as the Progress Party will continue to work for free national roads.
ParlaMint-NO_2007-06-05.ana.ud458e2021	The centre party has no new national meeting and has not changed its program, so the centre party application is stuck. But it also states that the Center Party is part of a red-green government that has a document, the Soria Moria Declaration, which obliges me to direct the activity that I, the Council of State in this government, put up with my work after. And so it is. It's both loyal and solidarity to us, and it must be all the parties that are in government; if not, it will eventually be a complete chaos. However, when I – as I said from the pulpit – am very satisfied with the Soria Moria statement, it is also because it was not given that there should be one word about free travel in the Soria Moria statement, and that the option would be far worse for the Central Party than getting a point that 1, the ferries should be more reasonable, and 2, that we should have a deal about any trial project with free travel. In any case, if you had a serious way of dealing with this problem, you'd have to go that way.
ParlaMint-NO_2007-06-05.ana.ud458e2028	No more words have been asked for a line. The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-06-05.ana.ud458e2033	The journey is the road when the bridge or tunnel is not there. Thousands of people have to adapt to this phenomenon every single day. The ferry is, in addition to being a fjord, sea or ocean-going ship with space for motorcycling, a very important element in the scheduling of people around the coast every single day. Not only does people fit their everyday life after the ferries, but it costs people, and it costs business. Those who live along the fjords or on the islands have to charge an extra cost on the journey from a to b as a result of the journey. As I said, this applies not only to individuals, but also to businesses along our coast. I could use a little of this post to tell you a little about the traffic jams that have happened on some ferry trips around the coast after today's government and the Council of State joined, and how it has helped to make life easier for many of those who use the vacations daily. But today this is about the cost to the users, and it is about the vision that the Center Party has lifted in its programme, among other things. to do it for free to use the ferry. Then, in this debate, we are confronted with the question: Do the ambitions of the Central Party stand firm, and how do the Center Party's programme go up against the Government Declaration? I think no matter how the question is asked, it is to say that probably for the first time in history this is a theme in a government statement in the form of a test scheme – on some sections, correctly enough, but it is a theme for the first time. There was no theme in the previous government government statement. It was not of the things that the previous government's most faithful supporting party, the Progress Party, prioritised the three years they spent shaping the state budget. Of course, we in the Center Party are pleased that the Progress Party in even one area comes after and shares our vision in one thing. But I feel the need to challenge the representative Per Sandberg, who stood on this pulpit in the previous case and said it about such that it was sought to challenge a sitting government on matters one had the possibility of doing something with itself just a short time ago. Then the question of the Progress Party and Per Sandberg must be: is it only sought if it was the previous government that did it, or is it also sought if it is the most faithful supporting party instead of the government that does it?
ParlaMint-NO_2007-06-05.ana.ud458e2042	I'll answer the last challenge immediately. The Progress Party is a continuous democratic party. The proposal on free national roads was discussed at the 2005 Progress Party national meeting in a heated debate and adopted. That we've followed the Center Party here is probably positive, and that's why we also had that debate. We did not have the opportunity to challenge the previous government on this, because we would like to have the party and the organisation with us on such a kind of programme change. That's how we do it in the Progress Party. That is why it becomes a little strange when it comes to the fact that the proposers belong to the states where the proposed tests are proposed. For the Progress Party, it is very important – and we see it as a strength – that the representatives affected by the proposals we are promoting are included in this Chamber. It is done throughout with regard to all proposals for representatives, all stowage proposals and all ostrich proposals. If our representatives are affected in some way, they are either co-suggested or informed and involved in the process of the batch. We're very happy about that. Then I notice that Rudihagen has registered that we are the only party that has reasonable solutions in terms of infrastructure. I just hope that it makes sense at some point, when he says he's happy that the Progress Party is the only party that takes this seriously. And so it is that I listen to what is said by the opponents of free highways – because that's what it is. My point – and the point of the Advancement Party – is that it is the government that has asked for an investigation into trials – through Møreforsking. And they've got the answer from Moresearch: Yes, it makes sense with trial. Then we propose attempts, in line with our program and in line with what the government has wanted. It's not right, as the Council of State says, that we're doing it without handling. Under point 1 of our proposal, we ask the Government to ‘propose its own deposit proposal for free régionalisation attempts’. After all, until the fall, the government will have the opportunity to investigate it – and then present it in a staging proposition. However, in order for the money to be in place for the autumn, it must be granted in the revised national budget. And we do that at the same time. That's exactly the right procedure we're going to follow here. Then it was claimed – and there I disagree with the representative Halleraker – that ferries are yesterday's transport. No, I think a lot of ferry links are actually the transport of the future. So there I agree with the representative of Langeland. I think that the focus on free riksveferge connection will lead to a less pressure on building tunnels. And I actually agree with that.
ParlaMint-NO_2007-06-05.ana.ud458e2064	I represent a state where ferries are daily for a lot of people, and where business is totally dependent on them – and have to pay to use them almost daily. That's why we, who represent the Progress Party in Sogn and Fjordane, have received requests from both people and businesses that think it's totally unreal that they have to pay an extra fee to take a ferry where there's so much distance on the fjords that it's hard to build a bridge over. We from the Progress Party in Sogn and Fjordane took this up at the national meeting that Per Sandberg pointed out. We managed to get multiple numbers so that this would be the Progress Party's policy. Following the 2005 national meeting, this was incorporated into the Progress Party’s principal programme. I am very pleased that our members of the Transport Committee have followed up the decision taken by the national meeting in 2005. I have to say that it is interesting to register the government party in the debate, where one on the one hand has very good arguments for free ferries, while one on the other hand indicates that the cost of the state will be very high. Yeah, that's right. This cost is now borne by people and businesses – because it also costs business to pay for holiday tickets. It also has an impact on rural policy and on each of our countries these businesses should be located. I can refer to a company in Sogn and Fjordane – Lerum Fabriker in Sogndal – that pays a lot for ferry tickets to their trailers. They have calculated that it would be so expensive that it would probably be profitable for them to move the companies from Sogn and Fjordane to Austland. It's just a loyalty relationship with Sogn and the Fjords that makes them still there. That's the problem we have in Sogn and Fjordane. I sincerely hope that the Government will make an adjustment in connection with the 2008 budget that is positive for free ferries.
