ParlaMint-NO_2007-12-17.ana.ud1745e106	The representative of Asmund Kristoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-12-17.ana.ud1745e1100	First, to the agent Fleet. I am pleased with that description of a central source's history in relation to that note relating to property taxes, but on that basis one must be able to conclude that some principleal resistance may not have been on the Right's side. I guess you wouldn't have been able to ask for an assessment of the property tax system we now have. With regard to Magnar Lund Bergo's desire to look at the proposal of the Christian People's Party and the Left regarding the most luxurious dwellings, it is clear – after consultation with Sponheim – that there is a temptation to fall. We shall now turn this into a transmission proposal.
ParlaMint-NO_2007-12-17.ana.ud1745e1107	Several have not asked for the floor on case No. 7th@item: inlistbox [[Fotation, see page 1536]]
ParlaMint-NO_2007-12-17.ana.ud1745e1123	The case concerns proposals by the depositors Per-Willy Amundsen, Åge Starheim, Ib Thomsen and Jørund Rytman to investigate the consequences of letting municipal businesses be covered by the ordinary VAT code. The majority of the Committee, made up of government parties and the Christian People's Party, points out that the current general system of VAT compensation was introduced on 1 January 2004. This scheme was established with the intention of eliminating the discrimination between municipal self-production and the purchase by VAT-based operators of which the VAT system gives rise. The majority point out that the general compensation scheme means that municipalities are compensated for the value added tax paid on all goods and services purchased from registered traders. Thus, the VAT will not represent any additional cost of purchasing services from private individuals. The scheme thus does not affect the choice between self-production or purchases from others. The majority are mainly of the opinion that the legislation is designed in line with the recommendations of a wide-ranging selection in NOU 2003: 3 Value added tax and municipalities – distortions of competition between municipalities and private individuals. The majority refers to the sample’s assessments of different options for VAT modeling that would equate municipal self-production and the purchase of services with VAT, and that the sample concluded that the extended VAT obligation would not be feasible as a general solution to the distortions of competition with current funding and the organisation of welfare services. The majority also indicates that the sample would not recommend the extended right of deduction for municipalities either. The government parties and the Christian People's Party point out that in Ot.prp. No 1 for this year proposed amendments to the Law of 12 December 2003 No. 108 on compensation for value added tax for municipalities, counties, etc. The majority point to the fact that the Finnish Ministry of Finance and the Ministry of Local and Regional Affairs is of the opinion that the extent of municipal activity giving rise to discrimination in the exempted areas of activity of VAT where the municipalities offer services in competition with private individuals for remuneration is limited. Against this background, the parties to the Government do not agree to the proposal. From the Right, the Christian People's Party and the Left, the assessment is different. These members would point out that the Publicly Appointed Committee of Inquiry pointed to a number of practical problems with the extended VAT obligation after going into this subject in depth. These members therefore believe that enlargement should take place more gradually, that this is sufficiently identified by the sample, and that the current system should work a little longer before extensive evaluations are started. At their request, the proposal shall be annexed to the minutes. The members of the Committee of the Regions are in favour of the proposal.
ParlaMint-NO_2007-12-17.ana.ud1745e1144	The Advocate General made a balanced statement. Let me just say that both private and municipal businesses provide important services. From the point of view of the overall opposition, it is important that society's resources are used as efficiently as possible and that these services are delivered as best as possible in terms of quality. That was also the reason why a general VAT compensation scheme was introduced under the Bondevik II administration from 1 January 2004 in order to eliminate the discrimination between self-production of services in municipalities and private service providers. It is therefore a central desire from a common civil opposition to review VAT solutions so that such discrimination does not take place and that public service production is as efficient as possible. I am therefore addressing the two proposals on which the Right and other parties stand.
ParlaMint-NO_2007-12-17.ana.ud1745e1151	The representative Peter Skovholt Gitmark has taken up the suggestions he referred to.
ParlaMint-NO_2007-12-17.ana.ud1745e1154	As we write in the proposal for a representative, the main aim of this proposal is to find more cost-effective ways to organise municipal administration, thereby improving the offer to its citizens. The proposal will also help to make clear to users and citizens what the different services are actually worth, as well as to make it easier for each municipality to choose a market-oriented policy. The current VAT compensation system is complicated because it has a number of difficult limitations. Some issues related to the VAT compensation scheme are more difficult than others. In the introduction of the VAT compensation scheme, the Municipal Councils’ Central Associations stated that a general system would be easier to manage than the alternatives and also reduce the demarcation problems. However, when the Ministry of Finance, in the form of a letter on 8 March 2006, asked the Municipal Council of Municipalities to assess the administrative burden on the compensation scheme for those entitled to compensation, the KS stated that the reform had to a large extent: «brought to great frustration by nearly all municipalities. Most people believe that they have ‘stopped’ and find it difficult to follow in the complicated back calculations that have been carried out several times’. Unfortunately, the general system of VAT compensation has not met the expectations of improving efficiency and free competition, and we therefore want to take one step towards non-discrimination between municipal and private activities with these proposals. In order to reduce the problems of the current system, it could be natural for all municipal activities to be covered by the ordinary VAT legislation, such as: has done in New Zealand. Such a model involves a general VAT system covering all goods and services and both public and private activities. Ever since I was elected here at Stortinget, I have been contacted by actors from different industries, such as Germany. private secondary schools and private kindergartens, which consider that something needs to be done in order to operate on equal terms with public actors. I have also been contacted by several advisers from my home country, who fully agree that this system is far too complicated and affects unfairly. I would like to raise the proposal of the Progress Party. I would also like to stress that what we are proposing is that we ask the Government to return to the revised national budget in 2008 with assessments and proposals for a system that neutralises the VAT burden on health businesses and central government. I can't see why not all the parties here in Stortinget can participate in such a proposal. The same applies to the proposal where we ask the Government to assess the consequences of including municipal enterprises in the ordinary VAT legislation, including any additional costs for the municipal sector. I repeat, we are asking for an investigation.
ParlaMint-NO_2007-12-17.ana.ud1745e1174	The representative Jørund Rytman has taken up the proposal he referred to. Several have not asked for the floor on case No. Eight. [[See page 1537]]
ParlaMint-NO_2007-12-17.ana.ud1745e1192	This applies to a proposal to extend the tax-reduction scheme for gifts to voluntary organisations, to increase the limit from NOK 12000 per person. year, as at today, at NOK 15 000 per year. years. The proposal also deals with the kind of gifts to be included in this deduction scheme. The Committee has divided itself into a minority and a number on this matter. The majority consists of the government party, while the minority consists of an overall opposition. The opposition believes that this is a good proposal, which will help to increase the income of voluntary Norway. Minority thinks that this will produce positive ringing effects that are far, far beyond the so-called tax loss that the state will have because the scheme is expanding. The majority disagree. Citation from setting: ‘However, the majority believe that it is generally better and more targeted to support non-governmental organisations through government budget appropriations than through tax deductions where money support is managed according to how much different private donors support different organisations.’ As far as the case-speaker understands, this remark comes from a thought that the state and the politicians are better off deciding who should be supported than the people most are to assess it. It's a way of thinking that at least the Progress Party takes a distance from, and it's strongly disagreed with. We think that most people will consider this far better than politicians and the state on behalf of the people. On the other hand, when private donors provide support, the state contribution will be very limited in relation to the total amount provided. For each krona given, the government will only contribute 28 cents, while the private donor will contribute 72 cents after the tax deduction – almost four times as much as the government. This means that a person will get a lot more voluntary organisational work out of the money than if he were just to stick to government support and government contributions. So this is not a good idea, because it's a multiple and a minority. Then I'll just end by presenting the minority proposal from the Progress Party, the Right, the Christian People's Party and the Left.
ParlaMint-NO_2007-12-17.ana.ud1745e1216	The representative of Gjermund Hageseter has taken up the proposal he referred to.
ParlaMint-NO_2007-12-17.ana.ud1745e1219	Everyone agrees that the efforts of non-governmental organisations are an important part of people's lives around the world. There are in the organizations many find spaces and expressions of their commitment in leisure time. In addition, many non-governmental organisations contribute directly in terms of well-being and charities. It may be a complement to the public, or organisations may fill an empty space that is equally difficult for the public to fill. The Red Cross’s offer to prisoners to have a visiting friend in prison, or to get a local acquaintance to help themselves as a newly arrived refugee, are such examples. The width is much larger than this, and the amount of volunteer work is very large – without me going into it any more. Hardly anyone disagrees with this description of reality. The lots separate layers in the view of tax, including in this context. Today, non-governmental organisations benefit from a number of favourable tax rules, in particular the deduction of NOK 12 000 per person. years if you give gifts to non-governmental organisations. The majority of the parties consider this scheme to be favourable enough and do not want to give priority to increasing the threshold. We also do not want to extend the quota regime. With regard to the wish of the proposers to extend to organisations which do not have a national scope, this is also rejected by the majority. The main rationale lies in monitoring and administration. If it is to be opened up to allow local associations and teams to receive gifts with a right of deduction for the donor without being connected to a central link that can deliver a single account, it clearly means more work on the part of the Tax Directorate. Their supervisory and control tasks will be more difficult and, of course, they may be given increased resources in parallel with such a change as the proposers wish. But it will mean increasing public bureaucracy, which I recall that some of those who support the proposal are usually strongly opposed. Strengthening the tax rate is not a stupid idea if you want to increase public revenue. However, legislative changes that will result in a significantly more difficult control task for the Tax Directorate do not want to be supported by the majority. In view of this, the Labour Party, SV and the Centre shall vote against these three amendments contained in the proposal.
ParlaMint-NO_2007-12-17.ana.ud1745e1232	In some contexts, the impression is that there are steps towards volunteering in Norway, and that it was so much better before: several participated, and the spirit of hard work was greater. Yes, society has changed, and many actors are fighting about our attention, but volunteering exists and may be bigger and more active than what we imagine in everyday life. In the international context, Norway is the country with an extremely high level of participation in teams, associations and volunteering of all kinds. It may not be entirely coincidental that the word ‘dugnad’ was what was referred to as ‘duggnad’ in the ‘Nitiman’ a year or two ago as ‘Norwegian’. The voluntary sector contributes large amounts to society in the form of 113,500 voluntary annual works and a turnover of more than DKK 60 billion. The sector employs a total of 69 000 people. I do not believe that there is any political disagreement about a desire for a large voluntary and active sector, nor that there are any parties that are not committed to making the best possible provision for voluntary teams and organisations to carry out their social work. It says in the comments of the Christian People's Party in the setting: ‘In view of the fact that several of the parties in the current government have been principal opponents of the granting of tax credits for gifts to non-governmental organisations, it is gratifying that the Government has not followed up these threats.’ «Threats» – it was then violent, I don't remember threatening to remove this deduction. If we had changed this, it would have been compensated in another way. SV is of the opinion that tax relief for donors is not the way to go to strengthen Freedom Norway. As a compromise in the Soria Moria declaration, however, the system that is in force today is, which we live well with, but it goes without saying that this is not a system that SV wants to develop further. In the SV, it is more targeted to support non-governmental organisations through government budget appropriations for different organisations and activities than through tax deductions, where financial support to organisations is managed on the basis of how much different private donors support different organisations. The importance of volunteering is predictable and good framework conditions, and we should contribute to this. Voluntary organisations already benefit from a wide range of favourable tax rules to support this type of activity. In addition to the special deduction in general income for gifts to non-governmental organisations of up to NOK 12 000, there are specific rules for the employer’s contribution and exemption from the obligation to submit the payroll when the total payroll to a person does not exceed NOK 2000. In the voluntary service coming, there is a proposal that that limit should be raised to NOK 4000. There are also tax exemptions for business activities below NOK 140 000. Everything has its price, and the price of the tax deduction scheme for volunteering amounts to an estimated 390 million. kr in 2007. It has to be allowed to ask questions about the 390 million. could have been allocated, or could have been more predictable and even more beneficial to direct transfers from the State to Voluntary Norway. It should not be that having rich friends is a prerequisite for good volunteering. It is not that we have to have tax deductions to give money for good purposes. Many of us are constantly giving money for good purposes without thought for tax relief, whether there are some slumbers to the Salvation Army, sold to the local sports team or some monthly thousand copies to the party. I guess it's not like taxation for someone is more important than what it's meant to be. It is otherwise important for SV to provide public support to organisations to ensure their autonomy and diversity. Tomorrow there will be an opportunity to look at the questions we are discussing now, in a larger and more fundamental context. Then we're going to have a debate around St. Announcer. No 39 for 2006-2007, Freedom for all. I expect that today's issue then comes up in its proper context, that we will focus on the role and conditions of volunteering, and that the issues of tax relief get their share of that debate. I will not prejudge tomorrow's debate, but I will end by referring to the dialogue between Freedom Norway and the Government. In its opinion, Freewill Norway states: ‘Freedom Norway is very pleased that the Freedom Notice has been submitted. The notification contains a coherent and thorough review of the voluntary sector and is characterised by the government’s listening to the voluntary nature of its work on the notification.’;» There is reason to be satisfied that we have a government that prioritises volunteering, and there is also reason to be optimistic on behalf of volunteering.
ParlaMint-NO_2007-12-17.ana.ud1745e1276	First to the representative Lund Bergo’s remark that he felt the threat assessment of the Christian People’s Party was in the strongest form. We just have to take note of that. However, I would like to point out what the representative Lund Bergo was in his post, and who is also in the comment of the majority. That's what it says. ‘it is generally better and more targeted to support non-governmental organisations through State budget appropriations than through tax deductions where financial support is managed on the basis of how much different private donors support different organisations’. I fully agree that it is positive that direct support is also given to the State budget, but I do not think one should underestimate what has gradually become less and less of it, namely the free resources of the organisations, because the fact is that through much of the state aid, the activity is also managed in Freedom Norway. I think it's very healthy and very right that we maintain a civil society, that we have a third sector, that also has an incentive to be a kind of tailhang to the public. In that aspect, I think the gift-deduction scheme is in the middle of the flash, and I am very happy that it has arrived. As you know, we have also proposed it expanded in budgetary terms. That aspect, I think, does not affect the majority in particular in its comments, namely the ability of organisations to manage their own resources without excessive government. It is, I think, one of the important debates related to Freedom Norway in the future. So a short comment related to the proposal. We support the proposal, but I would nevertheless like to say that it has some administrative challenges that I do not think you should ignore. For the Christian People's Party, it is a premise for an extension of the system in line with what the proposal represents, that practical solutions are found to these challenges.
ParlaMint-NO_2007-12-17.ana.ud1745e1295	The representative Syversen suggests a seeming contradiction between our way of looking at volunteering and our way of financing volunteering. He's pulling it out by free means in particular. If the representative of the Syversen sees in the volunteering message, he will see that the government parties are very concerned with free resources and precisely that the organisations should not be governed by the state, but that our role is to provide good framework conditions. We all know that not least because of the loss of automatic income, which has been formidable for Freedom Norway, but which was absolutely necessary – and which most in the Chamber agree – we need to look at other ways of supporting volunteering. We're going to do that, and I personally believe that by free means it's essential in that context. I mean, for example. that part of the games that Norsk Tipping is running today should be able to return to Freedom Norway, just to trigger more good spirit, which we can't find in Norwegian Typing.
ParlaMint-NO_2007-12-17.ana.ud1745e1300	No more people have asked for the floor on case No. 9th@item: inlistbox [[Food, see page 1537]]
ParlaMint-NO_2007-12-17.ana.ud1745e1316	The issue of taxes may concern most, at least whether or not economic values are linked to the object. Elk is such an object, like reindeer and deer, since it is hunted on these animals, and because some are willing to pay for the meat. What if, for some reason, the tax item is degraded? What happens to the tax on it, for example. would strip a wolf or two into the hunting area and take care of what is found of valuable game in the area? This issue has been dealt with by the Financial Committee, and it is quite so thorough, whether I have to say it this way. This is because the representatives Jan Tore Sanner, Børge Brende and Svein Flättten presented a proposal for a representative which reads as follows: ‘The Government asks the Government to propose amendments to Section 4 of the Tax Act so that the property value of electricity waste in likely wolf areas is not included in the overall estimate of forest wealth.’ The conclusion of the majority is as follows: the income of the year from the hunting rights themselves is to be valued. So it's the molting permits used to calculate the property value of. This means that if a forest owner has not had income, or has had reduced income, because the wolf has supplied itself with the elk stock in its forest, it will have zero assets, or reduced its value for tax purposes. So it's the motivating permits to calculate the value of wealth, and after this clarification, the majority chooses to reject the proposals.
ParlaMint-NO_2007-12-17.ana.ud1745e1332	It's going to be line change.
ParlaMint-NO_2007-12-17.ana.ud1745e1335	I thank the representative for the insightful mention of a difficult tax case. There has been a little back and forth with this matter, mildly said. But then you've been told in the last few days that this has ended with the fact that the Tax Directorate, who were the ones who had made mistakes in this context, has changed its practice and recognised it. Does the representative think that this case has shown us that the Stortinget, the politicians – and perhaps especially the Government – should have a humble approach to tax issues that come up from tax collectors, and that it is important to get into the details?
ParlaMint-NO_2007-12-17.ana.ud1745e1344	To put it that way, we have gone deep into the details of this matter. I can confirm that, both in the case of wolves, elk and even reindeer. And I think it's useful, because all the tax rules in the country have consequences for the individual, the individual enterprise – all those who pay taxes. This procedure has been elucidating in this way, so I have nothing against the views expressed by the fleet representative.
ParlaMint-NO_2007-12-17.ana.ud1745e1349	This is an example of a case where the process in Stortinget has helped to clean up a very small but – for some people – important tax case. After all, as we have heard in the last few days, the Minister of Finance has cried out in the woods and received an answer, and the Directorate of Taxation has cleared this up as a consequence. It was stated in the statements of the case rapporteur, in a letter from the Minister of Finance, and in what I have registered is a letter from the Tax Directorate to the forest owner's side, that it is the used killing permits that are to be subject to property taxation. To put it simply, it's the number of animals that are fielded, which means something. But then there is something strange in the vote from the majority, which the rapporteur has led in the pen on behalf of the majority, because there is a distinction between hunting permits that have been sold and permits for those who hunt themselves. It says that for those who hunt themselves, there are the number of killing permits adjusted in relation to, among others. The wolfevir, which is to lie on the ground – not what you have in mind, but what you can get to trap. It is not in accordance with what is in all other documents. Is it the Minister of Finance and the Tax Directorate that apply, or is there this somewhat unclear, confusing majority voting that applies?
ParlaMint-NO_2007-12-17.ana.ud1745e1358	I refer you to my post, where I referred to the position we have, which is thus announced by the Minister of Finance, the Tax Direkorate and, I am aware, also clarified at the latest a few days ago, in relation to those who hunt, and who rent out for hunting. It's on the side.
ParlaMint-NO_2007-12-17.ana.ud1745e1363	No more words have been asked for a line.
ParlaMint-NO_2007-12-17.ana.ud1745e1366	This has been a strange matter in many ways. It began with a proposal from, among others. I, the undersigned, who was unpresist but took up an important matter for forest owners and for those who have elk and wolf in their areas. Then the matter continued with a reply from the Minister of Finance to the Committee, which showed our imprecision, but at the same time gave an answer which was in many ways satisfactory to both the proposers and those concerned. Then it would be thought that everything was very well, but it was not, because the practice referred to by the Minister of Finance in his answer was not current practice of those who perform the equation, namely the external department, the Tax Directorate. That's why it's been a little bit back and forth. I have to say that I think the case rapporteur, the elk political spokesman Marianne Aasen Agdestein, has done an excellent job of getting involved in these things. It has not been easy, either for proposers or for others. To make a long story short: now the matter is solved. I don't think there's any example to follow that Stortinget via Document No. Eight proposals and subsequent committee proceedings are intended to solve the problems faced by taxpayers in the Equation Service. But at least that has been a good result, and that is why I want to draw our minority proposal, which is in the vote, and instead to promote the proposal that has been distributed, that we ask for the proposal to be annexed to the Minutes. Then we will have a unified solution to this – especially if the government parties support that proposal. Then everyone will agree – all the way out of the woods and up to those who are going to do the equation.
ParlaMint-NO_2007-12-17.ana.ud1745e1377	The representative has drawn up the proposal he referred to.
ParlaMint-NO_2007-12-17.ana.ud1745e1380	So in order to recapitulate the case, it applies to the calculation of the wealth of elk in areas with established wolfevir and a high predatory load. It is not right for the yield of elk ghäkt to be included in the forest property tax. The home of forest property taxation is the second paragraph of Section 4-11 of the Tax Act, while the Elghakt wealth is taxed according to the general rule on the taxation of wealth in Section 4-1 of the Tax Act. Here is hunting one type of waitress among many. It is the hunting rights used, killing permits, for which the value of the property shall be calculated. This means that the ELG holder who, because of the wolf, has had reduced income, or no income, will have reduced, or none, the value of property for tax purposes. Therefore, there is no need for separate legal rules for forest owners affected by wolves. However, following the examination of the Committee, there is a need for a general clarification of property taxation of hunting rights. According to Equations-ABC 2006, page 976, the value of moose and deer hunting is taxed ‘only if the forest owner has so large forest area within the municipality that it would grant a litter permit to at least one animal’. In the Communications from the Tax Directorate, No. 6 of this year, 13 December, Section 3-2-5 under the heading ‘Advantages in net comparison of own exploited hunting rights’ states that the number of ‘fielded animals’ to be taken into account — i.e. not breeding permits, that there is a net benefit and not a gross benefit to be derived from property taxation, and that for elk, elk, elk, elk, adult reindeer and adult deer rates are used. In the case of hunting other than elk, reindeer and deer, no property shall be counted when a hunted sea. For those renting hunting, including large game hunting, gross rental income is the basis for the calculation of the property rights. This means that for these, too, the used killing permits are the ones for which the value of wealth is to be calculated. That is why I agree with Mr Fletten that we have achieved a good result so far, and on the part of the Central Party, we have nothing against attaching the proposal to the Minutes. Having said that, however, the Committee's discussion may need a closer look at this later. Then there's a point that's important to bring with it, and that's to stimulate, among other things. cooperation in the exploitation of hunting resources – and cooperation in the exploitation of hunting resources through hunters’ and fishermen’s associations, which are most relevant in many cases – is needed to address the regulatory framework for the taxation of wealth by renting hunting, among others. assessment of the base deductions for the determination of assets. It's quite natural, when we know that the most central thing about taxation is the income tax, and the income from the first dollar is taxed.
ParlaMint-NO_2007-12-17.ana.ud1745e1392	In doubt, the President opens the door to a change of lines.
ParlaMint-NO_2007-12-17.ana.ud1745e1395	I think the president shouldn't be in doubt about that, because now we're getting closer to clarifying what's been the whole problem -- this case wouldn't have come to Stortinget if everyone had joined the finance minister's letter and that was it. Because there have obviously been uncertainties, and the uncertainties have been, among other things. in the observations of the majority, of which the representative Lundtigen is a member. The majority correctly say initially ‘The majority understands the rules’. Then one distinguishes between hunting that is rented away – where there are used breeding permits the majority say it should calculate the value of wealth – and ‘those that hunt themselves’, where, according to the majority, it is the number of breeding permits to be used. The representative now refers Lundtigen to the notification of 13 December from the Tax Directorate, which states that for those who hunt themselves, the number of animals in the field is to be taken into account. This means that it is now beginning to agree that the Minister of Finance and the Tax Directorate is right, and what the representative Lundtegen and others have written in the vote contributes to ambiguity or can be said to be wrong. Is it so to understand that it's wrong what's in the setting, and correct what the Tax Directorate has just written?
ParlaMint-NO_2007-12-17.ana.ud1745e1400	What's in the setting is correct, and what's said from me is correct. When a hunted sea, it is now perfectly clear from the Communications of the Tax Directorate, No. 6/2007, what it's like to perceive – it's the number of animals that are killed, it's net, and it's about animals that are referred to. In the case of those renting away, the gross rental income is the basis of the property calculation, and the gross rental income is the actual income each year. If the wolf has been there and hunted before the hunter comes, well, then there will be no income on the one who rents out the hunt.
ParlaMint-NO_2007-12-17.ana.ud1745e1405	No more words have been asked for a line.
ParlaMint-NO_2007-12-17.ana.ud1745e1408	As the rapporteur, I would just like to state that the majority support the proposal of the fleet that the proposal for the elk, the wolf and the other animals be annexed to the protocol.
ParlaMint-NO_2007-12-17.ana.ud1745e1413	No more people have asked for the floor on case No. 10th@item: inlistbox [[Footing, see page 1538]]
ParlaMint-NO_2007-12-17.ana.ud1745e1430	With regard to the proposal of the representatives of those representatives to eliminate the difference between private and public creditors in the case of late payment fees, where those representatives also propose that the Government submit the necessary proposals to include state creditors in the ordinary system of charges for late payment, the majority of the Committee recommends that the proposal be annexed to the Protocol. I expect that the minority might explain their views. The Committee stresses the importance of the contribution of state creditors to the avoidance of serious debt problems for persons with payment problems. It is about charging practices in case of late payment, but also about the willingness to find solutions for people who have problems paying in time. In this context, the Committee points out that the customers of the State Loan Fund for Education who have problems with payment may apply for deferral of payment of the term before they are charged a reminder fee. The Committee agrees, in principle, with the proposers that State creditors should not be able to levy a higher late payment fee than that resulting from the ordinary charging system in the event of late payment. State fees should be cost-based. The majority of the Committee points out that this has already been implemented by the Government in several areas, at the latest by reducing the passport fee. The majority of the Committee points out that in the case of late payment, account must also be taken of the need to ensure timely payment, and the majority points out that for the arrangements referred to in the draft representative, the late payment fee will in many cases be lower than that resulting from the debt collection law, as indicated in the letter from the Minister of Finance. This will apply in particular in cases where the payment is significantly delayed, and it is therefore not clear that it would be desirable for the payer to transfer State creditors to comply with the charging rates imposed by the Debt Collection Act. The majority also indicates that the fee revenue under the Debt Collection Act combined with the interest for late payment involves higher amounts for each default if the default extends on time. As I said at the outset, the majority recommends that the proposal for a representative be annexed to the Minutes.
ParlaMint-NO_2007-12-17.ana.ud1745e1443	As the case spokesman said, this is a proposal to eliminate the difference between private and public creditors when it relates to late payment fees. There is a big difference today between the charging rules that apply to private creditors and those that apply to public creditors. There should be little doubt that the State has given itself special advantages that private individuals do not have, with the consequences it has for private debtors who are late for payment. The plural says in the setting: ‘The majority point out that for the arrangements referred to in the proposal for a representative, the late payment fee will in many cases be lower than that resulting from the debt collection law, as indicated in the letter from the Minister for Finance.’ Here you try to construct a situation where you get better access to public government schemes than to private ones. It seems strange to me, because those who are very late can come out pretty well, while those who are just a little bit late, come out very badly with the state arrangements. I also found it strange that one has a system that should punish those who are very little too late, while those who are very much too late will come out fairly well. But if the majority think that the state has no special rules that it's worth talking about, there should be even less reason to have equal rules for private creditors and state creditors. It would have been a simplification in many ways that one had the same rules, so that the debtors could comply with the same rules, regardless of who owes the money. In any case, there is no majority agreement in this round, and then it just remains for me to resubmit the minority proposal from the Progress Party.
ParlaMint-NO_2007-12-17.ana.ud1745e1457	The representative of Gjermund Hageseter has drawn up the proposal he referred to.
ParlaMint-NO_2007-12-17.ana.ud1745e1460	I am a little uncertain about the real intentions of the proposal by the representatives of Hagesetter, Hoksrud, Anundsen and Knudsen, but I choose to see it positive, namely that the starting point is to support and help those who, for various reasons, have fallen victim to debt and have problems dealing with themselves. If this is correctly understood, I believe the starting point is affordable enough. At the same time, I believe it would be totally wrong to focus on differences between private and public creditors. For those concerned, it is of little importance whether the creditor is private or public. For those concerned, it is essential that the problems are not reinforced and that proposals for solutions are put on the table as soon as possible. In this context, of course, it is important, as the proposers stress, to look at the amount of the fees, but perhaps as important it is to look at what can be done to prevent them from getting involved, that there are fees. A few years ago, the recovery of outstanding claims was, as many traders did, with small costs both for the company and customers. In recent years, we have seen that this has been taken over by large international groups. This has led to the fact that what could previously be arranged in an amicable way with a small telephone to the customer or from customer to company has become a cold and cynical business. Where there was previously room for a small delay or two-three reminders, there is now a quick reminder to end up in debt collection as soon as possible. Possibly this is a good store, but especially human, it's not, and I mean it's whether it's public or private creditors. One consequence of such proceedings is also that costs, fees and interest should be on it at a speed. Although this area is regulated with rates, etc., we saw last week that one of the largest players in the market in Norway, and elsewhere in the world, has taken over-priced and charged in relation to laws and regulations – and this against a customer group that is initially struggling. The proposers say this: ‘The consumer is often vulnerable to resource constraints and alone to a great struggle by a country with all possible resources available.’ Yes, the proposers are entitled to have a high potential for improvement also by state collectors, but the same applies to the professional collection companies to the greatest extent. I believe that the submitted private bill is not suitable for dealing with these problems properly, and that the distinction between state and private is a pure derailment in this respect. I'm glad that in this area we have a council of states with will and commitment to change the state of things. The Minister of Finance has repeatedly paid fees and so-called snuff taxes, and the aim is that such charges should not be in the form of hidden taxes, but simply cover the costs of the services performed – unlike the Bondevik II government, which lowered taxes, but was very creative in terms of ownership and fees. From what the Council of State has now implemented, we see a reduced fee for passports, which in the last period received a large increase, while the price is now reduced about half. We have seen that various coercive charges in relation to discard have been reduced, driving licence costs have been reduced, and in the Brønn Island Health Registers we also have reduced fees. I am also aware that work is being done to change practices in terms of tax returns and residual taxes. This is part of the same problem complex. Simplification for personal taxpayers and, in particular, prevention and dialogue with self-employed workers is actively pursued. This is the fine initiative of the Minister of Finance, and in the long term it will be positive both for those affected and for society. One will prevent matters from growing into insurmountable problems for the individual, and for the state it is cheaper to prevent than to repair or punish. Resources can thus be released for more constructive things. Some of us are impatient and want more grips, such as reduced fees. But we understand that the Council of State needs time to figure out the real cost of the entries. To the representative proposal: Does it not worry the proposers that the fees they are talking about are billions of stores for the international financial group because it is a pure over-price of these services? And in the case of the state: the government has an evaluation of such fees in progress, and that's the solution for the individual who gets such fees and gets into debt problems, which is the important thing.
ParlaMint-NO_2007-12-17.ana.ud1745e1484	No more people have asked for the floor on case No. 11th@item: inlistbox The President will propose that one now cancel the morning meeting because of Christmas. [[Footing, see page 1538]] - It's a note. The evening meeting will be held at 2.30 p.m. 16th@item: inlistbox
