ParlaMint-NO_2007-06-13.ana.ud1426e94	The representative, Elisabeth Aspaker, will put forward a proposal for a representative.
ParlaMint-NO_2007-06-13.ana.ud1426e1636	The representative Vera Lysklätt has drawn up the suggestions she referred to.
ParlaMint-NO_2007-06-13.ana.ud1426e1639	I want to start by pointing out that the president is wearing an unusually nice dress today! It is good that the proposers raise a debate on how we can meet tomorrow's need for labour immigration. [[The President and the representative had similar dresses on them.]] Over the next 10 years, Norway and Europe will need labour force immigration, for example: as the proportion of older people in the future will increase significantly compared to those in employment. Firstly, we must work for increased employment in Norway. Many work involuntary part-time, especially in the health care sector. This has already been taken into account by the Government. We need to ensure that more people come to work, that there are fewer people who are permanently insured, and that older people can take longer to work, including through 6-hour trials and senior measures. We also have a large number of immigrants who live in Norway today, who are out of work. We need to make sure that they can get into work to solve important tasks in society, and also because it will make it easier to succeed in integrating those who move to Norway feel that they are needed. However, the need for labour cannot only be met domestically. That is why the Government is now working on a big message on labour immigration. Several of the proposals in the document we are now examining, the Government is already working on, and the Ministry will make proposals for changes as the measures in question are sufficiently explored. The new Foreign Affairs Act will also propose changes to labour migration. The government has also been working on measures against social dumping for a long time. These are some examples of important measures that have already been implemented. Therefore, claiming that the Government is passive, as the opposition is trying to do, is wrong. Rather, the opposition should focus on being constructive. I'm sure it'll do better than that. Everyone in this room agrees that labour immigration should take orderly forms. It is then important to take time to determine how the various measures will turn out and to evaluate them carefully. There are several issues to consider: how can we make Norway more attractive in the global labour market? We also need to consider different welfare schemes for the workers being picked up. We have to make sure that the workers who move here can stay in work for a long time, that they don't work their lives for a period of time, until they can't do more and get into social security. We also need to assess how this works in the country of dispatch, for example. through ‘brain drain’, etc. In Poland we now see a formidable increase in wealth. It will be a challenge for Norway to attract labour in the future when welfare and wages increase in the former Eastern European countries. Unfortunately, the challenges that we are discussing today, and which the Government has a strong focus on, do not seem to allow the Progress Party to take over. In the form of a note, they write, inter alia, that the demographic challenges are significantly exaggerated. They will not lift a single finger for the companies that need labour. Firstly, they believe that today's labour migration is sufficient, and secondly, they believe that businesses themselves must take the whole job if they need labour. They also say that the need must be met within Europe, despite the fact that we know that most European countries have the same need for labour immigration, and that we therefore have to live with quite a hard competition. They also write that they want max. 1000 non-Western immigrants per year. years. To the information of the Progress Party, I can say that today we have 107 000 immigrants in the world of work from non-Western countries. I think an incredible number of patients, older and not least business are happy that we have not followed the naïve line of the Progress Party so far. The line of the Progress Party is short-term and directly irresponsible. But as the populist party Progress Party is, I don't think it's going to take a long time until they realize that in the future we actually need people to work in hospitals, in institutions for the elderly and to drive buses and trams. Then they will probably also come after them, but as in the climate issue, they will probably come sadly late.
ParlaMint-NO_2007-06-13.ana.ud1426e1667	The President thanked the representative Stokkan-Grande for his compliment, and commended that the representative Stokkan-Grande also had a good taste!
ParlaMint-NO_2007-06-13.ana.ud1426e1670	In the name of soberness, I think we should try to drag this debate down a little bit on the ground, where it belongs. Here you mix terms to keep it going. These are actually at least two very different debates, but so far have those who have been out here, talking as if this were one thing, and was wasting everything together. So let's just think about what might be the most important thing. This applies to the so-called expert quota, which applies to those who have skills that are difficult to find in Norway, which we lack in Norway, for example. geologists, who we have deficits on. There we have an expert quota system that allows people outside the EEA to be picked up to Norway by means of labour immigration. This is a broad majority for in Stortinget. The Progress Party also supports the comments of the Committee on the simplification of legislation, making it more flexible, less bureaucratic and reducing the length of proceedings, etc., in order to serve the companies that need the special competence that we lack in some contexts. It is a debate in which we all largely agree. Then we'll see if that arrangement should be extended. The starting point is that at least you don't have to expand it when we don't even manage to fill the quota every year. Then there's a completely different debate like Arild Stokkan-Grande and several sauces in hopes of this expert quota. This is the debate on the so-called massive labour immigration Norway is going to need in the future, which everyone is talking about, and which has become a very big issue. Here, I'm asking for soberness. What are you really talking about? For example, you would like to take a look at it. The ageing wave, and then you say that the population's composition over then and so many years is going to change, so that we get very many older. People live longer in Norway – and that’s good, would be a belief. The population composition is gradually becoming very older, which will require more hands in the care of the elderly. We agree on that. But it will be a permanent, a constant state because the whole population development has changed. This cannot be done by regularly bringing in immigrants from outside the EU to meet the challenge from time to time. You have to repeat that with the x number of years of space. It won't solve any problem. These people will also be old once and will need care. So this doesn't solve any problems. The vast majority of economists are aware of this. The NHO has also warned against it. So this is mixing the cards. You actually have to think completely differently. It's about transforming the Norwegian economy. The Norwegian economy needs to transform into a new reality, where we are going to need a greater proportion of those added in Norway who provide health and care services. That must be the real situation. That means we have to turn around how we use the work factors in society. It's the basic economy. If you try to say that we have to pick up immigrants from outside the EU to pay for this, it is to bring people behind the light. In fact, what you say, which you don't dare say out loud, is that you should underestimate the salary of Norwegian nurses, Norwegian assistants, in order to be able to provide the services from outside the EU in the future. That's what you don't say. That's what's real. If, on the other hand, the market is allowed to function – and I know it is difficult for many parties to swallow it, especially the government parties – it is actually the market that is capable of solving that challenge entirely by itself. The need and demand for health and care workers will, of course, lead to increased pricing of precisely those services, which means that more people will choose that profession – classic supply/demand. So it's like we have an unused labour reserve in Norway. There are people who are in other situations in life, and who might have been in work, but also people in the public sector. To a large extent, we are using our labour force as members of the public sector rather than in value-creating industries. Conversion and slimming of the public sector will also free labour that we can use in this context.
ParlaMint-NO_2007-06-13.ana.ud1426e1689	Today's Business yesterday we could read a reasonable, yet enjoyable interview with the Minister of Labour and Inclusion. It made sense because the Council recognises that the labour market would be in a critical situation without the 100,000 immigrants we now have from former Eastern Europe. The cost pressure would be higher and the interest rates higher. But it was a pleasure because the party of the Council of State said something quite different in the last growing-up period. On the other hand, they were also sceptical about the enlargement of the EU and the EEA. The article made sense because the Council of State recognizes the continuing need for labour and is concerned whether we are doing enough to get many to come in the years to come. It was pleasurable, or rather incomprehensible, because he is not now using this opportunity to go for our eleven measures to ensure the necessary labour immigration and thus better access to labour. We have to use all sources of labour," says CEO Lars Haukaas of NATO. We could read in the Evening Post yesterday that Norwegian companies will hire as never before. Nearly three out of ten Norwegian companies want to hire people. This makes the Norwegian business leaders the most optimistic in Europe. Norway now has the highest labour market, which makes the challenges particularly high, since unemployment is at a record low level. What does the Government do in such a situation? Well, the Council of State says that the Storting should wait for a big message coming in the spring of 2008, to see everything in context. This is nothing but a postponement – a completely unnecessary postponement, because eleven concrete proposals are on the table, ready for adoption and implementation. Even government parties say in a note that Norway and Europe in the next decades will need labour force immigration, and that this cannot only be covered domestically. Fafo believes that we should have a regulatory framework that makes it easier for employers to use non-resident labour. It is regrettable that the government believes it has good time. But it contrasts with what both the NHO and the KS expressed in the committee hearings. This is now urgent in 2007, because the labour market situation is acute, and it is too long to wait for changes in the rules that can only take effect in 2009. Will the cow die while the grass grows? I find it most strange and quite agreeable that the government parties and partly the Progress Party cannot vote in favour, in order to have measures adopted and implemented by the industry itself. Firstly, it should be a narrow matter to be able to provide long-term visas for workers employed in companies located both abroad and in Norway. Secondly, it would also be essential to amend the legislation so that there is a clear distinction between labour immigration on the one hand and asylum and humanitarian residence on the other. This also points to Fafo in his report. It is an obsolete form of proceedings which should be replaced by a model with prior approval of companies and a rapid procedure system. Thirdly, it is necessary to simplify procedures for the renewal and renewal of work permits. It should be unnecessary to experience that several companies say it is difficult and difficult to get the work permits renewed for their employees. These three proposals are all examples of what we think needs to be done quickly in order to facilitate the pressure on businesses in the search for labour. There should also be full pressure on the country to provide highly skilled labour. That is why we are proposing tax incentives. Further seven good proposals are now being rejected by the government parties pending an action plan which can thus be effective in 2009 at the earliest. It's too late for business. They want action now, not just beautiful words and promises. It's not plans we need, it's action and concrete action. Then I have to put a question mark at the Workers' Party's suggestion that a constructive opposition is sought. For what is it more constructive than when we in the opposition parties sit down and work out eleven concrete measures such as business demand? The government and government parties should be able to accept this with an outstretched hand.
ParlaMint-NO_2007-06-13.ana.ud1426e1710	We need more workers in this country! The demand for labour is higher in many sectors than the supply. However, labour migration continues to maintain a high level of production, while wage developments are moderate and price growth is limited. In addition, fresh estimates show that if workers had not arrived in Norway from other countries, the interest rate would have been 0.75 pst. higher than today. There is no doubt that we as a nation are dependent on foreign workers. Like the previous speaker, I would also say that it is doubtful to witness that the government has such a slow attitude to this issue. The government has announced that it is working on a growth report on labour immigration to come in 2008. Any changes to the rules will thus enter into force in 2009 at the earliest. Action needs to be taken which can work in the short term and which can respond to acute needs. It is high time for the legislation on labour immigration to be simplified and amended. Many of the proposals in Document No. 8:32 are measures which can be taken as an immediate measure. Norway needs labour immigration, and it would be immeasurably stupid if we treated immigrants in such a way that they would prefer to work elsewhere in the future. I would like to stress that social dumping is one of the main challenges of working life. This requires authorities to rapidly develop a comprehensive strategy to meet the challenges. When the Government proposes to use more than three years to produce a big message dealing with the theme, there is reason to be impatient. The Christian People's Party is very surprised and critical that the Government has such a passive attitude towards such an important theme. Today, highly skilled labour is under-utilised. Let me give you an example: we have an allowance for how many specialist work permits that can be granted each year. Unfortunately, this allowance is far from being met. It may be related to too few applicants, but I have to say that I am surprised when an Albanian girl with a 3-year university education from Blinderna does not get a work permit here in Norway. I have to say it with a certain irony: Fortunately, she was a specialist enough to get a job at the Embassy of Albania in Sweden. Maybe it's not just the number of applicants who are too low, but it's too narrow a port to get in. I think we need to reconsider our attitudes towards labour immigration. The need for increased labour migration of Norway should be reflected in legislation and the examination of applications for work permits. Together with the Right and Left, we in the Christian People's Party propose to give foreign students who have taken higher education in Norway, an opportunity to stay here a little longer, to get a work permit for up to five years after completion of education. Then they can increase their qualifications and competences. The foreign student can already Norwegian and will benefit from good work experience. Norway definitely needs extra hands and heads. The Christian People's Party is in favour of most of the proposals from, among others. Right. Proposal No. On the other hand, 4 represents an ethical dilemma. The proposal is to ‘assess the simplification/modification of the legislation on labour migrants from non-EU countries wishing to have their spouse/children with them to Norway’. The Christian People's Party believes that family reunification rules should be the same for all immigrants from outside the EU, regardless of whether they have a value for the country in terms of employment or not. I wonder which ethical considerations are behind such differentiation as is proposed. I think we should rather work for a simplification and speed up the process of family reunification in general. Finally, I will refer to the vote and take up the proposals of the Christian People's Party.
ParlaMint-NO_2007-06-13.ana.ud1426e1735	The representative, Bjørg Tørresdal, has taken up the suggestions she referred to.
ParlaMint-NO_2007-06-13.ana.ud1426e1739	I share many of the analyses carried out from this pulpit that there is a difficult situation in the Norwegian labour market. I just want to give you a couple of numbers to illustrate it. NAV had a business survey for a short time, where it was in direct contact with businesses. One of the questions asked was how many vacancies you had. When NAV summarises this, there were only two to three weeks ago 88 000 job vacancies in Norway. 14 days ago, NAV also provided the unemployment statistics, which showed 42 000 unemployed. The two figures illustrate that there are more than twice as many job vacancies as there are completely unemployed in Norway. Of course, it describes that there is a pressured labour market. The situation in the labour market is this, despite the fact that we have a significant labour migration to Norway. We have a good overview of how many people have received a letter of agreement and jobs in Norwegian companies. But we don't have a full overview of service immigration. In the press, I have said that we can count on about 100 000 workers in Norway from the EEA region lubricating the Norwegian labour market. What these numbers describe is that the situation is serious. But they also describe Norway as having a very offensive labour immigration policy. We are among the countries in Europe that have decided the most labour migrants. When I meet European colleagues, we talk a lot about how Norway has managed to facilitate an immigration of labour that has had a great positive impact on Norway. I think it is important to try to give a balanced description of the situation. We have a serious situation. We have to take it in, while it is quite clear that we have succeeded in dampening the pressure in the Norwegian economy by facilitating labour immigration over many years. I believe that the proposals that have been promoted from the Right are constructive contributions to making even more progress in facilitating increased labour migration, which I believe Norway needs. Therefore, I take these suggestions seriously with me, without that meaning that on behalf of the Government I feel that I can witness everyone today. I'll give you one example. Transitional arrangements are often promoted as a means of realising an increase in labour migration. I am very much in doubt as to whether the removal of the transitional arrangements will lead to more work immigrants. I think maybe the opposite. The fact that we have transitional arrangements to ensure Norwegian pay and working conditions for individual workers may have a recruitment and a positive effect for Norway. We see that we are recruiting better in terms of labour immigration than all those countries that do not have transitional arrangements. The fact that we have transitional arrangements, and that we are thus able to offer workers orderly pay and working conditions, can as well be a positive recruiter as a negative one. Let me just use this as a concrete example that I don't think the answers are completely obvious and simple, but that they are constructive contributions that we really take with us in the further work. We're making ongoing assessments. We are promoting concrete proposals when we find it sound, but we also want to invite the Stortinget to a comprehensive review. We think we have time for that. So first of all, we want to do it in two ways. Firstly, in June we will now present proposals for a new foreign law, which formally has the legal side around a lot of labour immigration. In the course of the New Year, we will then present the first comprehensive, comprehensive report on labour immigration, which will also address the issues raised by the representative Amundsen: What needs do we have? What will the overall impact on the Norwegian economy be? If we try to see 30 years ahead in time, where will we be? So what do we need? What are the benefits and disadvantages? How are we going to put in place national strategies to meet those challenges? In the end, I think it's wise of the Storting to take the time for the overall review to which the Government invites.
ParlaMint-NO_2007-06-13.ana.ud1426e1760	It's going to be line change.
ParlaMint-NO_2007-06-13.ana.ud1426e1763	I think there's a lot of consensus about the reality description. We are facing major challenges, as we have taken out many of the opportunities we had for labour immigration from the EEA. Norway has been able to do so. We had a historical advantage because we had long had seasonal work immigration, which has helped us in that situation. The challenge now, however, is that we face stronger competition in terms of labour. Norway is in this situation, unlike almost all other countries in Europe, that we have taken out our domestic labour reserve by the fact that, fortunately, we have a historically low unemployment rate and that, fortunately, we have a large share of women in work. This means that if we do not now take proper action in this area, Norway can slow down in a situation where there is otherwise great international growth. Will we experience that the Government will come to Stortinget with some of these proposals now, either in the Foreign Affairs Act or continuously during the autumn, or do we have to wait until 2008 and risk falling times before these proposals are promoted?
ParlaMint-NO_2007-06-13.ana.ud1426e1772	I'm taking the question positively. It is difficult to respond explicitly to exactly those proposals, but for example. on the issue of long-term visas for employees employed in enterprises, which is a proposal 11, we will very soon submit to the consultation a proposal to amend the rules on multi-travel visas which allow such visas to be granted not only for one year at a time but for a whole period of five years. That's an example of us working on some of the proposals that the Right is promoting, even in the short term. We sent a proposal last week to consult the EEA workers that they can start working on once they have submitted a full application. If you have submitted a full application, you can only start at work. You don't have to wait until you start. These are examples of short-term measures that we will take now and continuously beyond.
ParlaMint-NO_2007-06-13.ana.ud1426e1779	It is good to note that the Progress Party and the Council of State agree on at least two points: that we should not be hasty about removing the transitional regime and that we should take proper time to assess labour migration from all points of view before drawing any conclusions. The Progress Party is very much in agreement with the Council of State. But then I want to challenge the Council of States in being concrete and honest. If you choose to ignore the market mechanisms and use a large-scale labour migration – which I believe is the concept that the Council of State has used in the past – to meet the needs of the nursing and nursing professions in the future, can the Council of State be honest about this and agree that it will also mean lower wage increases for the help nurses and nurses in the future?
ParlaMint-NO_2007-06-13.ana.ud1426e1786	What has happened so far in the last three to four years since the opening of the EEA area to such an extent is that Norway has had high growth as a nation. Real wages have risen a lot. We are among the best countries in Europe in terms of real wages growth, and we have had the highest level of labour migration. So far, the thesis of the representative Amundsen has proved not to vote in the real world. We have had both a real wage increase and a clear growth in labour immigration. I think it's a very simplified theory that's underpinned, in the sense that if you now say that the public sector only has to satisfy its labour needs by increasing wages, and that only leads to the private sector having to respond, and that leads to a pay spiral where costs grow without real wage increases, it's not a desired wage trend, because it only leads to nominal wage increases without a real wage increase.
ParlaMint-NO_2007-06-13.ana.ud1426e1791	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-06-13.ana.ud1426e1796	There were two articles that made me take the word. The first was from the representative Arild Stokkan-Grande, who challenged the opposition to be more constructive. I have to say that there is a relatively provocative message in a situation in which Arild Stokkan-Grande very well knows that the opposition in this case has on several occasions addressed the government parties and wanted to discuss agreement on proposal and suspension. So I hope we don't get the kind of statements in future debates in a situation where the opposition looked to those degrees want to cooperate with the Government. But then it was the production from the Progress Party that the market would solve this. The right is also a party that has great faith in the market, but in a situation where access to labour is limited, it is of course that shortages of labour will lead to wage increases. If the consequence of this is that a shift in the balance between the public and private sectors – which will be the consequence if the wage increase becomes so large in the public sector that it loses its workforce – I hope that today the Progress Party will go out to the lawn of those who stand outside and demonstrate, and be honest with them and tell them that Norwegian industrial workplaces will be exported in record travel out of the country. That would be the consequences of the policy of the Progress Party, because these jobs will have a triple click. They will lack labour. They will experience an increase in interest rates and an increase in the dollar rate, and they will experience that they will lose out in competition with others about the labour force. But then I think the Progress Party should be honest about it and say that the Progress Party is choosing a restrictive immigration policy in front of Norwegian industrial workplaces. But Carl I. Hagen has in a previous famous post answered that challenge by saying, So what! That's what I think the Progress Party should start to repeat and be honest with.
ParlaMint-NO_2007-06-13.ana.ud1426e1803	There are two articles that I feel the need to link some comments to. To take the last post first: I started my post by commending the proposers for making an important debate. It's constructive. But when one has seen the answer from the Council of State, and when one has had ample opportunity to follow up on what has actually been proposed earlier, it is quite an exaggeration to claim in the form of a note and also in the debate here that the Government is passive on this issue. Therefore, I still believe that the opposition succeeds better when you are constructive than when you make such baseless claims. So to Per-Willy Amundsen, who claims from the pulpit here that importing labour will not solve any of the world's problems. Then it's tempting to ask Amundsen what is his prescription on the challenges we're facing, among other things. in the care of the elderly. Is the conduct of an elderly policy throughout the country similar to that of the Progress Party and the Right leader in Oslo, where 270 older people were denied room in institutions because there was not enough room last year? Is that the prescription? In this case, you can manage far on the road without importing any labour force. Or is it e.g. that the owners of the holding must in the future refuse to accept new orders? It might be interesting to get answers to the questions when Amundsen is now going to have the word afterwards.
ParlaMint-NO_2007-06-13.ana.ud1426e1810	To take the last one first, Arild Stokkan-Grande is looking for our option. I've just made that clear. We believe in the market mechanisms. We want the market mechanisms to work. This will mean that more people will work in the care sector in the future, and for higher wages. This is how the market works if we let it work. But then – to the representative Bent Höie – we have to do other things at the same time, and it's about reducing the size of the public sector, so that we don't over-binding our workforce in the public sector. There's the Progress Party and the Right Alliance. At the same time, by opening up much more to private health and care services, we can meet the challenge in this area. New technologies will, of course, apply in the future in the care and care sectors, as they do in all other areas – which may mean that as labour prices increase, the labour intensity of care and care will also be lower. There's a lot of possibilities here. The point is to establish from the outset that we need labour immigration – massively so – from countries outside Europe, despite the fact that we soon have half a billion people to pick up labour from within the EU/EEA area, just to fix it straight away without thinking about the consequences of it in the long term, that is what I would call irresponsible policy. Such a new policy will be non-reversible, and it can have major consequences for society. This is why it is important to sit down and think carefully through this and, not least, listen to critical economists who believe that there is a lot of fraud in the subject, and that this should be carefully considered before implementing new policy instruments. Because that's a fact, as I said before, that the number of elderly people in Norway is going to be a greater proportion of the population in the long term. It's not a short-term affair. It's going to stay like this for a longer time. In that case, immigration will only solve the problem temporarily, because when the generation you pick up as a migrant worker in order to address the challenges of health and care professionals gets old, we need to bring in new ones, which in turn will require care and care. So it's just postponing the problem. And while postponing the problem, the problem will grow bigger. That is not a sensible policy. At least it does not believe that the Progress Party. This should be carefully reviewed and looked at the consequences before coming up with solutions to major challenges in the future.
ParlaMint-NO_2007-06-13.ana.ud1426e1825	Several have not asked for the floor on case No. Eight. [[Fotation, see page 3598]]
ParlaMint-NO_2007-06-13.ana.ud1426e1841	I can only refer to the previous case, and I will not delay the debate by taking all the arguments again, but say that these are really two sides of the same case. This case is an addition to the previous one we discussed. In order to further strengthen the scope for simplification of the procedure, a proposal in this case is made in four points on ICT in the management of foreign countries. I'm not going to refer to what the proposal contains, just saying that it's not just about simplifying and streamlining the bureaucracy and administration itself, but also about making it easier for those who come to the country to understand the society they come to. So there are two sides to this matter that are important. The background to that is that just a few weeks ago I was with some colleagues from Telemark visiting the Lithuanian ambassador in Oslo. The main message we received from the ambassador was the animal-bought experience of the Lithuanians with the lack of Norwegian labour-immigrant receivers. When our country needs and demands foreign labour, we should also be able to accept them well – therefore our proposal in this matter. I will not highlight any more of our critical objections to passivity and that this does not happen quickly enough, just saying that we believe, of course, the same in this case as in the previous case. Then I shall end by quoting Max Frisch. He says the following: «Calling on labour. But there are people coming." The Lithuanians – and other immigrant workers – would have a better life in Norway if the government had speeded up and we could quickly carry out simplifications that benefit them. With this I take up the proposal from the Right.
ParlaMint-NO_2007-06-13.ana.ud1426e1859	The representative Kari Lise Holmberg has taken up the suggestion she referred to.
ParlaMint-NO_2007-06-13.ana.ud1426e1862	I'm not going to polemize. But one of the first things I noticed when I took over as the responsible state council in this field was that parts of the electronic processing system in UDI were very old-fashioned. The main thing is that you cannot handle documents electronically, and you carry files between the police, UDI and UNE. It is clear that there will gradually be significant dossiers – many hundreds of pages of documents – that make a significant contribution to the lateness of things. This was not a situation that arose on 17 October 2005. It was a situation that marked the UDI in the four years before that, too, while the Right Leader was responsible. You could say, well, I've spent some time putting in place the appropriations that are now investing in an electronic processing system in the UDI. But now we're on, and the first 15 million are now in the revised national budget. I would like to have the 15 million in place on October 18, 2005, but now they're in place. I think it's a wrong description to say that this is primarily an exasperation from the Government, considering what kind of electronic processing system I inherited from the previous government.
ParlaMint-NO_2007-06-13.ana.ud1426e1869	Several have not asked for the floor on case No. 9th@item: inlistbox [[Fotation, see page 3599]]
ParlaMint-NO_2007-06-13.ana.ud1426e1885	No one has asked for the floor. [[Footing, see page 3600]]
ParlaMint-NO_2007-06-13.ana.ud1426e1902	No one has asked for the floor. [[Fotation, see page 3601]]
ParlaMint-NO_2007-06-13.ana.ud1426e1918	In the winter of 1994–95, the Stortinget decided to set up a third permanent parliamentary supervisory body, the EOS Committee. The concern about the secret services in the 1990s caused questions to be asked about trust in services, and transparency and popular control were demanded by many. The Secret Service Control Act was in place in February 1995, and a decade later the EOS Committee entered into force. The purpose of the check is referred to in the purpose paragraph: ‘1. to clarify and prevent any wrongs being committed against any, including ensuring that no more intervention is used than is necessary under conditions;2. ensuring that activities do not unduly harm society,3. to ensure that the activities are carried out in the framework of legislative, administrative and military directives and of unlawful law.’;» The national security and the relationship with foreign powers were also covered by the mandate. The EOS Committee was given wide powers. After a run-in period of clarification of legislation, procedures and reforms in all three services, the sample appears to have found a good working form. And let me stress how important it is that we have an organ that controls the secret services on behalf of the Storing. In this way, we ensure that monitoring, exchange of information or intelligence goes against fundamental human rights and the rule of law. It also helps to build confidence in services and to give them legitimacy in the population. The Annual Communication states that no routine or serious cases have been identified in 2006 either in the Police Security Service, the National Security Authority or the Intelligence Service, and that the cooperation between the services and the sample is good. The annual report is transparent and informative. However, in the context of the 2005 Annual Communication, the Steering Committee came in some areas. This applies, inter alia, to: issues relating to the borderline between policy opinions and opinions considered to be a call for terrorism, the threshold for registration, the importance of erasing information that is no longer needed, the understanding of the cooperation relations between the organised EOS services and other authorities and the premises for security clearance. Furthermore, the Committee was concerned that the selection should be ensured with sufficient competence to follow up on the partly difficult technical aspects of the activities of the services. Some of the notes have been commented on and followed up, others not. A unanimous committee requests that the steering signals issued by the Stortinge during the examination of the annual messages be explicitly queried or commented on in the following annual report. This also applies to questions arising from the examination of the 2005 Annual Report, including: on the registration of persons on the basis of opinions given to the media on support for opposition groups using violent instruments, where a separate statement was requested. As indicated in the opinion, the Committee has comments on a number of questions. Time does not allow full review, but some comments. An important prerequisite for control is the possibility of verification and traceability. This must also apply to the secret services. I assume that checking that decisions can be documented and verified is an important part of the task of the sample. In our democratic society, transparency is a common value. Therefore, the security rating needs to be reserved for issues where there is a real need for it. Merpublicity and degradation must be kept under constant review and the requirements of the applicable legislation must be complied with. The Committee welcomes the fact that the sample addresses procedural issues in the listing and deletion of UN terrorist lists. Checks on archives and records are also important to ensure that persons are not illegally registered. The deletion of information which is no longer relevant, as well as the updating and securing of relevant information, is necessary both for the protection of privacy and for the effective functioning of the service. I am pleased that the sample will follow up the Storting's desire to pay particular attention to the PST's application of the extended legal framework to use coercive measures during investigations for the purpose of the service received in 2005. The results of the 1999 investigation into the scheme, with the appointment of a special lawyer for suspects when an application is made for the right to use hidden coercive agents, are elevating. That the lawyers in approx. 55 pst. the cases do not object to the request, and the fact that the PST is not supported in 15 pst. shows the importance of ensuring the possibility of counter-dictation in such cases. It is positive that the sample will also focus in the coming years on how the scheme works. I have also noted with interest the presentation of the PST's cooperation with the customs authorities, and would like to stress the importance of the fact that the grounds for requesting assistance and the basis for implementing customs controls can be verified by the inspection body. As indicated in the referral, the Committee assumes that guidelines for cooperation between the PST and the customs authorities are drawn up and that the progress of this work will be informed in the context of the EOS Committee's annual report for 2007. I understand that there is a restrictive practice with regard to the security clearance of those under protection who have been in possession of drugs, and that for the Defence Military Organisation, the FMO, there is a principle of zero tolerance for drug use. However, I agree with the sample that an individual assessment needs to be carried out, and where the issue of the importance of safety after social development is appropriate to focus on individual cases of use of light drugs in youth needs to be emphasised. It is important to provide young people with information on the consequences of actions that may create problems in clearing up the first time services. The annual report sets out two issues relating to breaches of the document security of the FMO. It is positive that the cases have led to increased control with regard to the provisions of the Safety Act on Authorisation and on Safety Management. The time does not allow me to address several of the many interesting issues that the annual report concerns. Let me just say at the end that the creation of the EOS Committee has given the results the proposers hope for, namely a real control of and increased confidence in the secret services.
ParlaMint-NO_2007-06-13.ana.ud1426e1968	I would like to thank the President-in-Office for a good review. I agree with the rapporteur that the EOS Committee has been a success. We've had it for over ten years. SV was in its time a driver to get it established, after the Lund Commission, and the purpose was that the Storting had to have better control of the secret services. So through this sample we've got it done, and when we travel around visiting other countries, at least in the Nordic countries, we're constantly being asked about how we've organized this work – you're looking to Norway for the way we choose to control the secret services, through our own parliament. In this context, I allow myself to express a special thanks to Stein Ørnhøi, who was one of the initiators to get the sample established in its time, and who has also been a member of the sample for more than a decade. He's giving up now. I just want to say that I think he has done an excellent job to make sure that the sample has done his job, and has always taken up new challenges, so that today we have a sample, as the case-in-law says, that works very well. The Committee's attitude shows that we broadly agree on most things. Among other things, SV is very pleased to point out that if new methods are introduced, the sample should also be informed about it, so that new situations do not arise that may become burdensome in terms of legal certainty, etc. But there is a problem that concerns us, as shown in the comment that SV says alone in the setting. It is about the provision of material about individuals, or information about individuals, to intelligence services of other countries. Here the EOS Committee says that it is difficult to obtain routines to verify how this information is used. I and SV hope that we will continue working on how to ensure that this information is not misused, because when you provide information about individuals to other countries' intelligence services, it is important that they are not used in a way for which they are not intended to be used. In other words, it would threaten legal certainty if you do not have a control over how they are used. So we hope that further work will work to ensure that this type of information is also satisfactorily controlled.
ParlaMint-NO_2007-06-13.ana.ud1426e1979	I would also like to refer to the rapporteur's thorough examination and, to this extent, to agree with what she said. Nevertheless, I allow myself to take time for a few comments. The EOS Committee is one of the largest control bodies in the world. It is important that we have elected people to control the secret services, as others have expressed it. In this way, the public can be confident that the services follow the guidelines drawn up and do not work contrary to fundamental human rights and legal principles. It is positive that the EOS Committee did not reveal routine or serious individual cases in 2006. I'll take note of that. However, in the control of the police security service and with the clearing authorities, the selection has had critical comments in some cases. In the ongoing inspection activities of the Police Security Service, the core archives and records are still under control. This is important to ensure that individuals are not incorrectly listed in such registers and that what is there, if any, is correct. It's been interesting to notice that lawyers in 55 pst. they have not objected to the application of hidden coercive substances. The police security service has not received 15 p.m. of the cases, and then only in cases where lawyers have objected. The Committee has expressed some views on the strict practice of defence in the area of the security clearance of those under protection who have been in possession of drugs. Let me make it quite clear: the Christian People's Party has zero tolerance on drugs, in all contexts. But that doesn't mean that a miscarriage in youth is going to destroy a person for the rest of his life. It has to go to put it behind it. It is therefore necessary to assess whether this presents a safety risk on a case-by-case basis. In 2006, no complaints were received on the Intelligence Service, and this is positive. In the examination of the previous annual notification, the scope of the Intelligence Act as an independent basis for the use of interventional methods was a topic. This was considered in particular in the context of the legality of the methodology being assessed and approved by the responsible policy authorities. This has been followed up by the Ministry of Defence. I am pleased that the Department has briefed the EOS Committee on the importance of clearing up new methods with the Department and that as far as possible written clearance will take place. It is also positive that the review of the department so far shows that the service presents all the principal cases to the department. Let me stress that it is important that this also happens in the continuation.
