ParlaMint-NO_2007-12-18.ana.ud731e131	The representative, Mr Solvik-Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2007-12-18.ana.ud731e1960	It's going to be access to line change.
ParlaMint-NO_2007-12-18.ana.ud731e1963	It is true that Norway is in a deficit situation with regard to electrical energy. Most years we're net importers. It's mainly nuclear energy and electricity produced at coal-fired power plants, which we don't want in Norway. So here in Norway, we still have an unused potential in terms of hydropower, which could be 20, 30, maybe 40 TWh. Would it not be better if the government started a process so that we could use some of the remaining hydropower potential that still exists in Norway, so that Norway became independent of almost every year to import coal power and nuclear power — that is, polluting power — from Sweden and Denmark in preference? The Council of State should have an opinion if it is not a good proposal. The progress party thinks it's the way to go. What does the Government think about it?
ParlaMint-NO_2007-12-18.ana.ud731e1970	Representative Andersen is quite right that we have challenges in power supply in Norway. It is important to address that challenge from a number of perspectives. It is a fact that we are wasting energy in Norway. We definitely need to work more with energy efficiency, and the potential is high with relatively simple instruments. Then we're dependent on increasing production, and that's where we work with different strategies. Gas power with CO2 handling is one of them. Then there's a big challenge in getting more renewable energy up. There we hope that the green certificates will help us with that, unless we have to have an improved electricity support system. In this context, the development of small power is important. Otherwise, on the hydropower side, I think the most we can pick up is related to upgrading existing works. The time of the large hydroelectric build-up is over, as we know.
ParlaMint-NO_2007-12-18.ana.ud731e1980	I have followed this matter carefully over a longer period of time. I think I dare say that it got renewed attention after a meeting in Hardanger that focused on the new, shattering powerline between Sima and Samnanger. At that meeting we promised in the Right to raise the debate in Stortinget through an interpellation and later through today's proposal for a representative. The previous central party council was, to say the least, not willing to do something particularly concrete in the matter. I'm recording another tone from the current Council of State, and that's what we see in the Right is very good. But I want to hear from the Council of State even though we can expect a new policy in the field when she brings a matter to Stortinget. And with all due respect, economic compensation for ruined nature is, in our opinion, not enough new policies.
ParlaMint-NO_2007-12-18.ana.ud731e1987	This is a matter that concerns me. I am looking for friends in Stortinget in this area too – I have them in government from before. I was late in Sogn and Fjordane on Thursday, not least to look at how we're going to deal with the management challenges there. I'm going to Hardanger to follow up the specific issues in that area. There has been a lot of focus on possible remedial measures, such as compensation. through food funds, where there is no avoiding the extension of pipelines — where the big community needs to have consequences for small communities. Let me stress that that's the last answer we have. We're going to look for good solutions before we get there that we have to end up with nutrition funds as compensation. I'm going into this with maximum creativity, and I want a discussion about it. I also feel that we have a device, among other things. in the NVE that is willing to take these challenges with us.
ParlaMint-NO_2007-12-18.ana.ud731e1998	Like the representative Halleraker, I record that the new oil and energy minister has a different tone than his predecessor in these questions when she meets the Stortinget. I'd like to know if that means there's going to be another policy, but I'm going to interpret the commitment that's being shown, like, it does. Then I also hope that the compensation will be one of the tools and not a main track. With the announcement of a new policy that may have consequences for the line-up that may be controversial, I would like to hear if the Council of State can assure that no decision will be taken on these controversial projects until there is a clarification of the Government's policy, so that it can remain at the bottom of the decision-making process.
ParlaMint-NO_2007-12-18.ana.ud731e2005	We have a number of demanding issues that will be clarified if not too long. Here, there are controversies around all of the lines. That means that the complaints to the seventh and last come to my desk. I am, and I can assure the representative, Mr Kvassheim, that we are going to bring forward the new policy before we make important decisions on these major, controversial issues that we know are coming. I look forward to a broad and good discussion in Stortinget and hope that I can provide a discussion basis as quickly as possible during the first six months.
ParlaMint-NO_2007-12-18.ana.ud731e2012	The cord shift is therefore over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-12-18.ana.ud731e2017	I have to say that I am well pleased that there is an overall energy and environmental committee that in the setting joins the intention of this important proposal from the Right. It is positive that government parties also take into account that large high-voltage lines will cause significant conflicts with the environment, aesthetics and visual expressions. When the Committee concludes that the Stortinget must be given the opportunity to debate various strategies for power generation, a far-right impact on this issue has been achieved. This is an important signal. I also note that the Committee unanimously believes that today's policy on wiring is restrictive and believes that it is time for the Stortinget to resume a debate on the development of the power grid. The Government Parties conclude that the Government will present an appropriate case in this respect. This matter should be brought in good time, as the representative of Kvassheim was involved, before the appeals in the projects referred to in the draft representative are dealt with by the Government. Something else would be a quite clear breach of the intentions that I experience lies within the committee in this position. The right is under the responsibility of the administrator, and caring for the valuable nature of future generations is a fundamental, conservative value. There is little doubt that our unique landscape, for example. in Hardanger, not only is valuable in itself, it also has a clear economic value, especially for the tourism industry. The Minister of Industry today presented a travel strategy. If the Government is to have credibility in this area, it must be able to see that the debate that we have here in the Chamber today is also important for the tourism industry. I would also like to say that it is a paradox that the NVE puts its foot down when the former county rapporteur in Hordaland, from the Hordaland Senterparti, will build a small power plant on his farm in Granvin. The NVE justified this with the following wording, repeated in the Official Journal of Bergen on 22 October this year: ‘The importance of landscape values in the western fjords and, in particular, Hardangerfjorden can hardly be exaggerated’. So this is how a small power plant is stopped, which would hardly be visible. At the same time, Statnett plans huge air voltage power lines. The lines, locally referred to as the sampling lines, are approximately: 40 metres high and shall decorate the landscape through the Hardangerfjord from Sima to Kvam and above the Kvam Forest, which is the main recreational area of Bergen. I think the NVE is exaggerating in its campaign against cabling, especially in the case of Hardangerfjord. In fact, wiring is sometimes more expensive than air voltage, but the increased power demand is largely derived from increased activity in the North Sea, and when we earn billions of dollars in oil and gas extraction, it should also be a social responsibility to transfer power in a manner that is sound in terms of managing unique natural landscapes.
ParlaMint-NO_2007-12-18.ana.ud731e2041	Several have not asked for the floor on case No. Eight. [[Fotation, see page 1614]]
ParlaMint-NO_2007-12-18.ana.ud731e2057	Today, we are to ratify the Agreement on the Varanger fjord divider between Norway and Russia, which was signed in Moscow on 11 July 2007. This is an important part of the 30-year negotiation process between Norway and Russia — the former Soviet Union — in order to establish a full dividing line according to the principles of the Law of the Sea. Furthermore, it is an important step towards strengthening both predictability and stability in the political, administrative and economic sphere between our two countries. Furthermore, for people and businesses in the north, it is important to be better able to reconcile land-based and sea-based activities and to contribute to better coordination between activities in the Barents Sea and in the Barents region. The Agreement establishes a boundary line in a coastal area within and outside Varangerfjord. The boundary line, with a total length of 73 km, demarcates the territorial sea, the economic zones, the continental shelf so far, and the neighbouring zones between Norway and Russia. It is based on the maritime boundary rules of the Law of the Sea following a so-called simplified centreline drawn between well-defined points. Discussions between Norway and Russia on the demarcation of the continental shelf in the Barents Sea have been ongoing since 1970, for the 200-mile zone since 1984. Until now, discussions have essentially focused on the area of overlap between the Norwegian mid-line requirement and the Russian sector requirement in the Barents Sea. The area of which there is now agreement lies northeast of the Varangerfjord area. Since the beginning of the demarcation discussions, it has been clear that the further south of the Barents Sea also had to be demarcated. That's what we're now going to ratify. A comprehensive Foreign Affairs Committee has expressed the importance of reaching agreement on the maritime demarcation between Russia and Norway in the Varangerfjord area. The boundary line clarifies the extent to which each of the two States has authority in this sea area. It will contribute to greater predictability in the region, which will have a positive impact on the management of off-shore resources and the development of land-based long-term jobs. Furthermore, it is beneficial for stability and cooperation in the region that one has now agreed on the boundary line in the Varangerfjord area and that the agreement is in line with Norway’s central line-related positions. The members of the Foreign Affairs Committee have also expressed their agreement with the Government and that this Agreement will maintain and strengthen the good neighbourly relationship between Norway and the Russian Federation. I would like to stress that this agreement is a positive element in the Northern Territory operation of the Government. It is hoped that the Agreement will contribute positively to the further work of reaching agreement on demarcation in the remaining part of the Barents Sea. Clearance of the Barents Sea sub-line is essential for future stability. The agreement we are now ratifying confirms the objective of such stability and predictability, by not providing for its duration or for provisions on termination. It will thus be in force indefinitely. It contributes to clarity and predictability. Therefore, it is positive that the 73 kilometres closest to the country has now been clarified. The remaining part of the unresolved maritime borderline between Norway and Russia is the only remaining demarcation issue in Norway. Let me again underline how important it is that we have been able to clear the border so far into the sea in accordance with international law. We have time to find the best solution to what's left. At the same time, it is hoped that this agreement will facilitate further good cooperation between our two countries on the divider line issue and in all the other important areas of Norway and the North. With this, I recommend the unanimous vote by the Committee.
ParlaMint-NO_2007-12-18.ana.ud731e2080	Several have not asked for the floor on case No. 9th@item: inlistbox [[Fotation, see page 1614]]
ParlaMint-NO_2007-12-18.ana.ud731e2096	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines following the intervention of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2007-12-18.ana.ud731e2105	I will not repeat the debate that we had here on 19 June on Ot.prp. No 66 for 2006-2007. Nevertheless, it is necessary to associate the matter with a few additional comments. The Committee agrees unanimously with the Government’s proposals in the context of the ETS Directive. We follow up on the scheme that was adopted in June. We have put in place an EU ETS adapted to the EU ETS, with certain exceptions. These are the exceptions I would like to comment on briefly. The other parties will probably explain their special points, but as I said, it is a unanimous committee that is behind the support of the advice given by the Government. Among other things, there has been the additional information that the Storing does not want to set a ceiling on using the Kyoto-based mechanisms. We've got the result that we've only got up to 20 pst. of our allowances can apply these mechanisms. Of course, that may seem gross, but it is, in the name of justice, that it is among the best of all countries' ability to apply the same mechanisms. What there is reason to point out, and that is not positive, is that the government has been frightfully involved in this matter. It has not been the case that then Minister for the Environment Helen Bjørnøy promised the affected, namely the Norwegian industry, that they would be given good time in the consultation process around the regulations. The government has been delaying all along, both towards Stortinget and towards the Norwegian industry. One aspect is the selection of a different reference period from that foreseen by the other EEA and EU countries. The fact that the EU was not fully followed here, I think, as the Norwegian industry becomes aware of how this can be achieved, will receive more attention than has so far been given to it. And the fact that no Norwegian industry, i.e. industry established or expanded its activities after 2001, will be given the same opportunities for free allowances as those made outside the country’s borders will not be in favour of either the overall climate, the overall level of emissions or the competitiveness of Norwegian quota-based businesses. Let me also say that I am not familiar with, at least we were not there at the time when the committee completed its work, on the matter which was supposed to be put to the hearing of those affected by the ETS Directive – and that in a situation where the directive will start to apply from the end of the year. As you know, Christmas is quite soon, and we are in a situation where the allocation system is not known to those affected. It can hardly be regarded as a lucky or happy situation, because the companies affected do not have an overview of what the expected CO2 liabilities from which they are incurred from 1 January next year will mean. There is also reason to stress that the Kårstø plant is currently not familiar with it, if I have not missed other information, what kind of system and what kind of free allowances you will get from the turn of the year. So the term ‘soml’ has its place in all ways in the government’s handling of this matter.
ParlaMint-NO_2007-12-18.ana.ud731e2123	In this proposition, the Government proposes that consent be given to the approval of Decision No EEA Committee. 146/2007 of 26 October 2007, and I want to draw the attention of the representative Kristiansen to the fact that today, on 18 December, it is not that long since 26 October. As regards amendments to the Climate Quota Act, they were adopted on 22 June of this year. An EEA decision was therefore taken subject to the consent of the Storting for subsequent approval in accordance with the second paragraph of Section 26 of the Constitution. The aim of the regulatory acts is to contribute to cost-effective reductions in greenhouse gas emissions by establishing a greenhouse gas trading scheme in Europe. The proposal, which is unanimous, as the rapporteur, Mr Kristiansen also said, details these acts. Then there are still a number of regulatory changes before the ETS Directive and the related acts can be considered fully enforceable in the Norwegian legal system. That's what's at the core here. That is also why the Government will prepare a plan for the allocation of allowances with a detailed description of the Norwegian allowance system and the plan is to submit it to ESA for approval. Lack of connection to the EU ETS — we are not a member of the EU, as we know — has led Norway to a lack of an operational electronic allowance registry. State pollution control has now established an electronic EU ETS registry to be put into operation when the decision on the link to the European ETS enters into force. Fortunately, a unanimous committee demonstrates the purpose of these acts, and it is mainly to contribute to cost-effective reductions in greenhouse gas emissions by establishing a greenhouse gas trading scheme in Europe, to which Norway has previously joined. The Norwegian quota system will cover more than 40 pst from 2008. by Norwegian greenhouse gas emissions. If we look at the 2008-2012 period, we need at least 90 pst. of the allowances allocated free of charge. The EEA/EFTA countries have been granted a derogation from this provision in the decision of the EEA Committee, and I also refer to it. The Committee, which is unanimous on almost all points, points out that the majority of the Storting decided not to allocate allowances free of charge for new activities or extensions of activities after 2001. So the Progress Party and the Right have a note describing some unfortunate and discriminatory consequences of this. But it's worth noting, in these times, that in this specific case, the Right Party and the Advance Party are criticizing the Government for distributing too few quotas. In practical policy, the Government is too strict, they say. In the media, on the other hand, the same parties, especially the Right, criticised the Government for not being strict enough. Yes, so is the political opposition in Norway at the moment. I point out that the Government is on its way to a new and offensive climate policy for Norway. The matter we now have to deal with will lead to an improvement in the climate, and it is probably a case that shows that the Government is following words of concrete action.
ParlaMint-NO_2007-12-18.ana.ud731e2144	Let me just start by asking the representative Nordtun to use a three-minute post to explain the criticism against the Right and the Advance Party, because I cannot see that there has been any inconsistent attitude on the part of the Progress Party in relation to the climate quota law, either when it was adopted in the Stortinget in June, or when it was debated in this Chamber for approx. One and a half weeks ago – and one in the comments in the position we are going to debate. So here the representative Nordtun has constructed a reality that doesn't exist. When we look at the climate quota law adopted by the Stortinget, which is part of the debate that is now taking place, it bears the mark of urgent work – here is the rapporteur’s contribution very well. I find that the government has not provided predictability, as one promised in the election campaign, and so one got the impression from the representative Nordtun that one has done. Very much is undecided. It is a little strange when one knows that the Minister of Foreign Affairs, in his statement to the Stortingen a month ago, on the EEA issues in question, gave the impression that a struggle to ensure competitive framework conditions for Norwegian industry – and so Norway has a climate quota law with the most stringent frameworks, which says that after 2001, one has established something that emits CO2, one will not get competitive conditions in line with its competitors. On the contrary, a few worse framework conditions, which in fact would make it more lucrative to own an industry with higher emissions, if it were established only before 2001, than to invest in new technology in a new company to compete. The example that we should spend more time and get a more thorough review is Kårstø gas power plant and the situation there, where we now – less than a week before Christmas, less than two weeks before New Year – do not yet know what kind of framework the government will provide Kårstø gas power plant compared to CO2 allocation. If you want to take into account what the oil and energy minister has said, it is that if something is to be based on CO2 clean-up, it must have CO2 clean-up at start-up. It doesn't have Kårstø. However, it is precisely the same formulation that underlies the allocation of quotas to gas power stations under the climate quota law. Or should a define the same sentence differently, depending on what purpose you want? It's possible. I'd be very pleased if you were to base a completely different opinion on what a CO2 cleaning is based on in the Climate Ratio Act, if that means that Kårstø survives and gets allowances. But that doesn't exactly provide predictability for the industry. I also note that this law was incorporated into the EEA Agreement while there is a legal case in progress in the legal system: NorFra Kalk has complained because the decision will have retroactive effect and is clearly discriminatory. I am in favour of – I am strongly in favour of – the EEA Agreement, but the climate quota law and the way Norway deals with this matter because of the government’s policy, I strongly oppose it. It is a self-selected Norwegian scheme with a sharp deterioration in competition conditions for Norwegian industry. The government should have done better work, pursued a consistent policy – which was implemented – and not just have a fine rhetoric. I also note that the Minister for the Environment, who is present here as Minister for Aid, has admitted that CO2 is indifferent to the way an award is awarded. It's a cost distribution we're discussing, not the amount of allowances. So if we had allocated all Norwegian industry, also established after 2001, allowances based on the same framework conditions as one has in general in the EU, it would not mean greater EU CO2 emissions globally, it would only mean that the cost was removed from the industry, and that the Government could not sell the same EU market allowances. It is a bit striking that a government that boasts that we have such an offensive climate quota law, giving the impression that it reduces CO2 emissions more than if one had not had an equally offensive climate quota law, uses the surplus of climate allowances to sell in the EU market. So one has to sell climate allowances for 8 million tons, but one only has to buy for 1 million tons. And then a system adds another 5 million tonnes by taking action through the green development mechanism. So this is not a measure to reduce CO2 emissions, it is a measure to fill the treasury. I hope the Council of State will inform us at Stortinget about what kind of quota allocation you are now adding to Kårstø, because when there are less than two weeks left for the new year, then a must not wait any longer.
ParlaMint-NO_2007-12-18.ana.ud731e2190	The aim of the regulatory acts is, as has been said, to contribute to cost-effective reductions in greenhouse gas emissions by establishing a greenhouse gas trading scheme in Europe. The Norwegian quota system will cover more than 40 pst from 2008. by Norwegian greenhouse gas emissions. Norwegian participation in European quota trade will enter into force from 1 January 2008. This will be an important contribution to reducing emissions and to stimulating migration. We've just been through some historical climate weeks, first with the climate negotiations in Bali, which ended with an emergency terror with a road map for the way on. I think we all breathed lightly when it finally became clear that it was going well, and that the United States was forced to kneel. Last week, many of us attended events in connection with the United Nations Climate Panel and Al Gore. Finally, the Intergovernmental Panel on Climate Change has received the recognition they deserve. Many powerful actors are systematically trying to undermine this work, which has helped to prevent the necessary intervention to slow development. They have now received a more difficult job – fortunately. We know that the CO2 content of the atmosphere has not been higher in 650 000 years. We're going to have a temperature increase that will have incalculable consequences for us. If we allow this to develop without introducing the necessary measures, this could come out of control. In any case, we will probably have to get used to the fact that getting rid of the climate problems will be one of the biggest expenditure items on the state budget. In response to climate change, we need to think about getting as much money back as possible for the money we invest, in terms of emission reductions. The polluter pays is a principle to which the entire Storting has joined, and we have to do things as cost-effectively as possible. We have taken an important step past the EU when we have decided not to have free allowances after 2012. It is important to work towards the EU system in order for it to be the same there, that there should be no free allowances in the EU system after that time. It is important to stress that the ETS is only one of several ways to meet the climate challenges. In addition, we need to have a significant focus on research and development. These include: The Technology Council has pointed out that other and more targeted instruments are needed to accelerate technological development in Norway. The quota system shall contribute to the implementation of emission reduction measures where they maximise cut-off per. invested crowns, and may also make it more attractive to invest in and develop technology. According to the Group of Experts of the Council of Technology, the main contribution of the quota system is today the dissemination of available technologies, while they contribute little to technological innovation and incremental innovation. The reason is that the price of carbon is too low and the Kyoto agreement too short-term. The same problem can also be faced by the EU ETS. Technological innovation requires broader and more targeted use of instruments. Bali negotiations have shown that technological developments beyond the scope of quota trading will be crucial to bringing about a new agreement. We who live in that part of the world that has the best assumptions to drive new technology have a special moral responsibility to do just that. I think it's in place to mention it, even though it's now the ETS directive we're debating.
ParlaMint-NO_2007-12-18.ana.ud731e2208	The climate problem is one of the greatest challenges of our time. We have enough evidence that this is due to our human-made activities. Global climate change will have serious consequences. I can mention health, ecological and economic consequences. So it's like we've got some good, professional advice. The UN has, among other things: given us this: by 2015 we have to manage to reduce greenhouse gas emissions in the atmosphere, then by 2050 to reduce emissions by 50-80 pst. Norway has a great responsibility. We have to take that over. We need effective and comprehensive national measures. Then we have to use international mechanisms, as agreements open up for. The polluter pays principle is an important principle for the Christian People's Party in our environmental policy. This principle believes that we should be linked to a new and more ambitious climate agreement that will take over after the Kyoto agreement when its end comes. In 2004, the Bondevik II Government promoted the climate quota law. An important principle that was established here was that a price should be linked to climate emissions. We know that we have a big challenge in putting in place a global carbon price that makes it profitable to clean, and that it's expensive to pollute. In this area, we need to think creatively and look at how we can do it, because through quota trading, we can get industry and business to invest in environmentally friendly technology, which is the future. But we know that the final sum, the bottom line, is crucial in terms of industry and forward-looking business. The Christian People's Party believes that through clear signals that it is going to cost greenhouse gas emissions, industry will also shift towards a more environmentally friendly direction. But it is important to stress that there must be clear signals, and that there are not too many loopholes. It's no problem to postpone the summer vacation for Stortinget. We did this year to adopt the quota law. The fact that we postponed the summer holiday for a few days tells us that the government is a little on the verge of this matter, even when today, the next day of the fall session, we are dealing with the follow-up matter of the law we dealt with overtime in the spring session.
ParlaMint-NO_2007-12-18.ana.ud731e2223	The world is facing major challenges as a result of greenhouse gas emissions and subsequent climate change. The solutions to these challenges lie in international cooperation on mandatory emission reductions. By joining the EU's ETS Directive, we are contributing to cost-effective greenhouse gas emissions through a greenhouse gas trading scheme in Europe. The central party's ideology is based on political challenges to find a solution at the lowest reasonable level in public administration. Even if we can all make an effort to save the environment, there's no doubt that the situation we're in now requires political change and mandatory international cooperation. The central party’s EU position would be well known, but that does not mean that the central party does not want to cooperate with the countries of Europe when it comes to matters that need to be resolved globally. The Quota Directive will oblige Norway to submit five-year plans showing the volume and distribution of quotas. The size has previously concluded that land-based businesses will be allocated free of charge allowances corresponding to an average of 92 pst. in the years 1998 to 2001, and that no allowances were to be allocated free of charge for new activities or extensions after 2001. Many of the posts today have gone into the content of the matter, so I'm going to say very briefly that the quota system is an important hub for us to take our share of the responsibility of delimiting greenhouse gas emissions. It's one of our contributions to the global effort that the world needs to set in motion to save the environment on the globe. Even if we are a small country, we are a rich country, so in that virtue we have to contribute.
ParlaMint-NO_2007-12-18.ana.ud731e2234	The Quota Directive is an important tool in climate action. It appears that the trading of allowances is now to be used in more and more areas and towards more and more emission sources. We have been given an example of that today. It brings me to Inga Marte Thorkildsen, who pointed out that trading in allowances can be an effective tool, but not a driving force in innovation and technology development. At that, the carbon price is too low. No Marte Thorkildsen also says that an overall approach is required to drive technology development and to produce innovative, good solutions. That's exactly what you're facing with the Mongstad plant, where you've chosen to buy allowances for some tens of millions instead of doing the job you promised you would do to drive this project in a way that represented the purification of 100,000 tonnes of CO2 from day one. The left will join the setting. We stress that the realities of this document have been discussed in this Chamber and have been widely discussed in the past. For the Left, it is essential that a policy is set up so that the polluter pays. We want a tighter regime than the majority suggested when the case was dealt with last time. I would like to stress that it is very important to tighten up the regime during the next agreement period, and that work towards the EU is intensified and maintained at a high level, precisely in order to achieve that result. When this was dealt with last time, the left was explicitly clear that one is against including gas power plants without CO2 handling and getting free allowances. There is reason to ask what is the Government's policy in this area, as previous speakers have done. We are facing a directive that will be in force in 10 to 14 days, and still it is the key actors who do not know what to do with the framework. I hope that the statements of the Council of State will clarify this.
ParlaMint-NO_2007-12-18.ana.ud731e2253	Let me start by thanking No Marte Thorkildsen and Line Henriette Holten Hemdal for reminding us of what the matter is about. Because when we go into climate ratios and techniques, we forget very quickly that it's all about, it's all about, it's really central to Earth's survival, the big picture. I'm just saying that, because it's necessary that we remember it every single time, so we don't get involved in a big argument about relatively technical details and forget the main picture. Although there's a lot of technology, it's a big and important decision that we're now making. I am pleased that we are doing that, and I am glad that the Stortinge is united in this, and that Norway is becoming part of the EU's quota trading system. I believe that in the long term it is a crucial tool for combating climate change. It is also a cost-effective system. It's simply an important decision that's being made, and I'm glad that it's happening unanimously. Then there are some speakers from the opposition who pointed to points they are critical of – almost all of them we had a much bigger debate about in the Storting just 14 days ago. I can of course repeat it now. If the Storting wants it, we'll do it. But let me just remind you of what I said. Thus, in the context of the green development mechanism, Norwegian enterprises will have the opportunity to purchase it or to jointly implement it in the EU 13 pst system. of the expected emissions. This is identical to what will be the competitive situation for EU enterprises, and is based on joint decisions, which Norway alone cannot take. But a positive side is that such purchases will provide money for significant development measures in many poor countries – development measures that would otherwise not be achieved. The progress party points to questions that we also had up ten days ago, questions about the base period. Let me say the same thing again -- I think business needs predictability, I think you need a basic period. If you don't have it and you're going to juggle with it almost at all times on the basis of the populist plays and views that may come, you'll never get what's the basic here: a consistent incentive and a drive towards investing in new and forward-looking technology. Then the rules of the allocation plan, including the issue of quota reserves, will be sent to the hearing in the very near future, hopefully this week. In this context, as I said earlier in Stortinget, free allowances will be granted, and some of the companies mentioned here will of course have the opportunity to apply for the free allowances. The complainant and others have criticised the Government for ‘concealing’ — that was the term used. I don't want to go that far, but I'll go as far as to say that as much good as this government has done, I think we can admit that this case could have been handled somewhat faster. I am not happy that we have not been able to send out these guidelines so closely during Christmas. But this is also because these are huge technical issues, which naturally involve a number of departments, and it requires precision in the work that needs to be done. We could have been faster, and we're going to try to be faster if there's a parallel situation in other cases. Finally, I would like to say, when the Progress Party rises, there must be law in many other issues in the Stortinget. But the criticism of climate policy by the Progress Party is not easy to take seriously. If you've spent 20 years of your life criticising all those who thought that the climate noise was a serious question, I ask you to be a little moderate in language usage when you accept that it is. I have been in debate with the Progress Party in the 1980s – as it said that this was something SV had invented to win votes. Throughout the 1990s, this was something that the green fanatic had to do with, and that did not belong to. And as late as the Nobel Prize was awarded to the Intergovernmental Panel on Climate Change a few months ago, the Progress Party used the opportunity to doubt whether there really existed any climate turmoil. Why, then, should the party be taken seriously in this debate? If you have been a pagan throughout your life, you should not speak of what is true Christianity.
ParlaMint-NO_2007-12-18.ana.ud731e2272	It's going to be line change.
ParlaMint-NO_2007-12-18.ana.ud731e2276	The fact that we are discussing major issues is not an excuse for implementing bad policies. I wish the Council of State had given the impression that there is a certain progress in the timing of the hearing on the award, or at least said that the matter will come in the very, very, very close time – that it will come in the very nearest time, we have heard for a few months. The question concerns what the party colleague of the Council of State, the representative of Thorkildsen, said in his statement, that we are determined not to have free allowances after 2012. We've heard a lot of statements from state councils that Norway has an ambition not to have free allowances after 2012, but all the way, it's got a hard way to get it off the ground, because you're going to see what the EU is doing, probably because one has a certain understanding of the need for competitive framework conditions. Is the statement by the representative Thorkildsen a confirmation of the government's policy? Has the Government now decided not to have free allowances after 2012?
ParlaMint-NO_2007-12-18.ana.ud731e2285	I think we're going to try to have a political look at what's going on internationally with regard to climate change and the gigantic negotiations that will last for two years until the Copenhagen meeting in 2009. Let's not have an auditor approach to this, where we believe the dot can now determine what will be the situation in 2012. I think the most likely thing will be that led by an American president with visions in this area, where China will end up about it, and where the EU will be a driving force in it, I will be able to rejoice – but from the point of view of the Progress Party one can risk – that one will have significantly tighter conditions to deal with in 2012. But neither of us can say this on the dot. Norway has to deal with what is happening internationally, but our ambition is to be in charge of implementing exactly the guidelines that the world needs to take into account. Included in this is that you should not be trading free allowances after 2012.
ParlaMint-NO_2007-12-18.ana.ud731e2294	I am pleased that the Council of State joins the criticism that I addressed to the Government – I used the term ‘soml’. However, the fact that the Council of State chose to use other words is not a basis for reducing my joy that he admits that the Government could have worked much faster in this matter. This also illustrates a little of what was my main focus on the nuances of these issues where we distinguish layers with the EU. My question then is whether the Council of State thinks it is right that new industry, set up after 2001, which is probably the most environmentally friendly, which invests in new and environmentally friendly technology, should be penalised economically and have a competitive disadvantage in relation to industry outside its borders, which escapes this penalty.
ParlaMint-NO_2007-12-18.ana.ud731e2301	We had a pretty thorough discussion about this in Stortinget for just about. ten days ago, but I repeat with great joy what I then said: A basic period is needed in this area to avoid a situation where it becomes liquid — where the industry does not know what it has to do with, and where different forms of political pressure will be determined. So the base period you choose is a little bit random. This government chose to use the same base period as the Bondevik government did – and to follow it up. So that's the basis for that base period. I'm taking a clear distance from that this could be something you're juggling with. You could have chosen another base period, but it would have created exactly the same problems as those mentioned here. The basic and important thing is to get into a system where industry knows what it has to do, to have clear incentives for research and development in order to get more environmentally friendly solutions — and not to think that by delaying and waiting you can get cheaper from it.
ParlaMint-NO_2007-12-18.ana.ud731e2312	The extent to which the Progress Party has changed its policy is likely to be discussed, but there is only a small amount of progress in terms of the change of course in terms of SV and the question of gas power plants. It started with SV opposing all gas power plants – whether they had CO2 cleaning or not. Then it was decided, after fighting, at the national meeting that one should be for – on the condition that it was cleaned from day one. Then one joined the government – because the gas power plant at Kårstø was to have clean-up from 2009. Then one went in for the Mongstad plant – because the test facility there was supposed to have clean-up from 2010. Now we know that the Kårstø elevator is broken. Now we know that the Mongstad promise is broken. And now a hunter is assessing whether to give the gas power plant at Kårstø free allowances to a large extent. Does the Council of State feel that he still has eye contact with SV's original policy regarding gas power plants?
ParlaMint-NO_2007-12-18.ana.ud731e2326	The fundamental question here concerns the development of CO2 capture and storage technologies. That technology has evolved – again as I said in Stortinget for approx. ten days ago – because Kristin Halvorsen got caught. There was no incentive from the Bondevik government to get this done. For example, the Bondevik government had: Just started the project on Melkøya – without setting the same requirements. But then Kristin Halvorsen and Åslaug Haga started to work and said that without CO2 capture and storage, we cannot accept further developments in this area. The essential Norwegian contribution is to achieve this internationally. We contribute to it – hopefully British, American and others can also contribute – we are doing something that is absolutely fundamental in the climate struggle, because we will then be involved in developing a technology that is almost impossible to believe that we can stop the growth of emissions globally without. And if we can develop that technology in Norway, it will also be important to spread it to poor countries cheaply.
ParlaMint-NO_2007-12-18.ana.ud731e2341	The cord shift is over. Several have not asked for the floor on case No. 10th@item: inlistbox Excuse me, Ketil Solvik-Olsen! The following speakers shall have a speaking time of up to 3 minutes.
