ParlaMint-NO_2007-01-31.ana.ud49e24	The representative Borghild Tende, who has been licensed, has again taken the seat.
ParlaMint-NO_2007-01-31.ana.ud49e1348	I allow myself to ask the Minister for Children and Gender Equality the following questions: ‘From Christmas to New Year, Block Watne announced in East Agder with the sale of space Christmas apartments on the meadows outside Arendal. In these extensive advertisements, potential buyers were encouraged to decide immediately, i.e.: during the summer, they would have a dishwasher on the purchase. Advertisements contained very favourable rain examples of housing costs. However, it was not stated whether the total price, the pay-down period, or that the calculation examples were based on the freedom to deduct. How does the Council of State assess such marketing?’
ParlaMint-NO_2007-01-31.ana.ud49e1357	Purchases of dwellings are usually the largest individual investment made by consumers during their lifetime. It is therefore important to have the best decision-making basis on which the purchaser can rely. One of the most important questions that the purchaser has to consider is whether he or she can afford to pay the dwelling at the price available, and of course whether they can live in it afterwards. Housing must therefore be marketed in such a way that both current and future housing costs are clearly evident. As the questioner refers to, some dwellings are funded with very low deposits and high public debt, so-called low-deposit housing. The common debt is usually non-deductible in the first few years. This provides a low entry ticket, but often high monthly costs. When a instalment is due after a period of time, the total amount of the bribes may become very heavy to bear. Such dwellings are often marketed particularly in relation to young people who are buying their very first dwelling. Dwellings may seem tempting to buy, because it is not necessary to raise such a large personal loan. However, young people have limited experience both in the purchase of housing and in financing, and there are specific marketing requirements, which must not lure young people into buying apartments they cannot afford and which can also be very difficult to sell. The marketing law requires that advertising be neither misleading nor unreasonable. The law will also regulate the marketing of low-income housing. It is the Consumer Ombudsman who enforces the Marketing Act. The ads referred to only have a calculation of monthly housing costs. Such advertising, where only parts of the price picture appear, is likely to be prohibited under the Marketing Act. According to the practice of the Consumer Ombudsman, this includes, inter alia: a assumption that, if a price element is declared, the rest of the elements must also be obtained, including the total price. The real monthly costs must also be stated in the advertisement. The Consumer Ombudsman has placed housing on the market as a priority area and is currently revising the existing guidelines on housing marketing. The Consumer Ombudsman has inter alia: met with housing industry organisations to establish new guidelines on the promotion of housing. The case has been under consultation, and the new guidelines are likely to be developed during the spring. I believe that the Marketing Act will be a good tool to prohibit misleading housing marketing, and I would ask the Consumer Ombudsman to assess the legality of the relevant advertisements.
ParlaMint-NO_2007-01-31.ana.ud49e1372	Thank you very much for a very good and complementary answer. When I signed this case after Christmas, via Agderposten, which is the local view below, representatives from Block Watne in Aust-Agder replied that a seller would be better off if one did not state in the ads what the housing/apartment costs. So it's very clear that this is part of a sales strategy. How does the Council of State assess the type of sales strategy?
ParlaMint-NO_2007-01-31.ana.ud49e1381	There is no doubt that this is about trying to lure, I would say, a special group to buy this type of dwelling. There is no doubt that in the establishment phase, young people have limited opportunities to incur a high level of personal debt. That's why this is going to be the possibility for a lot of people in our society today to have a share in the housing market. This is why it is all the more important that this be done in a clean and proper way, and that the industry act in a way that is serious and real. It's important that we now go through all the sides of the marketing that different real estate agents have. I want to say that the government has recently focused a lot on the real estate industry. We are now going through several aspects of the law, and the Stortinget will have it treated in a short time. We know that there are weaknesses in this system that we have to look closely at. I would also like to say that I am about to put down a sample that will assess the use of condition reports and look at a separate approval scheme for housing tax collectors.
ParlaMint-NO_2007-01-31.ana.ud49e1388	I would like to give tribute to the Council of State for its commitment to this matter. Governments have both looked at these issues and often addressed them. There is little doubt that the housing market is not as open and transparent as one might wish. Finally, I would like to hear a little about the Council's assessments of the situation of the housing buyers in today's housing market – whether they are secured well enough.
ParlaMint-NO_2007-01-31.ana.ud49e1395	The whole starting point for the Government to have passed the Property Agents Act is that one has seen that there are weaknesses here for those who are going to buy and sell in today's housing market. Therefore, it is important that the authorities go through the law carefully and see if it works optimally in the time we now have. There is no doubt that we have been in a time of a very overheated housing market, especially in our big cities. This means that a lot of complaints have been raised, among others. The Consumer Ombudsman, and the Government believes that we have to take seriously. We have now had a complete review of the law, which will mean that we are getting a very clear improvement in consumer rights in this field. It is important that we have the security that when we buy or sell our home, it should be done in a proper way. This is perhaps the largest single disposal we make economically throughout our lives. We also see that people who have to re-establish themselves have a huge cost. Therefore, it is important that we have the security that the residential transaction is carried out in a quality assurance manner.
ParlaMint-NO_2007-01-31.ana.ud49e1408	I allow myself to ask the Minister for Health the following questions: «More nurses at Haukeland University Hospital have received cancer due to radiation damage caused to them at work. The Department of Occupational Medicine at the University of Bergen has concluded that eight of the nurses are likely to have cancer caused by the working environment at the department in which they worked. This is very worrying. We cannot be sure whether similar hazardous equipment or bad safety procedures have occurred or are still in use in other hospitals. What will the Council of State do to figure this out?’
ParlaMint-NO_2007-01-31.ana.ud49e1417	The relationship between exposure to X-ray and risk of cancer is well known and based on extensive research and experience over many decades. Knowledge is well documented in international scientific literature, as the questioner is also very familiar with. There are internationally recommended maximum levels for the extent to which radiation from professional exposure may receive within one year, and these are set in Norwegian regulations. The State's radiation protection system has been continuously monitoring occupational exposure since 1957, and this includes approx. 6 500 workers — most naturally in the health sector. The monitoring shows that employees in Norwegian hospitals generally do not receive radiation doses exceeding the recommended maximum levels. The straw supplier considers it generally safe to work with X-rays in the Norwegian health care system, but it is important that workers have good knowledge of radiation protection when using such devices, both for their own protection and in order to ensure radiation protection for patients. Registered doses of radiation at the heart department of Haukeland University Hospital have been reviewed over the last 15 years, and they show, according to the information I have received, expected values for nurses. In general, doctors at the department received slightly higher radiation doses than the nurses. This can be explained by the fact that they are mainly closer to the source of radiation during the interventions. The radiation doses at this department, as I have become aware of it, have not been significantly different from the doses measured at corresponding departments. Employees working on X-rays in the 1980s and 1990s had so-called radiation dosimeters which measured possible excessive radiation values. Blood samples were also taken regularly by the employees. Neither radiation doses nor blood samples show abnormal findings. The State Radiation Protection Agency has carried out two inspections at the Heart Department of Haukeland University Hospital since 2000. These have revealed some inappropriate x-ray equipment and, in part, limited competence in radiation protection procedures. However, this is not considered to be significant and serious enough to pose a significant additional risk to staff. Apparatus deviations have now been established and training measures have been implemented. I would like to inform you that the State Radiation Protection Agency has invited representatives from the Norwegian Nursing Association and Haukeland University Hospital to a meeting in Strålevernet on Thursday 1 February, i.e. tomorrow. At this meeting, the Straw Liver will provide information on the radiation protection legislation and the ongoing approval process of its health companies and X-ray institutes. The supervision of the Straw liver at the Heart Department will also be explained. Furthermore, the radiation doses that employees may have received and the relationship between the dose and the risk of cancer due to X-rays will be briefed.
ParlaMint-NO_2007-01-31.ana.ud49e1432	I thank you for your answer. I think it is very positive that tomorrow you should already have a meeting with it connected, among other things. organises most nurses – that's good. What I am asking, however, is simply what the condition is like in other hospitals and in other healthcare companies. In fact, in the last report of 2005, health Bergen in the survey carried out does not differ negatively in the supervision of similar conditions and related consequences of other health establishments. My question is also whether it is not then necessary to carry out the same review with other healthcare companies that has actually been done at Health Bergen, and to correct the errors that are there, as I understand it.
ParlaMint-NO_2007-01-31.ana.ud49e1439	Firstly, it is important to establish that we have a good regulatory framework for radiation protection in Norway. That legislation was also updated and revised in 2000, with new legislation and regulations with effect from 2004. It represented some tightening demands on the business and imposes a clear responsibility on them for radiation protection. It shall be fully implemented by 2008. Clearly, the government is following these developments very closely. I have no background per. Today, based on the knowledge I now have, to say that this is a big problem across the country. Rather, on the contrary, we have the impression that this works pretty well. But I'm very concerned that we make sure that the laws and regulations that apply are actually followed, that the appliances are safe enough, and that the training of the employees is also good enough. Therefore, in the first place, I await the meeting that is announced, and that will be tomorrow, to hear what comes out of it, before I decide how we will continue to follow it up.
ParlaMint-NO_2007-01-31.ana.ud49e1446	It is true that new legislation was introduced in 2000. But the two investigations after that have just shown that, among other things. had insufficient coverage of personnel, and there were too few radiographs to operate the equipment properly. There was also a lack of classification and labelling of the workplace. And as the Council of State was in it, there was some lack of training — including the training of nurses serving the mobile x-rays. I'm still a little worried about the other health companies, where maybe you haven't had the same review that you've had at Haukeland University Hospital. So I'm going to ask the Council of State – which I at least perceived as being going to follow this – to get a brief report from the meeting tomorrow and listen very carefully to the Norwegian Nurses' Association, which will often also receive a message of concern from some members who are unsure of these statements.
ParlaMint-NO_2007-01-31.ana.ud49e1451	First of all, I realize that people get insecure when they read that kind of look-up, and they can get scared. But at least it's okay to say what's right, according to the information I've received from professionals, that there's no direct connection between the devices and radiation and what was disease. But we're going to take seriously the reports that are coming and that the representative Davøy here refers to, and the fact that we have knowledge that there is something varying in terms of training, also to a certain extent in terms of appliances. I want to get a report on what has happened, of course, after the meeting that will be tomorrow, and I want to have a dialogue with the State Radiation Protection Agency, which is responsible for ensuring that this is followed. And to the extent that it is desirable, of course, I would like to listen to both Norwegian Nursing Associations and others. Because it shouldn't be that people should be insecure when they go to work. We need to be absolutely safe. As of today, there is no reason for any particular concern about this. But we're going to follow it carefully, so people don't worry unnecessarily.
ParlaMint-NO_2007-01-31.ana.ud49e1467	This question has gone away.
ParlaMint-NO_2007-01-31.ana.ud49e1474	I allow myself to ask the following questions to the Minister for Health: ‘After recent media signals, health care businesses have to cut more than DKK 3 billion this year. This will have to hit patients over longer waiting and shorter bedtime. What changes to the patient offer have now been adopted or planned to be implemented in 2007, related to health business budgets and plans in 2007?’
ParlaMint-NO_2007-01-31.ana.ud49e1483	Never before have hospitals had as much money available as they have now, and never before have we treated so many patients. That's good. There has been a real growth in this sector in the period from 2002 and it has not been cut as such. It may be cut in relation to what has been desirable, but not cut in the usual activity. The claim that health businesses must cut more than DKK 3 billion per year is linked to the fact that enterprises are now in a budgetary process for 2007. A cut, so-called, of DKK 3 billion must be related to that process, including the submitted wishes and proposals for 2007. That means there's no reality in that we're talking about a $3 billion cut. Having said that, I nevertheless see – like the representative Molvær Grimstad – that there are significant challenges for several hospitals. There's no doubt about it. I am aware that the demand for budgetary balance is demanding, and I will, of course, follow developments very closely. I can also state that four of the five regional health establishments have not yet completed the budgetary procedure until final budgetary decisions – they have not completed their process. The Ministry of Health’s mission documents to the regional health businesses for 2007 were sent out on 9 January this year. These documents indicate the appropriations allocated to each health region and to each regional health undertaking and the requirements imposed on them during the current year. The mission documents are, of course, based on the budget decisions of the Storting. In these mission documents, the Ministry is proposing to continue its activity at about the same high level of activity as last year. Furthermore, mental health protection and multi-disciplinary specialised treatment for drug addicts must have a stronger growth than somatic treatment when measuring expenditure. Good migration and migration processes are central to meeting the budgetary challenges facing health businesses – it is not just a question of the size of the budget framework. Let me therefore also highlight issues that need to be at the heart of meeting the budgetary and migration challenges. In this sector, we know that there is a continuous supply of new medical and technological knowledge. Medical truths are becoming shorter and shorter, and information technologies and knowledge about ways to organise services are also changing. It is therefore important that there are migration processes in which health businesses review their activities to see if they can organise their activities in new and better ways. In this context, measures can be developed that provide both better professional patient treatment and are economically more rational. I would like to highlight the interaction actions between the municipality of Trondheim and St. Olav's Hospital as an example of a long-term conversion work that, according to Health Mid-Norway's information, now bears fruits in the form of shorter bedtime and fewer corridor Asiatic units at the hospital. Medically-treated patients receive a better offer through specialised hospitals – instead of being longer than is necessary in hospitals – where the hospital and the municipality cooperate to provide patients with rehabilitation and the opportunity to recover from hospitalisation. This is just one example of migration measures that benefit patients and that do not harm patients in a negative way. In addition, I would like to improve the offer to some patient groups, such as: Mentally ill and drug addicts, and an additional effort is needed to put in place comprehensive services and services for the sick elderly. It also implies that hospital services are reviewing their activities and reversing their activities. I see it as important to support the positive migration measures in healthcare. With that in mind, I have put a constant pressure on putting in place good interaction systems. We know there are major challenges in the relationship between hospitals and municipalities in some areas. I follow up on the development of local hospitals both through investigation work and through instructions in the mission documents of regional health companies. Furthermore, I am helping to improve the quality of the entire service by working these days to put in place the new Quality and Prioritisation Board – to mention some measures.
ParlaMint-NO_2007-01-31.ana.ud49e1502	I would like to thank the Council of State for the answer. I am aware that many conversion processes are taking place and that there is a great deal of positive progress in the health sector. However, I have seen from the media that many health professionals have gone out and told me about the severe cuts they have to make in order to get the budget to go around, and to keep the treatment capacity. For Health Sunnmare, there will be savings requirements of at least 70 million in 2007. NOK and cancellation of at least 33 added. At the Volda Hospital, it is decided to close the maternity ward for four weeks until summer. This has not happened before. And I know that Health West at the same time is planning summer closures at the birth ward in Nordfjordeid. In that case, there will be no provision between Förde and Ålesund. As a result, an action group has become ready for a collection action where we collect money for four weeks’ operation – and offer the board of Health Sunnmare money. I think it is important that the government now has to answer for the consequences of its policy. Is it such that she here accepts to reduce health supply and that private collection actions should provide a good supply?
ParlaMint-NO_2007-01-31.ana.ud49e1513	It is difficult for me to comment on the individual matters in particular, because I am not aware of each of the issues raised by the representative here. Clearly, it is demanding for some health businesses. I'm not going to substantiate that in any way. But at the same time it must also be allowed to say that it is a fact that we have never used that much money. And we're going to keep doing that. I see that there is a difference between some hospitals in the way they organize and use the money. I don't mean in the sense that it should affect patients, or that employees should run faster, but in the sense of finding measures that are actually better for the patient. Here I see that some hospitals do it in a wiser way than other hospitals. And we also have to be concerned – in addition to, of course, constantly giving more money – about how they spend the money they actually get at their disposal. Then I would like to emphasise again: four out of five health companies have not completed their budgetary process, so it is quite certain that there will not be any of the proposals that are now being presented in the media.
ParlaMint-NO_2007-01-31.ana.ud49e1524	I would like to thank you for your answer. On a national basis, it is said that many hundreds are being abandoned, that it is not possible to reduce the supply of treatment and care, that hospital services have been disconnected or severely reduced, and that waiting lists will increase. Health professionals have a major challenge. But what is important is that the responsibility of the Government is superior, so that one does not shift responsibility to healthcare professionals and believes that only by streamlining and rationalising will one achieve it. There is a lot of health use, but at the same time we know that costs are increasing, and that one can provide more than one treatment. Will the Council of State come back into the revised national budget with some more means, so that one avoids the drastic cuts that have been signaled in the media, and the negative consequences it will have for the whole country?
ParlaMint-NO_2007-01-31.ana.ud49e1535	The representative of Molvær Grimstad knows that I can't say anything about coming budgets, for so long she's been in this game herself. But the government is, of course, concerned with all aspects of our healthcare system, and we need to make sure that we get good enough treatment throughout the country. That's the basic thing, and the treatment is of good quality. Then we have put forward in our draft budget, to which we have come in agreement here in Stortingen, with the historically high allocation proposal we presented to the Stortingen, and which was adopted, that we can continue the activity at about the same level next year. In this area, as in most other areas, we have to have two thoughts in our head at once. One is money, and the other is organizing us for the benefit of the patient. There's a lot of positive going on here. But again: I do not underestimate that it is demanding, and it is clear that I am following that development very closely.
ParlaMint-NO_2007-01-31.ana.ud49e1542	So the ordinary Questionnaire is over. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
