ParlaMint-NO_2007-11-08.ana.ud1064e38	The representative, Kari Lise Holmberg, will present a proposal for a representative.
ParlaMint-NO_2007-11-08.ana.ud1064e1257	Pending full membership of the EU, and while we are committed to ‘responsive to initiatives coming from the EU’ – as the Minister for Foreign Affairs put it – it is the EEA Agreement that aims to ensure as much as possible a level playing field for trade and economic relations in Europe. Norwegian exports and trade with other countries in the internal market are important for Norwegian value creation, and therefore for well-being. In the absence of membership, the agreement gives us conditions that ensure predictability and conditions under which Norwegian business can develop. The agreement is not only rights but also obligations – obligations towards Norwegian and international businesses, which, in addition to the legislation, will comply with these obligations. Therefore, it is important that, while responding to initiatives, at least we do not undermine the obligations of EEA legislation. I have registered the Minister of Foreign Affairs' public amazement in the autumn of one of the Minister of Finance's tax proposals in the next year's budget. My concern goes on a few other of her tax proposals, which seem to be, to say the least, questionable in relation to the EEA obligations. Firstly, a significant change in the obligation of foreign shareholders to pay taxes on dividends from Norwegian limited liability companies is proposed. Today, such shareholders are exempt from tax when they are members of the EEA territory. Following the government's proposal, they shall be exempted only when operating so-called real economic activities in the home country, and the question that then arises is how Norwegian listed companies will be able to clarify how several thousand foreign shareholders operate in their home country. It is, of course, insurmountable, and it is inconveniently bureaucratic. This must be done because withholding taxes are to be deducted from dividends paid to companies in advance. But no Norwegian company shareholders are obliged to pay taxes on the same dividend. It follows from the exemption model of the tax reform. And so there is considerable discrimination between Norwegian and foreign companies, because there are also tens of thousands of Norwegian company shareholders who are not operating so-called real economic activities, as defined in the proposition. In the context of the tax reform, it is known that very many personal holding companies were established which do not have this content. Therefore, EEA shareholders are discriminated against in Norway, which is contrary to the fundamental freedoms set out in the Agreement. The same proposition also proposes that the relocation of Norwegian SEs, European companies, should lead to full taxation of profits on all assets of the company based on market values at the time of the relocation. In that case, all unrealised gains are taxed, and this gain will be taken into account at the end of the day when the Norwegian tax liability ceases. What is not mentioned in the proposal is that this conflicts with the way in which the European Commission perceives the position of these companies in relation to the EEA Agreement. In a report of 19 December last year, the Commission takes the view that a company moving to another Member State cannot be taxed at an earlier date or at a higher amount than if the company had moved to another place in the same country or had not moved. And the Commission’s assessment was not based on political assessments, but on legal analyses of several judges from the European Court of Justice. It is fully possible for Norway to be assisted in both information and invitations from the countries to which it is transferred. Therefore, such a rule is most likely to be contrary to the Commission’s view. These two important issues for business have been the subject of a debilitating treatment, perhaps in the same way that the case of the State Council itself was concerned with. There is reason to believe that the Storting has received poor assessments, while the relevant authorities have not been invited to a hearing on the changes, which could then reveal the lack of assessments. These proposals are certainly questionable in relation to our obligations under EEA legislation. I think it is unfortunate for our international commitments on such regulatory changes to come quickly, with poor assessments, hearings and views more geared towards extending the boundaries of our EEA adaptation, and perhaps also directed towards the well-being of the Treasury and increasing the proceeds of taxpayers' groups that the Government believes intuitively can contribute to improving the distribution profile of economic policy. There is only one possible guarantee to avoid such situations, and that is the solution Right wants with full cooperation in Europe, which will unquestionably provide a level playing field for our participation – in trade and economic relations.
ParlaMint-NO_2007-11-08.ana.ud1064e1279	Today's debate illustrates to the world that the government's own timetable on these issues has already, and for the most part, broken down. It was said at an early stage when we talked about what is the government's performance project, the so-called moon landing project, that the EU, EEA and ESA were not a problem in this case. As with open eyes, Stortinget has kept his eyes open. It's actually the opposition that has asked to be informed along the way. And when you finally get informed, it turns out that the timetable that the Government itself has set, full of its own ambitions, cracks, too, unfortunately, in this area. That's why I think the presentation as such, which is very commendable of addressing these issues that are absolutely vital to Norway in everything we talk about in terms of the environment and climate, in many ways illustrates that here the timetable is completely wrong. And when, in today's debate, the Minister of Oil and Energy states that she is proud to belong to a government that takes great action, unlike the previous government that did nothing, I no longer think this type of rhetoric belongs to these questions. In fact, we're about to write on 1 January 2008. Then it turns out that one thing is the climate directive that has not been put in place, implemented, in Norwegian legislation – REACH is another matter, as the Foreign Minister mentioned in his statement, where we see that we are in overtime. We see that we have actually come so far that, on behalf of most of Norway’s creative businesses, the NHO is now bringing protests to the EU and asking the EU to take action against Norway on its own. At the same time as today's government states that we want to walk in parallel with the European Union, it turns out that in this willingness to compromise which one has to have internally in the Government, there are strange limitations that make us have an uncertainty situation in Norwegian business, while at the same time political progress bears the mark of one word, and that is 'unexplained'. We see that a system has been put in place within the climate directive where Norwegian businesses do not receive free allowances. In other words, Norwegian businesses established after 1 January 2002 do not receive free allowances — unlike all our neighbouring countries and the other some and twenty EU countries. We have seen that new activities in Norway do not receive free allowances, unlike in our competitors, i.e. an anti-climate policy, an anti-environment policy. With regard to rhetoric, in particular, I would like to point out the leader of the oil and energy minister in these issues – it is almost not serious. At a time when you try everything you can politically to create wide-ranging agreements in the Storting to put in place a climate policy that can be bearer, and that can be a pattern for other countries to do themselves on these issues, it does not hold up in the Storting today and say that yes, she is proud to belong to a government that works hard, unlike the previous government, which did nothing. At least it does not create a good climate for negotiations. Moreover, today's debate is also illustrated by many good speeches, referring to the fact that Europe, the European Parliament, is the world's major driving force in environmental issues, in climate issues. It is referred to both the Blue Book on Maritime Policy and the Green Book on Energy and Climate. I believe that for the future Norway will stand on one thing, and that is that if you recognise that the EU is a driving force in these issues, you must also be able to go in parallel with the EU here – and not because of internal contradictions try to create strange sideways that just complicate and limit the pace to the goals we set, to be very good both in Europe and in the rest of the world on climate issues. Finally, I would just like to say that also in the areas of management, fisheries, the environment, north-eastern policy and the exercise of sovereignty, we would have insisted not to stand in the way, but to participate and influence the crucial issues for the Norwegian future.
ParlaMint-NO_2007-11-08.ana.ud1064e1294	This has become an interesting debate in the light of an interesting presentation. I have no doubt that this type of debate meets a need in such a way that it will evolve into one of the major debates of the Storting. I think it was liberatingly open by the Minister for Foreign Affairs to describe the task of responding to EU initiatives, because this in many ways tells us very clearly what the restriction in our form of association is. Of course, I am as conscious as anyone else of the fact that it was not relevant when I was in government, and that it is not relevant now, to change this form of connection – at least not in the short term. However, I think it is important that we do not close our eyes to the constraints, that we are willing to debate them and put them on the agenda. I think that's an important part of the Norwegian social debate. I will therefore raise another such question, where the connection is obviously not enough for our needs, and it is about the challenges we face in the north. Extensive and excellent efforts are being made to get other European countries interested in the challenges of the north. But is that enough? Right now, enthusiasm is perhaps the most prominent – and well-founded enthusiasm. The fact that Norwegian participation in the Shtokman field went into the box not long ago, underlines that optimism and opportunities in many ways are the central words now. But is that enough? Russia offers many opportunities. I think it's right to have that starting point. It is a fantastic country, a fascinating country and a country that we should get closer to. However, the problems are bigger and more difficult than they were, because we see as much as we go in the wrong direction in Russia. The development of pluralism, the development of civil society, the restrictions on the opposition, the freedom of the press, the fact that the Russians have now put such a great deal of restrictions on the observation of elections that there is no such thing as the development of the rule of law, or the lack of development of the rule of law, the confusion of political and economic interests – all these are worrying features, quite fundamental concerns. We have to observe that Norway is one of the least concerned neighbouring countries in Russia. Almost in all other contexts, there are problems of some kind, and we're earned to think carefully through it. The question then is: could a different form of EU connectivity be useful? I'm referring to the fact that the Chief of Defense has just presented a study. There was a lot of leaks from it in advance. One of them was that NATO in the north now couldn't help us to the extent that many thought. Now maybe this isn't the right representation of what's written there, the point is that there are some things we've always had to do ourselves. So some of the challenges we are now facing in the north are of the kind that NATO has never been set to solve -- it's environmental and resource issues, it's jurisdictional issues and it's territorial issues. But then the question is, will we in the years to come be comfortable with a situation where Norway on the one hand and Russia on the other hand are going to deal with these questions? To be honest, I think we should think carefully whether it would not give us the opportunity to borrow heavier, even heavier, even more ambitiously inwards towards exploiting the opportunities in Russia if we had also been a member of the EU, had the EU's weight behind us. We know how EU solidarity works for the benefit of small countries. We know, for example. how it seemed the last time the Estonians had problems with Russia. It seemed positive for small Estonia. The question is whether none of the same issues, perhaps to an even greater extent, would be valid for Norway in the many questions we are facing. It's not something we can immediately change, but we don't have to close our eyes to this perspective. I think one of the central north-eastern debates should be about this.
ParlaMint-NO_2007-11-08.ana.ud1064e1311	I would like to begin by thanking the Minister for Foreign Affairs for his presentation. He shows that Norway is in a position to pursue a more active European policy than we have seen in the first 10 years of Norwegian EEA membership. Although the Central Party would prefer to have a different form of cooperation with the EU, we are pleased that we are now using our negotiating cards more actively. Norway has a great deal that the EU needs: energy, geographical proximity to the Barents Sea, a traditional good relationship with our big neighbour in the north, a market of purchasing power and raw materials for EU industry. With sufficient confidence in our own policies, we do not need a pessimistic attitude, which some EU citizens have, as far as Norway becomes a marginalised country when the EU is enlarged. There's nothing to suggest marginalisation. On the contrary. The case of returnees, enlargement negotiations with Romania and Bulgaria and the differentiated employer fee do not indicate that. And I am bold enough to believe that the European Union is not taking the chance either to poke heads in the wheels for what has shaped today's debate, namely the capture of CO2 in Mongstad, the sea of the European Commissioner for Energy to Norwegian media was injured to say that the EU competition rules go ahead of the environment. I have great confidence that the Government and the Central Party Council of State in the Ministry of Oil and Energy, Åslaug Haga, will lead the negotiations to a positive result for Norway. In line with the Storting's treatment of the European Communication, I also think that we are on the right track to have a more open and active involvement in the Storing in European affairs. However, it is still a long time before we are where the Centre Party would like, with the usual treatment of European affairs in the Committees rather than the EEA Committee's express procedure. I want to focus on a special matter that was mentioned by the Minister for Foreign Affairs. This is the new Treaty of the European Union. The Minister for Foreign Affairs said: «The basis of the Treaty, if it enters into force, also applies to us, because it will affect the arrangements for our work on an active European policy.» [[...]] Further: ‘The new Treaty of the European Union also presents challenges for us’; and that ‘the failure of such a bridge structure; [[...]] These statements by our foreign minister are so important that, in line with what was said by our foreign policy spokesman, Alf Ivar Samuelsen, the Stortinget should get a big message where the Government explains what is changing, what consequences it has for our approach to the EU, how we should deal with it, and whether it has consequences for the contractual nature of the EEA and Schengen Agreement. The assessment of the Central Party is that with the new Treaty, EU leaders have made only cosmetic changes to the EU basic law to which the French and Dutch people voted no in 2005. In no areas will power and competence be transferred back to the Member States. The amendments make the new Treaty more diffuse and give greater power to the Commission and the European Court of Justice, which will follow up and interpret the legislation. When the Minister for Foreign Affairs notes that the right to veto is being lost and that new legislation can be developed more quickly, it will affect Norway’s ability to ally itself with similar countries in the EU against legislation that undermines the rule of law, the environment and an active industrial policy, to mention something. The government's policy of international and historical experience shows that small countries have often led important reforms for people and the environment internationally. In the EU, I am afraid that we are now facing a situation where small countries are less able to take on such a role. That is why the Central Party understands the popular demand in many EU countries for referendums on the new EU Treaty. Despite the fact that several polls show a solid majority of referendums in central countries such as the United Kingdom, France, Spain, Italy, Germany and Denmark, it seems that EU leaders are not open to listening to their own populations. As a small country, with the ambition to play an even more important role for the environment and development internationally, I believe – certainly in contrast to previous speakers – that the arguments against Norwegian membership of the EU have been further strengthened by the developments we are facing. But only with active debate and commitment can we better deal with the form of association that the Government has also decided to operate on the basis of this large-scale period.
ParlaMint-NO_2007-11-08.ana.ud1064e1354	Let me first say that it is a pity to see that this debate is going too close to empty gallery and not least empty big hall. There is a much more important debate than both the representatives of the magnificence and the audience give the impression of understanding. The EU is not perfect, but membership is far better than today's EEA agreement. ‘I hear that some in Norway are afraid of the democratic deficit in the EU. But what is EEA? A feudal system and a total democratic disaster.’ The quotation is from Marit Paulsen, a Norwegian-born Swedish EU parliamentarian, in the VG on 8 February 2003. Another Swedish EU parliamentarian, Christofer Fjellner, has said that for outsiders it is strange and incomprehensible that Norway is not in the EU. He goes on to say that from both a European and a Swedish perspective, it is a pity that Norway would be able to contribute a lot in the EU. I fully agree with both statements. Norway may and should actively contribute to the EU decision-making body and not, as is the case today, as a mere recipient of decisions taken in Brussels through the EEA Agreement. The EU is important for Norway. 70 pst. of our imports come from the EU, and 80 pst. of all our exports to the EU. We are therefore totally dependent on access to the EU's internal market. From a business perspective, it is easy to see that membership will eliminate unnecessary currency risks by replacing a volatile krone with a more stable euro, ensuring market access especially for Norwegian fish, and ensuring the impact in the preparation of provisions that will have consequences for Norwegian business. Nevertheless, the main arguments for Norwegian membership are democracy, cooperation, the environment, peace and solidarity. Poland’s election winner, the Civil Platform, said that it must be recognised – and it may have been contrary to the previous government – that the EU is far more important for Poland than Poland is for the EU. I think it would have been wise for both Stortinget and Norway to come to the same conclusion – that the EU is far more important for Norway than Norway is for the EU. The Central Party and the Socialist Left have always believed that EU membership will weaken the People's Party because decisions are taken by the nation states and transferred to the EU Parliament. Then there can be nothing but a paradox that it is precisely these two parties that are the biggest governance of the world. Both want significantly higher taxes, which effectively eliminate freedom of choice for both individuals and businesses. Both parties fight for a number of denominations of funds to the municipalities, because they do not trust either local politicians or individuals. They want to shift power to even larger regions, away from the inhabitants and the municipal populace. These are just a few examples of the national zeal of both the Central Party and the Socialist Left after moving decisions from individuals and municipalities to county and state. Their governance and lack of confidence in citizens and local people are not at all linked to their crown argument against a Norwegian EU membership. Unfortunately, the right is Norway's only 'yes' party. That's nothing but regret. It is also regrettable that many of the leading yes-people of the Workers' Party unfortunately do not find time or that it is worth taking part in a very rare EU debate. I have to say that if people believe that EU membership is important, a vote to the Right is the only guarantee for it. Me and Right want Norwegian EU membership, because we want to be a driving force for Europe's future. The EU’s bureaucracy, as in Norway, needs to be slimned down, decisions need to be reduced and more relevant, the EU needs to restore power and influence to the Member States, and the EU needs to take a lead in important areas such as the environment, climate and free trade. The future of Norway is ensured through EU membership, not through isolation, as today.
ParlaMint-NO_2007-11-08.ana.ud1064e1385	This has been a good debate. I think there has been a lot of interest in the debate. Yesterday we read in a larger regional newspaper that the EU wants to invite Norway to monitor. The EU wants to introduce new control mechanisms for persons flying from Norway to the EU, and insofar also for all other countries that are not part of the EU. The background is that you want to keep a better eye on who travels where in Europe. The proposal suggests that Norway, which is not an EU country, should also implement this scheme. The legislation also states that anyone flying from Norway to any city in the EU must provide a number of information, including: credit cards, travel orders, telephone and e-mail addresses, as well as several other information. All this information is in addition to the other safety measures already established at aerodromes. The Code also provides for the data to be stored for 13 years before they can be deleted. The incident dealt with in our case about security controls at Norwegian airports. In their comments, a joint committee said the following: ‘However, the Committee is not convinced that an extension of this type of action in the transport sector is part of a desirable social development and is fundamentally negative to any further reinforcement of security controls if the level of threats does not indicate this.’ The Progress Party also had a proposal, for which unfortunately we did not get a majority, which reads: ‘The Government is asking for the extension of security controls on air passengers and further restrictions on cabin baggage not to be implemented until a thorough assessment of the current regime has been carried out and before the consequences of any new measures have also been assessed in relation to privacy and service.’; Such a comprehensive proposal that the EU now submits to mainly Norwegian citizens’ travel movements to and from the EU should be actively pursued by the Norwegian authorities to reject, i.e. that Norway has to be treated as an EU country through incorporation into the EEA Agreement, as is the case under the Schengen Agreement. In relation to privacy, such a approach is also highly questionable; data protection is being attacked in ever-new areas. This is also a concern in relation to travel time and costs. The costs incurred by the authorities and air carriers will be passed on to travellers and the collection of such information by travellers who may not have been notified in advance could lead to significant delays at aerodromes. I therefore hope that the Minister for Foreign Affairs will be able to clarify what he thinks about this proposal that has now been promoted. Will he work to prevent the scheme from being applied to persons travelling between Norway and the EU, and does he agree that this is an attack on the privacy of individuals?
ParlaMint-NO_2007-11-08.ana.ud1064e1410	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2007-11-08.ana.ud1064e1413	It's been an interesting debate. But I don't think a debate about this statement about the EU could go without talking a little about research and maybe about higher education, but especially about research, and I don't find that very much in evidence. At the same time, we know that it may be where the solution to many of the major problems lies. It is a fact that we in Norway budget for the next year with about EUR 1 billion for the EU’s Seventh Framework Programme, and we spend a few hundred million on other projects that also govern the EU. It may be in those areas where real growth is found, at least in the case of Norwegian research. So much of it is actually managed by the EU, and Norwegian researchers have to move towards EU funding programmes. There is also reason to stress that they do – with quite great success. An interim evaluation of the Sixth Framework Programme of the European Union shows that we have participated in approximately 830 projects. There are 4 500 Norwegian researchers involved in projects in more than 100 countries. It's actually a pretty impressive success rate, and we're going to get a little bit more back than what we're doing in the programs. It might have been useful to have a vote in which you actually do the big priorities with regard to what you're going to bet on. We don't get that without being involved. Research is quite international in its character. Businesses go out and pick up the ideas where they find them, and this flows largely across borders. It's also a battle for the talents. There I think we should note that the EU has great ambitions to make Europe competitive, and research and higher education are very central. We must not just follow that with great interest, but actively participate in it, and we should not just be content to sit and participate in it through the EEA. I therefore hope that the foreign minister's omission of research in the statement was not a sign that there are no ambitions in this area, but that perhaps you will come back to it more strongly in later assessments. The EU does not take any cutting edge in the field of research. Rather, on the contrary, they have very high ambitions, and we should also participate in this.
ParlaMint-NO_2007-11-08.ana.ud1064e1424	It's not up to me to comment on how many are in the room, but I'll agree that this has been a very good debate. I believe that we have jointly achieved some of the ambition we had in the communication and the position on working with European policy, namely to have a wide-ranging debate on disciplines, forms of association – all that should be included in the European debate. We have been within climate, shipping, maritime policy, judicial and police cooperation, migration, treaty issues and Hindu-soul migration – different themes that are central! We have also heard fundamental views about the European Union. I think it is good that it is present in the debate we have here. It's interesting that the Right now leads a consistent membership line in all of its professional posts. That's what we're going to take with us. The representative Gitmark was very clear that the right was thus the only yes-party. What that leads to becomes an interesting question. We are working well with two no-parties today. The right in its ambitions is going to figure it out by three, but there's a lot that's possible! So to the representative Holmberg, who had an interesting suggestion about a big message about migration. It's not my field, but I'll take it with me. In any case, I agree with what she says about the importance of seeing the whole of the EU's various policies relating to migration. It is also one of the ambitions of the new Treaty, namely to be able to see several of these sides in context. The representative of Høglund also had interesting considerations about EEA financial instruments. It is clear that we will take with us the experience of this phase after April 2009, as a new phase may come. Then you have to position yourself correctly, both tactically and in other ways, in order to be prepared for that discussion. As for the representative Hoksrud, I share his views on personal security regarding information in connection with the travel in and out. It's important that we find the balance here. We must respect our rights and opportunities to move in and out of Europe, but at the same time be a voice in order not to do so in a way that violates privacy. The representative of Vaksdal was within our maritime competence. I'll take that with me. It's very important that we continue to position ourselves in that area. Then the representative of Aspaker was concerned that Norway could become a deserted island in Europe in the fight against international crime. I believe my statement has argued that we have many bridges and participate here in that cooperation as far as possible. Finally, I have to say that the representative of Kristiansen from the Right went a bit well in that the EU was the pink case. When he said that this government almost does not have a serious climate policy, I think it was a bit embarrassing. The measures that this government has taken in the field of climate are well in contrast to what we took over when we got responsibility. So I'd like to say to the representative Gundersen that that's a good point he has about education and research, and it's clearly a topic to go deeper into the next presentation. I did not choose to include it in it, except to refer to all the research projects we are involved in in the climate field through the Framework Programme in the context of discussing climate policy.
ParlaMint-NO_2007-11-08.ana.ud1064e1445	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 413]]
ParlaMint-NO_2007-11-08.ana.ud1064e1461	No one has asked for the floor. [[See page 413]]
ParlaMint-NO_2007-11-08.ana.ud1064e1477	In the spring of 2005, it was adopted a start-up grant for the so-called IFI2 building at the University of Oslo. The point was to gather a computer environment that had poor locations, and it was also important for professional development. Since then, the construction project has become more expensive than predicted. The Ministry explains in the proposition why construction is more expensive. There are several reasons for this. It turns out that there has been a gap between what is the compensated price and wage developments and what is the real price and wage developments. That gap corresponds to approx. One hundred million. kr. It is also true that the opposition in the Committee wanted to express the fact that there are now more buildings in the same situation as the IFI2 building, that they are subject to higher costs than predicted. This means that there are difficulties both in starting construction and not least in implementing construction. Therefore, the opposition parties have commented that there is reason to consider whether other projects in the same situation should also be given room for corresponding supplementary appropriations. It's a unanimous committee that goes in to increase the cost framework of computer science at the University of Oslo to 1080 million. kr.
ParlaMint-NO_2007-11-08.ana.ud1064e1490	I would essentially like to join in what the rapporteur expressed in a glittering way. This is in many ways a cause of joy, for it shows that the Government takes on board that the extraordinary cost growth in the construction sector will result in the need for additional appropriations for some of the projects in the UH sector that are far more expensive than initially planned. There are many public buildings in a similar situation. What the Council of State here is proposing is actually in line with what the Government also proposed and that was also endorsed by a unanimous increase in the case of Halden prison. This is a very positive development, and I am glad that an overall opposition also says that they will consider whether this is a principle underlying other constructions in the sector that have similar challenges. I have an example from my own county, Vestfold, where the University of Vestfold has been approved together, but because of the extraordinary cost developments, the project is at risk because additional appropriations of 41 million have not been confirmed. kr. Of course, there's some help in adding 41 million. kr to the University of Westfold in its alternative budget, but there would have been more help in whether the government parties had agreed to consider whether this is a principle that should be applied to other buildings as well, and not just the computer science building at the University of Oslo. I hope the government parties contribute to such clarification very quickly, especially for those building projects that are waiting and just need this one decision to get started. It's important barley. There's a lot of construction that's been struggling locally for a long time, so it's a necessary clarification. In this way, the Progress Party is pleased with the setting in this case, but we also hope that we will receive a more comprehensive assessment from the Government.
ParlaMint-NO_2007-11-08.ana.ud1064e1503	There is no doubt that things are going well here to land. There is a high demand in the construction market for materials and for labour. In both the private and public sectors, we build as never before. The consequence of this is, of course, that the cost growth of the construction industry is running into the weather. New information technology building at the University of Oslo was adopted by Stortinget in spring 2005, and only two years later the construction work started. Meanwhile, in the construction industry, we had a cost increase that led to budgeted funds being insufficient. The minority, which is the opposition, considers that there is reason to consider other planned or ongoing construction projects in the university and higher education sectors. The Workers' Party, SV and the Centre Party do not want to support the minority. We believe that we have a responsibility to hold the market back. We don't want to give a "go" signal for all projects – that's what we had to do if we were to go initially just for all buildings in the university and higher education sectors. We need to see every building project under state control in a whole. We assume that the state construction projects submitted to the Storting correspond to the calculations of any cost increase. We should allocate enough reserves to take account of changes in the market. But we cannot ignore the fact that, in special cases, important construction projects, such as computer science, are being prioritised by the Government. But initially, we believe that all state-owned construction projects have been designed with the means needed. I would like to commend the Minister of Renewal and Administration for addressing this matter, and the government parties join the proposition.
ParlaMint-NO_2007-11-08.ana.ud1064e1516	No, Anna Ljunggren said in so far as what is the Government and the Government Party's foundation for what we have made of proposals for additional promises, and why one has not joined the note from the opposition party. But I do also need a comment on that. Of course, we are pleased that we have increased the cost frame for the IFI. It's an important project, and it's important that we complete it. We have made careful assessments of the consequences of not asking for an additional permission. This would have resulted in significantly increased costs if we had now stopped working. But it's clear that if one had applied to an absolute principle that one could only ask for additional promises each time a cost exceedance or a cost problem associated with a project that is on its way, it would have a significant impact on the expansiveness of the budget. There's something that especially Right has been busy about, and fiscal spokesman Jan Tore Sanner said the latest when the budget was presented this year, that the Minister of Finance couldn't help but say that she is putting forward an expansive budget that won't help dampen the pressure on the interest rate and the dollar rate. If one were to rely on an absolute interpretation of the comitology that is also included in this report, it would result in additional expansiveness in the budget for 2008. We can't agree to that. What we want to do is, of course, what we have to do, and what I have done in the budget proposal from my department: ‘The market is characterised by strongly increasing prices as a result of high activity in the construction industry. This gives Statsbygg major challenges in implementing the construction project, not least because the cost framework of the projects is set long before the work is contracted. Risk management is therefore given great importance in all phases of project implementation.’» How do we operate that project management? Well, we've now got projections that show that the hot market will continue into 2008, even if we want to see some kind of flare. The Ministry does not propose a changed strategy when it comes to state building projects, but emphasises that State buildings in the implementation of construction projects should have a particular focus on entrepreneurship and contract strategy, good project management, properly dimensioned lease on the construction site and an active approach to cost-reducing measures. Landsbygg follows the market closely and conducts market analyses in the preparation of each project to provide a basis for selecting the entrepreneurship breakdown in the construction projects. An active and customised contract strategy will be pursued. Our goal is now to achieve greater competition when it comes to the contracts we have out there. We see that there have only been one or two providers, and then we don't get the competition that helps to cut prices. What we've been doing lately is actually dividing up the contractor prices that we'd have thought would be bigger. We see that when we split up the contractors, we can get more providers, and that's important. Of course, it is labour demand for State Building and for us as builders, but experience shows that we will then get the prices down by allowing several smaller construction companies to participate in the competition. Of course, it's also good for business, and it's also a goal in itself that we get more. Landsbygg has developed a project model with clear routines and control points in the management of the projects, with monthly reporting requirements covering both cost management and progress management. In the construction projects, State Building must and must have an active approach to cost-reducing measures, e.g.: Cutlists. Even if the people who are going to build it obviously don't like it, we're quite content to take that round, because if we were to automatically put on, we would talk about hundreds of millions of dollars on many of these big projects that we have, and in the sum of the big projects we're talking about billions. We cannot automatically accept an increase in costs there. We have to go in and see if it's not a good idea to cut. In dialogue with the user and the client, it will be worked both before the start of the project and during the course of the project to adapt the project to the financial framework. One often feels that the user is also involved in taking responsibility for getting a project that one can live with, but that has a lower cost than one could fear if it were only to be automatic in extending the cost framework when one gets a crack at this stage.
ParlaMint-NO_2007-11-08.ana.ud1064e1532	It's going to be line change.
ParlaMint-NO_2007-11-08.ana.ud1064e1535	I expect the Council of State has come to realize that the opposition comments are related to the extraordinary cost situation we have in the construction market. So it's not the case that at any time you have the opportunity to come to the department and ask for more money. But the comments are related to this particular situation, which means that the Council of State has the right attitude to the building process at the University of Oslo. I don't think the distance is as great as the council tried to get it to. I believe that the Council of State really agrees with that. When you look at this in a context, predictability and future planning are very important for all of these projects, which have often been waiting for a very long time. Then I will challenge the Council of State directly: When will the Council of State provide a complete overview of which constructions in the sector are prioritised in such a way that we can be almost guaranteed development, and which projects will not be on that list? It is also related to the representative, Mr Ljunggren, who said that all projects must be viewed as a whole.
ParlaMint-NO_2007-11-08.ana.ud1064e1542	The extent of the inconsistency, you can ask questions about it. I understand the nuances of the committee leader said that a request for an evaluation of an extension of the cost framework. That's what the government did when we came to the Storting and asked for an increase in the cost framework for the IFI. Then this must be appreciated from case to case. As I pointed out, Statsbygg has in every case a review focusing on both project management and getting more entrepreneurs, so that we get competition for the offer, and one has not at least one monthly reporting. But I understand very well that the representative Anundsen would go a little further, that almost an automatic approach would be to ask for an increased cost framework when an economic challenge was associated with a lack of competition and pressure in the construction industry. I see it as a difference of opinion between the committee leader and the representative Anundsen. In this way, I agree more with the committee leader than with Anundsen in this case.
ParlaMint-NO_2007-11-08.ana.ud1064e1549	Jan Tore Sanner is a wise man with many wise points of view, and they were also referred to by the Council of State. I would just like to draw attention to what is actually stated in the remark, namely ‘that there is reason to consider’, to give the same room for additional appropriations to other projects that are now just being put to the test because the construction costs and, in part, the design costs have become much higher than planned. I would like to stress that what is stated in the comment is that there should not be any automatic in increased appropriations for construction, but that one should really only make the same assessment as the Council of State and the Department have done in relation to just the IFI2. My question is, what is it going to do to make the kind of assessments for other buildings as well? Can the Council of State say anything about whether there are other buildings currently under assessment, precisely in relation to the question of any additional appropriations?
ParlaMint-NO_2007-11-08.ana.ud1064e1558	I am very pleased with this clarification from the representative Eriksen Soreide. That's how I also perceive the comment, but as there was a certain difference of opinion in the posts, I thought it was good to get it clarified also from the committee leader. I'm in agreement with the committee leader. What the government does is simply to evaluate the different projects. We look at whether there is a need to come to Stortinget and ask for an increased cost framework, or whether a person is able to bring down the costs either by looking at the management of a project, by getting more providers or even cutting off a project, even though it is of course not desirable, both from our side and from the users' side. We assess this on a case-by-case basis. I can't come up with a list right now and give a guarantee that we'll come up with more people, given what both Jan Tore Sanner and I are busy with, that we're not going to do any more to get an expansive budget for 2008. We focus on interest. We focus on the krone price. It is then important to stick to the budgetary framework provided by the Government for the 2008 budget.
