ParlaMint-NO_2007-06-15.ana.ud714e76	The representative Mr Børge Brende will make a proposal for a representative.
ParlaMint-NO_2007-06-15.ana.ud714e2317	The government is presenting a revised national budget that is highly disappointing in the health sector. Governments have been honest enough to say that a lot has been done. However, the willingness to follow-up, especially in some areas, is clearly lacking. In some areas, there is also a slightly distorted picture of facts. In the case of rehabilitation, the Council of State says that there has never been more money allocated for more stays. Another truth is that the number of rehabilitation days is dramatically reduced, the whole of 20 pst. within Health East in 2006, and the reduction continues. All private-run institutions have free capacity. Many have so much available capacity that they are in danger of being closed down. New groups have emerged, including: groups of overweight, and heavier rehabilitation, which is now a priority, cost so much extra that it goes at the expense of some other groups. Those affected are elderly, revenmatics, and others with chronic disorders. It is now much more difficult for them to get a rehabilitation stay. The Progress Party has therefore granted 100 million. kr more than the Government, especially for rehabilitation. We think it's necessary to be able to make a bet. The government also agrees that anyone who needs it should be entitled to rehabilitation. In the case of child and youth psychiatry, it is also a field of action. Recently, the Council of State issued a waiting-time guarantee for this group. It'll cost you. Of course, the wait-time guarantee can be met in several ways. The threshold for getting help can be raised, so fewer are on the waiting list. Number of hours per application. patients may be reduced. The shortening of treatment provision has been used in other contexts. Of course, other patient groups may also reduce their supply. For the Progress Party, all these options are completely unacceptable. We realize that to get faster help for children and young people and to provide them with a good treatment requires more money now. The Progress Party has chosen to strengthen child and youth psychiatry with earmarked funds, which will also be used for the purchase of private services and institutions and for interaction actions where knowledge transfer to municipalities can be carried out by specialist health services. Better competences in municipalities are important. In order to provide the specialist healthcare service with a little extra resources and free capacity, it is important that extra earmarked funds are allocated to this area. Elder care has also been mentioned. I am always part of more and more posts. Today there were 7,800 jobs. There'll be almost 1,000 new ones a month. The signal I get is that these posts are not used specifically for the elderly. There are a lot of younger users. In yesterday's municipal administration in Fredrikstad, many single rooms were converted into double rooms. This is not a bet the Progress Party wants. We have granted an extra NOK 1 billion for the care of the elderly.
ParlaMint-NO_2007-06-15.ana.ud714e2330	There were almost as lightning from the clear sky on very many occasions when the government and the finance minister proposed last year to eliminate the tax advantages of individual pension savings. During the last year, the government has been forced to kneel. They are now putting a new proposal on the table to reintroduce this scheme. The government's proposal means that it will be possible to save up to NOK 15 000 per year in an IPA agreement. The old scheme opened as known for up to NOK 40000 per year. There is little doubt that with this proposal, the government wants to limit people's ability to save taxes and not least save on their own retirement life in the future. Providing continuity and predictability arrangements is not said to be the great strength of the Government. Root and frustration in the last year around IPA and annuity is a good example of this. What the government now offers, after going from a scheme that had expired, is to replace it with a system that is even worse. It is mildly frustrating to see how the government treats people's savings, money you started saving from a long-term perspective. We're talking here about savings agreements with a duration of between 20 and 40 years. I never stop wondering about this government. We recently adopted a new old-age pension scheme, where the benefit base is lower than what we have today. In addition, the indexation will mean that you are paid less, and the indexation will be lower for each year you are a retired person – for every year you are a retired person with the new scheme, so you lose purchasing power. In addition, the Government comes up with a proposal that makes private savings almost impossible through a very poor IPA scheme. The Progress Party wants to stimulate increased savings. That is why, today, we have also tabled a proposal for a new regime in which we want everyone to be able to save within a framework of 1 G. We want to create a system where collective occupational pension schemes can be combined with individual savings, which will stimulate more people to save for their own old age. People will then feel that it is more profitable to do it than it will be with all of these constraints that the Government makes with its proposal. It is clear that with this proposal, the Government does not want people to save their own pensions. Finally, with respect to reporting, I have to say that when the Minister of Finance tries to give the impression that only the rich are saving in these schemes, it is wrong. All the studies show that most people use them, and that there are as many women as men use them.
ParlaMint-NO_2007-06-15.ana.ud714e2343	Several of the Right-wing speakers have challenged labour party speakers at the Council of Trade Unions within Rusfeld’s perception of the Government’s efforts in the field of drugs. They have stated that Brustad pushes the drug field back under the table, and that a historically poor government budget is being followed up with a historically poorly audited budget. The response Peter Skovholt Gitmark got from Reidar Sandal was that Reidar Sandal did not recognize himself in Peter Skovholt Gitmark's description. Sylvia Brustad answered a similar challenge from Sonja Sjøli that she did not recognize herself in Sonja Sjøli's description. The quotations we have confronted the Government are neither Peter Skovholt Gitmarks nor Sonja Sjølis' description, but that's how the Council of Rusfield perceives the government's drug policy. I would like to take the opportunity to challenge the Minister of Finance to answer how she perceives the Council in Rusfeld's description of the Government's policy, namely that they have been pushed under the table, and that it is a historically poor budget. Will she also dismiss it as a crazy description? Or will she acknowledge that the Government has failed, and that it will do better when the 2008 budget is presented? So until the proposal as an overall opposition has been put forward today, namely to ask the Government to comply with Prime Minister Jens Stoltenberg's promise to remove as soon as possible the curtailment of the pension for 67-70-year-olds working. It has become evident through this debate that it was not meant to be serious, because one has not intended to remove the curtailment of the pension to 67-70-year-olds as soon as possible – unless it is such that the Government, when they are going to implement something and say that this is going to happen soon, thinks it will happen in the next major period. It's actually several years until we get to 2010. I believe that this is quite serious for the Government, because that means that the Prime Minister had not resolved this issue internally in the Government. At best, you've tricked the pensioners. The Prime Minister saw the pensioners into his eyes, promised that the curtailment would be removed, but then it turns out that it was not meant to be serious. Finally, I will be allowed to give an explanation of vote. The right will vote in favour of proposal No. 105, from the Progress Party. We agree that this is the Government's decision-making area, but when we see how the Government has trained this case about Trillemarka, we believe that the Government now needs advice, and our advice is to follow what is in the proposal.
ParlaMint-NO_2007-06-15.ana.ud714e2356	There have been a number of speakers from the position who have shifted into family policy. I think, among other things, The party's parliamentary leader mentioned this with female founders and better rights in the context of pregnancy and childbirth, and that nothing had been done under the previous government. Then I think I have to remind you that the work was in full swing. It was sent to the hearing. A working group had done a solid job of putting the professional in place. So it was perfect for the new government when it joined. Now it's almost two years, and nothing has been done. Then I also remember that the last government expanded the paper issue by two weeks. Nothing has happened here with the new government either. The previous government started work on fathers getting cardboard papers based on their own earnings – improvements there. Nothing has happened here in the working time of the new government either. Finally, we have heard that the budget that has been presented is perfect. There is no need for any changes here, because everything and everyone has been taken care of here. We must only note that the red-green parties in this Chamber have their own rule of action when it comes to the revised budget, and it is at 0.0. Here you shouldn't move on anything, even though there are hearings, whether there are organizations that make good sense, or whether the opposition might have some other suggestion it was worth listening to. But you don't. It's a man's full right not to do, but wise policy from a majority government I don't think it is.
ParlaMint-NO_2007-06-15.ana.ud714e2365	We are in a debate in the middle of the big period, and seen with the Left's eyes: what does the majority government look like? In climate policy, one strives to be careful to say, do we have ambitions, or do we want something? Yes, you even strive with a normal principle that says domestically: Do your duty, and demand your right. It seems that the government has problems applying that thinking internationally. It seems like you're based on the fact that Chinese people don't follow the Internet, that Indians don't follow the Internet, and you shouldn't have the experience of those of us who travel part of the world, that if you want to get respect out of the world, you have to sweep for yourself before you start sweeping for others. It's not just that there are technical challenges. The government is struggling with basic general moral principles that apply wherever you live. Then it's the poverty problem that's been up here earlier today. Here we have to note that ambitions have been reduced. You choked full Bondevik, and I thought it was okay to push a case forward, but when it comes to the piece, it also dampens down. Then we have the Government's sharpest lifting break, at least in relation to the Finance Minister's party: Higher education and research have been taken down from rest cutting to rest cutting to wrong cutting. When I joined the politics, I once experienced in Trondheim city government at the end of the 1960s the following statements from one of the old concrete socialists: – Set death, Dørum, the e we who have power. At present, you sometimes get the same feeling, in the sense that you get what you sometimes call the silent treatment: Revised for last year – no comments. We have the power, write down the numbers. Revised this year – has gone a little bit into family therapy, a little bit more words, but the same reality: we don't even want to argue, because we have power, and then we use it. It is actually fabulous for one who has grown up with the great glare of the Workers' Party – as the old concrete socialists spoke clearly and clearly and used the power clearly – to experience that now, more than 40 years later, it is no different, except that there are now three parties that have this as a collective act. So, at the top of it all: here you've planned a big project, and you'd think it would flow political documents out of them. However, no – committees in Stortinget have almost gone out of business, and representatives are being presented. Looking at the number of large-scale announcements from the Bondevik II government against this, the minority government was almost perceived as a – I was saying – virile youth race, while this government is almost geriatric in its slowness. Where did the energy go? It was the historic project that was to be carried out. It's almost like I, who started in politics many years ago, feel put back to the time when one was to fight the arrogance of one party state. Now it's not a one-party state, now it's a three-party state. The troll doesn't have one head, it has three heads. But this makes the political struggle more juicy and more enjoyable, so I'm looking forward to what comes, even though the silence of power is not so good. But the rest of us have to take it again.
ParlaMint-NO_2007-06-15.ana.ud714e2384	Only to avoid misunderstandings: I participated in a line exchange that applied to Kårstø. There should be no doubt that from the government's side it is the technical thing that has our dilemma and that has been the basis for the year it can be cleared. So there's a theme that's gone back today, and there's care for the elderly. I think it'll surprise many when it comes to them that the Progress Party will increase the state bureaucracy both locally and centrally. It's their way to get better care. The centre party does not want a development in which standardised A4 solutions set in Oslo are to replace the healthy local population that today contributes to good local solutions for the individual. On the contrary, we think it is important to have the freedom locally that ensures smart, creative and good solutions to adapt local conditions. After two years we can sum up that there's a significant change in this field compared to the way it was two years ago. I was the leader of the Storting Municipal Committee for four years. I'm not going to say that we got daily messages, but at least we got messages once a week from the despair of local peoples who either had to cut in school or in care or in both. Now we see that the government is in a good way to fulfill the 10,000 annual works promised before the care of the elderly, and we see that the possibility of following up the elephants who need special follow-up is greatly improved. In the Center Party, we're very happy that we're in a government that not only talks, but not just wants an elder's care surrounded by good words, but thus allows money. The Christian People's Party has expressed an outrage today. I understand that very well, because they were involved in all the restrictions that happened, the scarce municipal budget, which systematically meant that it had to be cut in night shifts and much more before the care of the elderly. [[The President clubs.]] Now we're on another course.
ParlaMint-NO_2007-06-15.ana.ud714e2399	We're going in for landing after a long six months, and I notice that two former Left government councils now think it's a more important sport to count the number of documents submitted in the Stortinget, and believe to measure political will and ability based on it, than to measure it on the basis of the policy implemented. But we have always known that the representatives of the previous government are more concerned with counting than with finding out what is actually of quality. We can discuss this further, but I think that now we'll have to take the summer, and then we'll see when we meet again for the autumn. I thought it was right to just take a little summary, because there was one thing I was a little worried about during the debate, and that was the question of poverty. I noticed that the Right was driving with a high cigarette lead in the poverty debate. I have clearly stated that I believe that we cannot be satisfied until we have made sure that it is no longer poor here in Norway. At the same time, I would like to stress that I believe we have done a lot of good. We have spent twice as much money on poverty measures during this period as the Right, Christian People's Party and Left managed to do during the entire previous period. Then I think you should be a little humble also from the opposition, and especially from the Right and the Advance Party, when you attack us. The right-hand side finances 2/3 of its own poverty effort by increasing the fees for people who are thrown out of their apartments or get their money collected by the tax collector in another way. That's the way they're financing poverty. I'm just saying, yeah, yeah, you guys about it. But there's not a particularly good distribution policy behind that way of thinking. The other way they're financing it is by increasing nursery prices. Okay, if you increase kindergarten rates, it's those with the worst advice that's no longer offered kindergarten. If you increase as much as the Right talked about, there are up to 7 000 children who are going to be pulled out of the kindergarten. There are quite a number of parents who can no longer work because they have to be at home with their children. Does it help to increase the supply of work? No, it doesn't. Does it contribute to fairer distribution and poverty reduction? No, it definitely doesn't. And then to the Progress Party with Carl I. Hagen and Siv Jensen, talking about the elderly poor. Well, go to Oslo: Then we see how the Party's old age policy is in practice. There have been fewer sick homes during the years that the Progress Party has run Oslo, well documented by the Evening Post, which writes about developments in Oslo. Look at how you treat the homeless in Oslo. Oslo is the only city in the country where you actually put people who don't have a place to sleep at night on the street – the only city. Then I say, if you're going to criticize someone for the poverty effort, you have to be a little humble yourself. We have a long way to go, but we're going to get to the goal.
ParlaMint-NO_2007-06-15.ana.ud714e2412	I'm very proud of the efforts we've made in the justice sector, but I'm far from satisfied. We have added funds to the police and to criminal services, and we're looking at the organization. And we're training more and more policemen. It's actually a record recording. But what's important is that we can see the whole thing. We cannot allow ourselves to be one-sided to more secure. The representative Ellings says the police don't fix it in Oslo. I almost have to ask, was the representative gone last month? I can mention something: the B thread is out of game. Ten are targeted in a major human trafficking case with prostitutes from Bulgaria. 20 pieces are targeted in one of the greatest drug operations in Rome. This is precisely the result of increased resources being given to the police, while organising the work in a smarter way. Atonement cows must be removed. It weakens people's sense of justice and trust in the system when convicted ones commit new criminal acts while they wait to come into atoning. That is why we have put in place several temporary measures. And this includes, among other things: built 316 new prison sites in 2006 and 2007. In addition, there will be 251 new prisons. This is a significant increase and an improvement. And then comes changing forms of reconciliation, for example. increased use of community sanctions. We therefore have good reason to stand by the ambition that the housing queue will be gone in 2009. As a temporary measure, we have continued forward release. It was introduced by the Bondevik II government, and we've passed it on. This causes the dot fields to escape a few days before they were meant to do so. There is no significant reduction in the judgment. Nevertheless, we have said quite clearly that this should go away when the queue is removed. Finally, I want to tell the representative, Aspaker, that you have to stop saying that the government has been robbed of the fund for the search for death at sea, because there is no fund for it. You know this very well. Every year there is a fixed sum, and the Minister of Justice has guaranteed that it will not be on funds when we are looking for the dead. Of course, the state has to pay what it will cost.
ParlaMint-NO_2007-06-15.ana.ud714e2427	The President would like to remind the representative that all speeches are going through the President. Jan Tore Sanner has spoken twice in the past and gets the floor for a brief comment.
ParlaMint-NO_2007-06-15.ana.ud714e2432	It is certainly naive to present it so that the maximum price in kindergartens is a gift package for the poor. It's a gift package for the rich. We know that in a very large number of municipalities you have income-graded nursery prices, and with the right arrangement, the nursery price will be 120 kroner lower than it was in 2005. What we're doing is we're putting more emphasis on the quality of kindergartens. We focus more on equal treatment between municipal and private kindergartens. It will make sure that we also have the kindergarten areas that are missing. But finally, I am a little surprised that the Minister of Finance chooses not to take the floor when I have challenged her on how she perceives the clear description of the Council of Trade Unions in Rusfeld when they say that with the new government, the addicts have been moved from a place at the table to a place below the table. This is the description of the Board of Directors within the Rusfeld. The right has put forward concrete proposals to strengthen the Ruf region, while the Government has made historically poor budgets. How does the Minister of Finance perceive the description provided by the Council of Trade Unions in the Rusfield?
ParlaMint-NO_2007-06-15.ana.ud714e2439	It surprises me that the representative Heikki Holmås chooses to be so high on the track when a minority who have only arguments to use points out that we are in a situation where the arrogance of power gives itself quite a lot of expression in the political debate and in the working conditions of the Stortinge for the time being. We simply ask for counter-arguments when we promote arguments in settings. We should be entitled to that. We dare hope and believe that matters will arrive so early in Stortinget that it is possible to get the open, thorough treatment in the landfill that democracy requires. It should be possible to grant some concessions. I have also used this debate to call for – and I am willing to back the first two years – that the last two years of the big period must be about the government's policy and how they will deal with the tasks ahead, and not what seems to be the foremost glue still in the red-green government, namely to be in opposition to the previous government. I expect to have state councils that are state councils for the whole nation and not occupy their old opposition roles. So it's my view that we've seen a government these first two years that not only partially fulfills its promises, but that cancels them and in many areas barely has eye contact with what they promised their voters. Poverty has been at the heart of this debate. The Minister of Finance and the head of the SV themselves have cancelled the promise over many gaps in the newspapers, which they will not keep, they cannot keep. The most precise promise was made to the voters, namely children's playground for everyone before the end of 2007, otherwise she would leave, we have now been informed that we will not be held. We have been clearly informed in this communication that what was perhaps one of the most decisive points for a government change two years ago, that is, a completely new, and political, industrial power regime, we do not get. Another example, which the Central Party parliamentary leader had to comment on, concerns the Kårstø promise of clean-up in 2009, which is now currently suspended until 2012, due to technology. I remind you that cleaning technology of this kind has gradually become a commodity, you can go to Japan and go to the Mitsubishi company, you get what you want. Two years is a long time. However, I am willing to accept it as a necessary lesson for the Government. Now I hope we can get two operational years ahead of us.
ParlaMint-NO_2007-06-15.ana.ud714e2453	I have asked a direct question about the Council's perception of how we are betting on combating drug problems. I am not familiar with the statement they may have made. I find it hard to understand that the previous government should have invited them closer to the table than this government has, because we have actually increased efforts to combat drug problems. But I recognize that this is a challenge, for us, for the rest of the Storing. There are often many and complex problems that people face, they are youth problems, they can also be good adults. But especially for young people, we know that if we get in early, we can change a person's life and prevent a long run as a drug addict. So this is one thing that we have to work on. So in the case of Sponheim's repeated claims: I haven't abolished the Government's goal of eliminating poverty. I have repeated it in the article that it refers to all the way. I could not agree to abolish it as a goal, because it is well thought that we should have it as a very demanding goal that we should work to achieve. The unemployment ratio helps us a little bit on the way, but we're working on this in terms of getting universal, good arrangements, fruit and greens that cost nothing. We know that there are the three kids in a class that apply when it costs something to be on a fruit and green scheme, with the parents who have the worst advice, and who at least put up – we know it's them, ask any teacher. They can tell the exact same thing. So we're not going to abolish it, we're going to work for it, universal schemes, better tax systems, targeted measures against poverty, real labour market policies to achieve it. We're going to do that, and it's no art to beat the previous government in terms of efforts in this area. We can do more than they did in four years in two years, but we don't have the ambition level of the previous government in this area as our scale. We have as a yardstick that we should eliminate poverty. That's why we have something to go after. So in the case of the kindergarten bet, yes, I have to say I'm very upset. So it's not a private, dictated child's hail which I've given. This is what the whole Storting agreed to be done. The whole Stortinget agreed that we would have full coverage by 2007. But if that's how to understand that the Left and the Right feel that there was nothing special, and they didn't intend to do it, it was just we who were going to do it, well, well, then baby parents get to hear it. The right-hand side uses the opportunity to increase the rate by $300 per cent. and say it doesn't hit the poorest. Of course, the 7,000 children who then disappear from kindergarten have the worst - affording parents.
ParlaMint-NO_2007-06-15.ana.ud714e2462	Thoughtfulness is always good. I understood before the previous elections that it was during this parliamentary term that poverty was to be abolished, but that one is sober and realistic and says that it is complex and difficult, I have a deep understanding of that, even on the basis of his own work in the field. I wonder that we have a government that has actually managed to put people in institutions in the skewer that they don't get the education they're going to have. I've taken that up a lot of times from this pulpit, and it's hardly about political will, but it's about someone being able to cut through across difficult layers of bureaucracy so that people who need a warm hand will get it. It has to be solvable, it's not about future promises, it's about seeing people. So, since the representative Heikki Holmås thought that I was just talking political power and energy in messages: No, I'm talking in action, and I'm sitting in a trade committee where you've almost dispelled ambitions about school, blowing ambitions about higher education and research. I accept that SV in the government has done a brutal priority and said that it is kindergarten. I think it's a straightforward matter, but I'm sitting in a committee where the council has about as its main energy to concentrate on this. It's respectful, but in the other areas, the ambitions are taken down, so it sucks. And if I'm going to measure it against high-flying election vows from a political party that's been used to counting to 250 to avoid internal problems, I can see it from a political party where we've had to count to three – because we know that the realities of life are pretty tough, we think it's nice that someone learns to count to three. But then you should also tell about the downhills that you actually give people. The president's out with me, because I only have one minute's speaking time, as far as I know, so I'll finish.
ParlaMint-NO_2007-06-15.ana.ud714e2471	Odd Einar Dørum has a speaking time of up to 3 minutes.
ParlaMint-NO_2007-06-15.ana.ud714e2474	Well, that was a happy surprise! Then I keep going, since I've gotten in the mood. The point is that here you've gone out and promised to people with higher education, to people who believe in research, which is the future, and who carry our society, and then you get a government council that gives us a break, and a revised national budget where the rest cutting becomes a new rest cutting, and then you're fast on the way to a false cutting. And the only thing you can do about this is when the Prime Minister is challenged here in the Chamber, he finally starts talking about the quality of research. And then you've gone out of your mind about all the arguments that exist. Then someone's going back to the capital. Yes, it's fine, Heikki Holmås, we can take a walk in the city. We can take a walk in a city where it has actually been possible to increase social assistance rates, where it has been possible to clean up small-scale management of social assistance, because one understands that one should have proper social arrangements for those who are struggling the most, and because it has been the will to do so. There has also been a willingness to invest in school, to rehabilitate construction, and to spend the crowns on the most important common actions for most people. It may be fun hiking, it may be exciting hiking, so I would like to meet the representative Heikki Holmås both on hiking and in duels before it becomes a choice for the autumn. It can be a fascinating experience for both of us – most exciting for me, but I hope that I will get out of it well.
ParlaMint-NO_2007-06-15.ana.ud714e2483	The president can promise she won't be out of speaking time right now.
ParlaMint-NO_2007-06-15.ana.ud714e2486	It is, of course, all honesty when describing the government's policy in presenting this revised state budget, so that the only thing that happens on the education front is kindergartens. Now I do not believe that it is possible to talk about ‘the only thing’ when it comes to full child care. International research shows that the investments we make in the youngest children are some of the most profitable, not just in dollars, but in how a young person is encouraged and can learn for the rest of his life. So kindergarten bet is knowledge bet. In this revision, we promote proposals on fruit and vegetables in high school, better counselling services, trials with all day school. We've done a setup for free textbooks in high school. We're increasing research. A little honesty could cost you. In addition, there is a marked improvement in the local economy, which means that, for example: Oslo Municipality has received NOK 1.9 billion more to travel with after we took over. It's gotten a little more liberal for them, to say it carefully. So just a little visit to Lars Sponheim, who called for my participation in a TV debate, and thought that it was an important political point to get from the Stortinge pulpit. When the TV debate started, I was in the main hall because we had the Staten pension fund for discussion. As Sponheim is fully aware, Stortinget and the consideration of Stortinget go ahead of everything else. Such respect should be enjoyed by any State Council for the National Assembly of the country.
ParlaMint-NO_2007-06-15.ana.ud714e2500	Lars Sponheim has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2007-06-15.ana.ud714e2503	Two years it took Kristin Halvorsen in government to become as arrogant as the Workers' Party at its worst. I pointed out some things that are undisputed, such as that the Government does not argue in this setting against arguments from the opposition. I pointed to the fact that here we get important political debates after the Great Government has split up, because the Government can't get through to the Chamber. And I pointed out that at the end of this big session, before we go to a election, we're in a situation where we don't get to a party leader debate on TV. It has been notified for many weeks, and all the party leaders in the government have said they could not attend. I accept that the finance minister couldn't be there, but they could at least have sent the other party leaders in the government, and maybe a vice-leader. This deserves Norwegian democracy in the public space sometimes. So short: the left is at the child's hail lift that we gave, but that promise also meant that we should have full child's gardening first, before prices are lowered. Kristin Halvorsen asserted her personal integrity that if there was not full child care coverage in 2007, she would resign as Minister of Finance. We'll wait.
ParlaMint-NO_2007-06-15.ana.ud714e2514	Odd Einar Dørum has had the word twice and gets the word for a short comment, now it's 1 minute.
ParlaMint-NO_2007-06-15.ana.ud714e2520	The fairness of the research policy is measured against the research notification, against the SV's election promises and against the concrete promises that have not been practically made in Stortinget. The Minister of Finance's comment on this can be measured against what an overall Research Norway believes, whether they are trade-organised, jobs in the professional sector, are students, in the NHO, or whatever it may be. I note that it is a brutal depression. When this government had 16 billion dollars at its disposal, it dripped so far into research. Then you had to cut into higher education. And then when you came to review, you didn't do anything to fix this cut. I think it's honest to prioritize – I think it's very honest to prioritize. I don't think it's right to expound. In fact, the left and the SV pick different ones here. We have provided a budget where we ensure higher education and research, and that is the brutal difference between Left and SV in this area.
ParlaMint-NO_2007-06-15.ana.ud714e2527	I agree with the speakers who have said that it has taken a surprisingly short time for statesmen and party leaders in a majority government to establish a power arrogance and a language that makes the Storting really feel a little redundant. The Council of State and the party leader accuse political opponents – in this context not from my party, but others – of political dishonesty because they actually point out that the Government does not keep promises, or interpret promises in a way that makes it – to quote the Council of State itself – something to stretch in time and far beyond this period. The promise to eradicate poverty was given for a limited period — this government’s four-year period. The Prime Minister himself has been out saying that it is not possible, and now the Minister of Finance uses the expression that it is something to go after. So it's not a promise that can be kept in this period, to put it simply. In this debate, we have focused on the Prime Minister's commitment to pensioners, given outside the storeroom, where he says that removing the curtailment between 67 and 70 years is an excellent proposal, and the Government will do so as soon as possible. In political language, this means that when the Stortinge has decided something, the Stortinge may change it in the meeting where the budget is being discussed, including the following: at this meeting. It is possible, but the Prime Minister, the Government Parties and the Government will not. There is also no promise that it can be done during the period. I think this kind of political practice has one effect, which can be read in today's Oslo newspapers, for example.People's confidence in political promises is quite, quite thin, and this debate has once again underlined that words are not in keeping.
ParlaMint-NO_2007-06-15.ana.ud714e2539	Several have not asked for the floor for case No. 1 to 4. [[See pages 3779 and 3824]]
ParlaMint-NO_2007-06-15.ana.ud714e2555	No one has asked for the floor. [[Fotation, see page 3824]]
ParlaMint-NO_2007-06-15.ana.ud714e2571	No one has asked for the floor. [[Fotation, see page 3824]]
ParlaMint-NO_2007-06-15.ana.ud714e2589	No one has asked for the floor. [[Fotation, see page 3824]]
ParlaMint-NO_2007-06-15.ana.ud714e2607	No one has asked for the floor. [[Fooding, see page 3825]]
ParlaMint-NO_2007-06-15.ana.ud714e2625	No one has asked for the floor. [[Fooding, see page 3825]]
ParlaMint-NO_2007-06-15.ana.ud714e2638	The amount of the increase shall be added to the number of cases. 1-9.
ParlaMint-NO_2007-06-15.ana.ud714e2646	During the debate, Hans Olav Syversen has put forward two proposals on behalf of the Christian People's Party.
ParlaMint-NO_2007-06-15.ana.ud714e2685	During the debate, 105 proposals have been put forward. It's the proposals No 1-11, by Ulf Leirstein on behalf of the Party of Advancement, the Right, the Christian People's Party and the Left proposal No. 12 and 13, by Ulf Leirstein on behalf of the Party of Advancement, Right and Christian People's Party proposals No. 14–16, by Ulf Leirstein on behalf of the Party of Progressive Democrats, Right, and the Left. 17-21, by Ulf Leirstein, on behalf of the Party of Advancement and the Right-wing Proposals No. 22 and 23, from Ulf Leirstein on behalf of the Party of Advancement and Christian People's Party proposal No. 24, by Ulf Leirstein on behalf of the Progress Party and the Left-wing proposal No. 25–34, by Jan Tore Sanner, on behalf of the Right, the Christian People's Party and the Left proposal No. 35-53 and 105, by Mrs Leirstein, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 54, by Jan Tore Sanner on behalf of the Right and Christian People's Party proposals No. 55 to 58, by Jan Tore Sanner, on behalf of the Right and the Left, no. 59 to 66, except 63, by Jan Tore Sanner, on behalf of the Committee on Legal Affairs and Citizens' Rights, No. 67-78, by Hans Olav Syversen on behalf of the Christian People's Party and the Left-wing proposal No. 79-91, by Hans Olav Syversen, on behalf of the Christian People's Party, no. 92-102, by Lars Sponheim, on behalf of the Left-wing Draft No. 103 and 106, from Jan Tore Sanner on behalf of the Progress Party, Right, Christian People's Party and Left Amendment No. 104, from Reidar Sandal on behalf of the Financial Committee The President noted that proposal No. 106, from the Party of Advancement, Right, Christian People's Party and Left, some corrections have been made in relation to the distributed version. In the vote we are about to take, the President first takes the minority proposals and then the vote's motion for a resolution. We start with the suggestions from the smallest fraction. There is a vote on the proposals Nos. 92 to 102, from the left.
ParlaMint-NO_2007-06-15.ana.ud714e4432	The proposals are then put to the vote. 79-91, from the Christian People's Party.
ParlaMint-NO_2007-06-15.ana.ud714e5497	There is a vote on the proposals Nos. 67-78, from the Christian People's Party and the Left.
ParlaMint-NO_2007-06-15.ana.ud714e5657	There is a vote on the proposals Nos. 59 to 62 and 64 to 66, from the right.
ParlaMint-NO_2007-06-15.ana.ud714e7426	There is a vote on the proposals Nos. 55 to 58, from the right and left.
ParlaMint-NO_2007-06-15.ana.ud714e7822	There is a vote on proposal No. 54, from the Right Party and the Christian Party. The proposal reads as follows: ‘The State budget for 2007 shall be amended as follows: Chapter.PostFormsCroner320General cultural purposes74Contributions to actions under the Norwegian Cultural Council, may be transferred, increased by 500 000 from NOK 128 072 000 to NOK 128 572 000’»
ParlaMint-NO_2007-06-15.ana.ud714e7879	The President was not allowed to press the button. I should have voted against it. Then the result is that 21 voted in favour and 81 voted against the proposal of the Right and Christian People’s Party – and therefore the proposal has been rejected. There is a vote on the proposals Nos. 35–53, from the Progress Party.
ParlaMint-NO_2007-06-15.ana.ud714e8902	There is a vote on proposal No. 105, from the Progress Party. The proposal reads as follows: ‘The Government is asking the Government to implement the so-called Municipal Initiative in the context of the protection of Trillemarka and to submit a case on its financing at the latest in the National Budget for 2008.’
ParlaMint-NO_2007-06-15.ana.ud714e8917	There is a vote on the proposals Nos. 25–34, from the Right, Christian People's Party and the Left.
ParlaMint-NO_2007-06-15.ana.ud714e9058	There is a vote on proposal No. 24, from the Advancement Party and the Left. The proposal reads as follows: ‘The Government asks the Government in the context of the 2008 State Budget to submit proposals for a grant scheme to ensure wage subsidies for dental practitioners taking specialist training.’
ParlaMint-NO_2007-06-15.ana.ud714e9074	There is a vote on the proposals Nos. 22 and 23, from the Party of Advancement, and from the Party of Christian Peoples.
ParlaMint-NO_2007-06-15.ana.ud714e9098	There is a vote on the proposals Nos. 17-21, from the Party of Advancement and the Right.
ParlaMint-NO_2007-06-15.ana.ud714e9178	There is a vote on the proposals Nos. 14–16, from the Party of Advancement, Right and Left.
ParlaMint-NO_2007-06-15.ana.ud714e9273	There is a vote on the proposals Nos. 12 and 13, from the Party of Prosperity, from the Right Party, and from the Christian Party. Proposal No. 12 sounds: ‘The State budget for 2007 shall be amended as follows: Chapter.PostObjectivesCrones726Habilitation, rehabilitation and measures for drug addicts21Special operating expenditure, can be used under heading 70, reduced by 500 000 from DKK 19 250000 to DKK 18 750 000»
ParlaMint-NO_2007-06-15.ana.ud714e9335	There is a vote on the proposals Nos. 1-11, Nos. 103 and No 106, from the Party of Advancement, Right, Christian Party and Left.
