ParlaMint-HR_2021-06-24-0.u42830	Now it's Mrs. Vukovac's turn to present the position of the House Movement Representatives Club.
ParlaMint-HR_2021-06-24-0.u53227	We have two replicas on your exhibit, the first respected representative of Spijic.
ParlaMint-HR_2021-06-24-0.u53228	Thank you, Chairman, here's my colleague Bencic, I'd like to ask you not to tell us from the Homeland Movement what we should and how we should be doing. We don't have to think the same as you, and we don't think the same as you, and as far as Mrs. Djurdjevic is concerned, it's enough for me if you're in favour of, that I'm against, I don't need to know anything else about her, and as far as the internship is concerned, it's very important to everyone in life what's going on, and so is this. You know, it's not God's day for her to be because you're suggesting it, so here's why I'm gonna be against it. Thank you.
ParlaMint-HR_2021-06-24-0.u53229	Dear representative Bencic.
ParlaMint-HR_2021-06-24-0.u53230	I can only say, reset my case, that's exactly what I was talking about, which is, which is that counter credit that Professor Djurdjevic gave all of us here that we are capable as politicians to choose on the basis of objective and professional criteria, you with your sentence now have confirmed that you are not, because if I vote for, you will vote against whatever it is, so if I eat stew, you will not eat. This is an opportunity for you, and you have now proven that you are not capable, competent or have the integrity to perform the function of a parliamentary representative in this part in which it is necessary to elect the President of the Supreme Court of the Republic of Croatia. Thank you.
ParlaMint-HR_2021-06-24-0.u53231	Dear Representative Spajic has raised the breach of the Rules of Procedure. What did the Rules of Procedure get hurt in?
ParlaMint-HR_2021-06-24-0.u53232	Article 238 was injured, so Mrs Bencic was not there to decide whether I was able to be a parliamentary representative or not. [[Sandra Bencic: I can state the position./]]
ParlaMint-HR_2021-06-24-0.u53233	Let's not, no, we won't talk that way. I judge that the Rules of Procedure have not been harmed, but I pray that they no longer exchange their views in this way. The Republic has a respected representative, Glavasevic.
ParlaMint-HR_2021-06-24-0.u53234	Thank you, Mr. Vice President of the Parliament, colleague Bencic. So here and now we have seen that this whole debate has actually been quite so much in the shadow of the accusation that Mrs. Djurdjevic is in some way ideologically profiled. And it's saddening that there are colleagues and colleagues who, from this perspective instead of from this perspective of expertise and ability, value them, but aside and now, so, in your opinion, whether there are criteria in such accusations, I'd say I'd call them accusations, or grades, here we are more neutral, in grades. Do you find the elements of any ideological positioning or determination of this candidate in any part of the political or value spectrum?
ParlaMint-HR_2021-06-24-0.u53235	Dear representative Bencic.
ParlaMint-HR_2021-06-24-0.u53236	Thank you. That's what my teacher used to say at the hearing herself. I will just say, therefore, that in the application of the Law and the Constitution at the level of the Supreme Court of the Republic of Croatia, it is a completely different matter when the judges of the Constitutional Court are elected. Therefore, the judges of the Constitutional Court are not part of regular courts and regular courts and that part of the judicial authority which is independent of politics. We also choose them here in the Assembly and so do those who, through the application of the Constitution, which is not exclusively legal but also political, represent a political consensus, so on the value, interpretation and application of the Constitution in a way that is different from that which requires the application of the law in regular proceedings before courts and, for example, when today, the Supreme Court of the United States of America, the Supreme Court of the United States of America, has that function of the Constitutional Court of the Republic of Croatia, because they do not have the Constitutional Court. The Supreme Court applies the Constitution to them, as the Constitutional Court does to us. He interprets the Constitution. The Supreme Court implements positive laws and regulations [[Intruder Željko Reiner: Thank you.]]
ParlaMint-HR_2021-06-24-0.u53237	Thank you. The next individual debate will be the respected representative of Arsen Bauk. Here you go. Thank you, Comrade Bencic.
ParlaMint-HR_2021-06-24-0.u53238	Yeah, I thought you stood up for the replica.
ParlaMint-HR_2021-06-24-0.u53239	Look, if the President of the Republic had come to explain the proposal and if the President of the Parliament had spoken on behalf of the HDZ Club, it would have been a spectacle, this way we have a debate that is not at the level of public polemics, which we have had about this point, and it's hard for us to fully mate at that level, but I'll try. Therefore, one directly elected body, the President of the Republic and the other directly elected body of the Croatian Parliament, must coordinate their political decision in order to elect the President of the Supreme Court in accordance with the Constitution. So, two political decisions need to be harmonised and those bodies that actually belong to the opposite political options, or at least they have been proposed by the opposite political options, as President Milanovic described it nicely on the day of the election, so-called. Hard cohabitation. Therefore, while hard co-habitation will be the chair of the Supreme Court president. When that cohabitation becomes somewhat softer, there's a certain chance that the President of the Court will choose, and that's the case. So that's a deal two, that's a double, that's a political arrangement squared, and we're not even up to that level yet. Mrs. Djurdjevic's biggest compliment is that HDZ is against her, I think it is, even more strengthening in my position to support this proposal by the President of the Republic, even if it has been exposed to criticism by counterpart Bencic about integrity. I would support it without HDZ being against it, but this simply, when I press this green will be even more enthusiastic, however, the fact is that the Supreme Court president will not be elected in this term unless the HDZ is there for him. And I doubt the President of the Republic will propose such a candidate for whom the HDZ will be and we will be against it. It seems to me that this will not happen at least knowing the President of the Republic and knowing the president of the HDZ and of course their current relations. And that's it. So there's no Supreme Court president while cohabitation is hard, even rhymes a little. Secondly, this law that has been passed is not unconstitutional as the Constitutional Court has said, but it is lifeless because the President of the Supreme Court will not be elected by it. Why? Because it would have to be staged, and I doubt that in these relations the President of the Republic will agree to participate in a staged competition with the Prime Minister. It just seems impossible. That is why it is my suggestion to the Government and the parliamentary majority and the Ministry of Justice if they want to insist on this publicly called fundamentalism or competition fundamentalism that for all possible things and what they need and those who do not need to call a tender where in most cases the result is known in advance, at least to write the law of the President of the Republic before the proposal can be called public. But the fact is that without a political agreement between the President of the Republic and the Prime Minister, namely the president of the HDZ, in this case as a party that has the largest number of representatives of the Supreme Court will not be elected. And then we will have this instant solution where either the annual work schedule or the new legislative changes that have also been announced try to bridge this period of hard cohabitation. Of course, it's another constitutional-legal gymnastics. I deeply believe that the law, which was part of the law that was proposed and adopted two thousandths, and it seems to me that the eighteenth year had a good intention, but by that choice it will not be. In fact, the law here was needed to elaborate constitutional provisions. But this one doesn't decompose them, this one decomposes them. So he sort of propagates, or predicts the possibility of reaching a political agreement because it should take a long time, it should involve a number of people, there should be a public call, and a secret agreement and a public call does not go. And now that they will agree on the way here I propose this because this second one, by the principle of Mr. Spajic, will not say I will because Milanovic proposed it. Or Milanovic will say I won't because he likes Plenkovic. This so simple way of functioning will not lead us to the result that we have the President of the Supreme Court elected in the Constitution and the law prescribed way. And in the end, it is actually becoming groundless to discuss the quality or non-quality of Mrs. Djurdjevic, because when the system is wrongly placed and the best candidate can get the most criticism, and the criticisms Mrs. Djurdjevic receives in my opinion are completely unfounded. But about that in replicas.
ParlaMint-HR_2021-06-24-0.u53240	We have a few replicas. She's the first respected representative of Bencic.
ParlaMint-HR_2021-06-24-0.u53241	Thank you. My colleague seems to be when today several times our colleagues and HDZ spoke of it not being a problem, that they are not concerned that Professor Djurdjevic is the candidate of the president because every candidate will be the candidate of the president, that in fact what was there is the subtext is, of course formally going to propose the President of the Republic but the problem is if it is not the one for which we gave him the green light in advance. And that's the problem here. The problem is that it does not participate in the agreed economy or in the agreed judiciary that you have set up, it is a problem and it will be a problem with any candidate or candidate. So I don't know let's just agree that everything always picks HDZ, all those functions on the judiciary suggest they so we don't have that problem anymore. Because like this, we'll end up in a crisis situation where we won't have another three years president of the Supreme Court.
ParlaMint-HR_2021-06-24-0.u53242	Thank you very much. Since it was a comment from my colleague, Bauk may say something or not. Please, if you'd like.
ParlaMint-HR_2021-06-24-0.u53243	Of course. This argument reminds me of why Mrs. Djurdjevic could not have been the mayor of Zagreb, because it was confirmed by President Tudjman. And then here he was, he was like this, and it's no big deal that he's from HSLS. Then came Drazen Budisha, then he wasn't good either. Then Jozo Radosh came, and he wasn't good either. Well, Ivo Scrabble wasn't good either. And then it was seen that there was a systemic problem. So I am fully convinced that HDZ will not support anyone proposed by the President of the Republic, and I am slightly less convinced that the President of the Republic will support someone who would support HDZ for this topic, because it would share responsibility. Therefore, I doubt that in this term we will elect the President of the Supreme Court to say President Tudjman in these and such circumstances.
ParlaMint-HR_2021-06-24-0.u53244	The next replica of the respected MPs, Dark-Taritash.
ParlaMint-HR_2021-06-24-0.u53245	Thank you very much. I'll continue under those circumstances. So today we're discussing something that we all know will settle with nothing, we're not going to elect a Supreme Court president, or a Supreme Court president. Not that we've been discussing the Parliament today, somewhere in March as a public space. I don't know how many times everyone has already said what they think, how they think, how they're going to vote, won't vote, what they're going to vote on. And actually, the thing is very simple. It is necessary to find a person in the Republic of Croatia who has professional criteria that it can be, which can be acceptable to the president of the state, who can be acceptable to the Prime Minister and still be prepared to enter the procedure and run. So we all know that no one wants to roll it in the mud, because we've all mentioned the name and name of a respected law school teacher a couple of times and rolled it in the mud for the last three, four months.
ParlaMint-HR_2021-06-24-0.u53246	Thank you very much. Dear Representative Bauk.
ParlaMint-HR_2021-06-24-0.u53247	The person who is acceptable to the government and who is acceptable to the president of the state is Mrs. Zlata Djurdjevic, because that Zlata Djurdjevic is not acceptable to the government, she is an international court. So this is about something obvious to another, which is that some criteria are worth when proposed outside, and other criteria apply when proposed inside. It's not the first time, so we're witnessing this behavior at least part of the HDZ, and that's what they're doing now, and now they've decided to apply it to this. My colleague, Boric, told me that I am mistaken that the President of the Supreme Court will not be elected in this session. We're still three years old, so we'll see if I'm right or you're right. In the next year and a half you have a better chance of being right, and after that I'll probably be right, because if, what we're gonna do next time, then third time, this second public call and third public call, then the fourth public call, so that's what, public calls will be our routine.
ParlaMint-HR_2021-06-24-0.u53248	Thank you. The next replica of the esteemed representative of Lenart.
ParlaMint-HR_2021-06-24-0.u53249	Well, well-respected colleague Bauk. You have well written down the insanity and leniency of our system, especially in this matter and mentioned this hard cohabitation, and I would even expand what you said, even if that cohabitation was a little softer and a few MPs from the ruling majority supported this choice, I'm not sure if we would have enough hands to re-elected the Supreme Court president.
ParlaMint-HR_2021-06-24-0.u53250	Dear Representative Bauk.
ParlaMint-HR_2021-06-24-0.u53251	I'd say that this is the last episode today, the last one will be at the vote tomorrow, the first season of the jazz and sniffer series, as they called each other in this debate. And I guess the reduction in the hardness of that cohabitation would probably have reduced the badger into beaver, and the sniffer into the foothill, so it would have been less, no, therefore, that it was here that we simply came to the situation that a person A would not want someone because a person B proposed it. Therefore, the Prime Minister would not propose it to Mrs. Djurdjevic because Milanovic himself proposed it, although Plenkovic himself suggested Mrs. Djurdjevic for an international institution. So that's where we come up with a kind of acute public action on this subject, and obviously we need a little passion to calm down. If he'll calm down, we'll see, I'm not an optimist, but possibly.
ParlaMint-HR_2021-06-24-0.u53252	Thank you. The next replica of respected MP Ahmetovic.
ParlaMint-HR_2021-06-24-0.u53253	Thank you very much. I'm a colleague of Bauk's. Today, we have determined that the president of the state is proposing, and that the Assembly votes the President of the Supreme Court. We have also determined that the ruling majority will never agree on this proposal by Zlata Djurdjevic. We also heard various reasons for this, completely unfounded, we heard everything and everything, mostly the debate was on President Milanovic, on communism, on socialism and on topics that had nothing to do with candidate Zlata Djurdjevic. My question to you, do you understand me when I say that I'm ashamed that I've been involved for almost eight hours today and I'm participating in a debate on what we're going to know the outcome of today. So this is a barren debate, we spent an average of 500 kuna each Croatian taxpayer, 500 kuna per head, figure out how much it amounts to. [[attack by Željko Reiner: Thank you.]]
ParlaMint-HR_2021-06-24-0.u53254	Thank you, Representative Bauk will respond, thank you, colleague Ahmetovic, please. Let's stick to Rules of Procedure and time. So I won't give you any warning about it, but behave accordingly to your role I'm acting, so you'll get a warning now. [[Intruder Mirela Ahmetovic: You too.]] Here's my colleague, Bauk.
ParlaMint-HR_2021-06-24-0.u53255	I understand that sometimes participation in the work of the Croatian Parliament can cause the shame of certain representatives, but I do not think you should be ashamed of participating in this debate because your representatives, or my parties, have not caused anything to us to be ashamed. That's one, two, I need to fix you up. Here is the ruling majority, there is no single position, nor does the opposition have a unique position, part of the parliament members, part of the opposition club MPs will not support this candidate because Zoran Milanovic proposed it. And part of the ruling majority will support the candidate because Zoran Milanovic proposed it, so it's actually my impression that tomorrow's vote will be more of a vote on Zoran Milanovic than Zlata Djurdjevic and of course, I think most of them here, all who are sitting now agree with it.
ParlaMint-HR_2021-06-24-0.u53256	Thank you. The next individual debate will be the respected representative Bojan Glavasevic. Here you go.
ParlaMint-HR_2021-06-24-0.u53257	Thank you, Mr. Vice President of the Croatian Parliament, dear colleagues and colleagues. We are in a situation that is not good for Croatia. The conflict between the prime minister and the president of the Republic breaks over the back of the Supreme Court. An institution that makes up one of the pillars of our still young democracy. In other words, it breaks over the back of our citizens and citizens. In a debate on behalf of the HDZ Club, counterpart Bosnjakovic said the party wants a candidate and candidate, or candidates who have a programme, expertise and vision. And they don't dispute that the candidate we're discussing today has it. As an argument for the vote against her, it cited the acceptance of President Milanovic's nomination, although it did not answer a public call. Honestly, colleagues and colleagues, it's just a Pharisee, the procedure wasn't clear enough, the space for different interpretations existed, it was wide open, the Constitutional Court said. That is why, among other things, the prime minister was able to establish a body far from the eyes of the public and by unknown criteria, assessing candidates and candidates in his own way. If Zoran Milanovic had proposed to HDZ in the same way, I really don't think that we would be having this debate today and that's actually the real and true reason HDZ doesn't want to accept Zlata Djurdjevic, because it's not theirs. The sovereigns won't accept it because they're perceiving it as a left, but at least they're honest about it, which is in the window, it's in the shop, so to speak. But it's not like that with colleagues and colleagues from HDZ. In his discussion, Vrkljan said a sentence that may be surprising, but I agree, it is an extremely strange situation that HDZ has not said anything negative about Zlata Djurdjevic in any way, yet it will not support it. A colleague, Vrkljan, is not a linguist, but a dictionary, but a doctor is sorry, but rightly, by some intuitive analysis of the discourses, he detected that the real reasons for this candidate's refusal of HDZ lies elsewhere. counterpart Bencic spoke about the closeness of some of Croatia's top court officials with senior HDZ officials. It's just one example of what our country's citizens and citizens don't trust in our judiciary. Which is why the corruption perception index is so high, which is why trust in institutions is low, which is why, among other things, so many of our people are running away with their heads regardless of their homeland. I don't think HDZ is alone and the only one responsible for all of this, but it's undoubtedly the biggest one in front of all the others who have some part of the guilt. When citizens and citizens look at and listen to everything that HDZ colleagues and colleagues have done about the election of the president, i.e. the President of the Supreme Court, they see more than anything else in a series of marifettelus and its presidents in an attempt to keep the grip on the throat of the rule of law in Croatia. That's that HDZ butik of democracy. I told you yesterday, colleagues and colleagues, I'll tell you today, just keep going. You are working for the benefit of your damage, which is actually for the benefit of Croatia. You're a little like Mephistofeles from Goeta Faust, except Mephistofeses still has fewer indictments than HDZ. Thank you.
ParlaMint-HR_2021-06-24-0.u53258	We have one replica. Dear Representative Nikolic.
ParlaMint-HR_2021-06-24-0.u53259	I thank the Vice President of the Parliament. Here's listening to fellow Glavasevic your debate fully agree with you, but here I would put one point on the I. That people who are looking for reasons find the reasons and when the reasons for it don't exist, right?
ParlaMint-HR_2021-06-24-0.u53260	Well, I could...
ParlaMint-HR_2021-06-24-0.u53261	Comrade Glavasevic, take it easy, take it easy. Calm down, slowly, so I'll give you my word, and then you'll talk further. Here you go, buddy Glavasevic.
ParlaMint-HR_2021-06-24-0.u53262	Thank you, Mr. Vice President of the Parliament, thank you for the replica of my colleague Nikolic. I might call it a point on in, specifically, but you know what they say, who won't find a reason, it wants to find an excuse, or whatever, I think even the other way around. Anyway, I don't know how this is going to end, that's what I'm really worried about, and a lot more than this imaginary leap we sometimes use in these discussions. We could really find ourselves in a serious problem, that body is important to us, that body is one of the pillars of democracy and one of its fuses, and in a situation where the trust of citizens in institutions is violated as it is, the additional weakness of that institution, I'm afraid it can lead us into very dangerous waters. So I'd like to find a solution to this situation after all.
ParlaMint-HR_2021-06-24-0.u53263	The next individual debate, MPs Mirela Ahmetovic will be respected. Here you go.
ParlaMint-HR_2021-06-24-0.u53264	Thank you very much, dear Vice President, colleagues and colleagues. Professor, Dr Zlata Djurdjevic will not be confirmed as president of the Supreme Court in the Croatian Parliament. If it were to be chosen exclusively by quality, by expertise, it would certainly be chosen by independence and knowledge, but it will not be so because Andrej Plenkovic, under Vladimir Seks's supervision and with the support of the HDZ majority, decided. For three months now, the orchestrated and well-studden operation of HDZ spin doctors has taken place, to ensure that Zlata Djurdjevic is discredited as a legal expert, unfortunately as a person. What's the reason for that? The reason for this is not in fictitious structures and bad interpretations that were placed in public by HDZ members and their supporters, the reason is only one. As Zlata Djurdjevic is a person with an impressive career, outstanding legal knowledge and that she is independent of any political influence, and this very political influence on the judiciary of the bewitched judiciary, as Zlata Djurdjevic himself calls it, and the absolute untouchability of Seks' godmothers has led to the collapse of a judicial system in which hardened criminals and murderers receive a delay in serving prison sentences, to a sudden, in which cases that do not go to the hands of rulings etc. What's HDZ doing then? He turns the saw upside down by a well-stucked recipe and argues that in his programme Zlata Djurdjevic advocates a greater influence of justice policy. At the same time, Seks's best man and Constitutional Court president, Miroslav Šeparovic, hangs out with specialties with the most visible people of the HDZ Assembly Club who are once in Sanader's time, looking at miracles suspected of participating in criminal acts, stealing money, for which HDZ has been illegally convicted twice, and the end of that trial, behold, again miracles, we have been waiting for a decade. There is another fundamental untrue that HDZ tried to discredit Zlata Djurdjevic. It's being looked at in her so-called. Agitating for the socialist order, because she's telling God that all the evil of the judiciary was created in the '90s, and that in socialism was good. It's not true, Zlata Djurdjevic didn't say it anywhere. On the contrary, she said that the judiciary is dependent on the inside, bewitched and therefore needs to be changed, the judge cannot be independent if he is imposed on by a binding legal opinion of his colleagues, which is a relic of the socialist system, and that is precisely proof that Professor Djurdjevic did not defend the socialist justice system, on the contrary. And that the 1990s judiciary was thoroughly destroyed tells us the example of Vladimir Primorac, an honorary judge who was both in Yugoslavia and Croatia, but because of his incompetence and moral principles in both regimes, he was forced to leave the judicial post. He's a professor. Djurdjevic mentioned it in his programme. By the way, Vladimir Primorac was insecure in the Yugoslav regime, as a judge of the investigation, freed the government of Gotovina, a Croatian springman. How is it possible that Zlata Djurdjevic wants to affirm the socialist time if he calls for a man who in socialist time had to leave the judicial post and who freed him on the basis of the right of a person with whom he will later act politically in free Croatia. Prof. During the three months, Djurdjevic has done more for the Croatian judiciary than any of HDZ's judicial advisers. I will vote for it with pride and knowledge that there are still people in Croatia who are willing to put their professional and personal integrity in the service of the general good. That knowledge makes it kind of easier for me, because I know that there are still people that individuals and groups in politics haven't bought, disarmed and then thrown away like old rags that happen to every chip. Yes, Zlata Djurdjevic is my choice and I will support her with full responsibility. Thank you very much.
ParlaMint-HR_2021-06-24-0.u53265	We have three replicas on your exhibit. The first is the respected representative Oreshkovic.
ParlaMint-HR_2021-06-24-0.u53266	Dear Representative Ahmetovic, I must say publicly at this point that of all MPs, somehow I appreciate you and I personally sympathise you, so don't blame me, but this time I have to point out one other argument. I think Zlati Djurdjevic was the most damaged by Zoran Milanovic and all those who insist on her independence, and in fact it is because she personally chose Zoran Milanovic in a different context than the other candidates. For example, on this public call, one of the candidates was Judge Peta Kujundzic. With what right do we prejudge that it would be dependent or that it is slightly less independent than Zlata Djurdjevic or slightly less professional, without talking about candidates who made the first public call. There are lawyers among them. Why do we think or on the basis of which information we give ourselves the right to claim that these people do not have enough expertise, that they do not have enough knowledge, integrity. So we created the problem of Zlati Djurdjevic and thus the Croatian judiciary.
ParlaMint-HR_2021-06-24-0.u53267	Thank you very much. Please, let's stick to time! Here you go.
ParlaMint-HR_2021-06-24-0.u53268	Thank you very much. Dear colleagues Oreshkovic here is not about any other candidate, but about a candidate who was perfectly legal and legitimately proposed by the President of the Republic of Croatia, Mr Zoran Milanovic. And that's why I here look absolutely, exclusively at that candidate, at her qualities. The independence of Zlata Djurdjevic is spoken of by her works, not by Mirela Ahmetovic or Dalia Oreshkovic or anyone else. I will remind you of her views which were neither in line with the proposal, her personal proposal to Zoran Milanovic, and were neither in line with the numerous citizens of the Republic of Croatia or perhaps members of the professional academic community. However, its arguments were based on its professional and scientific integrity.
ParlaMint-HR_2021-06-24-0.u53269	The next replica is the respected MPs Opačak-Bilić.
ParlaMint-HR_2021-06-24-0.u53270	Dear counterpart Ahmetovic, we agree that a stable society needs a stable judiciary. A lot of facts have already been made today about the role of the Supreme Court and the importance of its functioning, and what we all expect is actually efficiency, accountability and independence. I would ask you to answer me, given that neither the general session of the Supreme Court has given any positive opinion, nor any candidate has received majority support from any of the members, and that we will probably not have a new president or Supreme Court president elected tomorrow if you believe that the Croatian judiciary and the judiciary will be in crisis, i.e. that this is going to be a constitutional crisis?
ParlaMint-HR_2021-06-24-0.u53271	Dear representative Ahmetovic.
ParlaMint-HR_2021-06-24-0.u53272	In accordance with my knowledge of justice and in accordance with my personal impression, I can answer you that our judiciary is already in crisis. In the moments when you kill and criminals walk freely, when they are delayed serving a prison sentence, when political figures from the highest circles of government are hanging out with judges in very informal environments, when judges drink and eat with the people they're taking action against, can we agree that our judiciary is already in crisis? So, we do not have to wait for the outcome of this procedure to determine it, and certainly it is a problematic fact that there is no way out of this situation where, due to the disagreement between Prime Minister Andrej Plenkovic and President Zoran Milanovic, we cannot choose the President of the Supreme Court. It's more than a constitutional crisis.
ParlaMint-HR_2021-06-24-0.u53273	Thank you very much. The next is a replica of the respected representative Glavasevic.
ParlaMint-HR_2021-06-24-0.u53274	Thank you, Mr. Vice President. My colleague Ahmetovic, I believe that you have had a phenomenal triage of the situation and in your debate and here in response to colleague Opačak-Bilić. So it seems to me that there is actually one reason why we are in this blockade not only now this dispute between the prime minister and the president, but I believe that there really is a huge amount of fear that would actually happen if the control that currently exists over the judiciary, which is HDZ's control after all. If even for that one place that's been said so many times in this debate, what can change that one place? So even if one place changed how much fear on the other hand must have been about the consequences of such a change. So I think you've made a very good triage and especially about the assessment that our judiciary is already in crisis. When people cross the border even though fugitives are wanted, I think we've seen everything.
ParlaMint-HR_2021-06-24-0.u53275	Thank you. It was a comment, but counterpart Ahmetovic can answer something if he wants.
ParlaMint-HR_2021-06-24-0.u53276	Thank you very much, fellow Glavasevic. I thank you, but I'd take advantage of the opportunity and I'd like to point out another problem. In the candidate's programme, the only legal and legitimate candidate today that we can discuss since she and the only one proposed by the president who has been invited to propose we have actually seen very measurable, very measurable objective proposals to improve the judicial system. No one here, at least from what I hear, has challenged these very proposals. Therefore, there are simple reasons to be asked, that is to say, to construct notorous untruths, to be manipulated, to be deceived about the fact that Zlata Djurdjevic has actually violated some procedure. Zlata Djurdjevic did not even participate in the procedure until the second session of calls where she is a completely legal candidate, otherwise we would not be discussing her.
ParlaMint-HR_2021-06-24-0.u53277	Thank you very much. The next debate will be respected representatives of Romana Nikolic. Here you go.
ParlaMint-HR_2021-06-24-0.u53278	I would like to thank the Vice President of the Parliament, dear colleagues and fellow MPs. Today we are discussing a choice that I think is very clear. To sum up, according to the Constitution of the Republic of Croatia, it is foreseen that the President of the Supreme Court of the Republic of Croatia may be elected by a person who fulfils the general and special conditions for the judge of that court and that the President of the Supreme Court of the Republic of Croatia is elected by the Croatian Parliament on the proposal of the President of the Republic of Croatia. Everyone is to stick to the Constitution and rights and respect the legal order of the Republic of Croatia. Candidate Zlati Djurdjevic resents that she has no experience in courts, although she meets all the criteria with a respectable international career, she is a great expert in criminal and procedural law which is of great importance because our Croatian judiciary is in chaos and needs a person at the helm who will have enough courage and will root out corruption. And what's most important is to introduce order. On several occasions, the candidate pointed out that politics should finally show that it can also decide on the criteria of expertise and integrity, not on the basis of similarity criteria, and choose an independent person at the head of the judicial authority. Therefore, if Zlata Djurdjevic is prevented from electing the President of the Supreme Court as an independent and professional person with all the necessary qualifications in which the charges for disqualifying her are made up for days, even at the cost of causing a constitutional crisis in the judicial branch of the government, this can be interpreted and perceived as preventing the closure of the shares through which politics outside the public video circle influences the judiciary. On the one hand, the President of the Supreme Court gives democratic legitimacy to the judicial authority, but on the other hand, it is a link between the judiciary and politics. It is therefore the key to the rule of law in democracy, to select an independent person in place. Politics must remove the Stigma to influence the judiciary and now we have a chance to do so. And in the end, I would conclude and repeat it again. While Croatia continues to be perceived by one of the EU's most corrupt countries, we are today dealing with the fact that the biggest critic of Zlata Djurdjevic is that she has agreed to be the candidate of the president of the Republic of Croatia. Thank you.
ParlaMint-HR_2021-06-24-0.u53279	We've got one replica of the esteemed MP, Opačak-Bilić.
ParlaMint-HR_2021-06-24-0.u53280	Dear colleague Nikolic, you mentioned the need to introduce order. Knowing that the Republic of Croatia is a state in the EU with the highest number of judges per population, i.e. that we have nearly 50 judges per 100,000 people while the average is about 25, and still the pain of our judiciary is the long-term nature of the proceedings. We are all witnessing that certain procedures take decades and that many more injustices are being solved, are being corrected in the Strasbourg court, and ultimately all of these are being paid by Croatian citizens. In Austria, for example, the average conduct of the procedure is one year to three years, and Croatia cannot achieve this even though there are almost twice as many judges per capita as the average of other countries. In fact, it is another thing that Mrs. Djurdjevic mentioned in her program and calls for change. And I'm actually glad that you mentioned the need to introduce order yourself. Thank you.
ParlaMint-HR_2021-06-24-0.u53281	Thank you. Dear Representative Nikolic.
ParlaMint-HR_2021-06-24-0.u53282	I'd like to thank my colleagues, Opaque-Bilić. You presented it nicely and showed what chaos we have in the judiciary. And it's clear a few times today we've pointed out that one person can't go overnight and change the kind of chaos we have in the judiciary. But what we can decide with her choice is that she is the person who will be the wheel and the change we are actually seeking and what Croatia needs, or the Croatian judiciary. Thank you.
ParlaMint-HR_2021-06-24-0.u53283	The next debate will be respected representatives of Dalia Oreskovic. Here you go.
ParlaMint-HR_2021-06-24-0.u53284	My colleagues, my MPs and my MPs. I'm going to try plastically with as few professional terms as possible to explain why we're in a situation like this today. Because at one point after the new provisions of the Law on Courts that prescribe a slightly different procedure for selecting the President of the Supreme Court, President Zoran Milanovic said that I have my candidate, or candidate Zlata Djurdjevic, and you have conducted a tender, i.e. a public call or not, I will do it my way. If we are talking about the constitutional crisis, then it stems from haughtiness, irresponsibility and political ego above all, Zoran Milanovic, and then many others came to his well-designed plan. When we were making amendments to the Law on Courts, we did so on the recommendation of GRECO of the International Council of Europe, which numbers 50 Member States in whose composition are the most prominent experts implementing the revision of the internal systems of Member States with particular emphasis on anti-corruption policies and measures. The first evaluation cycle for the Republic of Croatia began in 2002. The Court Act has been amended on the basis of recommendations from the four evaluation cycles, and I will now look back at what is said in the second order of the report on how we implement or accept these recommendations made by GRECO. In the previous 3 cycles in 1, in 2, in 3 when talking first about the independence of the judiciary then about the public administration, 3 about how criminal provisions define individual incriminations and how the political parties of the Republic of Croatia are financed had almost 100% success in implementing the recommendations. This was the phase of EU accession, and our judiciary was moving forward according to the standards of the Council of Europe. And then she came famous in 2014 when we were already in the EU, when we were unfortunately not like Romania and Bulgaria under monitoring, when we were left alone the story went wrong. In this 4 evaluation report, GRECO said that our process of electing the Supreme Court president is bad, that it is politicised, that it leads to mistrust in the reasons and criteria of choosing a leader at the top of the court, and since the Republic of Croatia had a certain reputation above all because of Mr. Mr. Mrcele, who is president of this GREC, we were given my judgment in 2014, since I was sitting in the auditorium at that plenary session and listening to the course of exposure and the course of the debate, so we received a mild recommendation, to consider whether we would change the election procedure. So we also considered in our good old Croatian political custom we did something to satisfy the form, and the content remained the same. And that's why we have two reports of how we fulfilled our recommendations, and these two reports show that we have fulfilled them badly. In fact, we've introduced this system in which, in fact, the State Judiciary Council has some role to play. Otherwise, GRECO asked that the State Judiciary Council play a much greater role in the selection process in order to reduce the inappropriate influence of politics. How inappropriate this influence of politics is here we see from this barren debate that lasted all day. GRECO says he sees that we have made some progress more or less, but in fact, despite the fact that we have now had public calls published in the National Journal, we have résumés, we have candidate programmes, in fact, that is, a certain step has been made, so we have more transparency, and thus we have given the opportunity to the Executive Authority and the Croatian Parliament to declare the criteria for which each candidate is appointed or accepted or not accepted, but the essence remains the same. It is essential that it remains in the Croatian Constitution, which is that the president proposes, the Croatian Parliament elects. And here we come to this vicious circle where we are...
ParlaMint-HR_2021-06-24-0.u53285	Thank you very much. We have two replicas, the first respected representative of Bauk.
ParlaMint-HR_2021-06-24-0.u53286	Whoever said GRECO said. Mrs. Oreshkovic, in your plastic display, the only thing that is not clear to me is you for the choice of Mrs. Djurdjevic, or you are against Mrs. Djurdjevic's choice. Thank you.
ParlaMint-HR_2021-06-24-0.u53287	Dear representative Oreshkovic.
