ParlaMint-HR_2021-07-08-0.u42844	Ruzica Vukovac will be the position of the National Movement Representatives' Club. Here you go.
ParlaMint-HR_2021-07-08-0.u56046	Answer.
ParlaMint-HR_2021-07-08-0.u56047	The Law on Investigative Commissions of the Croatian Assembly has been established by a competent institution for the work of investigative committees such as the law of the State Attorney's Office, such as the law of the police section, such as the law-developed work of the inspectorate, so the law and the work of the Croatian Parliament in the section of which the investigation committees are established. And his power is given to him that which he may not do, and that which he should not do. And it's also the law of authority to hire witches. The provision is almost the same as in the Penal Procedure Act. And as when the State's Attorney's Office hires witches, these costs are predominant to the Republic of Croatia, so we recently had a problem with not paying the witches, because the ministry had not provided funds for that same provision working here. There's no difference.
ParlaMint-HR_2021-07-08-0.u56048	The next replica is the respected representative Andreja Maric.
ParlaMint-HR_2021-07-08-0.u56049	Thank you very much. Dear colleague Grbin, it is good that you have clarified and explained all the moments why our initiative is legally correct and responded to what our colleague, Habiban, said. The second thing we've already said is that the aim of this investigation committee is to determine clear numbers that we don't have, and all the while here we're hearing that our colleagues are spinning numbers L96, L98 and we've actually discovered what you're here and just before in the replica and you've determined that our colleagues have data, and we don't have data. Why don't we have the information? Why is that hiding? 4.1. Prime Minister Plenkovic said that what I quoted earlier would require the institutions to do their job and clear up everything that clearly indicates that there were irregularities in the restoration of crime, etc. So 4.1. It's 8.7. So it's been six months, colleagues have numbers, we don't. Here's your comment, please.
ParlaMint-HR_2021-07-08-0.u56050	Answer.
ParlaMint-HR_2021-07-08-0.u56051	My colleagues have numbers. Croatian public, media, non-domestic MPs, and people still live in homes that are not safe, people still don't know how it came to be that houses that were built 20, 25 years ago fell like card towers. It's a Croatian reality. The aim of this investigation committee is also very clear when we proposed today when we explain this proposal in the Croatian Parliament. It's not the only way to find out who did it. The goal is to learn lessons from what happened. But it's also the goal of seeing if there's a system problem with other properties in the thorny areas and to address it in time before a new earthquake hits. Obviously that's not gonna happen. Thank you.
ParlaMint-HR_2021-07-08-0.u56052	There's an individual debate coming up. Dear representative Dalia Oreshkovic.
ParlaMint-HR_2021-07-08-0.u56053	Fellow MPs and MPs, today is a record high temperature day. We may not feel it in such a finely refrigerated assembly, but they certainly feel it on their skin those who are still in containers after the earthquake in Banja. The same people who have been frozen in the winter for days and months are washed under very bad sanitary conditions. I don't know if I can even say a sentence that I'm actually glad and that happiness is in the accident that most of them or many of them don't have television at all, so they don't follow and they can't follow this travesty, this burlesque. I don't know what you'd call a debate like this. Well, I can't scream, but what exactly is this Croatian Parliament doing today? They don't care how many opposition MPs on this agenda point. They don't care whether at some point Peja Grbin was confused whether this was a proposal to set up an investigative commission or an impelation. They are not even interested in what the objectives of this committee's research were in the quality of rebuilding houses, the quality and legality of regulations at the time, the way in which the contract was awarded or the involvement of former officials in criminal activities and whether these crimes affected the quality of construction that led to the destroyed, larger number of destroyed objects in these recent earthquakes. They care and care about when their houses will be restored now. And I'm concerned that I know how badly our institutions are organised, how under-supply they are, how slow and dysfunctional we can restore these houses right now, and I'm actually horrified by one thought, which is that in some 20 years, some of the so-called meetings of the Croatian Parliament will also discuss whether a new investigative commission for criminal refurbishment operations is to be set up or should be happening now. And why am I saying that this is all one burlesque and one travesty? Well, it's precisely because there's a proposal to set up an investigative committee at all. In a normal state, you would accept this proposal, but you wouldn't wait for the proposal to come. You'd start an investigative committee yourself because it's a matter of trust in state institutions. It's a matter of responsibility. It's a matter of honor and it's not researching whether there was a crime in post-war restoration throwing away the full recovery. Do you know what's wrong? It's a lie when the state lets anyone, even if it was a single object, of a single house, so that anyone was used inappropriately and went unpunished, and it's really one big sleaze. And we know you'll vote against. You know why. And let me just try to prove to you on a few examples why the Investigative Commission is still needed despite the possible work I say to the possible work of other institutions. Already some of the colleagues mentioned that January 4th and the prime minister had called, and USKOK also reported that they would be quick to investigate the issue of malversion in post-war reconstruction. As a lawyer, I was also aware of some legal problems. For example, I sent a letter to the State's Attorney's Office on 13 January, which was forwarded by the State's Attorney's Office to USKOK, to which I received the reply that my request was rejected. It refuses, among other things, because all day after I submitted my inquiry to the State's Attorney's Office, Andrej Plenkovic published a piece of documentation which, by the logic of things, should be public and thus all the story stopped. We don't really know what it is and how the DORH has been doing and the Jump ever since. And I will, in the final word, try to explain what all State's Attorney's Office and BUSKO refused to give in response to my question. And there are 25 seconds left, but I don't want Mr. Sanader's already visibly tense presidency to upset, so I'm going to wait for this time to expire because there's no time for reading such an extensive answer, and I don't want to risk the warnings and evictions as we've had the opportunity to watch countless times so far.
ParlaMint-HR_2021-07-08-0.u56054	Replica Arsen Bauk.
ParlaMint-HR_2021-07-08-0.u56055	The HDZ colleagues so subtlely told us that in fact we completely missed out on the subject, that debacle is this proposal and those who do not want to establish an investigative commission are helping us not to be ashamed anymore. Right? Think of others. You mean us not to be ashamed of ourselves any further? I think you're thinking of yourself yes, but good doesn't matter. And the other thesis they're saying is that MPs aren't those professions to be able to discuss this very well. I'm... short research. [[You don't understand.]] The Minister of Construction in HDZ's Government 2016 was Mr Kuščević's lawyer. Then came Mr. Stromar the Economist and afterwards Mr. Horvat. He graduated from the Faculty of Electrical Engineering and Computing. We economists, lawyers and fairies in our opposition clubs have enough to fill 7 places to be professional. That's the only way to find it, and there's no problem. Here it doesn't have to, if no construction engineer was a minister, it doesn't have to be on the investigation committee.
ParlaMint-HR_2021-07-08-0.u56056	Time. And who were you replicating? ... Okay. [[You can't hear it.]]
ParlaMint-HR_2021-07-08-0.u56057	Comrade Bauk, I fully understood your question and let me give you an equally reasoned answer. There are plenty of families that our state attorneys and other bodies work independently and without any political pressures, and then the results are just such that all the reconnaissances and all the research were conducted urgently, spotlessly, the public was informed of them as soon as possible, and the court proceedings were conducted at that rate and at that speed that the dead race was actually going to determine whether someone's criminal responsibility would be determined sooner or all the houses in Banija, which in Zagreb would be restored to the end and how it should be done. That is exactly the responsibility of the Croatian Parliament. So, of course this was ironic, I don't really have a sense of humor, that's a fact. But the only investigative committee can try to give the public the answers to the questions, those answers they need right now.
ParlaMint-HR_2021-07-08-0.u56058	The next replica of the esteemed representative, Marijana Petir.
ParlaMint-HR_2021-07-08-0.u56059	Thank you, Mr. Vice President. Representative Oreshković, you said that you were concerned about the subject of suspicion that the reconstruction in Banovina took place past the law in some segments to file a submission to the State Attorney's Office and USKOK, that you had received an answer, but that you did not have time to present it to us, so I would like to hear in fact what the content of this response is and whether they gave you any concrete figures in that response that we had here heard that of 9000 renewed objects, 96 were now lost in earthquakes and that this should be explored in detail.
ParlaMint-HR_2021-07-08-0.u56060	Answer.
ParlaMint-HR_2021-07-08-0.u56061	Thank you, counsel Petyr. So, I'm going to read the State's Attorney's statement in the closing statement right after my colleague Katarina Peović, and I think that one part of what the USO stated in that document is the best argument that confirms why we need this investigative commission in the first place. It's because there's been a discrepancy in numbers, those initial numbers on the number of destroyed buildings in Bania, down to 96. So all 96 houses that allegedly need to be torn down because they have a yellow or red mark. We can't even agree on that, and in particular we can't agree on this when we compare this information with the data submitted and the possible solutions and procedures that will be renewed. They just don't talk to each other. And I think politics is the reason behind it all.
ParlaMint-HR_2021-07-08-0.u56062	Following is the final debate between the HSS and RFA MP Katarina Peovic.
ParlaMint-HR_2021-07-08-0.u56063	Good afternoon, everyone. Beyond these discussions and the bickering of any form of commission, the DORH, any meaning structure you determine, here we will support it only if it goes in favour of those most vulnerable, so that social majority. However, the issue of this Commission of Investigation to identify possible irregularities in postwar reconstruction of houses, apartments, and public buildings is a much wider issue than the restoration of the houses themselves. It was best seen in the May Fields just three kilometers away from the centre of Gline where it could be seen that the tragedy and the loss of five lives are not only tied to the earthquake but rather to the socioeconomic conditions in which most people in the area live, so that the investigative issue should be extended to the neglect of the end that has lasted for a decade. When the earthquake began, many began to talk about Sisak, Petrinj, Clay. Just a few months before that earthquake, I was talking about the workers of the Sisak Refinery. Most of them were yawning. In the Maya plains, it was clear that these houses were not only destroyed because of the earthquake but also because they were badly built. So there was an additional problem there if you remember that people didn't want to leave their houses no matter what was very dangerous for days there because of the animals they held, that means the whole end was devastated, deindustrated and poor. So when the media said that people were killed, that many were injured, that people had lost their homes because of the earthquake, it wasn't really true. People were really killed, injured without a roof over their heads not only because of an earthquake but also because of poverty. Such an investigative commission would be really extensive and we can't possibly run it, but the investigative commission should be a real commission that's been investigating this country for the last 30 years. So that's even worse than what we've been discussing here. So it's not just a matter of neglect about the restoration, it's also the destruction of the end. The earthquake would be even more tolerated if the end were richer, but while hundreds of people were out of work in the Sisak Refinery, one of the politicians has rarely reacted. Not one word condemned the last wave of poverty in those parts. The workers of the Sisak Refinery had been sending appeals for days and praying for someone to stand by them, including those representatives who had been elected from that region, but there was no answer. Those who call and react without calculating how bad it will be in the election are going to go to the polls, but they may be telling the truth. Ćoric told lies about the large severance of workers, apparently favored the MOL Corporation without any interest in Sisak and part of the opposition policy was staring at the story of jobs and workers who would be out of work. But then the voices began to gather, and then the earthquake came. If people hadn't lost their jobs, it would have been easier for people there today if the Refinery had been held. Let's remember a young man in the center of Petrinja who yelled at the president of the state and the Prime Minister that no one had in the last 30 years put a nail in that area, and suddenly after the earthquake, everyone remembered one of the most underdeveloped parts. Therefore, Bania's areas in which the state invested very little by relying primarily on private capital where it still does not occur to dislocate and go to an area that is infrastructureally and in all other ways abandoned. It would also take me about a dozen minutes to list the industrial entities that are closed there as it says for more you see the website, the facebook site of the Workers' Front. You have a full list of these industrial entities from the Gavrilovic food industry that employs about 5600 workers plus 6000 co-operatives, and is privatized since '91, so 2019 only 462 employees. The charged charges ended up out of date, and then Željezara, Refinery, then Slavija trans, an auto-transport company, and the Finel factory furnered and furniture employed 1023 workers. So then Ciglana Petrinja, then Glynn's cotton arm, hired 400 people. It doesn't exist today. So the spare parts and accessories factory Clay hired 160 workers, so Pliva labor unit Clay, and the DIP Clay sawmill, so the business plants The future of Clay hired 240 workers today do not exist etc. etc. Thank you, everyone.
ParlaMint-HR_2021-07-08-0.u56064	The next final debate on behalf of the CENTAR and GLAS Club is a respected representative of Dalia Oreskovic.
ParlaMint-HR_2021-07-08-0.u56065	Thank you. I'll continue where I left off. So here's what I've actually been asking for from the obvious and the clarifications from the BOOK and the DORH. Therefore, the indication of possible criminal offences, i.e. for the purposes of the conduct of which possible criminal offences are in fact activated by public resources, and it is necessary to carry out criminal research bearing in mind the possibility that, in view of the course of time since the renewal itself, statutes of initiation and enforcement of criminal proceedings have occurred. Furthermore, I asked for an indication of what the instructions were given and what order it was given for criminal research, and how this research was conducted, as the information published then in the media was in the '95 period. By 2010, the state refurbished about 150 000 buildings and in the area destroyed in earthquakes in Bania, no database was established on destroyed buildings, nor did the competent state authorities determine the situation, volume and severity of the damage caused by the earthquakes themselves. So, I'm talking about January, about those first weeks after the earthquake itself. Furthermore, I asked how the full and comprehensive determination of material truth will be ensured in view of the fact that, during the period during which reconstruction was carried out in the area that was affected by the earthquakes, the main engineer for reconstruction in the then Ministry of Public Works, Reconstruction and Construction, the former mayor of Sisak-Moslavina County, was acting in the area of reconstruction, and that in January immediately after the earthquake, he had an influence on the way in which the situation was identified on the ground as well as on the course of the recovery of the new damage. In other words, it has the potential to influence the very evidence that the criminals sent to the field should at all determine. I will just point out that the BUSKOK has only 33 judicial officers in charge of investigating all criminal offences from the authority of that body. In that request, I also stated that I understand that the reconnaissances of crimes and criminal research of a particular crime are actually covered by the concept of a procedure that is not public. However, I pointed out that the public has the right to know in what way the competent state authorities, and so the law enforcement authorities carry out their duties. The scope of the earthquake damage to the affected area at that time was neither listed nor known nor determined by any public authority and this in itself opened up the possibility of a selective approach to criminal research as well as the instrumentisation of competent institutions and the law enforcement authorities for political purposes. I am saying this because of the coincidence of the manifestation of Andrej Plenkovic to perform the reconnaissances and that it will be carried out and almost spotless ad hoc reactions to the USKOK itself whose results have not been seen until today. Of course, on such a request, the BIAKOK replied that what I am looking for is not really information within the meaning of the Law on the right to access information which is true, because the information is considered only what is already finished information about some materialized form, and the body of the public authority has no duty and has no obligation to give me any explanation of the way it works. They also said that at the stage of the reconnaissance, there is some kind of secrecy of conduct and that this is why I cannot give more detailed answers which is also true. And, of course, they called for a publicly published list that I said ended up in public all day after I asked one of the competent authorities. And now I ask you all together, keeping this in mind how our citizens could necessarily come up with the necessary answers that would restore at least the minimum trust in this country, in these institutions that are currently run by the same political party that was in power and at the time of the renewal. Unless at least the political will is shown to determine what companies were associated with officials at the time, who were stinging on the material, on the armature, and did this result in damage greater than the one they would have suffered that such malversion was not if it wasn't an investigative commission? Thank you.
ParlaMint-HR_2021-07-08-0.u56066	The next final debate is on behalf of the Green-left bloc advocates' club. Honorable representative Ursha Raukar Gamulin.
ParlaMint-HR_2021-07-08-0.u56067	Thank you, Mr. Chairman. So the Green-Left bloc club we are still standing on the need to establish a Committee on possible irregularities in post-war reconstruction on the territory of the Republic of Croatia. We're sure it's the Commission's additional motive and assistance in an investigation that you know is being led, and you have data. We think and we're convinced that there can be no harm from the Investigative Commission, only benefits. And if this investigation is being conducted that you know of, then there are probably reasons and indications why this investigation was launched. And now that menu comes up to one I'm starting to get out of the elemental logic. I don't understand why the parliamentary majority is headed by HDZ so against that commission it's interesting. Why is there such a huge danger from this commission? What can this commission actually reveal? Why do you fight so hard that this commission is gone? These are questions that logically impose themselves. You say he'll throw himself away, Mr. Bacic says he'll get laid on a great postwar reconstruction. I think that this sleaze is about to be thrown out by avoiding this commission because avoiding the establishment of such a commission is inescapably creating doubt that there is indeed something there that it wants to hide, which it wants to keep quiet, which it wants to put under the carpet. And so the only thing I can conclude is that you're the one who's setting aside the post-war reconstruction. You open your doubts by rejecting the commission at the very least. What is a fact, the fact is that any clearing up cloudy, suspicious situations both today and in the past are working to raise awareness of the need for fair and legal work in the Republic of Croatia, which is not always the case, I suppose you will agree. And it is also a fact that those who oppose such initiatives come at least, I will repeat, in doubt, that they are hiding something. From this hiding, from this endeavor to make very serious indications, and after this debate, I am absolutely certain that the extremely serious indications were that there were also criminal acts, and corrupt actions and all the bad acts possible were present in that postwar restoration. So you're preventing such a commission and you're certainly under suspicion that you're responsible together for it. I'm sorry, I'm sorry, I'm sorry, not you personally, the parliamentary deputies that you're sitting in right now, but your party obviously has some issues with that. Of this avoidance and opposition to the establishment of the Investigation Commission, the public and citizens of this Croatia will, of course, have damages, and for that, you are responsible, so the majority of them headed by the HDZ are responsible and should say it loudly and clearly. You do not allow the Council of the Republic of Croatia to legally and legitimately establish a commission that would shed light on murky and illegal actions and situations in post-war renewal. You don't allow it, and you, as usual, are standing on the sad side of which we certainly won't want to be.
ParlaMint-HR_2021-07-08-0.u56068	Time.
ParlaMint-HR_2021-07-08-0.u56069	Thank you very much.
ParlaMint-HR_2021-07-08-0.u56070	We have a breach of the Rules of Procedure, respected representative Branko Bačić.
ParlaMint-HR_2021-07-08-0.u56071	Thank you, Mr. Vice President. Mrs. Raukar Gamulin, I assume you know that we live in a legal state where there is a trio of power. Your suspicions which I believe are a cause for criminal, criminal, criminal acts that occurred during the renovation, please submit to whoever is in charge of this country, which is the State's Attorney's office, the BOOK or the law enforcement bodies. And if, and if you had something concrete, you could have led us here today in the ruling party to convince us that you were right. Here it is incorrect and it is not right for you to speak in this way in the Croatian Parliament.
ParlaMint-HR_2021-07-08-0.u56072	Time. ... This was a replica, not a violation of the Rules of Procedure. [[The intruder doesn't understand.]] You're getting a warning. The final debate of the HDZ Representatives Club follows. Honorable representative Nikola Mazhar.
ParlaMint-HR_2021-07-08-0.u56073	Thank you very much, Vice President. Dear colleagues and fellow MPs. Well, here's our chance today. I'd say more than I've ever seen, not just an idea, but above all, the objectlessness of this request, the request for an investigative commission that the proposer didn't even believe in. He hasn't believed in him since the debate began. First of the matter itself which he did not say exactly, but later and throughout the debate where we could see that opposition representatives or MPs who were signatories of this proposal had to correct each other about key things or what they were legalized objects and what they weren't. So we heard from a fellow SDP that 80% of the facilities in the Sisak-Moslavina County were not legalized, that it would not be able to be refurbished now that Ms. Collateral Anka Dark Taritash would have to correct them since she still had some knowledge in that matter, so she corrected them that it was by law on renewal when and after the war reconstruction of all the objects that were subject to the Law were automatically and legalized. After that we could hear a series of untruths about the whole matter from that everything that was done was done in a catastrophic way, so when time now showed that the whole initiative was only the key to the moment of submission to get points for local elections. So when everyone saw today that the data that comes from the profession, that comes from the competent authorities and that, above all, dear colleagues and fellow MPs are public nothing we don't have what you don't have, we didn't get anything from the Government of the Republic of Croatia. We're just getting ready. So there are institutions doing their job. One of them is the Croatian Center for Earthquake Engineering, Professor Ratalić, his colleagues, whom we have all met very well every day in the Banovina area, who reported daily in all the media as many days as the objects were examined, and which stickers they received. We have a headquarters that's been made to report publicly at every session of the Government of the Republic of Croatia. Still thank God the meetings of the Government of the Republic are public and anyone who wishes can look. It is from this data publicly available today that 94.87% of the objects examined, or 36 thousand 888, of the reported 38 thousand 881 yellow or red label received 13,000 257. If we know that the organized reconstruction by the Republic of Croatia in the area of Sisak-Moslavina County was 8000 880 objects and that 96 of them received an orange or red sticker, and that 96 of them for 9 were made that a replacement facility would be offered, or 0.01%, then we see that exactly what the engineers of the building are, and people who behave these positions in the territory of the Republic of Croatia waist rather than politics brought out what is now shown and proven, and that it is precisely because of the organized restoration of the Republic of Croatia that saved lives. Thanks to the restoration of the Republic of Croatia, the damage is as it is, rather than much larger. If we take the damage ratios in other counties, including a Zagreb earthquake that is 12 times weaker than this and when we see what the damage to individual houses is, then we get another proof of the quality of the renovation again. We must also witness that time 95 million 200 thousand exiles, the return, the 17 billion kuna needed to invest, and at all times when laws were passed on much more important things, we can now see that this restoration was quality. On the other hand, it is the Croatian Democratic Community that has requested and requests that every single case of poor renewal, manipulation, possible corruption be investigated and we will always be for it, not for politics.
ParlaMint-HR_2021-07-08-0.u56074	Following is the final debate on behalf of the applicant. Honorable representative of Peja Grbin.
ParlaMint-HR_2021-07-08-0.u56075	It is interesting that before me, Mazhar, a colleague who had almost had the opportunity to participate in this new restoration, said that by some miracle there would be nothing possible because of certain certificates issued to certain entrepreneurs who were 14, 15, 16, 17 years old as engineers involved in them, which is why criminal proceedings are now being conducted. But okay, let's let it go now. It's just an accident about the renovation. Dear colleagues and colleagues, if we do not want investigating committees to be established in the Croatian Parliament, then let us abolish the law. As long as the Law is in force, the Croatian Parliament has the right to make a decision on the establishment of the Research Commission, and part of the MPs, in accordance with the provisions of the Law and Rules of Procedure, have the right to propose this. The Croatian Parliament is one of the institutions of this country that has also received investigative commissions in its jurisdiction. If you do not want to set up an investigative committee, do not hide behind some of the lattices that ultimately do not hold water like those of Hubian's colleagues. Come and say no. We don't want a point. We won't, we won't, we don't want the facts revealed. Be honest, be honest, be your own in the end line, say no, and do not hide behind the procedure and behind the strength of the numbers of the majority you have. This Commission of Investigation should be established primarily with three objectives. To determine exactly what happened during the renovation, to ensure that those properties that are badly recovered and to learn from this process lessons that we will not apply, or that we will ensure that they are avoided in the restoration that lies ahead. It's a big renovation. About the amount of money probably even greater than that after war in absolute amounts, in relatively probably not because the value has changed in the meantime. But in absolute numbers, for sure. Dear colleagues and colleagues, I have no idea how to say that after the war, everything was bad. No one wants to say that. However, some of the things that were done at the time would be good for us to implement now. We have now transferred everything to citizens whose properties were damaged, and during the postwar reconstruction the role of the state was much greater. The state took on a much bigger burden, and so some things went faster. Now we have transferred a whole series of bureaucratic and administrative procedures to people who have been damaged, whose property has been injured in the earthquake. They may learn lessons from this process and apply some of them in practice. But you don't want to. Like you don't want to find out who the guilty are. And what's worse for me than what you don't want to be in those areas where the reconstruction was conducted after the war, which are seismically active, which are dangerously controlled, audited, and ensure that we don't watch those scenes that we saw when a colleague came to one house and took down concrete with her hand, with her hand. Like this on a building that was renovated and that was supposed to be all right. We have two options. One option is to vote for the establishment of an investigative commission, to reveal the truth, and to avoid the mistakes we have encountered in the past, and another option is to be against. Each of us will vote on this next week when we vote which of these two options will be supported. Thank you.
ParlaMint-HR_2021-07-08-0.u56076	We've exhausted the debate with this. I'm closing the debate. We'll vote when the conditions are met. The next item of the agenda is - Proposal for a Decision establishing a Committee for the Promotion of the Rights of the Child Carrier: The Committee on Family, Youth and Sports is a Proposer of the Committee on Family, Youth and Sports on the basis of Articles 44, 87 and 161. Rules of Procedure of the Croatian Parliament, and Article 6. The law of reward for promoting the rights of a child. Do the proposing representatives want an additional explanation? Honored representative Vesna Vucilović, president of the Committee. Vesna Bedekovic, I apologize.
ParlaMint-HR_2021-07-08-0.u56079	Thank you very much, well-respected Vice President of the Croatian Parliament, distinguished colleagues and colleagues. The Law on the Prize for the Promotion of the Rights of the Child requires that the Republic of Croatia award a prize for promoting the rights of the child for exceptional achievements in the protection of the welfare of children's rights and interests, and is awarded as a reward for life's work, i.e. as an annual reward. And every year one prize can be awarded for life's work and up to three annual awards, and it is awarded in the form of special recognition and in money. The prize is awarded every year for 20. On the day of adoption of the Convention on the Rights of the Child at the General Assembly of the United Nations meeting. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The law stipulates that the award is awarded by the Committee for the Promotion of the Rights of the Child appointed by the Croatian Parliament on a time of 2 years. The Committee consists of 5 persons, well-known public employees who deal with issues related to children's rights, and they are proposed to the Croatian Assembly by the parent body, i.e. the Committee on Family, Youth and Sports. The term of office of the previous members of the Committee expires on 18 October of this year, and the Committee on Family, Youth and Sports at its 11th session held on 18 June of this year considered the arrival of the Committee's membership bid and was found to have reached a total of 7 candidates, and that is to say, Prof. Dr. Buljan Flander, Ante Čajkusic, Mirela Dežman, Katje Jajaš, Mladen Kožić, Elvis Kralj and Maja Pavlovic. And how is a total of 5 members appointed to the Reward Committee on 11. The Committee on Family, Youth and Sports has held a secret vote and a proposal for the composition of the Committee has been set out as set out in the proposal for a decision. So, the Committee proposes that the Committee be appointed Professor Dr. Gordana Buljan Flander, Elvis Kralj, Katja Jajaš, Ante Čajkusic and Maja Pavlovic. And therefore, respected colleagues and colleagues, please support this decision and a proposal of the Committee for the Prize for the Promotion of the Rights of the Child as proposed by the Committee on Family, Youth and Sports. Thank you very much.
ParlaMint-HR_2021-07-08-0.u56080	We have a replica. Honorable representative Mariana Petir.
ParlaMint-HR_2021-07-08-0.u56081	Dear Mr. Vice President, dear colleague Bedekovic. I'd like to hear from the experience that we have so far given the award of how much she's actually raised awareness of the importance of respecting the child's rights. Do you have any feedback and whether, through the work of the previous committees, through this communication, some problems have arisen from which concrete activities or even legislative initiatives have arisen?
ParlaMint-HR_2021-07-08-0.u56082	Answer.
ParlaMint-HR_2021-07-08-0.u56083	Thank you very much, dear esteemed colleagues on this replica. As I said, therefore, it is also signifiable that the prize itself is awarded, so every year on November 20th, on the day of the adoption of the Convention on the Rights of the Child at the General Assembly of the United Nations, and of course, this prize granted in different forms, either as an annual reward, or as a reward for life's work in recent years has made it very clear, therefore the need and necessity to take care of the protection of the welfare of children's rights and interests. And thus, through, therefore, the award of this award in the form of, on an annual basis, every year, indeed, a series of applications are chosen by those candidates who have indeed earned their works and their activities the same as the prize for life's work which says that Croatian society is slowly, therefore in my court not enough yet. It still needs to be intensified, but it is heading right towards raising awareness of the need to protect the rights of children's interests. [[Santer Invader: Time.]]
ParlaMint-HR_2021-07-08-0.u56084	I'm opening a debate. The first is the HDZ Representatives' Club, respected representative Nada Murganic.
ParlaMint-HR_2021-07-08-0.u56085	Thank you very much, well-respected Vice President of the Croatian Parliament, colleagues and colleagues. Here is a decision on the establishment of the Committee for the Promotion of the Rights of the Child, which was presented on behalf of the proposing colleague Bedekovic. Namely, the Law on the Prize for the Promotion of the Rights of the Child entered into force in 2005 with the aim of giving special awards to the persons they have, who contributed to the development of child protection in the protection and welfare of the child, his rights and interests and these awards are given once a year to 20.11. on the day on which the UN General Assembly adopted in 1989, or confirmed the Convention on the Rights of the Child, and two years later, so in '91. In the year, the Republic of Croatia confirmed the convention. In addition to this international document, many regulations and laws aim to promote child rights, to protect children, to create a safe society in which children will grow up, to become mature persons with the goal of having a particularly happy childhood in which they will be able to have stable and healthy growth and development. Of course it's even giving this award has a special significance. The public raises the visibility of those who in their personal, professional and political life, in their careers especially advocate the welfare of children and these rewards are very often directed to those people who have been doing this kind of quiet, self-secret work for years and are very often representatives or members of individual associations, the Society Our children, the Red Cross, foster parents, adoptors, aunts in kindergarten. Thus, all those who in one self - centered way care and care for our children first and foremost show them love and a warm environment in which children need to grow up. Of course, these awards are evaluated by experts, and for this very reason, the candidates for the award are evaluated by experts, and therefore the parent board and proposed to the Croatian Parliament that members of the board be appointed in order as the proposing said. These are people in public life with a profession very close to the care of children. Along with Professor Gordana Buljan Flander, who is known as a psychologist, a science doctor who has significant achievements precisely on the protection of children who have been abused, children who are victims of violence. And the board decided on more members. Elvis King is one young boy, a man who has devoted his entire professional and social work to protecting children of the minority population, children of Roma. Katja Jajaš and Ante Čorkušić, who are related to the Centre for Rehabilitation, i.e. to the Centre for the Education and Education of Children and Youth, therefore to the very population that needs special care, but with special expertise and special attention and love. And dr. Maja Pavlovic, a pediatrician working on a children's hematological oncology polyclinic, a scientist who, along with this really difficult job, provides full love and protection to these children. This committee will, of course, hold its meetings when the Ministry of Labour, the pension system, family and social policy call a tender. The competition will be registered, or apparently by other applicants, to propose individuals they consider worthy of such a reward. The Committee will work in accordance with the Rules of Procedure, will also adopt it by the competent ministry and will present proposals at its sittings, as has been said and it is in accordance with the law to award one prize for life, three individual annual awards which may be in the form and recognition or financial compensation. However, it has primarily one symbolic thanks to these people for their well-being they provide with children, but also as an incentive for everyone else to appear and run, but also for the fact that the Republic of Croatia is through the Parliament, but also for the working body that will work in the jurisdiction of the Ministry knows how to recognise and value all those who are particularly responsible for promoting the rights of the child. Very often in this home we talked about how threatened our children’s rights are, how well we are, however, in the fact that for our children for their protection, for protection against the threat of life, for protection against violence, and for all these other disasters that children are exposed to today have not fully completed that task. Therefore, this Committee's work and the award of these awards will also go towards achieving this goal, full protection and promotion of the welfare of children. The Croatian Democratic Community club will certainly support this proposal and this committee wants good and successful work.
ParlaMint-HR_2021-07-08-0.u56086	Next is the debate on behalf of the Green-Left Block Representatives Club. Honorable representative Ursha Raukar Gamulin.
ParlaMint-HR_2021-07-08-0.u56087	Thank you, Mr. Chairman. My colleagues and colleagues, of course, I am firmly convinced that we all in this assembly want to improve the rights of children, we want to improve the conditions in which our children live, we want that there are no poor children, there are no children in troubled families, we want children to have a normal education, we want them all to believe that we all want to. I hope so, too, that we'll agree that we haven't done everything we could on that trip and that there's still a lot of work to be done. One of the things that can, of course, promote children's rights and bring into focus here I would dare say one of the most important topics in Croatian society is certainly a reward for promoting the rights of the child. Unfortunately, this year, the Green-Left bloc Club, I am already tired, will vote against the appointment of members of the Committee for the award and award on the one hand because some members do not have experience in promoting the rights of the child, and on the other hand we are particularly concerned by one elected member is known for his activities in limiting women's rights to health and reproductive rights and we believe that this Committee is compromised and unfortunately we cannot support those appointments. We hope that this committee will have a more representative team in the next meeting. Thank you.
ParlaMint-HR_2021-07-08-0.u56088	Next is the debate on behalf of the Centre and Voice Representatives Club. Honorable representative Marijana Puljak.
