ParlaMint-HR_2021-12-07-0.u71541	[[CONTINUES AFTER MEETING IN 13,00 HOURS]] Here you go.
ParlaMint-HR_2021-12-07-0.u80673	Comrade Pavić, I recommend you include the next time before raising the tablet autocorrection. Yes, you have a warning, that because you have abused the Rules of Procedure and you have used it as a replica, a violation of the Rules of Procedure. Let's move on. Next replica of my colleague Miro Totgergeli.
ParlaMint-HR_2021-12-07-0.u80674	Thank you, Vice President. I'll continue on the replica of Mr. Pavic. It's true. It is very difficult to inform citizens, but in 2018, three years ago they passed a law in this Assembly on self-supply. I haven't heard from any of the MPs in the opposition that he invited the citizens that we've passed this law, that it goes in favor of them, that they build mini power plants on their roofs and that it allows them with these small mini power plants to practically cover the cost of electricity. How much they produce at a time when there's sun, hand it over to HEP, when there's no sun pulling out of HEP. No one called them. My colleague Pavić is only here for a year, but the law has been in force for three years, and I've mostly listened to the opposite. The opposition MPs mainly criticised the law and the provisions we had.
ParlaMint-HR_2021-12-07-0.u80675	Thank you. Replication response, please.
ParlaMint-HR_2021-12-07-0.u80676	Yeah, I agree. Here I am, no matter how...
ParlaMint-HR_2021-12-07-0.u80677	Let's apologize. Just stop, please, Mr. Secretary of State. We have a breach of the Rules of Procedure. Dear colleague called Brumnic. What did the Rules of Procedure get hurt in?
ParlaMint-HR_2021-12-07-0.u80678	A colleague injured Article 238, saying that some parliamentary deputies did not say when a few of us were talking about this and the problems that exist in this regard, so if you did not attend the entire debate, you did not hear anything that was said in the debate. To the truth, I have not heard the answer from the secretary on this issue, and that was the question that citizens deliver electricity, but they are paying incentives for electricity that should practically be encouraged from renewable sources which has no logic so that several times it has been mentioned in the debate.
ParlaMint-HR_2021-12-07-0.u80679	Thank you. My colleague, please. Comrade Brumnic, I must give you a two-base warning. The first is that you've exceeded your time, and the second is that we no longer have the correction of the incorrect assumption that this was actually yours. It wasn't a breach of the Rules of Procedure, but you were actually correcting the wrong assumption. There's no such thing as a warning. ... No, you consciously said you were using the violation of the Rules of Procedure for the replica of your colleague Brumnic, it is not. [[The intruder doesn't understand.]] Let's move on. We have another breach of the Rules of Procedure. Comrade Totgergeli, what has the Rules of Procedure been injured in?
ParlaMint-HR_2021-12-07-0.u80680	Rules of Procedure 238. I have made it clear and loud that no parliamentary representative of the opposition has invited citizens to use the benefits of the law that we have passed since 2018 and are going to install mini solar power plants on their houses, because it is favourable for them. So, on the contrary, we've mostly been getting criticisms at the expense of this law instead of educating citizens from both these benches and telling them it's convenient for you, inform yourself about it, install mini power plants etc.
ParlaMint-HR_2021-12-07-0.u80681	Thank you. Time. You too have a warning first because you have exceeded time, the second you have not even called on the article of the Rules of Procedure. ... Good, and if it is, but you've abused the Rules of Procedure. [[The intruder doesn't understand.]] I recommend that you and your colleague Brumnić, after this at the coffee shop, continue to shake up your arguments. I see you're eager to discuss each other. ... Okay. [[The intruder doesn't understand.]] You have a warning. We continue with the replicas, i.e. the reply to the replica, the esteemed secretary of state to the replica of my colleague Totgergelia seems to me.
ParlaMint-HR_2021-12-07-0.u80682	Yeah, who's gonna remember? I absolutely agree with Mr. Totgergelio's self-supply and production for the very supply has obtained its results and continues to do so today. And now, with the aggregate, it gets an absolute new dimension that's justified here and in this home sought several times, but we didn't have that situation solved. And now that we've solved it, so that part we have, and that means that you have the very supply in your facilities where you don't live, and then later through the aggregates, the suppliers can have a serious financial benefit from that to cut their own account where you can't physically put yourself.
ParlaMint-HR_2021-12-07-0.u80683	Thank you very much. Next replica of my colleague, Dreven Buddinski, come in.
ParlaMint-HR_2021-12-07-0.u80684	Thank you very much, dear Vice President, Secretary of State, colleagues and colleagues. I would just like to hope that parliamentarians not only work behind benches, but also have to work in the field and be with their voters because they have been chosen by their locals and citizens and are responsible every four years for all their own same locals again. But now I'd just ask you. You, I'm glad you brought out all those projects and since I'm coming from Varazdin County and you know that the Varazdin County in cooperation with the Mali Bukovec municipality founded... geothermal sources that I think are one of the futures of that. [[You don't understand.]] The ministry recognized it and really supported all of this and I think it's very important and that the Varazdin County will become in the foreseeable future one of the very first efficient energy districts, do you agree?
ParlaMint-HR_2021-12-07-0.u80685	Thank you, colleague. Here's an answer to the replica.
ParlaMint-HR_2021-12-07-0.u80686	It is absolutely agreeable because it is regrettable that Croatia produces 10 or 15% of its total amount of flowers that it spends, and let's say in your area there is quite a tradition of flowering and all, and geothermal energy is there near natural that can be used to warm up plastics. So we absolutely support all the activities in that direction.
ParlaMint-HR_2021-12-07-0.u80687	The next replica of my colleague, Dark Taritash, here you are.
ParlaMint-HR_2021-12-07-0.u80688	Thank you very much, well-respected Vice President of the Croatian Parliament. Your Honor, Secretary of State, Article 42. The law defines the status of a privileged electricity producer for simple buildings. And here you refer through that provision and you say that simple structures are the ones that are defined in a special regulation. So you decided not to define yourself. Now, I'm afraid, otherwise I'm a supporter of not defining ourselves in different ways, different laws than any resistor to define what it is, then you bond to it. But the rule on simple structures that define what simple structures are, simple structures are temporary and temporary. It's your circus tents, it's your ads, it's your different garden shadows. Now, what I'm reading here as simple buildings would be auxiliary facilities up to 50 square meters, would be roofs, would be garden shadows. I'm afraid all of this other stuff wouldn't go into it, so I'm just wondering if maybe in the future you'd consider defining it by this law.
ParlaMint-HR_2021-12-07-0.u80689	Here's an answer to the replica.
ParlaMint-HR_2021-12-07-0.u80690	Thank you. We made this clear only in coordination with the Ministry of Construction, Spatial Planning and State Property who simply suggested it to us. Like you said, we're not jumping out with any new definitions and terms, and they're supposed not to, but they're asking that they put a solar panel on the tent. They're supposed to be looking for something more fixed, so they're going to have to ask the competent office for some kind of paper, so someone's doing a static, not this one, something to prevent or allow. So let's let there be bodies that deal with it. And if we see in practice that some problems will be clear that certain sublegal or late legal acts can also sanction it.
ParlaMint-HR_2021-12-07-0.u80691	Thank you. The next replica of my colleague, Daus, here you go.
ParlaMint-HR_2021-12-07-0.u80692	Thank you very much, Madam Vice President. I didn't use the final, so I'm gonna use three messages in the replica of the secretary of state. First, do you agree in practice to raise the level of efficiency of HEP in the field? The honor of exceptions, but there are problems, it's too much of a system, they need to understand that they are here in the service of citizens and entrepreneurship and much faster, more operational, especially here I mean connections. In view of the current negative experiences that we have witnessed all in Croatia. In particular, suspicious corruption should be increased to control the process of introducing new alternative sources, not to slow down processes, but to restore citizens' confidence and create preconditions for investment. And thirdly, to end with this in addition to protecting the environment and energy efficiency, energy at the end of electricity independence must be the goal of cheaper electricity, the long-term goal of electricity to our citizens.
ParlaMint-HR_2021-12-07-0.u80693	Thank you. Replication response.
ParlaMint-HR_2021-12-07-0.u80694	Well, here you are, actually, is more of a finding than a replica. I absolutely agree that, as far as HEP, ODS and HOPS are concerned, we will be maximumly involved in making those in sublegal and any other sense operational for the implementation of these laws that we are currently discussing here and which will be passed. And as for transparency in the adoption of new projects, I don't think it's more transparent than we predicted. So remember the situation when five of them stormed into one location, when double-location permits were done, when energy approvals were gratis, when there were a billion problems, when the HopS was issuing... for an area where there is no spatial plan. [[The speaker doesn't understand.]] We have now systematically introduced order – spatial plan, public tender, EMP, everything that should be. It's our guarantee that it'll be okay.
ParlaMint-HR_2021-12-07-0.u80695	Thank you. The next replica of MP Ahmetovic, please.
ParlaMint-HR_2021-12-07-0.u80696	Thank you very much, well-respected Vice-President of the Croatian Parliament, the Honorable Secretary of State. Let's take it in a row. The first wind king returned investment in six, seven years and the incentives took 12 years. That's the illogicality we're warning you about, and you know very well who that wind king is. It has a very good connection with this socially sensitive and hep-oriented. The other one about the tanners. The territory, which is given for these solar plants, is given mainly to foreigners. The Spanish company has taken the sixth football field for 150 megawatts. One greeting for this year, you are calling for the signing of the law in some past governments. The interesting thing is that all governments are fleeting, only you stay in each of them as a very faithful associate, so here I am because I don't have enough replicas to ask you all and answer all the answers I can't wait for next year so we can continue to discuss these topics. Thank you very much.
ParlaMint-HR_2021-12-07-0.u80697	Replication response, please.
ParlaMint-HR_2021-12-07-0.u80698	As far as I'm concerned, I guess I'm good at my job, so they appreciate me knowing something. And as for this return, regardless of the gentleman you mentioned figuratively, there were other gentlemen who returned as quickly as possible. Here we are at the same wavelength as the return of those investments in that time they gave, according to those rules that were made. That's what I mentioned about that sour grapes. So our return on investment in the support programme that will come from the EU at a maximum of 6% per year. That's what we were counting on when we calculated that 6% of a year's return on someone's investment was enough, and these were terrible returns, and I couldn't agree more. But that's not what I was involved in. Tomislav Coric certainly did not, Andrej Plenkovic freed God.
ParlaMint-HR_2021-12-07-0.u80699	Thank you. Next replica of colleague Maria Jelkovac, please.
ParlaMint-HR_2021-12-07-0.u80700	Thank you very much, Vice President. Dear Secretary of State by individual opposition representatives today, we have had the opportunity to hear that the law does not go in favour of citizens, but for the benefit of individuals. I don't think we should run away from having strong investors, investors in society. On the contrary, we need to create space for the economy and for such individuals and that they do business, of course, in accordance with all the rules that come out of the law. I also think it is good that this law allows our citizens who want for their own personal needs to do so, means from a renewable energy source to cover as much production as it takes for their personal needs. As regards HEP and price, the price is formed we know how investments, supply costs etc. So are investors private, but also HEP. Surely it is important that most of the projects will still be implemented by HEP and that it is good for us.
ParlaMint-HR_2021-12-07-0.u80701	Thank you. Please be careful on time, you've exceeded 10 seconds. Here's an answer to the replica.
ParlaMint-HR_2021-12-07-0.u80702	As far as this is concerned, it is absolutely true that the investor's title is something defined by law and it will be who it will be, and most importantly physically where the plants are located. All that lies within the borders of the Republic of Croatia is Croatian production, Croatian GDP, Croatian energy security, all that matters to us. And it is clear that it is necessary to strive that if there can be more HEP, if they can be some investors, whether they are Croatian or foreign, which is not problematic in any sense, it is clear that this is much better. And as for the fact that the more HEP projects, the cheaper the power of HEPs that 85% of the household holds, that's clear as day.
ParlaMint-HR_2021-12-07-0.u80703	Thank you very much. The next replica is a distinguished colleague called Brumnic.
ParlaMint-HR_2021-12-07-0.u80704	Dear Secretary, the key problem I will once again repeat this law is the fact that this law takes the risk for us, and the investor is making a profit. I would be very interested in explaining these 6% of yours in accordance with Article 21. You mentioned Article 30, paragraph 2, when we have to, or when we have to say we're going to buy electricity. The question is, if that current is much more expensive than that reference value, whether we buy it or not, or if we let the investor sell it on the market. We only buy when it's below the reference level. So there's so much room for marifetteluk, and we're aware of marifetteluk. Here's your oil price now. Today, yesterday, you took off the price of gasoline, the limit on the price of gasoline. Gas is cheaper today in Slovenia more than 10% cheaper than in Croatia.
ParlaMint-HR_2021-12-07-0.u80705	Time. Here's an answer to the replica.
ParlaMint-HR_2021-12-07-0.u80706	As far as I'm concerned, I don't know very well. Read the article well. So if CROTE decides to buy electricity exclusively at the reference price, it says well in the law, read well. You may not have read quickly, bought at the reference price, and this one must sell it to him because the competition will be so designed and the support contract that he has to agree to. It's not his goodwill if he's gonna sell HROTE, no, no, he's gonna have to sell it if HROTE decides, because we're giving money... [[The intruder doesn't understand.]]
ParlaMint-HR_2021-12-07-0.u80707	Please don't have a debate from the bench, just a little while, you took advantage of your time, even a little over it, I think the secretary of state understood your question, so please just don't throw it out of the bench. Please proceed to the Secretary of State if you know where you are.
ParlaMint-HR_2021-12-07-0.u80708	So it's about us buying it if it fits, if it doesn't answer. And the fact that you're saying that we only have a risk, and that safety there absolutely disagrees with you, that doesn't hold water at all. So we have precise contractual terms that will be defined by law, rules, public tender, everything will be transparent and we will function accordingly. There's going to be a guarantee, not a guarantee of a bank, but whatever it is, I don't see that risk. What is now the main criticism that these old fiding tariffs that are still going on somewhere are too far-fetched and that's the criticism that we all have absorbed as correct, but in this part of the sign CROTE can say if it fits I'll buy your electricity in the next year at the reference price and so be obliged to have a reference price. If CROTE estimates that price is good for him, why not buy, prodo and earn.
ParlaMint-HR_2021-12-07-0.u80709	Thank you. Let's move on, next replica, distinguished representative Hajdukovic. Here you go.
ParlaMint-HR_2021-12-07-0.u80710	Thank you very much, Madam Vice President. Mr. Milatić, one of your claims prompted me on the replica, and this is what I'm going to quote "Only a lunatic would sell HEP" so I don't know if you informed the Prime Minister who has been talking about the sale of HEP in good time and I'm going to quote "The Prime Minister and HDZ President Andrej Plenkovic on Saturday commented on the model of the purchase of MOL's shares of INA, saying that the IPO HEP model for the purchase of INA shares from the strategic partner MOL based on the sale of 25% of HEP shares through the initial public offering is the most effective, fastest, simplest and purest version of the least actors." Did you inform him that only a lunatic would sell HEP? I agree absolutely with you here, since as much memory as I am served by the Prime Minister, it has never clearly denied it, nor given up on the purchase of the INA, nor to give up on the purchase of HEP.
ParlaMint-HR_2021-12-07-0.u80711	Thank you. Here's your answer.
ParlaMint-HR_2021-12-07-0.u80712	Now you have denied yourself, so the prime minister did not say that he would sell HEP but would make IPO HEP, the capitalization of HEP. The prime minister never said he would sell HEP, and now you've read it well, the IPO HEP is the capitalization of HEP. means that Croatian citizens invest additional money in HEP to expand HEP's capital and then in that expansion that would be passed by Croatian citizens to 25% with these money was planned then or as the idea of buying INA. So it's never the prime minister that I'm going to sell HEP, but I'm going to strengthen HEP, and I'm going to buy the INA with a strong HEP.
ParlaMint-HR_2021-12-07-0.u80713	Thank you. And the last replica, the esteemed representative of Shimičević. Here you go.
ParlaMint-HR_2021-12-07-0.u80714	I thank the vice president of HS. Your Honor, Secretary of State. The impression is that we are here in the thick red white world is whether, you are trying to answer people's questions, but you are not really how much I understood anyone or that your answer for them has made a certain shift. Well, I don't think that's for sure good, and we should try to understand this law, especially what other reading is and what you've been trying so hard to make it very clear to us. From what I understand, the goal is greener energy, the cheaper energy. And now you have so many projects and you can't force people to go and invest in it. They have on pages, they can look, they can applicate and they can provide themselves with cheaper energy and be happier with it. Thank you.
ParlaMint-HR_2021-12-07-0.u80715	Thank you. Here's an answer to the replica.
ParlaMint-HR_2021-12-07-0.u80716	It's all going to be written in the manual, and now it's all in the law that all these laws need to be read now, and I agree with all of you because that's why we suggested it, so eventually the directive requires that there be a manual, that we put it all in one place, that we've already been through our 15 years of childbirth while we've been learning, while we've been making mistakes. When we're talking about mistakes, then I refer to this that some governments have made mistakes, I haven't done it in the energy section, but I've been in the energy ministry, so I've witnessed some mistakes from some people, but here today we finely agree that it's what we would say about God's command and I'm telling you here that it will be and I'll do everything to make it so that every good-willful and malicious criticism of you will listen and we'll see what we'll do.
ParlaMint-HR_2021-12-07-0.u80717	Here's what we're done for this year you're done with the reviews, we'll probably move on next year. This concludes the debate, and we'll vote when the conditions are met. I'm declaring a recess until 1:00 p.m. when we'll continue the session with statements on behalf of the club. Thank you very much. It's only a matter of time before we get back to
