ParlaMint-HR_2021-03-10-0.u27281	The sixth debate, SDP representative club, respected colleague Ivana Posavec Krivec, please.
ParlaMint-HR_2021-03-10-0.u38463	Thank you very much. The next Club of Representatives is the SDP on behalf of which the respected representative Vesna Nadj will speak. Here you go.
ParlaMint-HR_2021-03-10-0.u38464	Thank you, Mr. Vice President of the Croatian Parliament. Therefore, the Croatian legal system was introduced to the Croatian Ombudsman by the Constitution of the Republic of 1990, which speaks sufficiently of the constitutionally established role of the Ombudsman as the authority of the Croatian Parliament, the role of promoting and protecting human rights and freedoms. According to Article 93. The Constitution of the Republic of Croatia is the Advocate General of the Croatian Parliament for the Promotion and Protection of Human Rights and Freedoms established by the Constitution, the laws and international legal acts on human rights and freedoms adopted by the Republic of Croatia. Any person may appeal to the Advocate General if he considers that the illegal or irregular work of the national authorities, local and regional (regional) authorities and bodies with public authority are at risk or in violation of his constitutional or legal rights. The Croatian Assembly is elected by the Advocate General in time of 8 years. The Attorney General is independent and independent in his work. In accordance with Article 2 of the Treaty on the Functioning of the European Union, The Law on the Public Ombudsman is the Advocate General of the Croatian Parliament for the Promotion of the Protection of Human Rights and Freedoms established by the Constitution, the law and international legal acts on human rights and freedoms adopted by the Republic of Croatia and, under Article 2 of that Article, by the Advocate General shall carry out other tasks of certain specific laws. According to Article 10 of the Law, it is prescribed that the Croatian Assembly should be elected by the Advocate General at the time of 10 years, with the possibility of re-election and no later than 6 months before the end of the term of office of the Advocate General, or no later than 30 days after the end of office for other reasons, the Croatian Parliament announced a public invitation to propose a candidate for the Ombudsman. Paragraph 3 of that Article provides that the Committee on the Constitution, Rules of Procedure and the political system of the Croatian Parliament, with the opinion of the Committee on Human Rights and the Rights of the National Minorities of the Croatian Parliament, shall establish a proposal for at least two candidates for the Ombudsman on the basis of applications received from a public call, and shall refer it to the Croatian Assembly. According to Article 11. The Law on the Ombudsman may be chosen by a person who fulfils the following conditions: Croatian citizenship, residence in the territory of the Republic of Croatia, completed integrated in front of a graduate and graduate university study of legal profession, at least 15 years of experience in the profession, a prominent expert who enjoys the reputation of a person of high moral principles, as well as protectors and promoters of human rights and freedoms, or the rule of law which is not condemned and who is not subject to criminal proceedings for crimes for which the proceedings are initiated under official duty and who is not a member of a political party. The current lawyer, Lora Vidovic, took office on 1 March 2013, means that she was appointed by the Croatian Parliament as a new authority for the promotion and protection of human rights and freedom to the term of office of eight years. The Croatian Parliament for the Promotion and Protection of Human Rights and Freedoms in its 2019 Report pointed out that the objective of raising and the level of respect for human rights and freedoms in Croatia, and the achievement of citizens' equality, a whole series of social changes, is a long-standing process that requires the quality of cooperation of all stakeholders, and the priority of human rights in the thinking of public policies. This is the way towards the creation of a society where institutions will gain a high degree of trust by their transparent and effective work, in which no one will be left alone for their vulnerability by ensuring a decent life, and which public discourse will be constructive, inclusive and deprived of impatience. However, neither the State's Attorney General's Report for 2018 nor 2019 or 2020, even though it is included, means these two reports are first on the agenda of the meeting of the Croatian Parliament, so the sixth session of the Croatian Parliament is still not included in the debate at the plenary session. The annual report by the attorney general shall be submitted to the Croatian Parliament by the end of the first quarter for the previous year. It is expected that the Croatian Parliament will discuss the annual report by the Ombudsman or the Ombudsman within a short period of time from the delivery of the report, i.e. in the current year's report for the previous year to discuss the current proposals for measures to promote and protect human rights and freedoms. Therefore, it is incomprehensible to ignore the ruling views of the debate on the reports of the Ombudsman, particularly in the light of this crisis caused by the covid 19 pandemic and the earthquake in Zagreb and Sisak-Moslavina County. At the SDP club, we believe that between two candidates and two candidates for the occupier, i.e. the Ombudsman, during the talks at the joint session of the Committee on the Constitution, the Rules of Procedure and the Political System and the Committee on Human Rights and the Rights of the National Minorities, only two candidates were pointed out by their knowledge of the role of the ombudsman, i.e. the Ombudsman in promoting and protecting human rights and freedoms, i.e. the rule of law, i.e.... a former deputy attorney general with a law degree and a postgraduate study at Oxford and the Faculty of Political Sciences with more than 16 years of training and lawyer Sanda Hančić, an independent lawyer with a passed judicial exam, a former judge with a 24-year internship in the profession. [[The speaker doesn't understand.]] However, the SDP Club is closer to candidate Tena Simonović Einwalter, although, of course, every member of the SDP club will vote in secret votes at their own free will. From her biography, and especially during the answers to the questions of the members of both committees, we received confirmation that she knows the constitutional and legal role of the institution of the Ombudsman as the authority's attorney for the Croatian Parliament on the promotion and protection of human rights and freedoms and the Central Body for the control of discrimination. She is also familiar with the important role of the attorney general who must act proactively and preventively as a national mechanism for the protection of persons deprived of liberty. The new jurisdiction of the Advocate General for the external reporting of irregularities in accordance with the Law on the Protection of Reporters of Irregularity, etc. The whistler of July 2019 is not unknown to her, she is not only known as the legal norm but also activities in the implementation of the protection of the applicant for irregularities from the authority of the attorney general. It is not negligible that Ms. Tena Šimonović Einwalter has institutional memory and knows the organisational structure of the Office of the Attorney General, and can continue to implement the projects launched without some empty walk to know them. Today, in this pandemic crisis, the crisis caused by an earthquake when many citizens do not have a roof over their heads or are forced to live in inadequate, sometimes dangerous housing facilities, some of which can't be considered even housing, when human rights are significantly threatened only to health, the work of social security is important to elect a public defender, or a lawyer who will know how to deal with the fight against various types of discrimination, violations of freedom and rights that will be determined to protect the most vulnerable in order to ensure the constitutional commitment of the Republic as a social state. Therefore, the SDP club believes that we must choose a candidate who will be able to pro-actively engage in achieving the vision of the Ombudsman, that the Republic of Croatia should be a society in which human rights are respected, promoted and protected, in which the state administration is fair, efficient and accessible and each individual has equal opportunities. Thank you very much.
ParlaMint-HR_2021-03-10-0.u38465	Thank you very much. The next Club of Representatives is the Homeland Movement, and a respected representative, Ruzica Vukovac, will speak. Here you go.
ParlaMint-HR_2021-03-10-0.u38466	I thank the esteemed Vice President of the Croatian Parliament. My colleagues and fellow MPs, therefore, for some reason in the election process of the attorney general, and the media also noticed that we had not received a full life record, nor had we Assembly representatives maintained the presentation of candidates, but had only shorted résumés from which some important data were missing. There is nothing left for us but to suspect transparency or family or political networking of certain stakeholders. It is extremely important to note that scientists, demographers, politologists, economists in Croatia but also in general warn that customerelism and corruption affect the slowdown of society, to promote similarity and political networking, not excellence and competence ultimately affecting highly educated young people who therefore emigrate to democratic states of Western democracies where their qualifications are valued, not family or political relations are valued. However, our Prime Minister Andrej Plenkovic has repeatedly claimed that young people do not emigrate because of corruption and nepotism. It is interesting that the father of one of the candidates for the late 1990s prosecutor was Deputy Foreign Minister, and his office was headed by today's Prime Minister Andrej Plenkovic. We also learn that he has just played a major role in finding and bringing Plenkovic to the Ministry of Foreign Affairs. Mrs. Shimonovic's resume of one of the candidates perfectly fits into the global agenda and their interpretation of human rights. The question is, how did she get the support of both HDZ and SDP and so can we. Is it because they might be sharing the same light? She co-operated with the Peace Studies Centre, whose champions were now the backbone of the left-green parliamentary bloc. This is about the ideologies of human rights or the achievement of monopoly on these issues, but also the imposition of a world-wide mirror that actually does not tolerate different opinions. Since the activities of the Ombudsman include activities in the field of protection of human rights, then activities in the area of the fight against discrimination with an extremely important national preventive mechanism, with the necessary protection of applicants of irregularities, so we are talking about an entire spectrum of activities aimed at protecting the fundamental constitutional rights of our citizens and citizens. In everyday life, situations in which citizens are not inclined to report violations of human rights and discrimination due to mistrust in institutions, then acceptance as a common pattern of behaviour, fear of victimisation and others, therefore the need as stated by the current attorney general in his report on work for 2020 is to strengthen preventive work aimed at combating all forms of intolerance and to strengthen efforts and activities aimed at protecting equality in particular in crisis situations. The content and form of such activities should be adapted to the needs, opportunities and social circumstances of individual vulnerable groups, and bringing this topic closer to citizens would help education on the concept of discrimination and available protection mechanisms and strengthen media literacy. At national level, promoting equality as a fundamental value would certainly contribute to the adoption of a national plan for the protection and promotion of human rights and the prevention of discrimination for the period from 2021 to 2027 and accompanying documents, i.e. an action plan for the protection and promotion of human rights and an action plan for the fight against discrimination from 2021 to 2023 and a national anti-discrimination plan that has expired, which I recall further in 2019. The importance of the role of the Ombudsman's institute can be summed up through individual recommendations, such as one which has been addressed by the attorney general to the leaders of the local self-government units following complaints from citizens from their territory. Thus, the Ombudsman’s mother - in - law concluded the lack of reliable medically correct water could endanger the fundamental human rights to life and health guaranteed by the constitution, but also affect the emigration of the population. It is therefore necessary to work continuously to restore and build a public supply network where economic profitability should not be a key criterion. So, when the mayors and mayors fail in their posts, it's good to offer them to work and through the Office of the General's Attorney General. Recently, some EU Member States have strengthened or intend to take action in connection with the scope of the activities of civil society and civil society itself. In Croatia, the government intends to adopt a national plan to improve the system of legal, financial and institutional support for the activities of civil society organisations. In the context of the election of a new person headed by the Ombudsman's Office, it is also important to state the fact that the Government of the Republic of Croatia has never adopted a National Strategy to create an incentive environment for the development of civil society for the period 2017 to 2022, a key document for the planning and programming of funding from the European Social Fund. It is also rare to mention the ineffectiveness of public institutions and bodies responsible for the European funds in Croatia, which bear responsibility for the excessive administrative burden of Croatian civil society which leads not only to its financial instability but also discourages its role as a factor in social cohesion and active citizenship. In addition, narrowing down the scope of civil society in Croatia is carried out through financial mechanisms, primarily through inadequate administration of European funds with examples of unfavourable interpretation of de minimis support. This strengthens the mistrust and perception of the lack of openness of EU institutions because such a public administration represents institutions on national soil. All of these should be topics which must be addressed in addition to the above. The recommendations of the so far-called Advocate General for Human Rights and Rights of National Minorities to continuously inform citizens about the prohibition of discrimination and protection mechanisms and to speed up activities in the adoption of the National Plan for the Protection and Promotion of Human Rights and Discrimination of Discrimination from 2021 to 2027 and the accompanying Action Plan for the Protection and Promotion of Human Rights as well as the Action Plan for the Prevention of Discrimination from 2021 to 2023, then to the Government of the Republic of Croatia to encourage the fight of all forms of intolerance by investing in education, professional advice and education, public campaigns and strengthening of media literacy can only be clearly and unequivocally supported. Since the two women entered a narrow round of elections, let's hope that the newly-elected Ombudsman will also implement a broad set of measures to reduce inequalities in society and improve human rights. The inequalities that are unfortunately present in our society. We also hope that close family relations with the prime minister will not affect the work of the office. We sincerely hope, because hope still dies last. Thank you.
ParlaMint-HR_2021-03-10-0.u38467	Thank you. The next Club of Representatives is the green-left bloc on behalf of which Rada Boric, a respected representative, will speak. Here you go.
ParlaMint-HR_2021-03-10-0.u38468	My colleagues and colleagues, the Parliamentary Committee on the Constitution, the Rules of Procedure and the Political System, proposed a meeting to elect two candidates, Tena Šimonović Einwalter, the current deputy attorney general and Sandra Hancic, an independent lawyer. What we've heard and perhaps heard here, with regrets that we're discussing the election of a new staff this time, the D.A.'s attorney, that unfortunately we haven't discussed the reports before. In that sad way because we saw and saw according to what's in the report for '18. and '19. Which are proposed to us here and will likely come to order, how important it is precisely that the attorney general and the institution of the defense attorney or the staff attorney in such a way that, apart from the protection of the notifiers of all irregularities, the government has also taken on the promotion and protection of human rights as you have seen in front of the reports and what the Government has taken on. different resolution ministries to advance on exactly these complaints better protection of human rights. Of the two, here we could hear the sad and unusual voices on the one hand about the fact that the former occupier was a parapolitical figure from, we're part of the other representing again. Representatives heard that, of course, different political relations are mentioned, so again, whether we can count on them to be elected to certain places politically or not to say parapolitically. Here it concerns in the first example that it has been forgotten, and it has been tied to the safety of Croatia and that it has objected to the former occupier of the occupier was her relationship with the rights of migrants and illegal migrants, and the fellow who spoke here has forgotten, so I just remind you that it is, for example, an example. In 19th, the Attorney General's Office handled a total of over 5,000 cases, of which 75% referred to individual complaints by citizens. So, according to their rights violations. So here to represent the work of the attorney general as a parapolitical figure so that it may not be obtained and the future is absolutely inappropriate if we know that 75% is related to individual complaints and if we know that the biggest increase in family law is even 103% in that year, so it's not about illegal migrants, it's not about seeking the right of same-sex communities. So all what is considered a field of human rights and what has rightly been advocated by the former Ombudsman must remain exactly in that kind of independent institution. And then colleagues should look a little more closely at how they attack, so they attack a new candidate as you know we are often told that we are not even alone to blame for who our parents are and how they are different opportunities of course, how someone is progressing in life, but let's say no one about candidate Tena Simonović Einwalter said, and I'm sure no one in Europe needs to know that she was originally elected to, for the head of the executive board of the anti-discrimination network and promoting equality of the European Equality Network so-called. Equinet. On the other hand, it also has different years of experience at national and international level precisely at promoting the protection and promotion of human rights especially by combating discrimination, that, not only since 2013, it has been a deputy but since 2008 and has been working as an adviser in the Public Attorney's Office and that it has absolutely had experience. I would dare say that I would like to say that, wherever we choose to be in independent bodies, but also in the ministries, that we can praise people who are also at national level absolutely experts in the area they deal with, and also prominent representatives of Croatia as well as Mrs. Shimonović Einwalter and representatives of Croatia at the Council of Europe are just about the topic and racism, and here we could hear something about it. So what's important is that when we talk about institutions like the Ombudsman and we point it out, it's important that he's independent and that he's independently protecting everyone's rights and that he can't be equal and if that's a condition then it's unacceptable to talk here, I don't know about the money of political, political organisations or institutions, and here everyone here will, according to some of their world-wide or political inclinations, probably recognize every time someone chooses to choose a prominent, prominent position to belong to another mile. I see that my colleague Shimonovic did not mind being a member of the Peace Studies Centre. So that a young man who wants to practice human rights should not stand for peace or should not stand up for the same sex communities or for women’s human rights. The left block club will surely support her candidacy.
ParlaMint-HR_2021-03-10-0.u38469	The next Club of Representatives is that of the Centre and GLAS on behalf of which the respected representative Dalia Oreskovic will speak, please.
ParlaMint-HR_2021-03-10-0.u38470	Thank you President, fellow MPs and MPs. Once again, it is necessary to reiterate that the Ombudsman is the authority of HS to promote and protect human rights and freedoms established by the constitution, laws and international legal acts on human rights and freedoms adopted by the Republic of Croatia. The Advocate General shall monitor the compliance of the laws and regulations with the provisions of the Constitution, having even the right to apply for an assessment of the consent of the law with the constitution. This should, in itself, be enough for HS to be very interested in what the Ombudsman describes in the reports submitted by HS. It is therefore totally unacceptable and unheard of that we have not yet discussed the report for 2018 and 2019, and the report for 2020 has already arrived. I'll look back on that a few times during this speech. And what about those ex-wife reports, now the former attorney general is saying? It says that the most vulnerable citizens' rights are the weaker property, says the most vulnerable persons over 65, warns of growing social inequalities, the inaccessibility of public services, the problems of the citizens with justice, the inability to exercise the right to free legal assistance. Remember when we discussed this, so we found that about 4 million per year, kuna per year, for this purpose we single out, and I believe that only the City of Zagreb spends annually on legal services twice as much. In her reports, Lora Vidovic gave hundreds and hundreds of recommendations to competent authorities whose implementation would contribute to raising the quality of life of citizens and stronger protection of guaranteed constitutional rights and freedoms. Not only was HS not interested here to discuss and hear what recommendations the Ombudsman made, but he did not do anything to check whether any of these recommendations had been adopted and implemented in practice at all. The fact that we haven't discussed the report for 2018 and 2019, the fact that we haven't done almost anything to correct the injustices described by the Ombudsman in those reports is the biggest tax on our own institutions, and also the shameful relationship between you and HDZ, according to bodies that should protect the public and not your HDZ interest. What exactly are these reports about? It's about the fact that the current government in the continuity of certain years destroys national tissue, you can see that the decline in the standard of living of citizens who emigrate, you can see it through the devastation of space, you can see it through the weak sub-capacitated institutions. That's what Laura Vidovic is talking about in her reports. So I was quite appalled by the exposure of my colleague Nina Rasdic. But she might not have really looked back on him if he hadn’t referred to the government of the Gorenec in his speech. Well, since most Croatian citizens still remember well who and what Vlado Gotovina was, which he stood for and what he represented, I believe that Nino Rasdic should not be called upon and his political and public action should not be identified with the views of the government of Gotovina and... I would not agree with any one of his words here today. [[/The speaker doesn't understand.]] And what is worse said by Nino Rasdic is that in the reports submitted, Lora Vidovic described injuries that would justify that there is an illusion of human rights violations and freedoms in the Republic of Croatia that are not actually present. He accused Loru Vidovic of being defiled in some way by the Republic of Croatia. And the same attitude of the defilement of the Republic of Croatia I heard from Nikola Grumoja when we were at a zoom international conference that talked about corruption in the Republic of Croatia. So do not put our problems ahead of the international community. And that almost reminds me of the attitude of those people who think that when someone in their own house beats you that it's not right to talk about it in front of neighbors because that would be a shame. No dear fellow MPs and MPs, it is a shame when the crime is hiding, and Lora Vidovic in her reports did not hide anything. In its reports, which Nino Rasdic calls "the 200-page brochures", there is a painful description of Croatia's situation as it is today. There is also an indication how to correct this situation, how to make Croatia a country that its citizens will not be ashamed of? I find it embarrassing that Laura Vidovic is accused of being some kind of parapolitical actor, of promoting particular ideological interests. On the contrary, I believe that Nino Rasdic today, and otherwise began to impose some of his ideology with which civil progressive Croatia disagrees. The fact that more has been said today and criticised some report by Lora Vidovic, which has not been discussed at all, represents the same cowardice behind which the current government is hiding. And that says something about it, let me finish.
ParlaMint-HR_2021-03-10-0.u38471	My colleagues, please let the esteemed representative say what she wants. Here you go.
ParlaMint-HR_2021-03-10-0.u38472	And that is the best argument why Laura Vidovic did not even report to the competition for the next term. In fact, very few people have applied, and it has already become symptomatic. First of all, we have the fact that HDZ is very often late in the execution of competitions for key state bodies. We see that there are fewer and fewer candidates in public procurement and public calls, and that's something that says about how our prominent people who could contribute to building a better state and better society see their chances during this parliamentary government. So that's actually what we should really be worried about. For indeed, it is obvious that Lora Vidovic was not a parapolitical figure, as Nino Rasdic says, but rather the intensity of this authority is that people who put themselves on key functions be politically invisible figures. It is not wanted by a new occupier or attorney-general to continue what Laura Vidovic started, to describe reality as our citizens see it. So, the report described Croatia as being viewed by an average Croatian citizen, not the reality that it wants citizens to see it watched with the eyes of Andrej Plenkovic and the ruling majority. Since only two candidates have passed such a non-critical assessment by the board of directors, and we have no idea at all what you are from the new occupier or the attorney general expects, except if possible, to be as invisible as possible, I, according to the proposed candidates, am expressing my skepticism for the time being.
ParlaMint-HR_2021-03-10-0.u38473	The next Club of Representatives is the HDZ, and the respected representative Damir Habian will speak. Here you go.
ParlaMint-HR_2021-03-10-0.u38474	Thank you very much, Vice President. My colleagues and fellow MPs and MPs, please allow me, on behalf of the HDZ Club, to put forward an opinion on the proposal of the candidate for the Ombudsman. It was by here by some parliamentary representatives who spoke on behalf of their clubs actually words and topics that aren't on the agenda. Therefore, this topic is only about the choice or proposal of two candidates for the Ombudsman. In fact, some MPs and MPs could hear a lot about reports that are therefore not on the agenda. It was possible to hear some incorrect data that the reports were not available, they are available on the network pages of the 2018, 2019, and it was also heard that there were no reports for 2020. There is no reason why the law requires that the previous calendar year report be submitted in the first quarter of the current year. A lot has already been said and known about the election itself. So he is elected by the Croatian Parliament for the term of office of 8 years, with the possibility of course re-election. The whole procedure of the new occupier's staff has been carried out in accordance with the provisions of the Law on the Ombudsman. As is known, a joint session of the Committee on the Constitution, Rules of Procedure and the Political System and the Committee on Human Rights and the Rights of National Minorities was held where candidates for the Ombudsman were presented, namely those 4 who met all the conditions prescribed by law. And all the candidates I would say had the same conditions at that joint session where all the squads could present their programme and then answer the questions of members and members of those two committees. And just as counterpart Bosnjakovic and all other MPs and MPs had the opportunity to attend the joint session. After the previous opinion of the Committee on Human Rights and the Rights of National Minorities was delivered, the Committee on the Constitution, the Rules of Procedure and the political system, after a secret vote, proposed to the Croatian Parliament two candidates, namely Mrs Sandra Hančić and Mrs Tena Simonović Einwalter. Namely, those candidates were given a convincing majority of votes on the committee in question, which may be understandable if we look at their life stories as well. Therefore, those candidates are indeed persons who meet all the conditions prescribed by the law itself, and also have a truly respectable and legal, but also a business career. I don't think any of the MPs and MPs here can dispute the importance of the Institute of the Public Attorney as the authority of the Croatian Parliament to promote and protect human rights and freedoms established by the constitution, laws and international legal acts on human rights and freedoms. The rights and powers of the Advocate General prescribed by the Law on the Ombudsman are very broad. Therefore, since participating in the work of the Croatian Parliament in a way that points to the need to adopt amendments to laws and other regulations or to draw attention to the need to comply with legal and sublegal regulations with international standards and the Constitution of the Republic of Croatia. Moreover, the Ombudsman himself may point out to the Government of the Republic of Croatia the need to adopt laws, sublaws, strategies, programmes and other acts in the field of protection of human rights and freedoms and to ensure the rule of law. Therefore, it is apparent that the diapazon of its rights and powers is broad and the position of the Ombudsman is as it is established in the legal order of the Republic of Croatia as of exceptional importance. It is precisely because of the above-mentioned HDZ Representatives' Club that it expects the future Ombudsman to use its rights and powers stemming from the positive rules of the Republic of Croatia to the greatest extent possible to represent, promote and protect human rights and freedoms established by the Constitution, laws and international acts. It should also be mentioned how art. 260. The Rules of Procedure of the HS set out how a secret vote is held in the election or appointment in the case where the number of candidates proposed is therefore greater than the number to be elected and, accordingly, the HDZ Representatives' Club will, of course, make its decision when it will be on the agenda. Thank you very much.
ParlaMint-HR_2021-03-10-0.u38475	Thank you. Now we move on to an individual debate and the first one will speak to the respected representative Anka Mrak-Taritash, please.
ParlaMint-HR_2021-03-10-0.u38476	Thank you, well-respected Vice President HS, distinguished colleagues and colleagues. So somewhere at the end of the day, we see that it's not much of an interest, but I'm absolutely sure of something, which is that it would be incomparably better if we had and discussed a report on the work of the attorney general, if the attorney general were to replace the attorney general, they were left in the close selection of two women. If we had a report for 2018, then a report for 2019, and I think, last week, a report came to the assembly for 2020, there could have been a united debate and we could have ended this story and it's not good to put ourselves in a position to talk about someone's work talking about the next heir or heiress will be in this case. There's open and talk and there's always the story of whether to unite all offices or not. We need to know what we want, what we want those who are attorneys to do, do we want to do their job and show the real situation or do we want to be shown a distorted picture? And let me, I will in an individual debate my experience. So, I was in executive power and... The attorney general was, and then the attorney general, and she made a report. [[/The speaker doesn't understand.]] I was convinced that we were doing a very good job, I read that report, and I saw that it wasn't exactly so, and then I made a mistake that we all made very often, I didn't say a little bit of that that's how people see us, the lawyer sees our job that way, but it was my fault. And, of course, after that report that we've had, we've had a meeting, there's a civil defender with all the people, and I've realized actually the role and importance of the attorney general is to show how the citizens are experiencing the work of the executive to write it, that no matter who likes it or doesn't like to read it, to read the measures, and that when the next year's report is that it's one measure, you know how the cartoon is, so something, it's smaller. And that's the role of the attorney general, not the role of telling us that we're handsome, successful, smart, that we're doing a great job. The role is to say that, too, if that's the case. And the role is to say the citizens have complained for your work, I will be very, very specific... That construction inspections don't do their job, that they don't go out, that you don't have a clear housing policy, that the prices of apartments are too expensive, that the building of apartments doesn't fit, that you don't have a clear municipal policy, that our prices of services are too expensive, so all that was the jurisdiction and the measures in which they are, you do that, that and that. [[/The speaker doesn't understand.]] What's the task of someone seeing it, especially when you're in one term of four years. In the second report, there will always be dissatisfaction, and there will always be those who need to, who think they need better and good that way. So, I'm really sure that it would be incomparably better, we had the last report on the work of the occupier for 2017, we discussed it if I wasn't wrong in 2018, there was one very interesting debate in this assembly that lasted until late evening and we discussed a number of things. So no one could argue that what was written there was based on certain things. Imagine what the 2020 report was like when we had a crown or covid that we still have, when there was an earthquake, what would be seen through the attorney general's report. And instead of having it in the assembly, if we had the opportunity to discuss it, that every, so that, to see what the situation is, no, we put in those reports some of these hallways, we were wandering the halls of HS and we'd get into a situation, I'd like to not say "I told you so," and I'm afraid it would be "I told you so" that those reports will formally be the second female attorney to come here and say "I'm talking about reports, but it's about the work of another of mine, my predecessors". And when we start to think about what's important to the attorney general, I'm absolutely talking about the female, because she is also now and everything else, so she needs to point out in this society all the situations we have, and those who are in power, who have the opportunity to change, should change and show in the report progress that is, but unfortunately, a lot of things are changing, but that's not going to change.
ParlaMint-HR_2021-03-10-0.u38477	Thank you. We have several replicas, the first respected representative Selak Rasdic.
ParlaMint-HR_2021-03-10-0.u38478	When should you single out three areas in which it is recognizable in public, or perhaps outside the public, the work of the previous occupier of the occupier?
ParlaMint-HR_2021-03-10-0.u38479	Dear representative.
ParlaMint-HR_2021-03-10-0.u38480	Thank you very much for your replica. That replica would make a lot more sense if we had a report on the work of the attorney general, and then there'd be a chance to talk about it. One area is certainly social policy and one area is where we go to great poverty. The second topic is the theme of the pensioners she was very fond of and spoke about, and the third topic would certainly be about something that is very reluctant to talk about, say, what is a greeting for a home ready or something like that has done in our society. You have to do some steps and you have to make some changes and until you say and put some things in place there won't be. But these topics that the attorney general was talking about were very clear in her views. You know when you're clear, then you get it really every time and you don't like it too much.
ParlaMint-HR_2021-03-10-0.u38481	Thank you. The next replica is the esteemed representative of Bauk.
ParlaMint-HR_2021-03-10-0.u38482	Thank you. My colleague, Mr. Tarritash, I've thought about it a little bit, and I think we should correct your position on the report debates. So we'll have a great situation theoretically that if the deputy deputy is elected, then Laura Vidovic will present three reports for 2018, '19 and '20. Lore Vidovic and we will be able to assess immediately whether there will be continuity or discontinuity. So, this is not a bad situation at all, I will enjoy hearing that if Mrs. Shimonovic is elected to justify the good work of Advocate Laura Vidovic, and I must tell you that here I am listening to your debate, I think it is not a bad thing at all, that this is actually one situation and this time thanks to the President of the Parliament and the parliamentary majority, which will allow us by the end of the term of office if these reports ever come on the agenda. Thank you.
ParlaMint-HR_2021-03-10-0.u38483	Honorable representative, Dark Taritash.
ParlaMint-HR_2021-03-10-0.u38484	Thank you very much. Comrade Bauk you know that the history of life teacher would not be the first time some reports that in one Parliament's assembly have not come to the agenda but have not arrived and never been a real opportunity, so they have stayed for some other times and for some other occasions. The same way I wouldn't dare do it, or maybe you have some other information that I don't have that you're going to tell me who's going to be the attorney general who's going to succeed this female attorney. I have this privilege of having one candidate and another because it's just the two of them, so we're talking about women, I know, so I know the lady who's the deputy now, and I know the Belovarchan woman, and then you have some privilege of seeing one or the other from some other angle, but it has nothing to do with the choice of relationships. So we need to know what we want, do we want to make someone really.
ParlaMint-HR_2021-03-10-0.u38485	Thank you. The next replica is the respected representative Bencic.
ParlaMint-HR_2021-03-10-0.u38486	Thank you. So here's the teaching question of colleague Selak Rasudiæ, who is actually very good because this is perhaps the first female attorney general we can point out to three areas that we couldn't possibly do for the previous ones and I don't think that because of these steps we haven't seen a few last reports, and precisely because of those expenditures that she's made and who have made it impossible for her to do much further work because of the government's neglect, we don't have her again as a candidate here. These steps are huge precisely in the area of citizens' social rights issues in relation to financial institutions, this is the first prosecutor to start dealing with the issue of enforcement, impact on fundamental human rights, the question of the Agency for the collection of claims, and it has been clearly and constantly telling you that this House here regulates the issue. She also dealt with the issue of violence at the borders of Croatia, which is what particularly hurt you, although the whole of Europe is also telling you because you have never bothered to investigate this issue and we have not seen the last three reports.
ParlaMint-HR_2021-03-10-0.u38487	The answer of the esteemed representative, Dark Taritash. Thank you very much. Please, let's not exceed the time, you always do it all the time. It's simply rudely high and the rest of the MPs, you're wasting their time. Here you are, dear MPs, Dark Taritash.
ParlaMint-HR_2021-03-10-0.u38488	Thank you very much. So, I was Parliament's representative in 2018 when there was a report for 2017, the occupier came here, you could ask, comment, so there were comments and then there were some who thought this or that, came with their deputies I think in one decent composition, the fact is that it was in those late nights those of 9 and so on, but you could ask, you could argue, she was absolutely defending her views. I think, or not to think, but I am sure that the interest of all of us should be that someone who does their job at any time is willing to come here, defend their views and say the reasons for it. Often, we don't like what it says, and that's why I've been having my own discussion, and I've been saying that my first contact was, I was mad as a dragon when I saw what it says because I was convinced we were doing a great job, and now there's something written there. I soon realized that what she wrote was true.
ParlaMint-HR_2021-03-10-0.u38489	Thank you. The next individual debate will be a respected representative of Bulja. Here you go.
