ParlaMint-HR_2021-03-03-0.u27275	Let's move on, now it's SDP's Club of Representatives, dear colleague Mirela Ahmetovic, come in.
ParlaMint-HR_2021-03-03-0.u37215	Thank you. The reply to the replica, the esteemed representative Pavić.
ParlaMint-HR_2021-03-03-0.u37216	How many times a month they meet I really don't know the exact information. One council member's fee is 2,000 kuna a month, that's the information we got today... What? ... [[The intruder doesn't understand.]] No, so the monthly fee is 2,000 kuna. ... [[The intruder doesn't understand.]] I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know. [[The intruder doesn't understand.]] So what makes the conclusion that the Programme Council makes doesn't have to be adopted.
ParlaMint-HR_2021-03-03-0.u37217	That's it. Thank you very much. The next replica is the esteemed representative of William Matula. Here you go.
ParlaMint-HR_2021-03-03-0.u37218	Thank you, Vice President. Dear colleague Pavić. I would like to ask you, there is a confusion over the duration of the term of office of these members who will be elected soon. Namely, some of them will be in office for four years, and two of them will be as many as I understood for just two years because of some unadjustment that was inherited. Now I'm wondering if the candidates knew, did it say in the contest that some of them would be elected and that after they were elected to four, and after two, which would be reportedly brought by lot, means that they would raise or draw straws or I don't know what?
ParlaMint-HR_2021-03-03-0.u37219	Replication response.
ParlaMint-HR_2021-03-03-0.u37220	So that transitional provision that was stated in the law for the previous council meeting is no longer valid so that it will now vote for seven members of the Programme Council, then it will have to decide on the Programme Council who will be for two years and who will be for four years. Otherwise, the Programme Council has 11 members, of which 11 members are elected by the Parliament, but now there is one problem that not all four are selected in the previous meeting but only two candidates and now we have the problem with the difference of two years. Besides, there's been another problem, I don't think it's a problem, it's legal, so half the council is elected every four years, so one council meeting doesn't choose the whole council ever. That's the law.
ParlaMint-HR_2021-03-03-0.u37221	Thank you very much. The next replica is the respected representative Marijana Puljak. Here you go.
ParlaMint-HR_2021-03-03-0.u37222	Thank you. Dear colleague. I would actually suggest that we abolish this Programme Council, and I will also do this in my debate a little bit because you yourself said the Programme Council is making some views, criticism about the program, giving some suggestions, but here's what we read from this debate and no one listens to the committee. So, let's save time and those people that don't even come to that Programme Council, and also to us here what we're going to do is pick these people, and besides that, this is weird for me, we're going to pick seven people, and then someone's going to decide from those seven who's going to be these two, if I understand you correctly, who's going to be those two who's only going to be two years. But mostly the Programme Council does not fulfil its function, which by law should be represented and protected by some public interest monitoring the programme, since these criticisms, proposals, ideas, no one listens to.
ParlaMint-HR_2021-03-03-0.u37223	Replication response. Here you go.
ParlaMint-HR_2021-03-03-0.u37224	So we're talking about public television here, and you realize that actually this Programme Council and the Supervisory Board should protect the public's interests. We have heard on the board that the council when and it worked that their advisers did not always listen and that there is no obligation to listen to them or to work on their proposals, so that I agree with you there is a great questionnaire over our heads, whether there is really a need for that council to exist if no one listens to it. It's similar with the Supervisory Board, we heard that the editor-in-chief worked past the supervisory board's provisions, that he made decisions without consulting the Supervisory Board, so there are more problems. But I think we should insist that there is a Programme Council and that there is a Supervisory Board, but that we should put that into function. There's no point in ending it, but putting it into function.
ParlaMint-HR_2021-03-03-0.u37225	Thank you. The next replica is the esteemed representative of Dr. Nino Rasdic. Here you go.
ParlaMint-HR_2021-03-03-0.u37226	Mr. Proposer. I'm sorry that you're the promoter because you're not responsible for these things, and I wish that we had motions from the ruling majority to answer these key questions. First, according to the Law on HRT, half of the Programme Council is elected every two years, and here there has been total confusion and nebulism where we now choose at once seven, not from 11 because two elect HRT employees but from these nine chosen now suddenly we choose seven and that part for two years, and part for the full term. Who is to blame for such a mess, and how in the future do we avoid such chaos?
ParlaMint-HR_2021-03-03-0.u37227	Replication response. Here you go.
ParlaMint-HR_2021-03-03-0.u37228	The problem arises in the previous session, i.e. in the previous competition when not all members of the Programme Council have been selected, but only two fewer members have been selected and this problem has been expanded to this day. We should now settle this in this session and vote on Friday to vote on all those seven people who should be in the Programme Council. By being obliged to do so and as a person who spoke about it on the Information Committee, I will tell everyone that two members of the Programme Council who had not come to the Programme Council have come forward for six months and that they did not allow the Programme Council to be held because there was no quorum. Let's make that clear to everyone.
ParlaMint-HR_2021-03-03-0.u37229	Thank you very much. The next replica of the respected representative, Dr. Maria Selak Rasudic. Here you go.
ParlaMint-HR_2021-03-03-0.u37230	It's not your fault, of course, but the only one here we can discuss with you. First, I would like to commend the ruling majority's representation on this important subject, but only two colleagues are here. Well, that presence tells us everything about what HRT is today. Why would that for the ruling majority at all be a theme when it's all their own way there anyway? So, as far as they're concerned, it also shows the role that the Programme Council has. Just like when the Programme Council serves its reports to HRT leaders who are not binding and serve nothing, so the ruling majority is allowed to hold this debate because it is of no benefit in practice. We must urgently change the function of the Programme Council, but God damn it, the function of this Parliament.
ParlaMint-HR_2021-03-03-0.u37231	Thank you. Replication response.
ParlaMint-HR_2021-03-03-0.u37232	Yeah, I already said that a little while ago in response to the previous replica. I believe that there is no point in abolishing the Programme Council and the Supervisory Board, but we need to put this Programme Council and the Supervisory Board in place in such a way as to have members of the Board, i.e. editor-in-chief and other editors obliged to listen to proposals, reasonable proposals of the Programme Council. If that's not the case, then it really doesn't make sense that we're harassing ourselves here in the Parliament, that we delegate these people, that we end up paying them, and that they're doing no good anyway. I hope we can do it now on Friday when we vote that these people will vote, if we vote all seven or less, we should be a half majority for each candidate. If we can do that, I hope that the Program Council is set up and then we'll think about what to do next, maybe make some kind of initiative to change the law, to supplement the law, so the HRT law can be filled in with things. that is, with articles that would help us make the Programme Council really work. [[Intruder Škoro: Time.]]
ParlaMint-HR_2021-03-03-0.u37233	And the last replica, the respected representative Eric Fabianic. Here you go.
ParlaMint-HR_2021-03-03-0.u37234	Dear counterpart Pavic, I was caught in the ear by the fact that one person I absolutely do not know was not taken into account by her candidacy because her statement that she was not in the conflict of interest was not confirmed by the public notary. Then I went to read the terms of the competition, so I noticed one more word and it's the housekeeper. Namely, if we are the Croatian Parliament and the issue of rationalisation and reduction of red tape, then we must show it as an example to the entire state. In fact, I don't see why a person should have to verify their statement to a public notary, it's enough to make a statement because it goes into public authority anyway. Therefore, it is very easy to implement, and the other thing is a housekeeper. Namely, if under the general law it is a condition that a person is a Croatian citizen, then I will remind you that the Law on Croatian Citizenship shows citizenship by means of a personal identity card, passport and housekeeper. Why just put, better put as a condition of competition evidence for Croatian citizenship. Why does it have to be a housekeeper?
ParlaMint-HR_2021-03-03-0.u37235	Here's the time. Replication response. Here you go.
ParlaMint-HR_2021-03-03-0.u37236	Here I would like to say here from this pay phone so you all know, that you all hear that the original public call proposal was actually different and that, in fact, in that call, that version that solved the problem and these two members who were now two years old and some of the elements that you may have mentioned now about the documents and this certificate in the public notebook. But we had to change that, and the contest came out this way as it came out, and now we have to respect what it says in the public invitation. So everything mentioned inside must be respected. Those who did not respect their application are not valid.
ParlaMint-HR_2021-03-03-0.u37237	Thank you very much. That'll be all there is to it. I'm opening a debate and we're going to discuss it on behalf of the representatives' clubs. The first one will be discussed on behalf of the club of representatives of MOST, a respected representative of Nino Rasdic. Otherwise, Honorable Representative Fabianic, I had the same objection on one committee when the conditions of the competition are such, unfortunately the form is more important to us than the content. I'm afraid so. Here you go, Dr. Rasdic.
ParlaMint-HR_2021-03-03-0.u37238	The Honorable Chairman, colleagues and fellow MPs. This selection of members of the HRT Programme Council is an opportunity for us to talk in a broader context about what the Programme Council is about, to which it is reduced and I compared it not by chance with the excess figure of the male breast in the folk metaphor, and also to talk a little wider about the state of HRT. Therefore, both on the role of the Supervisory Board and on the figure and action of the Director-General. The infamous 2012 HRT Act was passed by the SDP government, the Kukuriku coalition, contrary to the recommendations made by the European Commission, which was otherwise heard unspeakably in all other years. The Kukuriku coalition then had a comfortable majority in the Assembly and passed a law that concentrated power in the figure of the newly created chief director, which greatly increases the powers and way of his election, which is usually the majority in the Parliament. According to the 2010 law, we did not have a director-in-chief, but rather an HRT administration consisting of a president and two members. Under the old law of the Management President, the two-thirds majority of the joint session appointed the Programme Council and the Croatian Supervisory Board, based on a public tender. The Programme Council and the Supervisory Board also decided to resolve the administration on a proposal by a majority of the members of the Supervisory Board or the Programme Council. This is important to keep in mind, because I'm going to tell you later what happened today and the Programme Council and the Supervisory Board. By amending the 2012 law, the director-in-chief replaced the role with increased powers, including the appointment of editors of individual programmes. HRT is thus placed under direct political control. It is unfortunate that this happened at the time with the support of civil society associations including the Croatian Journalist Society. You today are fighting against the monster framework they created and supported themselves, not thinking that the beating has two ends and that it will not be held forever in your left hand or in their close political options. I will repeat once again, that change in the 2012 law abolished all powers of the HRT Programme Council, once the main authorities which managed television and elected administration and editors, and the Pharaohic powers were given to the principal director whose appointment and resolution was placed under the direct control of the Parliament, i.e. the ruling majority that is present today in a marked minority of presence at this point. Then in 2012, Goran Radman, not Grlic Radman, was enthroned, but the other one was extracted from the communist oil mine. The minimal Lustration Act would make it impossible to choose the person who led the TV Zagreb since '87. By the '90s, it was a major regimeal propaganda apparatus. I'll just remind you that the last political immigrant was killed in '89. two years after he was at the head of the HRT and this is being brought to him, Pharaoh's powers are being given in 2012 to bring to some of the standards of the democratic and informative developed Western world of this television. Later, the gentleman was entangled in a conflict of interest, from the parties' fairies in Bled to the business of his own company with HRT, that I would not now return to those stories. SDP's power has fallen, and so has he. Now, despite the announcements that he would change the law, the first HDZ Minister of Resoric Culture said after the fall of the SDP authorities, Hasanbegovic, he was later seen under Plenkovic and Obuljen Koržinek that he was well. And the system of solid political strings for control of the HRT that the SDP has drawn for itself has decided to keep in hands, do not change anything. Instead of Radman Bačić. I repeat not instead of Grlic Radman Branko Bačić, but instead of Goran Radman Kazimir Bačić and continues to do so. The program council is left without any authority. I'm gonna do it again as unnecessary as a man's tit. President of the Programme Council, I'm sorry that Mr. Zdravko Kejo is here on the board very honestly and plastically describing how the Programme Council is not serving anything and how no one listens to him. So it doesn't matter who we miss today and choose because they don't have any role to play. I can't show myself about the program before it's broadcast, and I can only express an opinion that no one is holding. They don't affect the selection of HRT leaders or editors or anyone. So it's a lex Radman we can call Lex Bačić for the last five years anyway. They don't even hold a little to the Supervisory Board, so how will they get to the Programme Council. I already mentioned that a major procedure to switch to the non-profit accounting director of HRT for the sake of knowledge and approval of the Supervisory Board, and after an affair of sexual harassment and abuse that has entertained the public for weeks and brought down anyway the low reputation of the public broadcaster, the Supervisory Board asked the Director to establish an independent investigative body, but he refused. Why? Is he hiding something? Is he covering something up? The day before yesterday, I asked the Committee to conclude that we as a committee are looking for the establishment of such an independent body. 7 members of the ruling majority rejected such a proposal. Let the public conclude whether this has joined the coverts of sexual harassment and abuse on HRT. At the request of the Director-General for Non-profit Accounting, the Ministry of Finance gave a negative opinion that this would complicate accounting. But then something mysterious happened, and they explained that the principal had asked them for a meeting and explained that they had already entered the process and obtained some information program, yet they agreed to it. Who's the one who's been working on it, and why has the Ministry of Finance changed their mind? Why does the ruling majority on the board refuse an independent body on sexual harassment at HRT? Why are there blurry jobs covered? I think the deal's next. You do whatever you want with HRT. I'll remind management of the 7.3 billion kuna. Reregister as appropriate, furate external productions very often unnecessary below each level, work not only past the Supervisory Board but against what the Supervisory Board tells you to do. When an employee is directly charged with sexual abuse, she organises a meeting to be called by this accused abuser. That's how you handle it. And everything's fine. We'll tolerate and cover all of this for you, and even most of the rest of the board at their own expense. And why is that? Well, because you're going to put an information program in our service. Yes, HRT is in the service of the great leader and his clicks on a professionally embarrassing, cartoonal level. For example, entertainment in the nation has already become an issue to guess at which topic will be opened in the days when the difficult affairs of the ruling ones are revealed. For example, the day millions of cash were discovered in the trunk, the theme of the evening was the national football stadium. The most common wildcard better put fig leaf in the Open topic is about what the tourist season will be like. So let's talk about bunny and brook, we're not talking about the problems and affairs of the ruling. People make fun of it, they make fun of you. And then you wonder why commercial foreign-owned television is being beaten by HRT in the field of information program. It's a conclusion. It doesn't matter how we vote, because we're discussing the repeat quality of male breast lactation. Shameful things happen on and around HRT. The long-term solution is to amend the Law on HRT and restore powers to the Programme Council and the Supervisory Board. With this majority, it won't be possible, but I can already see you complaining in the near future when you're on this side, just as those who created such a legal framework and director of the Pharaohs on the remote control of the ruling majority are moaning today when they're remotely holding someone else. And in the meantime, in these changes of the SDP's majority in HDZ, and tomorrow, who knows whose fatality is undermined by the quality and reputation of the public RTV service, so if you want both importance and relevance. Paradoxically, maybe one day we'll get a good legal framework on HRT. Only when he becomes completely irrelevant to the control of the electoral body. Thank you.
ParlaMint-HR_2021-03-03-0.u37239	Thank you. We have one violation of the Rules of Procedure, respected representative Marija Selak Rasdic. Here you go.
ParlaMint-HR_2021-03-03-0.u37240	The fact that the debate began on the new members of the Programme Council, we injured Article 238. All MPs are made for the second time today by monkeys. And how are they made with monkeys? The report on the work of the Programme Council has not been discussed, and we are talking about who should be its members. That's what happened with the Island Law. This is not an accident, but a deliberate schedule in the Assembly so that we could not have an excessive argument based on the arguments because the report says that the work of the Programme Council is not good.
ParlaMint-HR_2021-03-03-0.u37241	Time. Thank you very much. This wasn't a breach of the Rules of Procedure. We didn't do the agenda. We're on the agenda, so I have to give you a heads-up. Excuse me. Here you go. ... For what? [[I don't know what you're talking about.]] How?
ParlaMint-HR_2021-03-03-0.u37242	.../Intruder Pavić: May I answer on behalf of the promoter?/...
ParlaMint-HR_2021-03-03-0.u37243	You can ask for five minutes on the proposer. Yes, you can. Here you go.
ParlaMint-HR_2021-03-03-0.u37244	I just wanted to say that the report was given to the Information Committee, that we looked at it. However, we have concluded that there is no point in discussing it since it has no effect whatsoever. So he had no influence on the work of television, on the program, on anything else. And the answer to Mr. Bull. He asked me how often the meetings of the Programme Council are held? As a rule, these sessions are held once every three months. I don't think there were any more questions about the procedure, and the rest of it, if there's anything else you need to ask me, I'll either get the information or I'll look online. Thank you.
ParlaMint-HR_2021-03-03-0.u37245	Thank you. Otherwise, there is an ongoing debate, an initiative to change the Rules of Procedure which unfortunately is not perfect, so I call once again on all clubs to turn to their proposals to improve the work of these sessions. On behalf of the Croatian Sovereigns Club, a respected representative, Željko Sačić, will speak.
ParlaMint-HR_2021-03-03-0.u37246	My colleagues and colleagues, as correctly noted, we are talking about today's new council of what it is, whether it's corn, whether it's complete. A set of circumstances formal-legal led us to the fact that some will have full status, and some will do so in a shorter period. But at the same time we didn't have a chance, I agree with everyone to discuss what the current Programme Council was doing, in which way they carried out their tasks and in general we didn't have this opportunity to hear a little bit more about what our Croatian TV was doing in accordance with its mission, in accordance with its laws and sublaws. Well, we can also as laymen and as Parliamentarians, as citizens, give our own review, here's each person or on behalf of the club. Thus, we Croatian sovereigns will certainly direct one criticism to the work of the Programme Council as it has seen a whole series of healthy reason expectations of Croatian peoples, especially Croatian defenders, Croatian patriots, that Croatian television is indeed the service of all citizens, primarily in the function of the Croatian people, in the implementation, affirmation of all the values of our Constitution of the Republic of Croatia, especially the Declaration of Homeland War, especially on the sacrifices that we Croatian patriots, Croatian warriors, Croatian defenders gave in our country of Croatia. We believe that, with the failure of the current members and members of the Programme Council, there have often been and missed and there have been no appropriate reactions to the neglect and public function of our public service in many cases that, for example, on the day of death, the anniversary of the death of our first Croatian president Dr. Tudjman puts it on the agenda, actually the show on the program of a parody which is the state so that they are offended. Before that, we were witnesses to be offended, belittled under the cover of some artistic freedoms of our victim from the Homeland War, until the honor of the exceptions was recorded by several exceptional documentaries about our military-redarative actions. We bow to all who participated, but that our production did nothing serious about the key things, about the epic of the Croatian sacrifice for Croatian freedom. It could have been far, far more and deliberately or deliberately not seemed, so almost nothing was said. Not to mention how our anniversary ends. Here's yesterday's 30th anniversary of Croatia's struggle for freedom was in Pakrac. It's really one action that was for the first time, all of us who were her participants had the chance, I had this historic opportunity and the honor to be there and for the first time be afraid of what exactly truly faced. Because by that time we officers, the cops thought all the time they'd get rid of it politically, we'd throw tear gas at us, they'd be yelling at us. But our leadership will come up with some compromises we didn't have, especially us perpetrators at lower levels who we knew how to do our police work or run-of-the-mill and fundamentally we didn't have a vision at all, so that, in addition to such a constant relationship with us Croatian police officers, we could shoot someone with a burst. Only the dear God kept us safe, and we were lucky there was no blood to our knees. True today, the manipulator, the liar, the slanderer Djakula who was happily seen was even in Pantovčak and in many prominent places and in public tells me, lying, of course, telling me we had an ambush but we didn't want to, we didn't want to use that force towards Croatian directors, we had mercy. That's not true, liar, liar and bastard. In fact, thank God the transparency was such that our guys from the Omega Police Special Unit came behind them, 13-tro was with 3 machine guns and today the question of who would be alive at that time at 100 meters were supposed to cut us down because we were inexperienced, Boro's village rested on everyone would be a question of what would happen, and they had a plan of at least 50, 60 dead because Kadijević and there were Aco Vasiljevic's forces were supposed to legally after they had not received legal grounds for the exit to the streets to make blood to the world's international public, that's why we're going with the military, with JNA military forces on the streets. That didn't happen. Isn't that interesting for HTV? So who wants to talk about it? Well, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, So who's gonna do this to us if they don't want HTV? We don't have any systems anymore. The program council they have other topics, they don't care as if freedom from the sky has fallen. So I think everyone who's going to be elected or who is, and if they haven't contributed to that truth in the Homeland War didn't deserve a passing grade, we have to criticize them. There they were picking up money or whatever, the privileges, they weren't doing, they were creating a false illusion, they were contributing to HTV one myth that a civil war was being built here, not a homeland defense war, all that HTV dear friends are doing. Even our shows, the very watched shows, I'm not going to call anyone in them now. In the open you have no more right, right than HDZ, the question of how many HDZ trains are and how much is left, right or center, conditionally you have no one, no one exists. When you saw Bulja in the open, when you saw Caroline Vidovic in the Open, when you saw Mr. President Škor somewhere that something like this was out there, that I wasn't talking to some of us Croatian sovereigns, you're not, unfortunately, and you won't. Because the policy of the programming council in which they, it's perfectly natural for them, we're extremists, we're marginals, we're not, we're this one for, for further spread of hate, hostility, which are lies. We advocate the truth that the Croatian people must know. And anyone who isn't on that plan, even if it was HTV and who knows what he has to bear for it, even political. And these are simply expectations of the Croatian people. And we will achieve these expectations with the help of the Croatian people. When we talked about emigration in particular about topics that are of interest to the Republic of Croatia, they are of very strong interest and that they are, at the same time, patriotically determined. You have a terrible one crime against the history of Croatia, the father of the country 125th anniversary was to him 2 days ago the church of the Sixth Church of St. Mirko this, who is from the Croatian public and to what extent it is attached to this importance on your television, in our politics. He's not even included in the protocol, and we swear he's the father of the country. How negligent it is. Who contributed to that? How much is the Department of Culture's guilt? How many other institutions you need to worry about? How many of our meetings, how many of our Office presidents? Therefore, these are the sightings of a small man and a citizen of the Republic of Croatia who expects to discuss these historical topics, the everyday life, the sacrifices we gave for the freedom of the Croatian state and to be publicly seen. We deserve that spectrum, so let's make it 5% in the electoral body, make it 6, 10, 15, whatever, but he's got to be participating. And someone has to be so objective as to give opportunity to people who advocate these values, and in accordance with the Constitution of the Republic of Croatia, to have the opportunity to make it public, not to self-censorship, censorship and political margin potential. Thank you very much.
ParlaMint-HR_2021-03-03-0.u37247	Thank you, although the subject of the agenda of the candidate list for the selection of 7 members of the HRT Programme Council has been deliberately allowed to do so because General Sacic spoke very clearly about which topics should be dealt with by the programming council that we will choose if God chooses. And now, on behalf of the Club of Representatives of the Centre and GLAS, a respected representative, Marijana Puljak, will speak. Here you go, Mrs. Puljak.
ParlaMint-HR_2021-03-03-0.u37248	I thank the chairman. Dear colleagues and colleagues, as I said, the topic is a list of candidates for the program council, but here I'm going to start my debate here with a few suggestions. One proposal is to abolish the HRT program council. The second proposal is to cancel the subscription to HRT. And let's reform the third one, reorganize HRT as a public service, not a vote by the ruling party. Well, here we go in a row. The HRT program council, what is it and what does it serve? It is therefore one body from the body in the HRT which, by law, represents and protects the public's interest and implements the supervision of the programme, etc. Once the Croatian programme council was appointed, one member of the entire group of institutions, associations, unions, universities, so HAZU, Community of the University, Matica Croatia, Matica of Croatian emigrants, Association of Croatian scribes etc. was appointed to this programme council. etc., pension associations, civil, ecological initiatives, consumer associations, youth, peasant associations etc. Today’s amendments to the 2012 Law So this body has 11 members, 9 members elect a parliament from the ranks of recognised public intellectuals from various areas. According to their political views, they should be left over the centre to right, and the rest of them are selected by creative HRT employees. Since 2012 By amending the law, this body is completely without authority. As we have seen and heard here from the rapporteurs and reading the discussion report with the Information Committee, we therefore conclude that this programme council has no authority whatsoever, nor is anyone particularly excited by any criticism, suggestions, ideas of the programme council, objections to HRT's work. Have you ever heard that the hills were shaking if the programming council said this or what or made any criticism, was there any sanctions or any heads flying or what happened? So there's no veto or other tools available. They didn't meet, here's to answer someone's question when they last met. They haven't met since September. There was an initiative in October let's meet, the crown is, so let's zoom in, let's have various technical options, but the answer of the ruling was so it's all normal why we're going to meet, there's no need. So if the observations of that body are not taken into account, if there are no sanctions when they make any criticism, is the question justified whether the existence of such a body makes sense? So, I suggest we abolish it, initiate amendments to the HRT Act that this body is abolished. We save people time not to come without the need for meetings that are actually not meaningful meetings but debate clubs. Let's save ourselves time here to vote on these candidates for members of the program council and not lie to each other anymore and play no public interest. This will nicely confirm and cement what the HRT has long been, and that is, for a long time now, what is happening with our national tv, and that is that it has long become the party's voice in power. What's the evidence for that? Let's just look at the activities ahead of parliamentary or local elections now when there are increasingly frequent guests of prominent HDZ and government members, not only in the informative but also in the Mozambique's "Good Morning Croatia" shows. You remember the "Croatian Live" show that was abolished because there was allegedly too much politics on HRT and it needs a little more light content. Then, in such light content emissions, politicians, or ministers and members of the government, began to be brought to the table exclusively from the HDZ. Some investigative journalists have also made statistics showing up before the parliamentary elections, so it came out in the media in "Good Morning Croatia" 29 times from March to June, only in the central "Dnevnik" in the form of guest shows with significant minutes of ministers and prime minister performed at least 25 times, in "The Theme of Days" in the same period 30 times. Now here's before the local elections you can see the prime minister walking around Slavonia doing the prime minister's work, but in the end, he shows up with these penguins and what's behind it called HDZ, etc., so direct propaganda. Another interesting thing, who runs the Mosaic program that's being broadcast in the morning and afternoon, it's Mrs. Ana Milic, has something to do with or mother is the spokeswoman for the government, Mark Milic, I guess that makes it easier for her to make these shows. Remember this show by Roman Bolkovic, who was suddenly moved from midnight to half of April on Tuesday at 8 pm, and then at the start of the campaign, the HRT itself admits that it was a propaganda show. There are also business illogicalities, this year "Dora" was transferred from Opatija even though it was not necessary because of epidemiological measures, there could be no audience, so if there was no audience for what the cost, then go to Opatija, why not use HRT studio. The point of view, which measures ratings, is whether these data are relevant in terms of the method of measurement, HRT can sometimes be praised by viewing, however they fail to mention one important thing that these measurements are done in the way of research so-called. AD Scanner who is not relevant as another type of research, AGB Nielsen with whom HRT broke the long-term contract. Therefore, this current way measures household not individuals, which means that the end-user therefore HRT cannot make any relevant analysis from these surveys. The information program, i.e. informative media service, is under the authority of Katarina Periše Čakarun, and her husband is the highly positioned leader of SOA. I do not know a public service in Europe where this would not be unacceptable but not ethically and conflict of interest. Not to mention these scandals we just heard about, the cover-up of sexual abuse, nobody got too excited about it. We had the meetings of the Three Committees, the director of the HRT, if I won't repeat his unfavorable apology here, he is therefore without the knowledge of the National, Supervisory Board has enrolled HRT in the Register of Non-profit Organisations, only that is enough for someone to fly his head. The payment, HRT has 2800 employees and a budget of 1.3 billion kuna. Croatian citizens pay a subscription of 80 kuna, a while ago Bruno Kovacic said dead cold we would work with a monthly fee of 96 kuna wonders. So they're a little bit of a billion, and 300 million, they'd even raise that, so 96 kunas aim. The subscription as an imposition should be lifted for the citizens. This is a state with high taxes, we have enough tax duties to finance public service from these fees, but call the service when it really is a public service. This is now not a public service this is the ruling party's vote. There is no or no show in HRT that critically talks about the current situation except sometimes depending on the guest Sunday in 2 and the Labyrinth programme on HTV4. And this HTV4 programme, by researching the Agency for Electronic Media, is less than RTL cube or that kid's Nickelodeon. So, a channel that's designed as a news channel Pandan N1, unambitious, ineligible, unsightly. HRT, which lives annually from a billion and 300 million kuna not only does it not have a department of investigative journalism but also does not have a research magazine, for example. Check. And of course it's done on purpose. HRT doesn't reveal anything, journalism's been dug up there, the system's successfully turning into some kind of report agency that just says this one said this, this one said that. There is no, therefore, no question, no analysis, no question, no context. Mr. Bačić, Kazimir Bačić, as his first move, returned a contract that was annulled by his predecessor Radman because a million euro was paid annually to him. It's about renting an HRT5 satellite. Did you know that he had HRT5, that's that international channel that no one's looking at. And his excuse for that satellite is like he says in Paraguay, Uruguay doesn't have good internet connections, so we need a satellite for that. So, finally here I have a little bit more, we need HRT as a public service, we need a documentary program, education, science and culture, all of those non-commercial content, but we don't need a parafiscal imposition to finance it. The subscription should be cancelled. We don't need a big machine like this. We need to reorganize it. Only then would the programming council make sense. [[Intruder: Time.]]
ParlaMint-HR_2021-03-03-0.u37249	Thank you very much, time. I just need to ask you a few questions about Mr. Puljak and I in the future when you talk about penguins and when you gesture behind you, keep in mind that Mr. Bukarica and I are behind you, so please show us in some other direction. And on behalf of the promoter, he asks for the word Mr. Zeljko Pavić, please.
ParlaMint-HR_2021-03-03-0.u37250	Here, just to answer your finding that there was a sexual assault report on HRT without anyone responding. We had a session of 3 committees and at the meeting of those 3 committees we heard actually all, Mr. Director was online so he was in his house and he said there was no sexual violence in HRT. After that, we received a number of sexual violence reports. And at the next meeting of the Information Committee, we asked the question of what's actually going on here, is there a procedure going on? We also received a written reply from Mr. Director that he was conducting investigations. However, the fact is that none of the four members who can receive reports of violence have received a single application. In fact, by looking at the formal legal applications, they were actually going the other way. Since they did not receive these applications, we have concluded on the board that they may not be people to whom one wants to be entrusted by members of the collective, so we have suggested that an independent commission be established to determine whether there is violence or there is no violence. However, when we put that conclusion to the vote, that conclusion did not go away. There.
ParlaMint-HR_2021-03-03-0.u37251	Thank you very much. You have several replicas. He's the first respected representative of Mira Bulj, please.
ParlaMint-HR_2021-03-03-0.u37252	Thank you very much. When we talk about an esteemed colleague about the programming council, I think it would be nice for HRT's director to at least be present here, so someone from the Ministry of Culture, a representative of the government to be someone, we don't tell ourselves. And there's a great public interest in this public service, so I'd like to refer it to you as a proposer, of course, as well as to the president, and I'd like to ask here and send a message to continue this in the morning because it's of great interest. This is not transmitted by anyone, we're talking to ourselves, there's no HRT representative. I think it would be good for us to continue this important topic in the morning when the public interest of our citizens, the media, is to hear what we're talking about. This is how it got us locked up like we're in a camp, we're talking to each other, we're talking to each other, we're talking to a public camp, I mean, this is a Croatian assembly, an honorary home, but we're closed from the public, and we're mostly talking to ourselves, and it's sad that HTV4 doesn't carry all of this. in public service. [[Intruder: Time.]] That's it, thank you.
ParlaMint-HR_2021-03-03-0.u37253	Replication response.
ParlaMint-HR_2021-03-03-0.u37254	I think with that request and that request we should address the chairman, so I don't have an impact on that. And I'd like to respond to your findings that you should be head director here. The director-in-chief will be here when there will be a report on HRT's work, but again to inform you we asked that when will be the HRT report that, apart from the head of the plenary session, the chairman of the Supervisory Board and the chairman of the programme council will come. However, the proposal was also rejected so that only the editor-in-chief would be at the report's submission.
ParlaMint-HR_2021-03-03-0.u37255	Thank you very much. The next replica, the esteemed representative Bojan Glavasevic, come in.
ParlaMint-HR_2021-03-03-0.u37256	Thank you, Mr. Vice President. Here's counterpart Pavić, I'd like you to refer to something that my colleague Puljak mentioned in her debate, and as far as ratings are concerned. In fact, a colleague noticed well that HRT broke the contract with AGB Nielsen. They did so by justifying their time in the previous assembly meeting by saying that their figures, this research simply methodologically cannot guess. Namely, the figures were miserablely small and miserablely small and we are now to understand each other, but were there words on the board during the debate? So, HRT, if it really Fringes ratings or uses a methodology that could make their ratings figures look better, then it's just another one in a series of problems that this television has. Was that what it was about?
ParlaMint-HR_2021-03-03-0.u37257	Replication response, please.
