ParlaMint-HR_2021-02-18-0.u27257	You, too. Mrs. Andreja Maric will be the position of the SDP Representatives' Club. Here you go.
ParlaMint-HR_2021-02-18-0.u34803	Thank you. Another replica for you, distinguished MP Mrak Taritas, distinguished representative Tomislav Klaric. Here you go.
ParlaMint-HR_2021-02-18-0.u34804	Dear colleagues, you mentioned that we have a base problem and your debate has often led to politics, and I think it's wrong because there's no base problem at all. There is no city, there is no unit of local self-government in the Republic of Croatia that does not invest serious money in its clubs, in the school sports halls in the playgrounds, in the moments precisely in that part of amateur sports, if you see it as a base. If you are looking for politics to interfere, then of course politics will interfere in every city no matter where anyone is in power because each of us is in order to have a serious club, to involve as many young people as possible and to achieve the best possible result. I, for example, have a first-class player in basketball, I know who the president is, but I have no idea who the director is, who the coach is, what the political option is, but they're first-class leaguers in their domain. So he can't do it without each other and we don't have a problem with the base. We have a lot of other bigger problems, but the base is trust the least of the problems.
ParlaMint-HR_2021-02-18-0.u34805	Thank you very much.
ParlaMint-HR_2021-02-18-0.u34806	Thank you very much for your question, and you, as head of a local self-government unit, absolutely know how much of your budget you set out for certain sports or certain athletes and it is not good to have the same sport everywhere but to be different. When I spoke about politics, I spoke exclusively about the appointment, so one member of the National Council gives government and the government decides to make a public call. There were five candidates at the public call. Why was it not a choice for qualifications but a choice for a party card? Some things in life all have to get the same thing, of course when we die, we don't all get that kind of funeral reception, but everyone has the right to a funeral. It's equally rude to compare, but everyone should be entitled to something to participate and do something, but here when it comes to sports there shouldn't be a membership card condition for you to participate in something.
ParlaMint-HR_2021-02-18-0.u34807	Thank you very much. This is what we've exhausted these replicas of your exposure, we continue with individual debates. Next in line is Honorable Representative Zeljko Pavić. Here you go, Your Honor.
ParlaMint-HR_2021-02-18-0.u34808	Thank you very much, Your Honor. I'd just like to talk to you about a few things. Here, just before Mr. Klaric said we had no problems with the base, and before that I tried...
ParlaMint-HR_2021-02-18-0.u34809	Comrade Pavic, for a second, please advise that if you need anything to talk to you about doing it outside the assembly. Here you go.
ParlaMint-HR_2021-02-18-0.u34810	I tried to explain, in fact, that we're having trouble with the base and that's why we're having trouble with the base. In fact, if we are looking at the National Sport Programme, this national programme should include proposals for sports in the education system. And here, I don't think there's a problem, there are more or less accepted proposals, the problem is how much can be applied in practice, given that some schools don't have the conditions to deal with certain sports and then we have a problem. So these students actually fall out of this national programme, not covered by it. On the other hand, if we watch clubs, you said excellent local self-government very much money is out for sport in its midst. Right, but that money gives to who? The money is paid into the sports alliance, and after that, the sports alliance or city or county money deploys to clubs. Now, the question is, how honest is this key? And it's all right again so long as the club doesn't want to go to the high league competition. When it comes to the higher league competition, those kids who came here to play sports for their health simply fall out of the competition. So if they're not competitive what MP Selak said, if they're not particularly capable, if they don't have any special physical predisposition eventually fall out of play. And there's a little problem. I agree with you we have, in fact we give everyone a chance, but through this kind of categorization and through the competition one part of these people, or these kids, fall out of the game. When those in their youth are no longer able to deal with this sport, then unfortunately, they are not involved in any other sport anymore because their love has gone to the other side and there is no more happiness. However, regardless of what happens in such small clubs, we know that we have professional clubs that have the same problem again, and it is not the same criterion, which is that the amateur clubs draw the best players, these clubs remain without these players and then happens most often or very often that these players who have gone to large clubs are in competition to compete with pioneers, older pioneers later than juniors, and after that usually fall out of the game if they do not have a good manager. And there's the problem, there's the problem I see that in the national council and the draft national programme actually adapts to those kids who would like to play sports to improve health. Because these three, three things that should have a national programme are actually this part about the education system, the part about improving health and the top results in international competitions. Right? There. So that's the goal, these are the parts actually that this national program should have. Now, of course it happens that in local self-government some don't even watch what it says in that program, some of them can't adapt, some clubs have their own goals, but very often it happens that actually the sports alliance at the city level or at the county level, not how much of it I apologize for knowing what it looks like at the community level, but at the city level afterwards they have distribution by some percentages, most often it's how many kids there are in the club. And then what happens? The most money they get is clubs, football clubs, because that's where kids sign up. And regardless of what you have successful clubs in the local community, what you have, for example, table tennis players who compete in high league can't get money because the money went to football and there spent on, most often on those semi-professionals who pay to come play in that club. So I suggest and suggest here and the representatives of the ministry to do something about it and try to reconcile it somehow and that amateurism actually has a better and greater opportunity. Thank you.
ParlaMint-HR_2021-02-18-0.u34811	Thank you, please stay a little longer, you have a few replicas. First of all, she's the honorable representative of Kresimir Ackara, here you go.
ParlaMint-HR_2021-02-18-0.u34812	Here's a thank you. Dear counterpart Pavić, you mentioned the fair distribution of funds, I think it is very defined in fact by the Law of Sports that cities, political bodies and city councils when they bring budget and sports item that they must bring it down to the community of sports associations, to sports alliances, to the alliance of persons with disabilities and to what city in which the resources of sport have the wealth of these alliances. Also, we all know that members of these alliances are persons selected by the assembly and members who are members of the community of sports associations, in particular. So I'd be interested when you talk about fair redistribution, and I think it's a good law when a community of sports associations decides it, not a political body like it used to be, which is your opinion that it might make it even fairer and that are in short lines of steps that would lead to better efficiency and safer and fairer redistribution of those funds. Thank you.
ParlaMint-HR_2021-02-18-0.u34813	Here's an answer to the replica.
ParlaMint-HR_2021-02-18-0.u34814	First of all, I think there should be a plan to develop sports in the local community. You have all said well and local self-government makes a decision, the city generally makes a decision, money is paid to the club community or is paid to the sports alliance, and then it is decided to schedule it there. Now, there it seems to you that you know, if you were in a sports alliance or you were in a club community, you know what it looks like? The one who's stronger, the one who's clutching. Well, there's the problem. So those who are stronger and have more members, have more representatives, so they have more hands and they vote actually what they want. It often happens, we have several examples, that even the sports alliance makes a decision that one part of the assets is, in fact, separated for the sport, and the rest is distributed to other sports and that's all in accordance with the law. But inevitably then the other sports actually fail. I'm not just talking about football, it could be in another town and some other sport.
ParlaMint-HR_2021-02-18-0.u34815	Thank you very much. The next replica is the esteemed representative Klaric.
ParlaMint-HR_2021-02-18-0.u34816	So looking at my question, you actually confirmed my thesis, you just took one step because you went to identify professional and amateur sports in that part of the funding. I personally believe that every unit leader of local self-government must make sure that they enable their children in their field of sports and are invested in huge money. If you look at the budgets from all units of local self-government in the Republic of Croatia, then you could see what that amount is. For example, in my town, of 2 football clubs, basketball clubs, Bosniak clubs, shooting clubs, 2.5 million a year they spend and there is no question of spending because it is an amateur sport. Will someone from that club manage to swim in professional waters, then that's something else. But then there's a different model of funding, but I personally think that every unit of local self-government must and definitely must go into the insurance of assets for amateur sports.
ParlaMint-HR_2021-02-18-0.u34817	Thank you very much. Here you go. Replication response.
ParlaMint-HR_2021-02-18-0.u34818	Well, actually in that part I can agree with you as you've now explained it, but I'll tell you just one example. Here, let's say, when you're looking at local self-government units and watching football clubs. Children who go to school or maybe even a year before school come to football clubs and almost boys come mass. After that, what's going on? Big selection and they're out. And then when you have a competition, a football competition between, say, municipalities or some of those clubs, you don't have those kids, but when you watch a competition that happens in youth sports games, you have as many kids there as you want. So they're self-organizing, and that's how they deal with sports. It's no longer in the jurisdiction of clubs that should actually lead them healthy, to be, to develop normally. That's the problem.
ParlaMint-HR_2021-02-18-0.u34819	Thank you. And another replica, the esteemed representative of the Dark-Taritash. Here you go.
ParlaMint-HR_2021-02-18-0.u34820	Thank you very much, well-respected vice president of HS, dear colleague Pavić. What you're discussing is equally evident and I think we should insist on the importance of sports. The important thing is that both children and young people play sports. We always see football, but how many hundreds of thousands or millions of football players at world level played football, and they never came up with the results we see. So that's the base, that's sports. I remember well in my youth, which was long ago, I grew up in a small town where there was a basketball championship between high schools. I think there were more players in that basketball championship between high schools than there might be today at some championship game. So sport encourages and not only to deal with young people, but even events in certain environments, and that is important, we should influence and discuss it and talk about it. Thank you.
ParlaMint-HR_2021-02-18-0.u34821	Thank you. Here's an answer to the replica.
ParlaMint-HR_2021-02-18-0.u34822	Of course, it's a big problem because when the clubs determine they're going to go to the high league, then they start buying players that aren't from that community, the players come from outside, and they don't really want to watch. That's the second when you're the first league, when you're the second league in some sport, then you still have viewers on the side that are interested in that sport. But lower leagues of competition, when you watch, even football, here's the third league, Thursday, who's watching it anymore? No one's looking. Except for the parents, except famous friends who come to the games and then, if you have local players from that place, you come to the games. Here, I have a son who started playing football when he was 4.5, here he is, already engaged in sports for 16 years, I was almost at all the games. No matter where he was. However, you have parents when a child goes to someone else, some other city plays, no longer shows up and that is, these are problems because there are no more parents or interests to include his child in sports activities, if he was once kicked out of the club because of the competition that came from outside.
ParlaMint-HR_2021-02-18-0.u34823	Thank you very much, Representative Pavic. Let's move on with the order of individual debates. Next up is Honorable Representative Miro Bulj. Here you go, buddy.
ParlaMint-HR_2021-02-18-0.u34824	Thank you very much. Secretary of State, colleagues and colleagues. When we talk about sports, it is important to talk about the appointment of people who are key people for sport, and we, as Parliament's sports representatives, have a lot to discuss. I can only say that, and what has been mentioned by my colleague Rasudiæ and Taritash and everyone who mentioned before me, that it is very important that children's sport, the youngest and recreation. How unequal is i.e. Imequately in the Republic of Croatia for children's sports activities, which would allow you to write books, a respected secretary of state. You know, in what Ivo Sanader has broken huge money, and today we can't get out of it, these are arenas that cost me no idea how much they're not worth, while other children in 2/3 of Croatia don't have the terms of the gym sport, and these gaps are empty, untapped and burdened with Croatian sport. They are burdened with Croatian sport because then these political elites criminalized our sport because 2/3 of Croatia remained for it. And I'll be a little more positive now. I don't know, when we talk about sports, I come from the Cetin region, we have in the southern part of Croatia the most beautiful track, it's familiar to you, that should be invested in horse sports. It's not just Sinjska alka in Sinj, Cetina krajina, but a pit stop where best races, horseplays and this sport can be held. However, very little is invested in this sport. We have, further we can speak here is the pool of Olympic dimensions first in the former area, the former state in 1953. Made, in that pool, unfortunately to this day, that pool is not covered, it was not invested, but although the people of these parts are down there all have the option, such genes, that it can deal with that sport. When we mention this area, I have to tell you, it's not just Alka and Our Lady famous Cetin area, we have a sports airport that used to be an airport that could be invested in parachute sports and we have a good club together Sinj-Split where these flying sports that can be very important in tourism can take place. And that state has to help because those tourist brands are horse sports, flying sports. However, when we talk about Sinj, of course Sinj is the city of basketball, it is the City of KK "Alkar" which was in the finals with Bosnia in 1982. at that moment, players led by Stipo Vrcan, Croatia's best coach for a long time, when he... came to the finals played in Metkovic in basketball where "Alkar" fought at the time was second, but it was a world miracle at that level. However, it is little known that we promote this sport and hope that this council will promote it. I don't know, a few times I've been saying that it's a crib of football, everyone would say it's England. The cradle of football is a cetin end, in the 2nd century it was admitted by the FIFA and published in 1967. Publicly that the first football was played in Sinj in the 2nd century i.e. in Telje, more specifically in Trilje, but in Sinj busts in the 2nd century where the seven-year picture of Gaia i.e. The statue of Guy Liberius is six inches high, and we don't use it. That's what FIFA admitted, it was published in the biggest magazines in 1967. Son's crib is the most important thing in the world. Who knows? Are we in this as the Sports Federation, as the National Council that promotes this promoted it as a tourist brand? For example. When we were second in the football world, it was the first sport that had promoted Croatia but then the tribal took advantage of the moment and said that Croatia's cradle of football after the recognition of the FIFA in the 2nd century and it was recognised by the FIFA, and we use it very little, and very little here we colleagues talk about it and we know it, but it would be a tourist and sports brand and our Council hope to do it together with you to brand and in the world that the cradle of football is Croatia, namely Sinj, Cetinski end and part of Trilja. Thank you very much.
ParlaMint-HR_2021-02-18-0.u34825	Thank you, dear colleague. Before we go to replicas, we have one violation of the Rules of Procedure, the honourable representative Boris. Here you go. What did the Rules of Procedure get hurt in?
ParlaMint-HR_2021-02-18-0.u34826	Thank you very much for the President-in-Office of the Parliament. Art. 232. and 238, which speaks on the subject of the agenda and the speaker and the chairman, and indeed this doesn't make any sense anymore. If we are going to discuss the National Sports Council with the resolution and appointment of new members, i.e. Only one new member then could really tell us all, today is a theme sport and then discuss everyone about their own, every sport and in every way. This really doesn't make any sense anymore that one point that should last for 15 minutes, maybe minutes today, we're discussing it in a way that everyone's discussing what they want, everyone's saying what they want, and then, of course, they feel bad because we're just not allowed to do it. Then say the theme is sports and then we'll discuss sports in all kinds of ways.
ParlaMint-HR_2021-02-18-0.u34827	Thank you, dear colleague Boric. First and foremost, you were the first to hurt the Rules of Procedure because you exceeded your time by 22 seconds, and I did not deliberately warn you to see how far you would violate that Rules of Procedure and please do not do so again. Secondly, it is true that fellow Bulj as well as some colleagues before him did not strictly and exclusively hold on to the subjects of the session, which is the proposal for a decision on the resolution of part of the National Council members, as well as on the appointment, but this is about what fellow Bulj was talking about to members of the National Council in some way we cannot separate it from sports, from sports policy in the Republic, and here I will now say about freedom, was with his colleagues Bulj in the previous action in the Assembly much greater deviations from the subject or not even keeping the topic at all this time, but regardless of it I do not judge only by him. We often go a little wider, but you can't say we didn't stick to a strict subject. My assessment is that the Rules of Procedure have not been harmed. ... I won't give you or my colleague Bull. [[The intruder doesn't understand.]] We have another breach of the Rules of Procedure, Comrade Bull. Here you go.
ParlaMint-HR_2021-02-18-0.u34828	Thank you very much, Madam Vice President. A colleague was injured by an officer. 238. Because he told the truth that I was speaking out of the question, that the National Council and the appointment of sports, I was talking about the framework of that.../The speakers speak at the same time./...
ParlaMint-HR_2021-02-18-0.u34829	I've already said it, I haven't warned you, I'm not a colleague of Boric. I warned you and him, and I beg you not to move on now. That. [[Intruder Bull: Good.]] Dear Representative Selak Raspoudić, what is the injured Rules of Procedure?
ParlaMint-HR_2021-02-18-0.u34830	Art. 238.Bosic downplayed the work of all MPs, including those of HDZ, because he pointed out that discussions in the Assembly are being conducted in order and should last, for what, 15 minutes and thus devalued this most important institution in the country by avoiding the substance debates. If we had received a report on the work we might have discussed more about the National Council and less about sports as such.
ParlaMint-HR_2021-02-18-0.u34831	Thank you very much. I won't give you a warning. Let's go, we're done with the Rules of Procedure's injuries, we're moving on with the replicas. Dear Representatives Selak Rasudiæ your replica on the presentation of colleagues Bulja. Here you go.
ParlaMint-HR_2021-02-18-0.u34832	Coli Bulj, you were talking about sports within Croatia, we are aware that the unequal opportunities for the ability to deal with any sport, the basic problem of not having equal representation in sport and then in top sports, in different parts of Croatia. What do you think the state should do to fix this situation at the level of the mountain and to allow poorer parts of Croatia to be good at sport, strengthen their predisposition and thus help our country with future top sports results?
ParlaMint-HR_2021-02-18-0.u34833	Thank you very much. Here you are, the answer to the replica of my colleague Bulj.
ParlaMint-HR_2021-02-18-0.u34834	Thank you very much. I think that would be the main role of those who have been appointed, who have so far worked evenly in all areas of the Republic of Croatia each child has the same ability to practice sports, but the fact that the megalomaniacs who had had halls, which were made, arenas, I don't know how many were, money was spent and they are not optimal, they can't be, they're not self-sustainable and it's a huge money today. Split, Zagreb and numerous other cities where it was born, are investing through sport to the harm of sports and children, however, it is a fact that most children in the Republic of Croatia, outside of large areas, do not have the ability to deal with certain sports because there have been fewer halls for children, in undeveloped areas, that they and their parents remain, and that should be the main goal, the main goal and the secretary and, of course, the National Council, of course, that this might be better explained by Snjeguljica or Pahuljica of our prime minister but will have time.
ParlaMint-HR_2021-02-18-0.u34835	Thank you very much. We're moving on, next replica, distinguished replica, Nino Rasdic, here you go.
ParlaMint-HR_2021-02-18-0.u34836	Dear colleague Bulj, you had every right to extend this subject and give one and wider but also a more local context. Namely, the word parliament comes from the Latin, late Latin parlo parliament, which means to speak. We're here to talk, talk and spread the context, not narrow our speech and tell us what we can talk about and what we can't talk about. So we're here to talk, you're talking, and good for you. What I'm interested in, we can practice economics, but there are good examples, we were just talking about this phenomenon of NK Osijek, which is a successful sports story in the city and the end that has very many and economically and demographic problems. So where there's a clear vision and where there's at least a few people who can do the job, run a sports club, manage, the result comes. It seems to me in the Cetina region, as you said, football cradles, that we should work on where tradition exists, which is to develop horse sports and work more with young people in other sports.
ParlaMint-HR_2021-02-18-0.u34837	Thank you very much. Here's your reply to the replica.
ParlaMint-HR_2021-02-18-0.u34838	Well, yeah, I think it should be a role to take all these potentials we have, the National Council and the Ministry of Tourism, i.e. This part of the sport, that it invests in that part and it can be sport and for children, the horse sport however Sinj has an old NK hero through which many famous players went through, in 1916, of course they played in the big clubs of Zambata, I don't know how to mention them, Jerkana Nikola, Balajica and so there were football players who went through, but I would only briefly say that the sport and capacities we have and potentials in the Republic of the region must be decentralised. It's not just 4, 5 key cities all over the world. What Hajduk and Torcida is for Split, perhaps nowhere like this on the world of love, but is this the best fashion, I am Hajdukovac, Torcidas, but these parts, too, are tripling to experience the decentralisation of funds and I expect that the National Sports Council will do the same... State Secretary. [[The speaker doesn't understand.]] Thank you very much.
ParlaMint-HR_2021-02-18-0.u34839	Thanks, buddy Bull. With this we have exhausted individual debates, we are left with a final word on behalf of the Club of Representatives Mosta registered the distinguished representative Marija Selak Rasudiæ, please.
ParlaMint-HR_2021-02-18-0.u34840	It is no problem that we do not have a report on the work that makes it impossible for us to make a quality contribution to the debate on which people we can or should not trust to be members of the National Sports Council as the most professional body to care for the development and quality of sports in Croatia. It's not a problem, it's normal for the Parliament to work. But the problem is if the debate in the Assembly goes further than necessary to see individual parliamentary representatives. And it's clear why that's the problem. Because not everyone is sitting behind these benches willingly, some are obviously sitting behind these benches on assignments, so they don't care if this debate lasted 15 minutes as long as they assumed they could complete their task of unprofessional supervision at the work of parliament, or if they went further and they still can't move out of place. It is a problem of discipline and solve it within your within parliamentary democracy and leave this body to deal with what it does, to discuss sports, about the National Sports Council and its work. But I will only conclude this part of the team, add that this violation of the debate and the attempt to dictate what is allowed and must not be discussed, and the most double criteria now become a systematic practice in the work of this Parliament, because I received two warnings yesterday and was warned that it should not go beyond the scope of the amendments and the addition of the Civil Protection Act at the moment when it was estimated that this was going in a dangerous direction of criticism by the authorities, while later when all parliamentary representatives of the ruling majority continued to talk about whatever civil protection was concerned, the warning was no longer there. We'll see how this conflict in view of democracy ends. Anyway, we're not giving up on her. I will return to the scale of the debate which the National Sports Council should do and what we expect of it in the follow-up to its work so that we can confirm its members. The National Sports Council will have to deal with the development of sports in the context of and action within the crisis, as well as the consequences of this crisis because sport was one of the most affected activities during the crown. The National Sports Council sees that there are certain colleagues who do not receive a warning but who believe that they should also debate within the parliamentary benches instead of the parliamentary speaker, but it is again your view of parliamentaryism and your view of what democracy should look like. It's probably like shouting from the assembly clubs instead of talking in the civilizational frameworks of this Rules of Procedure and behind a pay phone from a colleague, Boric. The National Sports Council should also be careful that the way it appoints its members, a way that includes social sensitivity and inclusion of different social groups, is also implemented in sport practice, but also affirmation of positive social values so as not to exclude individuals who do not have the same biological predisposition from sport and society as such. So these are some of the tasks that we expect in the next meeting with the National Sports Council, and in the next meeting with the debates in this assembly we expect a little more democracy and a little less of its exercise.
ParlaMint-HR_2021-02-18-0.u34841	Thank you, distinguished representative Selak Rasdic. I could now give you half a warning, because half of your time as planned for the final word is actually used on something that is not a topic of the agenda but has been imposed as a topic in the last minutes of the debate, but until we determine some principled approaches with which all of us who are chairing the session will define what is the topic, and what is not the topic of the agenda, and then even the criteria under which we will share notices on the topic of the agenda, I will not, because I am no longer freer, freer debate because if we go into this statement of a reminder for every word that will come out a little bit from the title of the agenda topic, I am afraid that this will not get us far away, therefore. We close the debate on this item on the agenda, we'll vote on it when the conditions are met. I would like to thank the representatives of this committee for their arrival and continue with the next item of the agenda.
ParlaMint-HR_2021-02-18-0.u34843	We continue with the next item of the agenda, which is: Report on Free Zones in the Republic of Croatia in 2018 The proposal for an act is by the Government of the Republic of Croatia on the basis of Article 25. The Free Zone Act. The discussion was conducted by the Committee on Economy. Would the applicant's representative like to give an additional explanation? You want to come with us, state secretary Natasa Mikush Zigman, and I ask her to take the opening statement. Here you go.
ParlaMint-HR_2021-02-18-0.u34844	Dear Madam Vice-President, esteemed MPs and MPs, so before you there is a report on the business of free zones in the Republic of Croatia for 2019. The report shall be submitted in accordance with the Free Zones Act and for the purpose of obtaining a full picture and understanding of the concept of free zones, the report at the beginning shall contain a presentation of the legislative framework for the establishment and operation of free zones in the Republic of Croatia, and the central part of the report itself shall contain data on the business of each business zone, free zones in particular, while that last part of the report refers to graphic images with comparison of business with the previous year means on the 2018 basis of the number of users, employees, income, profits, exports and other criteria. For each of the free zones, the report also contains business data from 2015 to 2019. Thus, looking at the above data suggests that there were 8 active free zones in Croatia in 2019, 4 of which are land-based and 4 ports of free zone. The Kopnene are Vukovar, Osijek, Zagreb and Škrljevo, while the ports of the free zones are active in Pula, Rijeka, Split and Ploča, so for the 19th year. If we look at the aggregated data on the business of free zones, then we can say that 71 users operated in free zones in 2019. The number of users compared to 2018 decreased by around 20%. For users of free zones, 2,817 workers were employed or 2.4% less than in the previous year than in 2018, and on average 352 workers were employed per zone. The difference in the average number of employees, since it exists for users in land and port free zones, also points to the different core activities of these companies, since the ports of the free zones are primarily intended for accommodation or for accommodation and cargo of goods, while land zones are engaged in and produced. If we look at the financial indicators of the 2017 free zones, then it can be seen that 1.69 billion kuna revenue or 14% less than 2018. As a result, profits were made in the amount of 166,35 million kuna or 10.6% more than in 2018. According to exports in total revenues, it can be said that these exports are 54%, although there are again significant differences between port free zones and land areas. In port, the share of exports in total income is high and is 77.5%, and in land free zones the share is 20%. The beneficiaries of a concession for the establishment of land-based, therefore not port-based but land-based zones have a obligation to pay concession fees and in 2019 there was a obligation to pay concessions of 774/94 kuna, which is a little more than 30 % more than that in the previous period. However, on this occasion I would also like to say that in May 2020, although this is beyond the reporting period of this report, it is important to note that, therefore, the amendments to the Free Zone Act have been abolished, in fact, the obligation to pay concessions for the establishment of a free zone, and the purpose of this amendment was to facilitate the business of the economic operators of concessions due to the difficulties resulting from the root of the crisis. In free zones, business is suitable for those companies or users operating with third countries, whether they are engaged in production or that the capacities of these free zones are used as a warehouse for the goods they operate in their business processes. If we look at the overall business results, then we can say that the free zones continue to operate after Croatia's membership in the EU and in those locations where there is an interest of entrepreneurs in such a business regime or where entrepreneurs operate with third countries exactly as I previously pointed out. And in other areas where such an interest does not exist, they generally turn to other models, such as entrepreneurship zones, as defined by the Law on the Promotion of Entrepreneurship Infrastructure. And here is the conclusion, we believe that this report gives a realistic view of the business of the free zones, contributes to the visibility of this segment of the business environment and we propose to the Croatian Parliament to support this report. Thank you very much.
ParlaMint-HR_2021-02-18-0.u34845	Thank you very much, please stay behind the pay phone a little while longer to respond to the replicas. The first of them is the distinguished representative of Mr. Kresimir Ackhar. Here you go.
ParlaMint-HR_2021-02-18-0.u34846	Thank you. Dear State Secretarys, therefore, there are 72 free zones throughout the EU, you yourself mentioned 11 in the area of the Republic of Croatia. How realistic is it to have so many free zones if we have one piece of information that one big France has only two free zones? Thank you.
ParlaMint-HR_2021-02-18-0.u34847	Here's your answer.
ParlaMint-HR_2021-02-18-0.u34848	Thank you very much for your question, so this is certainly the result of the fact that Croatia is the last country to join the EU and that in one part of course there is still this traffic with third countries. Surely in a smaller proportion than in other EU Member States, however, there is a trend in the reduction that is precisely reflecting this fact that our main market is right in the EU area. So the trend is to reduce such business activity.
ParlaMint-HR_2021-02-18-0.u34849	Thank you very much. Next replica, the esteemed representative of Gary Cappelli.
ParlaMint-HR_2021-02-18-0.u34850	The President-in-Office, State Secretary, in this individual review of so-called free zones for 2019 is a specific report that is likely to be said in some ways not to be excluded, but on the side of the view in terms of areas which are under the authority of port administrations. Therefore, they are specific to those on land, and they are still bound by the Law on Maritime Good and Seaports, Article 50, and they are also specific that we can not charge this concession or what it is like. Therefore, additional consent holders are not real payment bonds for the establishment of free zones in the port area. So a little bit of explaining to me that part of the difference between one and the other is precisely because they don't pay between the other and the bonds are according to the law, so regarding the operations of the port administrations where the institution does not.../incomprehensible/...
ParlaMint-HR_2021-02-18-0.u34851	Thank you, time. Here's an answer to the replica.
ParlaMint-HR_2021-02-18-0.u34852	Thank you very much. Well, yes, I think that according to the report, there is also a clear difference in the scope of business activities between port zones and land zones, so the future land areas are primarily engaged in either the production or trade of food with third countries, production for trade with third countries or used as warehouses in their business processes. In the port zones, we can say in a way that they are the real free zones. They receive ships, they carry loads of cargo, they are in the right sense a transit zone as they are in some other Member States, such as Rotterdam in the Netherlands and there is no production there. However, we see that there is one perspective here, especially regarding the port of Rijeka, which can, of course, take a significant place in terms of the port of entry towards the countries of Central and Eastern Europe.
ParlaMint-HR_2021-02-18-0.u34853	Thank you. The next replica, the esteemed representative of the Habian. Here you go.
ParlaMint-HR_2021-02-18-0.u34854	Thank you very much. Dear Secretary of State, here is the fact from this report for 2019 that the number of users within the free zones is falling, which is logically going to take into account what you yourself said about Croatia entering the EU. However, it is evident that users, therefore, continue to operate in that area by leaving the free zones or using the institutes provided for by the existing Law on the promotion of entrepreneurship infrastructure such as the entrepreneurship zone or some other entrepreneurship support institutions. Therefore, they could say in view of these certain geostrategic changes, i.e. by exiting the Republic of Croatia to the EU and the application of these other Institutes of the Law on the Promotion of Entrepreneurship Infrastructure, that the decline in numbers within free zones is, therefore, expected in some way.
ParlaMint-HR_2021-02-18-0.u34855	Thank you. Replication response.
ParlaMint-HR_2021-02-18-0.u34856	Thus, customers themselves, or companies, many of whom are property owners in free zones, decide whether they have an interest in this type of business. In fact, what can be considered positive is that they are not, therefore, exempt from certain duties, customs and tax duties, but are made easier by the conditions of business, but on the other hand they have certain administrative obligations which do not have other companies directly located on the EU market. Therefore, it depends on the users to decide which business regime and whether they will actually come out of such a business regime and, therefore, very often, they are heading towards entrepreneurship zones, so they remain at the same location but are changing the regime in which they operate.
ParlaMint-HR_2021-02-18-0.u34857	Thank you very much. Next replica, colleague of the Dark-Taritash.
ParlaMint-HR_2021-02-18-0.u34858	Thank you very much, esteemed Vice President of the Croatian Parliament. Dear Secretary of State, we have the opportunity to discuss a report and every year we have the opportunity to do so and compare what happened in the past period and see where it goes in the future. So, free zones have their own history and I'm sure they have their own future in a certain part because it's about areas that are mostly communally equipped, in which we have property defined and nothing is carved into stone, that means there's going to be some other stuff and some other examples. So of the 11 free zones that are listed here, we actually have in function 8. Three are out of order. So you, the ministry, have already come up with some kind of request or some kind of story that could happen in three free zones that aren't functional, which they decided not to be but which I'm sure has a certain future? Thank you very much.
ParlaMint-HR_2021-02-18-0.u34859	Replication response.
ParlaMint-HR_2021-02-18-0.u34860	Thank you. First of course, we need to resolve their status, and we know that the reports of course are being resolved in the process of trade courts, here we are now, over a certain number of years, at the discussion, the Committee on Economy has asked the question, right, it seems to me about the Krapina-Zagorje free zone, and we have therefore asked for that information, and we have learned that all the documentation has been submitted, in court, the process of winding up practically before the end, but there has been some delay because of this situation with the coronary virus, and we believe that exactly where there is no such other kind of infrastructure, as I have said, an interest in such a business regime in terms of customs and tax relief can be made to go to other types of business, and through here, if you allow me, through European means we are also encouraging exactly the other types of infrastructure, so far, so far about a billion kuna has been put at the disposal right to improve the entrepreneurialinfrastructure. which is available to entrepreneurs. [[Intruder Voter: Thank you.]]
ParlaMint-HR_2021-02-18-0.u34861	You may have opportunities to end up in response to other replicas if you have forgotten something. Next up, distinguished representative Grozdana Peric, please.
ParlaMint-HR_2021-02-18-0.u34862	Thank you very much, Vice President. Respected secretary of state. So here through the indicators you've shown us for the 2019 free zones, there's a huge disproportionateness in investments in certain areas, relative to the traffic that is being made. Is this and do you think that this is actually a consequence of a completely new relationship between us and the EU and the free zone status at all and the meaning of free zones in relation to the previous period?
ParlaMint-HR_2021-02-18-0.u34863	Replication response, please.
ParlaMint-HR_2021-02-18-0.u34864	Thank you very much for asking. Of course, the importance of free zones in the previous period or before membership was slightly higher, due to the very status of the Republic of Croatia in relation to the market, the EU common market. Here we might just look at the data, so if we look at how many of them we're dealing with production versus, say, stockpiling goods, I can point out that 14 zones are in production, excuse me, according to the number of entrepreneurs, that's the data, so 46 entrepreneurs are in storage, in the storage segment, so it can be said that there's some kind of leverage on this second part. We would prefer, of course, that the shift in the production work, and this may show certain trends in terms of repurpose or change in the way users themselves operate in free zones.
ParlaMint-HR_2021-02-18-0.u34865	Thank you very much. And the last replica of your opening presentation, the distinguished secretary of state, colleague Željko Pavić, please.
