ParlaMint-NO_2017-10-25.ana.ud320e28	The representative, Nina Sandberg, will put forward a proposal for a representative.
ParlaMint-NO_2017-10-25.ana.ud320e1262	I believe we have a good code in Norway, and that the foreign agencies are entitled to assess the individual cases. I am very concerned that when you receive a refusal and that is the basis for sending people out, yes, they will be sent out, no matter who it may be. It's about justice in the system. The fact that those who are refused are returned is part of having a strict and fair system. That's why I think this is something we have to keep going, and then we're going to take good care of those who get to stay and stay, and integrate them in a good way.
ParlaMint-NO_2017-10-25.ana.ud320e1267	For the next question, we're going to have to re-order because we're missing the Council of State Søviks. So we move on to question 14 from the representative of Liv Signe Navarsete to Minister of Justice and Defence Per-Willy Amundsen. We'll wait for Søviknes.
ParlaMint-NO_2017-10-25.ana.ud320e1275	I allow myself to ask the following questions to the Minister for Justice and Security: ‘Detentional prisons have been ordered by the Labour Inspectorate to demolish an old set-aside that is used by offices and shops in prison before 31 December 2017, as it does not comply with the HMS requirements and fire regulations. Vik Municipality has set aside new areas for consultation, but the Directorate of Criminal Affairs will have temporary solutions. Will the Council of State make sure that boards are replaced by new locals rather than using millions for temporary measures, and that this happens without already reducing the area of airing and activities of the inserts?’
ParlaMint-NO_2017-10-25.ana.ud320e1284	Crime prevention has a major maintenance role and therefore has challenges both in terms of maintenance and investment needs. It requires strict priority both for the Directorate of Criminal Welfare and for the Ministry of Justice and Defence in the context of the financial framework. The Ministry of Justice and Security has entrusted the Directorate of Criminal Welfare with the task of developing a concept selection inquiry for criminal enforcement capacity in the West. The work on this is expected to start in the current year, covering the counties of Rogaland, Hordaland, Sogn and Fjordane as well as More and Romsdal. The Labour Inspectorate, as the representative of Liv Signe Navarsete points out, has given Vik prison time to 31 December of this year to end the use of existing premises that do not comply with public requirements. State-building works actively with replacement rooms in the form of new wrecks in a suitable place within the existing property of Vik prison. The Directorate of Criminal Welfare expects this to be done during 2017, to replace the current premises, which are not satisfactory. The establishment of new permanent premises will require a new land area. A decision on the purchase of new land to Vik prison must be seen in the context of the work of the concept selection inquiry on criminal enforcement capacity in the West. Once the draft selection examination has been carried out, the quality assurance shall be provided within the regulatory framework applicable to large-scale State investments. The government will return to the priority of actions in the West, allocation needs and progress. This is done naturally in the context of the annual budgetary processes.
ParlaMint-NO_2017-10-25.ana.ud320e1291	I thank you for your answer. It is four years since the Labour Inspectorate first imposed it, it came in 2013, and one has said that fines will be imposed that will amount to NOK 720 000 per year if one does not now make repairs. So far, the lease has tried to stop these with the reason that one is working on finding solutions. The management has also repeatedly pointed out that there is no room for replacement buildings that build up too little open space. It will affect their deployment possibilities for activation and aeration. And Vik Municipality has set aside the finished regulated area east of prison. If these challenges had been in other, central parts of the country, they would have been solved in the best way in 2013, but with the policy of this government there is reason to fear that in the future criminal services will only be run in key directions. One has for a long time trained these plans to expand prison with 30 new closed places. I ask again, how will we achieve concrete progress that will solve this challenge?
ParlaMint-NO_2017-10-25.ana.ud320e1300	I am not at all familiar with the representative’s description of the government’s policy – rather on the contrary. Now that we're clear that we're going to set up a concept selection investigation for the Western criminal services, it's just to take care of those parts of the country and make sure that we have good restitution capacity and good restitution conditions there as well. Similarly, there is a similar investigation of the concept of selection for the East. From the government side, this is something that we're most serious about, but we need to see these relationships in context. Much of the capacity that exists today is old and should be seen in that context. It is important to put in place good facilities for the future. Then we have to see it in context, and we do it through our work.
ParlaMint-NO_2017-10-25.ana.ud320e1305	I thank you again for your answer, which did not provide much more information. Today there are 431 vacancies in Norwegian prisons. Norway purchases 242 places in the Netherlands. Price per day in the Netherlands is NOK 3 300, while he is approx. NOK 2000 in Norway. This is a policy that one must also see in the context of the development of settlements – not least in prisons in district areas, such as Vik Municipality – and a policy that leads to more and more prisons being neglected in Norway. It's not adjusted, it's not allowed to expand in any of the places you want. Instead, an unnecessary amount of money is spent on buying prison places abroad. Will the government now change this policy and ensure that we have good settlements in Norway for our deployments, which also leads to local jobs?
ParlaMint-NO_2017-10-25.ana.ud320e1314	At best, the description given by the representative of the government's policy in this area cannot be described as anything but a little special in the sense that it is the true opposite we have done. With this government we have managed to wind up the reconciliation queue. When this government joined, it was approx. 1 200 in pay queue in Norway. The current number per second is approx. 157. Thus, the reconciliation queue has been terminated. It is not least because we created the capacity we got in the Netherlands, which has also given us a room for refurbishment and upgrading of existing capacity, which would otherwise have been impossible without further increase in the prison queue. If there is an area where there is very little reason for the opposition to criticise the government, it must be this area in particular. It's about the fact that we've delivered the most. We have closed the settlement queue, and it is precisely because we have used temporary places in the Netherlands.
ParlaMint-NO_2017-10-25.ana.ud320e1321	We then go back to question 12, from the representative Arne Nävra to the Minister for Oil and Energy.
ParlaMint-NO_2017-10-25.ana.ud320e1329	«At present, there are no ports providing shore-side electricity for large cruise ships. Norway should take a leading role in this work, with high cruise traffic and ambitions for green shipping and reduced greenhouse gas emissions and air pollution. Will the government ensure sufficient support from Enova for the deployment of shore-side electricity to all ships in all major tourist ports?’
ParlaMint-NO_2017-10-25.ana.ud320e1336	The government is committed to facilitating the flow of land in several Norwegian ports. It can both reduce greenhouse gas emissions and improve air quality locally. Enova, like the questioner, is our central tool in the effort to reduce Norwegian greenhouse gas emissions and develop the energy system of the future. This is why Enova has been strengthened over the last few years, and in 2018 a total of 2.7 billion has been proposed. kr. In recent years, there has been a great deal of effort on the part of Enova. A few years ago, only some ports had shore-side electricity available, but since 2016 Enova has completed four rounds and allocated more than 340 million. SEK in aid for a total of 50 shore-side electricity projects. Enova’s support has been designed as competitions – for projects with the highest potential for greenhouse gas emissions cuts and with a device to maximise greenhouse gas emissions reductions per support crown. I think it's an important approach. When we spend taxpayers' money on these kinds of measures, it is important that we have the greatest possible impact, and this is in this case the greatest possible cut in greenhouse gas emissions. First, shore-side electricity is built with the largest use time and the greatest effect compared to the amount of aid. When it comes to cruise traffic, it is peculiar to require particularly high power in order to connect cruise ships to the mains power source, so in addition to the connection itself, it is important to have sufficient power. This means that high infrastructure costs are often incurred. The costs are increasing at the shore power plant itself. In addition, it is of course necessary for shipping companies to make their conversions in order to be able to link ships to shore-side electricity. Animal farms combined with low service life for some cruise ports — especially during the summer season and not the rest of the year — have so far not reached the competition for Enova aid. However, much is happening in the maritime sector. We have a long tradition in Norway to be at the forefront of advanced technology. And as pointed out here from the questioner, green shipping will also eventually have to include the cruise industry. Enova's going to continue his bet. The government is facilitating greater activity through Enova once again with the appropriations now available, and I hope that there will also be good projects coming forward that will benefit the cruise industry.
ParlaMint-NO_2017-10-25.ana.ud320e1351	I thank the Council of State for the answer. I guess that's about what I was expecting. Just to illustrate the extent: there are now almost 700,000 cruise tourists in Norwegian fjords annually, over 300,000 only in Geiranger. A cruise tourist is the most polluting of all tourists – only with regard to CO 2 it is more than three times as much emissions per passenger kilometre as with the use of a private car. In order to really capture this release into the air and remove the colossal pollution caused by these ships in Norwegian fjords, the only solution – as we see it – is in the long term to get shore-side electricity during the stay, which SV has taken up several times. Applications for shore-side support for cruise ships have been made to Enova, among others. from Bergen, but Enova himself says that they don't have the means to support such large projects, just a number of smaller ones, just like the Council of State so far. Will the Council of State increase this pot at Enova to ensure that ports can actually make the necessary infrastructure changes to facilitate shore-side electricity also for larger ships such as cruise ships?
ParlaMint-NO_2017-10-25.ana.ud320e1363	Now, on the government side, we control Enova through a working agreement between the Ministry of Oil and Energy and Enova. It is important to make maximum use of the funds made available, both in terms of emissions reduction and the development of new technologies, that Enova has great freedom to develop and prioritise between the programmes to be presented to the industry, between the technologies to be developed. We're not inside the government, on the part of the Ministry of Oil and Energy, and specifically determine different parts of the budget for Enova. We give a framework, based on what the Stortinge grants in the state budgets. That being said, this is a theme that I know there's close contact between a number of cruise ports and Enova about, and that dialogue will probably continue.
ParlaMint-NO_2017-10-25.ana.ud320e1370	I thank the Council of State for the answer. Just to say a little bit about the prospects here: it pays to be in advance of evolution. The number of cruise tourists is also expected to double within 20 years, according to TØI estimates. The greenhouse gas emissions from ships are significant. The EU Infrastructure Directive requires all major European ports to have shore-side electricity by 2025. If the Minister believes this is not possible for Enova to support, who does he think will facilitate these necessary investments? Are there any other departments that this belongs to? Will he encourage the Ministry of Transport to take responsibility for organising major land-flow projects if these are too large projects for Enova?
ParlaMint-NO_2017-10-25.ana.ud320e1379	Enova is also our main tool in terms of land flow to the cruise ports. There is a work that needs to be carried out continuously here, and I would encourage those ports that have cruise calls to coordinate and cooperate in order to develop a strategy for developing this in Norway. We may also have to look beyond the borders of the country, because if we want to get the economy and get the adequate emission cuts we want, we also depend on the fact that there are similar facilities in other European ports that the same cruise ships call at. In the first phase, I think it would be most topical to install shore-side power where you have inverters, and where there are shipping companies that have fixed routes between European ports, so that we can have the greatest possible effect. There is also an opportunity for local authorities, municipalities, the port community to go in with financial support also from their side to reduce the amount of aid needed by the State, because local authorities also have a responsibility for local pollution, which is part of this problem.
ParlaMint-NO_2017-10-25.ana.ud320e1389	‘Good rehabilitation and the content of housing prevent crime. An important part of rehabilitation is contact with family and children. For this reason, we have long had the principle of subsidiarity as a driving rule for how, as a society, we organise the settlements and allow the rehabilitation of prisoners in our prisons. The compensation shall be as close as possible to the community and family of the prisoner. This has been a good and important principle, which, among other things, makes repatriation to society and rehabilitation easier. Which, once again, reduces the risk of recurring crime. Does the Council of State consider that the principle of subsidiarity is respected in Dutch prison settlement?’
ParlaMint-NO_2017-10-25.ana.ud320e1396	The principle of subsidiarity is an important principle in the work of criminal services and an important guide to the placement of prisoners. It is far from Norway to Norwayrhaven prison in the Netherlands, but also in Norway it is long distances. And regardless of whether the punishment is imposed in a prison in Norway or in the Netherlands, different considerations may conflict with the principle of subsidiarity and, in some cases, have to take precedence. In a situation where there is a lack of criminal enforcement capacity, the principle of subsidiarity will have to give rise to the need to start criminal proceedings as soon as possible after a judgment has been given. I remind you that prison in the Netherlands was established as a temporary measure to address a major need for high-security prisons. Long payback queues and a breach of the deadline for transfer from police detention to custody have long been a challenge. Since the establishment of prison, the settlement queues have been closed, and we no longer have excesses in custody due to lack of detention. I also want to make the representative aware that almost 80 pst. Of the prisoners in Norway, prisons are foreign nationals. For this group, the implementation of the prison sentence is of minor importance. Most of these should not be returned to Norwegian society. Many of them do not have their family in Norway, but perhaps in a country that is, in fact, geographically close to the Netherlands. Prisoners to return to Norwegian society are transferred to Norway as soon as they are granted leave or leave from prison. In other words, they carry out only part of the punishment in the Netherlands. I also remind you that no sentence received by children under 18 years of age is transferred to Norwayrhaven prison, unless they so wish. It's also important to say that 64 pst. by the prisoners have been transferred on a voluntary basis. Compared to prisoners in other Norwegian prisons, prisoners have increased opportunities for telephone contact with friends and family, and there are also opportunities for using Skype. It is well organised for visits to prison. Finally, I would like to stress that in Norway, prisons are actively working with measures to provide the prisoners with good opportunities for repatriation to society. Good return to society and rehabilitation require more than just proximity to community and family.
ParlaMint-NO_2017-10-25.ana.ud320e1407	A number of criteria have been laid down for housing in the Netherlands. These are also referred to in the government's proposals for a government budget. Among other things, the proposal, on which the Council of State was concerned, mentions that housing in the Netherlands should not include prisoners who are entitled to education or prisoners who have regular visits to children under 18 years of age. Experience from prisons and the work of criminal services has just shown that prison inmates can experience better family contact or a desire for education and training over time at the time of acquittal and through rehabilitation. Does the Council of State consider that such a development is not possible, or is it not, for prisoners as zones in the Netherlands?
ParlaMint-NO_2017-10-25.ana.ud320e1412	I see that the compensation we have made available in the Netherlands has solved many of the challenges that the previous government left behind for this government. We took over at a time when approx. 1 200 stood in the queue. So people had to wait to get their sentence. This is an unsustainable situation, and at least it is not in favour of rehabilitation. We've managed to liquidate these restitution queues. We have also been able to clean up and renovate the capacity we have in Norway through our use of Norgesrhaven prison, and we have avoided any breach of people’s longevity in custody. Overall, this has been an important step for Norwegian criminal justice. It's put us in a much better situation. And I would like to stress once again that most of the sons of the Netherlands are non-nationals. Many of them are not going back to Norway at all.
ParlaMint-NO_2017-10-25.ana.ud320e1419	I record that the Council of State does not answer the question. I hope he will answer this: The proposal for a State budget mentions that the lease with the Netherlands should expire at the same time as the new prison in Agder is clear. Will the Council of State guarantee that the foreign zoning system will end when the new Agder prison is ready?
ParlaMint-NO_2017-10-25.ana.ud320e1426	We have consistently argued that Norway has been temporary in nature and the settlement challenges it solves for Norway. So far, no continuation is planned after the prison in Agder is clear. This will mean a fragile increase in housing capacity in Norway — new, modern, effective prison, which will be very well organised for housing. I believe that at that time we need to assess the situation, whether there is a need for further extension of Norway's territory. As of today, this is not the basis. It's not the government's policy. It has to be assessed continuously according to the capacity needs we needed in the Kingdom, but as of today it is not a topic.
ParlaMint-NO_2017-10-25.ana.ud320e1431	Question 14 has already been answered.
ParlaMint-NO_2017-10-25.ana.ud320e1439	I allow myself to ask the Minister of Knowledge the following questions: ‘The figures of the Central Bureau of Statistics say that the proportion of private schools has increased by 51.6 p.m.. in the last 10 years. Several private schools have been established against the will of the host municipality. This makes it more difficult for local politicians to plan their own schooling. What is the total number of pupils at private primary and secondary schools, how much has it increased since the changes to the private school law, and how many of these have been created against the will of the host municipality?’
ParlaMint-NO_2017-10-25.ana.ud320e1446	The vast majority of students in Norway attend public schools. About 3.6 pst. of primary school students attend private schools. Also in the future, the vast majority of students will go to public school, and the government's main job is to strengthen the public school. At the same time, colleges are important. They are alternative and complementary to public schools, and they help to ensure the individual’s right to choose between different schools. Publicly funded incubators can also contribute to diversity, development and inter-school learning. Free schools must operate in accordance with legal requirements for content and quality. The new law on free school came into force two years ago. The law means far from any free slip. The approval system is discretionary and only schools operating on one of the legal basis of approval may be approved. In new law, two new foundations are added. There is secondary education in a vocational education programme, and there is a specific profile, so-called profile schools. It follows from the law that authorisation should not be granted if it would lead to negative consequences for the host municipality. The host municipality has the right to express its opinion before granting approval under the Law on Secondary Education. The opinion shall be taken into account, but the host municipality has no right of veto. The decision is whether the host municipality can justify and be sure that approval will have negative consequences for the public school offer. I point out that today's approval system is a continuation of the practice under the former private school law, under which the red-greens themselves fell. I believe that the legislation has a reasonable balance between the consideration of the host municipality on the one hand and the consideration of parents and the ability of young people to choose between different schools on the other. So to the answer to the direct question from the representative: in the current school year, a total of 21,616 students are registered, divided into a total of 228 private primary schools. Since the amendments to the Act as of 1 August 2015, a total of 49 new primary schools with a total of 6 605 pupils have been approved. I draw attention to the fact that most of these schools are approved on the basis of the qualifications which were passed on from the previous law. For information, 19 primary schools are approved according to the new profile school basis. Most of these are secondary schools with special professional attention in the field of sport. Since 1 January 2015, host municipalities have expressed a negative opinion on 11 of the 49 approvals of new primary schools. Me and the representative Mani Hussaini may disagree with our view of the importance of primary schools. But it must be improperly worth noting to him that much of the development he describes is just as much a result of the policy that this government is running, as it led his own government, since the great majority is approved under the law of his government itself. The difference, however, is that I have always been a defender of the importance of high school for a more diverse school offer.
ParlaMint-NO_2017-10-25.ana.ud320e1461	I thank you for your answer. One of the finest things about our country is that everyone can meet in the primary school regardless of their background, everyone can have the same opportunities in the primary school. Either you're a child of a director or of a janitor, you get equal opportunities to succeed. We know that schools need to be closed because private schools are being set up. In Hordaland, for example, we've seen several of these examples: children don't get equal opportunities when there's a bigger and bigger divorce. My question to the Council of State is: Is the government satisfied with the development that has been in the last four years, and where is the ceiling for how many private schools we are going to have?
ParlaMint-NO_2017-10-25.ana.ud320e1470	Let me start by saying that I fully agree with the representative Hussaini that some of the great thing about Norway is that the students go together at school, regardless of social background. There is also some reason why we have had publicly funded incubators over a long period of time and with an alternating political majority. What we're talking about then is not just private schools that can take as much dividends or school money as they want, but those that get state aid. Of course, if they are to receive State aid, they must also meet some very strict requirements. They can't sort students, they can't take high proportions, and they can't teach what they want. When the representative refers to Hordaland, the situation under the code is the red-green government itself. The schools he refers to there were approved under the law of the Red-Green Government. What we've done is not to liberalize start-up, support or dividends, but we've said that there are two new categories that can be approved. It's professional schools, and it's profile schools.
ParlaMint-NO_2017-10-25.ana.ud320e1477	When VG writes that there has been a double in the number of private schools under this government, I had hoped that the council had given better answers. We know that several private schools go beyond the quality of education. We can only look at our neighbouring country Sweden, where there has been character inflation in schools, and the quality of education is falling. I have asked a lot of questions on many occasions about referring to countries that have privatised the school and obtained better results. After all, the aim of the policy must be to achieve better results, and then we can put away the ideological skyscrapers. Then the question to the Council of State is, Can he refer to a country that has privatised the school and got better results for the students?
ParlaMint-NO_2017-10-25.ana.ud320e1484	There are very many different countries that have different policies on this. What's been important to us is to have a law of free school that allows you to get publicly funded health schools, not just private schools for those who can afford it. To just take a few figures, under the Stoltenberg government, 96 primary schools and 20 secondary schools were approved. Under the Solberg government 98 primary schools and 12 secondary schools are approved. Either the representative Hussaini now announces a completely new free school policy from the Workers' Party, where one should put some roof or give veto rights to the municipalities, or something similar – or this is a development that comes from someone having a good idea and starting something new. I think it's nice if we're going to stand in this room and not see the important supplement that the colleges are for the public school. But it obviously assumes that they're just that, a supplement, and that it's not a release. We've been very strict about that. In fact, we have tightened the conditions for obtaining approval by listening to the host municipalities better with our legislation than they were under the red-green.
ParlaMint-NO_2017-10-25.ana.ud320e1493	Case No. So 2 is over.
ParlaMint-NO_2017-10-25.ana.ud320e1507	There is no record. Does anyone require a word before the meeting is cancelled? No one has asked for the floor. The meeting has been cancelled.
