ParlaMint-NO_2017-05-10.ana.ud551e28	The called alternate of the South-Trundellag County, Ferhat Güven, now takes the seat.
ParlaMint-NO_2017-05-10.ana.ud551e1537	‘In 2013, the maximum price for kindergarten space was NOK 2 330 per year. months. In 2017, it is $2,730 per year. months. This is an increase far beyond price adjustment. In April 2016, SAFE informed that the number of children withdrawn from the kindergartens in Stavanger municipality increased and that several of the cases were justified by poor parental advice. Is the Council concerned that the ever-increasing child care prices combined with high unemployment are increasing the differences between those who have a job and not?’
ParlaMint-NO_2017-05-10.ana.ud551e1544	All children should have the opportunity to have a high-quality kindergarten offer, and we know that for some parents the price is a reason they choose not to have their children in kindergarten. Therefore, this government has implemented a strengthening of the moderation mechanisms that make kindergarten cheaper or free of charge by up to 20 hours a week for all low-income families. From 1 May 2015, the right to a reduction in the parental payment was changed, so that no family would pay more than 6 pst. of household capital and personal income for a nursery place. The aim of the change was to ensure a better social profile of parental pay while at the same time facilitating the possibility for more people to use kindergarten. From 1 August 2015, a new national free core time scheme was introduced in kindergarten for all four- and five-year-olds from low-income families. The scheme was extended from 1 August 2016 to three-year-olds from low-income families and the income limit was set at NOK 417 000 from the same date. As of December 2016, approximately 18 200 children were covered by the Free Core Time Code. The maximum price for a kindergarten in 2017 is NOK 2 730 per month. In 2013, the maximum price was NOK 2,330 per month. In 2017 this corresponds to NOK 2587. Thus, the monthly maximum price for a nursery place has actually increased by around SEK 140 in the period 2013-2017, i.e. about 5.5 pst. The SSB recently published a report on parental pay in kindergartens. The report shows that an average Norwegian household paid NOK 2 374 for a nursery in January 2017. Compared to January 2016, this is a real decrease of 2 pst. This may be related to the extension of the free core-time scheme for children from low-income households to three-year-olds, which in isolation lowers the average payment. The Storting representative refers to a statement of concern from April 2016 that the number of children taken out of Kinderhagen in Stavanger Municipality has increased. I can reassure the depositor that the latest figures from the Statistical Central Bureau show something else. The proportion of children aged 1–5 years in kindergarten in Stavanger municipality on 15 December 2016 was 90.4 pst. This is an increase of 1.4 percentage points compared to the corresponding period in 2015. This is also a development that we see throughout the country, that the proportion of children in kindergarten is increasing.
ParlaMint-NO_2017-05-10.ana.ud551e1559	Many of the unemployed in the Western world today are not initially low-income families. They are basically ordinary families with student loans, car loans and mortgages, and many of them have children. My main question was whether the Council of State is concerned about the increased difference between those who have a job and those who do not have a job and the consequences it brings to the families of children in question. In concrete terms, what has the Council of State done for these families – i.e. families that are not initially low-income families – that are affected by one parent or possibly both parents leaving for unemployment? What has the Council of State done to meet these families?
ParlaMint-NO_2017-05-10.ana.ud551e1566	The question was whether I was worried about the ever-increasing nursery prices combined with leave. As I pointed out in my main response, kindergarten prices have increased by about 5.5 pst. Of course, many bets must also be seen in the context of other schemes: reduced parental benefit for low-income families, completely equivalent treatment for municipal and non-municipal kindergartens, more flexible childcare provision, etc. The most important thing we can do for those people who lose their jobs is to make sure that we get them back into work quickly. We do that by securing the jobs that exist, but also by facilitating the creation of new jobs. Now we see that unemployment goes down for five months in a row – in the whole country and in several industries. We also see that optimism is now rising in Rogaland. We saw big, nice headlines in the papers yesterday about how businesses are starting to hire again. The most important thing we can do for that group is to make sure that they get into work quickly after they've been hit by unemployment.
ParlaMint-NO_2017-05-10.ana.ud551e1573	We can go to another part of Rogaland. We can go to Egersund. There the rapporteur says that children are taken out of the labour market, for example. the school leave system, kindergarten and cultural school due to unemployment. To ask my question a little differently: Is the Minister concerned that children with unemployed parents are less active in e.g. the cultural school?
ParlaMint-NO_2017-05-10.ana.ud551e1580	Yes, we should all be concerned if parental income reduces children's ability to participate. In the case of unemployed parents, our main task is to make sure that they get to work quickly. But in the period when you don't have a job and have a low income, there are other schemes that it's important that we target. That's why the government has been busy making it cheaper for families with low incomes to get kindergarten. We have adopted protective systems for the three-, four- and five-year-olds. Testing schemes for SFOs are also available in several places in the country. We are concerned that those who have poor advice will be paid less on important services. Culture School: Yes, similar – we are busy protecting the families who have poor advice. Free parents have to get to work quickly, and then they have to protect their families during the period in which they have low incomes, through schemes adapted to their level of income.
ParlaMint-NO_2017-05-10.ana.ud551e1590	‘In the government consultation note on tenders for follow-up actions, it was stated that ‘several voluntary and private operators should be released’. Former State Council Eriksson said to the NRK in May 2014: ‘We open up to good forces such as the mob project, social entrepreneurs, the Church’s City Mission and the Red Cross to participate in qualifying young people into working life.’ Can the Council of State indicate in concrete terms whether any new voluntary or non-profit suppliers have arrived and, where appropriate, name these new non-profit suppliers who have arrived?’
ParlaMint-NO_2017-05-10.ana.ud551e1597	The aim of using competition in the provision of clearing and follow-up services is to use the labour market competence we have for more people to come into work. In a competition, it is the best providers who get the job. Suppliers must periodically document and demonstrate in practice that they can provide qualitatively good labour market services that deliver results. Acquisitions ensure that different supplier and competence environments can compete on a level playing field and that the grants granted are within State aid law. In such a contest, the price agreed on is a legal grant. The result of competition is a greater diversity of suppliers and environments of competence. The aim was not only to facilitate ideal actors; good private providers should also be allowed to do so. Half of the agreements have been concluded with reintroduction and growth companies. Agreements have also been concluded with non-profit suppliers, although the number of non-profit suppliers has been reduced as fewer suppliers have become total. Among the ideals are agreements with the Blue Cross, Adaptor, the Church's Bymition and Fossheim Workshops. Regional departments of Frtex have received tenders in several counties. The Ministry of Labour and Social Affairs has commissioned Proba Societal Analysis AS to evaluate the implementation of the new clarification and follow-up actions. There is now an interim report on how the Employment and Welfare Act has designed competition to achieve simplification, diversity in the supply market and a good offer to users. The main conclusion is that the Employment and Welfare Act has well designed the acquisitions. The evaluation shows that the quality objective was considered to be very important, and this was also well achieved in the procurement process. Among other things, quality was weighted above the price in the award criteria and clear targets have been set for the results to be achieved. Long-term contracts were also concluded to ensure economic predictability for suppliers. The Government has a cooperation agreement with non-profit and non-profit organisations and KS where regular dialogue meetings are also held.
ParlaMint-NO_2017-05-10.ana.ud551e1610	Here the argument of quality and diversity is repeated. The magazine Velferd had a review last June where they show that the situation has gone from diversity to simplicity, and it is documented how ideal and local actors lose terrain while the big ones win. Governments mention that Frtex has won some tenders, but they were already in the sector as a pre-authorised operator. We know that the manning company Adecco, with the mob project as a subcontractor, has won tenders in Agder and More and Romesdal, but that cooperation cannot be called ideal, because the mob project has been purchased by the commercial health chain Aleris AS after the tenders were won. We fear a development that is snuck in. I wonder if the Council of State can nevertheless be satisfied with the capture of so-called new volunteers?
ParlaMint-NO_2017-05-10.ana.ud551e1619	Ideal suppliers and social suppliers were asked to enter this market in advance, but the number of tenderers has been low and those who have won have been fewer. Winners have been suppliers who have acquired competence in this area over time. One explanation may be that it has been difficult for new entrants to provide labour market services in the past since the market has been dominated by pre-authorised suppliers, back-up and growth companies. The purpose here has also been to put in place the best possible offer to Nav’s users, regardless of whether the supplier is a reintroduction company, Blue Cross or a commercial supplier. It has been intended to open up the possibility of accessing and providing good services to users, irrespective of the mode of operation, to several persons who have not previously had access to this market. But ideally, yes, I wish that even more ideals would also have been in the competition, but this has not been the case.
ParlaMint-NO_2017-05-10.ana.ud551e1626	SV fears that the impact of tenders for delivery businesses will be the same as we have seen in other welfare areas, such as children’s protection, kindergartens and asylum recipients, namely a commercialisation where the major players win at the expense of the small ones, they localised and the ideals. In the past, we have challenged Councillor Horne whether she has an overview of where the money in the field of child protection is going. There is the answer that it is not important who provides a service, and it was also revealed that there is no control over how much money reaches welfare professionals, and how much money reaches the kids. It is then natural to ask the Minister of Labour if there is any overview of the proportion – or how much – that would have gone to follow-up of people, but that is currently being extracted as profit.
ParlaMint-NO_2017-05-10.ana.ud551e1633	As I said in my first answer, half of the agreements that have been concluded have been concluded with reintroduction and growth companies. In addition, agreements have been concluded with non-profit actors, as I also mentioned in my first response. In the tendering process, quality has been weighted higher than the price – 60/40. This means that in the choice of suppliers, the quality aspect has been more important for Nav than the price aspect. I feel quite confident that services to users will be better when you also have to compete for them – it is not just competition, but it is that you have to document the results you have on a regular basis. I have met with repair companies who say they are happy for this, because they have never before been measured on results. They can't even tell you what development they've had before, because you haven't had statistics on their results. Documentation is now required for the first time. Many have not been in the market before. More come in, and I think we'll all be happy for that. Then Nav will follow up that you also deliver what is ordered.
ParlaMint-NO_2017-05-10.ana.ud551e1645	I allow myself to ask the following questions to the Minister for Employment and Social Affairs: ‘Private actors have won tenders for clarification and follow-up actions, including: Your Development AS, according to the website, has ‘over 300 career guides across the country [...]’. They shall not be employed under normal conditions but shall act as ‘cooperating partners’ through individual enterprises. Does the Council of State fear that this provides competitive benefits to vis-à-vis companies with employees on a regular basis, or does the business model give innovation to the reintroduction field?’»
ParlaMint-NO_2017-05-10.ana.ud551e1654	Once again, the aim is to use competition in the acquisition of clearing and follow-up services to use the labour market competence we have in order for more people to come into work. In a competition, it is the best providers who get the job. Suppliers must periodically document and also demonstrate in practice that they can provide qualitatively good labour market services that also deliver results to users. Acquisitions shall ensure that different supplier and competence environments can compete on a level playing field and that the grants granted are subject to State aid law. In the event of such competition, the price agreed on is a legal grant. The Ministry of Labour and Social Affairs has commissioned Proba Societal Analysis AS to evaluate the implementation of the new clarification and follow-up actions. There is an interim report on the way in which the Employment and Welfare Act has designed competition in order to achieve simplification, diversity in the supply market and a good offer to users. The main conclusion of the evaluation is that the Employment and Welfare Act has well designed the acquisitions. As a general rule, the rules governing acquisitions do not require the organisation of the activities of a supplier. However, I assume that the quality of the services provided by the company is maintained, and that the business is otherwise in line with the laws and regulations. The Employment and Welfare Act has informed me that an agreement has been reached on the delivery of clarification and follow-up actions with your Development AS. As the representative of Aasrud points out, there have been questions about how your Development AS operates and the organisation of the company. With reference to the contract, the Working and Welfare Act has addressed the issue of working and employment conditions with Your Development AS and is now assessing the company's presentation. Your Development AS must fulfil the contractual obligations entered into by the company towards the Employment and Welfare Act and be able to bear full responsibility for the quality of the services and the results of the efforts. I will now await the follow-up of this specific matter by the department.
ParlaMint-NO_2017-05-10.ana.ud551e1667	I have to say that the Council's answer surprises me quite a bit. Here we see a hollowing out of what is the Norwegian model of working life, where companies offering public services are going to have permanent employees. Then I would like to ask the Council of State directly: Does the Council of State think that a development in which individual enterprises are set up to provide services to the public is OK?
ParlaMint-NO_2017-05-10.ana.ud551e1672	As I said in my main response, the Working and Welfare Act is now reviewing this specific matter. I'm not going to pre-conclude what's going to be the result of that. It is today that we have provisions in the Employment Act – you have a permanent one, and you have a temporary one – and it is clear that your Development AS, like everyone else, must follow the law in terms of employment forms. You can't set terms of organisation today, but I also assume that all companies provide services within the law. I also think we have to be clear, both in this area and in other areas, that it is not given that all companies will be able to be self-sufficient in all kinds of competences. There may be special skills that it would not be appropriate for the company to employ fully, but where you can hire smaller job breaks, without undermining the entire social model. But I will now await the statement with which the department comes, before I will draw any final conclusion on this.
ParlaMint-NO_2017-05-10.ana.ud551e1679	I understand so far that the Council of State can hide behind the fact that you now have an investigation into the specific matter, but if you go to the diffi's websites, some advice has been given on how the public should acquire services, including in the health and care sector. Does the Council of State consider it appropriate to establish individual enterprises instead of employing people in enterprises that supply to the public when it appears to be the general rule and not a single exemption for a single position?
ParlaMint-NO_2017-05-10.ana.ud551e1684	No, as a general rule, fixed-term employment is to apply, but you can, of course, take people on temporary employment from time to time. You can also rent in if you need it, but that there should be a general rule with individual companies, I don't think it is desirable. But it can also – in this case I shouldn't say it for sure now, until I know the matter well enough and get the explanation – be necessary for companies to hire special skills where you may not need the skills a hundred percent, but you need it in smaller job breaks than that. But in this specific case, the department is now reviewing the agreement, and I will await the statement that comes from there.
ParlaMint-NO_2017-05-10.ana.ud551e1692	My question to the Minister for Employment and Social Affairs is as follows: ‘The dream is the city of Norway with the highest proportion of children growing up in poverty. 2 184 children grow up in households with persistent low incomes. [[17 p.m.]] On a national basis, almost 100,000 children are in the same situation, according to the SSB. At the same time, we see that the government's tax cuts benefit the richest in Norway, that unemployment is record high and employment is record low. Differences between people are increasing. Does the Council of State consider it a political task to reduce the differences between people?’
ParlaMint-NO_2017-05-10.ana.ud551e1701	Let me first make it clear that the tax breaks benefit all layers of the population. It is also not correct to say that the unemployment rate is record high, even though it is high to Norwegian conditions. It's been higher before, and it's going down now, for five months in a row, in the majority of the country's counties. There is demand for people in several industries, and there is increasing optimism in business. We should all be pleased about that, also because this is important for the representative to address his question. Labour relations are the main means of preventing low income and poverty. The most important steps we can take to combat and prevent poverty from inheriting are to provide a good school for the children, and that their parents are at work. In the last decade, Norway has experienced two economic downturns that have had a significant impact on the labour market. In 2008-2009, the financial crisis, where not only the fall in the employment rate, but also the growth in outside employment among young people, had begun too fully. The Norwegian economy had barely overcome this crisis when we had an oil price drop in 2014, which gave a new increase in unemployment and a further decline in the employment rate. We have to make ourselves less oil addicts and make sure that we get more legs to stand on. This is why the government has facilitated the necessary changes that are now taking place through active labour market policies, research and knowledge development, infrastructure development, regulatory changes and tax relief. We are now beginning to see the results of government policy, both by reducing unemployment and by increasing optimism. You can't talk about inequality and differences without talking about immigration. Immigrants from low-income countries are in low employment, many of them work too little or too short. In order to combat poverty, more of them need to be integrated more quickly into the labour market. The government therefore prioritises the right to work in the introduction programme and Norwegian training. A fast track in the labour market is now being developed for refugees with the skills they need, and a focus is being placed on vocational guidance in reception. Rapid monitoring of recognition of foreign competence, qualification and education is also important. Norway is and will continue to be a country with small differences. Therefore, the government will continue to give priority to high employment and low unemployment, a good school and good health care.
ParlaMint-NO_2017-05-10.ana.ud551e1718	I thank you for your answer. Always when we're talking about child poverty, it almost seems like the government is trying to push immigrants in front of them, because it's kind of not that dangerous. In that light, it is well documented that cash support is one of the main obstacles to poor children going to kindergarten. It's mostly in the drama, where only 42 pst. Immigrant women are at work. The Right Party and the Advance Party have cut into several social benefits, both for disabled people and for single dependants, taken the holiday money from the unemployed and thus contributed to more poverty. What I don't understand is why it's so hard to get rid of the cash support, which actually acts as a poverty trap for the most vulnerable children.
ParlaMint-NO_2017-05-10.ana.ud551e1727	The question is almost tempting to return: How could it be that the Workers' Party could not get rid of the cash support when they themselves put in government – in a majority government? It was probably because there was a party in the constellation that wanted to keep it, just as there are different views on the cash support also on the civil side. I think it is exaggerating the importance of the cash support. After all, it is a relatively few years of cash support. The representative of Christoffersen says we're pushing the immigrants in front of us. No, we don't push immigrants in front of us, but if you're going to do something about poverty, social inequality and social differences, you have to look at the causes, and there's no high immigration into the country. Too many immigrants are out of work or work little or too short. This means that to prevent poverty among children, we must ensure that their parents integrate more quickly into work. This is what we do with the Intro work guide, through the creation of rapid tracks and through the measures adopted in the context of the integration message. A good school is what should prevent poverty and ensure that it is not inherited. I want to say to the greatest extent that we don't push the immigrants in front of us, but on the contrary, find good solutions on how to integrate them better, so that they become self-sustaining.
ParlaMint-NO_2017-05-10.ana.ud551e1736	Thanks for the answer. Other ministers have been here earlier today and so far have had the same list of everything that has been done, as the Minister of Labour had now. But we're left with the fact that it doesn't work. It is interesting to see how the proportion of children in poor families also rose sharply during the previous government. Although there are some optimistic signs, we still have record high unemployment rates, a record high number of poor children, falling employment rates and an increasing number of unemployed people who are now losing the right to a daily allowance. If the Right Party and the Forward Party continue in government against assumption, the tax fixation of the richest shall continue. So I wonder, has that idea ever striped the government that a few of them over 20 billion? kr given in tax cuts – mostly to the rich – could rather have been used to make some poor children a little happier?
ParlaMint-NO_2017-05-10.ana.ud551e1745	Without prejudice to my not having detailed knowledge of the Workers' Party's tax profile, I suppose – as I understand it – the Workers' Party is involved in most of it. Large parts of the tax liability are the Workers' Party itself on, through the tax settlement and other. It's true that the inequality went down somewhat under the previous government, but it was due, among other things, to it. the stock exchange values have been digested. There was no poor person who got better from the fact that the paper values on the stock exchange were weathering, even though it might look good on the paper. This government is doing a lot to reduce inequality. In addition to working hard and intensely to transform Norwegian business into employing more people, to get more legs to stand on, we have a huge investment in school, which may be the most important social policy tool we have. We also target other important schemes. Earlier in the Questionnaire I answered the question of free arrangements in the nursery sector, for example. That's the sum of this that makes you bring down the differences. It doesn't always come out of the statistics, but it's going to help us reach those who need it.
ParlaMint-NO_2017-05-10.ana.ud551e1759	‘In 2014, the Right and Advance Party Government tendered for the offer of services to people with disabilities. One of the government’s objectives in the tendering process was to increase the number of non-profit actors and social entrepreneurs. Tenders have now been completed in all counties. Has the outcome of the bidding rounds been that today there are several ideal actors and social entrepreneurs providing back-up services to Nav?’»
ParlaMint-NO_2017-05-10.ana.ud551e1766	I refer you to the answer I gave to the representative Bergstø. The aim of using competition in the provision of clearing and follow-up services is to make use of the labour market competence we have in order for more people to get into work. In a competition, it is the best operators to be awarded the contract. Suppliers must periodically document and demonstrate in practice that they can provide qualitatively good labour market services that deliver results. The acquisitions ensure that different supplier and competence environments can compete on equal terms and that the grants granted are within State aid law. In the event of such competition, the price agreed on is a legal grant. The result of competition is a greater diversity of suppliers and environments of competence. The aim was not only to facilitate ideal actors; good private providers should also be allowed to do so. Half of the agreements have been concluded with reintroduction and growth companies. Agreements have also been concluded with non-profit suppliers, although the number of non-profit suppliers has been reduced as fewer suppliers have become total. Among the ideals, agreements have been concluded with the Blue Cross, Adaptor, the Church's Bymition and Fossheim Workshops, and regional departments of Frtex have won tenders in several counties. Social contractors have participated in the tendering procedure to a small extent and have not reached it. The Ministry of Labour and Social Affairs has commissioned Proba to evaluate the implementation of the new clarification and follow-up measures. There is an interim report on the way in which the Employment and Welfare Act has designed competition in order to achieve simplification, diversity in the supply market and a good offer to users. The main conclusion is that the Employment and Welfare Act has well designed the acquisitions. The evaluation shows that the quality objective was considered to be very important, and this was also well achieved in the procurement process. Among other things, quality was weighted above the price in the award criteria and clear targets have been set for the results to be achieved. Long-term contracts were also concluded to ensure economic predictability for suppliers. The Government has a cooperation agreement with non-profit and non-profit organisations and KS, where regular dialogue meetings are held.
ParlaMint-NO_2017-05-10.ana.ud551e1779	I heard that answer to other people's questions. I asked a very brief question, whether it has become today several ideal actors and social entrepreneurs who provide back services to Nav. Governments don't answer that. It means, in my experience, that it's gotten fewer. The purpose of the outsourcing was greater diversity, and some thought that the government with it meant more and more emphasis on local anchoring of those doing the job – and more ideals. What has become the result, as I understand it from the Council of State answers, is fewer with local anchoring in the counties and cities – fewer ideals. My question is then: is this a result that the government is now going to change in further work, or is it a development that is seen as natural when this competitive and tender system has been introduced?
ParlaMint-NO_2017-05-10.ana.ud551e1784	I answered the question in my main answer, I can repeat it. I said that agreements have also been concluded with non-profit suppliers, although the number of non-profit suppliers has been reduced as fewer suppliers have been in total. And then I mentioned who we've agreed with. As I also said to the representative Bergstø, we wanted ideal suppliers and social suppliers to enter this market, but then it turns out that the number that has submitted tenders has been few, and fewer have won. Ideally, one would wish that there were several who had submitted tenders, and that several had won, but it has proved not to be the reality. An explanation of the absence of new entrants may be that it has been difficult for many of them to provide their services. I hope that more people want to get into the market, that more of the little ones might go together, but it's up to them to consider what to do. Now we're going to keep evaluating, there's going to be an interim report a little bit later. So far, this seems to have been a successful process.
ParlaMint-NO_2017-05-10.ana.ud551e1797	At least we agree that it has become less ideal. When the Labour and Social Committee visited Buskerud and met the Church's Bymition, it was unisoned that this would lead to more non-profit organisations, because the non-profit organisations know the conditions, they have their own permanent employees who have professional competence and remain in the organisation. So we feel that the outsourcing leads to greater uncertainty, and that companies hire seafaring businessmen instead of owning their own employees to do a business job for the company that is being offered. We're about to get, in this field too, a development where re-introduction becomes a store, it's going to be a business idea to make money. Is it okay that this development continues?
ParlaMint-NO_2017-05-10.ana.ud551e1802	As I said in my previous answer, there may be various reasons why non-profit actors have not submitted offers. Some people have said that they think they're too small, that they don't have enough muscles to do it. As I said in my previous answer, I hope that several people consider joining forces to submit offers. However, it is a bit up to the ideal actors themselves to decide whether to submit tenders, and to design the tender documents, or not. I'm busy letting more people go. In the past, it has been difficult, not to say impossible, to enter this market. We are concerned that more people will escape, that there will be innovation and development in this area as well. But we see that the ordinary labour market has also become a more common and more common action arena. There may be some reason why this market is now changing. From the first interim report it looks like the process has been good, and then it remains to see if the quality has been as good as it intended. I think and hope so, because it's users' needs and interests that must weigh most heavily on everything we do.
ParlaMint-NO_2017-05-10.ana.ud551e1810	I have the following questions for the Minister of Culture: ‘The rich are getting richer, and there are more poor children on the Right and the Advance Party guard. About 100,000 children experience a daily life in which their parents have a persistent low income and have to turn every penny. For these families, it is a major challenge to pay the training fee, when equipment is to be purchased, or when all the other children are to be included in the tournament. The government has promised these children that they will be able to participate in at least one leisure activity. How does the Council of State ensure that the promise is actually made to families?’
ParlaMint-NO_2017-05-10.ana.ud551e1818	Voluntary organisations in the field of sport and culture are responsible for the main recreational activities of children and young people. Participation opens up experiences, mastering, friends and belongings. Participation in leisure activities has a significant positive impact on the lives and development of children and young people. Therefore, combating child poverty is important for this government. In the government’s ‘Children living in poverty’ strategy, we give priority to measures to enable all children and young people to participate in leisure activities together with peers where they live. The government follows up by strengthening schemes and providing good framework conditions so as to create low-threshold activity offers for participation. In addition to strengthening the general arrangements for volunteering, the Ministry of Culture has a number of grant schemes which help to strengthen participation and to keep costs down, clubs and organisations. It's e.g. support for measures to combat child poverty. The order is 10 million. kr and goes to projects that can help children and young people from low-income families to participate in organised leisure activities. These are the so-called LAM funds, which have doubled since 2013 and are now at 337 million. kr. There are funds that go directly to the sports clubs to keep costs down, especially for those with low incomes, so it benefits them. We also have inclusion in sports teams, another system that helps to get everyone along. This plan has increased by 6 million. kr since 2013. We have grants for outdoor activities for children and young people, we have Free Fund for children and young people. So there's never been any more effort to prevent children from experiencing alienation as a result of their parents' poor economy than what we're doing now. I'm very happy about that. But then I also have to say that this isn't just about money, it's about priorities, it's about understanding, knowing and understanding what having parents with low income means for children's experience of childhood. For this reason, authorities, managers, trainers, parents – all – need to play together to keep standards to a sober level. In particular, children and young people must be involved, take into account and involve those who are not invited, offer to go to training if there are parents who do not have a car, borrow equipment – contribute where possible.
ParlaMint-NO_2017-05-10.ana.ud551e1830	There is no doubt about the importance of participating in meaningful activities and what it does for individuals and for society. Not having the opportunity to participate — not having the opportunity to participate in training or leisure activities — does something about self-esteem, and it is really a serious matter when we read about children who are not allowed to join in when the others have their leisure activities. What the Council of State refers to is grant schemes where we see that there are more applications now than before being rejected. When the council refers to an arrangement, it's strange that she doesn't give priority to putting money in that pot. Why is it that the Council of State does not follow up on the good intentions, nor on the ambitions, to strengthen the grant schemes when she herself shows that it is perhaps the most effective measure?
ParlaMint-NO_2017-05-10.ana.ud551e1836	There is no simple answer to this. When I sat and Googled ‘child poverty’ yesterday, there was a quick look-up from 2013. It was former Prime Minister Torbjørn Jagland who went out. The title was: «More poor with red-green government». The child poverty in Norway had increased from the red-green government offices, and Torbjørn Jagland criticized the Labour Party and the government for lack of action against poverty. It shows that there is no quick fix. It's not just about money. It's about, as I said in my first answer, that we all have to contribute to each of our teams to help. But together with the cooperation parties, we have increased the national grant scheme against child poverty to a historically high level of 193 million. kr. It has never been higher before, and it allows more children and young people to participate in leisure activities and holidays. Therefore, there has never been such a strengthening in this field as what we now see under this government.
ParlaMint-NO_2017-05-10.ana.ud551e1843	We were very concerned about the development of the proportion of poor children under the red-green government, and we did what we could to help counteract increased differences. We did, while under this government we see that the proportion of poor children increases from 8.6 pst. in 2013 to 10 pst. Now. We see that the differences increase more than ever with the government's tax arrangements. With the tools available to the Minister of Culture, we also see that more expenditure is being made on volunteering by having a large backlog on facilities, the reduction in VAT compensation is increasing year by year during this government, and that is unpredictable in terms of the VAT compensation scheme for sports facilities. All of this leads to unforeseeable but also increased expenditure on sport. Why is it that the Council of State is not concerned about doing its job in those areas where she actually has a responsibility, which can help set sport free and reduce costs?
ParlaMint-NO_2017-05-10.ana.ud551e1848	I think I have to correct the representative Grande a little bit. Never before has so much been given to Norwegian sport. Never has it been given more to build sports facilities around the country. Never has so much been given to help children from poor families. As former Prime Minister Jagland was concerned about the last time the Labour Party was in government: after eight years of government, there were 15 000 more poor children in Norway. I also think the Workers' Party should learn that this is difficult. That's why you have to work systematically. It's not just about money. It is also about getting parents to work and about conversion. That's why some of the most important government does, to get these parents and families to work so they get income to lay the foundation for a good upbringing for their children.
ParlaMint-NO_2017-05-10.ana.ud551e1856	I have asked the Minister of Justice and Security: ‘The Joint Police Association has strongly warned against dividing the Inland police districts into only three holdings, which could lead to the centralisation of police resources. A majority of the opinions of municipalities, regional councils and police district leaders want five holdings in the Inland. Does the Council of State consider that the Joint Association of Police, Police District and Municipalities and Regional Councils of Hedmark and Oppland to be adequately listened to?’
ParlaMint-NO_2017-05-10.ana.ud551e1863	Let me first clarify what a geographical holding is. A geographical holding comprises a geographical area in a police district responsible for police duties in this geographical area. Geographical holdings may include several service units and locations, and most of the service production and public contact will be maintained at the service unit of the geographical holding. The police service in the Inland Police District is being resolved and delivered locally to the Länsmann and Police Station districts with their offices. In the Inland Police District, as reported by the Ministry, local negotiations have been conducted with the employee organisations on the division of the number of geographical holdings in the police district. The Chief of Police has informed that a summary of opinions concerning proposals for the geographical holding structure of the Inland Police District was submitted to the negotiating meeting in the Inland Police District as one of several basic documents. Several municipalities, regional councils, employee organisations and parts of the management group in the Inland police district have not rejected the justification for three geographical units and that there were good reasons both for a solution of three and five geographical holdings. The police officer points out that, in an organisation in the Inland Police District with three geographical holdings, he will facilitate a better, appropriate watch and alert system, preventive service and public contact. The geographical holdings have the overall responsibility for managing and coordinating the resources of the relevant service units with their service locations in the Inland Police District. The three geographical holdings will be large enough to have a good professional environment and point competence, including a good and robust research environment. Moreover, one of the three geographical holdings will be responsible for the border tasks of the police district. The Inland Police Master justifies a division into three geographical holdings that the best way to meet the requirements set by the Police Directorate for geographical holdings, including the robust professional environment. A division into three geographical holdings will, in the opinion of the police chief, be a forward-looking organisation that also facilitates the creation of good, common culture, which brings with it the best from the three old police districts – Hedmark, Gudbrandsdal and West Uppland – to new Inland police districts. I trust the Chief of Police's assessment of what is the best professional solution for delivering good police services in the district.
ParlaMint-NO_2017-05-10.ana.ud551e1876	In their letter of assignment from the Police Directorate to the local police officers, they have been responsible for local involvement and the geographical holdings are to be determined. At the meeting at Maihaugen in December 2016, Breke already concluded that he entered three geographical holdings – before the hearings and recordings came. So it seemed like the concession was drawn in advance. My question is, when the Council of State has gone for the three units: What advantages does the Council of State see that you have to have holdings where the distance is 4.5 hours of driving, which it takes from Kongswinger in the south to Røros and Tynset in the north – it's 340 km? It is a huge geographical area from South Hedmark to North Hedmark. What common challenges do the mountain region have with Kongswinger and with the Gardermoen region? What kind of common challenges are they facing, and how are they to be better organised into one unit instead of two?
ParlaMint-NO_2017-05-10.ana.ud551e1883	I understand that the representative, Mr. Schlagsvold Vedum, might prefer to see the Stortinget sitting here and detailed and adopting a structure at all levels. As the Council of State and my department, I have to rely on the professional assessments that are actually done locally and in consultation with the interested parties. Here, from the feedback I get from the Inland Police District, it's been a process in which you're involved, you've listened. Then it has to be cut through at some point and made some decisions. And then it's about having a size that takes care of the concerns and objectives of the police reform, which is especially about having strong professional environments that can provide good services and solve complicated crime, and I base those assessments on the fact that the police chief has done well. I hope that the Storting doesn't see it as its task to regulate in detail everything here.
