ParlaMint-NO_2017-05-03.ana.ud198e28	The representative, Mr Knag Fylkesnes, will present a proposal for a representative.
ParlaMint-NO_2017-05-03.ana.ud198e1278	As I have said, both in the previous answer and in the previous answer, I have been concerned that Nav should show flexibility especially initially, when this is new and perceived as new among many of Nav's users. As I have also said, Nav will continue to send written information when the information changes. When it is the same information month after month, it will not be sent out in writing. This is when you can contact NAV Kontaktsenter and get it read out. If you have to have it in writing because you have to apply for a loan or something else, you can also get it printed out. After I have been informed by the directorate, Nav does not have systems where printing can be offered on an ongoing basis to individuals. Either that doesn't apply to anyone, or it applies to everyone. That means that a change, so that you can get continuous prints anyway, will mean that everyone has to get it. In that case, the computer systems will have to be reprocessed and at least 30 million will have to be allocated. kr to fix it. That is why I have been busy getting the information when it is new, but when it is the same information month after month, you have to contact Nav to get it read out.
ParlaMint-NO_2017-05-03.ana.ud198e1287	Then the systems are more important than humans, I understand. But I don't quite understand what the Council of State is doing in the delimitation for when you can get this performance on paper. The majority said that ‘the importance of ensuring adequate information on performance and payments is underlined’. Now the Labour Party was not in that majority, but the majority, among others. The State Council's own party, wrote it in a note. But now it is the Council of State that defines that what is important information and the basis for obtaining the benefit in writing is a loan request, but the individual's security of getting it is set aside. The Council of State believes that the Council of State has a better understanding of what a pensioner needs than, for example, what a pensioner needs. the pensioners' associations, which think this is completely wrong?
ParlaMint-NO_2017-05-03.ana.ud198e1292	As I said in my first answer, we now see that the number of contacts to NAV Kontaktsenter is about the same level as it was before doing this. So much might also indicate that now that this has become more known and you have got more information about what's going on and not what's going on, it's calmed down a lot of pensioners. What is to be regarded as an important message is defined in the eManagement Regulation § 9 — it concerns individual decisions and prior notices under the Administrative Act, other communications relevant to his legal position, and communications which, for other reasons, are of particular importance to ensure that he receives. The social security benefits we are discussing now are the social security benefits where the same information is sent out month after month, where there are no changes in what it says. In addition, information should be provided when there is new information, obviously, there is other information, and it needs to be notified, or for example. the annual task, of which many will also be involved. But when there's no change in the information, you usually don't want to send it out. You can get this via NAV Kontaktsenter.
ParlaMint-NO_2017-05-03.ana.ud198e1304	‘On behalf of a filmmaker, a Danish law firm has issued claims to Norwegian consumers who suspects have seen films via file-sharing pages. The Consumer Council believes that the claim appears baseless, and asks people to ignore both letters and demands. The company has sued for obtaining the identity of about 12 000 IP addresses from various Internet service providers, to which the court has the right to do so under copyright law. Does the Council of State mean that it will be useful?’
ParlaMint-NO_2017-05-03.ana.ud198e1311	The rules to prevent illegal downloading and sharing of copyrighted material on the Internet were introduced in the copyright law in 2013. The background was that illegal downloading has brought on those who create and practice art, significant financial losses. The law introduces strict conditions for the provision of subscription information as well as the introduction of security mechanisms to ensure that these matters are properly dealt with. It is for the courts to assess, after a balance of interests, whether the Internet service providers should be required to provide the identity of a subscriber. The starting point is that the subscription can be linked to an IP address that has been used for illegal copyright download, usually film. In order for the identity to be disclosed, the court must find that the grounds of extradition outweigh the grounds of professional secrecy. In the assessment, the right shall balance the subscriber’s interest against the rightholder’s access to that information, taking into account the gravity, scale and adverse effects of the intervention. In addition, Nkom, the national communication authority, in advance of the decision of the court, shall decide whether to exempt the provider from the obligation of professional secrecy. So there are strict conditions that have been added to the courts to assess. The specific matter to which the representative Rotevatn refers is still under consideration in the legal system, and therefore I do not find it natural to comment on that matter as long as it is not finally settled. However, the Supreme Court has recently, in another case, assessed the issue of the provision of subscription information. At the Supreme Court hearing on 26 April, the identity of eight IP addresses that could be linked to file sharing of a single film was not disclosed to the rightholder. The reason for this was that the extent of the violation and violations did not satisfy the law's extradition requirements. Therefore, I believe that the decision of the Supreme Court shows that the law balances the different interests in a reasonable way.
ParlaMint-NO_2017-05-03.ana.ud198e1323	I'm familiar with the court-martialed ordeal to which the Council of State refers, and I'm happy for him. I also understand that the Council of State refuses to comment on a specific case that is still pending in the judiciary. At the same time, this is nothing new. There have been a number of examples of cases in recent years in which different lawyers have been given the right to submit claims, and there are thousands who have received these claims. Many of the requirements are designed in a way that saves consumers and doubts about their rights. As the Council of State said, one of the purposes of the opening that was given in copyright law is that one should go after it could call the big fish, i.e. people who run commercial file sharing on a large scale, etc. But what's quite obvious is that one here is going after a lot of people who are obviously not in the category of big fish. Doesn't the Council of State have a view as to whether it is a practice of the laws that it believes are justifiable?
ParlaMint-NO_2017-05-03.ana.ud198e1330	Yes, I do, and I believe that we also pay attention to the new copyright law that is now being dealt with in Stortinget. I look forward to having a debate and discussion before the summer just what the representative Rotevatn has to say, that it is the big ones, who systematically and clearly intend to do so, the law is supposed to hit – not the small ones, where there may also be some who don't know what they are actually doing. I believe that the list should be very high in order to implement such drastic measures as we hear here. Therefore, I believe that the decision of the Supreme Court shows that the law is able to balance it in a good way, and the ruling that has now come from the Supreme Court will therefore also contribute to the formation of case law in this area.
ParlaMint-NO_2017-05-03.ana.ud198e1335	I'm happy with the last answer. Now I think the Council of State is clear and – in my view – clear in the right direction. Not least, it's an important point to bring here that there's a lot of people who don't always know that they're doing something illegal. But I want to follow a last track, which also identifies the thing I'm taking from here. It's that they demand this from Denmark and not from Norway. One thing that is significant about it is that in copyright law, a person is required to notify the data protection authorities before going to the collection of IP addresses – in our case, it is the Data Protection Authority. That requirement shall ensure that Norwegian authorities are able to exercise the necessary oversight over actors processing sensitive personal information, which is an absolute IP address. This requirement still exists when correcting this type of requirement from a country other than Norway. The question then arises: How will the Council of State prevent — or try to prevent — the circumvention of important personal data requirements in this way?
ParlaMint-NO_2017-05-03.ana.ud198e1344	The representative Rotevatn asks a very relevant question, which I don't think is the last time we're witnessing. We cannot have it so that everyone living within Norway's borders will be able to deal with our strict personal law, while those from abroad should be able to circumvent it. That is why I am going to take a closer look at the issue and the matter that is being raised. Now I'm waiting for this case and for a possible verdict to become valid, but this is clearly a problem that I'm sure we're going to see more of, and which we from the political side therefore have to go into.
ParlaMint-NO_2017-05-03.ana.ud198e1352	I allow myself to ask the following questions to the Minister of Culture: «The singers at the Norwegian Opera & Ballet are concerned about the future of management seeking short-term contracts for future song soloists. In 2016, the song soloists entered into an agreement not to increase the number of permanent employees due to them. the economic situation. The argument is now being used for artistic reasons. What is the opinion of the Council of State that the Norwegian Opera & Ballet wants more use of temporary posts in Norway’s largest music and stage art institution?’
ParlaMint-NO_2017-05-03.ana.ud198e1361	The Norwegian Opera & Ballet will present opera, ballet and concerts of the highest artistic quality. I understand that the high demand for artistic quality and the need for flexibility in programming make this issue raised in an institution like the Opera. In a performance environment that the Opera represents, we expect every setup and performance to be of the highest quality. The issue of fixed and temporary employment is matters regulated in the collective bargaining agreement, and is therefore a matter between the parties locally in the Opera. The Ministry assumes, both as owner and provider of grants, that the Opera operates in accordance with applicable laws, regulations and administrative provisions, including the laws and regulations applicable to employment. I have full confidence in the board of directors and the management of the Opera and that as a responsible employer they deal properly with the issue of temporary employees.
ParlaMint-NO_2017-05-03.ana.ud198e1370	I hear indications that the Council of State has confidence that the board of directors will hold a collective agreement and agreements between the parties. But there is reason to point out that the signals the management has expressed are not in line with the special agreement that exists today. Access to temporary employment is precisely due to the number of permanent jobs. The consequence of breaking this is that the Working Environment Act will then apply. Does the Minister of Culture see and understand the seriousness of the situation?
ParlaMint-NO_2017-05-03.ana.ud198e1377	Of course, I register and follow carefully that there is some concern at the Norwegian Opera & Ballet. I have full confidence in the board and the management's work in recruiting new leaders who can help to ensure that there is still a high-quality opera and ballet and a wide audience. Then I hope the representative Liadal understands that as the responsible state council, I cannot go into individual matters relating to matters regulated in collective agreements, even individual matters that are a matter between the parties locally. We are concerned by the Ministry of Culture that the Norwegian Opera & Ballet is following the laws and regulations that exist, and we also have confidence in the Board's ability to put the strategy and direction forward for the institution.
ParlaMint-NO_2017-05-03.ana.ud198e1386	There's a reason to ask the question again. Does the Council of State consider that there is a premise to be able to take advantage of annual target positions in the contract to which you relate today, i.e. a minimum of 15 permanent posts in order to be able to take advantage of annual target positions at all? Does the Council of State realize that this is a breach of today's agreement and that the option is to employ everyone in permanent posts? That'll mean a lot more than 15.
ParlaMint-NO_2017-05-03.ana.ud198e1391	I have to repeat my answer. It is the responsibility of the Board of Directors to ensure the proper organisation of the business, to align the Share Act. The Ministry, or I as Minister, neither will nor will provide leadership for the internal organisation of the Opera. We do not deal with individual matters relating to matters regulated in the collective agreement, and this is a matter that is up to the parties locally.
ParlaMint-NO_2017-05-03.ana.ud198e1399	I allow myself to ask the following questions to the Minister of Culture: ‘The Ministry of Culture has for many years communicated that they will make proposals to change the law governing the retirement of ballet dancers and opera singers at the Norwegian Opera & Ballet [[Opportunity Act]] What is the progress in the Ministry of Culture’s work on the new Act on Operation?’
ParlaMint-NO_2017-05-03.ana.ud198e1408	The economic situation of the Norwegian Opera & Ballet is very difficult. This is largely due to the financial burdens imposed by the Act of Operation. Sustainable pension schemes need to be developed in the Opera. It requires the termination of the present Operational Penalty. The Ministry of Culture has worked for a long time on a proposal to amend the Act on Operation. It's a complicated work that takes time. On Wednesday last week, the management of the Opera and the employee organisations were briefed on the main lines of the proposal that the Ministry is working on. The Ministry wishes to replace the present Act on Operational Retirement by a system which ensures that the artistic performers receive multi-annual aid for conversion when they reach the age limit for compulsory retirement. The details of such a new arrangement should, as far as possible, be agreed locally between the parties. I hope to have a good dialogue in the work with the Opera management and employee organisations on what we see as absolutely necessary changes in a pension scheme that is not sustainable for the Opera economy.
ParlaMint-NO_2017-05-03.ana.ud198e1419	Thanks for the answer. What surprises me a little bit is that the government has also set up another sample, which looks at the pension for all those who have special pension arrangements. What amazes me is that you have not been able to bring the law of surgery and those who have special agreements in connection with it into the same work. So you choose to treat opera singers and ballet dancers separately. What is the reason why this has not been seen in conjunction with all the others who are now under assessment in relation to special pension agreements?
ParlaMint-NO_2017-05-03.ana.ud198e1426	That's because – as I also said in my answer – this is a work that takes a long time. It is a good time since this work was started. The government believes that there is a very necessary work going on, because we cannot defend the maintenance of a specific pension scheme for the artistic staff at the Opera that involves a retirement age that is actually 31, 20 and 16 years below the working environment law today sets the upper age limit, namely 72 years. The proposal is about facilitating artists to move to another job after a career in the Opera, instead of receiving a retirement life at the age limit. We're talking about the special age limit of 41 for dancers, 52 for song soloists and 56 for cross singers.
ParlaMint-NO_2017-05-03.ana.ud198e1433	I am fully aware that the pension costs of the Norwegian Opera & Ballet have been and are a demanding matter. At the same time, however, it is also about caring for those who have actually chosen to do this as their life’s work — and entered into this under the pension scheme that has existed until now. In his first reply, the Minister of Culture referred to a meeting with the management of the Opera and the employee organisations. Can she say a little about what this transition period is all about? And how long does one want such a transitional period?
ParlaMint-NO_2017-05-03.ana.ud198e1440	We have had some meetings with the people involved – we have worked for some time on this proposal – and we have invited the parties to come up with their views on the matter before we finish the hearing note. We aim to send out the hearing note if not too long. That's where we'll get back to the details. But it's true that we have to make a replacement, as a conversion grant, when they reach the age limit for compulsory retirement, when we phase out the pension scheme as it is today. I understand that it creates uncertainty. That is why I think it is absolutely necessary that, once we have started this work – which was a long time ago – we continue it, in dialogue with the parties, and that this is something that we can clarify, so that there will not be too much time of uncertainty for those affected.
ParlaMint-NO_2017-05-03.ana.ud198e1450	I would like to ask the Minister of Justice and Defence the following questions: ‘In the decades following the cold days of the war, the assessment of the need for rapidly accessible shelters has changed, and much of the existing capacity will take some time to clarify. But in today's situation of terror and alternative warfare, the threat to the civilian population could be about attacks with toxic gases, viruses, radioactive radiation, and more, and the attacks could come quickly and without warning. To what extent does the Council of State consider urban areas such as Oslo and others to have a good and appropriate preparedness for shelter?’»
ParlaMint-NO_2017-05-03.ana.ud198e1459	In Report. See, inter alia, point 39 of the 2003–2004 Guidelines.\t\t You can change the settings of the grid. \t\t \t ‘Residence spaces shall continue to be part of the protection that society should be able to provide for its citizens. Existing shelters shall be maintained. Civil defence shall conduct the surveillance of detention rooms in order to ensure that they comply with an adequate standard.’;» Refuge spaces are permanent shelters intended to protect the population from damage, primarily in the event of armed conflict. A modern society needs civil protection measures. Existing shelters must therefore be maintained and maintained. It is enshrined in the Civil Protection Act of 2010, including: the following three protective measures are identified: alerting the population, evacuation of the civilian population in war or when war threatens, and public and private shelters for the protection of the civilian population. These measures are deemed necessary in the event of an armed conflict. These measures provide a good protection for the civilian population, given adequate alert time. There is also no alternative to replace the existing measures while providing an equivalent degree of protection. Although the protective measures are primarily for armed conflict, that is, war, crises and situations may arise where one can imagine the need for this kind of protective measure. Unlike armed conflict, any terrorist attack using toxic gases, viruses, radioactive radiation, etc. they are unlikely to be notified in advance. The vast majority of shelters are used daily for other activities such as storage and the like with defined requirements for preparation time. Accumulation rooms will therefore be difficult to operate in the event of unannounced events. A peacetime terrorist attack requires immediate protection of the population. In these situations, the civilian population is also vulnerable because we have seen, in experience, that these types of threat actors can direct attacks directly against civilian targets. NATO underlines that civil protection, crisis management and robust societal critical functions are a prerequisite for each country and thus the overall preparedness and defence of the alliance. NATO has adopted a number of fundamental expectations for the Member States. In all crises, countries shall ensure the maintenance of functioning national crisis management, the management of many injuries and movements of people, safe food, water and energy supply and secure communications and transport systems. The Government has therefore established a programme for the further development of total defence and society’s resilience. A more challenging security policy situation means that those who want to secure society need better tools in the toolbox.
ParlaMint-NO_2017-05-03.ana.ud198e1474	I thank the Council of State for the answer. There may be a lot of reasoning about the transitions between a traditional armed conflict and what we will see of states like this. use terror as its form of war in the future, and other terrorist organisations. So that discussion is extensive, but I want to limit myself now – we have quite a short time – to what is the status of the law, to which the Council of State also refers. The draft investigation by the Directorate of Civil Protection in 2016 concluded that: ‘In practice, shelters have not been managed as a long-term safeguard measure. New shelters have not been built and the existing ones have an undetermined status.» It also states that there is a need for an emergency response force in order to deploy the facilities, and it does not exist, and it also states that the private sector responsible for most of the shelters is rarely aware of this responsibility and what it entails. So the situation described is pretty dramatic in this concept investigation. I would like to ask the Council of State if he agrees that the situation is serious as regards the status of the shelters.
ParlaMint-NO_2017-05-03.ana.ud198e1486	Today, Norway has 25 000 shelters with a capacity of about 2.5 million people. These are broken down by approx. 300000 places in public shelter and approx. 2.2 million seats in private shelters. It is true that after changes to the law in 1998, there is no longer any requirement for all new buildings over a certain size to have shelters. It changed at the end of the 1990s. So, of course, the security situation you're looking at, and the changes that have happened around us, suggest that you might need to have a new review of the conditions of Norwegian shelter, but once again it's important for me to stress that in that threat picture, when we talk about that kind of terrorist act, shelter isn't the most suitable instrument, but it's important that we have a good offer on the shelter side anyway.
ParlaMint-NO_2017-05-03.ana.ud198e1491	I thank you for the additional reply as well. There are many things that can be said about possible situations up against a terrorist incident, where the role of the shelters can be updated, and I mentioned states that are using terror. I think we can see many alternative forms of warfare in the future, where the relevance of shelters can be increased. What's the situation today is that 80 pst. of the shelters of 2.5 million people mentioned by the Council of State are handled by private individuals. It is stated in this concept investigation that they are rarely aware of their responsibility to equip them, maintain them and prepare them, etc. We see it, for example. Here in Oslo, where Stortinget Station, National Theatre Station, Greenland Station are the main shelters in the center. The question is, how are we going to make sure that they are equipped to attack with gas, with viruses, with nuclear weapons and to receive large parts of the population in the shortest possible time? It's not a point to say that it's going to take a long time to prepare them.
ParlaMint-NO_2017-05-03.ana.ud198e1496	It appears from the current regulation of 1995 that the owner and user of the shelter shall keep the room in order and be responsible for preparing it for use in the event of emergency. Checks in the period 2008 to 2012 revealed a lack of maintenance in several shelters, but – and it is important to underline – it also showed that spaces used actively in peacetime are in good condition. So it's a composite picture. In recent years, there have been quite a lot of private activity to shut down shelters, but I can assure the representative that the DSB at Civil Protection, which administers the system, has established a strict practice. Therefore, few shelters have been closed down, but it is, of course, necessary to look at the conditions of some of the shelters, precisely because the security situation has changed.
ParlaMint-NO_2017-05-03.ana.ud198e1506	It doesn't look like the representative has arrived, but we'll wait a bit. As the representative has now arrived, we are going to the question, from the representative Lene Wagslid to Minister of Justice and Defence Per-Willy Amundsen. The President shall draw attention to the duty of representatives to be present when the question is to be asked.
ParlaMint-NO_2017-05-03.ana.ud198e1513	I'm so sorry, President. It shall not be repeated. ‘On the Notodden, there are exciting plans for the establishment of transitional dwellings for the purpose of repatriation after settlement. Transitional residence in Telemark is high on the priority list in the capacity plan, cf. Report. [[2014-2015]] St. 12 Development plan for the capacity of criminal services. In the 2017 budget, the Judicial Committee has written a positive note on the Notodden model and the good work being done. What is the status of establishing more transitional dwellings?’
ParlaMint-NO_2017-05-03.ana.ud198e1522	The government is working to increase settlement capacity in Norway and has done so throughout the government period. Transitional dwellings are prisons with a lower level of safety. They are a specific rehabilitation measure for prisoners in need of penetrating or social training, planning for release, networking, etc. which cannot be offered through criminal proceedings in ordinary prisons. Accomodation in a transitional residence is combined with recreation, where prisoners in the daytime have employment in the form of either work or education outside the community. Criminal services today have eight transitional housing units distributed around the country. Report. St. 12 for 2014-2015, the development plan for capacity in criminal care provided projections showing a long-term need for increased capacity equivalent to 1000 new posts by 2040 and that 550 of these must be established by 2020. Quality assurance draft selection studies have been carried out for the Eastern region including Telemark and for the Agder counties. There is a primary need to expand capacity with high security. In 2015, money was allocated to establish 41 new closed prisons and one own youth unit of up to four places. Money has been granted for expansion at Ullersmo prison and at Inner Eastfold prison department Eidsberg, with 96 and 85 seats respectively. This is necessary to replace parts of Oslo prison that need to be laid down. These places will be completed in June 2017. Money has been allocated in 2016 and 2017 for the design of new prisons in Agder with a total of 300 places. The government will continue its efforts to expand Norwegian prison capacity in order to avoid the recurrence of settlement queues and to provide a sufficient number of custody facilities for the police. We need to look at the need for prison places in a national perspective and on the basis of professional assessments. In this context, several transitional dwellings will also be assessed, but as mentioned, there is therefore a need to increase the capacity of high-security spaces. The Government will therefore return to the priority of actions, allocation needs and progress in the annual budgetary processes.
ParlaMint-NO_2017-05-03.ana.ud198e1535	I thank you for your answer. At Notodden and in Telemark, we have been working for a long time to develop a model for transition buildings. The Minister of Justice and Security is probably also familiar with the Notodden model and that there is a lot of excitement in the Notodden when it comes to the efforts of businesses and the municipality, which could mean a lot to the commitment that has been made to reconciliation and is going back to society. I understand that the Minister for Justice and Security cannot comment on matters in concrete terms, but the Minister for Justice and Security believes that the work done, for example. on the Notodden, will there be a good basis and an important starting point for the framework for the establishment of transitional buildings?
ParlaMint-NO_2017-05-03.ana.ud198e1542	The Notodden model, to which the representative, Mrs Vagslid, refers, is absolutely worth looking at, as the Committee in its form has also pointed out. I believe this is something we should be able to assess in the further work. In the further development of criminal services, the Ministry shall assess different cooperation models, different organisational solutions, the precise objective of which is to provide the best possible opportunity for repatriation through good and possible criminal enforcement. As mentioned above, the government will return to priorities for action, allocation needs and progress. Of course, we will also look at this model in that context and come back to Stortinget in an appropriate way.
ParlaMint-NO_2017-05-03.ana.ud198e1549	Thanks for the answer. I found it very positive that the Minister of Justice and Defence said they wanted to assess this. As I said in my question, Telemark is listed in the capacity plan, and there are certainly different, good locations for new transitional buildings. But for the Labour Party, it's very important that we make sure that one gets less criminal when one comes out of prison than when one comes into prison. As you can see, there is a need for more transitional buildings. The Minister of Justice and Defence says he wants to come back to the Storting with this. Does the Minister for Justice and Security have a time perspective on this?
ParlaMint-NO_2017-05-03.ana.ud198e1556	It is clear that this will also be affected in the ordinary budgets. I share the Vågslid's view that it is an important, priority measure to facilitate repatriation to society. There's also something the government has prioritised and taken seriously. We have several measures to contribute to this. That's $12 million. in the current budget for 2017 to establish three new units for the treatment of drug problems in prison. The system is to provide prison drug treatment and good transitions to further treatment after release. The government has also provided 10 million. For example, in the United Kingdom, the number of prisoners in prisons is higher than the number of prisoners in prisons, and the government has provided funding to extend drug law enforcement programmes and is now a nationwide offer. At all, this is something that the government has taken seriously, and on which we show the effectiveness of measures.
ParlaMint-NO_2017-05-03.ana.ud198e1561	That being the case, it is no. 2 completed.
ParlaMint-NO_2017-05-03.ana.ud198e1575	There is no record. As a result, the cases on today's map have been completed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
