ParlaMint-NO_2017-10-18.ana.ud398e28	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2017-10-18.ana.ud398e1232	I would have hoped that too. The Labour Party is not against the Internet, but we do not believe it is possible to ‘challenge’ itself to a reform of labour skills. That's why we also had over 50 million. to specific projects where it was most important. In Hordaland and Rogaland, we wanted to carry out specific competence projects in sectors such as care and construction. It was important and urgent there and then for real people in real work. What is missing in the Right’s bet is an overall priority – to raise those who are at work now. I saw nothing else through the election campaign but that this competence reform was mentioned. But when the budget comes, it doesn't exist. Then I have to ask: how will a website make a concrete contribution to improving the skills of the labour market?
ParlaMint-NO_2017-10-18.ana.ud398e1243	Let me start by saying that this offer is to "chat" to competence, I think it's a very special way to talk about it, just that we're making sure that people around the country can get a lot of the advice they've been asking for for a long time. The discussions I meet at regular intervals are that we need more advisors here and there. Well, today's technology also makes it possible to have the advice centralised, with good competence to provide help. So four years ago, we joined the government and were re-elected four years ago. And as I said in my answer, this is not a quick fix that you solve in one budget. We're going to have to work on this, not only in the years that come, but in the decades that come. It's going to be one of the big tests on whether people get to be part of the working life. Let me mention that the education sector needs to be reformed for a new situation where people are also going to have education throughout their lives. I have mentioned Competence plus, which is a very important offer to give skills to those who are already in work – with almost a double from when the red-greens crashed. We have four more years where we are going to come up with a lot of measures in this area.
ParlaMint-NO_2017-10-18.ana.ud398e1252	I fully agree with the Council of State that this is a long-term work, but with all the long-term projects we have to start somewhere. That is why the Workers' Party started with a 50 million grant. to concrete measures to raise the level of competence in Hordaland and Rogaland for construction and health and care. That is something I do not understand: when you have referred to a reform of competence as a major project, which is a concept that exists, I find it strange that it is not mentioned in the budget that now exists, that there are no long-term plans for it, that it is just the advisory website. It's probably all right, but I'm asking for the concrete, long-term plans that I'd like to discuss with the Council here. But right now there's not so much on the table to discuss.
ParlaMint-NO_2017-10-18.ana.ud398e1259	I very much agree with the representative Christensen that you have to start somewhere. We started four years ago, and I record that the Workers' Party believes that they started when they brought crisis packages two years later. I believe that the very fact that this is such a large area – which includes many departments, many sectors of our society – makes it something we need to work on continuously. When it comes to competence reform, my party, Right, has made clear promises in this election campaign, and we have given very concrete answers to what we want to do. An example drawn by the Prime Minister in the election campaign was CompetenceFUNN, that companies can be deducted from the tax by investing in the skills of their employees. That's one of the answers, because we see that too many companies don't necessarily pay to increase the skills of employees, even if it pays off for society, so we have to find ways where employers also choose to prioritize it. We have very many such proposals, and I can guarantee the representative Christensen that they will come in rich monn from the government also in the next four years, as they did in the previous ones.
ParlaMint-NO_2017-10-18.ana.ud398e1272	‘The project ‘Watching for children — Quality in kindergarten for children under 3 years’ revealed considerable differences in quality between kindergartens. The Minister of Knowledge stated to the NRK on 10 October that the ‘Barnehage sector has been characterised by capacity building. The quality has come a little under the shadow of it.» In what way does the Council of State consider that capacity has been built in kindergartens in the years 2013 to 2017?’
ParlaMint-NO_2017-10-18.ana.ud398e1279	Let me just start quickly by saying that it was first of all a rather discouraging report, which we have to take the most seriously. My comment was actually – and it is a bit of praise also to the representative Henriksen’s party – that we carried out a large child’s hail at the beginning of the 2000s, which meant that the capacity was massively built up. It was an important welfare reform, which also led to more freedom of choice for very many families, and for which the representative Henriksen's party in his years of government is to have part of the honour. But the question from Henriksen's representative is very specific, and I'm going to answer very specifically. Over the period 2013–2017, the government has been committed to facilitating more flexible admission into kindergartens and providing more children with the right to space in kindergartens. In the State budget for 2015 and 2016, the government granted 740 million. SEK to establish 3400 more kindergartens. The aim of the increase in appropriations was to facilitate more flexible recording solutions in municipalities. During the same period, this increase in appropriations was used to extend the right to children's gardening, so that children were born in September, October or November now have the right to take place from the month they reach the age of one year. In order not to hinder the economy from child care participation for part of these groups, the government, together with the cooperative parties, has introduced two national moderation schemes for low-income families. In total, we've committed over 500 million. SEK to those schemes in the period 2013-2017. These appropriations also include several sites to meet increased demand due to lower prices. Overall, I believe this shows a significant investment in capacity between 2013 and 2017.
ParlaMint-NO_2017-10-18.ana.ud398e1292	The question is whether the capacity corresponds to what you need, and whether you make sure that the money that goes to kindergarten actually goes to better quality. I believe the fasitite after four years now is quite long queues in kindergarten, higher prices and a delayed schedule for pedagogical density in kindergartens. What the Minister of Knowledge has highlighted as a major investment in this budget, money for more kindergarten teachers, is that in practice the families themselves pay through higher kindergarten prices. So in terms of the standard, the Ministry of Knowledge says it's met on average. But does it really help the children's hats in Drammen, who have 6.2 children per adult, or the kindergartens in Us, who have 6.5 children per adult, that the standard of manning is met in Oslo, Ringsaker or Hammerfest? There will be no more time for the children in the kindergarten who have on average too many children, because other kindergartens have fewer. So my question is, does the Minister of Knowledge think that a standard of manning that does not guarantee all children the same right to a good adulthood is a good enough norm?
ParlaMint-NO_2017-10-18.ana.ud398e1299	Let me start by saying a little bit about the quality promise, because that's something that we've also spent a lot of money on in the last period, and that's something we want to keep doing. A new framework plan has now been implemented in kindergartens, and we say that people working in kindergartens should be required to be able to Norwegian. It is quite right, as the representative Henriksen points out, that we now have proposals on the standard of education and on the standard of adulthood, and it is said that we should introduce an obligation – which we also allocate money to this budget – to good information flows between kindergartens and schools and the SFO. It's also true that we're proposing to increase the maximum price by 110 kroner. At the same time, we protect the families who have the worst advice, and in that way I think we both get more money for quality, we increase the kindergarten budgets, and we protect them with the worst of advice far more than the Workers' Party did when they put in government. So finally, as far as the norm is concerned, I could imagine asking a question back to the representative Henriksen: does he think that this norm is not fully financed as it has now been implemented, and in that case does he want to base a new tradition on how we introduce this kind of norm?
ParlaMint-NO_2017-10-18.ana.ud398e1308	Now the Minister of Knowledge continues a new tradition from this government to ask questions when it is the Stortinget to ask questions to the Council of State. But let me get some of what he has said. The kindergarten message, such as to improve quality, fortunately several points of the size were changed. The Storting also demanded a standard of personnel and a standard for several pedagogues in the kindergarten from the government, after they had left their legs behind for many years. It was added already by the Stoltenberg government, and in 2015 the opposition called for a clear plan from the government to introduce the standard of manning. They also asked for an assessment of whether a requirement of 50 pst. kindergarten teachers should be part of the norm. After all, the lack of follow-up by the government has been a frustration for many who work in the kindergarten field. Now, first in spring, the government's follow-up came, among other things. without proper assessment in the case of 50 pst., i.e. half, kindergarten teachers in kindergarten. What I'm wondering is why the government hasn't delivered on what the Storting asked for, among other things. an assessment that half of the children’s home workers should be kindergarten teachers.
ParlaMint-NO_2017-10-18.ana.ud398e1317	I notice that the Workers' Party has begun to find a good place in the role of opposition party, for now I have been criticized both for doing things and for not doing things – and for what I do is what the Storting has asked me to do. I have to assume that when the Storting actually asks the government to do things, then the government does it. And then you're told that you shouldn't have done that – you should have done it before the Stortinge asked for it! It's a very special approach to how our democracy works. I notice that the representative did not answer my question, because I believe it is quite relevant if he believes that we have not fully financed what we say is fully financed, namely that the municipalities over many years have had enough money to employ enough educators and enough adults. Then we say that there are some municipalities that have prioritised it very well, and some municipalities have not done it well enough. And now we put power behind the demands – it doesn't just keep giving money; we make some demands next to it. It is precisely by saying that there should be a standard of pedagogical density in all kindergartens in Norway. I think that's a positive thing, and I don't quite understand what the Workers' Party is critical of, unless they're going to give far more money to a whole new way of financing things in the municipality.
ParlaMint-NO_2017-10-18.ana.ud398e1324	So the ordinary questioning strategy is over.
ParlaMint-NO_2017-10-18.ana.ud398e1338	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
