ParlaMint-FI_2019-11-06-ps-59.u1	The fourth item in the order of business will be presented for the referral.
ParlaMint-FI_2019-11-06-ps-59.u134	Mr President! Improving the livelihood of those living on the pension income of the smallest pensions by raising national pension and guaranteed pension is a very positive thing. In addition to the EUR 34 or EUR 54 for people living in small pensions, which will certainly make it easier to survive in everyday life, it is also noteworthy that this money is quickly returned to the national economy cycle, because there will be no savings from small pensions, and pensioners will spend it on everyday spending. It is important to emphasise that the proposed increases will improve the livelihoods of the least-income pensioners and will also slightly reduce the low-income ratio. The need for income support for pensioners is also decreasing, and this is important because income support should always be the last benefit. So this bill is a good one and a good one, but like the committee, I would like to stress that not only incomes but also the taxes and wealth of pensioners affect the income of pensioners. Expenditure on housing and ill health in particular causes many pensioners difficulties in making ends meet, and this is also reflected in the number of severances of pensioners. Even the current Act on Social and Health Care Customer Fees allows the municipality to moderate customer fees, but this so-called moderation clause is too rarely used. I have even heard it said that the municipalities there do not even know and recognise the existence of this clause of moderation. It is precisely the purpose of the article that is to prevent people from being exposed to unfair situations because of customer charges or the like. I hope that the message of this possibility of moderation will now spread through this and, despite the financial difficulties in the municipalities, moderation would be used where humanly necessary. The worst option is that elderly people do not use services and do not buy medicines because of a lack of money. Studies show that the low socio-economic position is associated with weaker physical and mental performance, higher morbidity and higher mortality in older people. The low-income and low-income elderly need, for example, home service and home care far more than those on higher incomes, but they feel that they are not getting enough of these services. So while this moderation is already possible — and I hope that this issue will be dug up from one of those desk drawers if this matter has been forgotten — we also need a reform of the wider bill on customer fees, and this reform is being prepared in the Ministry. The concept of nursing poverty is also used to describe this phenomenon I described earlier. Nursing poverty is a person who does not get enough help and at the same time feels that he has an unfulfilled need for help, such as care of clothing, washing, nutrition, or cleaning. It is worrying that 26 per cent of those over 75 years of age experience a lot of unfulfilled needs in their daily lives. In terms of daily life needs, care poverty is explained most by low incomes, poor health and also by the residential area. Care poverty is particularly experienced in receiving practical help, such as nutrition, cleaning, washing, or just the most important human basic needs. To sum up, this bill is a very good one, but at the same time it must be admitted that this is only the beginning of improving the situation of low-income pensioners. But we have to start somewhere, and this is a good start. And I would also like to stress the need to carry out multidisciplinary research so that we can, for example, have the whole phenomenon of nursing poverty and pensioners' poverty examined and then taken effective and correct measures in addition to this bill. - Thank you.
ParlaMint-FI_2019-11-06-ps-59.u135	Mr President! This bill on the increase in the minimum pensions, i.e. national pensions and guaranteed pensions, is, in its own way, historic. Its historical context is therefore important to note that it is more broadly related to the priorities of the Government Programme, which take into account older people, and pensioner poverty is now being taken seriously. Why do I say this is historic? Because during the last 25 years, pensioners, older people over 65 years of age, have been the group of income recipients whose benefits have been most weakened, more than at any time in the history of Finland. This government is the first government that now reverses the course in this respect and takes seriously the extensive programme to improve and improve the living conditions of older people. This is one of the reforms that are being made here. Now we are talking about pension provision, but there are a lot of other things that will still be dealt with here in Parliament very broadly, starting with the care guarantees, the dimensions of care, the doctor's access, the improvement of home services, the Ombudsman for the elderly and so on. So the list is a long, fine, valuable list that takes the affairs of the elderly seriously. This is now precisely about raising the minimum pensions, i.e. the guarantee pension and the national pension. So the State's tax resources are being used for this, and that is why it is now on the agenda here in the budget debate. However, I would now like to clarify this so that these concepts are clear, because they are not clear to the citizens either, and we are not clear either. When we talk about the low-income pensioners, the guaranteed pension recipients and the beneficiaries of the national pension, we still have the impression that we are talking about the elderly, the elderly. We are not talking about the elderly, we are not really talking about the elderly. When the national pension system was created in the 1930s, it was precisely the protection of the elderly. And the national pension system was the basis, as an old-age pension, until 1995 until the basic part of the national pension was abolished. The earnings-related pension became our statutory protection for the elderly. This is an illusion in the debates in this Chamber, too, that when we talk about a guarantee pension or a national pension: We have the impression that we are talking about the elderly, the elderly in Finland. We don't talk about them. Eighty per cent of people receiving full national pension, i.e. guaranteed pension, are persons under 65 years of age. Very vulnerable population, very vulnerable population. We are talking about disabled people, we are talking about people with mental health problems, we are talking about people with substance abuse who are unable to participate in working life, and that is why they receive a guarantee pension, and that is why they receive a full national pension. 80% are under 65 years of age. We have more people under the age of 40 who receive full national pensions than those over the age of 65. In this respect, this must now be recognised in this Chamber, that when we talk about national pensions, the guarantee pension, we are talking primarily about disability pensioners. A very, very vulnerable group for which the entire life cycle will be low income. They will also have very little pension cover in due course, and that is why it is a valuable, important addition to take up this group of pensioners, but it is not as if we are taking old-age pensions seriously. It is now good for us to be aware of this. It is just as important to talk about improving the life situation of disabled pensioners as about raising student grants or child supplements. You have to take it. This government programme is now investing EUR 183 million in this, and it is a great thing that this is the first step on this path. After all, there we have the idea of a promise and a commitment that we will try to raise all these pensions under EUR 1400 by EUR 100 during this parliamentary term, which we have as an internal objective in this respect. Another dimension is also included in the Government Programme, which is important to take into account. It is noted that 98 per cent of people aged 65 or old-age pensioners, or those I wanted to talk about right now, receive earnings-related pension, i.e. 98 per cent receive earnings-related pension. This Government Programme contains a entry: ‘Initiating a three-fold survey on howto improve the status of the least-favoured persons in the occupational pension system. “ This is a top priority, in fact it is one of the most important and major openings in this pensioner programme of the Government Programme. Finally, and finally with this entry, we want to seize the money that is earmarked for pensions in the Finnish economy, and the money that has grown into pension funds has been considered virtually untouched. That money is now being helped, and it is of the utmost importance that this step has been taken. It is the idea that negotiations will be launched in the trio; they are already on the way. I would also like to see representatives of pension organisations involved in this negotiation process, as if this were being negotiated in a quadruple, moving forward, because pensioner organisations have a key role to play here. They were involved when a joint report on the folded index came out in 2013. This study was carried out in the four sides, i.e. the social partners were involved, the government was involved, and then also the pensioner organisations, for the first time they were involved in this. It would be desirable if, now that we start thinking about how this EUR 100 increase in pensions under EUR 1400 could be achieved, when the funds from this side of the budget are not clearly enough, the resources that have been made available to the pension system itself could be used in this context: what is the cost, and how can we achieve that? Now I see the red light again. I have to ask for another floor on this subject so that I can move on.
ParlaMint-FI_2019-11-06-ps-59.u136	Do it. There's still plenty of time.
ParlaMint-FI_2019-11-06-ps-59.u137	Mr President! Ladies and gentlemen of Parliament! So much for the Mayan, then, and the big bills.
ParlaMint-FI_2019-11-06-ps-59.u138	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u139	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u140	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u141	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u142	Mr President! There is now a proposal for an increase in small pensions, and it is justified by you. The proposal improves the livelihood of the most low-income pensioners and slightly reduces the low income ratio, and the need for income support for pensioners is also reduced. However, the amounts of euro that have now been raised are far from what Prime Minister Rinne promised on May Day, but this is better than nothing. The increase in the national pension and guarantee pension will increase the minimum pension rate in relation to small occupational pensions. In the committee's deliberations, however, we considered it important that a tripartite study should be launched, in accordance with the Government Programme, on how to improve the position of the smallest people in the earnings-related pension system, because it is worth working for, and work should always be rewarded in the form of pensions. For example, if you have worked for decades on low wages, it must be in the interests of moderation and fairness that your pension is higher than that paid with social aid. It should be noted that the purchasing power of pensioners and the amount of money available are influenced not only by the actual pension, but also by a number of other factors such as social and health care charges, the content of the ceiling, medicines and the price of food and energy. The customer fees for the collection of pensioners have also increased, and many people fail to obtain the services and medicines necessary for financial difficulties. It is not in the interests of pensioners. It is therefore important to ensure that every elderly person is provided with adequate income. The Consumer Fees Act will hopefully be introduced into the Parliament, and when reforming it, the situation of pensioners must be taken into account in order to ensure adequate income and reduce pensioner poverty. The Group of the Party of European Socialists is concerned about the sustainable financing of expenditure increases. Funding is strongly based on the achievement of the 75% employment rate, and the government must therefore demonstrate effective means of raising the employment rate and thus also to finance pension increases. We have therefore tabled a proposal which, however, was not supported by the government. We will protest in the draft statement that Parliament requires that ‘the government should provide adequate employment measures to finance pension increases’. It must be the case that pensioners are allowed to keep at least these small increases as far as they are concerned with this bill if the proposal is adopted.
ParlaMint-FI_2019-11-06-ps-59.u143	Mr President! I would like to ask Mr Laiho about the fact that, at the beginning of that afternoon, at another point in the debate on occupational pensions and what it involves when there was a second draft of the law, and I was left with the ears of Minister Pekos, the representative of the Coalition Party, Mr Sarkomaa, to ask whether this tripartite working party, referred to in the Government Programme, would begin to do so by applying for an increase in small working pensions within the earnings-related pension scheme. — I hope Mr Kiljunen will also listen, because this is a matter of particular importance to him. — — — —
ParlaMint-FI_2019-11-06-ps-59.u144	And now, Mr Laiho, and then back to the list of speakers.
ParlaMint-FI_2019-11-06-ps-59.u145	Mr President! What I meant was that yes, if a person has worked, that pension must be higher than that of a pensioner who is on a mere guarantee pension. It is not right for occupational pensions to be touched in order to be able to finance other pensions. That a person who has earned his pension through his work must also be able to trust that his pension will be received.
ParlaMint-FI_2019-11-06-ps-59.u146	And now back to the list of speakers.
ParlaMint-FI_2019-11-06-ps-59.u147	Mr President! On Saturday I met Toini and Väinön in the yard of the S-market in Reisjärvi. They told me: "Listen, Mikko, we still have to drive a car, we live in a remote area. We have a house to warm up there, not just sell it.” ‘I am entitled to a pension of EUR 700 in the month’, "I don't want to complain,but I worry that I'm sick of being able to save my life. We are no longer healthy, but now we are no longer murmuring," he concluded his impressive speech. The representatives of the pension unions who visited us in the autumn also spoke about the same thing. Pension poverty must be eliminated. Pensioners pointed out that the poverty of pensioners is affected not only by income, pensions, but also by a wide range of expenses: housing expenditure, service charges, food, medicines, mobility and high energy prices. The aged have built us this country. It's our turn to take care of them. Mr President! It should be remembered that during the last parliamentary term the guarantee pension was increased by just under EUR 47 per month by the central government. That was a good start. Now we'll continue along this road. The increases now being made are very important for the lowest-income pensioners. We must continue to try to raise the smallest pensions, and that is why this country must be maintained. However, the level of pension alone is not the only factor in assessing the survival and survival of pensioners in their daily lives. As Mr Aittakumpu has already said, high-quality and easily accessible basic services for people with low incomes and, in particular, for older people with high incomes are very important. We need a social welfare reform, which is very much awaited in municipalities with economic difficulties. As representatives of Vehviläinen and Juvonen have already said, some of the smallest pensioners also receive other benefits, housing allowance or income support. The increase in pensions will in part lead to a reduction in housing allowance and income support, which means that the income left in hand will not increase in full. However, income support is a last resort benefit, and the aim is that no one should have to rely on it for a long time. We must look at the lives of pensioners as a whole. I am pleased that the pension for pensioners who receive a pension of some EUR 609,000 or less each month is now rising. That includes Väinö and Toini. They hope to be supported at home for as long as possible. I also welcome the rise in the additional front allowance, the increase in the full basic allowance for military aid, the increase in the minimum wage limit for leaving the disability pension to rest, and the increase in the pension allowance provided for in the Pension Aid Act. It should be remembered that this law also applies to young people. Young people's rehabilitation allowance and the minimum amount of rehabilitation allowance in vocational rehabilitation will increase by the withdrawal of the guarantee pension. This is also linked to the extension of education and compulsory education, the joint phase of which, alongside vocational training and upper secondary school education, will create a third path, which will also involve this rehabilitative activity, as well as folk high schools, workshops, tenth grade groups and the opportunities that will help young people to move forward. This is very important that we all get involved through rehabilitation in education, work and life aside. I agree with the committee's proposals that, in accordance with the Government Programme, the conditions for introducing an aid scheme alongside the household allowance could also benefit the very least-incomed, as well as the proposal that the reduction of pensioner poverty should be examined in a multidisciplinary way. We need extensive research into pensioner poverty, its nature and its causes, so that we can make the right decisions so that we can eradicate poverty. This was also the wish of the pension unions and Väinö and Toini. That's what we owe them.
ParlaMint-FI_2019-11-06-ps-59.u148	Madam President! The increase in small tax-funded pensions proposed in the government proposal is to be welcomed. The full amount of the national pension will be increased by EUR 34 per month and the guaranteed pension by EUR 50 per month. It is very positive that the livelihoods of the smallest people on pension income will finally be improved. Indeed, the most recent increase in national pension has been more than ten years ago. The proposed increases in national pension and guarantee pension will affect more than 600000 pensioners. So it's a big part of us. The increase in the guarantee pension will also increase the possibility of a slightly higher increase in earnings in addition to the disability pension, and the increase in the guarantee pension will also improve the position of older long-term unemployed. I would also like to emphasise the role of young people. The proposal to increase the rehabilitation allowance for young people and the rehabilitation allowance for vocational rehabilitation to match the guarantee pension is very much to be welcomed. This will contribute to the vocational rehabilitation of young people who are able to work part-time and non-working part-time adults, which is essential for strengthening the quality of life of the individual, i.e. of the individual.
ParlaMint-FI_2019-11-06-ps-59.u149	Madam President! Good speeches, and yes, this is an important decision in that regard and is part of the line the government has tried to promote. I am a little sorry that the opposition in particular is away from here. Especially in the social media, even today, when it was not even this section, but the employment pension legislation and so on, they were making a loud noise that we should now act: where are the Mayan rains on the slopes and so on. But then they won't be here when we talk about it. I appreciate the people of Finland who are here and who have also expressed their clear views in committee, but I wonder about the assembly, it is very special, [ Arja Juvonen’s interlude]
ParlaMint-FI_2019-11-06-ps-59.u150	Mr President! The proposal proposes to amend the law so that small tax-funded pensions would be increased so that the full amount of national pension would be increased by around EUR 34 per month and the full amount of guarantee pension by EUR 50 per month. It is proposed to amend the supplementary provision threshold and the coefficient of additional own contribution of the pensioner so that the change in pension income as proposed would have little impact on the housing allowance of the pensioner and thus reduce the increase in the disposable income of the pensioner. In addition, it is proposed to modify the additional parts of payments for the abandonment of farmers in line with the proposed change in the amount of national pension. The aim is to increase the purchasing power of low-income pensioners and, above all, to make their daily lives easier for the economy. This is a very good presentation from the government, you have to thank me when it's time to thank you. But the fact is that this change does not provide sufficient relief for pensioners who are struggling with financial problems. In addition to the low incomes of pensioners, the key source of problems is the constant increase in living costs. So if we really want to make things easier for this group, it will not happen by hitting the remaining pieces of the Mayan centenary, while at the same time energy taxes are being tightened, the price of electricity is going to go up in the clouds, the price tag for food and medicines will rise, and there will be no relief for the endless rise in the price of living through political solutions. This is not a sustainable equation, and pensioner poverty will increase considerably if we do not soon start to find rational solutions to problems. It is among pensioners that a particularly strong increase in the number of default marking should be a warning to the government that something needs to be done quickly. In the opinion of the Finns Party, comprehensive measures are needed to eliminate pensioner poverty. The economy of the elderly is often weighed down by high health costs. This problem point could be influenced by the impact of customer fee caps and the development of customer fee legislation. In the current model, municipalities have the opportunity to moderate customer charges, but this is not used as much as is necessary in practice. We must also remember the fact that the finances of many municipalities are in distress and there is no room for manoeuvre. The state must therefore take steps to develop the caps on customer fees in such a way that the economy of low-income pensioners can also withstand the burden of payment better than at present. Mr President! The purchasing power of pensioners could also be increased and livelihoods promoted by restoring the so-called mid-term index to occupational pensions for a proportion below 1500 euros. This would bring relief to many low - income pensioners. I believe that the reforms proposed by the members of the Committee on Social Affairs and Health of the People's Republic of Finland in their objection to the ceiling on customer fees and the improvement of the financial situation of pensioners are very good for the government. Mr Juvonen has already spoken many times on this issue, and there is still at least one to come, which means that we are going to have a heavy hearing. On the issue of non-payment labelling: this means that they are also on the increase in the case of pensioners. Similarly, it is very alarming that there are increasing numbers of low-income pensioners in bread queues, especially women — in Finland, in the bread line. They have been, pensioners, builders of our well-being, and the fact that we are on bread lines, that the money is not enough, feels really bad. Now that I have also mentioned the issue of non-payment marking in the case of pensioners, I am still taking advantage of the fact that I have a discussion initiative here in the bag. It deals with the problems of debt, i.e. a wide-ranging debate on everything related to debt, enforcement, default marking. So if the representatives here have not yet signed, then it would be desirable for you to sign. It's an important issue to discuss. - Thank you.
ParlaMint-FI_2019-11-06-ps-59.u151	Mr President! The representative Elomaa, in his recent speech, very strongly highlighted the problem of pensioner poverty and raised one phenomenon, the bread queues, which is a black spot in the Finnish welfare society at the moment. The exact figure is that 40% of the customers of bread queues are currently pensioners, and it is the largest group of users of bread queues. It is larger than the unemployed, students or other socio-economic groups who use bread lines. The bread queues and, above all, the pensioners in the bread line tell us that someone is rotting in our pension system. The basic pension was to guarantee people basic income. That's the starting point, and if we get into the bread line, there's something wrong. In this respect, Mr Elomaa is right. Instead, I was surprised that, although you said quite correctly in your speech, there is a need for a comprehensive programme to tackle pensioners' poverty, and you thanked me for this bill which has now come here regarding the withdrawal of national pensions and guaranteed pensions, why do you not thank the government programme for that? It is the first comprehensive programme to tackle pensioner poverty, which has been made in Finland for a quarter of a century. The government's programme for the elderly deserves a great deal of gratitude and strong support and support from the opposition. I have already listed those objectives in my previous speech and I will not go through them. Now, for the first time, we have a comprehensive programme, and this improvement in guaranteed pensions and national pensions is one part of it — a small step, one part, because it obviously has a bigger step to follow. I would also like to correct some other comments here. I was surprised to hear Mr Laiho’s speech when he reasoned with these words: ‘a pension paid with a fulltime job must not exceed a guarantee pension or a national pension’. In a way, it does not at all understand these concepts at all. When we talk about the old-age pension, which is what this is all about, then the earnings-related pension is the basic pension we have. The only statutory old-age pension we have is therefore an occupational pension. 98% of people over the age of 65 receive an occupational pension, as has been said. It's the basic pension. If, due to short working careers, earnings-related pension remains very small, i.e. if a short working career leads to a low pension, then we have basic security in the form of a national pension — and in the form of a guarantee pension — which improves the fact that it does not remain at an excessive level, and that is what this initiative is now seeking to safeguard. So in no way are they conflicting elements. In this case, the national pension is only a basic guarantee which comes on top of it if it is a matter of very small occupational pensions. When we talk about national pensions, it must be said to Mrs Juvonen when you pointed out that there are elderly people, women in particular, who are receiving full national pensions. That is correct, but now I use a little strong expression when I say that it is a very, very diminishing resource among those who receive their full national pension, for natural reasons, because there are 80,000 under 65-year-olds among 100,000 full national pensions or guaranteed pensions. There are about twenty thousand, in fact 24,000 quite precisely, who are over 65 years old. In practice, they are all over the age of 85, a significant proportion even over the age of 90, and they are the majority of women working in agriculture who have not actually been involved in working life — also a hugely vulnerable group that definitely needs its support, but it is a diminishing resource in the sense that it diminishes by several thousand per year, for a natural reason, and that is why the national pension system, in fact the guarantee pension scheme, is in fact only a disability pension. I am underlining it now because we have just had to have this debate. Mr Juvonen then spoke with a mockery, even though this initiative is good at what the government has done. I don't quite remember the exact wording, but you said "good-bye centenary." This was your design. At least in my own speech, I tried to point out, and you also quoted the fact that the Government Programme stated that ‘a three-pronged study will be launched on howto improve the position of the smallest workers in the occupational pension system’. Why do you say ‘good-bye to the centenary’,when going to the country of origin,the starting point
ParlaMint-FI_2019-11-06-ps-59.u152	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u153	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u154	Mr President! I wonder for a long time whether I will take the floor because I do not usually have a debate about what has been done before and what has not been done. But now I would like to correct Mr Juvonen's speech a little bit, and I would also like to remember the past. Contrary to what Mr Juvonen said, the housing allowance is to be reviewed in order to ensure that the pension is fully increased to the beneficiaries of the pensioner's housing allowance. And then, in connection with this housing allowance, I would now like to remember so much of the past — if I remember correctly — that the Finns of Peru were going to abolish the entire housing allowance scheme for the pensioner and transfer it to the general housing allowance.
ParlaMint-FI_2019-11-06-ps-59.u155	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u156	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u157	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u158	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u159	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u160	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u161	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u162	Madam President! Ladies and gentlemen, thank you for your excellent contributions. That is what I say as an opposition representative, and we have an objection to this government proposal. The reason why, among other things, this intended surgery on housing allowance last season, which was considered, was cancelled, is found here in the places of the Finns of Peru. In other words, we prevented such an operation from taking place because we said it was unreasonable. And the fact that...
ParlaMint-FI_2019-11-06-ps-59.u163	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u164	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u165	Madam President! Thank you to Mr Juvonen for his very constructive speech and for the good debate we have had. It is important that the government hears and listens to the good proposals of the opposition when we face pensioners' poverty. The Coalition Party calls for employment measures. They need to be found and made so that we can take care of everyone. The Finns have highlighted these problems in the customer fee caps, which need to be clarified, and the strengthening of the purchasing power of pensioners. I think they are good things. My parents are over 80 years old. From time to time, my mother still teaches porcelain painting at the Adult Education Centre. His pension is small because he wanted to take care of us wild boys at home and only then left for work outside the home. But he doesn't just work for money, he works for meaning. My father writes actively and continues to do jobs and volunteer work. Of course, the well-being of pensioners, older people, is a matter of livelihood, of the important things we have been talking about today and of the right services to which much has been referred, but also of meaningful activity and life. I'm flagging for active old age.
ParlaMint-FI_2019-11-06-ps-59.u166	Mr President! I'm sorry if my choice of words wasn't good, Congressman Juvonen. For me, however, the term "natural resource" is very, very positive, and I also read man as a natural resource created by the Creator. I, of all people, would like to have a very great deal of respect for our elderly population. It deserves all protection, support and care and also active inclusion in society. It's just a fact that people over 85, over 95 years old are... The natural cycle is such that the number of people who currently only receive national pensions that have not been covered by the earnings-related pension scheme during their working lives is shrinking and it is shrinking, and that is why I said that for these people who are over 65 years old, the number of people who have not been covered by the earnings-related pension scheme is falling drastically. That was my only reference, and there is a natural reason for it, and we share respect together. But instead, Mr Mäkisalo-Ropponen pointed out that he would not want to look back on the past and that with a stick in the eye that does it. But now that this comparison has been made and we are still in a situation where we have just had a change of government and the opposition is very happy — you do not necessarily do it — to blame the present government for the many things that exist in society right now, without this government having even had time to influence it, we still have to look at what that previous government did because it affects this real reality where we are. And that is why, if the President allows me, I would look back on the past in relation to today, because we have — great — representatives of the previous regime parties here on the ground. At least these representatives present, representatives Elomaa and Juvonen, have been in the process of adopting the Government Programme since the last elections in 2015. There was also a comprehensive programme for the elderly in that government programme. I referred to this comprehensive programme of the current government, which took on pensioner poverty. Then the government program went from a completely different perspective. Our country's weakness number one was, according to the previous government's programme — which is supported by Mr Juvonen and Mr Elomaa in this Chamber — the fact that Finland's economy and competitiveness are hampered by the ageing of the population, that is to say, the elderly are the main obstacle to the competitiveness of this national economy and the development of the economy. That is why you built an extensive operating list, not a comprehensive programme to help the elderly, i.e. surgery. This present government leaves an entirely different angle. According to the Government Programme, the elderly are considered to be a resource, a very straightforward entry: ‘Noagepeople do not like to get old. “ It is the starting point from which the present government is going to take action on these issues. And then this with a stick in your eye: What have you signed? What was the government programme when you signed the comprehensive programme for the elderly? 1) The increase in service charges, the net impact of 150 million, plus, comes from it. 2) Reduction in medical expenses, 150 million. 3) Reduced travel allowances for patients, rehabilitation workers, 20 million. 4) Reduction of senior service staff, 70 million. 5) Deterioration of old-age service plans, 10 million. 6) Freeze of national pensions, freezing of the national pension index, 355 million. 7) Reduction of the pension income reduction, 419 million. 8) Deterioration of the price index for social benefits, there is not even a sum. 9) Reduced housing allowance for pensioners, 123 million. (10) Pensions are not subject to a tax deduction on earned income, such as earned income. 11) On top of the whip: if a social contract is not reached, the index increase in occupational pensions will be halved. This was your program, which you have signed as MPs when the True Finns went to the government. This has been your program at that point, which has been passed. Thanks to the opposition, thanks to the opposition, which actively opposed these issues, some of them had to be withdrawn, the pressure became too high. I do not want it with a stick in the eye that is reminiscent of old people, but it is worth watching now that you are opening up in this situation, when we have a government programme that genuinely, comprehensively tackles a number of targets and seeks to improve the position of older people, as has been said, whether it is a question of care, whether it is a question of home services, it is an elderly ombudsman, it is a question of targeted health checks with retired people. There are thousands of new doctors, one week without urgent care, and so on.
ParlaMint-FI_2019-11-06-ps-59.u167	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u168	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u169	Mr President! Indeed, the elderly are behind our welfare state, and they have given it to us, and we can now enjoy those fruits. Thanks to them. There are a few things I have to bring up. In fact, the Finns have been in the government for two years — it is a very short time. [KimmoKiljuen intermediate call] Otherwise, we have to say what has been discussed today: we thank — thank you — but it is still a very small act.
ParlaMint-FI_2019-11-06-ps-59.u170	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u171	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u172	Mr President! The old ones can always be remembered, and it may be worth remembering that, thanks to Sipilä's government, we are now in this situation and we can also afford to make those decisions in this government. Of course, these are not as big solutions and as large sums as some have promised, but I do not think that we should make too much promises in politics either. You have to remember that realism and really see what you can do. With the work that you're doing. The Sipilä government did, can now be implemented by this amount, and this is the right direction. Yle, for example, reduced the impact of Sipilä’s government. Significant increases in the guarantee pension were made in that government, and this led to a positive situation for many pensioners when compared to the beginning and end of the government’s term. So sometimes it is good to remember the old ones too, if you want to remember them.
ParlaMint-FI_2019-11-06-ps-59.u173	Madam President! Ladies and gentlemen of Parliament! There's two things I'm going to fix right now. One relates to the housing allowance for pensioners and the other to this care for the elderly and, among other things, to the nursing allowance, which you raised here. If we're going to dig with a stick right, deep down, we're going to have to go to 2013.
ParlaMint-FI_2019-11-06-ps-59.u174	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u175	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u176	Madam President! We're in the same boat. I don't have a past in this house, but I'm still looking back a little bit. My grandparents were very hardworking people, had to leave their homes behind the border and worked hard for generations. Retired persons are used to working for their bread, and many of them do not want to be at the mercy of others. That's why it's so hard to go to the bread line. It's a good thing we've been talking about bread lines here. I would like to join Mr Elomaa in thanking past generations and current pensioners and the elderly for the work they have done for us and for the country as a whole. Thank you, too, to all volunteers who help poor elderly people. This is poverty that we must tackle together. As we take care of food and housing and basic needs, we also need to involve older and older communities. Money doesn't help if you're lonely. You need a neighborhood, a family or a circle of friends or a community where you can participate, you need school grannies and pappas in schools and kindergartens. Many pensioners want to volunteer. Could we look at this in the future if we could also make up for it? Could the Kaarina of Reisjärvi's Köhänperä pay a little bit to take care of the neighbor Ellis, who is even worse but wants to live in the village surrounded by close people and friends?
ParlaMint-FI_2019-11-06-ps-59.u177	Mr President! A number of speakers have pointed out that during the last term of government, for example, there was no real room for improving people's basic income, including pensions.
ParlaMint-FI_2019-11-06-ps-59.u178	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2019-11-06-ps-59.u179	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
