ParlaMint-NO_2016-11-30.ana.ud343e28	The representative, Rasmus Hansson, will present a proposal for a representative.
ParlaMint-NO_2016-11-30.ana.ud343e1596	Firstly, waiting times are falling considerably. For the slots, the waiting time has been reduced by 40 pst. It's a completely different development than that one under the previous government. There are now 80,000 fewer patients in line. It is quite right that the Workers' Party was able to take back some of the waiting time they themselves had managed to create at the beginning of their government period, at the end, but the waiting time was still higher when they left the government offices, than when they went into the government offices. The waiting lists were longer when they left the government offices than when they went into the government offices. The right to free hospital election voted against the Workers' Party. The right of patients to have a medical deadline for treatment was a right that the Workers' Party fought against. Patients' rights in Norway are mainly fought by the Right Party, the Advance Party, the Christian People's Party and the Left – with resistance from the Workers' Party.
ParlaMint-NO_2016-11-30.ana.ud343e1608	«Gothermen and girls in Norway continue to choose education and occupation very traditionally. It in turn affects future opportunities for pay, career and full-time work versus part-time work. The Labour Party believes it is time to make more systematic efforts to do something about traditional educational choices. We joined the Christian People's Party in promoting a recruitment strategy in the gender equality message that was treated last spring. What will the Council of State do to contribute to gender equality in the field of education selection?’
ParlaMint-NO_2016-11-30.ana.ud343e1615	Norwegian boys and girls, women and men are highly gender-traditional when they make educational and professional choices. It is particularly evident in vocational and vocational training in secondary and in some disciplines of higher education. I agree with the Aasen representative that equality is important, and the government prioritises this, among other things. by following up the gender equality message. The Ministry of Knowledge has initiated follow-up work with two requests decisions in the treatment of the gender equality message. Firstly, we want to look at national rules on quotas for higher education admissions. In cooperation with the Education Directorate, we will explore how admission rules can contribute to better gender balance in higher education, and come back to the Stortinget in an appropriate way. Secondly, we have started work on figuring out the design and introduction of extra points for higher education studies where there is a large overrepresentation of one gender. I've asked universities and colleges to record proposals for more education that might need such additional credits to achieve a better gender balance. In particular, the current equality law aims to improve the position of women, and this means that the Ministry of Knowledge is not currently able to set a quota for men nor to give men additional credits for all studies where they are strongly underrepresented. The draft new equality law has been consulted and the draft provides for special treatment for men. As a result, special treatment can be provided for both ways. It is therefore necessary to follow up the request for additional points for men following the examination of the new law on equality in the spring of 2017. Moreover, in higher education there are a number of measures in place and developments are moving in the right direction. Most universities and colleges are actively working to improve gender balance in their studies, and many of the institutions have recruitment measures and stimulation projects. However, the government cannot change the traditional educational choices and the gender-based labour market alone. The incentives available to the Ministry of Knowledge are hardly enough alone. These are issues that need to be resolved jointly and are therefore also discussed with the social partners.
ParlaMint-NO_2016-11-30.ana.ud343e1628	Girls do better at school. Guys have a lot bigger drop-out from high school. There are hardly any boys on design and crafts or health. There are hardly any girls in electrical, construction, construction. The same applies to the subject schools. The trend is equal, but not as strong in higher education. I feel that the Council of State has an involvement in this matter, but I may as well experience that the concrete measures are not so many. The ones he refers to, are about extra points, study points, which the majority of people ordered the government to introduce, which the Right Party and the Advance Party are not interested in. Does the Council agree that there are good tools to be used, and is there any other means to be used in school – not with the social partners, but in school – to address our gender equality challenges?
ParlaMint-NO_2016-11-30.ana.ud343e1633	I initially agree with the Right and Advance Party on the Stortinget. Now, there might be a little difference between the two parties, but the right traditional attitude has been a scepticism for sex-quotaing, but not dogmatic resistance. It is worth remembering that it was a Right-Minister of Industry – duly debated in his own party – who launched e.g. 40 pst. gender quotaing in the ASA controllers. I think the problem with sex quotas is that very many times it's not an instrument that actually addresses the problem. If you look at e.g. The veterinary study, one will see that the reason there is so crooked recruitment there, is not about different scores, it is not additional points that apply, but it is simply because there are initially fewer boys than girls who are applying. I think the new framework plan renewal in school provides an opportunity to attract more girls to the real subjects, by showing better what real science can be used for, as an example.
ParlaMint-NO_2016-11-30.ana.ud343e1640	One in four teachers is men, but rarely in high school. In kindergartens is 8.5 pst. Men, and at psychology at the University of Oslo is 11 pst. men, of those who were graduated in 2015, are at least ever the lowest. All of these should work closely on people, by all genders. I believe that such a biased gender distribution in these types of groups is particularly unfortunate, and in my view it goes beyond the quality of services, and it does not give real choice in situations where gender matters. Often our own attitudes stand in the way of making the necessary decisions, and then I want to read the following: ‘If we look at girls’ educational choices, they probably often perceive real science as remote and inefficient to contribute to something good in the world. Therefore, it is important to demonstrate that real science also has soft values.’ These are the Council of State's own words in the VG six months after he became the Council of State. Does the Council of State still insist that real science is remote from reality and does not contribute to anything good in the world, and that it needs to be of great value for girls to take an interest?
ParlaMint-NO_2016-11-30.ana.ud343e1652	Now Marianne Aasen is mistaken, at least when she paraphrases what I'm saying. I'm not saying that it's real or that it has nothing to say for the world. However, there have been several reports that have pointed out that one possible reason for the poor recruitment of girls and women to real and technology subjects is that girls, to a lesser extent, probably for cultural reasons, perceive it as relevant to areas in which they are interested. Then, of course, there's something dangerous about such reasoning too, because it can easily lead to one thinking that one must have a separate type of real-life education for girls, but our starting point is that girls in Norway have no weaker real-life outcomes than the boys. In other words, there are no professional barriers for them to choose, for example. depression in mathematics and physics. There must be something else, and then the gender score will be a terrible poor solution. It's probably about culture and maybe what you're interested in.
ParlaMint-NO_2016-11-30.ana.ud343e1663	The question to the Minister for Fisheries is: ‘The use of chemicals against salmonids has exploded in recent years. After use, chemicals are discharged into the sea. On 10 November, NRK Focus referred to how a shrimp fisherman has been damaged as a result of this. He reported the practice and the investigation showed a breach of the pollution law. The matter was nevertheless settled on the basis that the emissions appear to have been accepted by the professional authorities. Can the Council of State guarantee that he will intervene and stop the discharge of harmful chemicals into the sea?’
ParlaMint-NO_2016-11-30.ana.ud343e1672	The question has a serious character. Focus has focused on several current issues and challenges related to current aquaculture production. Several of these challenges have been, and have, high priority, and will be of high priority, both in management and in research. I think I have been quite clear and quite clear that growth in the aquaculture industry should be environmentally sound. Leaktus is the biggest environmental challenge we see in the farming industry today, but our researchers and research communities have at least not been able to demonstrate any link between the use of medicinal products in breeding and shrimp mortality. I, and the government, despite not having full evidence of anything at all, have, on the basis of a precautionary principle and a precautionary approach, assessed and assessed different measures to reduce potential negative environmental impacts, and I have also consulted several proposals. For the sake of fish health and well-being, I will not – and I do not think there is a political majority for it – prohibit the use of medicinal products in the sea, but we must all ensure that the use of medicinal products is done in a proper way, and a ban may also be complicated by the emergence of new medicinal products that may in the long term help us in this challenge. Lacetus is a crustacean, and that the drugs that are made to combat salmonmus will also affect crustaceans in the vicinity of farming, of course, are natural. There's no doubt about it, but we don't know enough, and what we don't know enough about is how and to what extent the use of laxatives in the sea affects crustaceans, other plankton and small fish in the vicinity. So far, research indicates that effects are short-lived, as dilution, degradation and inactivation of lice agents are rapid, except for the substance called flubenzuron. I have therefore proposed specific restrictions on their use.
ParlaMint-NO_2016-11-30.ana.ud343e1681	Thank you to the Council of State for a real and promising answer. The key point is that these laxatives are designed to destroy crustaceans, and everything suggests a very strong precautionary attitude in terms of dumping that type of substance in the natural environment. We have long received messages from shrimp fishermen and others who believe that this has an effect, so I have great expectation of how the council follows up this. But then we have leachy in the mermaids. The Food Safety Authority just notified a plant in Trøndelag with 60-90 lice per fish – high above the borders of the State Councils themselves. This is a situation which, in my career, as occupied with breeding, has repeated countless times despite promises of the opposite. In view of these developments, does the Council of State continue to believe that a five-fold increase in the size of the industry is appropriate?
ParlaMint-NO_2016-11-30.ana.ud343e1690	A new growth regime from 2017 will be in place, and within it, there will be a framework that is very strict in terms of getting growth in the future. Now the industry is not entirely in line with the government and the state council in relation to what is there. I have also made an offer for the industry with a 5 pst. growth based on very, very tight conditions in the case of lice, because it is licectusa that is a criterion for future growth. So it's not the Council of State or the government who think there are possibilities for a five-fold. It is the research communities that are aware that there is an opportunity in the future to have a five-fold increase in the export value of seafood, but it also involves a lot of other things – technology development and what goes on – it is not just salmon alone, but the quality of white fish, among other things, there are many things in this.
ParlaMint-NO_2016-11-30.ana.ud343e1695	I notice that the Council of State says that it is not he who believes that it is open to a five-fold increase in the farming industry – that is what we get back to. We have a very high and ominous growth of mortality in the farming industry, and the basic problem of the farming industry is that you place millions of host animals in an area where there is a natural parasite that is growing enormously, is taken with lice and responds with evolution, and we are in a situation that will only be resolved by the physical or other separation of the host animals, i.e. the farmed salmon. There is no other long-term biological solution to it. Does the Council agree that the time has come to go hard for closed installations?
ParlaMint-NO_2016-11-30.ana.ud343e1705	Let me just make it clear first: I'm not the one who said that it's possible to have a five-fold in the first place, it's the research that has been used by the Stortinget, which has followed up this through the Marine Communication. There's an opportunity to get a five-fold increase in value or export value within what goes on, and I follow up what the Storting has decided through the marine notification. But then I fully agree with the representative Hansson, and there I am very optimistic. The last four permits within the scope of development concessions came now. It is precisely what the representative Hansson is into, closed installations, escape closures and closures for lice, and I see a lot of applicants at this point. The supplier industry, too, is very eager and forward-looking with regard to today’s breeding pains in relation to the development of equipment that ensures this. Then this government has also assumed that it is free to establish farming facilities on land.
ParlaMint-NO_2016-11-30.ana.ud343e1711	Then we go back to question 1.
ParlaMint-NO_2016-11-30.ana.ud343e1718	This question, from the representative Karianne O. Heavy to the Prime Minister, transferred to the Minister of Labour and Social Affairs.
ParlaMint-NO_2016-11-30.ana.ud343e1723	I allow myself to ask the following questions to the Prime Minister – or now: the Minister for Labour and Social Affairs: ‘A society with great differences between people is more unsafe. The growth of sub-classes creates ground for forces that we do not want. ‘Norway is a society with small differences; it’s a good thing we have to work to take care of,” said Solberg in 2010. I fully agree with that. Now, Solberg is prime minister of a bourgeois government that pursues a policy that is in stark contrast to the principle of small differences. Is the Prime Minister willing to take the lead in reducing the disparities in society?’
ParlaMint-NO_2016-11-30.ana.ud343e1732	Small differences in a society are a good thing, and we agree on that. Therefore, this government is pursuing a policy that contributes to the creation, by ensuring that all children are well educated, of more people coming to work, and of a well-developed safety net that helps those outside. Compared to almost all other countries, Norway has small income differences. In Norway too, income disparities have increased since the 1980s, but the increase has been much more moderate than in most other countries. Since 2009, the inequality, measured by the Gini coefficient, has increased somewhat annually. The political platform states that the government will work to ensure that Norway is a country with small differences and minimal poverty. This is followed up in the government's ongoing work in the policy areas concerned. High employment and low unemployment mean that a large proportion of the population are involved in gainful employment, which is particularly important to ensure very small income differences. Increased participation in work is the main means of preventing long-term low incomes and increasing income in the low income groups. Public transfers, together with the tax system, contribute to redistribution and to the reduction of economic inequality. Taxes also help to reduce social and economic differences by financing health, education and other welfare services. If we are to reduce inequality in the longer term, the education system must provide children and young people with basic skills and competences. Furthermore, we need to ensure a well-functioning labour market and an inclusive working life. The tax system and welfare systems must be designed to support the creation of value and high levels of participation in the labour market. Active labour market policies and coordinated wage formation contribute to the smoothing of income inequality. Norway has high levels of immigration from low-income countries. Many lack education and have weak Norwegian skills and low professional participation. This gives flow to the low income groups. In order to counter increased income disparities, it is particularly important that long-term immigrants in Norway are quickly integrated into the labour market. Integration actions, Norwegian training, rapid monitoring and recognition of foreign competence, qualification and education are important in this context. I also refer to the report of the government's follow-up to UN Sustainable Development Goal No. 10, on reducing inequality, in the 2017 budget proposal. Differences will be one of the themes of a new perspective announcement, as the government presents in spring 2017.
ParlaMint-NO_2016-11-30.ana.ud343e1751	Thanks for the answer. I fully agree with the Council of State that our tax system contributes to redistribution, and the government's proposal for a tax system contributes to misdistribution. When you choose to spend 25 billion. This also contributes to an increase in disparities, while the rest of the population is only smoldering. We've got less paperwork, and we've got higher unemployment and greater income differences. Then I must almost allow myself to ask the same question again: Does the Council of State think that this is taking leadership to reduce the differences, or is it taking leadership to increase the differences in society?
ParlaMint-NO_2016-11-30.ana.ud343e1756	I don't know which companies the Tung representative is visiting at the moment, but all of the people I'm visiting are concerned that one should pursue a policy that makes it possible for them to survive in a difficult time. So when the representative talks about tax relief to those who have the most from before, we talk a lot about Norwegian-owned companies that are struggling to pay the bills, among other things. because they have a property tax that they are alone to pay, compared to enterprises owned by non-resident owners. We're dedicated to having viable businesses that can create jobs that can make people have a job to go to, and that way also has a income to live on.
ParlaMint-NO_2016-11-30.ana.ud343e1761	It's obvious that me and the Council of State are quite disagreeable about who benefits the most from the tax cuts of the government. So I'm going to ask some other questions that make it possible for the Council of State to assess whether the differences are increasing or decreasing during this government. During this government, the quarantine period for daily allowances has increased from eight to twelve weeks, it has been cut off in the pay guarantee scheme, and the unemployed have been removed from their holiday pay. Does the Council of State think that there are now greater differences between those in employment and those without a job – or are there less differences now between those in employment and those without a job?
ParlaMint-NO_2016-11-30.ana.ud343e1766	Yeah, we totally disagree about taxes. I'm sure there's no company that wants that tax bill of 10 billion. kr as the Workers' Party wants to serve them. And what's important to remember now is that unemployment goes down. In 14 of the country's counties, it's lower than last year. That's good, but we're not going to lean back. On the contrary, we still need to press up to get more jobs. In the case of holiday pay, what was done was that the scheme was laid down, so that the unemployed could receive holiday money while they were out of work. In the past, the holiday money was paid the year after you got to work. We thought it was more targeted to make sure you got the holiday money while you were out of work and so they needed the money more. But the main difference between those who live in income poverty and those who don't is whether you're at work or not. It is also the background that the government is now working so hard to ensure that we are able to secure the jobs that are, but also to facilitate more jobs through the large, offensive action packages that we have presented in the last budgets.
ParlaMint-NO_2016-11-30.ana.ud343e1775	We're going to question 21.
ParlaMint-NO_2016-11-30.ana.ud343e1783	I would like to ask the Minister for Labour the following questions: ‘There is a difference between having a regular full-time job and being a caller, having a fractional position, a part-time job or a temporary job. It's about security, the ability to establish, pay bills and live an independent life. Most of the time, women are affected by the insecurity, and in the care sector in general. Why has the government removed several important state contributions to a better full-time culture, such as concrete demands in the letters of assignment of hospitals and the full-time pot for action and attempts to create a full-time culture?’
ParlaMint-NO_2016-11-30.ana.ud343e1792	The government is working to increase the proportion of full-time jobs and reduce the use of involuntary and unwanted part-time work. The proportion of women working full-time has increased in the last decade — from 56 pst. up to about 63 pst. The shift from part-time to full-time work has been greatest among women with children under 16 years of age. Ten to twelve years ago, some 55 pst. Full-time, now works about 70 pst. of all women with children under 16 years of age full-time. This suggests that there are results when the theme is given attention and targeted actions such as: the development of multiple kindergartens. This positive development is important to continue. Several attempts have been carried out in recent years to provide financial support for actions aimed at contributing to increased job rates. The Ministry of Municipal Affairs and the Ministry of Modernisation, in cooperation with the social partners, implemented such measures as part of the «Co-operation on a better municipality» programme. The Ministry of Labour and Social Affairs implemented a time-limited effort during the period 2011–2014 to provide financial support for 47 different projects. Trials have been evaluated by Fafo, and the evaluation shows that almost all measures have had a positive impact on job size. Many attempts were made to test out other working time arrangements. Experience from the involuntary part-time experiment is that increasing opportunities to adapt working time systems to the needs of workers is important in order to promote a full-time culture. The size, on a proposal from the government, has changed the provisions of the Working Environment Act so that there is greater access to solutions locally in the individual workplace, within the same framework of overall working time. Extended access to individual contract for the average calculation of working time and increased access to contract between employer and local trustees could make it easier, for example. working longer shifts a few days. The Ministry of Health and Welfare has called for the reduction of part-time use in hospitals at the company’s meetings with health enterprises. This requirement has not been withdrawn. Reduced use of part-time has been — and remains — the theme of the Ministry’s follow-up meetings with health businesses, and the use of part-time has also been reduced in all health regions.
ParlaMint-NO_2016-11-30.ana.ud343e1805	Thanks for the answer. It's positive that the percentage of full-time supplementation has increased. However, part-time is largely covered by unemployment. Of the part-time employees, 73 000 were classified as under-employment in the third quarter of 2016. With the cover ‘underemployment’ my Statistical Central Bureau part-time jobs that have tried to get longer working hours. Two out of three of them are women, which must be seen in conjunction with the large percentage of women working part-time. The total time they wanted to work extra now in the third quarter has been estimated by the SSB to correspond to 27,000 full-time jobs. Then I have to be allowed to ask: it doesn't help to be satisfied with the small percentage increase when there are actually 27,000 full-time jobs that are wanted out there.
ParlaMint-NO_2016-11-30.ana.ud343e1810	I think we agree that it is a goal that as much as possible work full time. It goes without saying that there are too many, especially women, who work less. There is poor use of resources for society, and it is also not good for individual women, who serve less than they could have done, and with the consequences it will have for them later. At the same time, we see that developments are now moving in a positive direction, especially among younger women. Kindergarten policy is probably one of the reasons, but also that it is high on the agenda. It's a cross of thought at 90 pst. of those who work part-time, do it on a voluntary basis. It is therefore important to contribute to the creation of a culture of full-time employment in those sectors where there is a high proportion of part-time employees. We also believe that the changes we made to the Working Environment Act, which made it easier for local people to decide their working hours, could also help to find more tournaments that are suitable for those who work there.
ParlaMint-NO_2016-11-30.ana.ud343e1821	One of the most important measures to combat involuntary part-time work has been to grant part-time work rights corresponding to what they actually work, and the right to expand their position – two measures that Right, the tradition believes, were opposed. In April, however, the Supreme Court decided that a medical nurse at a hospital in Oslo who was in 75 p.m. job, did not qualify for a full-time job when a position of 75 pst. has been issued. The Supreme Court has thus established that part-time workers cannot claim parts of a declared position in order to fill up their own position. We know that this verdict has been used in later cases. Both the LO, the Unio and the Sukepleiar Association have asked the Ministry to clean up and change the legal text so that it can be claimed that the right to take priority over parts of a published position, which was actually the intention of the law. I would like to ask: what makes the Council of State spend so long on this work? And is the Council of State actually doing this work?
ParlaMint-NO_2016-11-30.ana.ud343e1828	We are, as I said in my previous answer, all agree that it is a goal that as much as possible should be able to work full-time, and that those who work part-time will have the opportunity to work full-time. That is why I am also pleased that the Ministry of Health is so clear in its dialogue with health companies that they should work for full-time jobs in hospitals. We also see a positive development in all health regions. I have myself mentioned with the KS, which also employs a large proportion of part-time employees in the health and care sector in the municipalities, that it is important when they are to hire, to ensure that they offer full-time jobs. It is difficult to imagine recruiting young people to the municipal sectors if you cannot offer full-time jobs to young people at the same time, or at least as many jobs as possible. My impression from the KS dialogue is that they are also concerned about this. It must be a joint responsibility for employers who employ part-time employees to contribute to the full-time employment of more people.
ParlaMint-NO_2016-11-30.ana.ud343e1836	«An overall labour and social committee shares the concern for the development of increasing trends in the use of fixed-term contracts without guaranteed remuneration. During the consultation of the Committee in the context of the examination of Document 8:104 S on the prohibition of certain types of employment contracts in Norwegian registered undertakings, it was widely agreed that the intention of the Act for permanent employment is not met by these forms of contract. [[2014-2015]] What will the government do to counteract developments in the labour market where more and more people are employed without pay between jobs?’
ParlaMint-NO_2016-11-30.ana.ud343e1844	I would like to start by stressing that the government is concerned that the working life should have orderly relationships, and that regular employment should be the general rule. The Working Environment Act opens up two forms of employment: permanent and temporary. All employment must take place within the framework of these forms. The law has no definition of what is required for it to be regarded as permanent employment, but case law has said something about agreements that are too poor to involve permanent employment. The Courts may, after a specific assessment, decide whether the employment contracts are in conformity with the law or not. It is the individual employee who must bring such a case before the courts if he considers that the employment is contrary to the law. It is difficult to produce detailed, general legislation that captures all employment-related issues. I therefore believe that the courts are best placed to assess these matters on the basis of the facts. I understand that it may be difficult for those with weak links to work to go to the courts on their case. However, organisations can support each individual professionally and financially, as well as by entering into the case as a party aid. Proposals relating to the form of the contract ‘fixed employment without a guarantee’ have been raised several times here in Stortinget, both to prohibit the form of the contract, to clarify in the legislation what is permanent and temporary employment, and to ensure that all permanent employees of the manning undertakings are guaranteed remuneration. None of the proposals received a majority.
ParlaMint-NO_2016-11-30.ana.ud343e1856	I also believe that there is no obvious answer in this case. My predecessor engaged in dialogue with the parties on the form of the contract, both in writing and orally, in the autumn of 2015, but the parties have different views and different perceptions of reality. This is some of the reasons why it is important to follow developments in forms of association in the future. I would also like to point out that we do not have the basis to say that there is a clear tendency that ‘more and more people are employed without pay between jobs’, as the questioner claims. However, we have launched several research projects to get a better overview of the relationship in Norwegian working life, and we are also following developments closely.
ParlaMint-NO_2016-11-30.ana.ud343e1859	All the experience suggests that when the government says they're following developments closely, it's not done big. We have seen that in the context of the labour market situation. But it is a little special when the Council of State — as the previous Council of State — still points out that it is the judiciary that needs to clarify the situation in relation to the law, because this is actually a law adopted by the Stortinget. And the Stortinget has said something quite clearly in connection with the adoption of the law, namely in connection with Prop. 74 L for 2011–2012, Changes to the Working Environment Act and the Civil Service Act, where contract forms are described on page 45: ‘Without adequate guarantees and predictability of access to employment, a ‘permanent employment’ in the agency will in reality be no more than temporary employment.’ That is what has been repeated by a Joint Committee in the examination of Document 8:104 S for 2014-2015. Then my question is once again: What will the Council of State do to follow up the expressed will of the Great Government?
ParlaMint-NO_2016-11-30.ana.ud343e1871	As I said in my first answer, there are no obvious, simple solutions to this. I think we all agree that we want to have as much as possible a regular job, with a fixed salary, without being able to go into periods between the jobs without pay. At the same time, I don't think anyone in this room wants to ban the manning industry. For many, this is an important supplement in the labour market, and there are also relatively few who are employed by the manpower industry. If I remember correctly, it's approx. 1 pst. employed by this industry. At the same time, we are concerned that these are schemes that should not be exploited, and therefore we have several research projects in progress to follow developments in this sector. There has been a strong increase in the past, and there has been a decrease in its use now. But as I also said in my previous answer, there is quite a lot of disagreement between the parties about how this should be, and so there is no easy solution to how to handle it.
ParlaMint-NO_2016-11-30.ana.ud343e1878	On my question about what the government will do, I have now twice not received an answer, and I consider it a signal that the government will do nothing. The Council of State refers to disagreement between the parties, but it is therefore the Stortinget that adopts Norwegian law. In adopting this law, Stortinget has been very clear about what they think about this form of employment. Doesn't the Council of States think it's a rather bold piece not to follow up what the Storting actually wants to be the understanding of the law, considering that any of the parties disagree?
ParlaMint-NO_2016-11-30.ana.ud343e1885	The law says ‘fixed’ or ‘temporary’ employment, and we agree that we do not want a working life where you have a long stay between the assignments, but I have not seen any suggestion from the Storting that you want to ban temporary employment or the recruitment agencies. There are few who are employed this way today. All the time there's so much disagreement between the parties that there's no obvious answer on how to deal with it, it's hard to imagine how to make a detailed law on this. I have also not seen any concrete proposals from the Labour Party on how this should be handled, unless you want to ban the manning industry, and I have not seen any suggestions on that. I also think it would be very unfortunate to go to the step of banning the manning industry, because for most people this would be a positive entry into the labour market. It may be good for students to take advantage of this opportunity, and it is good for companies that from time to time they can use agencies to make ends meet when they have uneven assignments.
ParlaMint-NO_2016-11-30.ana.ud343e1893	I allow myself to ask the Council of State the following questions: «The Council of State has awarded the Norwegian Working Environment Prize to journalist Gunnar Thorenfeldt. This is a well-earned price for one who has worked hard to detect increasing work environment crime. The Council of State itself received only strong criticism from the National Audit Office for ‘weak and low deterrent efforts to combat occupational crime’ in June. Do the Governments agree that it is right to characterise the government's strategy against the crime of working life as weak, slightly deterrent and thus unsuccessful?’
ParlaMint-NO_2016-11-30.ana.ud343e1902	I would like to start by saying that I disagree with the government's strategy against the crime of working life that has failed. The National Audit Office’s report refers mainly to the work done before the strategy was presented, and there can be no doubt that the government is giving a very high priority to the fight against crime at work. Throughout 2015 and 2016, much has been done by the government to strengthen the fight against crime at work. We have seen a tendency for crime in the labour market to become more widespread, more serious and more complex. This has serious consequences for the workers and businesses concerned — and not least for society. Such crime may be difficult to detect. It is therefore of great value that the media focus on these kinds of issues. The Labour Crime Strategy was developed in dialogue with the social partners and contains measures in a number of areas, affecting the responsibilities of different ministries. The Prime Minister himself is at the head of the follow-up. It is of great importance that public services give priority to the fight against crime at work and that they coordinate their resources in the best possible way and exchange information between themselves. Therefore, five co-located units have been established against labour-related crime. Here, the Labour Inspectorate, the Tax Office, the Police and the Nav cooperate on joint actions to make it as difficult as possible for the criminals in the workplace. A dedicated analysis and intelligence centre has also been established, where the agencies cooperate on knowledge and intelligence to strengthen their common impact on the criminal actors. The Government is also concerned that public sector contractors and suppliers should take the lead in promoting a serious working life. Therefore, the public acquisition legislation is strengthened and new provisions will enter into force on 1 January 2017. Several measures to promote the seriousness of the construction industry are being implemented in cooperation with the parties. One of these measures is regulatory changes to prevent abuse of HMS cards, so that we get more effective supervision in the industry. In these days, the government is working on developing a revised strategy against the crime of working life. This is done in close dialogue with the parties. Work on further developing non-performing measures to combat crime at work and non-discrimination is a high priority. I would therefore rather characterise the government's strategy against labour-related crime as strengthened, more coordinated and targeted.
ParlaMint-NO_2016-11-30.ana.ud343e1919	I notice that the Council of State will not accept that the strategy has failed, but it cannot be successful either as long as the work-life crime as a problem is increasing. That's exactly what's the problem, because it's the serious, organized companies, and not least the workers, who are the first to notice it when crime increases and social dumping takes hold. The Riksrevision confirms exactly the impression that many people have, that unprofessional actors are taking on a growing space for action and broadening their horizons. The report from the Riksrevision is a clear signal to the country's Minister of Labour that one must act more, wider and more forcefully. Does the Council of State believe that the current strategy against labour-life crime, which the government came into force in January 2015, is good? Is it the actual implementation that has failed? Or is it the Riksrevision that's wrong? And what might come into a new strategy?
ParlaMint-NO_2016-11-30.ana.ud343e1928	As I said in my first answer, at least parts of the National Audit Office's report deal with the work before the strategy. There can be no doubt that the strategy we have is good. It is offensive, and it also produces good results. Through the five centres set up – the last of which was established in Trondheim in September – we get good feedback from the state agencies that the work is more coordinated, more targeted and more powerful, not least when each department places its tools in a common toolbox, because the work is more focused than if they work separately. In addition, they learn a lot from each other, and they manage through their coordinated efforts to take more than if they had worked separately. But now we're working on revising the strategy. We will present a new strategy with the parties over the New Year, and then we will see what action is to be taken, what needs to be reinforced, and what needs to be taken. We're busy having a serious work life. It serves the employees, it serves the employers, but not least serves society as a whole in a serious working life.
ParlaMint-NO_2016-11-30.ana.ud343e1937	I agree with the Council of State that this is serious and complicated crime being committed. Tax and tax crime, accounting sickness, fictitious evidence, corruption, financial adultery, corporate confiscation, anti-corruption, money laundering, black work, currency smuggling, human trafficking, social security fraud, fraud, document counterfeiting – yes, a number of other cases may also be mentioned. There is no doubt that the competence of the Labour Inspectorate, who exercises control, needs to be improved – the knowledge that needs to be improved. It may be interesting to hear what is coming, and what the Council of State will focus on new measures to ensure that labour-related crime does not increase to an extent, but that it actually decreases to an extent. What does the Council of State think now, before the strategy is presented, will be her main points in terms of a new strategy to prevent the rise in labour-life crime?
ParlaMint-NO_2016-11-30.ana.ud343e1944	To the competence of the Labour Inspectorate: We have very many competent employees in the Labour Inspectorate. But to ask if you need more competence, most of us would answer yes, without saying that you are not competent. I believe some of the major challenges ahead now, in addition to what the representative said, are just to be in the forefront of technological development and internationalisation. You've seen how the attack case in Bergen was revealed, and how technology makes it possible to commit serious crime on hidden networks. Now I'm not going to shoot out what the new strategy is going to look like. This is what we do, among other things. in collaboration with the parties, and we will work together in a second. However, it is clear that technological development and internationalisation — the consequences of increased globalisation — will also have a greater and greater impact on Norwegian working life. That's what we have to take into account in the years that are coming, and there will also be some of the areas that I think we need to focus more on.
ParlaMint-NO_2016-11-30.ana.ud343e1956	I allow myself to ask the following questions to the Minister of Culture: ‘The cultural survey clearly confirms that social inequality is reflected in cultural use. The level of education, professional status, age and place of residence shall be determined. To counteract this, the Stoltenberg government initiated the cultural niche package, the walking stick, the cultural school lesson and the cultural map of youth. The current government has been eager to remove this in areas by area and has succeeded. Does the Council of State think that society is getting better at this?’
ParlaMint-NO_2016-11-30.ana.ud343e1965	Yes, I believe it is an important task for us politicians to stop and see if there are arrangements we can do better. I believe we have done that in this case. The government prioritises work, activity and conversion in our budgets. The work of reaching out to a large and diverse audience of cultural offerings is important to the government, and I assume that all actors and institutions are working purposefully and systematically with it as a natural part of their ordinary operation. The cultural investigation was based on the fact that democracy, justice and diversity are the values that at the overall level justify public support for cultural life. The arts and culture sector shall contribute to a living and critical public through the production of high-quality arts and culture and by reaching diverse audiences. It is an objective to ensure all access to cultural assets such as theatres, concerts, operas and museums, and to support forms of cultural activity in different groups of the population. Since 2013, we have removed some schemes that have gradually proved not to work as well as originally planned. In return, the government advocates more effective measures against social inequalities in cultural use, such as: Forces for singing, such as Talent Norway, as Kulturtanken – DKS. Singing force is an example of a system that we believe is reaching out much more. Around five sub-programmes have been built up and, through pilot projects, several thousand residents of institutions, school students, asylum seekers and refugees and residents in selected municipalities have contributed to testing models that will lead to more and better singing and culture throughout Norway. It is a project that is very successful, and is one of the projects that replaced one of the original schemes that proved not to work so well. For example, after the normal public concerts were moved to the Norwegian Cultural Council and the Concert at work was completed, the Riks Concerts could be fully focused on the conversion and upgrading of the Cultural School bag and could rather become the Cultural Tank – the DKS, just to achieve the goal of the representative, a goal that we share, how culture should reach all, not just some sections of the population who have grown up with it, who have been taught it, who have the means for it, and who prioritise it.
