ParlaMint-NO_2016-11-16.ana.ud119e28	The called alternate of the Nordland County, Anette Kristine Davidsen, now takes the seat.
ParlaMint-NO_2016-11-16.ana.ud119e1901	I initially asked about this because there has been no consultation or recording round, and I share the government's wish that there should be good and open processes, and engaging processes in which you actually talk to the professionals and also patients. It is stated in the National Health and Hospital Plan that good rehabilitation is often essential to master your own life, and it is to be given to everyone who needs it, regardless of age and diagnosis. It also states that a good rehabilitation offer rarely gets a good result if it is not in a well-planned patient course. The government has presented in the budget an announced phasing-out plan for rehabilitation and rehabilitation. The escalation plan has been strongly criticised following, inter alia, the submission of: due to a lack of funding. I wonder if the Council of State in the situation we are in now, would it be natural to wait with a closure or transfer until that plan is realised and the parties involved are well heard?
ParlaMint-NO_2016-11-16.ana.ud119e1906	It is right that the Hospital Inland should carry out a good and open process, and I require that too. This is an early stage of the process, and we will follow up this question. It is true, of course, that the Hospital Inland is responsible for offering to its patient group and organising it in a good way. In the rehabilitation plan, we state that the specialist health service should continue to be responsible for the specialised rehabilitation. So the recovery plan does not affect specialised rehabilitation, because it will continue to be the responsibility of health regions. There will therefore be no shift of responsibility for the specialised rehabilitation or part of the specialised rehabilitation from the specialist health service to the municipalities. In the escalation plan, we therefore spend the money on building up the offer in the municipalities.
ParlaMint-NO_2016-11-16.ana.ud119e1914	‘According to the Ministry of Health and Welfare there will be a need for a total of 9 200 day activities places for residents with dementia by 2020. The Ministry of Health and Health estimates that by the end of 2016 6 120 places will be missing to meet the estimated need. How can the Council of State be satisfied with this in the last budget of this government?’
ParlaMint-NO_2016-11-16.ana.ud119e1921	Firstly, I do not expect this to be the government's last budget, but a budget in the range of many future budgets. Estimates from 2010–2011 show that about 9 200 day-time activities are needed for residents with dementia. Since the scheme was established in 2012, during the previous government, there has been an under-exploitation of grant funds annually. In total, around 2 900 seats are currently operated under the grant scheme. In 2016, we have allocated funds to 1,200 more day-to-day activities, but so far this year the municipalities have only applied for 570 more places. Daily activities are important both for many residents with dementia and for their relatives. For individuals, the offer can provide meaning, mastery and good experiences, and for many relatives, the offer acts as a long-term relief, as well as helping to prevent or postpone the institution’s establishment. The Government will impose an obligation on municipalities to offer a daily activity offer to residents with dementia, applicable from 1 January 2020. It is therefore important that municipalities now use the grant scheme and the period up to 2020 to think innovatively and to create a varied and wide range of services – and that they take with them those who live with dementia and its relatives, in designing the offer. The government has also promoted Demen Plan 2020, the aim of which is to take care of and integrate people with dementia into the community and to develop better services for both them and their relatives. Under the plan, the government bets, inter alia: on the development and competence of services, adapted services and housing, user and family schools, discussion groups and research. In 2014, 2015 and 2016, the population was assigned to follow-up municipalities that did not apply for grants or that do not have day-to-day activities. Furthermore, the Health Directorate carries out extensive information work to disseminate knowledge about the scheme.
ParlaMint-NO_2016-11-16.ana.ud119e1936	I hear that the Council of States might not be as satisfied with him either, so we can hope that's the last budget he's going to present. Several denments require competence, and municipalities have slowed down in terms of annual care and care. Over 22,000 new municipal works came to our guard, i.e. 2,800 per year. Based on the answers given by the Ministry of Health and Health itself, that figure is now much lower, approx. 1,370 per year. The number of municipal health workers who have taken part in further training is also disappointingly low. Can the Minister of Health explain why it has become this way?
ParlaMint-NO_2016-11-16.ana.ud119e1943	This development began on the watch of the red-green government, so the development of the number of annual shifts in the municipal care service, the reduction in growth – I stress the decrease in growth – started already before the government shift. What's the reason behind that kind of vibration, it's not always as easy to answer. We're now in a period of lower growth in the number of people over 80 years, and then we're going into a new period of increase. It could be one of the reasons. With regard to the finances of municipalities, this cannot be the reason, because the finances of municipalities have been significantly strengthened during this government. I am also, as the representative, concerned about the local authorities' willingness to bet on daily services to this patient group, despite the fact that they are now notified that from 2020 they will have an obligation to have such an offer. And there are good grant schemes available, which they are unfortunately not using.
ParlaMint-NO_2016-11-16.ana.ud119e1952	We're probably in disagreement about local economy and growth. Research shows that demente has great benefits and joy of cognitive and physical training, both as a positive experience and in terms of slowing disease development. Can the Minister of Health explain to me what he has done so far to this vulnerable group in order to prevent?
ParlaMint-NO_2016-11-16.ana.ud119e1959	In the area of prevention in general, the government has provided a public health report to which the Storting has joined. It contains significant measures related to public health work. And in this budget, there's also a public health programme in the municipalities, which we've worked with KS on, where we're going to spend about 50 million. That's exactly what I'm saying. For this special group, this government has done something that is quite unique: to establish and develop the Demen Plan 2020. It has not been developed in the offices, but it has been developed in cooperation with people with dementia and their relatives, in a partnership with the National Association for Public Health and the Centre for Ageing Medicine. It has made us meet people with dementia and their relatives around the country, and they have been involved in designing the plan. There are then daytime activities, the possibility of being active during the day, one of the most important factors they point to, as well as follow-up and training once diagnosed.
ParlaMint-NO_2016-11-16.ana.ud119e1969	I hope the Council of State's blood sugar will answer one more question after he's been here for almost two hours: "regulating your blood sugar is essential to living well with diabetes. Nevertheless, it is stressful — especially for children and young people — to go up to blood 15 times a day. The new Freestyle Libre glucose measuring system has made everyday life much easier, as it measures by means of a scanner and sensor on the arm. Will the Council provide a reimbursement scheme for Freestyle Libre ensuring that diabetics have access to a new and better means of dealing with their serious and chronic disease?’
ParlaMint-NO_2016-11-16.ana.ud119e1976	FreeStyle Libre is a new product, and it is uncertain which patients the product is most relevant to as well as how much benefit patients will have from the product. Therefore, in June 2016, the Order Forum – in the system for new methods – ordered a rapid method assessment of the FreeStyle Libre and the corresponding system for self-measurement of glucose in tissue fluid in diabetes. It is the Knowledge Centre of the Institute for Public Health that is to carry out the methodological assessment. This methodological assessment will also assess, in addition to assessing the usefulness, resource use and severity of the measure, which patients may benefit most from the product. The knowledge centre shall use a maximum of 180 days for this assessment from receipt of documentation from the supplier. In the light of the methodological assessment, it can be clarified whether FreeStyle Libre is to be financed by the public and whether, in the event of such expenditure, it is to be covered by the BIP or by health establishments.
ParlaMint-NO_2016-11-16.ana.ud119e1985	I thank you for the answer – I guess that's about the same thing I got in a written question that the Council of State answered on 13 October. I've calculated a little bit. From June until now, I estimate that 150 days have passed, so we are soon on the 180 days that the Knowledge Centre will use to make the assessment and obtain documentation. One question is whether this is going to be such a fast delivery that you get the answer within the 180 days that are now soon gone. The second question is whether the whole mission is not superfluous, because many other countries in Europe have made this assessment and found it acceptable. The Knowledge Centre has agreed with 77 other institutions in Europe not to do double work. Then there's two questions: is the answer coming within 180 days? And is it really necessary for Norway to do this?
ParlaMint-NO_2016-11-16.ana.ud119e1994	The answer to the first question is: Yes, 180 days apply from the time the Knowledge Centre receives documentation from the supplier. I am not familiar with when the supplier responded to the contact of the Knowledge Centre to obtain sufficient documentation, so I cannot respond to how many days have run since then. It is important in this system that suppliers contribute to the knowledge base for the assessment of the methodology. Then it is absolutely right that the Knowledge Centre has extensive cooperation with other actors and, of course, uses their work in their work. However, it is important that the Knowledge Centre make the assessments and deliver them to a decision-making forum that then makes such an assessment.
ParlaMint-NO_2016-11-16.ana.ud119e2001	Thank you for that answer. A question in this regard is whether the Knowledge Centre and the Order Forum are the right address here, all the time most of those who are going to use it, relate to HELFO and the Primary Health Service, and whether it is not HELFO, who has ensured quality blood sugar measuring equipment for ten years, that could be responsible for that method assessment. They have a trades council where the users are also involved. Then we get a lot of information about this type of blood sugar measurement, especially from parents who see that their children and young people benefit from this tool. It is smaller, but not least it uses smaller insulin – this is a win-win. Although it may be expensive to pay NOK 20 000 and that the State will contribute, a lot of money is already spent on that equipment. The question is whether HELFO can't get the assignment, if the Knowledge Centre may not have even asked.
ParlaMint-NO_2016-11-16.ana.ud119e2012	Since there is uncertainty as to which patients the product is most relevant to, and therefore uncertainty as to whether the decision to use this product is part of the specialist health service or primary health service, it is the Order Forum that receives precisely that type of assessment. The issues raised by the representative here are precisely the kind of questions that will be considered when deciding whether to offer this product on public account is correct or not. Of course, there are issues that will be considered. Here's a work going on, and I hope we can get an answer quickly, so that you can find out if this is a proper offer for this patient group.
ParlaMint-NO_2016-11-16.ana.ud119e2020	I have the following questions for the Minister of Health and Welfare: ‘The working party believes it is very important that care for the elderly does not become a balancing item in the municipal priorities. We are concerned that the tasks that local authorities are now going to do within their tight budgets will hit the weakest of the elderly. We believe that the growth in the number of annual shifts in care services is lower under this government than under the previous one, while the needs have increased. How can the Council of State defend the priority of 25 billion? tax cuts rather than better care for the elderly?’
ParlaMint-NO_2016-11-16.ana.ud119e2029	The government does not deprioritise the care of the elderly; on the contrary, we give municipalities better framework conditions than the previous government power in its period. In order to enable municipalities to further develop their services, they need an economic space for action. When we compare the draft budgets from 2011 to today, we see that overall the action space for municipalities is clearly larger in the period 2014 to 2017 than in the period 2011 to 2013. Even when we compare the actual development of free income, the speech of the figures is clear. The average annual real growth rate for municipalities in the period 2013–2016 was 2.2 pst, while for the period 2009–2013 it was 1.4 pst. If we look at the real growth per capita, it was on average 1.1 pst. in the years 2013-2016, against 0,1 pst. for the period 2009-2013. The municipal operating performance in 2015 was the best since 2006, and there is reason to believe that the operating performance will be at least as good in 2016 as last year. With regard to developments in annual growth, the figures from the Statistical Centre show that in the years preceding 2013 there was a significant decrease in annual growth — from an annual growth of 2745 in 2010 to an annual weight of 1514 in 2013. In comparison, the growth in 2014 and 2015 was 1630 and 1 109 year-olds respectively. Thus, the trend in annual growth was also evident during the previous government. It is wrong when the Workers' Party is trying to make it appear that the government has used the entire space for action to lower taxes. 15 pst. the action space was used to lower taxes, and less than half of these were cut in the taxes on wealth. The other 85 pst. is used to invest in transport, knowledge, health — precisely a high priority for local authorities’ economic space, because it is within the framework of both schools and care for the elderly.
ParlaMint-NO_2016-11-16.ana.ud119e2044	If someone in this post-Trump era is looking for a place to look for a distance between the world of reality and the world of politics, the answer from the Minister of Health and Welfare can serve as a very good example, because in the reality of government there is no unemployment, there are no increasing differences, and there is no shortage of care for the elderly. But out in reality, the Right's own Kåre Reiten in Stavanger, who has been running for 21 years, tells us that now we can't stand any more cuts and reductions in the nursing homes. The operating budgets of the nursing homes are so strenuous that no further reductions can be tolerated, he says. We can't cut any more in quality, he says, the hospitals have had to save quite a lot in recent years, which has led to fewer employees, fewer night shifts. The question is: does the Council of State Bent Höie believe that this is helped by more money to the municipalities or even more billions in tax cuts to the absolute richest in Norway?
ParlaMint-NO_2016-11-16.ana.ud119e2051	This government has recognised to the greatest extent the challenges posed by increasing unemployment in the South of the West, and this is also the reason for the significant action packages put in place for it. With regard to the challenges of care for the elderly, there is something that this government recognises much more than the Workers' Party did in government, and not least what the Workers' Party is doing now, in opposition. Firstly, as my first answer shows, we have strengthened the economy of the municipalities. Secondly, one has also recognised that the quality of care for the elderly is not just about money; it is also about the way care for the elderly is managed. That is why we have reinstated the competence requirements of the municipal health and care services that the previous government has removed. We have introduced a legal right to the care and care of luck, which the Workers' Party voted against. And we are now tightening up demands towards municipalities to establish several places in the care of the elderly, which the Workers' Party is opposed to.
ParlaMint-NO_2016-11-16.ana.ud119e2058	I record that the answer to Bent Höie's party traps in Stavanger is that there is no more money needed, that is better management of the care for the elderly – in a city that has been run for 21 years. Let's move to the Bærum, which is not similarly affected by the unemployment crisis under this government, where, according to the Evening Post, the hospital is described as: ‘the attack of rats’, ‘small rooms with ‘captoalette’ and ‘the living rooms are so small that it is difficult to use available facilities on them’. In this situation, the government chooses to weaken the investment grants. The Council of State is not even able to follow its own promise for the hospital budget. # Mr. kr this year was the more sunny one before the election – 12 bn. kr in the course of four years. You're miles away. So anyway, you have 25 billion. kr in the year to the richest to create more jobs, which do not appear – the greatest time off. Why is it more important to spend money on this than to put some of those billions, at least 10 pst. of the tax cuts, into the care of the elderly? Only it would be a big boost. Why don't you put this first?
ParlaMint-NO_2016-11-16.ana.ud119e2065	There is growth in the welfare that is put first by this government. I would like to remind you that the representative Giske herself has voted for half of these tax cuts. Bærum municipality has been listened to. They are given longer time and receive support schemes for rehabilitation and rehabilitation. In the case of Stavanger Municipality, one of the municipalities has good finances as a result of maintaining a significant proportion of the tax revenue locally. They have now experienced a sharp decline as a result of the fall in the oil price, but remain above other municipalities in terms of income base. But they can be happy that it's not the Workers' Party that runs the municipal income system together with the Center Party, then they would have been in a situation where they kept less of the values created locally. Stavanger is one of the municipalities that really serves that there is a Right-led government in the country.
ParlaMint-NO_2016-11-16.ana.ud119e2075	‘Investigations show that approx. 60 pst. elderly people are undernourished. Why has the government rejected the Workers' Party's proposal for a national strategy on nutrition?’
ParlaMint-NO_2016-11-16.ana.ud119e2082	In spring 2017, the government is presenting an action plan for better diet. Normally, when government strategies are put forward, Storting requires action plans. I guess that's the other way around here. A number of measures have already been taken. We have submitted Competence Plan 2020. It is a separate plan for the recruitment, competence and professional development of municipal care services. We have strengthened the provision of basic, continuing and continuing training to staff in the services and increased support for management training. The contribution to competence through nutrition interventions in the care services was implemented in the period 2011 to 2015. The results are collected in an idea bank, and tools are spreading to other municipalities. We have strengthened the municipal competence and innovation grant in 2016 to enable municipalities to carry out competence, innovation and development work in the field of nutrition. The last country-wide survey on food and meals in hospitals in 2015 shows that improvements are being made compared to 2007. So there are results in the municipalities. But there's still only half that has written nutrition and weighing procedures. We are now working on developing a safety standard for quality in nursing homes, where food and meals will be among the themes. The first quality indicators for nutrition in the care service are published until next year. The circular on preventive home visits in municipalities came in 2016, and a guide on this issue of nutrition is now coming. Nutritional health care supervisor, the Dietary Manual, has recommendations on good diets for the elderly. National professional guidelines for the prevention and treatment of malnutrition shall be reviewed. There shall be a clear requirement for those attending the healthcare service to be able to identify the nutritional status and to receive a customised offer. From 2016 on, nutrition has become an input into the National Patient Safety Programme ‘In Safe Hands’. Furthermore, there are a number of measures that municipalities can implement in a simple way that does not cost anything at all — for example: both the Prime Minister and I travel around the country and the beach and tell the municipalities that they should do so, namely move the dinner serving in a nursing home from early morning/afternoon to the outside of the day, so that the elderly in a nursing home get dinner at the time that is usual. This leads to better nutrition, better sleep in the networks, less drug use, more activity in the day, and less malnutrition. All of these are actions that are now being implemented. In addition, there will be an action plan in spring 2017. I'm more concerned with action in this field than we're now spending more time and resources on creating overall strategies.
ParlaMint-NO_2016-11-16.ana.ud119e2095	And you can get the idea that this is all very well. But what is real is that when there was consultation in the Committee on this proposal for a representative to which I refer, everyone who participated expressed the need for much stronger efforts in the field of older people and nutrition than we see today. It is both because we want action and also because we want a faster progress that has been called for such a strategy a relatively long time ago. Now we're once again told that something will happen in the future, and that the Council of State is really more than happy with what it is today, but the fact is that as many as 60 pst. users of care for the elderly may suffer from misnutrition or be at risk of being affected by it. Is a meal competition between hospitals the most important measure taken by the government in this area?
ParlaMint-NO_2016-11-16.ana.ud119e2104	The answer to the last question is no, and I think the representative also got involved in my original answer, where I listed all the work being done in this area – and more is coming. Had it been the case that all was ‘well’ in the field of nutrition in the care of the elderly, we would not, of course, have given priority to starting all the work that has been done in this area. It is precisely because we recognise the scale of this problem that so many concrete measures have also been taken. Work on the National Action Plan in this area had a large start-up meeting in Stavanger in March 2016, i.e. before the Stortinget discussed the Workers' Party's proposal for a strategy. The action plan has generated a lot of commitment – a lot of input has been made – and the government will present it in the spring of 2017. I am more concerned that we have action plans in this area, that we are implementing actions, than that we are now taking time again to create strategies that are general, without concrete proposals.
ParlaMint-NO_2016-11-16.ana.ud119e2113	I thank you for your answer. Regardless of action plan or strategy, it is a key factor in success in this area, and it is whether you have enough staff to take that job out to each institution against each user. The Nursing Association writes, among other things: that there are busy working days in nursing homes and in domestic services around the country, and helping someone to eat is time-consuming — feeding a person with swallowing problems takes a long time. It's a good example of things that can be difficult to get time for in a busy everyday life. I also refer to the previous questions from the representative Trond Giske, who clearly gets the difference between government policy, which prioritises tax cuts, and our policy, which is to give municipalities the opportunity to hire more people in this important service. Does the Council of State think that employees today have enough time to care for the needs of the elderly at meals?
ParlaMint-NO_2016-11-16.ana.ud119e2124	It varies considerably from municipality to municipality and from institution to institution. We also see that from the nurses' union survey among their members, where they describe their work situation. We see that in some municipalities and in some institutions good recruitment succeeds, people with a high level of skills are occupied in the various positions, reducing sick leave, so that those who are at work have better time, while other institutions fail. To a very large extent, it is about management issues, the willingness to invest in skills, and the municipal systems to work more at a leadership level are precisely these kinds of services. That is exactly what we are prioritizing, as well as what I pointed out in my previous answer, that we are also giving priority to a good local economy. These two things in combination, together with the action plan, I think I will help make a difference in this area.
ParlaMint-NO_2016-11-16.ana.ud119e2129	We're now going back to question 20.
ParlaMint-NO_2016-11-16.ana.ud119e2137	I allow myself to ask a question to Minister of Health Bent Höie: ‘We have seen a pressure on the centralisation of child services in several places in the country. Hedmark is a very long-distance state. Nevertheless, there is a proposal to remove the newly born intensive and childhood wards of Elverum Hospital, so that Hedmark will be without these important functions. Is it a wild national policy on the part of the Council of State that hospital services specifically related to children and young people are centralised?’
ParlaMint-NO_2016-11-16.ana.ud119e2146	I refer to my answer to question 13, from the representative Storberget, and repeat the same answer here: There is no doubt that the Hospital Inland has a demanding distribution of tasks between their hospitals, both professionally and resourcely. I am aware that, in accordance with the decision of the Board of Directors of April 2016, the Hospital Inland is now reviewing various professional areas in order to promote quality and assess the appropriate organisation of services, and to ensure that resources are used as far as possible for direct patient treatment, which is referred to in the governance context as the short-term migration measures. The review shall ensure that the operation of the undertaking is sustainable. These are actions aimed at implementing between 2017 and 2020. One of the areas under consideration is the provision of children and young people. The Inland Hospital informs us that, no matter what the review ends with, there will be extensive outpatient services, daily services and daily services for children and young people in Hedmark and Uppland. An open, involved and predictable process has been set up, involving the relevant municipalities, user organisations and trustees. The hospital also discloses that only one internal process has been carried out in the enterprise. New guidance for health business development plans contains recommendations on the process around different interests and how to involve them. I assume that the leaders I have given are followed, and that any changes are carried out in a professionally sound manner, after any good involvement.
ParlaMint-NO_2016-11-16.ana.ud119e2159	As a government council, you are professionally and politically responsible for which health services and what hospital services we are going to have around Norway. It is a publicly funded offer, which is ultimately the responsibility of political Norway. Hedmark is a very long-distance state. From the northernmost parts of Hedmark to Elverum Hospital, it's over 20 miles. If you're going to add 9 miles, it's almost 30 miles in travel distance for those who're going the longest, if they're going to the Children's and Youth's Department, or to the neonatal intensive care unit, if necessary. Does the Council of State Höie feel that it is right to have such distances and that such an offer should not be made in Hedmark, knowing what district challenges Hedmark states are facing?
ParlaMint-NO_2016-11-16.ana.ud119e2168	It is absolutely right that I am politically responsible for health services in Norway, but I am not professionally responsible. It is extremely important to stress that the professional responsibility for the professional soundness of an offer lies with the management of each business. If you create uncertainty about it, it's very dangerous for patient safety and quality. I make very clear demands as to what kind of process the hospital is performing when they assess changes to the offer. One very clear requirement is that discussions about the kind of changes should be conducted in transparency, with investigations and involvement, involving professionals, users and municipalities that are affected. The alternative is that the process takes place in the enclosed space. I don't think anyone wants that, but then one must also accept that the kind of discussion is taking place in the open room, before any decisions are made.
ParlaMint-NO_2016-11-16.ana.ud119e2175	Of course, the Council of State is responsible for keeping the hospital service we have in Norway a sufficiently professional standard. One of the things that has been important in Norway is that we should be close to the offers. Hedmark is one of the countries of the country with the largest area, it's very large distances. Today, we have a heavy competence environment at Elverum Hospital, which has high local trust. Does the Council of State Höie see that it may be a problem that there can now be a travel distance of several dozen miles for those who are going to a children’s and youth department, if the Children’s and Youth Department and the Elverum’s neonatal intensive care unit are laid down?
ParlaMint-NO_2016-11-16.ana.ud119e2182	Yes, it is clear that distance has an impact on the quality of healthcare in Norway and on the availability of healthcare for patients and users. The time it takes if it's urgent is of importance to quality. This is one of the reasons why the national health and hospital plan is so clear that a person should have safe health services throughout Norway, irrespective of where a boron is located, and that distance should be a factor to be considered. However, the quality of Norwegian health services is not only measured by the emptiness, but also measured by other factors. If an assessor is considering making changes to offers, all the conditions relating to them must be clarified, they must be taken out into the public space. It will lead to discussion, sometimes also to uncertainty and concern, but the alternative is that the kind of processes are going on in the closed room, and I don't think the representative or I would appreciate that. It is the Hospital Inland and Health South-East that finally have to assess whether the changes made here are correct within the framework laid down or not.
ParlaMint-NO_2016-11-16.ana.ud119e2191	The President would like to thank the Council of State Höie for the 18 answers he has given in this ordinary Questionnaire. We proceed to Question 30 – and to the next questioner, who is the representative of Torgeir Knag Fylkesnes – to the Council of State Torbjørn Røe Isaksen.
ParlaMint-NO_2016-11-16.ana.ud119e2201	‘The Minister of Knowledge is now considering a proposal from the Loan Fund to close offices in Tromsø and Ørsta, as well as a gradual decline in Bergen. The justification is more effective through digitisation. However, digitisation makes it possible to carry out the tasks of anywhere in the country, which is also being done today. As a result, this is primarily a centralisation measure. Afterwards, the Council of State has asked for new solutions where Ørsta is included. What is the reason that Tromsø is kept outside?"
ParlaMint-NO_2016-11-16.ana.ud119e2208	The Loan Fund is an example of a public enterprise that has succeeded in using new technologies to provide customers with user-friendly and efficient, high-quality services. It is a desirable development in line with the government's objective of an efficient public sector. One consequence of digitisation and increased automation of processing is the need for fewer employees working on manual handling of issues in the Loan Fund. It is also a desired development that will continue in the future, regardless of how many offices the Loan Fund has. At the end of August I received a proposal from the Board of Loan Banks to wind up the district offices in Ørsta, Bergen and Tromsø. The main reason is that the Board of Directors of the Loan Bank believes that a collection of manual processing in fewer places than at present will best ensure good professional environments that can ensure the quality and effectiveness of the procedure needed in the future. I therefore disagree with Knag Fylkesnes’ description of the proposal as a centralisation measure, because fewer offices are not an objective in themselves, but an instrument to ensure that the quality and efficiency of the services provided by the Loan Fund is best achieved in the future. The loan fund has carried out a thorough investigation and concluded that these considerations are best taken into account if the operations of the Loan Fund are grouped in three locations. I would also like to remind you that the largest reduction in staff working with manual processing is proposed at the Oslo office, with a reduction of 30-35 years. If implemented, the proposals of the Loan Fund have implications for jobs in the regions concerned and for individual employees at the offices of Ørsta, Bergen, Tromsø and Oslo. The Government aims to ensure the distribution of state jobs that contribute to the development of good labour markets across the country. The work on locating new and existing jobs outside Oslo shall be reinforced. The Government, in cooperation with the Left, shall submit a plan for the location of State workplaces. My decision in this case must be based on a balance between the efficient operation of the Loan Fund on the one hand and the impact on the regions concerned on the other. Ørsta is – compared to Bergen, Tromsø and Oslo – a limited labour market in a region with relatively few government jobs. I would therefore like to have a better decision-making basis by having a more detailed assessment of the impact on the Loan Fund's achievement of either continuing the Ørsta office or resolving it differently from what has been proposed. But at the same time, I would like to stress that although we are now asking the Loan Fund for more information about certain local offices, this does not mean that we have drawn any conclusions about the Loan Fund's proposal to wind up the offices, either in Ørsta, Bergen or in Tromsø.
ParlaMint-NO_2016-11-16.ana.ud119e2225	There are several aspects of the process that have led to the proposal currently under consideration by the Council of State that has shuddered. Firstly, the selection that was responsible for making proposals for efficiency improvement explicitly stated in its mandate that Trondheim and Oslo should be kept out, that is, that they should be protected from closure. This means, of course, that it is the other offices that have to take the noise in order to assess efficiency. So it hasn't been a real and open process about what will create the best possible efficiency of the Loan Box's activities. What makes this special is that when you have negotiated another type of solution in Bergen afterwards, and then you try to get another type of solution for Ørsta, and the only one left, and that will be the victim of this closure, is Tromsø. My question to the Council of State is, Is he satisfied with the process that has been set before him for the basis on which he is now going to deal with it?
ParlaMint-NO_2016-11-16.ana.ud119e2234	When the representative Knag Fylkesnes takes up this matter, it is of course not just in place, but quite right. But when he describes the process as not fair and open, it must be seen as a gross mistrust statement to the board of directors in the Loan Fund. I don't share that description. I believe that this has been a good process, and I have full confidence that the board of directors in the Loan Fund has managed this in a good and proper way. So this is a reason why Oslo and Trondheim have been kept out of closure – but not downstaffing. Oslo is where most of the proposal for the Loan Fund is to be reduced. The reason is that very much of the operation of the Loan Fund in the future is about the development of yet another new technological digitisation solution. There are a lot of things you can spread around the world, but precisely those developing environments need to be close to large, heavy ICT environments, and the big, heavy ICT environments have, among other things. around the offices of the Loan Fund in Oslo and Trondheim. Finally, I would like to stress that no conclusions have been drawn in this matter.
ParlaMint-NO_2016-11-16.ana.ud119e2243	I think it is good that no conclusions have been reached, and that the Council of State also underlines it. For me, there would be a much cleaner process if you had looked at it completely openly, looking at what possibilities are in the new technology. There is no indication that he needs to lead to it or that – it doesn't need to be centralization, there may be a lot of solutions out here and go here. But then one gave it the mandate of a group that is going to work on this, with such a commitment, so I think that one has already taken part in how the conclusions of the report should be. What I mean is a weakness in it. The composition of this group has also been special: people from the offices now proposed, representatives from there, have not been part of the group, while those in this «Vernesona» – to call it it – Oslo and Trondheim, were the ones who made up this group. So finally, actually more to the process: when does the Council of State think that one will land this case, and has one also evaluated the arguments that have come in the open letter from the Loan Fund in Tromsø?
ParlaMint-NO_2016-11-16.ana.ud119e2252	I consider all the arguments, and have also had meetings and got more input about this – of course, it should just be missing. I haven't set an end date. Of course, the loan box is interested in making this decision as soon as possible. I would like to believe that employees also want both a thorough process and that they should not withdraw the process for so long that it creates more uncertainty than necessary. So there's one thing I think is absolutely certain: one of the reasons we're going to have digitisation and modernisation of the public sector is to use resources better, so it's an impractical alternative to maintain today's structure just for the sake of more district offices. So we need to take advantage of modernisation and efficiency – when we need less manual handling, we need to take the consequences. This means that the Loan Fund will have fewer regional offices than today. But there are many discussions that remain, still, about which offices to dismantle, and how.
ParlaMint-NO_2016-11-16.ana.ud119e2264	I allow myself to ask the Minister of Culture the following question: 'Wonderful,' said Mr. Wohnn-Arnesen when the government proposed to cut the cultural walker's stick. The exposure was large among the people, and the scheme was saved by the Stortinget. On question 473 from 10 October 2016, which calls for the status of the scheme, the Minister of Culture answers that, as there is no reporting obligation on the funds, the Council of State cannot say anything about the use of the funds. Does the State Council consider that the Storting does not have a right to know the status of the scheme?’
ParlaMint-NO_2016-11-16.ana.ud119e2271	The cultural spa was previously a uniform subsidy scheme for the municipal sector, earmarked culture for the elderly, financed jointly by budgetary resources from the Ministry of Health and Welfare and funds from the Ministry of Culture. The distribution of funds is determined by the Royal Resolution and the funds were mainly to be used for high-quality professional art and cultural dissemination. It was the municipalities that applied for grants to the scheme. The scheme was then regionalised from 2014 onwards by providing a total of 30.8 million. kr was granted as a subsidy to all counties for further distribution to the municipalities. Subsequently, the Ministry of Culture's share of the scheme, as the representative Haukeland Liadal probably knows, was completely terminated in 2015. At the same time, the Ministry of Health and Welfare’s contribution to the scheme was transferred to the Ministry of Municipal Affairs and the Ministry of Modernisation’s budget for 2015 and committed as earmarked grants to the county councils and then continued as free revenues in 2016. Free income is, as Stortinget knows well, funds which the municipalities and county councils freely dispose of without any other consequence from the state than the applicable laws and regulations. Thus, neither the Ministry of Culture nor the Ministry of Health and Welfare have the authority to ask the municipalities to report to them in 2015.
ParlaMint-NO_2016-11-16.ana.ud119e2278	I thank you for the answer, if anything was unclear. A worthy old age deals with, among other things, on access to cultural experiences and cultural and art experiences for all older people in the country are the responsibility of the Minister of Culture. The exposure, which was triggered – and which is still present in the Stortinget – by the government’s unwillingness to the scheme, may have surprised the Right and the Advance Party, but the support parties understood it, and a compromise was negotiated. I am somewhat uncertain from the previous response of the Council of State whether she believes that the cultural spaserstock was laid down in 2015, or whether she can inform the Storting whether we still have an offer for the elderly named the Cultural Spaserstock.
ParlaMint-NO_2016-11-16.ana.ud119e2283	It will be a little difficult to answer this question when the representative Haukeland Liadal claims it is unclear. Then I wonder what's unclear. Is it such that the Workers' Party has now changed its practice that the Workers' Party on the Stortinget wants municipalities to report on what they use the free resources for? In that case, there's something completely new, and I don't know. Can the representative explain whether the Workers' Party now believes anything other than that we should have confidence that our local politicians will do the best for their older people, so that our older people can experience the cultural walking stick – that we trust them to make good disposals? And then it's nice to make it clear if you've changed that practice, because in that case it's something completely new that I've never heard of.
ParlaMint-NO_2016-11-16.ana.ud119e2288	At least there is no doubt that the question mark and its function are in order, among other things. We as a party can ask the Council of State questions, and that's the way it's going to go. I thank you for the answer – which once again was quite disgusting. There's a lot of commitment in this room to how the cultural walking stick works out in the country. The working party provides for an increase in the scheme. We add up to a scheme that works directly from the state budget and not in the municipal framework. Once again, I want to challenge the Minister of Culture: the government lost the fight to put down the scheme, but has today also said away the responsibility of explaining to the Stortinge how this scheme, these appropriations, works out in the country. I have to say that it is surprising to a magnification that has clearly given notice of what they think about the scheme.
