ParlaMint-NO_2016-04-06.ana.ud272e31	The representative of Sveinung Rotevatn will present a proposal for a representative.
ParlaMint-NO_2016-04-06.ana.ud272e1515	Thank you, it was clarifying what this number is, so it's out of the world, in and out of the way, but what I want to follow up with is this with the value of self-reporting, which is highly questionable. There are several people who have expressed themselves in that context, around this, among other things. Vice-Chancellor Ole Petter Ottersen of the University of Oslo, who says that we are in danger of wasting both human and financial resources. He wants a hard time to have the competence verified to a greater extent and believes the proposal from NOKUT would have done it much faster. SOMEKUT yourself, at Stig Arne's scurvy, says: ‘We want to use an assembly band method to make simple assessments of their competence.’ Is that not what is crucial here: self-reporting can be useful, but the important thing is the verification of competence. Don't the Council of State agree?
ParlaMint-NO_2016-04-06.ana.ud272e1525	I am very pleased that academic Norway not only speaks out, but also participates in the efforts of refugees and asylum seekers who have come to Norway. So it's not like this system is going to replace the formal approval system we have today. We have already given NOKUT additional resources in the current year both to recognise foreign vocational training – that was among others. a desire of the parties after the last year’s wage settlement — and to deal with the large queues of people from other countries who wish to formally approve their education. This system cannot replace a formal NOCUT approval by, for example: an engineering education from the home country. What is also important to remember is that among the people who come, and probably also among those who will come, there are a lot of people who don't have a educational background that allows them to just seal the holes through courses at the University of Oslo or in Bergen or elsewhere. Very many people want informal qualifications. Many will, for example, could have more languages without formal schooling, and then this, I believe, is a good tool to supplement the NOCUT process we already have.
ParlaMint-NO_2016-04-06.ana.ud272e1534	This will take some time, because this app will be developed and implemented, and will probably not be used until 2017. In the meantime, it's pretty boisterous, the means that are set aside for NOKUT for this. What's real is that many people sit and wait for trial, if they're allowed to stay. Then there is no mapping. So, once they have received a residence permit, some of them, this self-service app is to come, and then this is to be verified further, where they then enter a new queue. And then the years go by. Isn't it very unfortunate, both for individuals and for society, that we can't get a better organized system? And I'm going back to Ole Petter Ottersen, who says it's a waste of human resources to do it this way when you could go straight on the case and get verified immediately and set up a bonding mechanism – where you immediately had the competence verified.
ParlaMint-NO_2016-04-06.ana.ud272e1543	I'm going to be so humble to say that there are a lot of good arguments for the solution we didn't choose. It would imply that in some way representatives from, for example: NOW, or elsewhere, went around and got access to asylum seekers sitting on reception, and then had a kind of mapping of them there. It would probably not mean that one could provide a formal approval or not over the table. It requires the same system that we have today. What I think is the advantage of this is that it is a system that can last over time, and it will also stand if 30 000–45 000 asylum seekers arrive next year, and 30 000 years after that. We don't know how many will come, probably fewer because of tightening, but nevertheless it can be the situation. This does not replace the fact that NOKUT has also been strengthened in its resources, and that it must also have progress and priority in the formal recognition of higher education — and also money that has been given to academic institutions to make arrangements to fill the gaps in competence that many have.
ParlaMint-NO_2016-04-06.ana.ud272e1556	I will allow myself to ask the following questions to the Minister of Knowledge: ‘What is the government doing to ensure that all pupils in school are given equivalent training, where all students are allowed to participate in the pupil community, where all students are included in the statistics governing Norwegian school development, where all students have textbooks, where students who are most in need of sexual education are also given such training?’
ParlaMint-NO_2016-04-06.ana.ud272e1563	I would like to thank you for an interesting and comprehensive question that concerns a lot of issues, on how to ensure that all students in school are given equivalent training. Let me begin by stating that all children and young people in Norway are entitled to training and to attend their secondary school. Secondly, all students have the right to have training adapted to their abilities and assumptions. This includes, inter alia: that pupils who do not benefit satisfactorily from regular training are entitled to special education. It is important for all students to participate in the pupil community. All students also have the right to a good school environment that promotes health, well-being and learning. Students shall be divided into groups or classes and shall have so much of the training in this group as to satisfy their basic social needs. All students are included in the statistics that will govern Norwegian school development, so I'm talking about the statistics. The quality assessment system was introduced in 2004 and has since then been further developed in order to contribute as much as possible to the development of training provision at individual schools. The quality assessment system provides, inter alia: knowledge of learning outcomes, implementation and learning environment. The aim is to provide a good basis for setting objectives and priority actions to develop the quality of training, both nationally and locally. National tests and student surveys may be the most well-known parts of this system. The national samples are compulsory. However, students entitled to special education or to specific language training may be exempted from the national tests. In order to be exempted, it must be clear that the test results will have no effect on the further training of the students. However, the student himself, or the student's parents, may decide that the student is to carry out the test. Equal training is also linked to the provision of educational material to all students. Both primary and secondary education must be free of charge, i.e. paid by the public fund and not by the individual, which means that students are provided with the necessary education and digital equipment they need in training. Finally, the representative asks how students who are most in need of sexual education receive such training. I want to show that all the students will be trained on issues related to sexuality. The training is anchored in the general part of the curriculum, in the principles of training and in the objectives of competence for different subjects. This training should also be adapted to the pupils. In conclusion, I would like to point out that the government has several competence initiatives to ensure that students receive high-quality training. We are making a major effort – the bet of the times – to further training for teachers, and in the autumn of 2015, more than 5,000 teachers were offered to participate. All the country's secondary schools have the opportunity to participate in the development of youth, the aim being a more practical and varied education to provide better learning and results for students. And through the school-based continuing education initiative Skills for diversity, schools were also able to support students with a minority background even better than today.
ParlaMint-NO_2016-04-06.ana.ud272e1582	On February 25, this year, the Evening Post referred to a case of a Danish study showing that 6 out of 10 youths who have committed sexual assault on other children go to special schools or special classes. And in a comment on that matter, the Norwegian Association for Developmentally Disabled, NFU, claims that students with developmental disabilities are largely excluded from sexual education at school. Sexual education is important both to safeguard sexuality and to learn to set their own boundaries, but also to learn about sexual diversity and to respect the borders of others. What is the Council of State thinking about the claim that people with a developmental disability do not receive sexual education in school today, and what will the Council of State do to ensure a better sexual education for that particular group?
ParlaMint-NO_2016-04-06.ana.ud272e1589	I also read that matter, but I have to admit that I do not remember all the details in that newspaper now. But as I said, regardless of disability or other planning needs, you have a course that is qualitatively as good as that of any other student. All students in Norway are entitled to sexual training, and it must also be adapted. Of course, this is not something we sit and control in detail from the department, but that means that if you like. to teach a group of students with special needs for organisation, it would be natural for the teacher to adapt it to it. So the question is, if you think that the students don't get this type of education, and that it's systematic that they don't get it, then of course it'll be the first to report it to the responsible school and say that this is something that all the students should have, and if not, report it to the county, which is usually the body that controls this.
ParlaMint-NO_2016-04-06.ana.ud272e1598	Governments have mentioned an inclusive school and adapted training. Then it's interesting that Professor Eva Simonsen claims that the so-called knowledge school has replaced the inclusion school, and then the professor refers to the Department of Knowledge's proposal for a new five-year teacher education. The proposal gives rise to strong reactions, including: because it is stated that knowledge of special pedagogics is not necessarily ensured for future teachers and that special pedagogics are marginalised by not being a subject of their own. That's why heavy players, like Professor Simonsen, fear getting a school where just fewer students fit in. Therefore, my question is: How will the Council of State ensure, even through a teacher education, an inclusive school in which all children learn and are seen?
ParlaMint-NO_2016-04-06.ana.ud272e1605	The question of the pedagogical subject, or what is today called pedagogics and student knowledge, and the position it has in a future 5-year master's education, I answered in the previous question. I believe that the educational disciplines will be strengthened, and not weakened. In the case of special education as a master's programme, it is quite right that we have said that there should not be a separate, countable master's programme in primary education, but that does not mean that issues related to it should be learning environment, class management, adapted training, not part of teacher's training. Rather, this is a very important part of teacher training. Among other things, I have the teachers of the future, to the extent that they have not learned it in the past, for example. must be able to recognise students who have serious difficulties in reading and writing that it is an important part of it. Then I don't share that there should be a contradiction between inclusion and knowledge. I'm deeply and fundamentally in disagreement with that.
ParlaMint-NO_2016-04-06.ana.ud272e1625	This issue is postponed to the next Question Time, when the Council of State has left. We go back to question 3.
ParlaMint-NO_2016-04-06.ana.ud272e1634	This question, from the representative of Stine Renate Håheim to the Minister for Municipal Affairs and Modernisation, will be answered by the Minister for Labour and Social Affairs, who will direct him.
ParlaMint-NO_2016-04-06.ana.ud272e1637	‘The government has opened up a series of tasks to transfer to municipalities that may impair the conditions of the disabled. This has encountered strong resistance from user organisations. An expert committee with a broad mandate has now been appointed to assess the responsibilities of the aid policy, but VTA is not part of the investigation. Will the Council of State submit to a professional and broad investigation where user organisations are involved before a final decision on the responsibility for VTA is taken?’
ParlaMint-NO_2016-04-06.ana.ud272e1644	The Government proposed that the financing and management of the measure be permanently organised work, VTA, and permanently organised work in ordinary enterprises, VTO, for the purpose of transfer to municipalities. The notification was addressed in Stortinget on 9 June 2015. In the opinion, the majority of the Committee states that: «the responsibility for aids and long-term job creation is already partly municipal responsibility and users need a full range of services. The aim is to strike a natural balance between state responsibility and municipal responsibility through the investigations. The focus of the solution chosen shall be on users’ concerns’. Before the Ministry of Labour and Social Affairs assesses the matter further, I would like to try out changes in the distribution of responsibilities between the State and the municipality through an experiment in a smaller number of municipalities. The test municipalities will be given greater responsibility for the tasks and actions related to the target population concerned. The aim is to gain more information and knowledge about the benefits and disadvantages of a transfer and whether a transfer of the full responsibility for the action to municipalities can lead to an improved offer to the target audience. The potential for improvement of a transfer to municipalities may lie in the proximity of municipalities to users, local employment and the possibility of better coordination between permanent work and other municipal services. It is difficult to assess the extent to which the potential can be realised without first testing it in practice. It is still too early to say something about the concrete design and duration of the experiment. The objective is to pool experience through the experiment that can contribute to a good basis for an assessment of where responsibility should lie in the future.
ParlaMint-NO_2016-04-06.ana.ud272e1660	For the Workers' Party, permanent work is a labour market measure. There is a state responsibility today, or we see no reason to separate part of it and add it to the municipalities. Now I hear that the Council of State wants to make an effort. But it's been one year since Stortinget dealt with the task message. It concerns 9 000 people for whom there is a considerable uncertainty, who are concerned about the future and their actions. I hear the Council of State can't say anything about the time perspective here, but I want to stress that when you put people's lives in an uncertain situation, it's important that you get a clarification. I could also imagine asking what dialogue the Council of State has had with the organisations of disabled people, both in terms of the experiment and the process ahead.
ParlaMint-NO_2016-04-06.ana.ud272e1667	The task message and the decisions that were taken were taken before my time. But I have recorded that there have been some concerns related to this particular question, and that is the background that I have thought that before we conclude on the final division of tasks, it makes sense to try it first. For my part, I am busy finding the distribution that best offers to the users. I myself have been responsible for this type of business when I was a social agency in Oslo, and I have seen how important the offer is, but also how different the offers can be. When it comes to the decision to try first, I've been in contact with the companies involved, and they're very pleased with that decision. How to test it, we'll get back to it. We're going to send out a hearing note on this later. The goal is to have a good offer for the users concerned.
ParlaMint-NO_2016-04-06.ana.ud272e1676	I repeat my question: what dialogue has there been with the organisations of disabled people in this process? What dialogue has the Council of State had with the organisations that represent the people it actually applies? I also hear that the Council of State, and to the extent that other representatives of the majority, also stress that the objective is a good offer to users. But all these organizations that represent the people involved are, of course, opposed and opposed. The Employers' Association for Growth and Recruitment Companies also wishes to continue to be responsible for the financing of permanent work. So then my last question is, what is it the Council of State has understood that not those who are part of this scheme have understood?
ParlaMint-NO_2016-04-06.ana.ud272e1683	To the question of what dialogue I have had with the trials: we have not had any dialogue yet, simply because the decision that we should have tried, has just been taken. We're going to send out a hearing note before the summer. At that time, everyone who is concerned about this issue will also have the opportunity to speak out at that hearing. Then we're going to get back to what these trials are going to be like. There should be no doubt that the government is concerned about caring for this group's need for activity and work, and then we will see how the experiment should be designed. Then, of course, we will also do so in dialogue with the user groups.
ParlaMint-NO_2016-04-06.ana.ud272e1688	Then we go to question 18.
ParlaMint-NO_2016-04-06.ana.ud272e1695	‘The red-green government presented a job strategy with new measures and instruments in the State budget for 2012. The strategy was developed in close cooperation with the social partners and the organisations of the disabled. In the 15–66 age group, only 43 pst. of the disabled in work in the second quarter of 2015. The proportion is falling and more than 30 percentage points lower than the total population. What does the Council of State do to follow up the job strategy, and when should results and evaluation of the instruments be provided?’
ParlaMint-NO_2016-04-06.ana.ud272e1702	The participation of people with disabilities has remained at about the same level over the last 13 to 14 years. Any variation in the referenced study is largely within the margin of error for sampling uncertainty. It is therefore difficult to establish that there has been a downward trend. Low economic activity often proves to be particularly demanding for vulnerable groups. They compete for jobs with an increasing number of unemployed. One of the main objectives of the government is to maximise the use of resources in the labour market. The government's political platform says that we want to better facilitate the provision of disabled people in the labour market. The government has therefore continued and strengthened the efforts of the Job Strategy for people with disabilities. I follow the implementation continuously through reporting from the Directorate of Labour and Welfare. The implementation of the job strategy was evaluated in 2013. This is also mentioned in the State budget for 2015. From 1 January 2015, the target group of the job strategy was extended to all beneficiaries of redundancy benefits under 30 years. Several of the instruments supporting the strategy have been strengthened and improved. The Government stresses that the development of labour market policy should be knowledge-based. The Government presented Prop in 2014. 39 L for 2014–2015 for the Stortinget with proposals for the further development of instruments that are also part of the job strategy. In the light of various evaluations, it was found that: proposed to increase the use of wage subsidies. In addition, extended access to temporary employment was granted. At the same time, the organisation guarantee was replaced by a new organisation and follow-up agreement from 1 January 2016. It shall provide greater security and predictability for the jobseeker and employer. The allocation of the labour assistance scheme has been strengthened. The number of users has increased to 202 participants as of January 2016. These are schemes that will improve the chances of getting to work for the job strategy target group. The government intends, as the representative knows for sure, to present a communication on Nav in 2016 – if not for as long as – where the proposals of the expert group that has reviewed the management of labour and welfare will be evaluated.
ParlaMint-NO_2016-04-06.ana.ud272e1715	I'm a little worried about the satisfaction that the Council of State gives in its answer, and the whole way it answers. It is among the disabled who were not working in the second quarter of 2015, about 27 pst. who want to get to work. We know that when people with disabilities get into work, about half the number of people who need social benefits is halved. We know that the entire participation in the profession is the foundation of our welfare society. We know that participation in the labour market is declining as a result of lower participation in the labour market among refugees and immigrants. It's very serious what's happening in Norwegian society. We know that the disabled are among the weakest in working life. Would it not then be natural to increase the system of non-time pay subsidies dramatically to allow these people we are talking about here?
ParlaMint-NO_2016-04-06.ana.ud272e1720	I will reject any suggestion that the government takes this lightly. We're not going to do that at all, and we're not going to do that either. This is a very important work. I also believe there is a cross-political consensus that this work is important. As I mentioned in my main response, this government has taken a number of measures to improve the situation of people with disabilities in the labour market and to reduce employers' recruitment thresholds. As I mentioned in my main post: the job strategy has been strengthened, salary subsidies have increased, it has been opened up to temporarily employ to lower the threshold, and we have increased the allocation of labour assistance in the workplace. The IA Agreement has recently been renegotiated where objective No. 2 is about access to working life for people with disabilities. We have now invited the social partners to an idea on how we can provide more jobs for, among other things. The refugees who are now coming, as the representative Lundteg was in. First of all, it is important now that employers open the doors, and of course we should help to recruit.
ParlaMint-NO_2016-04-06.ana.ud272e1727	The Council of State rejects the fact that one takes it lightly, but does not want to respond to the need to provide an evaluation of the functioning of what is specifically related to the situation of people with disabilities. That is a lot of fine wording. Since I'm a member of the Control and Constitutional Committee, I'm tired of fine wording. I hope that's a diplomatic expression. I'm tired of fine formulations, and I'm concerned that we'll see how things work in practice. I am very surprised that the Council of State will not cooperate closely with the non-profit organisations, i.e. the organisations of disabled people, in this area. In all contexts, it is said that the organisations of disabled people are a resource, and that is absolutely true, but then the Supreme Authority, the Council of State in this case, has to bring them with it. Will the Council of State soon bring together the organisations of disabled people, identify the situation, and discuss the necessary new instruments?
ParlaMint-NO_2016-04-06.ana.ud272e1734	There were several elements to this question. In terms of cooperation, there is a great deal of cooperation with the organisations of disabled people, also formally. It has to be. For evaluation, I would like to say again that the job strategy was evaluated by SINTEF during 2013. It's also public. The evaluation was about the implementation of the job strategy, and it was also published in 2014. So there are a number of evaluations that are publicly known and that are mentioned in government documents. I fully agree with Mr Lundteigen that the policy should be knowledge-based. The most important thing is that we take action that works. It has to be the most important of all.
ParlaMint-NO_2016-04-06.ana.ud272e1743	‘After the Workers’ Party’s assessment, VTA is a labour market measure and should therefore not be transferred to municipalities but managed together with other labour market measures. Does the Council agree that VTA is a labour market measure?’
ParlaMint-NO_2016-04-06.ana.ud272e1750	The ‘Precautionary work’ measure is an important part of the overall labour market policy and is regulated by the Labour Market Action Regulation. In this sense, VTA is a labour market measure. As a general rule, labour market measures aim at bringing participants back to normal working life and out of the social security system. These are temporary measures. Durable work differs in several ways. The target group is people who receive or are expected to receive disability benefit in the near future. Other labour market measures shall be assessed and found to be out-of-date. The action has no time limit. VTA shall contribute to maximum standardisation and integration for the developmentally impaired and other users of the measure. The framework for the action needs to be put in place in order to provide the best possible opportunity for the participants to be offered. Account for users is more important than where the responsibility lies. For me, it's a pragmatic question whether it's a state or municipality that's going to be responsible for VTA. The fact that the State is responsible for other labour market measures is not in itself a decisive argument that the primary responsibility for VTA must necessarily lie in the state part of Nav. It is already the case that municipalities own the action organisers and have a significant partial responsibility for the implementation and funding of the VTA. I believe there are good arguments for a transfer to the municipalities and also arguments that the State should continue to have the primary responsibility. My assessment is that it is too early to conclude on this now. As I mentioned in a previous answer here today, I have asked my department to start planning an experiment where some municipalities are getting more responsibility for VTA, and through the experiment we will gather experiences that can contribute to a good basis for where responsibility should lie in the future.
ParlaMint-NO_2016-04-06.ana.ud272e1765	One of the things that has made me the most happy when I've traveled around this country and visited different businesses is to come to companies with a lot of – or just – people working on permanent organized work. It's a professional pride, it's an obligation to face up to work, it's a sick leave that other business can envy them. An important element of this is that VTA is considered to be a labour market measure. I'm a little startled that the Council of State obviously doesn't understand how important it is for those who are in permanent work, that it is a labour market measure and not a social activity measure. I think that would have been all right if, contrary to what she has said in previous answers, she had been willing to listen to those organisations that represent those who use permanent work. So I ask the Council of State to insist that this is a labour market measure and that it should still be a labour market measure.
ParlaMint-NO_2016-04-06.ana.ud272e1772	I have also had the pleasure of visiting many of the companies that we are talking about here, as owners. Oslo Municipality is wholly or wholly owned by ten municipal limited-liability companies and a municipal corporation. I had the pleasure of visiting everyone, and I fully agree with Andersen's representative that there are both job-seekers and sick leave figures that we others can envy them. In the trials that we're now putting up to, and that we're going to send out at the hearing, we want work and activity in focus. There are important frameworks for the attempts we want to make. It is also important to see whether these efforts can improve the provision of municipal services for neighbouring services. I mean, as I said in my first answer, the important thing now is to make sure that we get a good deal for the users. Whether there is a state or municipality, I do not believe that is a crucial question. The crucial thing is: what level is it that is capable of providing the best possible services? Now we send out a proposal at the hearing, and then you want regular processes after that.
ParlaMint-NO_2016-04-06.ana.ud272e1781	In both the current response and in previous responses related to the same topic today, the Council of State has said that the decision on the existence of experimental arrangements has been taken and then it is to be sent to the hearing. With respect to reporting – it is not to give influence to the organisations of the disabled. In fact, if these organisations are to have an influence, it means that one has a conversation, a dialogue, where one has the opportunity to participate and design the proposals to be sent later to the hearing. This is not to take these organisations seriously. If the Council of State is interested in what they think, we know two things: they have strongly opposed the fact that the municipalities should take over part of something that should also be a labour market measure in the future. In addition, municipalities have strongly opposed this because they see that this should compete with other municipal allocation posts. Then my last question is: When it is only to be heard and not involved, will the Council of State care about unambiguous signals coming in, before concluding that such testing schemes should be carried out – and discard this proposal?
ParlaMint-NO_2016-04-06.ana.ud272e1790	I have to say I am a little surprised at the mistrust of the local authorities' ability to discharge this responsibility. I'm also a little surprised by the fear of trying out models of how to do this in a better way. I am absolutely convinced that the municipalities will be able to do this, and I am also sure that the offer will be good. Now what we're saying is that we want to try it out in some municipalities first, that's what we want to do. The content of the experiment we have to get back to, we haven't gotten there in the process. The first thing we did was say we should have an experiment, and then we have to get back to how the hearing note should be designed. Of course, I am concerned that there should be good dialogue with user organisations.
ParlaMint-NO_2016-04-06.ana.ud272e1801	This question, from Hege Haukeland Liadal to the Minister of Culture, will be answered by the Minister of Labour and Social Affairs on behalf of the Minister of Culture, who has been away.
ParlaMint-NO_2016-04-06.ana.ud272e1804	‘Children and young people with disabilities participate to a lesser extent than other children in organised recreational and sporting activities, and the older they get, the less they participate. How does the government contribute to the participation and inclusion of disabled children and young people in sports, cultural and recreational arenas?’»
ParlaMint-NO_2016-04-06.ana.ud272e1811	Voluntary organisations in the fields of culture, sport and art are responsible for the main leisure activities of children and young people. Participation in volunteering opens up experiences, mastery, friendship and belonging. Children and young people with disabilities participate less in social activities than their peers. The government is concerned that all children and young people have good opportunities for participation, experiences and activities in volunteering and sport. The overall goal of sport policy is sport and physical activity for all. The public should contribute to the framework conditions under which sport can succeed in providing people with disabilities with a good range of activities. It is a goal for Norwegian sport to provide disabled and disabled people with an equivalent level of activity and opportunities to develop sport at all levels. There is still a lot of work to be done before this goal is achieved. Therefore, in the 2015 grant to the Norwegian Sports Association and the Olympic and Paralympic Committee, the government reinforced the contribution of 20 million to sport for disabled persons. kr. For 2016, the investment was increased by another 4 million. kr. We also want to facilitate sport for people with disabilities through construction policy. The provisions of the Ministry of Culture on grants to facilities for sport and physical activity include universal design requirements. A sports facility shall be capable of being used by all, including practitioners, audiences, trainers and persons in other roles, such as: speakers or ground personnel. All shall have access to all activity areas, club rooms, meeting rooms and public and service areas. Many libraries and museums have also worked with universal design for many years. The Norwegian Church has made clear the Church's responsibility for facilitating the equivalent participation of children and young people in religious training regardless of their ability to function. All children and young people, regardless of their ability to function and the need for assistance, have an obvious right to participate in the Church's religious training. Voluntary activity is important for children and young people. The funds from masterless inheritance belong to non-governmental organisations working for children and young people, and the government wants to give priority to work for children and young people with disabilities under this scheme.
ParlaMint-NO_2016-04-06.ana.ud272e1828	I thank you for your answer. It is tempting to ask the Council of State follow-up questions about the equipment system — which is a good system — that operates on organised equipment for children and young people in the field of sport. Is the government and the government aware of how the scheme works and whether the money is spent?
ParlaMint-NO_2016-04-06.ana.ud272e1835	When it comes to issues about the impact of the different schemes, I don't have detailed knowledge about it. So I think it would be better to ask a written question to the Minister of Culture for a more precise explanation of the effect of the grant scheme.
ParlaMint-NO_2016-04-06.ana.ud272e1840	That's good, and I want to come back to that. However, barriers to participation may also include lack of physical availability, lack of financial or human resources, transport or perhaps, as in the last example of equipment arrangements, a possible lack of information on the arrangements in place. Barriers can also be social, such as underestimation of mastery and competence and prejudices from the environment, and approx. half of Norwegian municipalities do not currently have an accompanying scheme, which is just about to promote activities for children and young people. What will the government do to motivate several municipalities to have accompanying arrangements or other types of schemes promoting activity for disabled children and young people?
ParlaMint-NO_2016-04-06.ana.ud272e1849	There is no doubt that there are many barriers to participation in society today, both economic and social, as well as to organisation. I am pleased that the representative is withdrawing the municipalities, because there is no doubt that the municipalities have a particularly large responsibility to organise, not only for physical activity in sport, but also through activity in the school yard and in cultural and leisure life at all. The Government has an annual political round table with the umbrella organisations of disabled people’s organisations. This year, it will be about work, but it is natural that the dialogue with KS should focus on how municipalities can better facilitate the participation of children and young people in activities at local level.
ParlaMint-NO_2016-04-06.ana.ud272e1863	This question, which is initially from the representative of Geir Pollestad to the Minister for Agriculture and Food, will be raised by the representative of Janne Sjelmo Nordås.
ParlaMint-NO_2016-04-06.ana.ud272e1866	‘The size has adopted a new soil protection strategy which aims at the degradation of smaller food soils. How is the new soil protection target being followed up by the government?’»
ParlaMint-NO_2016-04-06.ana.ud272e1873	The government presented its soil protection strategy in June 2015 and is implementing it. We do that in line with the Storting's decision. The Storting will deal with this soil protection strategy and take call decisions in December 2015, i.e. about four months ago. An overall increase adopted a target that the annual re-disposal of cultivated land should be below 4000 targets by 2020 and that this target should be achieved gradually. The size has asked for reporting on this in the context of the revised national budget. My answer must therefore be considered preliminary and not exhaustive. Emptying replies will be submitted to the Stortinget in line with its own decisions. I would also like to remind you that in the period of red-green government, i.e. from 2004 to 2013, an average of 7,600 targets were red-green annually, i.e. almost twice the new target. The redistribution of cultivated land has shown a falling trend over the last few years, and in 2014 was 5,710 jobs, i.e. below the target that the previous government had seen, of 6,000 jobs. The final result for 2015 will come in June, but preliminary figures suggest that we will also be below the average in 2015 from the time when the Senterpartiet put in government. I'm satisfied with that. After the Stortinget decided on the new goal, I sent letters to all the municipalities, county councils and county councillors on the goal and pointed out the role they have in planning. I think that such a letter is a strong signal to the municipalities and county councils that soil protection is an important concern to ensure, and I have confidence and expectations that they will follow it. I have already given a mandate to the Members through the 2016 letter of assignment to implement a scouring scheme for local politicians, and I will meet KS in the future to follow up on how we can work together to achieve the goals in question. One of the most important measures to structurally strengthen the position of soil protection concerns the issue of municipal structure. Speeding up changes in the municipal structure will help to lay the foundations for achieving the soil protection objectives. One example of this is the municipalities of Hå, Klepp and Time, which have in concrete terms seen new expectations of securing soil protection if one actually joins up to one collective municipality. If the Centre Party is also involved in the field of soil protection in practice, one of the main contributions is in fact to the reform of the municipal structure. It will be a very positive contribution from the Center Party to contribute to enhanced soil protection. Instead of putting a pair of heads in the wheels of the process that is currently going on, the answer might have been that one actually contributed. It would have been far more constructive.
ParlaMint-NO_2016-04-06.ana.ud272e1888	The Council of State was within several elements here. I'm going to go to one, that the Stortinget indicated that you had to follow up with the municipalities and the administration in terms of Stortingen's soil protection goal, that is, that the Stortinget asked the Council of State to do so. The letter to which the Council of State itself referred was a little concrete. Will the Council of State, together with other relevant government councils, send a more binding circular – together with the Minister of Municipal Affairs?
ParlaMint-NO_2016-04-06.ana.ud272e1895	When I clearly communicate in the letter that I have confidence that the municipalities will follow up, it is with a significant expectation for the local government sector. I think it is more than sufficient that I have sent that letter, and I believe that the municipalities with it have received a clear order to ensure the care that Stortinget has asked for. So I think that if we're going to go into the soil protection discussion a little bit wider, we also have to look at one of the other things that Stortinget said something about, that's the relationship to land cultivation. In 2014, we allowed the cultivation of three times as much land as we have allowed to be built down. It shows that there is an enormous eagerness to cultivate land, because there are many farmers who, under this government, believe that there is a basis for agricultural production for many years to come and at the rate of new cultivation. We also have to include that in the discussion.
ParlaMint-NO_2016-04-06.ana.ud272e1902	Governments themselves commented on the number of decas redisposed food soils in 2015. The 2015 figure is compared with the average of total redistribution under the previous government. I guess the Council of State knows there's a long-term trend, and the figures show that the positive trend has turned negative during this government. Governments explain that the increase in the degradation of food soil is a consequence of the decision on a new fighter base. Where has the Council of State taken the idea that this type of project should be kept out of the calculation? Does he know that this kind of project has to be handled within the Stortingen soil protection target?
ParlaMint-NO_2016-04-06.ana.ud272e1909	The premise for the question is wrong. When we have concrete figures from the end of 2014 that show that the decline is falling under this government, but only predestination figures for 2015, there is no basis for saying that it is now moving in the wrong direction. One must wait for the final numbers to say something about it. I've said that part of the explanation is that we've made a decision in Stortinget, and that's the other important part of the discussion. The size adopted many expansion projects, whether they relate to fighter aircraft base, to the ground or to the development of logistics in and around the big cities, for example. The majority actually makes concrete decisions about it. Some of the decisions result in land degradation, and I say that this is part of the explanation, without affecting the goal that the Storting has seen. But in the public debate, there must be room to actually point to some of the implications of the Storting decision in general, even when they are eager to challenge the other decisions that Stortinget has taken.
ParlaMint-NO_2016-04-06.ana.ud272e1914	Then there's case no. 2 completed.
ParlaMint-NO_2016-04-06.ana.ud272e1927	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
