ParlaMint-NO_2016-06-07.ana.ud158e111	The representative, Helga Pedersen, will present a proposal for a representative.
ParlaMint-NO_2016-06-07.ana.ud158e2589	In a democracy – in a local democracy – it is usually a strength when you move power from the minority to the majority. That's what we're doing in this case, so that that kind of decision is taken in the same way as other general decisions in a local government. The link you make – the bridge you build – that shifting power to a majority in a local democracy is to restrict democracy, I think, becomes a faulty connection. This is to put things on the same line with how local democracy works on other important issues. Then to the matter and the proposal, and why we believe that it is also over-mature to address this with a prior vote. Let me take an example from Oslo. In Oslo, we have made the last municipal and municipal elections in advance in all 15 parts of the city in a 30-day period, from approx. 10 August until the last Friday before the elections. Nearly 40 psts participated in the 2013 fallout. by the voters in the pre-selection. This means that the availability of voice facilities has improved, and is more widely used. I have tried to read up on the argument that was used by the parties when this amendment was implemented in its time, when power was moved from a general majority to a minority. At that time they had, among other things: the argument that it would make it easier to get up the turnout among minorities. It's an argument that's been used in the Municipality of Oslo at least. But that's the time we have between the elections, where the department and many departments spend millions of dollars on campaigns to get up the turnout, and all those days when the polls are open until the small, artificial – I'll say – the 24-48 hour break from the preliminary polls closes to the election day itself, which counts. If we politicians don't manage to get up the turnout over the entire period, I don't know exactly what's going to happen in the last 24 hours when the premises are closed, before they open again. So there are artificial arguments to say – as has often been done in Oslo – that there is a restriction on the ability of some groups to participate in democratic elections. On the contrary, we're using millions of dollars and a lot of resources to get to that very thing. Although there is a minority proposal in the vote, it becomes a majority decision when it comes to the Stortinget and is adopted as a general majority decision, as most decisions should. I also look forward to the next choices, where the municipalities of course will have all the options to decide whether they will have one-day choices or two-day choices. There is nothing in this proposal that prevents municipalities from doing so. It is important to clarify, because it has almost been given the impression – I would say – that the proposers are actually trying to prevent municipalities from having two-day elections. It's just that it's wrong.
ParlaMint-NO_2016-06-07.ana.ud158e2602	I just have a note on the principles here. The representative of Gruvan was concerned with what is most democratic, and the representative of Kapur was now the last to know the experiences of Oslo. There are many things that can be said about what promotes electoral participation best, and there can be many opinions – according to a lot of research and knowledge we have harvested – about turning the electoral participation of groups, which the representative Kapur had in mind. But what was behind the discussion when the law was amended, at least in Oslo, was that we would actually give democracy greater legitimacy by not having the opportunity to suspect or think that those with the majority today are satisfied with the situation. If someone thinks, if you get a vote on Sundays, there are several groups that get the opportunity to go and vote. It's too short a time for you to have a busy work day on Mondays. Those who are good at organizing their day, and who are perhaps more resource-intensive, have easier to vote. Let's open it on Sundays, when some people want better time. If you are generous enough to say that the minority – a third – can have an influence on it, it can also be justified in that it gives democracy an even greater legitimacy, a kind of ‘gentleman’s’ attitude, by not letting the minority feel that the majority is overrun on such issues. So I believe that it is possible to present democratic legitimacy arguments both ways in this matter. I don't know all the research on how two-day elections have turned out in Oslo, but it's a different discussion – I feel – than the very principles of giving the extra legitimacy to how you choose to make choices, by letting the minority, who can think that the majority is earned by how the system has been, get a chance to make a pass, if there's a third that will. There's been some sort of roughness in the system that's been in that mindset. It's important that it comes out when you discuss what's most democratic.
ParlaMint-NO_2016-06-07.ana.ud158e2609	I would like to thank the representative, Mr Bøhler, for taking the floor, because then we got one of those who might be behind these proposals, up on the platform to tell us a little about the background. One of the things that was raised as an important argument was the legitimacy of democracy. I would like to challenge the representative of Bohemia to tell which parts of democracy lacked legitimacy in Oslo, and the electoral system otherwise, as they wanted to introduce this amendment, and which parts of democracy's legitimacy would disappear if a general majority were to adopt that kind of thing. That's the one. The second is, to follow up the statements made by the representative of Bohemia: what is going to happen or not happens to the legitimacy of democracy by closing the polls one day – once they have been up, for example. in Oslo, from approx. 10 August and 30 days ahead? I wonder very much about that argument. And when the legitimacy of democracy is addressed, I get very curious about how it was in this country a few years ago.
ParlaMint-NO_2016-06-07.ana.ud158e2616	It was very good a few years ago. The legitimacy of democracy was most present at the time and is it now, whether this proposal is adopted or not. I just said that a fuss in the system towards those who can think that the majority doesn't want it, with different motives, is an advantage because, among other things, it is. was a discussion in Oslo about which groups would benefit from voting on Sundays, which groups would then increase their turnout. It's not given what's the fasit of it. Whether one-day elections or two-day elections give the most legitimacy to democracy will be different from place to place as what increases participation or not. The preliminary votes in elections have increased participation most, I think, in recent years. I just want to end the debate by saying that I was not active in making proposals at that time, but it was about legitimacy, or rudeness is perhaps a better word, rudeness to the minority and thinking that you shouldn't think that someone has any reason for the electoral system being chosen, by giving a minority more influence to it than you normally have in democratic processes. There is an extra consideration in the kind of sensitive issues that this is. That's what was the reason.
ParlaMint-NO_2016-06-07.ana.ud158e2623	Several have not asked for the floor on case No. 11th@item: inlistbox
ParlaMint-NO_2016-06-07.ana.ud158e2637	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 5 minutes to each party group and 5 minutes to members of the Government. In addition, the President will propose that, within the allocated speaking time, up to six rows be given, with replies from members of the Government, and that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2016-06-07.ana.ud158e2644	Let me start by thanking the representative, Mr Bøhler – colleague of the Committee – and other representatives of the Workers' Party for promoting this proposal. The background to the proposal is that in the big cities, especially in Oslo, we have seen what is called hyblicization, that too many live in one unit. Others have raised issues related to how many units a single person can own in a single unit. There have also been issues related to the types of decision a joint may or may not take if one or more of them are absent from the joint meetings. So that's what we're talking about. These are important points. This is precisely why the government has already started work on following up the legal investigation carried out by a legislative committee in 2014. Among other things, it is now being examined whether or not the acquisition limit can be lifted, the possibility for the joint ventures to prohibit rental, problems related to the hybridisation and a number of other areas. All the more so in relation to what is proposed by the representatives will be taken into account when the government submits this to the Stortinget for the autumn. I also refer to the letters of the Council of State, especially the last one that has arrived, where one goes into the proposals individually and warns that one will address these issues. I would therefore like to refer to the committee comment where we believe that it is most ‘appropriate to wait until the matter comes to Stortinget’ in the autumn of 2016, and that ‘thereby a thorough assessment of all factors and a comprehensive treatment of the new ownership law’. I would like to remind you that the ownership law is also about other important elements than what is being addressed here, and it would be most neat to do it that way. On behalf of the government parties, the Right and the Advance Party, I would like to end by stressing once again that we recognise many of the challenges pointed out, especially here in Oslo, but also in other areas of the press. But we think it's important to distinguish a little bit between which laws you need to do something about to meet the challenges. You have the ownership law, you have the planning and building law, there are some regulations and regulations. In all, we also have to make sure that we do not water out one of the most important principles – the right to own and control their own property. So here's a lot of balance sheets to take into account. I think we'll see a complete and good treatment of this for the autumn, and not least look at these challenges also against other laws, which are not taken up here. I'll end with that. I don't see any reason to stay in the hall anymore.
ParlaMint-NO_2016-06-07.ana.ud158e2659	I want to thank the case rapporteur for a thorough work and for showing that he knows that the matter means a lot to many people. We were – and the case rapporteur was there – at a public meeting in November 2014 at Vestli, Stovner, where there was a long queue outside and a packed room with hundreds of people. Those who arranged the meeting represented a well-represented group. There are 12,000 people living in that area, but also several other associations in the same area with tens of thousands of people are engaged in this and have reported different things along the way. So this is about many people who are concerned about what the development of their living environment will be. In addition to the Workers' Party and the Swedish Progress Party, the people's meeting at that time actively supported the proposals agreed. The representative of the Right, who was Kapur, was also very present and had probably more of the approach that he also has here in the Chamber – so there's a context here. What happened further, when the commitment to mutual societies and communities developed, was that the district councils, especially in Oslo, in the Groruddalen, expressed their opinion on this and would have dealt with it at the same time as the hearing on the ownership law, which did not address this issue, were at the hearing. The reason why we are promoting it and addressing it here today is that the topic is not addressed in the NOU on changes in the ownership law. The city councils made unanimous, cross-political decisions, and the same was true of Oslo. From the Workers' Party's side, we have stressed – and referred to – the arguments of the Oslo City Council, together with the Centre Party and SV. Oslo is the city with the largest population affected by this issue, and there are inter-political, unanimous comments from comments and input into the Oslo City Council consultation round that were thoroughly addressed there. It points out that there will be problems in the development of the living environment if there are too many small rental units, such as lessors who do not live in the area, after buying up a number of apartments in the joint. They point out that it leads to large circulation of residents, that it is unstable – it is uncertain who actually lives there – that there is less willingness to be in maintenance, whether it is good or more costly, and that there are loads on infrastructure for which it is not built – whether it is water, sewerage, parking or other things that have been taken up – at all concerns and uncertainties in the living environment. It's a cross-political commitment. I just want to stress that, for example, The current State Secretary, Mr. Bård Folke Fredriksen, who was then City Councillor in Oslo, was actively looking out in Akers Avis about exactly the same thing that the signatory has said about the same thing in the same newspaper. So we've agreed in many ways to propose these initiatives in terms of ownership law. The concern is that there is concern in the living environment in the area we are dealing with through the Groruddal initiative and in other areas – we are betting in vulnerable areas – because the renting rate is increasing so strongly and the circulation of residents makes it hard to know who lives there. This development undermines what we do by the municipalities and states to bet that it will not evolve in the wrong direction in these areas. If there are some places we now see that there is cause for concern in the Grorud valley, and in the areas of area bets also elsewhere in the city, then there are those areas that share a large share of rental and expansion to the furniture, what is called hyblication. If I were to go somewhere in the country where I wanted to say, we have to make sure that we don't get the kind of rental areas where people aren't involved in their neighborhoods, as you've seen in the cities of the drugstores in Sweden, these are the areas I'm talking about. I believe that we should take this very seriously at Stortinget. That's why we wanted to make representations to the Council of State on the proposals we have, in the work on the proposition, because this has not been dealt with in the NOU. It is not shaped as a legislative proposal here today, but as a direction for what we believe the Council of State should promote, which is our first proposal. Our second proposal is more specific and concerns that you should not be able to buy more than two sections in the same unit. This is about giving residents more responsibility for and participation in the shaping of their neighbourhood, and it is also about how their interests can be maintained and not affected by this type of development of the area — in blocks and neighbourhoods.
ParlaMint-NO_2016-06-07.ana.ud158e2678	Should the representative make proposals?
ParlaMint-NO_2016-06-07.ana.ud158e2681	Yes, I'm taking up the proposals from the Workers' Party, the Center Party and SV.
ParlaMint-NO_2016-06-07.ana.ud158e2686	The representative Jan Bøhler has addressed the proposals to which he referred.
ParlaMint-NO_2016-06-07.ana.ud158e2689	Norwegian housing policy has been successful for the wide range of people. People largely own their own homes, many through a housing cooperative or in an ownership cooperative. This is strongly contributing to our high standard of living. The representative proposal we are discussing today is about how we can provide better security for those who own their home through an ownership partnership. The pressure on the housing market makes it attractive to buy up dwellings for rental purposes, often by remodeling and splitting them into smaller units, so-called ‘hybridisation’. I believe it is important to take seriously the warnings we receive that today's legislation does not work as intended. It seems that we all agree that restrictions in the ownership law, which say that it is not permissible to acquire more than two sections in the same joint, have a good intention. We believe that the proposers must tighten up the legal paragraph so that it gets the effect it was supposed to have. I read the Council of State's response as if he thought the Section of Ownership should be removed because it does not work after the intention. The majority believe that we should wait to assess the changes in the ownership law of the department have concluded in the investigation, and put forward a case for Stortinget. The centre party believes that the Storting should give a clear signal that the ownership law should be tightened up in order to increase the possibility for the communities to prevent speculative buying-in and conversion of apartments for rental purposes. We therefore ask that today's restrictions in the ownership law which say that no one can own more than two sections in the same group be maintained and managed so that the provision becomes effective. Our proposals are in line with the previous Stortingen decision when a similar case was dealt with. I believe that we should give the Ministry a clear signal that the changes that are now being prepared in the Ownership Act should contribute to the better functioning of today's law. That's what gives security to those who have bought an apartment in a joint, security that they will also have a safe home in a good living environment for themselves and their families in the future.
ParlaMint-NO_2016-06-07.ana.ud158e2703	I agree with the proposers that it is important to facilitate good and safe living conditions for people who live closely in housing camps and owner-in-law communities. I am familiar with the strong commitment that is in this matter. For the government, it is important that the legal regulation of such collective forms of residence is good. As you know, there is currently a major legislative work in the department related to the law on ownership. The law is based on an investigation by a legislative committee which proposed in August 2014 some changes to the law on ownership. I believe it is important that we have the opportunity to see the coherence of proposals and measures. The legal committee proposed to ban the purchase of more than two sections of the same holding. The proposal was unanimous and justified in the fact that it is easy to circumvent the rules by using strawmen or by establishing limited liability companies that buy sections. The Ministry will give a broad description of the proposal in the legislative proposal to be submitted to the Stortinget for the autumn. With regard to the issue of establishing a legal basis for a majority at the annual meeting to impose lessor restrictions in the joint venture, you are aware that in the letter dated 25 May to the Committee I have stated that my principle starting point is that such rules will represent a major interference in the right of section shareholders to decide whether or not to rent out their own housing section. At the same time, I see that consideration of the living environment can nevertheless legitimize such restrictions. The ministry is currently investigating whether environmental concerns make such a strong claim that the principle principle should give way. I would like to stress that I am, of course, concerned that the municipalities should have the legal means required to avoid creating harmful housing conditions. In the forthcoming proposal, we will assess whether the provisions of the Planning and Building Act are good enough to prevent such housing conditions, or whether there may be grounds for amending or supplementing today's rules. I am thinking in particular of the rules on when an application-based change of use occurs, and of the institutions of the municipalities to impose restrictions on the division of such furniture in the regulatory plan. I think it's useful that this case is promoted, and that we have the opportunity to have this discussion in Stortinget, but I appreciate that the ministry is given the opportunity to see the context of the various proposals and measures.
ParlaMint-NO_2016-06-07.ana.ud158e2718	It's going to be line change.
ParlaMint-NO_2016-06-07.ana.ud158e2722	I thank the Council of State for having really gone into the matter and showed that it will be working properly into the proposition. That's good to hear. In its last letter to the Committee dated 25 May, the Council of State writes that this would be ‘a significant step in the free movement of persons’, and that ‘there must be good reasons’, etc. to do something in relation to the number of furniture, or how to buy up and split up apartments. I just want to ask: does the Council not see that when people living elsewhere buy apartments and divide them up – it is described that there can be up to 16 people living in a small apartment in the rise – and there are several apartments in the same rise, with the dissolution of the living environment, but also with a large reduction in the value of the other apartments in the rise, is there also some kind of indirect interference in their property or in what their property is like?
ParlaMint-NO_2016-06-07.ana.ud158e2729	That was also the reason why I stressed in my post that at the same time, it is necessary to consider whether the concern for the living environment legitimizes such restrictions. There are several aspects in this whole case complex, that there may be different principal points of view that meet a practical everyday life, and where we have to find good balances. It is these discussions that the ministry is now going into, both professionally and of course with political considerations, which will form the basis for the proposal we are gradually promoting for the Storting.
ParlaMint-NO_2016-06-07.ana.ud158e2734	Thank you very much for your answer. I would like to add: when the Council of State mentions that it may be relevant to look at the law of the plan and the building and improvements there, it is clear that it can have a positive effect. But it is also important to bear in mind that in communities like this, residents have the participation, sense of responsibility and feeling that they can do something about their local environment, that they can make sure that the local environment works well and that they have a good future there, also very important. In this respect, it will be of great value, as the city councils and the city council, once they have spoken, have suggested that the two-thirds majority of the general assembly should be able to limit the number of apartments that can be purchased and rebuilt, and the number of furniture that can be per apartment, etc. – that it’s not just about planning and building law and something that’s a very distant thing for them, but that they can shape their own future. Does the Council of State see the value in it?
ParlaMint-NO_2016-06-07.ana.ud158e2741	I think that is absolutely an important value that should also be involved in the assessment of this matter. At the same time, it is also our responsibility to ensure that we have a satisfactory legal framework, in order to avoid living conditions that no one wants.
ParlaMint-NO_2016-06-07.ana.ud158e2746	Just one more question. This also applies to the major societal interests, such as the debate on integration. We will address the integration message here at Stortinget on 16 June, and we have had discussions after reports from Sweden on the development of urban areas there, with a large proportion of rentals – also seen from an integration perspective. When it comes to succeeding in the area initiatives – which I know the Council of State is currently engaged in, with negotiations on further area action in the Groruddalen – it will be important, even more on the basis of societal interests, that we go hand in hand with the residents in order to give them the opportunity to develop their neighbourhood. So I also believe that the Council of State and the Government should see this matter, how we will succeed in the area efforts, from an integration point of view.
ParlaMint-NO_2016-06-07.ana.ud158e2753	I think we in Norway can be proud of much of the work done in the area of integration. The fact that very many of those who come to Norway and become residents in Norway, even after a period of time owning their own home, I believe that this is an important reason for our success, because owning a home provides better financial security, and it also contributes to better living conditions and living conditions. But it's not enough alone either. It is also important that we get good living environments, including: through territorial lift and the sum of the measures taken.
ParlaMint-NO_2016-06-07.ana.ud158e2760	The cord shift is over. Several have not asked for the floor on case No. 12th@item: inlistbox
ParlaMint-NO_2016-06-07.ana.ud158e2776	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 5 minutes to each party group and 5 minutes to members of the Government. In addition, the President will propose that, within the allocated speaking time, up to six rows be given, with replies from members of the Government, and that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2016-06-07.ana.ud158e2783	The changes we are considering today in the law of division and the municipal law have been justified by the ministry's desire to make the merger processes resulting from the municipal reform more flexible. The Committee has noted that in the opinions received by the Ministry for its consultation note, there are different assessments of the proposed legislative changes. The Committee has therefore provided a review of each proposal in order to assess the principal aspects of the proposed legislative changes. Some of the proposals have been considered by an overall committee to be appropriate and unproblematic. Other of the proposals are the different evaluations of the Committee and the majority and minority voting. The Committee agrees with the Ministry's proposal on how to treat merged municipalities in ROBEK if one or more of the municipalities is in the register because they are in financial imbalances. We agree that a new and overall assessment should be carried out after aggregation. The Committee also agrees with the Ministry's proposal that the provisions of the Shareholders' Act on the right of shareholders to take over a share that changes ownership shall not apply when shares are transferred from a municipality to a new municipality. The Ministry's proposal for the division and alignment of borders in the division law is more problematic and has shared the Committee. The proposal requires the application of border adjustment legislation in areas with less than 10 pst. by the inhabitants and that it can be used for areas up to 25 pst. by the inhabitants. By treating border change cases as border adjustment and not sharing, the threshold of involvement and community involvement is lowered. I, together with the majority of the Committee, believe that issues related to classification and border adjustments are of great importance to the community and the people affected. It will also be the case that cross-border communities covering large parts of the municipality will be included in the proposed provisions on what is a smaller part of the municipality. We therefore do not support the Ministry's proposal for amendments to Section 3 of the Division Act. The Committee supports the Ministry's proposal to allow derogations from the requirement for the county council to be called the joint municipal board meeting after a decision on municipal merger has been taken. Where voluntary merger decisions have been taken and the municipalities have already agreed on all practical aspects of the merger, there is no need for a joint joint municipal board meeting. Where aggregation has been decided by the Storing without local consent, the requirement for the joint meeting will continue to apply. The Committee has shared in the evaluation of the Ministry's proposal to formalise the use of Section 17 of the Division Act, which provides for the new Municipal Council to be elected by and among the members of the Municipal Councils of the merged municipalities. The minority, the Central Party, the Workers' Party and the SV share the opposition of the KS to the proposal on the grounds that indirect elections are less democratic than the new election of local government. I also believe that there is every reason to stop the opinions of Professors Bernt and Smith who are both negative to the proposal to formalise the use of indirectly elected local government after a municipal merger. Professor Smith refers to the recently adopted change in the Constitution, where it is now the Constitution that citizens have the right to direct local affairs through local elected bodies. He believes that any statutory requirement to derogate from the ordinary rules on election to local government must be examined in more detail before any decision can be taken by the Stortinget. The Committee also shares the principles of governance of municipal enterprises in parliamentaryly governed municipalities. The Ministry wants to amend the Local Government Act in such a way that the local government/ county council is given the power to delegate greater powers to the local/local council. Also with regard to this proposal, I and the minority agree with the KS, which says this proposed amendment of the law could weaken the political and democratic governance of municipal enterprises. A unanimous committee agrees with the Ministry's proposal on the obligation to publish meetings. We agree that meetings that can also be held for closed doors and that relate to municipal enterprises are to be announced. Finally, the proposal on who can be elected as a member of the common denominator for the implementation of the agreed local or county merger. An overall committee agrees with the amendment of the law, which also allows members of local or county councils to be elected. The composition of the Municipal and Administrative Committee is such that the majority of the Committee does not necessarily give a majority in the Chamber. In this case, the changes concerning sharing and border adjustment in Section 3 of the Division Act, where a minority proposal has been made, which I expect they themselves to explain. Finally, according to the suspension, the Centerpartiet will not support changes to Section 17 of the Splitting Act and the Municipal Act §§ 62 and 70. Finally, I would like to thank the Committee on Good Cooperation.
ParlaMint-NO_2016-06-07.ana.ud158e2815	Thanks to the rapporteur for his presentation on a case which has, on several points, brought together a unanimous committee, but which in some areas also makes some surprising minorities visible. When municipalities or county municipalities want to merge, it is important that we have sensible, predictable and flexible rules. The same applies in the case of the division of municipalities, or in the case of the adjustment of the borders, e.g.: where a branch of a municipality wishes to notify transfer to the neighbouring municipality. In the course of the municipal reform, the Ministry has also made many clarifications about issues that arise in the course of local negotiations — from what will happen with a differentiated employer’s fee to local hunting and fishing rights. The present case also clarifies what is happening to a ROBEK municipality, as the case-rapporteur explained, which goes with another municipality. There, the County now has the authority to assess whether ROBEK registration is still available – a practical solution, which was not directly clarified in the law before, but which is now. In other areas, the consensus of the Committee, as the rapporteur also pointed out, is not the same. Today, for example. border adjustments cannot be made at the same time as local government mergers. The question is not whether the ministry should be able to decide on border adjustments, because the ministry can today, the question is whether it should also be possible to decide on such changes in the context of a merger, as a majority of the committee – albeit not in the Chamber – disagrees for slightly unclear reasons. The proposal implies that some limit changes may be treated as limit adjustments, which can then be determined by the King, and may not be dealt with in the Storting as long as there is otherwise agreement on aggregation and division. Since the majority of the Committee is as the rapporteur put it, I would like to refer to proposal No. 1 in the option, on behalf of Right, Party of Progress and Left. Furthermore, the Ministry proposes to enter into the law the practice that has been followed for many years, that in a merged municipality, or in a merged state, there should be no exceptional choice if the aggregation is effective from a turn of the year as there is no prior choice in the harvest. The whole or part of the existing municipal or county councils then constitute the new elected body until elections are held. This is, therefore, a voluntary temporary arrangement with elected representatives who form a new elected body, and, contrary to what the rapporteur suggested, is well in line with the constitutional changes adopted by this House. This is not, as the setting says, an extended right to indirect selection, as the Workers' Party, the Centre Party and SV claim. On the other hand, it is a practice that has been followed for years, even under the same government as the three mentioned batches. Now it is explicitly suggested that this possibility be included in the law, and there are issues where the municipalities themselves, or the counties locally, agree not to hold extraordinary elections. Does the Workers' Party believe that the merger of Harstad and Bjarkøy in 2013 should not happen without extraordinary choice first? Their own government chose to do so in the way that they today oppose inclusion in the law. Do they disagree in their own procedure from then on, as seen afterwards? Does the Workers' Party believe that the merger of Sandefjord, Stokke and Andebu will not be carried out from the coming turn of the year without prior elections, when the municipalities agree? Does the Workers' Party believe that Rissa and Leksvik or Holmestrand and Hof or Lardal and Larvik will not be able to join forces from 1 January 2018 without having to hold extraordinary elections first? All of these municipalities have applied for aggregation and agree to set up new local authorities until the next ordinary elections. Why is the Labour Party voting today against the practice they themselves have followed being clarified in the form of an explicit law reference? Already in the morning, this room will deal with a matter of merging the Trondelags. The completions have decided to put together a new common completion from the merger date to the next choice. But in the present case, it is difficult to interpret the vote of the Labour Party, and insofar as the Senterpartiet and SVs, against the proposed confirmation of a long-term practice in a way other than that they believe that the wishes of the Turkish states should not be fulfilled, but that they should be extraordinarily elected. It would have been useful if the Labour Party in particular could clarify its position on this matter from this pulpit, and if they have not prepared a reply today, I can gladly inform you that the question will be repeated in tomorrow's debate.
ParlaMint-NO_2016-06-07.ana.ud158e2834	The representative Frank J. Jensen has taken up the proposal he referred to.
ParlaMint-NO_2016-06-07.ana.ud158e2837	This case is about pillars in municipal structure and municipal work – both zoning law and municipal law. There's a lot to say, because there are important things, but I'll try to make this short and clear on behalf of the Christian People's Party. The ongoing municipal reform identifies a number of new issues that need to be addressed. The Christian People's Party is in favour of the community reform, and we want to contribute constructively to its realisation in a good way, in line with what has been the intention of the Stortinge. In today's case, it's about what tools you can use, that is, what tools you have in the toolbox to work with the community reform. However, on the issue of the threshold for border adjustment, the Christian People's Party is opposed to the government's proposal. We can see the practical aspects of the proposal, but it's a balance point towards giving up power. In the Christian People's Party, we believe that the government should be able to determine the limit changes up to 25 p.m. without having to introduce it, is too dramatic for our basic vision. The threshold of 10 pst. We believe that we should continue, and we agree, among other things. KS that in cases where the municipalities concerned do not agree, the matter should be dealt with by Stortinget. The best way to ensure this is to keep today's restriction in areas that include up to 10 pst. by the inhabitants. The Christian People's Party, on the other hand, supports codifying a long-term practice on it by bringing together ordinary elections – that it can be chosen by a local government for the rest of the period, by and among the local government, without having to have an extraordinary choice. It is a good practice, and by incorporating it into the law it is clarifying and predictable. The Christian People's Party believes that this is both rational and takes good care of democracy without risking getting elections three years in a row. We would point out that the experience of electoral participation in recent years suggests that this is precisely what makes sense. The Christian People's Party also supports the continued power of parliamentaryally governed municipalities to elect governors in municipal enterprises. It belongs to the delegation regulation. It is the local government or county council itself that chooses whether to use this option. I do not need to comment further, and I recommend the Committee's position.
ParlaMint-NO_2016-06-07.ana.ud158e2852	The left is a member of the community reform that strengthens local democracy and moves power down to the lowest possible level. This proposition follows up the municipal reform with proposals for changes that are necessary for the proper implementation of a municipal reform. We think it makes sense that municipal mergers where one of the municipalities is registered in ROBEK do not take the status into a new municipality, but that Fylkesen gives a time-limited authority to assess whether there is still a need to control the economy of the new municipality. The design of today's rules on the sharing of municipalities does not provide sufficient flexibility in merging. It is currently not possible to make one or more border adjustments in connection with the merger of municipalities. The proposal provides that limited parts of such a limit change may be treated as a limit adjustment. Such a limit may be determined by the King of State Councils and need not be presented to the Storting as long as there is otherwise agreement on the merger and division. The proposal implies that border adjustment legislation is normally applied in areas with less than 10 pst. by the inhabitants and that it can normally be used in areas of up to 25 pst. by the inhabitants. This will increase flexibility and several border changes can be assessed at the same time. The possibility of carrying out border adjustments at the same time as merging or other border changes leads to a more comprehensive assessment and to the extension of new borders. The consideration of good consolidation processes indicates that the process requirements need not be more extensive than necessary. We believe that today's rules may prevent local requests for border changes. Alternatively, such changes must be made after adopted aggregations. We believe that processes related to the division of border changes are issues of great importance to the community and people affected. I believe that the proposal takes account of the community and the people affected, by giving a real opportunity for desired border adjustments in the context of bundling processes. In the context of aggregation, questions have been raised about extraordinary elections in the years before the merger, which are not ordinary elections. The left is to legislate on a legal basis to derogate from the rules on municipal government periods and the composition of local government and county councils. It allows all or part of the directly elected local government to form the new local government before joining the next ordinary elections. The left considers that the bill provides a practical way of implementing mergers, at all the turn of the year in the municipal government period, and that the elected local government elects the new local government in the merged municipality – by and among the members there. An indirect choice between two ordinary local governments and county councils does not significantly weaken local democracy when it comes to something extraordinary, and rarely as a merger of municipalities or county councils. I have to say that I think this is relatively inconsistent on the part of the Workers' Party what the representative Jensen mentioned as an example, and on which we get a case tomorrow with the merger of Tøndelag. I understand so much that the SV and the Central Party believe it, which is also like their proposal in the vote, but I think it is very inconsistent with the Workers' Party, because then the party should have followed this in similar cases as well. It's going to be interesting to see what it'll look like tomorrow, because it's not in line with what's presented here. When it comes to border adjustments, it's just taking people seriously -- the fact that branches themselves want to be part of something else when you put together new municipalities. It happens in my area. Some want to be part of Rissa at the end of the old municipality that is now going to be merged with Steinkjer. I really think that's taking people seriously. 80 pst. by people in that area want to belong to the new municipality, which is located further west. That's just what I think is very inconsistent with those who shout about referendum and popular government. It's really people's rule to take branches seriously. We do that with what we get adopted today.
ParlaMint-NO_2016-06-07.ana.ud158e2871	I record that the representative Frank J. Jensen was about to be able to raise himself above Section 17 of this case. It is possible there has been a lot lately, but he will now get an answer. As the rapporteur has also said, there is some disagreement in how to look at the proposed changes in this case. If Frank J. Jenssen could read the papers, it says, among other things.\t\t You can change the settings of the grid. \t\t \t ‘The Ministry considered that the exemption from Vallova and Kommunelova in connection with the merger of the municipalities of Bodø and Skjerstad and of the municipalities of Bjarkøy and Harstad had an adequate place in the division law § 17 second paragraph, point (b).’ It is then explained quite briefly, as is also stated in the setting, that we ‘refer that the Ministry considers that such a scheme can be implemented under existing legislation so that there is no need for legislative change at this point’. Among other things, KS also believes that the most sensible thing is that real elections are held for a new municipal government.
