ParlaMint-NO_2016-02-17.ana.ud2568e26	The representative of Kjell Ingolf Roppstad will present a proposal for a representative.
ParlaMint-NO_2016-02-17.ana.ud2568e1419	There are two answers to that. The only answer is that from the very beginning these funds were given on the assumption that they would last for four years. That was the starting point. They were not given permanent jobs. The second is what happens to this sum of money, it comes into the state budget. It is quite natural for the Education Directorate to report that a pilot project that would last four years, and whose period is now over, is over. Then the assessment of the money – like all other money issues – will come into the state budget.
ParlaMint-NO_2016-02-17.ana.ud2568e1424	We have all been aware that this was a time-limited arrangement. The aim of the entire project was exactly what this new government with its partners is about to do: to find out what works. Does increasing teacher density have any effect? So far in the reports that the Education Directorate has returned, it turns out that it actually has an effect. There's a greater decline in the number of special education hours, there's fewer who have it in high school now, and there's an increase in the number of primary school credits. So they're doing better. The previous government sent out a high school message. This government has not wanted to make the labour market compulsory. Now it seems that 600 of those teaching positions are to be removed. I wonder if the state council can admit that high school and high school students are actually not prioritised by this government, all the time we are now going to bet – once again – on early efforts at the smallest, which has been done since 1997 without any special results.
ParlaMint-NO_2016-02-17.ana.ud2568e1431	If I understand the Central Party there that you are not to bet on early efforts, then I fundamentally disagree with that. It is quite right that it is not the first time that we have put an early effort into this government and this majority on the Biggest, but the needs are still great. So it's not exactly, as the representative says, that these funds are now to be drawn. That's the answer in the State budget. This opens up the question: if you were so concerned about permanent posts from the previous government, why didn't you make them permanent in the first place? It was the red-green government that, well within the eight-year period – to say it carefully – decided to sign out to the school the promise of more teaching positions paid by the state, through 600 teaching positions to be distributed and that would be temporary. It wasn't my decision, it was the government's decision.
ParlaMint-NO_2016-02-17.ana.ud2568e1438	Question 14 has already been answered. Let's move on to question 15.
ParlaMint-NO_2016-02-17.ana.ud2568e1445	‘It has been normal in the Norwegian labour market for people to choose to leave the labour force when unemployment increases, for example in the case of early retirement and longer education. However, the labour force is now increasing. What is the Council of State's explanation that labour supply is increasing while unemployment is increasing?'
ParlaMint-NO_2016-02-17.ana.ud2568e1452	Developments in the labour force in Norway have typically followed developments in employment very closely. In periods of high growth in employment, the labour supply has increased accordingly. It has been reversed in periods of low growth in employment. At that time, the job offer has also developed poorly. The unusually high flexibility of the workforce has contributed to a smaller variation in unemployment over time. Between four and five quarters from 2014 and into 2015, the labour force has evolved differently from this traditional pattern. During this period, the labour force and employment went their own way. Rather than following a weak trend in employment, the labour force showed growth. This growth in the labour force helped to increase unemployment. Nearly half of the increase in unemployment during this period was due to the increase in the labour force. After the second quarter of 2015, the labour force has again shown normal development and followed the movement in employment much closer. The Labour Force Survey of the Central Bureau shows that the growth of the labour force in this period, from the second quarter of 2014 to the second quarter of 2015, has occurred, in particular, among persons under 25 and among persons over 60 years of age. About three quarters of the labour force growth from the second quarter of 2014 to the second quarter of 2015 came from young people and older people. Increasing labour supply among young people and the elderly thus appears to explain most of the increased labour force during the period under consideration. The Labour Force Survey of the Statistical Central Bureau is a sample survey. The statistical uncertainty is therefore significant. Statistical central agency reports that the workforce needs to increase by over 10,000 people from one year to the next before we can talk about a significant increase. Taking into account the statistical uncertainty, there is no point in claiming that after 2014, the labour force has stopped monitoring the development of employment. Random results in the statistics can thus also be part of the explanation of the increased labour force.
ParlaMint-NO_2016-02-17.ana.ud2568e1463	I would like to thank you for a thorough answer and for reflections on the question. The Council of State says that for a period of time, there was an increase in labour supply for those under 25 and those over 60. Such increased access to labour leads to a maritime and logical increase in unemployment. We are in a situation of free movement of labour, free movement from countries which have completely different pay and working conditions, and which have a much higher unemployment rate. Sickly if we have increased leave in Norway, it will be much more attractive for many to come and look for work in Norway. What I would like to ask is: is this part of the explanation of the new trends observed by more people?
ParlaMint-NO_2016-02-17.ana.ud2568e1474	It's a little early to say if this is a trend. This is a sample survey, with the weaknesses it involves. I don't have the figures in front of me here, but we know that many, especially from the EEA region, are also going home now, so there is a significant mobility in the workforce again. The information I have received is, as I explained in my previous reply, that there is now an increase in the labour force among the youngest and the oldest. In the case of workers from the EEA in particular, to which the representative Lundtigen refers, I may have to return to the figures for that.
ParlaMint-NO_2016-02-17.ana.ud2568e1481	We see that when unemployment increases in Norway, the influx of, among other things, young people from Sweden are getting smaller. Corresponding effects also apply to eastern European countries, which have completely different pay and working conditions. Nevertheless, we have a sum that gives us a net job migration to Norway. My last question is: Is it possible over time to have full employment in Norway when at the same time there is a system of free movement of labour, and when the labour force – the young people who are skilled – comes from countries with pay and working conditions that are much worse than in Norway, and from situations where unemployment is extremely much higher? Is it possible to have full employment with the free movement of labour from countries that have very bad conditions in relation to what we have in Norway?
ParlaMint-NO_2016-02-17.ana.ud2568e1488	As I said in my previous answer, we now see that there is a significant mobility also the other way back, for example. Sweden, which was mentioned but also to eastern European countries, now that unemployment is increasing in Norway. But there is free movement of labour in Europe. There is full opportunity to apply for a job across borders, and there is a policy supported by the government. We now see that there is considerable mobility, but there is no doubt that there is a challenging situation for the labour market in Norway now, when there is increasing unemployment, increasing refugee influx and increasing labour force. But back to the main question: to what extent this is a trend, is too early to say. In addition, this study is a labour force survey with significant weaknesses.
ParlaMint-NO_2016-02-17.ana.ud2568e1501	‘The government, following pressure from the social partners, has made some improvements to intra-corporate training. However, the regulation has still not been amended as in 2009, since the measure could be applied by firms experiencing temporary market failures and where conditions are particularly serious for the labour market. Why does the government not open up the possibility that grants for intra-corporate training may be granted to firms that are temporarily affected by market failures due to cyclical conditions?’»
ParlaMint-NO_2016-02-17.ana.ud2568e1508	The labour market measure Intra-corporate training aims at combating exclusion from the labour market by strengthening the skills of employees in enterprises with serious migration problems. In a joint letter of 25 September 2015, the LO and the NHO asked the Government to provide sufficient resources to implement the action, in particular in regions with high migration needs, to provide better information to businesses on the scheme and to look at the possibilities to extend the support period for participants from 13 to 26 weeks. The parties’ proposals have been followed up by a regulatory change in the autumn of 2015 extending the training period for each participant from 13 to 26 weeks. I have also asked the Directorate of Labour and Welfare to provide companies with the necessary information about the action. The government has also increased the number of action places for the unemployed by 4000 in 2016. I therefore believe that this provides room for increased use of intra-corporate training in regions with increasing unemployment and serious migration needs. In-house training is a good tool to enhance the skills of employees in firms that have difficulties in converting and that have to make changes to the company's production or establish themselves in new markets. I would remind you that this measure, like the other labour market measures, is a framework instrument which requires priorities within the overall financial framework for labour market measures. I believe that the entry conditions are targeted, and ensure that the action within a limited financial framework is most effective and promotes the necessary transition. There is reason to be cautious about changing the entry conditions to cover also general market failures. This could pose a risk of supporting enterprises that may not adapt to the market and thus contribute to inhibiting the necessary conversion. The Regional and Local Labour and Welfare Act determines the most appropriate measures to meet the specific labour market challenges. The scope of intra-corporate training needs to be assessed against other instruments and priority areas and target groups.
ParlaMint-NO_2016-02-17.ana.ud2568e1527	Yes, it is right that the time has increased, and that the enlargements that the Council of State mentioned have been implemented, and it is right, as the Council of State said, that it was because the parties asked for it. We have responsible parties here in the country who are really raising the needs of the business community as a whole. However, when the reason for increasing the need for in-house training is that we now have the highest unemployment rate since the early 1990s in percent – and even higher in number – it is a very dramatic situation on the labour market. What is disappointing to see is that the government does not go ahead and take action, but must be pressured from opportunity to opportunity — even in the case of other instruments available to the government. Last time it was the government that initiated cooperation with the parties and made sure that intra-corporate training could be used due to short-term problems. It can't do that under today's legislation. Why does the Council of State not want to strengthen that possibility when the economic cycle is as it is today?
ParlaMint-NO_2016-02-17.ana.ud2568e1532	What the parties asked for in the autumn was also done, and there was no need to drive anyone from chance to chance, to fulfill the wishes of the parties. The wishes that were, were reasonable and good. The government is committed to ensuring high employment and low unemployment now, and as part of the 2016 budget, an additional action package for increased employment of 4 billion is included. kr. The key elements of this package of measures are instruments that support the needs for conversion into different industries, such as: oil-related activities, in particular those targeting areas which are now most aware of the consequences of lower growth. I have not registered any claim from the parties to change the entry conditions, as the representative says. I visited Kristiansand yesterday and actually discussed this proposal quite specifically. On the other hand, the opposite signals I get are that we should be cautious about changing the entry conditions, simply because the situation is now so different from 2009, but we are open to making changes to the day-to-day money regulation.
ParlaMint-NO_2016-02-17.ana.ud2568e1539	It is true that the basis for the increasing unemployment rate is among other things. the oil price and its specificity in relation to the situation in 2009. But at the same time, it means that some companies that now have little to do can use it to increase their skills in order to be better rusted when the market – with the expansions ahead of us – comes back. Today it is possible to use intra-corporate training if you have new technology, new machines or the type of conversion, but it is therefore permitted to use it as an exceptional economic activity within the EEA system. Then it is very disappointing that neither in this area does the government want to go ahead and contribute to the increase in competence that it could entail, but instead ends up with a situation where people who could use a low economic period for something reasonable do not get the government's support for it. It's disappointing.
ParlaMint-NO_2016-02-17.ana.ud2568e1544	As I mentioned in my previous answer, there have been no signs to me or to the ministry that this is a desired change – on the contrary, the signal is the opposite. One of the main challenges now is actually to get companies to apply for the scheme. For the time being, it's relatively little in demand, although we think this is going to increase significantly. But the government is open to make adjustments to our tool, as we are, for example. have done so under the day-to-day money regulation. We have now proposed four changes to the day-to-day pay legislation in order to combine day-to-day pay with education and to combine day-to-day pay with the desire to establish one's own activities. We are committed to continuously improving our legislation, but we need to be sure that what we are doing also results in us reaching our goals of ensuring the conversion of businesses and the mobility of employees.
ParlaMint-NO_2016-02-17.ana.ud2568e1555	‘The latest data from the SSB show that there have been 19 000 more employed in part-time and the corresponding number of full-time employees in the last year. We know that very many people who work part-time want full-time work. The figures also show an increasing number of temporary staff, while the rate of employment declines and unemployment increases. This must mean that fixed and secure jobs are replaced with unsafe and temporary jobs. Does the Council of State consider this to be a proper and desirable development for Norwegian working life?’
ParlaMint-NO_2016-02-17.ana.ud2568e1562	The labour market has weakened in the last year. These are challenges that need to be addressed primarily through growth in the economy and the creation of new jobs. In the last year, the number of men in part-time jobs has increased by 22,000. There has been an increase in several industries and most in trade in goods. Among women, there has been a decrease in the number of part-time employees. The representative Aasrud asks if this is a correct and misleading development. To this I have a two-part answer: for some, reduced working time will be an alternative to going completely out of work – in these cases, part-time is a better situation for most people. For some, part-time is a consequence of regulation or the way the work is done – no part-time is wanted, no matter how the business cycle is. The government will promote a working life that allows those who want it to work full-time. The changes in the Labour Environment Act, which entered into force on 1 July 2015, make it more possible to agree working time arrangements between employers and local trustees. This can give both workers and employers some flexibility and the ability to find solutions locally. The Job Hours Committee has recently given its opinion. The sample proposes further changes that may help to reduce the amount of involuntary and unwanted part-time. The proposals are being consulted until 1 July. After the hearing, the Government will make its assessment. Fixed employment is, and must be, the general rule in working life. New general access to temporary employment has been introduced for up to 12 months in order to facilitate access to the labour market for more people, while there are clear restrictions to prevent abuse. The amount of temporary employment increased in the last year. However, there is also an increase of 3,000 apprentices, of whom most of us want more. The proportion of temporary staff has varied some in recent years. Among other things, the number of temporary staff decreased from 2013 to 2014 about the corresponding increase that has been the last year. It is therefore too early to draw clear conclusions on the reasons for the increase in the last year. To the extent that temporary employment contributes to the ability of more people to try out in the labour market, it is positive.
ParlaMint-NO_2016-02-17.ana.ud2568e1577	I thank the Minister for the answer. I am a little surprised that you again want more flexibility in working life for those who will be allowed to work temporarily. Then my question becomes to the Minister of Labour: to the extent that she is concerned that there is an abuse of the system – what action will the Minister of Labour now take to prevent abuse of the system, when there are so many more who are offered temporary jobs in as short a time as we see here, and that there has been a particular increase among young men? What measures will the Minister of Labour take to prevent any abuse of the scheme?
ParlaMint-NO_2016-02-17.ana.ud2568e1584	I think there is a cross-political consensus in this Chamber that the general rule should be fixed employment and that the general rule should be full-time. Then a general access to temporary employment has been introduced for up to 12 months. We believe that this also means that more people can have a chance to show up and get into the world of work. We believe that it has been a necessary decoration. At the same time, as I said in my previous answer, we believe that after such a short working time for the law, it is too early to say anything about the effects of the law change. It is clear that when half – or about 3 000 – of the temporary jobs we now see, comes from an increase in the number of apprentices, it is a wild political development: we want more apprentices. I would recommend to the representative that we now allow the law to work a little, until we can draw more qualified conclusions about its scope – I think it is too early. But I will join the representative's concern that there are fixed-term and full-time jobs that should be the main rule, and what is desirable.
ParlaMint-NO_2016-02-17.ana.ud2568e1593	I record that the Minister of Labour has no thoughts about how to meet what is a possible abuse of the system, and for which she herself is concerned in her main response. Let me ask you another part of my question: those who work part-time. We have also seen that there is a strong increase in the number of people working part-time, and that a more-time paragraph has been in force for a longer period since 1 January 2014. We are constantly looking at reports that many are applying for the use of the multi-time paragraph, but they are not getting it, because the municipality or state enterprise has been cut off in their appropriations. What will the Council of State do to ensure that the multi-time paragraph can really be applied, and does the Council of State see the need to verify whether the scheme actually works as intended?
ParlaMint-NO_2016-02-17.ana.ud2568e1600	I do not know what the representative Aasrud here is referring to, so in that case I have to go back and investigate, even if that is what the representative says – I have no reason to doubt that. I'm afraid I won't answer the bastard. There is every reason to monitor developments in the labour market closely now, to monitor the development of the part-time problem, and to see if there are any abuses of the system. No one wants to abuse the possibilities now in the law – on the contrary. The aim is to create a more flexible working life and to make it easier for those who are now outside to enter. But the general rule that you should have full - time jobs is established, and that you should have permanent employment is also established. I almost have to come back to that with the more time paragraph and give a more adequate answer in an appropriate way.
ParlaMint-NO_2016-02-17.ana.ud2568e1613	‘State Council Anniken Hauglie showed in the Question Time in Stortinget on 10 February that she had visited Rogaland there for 40 p.m. by young unemployed persons had not completed continuing training. How did the question whether we should now ‘use the momentum’ to provide them with completed further training? The Labour Party has requested that the legislation on daily allowances be amended so that young people can continue to work without losing their daily allowances. When, and if so, will the government change its legislation so that it can do so?’
ParlaMint-NO_2016-02-17.ana.ud2568e1620	The general rule is that persons undergoing education or training are not entitled to a daily allowance. The reason is that they cannot initially be considered as real jobseekers or fully available for the labour market when they are in training. Furthermore, the daily allowance is a temporary benefit in the case of unemployment and not a benefit for education. In order to meet the need for labour market-based education or training, individual derogations are limited. Day money is a small and accurate tool to get young people to complete advanced education. Many people in the target population who have not completed secondary education have not earned the day-to-day allowance because of weak links with the labour market. Thus, opening up to longer courses of education under day care will not hit the weakest target groups, but rather offer those with previous work experience. Such access to education funding through daily allowances could be seen as both arbitrary and unfair to the many who have to finance the education itself. Upper secondary education shall, as a general rule, be completed without public support in the form of daily allowances or other public economic benefits. At the same time, labour market authorities also have a responsibility for the completion of further training. It can take place through the use of different labour market policy instruments. The labour market training measure may include secondary training where appropriate. In order to meet the need for more education and training for the weakest groups, as part of the youth package for 2016, the government has now set up a new two-year training measure. The action aims to provide young people who are not entitled to training from the county council with a professional offer at secondary level, where both vocational letters and practical letters can be current training objectives. In this way, a better basis is provided than today for taking upper secondary education for the most vulnerable group: those without the right to training. Young people with a day’s pay entitlement will retain them while they are on the training course. Action grants are received by non-cash participants. I share the representative's concern for the young people who are struggling to complete secondary education, which provides a lasting link to the labour market. The two-year training measure provides a better platform than in the past for cooperation between labour market and education authorities.
ParlaMint-NO_2016-02-17.ana.ud2568e1635	Thanks for the answer. We are all certain that, as a general rule, education should not be financed by daily allowances. There is no question about it here. The question is whether we can be certain that today’s legislation on exemptions is too narrow, in a situation where the unemployment path for each day goes. I ask again: will the Council consider opening up a limited possibility of taking a single subject on a broader basis without a missing daily allowance? Or is the Council of State in agreement with its party colleague Heggelund, who has stated that such a proposal would be a ‘falsity declaration’ and to ‘reward school graduates’?
ParlaMint-NO_2016-02-17.ana.ud2568e1644	We're going to be careful to put in place schemes that push students from high school into Nav. However, I fully agree that today's legislation on day-to-day pay is too rigid and too flexible. That is also the background for now proposing four changes. Three of them have been known in the past – there are two regulatory changes and a legislative change. The four changes we are now proposing are: to be able to complete the initial training which you started before you became free to take part in training that can be combined with work while you go on a daily basis to extend the number of months you can go on a daily basis while you start your own business, from nine to twelve months and – yesterday we came with the fourth proposal for a change – to remove the rule that you have to apply for a job for three months before starting your own business. There are four changes that everyone intends to build on what the representative is also concerned about.
ParlaMint-NO_2016-02-17.ana.ud2568e1666	The changes proposed by the Council of State are interesting, and they will go through the Labour Party thoroughly when they come to the Storting. As an explanation of why the Council of State will not listen to a unanimous demand for better law-making, the Council of State in Question Time on 10 February indicated that it was more important to ensure that they completed their schooling without completion. In its alternative state budget, the Labour Party has strong efforts to obtain more through further training, such as: a self-employed Nav Ung, several youth action areas, vocational training measures such as higher apprenticeships, better equipment and the raising of professional trainers, as well as changes in the day-to-day pay legislation, which we are discussing here. But when the government really goes against all our proposals and only answers that one follows the situation carefully, there is reason to ask: does the government really have a policy to get more people to complete further training?
ParlaMint-NO_2016-02-17.ana.ud2568e1673	I have just presented four concrete changes in the day-to-day pay legislation to ensure that it is easier to combine work with education while you are on day-to-day pay. There are four important proposals. In addition, I can mention – and the representative is probably also aware – that on Friday the Minister of Knowledge will present a big message on adult learning, which my department has also been involved in. This is precisely a discussion of training provision for adults with low skills or low basic skills, who are therefore struggling in the labour market. The content of the message we have to wait until Friday, but the government strengthens the offer for jobseekers with low skills and poor skills. Then we believe that unemployment benefits should be a temporary income insurance scheme with the aim of getting people to work. We fear that opening up longer social security funded courses of education via daily allowances may also exacerbate the intention of the daycare scheme itself. All in all, I believe that the communication that comes on Friday, the proposals we have in the State budget, and the changes we have in the current day-to-day money legislation, provide a good basis for young people without education to complete education and start education.
ParlaMint-NO_2016-02-17.ana.ud2568e1688	‘The Culture Council received a clear order from State Councillor Thorhild Widvey during Arendalsuka 2015 to look at tasks that can be solved elsewhere in the country. The Workers' Party supports the initiative to give several cultural tasks to the regions. The Cultural Council has been focusing on this for a long time and states that they are ready to start processes. How far has the Council of State come to consider the proposals that the Culture Council has allegedly delivered?»
ParlaMint-NO_2016-02-17.ana.ud2568e1695	I thank you for the question from the representative Haukeland Liadal and am very pleased that it is being asked. Norwegian Cultural Councils have been commissioned to assess whether there are administrative tasks that can be located elsewhere than in Oslo, where Norwegian Cultural Councils have their address today. The aim is to establish closer contact with professional environments elsewhere in the country, thus enhancing administrative competence and work and facilitating greater regional and geographical diversity. The mission is also reflected in the 2016 Norwegian Cultural Council's letter of assignment and is followed up as part of the Ministry's governance dialogue with the activities. The Culture Council is well in the process of preparing a basis for the assessment of tasks that can be located elsewhere than in Oslo. The basis for such an assessment shall be identified, inter alia: the relevant regional professional environment and the assumptions that need to be taken into account in order to ensure good achievement of the objectives. The Culture Council is working to present possible concrete proposals to the Ministry in June this year. The Ministry has not received any proposals at this time, so I am a little uncertain about what the representative is looking for. But I am very pleased that the representative Haukeland Liadal stresses that the Workers' Party also believes that this is right. We have strong art and cultural environments around the country. They're important to rebuild, and that's why I look forward to getting those suggestions.
ParlaMint-NO_2016-02-17.ana.ud2568e1708	I thank you for the answer and am happy to read more about what the Culture Council itself is proposing, and that it will be submitted before the summer of 2016, I am pleased. During the year, the government phased out the node scheme into the festival support scheme, as the Stortinget has been told in the past. My follow-up question in this way is: does the Council of State, independent of the Council of Culture, see it as natural that the festival support scheme could possibly be a task for the regions out in Norway?
ParlaMint-NO_2016-02-17.ana.ud2568e1715	I recently met with Director Vibeke Mohr and her entire leadership, and there we went thoroughly through what the Culture Council is working on. As the representative Haukeland Liadal also knows, it is important for me, as Minister of Culture, to have an arm's length distance from the Council of Culture, without over-control by the political team. I made it clear in the meeting that as politicians we are impatient about the work that the Cultural Council is now doing, but to oblige them to look at the festival support scheme and this as part of the work I have not done.
ParlaMint-NO_2016-02-17.ana.ud2568e1720	Then I just want to finish my question and my reasoning that I am happy that the Minister of Culture is close. I am pleased that the Minister of Culture, along with the Council of Culture, is thinking about a future regionalised problem solution. I hope – it will be my end here today – that the Minister of Culture sees the value of playing with the Stortinget team, and we in Stortinget are concerned about this at an arm's length, which we fully support. We are concerned with the Council of Culture's artistic assessment and technical advice, and it is a strength that the Council of Culture should also have, but we clearly see tasks that can be laid out, and then the regions and the cultural nation of Norway are strengthened in that way, spread a little more, beyond Oslo.
ParlaMint-NO_2016-02-17.ana.ud2568e1725	I am very pleased that the representative Haukeland Liadal expresses what she is doing now, and it is very important for me also to stress it. I can inform you that in my meeting with the leadership group of the Cultural Council I referred to the Stortinget and the Cultural Committee's comment on the node system, which was very clear, in connection with the State budget, and I think I also read it to them. I was very clear that the Cultural Council had to notice what Stortinget had said, and I was very satisfied with and confident about the answer from the Council of Culture that they followed up the comment and laid the foundation for their further work on the festivals.
ParlaMint-NO_2016-02-17.ana.ud2568e1734	I allow myself to ask the following questions to the Minister of Culture: ‘Only 7 pst. the art of the National Museum is shown today. When the new museum is finished on the western side, it will be up to 14 pst. could be shown by the art. The current National Gallery at Tullinløkka is a popular museum with about four hundred thousand visitors per year. years. The future use of this when the new National Museum opens is not clarified. It should be appropriate to continue to use the National Gallery to show some of the art of the National Museum. How does the Council of State assess this, and how will the further process be resolved?’
ParlaMint-NO_2016-02-17.ana.ud2568e1743	I would like to thank you for the question from the representative of Bohemia. As the representative points out, we are building a new national museum in the Western Railway Station, where the exhibition area of the National Museum around doubles compared to the current situation. The new museum building will be of much higher quality than the current premises, and the different arts of the museum can be collected under the same roof. We're all very happy that we're going to have the opportunity. The national museum will move out of most of its current premises when the new museum is completed. There's a lot of interest in what's going to happen to the National Gallery building. There's been a lot of input and lots of good suggestions. There are also many opinions, disagreements and thinking around the area of Tullin onions. The Tullinløkka area is a large and central geographical area in the centre of Oslo, which is well known by the Oslo representative, Bøhler. The area is of great historical interest. What happens here, and how the area will be used in the future, is very important to many. The government has therefore launched an overall draft selection investigation on the future use of the Tullinløkka area in Oslo. The mandate of the investigation includes both the National Gallery building and several other State properties and buildings. The investigation is ongoing and is planned to undergo external quality assurance during 2016. It is the Ministry of Municipal Affairs and Modernisation which is the contracting entity here. Through the ongoing process, we will develop different alternatives to how the area can be used in the future. The investigation shall include possible choice of concepts involving a limited investment need. The further use of the National Gallery building will be an important part of the investigation. The Government is committed to producing the different views; they shall be included in an overall assessment. The government will not decide on the future use of the National Gallery until the ongoing investigation process is completed. We will come back to Stortinget with an assessment after the quality assurance of the investigation work has been completed and processed.
ParlaMint-NO_2016-02-17.ana.ud2568e1762	I thank the Council of State for an informative and interesting answer. This, as the Council of State says, is an important question for many. There is an active action group in Oslo called the Save National Gallery, which has collected thousands of signatures. The national gallery has 400,000 visitors per year. It is at the top of the museums in Oslo – only Frognerpark competes. So this building has a very important national historical role. According to the plan, it will be emptied in 2017/2018, so I would like to say to the Council of State: In the context of the progress of the concept selection investigation in this area, it is important to co-operate with the plans to empty the National Gallery – if not another alternative – so that these processes go hand in hand, and so that one does not run the risk of emptying before the government has decided on the development of the entire area.
ParlaMint-NO_2016-02-17.ana.ud2568e1771	I fully agree with the representative of Bohemia that this building plays a very important role in national history, and that it is one of the most visited galleries we have, which makes it very important – not just for the capital, but for the whole country – how we manage it and land on a good conclusion, which also has a broad anchor. To the debate today: If you read in the media today, you can see that after many years of treatment of Lambda in Bjørvika and with a decision that is ready to be implemented, some local politicians are going to repel it. It tells me that it's important that we have a thorough process, that we get a broad political anchor, that we do the right thing, that we can stand behind it and implement the decisions that we make when that time comes.
ParlaMint-NO_2016-02-17.ana.ud2568e1778	Thank you again for your answer. I'm not fighting a rematch, it's clear. I'm looking forward to the new National Museum, it's going to be a great building in the West Railway Station. But I'll also be happy if in the future we can get the full benefit of the beautiful building that the National Gallery is. The discussion is about which parts of the National Museum’s art – which in the future only 14 pst will be shown. of the Western Railway Area — which can be used in a good way within the National Gallery framework. There will be worse climatic conditions and some problems around exhibiting at least certain parts of the art in the National Gallery, as it is today. It may require some investment too, but it could give priority to those parts of the art that are suitable for exhibiting there, while at the same time it must be attractive. I want to say that I don't think there are any questions about whether it should be used in the future, but about how. I would like to know if the Council of State agrees.
ParlaMint-NO_2016-02-17.ana.ud2568e1785	Yes, I share the views of the representative of Bohemia. That is why it is so important that we have a thorough analysis and a broad and good draft investigation and quality assurance, so that we have a good basis for making decisions. There are a lot of elements in this puzzle that we have to see in the context of how we're going to use the entire Tullin Loop area. Then I want to remember what the director of the National Museum stated in an article in the Evening Post on September 11, 2014: « the basic representation of the museum collections in a historical-chronological perspective should be in the new museum.» [[...]] There's a perspective that we're going to include, that we're not going to break it up, divide it up. But it is primarily those who have the professional responsibility to take care of it, and then, as politicians, we have to be involved in making decisions about what we are going to use it for in the future. I look forward to that debate.
ParlaMint-NO_2016-02-17.ana.ud2568e1797	Then we go back to question 7.
ParlaMint-NO_2016-02-17.ana.ud2568e1805	This question, from the representative Else-May Botten to the Minister for Industry, has been transferred to the Minister for Oil and Energy who is directing him.
ParlaMint-NO_2016-02-17.ana.ud2568e1808	‘The record high unemployment rate that has affected offshore business now needs a national effort to keep the activity up. There is a need for tripartite cooperation between employers’ organisations, employee organisations and the authorities in order to provide countermeasures. Actions related to the exploration, field development, maintenance and study of wells are very much needed activities in the current situation. Can the Council of State take the initiative on a Norwegian Socket activity package?’
ParlaMint-NO_2016-02-17.ana.ud2568e1815	Let me first take the opportunity to sincerely thank the representative for the opportunity to discuss this issue in Stortinget. The oil industry is the largest and most important industry in Norway, regardless of whether it is assessed for employment, value creation, export income or income to the treasury. At the same time, like many other raw materials industries, the oil industry is a cyclical industry. This demanding period of time we are now experiencing is justified by the fact that the commodity price, in this case the oil price, has evolved in a very negative direction over the last two and a half years. This has led us to go from a record high level of investment in 2014 to having seen reductions of about 15 pst. in the investment level from 2014 to 2015, we will probably also see it from 2015 to 2016. I believe that the industry itself responds very well by working smarter, doing things cheaper. I perceive that this is something that has been addressed by the supplier industry and the operators. It is also a work that I am very happy to have significant upswing not only from the professional movements that are directly involved, but also from the top management of LO. However, there is no doubt that this will create challenges for the Norwegian supplier industry, thereby also weakening the employment impact of the Norwegian oil industry. At the same time, there are points of light. I have unfortunately twice had to fight quite hard to get Johan Sverdrup to move on in time. The largest industrial project in Norwegian history is now on time. The situation had been a lot more demanding without it. Work has also been done well and targeted by the authorities to finalise both the Maria development and the Oseberg development, which both contribute to important tasks. It is clear that much of the success behind the fact that the oil industry has become like it has been because the authorities have set up research resources all the way. Under my leadership, under this government, the focus on petroleum research and technology development for the oil industry has been greatly increased. From last year to this year, we have increased the demo program in the Research Council, which is about using and demonstrating new technology on Norwegian base, from 50 million. NOK 150 million. kr. In the short term, there is a measure that will allow people to work, and in the long term, it is a work that will strengthen the value creation and employment based on the energy resources of the Norwegian base for generations to come. This is a work that unfortunately got weakened during the previous government.
ParlaMint-NO_2016-02-17.ana.ud2568e1828	I thank you for your answer. There is a rare combination of unexpected events that are currently moving in the same direction, and unfortunately downwards. The oil price has been in free fall, there has been a heavy brake on offshore investment, we have western sanctions against Russia, and there is a demanding situation on Brazilian pedestal, which also affects Norwegian shipping companies hard. All of these things happen at the same time, and it's demanding. That's what the council says: the actors themselves do a lot to cut costs. It's actually done on a large scale. But many companies are now negotiating with banks and bond holders about debt restructuring and the deferral of repayments. We've already seen bankruptcy, so there's a demanding situation that many people are facing. Then it's good that we have a government council that's positive to contribute. But what will the Council of State do to achieve tripartite cooperation, to look at the different measures that can be taken and addressed? The representative Arve Kambe said in... [[President clubs]]
