ParlaMint-NO_2013-10-23.ana.ud1862e15	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2013-10-23.ana.ud1862e1812	Today, several representatives have produced the Norwegian economy as a bottom-solid. It is a snapshot that can hardly be called a truth with modifications, for the 2013 Perspective Communication just concluded that the social democratic welfare state of Norway is not sustainable in the long term. Although Norwegian employment is high, we are close to the bottom of the OECD as measured by the number of hours worked per person in pre-age employment. In Norway, wages are 60 pst. above — not China, but the OECD average, and Vice-Chancellor Steinar Juel in Nordea says that Norway has never had such a deterioration in competitiveness as in the post-2005 years. Although the Norwegian economy still has a higher growth than the vast majority of countries around us, growth is on the way down to Norway, while it is on the way up in many other countries. Unemployment is increasing — and it has been the last year. This happens at the same time as what was supposed to be a red-green government, has provided for a stronger two-way division of Norwegian economy, where we are more dependent on oil than ever. This is the legacy of the red-green ones. So when Prime Minister Erna Solberg comes here, she says she has great ambitions for the competitiveness of Norwegian jobs. First of all, it means taking back eight years of lost opportunities. Prime Minister Solberg said that the government should realise the knowledge society, strengthen the competitiveness of Norwegian jobs and work for a more robust welfare society. Of course, these three are connected. An innovative and competitive business environment requires a school with knowledge as its primary objective and provides opportunities for all. Remember that today's students will work in industries in the future, we may not yet know about – think of the Internet 20 years ago – to solve problems that we do not know about, and the welfare of the future depends entirely on a creative business. But business is not a under-use of the country, and business creates values far beyond monetary. It provides solutions to small and large problems that affect and make everyday life easier for individuals, groups and the community as a whole, whether it is nurses who create a new care business because they think they can provide care in a better or different way than existing offers, or it is innovative Internet companies that facilitate a whole new economy, challenging existing business models, tearing down almost any monopoly in the market, because they are smarter, faster and better for consumers. These are the ones that create Norway at its best. It's obviously healthy that we got a government change now. For those who are so satisfied with the snapshot of the Norwegian economy that someone is trying to draw here, it doesn't deserve to take this country further.
ParlaMint-NO_2013-10-23.ana.ud1862e1825	First, a small consideration from one after another long debate. It is that I am surprised at how little commitment and how few new ideas are presented by the bourgeois parties from this pulpit. When we won the election in 2005, we were out of energy. It was because we carried in ourselves the dream of a better society with more cohesion and with less differences between people. It might be more difficult to find a similar commitment when you represent a majority that is the first to build up many of the great advances that Norwegian society has made. This is clearly seen in the context of family policy — income upgrading in the SFO, which means more expensive arrangements for most, severe cuts in the paperwork, which means that children get less time with their father, and more use of overtime and temporary jobs, which makes life more difficult for families with young children. Many politicians like to talk about freedom, but what is freedom, and for whom is what you work? The basic position of the Labour Party is that freedom shall not be restricted to a few but shall apply to all. It's been a red thread in all of our history. But whose freedom is it the blue-blue government thinks about when it comes to, for example. more use of temporary posts? Is it the freedom of the worker, or is it the freedom of the employer? In the case of standard health care periods, is it the individual's freedom, or is it the freedom of the State? As regards the right of reservation for permanent doctors, is it the freedom of the woman, or is it the freedom of the doctor? Yes, we sometimes have to limit the freedom of someone in order to secure others. When we do that from the Labour Party, it's about protecting a minority, or the weak party. What the right-hand side is doing is weakening the freedom of the weak party. It is completely incompatible with a social democratic society, but unfortunately quite common right-wing policy. I want to strongly warn against that kind of direction. We will fight, because we don't want a society with less freedom and greater differences between people.
ParlaMint-NO_2013-10-23.ana.ud1862e1834	The representative Stokkan-Grande is surprised at the lack of civil involvement. Then I can say that I am surprised at how much rhetoric comes from the Workers' Party, and how little policy comes from the opposition, because the Workers' Party has said that they want to be a constructive opposition. I think that is good because we live in a country where we are so lucky that although we disagree often, we often find ourselves together. But we hear that the Workers' Party is not always able to be as constructive all the time. For example, I must be allowed to express my admiration for the representative Giske, who managed, as I experienced it, to be both very constructive and very little constructive at the same time in his post. I knew it was possible to combine the two things – I was just not aware that it was possible to do it in 3 minutes! Of the less constructive things that I experienced at Giske's posts, he felt that the Right Party government is using as an argument that the previous government did not help enough in the presentation of its budget in order for the new government to be able to fulfill its promises. Well, in the Kristin Halvorsen biography «Treatment», there are some very exciting aspects of the budgetary work that the previous government had three weeks to implement in 2005. For those who are not aware of it, it is actually a rather busy and demanding process, and I believe that if you talk about a government's budgetary work as if it were something that happens in a simple hand turn. In the political platform of the government, it is clear that we will now witness a promise that the teachers deserve. Continuing training shall be stepped up and, in the long term, shall be a right and a duty. Continuing training makes sense. Today we saw that we have a former prime minister who might need a little bit of it. As a new representative, I have seen that we have language courses here on Stortinget. The math course for representatives who think that 2.4 times 4 is going to be something other than 9.6 could also make sense. Continuing education is an ambition for the teachers that the previous government never had. In their proposal for a State budget, there is no sign of commitment. Rather, on the contrary, the draft budget states that appropriations should be continued at exactly the same level. I do not doubt the intentions of other parties. Unlike what some opposition representatives believe about us, I am sure that the opposition has the best intentions with its policy. I'm just saying that we're better than them to give priority, and that it's clear on the government platform.
ParlaMint-NO_2013-10-23.ana.ud1862e1847	How we organize our hospitals is sub-communicated as an important question of democracy, distribution and value. Today hospitals are run by a business model inspired by private company models, and there are 40 psts. the funding is effort-driven. This has resulted in a market right of the Norwegian health services where politicians have chosen to withdraw in favour of health bureaucrats and corporate governance where none of the members can be cast in elections. The financial reward that exists in the kind of diagnostic-related group that each patient belongs to ensures that patient focus constantly has to compete with the irritant me. The danger that patients who do not pay will be deprived is great. The orderer-executor model is tailor-made for the privatisation and purchase and sale of services, because it makes it easy to price patients. The driving licence model has been successful in establishing a similar market in public health. The health service action established is a counter-reaction to this development, with New Public Management as a driving force in the health sector. They want to take the subject back. The centre party supports these demands and believes that the hospital sector must return to elected government. We will lay down executives, fund the hospitals, give the Stortinget power and decentralize the management of hospitals to 20 local hospital boards where the majority of the members are elected by the county council. The right hand side and the step-by-step side options went to remove the regional businesses. They are now being criticized for not doing what they promise. But I'm not surprised. The right hand side and the progress side need companies to control the health shop they are about to create. Nor do they have any political level to decentralize the power to when the county council is to be laid down. The removal of regional governments, however, has no value but at the same time a reorganization of funding. The introduction of the enterprise model in 2002 had a clear link with, and came precisely as a result of, the introduction of the orderer-executor model and input-driven health care funding. When New Zealand and Scotland reversed the business organisation, they did not start by removing businesses, but they started the conversion by removing the order-executor model and removing input-driven funding in favour of framework funding. Finally, they remove the regional controls. They said a final and uncompromising goodbye to all market thinking and market solutions in the health sector. They reduced the number of people in favour of a democratically controlled health sector within the framework of public administration. Even support functions such as cafe operations and cleaning were taken back to public operation. The Right-Forward Party government is doing the opposite. With the Christian People's Party and the Left on the slip, they will increase effort-driven funding, they will introduce free right of establishment for private individuals, and they will convert into neutral VAT, so that businesses can more easily privatise their services and make the health sector an even larger market. The Right Party and the Progress Party establish in the Government Platform that the production of welfare services differs little from other services. What's so sad is that they're so fundamentally wrong.
ParlaMint-NO_2013-10-23.ana.ud1862e1858	I take the floor because Minister of Health Bent Höie had a direct eye-catching response to me in the change of lines earlier today, where he simply failed to answer my question. First, I want to say that it is absolutely excellent that the government will present a national health plan and a national hospital plan. The red-green government also provided information on the national health and care plan. But the health minister cannot believe that a descriptive plan for the country’s hospital is an exhaustive management tool for the hospital sector. The availability and responsibility of each hospital for its own activity is great, but what about the absolutely necessary cooperation between hospitals, the functional allocation and allocation of professional resources and the creation of a common platform for ICT? What about looking at the whole hospital sector as a whole and caring for the dynamics of the sector when demographic changes, changes in the picture of the disease or innovations in medical treatment require this? What kind of level is going to take care of this, right won't say anything about it, except some approaches to insignificant mumbling. It's a little credible. I would like to stress that when we in my long-term part of the country have as good hospital services as we have, it is precisely because we started working early on with cooperation, good functional distribution between hospitals and good housekeeping of professional resources, thanks to the regional level that thought region from the first moment – in a part of the country where more than 95 pst. by all those living in the north are treated. So to my question, which the Minister of Health avoided in a disappointing, superficial way, to say it more parliamentaryly correct than I really want. Freedom of establishment for private commercial hospital drivers, where they should automatically be able to send a bill to the public for patient treatment – without prior agreement on such treatment, as is currently the case – has been a bearer of Right-wing Health Policy, presented in full spring 2011 by Höie and Solberg jointly. The right talk a lot about ‘free treatment choice’, but also uses the concept of ‘free establishment’ in its government platform. What about admitting that this is the policy you want for hospitals? The principle of ‘free establishment’ raises important issues related to whether, with such a policy, we can have political governance with the allocation of resources in the specialist health service, for example: between different patient groups and between regions. The fact that the Minister of Health, in his reply to me today, tried to pretend that freedom of establishment is about the fact that the red-green government has removed a little relevant one-time permit for hospitals, in order to replace this with a much more suitable practice in the form of continuous supervision and control, is simply a poor attempt to focus and conceal own policies. It was quite rhetorical when this came from the representative Bent Höie, but unexpectedly and directly unruly when it comes from the Minister of Health. I expect a more serious approach to this very central issue at the time of its word change in this Chamber.
ParlaMint-NO_2013-10-23.ana.ud1862e1869	The representative, Karin Andersen, has spoken twice and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2013-10-23.ana.ud1862e1872	I take the floor because I feel that a moralization is being used against sickly reported women, immigrants, and people who are dissatisfaction to so question the sustainability of the welfare state. But the same moralization does not mean anything when we are discussing fiscal policies and whether those who have a lot are going to contribute more. If you are interested in the facts of these matters, I would recommend a publication that has arrived today, called Work and Welfare No. 3–2013, which tells us in black and white that there is not an increase, but a decrease in health-related payments in Norway. Age is increasing – there are many of us who are getting older, but I hope that everyone is happy about that. But if we have to cut, cut out tax credits for us that have more than enough already. Then we have enough for those who are struggling the most, and we don't have to cut as this government plans.
ParlaMint-NO_2013-10-23.ana.ud1862e1877	It's approaching the end of a long debate, and it's time to try to sum up what we've got out of it. There have been some interesting clarifications from the government. One is that it is now clear that the government will not base a requirement for a United Nations mandate for Norwegian forces to participate in missions abroad. It's a line shift that we're seriously looking at, and we think that's good reason to debate further in this room. The second is that in the course of the day, the case of referral for doctors to abortion has gone from being a compromise, the Right-Effected in negotiations with the Christian People's Party, to becoming something Right is hearty for today – in the speech to the Minister of Health. I think that is alarming, and I am waiting with excitement for whether there is a view shared by the Right Group as that matter comes back to Stortinget. In conclusion, I would like to link a few comments to some other topics that have been raised over and over again. The majority seem to be very self-satisfied with the fact that the government has unclearly announced that there will be measures beyond the climate agreement, and therefore uses it to attack the opposition, as if there would not be any strengthening of the climate agreement if we had received a still red-green majority. Of course it would. There is nothing to brag about that one has intended to do beyond the climate agreement – that is an absolute obvious matter. The question is what the government intends to do, and it is very unclear. The only signal we have received today is that there is no climate announcement. Then I want to make a little visit to the Christian People's Party. Earlier today, the representative Hans Olav Syversen hesitated over the proposal put forward by SV to protect non-profit actors from competitions in the drug industry. I must say that I am very disappointed with that reaction from the Christian People's Party. The Christian People's Party should know that in the red-green years SV has been a driving force to achieve that kind of policy, implemented it in child protection, and the red-green government has also recommended health companies to do this and protect ideal actors in the care of the russian. Only one region has made it now. This means that the time has come to instruct health regions about this. The Christian People's Party should be very pleased that there may be opportunities to have a majority in this Chamber for such a policy and to limit the competitive position of the Right Party government, which will affect non-profit actors in favour of commercial actors. I hope that is not an example of how the Christian People's Party will deal with the space of action that is now in the Chamber. I hope that there can be a constructive between parties that agree on the matter, and not a need in such cases to defend, first of all, the choice made by the most competitive and most commercial government in Norway has had for a very long time.
ParlaMint-NO_2013-10-23.ana.ud1862e1893	When a person enters a throne debate with a new government, an expected great optimism and enthusiasm should enter the hall. The fact that I and I, who lost the election and have left the government offices, may be a little moley, was perhaps nothing else to expect. But I haven't heard the big thrill of the new government constellation. It's also hard to figure out what the new position really wants. They have toned down a lot of their former tough positions that they went to choose from. I was responsible for housing policy in the red-green government in the last four years and had many and long discussions that led the Financial Supervisory Authority to streamline the capital requirement when purchasing housing. On August 28 it was stated in the Evening Post that the right side would lower the savings requirement for mortgage loans. One clearly fixed it. And that was just one of many phrases and many debates. So, October 8th, one went from being non-slip to being in doubt. And it suggested to me that there's only one of many examples that one has gone from being non-slip to being in doubt. The positive thing I've heard in this room is that the Christian People's Party and the Left are on their own in important matters. They have made it clear in agricultural policy. I hope that they will continue to make it clear in both agriculture policy, rural policy and distribution policy – areas that may appear to be lowered by the new government. In my lines, I have raised the new line that I also see in the security and defence policy to ensure that we have demands for UN mandates in international operations. It's definitely a theme we have to come back to. I look forward to the concrete proposals that are coming. I cannot say that this debate has made it clear what is the objective and the clear policy of the new Right-front Party government. Then there are suggestions on the table for reconciliation. The centre party will support SV’s proposal for a globalisation message during the spring of 2014 to strengthen the climate agreement. We will not vote in favour of other proposals.
ParlaMint-NO_2013-10-23.ana.ud1862e1908	When you have a very important tool, and you have a policy that you claim is very important, it is natural to expect that you use this tool to promote the policies you stand for. The state pension fund abroad is the world's largest fund of its kind. It is reasonable to expect Norway to reach an opinion at some point on the overall impact of the fund in relation to policies that Norway argues and stands for internationally. This also applies to climate and sustainability policies, where changing governments are very clear that Norway wants to be an international driver of climate-friendly and climate-responsible policies. On several occasions, however, the Red-Green Government concluded that the State pension fund abroad is not a climate policy instrument, and the comment of the representative Navarsete just now on two proposals presented by the Green Party suggests that there is an existing position. But the claim that the state pension fund abroad is not a climate policy instrument is a completely meaningless claim, to invest 4 700 billion. kr in the global financial market, including, to a large extent, coal, oil, tar sands, etc., obviously have both a climate impact and a good deal of other effects. There is little doubt that the climate account of the State pension fund abroad is bad from a global warming point of view. Therefore, it is a challenge for the new bourgeois government constellation to decide whether to think about the use of the State pension fund abroad, and therefore, the Greens have presented two proposals that can start this development. And we stress that both of these proposals can be implemented without challenging the performance of the pension fund, rather they will in the long run strengthen it, and without challenging the governance rules and procedures for this. The first proposal therefore concerns the granting of a mandate to the State pension fund abroad in 2014 to invest up to 5 pst. the market value of the fund in renewable energy infrastructure. The second proposal is to withdraw from coal and tar sands activities. We know that these proposals are coming a little fast on the Stortinget, but the Green Party did come a little fast on the Stortinget. We are going to incorporate the procedures first, but the issues are not urgent for Stortinget, so we are asking for and hoping that the Chamber will show the will for rethinking and thus vote for our proposals.
ParlaMint-NO_2013-10-23.ana.ud1862e1921	Today's and yesterday's debate on the census and the government statement confirm very strongly the impression we have had in the days after the election, that the government parties are now adjusting both their goals and their ambitions. Before the election, we got the impression that there would be major changes quickly. The election campaign promised large increases in expenditure for many good purposes. At the same time, large cuts were promised in the revenue of the state through extensive tax cuts. Now in most of these areas it is much more unclear, much more vague and much less ambitious. We see it, for example. in yesterday's and today's debate on the tax cuts promised: 25 to 100 billion. kr i lower tax. This was said for a long time before the election, but now it is very uncertain what to do with the promises given before the election regarding lower taxes. We also see it very clearly on transportation, especially with regard to the government party Progress Party, which has had as its main purpose for many, many years to remove the bombs. So now they're in government, and they're going to be responsible not just for not removing bombs, but being a party that builds new bombs in Norway, and in many projects there's going to be a lot more income through bombs. We also see that in relation to the equity requirement of the banks. Both parties were very clear about reducing the equity requirement for housing purchases. Now you've reduced it to change the practice of a rule you were against. It shall be practised in a flexible manner. It's been clear all along; it's today's practice. Then you can say that I am basically happy that you are now more responsible, both in terms of how to ensure stability in the banking and housing markets, and also in terms of financing roads. The problem is that there are many voters who have believed in these promises, both the young people who have believed in the promises to reduce the equity requirement and the drivers who have believed in the promise to remove the booms. So although it's good that reality also adjusts the Right and Advance Party significantly down, it's a disadvantage that many have voted on the parties because they thought that they meant serious when they made promises of reduced equity requirements for housing purchases or promises to remove the booms. It's serious. This also applies to the full expectation of the State budget. You talk like you don't have any freedom of action. Well, alternative government budgets have been presented every harvest where tens of billions have been moved, and if these changes are serious, you have to be able to repeat them. I warn against repeating them, because there is a lot of irresponsible in it, but it just shows that you have promised a lot you won't keep. As far as the proposals are concerned, I would like to say in general that many of them have intentions we can agree on, but we believe consistently that there is a need for a more thorough and better procedure than what we are able to do over the table here in the Chamber. With regard to the proposal for a big message, I have seen the Prime Minister there coming a big message about climate policy, and provided it can be confirmed, we do not see any reason to vote in favour of the proposal.
ParlaMint-NO_2013-10-23.ana.ud1862e1942	I think it is a bit interesting that the representative Stoltenberg has now become an ombudsman on behalf of the Right and the Advance Party voters and spends a lot of time telling me how disappointed they should possibly be. I am sure that the Right Party and the Advance Party themselves will receive disappointments if there is a need to tell about it. The representative Lysbakken was disappointed with our reaction to the SV's proposal for a representative in terms of agreements in the field of drug care. Shaky and disappointed – I don't quite understand that. It must actually be allowed to point out that you have been in government for eight years and have not got more than you've done in this particular area that you've at least said for so many years that you want to do something. The beacon said we in the Christian People's Party should be happy, because now it might be a majority for this. This is a pretty interesting information. So we have had votes in this Chamber, where the then parliamentary leader of the Workers' Party, Helga Pedersen, asked for the Christian People's Party's proposal to the government to work on it. So I see on Lysbakken that there really wasn't a majority in the government for a new policy towards the non-profit sector, but I can promise Lysbakken that we will seriously go into the work also with the representative proposal submitted by SV. The representative Navarsete was within what she perceived were the great lines of this debate, and she pointed out that the Christian People's Party and the Left have acted as independent parties. That's a perfectly correct observation. At the same time, we are satisfied with the way the government and government parties have met the Stortinget. We look forward to good cooperation. But I've also noticed that there's a difference between what was the red-green constellation. One result after another from SV and the Workers' Party in terms of doctors' reservation access has been met in a completely different way from the Center Party, and we are delighted to note that. As far as the proposals presented are concerned, there is a lot of work in the cooperation agreement, so we do not see the need to vote in favour of them. With regard to the State pension fund, I am delighted to have a further debate with both the Green Party and others when we receive the annual report for the pension fund. Then we can go through the completely relevant issues raised by the representative Hansson.
ParlaMint-NO_2013-10-23.ana.ud1862e1955	Let me use the opportunity to both correct something I said wrong earlier, and thus also confirm what the representative Jens Stoltenberg said, namely that we will come up with a matter of strengthening the climate agreement with Stortinget. I was injured because in a reply change we would not be able to handle a message during this big time period, it would be in this big session – for which there is a proposal. I don't think I can promise that we can deliver a case in the first year, not least in view of the fact that, despite the fact that the Stortinget was promised a case in the last period, before 2010, it didn't get it until 2012 – with that reason from the previous government that it is important to have good plans in each sector in order to get to the different measures. But we have an ambition to take action on the road and not wait until that time. Then I would also like to say that in our platform basis we have said that we should make an assessment of our own mandate for investments in renewable energy production within the State pension fund abroad. So one point here, at least from the government -- for Rasmus Hansson -- we want to make an assessment of. Then I want to say that I have been sitting for a long time and listening to this debate. We've heard a lot of future-optimism, a lot of joy over the knowledge society, a lot of joy that we're going to invest in infrastructure in the future. I have heard a lot of optimism from four parties in this Chamber about new cooperations related to how the Storting should work, and about politics. I think I have listened to a slightly different debate than the red-green politicians, who have said from here that they have not realized that it is expectation or interest. On the other hand, I have experienced some confessions that I hope the representatives who came with them, for example. The representative, Mr Kolberg, will see that the world is actually such that it is step-by-step reforms that we stand for. Yeah, we've always done that. That's actually how we're concerned about cooperation, we're concerned that there are less differences. But we're a little bit more concerned with helping the poor rather than being so dedicated to punishing the rich in our society. Yes, in fact, the arguments that Martin Kolberg used a lot of his intervention to talk about, and the society he talked about was probably the most rhetorical of the Workers' Party about the Advance Party, the Right Party and the bourgeois parties, not what we had said or meant in the future. But I'm glad that Martin Kolberg has now got our eyes up because we're parties that are engaged in taking social responsibility. We are concerned with the social development of our society. We are concerned that the weakest will get better, and we are concerned that we should have good conditions on the labour market and build on the tripartite cooperation, which the Right has done for many years and believes is important, but not exclusive. It is important that democracy also limits the extent to which the parties outside democracy and directly elected democracy make their priorities.
ParlaMint-NO_2013-10-23.ana.ud1862e1968	One of the things that made me speak was the intervention of the representative of Navarsete that she missed the great commitment and enthusiasm of the new government platform. Then we have been present in two different places, because then Navarsete could not have been present in this room. Because I've heard posts after posts, just by people thinking about the future, thinking about changes within the tax regime, within knowledge, within being able to create something new – yes, who are just thinking ahead with new reforms, instead of taking a break, which in many ways got the impression that the red-greens were inside in their last four years, before they had to go off. Yes, the enthusiasm is great, and I really look forward to the work that we're going to do in this room in the years to come. It is important that we be able to create the widest possible majority on the major reforms, so that the reforms can stand. This government has, of course, done the same thing. One has stretched out a hand and said that we want a cooperation – we want a broad cooperation. Through the cooperation platform, a very good agreement has been reached with the Christian People's Party and the Left, an agreement on which it must be built. In addition, you have also stretched out your hands and invested in the big things. Among other things, within a community reform, it is important to be able to move forward and get the widest possible settlement. But what has obviously been a little bit difficult is that those who have come back from the previous government have had some problems getting involved in actually having to meet in this room and start talking about real politics. It's clear that now we have eight years behind us where they've only been able to come in this room and present a document. They had clarified everything in advance, and the debate was lacking in many ways here, except for the opposition. Now it is actually in this Chamber that we are going to discuss these documents. It's actually in this house we have to find these majorityes, find these arenas that are now becoming so important, in order to get a majority in the matters that the government is promoting. Yes, many of us have quoted Johan Sverdrup from 1872, in connection with the term "all power in this room". Yes, it's going to be amazingly interesting, I have to admit it – after being an opposition politician for eight years in this house, and you almost knew that everything you came to suggest, no matter how good the suggestions were, was turned into the ground by the red-green majority. Now the possibility is here, you've got an invitation, and I'm really looking forward to the next few years in this house. Now there's also going to be changes.
ParlaMint-NO_2013-10-23.ana.ud1862e1977	I have largely been sitting in the hall now for two days and heard a number of violent and enthusiastic posts. I think it's great. There are so many new representatives who have been up here for the first time, and this promises good for the debate climate we are going to have in the future in Stortingen. So this spider from the previous government parties that we're a little bit such a sad crowd that is now a little worried that we're going to go into the government offices and rule the country, one can just go away. Here's the commitment, here's the glow, here's a lot of people going to work hard to shape a trust policy that puts the individual, the family, the volunteer and others in the center. There are many people here who would work to get support for a policy that raises the generational perspective and puts the social security network at the centre, and we'll seal the holes so that those sitting at the bottom of the table get better in this society. Here's the commitment, here's the glow, and here's a lot of new suggestions. Some of the criticisms of the former government parties are a bit difficult to capture, because I heard someone who was very concerned that now the welfare community would almost be razed. But then I hear Prime Minister Jens Stoltenberg – I have to get rid of this, the Prime Minister is sitting there, it's Erna Solberg – former Prime Minister Jens Stoltenberg saying that the voters of the Right Party and the Progress Party almost feel bad because we don't have the most far-reaching proposals in the government platform, because we don't fulfill all the promises from day one, and because we've put ourselves on balanced solutions and take social responsibility. I think the opposition has to decide: either we've got a responsible government with a constructive opposition in the form of the Left and Christian People's Party, or then we've got a right-wing government that will tear down the welfare community, as Martin Kolberg almost implied in his post. The reality is that we have a government that is now dealing with the problems of glow and enthusiasm, and that of course needs to spend a few weeks on getting started and delivering things to the Stortinget, but that has put a platform in place that at least we who are in position now are happy to take on. The right will vote against the four proposals submitted. There are many good intentions in them. The Prime Minister has explained the background that we now do not want to vote in favour of the proposals. But we'll be happy to accept good suggestions later.
ParlaMint-NO_2013-10-23.ana.ud1862e1988	I would like to make a few comments on behalf of the Left on the proposals that have been submitted. On the left, we fully agree that it is important to look at the State pension fund abroad to see whether one here should extend the investment programme against climate-friendly investments. That's something we've been busy for a long time. We also believe it is important to consider whether to increase the risk of making investments towards poor countries – not because they are aid, but precisely because they can provide a higher return. It will also be an important measure to combat poverty and to achieve a good development policy. State pension funds abroad are now of such a size that it is clear that this is an instrument that, by its device, is an instrument that Norway can use. But it also has economic consequences what we do with this device and how we use the State pension fund abroad, and we believe that it requires a much more thorough discussion and debate than through a chronology debate in the Stortinget. I believe that this should also, of course, be done within a thorough committee procedure. I would also like to say that I am pleased with the Prime Minister's comment that the government will take a closer look at these issues. It's also part of the government statement. The left will not vote in favour of the proposals now in place. With regard to a communication from the government to the Storting on strengthening climate reconciliation, we believe that strengthening climate reconciliation has its muscle and power in the cooperation agreement concluded between the Left Party, the Christian People's Party, the Right Party and the Advance Party. We are well pleased with the progress made by the government in this respect and will, of course, come back to concrete proposals in relation to the budget and also in cooperation with the cooperation parties Left, the Christian People's Party, the Right and the Progressive Party.
ParlaMint-NO_2013-10-23.ana.ud1862e1999	The reason why we promoted the proposal that we should make sure to submit a message to show how we had intended to strengthen the climate agreement was precisely that we know that half of the government – let's say in another way: one of two parties in government – was not involved in the climate agreement itself, nor was it initially bound by the climate agreement itself at the time it was concluded. That is why I took up with the Minister of Transport the two areas where we know that climate change emissions are highest in Norway, namely on the transport side and on the oil and energy side – which are the two major emissions. Both of these departments are run by FrPs who will not automatically feel bound by the climate agreement. I just picked up the point in the climate agreement that is about traffic in and around the big cities. The climate agreement states: ‘The majority have noted that the projections for population developments in the future show that by 2030 the population of the country’s largest metropolitan area will increase by 30–40 per cent. The majority emphasises that the growth of passenger transport that this population growth entails must be taken with public transport, bicycles and corridors, and that in and around metropolitan areas collective and cycling measures must be given greater priority in the allocation of transport appropriations.’» This is crucial. Does the Minister for Transport feel bound by this binding wording that was concluded between all the parties on the Stortinget, minus the Progress Party? His answer, when I asked the question yesterday, was 'wool'. What is important for this government is to ensure that we get more transport of both people and goods to as environmentally friendly solutions as possible. This doesn't necessarily mean that you have to rely on a concrete solution or a concrete year, as you've had a little too many problems with the past. That is why I again ask the Prime Minister: can the Prime Minister guarantee that the Right, the Government and the Advance Party feel committed to all the formulations of the climate agreement, including those relating to transport? Priority transport, and the success of the growth of passenger traffic in and around metropolitan areas, on a collective, multicultural and bicycle basis, means that the climate agreement must give priority to allocations to these areas: collective and multicultural and cycling in metropolitan areas. I would warn the Prime Minister not to give a reply as unsavory as the Minister for Transport. In this case, it will signal that one does not feel obliged by all parts of the climate agreement, which I believe are essential for us to succeed in the ambitious policy that is absolutely necessary to stop the dangerous climate change.
ParlaMint-NO_2013-10-23.ana.ud1862e2017	The representative Harald T. Nesvik followed up with what we have now heard from many of the representatives of the Right Party and the Progressive Party: a tribute to the new situation in Stortinget. I'd like to join it, because it's very fun for us who are in opposition that it's a minority government. But there is reason to recall that this situation has arisen because the Right Party and the Advance Party have been defeated in their attempt to establish a majority government. The shelf now fits a little poorly with what was the goal of the Right Party and the Advance Party before the formation of the government. Enough about that. I took the floor because I wanted to follow up on the representative Syversen. It is tempting to enter into a long debate on the history of voluntary policy. I'm not going to do that, but briefly just reminding that it was our government that made sure that the ideal actors in child protection were protected from competition and got long-term agreements that were part of a community contract with volunteering. I heard Freedom Norway recently was out worrying that the workers of the non-profit sector would be worse off with the new government. I'm afraid that's real. We don't have to have a long debate on that, because I believe the Christian People's Party and SV share objectives in this matter, and the representative Syversen's answer was what I hoped for, namely that the Christian People's Party is also willing to consider good proposals that come from our side in that matter. I look forward to cooperation on that. I am also pleased that the Prime Minister made it clear that there is a big deal about climate. Nevertheless, we maintain our proposal, because we believe that the level of promises has been so high, while the level of concreteity in the government platform is so low that it is important that the Storting pushes for such a message to come as quickly as possible. There is also reason to remind – for the story-writing here – that when it took a long time with the last red-green climate announcement, an important reason was that the international climate agreement we had hoped and thought would be completed was not coming. That's not the situation right now. That's why it's just to wish the government good luck with fast work. So the representative Rasmus Hansson said that the Green Party might have a bit of a rush on the Stortinget. I think I can admit that the Environmental Party of Greens at some point came a little rush on us in SV. But when the Green Party is here now, we are very happy about it. I look forward to good cooperation, and I intend to start it – after the clarifications made by the representative Hansson about his proposals – by voting in favour of the two proposals by the Greens in the vote, of course in addition to voting in favour of the SV proposals themselves or with others.
